11417
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Dix-neuvième extrait>,<>,<>
bocages,bocage,21
;,;,p
on,on,51
l',le,52
appelait,appeler,18
le,le,71
ruisseau,ruisseau,21
de,de,81
la,le,71
paix,paix,22
/.,/.,P
ce,ce,74
riant,riant,30
asile,asile,21
des,de,81
des,le,71
âmes,âme,22
était,être,18
fermé,fermer,12
à,à,81
l',le,71
orient,orient,21
par,par,81
le,le,71
pont,pont,21
sous,sous,81
lequel,lequel,52
nous,nous,51
avions,avoir,18
passé,passer,12
;,;,p
deux,deux,72
collines,colline,22
le,le,52
bordaient,border,18
au,à,81
au,le,71
septentrion,septentrion,21
et,et,82
au,à,81
au,le,71
midi,midi,21
;,;,p
il,il,51
ne,ne,60
s',se,51
ouvrait,ouvrir,18
qu',que,83
à,à,81
l',le,71
occident,occident,21
",",",",p
où,où,60
s',se,51
élevait,élever,18
un,un,71
grand,grand,30
bois,bois,21
de,de,81
sapins,sapin,21
/.,/.,P
les,le,71
troncs,tronc,21
de,de,81
ces,ce,74
arbres,arbre,21
",",",",p
rouges,rouge,30
marbrés,marbré,31
de,de,81
vert,vert,21
",",",",p
montant,monter,13
sans,sans,81
branches,branche,22
jusqu',jusque,81
à,à,81
leurs,leur,73
cimes,cime,22
",",",",p
ressemblaient,ressembler,18
à,à,81
de,de,81
hautes,haut,30
colonnes,colonne,22
",",",",p
et,et,82
formaient,former,18
le,le,71
péristyle,péristyle,21
de,de,81
ce,ce,74
temple,temple,21
de,de,81
la,le,71
mort,mort,22
;,;,p
il,il,51
y,y,52
régnait,régner,18
un,un,71
bruit,bruit,21
religieux,religieux,30
",",",",p
semblable,semblable,30
au,à,81
au,le,71
sourd,sourd,30
mugissement,mugissement,21
de,de,81
l',le,71
orgue,orgue,21
sous,sous,81
les,le,71
voûtes,voûte,22
d',de,81
une,un,71
église,église,22
;,;,p
mais,mais,82
lorsqu',lorsque,83
on,on,51
pénétrait,pénétrer,18
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
sanctuaire,sanctuaire,21
",",",",p
on,on,51
n',ne,60
entendait,entendre,18
plus,plus,60
que,que,83
les,le,71
hymnes,hymne,21
des,de,81
des,le,71
oiseaux,oiseau,21
qui,qui,52
célébraient,célébrer,18
à,à,81
la,le,71
mémoire,mémoire,22
des,de,81
des,le,71
morts,mort,21
une,un,71
fête,fête,22
éternelle,éternel,30
/.,/.,P
en,en,81
sortant,sortir,13
de,de,81
ce,ce,74
bois,bois,21
",",",",p
nous,nous,51
découvrîmes,découvrir,19
le,le,71
village,village,21
de,de,81
la,le,71
mission,mission,22
",",",",p
situé,situé,31
au,à,81
au,le,71
bord,bord,21
d',de,81
un,un,71
lac,lac,21
",",",",p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
une,un,71
savane,savane,22
semée,semé,31
de,de,81
fleurs,fleur,22
/.,/.,P
on,on,51
y,y,52
arrivait,arriver,18
par,par,81
une,un,71
avenue,avenue,22
de,de,81
magnolias,magnolia,21
et,et,82
de,de,81
chênes,chêne,21
verts,vert,30
",",",",p
qui,qui,52
bordaient,border,18
une,un,52
de,de,81
ces,ce,74
anciennes,ancien,30
routes,route,22
",",",",p
que,que,52
l',l',94
on,on,51
trouve,trouver,17
vers,vers,81
les,le,71
montagnes,montagne,22
qui,qui,52
divisent,diviser,17
le,le,71
Kentucky,Kentucky,20
des,de,81
des,le,71
Florides,Floride,20
/.,/.,P
aussitôt,aussitôt,60
que,que,83
les,le,71
Indiens,Indien,20
aperçurent,apercevoir,19
leur,leur,73
pasteur,pasteur,21
dans,dans,81
la,le,71
plaine,plaine,22
",",",",p
ils,ils,51
abandonnèrent,abandonner,19
leurs,leur,73
travaux,travail,21
et,et,82
accoururent,accourir,19
au-devant,au-devant,60
de,de,81
lui,lui,51
/.,/.,P
les,le,71
uns,un,52
baisaient,baiser,18
sa,son,73
robe,robe,22
",",",",p
les,le,71
autres,autre,52
aidaient,aider,18
ses,son,73
pas,pas,21
;,;,p
les,le,71
mères,mère,22
élevaient,élever,18
dans,dans,81
leurs,leur,73
bras,bras,21
leurs,leur,73
petits-enfants,petit-enfant,21
",",",",p
pour,pour,81
leur,leur,52
faire,faire,14
voir,voir,14
l',le,71
homme,homme,21
de,de,81
Jésus-Christ,Jésus-Christ,20
",",",",p
qui,qui,52
répandait,répandre,18
des,de,81
des,le,71
larmes,larme,22
/.,/.,P
il,il,51
s',se,51
informait,informer,18
",",",",p
en,en,81
marchant,marcher,13
",",",",p
de,de,81
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
au,à,81
au,le,71
village,village,21
;,;,p
il,il,51
donnait,donner,18
un,un,71
conseil,conseil,21
à,à,81
celui-ci,celui-ci,52
",",",",p
réprimandait,réprimander,18
doucement,doucement,60
celui-là,celui-là,52
;,;,p
il,il,51
parlait,parler,18
des,de,81
des,le,71
moissons,moisson,22
à,à,81
recueillir,recueillir,14
",",",",p
des,de,81
des,le,71
enfants,enfant,21
à,à,81
instruire,instruire,14
",",",",p
des,de,81
des,le,71
peines,peine,22
à,à,81
consoler,consoler,14
",",",",p
et,et,82
il,il,51
mêlait,mêler,18
dieu,dieu,21
à,à,81
tous,tout,75
ses,son,73
discours,discours,21
/.,/.,P
ainsi,ainsi,60
escortés,escorté,31
",",",",p
nous,nous,51
arrivâmes,arriver,19
au,à,81
au,le,71
pied,pied,21
d',de,81
une,un,71
grande,grand,30
croix,croix,22
qui,qui,52
se,se,51
trouvait,trouver,18
sur,sur,81
le,le,71
chemin,chemin,21
/.,/.,P
c',ce,52
était,être,18
là,là,60
que,que,83
le,le,71
serviteur,serviteur,21
de,de,81
dieu,dieu,21
avait,avoir,18
accoutumé,accoutumer,12
de,de,81
célébrer,célébrer,14
les,le,71
mystères,mystère,21
de,de,81
sa,son,73
religion,religion,22
:,:,p
mes,mon,73
chers,cher,30
néophytes,néophyte,21
",",",",p
dit,dire,19
il,il,51
en,en,81
se,se,51
tournant,tourner,13
vers,vers,81
la,le,71
foule,foule,22
",",",",p
il,il,51
vous,vous,51
est,être,17
arrivé,arriver,12
un,un,71
frère,frère,21
et,et,82
une,un,71
soeur,soeur,22
;,;,p
et,et,82
pour,pour,81
surcroît,surcroît,21
de,de,81
bonheur,bonheur,21
",",",",p
je,je,51
vois,voir,17
que,que,83
la,le,71
divine,divin,30
providence,providence,22
a,avoir,17
épargné,épargner,12
hier,hier,60
vos,votre,73
moissons,moisson,22
:,:,p
voilà,voilà,81
deux,deux,72
grandes,grand,30
raisons,raison,22
de,de,81
le,le,52
remercier,remercier,14
/.,/.,P
offrons,offrir,17
donc,donc,82
le,le,71
saint,saint,30
sacrifice,sacrifice,21
",",",",p
et,et,82
que,que,52
chacun,chacun,52
y,y,52
apporte,apporter,17
un,un,71
recueillement,recueillement,21
profond,profond,30
",",",",p
une,un,71
foi,foi,22
vive,vif,30
",",",",p
une,un,71
reconnaissance,reconnaissance,22
infinie,infini,30
et,et,82
un,un,71
coeur,coeur,21
humilié,humilié,31
/.,/.,P
aussitôt,aussitôt,60
le,le,71
prêtre,prêtre,21
divin,divin,30
revêt,revêtir,17
une,un,71
tunique,tunique,22
blanche,blanc,30
d',de,81
écorce,écorce,22
de,de,81
mûriers,mûrier,21
;,;,p
les,le,71
vases,vase,21
sacrés,sacré,31
sont,être,17
tirés,tirer,12
d',de,81
un,un,71
tabernacle,tabernacle,21
au,à,81
au,le,71
pied,pied,21
de,de,81
la,le,71
croix,croix,22
",",",",p
l',le,71
autel,autel,21
se,se,51
prépare,préparer,17
sur,sur,81
un,un,71
quartier,quartier,21
de,de,81
roche,roche,22
",",",",p
l',le,71
eau,eau,22
se,se,51
puise,puiser,17
dans,dans,81
le,le,71
torrent,torrent,21
voisin,voisin,30
",",",",p
et,et,82
une,un,71
grappe,grappe,22
de,de,81
raisin,raisin,21
sauvage,sauvage,30
fournit,fournir,17
le,le,71
vin,vin,21
du,de,81
du,le,71
sacrifice,sacrifice,21
/.,/.,P
nous,nous,51
nous,nous,51
mettons,mettre,17
tous,tout,52
à,à,81
genoux,genou,21
dans,dans,81
les,le,71
hautes,haut,30
herbes,herbe,22
;,;,p
le,le,71
mystère,mystère,21
commence,commencer,17
/.,/.,P
l',le,71
aurore,aurore,22
paraissant,paraître,13
derrière,derrière,81
les,le,71
montagnes,montagne,22
",",",",p
enflammait,enflammer,18
l',le,71
orient,orient,21
/.,/.,P
tout,tout,52
était,être,18
d',de,81
or,or,21
ou,ou,82
de,de,81
rose,rose,21
dans,dans,81
la,le,71
solitude,solitude,22
/.,/.,P
l',le,71
astre,astre,21
annoncé,annoncé,31
par,par,81
tant,tant,60
de,de,81
splendeur,splendeur,22
sortit,sortir,19
enfin,enfin,60
d',de,81
un,un,71
abîme,abîme,21
de,de,81
lumière,lumière,22
",",",",p
et,et,82
son,son,73
premier,premier,72
rayon,rayon,21
rencontra,rencontrer,19
l',le,71
hostie,hostie,22
consacrée,consacré,31
",",",",p
que,que,52
le,le,71
prêtre,prêtre,21
",",",",p
en,en,81
ce,ce,74
moment,moment,21
même,même,30
",",",",p
élevait,élever,18
dans,dans,81
les,le,71
airs,air,21
/.,/.,P
o,oh,93
charme,charme,21
de,de,81
la,le,71
religion,religion,22
/!,/!,P
o,oh,93
magnificence,magnificence,22
du,de,81
du,le,71
culte,culte,21
chrétien,chrétien,30
/!,/!,P
pour,pour,81
sacrificateur,sacrificateur,21
un,un,71
vieil,vieux,30
ermite,ermite,21
",",",",p
pour,pour,81
autel,autel,21
un,un,71
rocher,rocher,21
",",",",p
pour,pour,81
église,église,22
le,le,71
désert,désert,30
",",",",p
pour,pour,81
assistance,assistance,22
d',de,81
innocents,innocent,30
sauvages,sauvage,21
/!,/!,P
non,non,60
",",",",p
je,je,51
ne,ne,60
doute,douter,17
point,point,60
qu',que,83
au,à,81
au,le,71
moment,moment,21
où,où,60
nous,nous,51
nous,nous,51
prosternâmes,prosterner,19
",",",",p
le,le,71
grand,grand,30
mystère,mystère,21
ne,ne,60
s',se,51
accomplît,accomplir,18
",",",",p
et,et,82
que,que,83
dieu,dieu,21
ne,ne,60
descendît,descendre,18
sur,sur,81
la,le,71
terre,terre,22
",",",",p
car,car,82
je,je,51
le,le,52
sentis,sentir,19
descendre,descendre,14
dans,dans,81
mon,mon,73
coeur,coeur,21
/.,/.,P
après,après,81
le,le,71
sacrifice,sacrifice,21
",",",",p
où,où,60
il,il,51
ne,ne,60
manqua,manquer,19
pour,pour,81
moi,moi,51
que,que,83
la,le,71
fille,fille,22
de,de,81
Lopez,Lopez,20
",",",",p
nous,nous,51
nous,nous,51
rendîmes,rendre,19
au,à,81
au,le,71
village,village,21
/.,/.,P
là,là,60
",",",",p
régnait,régner,18
le,le,71
mélange,mélange,21
le,le,71
plus,plus,60
touchant,touchant,30
de,de,81
la,le,71
vie,vie,22
sociale,social,30
et,et,82
de,de,81
la,le,71
vie,vie,22
de,de,81
la,le,71
nature,nature,22
:,:,p
au,à,81
au,le,71
coin,coin,21
d',de,81
une,un,71
cyprière,cyprière,22
de,de,81
l',le,71
antique,antique,30
désert,désert,21
",",",",p
on,on,51
découvrait,découvrir,18
une,un,71
culture,culture,22
naissante,naissant,30
;,;,p
les,le,71
épis,épi,21
roulaient,rouler,18
à,à,81
flots,flot,21
d',de,81
or,or,21
sur,sur,81
le,le,71
tronc,tronc,21
du,de,81
du,le,71
chêne,chêne,21
abattu,abattu,31
",",",",p
et,et,82
la,le,71
gerbe,gerbe,22
d',de,81
un,un,71
été,été,21
remplaçait,remplacer,18
l',le,71
arbre,arbre,21
de,de,81
trois,trois,72
siècles,siècle,21
/.,/.,P
partout,partout,60
on,on,51
voyait,voir,18
les,le,71
forêts,forêt,22
livrées,livré,31
aux,à,81
aux,le,71
flammes,flamme,22
pousser,pousser,14
de,de,81
grosses,gros,30
fumées,fumée,22
dans,dans,81
les,le,71
airs,air,21
",",",",p
et,et,82
la,le,71
charrue,charrue,22
se,se,51
promener,promener,14
lentement,lentement,60
entre,entre,81
les,le,71
débris,débris,21
de,de,81
leurs,leur,73
racines,racine,22
/.,/.,P
des,de,81
des,le,71
arpenteurs,arpenteur,21
avec,avec,81
de,de,81
longues,long,30
chaînes,chaîne,22
allaient,aller,18
mesurant,mesurer,13
le,le,71
terrain,terrain,21
;,;,p
des,de,81
des,le,71
arbitres,arbitre,21
établissaient,établir,18
les,le,71
premières,premier,72
propriétés,propriété,22
;,;,p
l',le,71
oiseau,oiseau,21
cédait,céder,18
son,son,73
nid,nid,21
;,;,p
le,le,71
repaire,repaire,21
de,de,81
la,le,71
bête,bête,22
féroce,féroce,30
se,se,51
changeait,changer,18
en,en,81
une,un,71
cabane,cabane,22
;,;,p
on,on,51
entendait,entendre,18
gronder,gronder,14
des,de,81
des,le,71
forges,forge,22
",",",",p
et,et,82
les,le,71
coups,coup,21
de,de,81
la,le,71
cognée,cognée,22
faisaient,faire,18
",",",",p
pour,pour,81
la,le,71
dernière,dernier,30
fois,fois,22
",",",",p
mugir,mugir,14
des,de,81
des,le,71
échos,écho,21
expirant,expirer,13
eux-mêmes,eux-mêmes,51
avec,avec,81
les,le,71
arbres,arbre,21
qui,qui,52
leur,leur,52
servaient,servir,18
d',de,81
asile,asile,21
/.,/.,P
j',je,51
errais,errer,18
avec,avec,81
ravissement,ravissement,21
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ces,ce,74
tableaux,tableau,21
",",",",p
rendus,rendu,21
plus,plus,60
doux,doux,30
par,par,81
l',le,71
image,image,22
d',de,81
Atala,Atala,20
et,et,82
par,par,81
les,le,71
rêves,rêve,21
de,de,81
félicité,félicité,22
dont,dont,52
je,je,51
berçais,bercer,18
mon,mon,73
coeur,coeur,21
/.,/.,P
j',je,51
admirais,admirer,18
le,le,71
triomphe,triomphe,21
du,de,81
du,le,71
christianisme,christianisme,21
sur,sur,81
la,le,71
vie,vie,22
sauvage,sauvage,30
;,;,p
je,je,51
voyais,voir,18
l',le,71
Indien,Indien,20
se,se,51
civilisant,civiliser,13
à,à,81
la,le,71
voix,voix,22
de,de,81
la,le,71
religion,religion,22
;,;,p
j',je,51
assistais,assister,18
aux,à,81
aux,le,71
noces,noce,22
primitives,primitif,30
de,de,81
l',le,71
homme,homme,21
et,et,82
de,de,81
la,le,71
terre,terre,22
:,:,p
l',le,71
homme,homme,21
",",",",p
par,par,81
ce,ce,74
grand,grand,30
contrat,contrat,21
",",",",p
abandonnant,abandonner,13
à,à,81
la,le,71
terre,terre,22
l',le,71
héritage,héritage,21
de,de,81
ses,son,73
sueurs,sueur,22
",",",",p
et,et,82
la,le,71
terre,terre,22
s',se,51
engageant,engager,13
",",",",p
en,en,81
retour,retour,21
",",",",p
à,à,81
porter,porter,14
fidèlement,fidèlement,60
les,le,71
moissons,moisson,22
",",",",p
les,le,71
fils,fils,21
et,et,82
les,le,71
cendres,cendre,22
de,de,81
l',le,71
homme,homme,21
/.,/.,P
cependant,cependant,82
on,on,51
présenta,présenter,19
un,un,71
enfant,enfant,21
au,à,81
au,le,71
missionnaire,missionnaire,21
",",",",p
qui,qui,52
le,le,52
baptisa,baptiser,19
parmi,parmi,81
des,de,81
des,le,71
jasmins,jasmin,21
en,en,81
fleurs,fleur,22
",",",",p
au,à,81
au,le,71
bord,bord,21
d',de,81
une,un,71
source,source,22
",",",",p
tandis qu',tandis que,83
un,un,71
cercueil,cercueil,21
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
jeux,jeu,21
et,et,82
des,de,81
des,le,71
travaux,travail,21
",",",",p
se,se,51
rendait,rendre,18
aux,à,81
aux,le,71
bocages,bocage,21
de,de,81
la,le,71
mort,mort,22
/.,/.,P
deux,deux,72
époux,époux,21
reçurent,recevoir,19
la,le,71
bénédiction,bénédiction,22
nuptiale,nuptial,30
sous,sous,81
un,un,71
chêne,chêne,21
",",",",p
et,et,82
nous,nous,51
allâmes,aller,19
ensuite,ensuite,60
les,le,52
établir,établir,14
dans,dans,81
un,un,71
coin,coin,21
du,de,81
du,le,71
désert,désert,21
/.,/.,P
le,le,71
pasteur,pasteur,21
marchait,marcher,18
devant,devant,81
nous,nous,51
",",",",p
bénissant,bénir,13
çà,çà,60
et,et,82
là,là,60
",",",",p
et,et,82
le,le,71
rocher,rocher,21
",",",",p
et,et,82
l',le,71
arbre,arbre,21
",",",",p
et,et,82
la,le,71
fontaine,fontaine,22
",",",",p
comme,comme,83
autrefois,autrefois,60
",",",",p
selon,selon,81
le,le,71
livre,livre,21
des,de,81
des,le,71
Chrétiens,Chrétien,20
",",",",p
dieu,dieu,21
bénit,bénir,19
la,le,71
terre,terre,22
inculte,inculte,30
",",",",p
en,en,81
la,le,52
donnant,donner,13
en,en,81
héritage,héritage,21
à,à,81
Adam,Adam,20
/.,/.,P
cette,ce,74
procession,procession,22
",",",",p
qui,qui,52
pêle-mêle,pêle-mêle,60
avec,avec,81
ses,son,73
troupeaux,troupeau,21
suivait,suivre,18
de,de,81
rocher,rocher,21
en,en,81
rocher,rocher,21
son,son,73
chef,chef,21
vénérable,vénérable,30
",",",",p
représentait,représenter,18
à,à,81
mon,mon,73
coeur,coeur,21
attendri,attendri,31
ces,ce,74
migrations,migration,22
des,de,81
des,le,71
premières,premier,72
familles,famille,22
",",",",p
alors,alors,60
que,que,83
Sem,Sem,20
",",",",p
avec,avec,81
ses,son,73
enfants,enfant,21
",",",",p
s',se,51
avançait,avancer,18
à,à,81
travers,travers,21
le,le,71
monde,monde,21
inconnu,inconnu,30
",",",",p
en,en,81
suivant,suivre,13
le,le,71
soleil,soleil,21
qui,qui,52
marchait,marcher,18
devant,devant,81
lui,lui,51
/.,/.,P
je,je,51
voulus,vouloir,19
savoir,savoir,14
du,de,81
du,le,71
saint,saint,30
ermite,ermite,21
",",",",p
comment,comment,60
il,il,51
gouvernait,gouverner,18
ses,son,73
enfants,enfant,21
;,;,p
il,il,51
me,je,51
répondit,répondre,19
avec,avec,81
une,un,71
grande,grand,30
complaisance,complaisance,22
:,:,p
je,je,51
ne,ne,60
leur,leur,52
ai,avoir,17
donné,donner,12
aucune,aucun,75
loi,loi,22
;,;,p
je,je,51
leur,leur,52
ai,avoir,17
seulement,seulement,60
enseigné,enseigner,12
à,à,81
s',se,51
aimer,aimer,14
",",",",p
à,à,81
prier,prier,14
dieu,dieu,21
",",",",p
et,et,82
à,à,81
espérer,espérer,14
une,un,71
meilleure,meilleur,30
vie,vie,22
:,:,p
toutes,tout,75
les,le,71
lois,loi,22
du,de,81
du,le,71
monde,monde,21
sont,être,17
là-dedans,là-dedans,60
/.,/.,P
vous,vous,51
voyez,voir,17
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
village,village,21
une,un,71
cabane,cabane,22
plus,plus,60
grande,grand,30
que,que,83
les,le,71
autres,autre,52
:,:,p
elle,il,51
sert,servir,17
de,de,81
chapelle,chapelle,22
dans,dans,81
la,le,71
saison,saison,22
des,de,81
des,le,71
pluies,pluie,22
/.,/.,P
on,on,51
s',se,51
y,y,52
assemble,assembler,17
soir,soir,21
et,et,82
matin,matin,21
pour,pour,81
louer,louer,14
le,le,71
seigneur,seigneur,21
",",",",p
et,et,82
quand,quand,83
je,je,51
suis,être,17
absent,absent,30
",",",",p
c',ce,52
est,être,17
un,un,71
vieillard,vieillard,21
qui,qui,52
fait,faire,17
la,le,71
prière,prière,22
;,;,p
car,car,82
la,le,71
vieillesse,vieillesse,22
est,être,17
",",",",p
comme,comme,83
la,le,71
maternité,maternité,22
",",",",p
une,un,71
espèce,espèce,22
de,de,81
sacerdoce,sacerdoce,21
/.,/.,P
ensuite,ensuite,60
on,on,51
va,aller,17
travailler,travailler,14
dans,dans,81
les,le,71
champs,champ,21
",",",",p
et,et,82
si,si,83
les,le,71
propriétés,propriété,22
sont,être,17
divisées,diviser,12
",",",",p
afin,afin,81
que,que,83
chacun,chacun,52
puisse,pouvoir,17
apprendre,apprendre,14
l',le,71
économie,économie,22
sociale,social,30
",",",",p
les,le,71
moissons,moisson,22
sont,être,17
déposées,déposer,12
dans,dans,81
des,de,81
des,le,71
greniers,grenier,21
communs,commun,30
",",",",p
pour,pour,81
maintenir,maintenir,14
la,le,71
charité,charité,22
fraternelle,fraternel,30
/.,/.,P
quatre,quatre,72
vieillards,vieillard,21
distribuent,distribuer,17
avec,avec,81
égalité,égalité,22
le,le,71
produit,produit,21
du,de,81
du,le,71
labeur,labeur,21
/.,/.,P
ajoutez,ajouter,17
à,à,81
cela,cela,52
des,de,81
des,le,71
cérémonies,cérémonie,22
religieuses,religieux,30
",",",",p
beaucoup,beaucoup,60
de,de,81
cantiques,cantique,21
",",",",p
la,le,71
croix,croix,22
où,où,60
j',je,51
ai,avoir,17
célébré,célébrer,12
les,le,71
mystères,mystère,21
",",",",p
l',le,71
ormeau,ormeau,21
sous,sous,81
lequel,lequel,52
je,je,51
prêche,prêcher,17
dans,dans,81
les,le,71
bons,bon,30
jours,jour,21
",",",",p
nos,notre,73
tombeaux,tombeau,21
tout,tout,60
près,près,81
de,de,81
nos,notre,73
champs,champ,21
de,de,81
blé,blé,21
",",",",p
nos,notre,73
fleuves,fleuve,21
où,où,60
je,je,51
plonge,plonger,17
les,le,71
petits,petit,30
enfants,enfant,21
et,et,82
les,le,71
Saint Jean,Saint Jean,20
de,de,81
cette,ce,74
nouvelle,nouveau,30
Béthanie,Béthanie,20
",",",",p
vous,vous,51
aurez,avoir,15
une,un,71
idée,idée,22
complète,complet,30
de,de,81
ce,ce,74
royaume,royaume,21
de,de,81
Jésus-Christ,Jésus-Christ,20
/.,/.,P
les,le,71
paroles,parole,22
du,de,81
du,le,71
solitaire,solitaire,21
me,je,51
ravirent,ravir,19
",",",",p
et,et,82
je,je,51
sentis,sentir,19
la,le,71
supériorité,supériorité,22
de,de,81
cette,ce,74
vie,vie,22
stable,stable,30
et,et,82
occupée,occupé,31
",",",",p
sur,sur,81
la,le,71
vie,vie,22
errante,errant,30
et,et,82
oisive,oisif,30
du,de,81
du,le,71
sauvage,sauvage,21
/.,/.,P
ah,ah,93
/!,/!,P
René,René,20
",",",",p
je,je,51
ne,ne,60
murmure,murmurer,17
point,point,60
contre,contre,81
la,le,71
providence,providence,22
",",",",p
mais,mais,82
j',je,51
avoue,avouer,17
que,que,83
je,je,51
ne,ne,60
me,je,51
rappelle,rappeler,17
jamais,jamais,60
cette,ce,74
société,société,22
évangélique,évangélique,30
",",",",p
sans,sans,81
éprouver,éprouver,14
l',le,71
amertume,amertume,22
des,de,81
des,le,71
regrets,regret,21
/.,/.,P
qu',que,52
une,un,71
hutte,hutte,22
",",",",p
avec,avec,81
Atala,Atala,20
sur,sur,81
ces,ce,74
bords,bord,21
",",",",p
eût,avoir,19
rendu,rendre,12
ma,mon,73
vie,vie,22
heureuse,heureux,30
/!,/!,P
là,là,60
finissaient,finir,18
toutes,tout,75
mes,mon,73
courses,course,22
;,;,p
là,là,60
",",",",p
avec,avec,81
une,un,71
épouse,épouse,22
",",",",p
inconnu,inconnu,30
des,de,81
des,le,71
hommes,homme,21
",",",",p
cachant,cacher,13
mon,mon,73
bonheur,bonheur,21
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
forêts,forêt,22
",",",",p
j',je,51
aurais,avoir,16
passé,passer,12
comme,comme,83
ces,ce,74
fleuves,fleuve,21
",",",",p
qui,qui,52
n',ne,60
ont,avoir,17
pas,pas,60
même,même,60
un,un,71
nom,nom,21
dans,dans,81
le,le,71
désert,désert,21
/.,/.,P
au,à,81
au,le,71
lieu,lieu,21
de,de,81
cette,ce,74
paix,paix,22
que,que,52
j',je,51
osais,oser,18
alors,alors,60
me,je,51
promettre,promettre,14
",",",",p
dans,dans,81
quel,quel,75
trouble,trouble,21
n',ne,60
ai,avoir,17
je,je,51
point,point,60
coulé,couler,12
mes,mon,73
jours,jour,21
/!,/!,P
jouet,jouet,21
continuel,continuel,30
de,de,81
la,le,71
fortune,fortune,22
",",",",p
brisé,brisé,31
sur,sur,81
tous,tout,75
les,le,71
rivages,rivage,21
",",",",p
longtemps,longtemps,60
exilé,exilé,31
de,de,81
mon,mon,73
pays,pays,21
",",",",p
et,et,82
n',ne,60
y,y,52
trouvant,trouver,13
",",",",p
à,à,81
mon,mon,73
retour,retour,21
",",",",p
qu',que,83
une,un,71
cabane,cabane,22
en,en,81
ruine,ruine,22
et,et,82
des,de,81
des,le,71
amis,ami,21
dans,dans,81
la,le,71
tombe,tombe,22
:,:,p
telle,tel,52
devait,devoir,18
être,être,14
la,le,71
destinée,destinée,22
de,de,81
Chactas,Chactas,20
/.,/.,P
le,le,71
drame,drame,21
/.,/.,P
si,si,83
mon,mon,73
songe,songe,21
de,de,81
bonheur,bonheur,21
fut,être,19
vif,vif,30
",",",",p
il,il,51
fut,être,19
aussi,aussi,60
d',de,81
une,un,71
courte,court,30
durée,durée,22
",",",",p
et,et,82
le,le,71
réveil,réveil,21
m',je,51
attendait,attendre,18
à,à,81
la,le,71
grotte,grotte,22
du,de,81
du,le,71
solitaire,solitaire,21
/.,/.,P
je,je,51
fus,être,19
surpris,surprendre,12
",",",",p
en,en,81
y,y,52
arrivant,arriver,13
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
jour,jour,21
",",",",p
de,de,81
ne,ne,60
pas,pas,60
voir,voir,14
Atala,Atala,20
accourir,accourir,14
au-devant,au-devant,60
de,de,81
nos,notre,73
pas,pas,21
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
quelle,quel,75
soudaine,soudain,30
horreur,horreur,22
me,je,51
saisit,saisir,17
/.,/.,P
en,en,81
approchant,approcher,13
de,de,81
la,le,71
grotte,grotte,22
",",",",p
je,je,51
n',ne,60
osais,oser,18
appeler,appeler,14
la,le,71
fille,fille,22
de,de,81
Lopez,Lopez,20
:,:,p
mon,mon,73
imagination,imagination,22
était,être,18
également,également,60
épouvantée,épouvanter,12
",",",",p
ou,ou,82
du,de,81
du,le,71
bruit,bruit,21
",",",",p
ou,ou,82
du,de,81
du,le,71
silence,silence,21
",",",",p
qui,qui,52
succéderait,succéder,16
à,à,81
mes,mon,73
cris,cri,21
/.,/.,P
encore,encore,60
plus,plus,60
effrayé,effrayé,31
de,de,81
la,le,71
nuit,nuit,22
qui,qui,52
régnait,régner,18
à,à,81
l',le,71
entrée,entrée,22
du,de,81
du,le,71
rocher,rocher,21
",",",",p
je,je,51
dis,dire,19
au,à,81
au,le,71
missionnaire,missionnaire,21
:,:,p
o,oh,93
vous,vous,51
",",",",p
que,que,52
le,le,71
ciel,ciel,21
accompagne,accompagner,17
et,et,82
fortifie,fortifier,17
",",",",p
pénétrez,pénétrer,17
dans,dans,81
ces,ce,74
ombres,ombre,22
/.,/.,P
qu',que,52
il,il,51
est,être,17
faible,faible,30
celui,celui,52
que,que,52
les,le,71
passions,passion,22
dominent,dominer,17
/!,/!,P
qu',que,52
il,il,51
est,être,17
fort,fort,30
celui,celui,52
qui,qui,52
se,se,51
repose,reposer,17
en,en,81
dieu,dieu,21
/!,/!,P
il,il,51
y,y,52
avait,avoir,18
plus,plus,60
de,de,81
courage,courage,21
dans,dans,81
ce,ce,74
coeur,coeur,21
religieux,religieux,30
",",",",p
flétri,flétri,31
par,par,81
soixante,soixante,72
seize,seize,72
années,année,22
",",",",p
que,que,83
dans,dans,81
toute,tout,75
l',le,71
ardeur,ardeur,22
de,de,81
ma,mon,73
jeunesse,jeunesse,22
/.,/.,P
l',le,71
homme,homme,21
de,de,81
paix,paix,22
entra,entrer,19
dans,dans,81
la,le,71
grotte,grotte,22
",",",",p
et,et,82
je,je,51
restai,rester,19
au-dehors,au-dehors,60
plein,plein,30
de,de,81
terreur,terreur,22
/.,/.,P
bientôt,bientôt,60
