11240
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-neuvième extrait>,<>,<>
meilleurs,meilleur,30
amis,ami,21
du,de,81
du,le,71
défunt,défunt,21
/.,/.,P
o,oh,93
larmes,larme,22
bénies,béni,31
!,!,p
depuis,depuis,81
longtemps,longtemps,60
votre,votre,73
douceur,douceur,22
m',je,51
était,être,18
refusée,refuser,12
!,!,p
ma,mon,73
tête,tête,22
se,se,51
dégageait,dégager,18
",",",",p
et,et,82
un,un,71
rayon,rayon,21
d',de,81
espoir,espoir,21
me,je,51
guidait,guider,18
encore,encore,60
/.,/.,P
je,je,51
me,je,51
sentais,sentir,18
la,le,71
force,force,22
de,de,81
prier,prier,14
",",",",p
et,et,82
j',je,51
en,en,52
jouissais,jouir,18
avec,avec,81
transport,transport,21
/.,/.,P
je,je,51
ne,ne,60
m',je,51
informai,informer,19
pas,pas,60
même,même,60
du,de,81
du,le,71
nom,nom,21
de,de,81
celui,celui,52
dont,dont,52
j',je,51
avais,avoir,18
suivi,suivre,12
le,le,71
cercueil,cercueil,21
/.,/.,P
le,le,71
cimetière,cimetière,21
où,où,60
j',je,51
étais,être,18
entré,entrer,12
m',je,51
était,être,18
sacré,sacrer,12
à,à,81
plusieurs,plusieurs,75
titres,titre,21
/.,/.,P
trois,trois,72
parents,parent,21
de,de,81
ma,mon,73
famille,famille,22
maternelle,maternel,30
y,y,52
avaient,avoir,18
été,être,12
ensevelis,ensevelir,12
;,;,p
mais,mais,82
je,je,51
ne,ne,60
pouvais,pouvoir,18
aller,aller,14
prier,prier,14
sur,sur,81
leurs,leur,73
tombes,tombe,22
",",",",p
car,car,82
elles,ils,51
avaient,avoir,18
été,être,12
transportées,transporter,12
depuis,depuis,81
plusieurs,plusieurs,75
années,année,22
dans,dans,81
une,un,71
terre,terre,22
éloignée,éloigné,31
",",",",p
lieu,lieu,21
de,de,81
leur,leur,73
origine,origine,22
/.,/.,P
-,-,p
je,je,51
cherchai,chercher,19
longtemps,longtemps,60
la,le,71
tombe,tombe,22
d',de,81
Aurélia,Aurélia,20
",",",",p
et,et,82
je,je,51
ne,ne,60
pus,pouvoir,19
la,le,52
retrouver,retrouver,14
/.,/.,P
les,le,71
dispositions,disposition,22
du,de,81
du,le,71
cimetière,cimetière,21
avaient,avoir,18
été,être,12
changées,changer,12
",",",",p
-,-,p
peut-être,peut-être,60
aussi,aussi,60
ma,mon,73
mémoire,mémoire,22
était,être,18
elle,il,51
égarée,égarer,12
/…,/…,P
il,il,51
me,je,51
semblait,sembler,18
que,que,83
ce,ce,74
hasard,hasard,21
",",",",p
cet,ce,74
oubli,oubli,21
",",",",p
ajoutaient,ajouter,18
encore,encore,60
à,à,81
ma,mon,73
condamnation,condamnation,22
/.,/.,P
-,-,p
je,je,51
n',ne,60
osai,oser,19
pas,pas,60
dire,dire,14
aux,à,81
aux,le,71
gardiens,gardien,21
le,le,71
nom,nom,21
d',de,81
une,un,71
morte,morte,22
sur,sur,81
laquelle,lequel,52
je,je,51
n',ne,60
avais,avoir,18
religieusement,religieusement,60
aucun,aucun,75
droit,droit,21
…,…,p
mais,mais,82
je,je,51
me,je,51
souvins,souvenir,19
que,que,83
j',je,51
avais,avoir,18
chez,chez,81
moi,moi,51
l',le,71
indication,indication,22
précise,précis,30
de,de,81
la,le,71
tombe,tombe,22
",",",",p
et,et,82
j',je,51
y,y,52
courus,courir,19
",",",",p
le,le,71
coeur,coeur,21
palpitant,palpitant,30
",",",",p
la,le,71
tête,tête,22
perdue,perdu,31
/.,/.,P
je,je,51
l',le,52
ai,avoir,17
dit,dire,12
déjà,déjà,60
:,:,p
j',je,51
avais,avoir,18
entouré,entourer,12
mon,mon,73
amour,amour,21
de,de,81
superstitions,superstition,22
bizarres,bizarre,30
/.,/.,P
-,-,p
dans,dans,81
un,un,71
petit,petit,30
coffret,coffret,21
qui,qui,52
lui,lui,51
avait,avoir,18
appartenu,appartenir,12
",",",",p
je,je,51
conservais,conserver,18
sa,son,73
dernière,dernier,30
lettre,lettre,22
/.,/.,P
oserai,oser,15
je,je,51
avouer,avouer,14
que,que,83
j',je,51
avais,avoir,18
fais,faire,17
de,de,81
ce,ce,74
coffret,coffret,21
une,un,71
sorte,sorte,22
de,de,81
reliquaire,reliquaire,21
qui,qui,52
me,je,51
rappelait,rappeler,18
de,de,81
longs,long,30
voyages,voyage,21
où,où,60
sa,son,73
pensée,pensée,22
m',je,51
avait,avoir,18
suivi,suivre,12
:,:,p
une,un,71
rose,rose,22
cueillie,cueilli,31
dans,dans,81
les,le,71
jardins,jardin,21
de,de,81
Schoubrah,Schoubrah,20
",",",",p
un,un,71
morceau,morceau,21
de,de,81
bandelette,bandelette,22
rapportée,rapporté,31
d',de,81
Egypte,Egypte,20
",",",",p
des,de,81
des,le,71
feuilles,feuille,22
de,de,81
laurier,laurier,21
cueillies,cueilli,31
dans,dans,81
la,le,71
rivière,rivière,22
de,de,81
Beyrouth,Beyrouth,20
",",",",p
deux,deux,72
petits,petit,30
cristaux,cristal,21
dorés,doré,31
des,de,81
des,le,71
mosaïques,mosaïque,22
de,de,81
Sainte Sophie,Sainte Sophie,20
",",",",p
un,un,71
grain,grain,21
de,de,81
chapelet,chapelet,21
",",",",p
que,que,52
sais,savoir,17
je,je,51
encore,encore,60
?,?,p
enfin,enfin,60
le,le,71
papier,papier,21
qui,qui,52
m',je,51
avait,avoir,18
été,être,12
donné,donner,12
le,le,71
jour,jour,21
où,où,60
la,le,71
tombe,tombe,22
fut,être,19
creusée,creuser,12
",",",",p
afin,afin,81
que,que,83
je,je,51
pusse,pouvoir,18
la,le,52
retrouver,retrouver,14
/…,/…,P
je,je,51
rougis,rougir,17
",",",",p
je,je,51
frémis,frémir,17
en,en,81
dispersant,disperser,13
ce,ce,74
fol,fou,30
assemblage,assemblage,21
/.,/.,P
je,je,51
pris,prendre,19
sur,sur,81
moi,moi,51
les,le,71
deux,deux,72
papiers,papier,21
",",",",p
et,et,82
",",",",p
au,à,81
au,le,71
moment,moment,21
de,de,81
me,je,51
diriger,diriger,14
de,de,81
nouveau,nouveau,21
vers,vers,81
le,le,71
cimetière,cimetière,21
",",",",p
je,je,51
changeai,changer,19
de,de,81
résolution,résolution,22
/.,/.,P
“,“,p
non,non,60
",",",",p
me,je,51
dis,dire,17
je,je,51
",",",",p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
digne,digne,30
de,de,81
m',je,51
agenouiller,agenouiller,14
sur,sur,81
la,le,71
tombe,tombe,22
d',de,81
une,un,71
chrétienne,chrétienne,22
;,;,p
n',ne,60
ajoutons,ajouter,17
pas,pas,60
une,un,71
profanation,profanation,22
à,à,81
tant,tant,60
d',de,81
autres,autre,52
/!,/!,P
et,et,82
pour,pour,81
apaiser,apaiser,14
l',le,71
orage,orage,21
qui,qui,52
grondait,gronder,18
dans,dans,81
ma,mon,73
tête,tête,22
",",",",p
je,je,51
me,je,51
rendis,rendre,19
à,à,81
quelques,quelque,75
lieues,lieue,22
de,de,81
Paris,Paris,20
",",",",p
dans,dans,81
une,un,71
petite,petite,22
ville,ville,22
où,où,60
j',je,51
avais,avoir,18
passé,passer,12
quelques,quelque,75
jours,jour,21
heureux,heureux,30
au,à,81
au,le,71
temps,temps,21
de,de,81
ma,mon,73
jeunesse,jeunesse,22
",",",",p
chez,chez,81
de,de,81
vieux,vieux,30
parents,parent,21
",",",",p
morts,mort,31
depuis,depuis,81
/.,/.,P
j',je,51
avais,avoir,18
aimé,aimer,12
souvent,souvent,60
à,à,81
y,y,52
venir,venir,14
voir,voir,14
coucher,coucher,14
le,le,71
soleil,soleil,21
près,près,81
de,de,81
leur,leur,73
maison,maison,22
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
là,là,60
une,un,71
terrasse,terrasse,22
ombragée,ombragé,31
de,de,81
tilleuls,tilleul,21
qui,qui,52
me,je,51
rappelait,rappeler,18
aussi,aussi,60
le,le,71
souvenir,souvenir,21
de,de,81
jeunes,jeune,30
filles,fille,22
",",",",p
de,de,81
parentes,parente,22
",",",",p
parmi,parmi,81
lesquelles,lequel,52
j',je,51
avais,avoir,18
grandi,grandir,12
/.,/.,P
une,un,52
d',de,81
elles,ils,51
/…,/…,P
mais,mais,82
opposer,opposer,14
ce,ce,74
vague,vague,30
amour,amour,21
d',de,81
enfance,enfance,22
à,à,81
celui,celui,52
qui,qui,52
avait,avoir,18
dévoré,dévorer,12
ma,mon,73
jeunesse,jeunesse,22
",",",",p
y,y,52
avait,avoir,18
je,je,51
songé,songer,12
seulement,seulement,60
/?,/?,P
je,je,51
vis,voir,19
le,le,71
soleil,soleil,21
décliner,décliner,14
sur,sur,81
la,le,71
vallée,vallée,22
qui,qui,52
s',se,51
emplissait,emplir,18
de,de,81
vapeurs,vapeur,22
et,et,82
d',de,81
ombre,ombre,22
;,;,p
il,il,51
disparut,disparaître,19
",",",",p
baignant,baigner,13
de,de,81
feux,feu,21
rougeâtres,rougeâtre,30
la,le,71
cime,cime,22
des,de,81
des,le,71
bois,bois,21
qui,qui,52
bordaient,border,18
de,de,81
hautes,haut,30
collines,colline,22
/.,/.,P
la,le,71
plus,plus,60
morne,morne,30
tristesse,tristesse,22
entra,entrer,19
dans,dans,81
mon,mon,73
coeur,coeur,21
/.,/.,P
-,-,p
j',je,51
allai,aller,18
coucher,coucher,14
dans,dans,81
une,un,71
auberge,auberge,22
où,où,60
j',je,51
étais,être,18
connu,connaître,12
/.,/.,P
l',le,71
hôtelier,hôtelier,21
me,je,51
parla,parler,19
d',de,81
un,un,52
de,de,81
mes,mon,73
anciens,ancien,30
amis,ami,21
",",",",p
habitant,habiter,13
la,le,71
ville,ville,22
",",",",p
qui,qui,52
",",",",p
à,à,81
la,le,71
suite,suite,22
de,de,81
spéculations,spéculation,22
malheureuses,malheureux,30
",",",",p
s',se,51
était,être,18
tué,tuer,12
d',de,81
un,un,71
coup,coup,21
de,de,81
pistolet,pistolet,21
/…,/…,P
le,le,71
sommeil,sommeil,21
m',je,51
apporta,apporter,19
des,de,81
des,le,71
rêves,rêve,21
terribles,terrible,30
/.,/.,P
je,je,51
n',ne,60
en,en,52
ai,avoir,17
conservé,conserver,12
qu',que,83
un,un,71
souvenir,souvenir,21
confus,confus,30
/.,/.,P
-,-,p
je,je,51
me,je,51
trouvais,trouver,18
dans,dans,81
une,un,71
salle,salle,22
inconnue,inconnu,30
et,et,82
je,je,51
causais,causer,18
avec,avec,81
quelqu'un,quelqu'un,52
du,de,81
du,le,71
monde,monde,21
extérieur,extérieur,30
",",",",p
-,-,p
l',le,71
ami,ami,21
dont,dont,52
je,je,51
viens,venir,17
de,de,81
parler,parler,14
",",",",p
peut-être,peut-être,60
/.,/.,P
une,un,71
glace,glace,22
très,très,60
haute,haut,30
se,se,51
trouvait,trouver,18
derrière,derrière,81
nous,nous,51
/.,/.,P
en,en,81
y,y,52
jetant,jeter,13
par,par,81
hasard,hasard,21
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
",",",",p
il,il,51
me,je,51
sembla,sembler,19
reconnaître,reconnaître,14
Aurélia,Aurélia,20
/.,/.,P
elle,il,51
semblait,sembler,18
triste,triste,30
et,et,82
pensive,pensif,30
",",",",p
et,et,82
tout,tout,60
à,à,81
coup,coup,21
",",",",p
soit,soit,82
qu',que,83
elle,il,51
sortit,sortir,19
de,de,81
la,le,71
glace,glace,22
",",",",p
soit,soit,82
que,que,83
passant,passer,13
dans,dans,81
la,le,71
salle,salle,22
elle,il,51
se,se,51
fut,être,19
reflétée,refléter,12
un,un,71
instant,instant,21
auparavant,auparavant,60
",",",",p
cette,ce,74
figure,figure,22
douce,doux,30
et,et,82
chérie,chéri,31
se,se,51
trouva,trouver,19
près,près,81
de,de,81
moi,moi,51
/.,/.,P
elle,il,51
me,je,51
tendit,tendre,19
la,le,71
main,main,22
",",",",p
laissa,laisser,19
tomber,tomber,14
sur,sur,81
moi,moi,51
un,un,71
regard,regard,21
douloureux,douloureux,30
et,et,82
me,je,51
dit,dire,19
:,:,p
“,“,p
nous,nous,51
nous,nous,51
reverrons,revoir,15
plus,plus,60
tard,tard,60
…,…,p
à,à,81
la,le,71
maison,maison,22
de,de,81
ton,ton,73
ami,ami,21
/.,/.,P
“,“,p
en,en,81
un,un,71
instant,instant,21
",",",",p
je,je,51
me,je,51
représentai,représenter,19
son,son,73
mariage,mariage,21
",",",",p
la,le,71
malédiction,malédiction,22
qui,qui,52
nous,nous,51
séparait,séparer,18
",",",",p
et,et,82
je,je,51
me,je,51
dis,dire,17
:,:,p
“,“,p
est,être,17
ce,ce,52
possible,possible,30
?,?,p
reviendrait,revenir,16
elle,il,51
à,à,81
moi,moi,51
/?,/?,P
m',je,51
avez,avoir,17
vous,vous,51
pardonné,pardonner,12
?,?,p
demandai,demander,19
je,je,51
avec,avec,81
larmes,larme,22
/.,/.,P
mais,mais,82
tout,tout,52
avait,avoir,18
disparu,disparaître,12
/.,/.,P
je,je,51
me,je,51
trouvais,trouver,18
dans,dans,81
un,un,71
lieu,lieu,21
désert,désert,30
",",",",p
une,un,71
âpre,âpre,30
montée,montée,22
semée,semé,31
de,de,81
roches,roche,22
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
forêts,forêt,22
/.,/.,P
une,un,71
maison,maison,22
",",",",p
qu',que,52
il,il,51
me,je,51
semblait,sembler,18
reconnaître,reconnaître,14
",",",",p
dominait,dominer,18
ce,ce,74
pays,pays,21
désolé,désolé,31
/.,/.,P
j',je,51
allais,aller,18
et,et,82
je,je,51
revenais,revenir,18
par,par,81
des,de,81
des,le,71
détours,détour,21
inextricables,inextricable,30
/.,/.,P
fatigué,fatigué,31
de,de,81
marcher,marcher,14
entre,entre,81
les,le,71
pierres,pierre,22
et,et,82
les,le,71
ronces,ronce,22
",",",",p
je,je,51
cherchais,chercher,18
parfois,parfois,60
une,un,71
route,route,22
plus,plus,60
douce,doux,30
par,par,81
les,le,71
sentes,sente,22
du,de,81
du,le,71
bois,bois,21
/.,/.,P
“,“,p
on,on,51
m',je,51
attends,attendre,17
là-bas,là-bas,60
!,!,p
pensai,penser,19
je,je,51
/.,/.,P
“,“,p
-,-,p
une,un,71
certaine,certain,75
heure,heure,22
sonna,sonner,19
/…,/…,P
je,je,51
me,je,51
dis,dire,17
:,:,p
il,il,51
est,être,17
trop,trop,60
tard,tard,60
/!,/!,P
des,de,81
des,le,71
voix,voix,22
me,je,51
répondirent,répondre,19
:,:,p
elle,il,51
est,être,17
perdue,perdre,12
/!,/!,P
une,un,71
nuit,nuit,22
profonde,profond,30
m',je,51
entourait,entourer,18
",",",",p
la,le,71
maison,maison,22
lointaine,lointain,30
brillait,briller,18
comme,comme,83
éclairée,éclairé,31
pour,pour,81
une,un,71
fête,fête,22
et,et,82
pleine,plein,30
d',de,81
hôtes,hôte,21
arrivés,arrivé,31
à,à,81
temps,temps,21
/.,/.,P
“,“,p
elle,il,51
est,être,17
perdue,perdre,12
!,!,p
m',je,51
écriai,écrier,19
je,je,51
et,et,82
pourquoi,pourquoi,60
?,?,p
je,je,51
comprends,comprendre,17
-,-,p
elle,il,51
a,avoir,17
fait,faire,12
un,un,71
dernier,dernier,30
effort,effort,21
pour,pour,81
me,je,51
sauver,sauver,14
-,-,p
j',je,51
ai,avoir,17
manqué,manquer,12
le,le,71
moment,moment,21
suprême,suprême,30
où,où,60
le,le,71
pardon,pardon,21
était,être,18
possible,possible,30
encore,encore,60
/.,/.,P
du,de,81
du,le,71
haut,haut,21
du,de,81
du,le,71
ciel,ciel,21
",",",",p
elle,il,51
pouvait,pouvoir,18
prier,prier,14
pour,pour,81
moi,moi,51
l',le,71
époux,époux,21
divin,divin,30
/…,/…,P
et,et,82
qu',que,52
importe,importer,17
mon,mon,73
salut,salut,21
même,même,30
/?,/?,P
l',le,71
abîme,abîme,21
à,à,81
reçu,reçu,21
sa,son,73
proie,proie,22
/!,/!,P
elle,il,51
est,être,17
perdue,perdre,12
pour,pour,81
moi,moi,51
et,et,82
pour,pour,81
tous,tout,52
/!,/!,P
il,il,51
me,je,51
semblait,sembler,18
la,le,52
voir,voir,14
comme,comme,83
à,à,81
la,le,71
lueur,lueur,22
d',de,81
un,un,71
éclair,éclair,21
",",",",p
pâle,pâle,30
et,et,82
mourante,mourant,30
",",",",p
entraînée,entraîné,31
par,par,81
de,de,81
sombres,sombre,30
cavaliers,cavalier,21
",",",",p
le,le,71
cri,cri,21
de,de,81
douleur,douleur,22
et,et,82
de,de,81
rage,rage,22
que,que,52
je,je,51
poussai,pousser,19
en,en,81
ce,ce,74
moment,moment,21
me,je,51
réveilla,réveiller,19
tout,tout,60
haletant,haletant,30
/.,/.,P
-,-,p
mon,mon,73
dieu,dieu,21
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
pour,pour,81
elle,il,51
et,et,82
pour,pour,81
elle,il,51
seule,seul,30
!,!,p
mon,mon,73
dieu,dieu,21
pardonnez,pardonner,17
!,!,p
m',je,51
écriai,écrier,19
je,je,51
en,en,81
me,je,51
jetant,jeter,13
à,à,81
genoux,genou,21
/.,/.,P
il,il,51
faisait,faire,18
jour,jour,21
/.,/.,P
par,par,81
un,un,71
mouvement,mouvement,21
dont,dont,52
il,il,51
m',je,51
est,être,17
difficile,difficile,30
de,de,81
rendre,rendre,14
compte,compte,21
",",",",p
je,je,51
résolus,résoudre,19
aussitôt,aussitôt,60
de,de,81
détruire,détruire,14
les,le,71
deux,deux,72
papiers,papier,21
que,que,52
j',je,51
avais,avoir,18
retirés,retirer,12
la,le,71
veille,veille,22
du,de,81
du,le,71
coffret,coffret,21
:,:,p
la,le,71
lettre,lettre,22
",",",",p
hélas,hélas,60
!,!,p
que,que,52
je,je,51
relus,relire,19
en,en,81
la,le,52
mouillant,mouiller,13
de,de,81
larmes,larme,22
",",",",p
et,et,82
le,le,71
papier,papier,21
funèbre,funèbre,30
qui,qui,52
portait,porter,18
le,le,71
cachet,cachet,21
du,de,81
du,le,71
cimetière,cimetière,21
/.,/.,P
“,“,p
retrouver,retrouver,14
sa,son,73
tombe,tombe,22
maintenant,maintenant,60
?,?,p
me,je,51
disais,dire,18
je,je,51
",",",",p
mais,mais,82
c',ce,52
est,être,17
hier,hier,60
qu',que,83
il,il,51
fallait,falloir,18
y,y,52
retourner,retourner,14
",",",",p
-,-,p
et,et,82
mon,mon,73
rêve,rêve,21
fatal,fatal,30
n',ne,60
est,être,17
que,que,83
le,le,71
reflet,reflet,21
de,de,81
ma,mon,73
fatale,fatal,30
journée,journée,22
/!,/!,P
<Page 60 Partie 2 Chapitre 3>,<>,<>
la,le,71
flamme,flamme,22
a,avoir,17
dévoré,dévorer,12
ces,ce,74
reliques,relique,22
d',de,81
amour,amour,21
et,et,82
de,de,81
mort,mort,22
",",",",p
qui,qui,52
se,se,51
renouaient,renouer,18
aux,à,81
aux,le,71
fibres,fibre,22
les,le,71
plus,plus,60
douloureuses,douloureux,30
de,de,81
mon,mon,73
coeur,coeur,21
/.,/.,P
je,je,51
suis,être,17
allé,aller,12
promener,promener,14
mes,mon,73
peines,peine,22
et,et,82
mes,mon,73
remords,remords,21
tardifs,tardif,30
dans,dans,81
la,le,71
campagne,campagne,22
",",",",p
cherchant,chercher,13
dans,dans,81
la,le,71
marche,marche,22
et,et,82
dans,dans,81
la,le,71
fatigue,fatigue,22
l',le,71
engourdissement,engourdissement,21
de,de,81
la,le,71
pensée,pensée,22
",",",",p
la,le,71
certitude,certitude,22
peut-être,peut-être,60
pour,pour,81
la,le,71
nuit,nuit,22
suivante,suivant,30
d',de,81
un,un,71
sommeil,sommeil,21
moins,moins,60
funeste,funeste,30
/.,/.,P
avec,avec,81
cette,ce,74
idée,idée,22
que,que,52
je,je,51
m',je,51
étais,être,18
faite,faire,12
du,de,81
du,le,71
rêve,rêve,21
comme,comme,83
ouvrant,ouvrir,13
à,à,81
l',le,71
homme,homme,21
une,un,71
communication,communication,22
avec,avec,81
le,le,71
monde,monde,21
des,de,81
des,le,71
esprits,esprit,21
",",",",p
j',je,51
espérais,espérer,18
",",",",p
j',je,51
espérais,espérer,18
encore,encore,60
/!,/!,P
peut-être,peut-être,60
dieu,dieu,21
se,se,51
contenterait,contenter,16
de,de,81
ce,ce,74
sacrifice,sacrifice,21
/.,/.,P
-,-,p
ici,ici,60
je,je,51
m',je,51
arrête,arrêter,17
;,;,p
il,il,51
y,y,52
a,avoir,17
trop,trop,60
d',de,81
orgueil,orgueil,21
à,à,81
prétendre,prétendre,14
que,que,83
l',le,71
état,état,21
d',de,81
esprit,esprit,21
où,où,60
j',je,51
étais,être,18
fut,être,19
causé,causer,12
seulement,seulement,60
par,par,81
un,un,71
souvenir,souvenir,21
d',de,81
amour,amour,21
/.,/.,P
disons,dire,17
plutôt,plutôt,60
qu',que,83
involontairement,involontairement,60
j',je,51
en,en,52
parais,parer,18
les,le,71
remords,remords,21
plus,plus,60
graves,grave,30
d',de,81
une,un,71
vie,vie,22
follement,follement,60
dissipée,dissipé,31
où,où,60
le,le,71
mal,mal,21
avait,avoir,18
triomphé,triompher,12
bien,bien,60
souvent,souvent,60
et,et,82
dont,dont,52
je,je,51
ne,ne,60
reconnaissais,reconnaître,18
les,le,71
fautes,faute,22
qu',que,83
en,en,81
sentant,sentir,13
les,le,71
coups,coup,21
du,de,81
du,le,71
malheur,malheur,21
/.,/.,P
je,je,51
ne,ne,60
me,je,51
trouvais,trouver,18
plus,plus,60
digne,digne,30
même,même,60
de,de,81
penser,penser,14
à,à,81
celle,celui,52
que,que,52
je,je,51
tourmentais,tourmenter,18
dans,dans,81
sa,son,73
mort,mort,22
après,après,81
l',le,52
avoir,avoir,14
affligée,affliger,12
dans,dans,81
sa,son,73
vie,vie,22
",",",",p
n',ne,60
ayant,avoir,13
dû,devoir,12
un,un,71
dernier,dernier,30
regard,regard,21
de,de,81
pardon,pardon,21
qu',que,83
à,à,81
sa,son,73
douce,doux,30
et,et,82
sainte,saint,30
pitié,pitié,22
/.,/.,P
la,le,71
nuit,nuit,22
suivante,suivant,30
",",",",p
je,je,51
ne,ne,60
pus,pouvoir,19
dormir,dormir,14
que,que,83
peu,peu,60
d',de,81
instants,instant,21
/.,/.,P
une,un,71
femme,femme,22
qui,qui,52
avait,avoir,18
pris,prendre,12
soin,soin,21
de,de,81
ma,mon,73
jeunesse,jeunesse,22
m',je,51
apparut,apparaître,19
dans,dans,81
le,le,71
rêve,rêve,21
et,et,82
me,je,51
fit,faire,19
reproche,reproche,21
d',de,81
une,un,71
faute,faute,22
très,très,60
grave,grave,30
que,que,52
j',je,51
avais,avoir,18
commise,commettre,12
autrefois,autrefois,60
/.,/.,P
je,je,51
la,le,52
reconnaissais,reconnaître,18
",",",",p
quoiqu',quoique,83
elle,il,51
parut,paraître,19
beaucoup,beaucoup,60
plus,plus,60
vieille,vieux,30
que,que,83
dans,dans,81
les,le,71
derniers,dernier,30
temps,temps,21
où,où,60
je,je,51
l',le,52
avais,avoir,18
vue,voir,12
/.,/.,P
cela,cela,52
même,même,30
me,je,51
faisait,faire,18
songer,songer,14
amèrement,amèrement,60
que,que,83
j',je,51
avais,avoir,18
négligé,négliger,12
d',de,81
aller,aller,14
la,le,52
visiter,visiter,14
à,à,81
ses,son,73
derniers,dernier,30
instants,instant,21
/.,/.,P
il,il,51
me,je,51
sembla,sembler,19
qu',que,83
elle,il,51
me,je,51
disait,dire,18
:,:,p
“,“,p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
pleuré,pleurer,12
tes,ton,73
vieux,vieux,30
parents,parent,21
aussi,aussi,60
vivement,vivement,60
que,que,83
tu,tu,51
as,avoir,17
pleuré,pleurer,12
cette,ce,74
femme,femme,22
/.,/.,P
comment,comment,60
peux,pouvoir,17
tu,tu,51
donc,donc,82
espérer,espérer,14
le,le,71
pardon,pardon,21
/?,/?,P
le,le,71
rêve,rêve,21
devint,devenir,19
confus,confus,30
/.,/.,P
des,de,81
des,le,71
figures,figure,22
de,de,81
personnes,personne,22
que,que,52
j',je,51
avais,avoir,18
connues,connaître,12
en,en,81
divers,divers,30
temps,temps,21
passèrent,passer,19
rapidement,rapidement,60
devant,devant,81
mes,mon,73
yeux,oeil,21
/.,/.,P
elles,ils,51
défilaient,défiler,18
",",",",p
s',se,51
éclairant,éclairer,13
",",",",p
pâlissant,pâlir,13
et,et,82
retombant,retomber,13
dans,dans,81
la,le,71
nuit,nuit,22
comme,comme,83
les,le,71
grains,grain,21
d',de,81
un,un,71
chapelet,chapelet,21
dont,dont,52
le,le,71
lien,lien,21
se,se,51
serait,être,16
brisé,briser,12
/.,/.,P
je,je,51
vis,voir,19
ensuite,ensuite,60
se,se,51
former,former,14
vaguement,vaguement,60
des,de,81
des,le,71
images,image,22
plastiques,plastique,30
de,de,81
l',le,71
antiquité,antiquité,22
qui,qui,52
s',se,51
ébauchaient,ébaucher,18
",",",",p
se,se,51
fixaient,fixer,18
et,et,82
semblaient,sembler,18
représenter,représenter,14
des,de,81
des,le,71
symboles,symbole,21
dont,dont,52
je,je,51
ne,ne,60
saisissais,saisir,18
que,que,83
difficilement,difficilement,60
l',le,71
idée,idée,22
/.,/.,P
seulement,seulement,60
",",",",p
je,je,51
crus,croire,19
que,que,83
cela,cela,52
voulait,vouloir,18
dire,dire,14
:,:,p
“,“,p
tout,tout,75
cela,cela,52
était,être,18
fait,faire,12
pour,pour,81
t',tu,51
enseigner,enseigner,14
le,le,71
secret,secret,21
de,de,81
la,le,71
vie,vie,22
",",",",p
et,et,82
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
compris,comprendre,12
/.,/.,P
les,le,71
religions,religion,22
",",",",p
les,le,71
fables,fable,22
",",",",p
les,le,71
saints,saint,21
et,et,82
les,le,71
poètes,poète,21
s',se,51
accordaient,accorder,18
à,à,81
expliquer,expliquer,14
l',le,71
énigme,énigme,22
fatale,fatal,30
",",",",p
et,et,82
tu,tu,51
as,avoir,17
mal,mal,60
interprété,interpréter,12
/…,/…,P
maintenant,maintenant,60
",",",",p
il,il,51
est,être,17
trop,trop,60
tard,tard,60
/!,/!,P
je,je,51
me,je,51
levais,lever,18
plein,plein,30
de,de,81
terreur,terreur,22
",",",",p
me,je,51
disant,dire,13
:,:,p
“,“,p
c',ce,52
est,être,17
mon,mon,73
dernier,dernier,30
jour,jour,21
/!,/!,P
à,à,81
dix,dix,72
ans,an,21
d',de,81
intervalle,intervalle,21
",",",",p
la,le,71
même,même,75
idée,idée,22
que,que,52
j',je,51
ai,avoir,17
tracée,tracer,12
dans,dans,81
la,le,71
première,premier,72
partie,partie,22
de,de,81
ce,ce,74
récit,récit,21
me,je,51
revenait,revenir,18
plus,plus,60
positive,positif,30
encore,encore,60
et,et,82
plus,plus,60
menaçante,menaçant,30
/.,/.,P
dieu,dieu,21
m',je,51
avait,avoir,18
laissé,laisser,12
ce,ce,74
temps,temps,21
pour,pour,81
me,je,51
repentir,repentir,14
",",",",p
et,et,82
je,je,51
n',ne,60
en,en,52
avais,avoir,18
point,point,60
profité,profiter,12
/.,/.,P
-,-,p
après,après,81
la,le,71
visite,visite,22
du,de,81
du,le,71
convive,convive,21
de,de,81
pierre,pierre,22
",",",",p
je,je,51
m',je,51
étais,être,18
rassis,rasseoir,12
au,à,81
au,le,71
festin,festin,21
/!,/!,P
<Page 62 Partie 2 Chapitre 4>,<>,<>
le,le,71
sentiment,sentiment,21
qui,qui,52
résultât,résulter,18
pour,pour,81
moi,moi,51
de,de,81
ces,ce,74
visions,vision,22
et,et,82
de,de,81
ces,ce,74
réflexions,réflexion,22
qu',que,52
elles,ils,51
amenaient,amener,18
pendant,pendant,81
mes,mon,73
heures,heure,22
de,de,81
solitude,solitude,22
était,être,18
si,si,60
triste,triste,30
