11958
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingtième extrait>,<>,<>
",",",",p
des,de,81
des,le,71
motifs,motif,21
de,de,81
haine,haine,22
contre,contre,81
Dantès,Dantès,20
/?,/?,P
aucun,aucun,52
",",",",p
sur,sur,81
ma,mon,73
parole,parole,22
/.,/.,P
je,je,51
vous,vous,51
ai,avoir,17
vu,voir,12
malheureux,malheureux,30
et,et,82
votre,votre,73
malheur,malheur,21
m',je,51
a,avoir,17
intéressé,intéresser,12
",",",",p
voilà,voilà,81
tout,tout,52
;,;,p
mais,mais,82
du,de,81
du,le,71
moment,moment,21
où,où,60
vous,vous,51
croyez,croire,17
que,que,83
j',je,51
agis,agir,17
pour,pour,81
mon,mon,73
propre,propre,30
compte,compte,21
",",",",p
adieu,adieu,21
",",",",p
mon,mon,73
cher,cher,30
ami,ami,21
",",",",p
tirez,tirer,17
vous,vous,51
d',de,81
affaire,affaire,22
comme,comme,83
vous,vous,51
pourrez,pouvoir,15
/.,/.,P
“,“,p
et,et,82
Danglars,Danglars,20
fit,faire,19
semblant,semblant,21
de,de,81
se,se,51
lever,lever,14
à,à,81
son,son,73
tour,tour,21
/.,/.,P
“,“,p
non,non,60
pas,pas,60
",",",",p
dit,dire,19
Fernand,Fernand,20
en,en,81
le,le,52
retenant,retenir,13
",",",",p
restez,rester,17
/!,/!,P
peu,peu,60
m',je,51
importe,importer,17
",",",",p
au,à,81
au,le,71
bout,bout,21
du,de,81
du,le,71
compte,compte,21
",",",",p
que,que,83
vous,vous,51
en,en,52
vouliez,vouloir,17
à,à,81
Dantès,Dantès,20
",",",",p
ou,ou,82
que,que,83
vous,vous,51
ne,ne,60
lui,lui,51
en,en,52
vouliez,vouloir,17
pas,pas,60
:,:,p
je,je,51
lui,lui,51
en,en,52
veux,vouloir,17
",",",",p
moi,moi,51
;,;,p
je,je,51
l',le,52
avoue,avouer,17
hautement,hautement,60
/.,/.,P
trouvez,trouver,17
le,le,71
moyen,moyen,21
et,et,82
je,je,51
l',le,52
exécute,exécuter,17
",",",",p
pourvu,pourvu,81
qu',que,83
il,il,51
n',ne,60
y,y,52
ait,avoir,17
pas,pas,60
mort,mourir,12
d',de,81
homme,homme,21
",",",",p
car,car,82
Mercédès,Mercédès,20
a,avoir,17
dit,dire,12
qu',que,83
elle,il,51
se,se,51
tuerait,tuer,16
si,si,83
l',l',94
on,on,51
tuait,tuer,18
Dantès,Dantès,20
/.,/.,P
“,“,p
Caderousse,Caderousse,20
",",",",p
qui,qui,52
avait,avoir,18
laissé,laisser,12
tomber,tomber,14
sa,son,73
tête,tête,22
sur,sur,81
la,le,71
table,table,22
",",",",p
releva,relever,19
le,le,71
front,front,21
",",",",p
et,et,82
regardant,regarder,13
Fernand,Fernand,20
et,et,82
Danglars,Danglars,20
",",",",p
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
lourds,lourd,30
et,et,82
hébétée,hébété,30
:,:,p
“,“,p
tuer,tuer,14
Dantès,Dantès,20
!,!,p
dit,dire,19
il,il,51
",",",",p
qui,qui,52
parle,parler,17
ici,ici,60
de,de,81
tuer,tuer,14
Dantès,Dantès,20
?,?,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
qu',que,83
on,on,51
le,le,52
tue,tuer,17
",",",",p
moi,moi,51
:,:,p
c',ce,52
est,être,17
mon,mon,73
ami,ami,21
;,;,p
il,il,51
a,avoir,17
offert,offrir,12
ce,ce,74
matin,matin,21
de,de,81
partager,partager,14
son,son,73
argent,argent,21
avec,avec,81
moi,moi,51
",",",",p
comme,comme,83
j',je,51
ai,avoir,17
partagé,partager,12
le,le,71
mien,mien,52
avec,avec,81
lui,lui,51
:,:,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
qu',que,83
on,on,51
tue,tuer,17
Dantès,Dantès,20
/.,/.,P
-,-,p
et,et,82
qui,qui,52
te,tu,51
parle,parler,17
de,de,81
le,le,52
tuer,tuer,14
",",",",p
imbécile,imbécile,21
!,!,p
reprit,reprendre,19
Danglars,Danglars,20
;,;,p
il,il,51
s',se,51
agit,agir,17
d',de,81
une,un,71
simple,simple,30
plaisanterie,plaisanterie,22
;,;,p
bois,boire,17
à,à,81
sa,son,73
santé,santé,22
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
en,en,81
remplissant,remplir,13
le,le,71
verre,verre,21
de,de,81
Caderousse,Caderousse,20
",",",",p
et,et,82
laisse,laisser,17
nous,nous,51
tranquilles,tranquille,30
/.,/.,P
-,-,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
à,à,81
la,le,71
santé,santé,22
de,de,81
Dantès,Dantès,20
!,!,p
dit,dire,19
Caderousse,Caderousse,20
en,en,81
vidant,vider,13
son,son,73
verre,verre,21
",",",",p
à,à,81
sa,son,73
santé,santé,22
!,!,p
/…,/…,P
à,à,81
sa,son,73
santé,santé,22
!,!,p
…,…,p
là,là,60
/!,/!,P
mais,mais,82
le,le,71
moyen,moyen,21
",",",",p
le,le,71
moyen,moyen,21
?,?,p
dit,dire,19
Fernand,Fernand,20
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
l',le,52
avez,avoir,17
donc,donc,82
pas,pas,60
trouvé,trouver,12
encore,encore,60
",",",",p
vous,vous,51
/?,/?,P
non,non,60
",",",",p
vous,vous,51
vous,vous,51
en,en,52
êtes,être,17
chargé,charger,12
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
reprit,reprendre,19
Danglars,Danglars,20
",",",",p
les,le,71
Français,Français,20
ont,avoir,17
cette,ce,74
supériorité,supériorité,22
sur,sur,81
les,le,71
Espagnols,Espagnol,20
",",",",p
que,que,83
les,le,71
Espagnols,Espagnol,20
ruminent,ruminer,17
et,et,82
que,que,83
les,le,71
Français,Français,20
inventent,inventer,17
/.,/.,P
-,-,p
inventez,inventer,17
donc,donc,82
alors,alors,60
",",",",p
dit,dire,19
Fernand,Fernand,20
avec,avec,81
impatience,impatience,22
/.,/.,P
-,-,p
garçon,garçon,21
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
une,un,71
plume,plume,22
",",",",p
de,de,81
l',le,71
encre,encre,22
et,et,82
du,de,81
du,le,71
papier,papier,21
/!,/!,P
une,un,71
plume,plume,22
",",",",p
de,de,81
l',le,71
encre,encre,22
et,et,82
du,de,81
du,le,71
papier,papier,21
!,!,p
murmura,murmurer,19
Fernand,Fernand,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
je,je,51
suis,être,17
agent,agent,21
comptable,comptable,30
:,:,p
la,le,71
plume,plume,22
",",",",p
l',le,71
encre,encre,22
et,et,82
le,le,71
papier,papier,21
sont,être,17
mes,mon,73
instruments,instrument,21
;,;,p
et,et,82
sans,sans,81
mes,mon,73
instruments,instrument,21
je,je,51
ne,ne,60
sais,savoir,17
rien,rien,52
faire,faire,14
/.,/.,P
-,-,p
une,un,71
plume,plume,22
",",",",p
de,de,81
l',le,71
encre,encre,22
et,et,82
du,de,81
du,le,71
papier,papier,21
!,!,p
cria,crier,19
à,à,81
son,son,73
tour,tour,21
Fernand,Fernand,20
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
ce,ce,52
que,que,52
vous,vous,51
désirez,désirer,17
là,là,60
sur,sur,81
cette,ce,74
table,table,22
",",",",p
dit,dire,19
le,le,71
garçon,garçon,21
en,en,81
montrant,montrer,13
les,le,71
objets,objet,21
demandés,demandé,31
/.,/.,P
-,-,p
donnez,donner,17
les,le,52
nous,nous,51
alors,alors,60
/.,/.,P
“,“,p
le,le,71
garçon,garçon,21
prit,prendre,19
la,le,71
papier,papier,21
",",",",p
l',le,71
encre,encre,22
et,et,82
la,le,71
plume,plume,22
",",",",p
et,et,82
les,le,52
déposa,déposer,19
sur,sur,81
la,le,71
table,table,22
du,de,81
du,le,71
berceau,berceau,21
/.,/.,P
“,“,p
quand,quand,83
on,on,51
pense,penser,17
",",",",p
dit,dire,19
Caderousse,Caderousse,20
en,en,81
laissant,laisser,13
tomber,tomber,14
sa,son,73
main,main,22
sur,sur,81
le,le,71
papier,papier,21
",",",",p
qu',que,83
il,il,51
y,y,52
a,avoir,17
là,là,60
de,de,81
quoi,quoi,52
tuer,tuer,14
un,un,71
homme,homme,21
plus,plus,60
sûrement,sûrement,60
que,que,83
si,si,83
on,on,51
l',le,52
attendait,attendre,18
au,à,81
au,le,71
coin,coin,21
d',de,81
un,un,71
bois,bois,21
pour,pour,81
l',le,52
assassiner,assassiner,14
/!,/!,P
j',je,51
ai,avoir,17
toujours,toujours,60
eu,avoir,12
plus,plus,60
peur,peur,22
d',de,81
une,un,71
plume,plume,22
",",",",p
d',de,81
une,un,71
bouteille,bouteille,22
d',de,81
encre,encre,22
et,et,82
d',de,81
une,un,71
feuille,feuille,22
de,de,81
papier,papier,21
que,que,83
d',de,81
une,un,71
épée,épée,22
ou,ou,82
d',de,81
un,un,71
pistolet,pistolet,21
/.,/.,P
-,-,p
le,le,71
drôle,drôle,21
n',ne,60
est,être,17
pas,pas,60
encore,encore,60
si,si,60
ivre,ivre,30
qu',que,83
il,il,51
en,en,52
a,avoir,17
l',le,71
air,air,21
dit,dire,19
Danglars,Danglars,20
;,;,p
versez,verser,17
lui,lui,51
donc,donc,82
à,à,81
boire,boire,14
",",",",p
Fernand,Fernand,20
/.,/.,P
“,“,p
Fernand,Fernand,20
remplit,remplir,19
le,le,71
verre,verre,21
de,de,81
Caderousse,Caderousse,20
",",",",p
et,et,82
celui-ci,celui-ci,52
",",",",p
en,en,81
véritable,véritable,30
buveur,buveur,21
qu',que,52
il,il,51
était,être,18
",",",",p
leva,lever,19
la,le,71
main,main,22
de,de,81
dessus,dessus,60
le,le,71
papier,papier,21
et,et,82
la,le,52
porta,porter,19
à,à,81
son,son,73
verre,verre,21
/.,/.,P
le,le,71
Catalan,Catalan,20
suivit,suivre,19
le,le,71
mouvement,mouvement,21
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
Caderousse,Caderousse,20
",",",",p
presque,presque,60
vaincu,vaincu,31
par,par,81
cette,ce,74
nouvelle,nouveau,30
attaque,attaque,22
",",",",p
reposât,reposer,18
ou,ou,82
plutôt,plutôt,60
laissât,laisser,18
retomber,retomber,14
son,son,73
verre,verre,21
sur,sur,81
la,le,71
table,table,22
/.,/.,P
“,“,p
eh,eh,93
bien,bien,60
?,?,p
reprit,reprendre,19
le,le,71
Catalan,Catalan,20
en,en,81
voyant,voir,13
que,que,83
le,le,71
reste,reste,21
de,de,81
la,le,71
raison,raison,22
de,de,81
Caderousse,Caderousse,20
commençait,commencer,18
à,à,81
disparaître,disparaître,14
sous,sous,81
ce,ce,74
dernier,dernier,30
verre,verre,21
de,de,81
vin,vin,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
je,je,51
disais,dire,18
donc,donc,82
",",",",p
par,par,81
exemple,exemple,21
",",",",p
reprit,reprendre,19
Danglars,Danglars,20
",",",",p
que,que,83
si,si,83
",",",",p
après,après,81
un,un,71
voyage,voyage,21
comme,comme,83
celui,celui,52
que,que,52
vient,venir,17
de,de,81
faire,faire,14
Dantès,Dantès,20
",",",",p
et,et,82
dans,dans,81
lequel,lequel,52
il,il,51
a,avoir,17
touché,toucher,12
à,à,81
Naples,Naples,20
et,et,82
à,à,81
l',le,71
île,île,22
d',de,81
Elbe,Elbe,20
",",",",p
quelqu'un,quelqu'un,52
le,le,52
dénonçait,dénoncer,18
au,à,81
au,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
comme,comme,83
agent,agent,21
bonapartiste,bonapartiste,30
/…,/…,P
-,-,p
je,je,51
le,le,52
dénoncerai,dénoncer,15
",",",",p
moi,moi,51
!,!,p
dit,dire,19
vivement,vivement,60
le,le,71
jeune,jeune,30
homme,homme,21
/.,/.,P
-,-,p
oui,oui,60
;,;,p
mais,mais,82
alors,alors,60
on,on,51
vous,vous,51
fait,faire,17
signer,signer,14
votre,votre,73
déclaration,déclaration,22
",",",",p
on,on,51
vous,vous,51
confronte,confronter,17
avec,avec,81
celui,celui,52
que,que,52
vous,vous,51
avez,avoir,17
dénoncé,dénoncer,12
:,:,p
je,je,51
vous,vous,51
fournis,fournir,17
de,de,81
quoi,quoi,52
soutenir,soutenir,14
votre,votre,73
accusation,accusation,22
",",",",p
je,je,51
le,le,52
sais,savoir,17
bien,bien,60
;,;,p
mais,mais,82
Dantès,Dantès,20
ne,ne,60
peut,pouvoir,17
rester,rester,14
éternellement,éternellement,60
en,en,81
prison,prison,22
",",",",p
un,un,71
jour,jour,21
ou,ou,82
l',le,71
autre,autre,52
",",",",p
il,il,51
en,en,52
sort,sortir,17
",",",",p
et,et,82
",",",",p
ce,ce,74
jour,jour,21
où,où,60
il,il,51
en,en,52
sort,sortir,17
",",",",p
malheur,malheur,21
à,à,81
celui,celui,52
qui,qui,52
l',le,52
y,y,52
a,avoir,17
fait,faire,12
entrer,entrer,14
/!,/!,P
oh,oh,93
!,!,p
je,je,51
ne,ne,60
demande,demander,17
qu',que,83
une,un,71
chose,chose,22
",",",",p
dit,dire,19
Fernand,Fernand,20
",",",",p
c',ce,52
est,être,17
qu',que,83
il,il,51
vienne,venir,17
me,je,51
chercher,chercher,14
une,un,71
querelle,querelle,22
/!,/!,P
oui,oui,60
",",",",p
et,et,82
Mercédès,Mercédès,20
/!,/!,P
Mercédès,Mercédès,20
",",",",p
qui,qui,52
vous,vous,51
prend,prendre,17
en,en,81
haine,haine,22
si,si,83
vous,vous,51
avez,avoir,17
seulement,seulement,60
le,le,71
malheur,malheur,21
d',de,81
écorcher,écorcher,14
l',le,71
épiderme,épiderme,21
à,à,81
son,son,73
bien-aimé,bien-aimé,30
Edmond,Edmond,20
/!,/!,P
c',ce,52
est,être,17
juste,juste,30
",",",",p
dit,dire,19
Fernand,Fernand,20
/.,/.,P
-,-,p
non,non,60
",",",",p
non,non,60
",",",",p
reprit,reprendre,19
Danglars,Danglars,20
",",",",p
si,si,83
on,on,51
se,se,51
décidait,décider,18
à,à,81
une,un,71
pareille,pareil,30
chose,chose,22
",",",",p
voyez,voir,17
-,-,p
vous,vous,51
",",",",p
il,il,51
vaudrait,valoir,16
mieux,mieux,60
prendre,prendre,14
tout,tout,60
bonnement,bonnement,60
comme,comme,83
je,je,51
le,le,52
fais,faire,17
",",",",p
cette,ce,74
plume,plume,22
",",",",p
la,le,52
tremper,tremper,14
dans,dans,81
l',le,71
encre,encre,22
",",",",p
et,et,82
écrire,écrire,14
de,de,81
la,le,71
main,main,22
gauche,gauche,30
",",",",p
pour,pour,81
que,que,83
l',le,71
écriture,écriture,22
ne,ne,60
fût,être,19
pas,pas,60
reconnue,reconnaître,12
",",",",p
une,un,71
petite,petit,30
dénonciation,dénonciation,22
ainsi,ainsi,60
conçue,conçu,31
/.,/.,P
“,“,p
et,et,82
Danglars,Danglars,20
",",",",p
joignant,joindre,13
l',le,71
exemple,exemple,21
au,à,81
au,le,71
précepte,précepte,21
",",",",p
écrivit,écrire,19
de,de,81
la,le,71
main,main,22
gauche,gauche,30
et,et,82
d',de,81
une,un,71
écriture,écriture,22
renversée,renversé,31
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
aucune,aucun,75
analogie,analogie,22
avec,avec,81
son,son,73
écriture,écriture,22
habituelle,habituel,30
",",",",p
les,le,71
lignes,ligne,22
suivantes,suivant,30
qu',que,52
il,il,51
passa,passer,19
à,à,81
Fernand,Fernand,20
",",",",p
et,et,82
que,que,52
Fernand,Fernand,20
lut,lire,19
à,à,81
demi-voix,demi-voix,22
:,:,p
“,“,p
monsieur,monsieur,21
le,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
est,être,17
prévenu,prévenir,12
",",",",p
par,par,81
un,un,71
ami,ami,21
du,de,81
du,le,71
trône,trône,21
et,et,82
de,de,81
la,le,71
religion,religion,22
",",",",p
que,que,83
le,le,71
nommé,nommé,31
Edmond,Edmond,20
Dantès,Dantès,20
",",",",p
second,second,72
du,de,81
du,le,71
navire,navire,21
le,le,71
Pharaon,Pharaon,20
",",",",p
arrivé,arrivé,31
ce,ce,74
matin,matin,21
de,de,81
Smyrne,Smyrne,20
",",",",p
après,après,81
avoir,avoir,14
touché,toucher,12
à,à,81
Naples,Naples,20
et,et,82
à,à,81
Porto,Porto,20
Ferrajo,Ferrajo,20
",",",",p
a,avoir,17
été,être,12
chargé,charger,12
",",",",p
par,par,81
Murat,Murat,20
",",",",p
d',de,81
une,un,71
lettre,lettre,22
pour,pour,81
l',le,71
usurpateur,usurpateur,21
",",",",p
et,et,82
",",",",p
par,par,81
l',le,71
usurpateur,usurpateur,21
",",",",p
d',de,81
une,un,71
lettre,lettre,22
pour,pour,81
le,le,71
comité,comité,21
bonapartiste,bonapartiste,30
de,de,81
Paris,Paris,20
/.,/.,P
“,“,p
on,on,51
aura,avoir,15
la,le,71
preuve,preuve,22
de,de,81
son,son,73
crime,crime,21
en,en,81
l',le,52
arrêtant,arrêter,13
",",",",p
car,car,82
on,on,51
trouvera,trouver,15
cette,ce,74
lettre,lettre,22
ou,ou,82
sur,sur,81
lui,lui,51
",",",",p
ou,ou,82
chez,chez,81
son,son,73
père,père,21
",",",",p
ou,ou,82
dans,dans,81
sa,son,73
cabine,cabine,22
à,à,81
bord,bord,21
du,de,81
du,le,71
Pharaon,Pharaon,20
“,“,p
“,“,p
à,à,81
la,le,71
bonne,bon,30
heure,heure,22
",",",",p
continua,continuer,19
Danglars,Danglars,20
;,;,p
ainsi,ainsi,60
votre,votre,73
vengeance,vengeance,22
aurait,avoir,16
le,le,71
sens,sens,21
commun,commun,30
",",",",p
car,car,82
d',de,81
aucune,aucun,75
façon,façon,22
alors,alors,60
elle,il,51
ne,ne,60
pourrait,pouvoir,16
retomber,retomber,14
sur,sur,81
vous,vous,51
",",",",p
et,et,82
la,le,71
chose,chose,22
irait,aller,16
toute,tout,60
seule,seul,30
;,;,p
il,il,51
n',ne,60
y,y,52
aurait,avoir,16
plus,plus,60
qu',que,83
à,à,81
plier,plier,14
cette,ce,74
lettre,lettre,22
",",",",p
comme,comme,83
je,je,51
le,le,52
fais,faire,17
",",",",p
et,et,82
à,à,81
écrire,écrire,14
dessus,dessus,60
:,:,p
“,“,p
à,à,81
monsieur,monsieur,21
le,le,71
procureur,procureur,21
royal,royal,30
/.,/.,P
“,“,p
tout,tout,52
serait,être,16
dit,dire,12
/.,/.,P
“,“,p
et,et,82
Danglars,Danglars,20
écrivit,écrire,19
l',le,71
adresse,adresse,22
en,en,81
se,se,51
jouant,jouer,13
/.,/.,P
“,“,p
oui,oui,60
",",",",p
tout,tout,52
serait,être,16
dit,dire,12
“,“,p
",",",",p
s',se,51
écria,écrier,19
Caderousse,Caderousse,20
",",",",p
qui,qui,52
par,par,81
un,un,71
dernier,dernier,30
effort,effort,21
d',de,81
intelligence,intelligence,22
avait,avoir,18
suivi,suivre,12
la,le,71
lecture,lecture,22
",",",",p
et,et,82
qui,qui,52
comprenait,comprendre,18
d',de,81
instinct,instinct,21
tout,tout,52
ce,ce,52
qu',que,52
une,un,71
pareille,pareil,30
dénonciation,dénonciation,22
pourrait,pouvoir,16
entraîner,entraîner,14
de,de,81
malheur,malheur,21
;,;,p
“,“,p
oui,oui,60
",",",",p
tout,tout,52
serait,être,16
dit,dire,12
:,:,p
seulement,seulement,60
",",",",p
ce,ce,52
serait,être,16
une,un,71
infamie,infamie,22
/.,/.,P
“,“,p
et,et,82
il,il,51
allongea,allonger,19
le,le,71
bras,bras,21
pour,pour,81
prendre,prendre,14
la,le,71
lettre,lettre,22
/.,/.,P
“,“,p
aussi,aussi,60
",",",",p
dit,dire,19
Danglars,Danglars,20
en,en,81
la,le,52
poussant,pousser,13
hors,hors,81
de,de,81
la,le,71
portée,portée,22
de,de,81
sa,son,73
main,main,22
",",",",p
aussi,aussi,60
",",",",p
ce,ce,52
que,que,52
je,je,51
dis,dire,17
et,et,82
ce,ce,52
que,que,52
je,je,51
fais,faire,17
",",",",p
c',ce,52
est,être,17
en,en,81
plaisantant,plaisanter,13
;,;,p
et,et,82
",",",",p
le,le,71
premier,premier,72
",",",",p
je,je,51
serais,être,16
bien,bien,60
fâché,fâcher,12
qu',que,83
il,il,51
arrivât,arriver,18
quelque,quelque,75
chose,chose,22
à,à,81
Dantès,Dantès,20
",",",",p
ce,ce,74
bon,bon,30
Dantès,Dantès,20
/!,/!,P
aussi,aussi,60
",",",",p
tiens,tenir,17
/…,/…,P
“,“,p
il,il,51
prit,prendre,19
la,le,71
lettre,lettre,22
",",",",p
la,le,52
froissa,froisser,19
dans,dans,81
ses,son,73
mains,main,22
et,et,82
la,le,52
jeta,jeter,19
dans,dans,81
un,un,71
coin,coin,21
de,de,81
la,le,71
tonnelle,tonnelle,22
/.,/.,P
“,“,p
à,à,81
la,le,71
bonne,bon,30
heure,heure,22
",",",",p
dit,dire,19
Caderousse,Caderousse,20
",",",",p
Dantès,Dantès,20
est,être,17
mon,mon,73
ami,ami,21
",",",",p
et,et,82
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
qu',que,83
on,on,51
lui,lui,51
fasse,faire,17
de,de,81
mal,mal,21
/.,/.,P
-,-,p
eh,eh,93
!,!,p
qui,qui,52
diable,diable,21
y,y,52
songe,songer,17
à,à,81
lui,lui,51
faire,faire,14
du,de,81
du,le,71
mal,mal,21
!,!,p
ce,ce,52
n',ne,60
est,être,17
ni,ni,82
moi,moi,51
ni,ni,82
Fernand,Fernand,20
!,!,p
dit,dire,19
Danglars,Danglars,20
en,en,81
se,se,51
levant,lever,13
et,et,82
en,en,81
regardant,regarder,13
le,le,71
jeune,jeune,30
homme,homme,21
qui,qui,52
était,être,18
demeuré,demeurer,12
assis,assis,31
",",",",p
mais,mais,82
dont,dont,52
l',le,71
oeil,oeil,21
oblique,oblique,30
couvait,couver,18
le,le,71
papier,papier,21
dénonciateur,dénonciateur,30
jeté,jeté,31
dans,dans,81
un,un,71
coin,coin,21
/.,/.,P
en,en,81
ce,ce,74
cas,cas,21
",",",",p
reprit,reprendre,19
Caderousse,Caderousse,20
",",",",p
qu',que,52
on,on,51
nous,nous,51
donne,donner,17
du,de,81
du,le,71
vin,vin,21
:,:,p
je,je,51
veux,vouloir,17
boire,boire,14
à,à,81
la,le,71
santé,santé,22
d',de,81
Edmond,Edmond,20
et,et,82
de,de,81
la,le,71
belle,beau,30
Mercédès,Mercédès,20
/.,/.,P
-,-,p
tu,tu,51
n',ne,60
as,avoir,17
déjà,déjà,60
que,que,83
trop,trop,60
bu,boire,12
",",",",p
ivrogne,ivrogne,21
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
et,et,82
si,si,83
tu,tu,51
continues,continu,30
tu,tu,51
seras,être,15
obligé,obliger,12
de,de,81
coucher,coucher,14
ici,ici,60
",",",",p
attendu,attendu,81
que,que,83
tu,tu,51
ne,ne,60
pourras,pouvoir,15
plus,plus,60
te,tu,51
tenir,tenir,14
sur,sur,81
tes,ton,73
jambes,jambe,22
/.,/.,P
-,-,p
moi,moi,51
",",",",p
dit,dire,19
Caderousse,Caderousse,20
en,en,81
se,se,51
levant,lever,13
avec,avec,81
la,le,71
fatuité,fatuité,22
de,de,81
l',le,71
homme,homme,21
ivre,ivre,30
;,;,p
moi,moi,51
",",",",p
ne,ne,60
pas,pas,60
pouvoir,pouvoir,14
me,je,51
tenir,tenir,14
sur,sur,81
mes,mon,73
jambes,jambe,22
/!,/!,P
je,je,51
parie,parier,17
que,que,83
je,je,51
monte,monter,17
au,à,81
au,le,71
clocher,clocher,21
des,de,81
des,le,71
Accoules,Accoules,20
",",",",p
et,et,82
sans,sans,81
balancer,balancer,14
encore,encore,60
/!,/!,P
eh,eh,93
bien,bien,60
",",",",p
soit,soit,82
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
je,je,51
parie,parier,17
",",",",p
mais,mais,82
pour,pour,81
demain,demain,60
:,:,p
aujourd'hui,aujourd'hui,60
il,il,51
est,être,17
temps,temps,21
de,de,81
rentrer,rentrer,14
;,;,p
donne,donner,17
moi,moi,51
donc,donc,82
le,le,71
bras,bras,21
et,et,82
rentrons,rentrer,17
/.,/.,P
-,-,p
rentrons,rentrer,17
",",",",p
dit,dire,19
Caderousse,Caderousse,20
",",",",p
mais,mais,82
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
ton,ton,73
bras,bras,21
pour,pour,81
cela,cela,52
/.,/.,P
viens,venir,17
tu,tu,51
",",",",p
Fernand,Fernand,20
?,?,p
rentres,rentrer,17
tu,tu,51
avec,avec,81
nous,nous,51
à,à,81
Marseille,Marseille,20
/?,/?,P
non,non,60
",",",",p
dit,dire,19
Fernand,Fernand,20
",",",",p
je,je,51
retourne,retourner,17
aux,à,81
aux,le,71
Catalans,Catalan,20
",",",",p
moi,moi,51
/.,/.,P
-,-,p
tu,tu,51
as,avoir,17
tort,tort,21
",",",",p
viens,venir,17
avec,avec,81
nous,nous,51
à,à,81
Marseille,Marseille,20
",",",",p
viens,venir,17
/.,/.,P
-,-,p
je,je,51
n',ne,60
ai,avoir,17
point,point,60
besoin,besoin,21
à,à,81
Marseille,Marseille,20
",",",",p
et,et,82
je,je,51
n',ne,60
y,y,52
veux,vouloir,17
point,point,60
aller,aller,14
/.,/.,P
-,-,p
comment,comment,60
as,avoir,17
tu,tu,51
dit,dire,12
cela,cela,52
/?,/?,P
tu,tu,51
ne,ne,60
veux,vouloir,17
pas,pas,60
",",",",p
mon,mon,73
bonhomme,bonhomme,21
!,!,p
eh,eh,93
bien,bien,60
",",",",p
à,à,81
ton,ton,73
aise,aise,22
!,!,p
liberté,liberté,22
pour,pour,81
tout,tout,75
le,le,71
monde,monde,21
/!,/!,P
viens,venir,17
",",",",p
Danglars,Danglars,20
",",",",p
et,et,82
laissons,laisser,17
monsieur,monsieur,21
rentrer,rentrer,14
aux,à,81
aux,le,71
Catalans,Catalan,20
",",",",p
puisqu',puisque,83
il,il,51
le,le,52
veut,vouloir,17
/.,/.,P
“,“,p
Danglars,Danglars,20
profita,profiter,19
de,de,81
ce,ce,74
moment,moment,21
de,de,81
bonne,bon,30
volonté,volonté,22
de,de,81
Caderousse,Caderousse,20
pour,pour,81
l',le,52
entraîner,entraîner,14
du,de,81
du,le,71
côté,côté,21
de,de,81
Marseille,Marseille,20
;,;,p
seulement,seulement,60
",",",",p
pour,pour,81
ouvrir,ouvrir,14
un,un,71
chemin,chemin,21
plus,plus,60
court,court,30
et,et,82
plus,plus,60
facile,facile,30
à,à,81
Fernand,Fernand,20
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
revenir,revenir,14
par,par,81
le,le,71
quai,quai,21
de,de,81
la,le,71
Rive Neuve,Rive Neuve,20
",",",",p
il,il,51
revint,revenir,19
par,par,81
la,le,71
porte,porte,22
Saint-Victor,Saint Victor,20
/.,/.,P
Caderousse,Caderousse,20
le,le,52
suivait,suivre,18
",",",",p
tout,tout,60
chancelant,chancelant,30
",",",",p
accroché,accroché,31
à,à,81
son,son,73
bras,bras,21
/.,/.,P
lorsqu',lorsque,83
il,il,51
eut,avoir,19
fait,faire,12
une,un,71
vingtaine,vingtaine,22
de,de,81
pas,pas,21
",",",",p
Danglars,Danglars,20
se,se,51
retourna,retourner,19
et,et,82
vit,voir,19
Fernand,Fernand,20
se,se,51
précipiter,précipiter,14
sur,sur,81
le,le,71
papier,papier,21
",",",",p
qu',que,52
il,il,51
mit,mettre,19
dans,dans,81
sa,son,73
poche,poche,22
;,;,p
puis,puis,60
aussitôt,aussitôt,60
",",",",p
s',se,51
élançant,élancer,13
hors,hors,81
de,de,81
la,le,71
tonnelle,tonnelle,22
