11942
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-huitième extrait>,<>,<>
vas,aller,17
vous,vous,51
allonger,allonger,14
mon,mon,73
pied,pied,21
quelque,quelque,75
part,part,22
/.,/.,P
Etienne,Etienne,20
alla,aller,19
se,se,51
charger,charger,14
",",",",p
sans,sans,81
rancune,rancune,22
de,de,81
cette,ce,74
rudesse,rudesse,22
",",",",p
si,si,60
furieux,furieux,30
lui-même,lui-même,51
contre,contre,81
les,le,71
chefs,chef,21
",",",",p
qu',que,83
il,il,51
trouvait,trouver,18
les,le,71
mineurs,mineur,21
trop,trop,60
bons,bon,30
enfants,enfant,21
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
Levaque,Levaque,20
et,et,82
Chaval,Chaval,20
s',se,51
étaient,être,18
soulagés,soulager,12
en,en,81
gros,gros,30
mots,mot,21
/.,/.,P
tous,tout,52
",",",",p
même,même,60
Zacharie,Zacharie,20
",",",",p
boisaient,boiser,18
rageusement,rageusement,60
/.,/.,P
pendant,pendant,81
près,près,81
d',de,81
une,un,71
demi-heure,demi-heure,22
",",",",p
on,on,51
n',ne,60
entendit,entendre,19
que,que,83
le,le,71
craquement,craquement,21
des,de,81
des,le,71
bois,bois,21
",",",",p
calés,calé,31
à,à,81
coups,coup,21
de,de,81
masse,masse,22
/.,/.,P
ils,ils,51
n',ne,60
ouvraient,ouvrir,18
plus,plus,60
la,le,71
bouche,bouche,22
",",",",p
ils,ils,51
soufflaient,souffler,18
",",",",p
s',se,51
exaspéraient,exaspérer,18
contre,contre,81
la,le,71
roche,roche,22
",",",",p
qu',que,52
ils,ils,51
auraient,avoir,16
bousculée,bousculer,12
et,et,82
remontée,remonter,12
d',de,81
un,un,71
renfoncement,renfoncement,21
d',de,81
épaules,épaule,22
",",",",p
s',si,83
ils,ils,51
l',le,52
avaient,avoir,18
pu,pouvoir,12
/.,/.,P
-,-,p
en,en,52
voilà,voilà,81
assez,assez,60
!,!,p
dit,dire,19
enfin,enfin,60
Maheu,Maheu,20
",",",",p
brisé,brisé,31
de,de,81
colère,colère,22
et,et,82
de,de,81
fatigue,fatigue,22
/.,/.,P
une,un,71
heure,heure,22
et,et,82
demie,demi,30
/…,/…,P
ah,ah,93
!,!,p
une,un,71
propre,propre,30
journée,journée,22
",",",",p
nous,nous,51
n',ne,60
aurons,avoir,15
pas,pas,60
cinquante,cinquante,72
sous,sou,21
!,!,p
/…,/…,P
je,je,51
m',je,51
en,en,52
vais,aller,17
",",",",p
ça,ça,52
me,je,51
dégoûte,dégoûter,17
/.,/.,P
bien,bien,60
qu',que,83
il,il,51
y,y,52
eût,avoir,19
encore,encore,60
une,un,71
demi-heure,demi-heure,22
de,de,81
travail,travail,21
",",",",p
il,il,51
se,se,51
rhabilla,rhabiller,19
/.,/.,P
les,le,71
autres,autre,52
l',le,52
imitèrent,imiter,19
/.,/.,P
la,le,71
vue,vue,22
seule,seul,30
de,de,81
la,le,71
taille,taille,22
les,le,52
jetait,jeter,18
hors,hors,81
d',de,81
eux,ils,51
/.,/.,P
comme,comme,83
la,le,71
herscheuse,herscheuse,22
s',se,51
était,être,18
remise,remettre,12
au,à,81
au,le,71
roulage,roulage,21
",",",",p
ils,ils,51
l',le,52
appelèrent,appeler,19
en,en,81
s',se,51
irritant,irriter,13
de,de,81
son,son,73
zèle,zèle,21
:,:,p
si,si,83
le,le,71
charbon,charbon,21
avait,avoir,18
des,de,81
des,le,71
pieds,pied,21
",",",",p
il,il,51
sortirait,sortir,16
tout,tout,60
seul,seul,30
/.,/.,P
et,et,82
les,le,71
six,six,72
",",",",p
leurs,leur,73
outils,outil,21
sous,sous,81
le,le,71
bras,bras,21
",",",",p
partirent,partir,19
",",",",p
ayant,avoir,13
à,à,81
refaire,refaire,14
les,le,71
deux,deux,72
kilomètres,kilomètre,21
",",",",p
retournant,retourner,13
au,à,81
au,le,71
puits,puits,21
par,par,81
la,le,71
route,route,22
du,de,81
du,le,71
matin,matin,21
/.,/.,P
dans,dans,81
la,le,71
cheminée,cheminée,22
",",",",p
Catherine,Catherine,20
et,et,82
Etienne,Etienne,20
s',se,51
attardèrent,attarder,19
",",",",p
tandis que,tandis que,83
les,le,71
haveurs,haveur,21
glissaient,glisser,18
jusqu',jusque,81
en,en,81
bas,bas,21
/.,/.,P
c',ce,52
était,être,18
une,un,71
rencontre,rencontre,22
",",",",p
la,le,71
petite,petit,30
Lydie,Lydie,20
",",",",p
arrêtée,arrêté,31
au,à,81
au,le,71
milieu,milieu,21
d',de,81
une,un,71
voie,voie,22
pour,pour,81
les,le,52
laisser,laisser,14
passer,passer,14
",",",",p
et,et,82
qui,qui,52
leur,leur,52
racontait,raconter,18
une,un,71
disparition,disparition,22
de,de,81
la,le,71
Mouquette,Mouquette,20
",",",",p
prise,pris,31
d',de,81
un,un,71
tel,tel,75
saignement,saignement,21
de,de,81
nez,nez,21
",",",",p
que,que,83
depuis,depuis,81
une,un,71
heure,heure,22
elle,il,51
était,être,18
allée,aller,12
se,se,51
tremper,tremper,14
la,le,71
figure,figure,22
quelque,quelque,75
part,part,22
",",",",p
on,on,51
ne,ne,60
savait,savoir,18
pas,pas,60
où,où,60
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
ils,ils,51
la,le,52
quittèrent,quitter,19
",",",",p
l',le,71
enfant,enfant,21
poussa,pousser,19
de,de,81
nouveau,nouveau,21
sa,son,73
berline,berline,22
",",",",p
éreintée,éreinté,31
",",",",p
boueuse,boueux,30
",",",",p
raidissant,raidir,13
ses,son,73
bras,bras,21
et,et,82
ses,son,73
jambes,jambe,22
d',de,81
insecte,insecte,21
",",",",p
pareille,pareil,30
à,à,81
une,un,71
maigre,maigre,30
fourmi,fourmi,22
noire,noir,30
en,en,81
lutte,lutte,22
contre,contre,81
un,un,71
fardeau,fardeau,21
trop,trop,60
lourd,lourd,30
/.,/.,P
eux,ils,51
",",",",p
dévalaient,dévaler,18
sur,sur,81
le,le,71
dos,dos,21
",",",",p
aplatissaient,aplatir,18
leurs,leur,73
épaules,épaule,22
",",",",p
de,de,81
peur,peur,22
de,de,81
s',se,51
arracher,arracher,14
la,le,71
peau,peau,22
du,de,81
du,le,71
front,front,21
;,;,p
et,et,82
ils,ils,51
filaient,filer,18
si,si,60
raide,raide,30
",",",",p
le,le,71
long,long,21
de,de,81
la,le,71
roche,roche,22
polie,poli,31
par,par,81
tous,tout,75
les,le,71
derrières,derrière,21
des,de,81
des,le,71
chantiers,chantier,21
",",",",p
qu',que,83
ils,ils,51
devaient,devoir,18
",",",",p
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
se,se,51
retenir,retenir,14
aux,à,81
aux,le,71
bois,bois,21
",",",",p
pour,pour,81
que,que,83
leurs,leur,73
fesses,fesse,22
ne,ne,60
prissent,prendre,18
pas,pas,60
feu,feu,21
",",",",p
disaient,dire,18
ils,ils,51
en,en,81
plaisantant,plaisanter,13
/.,/.,P
en,en,81
bas,bas,21
",",",",p
ils,ils,51
se,se,51
trouvèrent,trouver,19
seuls,seul,30
/.,/.,P
des,de,81
des,le,71
étoiles,étoile,22
rouges,rouge,30
disparaissaient,disparaître,18
au,à,81
au,le,71
loin,loin,60
",",",",p
à,à,81
un,un,71
coude,coude,21
de,de,81
la,le,71
galerie,galerie,22
/.,/.,P
leur,leur,73
gaieté,gaieté,22
tomba,tomber,19
",",",",p
ils,ils,51
se,se,51
mirent,mettre,19
en,en,81
marche,marche,22
d',de,81
un,un,71
pas,pas,21
lourd,lourd,30
de,de,81
fatigue,fatigue,22
",",",",p
elle,il,51
devant,devant,81
",",",",p
lui,lui,51
derrière,derrière,81
/.,/.,P
les,le,71
lampes,lampe,22
charbonnaient,charbonner,18
",",",",p
il,il,51
la,le,52
voyait,voir,18
à,à,81
peine,peine,22
",",",",p
noyée,noyé,31
d',de,81
une,un,71
sorte,sorte,22
de,de,81
brouillard,brouillard,21
fumeux,fumeux,30
;,;,p
et,et,82
l',le,71
idée,idée,22
qu',que,52
elle,il,51
était,être,18
une,un,71
fille,fille,22
lui,lui,51
causait,causer,18
un,un,71
malaise,malaise,21
",",",",p
parce qu',parce que,83
il,il,51
se,se,51
sentait,sentir,18
bête,bête,30
de,de,81
ne,ne,60
pas,pas,60
l',le,52
embrasser,embrasser,14
",",",",p
et,et,82
que,que,83
le,le,71
souvenir,souvenir,21
de,de,81
l',le,71
autre,autre,52
l',le,52
en,en,52
empêchait,empêcher,18
/.,/.,P
assurément,assurément,60
",",",",p
elle,il,51
lui,lui,51
avait,avoir,18
menti,mentir,12
:,:,p
l',le,71
autre,autre,52
était,être,18
son,son,73
amant,amant,21
",",",",p
ils,ils,51
couchaient,coucher,18
ensemble,ensemble,60
sur,sur,81
tous,tout,75
les,le,71
tas,tas,21
d',de,81
escaillage,escaillage,21
",",",",p
car,car,82
elle,il,51
avait,avoir,18
déjà,déjà,60
le,le,71
déhanchement,déhanchement,21
d',de,81
une,un,71
gueuse,gueuse,22
/.,/.,P
sans,sans,81
raison,raison,22
",",",",p
il,il,51
la,le,52
boudait,bouder,18
",",",",p
comme,comme,83
si,si,83
elle,il,51
l',le,52
eût,avoir,19
trompé,tromper,12
/.,/.,P
elle,il,51
pourtant,pourtant,60
",",",",p
à,à,81
chaque,chaque,75
minute,minute,22
",",",",p
se,se,51
tournait,tourner,18
",",",",p
l',le,52
avertissait,avertir,18
d',de,81
un,un,71
obstacle,obstacle,21
",",",",p
semblait,sembler,18
l',le,52
inviter,inviter,14
à,à,81
être,être,14
aimable,aimable,30
/.,/.,P
on,on,51
était,être,18
si,si,60
perdu,perdre,12
",",",",p
on,on,51
aurait,avoir,16
si,si,60
bien,bien,60
pu,pouvoir,12
rire,rire,14
en,en,81
bons,bon,30
amis,ami,21
/!,/!,P
enfin,enfin,60
",",",",p
ils,ils,51
débouchèrent,déboucher,19
dans,dans,81
la,le,71
galerie,galerie,22
de,de,81
roulage,roulage,21
",",",",p
ce,ce,52
fut,être,19
pour,pour,81
lui,lui,51
un,un,71
soulagement,soulagement,21
à,à,81
l',le,71
indécision,indécision,22
dont,dont,52
il,il,51
souffrait,souffrir,18
;,;,p
tandis qu',tandis que,83
elle,il,51
",",",",p
une,un,71
dernière,dernier,30
fois,fois,22
",",",",p
eut,avoir,19
un,un,71
regard,regard,21
attristé,attristé,31
",",",",p
le,le,71
regret,regret,21
d',de,81
un,un,71
bonheur,bonheur,21
qu',que,52
ils,ils,51
ne,ne,60
retrouveraient,retrouver,16
plus,plus,60
/.,/.,P
maintenant,maintenant,60
",",",",p
autour,autour,60
d',de,81
eux,ils,51
",",",",p
la,le,71
vie,vie,22
souterraine,souterrain,30
grondait,gronder,18
",",",",p
avec,avec,81
le,le,71
continuel,continuel,30
passage,passage,21
des,de,81
des,le,71
porions,porion,21
",",",",p
le,le,71
va-et-vient,va-et-vient,21
des,de,81
des,le,71
trains,train,21
",",",",p
emportés,emporté,31
au,à,81
au,le,71
trot,trot,21
des,de,81
des,le,71
chevaux,cheval,21
/.,/.,P
sans,sans,81
cesse,cesse,22
",",",",p
des,de,81
des,le,71
lampes,lampe,22
étoilaient,étoiler,18
la,le,71
nuit,nuit,22
/.,/.,P
ils,ils,51
devaient,devoir,18
s',se,51
effacer,effacer,14
contre,contre,81
la,le,71
roche,roche,22
",",",",p
laisser,laisser,14
la,le,71
voie,voie,22
à,à,81
des,de,81
des,le,71
ombres,ombre,22
d',de,81
hommes,homme,21
et,et,82
de,de,81
bêtes,bête,22
",",",",p
dont,dont,52
ils,ils,51
recevaient,recevoir,18
l',le,71
haleine,haleine,22
au,à,81
au,le,71
visage,visage,21
/.,/.,P
Jeanlin,Jeanlin,20
",",",",p
courant,courir,13
pieds,pied,21
nus,nu,30
derrière,derrière,81
son,son,73
train,train,21
",",",",p
leur,leur,52
cria,crier,19
une,un,71
méchanceté,méchanceté,22
qu',que,52
ils,ils,51
n',ne,60
entendirent,entendre,19
pas,pas,60
",",",",p
dans,dans,81
le,le,71
tonnerre,tonnerre,21
des,de,81
des,le,71
roues,roue,22
/.,/.,P
ils,ils,51
allaient,aller,18
toujours,toujours,60
",",",",p
elle,il,51
silencieuse,silencieux,30
à,à,81
présent,présent,21
",",",",p
lui,lui,51
ne,ne,60
reconnaissant,reconnaître,13
pas,pas,60
les,le,71
carrefours,carrefour,21
ni,ni,82
les,le,71
rues,rue,22
du,de,81
du,le,71
matin,matin,21
",",",",p
s',se,51
imaginant,imaginer,13
qu',que,83
elle,il,51
le,le,52
perdait,perdre,18
de,de,81
plus,plus,60
en,en,81
plus,plus,60
sous,sous,81
la,le,71
terre,terre,22
;,;,p
et,et,82
ce,ce,52
dont,dont,52
il,il,51
souffrait,souffrir,18
surtout,surtout,60
",",",",p
c',ce,52
était,être,18
du,de,81
du,le,71
froid,froid,21
",",",",p
un,un,71
froid,froid,21
grandissant,grandissant,30
qui,qui,52
l',le,52
avait,avoir,18
pris,prendre,12
au,à,81
au,le,71
sortir,sortir,21
de,de,81
la,le,71
taille,taille,22
",",",",p
et,et,82
qui,qui,52
le,le,52
faisait,faire,18
grelotter,grelotter,14
davantage,davantage,60
",",",",p
à,à,81
mesure,mesure,22
qu',que,83
il,il,51
se,se,51
rapprochait,rapprocher,18
du,de,81
du,le,71
puits,puits,21
/.,/.,P
entre,entre,81
les,le,71
muraillements,muraillement,22
étroits,étroit,30
",",",",p
la,le,71
colonne,colonne,22
d',de,81
air,air,21
soufflait,souffler,18
de,de,81
nouveau,nouveau,21
en,en,81
tempête,tempête,22
/.,/.,P
ils,ils,51
désespéraient,désespérer,18
d',de,81
arriver,arriver,14
jamais,jamais,60
",",",",p
lorsque,lorsque,83
",",",",p
brusquement,brusquement,60
",",",",p
ils,ils,51
se,se,51
trouvèrent,trouver,19
dans,dans,81
la,le,71
salle,salle,22
de,de,81
l',le,71
accrochage,accrochage,21
/.,/.,P
Chaval,Chaval,20
leur,leur,52
jeta,jeter,19
un,un,71
regard,regard,21
oblique,oblique,30
",",",",p
la,le,71
bouche,bouche,22
froncée,froncé,31
de,de,81
méfiance,méfiance,22
/.,/.,P
les,le,71
autres,autre,52
étaient,être,18
là,là,60
",",",",p
en,en,81
sueur,sueur,22
",",",",p
dans,dans,81
le,le,71
courant,courant,21
glacé,glacé,31
",",",",p
muets,muet,30
comme,comme,83
lui,lui,51
",",",",p
ravalant,ravaler,13
des,de,81
des,le,71
grondements,grondement,21
de,de,81
colère,colère,22
/.,/.,P
ils,ils,51
arrivaient,arriver,18
trop,trop,60
tôt,tôt,60
",",",",p
on,on,51
refusait,refuser,18
de,de,81
les,le,52
remonter,remonter,14
avant,avant,81
une,un,71
demi-heure,demi-heure,22
",",",",p
d'autant,d'autant,60
plus,plus,60
qu',que,83
on,on,51
faisait,faire,18
des,de,81
des,le,71
manoeuvres,manoeuvre,22
compliquées,compliqué,31
",",",",p
pour,pour,81
la,le,71
descente,descente,22
d',de,81
un,un,71
cheval,cheval,21
/.,/.,P
les,le,71
chargeurs,chargeur,21
emballaient,emballer,18
encore,encore,60
des,de,81
des,le,71
berlines,berline,22
",",",",p
avec,avec,81
un,un,71
bruit,bruit,21
assourdissant,assourdissant,30
de,de,81
ferrailles,ferraille,22
remuées,remué,31
",",",",p
et,et,82
les,le,71
cages,cage,22
s',se,51
envolaient,envoler,18
",",",",p
disparaissaient,disparaître,18
dans,dans,81
la,le,71
pluie,pluie,22
battante,battant,30
qui,qui,52
tombait,tomber,18
du,de,81
du,le,71
trou,trou,21
noir,noir,30
/.,/.,P
en,en,81
bas,bas,21
",",",",p
le,le,71
bougnou,bougnou,21
",",",",p
un,un,71
puisard,puisard,21
de,de,81
dix,dix,72
mètres,mètre,21
",",",",p
empli,empli,31
de,de,81
ce,ce,74
ruissellement,ruissellement,21
",",",",p
exhalait,exhaler,18
lui,lui,51
aussi,aussi,60
son,son,73
humidité,humidité,22
vaseuse,vaseux,30
/.,/.,P
des,de,81
des,le,71
hommes,homme,21
tournaient,tourner,18
sans,sans,81
cesse,cesse,22
autour,autour,60
du,de,81
du,le,71
puits,puits,21
",",",",p
tiraient,tirer,18
les,le,71
cordes,corde,22
des,de,81
des,le,71
signaux,signal,21
",",",",p
pesaient,peser,18
sur,sur,81
les,le,71
bras,bras,21
des,de,81
des,le,71
leviers,levier,21
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
cette,ce,74
poussière,poussière,22
d',de,81
eau,eau,22
dont,dont,52
leurs,leur,73
vêtements,vêtement,21
se,se,51
trempaient,tremper,18
/.,/.,P
la,le,71
clarté,clarté,22
rougeâtre,rougeâtre,30
des,de,81
des,le,71
trois,trois,72
lampes,lampe,22
à,à,81
feu,feu,21
libre,libre,30
",",",",p
découpant,découper,13
de,de,81
grandes,grand,30
ombres,ombre,22
mouvantes,mouvant,30
",",",",p
donnait,donner,18
à,à,81
cette,ce,74
salle,salle,22
souterraine,souterrain,30
un,un,71
air,air,21
de,de,81
caverne,caverne,22
scélérate,scélérat,30
",",",",p
quelque,quelque,75
forge,forge,22
de,de,81
bandits,bandit,21
",",",",p
voisine,voisin,30
d',de,81
un,un,71
torrent,torrent,21
/.,/.,P
Maheu,Maheu,20
tenta,tenter,19
un,un,71
dernier,dernier,30
effort,effort,21
/.,/.,P
il,il,51
s',se,51
approcha,approcher,19
de,de,81
Pierron,Pierron,20
",",",",p
qui,qui,52
avait,avoir,18
pris,prendre,12
son,son,73
service,service,21
à,à,81
six,six,72
heures,heure,22
/.,/.,P
-,-,p
voyons,voir,17
",",",",p
tu,tu,51
peux,pouvoir,17
bien,bien,60
nous,nous,51
laisser,laisser,14
monter,monter,14
/.,/.,P
mais,mais,82
le,le,71
chargeur,chargeur,21
",",",",p
un,un,71
beau,beau,30
garçon,garçon,21
",",",",p
aux,à,81
aux,le,71
membres,membre,21
forts,fort,30
et,et,82
au,à,81
au,le,71
visage,visage,21
doux,doux,30
",",",",p
refusa,refuser,19
d',de,81
un,un,71
geste,geste,21
effrayé,effrayé,31
/.,/.,P
-,-,p
impossible,impossible,30
",",",",p
demande,demander,17
au,à,81
au,le,71
porion,porion,21
/…,/…,P
on,on,51
me,je,51
mettrait,mettre,16
à,à,81
l',le,71
amende,amende,22
/.,/.,P
de,de,81
nouveaux,nouveau,30
grondements,grondement,21
furent,être,19
étouffés,étouffer,12
/.,/.,P
Catherine,Catherine,20
se,se,51
pencha,pencher,19
",",",",p
dit,dire,19
à,à,81
l',le,71
oreille,oreille,22
d',de,81
Etienne,Etienne,20
:,:,p
-,-,p
viens,venir,17
donc,donc,82
voir,voir,14
l',le,71
écurie,écurie,22
/.,/.,P
c',ce,52
est,être,17
là,là,60
qu',que,83
il,il,51
fait,faire,17
bon,bon,60
/!,/!,P
et,et,82
ils,ils,51
durent,devoir,19
s',se,51
échapper,échapper,14
sans,sans,81
être,être,14
vus,voir,12
",",",",p
car,car,82
il,il,51
était,être,18
défendu,défendre,12
d',de,81
y,y,52
aller,aller,14
/.,/.,P
elle,il,51
se,se,51
trouvait,trouver,18
à,à,81
gauche,gauche,22
",",",",p
au,à,81
au,le,71
bout,bout,21
d',de,81
une,un,71
courte,court,30
galerie,galerie,22
/.,/.,P
longue,long,30
de,de,81
vingt,vingt,72
cinq,cinq,72
mètres,mètre,21
",",",",p
haute,haut,30
de,de,81
quatre,quatre,72
",",",",p
taillée,taillé,31
dans,dans,81
le,le,71
roc,roc,21
et,et,82
voûtée,voûté,31
en,en,81
briques,brique,22
",",",",p
elle,il,51
pouvait,pouvoir,18
contenir,contenir,14
vingt,vingt,72
chevaux,cheval,21
/.,/.,P
il,il,51
y,y,52
faisait,faire,18
bon,bon,60
en,en,81
effet,effet,21
",",",",p
une,un,71
bonne,bon,30
chaleur,chaleur,22
de,de,81
bêtes,bête,22
vivantes,vivant,30
",",",",p
une,un,71
bonne,bon,30
odeur,odeur,22
de,de,81
litière,litière,22
fraîche,frais,30
",",",",p
tenue,tenu,31
proprement,proprement,60
/.,/.,P
l',le,71
unique,unique,30
lampe,lampe,22
avait,avoir,18
une,un,71
lueur,lueur,22
calme,calme,30
de,de,81
veilleuse,veilleuse,22
/.,/.,P
des,de,81
des,le,71
chevaux,cheval,21
au,à,81
au,le,71
repos,repos,21
tournaient,tourner,18
la,le,71
tête,tête,22
",",",",p
avec,avec,81
leurs,leur,73
gros,gros,30
yeux,oeil,21
d',de,81
enfants,enfant,21
",",",",p
puis,puis,60
se,se,51
remettaient,remettre,18
à,à,81
leur,leur,73
avoine,avoine,21
",",",",p
sans,sans,81
hâte,hâte,22
",",",",p
en,en,81
travailleurs,travailleur,21
gras,gras,30
et,et,82
bien,bien,60
portants,portant,30
",",",",p
aimés,aimé,31
de,de,81
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
mais,mais,82
",",",",p
comme,comme,83
Catherine,Catherine,20
lisait,lire,18
à,à,81
voix,voix,22
haute,haut,30
les,le,71
noms,nom,21
",",",",p
sur,sur,81
les,le,71
plaques,plaque,22
de,de,81
zinc,zinc,21
",",",",p
au-dessus,au-dessus,60
des,de,81
des,le,71
mangeoires,mangeoire,22
",",",",p
elle,il,51
eut,avoir,19
un,un,71
léger,léger,30
cri,cri,21
",",",",p
en,en,81
voyant,voir,13
un,un,71
corps,corps,21
se,se,51
dresser,dresser,14
brusquement,brusquement,60
devant,devant,81
elle,il,51
/.,/.,P
c',ce,52
était,être,18
la,le,71
Mouquette,Mouquette,20
",",",",p
effarée,effaré,31
",",",",p
qui,qui,52
sortait,sortir,18
d',de,81
un,un,71
tas,tas,21
de,de,81
paille,paille,22
",",",",p
où,où,60
elle,il,51
dormait,dormir,18
/.,/.,P
le,le,71
lundi,lundi,21
",",",",p
lorsqu',lorsque,83
elle,il,51
était,être,18
trop,trop,60
lasse,las,30
des,de,81
des,le,71
farces,farce,22
du,de,81
du,le,71
dimanche,dimanche,21
",",",",p
elle,il,51
se,se,51
donnait,donner,18
un,un,71
violent,violent,30
coup,coup,21
de,de,81
poing,poing,21
sur,sur,81
le,le,71
nez,nez,21
",",",",p
quittait,quitter,18
sa,son,73
taille,taille,22
sous,sous,81
le,le,71
prétexte,prétexte,21
d',de,81
aller,aller,14
chercher,chercher,14
de,de,81
l',le,71
eau,eau,22
",",",",p
et,et,82
venait,venir,18
s',se,51
enfouir,enfouir,14
là,là,60
",",",",p
avec,avec,81
les,le,71
bêtes,bête,22
",",",",p
dans,dans,81
la,le,71
litière,litière,22
chaude,chaud,30
/.,/.,P
son,son,73
père,père,21
",",",",p
d',de,81
une,un,71
grande,grand,30
faiblesse,faiblesse,22
pour,pour,81
elle,il,51
",",",",p
la,le,52
tolérait,tolérer,18
",",",",p
au,à,81
au,le,71
risque,risque,21
d',de,81
avoir,avoir,14
des,de,81
des,le,71
ennuis,ennui,21
/.,/.,P
justement,justement,60
",",",",p
le,le,71
père,père,21
Mouque,Mouque,20
entra,entrer,19
",",",",p
court,court,30
",",",",p
chauve,chauve,30
",",",",p
ravagé,ravagé,31
",",",",p
mais,mais,82
resté,resté,31
gros,gros,30
quand,quand,83
même,même,60
",",",",p
ce,ce,52
qui,qui,52
était,être,18
rare,rare,30
chez,chez,81
un,un,71
ancien,ancien,30
mineur,mineur,21
de,de,81
cinquante,cinquante,72
ans,an,21
/.,/.,P
depuis,depuis,81
qu',que,83
on,on,51
en,en,52
avait,avoir,18
fait,faire,12
un,un,71
palefrenier,palefrenier,21
",",",",p
il,il,51
chiquait,chiquer,18
à,à,81
un,un,71
tel,tel,75
point,point,21
",",",",p
que,que,83
ses,son,73
gencives,gencive,22
saignaient,saigner,18
dans,dans,81
sa,son,73
bouche,bouche,22
noire,noir,30
/.,/.,P
en,en,81
apercevant,apercevoir,13
les,le,71
deux,deux,72
autres,autre,52
avec,avec,81
sa,son,73
fille,fille,22
",",",",p
il,il,51
se,se,51
fâcha,fâcher,19
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
fichez,ficher,17
là,là,60
",",",",p
tous,tout,52
/?,/?,P
allons,aller,17
",",",",p
houp,houp,93
!,!,p
bougresses,bougresse,22
qui,qui,52
m',je,51
amenez,amener,17
un,un,71
homme,homme,21
ici,ici,60
!,!,p
/…,/…,P
c',ce,52
est,être,17
propre,propre,30
de,de,81
venir,venir,14
faire,faire,14
vos,votre,73
saletés,saleté,22
dans,dans,81
ma,mon,73
paille,paille,22
/.,/.,P
Mouquette,Mouquette,20
trouvait,trouver,18
ça,ça,52
drôle,drôle,30
",",",",p
se,se,51
tenait,tenir,18
le,le,71
ventre,ventre,21
/.,/.,P
mais,mais,82
Etienne,Etienne,20
",",",",p
gêné,gêné,31
",",",",p
s',se,51
en,en,52
alla,aller,19
",",",",p
tandis que,tandis que,83
Catherine,Catherine,20
lui,lui,51
souriait,sourire,18
/.,/.,P
comme,comme,83
tous,tout,75
trois,trois,72
retournaient,retourner,18
à,à,81
l',le,71
accrochage,accrochage,21
",",",",p
Bébert,Bébert,20
et,et,82
Jeanlin,Jeanlin,20
y,y,52
arrivaient,arriver,18
aussi,aussi,60
",",",",p
avec,avec,81
un,un,71
train,train,21
de,de,81
berlines,berline,22
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
un,un,71
arrêt,arrêt,21
pour,pour,81
la,le,71
manoeuvre,manoeuvre,22
des,de,81
des,le,71
cages,cage,22
",",",",p
et,et,82
la,le,71
jeune,jeune,30
fille,fille,22
s',se,51
approcha,approcher,19
de,de,81
leur,leur,73
cheval,cheval,21
",",",",p
le,le,52
caressa,caresser,19
de,de,81
la,le,71
main,main,22
",",",",p
en,en,81
parlant,parler,13
de,de,81
lui,lui,51
à,à,81
son,son,73
compagnon,compagnon,21
/.,/.,P
c',ce,52
était,être,18
Bataille,Bataille,20
",",",",p
le,le,71
doyen,doyen,21
de,de,81
la,le,71
mine,mine,22
",",",",p
un,un,71
cheval,cheval,21
blanc,blanc,30
qui,qui,52
avait,avoir,18
dix,dix,72
ans,an,21
de,de,81
fond,fond,21
/.,/.,P
depuis,depuis,81
dix,dix,72
ans,an,21
",",",",p
il,il,51
vivait,vivre,18
dans,dans,81
ce,ce,74
trou,trou,21
",",",",p
occupant,occuper,13
le,le,71
même,même,75
coin,coin,21
de,de,81
l',le,71
écurie,écurie,22
",",",",p
faisant,faire,13
la,le,71
même,même,75
tâche,tâche,22
le,le,71
long,long,21
des,de,81
des,le,71
galeries,galerie,22
noires,noir,30
",",",",p
sans,sans,81
avoir,avoir,14
jamais,jamais,60
revu,revoir,12
le,le,71
jour,jour,21
/.,/.,P
très,très,60
gras,gras,30
",",",",p
le,le,71
poil,poil,21
luisant,luisant,30
",",",",p
l',le,71
air,air,21
bonhomme,bonhomme,30
",",",",p
il,il,51
semblait,sembler,18
y,y,52
couler,couler,14
une,un,71
existence,existence,22
de,de,81
sage,sage,21
",",",",p
à,à,81
l',le,71
abri,abri,21
des,de,81
des,le,71
malheurs,malheur,21
de,de,81
là-haut,là-haut,60
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
dans,dans,81
les,le,71
ténèbres,ténèbre,22
",",",",p
il,il,51
était,être,18
devenu,devenir,12
d',de,81
une,un,71
grande,grand,30
malignité,malignité,22
/.,/.,P
la,le,71
voie,voie,22
où,où,60
il,il,51
travaillait,travailler,18
avait,avoir,18
fini,finir,12
par,par,81
lui,lui,51
être,être,14
si,si,60
familière,familier,30
",",",",p
qu',que,83
il,il,51
poussait,pousser,18
de,de,81
la,le,71
tête,tête,22
les,le,71
portes,porte,22
d',de,81
aérage,aérage,21
",",",",p
et,et,82
qu',que,83
il,il,51
se,se,51
baissait,baisser,18
",",",",p
afin,afin,81
de,de,81
ne,ne,60
pas,pas,60
se,se,51
cogner,cogner,14
",",",",p
