11703
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-sixième extrait>,<>,<>
que,que,83
ma,mon,73
maison,maison,22
a,avoir,17
un,un,71
rez-de-chaussée,rez-de-chaussée,21
et,et,82
un,un,71
premier,premier,72
",",",",p
elle,il,51
donne,donner,17
par derrière,par-derrière,60
sur,sur,81
la,le,71
rivière,rivière,22
",",",",p
comme,comme,83
les,le,71
autres,autre,75
maisons,maison,22
du,de,81
du,le,71
pont,pont,21
",",",",p
et,et,82
la,le,71
fenêtre,fenêtre,22
du,de,81
du,le,71
rez-de-chaussée,rez-de-chaussée,21
et,et,82
la,le,71
fenêtre,fenêtre,22
du,de,81
du,le,71
premier,premier,72
s',se,51
ouvrent,ouvrir,17
sur,sur,81
l',le,71
eau,eau,22
/.,/.,P
-,-,p
j',je,51
étais,être,18
donc,donc,82
en,en,81
train,train,21
de,de,81
filer,filer,14
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
pourquoi,pourquoi,60
je,je,51
pensais,penser,18
à,à,81
ce,ce,74
moine,moine,21
bourru,bourru,30
que,que,52
le,le,71
bouc,bouc,21
m',je,51
avait,avoir,18
remis,remettre,12
en,en,81
tête,tête,22
",",",",p
et,et,82
puis,puis,60
la,le,71
belle,beau,30
fille,fille,22
était,être,18
un,un,71
peu,peu,60
farouchement,farouchement,60
attifée,attifer,12
/.,/.,P
-,-,p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
j',je,51
entends,entendre,17
un,un,71
cri,cri,21
en,en,81
haut,haut,21
",",",",p
et,et,82
choir,choir,14
quelque,quelque,75
chose,chose,22
sur,sur,81
le,le,71
carreau,carreau,21
",",",",p
et,et,82
que,que,83
la,le,71
fenêtre,fenêtre,22
s',se,51
ouvre,ouvrir,17
/.,/.,P
je,je,51
cours,courir,17
à,à,81
la,le,71
mienne,mien,52
qui,qui,52
est,être,17
au-dessous,au-dessous,60
",",",",p
et,et,82
je,je,51
vois,voir,17
passer,passer,14
devant,devant,81
mes,mon,73
yeux,oeil,21
une,un,71
masse,masse,22
noire,noir,30
qui,qui,52
tombe,tomber,17
dans,dans,81
l',le,71
eau,eau,22
/.,/.,P
c',ce,52
était,être,18
un,un,71
fantôme,fantôme,21
habillé,habillé,31
en,en,81
prêtre,prêtre,21
/.,/.,P
il,il,51
faisait,faire,18
clair,clair,21
de,de,81
lune,lune,22
/.,/.,P
je,je,51
l',le,52
ai,avoir,17
très,très,60
bien,bien,60
vu,voir,12
/.,/.,P
il,il,51
nageait,nager,18
du,de,81
du,le,71
côté,côté,21
de,de,81
la,le,71
Cité,Cité,20
/.,/.,P
alors,alors,60
",",",",p
toute,tout,60
tremblante,tremblant,30
",",",",p
j',je,51
appelle,appeler,17
le,le,71
guet,guet,21
/.,/.,P
ces,ce,74
messieurs,monsieur,21
de,de,81
la,le,71
douzaine,douzaine,22
entrent,entrer,17
",",",",p
et,et,82
même,même,60
dans,dans,81
le,le,71
premier,premier,72
moment,moment,21
",",",",p
ne,ne,60
sachant,savoir,13
pas,pas,60
de,de,81
quoi,quoi,52
il,il,51
s',se,51
agissait,agir,18
",",",",p
comme,comme,83
ils,ils,51
étaient,être,18
en,en,81
joie,joie,22
",",",",p
ils,ils,51
m',je,51
ont,avoir,17
battue,battre,12
/.,/.,P
je,je,51
leur,leur,52
ai,avoir,17
expliqué,expliquer,12
/.,/.,P
nous,nous,51
montons,monter,17
",",",",p
et,et,82
qu',que,52
est,être,17
ce,ce,52
que,que,52
nous,nous,51
trouvons,trouver,17
?,?,p
ma,mon,73
pauvre,pauvre,30
chambre,chambre,22
tout,tout,60
en,en,81
sang,sang,21
",",",",p
le,le,71
capitaine,capitaine,21
étendu,étendu,31
de,de,81
son,son,73
long,long,21
avec,avec,81
un,un,71
poignard,poignard,21
dans,dans,81
le,le,71
cou,cou,21
",",",",p
la,le,71
fille,fille,22
faisant,faire,13
la,le,71
morte,morte,22
",",",",p
et,et,82
le,le,71
bouc,bouc,21
tout,tout,60
effarouché,effarouché,31
/.,/.,P
-,-,p
bon,bon,60
",",",",p
dis,dire,19
je,je,51
",",",",p
j',je,51
en,en,52
aurai,avoir,15
pour,pour,81
plus,plus,60
de,de,81
quinze,quinze,72
jours,jour,21
à,à,81
laver,laver,14
le,le,71
plancher,plancher,21
/.,/.,P
il,il,51
faudra,falloir,15
gratter,gratter,14
",",",",p
ce,ce,52
sera,être,15
terrible,terrible,30
/.,/.,P
-,-,p
on,on,51
a,avoir,17
emporté,emporter,12
l',le,71
officier,officier,21
",",",",p
pauvre,pauvre,30
jeune,jeune,30
homme,homme,21
!,!,p
et,et,82
la,le,71
fille,fille,22
toute,tout,60
débraillée,débraillé,30
/.,/.,P
-,-,p
attendez,attendre,17
/.,/.,P
le,le,71
pire,pire,30
",",",",p
c',ce,52
est,être,17
que,que,83
le,le,71
lendemain,lendemain,21
",",",",p
quand,quand,83
j',je,51
ai,avoir,17
voulu,vouloir,12
prendre,prendre,14
l',le,71
écu,écu,21
pour,pour,81
acheter,acheter,14
les,le,71
tripes,tripe,22
",",",",p
j',je,51
ai,avoir,17
trouvé,trouver,12
une,un,71
feuille,feuille,22
sèche,sec,30
à,à,81
la,le,71
place,place,22
/.,/.,P
la,le,71
vieille,vielle,22
se,se,51
tut,taire,19
/.,/.,P
un,un,71
murmure,murmure,21
d',de,81
horreur,horreur,22
circula,circuler,19
dans,dans,81
l',le,71
auditoire,auditoire,21
/.,/.,P
-,-,p
ce,ce,74
fantôme,fantôme,21
",",",",p
ce,ce,74
bouc,bouc,21
",",",",p
tout,tout,75
cela,cela,52
sent,sentir,17
la,le,71
magie,magie,22
",",",",p
dit,dire,19
un,un,71
voisin,voisin,21
de,de,81
Gringoire,Gringoire,20
/.,/.,P
-,-,p
et,et,82
cette,ce,74
feuille,feuille,22
sèche,sec,30
!,!,p
ajouta,ajouter,19
un,un,71
autre,autre,52
/.,/.,P
-,-,p
nul,nul,75
doute,doute,21
",",",",p
reprit,reprendre,19
un,un,71
troisième,troisième,72
",",",",p
c',ce,52
est,être,17
une,un,71
sorcière,sorcière,22
qui,qui,52
a,avoir,17
des,de,81
des,le,71
commerces,commerce,21
avec,avec,81
le,le,71
moine,moine,21
bourru,bourru,30
pour,pour,81
dévaliser,dévaliser,14
les,le,71
officiers,officier,21
/.,/.,P
-,-,p
Gringoire,Gringoire,20
lui-même,lui-même,51
n',ne,60
était,être,18
pas,pas,60
éloigné,éloigner,12
de,de,81
trouver,trouver,14
tout,tout,75
cet,ce,74
ensemble,ensemble,21
effrayant,effrayant,30
et,et,82
vraisemblable,vraisemblable,30
/.,/.,P
-,-,p
femme,femme,22
Falourdel,Falourdel,20
",",",",p
dit,dire,19
monsieur,monsieur,21
le,le,71
président,président,21
avec,avec,81
majesté,majesté,22
",",",",p
n',ne,60
avez,avoir,17
vous,vous,51
rien,rien,52
de,de,81
plus,plus,60
à,à,81
dire,dire,14
à,à,81
la,le,71
justice,justice,22
/?,/?,P
non,non,60
",",",",p
monseigneur,monseigneur,21
",",",",p
répondit,répondre,19
la,le,71
vieille,vielle,22
",",",",p
sinon,sinon,83
que,que,83
dans,dans,81
le,le,71
rapport,rapport,21
on,on,51
a,avoir,17
traité,traiter,12
ma,mon,73
maison,maison,22
de,de,81
masure,masure,22
tortue,tortu,30
et,et,82
puante,puant,30
",",",",p
ce,ce,52
qui,qui,52
est,être,17
outrageusement,outrageusement,60
parler,parler,14
/.,/.,P
les,le,71
maisons,maison,22
du,de,81
du,le,71
pont,pont,21
n',ne,60
ont,avoir,17
pas,pas,60
grande,grand,30
mine,mine,22
",",",",p
parce qu',parce que,83
il,il,51
y,y,52
a foison,à foison,60
de,de,81
peuple,peuple,21
",",",",p
mais,mais,82
néanmoins,néanmoins,60
les,le,71
bouchers,boucher,21
ne,ne,60
laissent,laisser,17
pas,pas,60
d',de,81
y,y,52
demeurer,demeurer,14
",",",",p
qui,qui,52
sont,être,17
gens,gens,21
riches,riche,30
et,et,82
mariés,marié,31
à,à,81
de,de,81
belles,beau,30
femmes,femme,22
fort,fort,60
propres,propre,30
/.,/.,P
le,le,71
magistrat,magistrat,21
qui,qui,52
avait,avoir,18
fait,faire,12
à,à,81
Gringoire,Gringoire,20
l',le,71
effet,effet,21
d',de,81
un,un,71
crocodile,crocodile,21
se,se,51
leva,lever,19
/.,/.,P
-,-,p
paix,paix,22
!,!,p
dit,dire,19
il,il,51
/.,/.,P
je,je,51
prie,prier,17
messieurs,monsieur,21
de,de,81
ne,ne,60
pas,pas,60
perdre,perdre,14
de,de,81
vue,vue,22
qu',que,83
on,on,51
a,avoir,17
trouvé,trouver,12
un,un,71
poignard,poignard,21
sur,sur,81
l',le,71
accusée,accusée,22
/.,/.,P
femme,femme,22
Falourdel,Falourdel,20
",",",",p
avez,avoir,17
vous,vous,51
apporté,apporter,12
cette,ce,74
feuille,feuille,22
sèche,sec,30
en,en,81
laquelle,lequel,52
s',se,51
est,être,17
transformé,transformer,12
l',le,71
écu,écu,21
que,que,52
le,le,71
démon,démon,21
vous,vous,51
avait,avoir,18
donné,donner,12
/?,/?,P
oui,oui,60
",",",",p
monseigneur,monseigneur,21
",",",",p
répondit,répondre,19
elle,il,51
",",",",p
je,je,51
l',le,52
ai,avoir,17
retrouvée,retrouver,12
/.,/.,P
la,le,52
voici,voici,81
/.,/.,P
un,un,71
huissier,huissier,21
transmit,transmettre,19
la,le,71
feuille,feuille,22
morte,mort,31
au,à,81
au,le,71
crocodile,crocodile,21
qui,qui,52
fit,faire,19
un,un,71
signe,signe,21
de,de,81
tête,tête,22
lugubre,lugubre,30
et,et,82
la,le,52
passa,passer,19
au,à,81
au,le,71
président,président,21
qui,qui,52
la,le,52
renvoya,renvoyer,19
au,à,81
au,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
en,en,81
cour,cour,22
d',de,81
église,église,22
",",",",p
de,de,81
façon,façon,22
qu',que,83
elle,il,51
fit,faire,19
le,le,71
tour,tour,21
de,de,81
la,le,71
salle,salle,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
une,un,71
feuille,feuille,22
de,de,81
bouleau,bouleau,21
",",",",p
dit,dire,19
maître,maître,21
Jacques,Jacques,20
Charmolue,Charmolue,20
/.,/.,P
nouvelle,nouveau,30
preuve,preuve,22
de,de,81
la,le,71
magie,magie,22
/.,/.,P
un,un,71
conseiller,conseiller,21
prit,prendre,19
la,le,71
parole,parole,22
/.,/.,P
-,-,p
témoin,témoin,21
",",",",p
deux,deux,72
hommes,homme,21
sont,être,17
montés,monter,12
en,en,81
même,même,75
temps,temps,21
chez,chez,81
vous,vous,51
/.,/.,P
l',le,71
homme,homme,21
noir,noir,30
",",",",p
que,que,52
vous,vous,51
avez,avoir,17
vu,voir,12
d'abord,d'abord,60
disparaître,disparaître,14
",",",",p
puis,puis,60
nager,nager,14
en,en,81
Seine,Seine,20
avec,avec,81
des,de,81
des,le,71
habits,habit,21
de,de,81
prêtre,prêtre,21
",",",",p
et,et,82
l',le,71
officier,officier,21
/.,/.,P
-,-,p
lequel,lequel,52
des,de,81
des,le,71
deux,deux,72
vous,vous,51
a,avoir,17
remis,remettre,12
l',le,71
écu,écu,21
/?,/?,P
la,le,71
vieille,vieille,22
réfléchit,réfléchir,17
un,un,71
moment,moment,21
et,et,82
dit,dire,19
:,:,p
-,-,p
c',ce,52
est,être,17
l',le,71
officier,officier,21
/.,/.,P
une,un,71
rumeur,rumeur,22
parcourut,parcourir,19
la,le,71
foule,foule,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
pensa,penser,19
Gringoire,Gringoire,20
",",",",p
voilà,voilà,81
qui,qui,52
fait,faire,17
hésiter,hésiter,14
ma,mon,73
conviction,conviction,22
/.,/.,P
cependant,cependant,82
maître,maître,21
Philippe,Philippe,20
Lheulier,Lheulier,20
",",",",p
l',le,71
avocat,avocat,21
extraordinaire,extraordinaire,30
du,de,81
du,le,71
roi,roi,21
",",",",p
intervint,intervenir,19
de,de,81
nouveau,nouveau,21
/.,/.,P
-,-,p
je,je,51
rappelle,rappeler,17
à,à,81
messieurs,monsieur,21
que,que,83
",",",",p
dans,dans,81
sa,son,73
déposition,déposition,22
écrite,écrit,31
à,à,81
son,son,73
chevet,chevet,21
",",",",p
l',le,71
officier,officier,21
assassiné,assassiné,31
",",",",p
en,en,81
déclarant,déclarer,13
qu',que,83
il,il,51
avait,avoir,18
eu,avoir,12
vaguement,vaguement,60
la,le,71
pensée,pensée,22
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
l',le,71
homme,homme,21
noir,noir,30
l',le,52
avait,avoir,18
accosté,accoster,12
",",",",p
que,que,83
ce,ce,52
pourrait,pouvoir,16
fort,fort,60
bien,bien,60
être,être,14
le,le,71
moine,moine,21
bourru,bourru,30
",",",",p
ajoutait,ajouter,18
que,que,83
le,le,71
fantôme,fantôme,21
l',le,52
avait,avoir,18
vivement,vivement,60
pressé,presser,12
de,de,81
s',se,51
aller,aller,14
accointer,accointer,14
avec,avec,81
l',le,71
accusée,accusée,22
",",",",p
et,et,82
sur,sur,81
l',le,71
observation,observation,22
de,de,81
lui,lui,51
",",",",p
capitaine,capitaine,21
",",",",p
qu',que,83
il,il,51
était,être,18
sans,sans,81
argent,argent,21
",",",",p
lui,lui,51
avait,avoir,18
donné,donner,12
l',le,71
écu,écu,21
dont,dont,52
ledit,ledit,30
officier,officier,21
a,avoir,17
payé,payer,12
la,le,71
Falourdel,Falourdel,20
/.,/.,P
donc,donc,82
l',le,71
écu,écu,21
est,être,17
une,un,71
monnaie,monnaie,22
de,de,81
l',le,71
enfer,enfer,21
/.,/.,P
cette,ce,74
observation,observation,22
concluante,concluant,30
parut,paraître,19
dissiper,dissiper,14
tous,tout,75
les,le,71
doutes,doute,21
de,de,81
Gringoire,Gringoire,20
et,et,82
des,de,81
des,le,71
autres,autre,75
sceptiques,sceptique,21
de,de,81
l',le,71
auditoire,auditoire,21
/.,/.,P
-,-,p
messieurs,monsieur,21
ont,avoir,17
le,le,71
dossier,dossier,21
des,de,81
des,le,71
pièces,pièce,22
",",",",p
ajouta,ajouter,19
l',le,71
avocat,avocat,21
du,de,81
du,le,71
loi,loi,22
en,en,81
s',se,51
asseyant,asseoir,13
",",",",p
ils,ils,51
peuvent,pouvoir,17
consulter,consulter,14
le,le,52
dire,dire,14
de,de,81
Phoebus,Phoebus,20
de,de,81
Châteaupers,Châteaupers,20
/.,/.,P
à,à,81
ce,ce,74
nom,nom,21
l',le,71
accusée,accusée,22
se,se,51
leva,lever,19
/.,/.,P
sa,son,73
tête,tête,22
dépassa,dépasser,19
la,le,71
foule,foule,22
/.,/.,P
Gringoire,Gringoire,20
épouvanté,épouvanté,31
reconnut,reconnaître,19
la,le,71
Esmeralda,Esmeralda,20
/.,/.,P
elle,il,51
était,être,18
pâle,pâle,30
;,;,p
ses,son,73
cheveux,cheveu,21
",",",",p
autrefois,autrefois,60
si,si,60
gracieusement,gracieusement,60
nattés,natté,31
et,et,82
pailletés,pailleté,30
de,de,81
sequins,sequin,21
",",",",p
tombaient,tomber,18
en,en,81
désordre,désordre,21
;,;,p
ses,son,73
lèvres,lèvre,22
étaient,être,18
bleues,bleu,30
;,;,p
ses,son,73
yeux,oeil,21
creux,creux,30
effrayaient,effrayer,18
/.,/.,P
hélas,hélas,60
/!,/!,P
Phoebus,Phoebus,20
!,!,p
dit,dire,19
elle,il,51
avec,avec,81
égarement,égarement,21
",",",",p
où,où,60
est,être,17
il,il,51
/?,/?,P
o,oh,93
messeigneurs,monseigneur,21
!,!,p
avant,avant,81
de,de,81
me,je,51
tuer,tuer,14
",",",",p
par,par,81
grâce,grâce,22
",",",",p
dites,dire,17
moi,moi,51
s',si,83
il,il,51
vit,vivre,17
encore,encore,60
/!,/!,P
taisez,taire,17
vous,vous,51
",",",",p
femme,femme,22
",",",",p
répondit,répondre,19
le,le,71
président,président,21
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
là,là,60
notre,notre,73
affaire,affaire,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
par,par,81
pitié,pitié,22
",",",",p
dites,dire,17
moi,moi,51
s',si,83
il,il,51
est,être,17
vivant,vivant,30
!,!,p
reprit,reprendre,19
elle,il,51
en,en,81
joignant,joindre,13
ses,son,73
belles,beau,30
mains,main,22
amaigries,amaigri,31
;,;,p
et,et,82
l',l',94
on,on,51
entendait,entendre,18
ses,son,73
chaînes,chaîne,22
frissonner,frissonner,14
le,le,71
long,long,21
de,de,81
sa,son,73
robe,robe,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
dit,dire,19
sèchement,sèchement,60
l',le,71
avocat,avocat,21
du,de,81
du,le,71
roi,roi,21
",",",",p
il,il,51
se,se,51
meurt,mourir,17
/.,/.,P
-,-,p
êtes,être,17
vous,vous,51
contente,content,30
/?,/?,P
la,le,71
malheureuse,malheureux,30
retomba,retomber,19
sur,sur,81
sa,son,73
sellette,sellette,22
",",",",p
sans,sans,81
voix,voix,22
",",",",p
sans,sans,81
larmes,larme,22
",",",",p
blanche,blanc,30
comme,comme,83
une,un,71
figure,figure,22
de,de,81
cire,cire,22
/.,/.,P
le,le,71
président,président,21
se,se,51
baissa,baisser,19
vers,vers,81
un,un,71
homme,homme,21
placé,placé,31
à,à,81
ses,son,73
pieds,pied,21
",",",",p
qui,qui,52
avait,avoir,18
un,un,71
bonnet,bonnet,21
d',de,81
or,or,21
et,et,82
une,un,71
robe,robe,22
noire,noir,30
",",",",p
une,un,71
chaîne,chaîne,22
au,à,81
au,le,71
cou,cou,21
et,et,82
une,un,71
verge,verge,22
à,à,81
la,le,71
main,main,22
/.,/.,P
-,-,p
huissier,huissier,21
",",",",p
introduisez,introduire,17
la,le,71
seconde,second,72
accusée,accusée,22
/.,/.,P
tous,tout,75
les,le,71
yeux,oeil,21
se,se,51
tournèrent,tourner,19
vers,vers,81
une,un,71
petite,petit,30
porte,porte,22
qui,qui,52
s',se,51
ouvrit,ouvrir,19
",",",",p
et,et,82
",",",",p
à,à,81
la,le,71
grande,grand,30
palpitation,palpitation,22
de,de,81
Gringoire,Gringoire,20
",",",",p
donna,donner,19
passage,passage,21
à,à,81
une,un,71
jolie,joli,30
chèvre,chèvre,22
aux,à,81
aux,le,71
cornes,corne,22
et,et,82
aux,à,81
aux,le,71
pieds,pied,21
d',de,81
or,or,21
/.,/.,P
l',le,71
élégante,élégant,30
bête,bête,22
s',se,51
arrêta,arrêter,19
un,un,71
moment,moment,21
sur,sur,81
le,le,71
seuil,seuil,21
",",",",p
tendant,tendre,13
le,le,71
cou,cou,21
",",",",p
comme,comme,83
si,si,83
",",",",p
dressée,dressé,31
à,à,81
la,le,71
pointe,pointe,22
d',de,81
une,un,71
roche,roche,22
",",",",p
elle,il,51
eût,avoir,19
eu,avoir,12
sous,sous,81
les,le,71
yeux,oeil,21
un,un,71
immense,immense,30
horizon,horizon,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
elle,il,51
aperçut,apercevoir,19
la,le,71
bohémienne,bohémienne,22
",",",",p
et,et,82
",",",",p
sautant,sauter,13
par-dessus,par-dessus,60
la,le,71
table,table,22
et,et,82
la,le,71
tête,tête,22
d',de,81
un,un,71
greffier,greffier,21
",",",",p
en,en,81
deux,deux,72
bonds,bond,21
elle,il,51
fut,être,19
à,à,81
ses,son,73
genoux,genou,21
/.,/.,P
puis,puis,60
elle,il,51
se,se,51
roula,rouler,19
gracieusement,gracieusement,60
sur,sur,81
les,le,71
pieds,pied,21
de,de,81
sa,son,73
maîtresse,maîtresse,22
",",",",p
sollicitant,solliciter,13
un,un,71
mot,mot,21
ou,ou,82
une,un,71
caresse,caresse,22
;,;,p
mais,mais,82
l',le,71
accusée,accusée,22
resta,rester,19
immobile,immobile,30
",",",",p
et,et,82
la,le,71
pauvre,pauvre,30
Djali,Djali,20
elle-même,lui-même,51
n',ne,60
eut,avoir,19
pas,pas,60
un,un,71
regard,regard,21
/.,/.,P
-,-,p
eh,eh,93
mais,mais,82
…,…,p
c',ce,52
est,être,17
ma,mon,73
vilaine,vilain,30
bête,bête,22
",",",",p
dit,dire,19
la,le,71
vieille,vieux,30
Falourdel,Falourdel,20
",",",",p
et,et,82
je,je,51
les,le,52
reconnais,reconnaître,17
bellement,bellement,60
toutes,tout,75
deux,deux,72
/!,/!,P
Jacques,Jacques,20
Charmolue,Charmolue,20
intervint,intervenir,19
/.,/.,P
-,-,p
s',si,83
il,il,51
plaît,plaire,17
à,à,81
messieurs,monsieur,21
",",",",p
nous,nous,51
procéderons,procéder,15
à,à,81
l',le,71
interrogatoire,interrogatoire,21
de,de,81
la,le,71
chèvre,chèvre,22
/.,/.,P
c',ce,52
était,être,18
en,en,81
effet,effet,21
la,le,71
seconde,second,72
accusée,accusée,22
/.,/.,P
rien,rien,52
de,de,81
plus,plus,60
simple,simple,30
alors,alors,60
qu',que,83
un,un,71
procès,procès,21
de,de,81
sorcellerie,sorcellerie,22
intenté,intenté,31
à,à,81
un,un,71
animal,animal,21
/.,/.,P
on,on,51
trouve,trouver,17
",",",",p
entre,entre,81
autres,autre,52
",",",",p
dans,dans,81
les,le,71
comptes,compte,21
de,de,81
la,le,71
prévôté,prévôté,22
pour,pour,81
<Nombre 1466>,<>,<>
mille,mille,72
quatre,quatre,72
cent,cent,72
soixante,soixante,72
six,six,72
<Fin nombre>,<>,<>
",",",",p
un,un,71
curieux,curieux,30
détail,détail,21
des,de,81
des,le,71
frais,frais,21
du,de,81
du,le,71
procès,procès,21
de,de,81
Gillet,Gillet,20
Soulart,Soulart,20
et,et,82
de,de,81
sa,son,73
truie,truie,22
",",",",p
exécutés,exécuté,31
pour,pour,81
leurs,leur,73
démérites,démérite,21
",",",",p
à,à,81
Corbeil,Corbeil,20
/.,/.,P
tout,tout,52
y,y,52
est,être,17
",",",",p
le,le,71
coût,coût,21
des,de,81
des,le,71
fosses,fosse,22
pour,pour,81
mettre,mettre,14
la,le,71
truie,truie,22
",",",",p
les,le,71
cinq,cinq,72
cents,cent,72
bourrées,bourrée,22
de,de,81
cotrets,cotret,21
pris,pris,31
sur,sur,81
le,le,71
port,port,21
de,de,81
Morsant,Morsant,20
",",",",p
les,le,71
trois,trois,72
pintes,pinte,22
de,de,81
vin,vin,21
et,et,82
le,le,71
pain,pain,21
",",",",p
dernier,dernier,30
repas,repas,21
du,de,81
du,le,71
patient,patient,21
fraternellement,fraternellement,60
partagé,partagé,31
par,par,81
le,le,71
bourreau,bourreau,21
",",",",p
jusqu',jusque,81
aux,à,81
aux,le,71
onze,onze,72
jours,jour,21
de,de,81
garde,garde,22
et,et,82
de,de,81
nourriture,nourriture,22
de,de,81
la,le,71
truie,truie,22
à,à,81
huit,huit,72
deniers,denier,21
parisis,parisis,30
chaque,chaque,75
/.,/.,P
quelquefois,quelquefois,60
même,même,60
on,on,51
allait,aller,18
plus,plus,60
loin,loin,60
que,que,83
les,le,71
bêtes,bête,22
/.,/.,P
les,le,71
capitulaires,capitulaire,30
de,de,81
Charlemagne,Charlemagne,20
et,et,82
de,de,81
Louis le Débonnaire,Louis le Débonnaire,20
infligent,infliger,17
de,de,81
graves,grave,30
peines,peine,22
aux,à,81
aux,le,71
fantômes,fantôme,21
enflammés,enflammé,31
qui,qui,52
se,se,51
permettraient,permettre,16
de,de,81
paraître,paraître,14
dans,dans,81
l',le,71
air,air,21
/.,/.,P
cependant,cependant,82
le,le,71
procureur,procureur,21
en,en,81
cour,cour,22
d',de,81
église,église,22
s',se,51
était,être,18
écrié,écrier,12
:,:,p
-,-,p
si,si,83
le,le,71
démon,démon,21
qui,qui,52
possède,posséder,17
cette,ce,74
chèvre,chèvre,22
et,et,82
qui,qui,52
a,avoir,17
résisté,résister,12
à,à,81
tous,tout,75
les,le,71
exorcismes,exorcisme,21
persiste,persister,17
dans,dans,81
ses,son,73
maléfices,maléfice,21
",",",",p
s',si,83
il,il,51
en,en,52
épouvante,épouvanter,17
la,le,71
cour,cour,22
",",",",p
nous,nous,51
le,le,52
prévenons,prévenir,17
que,que,83
nous,nous,51
serons,être,15
forcés,forcer,12
de,de,81
requérir,requérir,14
contre,contre,81
lui,lui,51
le,le,71
gibet,gibet,21
ou,ou,82
le,le,71
bûcher,bûcher,21
/.,/.,P
Gringoire,Gringoire,20
eut,avoir,19
la,le,71
sueur,sueur,22
froide,froid,30
/.,/.,P
Charmolue,Charmolue,20
prit,prendre,19
sur,sur,81
une,un,71
table,table,22
le,le,71
tambour,tambour,21
de,de,81
basque,basque,21
de,de,81
la,le,71
bohémienne,bohémienne,22
",",",",p
et,et,82
",",",",p
le,le,52
présentant,présenter,13
d',de,81
une,un,71
certaine,certain,75
façon,façon,22
à,à,81
la,le,71
chèvre,chèvre,22
",",",",p
il,il,51
lui,lui,51
demanda,demander,19
:,:,p
-,-,p
quelle,quel,75
heure,heure,22
est,être,17
il,il,51
/?,/?,P
la,le,71
chèvre,chèvre,22
le,le,52
regarda,regarder,19
d',de,81
un,un,71
oeil,oeil,21
intelligent,intelligent,30
",",",",p
leva,lever,19
son,son,73
pied,pied,21
doré,doré,31
et,et,82
frappa,frapper,19
sept,sept,72
coups,coup,21
/.,/.,P
il,il,51
était,être,18
en,en,81
effet,effet,21
sept,sept,72
heures,heure,22
/.,/.,P
un,un,71
mouvement,mouvement,21
de,de,81
terreur,terreur,22
parcourut,parcourir,19
la,le,71
foule,foule,22
/.,/.,P
Gringoire,Gringoire,20
n',ne,60
y,y,52
put,pouvoir,19
tenir,tenir,14
/.,/.,P
-,-,p
elle,il,51
se,se,51
perd,perdre,17
!,!,p
cria,crier,19
t,t,94
il,il,51
tout,tout,52
haut,haut,60
/.,/.,P
vous,vous,51
voyez,voir,17
bien,bien,60
qu',que,83
elle,il,51
ne,ne,60
sait,savoir,17
ce,ce,52
qu',que,52
elle,il,51
fait,faire,17
/.,/.,P
-,-,p
silence,silence,21
aux,à,81
aux,le,71
manants,manant,21
du,de,81
du,le,71
bout,bout,21
de,de,81
la,le,71
salle,salle,22
!,!,p
dit,dire,19
aigrement,aigrement,60
l',le,71
huissier,huissier,21
/.,/.,P
Jacques,Jacques,20
Charmolue,Charmolue,20
",",",",p
à,à,81
l',le,71
aide,aide,22
des,de,81
des,le,71
mêmes,même,75
manoeuvres,manoeuvre,22
du,de,81
du,le,71
tambourin,tambourin,21
",",",",p
fit,faire,19
faire,faire,14
à,à,81
la,le,71
chèvre,chèvre,22
plusieurs,plusieurs,75
autres,autre,75
momeries,momerie,22
",",",",p
sur,sur,81
la,le,71
date,date,22
du,de,81
du,le,71
jour,jour,21
",",",",p
le,le,71
mois,mois,21
de,de,81
l',le,71
année,année,22
",",",",p
etc,et cetera,91
",",",",p
dont,dont,52
le,le,71
lecteur,lecteur,21
a,avoir,17
déjà,déjà,60
été,être,12
témoin,témoin,21
/.,/.,P
et,et,82
",",",",p
par,par,81
une,un,71
illusion,illusion,22
d',de,81
optique,optique,22
propre,propre,30
aux,à,81
aux,le,71
débats,débat,21
judiciaires,judiciaire,30
",",",",p
ces,ce,74
mêmes,même,75
spectateurs,spectateur,21
",",",",p
qui,qui,52
peut-être,peut-être,60
avaient,avoir,18
plus,plus,60
d',de,81
une,un,71
fois,fois,22
applaudi,applaudir,12
dans,dans,81
le,le,71
carrefour,carrefour,21
aux,à,81
aux,le,71
innocentes,innocent,30
malices,malice,22
de,de,81
Djali,Djali,20
",",",",p
en,en,52
furent,être,19
effrayés,effrayer,12
sous,sous,81
les,le,71
voûtes,voûte,22
du,de,81
du,le,71
palais,palais,21
de,de,81
justice,justice,22
/.,/.,P
la,le,71
chèvre,chèvre,22
était,être,18
décidément,décidément,60
le,le,71
diable,diable,21
/.,/.,P
