11426
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-sixième extrait>,<>,<>
faut,falloir,17
la,le,71
sentence,sentence,22
contre,contre,81
monsieur,monsieur,21
del,del,92
Dongo,Dongo,20
",",",",p
et,et,82
toutes,tout,75
les,le,71
copies,copie,22
que,que,52
vous,vous,51
pouvez,pouvoir,17
en,en,52
avoir,avoir,14
",",",",p
et,et,82
dites,dire,12
à,à,81
tous,tout,75
ces,ce,74
juges,juge,21
iniques,inique,30
",",",",p
qui,qui,52
sont,être,17
cause,cause,22
de,de,81
cette,ce,74
révolte,révolte,22
",",",",p
que,que,83
je,je,51
les,le,52
ferai,faire,15
tous,tout,52
pendre,pendre,14
",",",",p
ainsi,ainsi,60
que,que,83
vous,vous,51
",",",",p
mon,mon,73
cher,cher,30
ami,ami,21
",",",",p
s',si,83
ils,ils,51
soufflent,souffler,17
un,un,71
mot,mot,21
de,de,81
cette,ce,74
sentence,sentence,22
",",",",p
qui,qui,52
n',ne,60
a,avoir,17
jamais,jamais,60
existé,exister,12
/.,/.,P
au,à,81
au,le,71
nom,nom,21
de,de,81
Fabrice,Fabrice,20
",",",",p
j',je,51
envoie,envoyer,17
une,un,71
compagnie,compagnie,22
de,de,81
grenadiers,grenadier,21
à,à,81
l',le,71
archevêque,archevêque,21
/.,/.,P
adieu,adieu,21
",",",",p
cher,cher,30
ange,ange,21
!,!,p
mon,mon,73
palais,palais,21
va,aller,17
être,être,14
brûlé,brûler,12
",",",",p
et,et,82
je,je,51
perdrai,perdre,15
les,le,71
charmants,charmant,30
portraits,portrait,21
que,que,52
j',je,51
ai,avoir,17
de,de,81
toi,toi,51
/.,/.,P
je,je,51
cours,courir,17
au,à,81
au,le,71
palais,palais,21
pour,pour,81
faire,faire,14
destituer,destituer,14
cet,ce,74
infâme,infâme,30
général,général,21
P.,P,20
qui,qui,52
fait,faire,17
des,de,81
des,le,71
siennes,sien,52
;,;,p
il,il,51
flatte,flatter,17
bassement,bassement,60
le,le,71
peuple,peuple,21
",",",",p
comme,comme,83
autrefois,autrefois,60
il,il,51
flattait,flatter,18
le,le,71
feu,feu,21
prince,prince,21
/.,/.,P
tous,tout,75
ces,ce,74
généraux,général,21
ont,avoir,17
une,un,71
peur,peur,22
du,de,81
du,le,71
diable,diable,21
;,;,p
je,je,51
vais,aller,17
",",",",p
je,je,51
crois,croire,17
",",",",p
me,je,51
faire,faire,14
nommer,nommer,14
général,général,21
en,en,81
chef,chef,21
/.,/.,P
“,“,p
la,le,71
duchesse,duchesse,22
eut,avoir,19
la,le,71
malice,malice,22
de,de,81
ne,ne,60
pas,pas,60
envoyer,envoyer,14
réveiller,réveiller,14
Fabrice,Fabrice,20
;,;,p
elle,il,51
se,se,51
sentait,sentir,18
pour,pour,81
le,le,71
comte,comte,21
un,un,71
accès,accès,21
d',de,81
admiration,admiration,22
qui,qui,52
ressemblait,ressembler,18
fort,fort,60
à,à,81
de,de,81
l',le,71
amour,amour,21
/.,/.,P
toutes,tout,75
réflexions,réflexion,22
faites,fait,31
",",",",p
se,se,51
dit,dire,19
elle,il,51
",",",",p
il,il,51
faut,falloir,17
que,que,83
je,je,51
l',le,52
épouse,épouser,17
/.,/.,P
elle,il,51
le,le,52
lui,lui,51
écrivit,écrire,19
aussitôt,aussitôt,60
",",",",p
et,et,82
fit,faire,19
partir,partir,14
un,un,52
de,de,81
ses,son,73
gens,gens,21
/.,/.,P
cette,ce,74
nuit,nuit,22
",",",",p
la,le,71
duchesse,duchesse,22
n',ne,60
eut,avoir,19
pas,pas,60
le,le,71
temps,temps,21
d',de,81
être,être,14
malheureuse,malheureux,30
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
sur,sur,81
le,le,71
midi,midi,21
",",",",p
elle,il,51
vit,voir,19
une,un,71
barque,barque,22
montée,monté,31
par,par,81
dix,dix,72
rameurs,rameur,21
et,et,82
qui,qui,52
fendait,fendre,18
rapidement,rapidement,60
les,le,71
eaux,eau,22
du,de,81
du,le,71
lac,lac,21
;,;,p
Fabrice,Fabrice,20
et,et,82
elle,il,51
reconnurent,reconnaître,19
bientôt,bientôt,60
un,un,71
homme,homme,21
portant,porter,13
la,le,71
livrée,livrée,22
du,de,81
du,le,71
prince,prince,21
de,de,81
Parme,Parme,20
:,:,p
c',ce,52
était,être,18
en,en,81
effet,effet,21
un,un,52
de,de,81
ses,son,73
courriers,courrier,21
qui,qui,52
",",",",p
avant,avant,81
de,de,81
descendre,descendre,14
à,à,81
terre,terre,22
",",",",p
cria,crier,19
à,à,81
la,le,71
duchesse,duchesse,22
:,:,p
-,-,p
la,le,71
révolte,révolte,22
est,être,17
apaisée,apaiser,12
/!,/!,P
ce,ce,74
courrier,courrier,21
lui,lui,51
remit,remettre,19
plusieurs,plusieurs,75
lettres,lettre,22
du,de,81
du,le,71
comte,comte,21
",",",",p
une,un,71
lettre,lettre,22
admirable,admirable,30
de,de,81
la,le,71
princesse,princesse,22
et,et,82
une,un,71
ordonnance,ordonnance,22
du,de,81
du,le,71
prince,prince,21
Ranuce,Ranuce,20
Ernest V,Ernest V,20
",",",",p
sur,sur,81
parchemin,parchemin,21
",",",",p
qui,qui,52
la,le,52
nommait,nommer,18
duchesse,duchesse,22
de,de,81
San Giovanni,San Giovanni,20
et,et,82
grande,grand,30
maîtresse,maîtresse,22
de,de,81
la,le,71
princesse,princesse,22
douairière,douairière,30
/.,/.,P
ce,ce,74
jeune,jeune,30
prince,prince,21
",",",",p
savant,savant,21
en,en,81
minéralogie,minéralogie,22
",",",",p
et,et,82
qu',que,52
elle,il,51
croyait,croire,18
un,un,71
imbécile,imbécile,21
",",",",p
avait,avoir,18
eu,avoir,12
l',le,71
esprit,esprit,21
de,de,81
lui,lui,51
écrire,écrire,14
un,un,71
petit,petit,30
billet,billet,21
;,;,p
mais,mais,82
il,il,51
y,y,52
avait,avoir,18
de,de,81
l',le,71
amour,amour,21
à,à,81
la,le,71
fin,fin,22
/.,/.,P
le,le,71
billet,billet,21
commençait,commencer,18
ainsi,ainsi,60
:,:,p
“,“,p
le,le,71
comte,comte,21
dit,dire,19
",",",",p
madame,madame,22
la,le,71
duchesse,duchesse,22
",",",",p
qu',que,83
il,il,51
est,être,17
content,content,30
de,de,81
moi,moi,51
;,;,p
le,le,71
fait,fait,21
est,être,17
que,que,83
j',je,51
ai,avoir,17
essuyé,essuyer,12
quelques,quelque,75
coups,coup,21
de,de,81
fusil,fusil,21
à,à,81
ses,son,73
côtés,côté,21
et,et,82
que,que,83
mon,mon,73
cheval,cheval,21
a,avoir,17
été,être,12
touché,toucher,12
:,:,p
à,à,81
voir,voir,14
le,le,71
bruit,bruit,21
qu',que,52
on,on,51
fait,faire,17
pour,pour,81
si,si,83
peu,peu,60
de,de,81
chose,chose,22
",",",",p
je,je,51
désire,désirer,17
vivement,vivement,60
assister,assister,14
à,à,81
une,un,71
vraie,vrai,30
bataille,bataille,22
",",",",p
mais,mais,82
que,que,83
ce,ce,52
ne,ne,60
soit,être,17
pas,pas,60
contre,contre,81
mes,mon,73
sujets,sujet,21
/.,/.,P
je,je,51
dois,devoir,17
tout,tout,52
au,à,81
au,le,71
comte,comte,21
;,;,p
tous,tout,75
mes,mon,73
généraux,général,21
",",",",p
qui,qui,52
n',ne,60
ont,avoir,17
pas,pas,60
fait,faire,12
la,le,71
guerre,guerre,22
",",",",p
se,se,51
sont,être,17
conduits,conduire,12
comme,comme,83
des,de,81
des,le,71
lièvres,lièvre,21
;,;,p
je,je,51
crois,croire,17
que,que,83
deux,deux,72
ou,ou,82
trois,trois,72
se,se,51
sont,être,17
enfuis,enfuir,12
jusqu',jusque,81
à,à,81
Bologne,Bologne,20
/.,/.,P
depuis,depuis,81
qu',que,83
un,un,71
grand,grand,21
et,et,82
déplorable,déplorable,30
événement,événement,21
m',je,51
a,avoir,17
donné,donner,12
le,le,71
pouvoir,pouvoir,21
",",",",p
je,je,51
n',ne,60
ai,avoir,17
point,point,60
signé,signer,12
d',de,81
ordonnance,ordonnance,22
qui,qui,52
m',je,51
ait,avoir,17
été,être,12
aussi,aussi,60
agréable,agréable,30
que,que,83
celle,celui,52
qui,qui,52
vous,vous,51
nomme,nommer,17
grande,grand,30
maîtresse,maîtresse,22
de,de,81
ma,mon,73
mère,mère,22
/.,/.,P
ma,mon,73
mère,mère,22
et,et,82
moi,moi,51
",",",",p
nous,nous,51
nous,nous,51
sommes,être,17
souvenus,souvenir,12
qu',que,83
un,un,71
jour,jour,21
vous,vous,51
admiriez,admirer,17
la,le,71
belle,beau,30
vue,vue,22
que,que,52
l',l',94
on,on,51
a,avoir,17
du,de,81
du,le,71
palazzeto,palazzeto,92
de,de,81
San Giovanni,San Giovanni,20
",",",",p
qui,qui,52
jadis,jadis,60
appartint,appartenir,19
à,à,81
Pétrarque,Pétrarque,20
",",",",p
du,de,81
du,le,71
moins,moins,60
on,on,51
le,le,52
dit,dire,17
;,;,p
ma,mon,73
mère,mère,22
a,avoir,17
voulu,vouloir,12
vous,vous,51
donner,donner,14
cette,ce,74
petite,petit,30
terre,terre,22
;,;,p
et,et,82
moi,moi,51
",",",",p
ne,ne,60
sachant,savoir,13
que,que,83
vous,vous,51
donner,donner,14
",",",",p
et,et,82
n',ne,60
osant,oser,13
vous,vous,51
offrir,offrir,14
tout,tout,52
ce,ce,52
qui,qui,52
vous,vous,51
appartient,appartenir,17
",",",",p
je,je,51
vous,vous,51
ai,avoir,17
faite,faire,12
duchesse,duchesse,22
dans,dans,81
mon,mon,73
pays,pays,21
;,;,p
je,je,51
ne,ne,60
sais,savoir,17
si,si,83
vous,vous,51
êtes,être,17
assez,assez,60
savante,savant,30
pour,pour,81
savoir,savoir,14
que,que,83
Sanseverina,Sanseverina,20
est,être,17
un,un,71
titre,titre,21
romain,romain,30
/.,/.,P
je,je,51
viens,venir,17
de,de,81
donner,donner,14
le,le,71
grand,grand,30
cordon,cordon,21
de,de,81
mon,mon,73
ordre,ordre,21
à,à,81
notre,notre,73
digne,digne,30
archevêque,archevêque,21
",",",",p
qui,qui,52
a,avoir,17
déployé,déployer,12
une,un,71
fermeté,fermeté,22
bien,bien,60
rare,rare,30
chez,chez,81
les,le,71
hommes,homme,21
de,de,81
soixante-dix,soixante-dix,72
ans,an,21
/.,/.,P
vous,vous,51
ne,ne,60
m',je,51
en,en,52
voudrez,vouloir,15
pas,pas,60
d',de,81
avoir,avoir,14
rappelé,rappeler,12
toutes,tout,75
les,le,71
dames,dame,22
exilées,exilé,31
/.,/.,P
on,on,51
me,je,51
dit,dire,17
que,que,83
je,je,51
ne,ne,60
dois,devoir,17
plus,plus,60
signer,signer,14
",",",",p
dorénavant,dorénavant,60
",",",",p
qu',que,83
après,après,81
avoir,avoir,14
écrit,écrire,12
les,le,71
mots,mot,21
votre,votre,73
affectionné,affectionné,31
:,:,p
je,je,51
suis,être,17
fâché,fâcher,12
que,que,83
l',l',94
on,on,51
me,je,51
fasse,faire,17
prodiguer,prodiguer,14
une,un,71
assurance,assurance,22
qui,qui,52
n',ne,60
est,être,17
complètement,complètement,60
vraie,vrai,30
que,que,83
quand,quand,83
je,je,51
vous,vous,51
écris,écrire,17
/.,/.,P
“,“,p
votre,votre,73
affectionné,affectionné,31
",",",",p
“,“,p
Ranuce,Ranuce,20
Ernest,Ernest,20
/.,/.,P
“,“,p
qui,qui,52
n',ne,60
eût,avoir,19
dit,dire,12
",",",",p
d',de,81
après,après,81
ce,ce,74
langage,langage,21
",",",",p
que,que,83
la,le,71
duchesse,duchesse,22
allait,aller,18
jouir,jouir,14
de,de,81
la,le,71
plus,plus,60
haute,haut,30
faveur,faveur,22
/?,/?,P
toutefois,toutefois,60
elle,il,51
trouva,trouver,19
quelque,quelque,75
chose,chose,22
de,de,81
fort,fort,60
singulier,singulier,30
dans,dans,81
d',de,81
autres,autre,75
lettres,lettre,22
du,de,81
du,le,71
comte,comte,21
",",",",p
qu',que,52
elle,il,51
reçut,recevoir,19
deux,deux,72
heures,heure,22
plus,plus,60
tard,tard,60
/.,/.,P
il,il,51
ne,ne,60
s',se,51
expliquait,expliquer,18
point,point,60
autrement,autrement,60
",",",",p
mais,mais,82
lui,lui,51
conseillait,conseiller,18
de,de,81
retarder,retarder,14
de,de,81
quelques,quelque,75
jours,jour,21
son,son,73
retour,retour,21
à,à,81
Parme,Parme,20
",",",",p
et,et,82
d',de,81
écrire,écrire,14
à,à,81
la,le,71
princesse,princesse,22
qu',que,83
elle,il,51
était,être,18
fort,fort,60
indisposée,indisposer,12
/.,/.,P
la,le,71
duchesse,duchesse,22
et,et,82
Fabrice,Fabrice,20
n',ne,60
en,en,52
partirent,partir,19
pas,pas,60
moins,moins,60
pour,pour,81
Parme,Parme,20
aussitôt,aussitôt,60
après,après,81
dîner,dîner,21
/.,/.,P
le,le,71
but,but,21
de,de,81
la,le,71
duchesse,duchesse,22
",",",",p
que,que,52
toutefois,toutefois,60
elle,il,51
ne,ne,60
s',se,51
avouait,avouer,18
pas,pas,60
",",",",p
était,être,18
de,de,81
presser,presser,14
le,le,71
mariage,mariage,21
du,de,81
du,le,71
marquis,marquis,21
Crescenzi,Crescenzi,20
:,:,p
Fabrice,Fabrice,20
",",",",p
de,de,81
son,son,73
côté,côté,21
",",",",p
fit,faire,19
la,le,71
route,route,22
dans,dans,81
des,de,81
des,le,71
transports,transport,21
de,de,81
bonheur,bonheur,21
fous,fou,30
",",",",p
et,et,82
qui,qui,52
semblèrent,sembler,19
ridicules,ridicule,30
à,à,81
sa,son,73
tante,tante,22
/.,/.,P
il,il,51
avait,avoir,18
l',le,71
espoir,espoir,21
de,de,81
revoir,revoir,14
bientôt,bientôt,60
Clélia,Clélia,20
;,;,p
il,il,51
comptait,compter,18
bien,bien,60
l',le,52
enlever,enlever,14
",",",",p
même,même,60
malgré,malgré,81
elle,il,51
",",",",p
s',si,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
que,que,83
ce,ce,74
moyen,moyen,21
de,de,81
rompre,rompre,14
son,son,73
mariage,mariage,21
/.,/.,P
le,le,71
voyage,voyage,21
de,de,81
la,le,71
duchesse,duchesse,22
et,et,82
de,de,81
son,son,73
neveu,neveu,21
fut,être,19
très,très,60
gai,gai,30
/.,/.,P
à,à,81
une,un,71
poste,poste,22
avant,avant,81
Parme,Parme,20
",",",",p
Fabrice,Fabrice,20
s',se,51
arrêta,arrêter,19
un,un,71
instant,instant,21
pour,pour,81
reprendre,reprendre,14
l',le,71
habit,habit,21
ecclésiastique,ecclésiastique,30
;,;,p
d',de,81
ordinaire,ordinaire,21
il,il,51
était,être,18
vêtu,vêtir,12
comme,comme,83
un,un,71
homme,homme,21
en,en,81
deuil,deuil,21
/.,/.,P
quand,quand,83
il,il,51
rentra,rentrer,19
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
la,le,71
duchesse,duchesse,22
:,:,p
-,-,p
je,je,51
trouve,trouver,17
quelque,quelque,75
chose,chose,22
de,de,81
louche,louche,30
et,et,82
d',de,81
inexplicable,inexplicable,30
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
",",",",p
dans,dans,81
les,le,71
lettres,lettre,22
du,de,81
du,le,71
comte,comte,21
/.,/.,P
si,si,83
tu,tu,51
m',je,51
en,en,52
croyais,croire,18
",",",",p
tu,tu,51
passerais,passer,16
ici,ici,60
quelques,quelque,75
heures,heure,22
;,;,p
je,je,51
t',tu,51
enverrai,envoyer,15
un,un,71
courrier,courrier,21
dès,dès,81
que,que,83
j',je,51
aurai,avoir,15
parlé,parler,12
à,à,81
ce,ce,74
grand,grand,30
ministre,ministre,21
/.,/.,P
ce,ce,52
fut,être,19
avec,avec,81
beaucoup,beaucoup,60
de,de,81
peine,peine,22
que,que,83
Fabrice,Fabrice,20
se,se,51
rendit,rendre,19
à,à,81
cet,ce,74
avis,avis,21
raisonnable,raisonnable,30
/.,/.,P
des,de,81
des,le,71
transports,transport,21
de,de,81
joie,joie,22
dignes,digne,30
d',de,81
un,un,71
enfant,enfant,21
de,de,81
quinze,quinze,72
ans,an,21
marquèrent,marquer,19
la,le,71
réception,réception,22
que,que,52
le,le,71
comte,comte,21
fit,faire,19
à,à,81
la,le,71
duchesse,duchesse,22
",",",",p
qu',que,52
il,il,51
appelait,appeler,18
sa,son,73
femme,femme,22
/.,/.,P
il,il,51
fut,être,19
longtemps,longtemps,60
sans,sans,81
vouloir,vouloir,14
parler,parler,14
politique,politique,22
",",",",p
et,et,82
",",",",p
quand,quand,83
enfin,enfin,60
on,on,51
en,en,52
vint,venir,19
à,à,81
la,le,71
triste,triste,30
raison,raison,22
:,:,p
-,-,p
tu,tu,51
as,avoir,17
fort,fort,60
bien,bien,60
fait,faire,12
d',de,81
empêcher,empêcher,14
Fabrice,Fabrice,20
d',de,81
arriver,arriver,14
officiellement,officiellement,60
;,;,p
nous,nous,51
sommes,être,17
ici,ici,60
en,en,81
pleine,plein,30
réaction,réaction,22
/.,/.,P
devine,deviner,17
un,un,71
peu,peu,60
le,le,71
collègue,collègue,21
que,que,52
le,le,71
prince,prince,21
m',je,51
a,avoir,17
donné,donner,12
comme,comme,83
ministre,ministre,21
de,de,81
la,le,71
justice,justice,22
!,!,p
c',ce,52
est,être,17
Rassi,Rassi,20
",",",",p
ma,mon,73
chère,cher,30
",",",",p
Rassi,Rassi,20
",",",",p
que,que,52
j',je,51
ai,avoir,17
traité,traiter,12
comme,comme,83
un,un,71
gueux,gueux,21
qu',que,52
il,il,51
est,être,17
",",",",p
le,le,71
jour,jour,21
de,de,81
nos,notre,73
grandes,grand,30
affaires,affaire,22
/.,/.,P
à,à,81
propos,propos,21
",",",",p
je,je,51
t',tu,51
avertis,avertir,17
qu',que,83
on,on,51
a,avoir,17
supprimé,supprimer,12
tout,tout,52
ce,ce,52
qui,qui,52
s',se,51
est,être,17
passé,passer,12
ici,ici,60
/.,/.,P
si,si,83
tu,tu,51
lis,lire,17
notre,notre,73
gazette,gazette,22
",",",",p
tu,tu,51
verras,voir,15
qu',que,83
un,un,71
commis,commis,21
de,de,81
la,le,71
citadelle,citadelle,22
",",",",p
nommé,nommé,31
Barbone,Barbone,20
",",",",p
est,être,17
mort,mourir,12
d',de,81
une,un,71
chute,chute,22
de,de,81
voiture,voiture,22
/.,/.,P
quant,quand,83
aux,à,81
aux,le,71
soixante,soixante,72
et,et,82
tant,tant,60
de,de,81
coquins,coquin,21
que,que,52
j',je,51
ai,avoir,17
fait,faire,12
tuer,tuer,14
à,à,81
coups,coup,21
de,de,81
balles,balle,22
",",",",p
lorsqu',lorsque,83
ils,ils,51
attaquaient,attaquer,18
la,le,71
statue,statue,22
du,de,81
du,le,71
prince,prince,21
dans,dans,81
les,le,71
jardins,jardin,21
",",",",p
ils,ils,51
se,se,51
portent,porter,17
fort,fort,60
bien,bien,60
",",",",p
seulement,seulement,60
ils,ils,51
sont,être,17
en,en,81
voyage,voyage,21
/.,/.,P
le,le,71
comte,comte,21
Zurla,Zurla,20
",",",",p
ministre,ministre,21
de,de,81
l',le,71
intérieur,intérieur,21
",",",",p
est,être,17
allé,aller,12
lui-même,lui-même,51
à,à,81
la,le,71
demeure,demeure,22
de,de,81
chacun,chacun,52
de,de,81
ces,ce,74
héros,héros,21
malheureux,malheureux,30
",",",",p
et,et,82
a,avoir,17
remis,remettre,12
quinze,quinze,72
sequins,sequin,21
à,à,81
leurs,leur,73
familles,famille,22
ou,ou,82
à,à,81
leurs,leur,73
amis,ami,21
",",",",p
avec,avec,81
ordre,ordre,21
de,de,81
dire,dire,14
que,que,83
le,le,71
défunt,défunt,21
était,être,18
en,en,81
voyage,voyage,21
",",",",p
et,et,82
menace,menace,22
très,très,60
expresse,exprès,30
de,de,81
la,le,71
prison,prison,22
",",",",p
si,si,83
l',l',94
on,on,51
s',se,51
avisait,aviser,18
de,de,81
faire,faire,14
entendre,entendre,14
qu',que,83
il,il,51
avait,avoir,18
été,être,12
tué,tuer,12
/.,/.,P
un,un,71
homme,homme,21
de,de,81
mon,mon,73
propre,propre,30
ministère,ministère,21
",",",",p
les,le,71
affaires,affaire,22
étrangères,étranger,30
",",",",p
a,avoir,17
été,être,12
envoyé,envoyé,31
en,en,81
mission,mission,22
auprès,auprès,60
des,de,81
des,le,71
journalistes,journaliste,21
de,de,81
Milan,Milan,20
et,et,82
de,de,81
Turin,Turin,20
",",",",p
afin,afin,81
qu',que,83
on,on,51
ne,ne,60
parle,parler,17
pas,pas,60
du,de,81
du,le,71
malheureux,malheureux,30
événement,événement,21
",",",",p
c',ce,52
est,être,17
le,le,71
mot,mot,21
consacré,consacré,31
;,;,p
cet,ce,74
homme,homme,21
doit,devoir,17
pousser,pousser,14
jusqu',jusque,81
à,à,81
Paris,Paris,20
et,et,82
Londres,Londres,20
",",",",p
afin,afin,81
de,de,81
démentir,démentir,14
dans,dans,81
tous,tout,75
les,le,71
journaux,journal,21
",",",",p
et,et,82
presque,presque,60
officiellement,officiellement,60
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
on,on,51
pourrait,pouvoir,16
dire,dire,14
de,de,81
nos,notre,73
troubles,trouble,21
/.,/.,P
un,un,71
autre,autre,75
agent,agent,21
s',se,51
est,être,17
acheminé,acheminer,12
vers,vers,81
Bologne,Bologne,20
et,et,82
Florence,Florence,20
/.,/.,P
j',je,51
ai,avoir,17
haussé,hausser,12
les,le,71
épaules,épaule,22
/.,/.,P
mais,mais,82
le,le,71
plaisant,plaisant,30
",",",",p
à,à,81
mon,mon,73
âge,âge,21
",",",",p
c',ce,52
est,être,17
que,que,83
j',je,51
ai,avoir,17
eu,avoir,12
un,un,71
moment,moment,21
d',de,81
enthousiasme,enthousiasme,21
en,en,81
parlant,parler,13
aux,à,81
aux,le,71
soldats,soldat,21
de,de,81
la,le,71
garde,garde,22
et,et,82
arrachant,arracher,13
les,le,71
épaulettes,épaulette,22
de,de,81
ce,ce,74
pleutre,pleutre,21
de,de,81
général,général,21
P.,P,20
/…,/…,P
en,en,81
cet,ce,74
instant,instant,21
j',je,51
aurais,avoir,16
donné,donner,12
ma,mon,73
vie,vie,22
",",",",p
sans,sans,81
balancer,balancer,14
",",",",p
pour,pour,81
le,le,71
prince,prince,21
;,;,p
j',je,51
avoue,avouer,17
maintenant,maintenant,60
que,que,83
c',ce,52
eût,avoir,19
été,être,12
une,un,71
façon,façon,22
bien,bien,60
bête,bête,30
de,de,81
finir,finir,14
/.,/.,P
aujourd'hui,aujourd'hui,60
",",",",p
le,le,71
prince,prince,21
",",",",p
tout,tout,75
bon,bon,30
jeune,jeune,30
homme,homme,21
qu',que,52
il,il,51
est,être,17
",",",",p
donnerait,donner,16
cent,cent,72
écus,écu,21
pour,pour,81
que,que,83
je,je,51
mourusse,mourir,18
de,de,81
maladie,maladie,22
;,;,p
il,il,51
n',ne,60
ose,oser,17
pas,pas,60
encore,encore,60
me,je,51
demander,demander,14
ma,mon,73
démission,démission,22
mais,mais,82
nous,nous,51
nous,nous,51
parlons,parler,17
le,le,71
plus,plus,60
rarement,rarement,60
possible,possible,30
",",",",p
et,et,82
je,je,51
lui,lui,51
envoie,envoyer,17
une,un,71
quantité,quantité,22
de,de,81
petits,petit,30
rapports,rapport,21
par,par,81
écrit,écrit,21
",",",",p
comme,comme,83
je,je,51
le,le,52
pratiquais,pratiquer,18
avec,avec,81
le,le,71
feu,feu,21
prince,prince,21
",",",",p
après,après,81
la,le,71
prison,prison,22
de,de,81
Fabrice,Fabrice,20
/.,/.,P
à,à,81
propos,propos,21
",",",",p
je,je,51
n',ne,60
ai,avoir,17
point,point,60
fait,faire,12
des,de,81
des,le,71
papillotes,papillote,22
avec,avec,81
la,le,71
sentence,sentence,22
signée,signé,31
contre,contre,81
lui,lui,51
",",",",p
par,par,81
la,le,71
grande,grand,30
raison,raison,22
que,que,83
ce,ce,74
coquin,coquin,21
de,de,81
Rassi,Rassi,20
ne,ne,60
me,je,51
l',le,52
a,avoir,17
point,point,60
remise,remettre,12
/.,/.,P
vous,vous,51
avez,avoir,17
donc,donc,82
fort,fort,60
bien,bien,60
fait,faire,12
d',de,81
empêcher,empêcher,14
Fabrice,Fabrice,20
d',de,81
arriver,arriver,14
ici,ici,60
officiellement,officiellement,60
/.,/.,P
la,le,71
sentence,sentence,22
est,être,17
toujours,toujours,60
exécutoire,exécutoire,30
;,;,p
je,je,51
ne,ne,60
crois,croire,17
pas,pas,60
pourtant,pourtant,60
que,que,83
le,le,71
Rassi,Rassi,20
osât,oser,18
faire,faire,14
arrêter,arrêter,14
notre,notre,73
neveu,neveu,21
aujourd'hui,aujourd'hui,60
",",",",p
mais,mais,82
il,il,51
est,être,17
possible,possible,30
qu',que,83
il,il,51
l',le,52
ose,oser,17
dans,dans,81
quinze,quinze,72
jours,jour,21
/.,/.,P
si,si,83
Fabrice,Fabrice,20
veut,vouloir,17
absolument,absolument,60
rentrer,rentrer,14
en,en,81
ville,ville,22
",",",",p
qu',que,52
il,il,51
vienne,venir,17
loger,loger,14
chez,chez,81
moi,moi,51
/.,/.,P
-,-,p
mais,mais,82
la,le,71
cause,cause,22
de,de,81
tout,tout,75
ceci,ceci,52
?,?,p
s',se,51
écria,écrier,19
la,le,71
duchesse,duchesse,22
étonnée,étonné,31
/.,/.,P
-,-,p
on,on,51
a,avoir,17
persuadé,persuader,12
au,à,81
au,le,71
prince,prince,21
que,que,83
je,je,51
me,je,51
donne,donner,17
des,de,81
des,le,71
airs,air,21
de,de,81
dictateur,dictateur,21
et,et,82
de,de,81
sauveur,sauveur,21
de,de,81
la,le,71
patrie,patrie,22
",",",",p
et,et,82
que,que,83
je,je,51
veux,vouloir,17
le,le,52
mener,mener,14
comme,comme,83
un,un,71
enfant,enfant,21
;,;,p
qui,qui,52
plus,plus,60
est,être,17
",",",",p
en,en,81
parlant,parler,13
de,de,81
lui,lui,51
",",",",p
j',je,51
aurais,avoir,16
prononcé,prononcer,12
le,le,71
mot,mot,21
fatal,fatal,30
:,:,p
cet,ce,74
enfant,enfant,21
/.,/.,P
le,le,71
fait,fait,21
peut,pouvoir,17
être,être,14
vrai,vrai,30
",",",",p
j',je,51
étais,être,18
exalté,exalter,12
ce,ce,74
jour,jour,21
là,là,60
:,:,p
par,par,81
exemple,exemple,21
",",",",p
je,je,51
le,le,52
voyais,voir,18
un,un,71
grand,grand,30
homme,homme,21
",",",",p
parce qu',parce que,83
il,il,51
n',ne,60
avait,avoir,18
point,point,60
trop,trop,60
de,de,81
peur,peur,22
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
premiers,premier,72
coups,coup,21
de,de,81
fusil,fusil,21
qu',que,52
il,il,51
entendît,entendre,18
de,de,81
sa,son,73
vie,vie,22
/.,/.,P
il,il,51
ne,ne,60
manque,manquer,17
point,point,60
d',de,81
esprit,esprit,21
",",",",p
il,il,51
a,avoir,17
même,même,60
un,un,71
meilleur,meilleur,30
ton,ton,21
que,que,83
son,son,73
père,père,21
:,:,p
enfin,enfin,60
",",",",p
je,je,51
ne,ne,60
saurais,savoir,16
trop,trop,60
le,le,52
répéter,répéter,14
",",",",p
le,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
est,être,17
honnête,honnête,30
et,et,82
bon,bon,30
;,;,p
mais,mais,82
ce,ce,74
coeur,coeur,21
sincère,sincère,30
et,et,82
jeune,jeune,30
se,se,51
crispe,crisper,17
quand,quand,83
on,on,51
lui,lui,51
raconte,raconter,17
un,un,71
tour,tour,21
de,de,81
fripon,fripon,21
",",",",p
et,et,82
croit,croire,17
qu',que,83
il,il,51
faut,falloir,17
avoir,avoir,14
l',le,71
âme,âme,22
bien,bien,60
noire,noir,30
soi-même,soi-même,51
pour,pour,81
apercevoir,apercevoir,14
de,de,81
telles,tel,75
choses,chose,22
:,:,p
