11140
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Neuvième extrait>,<>,<>
seize,seize,72
ans,an,21
aussi,aussi,60
laborieuse,laborieux,30
que,que,83
lui,lui,51
/.,/.,P
leur,leur,73
maison,maison,22
était,être,18
une,un,71
espèce,espèce,22
de,de,81
couvent,couvent,21
où,où,60
le,le,71
travail,travail,21
de,de,81
l',le,71
artiste,artiste,21
n',ne,60
était,être,18
interrompu,interrompre,12
que,que,83
par,par,81
un,un,71
frugal,frugal,30
repas,repas,21
et,et,82
par,par,81
la,le,71
prière,prière,22
/.,/.,P
le,le,71
soir,soir,21
quand,quand,83
les,le,71
dernières,dernier,30
lueurs,lueur,22
du,de,81
du,le,71
soleil,soleil,21
s',se,51
éteignaient,éteindre,18
sur,sur,81
les,le,71
fenêtres,fenêtre,22
de,de,81
la,le,71
chambre,chambre,22
haute,haut,30
du,de,81
du,le,71
pauvre,pauvre,30
peintre,peintre,21
",",",",p
et,et,82
que,que,52
les,le,71
cloches,cloche,22
des,de,81
des,le,71
monastères,monastère,21
voisins,voisin,30
sonnaient,sonner,18
l',le,71
Ave Maria,Ave Maria,20
",",",",p
cet,ce,74
adieu,adieu,21
harmonieux,harmonieux,30
du,de,81
du,le,71
jour,jour,21
en,en,81
Italie,Italie,20
",",",",p
le,le,71
seul,seul,30
délassement,délassement,21
de,de,81
la,le,71
famille,famille,22
était,être,18
de,de,81
dire,dire,14
ensemble,ensemble,60
le,le,71
chapelet,chapelet,21
et,et,82
de,de,81
psalmodier,psalmodier,14
à,à,81
demi-chant,demi-chant,21
les,le,71
litanies,litanie,22
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
les,le,71
voix,voix,22
affaissées,affaissé,31
par,par,81
le,le,71
sommeil,sommeil,21
s',se,51
éteignissent,éteindre,18
dans,dans,81
un,un,71
vague,vague,30
et,et,82
monotone,monotone,30
murmure,murmure,21
semblable,semblable,30
à,à,81
celui,celui,52
du,de,81
du,le,71
flot,flot,21
qui,qui,52
s',se,51
apaise,apaiser,17
sur,sur,81
une,un,71
plage,plage,22
où,où,60
le,le,71
vent,vent,21
tombe,tomber,17
avec,avec,81
la,le,71
nuit,nuit,22
/.,/.,P
j',je,51
aimais,aimer,18
cette,ce,74
scène,scène,22
calme,calme,30
et,et,82
pieuse,pieux,30
du,de,81
du,le,71
soir,soir,21
",",",",p
où,où,60
finissait,finir,18
une,un,71
journée,journée,22
de,de,81
travail,travail,21
par,par,81
cet,ce,74
hymne,hymne,21
de,de,81
trois,trois,72
âmes,âme,22
s',se,51
élevant,élever,13
au,à,81
au,le,71
ciel,ciel,21
pour,pour,81
se,se,51
reposer,reposer,14
du,de,81
du,le,71
jour,jour,21
/.,/.,P
cela,cela,52
me,je,51
reportait,reporter,18
au,à,81
au,le,71
souvenir,souvenir,21
de,de,81
la,le,71
maison,maison,22
paternelle,paternel,30
",",",",p
où,où,60
notre,notre,73
mère,mère,22
nous,nous,51
réunissait,réunir,18
aussi,aussi,60
",",",",p
le,le,71
soir,soir,21
",",",",p
pour,pour,81
prier,prier,14
tantôt,tantôt,60
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
tantôt,tantôt,60
dans,dans,81
les,le,71
allées,allée,22
de,de,81
sable,sable,21
du,de,81
du,le,71
petit,petit,30
jardin,jardin,21
de,de,81
Milly,Milly,20
",",",",p
aux,à,81
aux,le,71
dernières,dernier,30
lueurs,lueur,22
du,de,81
du,le,71
crépuscule,crépuscule,21
/.,/.,P
en,en,81
retrouvant,retrouver,13
les,le,71
mêmes,même,75
habitudes,habitude,22
",",",",p
les,le,71
mêmes,même,75
actes,acte,21
",",",",p
la,le,71
même,même,75
religion,religion,22
",",",",p
je,je,51
me,je,51
sentais,sentir,18
presque,presque,60
sous,sous,81
le,le,71
toit,toit,21
paternel,paternel,30
dans,dans,81
cette,ce,74
famille,famille,22
inconnue,inconnu,30
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
vu,voir,12
de,de,81
vie,vie,22
plus,plus,60
recueillie,recueilli,31
",",",",p
plus,plus,60
solitaire,solitaire,30
",",",",p
plus,plus,60
laborieuse,laborieux,30
et,et,82
plus,plus,60
sanctifiée,sanctifié,31
que,que,83
celle,celui,52
de,de,81
la,le,71
maison,maison,22
du,de,81
du,le,71
peintre,peintre,21
romain,romain,30
/.,/.,P
le,le,71
peintre,peintre,21
avait,avoir,18
un,un,71
frère,frère,21
/.,/.,P
ce,ce,74
frère,frère,21
ne,ne,60
demeurait,demeurer,18
pas,pas,60
avec,avec,81
lui,lui,51
/.,/.,P
il,il,51
enseignait,enseigner,18
la,le,71
langue,langue,22
italienne,italien,30
aux,à,81
aux,le,71
étrangers,étranger,21
de,de,81
distinction,distinction,22
qui,qui,52
passaient,passer,18
les,le,71
hivers,hiver,21
à,à,81
Rome,Rome,20
/.,/.,P
c',ce,52
était,être,18
plus,plus,60
qu',que,83
un,un,71
professeur,professeur,21
de,de,81
langues,langue,22
",",",",p
c',ce,52
était,être,18
un,un,71
lettré,lettré,21
romain,romain,30
du,de,81
du,le,71
premier,premier,72
mérite,mérite,21
/.,/.,P
jeune,jeune,30
encore,encore,60
",",",",p
d',de,81
une,un,71
figure,figure,22
superbe,superbe,30
",",",",p
d',de,81
un,un,71
caractère,caractère,21
antique,antique,30
",",",",p
il,il,51
avait,avoir,18
figuré,figurer,12
avec,avec,81
éclat,éclat,21
dans,dans,81
les,le,71
tentatives,tentative,22
de,de,81
révolution,révolution,22
que,que,52
les,le,71
républicains,républicain,21
romains,romain,30
avaient,avoir,18
faites,faire,12
pour,pour,81
ressusciter,ressusciter,14
la,le,71
liberté,liberté,22
dans,dans,81
leur,leur,73
pays,pays,21
/.,/.,P
il,il,51
était,être,18
un,un,52
des,de,81
des,le,71
tribuns,tribun,21
du,de,81
du,le,71
peuple,peuple,21
",",",",p
un,un,52
des,de,81
des,le,71
Rienzi,Rienzi,20
de,de,81
l',le,71
époque,époque,22
/.,/.,P
dans,dans,81
cette,ce,74
courte,court,30
résurrection,résurrection,22
de,de,81
Rome,Rome,20
antique,antique,30
suscitée,suscité,31
par,par,81
les,le,71
Français,Français,20
",",",",p
étouffée,étouffé,31
par,par,81
Mack,Mack,20
et,et,82
par,par,81
les,le,71
Napolitains,Napolitain,20
",",",",p
il,il,51
avait,avoir,18
joué,jouer,12
un,un,52
des,de,81
des,le,71
premiers,premier,72
rôles,rôle,21
",",",",p
il,il,51
avait,avoir,18
harangué,haranguer,12
le,le,71
peuple,peuple,21
au,à,81
au,le,71
Capitole,Capitole,20
",",",",p
arboré,arborer,12
le,le,71
drapeau,drapeau,21
de,de,81
l',le,71
indépendance,indépendance,22
et,et,82
occupé,occupé,31
un,un,52
des,de,81
des,le,71
premiers,premier,72
postes,poste,21
de,de,81
la,le,71
république,république,22
/.,/.,P
poursuivi,poursuivi,31
",",",",p
persécuté,persécuté,31
",",",",p
emprisonné,emprisonné,31
au,à,81
au,le,71
moment,moment,21
de,de,81
la,le,71
réaction,réaction,22
",",",",p
il,il,51
n',ne,60
avait,avoir,18
dû,devoir,12
son,son,73
salut,salut,21
qu',que,83
à,à,81
l',le,71
arrivée,arrivée,22
des,de,81
des,le,71
Français,Français,20
",",",",p
qui,qui,52
avaient,avoir,18
sauvé,sauver,12
les,le,71
républicains,républicain,21
",",",",p
mais,mais,82
qui,qui,52
avaient,avoir,18
confisqué,confisquer,12
la,le,71
république,république,22
/.,/.,P
ce,ce,74
Romain,Romain,20
adorait,adorer,18
la,le,71
France,France,20
révolutionnaire,révolutionnaire,30
et,et,82
philosophique,philosophique,30
;,;,p
il,il,51
abhorrait,abhorrer,18
l',le,71
empereur,empereur,21
et,et,82
l',le,71
empire,empire,21
/.,/.,P
Bonaparte,Bonaparte,20
était,être,18
pour,pour,81
lui,lui,51
",",",",p
comme,comme,83
pour,pour,81
tous,tout,75
les,le,71
Italiens,Italien,20
libéraux,libéral,30
",",",",p
le,le,71
César,César,20
de,de,81
la,le,71
liberté,liberté,22
/.,/.,P
tout,tout,60
jeune,jeune,30
encore,encore,60
",",",",p
j',je,51
avais,avoir,18
les,le,71
mêmes,même,75
sentiments,sentiment,21
/.,/.,P
cette,ce,74
conformité,conformité,22
d',de,81
idées,idée,22
ne,ne,60
tarda,tarder,19
pas,pas,60
à,à,81
se,se,51
révéler,révéler,14
entre,entre,81
nous,nous,51
/.,/.,P
en,en,81
voyant,voir,13
avec,avec,81
quel,quel,75
enthousiasme,enthousiasme,21
à,à,81
la,le,71
fois,fois,22
juvénile,juvénile,30
et,et,82
antique,antique,30
je,je,51
vibrais,vibrer,18
aux,à,81
aux,le,71
accents,accent,21
de,de,81
liberté,liberté,22
quand,quand,83
nous,nous,51
lisions,lire,18
ensemble,ensemble,60
les,le,71
vers,vers,21
incendiaires,incendiaire,30
du,de,81
du,le,71
poète,poète,21
Monti,Monti,20
ou,ou,82
les,le,71
scènes,scène,22
républicaines,républicain,30
d',de,81
Alfieri,Alfieri,20
",",",",p
il,il,51
vit,voir,19
qu',que,83
il,il,51
pouvait,pouvoir,18
s',se,51
ouvrir,ouvrir,14
à,à,81
moi,moi,51
",",",",p
et,et,82
je,je,51
devins,devenir,19
moins,moins,60
son,son,73
élève,élève,21
que,que,52
son,son,73
ami,ami,21
/.,/.,P
<IV>,<>,<>
la,le,71
preuve,preuve,22
que,que,52
la,le,71
liberté,liberté,22
est,être,17
l',le,71
idéal,idéal,21
divin,divin,30
de,de,81
l',le,71
homme,homme,21
",",",",p
c',ce,52
est,être,17
qu',que,83
elle,il,51
est,être,17
le,le,71
premier,premier,72
rêve,rêve,21
de,de,81
la,le,71
jeunesse,jeunesse,22
",",",",p
et,et,82
qu',que,52
elle,il,51
ne,ne,60
s',se,51
évanouit,évanouir,17
dans,dans,81
notre,notre,73
âme,âme,22
que,que,83
quand,quand,83
le,le,71
coeur,coeur,21
se,se,51
flétrit,flétrir,17
et,et,82
que,que,83
l',le,71
esprit,esprit,21
s',se,51
avilit,avilir,17
ou,ou,82
se,se,51
décourage,décourager,17
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
une,un,71
âme,âme,22
de,de,81
vingt,vingt,72
ans,an,21
qui,qui,52
ne,ne,60
soit,être,17
républicaine,républicain,30
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
un,un,71
coeur,coeur,21
usé,usé,31
qui,qui,52
ne,ne,60
soit,être,17
servile,servile,30
/.,/.,P
combien,combien,60
de,de,81
fois,fois,22
mon,mon,73
maître,maître,21
et,et,82
moi,moi,51
n',ne,60
allâmes,aller,19
nous,nous,51
pas,pas,60
nous,nous,51
asseoir,asseoir,14
sur,sur,81
la,le,71
colline,colline,22
de,de,81
la,le,71
villa,villa,22
Pamphili,Pamphili,20
",",",",p
d',de,81
où,où,60
l',l',94
on,on,51
voit,voir,17
Rome,Rome,20
",",",",p
ses,son,73
dômes,dôme,21
",",",",p
ses,son,73
ruines,ruine,22
",",",",p
son,son,73
Tibre,Tibre,20
qui,qui,52
rampe,ramper,17
souillé,souillé,31
",",",",p
silencieux,silencieux,30
",",",",p
honteux,honteux,30
",",",",p
sous,sous,81
les,le,71
arches,arche,22
coupées,coupé,31
du,de,81
du,le,71
Ponte Rotto,Ponte Rotto,20
",",",",p
d',de,81
où,où,60
l',l',94
on,on,51
entend,entendre,17
le,le,71
murmure,murmure,21
plaintif,plaintif,30
de,de,81
ses,son,73
fontaines,fontaine,22
et,et,82
les,le,71
pas,pas,21
presque,presque,60
muets,muet,30
de,de,81
son,son,73
peuple,peuple,21
marchant,marcher,13
en,en,81
silence,silence,21
dans,dans,81
ses,son,73
rues,rue,22
désertes,désert,30
/!,/!,P
combien,combien,60
de,de,81
fois,fois,22
ne,ne,60
versâmes,verser,19
nous,nous,51
pas,pas,60
des,de,81
des,le,71
larmes,larme,22
amères,amer,30
sur,sur,81
le,le,71
sort,sort,21
de,de,81
ce,ce,74
monde,monde,21
livré,livré,31
à,à,81
toutes,tout,75
les,le,71
tyrannies,tyrannie,22
",",",",p
où,où,60
la,le,71
philosophie,philosophie,22
et,et,82
la,le,71
liberté,liberté,22
n',ne,60
avaient,avoir,18
semblé,sembler,12
vouloir,vouloir,14
renaître,renaître,14
un,un,71
moment,moment,21
en,en,81
France,France,20
et,et,82
en,en,81
Italie,Italie,20
que,que,83
pour,pour,81
être,être,14
souillées,souiller,12
",",",",p
trahies,trahir,12
ou,ou,82
opprimées,opprimer,12
partout,partout,60
/!,/!,P
que,que,52
d',de,81
imprécations,imprécation,22
à,à,81
voix,voix,22
basse,bas,30
ne,ne,60
sortaient,sortir,18
pas,pas,60
de,de,81
nos,notre,73
poitrines,poitrine,22
contre,contre,81
ce,ce,74
tyran,tyran,21
de,de,81
l',le,71
esprit,esprit,21
humain,humain,30
",",",",p
contre,contre,81
ce,ce,74
soldat,soldat,21
couronné,couronné,31
qui,qui,52
ne,ne,60
s',se,51
était,être,18
retrempé,retremper,12
dans,dans,81
la,le,71
révolution,révolution,22
que,que,83
pour,pour,81
y,y,52
puiser,puiser,14
la,le,71
force,force,22
de,de,81
la,le,52
détruire,détruire,14
et,et,82
pour,pour,81
livrer,livrer,14
de,de,81
nouveau,nouveau,21
les,le,71
peuples,peuple,21
à,à,81
tous,tout,75
les,le,71
préjugés,préjugé,21
et,et,82
à,à,81
toutes,tout,75
les,le,71
servitudes,servitude,22
/!,/!,P
c',ce,52
est,être,17
de,de,81
cette,ce,74
époque,époque,22
que,que,83
datent,dater,17
pour,pour,81
moi,moi,51
l',le,71
amour,amour,21
de,de,81
l',le,71
émancipation,émancipation,22
de,de,81
l',le,71
esprit,esprit,21
humain,humain,30
et,et,82
cette,ce,74
haine,haine,22
intellectuelle,intellectuel,30
contre,contre,81
ce,ce,74
héros,héros,21
du,de,81
du,le,71
siècle,siècle,21
",",",",p
haine,haine,22
à,à,81
la,le,71
fois,fois,22
sentie,senti,31
et,et,82
raisonnée,raisonné,31
",",",",p
que,que,52
la,le,71
réflexion,réflexion,22
et,et,82
le,le,71
temps,temps,21
ne,ne,60
font,faire,17
que,que,83
justifier,justifier,14
",",",",p
malgré,malgré,81
les,le,71
flatteurs,flatteur,21
de,de,81
sa,son,73
mémoire,mémoire,22
/.,/.,P
<V>,<>,<>
ce,ce,52
fut,être,19
sous,sous,81
l',le,71
empire,empire,21
de,de,81
ces,ce,74
impressions,impression,22
que,que,83
j',je,51
étudiai,étudier,19
Rome,Rome,20
",",",",p
son,son,73
histoire,histoire,22
et,et,82
ses,son,73
monuments,monument,21
/.,/.,P
je,je,51
sortais,sortir,18
le,le,71
matin,matin,21
",",",",p
seul,seul,30
",",",",p
avant,avant,81
que,que,83
le,le,71
mouvement,mouvement,21
de,de,81
la,le,71
ville,ville,22
pût,pouvoir,18
distraire,distraire,14
la,le,71
pensée,pensée,22
du,de,81
du,le,71
contemplateur,contemplateur,21
/.,/.,P
j',je,51
emportais,emporter,18
sous,sous,81
mon,mon,73
bras,bras,21
les,le,71
historiens,historien,21
",",",",p
les,le,71
poètes,poète,21
",",",",p
les,le,71
descripteurs,descripteur,21
de,de,81
Rome,Rome,20
/.,/.,P
j',je,51
allais,aller,18
m',je,51
asseoir,asseoir,14
ou,ou,82
errer,errer,14
sur,sur,81
les,le,71
ruines,ruine,22
désertes,désert,30
du,de,81
du,le,71
Forum,Forum,20
",",",",p
du,de,81
du,le,71
Colisée,Colisée,20
",",",",p
de,de,81
la,le,71
campagne,campagne,22
romaine,romain,30
/.,/.,P
je,je,51
regardais,regarder,18
",",",",p
je,je,51
lisais,lire,18
",",",",p
je,je,51
pensais,penser,18
tour,tour,21
à,à,81
tour,tour,21
/.,/.,P
je,je,51
faisais,faire,18
de,de,81
Rome,Rome,20
une,un,71
étude,étude,22
sérieuse,sérieux,30
",",",",p
mais,mais,82
une,un,71
étude,étude,22
en,en,81
action,action,22
/.,/.,P
ce,ce,52
fut,être,19
mon,mon,73
meilleur,meilleur,30
cours,cours,21
d',de,81
histoire,histoire,22
/.,/.,P
l',le,71
antiquité,antiquité,22
",",",",p
au,à,81
au,le,71
lieu,lieu,21
d',de,81
être,être,14
un,un,71
ennui,ennui,21
",",",",p
devint,devenir,19
pour,pour,81
moi,moi,51
un,un,71
sentiment,sentiment,21
/.,/.,P
je,je,51
ne,ne,60
suivais,suivre,18
dans,dans,81
cette,ce,74
étude,étude,22
d',de,81
autre,autre,75
plan,plan,21
que,que,83
mon,mon,73
penchant,penchant,21
/.,/.,P
j',je,51
allais,aller,18
au,à,81
au,le,71
hasard,hasard,21
",",",",p
où,où,60
mes,mon,73
pas,pas,21
me,je,51
portaient,porter,18
/.,/.,P
je,je,51
passais,passer,18
de,de,81
Rome,Rome,20
antique,antique,30
à,à,81
Rome,Rome,20
moderne,moderne,30
",",",",p
du,de,81
du,le,71
Panthéon,Panthéon,20
au,à,81
au,le,71
palais,palais,21
de,de,81
Léon X,Léon X,20
",",",",p
de,de,81
la,le,71
maison,maison,22
d',de,81
Horace,Horace,20
",",",",p
à,à,81
Tibur,Tibur,20
",",",",p
à,à,81
la,le,71
maison,maison,22
de,de,81
Raphaël,Raphaël,20
.,.,p
poètes,poète,21
",",",",p
peintres,peintre,21
",",",",p
historiens,historien,21
",",",",p
grands,grand,30
hommes,homme,21
",",",",p
tout,tout,52
passait,passer,18
confusément,confusément,60
devant,devant,81
moi,moi,51
;,;,p
je,je,51
n',ne,60
arrêtais,arrêter,18
un,un,71
moment,moment,21
que,que,83
ceux,celui,52
qui,qui,52
m',je,51
intéressaient,intéresser,18
davantage,davantage,60
ce,ce,74
jour,jour,21
là,là,60
/.,/.,P
vers,vers,81
onze,onze,72
heures,heure,22
",",",",p
je,je,51
rentrais,rentrer,18
dans,dans,81
ma,mon,73
petite,petit,30
cellule,cellule,22
de,de,81
la,le,71
maison,maison,22
du,de,81
du,le,71
peintre,peintre,21
",",",",p
pour,pour,81
déjeuner,déjeuner,21
/.,/.,P
je,je,51
mangeais,manger,18
",",",",p
sur,sur,81
ma,mon,73
table,table,22
de,de,81
travail,travail,21
et,et,82
tout,tout,60
en,en,81
lisant,lire,13
",",",",p
un,un,71
morceau,morceau,21
de,de,81
pain,pain,21
et,et,82
de,de,81
fromage,fromage,21
/.,/.,P
je,je,51
buvais,boire,18
une,un,71
tasse,tasse,22
de,de,81
lait,lait,21
;,;,p
puis,puis,60
je,je,51
travaillais,travailler,18
",",",",p
je,je,51
notais,noter,18
",",",",p
j',je,51
écrivais,écrire,18
jusqu',jusque,81
à,à,81
l',le,71
heure,heure,22
du,de,81
du,le,71
dîner,dîner,21
/.,/.,P
la,le,71
femme,femme,22
et,et,82
la,le,71
fille,fille,22
de,de,81
mon,mon,73
hôte,hôte,21
le,le,52
préparaient,préparer,18
elles-mêmes,eux-mêmes,51
pour,pour,81
nous,nous,51
/.,/.,P
après,après,81
le,le,71
repas,repas,21
",",",",p
je,je,51
repartais,repartir,18
pour,pour,81
d',de,81
autres,autre,75
courses,course,22
et,et,82
je,je,51
ne,ne,60
rentrais,rentrer,18
qu',que,83
à,à,81
la,le,71
nuit,nuit,22
close,clos,31
/.,/.,P
quelques,quelque,75
heures,heure,22
de,de,81
conversation,conversation,22
avec,avec,81
la,le,71
famille,famille,22
du,de,81
du,le,71
peintre,peintre,21
et,et,82
des,de,81
des,le,71
lectures,lecture,22
prolongées,prolongé,31
longtemps,longtemps,60
dans,dans,81
la,le,71
nuit,nuit,22
achevaient,achever,18
ces,ce,74
paisibles,paisible,30
journées,journée,22
/.,/.,P
je,je,51
ne,ne,60
sentais,sentir,18
aucun,aucun,75
besoin,besoin,21
de,de,81
société,société,22
/.,/.,P
je,je,51
jouissais,jouir,18
même,même,60
de,de,81
mon,mon,73
isolement,isolement,21
/.,/.,P
Rome,Rome,20
et,et,82
mon,mon,73
âme,âme,22
me,je,51
suffisaient,suffire,18
/.,/.,P
je,je,51
passai,passer,19
ainsi,ainsi,60
tout,tout,75
un,un,71
long,long,30
hiver,hiver,21
",",",",p
depuis,depuis,81
le,le,71
mois,mois,21
d',de,81
octobre,octobre,21
jusqu',jusque,81
au,à,81
au,le,71
mois,mois,21
d',de,81
avril,avril,21
suivant,suivant,30
",",",",p
sans,sans,81
un,un,71
jour,jour,21
de,de,81
lassitude,lassitude,22
ou,ou,82
d',de,81
ennui,ennui,21
/.,/.,P
c',ce,52
est,être,17
au,à,81
au,le,71
souvenir,souvenir,21
de,de,81
ces,ce,74
impressions,impression,22
que,que,83
dix,dix,72
ans,an,21
après,après,81
j',je,51
écrivis,écrire,19
des,de,81
des,le,71
vers,vers,21
sur,sur,81
Tibur,Tibur,20
/.,/.,P
<VI>,<>,<>
maintenant,maintenant,60
",",",",p
quand,quand,83
je,je,51
recherche,rechercher,17
bien,bien,60
dans,dans,81
ma,mon,73
pensée,pensée,22
toutes,tout,75
mes,mon,73
impressions,impression,22
de,de,81
Rome,Rome,20
",",",",p
je,je,51
n',ne,60
en,en,52
trouve,trouver,17
que,que,83
deux,deux,72
qui,qui,52
effacent,effacer,17
",",",",p
ou,ou,82
qui,qui,52
",",",",p
du,de,81
du,le,71
moins,moins,60
",",",",p
dominent,dominer,17
toutes,tout,75
les,le,71
autres,autre,52
:,:,p
le,le,71
Colisée,Colisée,20
",",",",p
cet,ce,74
ouvrage,ouvrage,21
du,de,81
du,le,71
peuple,peuple,21
romain,romain,30
;,;,p
Saint-Pierre,Saint-Pierre,20
",",",",p
ce,ce,74
chef-d'oeuvre,chef-d'oeuvre,21
du,de,81
du,le,71
catholicisme,catholicisme,21
/.,/.,P
le,le,71
Colisée,Colisée,20
est,être,17
la,le,71
trace,trace,22
gigantesque,gigantesque,30
d',de,81
un,un,71
peuple,peuple,21
surhumain,surhumain,30
",",",",p
qui,qui,52
élevait,élever,18
",",",",p
pour,pour,81
son,son,73
orgueil,orgueil,21
et,et,82
ses,son,73
plaisirs,plaisir,21
féroces,féroce,30
",",",",p
des,de,81
des,le,71
monuments,monument,21
capables,capable,30
de,de,81
contenir,contenir,14
toute,tout,75
une,un,71
nation,nation,22
/.,/.,P
monument,monument,21
rivalisant,rivaliser,13
par,par,81
la,le,71
masse,masse,22
et,et,82
par,par,81
la,le,71
durée,durée,22
avec,avec,81
les,le,71
oeuvres,oeuvre,22
mêmes,même,30
de,de,81
la,le,71
nature,nature,22
/.,/.,P
le,le,71
Tibre,Tibre,20
aura,avoir,15
tari,tarir,12
dans,dans,81
ses,son,73
rives,rive,22
de,de,81
boue,boue,22
que,que,52
le,le,71
Colisée,Colisée,20
le,le,52
dominera,dominer,15
encore,encore,60
/.,/.,P
Saint-Pierre,Saint-Pierre,20
est,être,17
l',le,71
oeuvre,oeuvre,22
d',de,81
une,un,71
pensée,pensée,22
",",",",p
d',de,81
une,un,71
religion,religion,22
",",",",p
de,de,81
l',le,71
humanité,humanité,22
tout,tout,60
entière,entier,30
à,à,81
une,un,71
époque,époque,22
du,de,81
du,le,71
monde,monde,21
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
plus,plus,60
là,là,60
un,un,71
édifice,édifice,21
destiné,destiné,31
à,à,81
contenir,contenir,14
un,un,71
vil,vil,30
peuple,peuple,21
/.,/.,P
c',ce,52
est,être,17
un,un,71
temple,temple,21
destiné,destiné,31
à,à,81
contenir,contenir,14
toute,tout,75
la,le,71
philosophie,philosophie,22
",",",",p
toutes,tout,75
les,le,71
prières,prière,22
",",",",p
toute,tout,75
la,le,71
grandeur,grandeur,22
",",",",p
toute,tout,75
la,le,71
pensée,pensée,22
de,de,81
l',le,71
homme,homme,21
/.,/.,P
les,le,71
murs,mur,21
semblent,sembler,17
s',se,51
élever,élever,14
et,et,82
s',se,51
agrandir,agrandir,14
",",",",p
non,non,60
plus,plus,60
à,à,81
la,le,71
proportion,proportion,22
d',de,81
un,un,71
peuple,peuple,21
",",",",p
mais,mais,82
à,à,81
la,le,71
proportion,proportion,22
de,de,81
dieu,dieu,21
/.,/.,P
Michel-Ange,Michel-Ange,20
seul,seul,30
a,avoir,17
compris,comprendre,12
le,le,71
catholicisme,catholicisme,21
et,et,82
lui,lui,51
a,avoir,17
donné,donner,12
dans,dans,81
Saint-Pierre,Saint-Pierre,20
sa,son,73
plus,plus,60
sublime,sublime,30
et,et,82
sa,son,73
plus,plus,60
complète,complet,30
expression,expression,22
/.,/.,P
Saint-Pierre,Saint-Pierre,20
est,être,17
véritablement,véritablement,60
l',le,71
apothéose,apothéose,22
en,en,81
pierres,pierre,22
",",",",p
la,le,71
transfiguration,transfiguration,22
monumentale,monumental,30
de,de,81
la,le,71
religion,religion,22
du,de,81
du,le,71
Christ,Christ,20
/.,/.,P
les,le,71
architectes,architecte,21
des,de,81
des,le,71
cathédrales,cathédrale,22
gothiques,gothique,30
étaient,être,18
des,de,81
des,le,71
barbares,barbare,21
sublimes,sublime,30
/.,/.,P
Michel-Ange,Michel-Ange,20
seul,seul,30
a,avoir,17
été,être,12
un,un,71
philosophe,philosophe,21
dans,dans,81
sa,son,73
conception,conception,22
/.,/.,P
Saint-Pierre,Saint-Pierre,20
",",",",p
c',ce,52
est,être,17
le,le,71
christianisme,christianisme,21
philosophique,philosophique,30
",",",",p
d',de,81
où,où,60
l',le,71
architecte,architecte,21
divin,divin,30
chasse,chasser,17
les,le,71
ténèbres,ténèbre,22
",",",",p
et,et,82
où,où,60
il,il,51
fait,faire,17
entrer,entrer,14
l',le,71
espace,espace,21
",",",",p
la,le,71
beauté,beauté,22
",",",",p
la,le,71
symétrie,symétrie,22
",",",",p
la,le,71
lumière,lumière,22
à,à,81
flots,flot,21
intarissables,intarissable,30
/.,/.,P
la,le,71
beauté,beauté,22
incomparable,incomparable,30
de,de,81
Saint-Pierre,Saint-Pierre,20
de,de,81
Rome,Rome,20
",",",",p
c',ce,52
est,être,17
que,que,83
c',ce,52
est,être,17
un,un,71
temple,temple,21
qui,qui,52
ne,ne,60
semble,sembler,17
destiné,destiné,31
qu',que,83
à,à,81
revêtir,revêtir,14
l',le,71
idée,idée,22
de,de,81
dieu,dieu,21
de,de,81
toute,tout,75
sa,son,73
splendeur,splendeur,22
/.,/.,P
le,le,71
christianisme,christianisme,21
périrait,périr,16
que,que,83
Saint-Pierre,Saint-Pierre,20
resterait,rester,16
encore,encore,60
le,le,71
temple,temple,21
universel,universel,30
",",",",p
éternel,éternel,30
",",",",p
rationnel,rationnel,30
",",",",p
de,de,81
la,le,71
religion,religion,22
quelconque,quelconque,30
qui,qui,52
succéderait,succéder,16
au,à,81
au,le,71
culte,culte,21
du,de,81
du,le,71
Christ,Christ,20
",",",",p
pourvu,pourvu,81
que,que,83
cette,ce,74
religion,religion,22
fût,être,19
digne,digne,30
de,de,81
l',le,71
humanité,humanité,22
et,et,82
de,de,81
dieu,dieu,21
/!,/!,P
c',ce,52
est,être,17
le,le,71
temple,temple,21
le,le,71
plus,plus,60
abstrait,abstrait,31
que,que,83
jamais,jamais,60
le,le,71
génie,génie,21
humain,humain,30
",",",",p
inspiré,inspiré,31
d',de,81
une,un,71
idée,idée,22
divine,divin,30
",",",",p
ait,avoir,17
construit,construire,12
ici-bas,ici-bas,60
/.,/.,P
quand,quand,83
on,on,51
y,y,52
entre,entrer,17
",",",",p
on,on,51
ne,ne,60
sait,savoir,17
pas,pas,60
si,si,83
l',l',94
on,on,51
entre,entrer,17
dans,dans,81
un,un,71
temple,temple,21
antique,antique,30
ou,ou,82
dans,dans,81
un,un,71
temple,temple,21
moderne,moderne,30
;,;,p
aucun,aucun,75
détail,détail,21
n',ne,60
offusque,offusquer,17
l',le,71
oeil,oeil,21
",",",",p
aucun,aucun,75
symbole,symbole,21
ne,ne,60
distrait,distraire,17
la,le,71
pensée,pensée,22
