11908
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-deuxième extrait>,<>,<>
était,être,18
le,le,71
titre,titre,21
qu',que,52
on,on,51
donnait,donner,18
d',de,81
ordinaire,ordinaire,21
à,à,81
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
;,;,p
…,…,p
à,à,81
votre,votre,73
éminence,éminence,22
/!,/!,P
que,que,52
il,il,51
vienne,venir,17
alors,alors,60
",",",",p
qu',que,52
il,il,51
vienne,venir,17
!,!,p
dit,dire,19
vivement,vivement,60
Richelieu,Richelieu,20
/.,/.,P
l',le,71
officier,officier,21
s',se,51
élança,élancer,19
hors,hors,81
de,de,81
l',le,71
appartement,appartement,21
",",",",p
avec,avec,81
cette,ce,74
rapidité,rapidité,22
que,que,52
mettaient,mettre,18
d',de,81
ordinaire,ordinaire,21
tous,tout,75
les,le,71
serviteurs,serviteur,21
du,de,81
du,le,71
cardinal,cardinal,21
à,à,81
lui,lui,51
obéir,obéir,14
/.,/.,P
“,“,p
à,à,81
votre,votre,73
éminence,éminence,22
!,!,p
murmurait,murmurer,18
Bonacieux,Bonacieux,20
en,en,81
roulant,rouler,13
des,de,81
des,le,71
yeux,oeil,21
égarés,égaré,31
/.,/.,P
cinq,cinq,72
secondes,seconde,22
ne,ne,60
s',se,51
étaient,être,18
pas,pas,60
écoulées,écouler,12
depuis,depuis,81
la,le,71
disparition,disparition,22
de,de,81
l',le,71
officier,officier,21
",",",",p
que,que,83
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
et,et,82
qu',que,83
un,un,71
nouveau,nouveau,30
personnage,personnage,21
entra,entrer,19
/.,/.,P
“,“,p
c',ce,52
est,être,17
lui,lui,51
",",",",p
s',se,51
écria,écrier,19
Bonacieux,Bonacieux,20
/.,/.,P
-,-,p
qui,qui,52
lui,lui,51
?,?,p
demanda,demander,19
le,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
celui,celui,52
qui,qui,52
m',je,51
a,avoir,17
enlevé,enlever,12
ma,mon,73
femme,femme,22
/.,/.,P
“,“,p
le,le,71
cardinal,cardinal,21
sonna,sonner,19
une,un,71
seconde,second,72
fois,fois,22
/.,/.,P
l',le,71
officier,officier,21
reparut,reparaître,19
/.,/.,P
“,“,p
remettez,remettre,17
cet,ce,74
homme,homme,21
aux,à,81
aux,le,71
mains,main,22
de,de,81
ses,son,73
deux,deux,72
gardes,garde,21
",",",",p
et,et,82
qu',que,52
il,il,51
attende,attendre,17
que,que,83
je,je,51
le,le,52
rappelle,rappeler,17
devant,devant,81
moi,moi,51
/.,/.,P
-,-,p
non,non,60
",",",",p
monseigneur,monseigneur,21
!,!,p
non,non,60
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
lui,lui,51
!,!,p
s',se,51
écria,écrier,19
Bonacieux,Bonacieux,20
;,;,p
non,non,60
",",",",p
je,je,51
m',je,51
étais,être,18
trompé,tromper,12
:,:,p
c',ce,52
est,être,17
un,un,71
autre,autre,52
qui,qui,52
ne,ne,60
lui,lui,51
ressemble,ressembler,17
pas,pas,60
du,de,81
du,le,71
tout,tout,21
/!,/!,P
monsieur,monsieur,21
est,être,17
un,un,71
honnête,honnête,30
homme,homme,21
/.,/.,P
-,-,p
emmenez,emmener,17
cet,ce,74
imbécile,imbécile,21
!,!,p
dit,dire,19
le,le,71
cardinal,cardinal,21
/.,/.,P
l',le,71
officier,officier,21
prit,prendre,19
Bonacieux,Bonacieux,20
sous,sous,81
le,le,71
bras,bras,21
",",",",p
et,et,82
le,le,52
reconduisit,reconduire,19
dans,dans,81
l',le,71
antichambre,antichambre,22
où,où,60
il,il,51
trouva,trouver,19
ses,son,73
deux,deux,72
gardes,garde,21
/.,/.,P
le,le,71
nouveau,nouveau,30
personnage,personnage,21
qu',que,52
on,on,51
venait,venir,18
d',de,81
introduire,introduire,14
suivit,suivre,19
des,de,81
des,le,71
yeux,oeil,21
avec,avec,81
impatience,impatience,22
Bonacieux,Bonacieux,20
jusqu',jusque,81
à,à,81
ce,ce,52
qu',que,52
il,il,51
fût,être,19
sorti,sortir,12
",",",",p
et,et,82
dès,dès,81
que,que,83
la,le,71
porte,porte,22
se,se,51
fut,être,19
refermée,refermer,12
sur,sur,81
lui,lui,51
:,:,p
“,“,p
ils,ils,51
se,se,51
sont,être,17
vus,voir,12
",",",",p
dit,dire,19
il,il,51
en,en,81
s',se,51
approchant,approcher,13
vivement,vivement,60
du,de,81
du,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
qui,qui,52
?,?,p
demanda,demander,19
son,son,73
éminence,éminence,22
/.,/.,P
-,-,p
elle,il,51
et,et,82
lui,lui,51
/.,/.,P
-,-,p
la,le,71
reine,reine,22
et,et,82
le,le,71
duc,duc,21
?,?,p
s',se,51
écria,écrier,19
Richelieu,Richelieu,20
/.,/.,P
-,-,p
oui,oui,60
/.,/.,P
-,-,p
et,et,82
où,où,60
cela,cela,52
/?,/?,P
au,à,81
au,le,71
Louvre,Louvre,20
/.,/.,P
-,-,p
vous,vous,51
en,en,52
êtes,être,17
sûr,sûr,30
/?,/?,P
parfaitement,parfaitement,60
sûr,sûr,30
/.,/.,P
-,-,p
qui,qui,52
vous,vous,51
l',le,52
a,avoir,17
dit,dire,12
/?,/?,P
madame,madame,22
de,de,81
Lannoy,Lannoy,20
",",",",p
qui,qui,52
est,être,17
toute,tout,52
à,à,81
votre,votre,73
éminence,éminence,22
",",",",p
comme,comme,83
vous,vous,51
le,le,52
savez,savoir,17
/.,/.,P
-,-,p
pourquoi,pourquoi,60
ne,ne,60
l',le,52
a,avoir,17
t,t,94
elle,il,51
pas,pas,60
dit,dire,12
plus,plus,60
tôt,tôt,60
/?,/?,P
soit,soit,82
hasard,hasard,21
",",",",p
soit,soit,82
défiance,défiance,22
",",",",p
la,le,71
reine,reine,22
a,avoir,17
fait,faire,12
coucher,coucher,14
madame,madame,22
de,de,81
Fargis,Fargis,20
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
et,et,82
l',le,52
a,avoir,17
gardée,garder,12
toute,tout,75
la,le,71
journée,journée,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
",",",",p
nous,nous,51
sommes,être,17
battus,battre,12
/.,/.,P
tâchons,tâcher,17
de,de,81
prendre,prendre,14
notre,notre,73
revanche,revanche,22
/.,/.,P
-,-,p
je,je,51
vous,vous,51
y,y,52
aiderai,aider,15
de,de,81
toute,tout,75
mon,mon,73
âme,âme,22
",",",",p
monseigneur,monseigneur,21
",",",",p
soyez,être,17
tranquille,tranquille,30
/.,/.,P
-,-,p
comment,comment,60
cela,cela,52
s',se,51
est,être,17
il,il,51
passé,passer,12
/?,/?,P
à,à,81
minuit,minuit,21
et,et,82
demi,demi,30
",",",",p
la,le,71
reine,reine,22
était,être,18
avec,avec,81
ses,son,73
femmes,femme,22
/…,/…,P
où,où,60
cela,cela,52
/?,/?,P
dans,dans,81
sa,son,73
chambre,chambre,22
à,à,81
coucher,coucher,14
/…,/…,P
bien,bien,60
/.,/.,P
-,-,p
lorsqu',lorsque,83
on,on,51
est,être,17
venu,venir,12
lui,lui,51
remettre,remettre,14
un,un,71
mouchoir,mouchoir,21
de,de,81
la,le,71
part,part,22
de,de,81
sa,son,73
dame,dame,22
de,de,81
lingerie,lingerie,22
/…,/…,P
après,après,81
/?,/?,P
aussitôt,aussitôt,60
la,le,71
reine,reine,22
a,avoir,17
manifesté,manifester,12
une,un,71
grande,grand,30
émotion,émotion,22
",",",",p
et,et,82
",",",",p
malgré,malgré,81
le,le,71
rouge,rouge,21
dont,dont,52
elle,il,51
avait,avoir,18
le,le,71
visage,visage,21
couvert,couvert,31
",",",",p
elle,il,51
a,avoir,17
pâli,pâlir,12
/.,/.,P
-,-,p
après,après,81
!,!,p
après,après,81
/!,/!,P
cependant,cependant,82
",",",",p
elle,il,51
s',se,51
est,être,17
levée,lever,12
",",",",p
et,et,82
d',de,81
une,un,71
voix,voix,22
altérée,altéré,31
:,:,p
“,“,p
mesdames,madame,22
",",",",p
a,avoir,17
t,t,94
elle,il,51
dit,dire,12
",",",",p
attendez,attendre,17
moi,moi,51
dix,dix,72
minutes,minute,22
",",",",p
puis,puis,60
je,je,51
reviens,revenir,17
/.,/.,P
“,“,p
et,et,82
elle,il,51
a,avoir,17
ouvert,ouvrir,12
la,le,71
porte,porte,22
de,de,81
son,son,73
alcôve,alcôve,22
",",",",p
puis,puis,60
elle,il,51
est,être,17
sortie,sortir,12
/.,/.,P
-,-,p
pourquoi,pourquoi,60
madame,madame,22
de,de,81
Lannoy,Lannoy,20
n',ne,60
est,être,17
elle,il,51
pas,pas,60
venue,venir,12
vous,vous,51
prévenir,prévenir,14
à,à,81
l',le,71
instant,instant,21
même,même,30
/?,/?,P
rien,rien,52
n',ne,60
était,être,18
bien,bien,60
certain,certain,30
encore,encore,60
;,;,p
d',de,81
ailleurs,ailleurs,60
",",",",p
la,le,71
reine,reine,22
avait,avoir,18
dit,dire,12
:,:,p
“,“,p
mesdames,madame,22
",",",",p
attendez,attendre,17
moi,moi,51
“,“,p
;,;,p
et,et,82
elle,il,51
n',ne,60
osait,oser,18
désobéir,désobéir,14
à,à,81
la,le,71
reine,reine,22
/.,/.,P
-,-,p
et,et,82
combien,combien,60
de,de,81
temps,temps,21
la,le,71
reine,reine,22
est,être,17
elle,il,51
restée,rester,12
hors,hors,81
de,de,81
la,le,71
chambre,chambre,22
/?,/?,P
trois,trois,72
quarts,quart,21
d',de,81
heure,heure,22
/.,/.,P
-,-,p
aucune,aucun,52
de,de,81
ses,son,73
femmes,femme,22
ne,ne,60
l',le,52
accompagnait,accompagner,18
/?,/?,P
doña,dona,92
Estefania,Estefania,20
seulement,seulement,60
/.,/.,P
-,-,p
et,et,82
elle,il,51
est,être,17
rentrée,rentrer,12
ensuite,ensuite,60
/?,/?,P
oui,oui,60
",",",",p
mais,mais,82
pour,pour,81
prendre,prendre,14
un,un,71
petit,petit,30
coffret,coffret,21
de,de,81
bois,bois,21
de,de,81
rose,rose,22
à,à,81
son,son,73
chiffre,chiffre,21
",",",",p
et,et,82
sortir,sortir,14
aussitôt,aussitôt,60
/.,/.,P
-,-,p
et,et,82
quand,quand,83
elle,il,51
est,être,17
rentrée,rentrer,12
",",",",p
plus,plus,60
tard,tard,60
",",",",p
a,avoir,17
t,t,94
elle,il,51
rapporté,rapporter,12
le,le,71
coffret,coffret,21
/?,/?,P
non,non,60
/.,/.,P
-,-,p
madame,madame,22
de,de,81
Lannoy,Lannoy,20
savait,savoir,18
elle,il,51
ce,ce,52
qu',que,52
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
ce,ce,74
coffret,coffret,21
/?,/?,P
oui,oui,60
:,:,p
les,le,71
ferrets,ferret,21
en,en,81
diamants,diamant,21
que,que,52
sa,son,73
majesté,majesté,22
a,avoir,17
donnés,donner,12
à,à,81
la,le,71
reine,reine,22
/.,/.,P
-,-,p
et,et,82
elle,il,51
est,être,17
rentrée,rentrer,12
sans,sans,81
ce,ce,74
coffret,coffret,21
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
l',le,71
opinion,opinion,22
de,de,81
madame,madame,22
de,de,81
Lannoy,Lannoy,20
est,être,17
qu',que,83
elle,il,51
les,le,52
a,avoir,17
remis,remettre,12
alors,alors,60
à,à,81
Buckingham,Buckingham,20
/?,/?,P
elle,il,51
en,en,52
est,être,17
sûre,sûr,30
/.,/.,P
-,-,p
comment,comment,60
cela,cela,52
/?,/?,P
pendant,pendant,81
la,le,71
journée,journée,22
",",",",p
madame,madame,22
de,de,81
Lannoy,Lannoy,20
",",",",p
en,en,81
sa,son,73
qualité,qualité,22
de,de,81
dame,dame,22
d',de,81
atour,atour,21
de,de,81
la,le,71
reine,reine,22
",",",",p
a,avoir,17
cherché,chercher,12
ce,ce,74
coffret,coffret,21
",",",",p
a,avoir,17
paru,paraître,12
inquiète,inquiet,30
de,de,81
ne,ne,60
pas,pas,60
le,le,52
trouver,trouver,14
et,et,82
a,avoir,17
fini,finir,12
par,par,81
en,en,52
demander,demander,14
des,de,81
des,le,71
nouvelles,nouvelle,22
à,à,81
la,le,71
reine,reine,22
/.,/.,P
-,-,p
et,et,82
alors,alors,60
",",",",p
la,le,71
reine,reine,22
/…,/…,P
-,-,p
la,le,71
reine,reine,22
est,être,17
devenue,devenir,12
fort,fort,60
rouge,rouge,30
et,et,82
a,avoir,17
répondu,répondre,12
qu',que,83
ayant,avoir,13
brisé,briser,12
la,le,71
veille,veille,22
un,un,52
de,de,81
ses,son,73
ferrets,ferret,21
",",",",p
elle,il,51
l',le,52
avait,avoir,18
envoyé,envoyer,12
raccommoder,raccommoder,14
chez,chez,81
son,son,73
orfèvre,orfèvre,21
/.,/.,P
-,-,p
il,il,51
faut,falloir,17
y,y,52
passer,passer,14
et,et,82
s',se,51
assurer,assurer,14
si,si,83
la,le,71
chose,chose,22
est,être,17
vraie,vrai,30
ou,ou,82
non,non,60
/.,/.,P
-,-,p
j',je,51
y,y,52
suis,être,17
passé,passer,12
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
l',le,71
orfèvre,orfèvre,21
/?,/?,P
l',le,71
orfèvre,orfèvre,21
n',ne,60
a,avoir,17
entendu,entendre,12
parler,parler,14
de,de,81
rien,rien,52
/.,/.,P
-,-,p
bien,bien,60
!,!,p
bien,bien,60
/!,/!,P
Rochefort,Rochefort,20
",",",",p
tout,tout,52
n',ne,60
est,être,17
pas,pas,60
perdu,perdre,12
",",",",p
et,et,82
peut-être,peut-être,60
…,…,p
peut-être,peut-être,60
tout,tout,52
est,être,17
il,il,51
pour,pour,81
le,le,71
mieux,mieux,60
/!,/!,P
le,le,71
fait,fait,21
est,être,17
que,que,83
je,je,51
ne,ne,60
doute,douter,17
pas,pas,60
que,que,83
le,le,71
génie,génie,21
de,de,81
votre,votre,73
éminence,éminence,22
/…,/…,P
ne,ne,60
répare,réparer,17
les,le,71
bêtises,bêtise,22
de,de,81
mon,mon,73
agent,agent,21
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
c',ce,52
est,être,17
justement,justement,60
ce,ce,52
que,que,52
j',je,51
allais,aller,18
dire,dire,14
",",",",p
si,si,83
votre,votre,73
éminence,éminence,22
m',je,51
avait,avoir,18
laissé,laisser,12
achever,achever,14
ma,mon,73
phrase,phrase,22
/.,/.,P
-,-,p
maintenant,maintenant,60
",",",",p
savez,savoir,17
vous,vous,51
où,où,60
se,se,51
cachaient,cacher,18
la,le,71
duchesse,duchesse,22
de,de,81
Chevreuse,Chevreuse,20
et,et,82
le,le,71
duc,duc,21
de,de,81
Buckingham,Buckingham,20
/?,/?,P
non,non,60
",",",",p
monseigneur,monseigneur,21
",",",",p
mes,mon,73
gens,gens,21
n',ne,60
ont,avoir,17
pu,pouvoir,12
rien,rien,52
me,je,51
dire,dire,14
de,de,81
positif,positif,30
là-dessus,là-dessus,60
/.,/.,P
-,-,p
je,je,51
le,le,52
sais,savoir,17
",",",",p
moi,moi,51
/.,/.,P
-,-,p
vous,vous,51
",",",",p
monseigneur,monseigneur,21
/?,/?,P
oui,oui,60
",",",",p
ou,ou,82
du,de,81
du,le,71
moins,moins,60
je,je,51
m',je,51
en,en,52
doute,douter,17
/.,/.,P
ils,ils,51
se,se,51
tenaient,tenir,18
",",",",p
l',le,71
un,un,52
rue,rue,22
de,de,81
Vaugirard,Vaugirard,20
",",",",p
numéro,numéro,21
<Nombre 25>,<>,<>
vingt,vingt,72
cinq,cinq,72
<Fin nombre>,<>,<>
",",",",p
et,et,82
l',le,71
autre,autre,75
rue,rue,22
de,de,81
La Harpe,La Harpe,20
",",",",p
numéro,numéro,21
<Nombre 75>,<>,<>
soixante,soixante,72
quinze,quinze,72
<Fin nombre>,<>,<>
/.,/.,P
-,-,p
votre,votre,73
éminence,éminence,22
veut,vouloir,17
elle,il,51
que,que,83
je,je,51
les,le,52
fasse,faire,17
arrêter,arrêter,14
tous,tout,75
deux,deux,72
/?,/?,P
il,il,51
sera,être,15
trop,trop,60
tard,tard,60
",",",",p
ils,ils,51
seront,être,15
partis,partir,12
/.,/.,P
-,-,p
n',ne,60
importe,importer,17
",",",",p
on,on,51
peut,pouvoir,17
s',se,51
en,en,52
assurer,assurer,14
/.,/.,P
-,-,p
prenez,prendre,17
dix,dix,72
hommes,homme,21
de,de,81
mes,mon,73
gardes,garde,21
",",",",p
et,et,82
fouillez,fouiller,17
les,le,52
deux,deux,72
maisons,maison,22
/.,/.,P
-,-,p
j',je,51
y,y,52
vais,aller,17
",",",",p
monseigneur,monseigneur,21
/.,/.,P
“,“,p
et,et,82
Rochefort,Rochefort,20
s',se,51
élança,élancer,19
hors,hors,81
de,de,81
l',le,71
appartement,appartement,21
/.,/.,P
le,le,71
cardinal,cardinal,21
",",",",p
resté,resté,31
seul,seul,30
",",",",p
réfléchit,réfléchir,19
un,un,71
instant,instant,21
et,et,82
sonna,sonner,19
une,un,71
troisième,troisième,72
fois,fois,22
/.,/.,P
le,le,71
même,même,75
officier,officier,21
reparut,reparaître,19
/.,/.,P
“,“,p
faites,faire,17
entrer,entrer,14
le,le,71
prisonnier,prisonnier,21
“,“,p
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
/.,/.,P
maître,maître,21
Bonacieux,Bonacieux,20
fut,être,19
introduit,introduire,12
de,de,81
nouveau,nouveau,21
",",",",p
et,et,82
",",",",p
sur,sur,81
un,un,71
signe,signe,21
du,de,81
du,le,71
cardinal,cardinal,21
",",",",p
l',le,71
officier,officier,21
se,se,51
retira,retirer,19
/.,/.,P
“,“,p
vous,vous,51
m',je,51
avez,avoir,17
trompé,tromper,12
",",",",p
dit,dire,19
sévèrement,sévèrement,60
le,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
moi,moi,51
",",",",p
s',se,51
écria,écrier,19
Bonacieux,Bonacieux,20
",",",",p
moi,moi,51
",",",",p
tromper,tromper,14
votre,votre,73
éminence,éminence,22
/!,/!,P
votre,votre,73
femme,femme,22
",",",",p
en,en,81
allant,aller,13
rue,rue,22
de,de,81
Vaugirard,Vaugirard,20
et,et,82
rue,rue,22
de,de,81
La Harpe,La Harpe,20
",",",",p
n',ne,60
allait,aller,18
pas,pas,60
chez,chez,81
des,de,81
des,le,71
marchands,marchand,21
de,de,81
toile,toile,22
/.,/.,P
-,-,p
et,et,82
où,où,60
allait,aller,18
elle,il,51
",",",",p
juste,juste,30
dieu,dieu,21
/?,/?,P
elle,il,51
allait,aller,18
chez,chez,81
la,le,71
duchesse,duchesse,22
de,de,81
Chevreuse,Chevreuse,20
et,et,82
chez,chez,81
le,le,71
duc,duc,21
de,de,81
Buckingham,Buckingham,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
dit,dire,19
Bonacieux,Bonacieux,20
rappelant,rappeler,13
tous,tout,75
ses,son,73
souvenirs,souvenir,21
;,;,p
oui,oui,60
",",",",p
c',ce,52
est,être,17
cela,cela,52
",",",",p
votre,votre,73
éminence,éminence,22
a,avoir,17
raison,raison,22
/.,/.,P
j',je,51
ai,avoir,17
dit,dire,12
plusieurs,plusieurs,75
fois,fois,22
à,à,81
ma,mon,73
femme,femme,22
qu',que,52
il,il,51
était,être,18
étonnant,étonnant,30
que,que,83
des,de,81
des,le,71
marchands,marchand,21
de,de,81
toile,toile,22
demeurassent,demeurer,18
dans,dans,81
des,de,81
des,le,71
maisons,maison,22
pareilles,pareil,30
",",",",p
dans,dans,81
des,de,81
des,le,71
maisons,maison,22
qui,qui,52
n',ne,60
avaient,avoir,18
pas,pas,60
d',de,81
enseignes,enseigne,22
",",",",p
et,et,82
chaque,chaque,75
fois,fois,22
ma,mon,73
femme,femme,22
s',se,51
est,être,17
mise,mettre,12
à,à,81
rire,rire,14
/.,/.,P
ah,ah,93
/!,/!,P
monseigneur,monseigneur,21
",",",",p
continua,continuer,19
Bonacieux,Bonacieux,20
en,en,81
se,se,51
jetant,jeter,13
aux,à,81
aux,le,71
pieds,pied,21
de,de,81
l',le,71
éminence,éminence,22
",",",",p
ah,ah,93
!,!,p
que,que,52
vous,vous,51
êtes,être,17
bien,bien,60
le,le,71
cardinal,cardinal,21
",",",",p
le,le,71
grand,grand,30
cardinal,cardinal,21
",",",",p
l',le,71
homme,homme,21
de,de,81
génie,génie,21
que,que,52
tout,tout,75
le,le,71
monde,monde,21
révère,révérer,17
/.,/.,P
“,“,p
le,le,71
cardinal,cardinal,21
",",",",p
tout,tout,60
médiocre,médiocre,30
qu',que,83
était,être,18
le,le,71
triomphe,triomphe,21
remporté,remporté,31
sur,sur,81
un,un,71
être,être,21
aussi,aussi,60
vulgaire,vulgaire,30
que,que,83
l',le,52
était,être,18
Bonacieux,Bonacieux,20
",",",",p
n',ne,60
en,en,52
jouit,jouir,19
pas,pas,60
moins,moins,60
un,un,71
instant,instant,21
;,;,p
puis,puis,60
",",",",p
presque,presque,60
aussitôt,aussitôt,60
",",",",p
comme,comme,83
si,si,83
une,un,71
nouvelle,nouveau,30
pensée,pensée,22
se,se,51
présentait,présenter,18
à,à,81
son,son,73
esprit,esprit,21
",",",",p
un,un,71
sourire,sourire,21
plissa,plisser,19
ses,son,73
lèvres,lèvre,22
",",",",p
et,et,82
tendant,tendre,13
la,le,71
main,main,22
au,à,81
au,le,71
mercier,mercier,21
:,:,p
“,“,p
relevez,relever,17
vous,vous,51
",",",",p
mon,mon,73
ami,ami,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
vous,vous,51
êtes,être,17
un,un,71
brave,brave,30
homme,homme,21
/.,/.,P
-,-,p
le,le,71
cardinal,cardinal,21
m',je,51
a,avoir,17
touché,toucher,12
la,le,71
main,main,22
!,!,p
j',je,51
ai,avoir,17
touché,toucher,12
la,le,71
main,main,22
du,de,81
du,le,71
grand,grand,30
homme,homme,21
!,!,p
s',se,51
écria,écrier,19
Bonacieux,Bonacieux,20
;,;,p
le,le,71
grand,grand,30
homme,homme,21
m',je,51
a,avoir,17
appelé,appeler,12
son,son,73
ami,ami,21
/!,/!,P
oui,oui,60
",",",",p
mon,mon,73
ami,ami,21
;,;,p
oui,oui,60
!,!,p
dit,dire,19
le,le,71
cardinal,cardinal,21
avec,avec,81
ce,ce,74
ton,ton,21
paterne,paterne,30
qu',que,52
il,il,51
savait,savoir,18
prendre,prendre,14
quelquefois,quelquefois,60
",",",",p
mais,mais,82
qui,qui,52
ne,ne,60
trompait,tromper,18
que,que,83
les,le,71
gens,gens,21
qui,qui,52
ne,ne,60
le,le,52
connaissaient,connaître,18
pas,pas,60
;,;,p
et,et,82
comme,comme,83
on,on,51
vous,vous,51
a,avoir,17
soupçonné,soupçonner,12
injustement,injustement,60
",",",",p
eh,eh,93
bien,bien,60
",",",",p
il,il,51
vous,vous,51
faut,falloir,17
une,un,71
indemnité,indemnité,22
:,:,p
tenez,tenir,17
!,!,p
prenez,prendre,17
ce,ce,74
sac,sac,21
de,de,81
cent,cent,72
pistoles,pistole,22
",",",",p
et,et,82
pardonnez,pardonner,17
moi,moi,51
/.,/.,P
-,-,p
que,que,52
je,je,51
vous,vous,51
pardonne,pardonner,17
",",",",p
monseigneur,monseigneur,21
!,!,p
dit,dire,19
Bonacieux,Bonacieux,20
hésitant,hésiter,13
à,à,81
prendre,prendre,14
le,le,71
sac,sac,21
",",",",p
craignant,craindre,13
sans,sans,81
doute,doute,21
que,que,83
ce,ce,74
prétendu,prétendu,31
don,don,21
ne,ne,60
fût,être,19
qu',que,83
une,un,71
plaisanterie,plaisanterie,22
/.,/.,P
mais,mais,82
vous,vous,51
étiez,être,18
bien,bien,60
libre,libre,30
de,de,81
me,je,51
faire,faire,14
arrêter,arrêter,14
",",",",p
vous,vous,51
êtes,être,17
bien,bien,60
libre,libre,30
de,de,81
me,je,51
faire,faire,14
torturer,torturer,14
",",",",p
vous,vous,51
êtes,être,17
bien,bien,60
libre,libre,30
de,de,81
me,je,51
faire,faire,14
pendre,pendre,14
:,:,p
vous,vous,51
êtes,être,17
le,le,71
maître,maître,21
",",",",p
et,et,82
je,je,51
n',ne,60
aurais,avoir,16
pas,pas,60
eu,avoir,12
le,le,71
plus,plus,60
petit,petit,30
mot,mot,21
à,à,81
dire,dire,14
/.,/.,P
vous,vous,51
pardonner,pardonner,14
",",",",p
monseigneur,monseigneur,21
/!,/!,P
allons,aller,17
donc,donc,82
",",",",p
vous,vous,51
n',ne,60
y,y,52
pensez,penser,17
pas,pas,60
/!,/!,P
ah,ah,93
!,!,p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
Bonacieux,Bonacieux,20
!,!,p
vous,vous,51
y,y,52
mettez,mettre,17
de,de,81
la,le,71
générosité,générosité,22
",",",",p
je,je,51
le,le,52
vois,voir,17
",",",",p
et,et,82
je,je,51
vous,vous,51
en,en,52
remercie,remercier,17
/.,/.,P
ainsi,ainsi,60
donc,donc,82
",",",",p
vous,vous,51
prenez,prendre,17
ce,ce,74
sac,sac,21
",",",",p
et,et,82
vous,vous,51
vous,vous,51
en,en,52
allez,aller,17
sans,sans,81
être,être,14
trop,trop,60
mécontent,mécontent,30
/?,/?,P
je,je,51
m',je,51
en,en,52
vais,aller,17
enchanté,enchanté,31
",",",",p
monseigneur,monseigneur,21
/.,/.,P
-,-,p
adieu,adieu,21
donc,donc,82
",",",",p
ou,ou,82
plutôt,plutôt,60
à,à,81
revoir,revoir,14
",",",",p
car,car,82
j',je,51
espère,espérer,17
que,que,83
nous,nous,51
nous,nous,51
reverrons,revoir,15
/.,/.,P
-,-,p
tant,tant,60
que,que,83
monseigneur,monseigneur,21
voudra,vouloir,15
",",",",p
et,et,82
je,je,51
suis,être,17
bien,bien,60
aux,à,81
aux,le,71
ordres,ordre,21
de,de,81
son,son,73
éminence,éminence,22
/.,/.,P
-,-,p
ce,ce,52
sera,être,15
souvent,souvent,60
",",",",p
soyez,être,17
tranquille,tranquille,30
",",",",p
car,car,82
j',je,51
ai,avoir,17
trouvé,trouver,12
un,un,71
charme,charme,21
extrême,extrême,30
à,à,81
votre,votre,73
conversation,conversation,22
/.,/.,P
-,-,p
oh,oh,93
/!,/!,P
monseigneur,monseigneur,21
/!,/!,P
au revoir,au revoir,21
",",",",p
monsieur,monsieur,21
Bonacieux,Bonacieux,20
",",",",p
au revoir,au revoir,21
/.,/.,P
et,et,82
le,le,71
cardinal,cardinal,21
lui,lui,51
fit,faire,19
un,un,71
signe,signe,21
de,de,81
la,le,71
main,main,22
",",",",p
auquel,à,81
auquel,lequel,52
Bonacieux,Bonacieux,20
répondit,répondre,19
en,en,81
s',se,51
inclinant,incliner,13
jusqu',jusque,81
à,à,81
terre,terre,22
;,;,p
puis,puis,60
il,il,51
sortit,sortir,19
à reculons,à reculons,60
",",",",p
et,et,82
quand,quand,83
il,il,51
fut,être,19
dans,dans,81
l',le,71
antichambre,antichambre,22
",",",",p
le,le,71
cardinal,cardinal,21
l',le,52
entendit,entendre,19
qui,qui,52
",",",",p
dans,dans,81
son,son,73
enthousiasme,enthousiasme,21
",",",",p
criait,crier,18
à tue-tête,à tue-tête,60
:,:,p
“,“,p
vive,vivre,17
monseigneur,monseigneur,21
!,!,p
vive,vivre,17
son,son,73
éminence,éminence,22
!,!,p
vive,vivre,17
le,le,71
grand,grand,30
cardinal,cardinal,21
/!,/!,P
le,le,71
cardinal,cardinal,21
écouta,écouter,19
en,en,81
souriant,sourire,13
cette,ce,74
brillante,brillant,30
manifestation,manifestation,22
des,de,81
des,le,71
sentiments,sentiment,21
enthousiastes,enthousiaste,30
de,de,81
maître,maître,21
Bonacieux,Bonacieux,20
;,;,p
puis,puis,60
",",",",p
quand,quand,83
les,le,71
cris,cri,21
de,de,81
