11875
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quinzième extrait>,<>,<>
vous,vous,51
blesser,blesser,14
",",",",p
je,je,51
voudrais,vouloir,16
reprendre,reprendre,14
mes,mon,73
paroles,parole,22
/.,/.,P
une,un,71
même,même,75
douleur,douleur,22
a,avoir,17
réuni,réunir,12
nos,notre,73
âmes,âme,22
",",",",p
et,et,82
je,je,51
ne,ne,60
sais,savoir,17
qui,qui,52
de,de,81
nous,nous,51
sera,être,15
la,le,71
plus,plus,60
malheureuse,malheureux,30
/.,/.,P
monsieur,monsieur,21
de,de,81
Montriveau,Montriveau,20
n',ne,60
était,être,18
pas,pas,60
ici,ici,60
ce,ce,74
soir,soir,21
",",",",p
comprenez,comprendre,17
vous,vous,51
/?,/?,P
qui,qui,52
vous,vous,51
a,avoir,17
vue,voir,12
pendant,pendant,81
ce,ce,74
bal,bal,21
",",",",p
Clara,Clara,20
",",",",p
ne,ne,60
vous,vous,51
oubliera,oublier,15
jamais,jamais,60
/.,/.,P
moi,moi,51
",",",",p
je,je,51
tente,tenter,17
un,un,71
dernier,dernier,30
effort,effort,21
/.,/.,P
si,si,83
j',je,51
échoue,échouer,17
",",",",p
j',je,51
irai,aller,15
dans,dans,81
un,un,71
couvent,couvent,21
/!,/!,P
où,où,60
allez,aller,17
vous,vous,51
",",",",p
vous,vous,51
/?,/?,P
en,en,81
Normandie,Normandie,20
",",",",p
à,à,81
Courcelles,Courcelles,20
",",",",p
aimer,aimer,14
",",",",p
prier,prier,14
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
jour,jour,21
où,où,60
dieu,dieu,21
me,je,51
retirera,retirer,15
de,de,81
ce,ce,74
monde,monde,21
/.,/.,P
-,-,p
venez,venir,17
",",",",p
monsieur,monsieur,21
de,de,81
Rastignac,Rastignac,20
",",",",p
dit,dire,19
la,le,71
vicomtesse,vicomtesse,22
d',de,81
une,un,71
voix,voix,22
émue,ému,31
",",",",p
en,en,81
pensant,penser,13
que,que,83
ce,ce,74
jeune,jeune,30
homme,homme,21
attendait,attendre,18
/.,/.,P
l',le,71
étudiant,étudiant,21
plia,plier,19
le,le,71
genou,genou,21
",",",",p
prit,prendre,19
la,le,71
main,main,22
de,de,81
sa,son,73
cousine,cousine,22
et,et,82
la,le,52
baisa,baiser,19
/.,/.,P
-,-,p
Antoinette,Antoinette,20
",",",",p
adieu,adieu,21
!,!,p
reprit,reprendre,19
madame,madame,22
de,de,81
Beauséant,Beauséant,20
",",",",p
soyez,être,17
heureuse,heureux,30
/.,/.,P
quant,quand,83
à,à,81
vous,vous,51
",",",",p
vous,vous,51
l',le,52
êtes,être,17
",",",",p
vous,vous,51
êtes,être,17
jeune,jeune,30
",",",",p
vous,vous,51
pouvez,pouvoir,17
croire,croire,14
à,à,81
quelque,quelque,75
chose,chose,22
",",",",p
dit,dire,19
elle,il,51
à,à,81
l',le,71
étudiant,étudiant,21
/.,/.,P
à,à,81
mon,mon,73
départ,départ,21
de,de,81
ce,ce,74
monde,monde,21
",",",",p
j',je,51
aurai,avoir,15
eu,avoir,12
",",",",p
comme,comme,83
quelques,quelque,75
mourants,mourant,21
privilégiés,privilégié,31
",",",",p
de,de,81
religieuses,religieuse,22
",",",",p
de,de,81
sincères,sincère,30
émotions,émotion,22
autour,autour,60
de,de,81
moi,moi,51
/!,/!,P
Rastignac,Rastignac,20
s',se,51
en,en,52
alla,aller,19
vers,vers,81
cinq,cinq,72
heures,heure,22
",",",",p
après,après,81
avoir,avoir,14
vu,voir,12
madame,madame,22
de,de,81
Beauséant,Beauséant,20
dans,dans,81
sa,son,73
berline,berline,22
de,de,81
voyage,voyage,21
",",",",p
après,après,81
avoir,avoir,14
reçu,recevoir,12
son,son,73
dernier,dernier,30
adieu,adieu,21
mouillé,mouillé,31
de,de,81
larmes,larme,22
qui,qui,52
prouvaient,prouver,18
que,que,83
les,le,71
personnes,personne,22
les,le,71
plus,plus,60
élevées,élevé,31
ne,ne,60
sont,être,17
pas,pas,60
mises,mettre,12
hors,hors,81
de,de,81
la,le,71
loi,loi,22
du,de,81
du,le,71
coeur,coeur,21
et,et,82
ne,ne,60
vivent,vivre,17
pas,pas,60
sans,sans,81
chagrins,chagrin,21
",",",",p
comme,comme,83
quelques,quelque,75
courtisans,courtisan,21
du,de,81
du,le,71
peuple,peuple,21
voudraient,vouloir,16
le,le,52
lui,lui,51
faire,faire,14
croire,croire,14
/.,/.,P
Eugène,Eugène,20
revint,revenir,19
à,à,81
pied,pied,21
vers,vers,81
la,le,71
maison,maison,22
Vauquer,Vauquer,20
",",",",p
par,par,81
un,un,71
temps,temps,21
humide,humide,30
et,et,82
froid,froid,30
/.,/.,P
son,son,73
éducation,éducation,22
s',se,51
achevait,achever,18
/.,/.,P
-,-,p
nous,nous,51
ne,ne,60
sauverons,sauver,15
pas,pas,60
le,le,71
pauvre,pauvre,30
père,père,21
Goriot,Goriot,20
",",",",p
lui,lui,51
dit,dire,19
Bianchon,Bianchon,20
quand,quand,83
Rastignac,Rastignac,20
entra,entrer,19
chez,chez,81
son,son,73
voisin,voisin,21
/.,/.,P
-,-,p
mon,mon,73
ami,ami,21
",",",",p
lui,lui,51
dit,dire,19
Eugène,Eugène,20
après,après,81
avoir,avoir,14
regardé,regarder,12
le,le,71
vieillard,vieillard,21
endormi,endormi,31
",",",",p
va,aller,17
",",",",p
poursuis,poursuivre,17
la,le,71
destinée,destinée,22
modeste,modeste,30
à,à,81
laquelle,lequel,52
tu,tu,51
bornes,borner,17
tes,ton,73
désirs,désir,21
/.,/.,P
moi,moi,51
",",",",p
je,je,51
suis,être,17
en,en,81
enfer,enfer,21
",",",",p
et,et,82
il,il,51
faut,falloir,17
que,que,83
j',je,51
y,y,52
reste,rester,17
/.,/.,P
quelque,quelque,75
mal,mal,21
que,que,52
l',l',94
on,on,51
te,tu,51
dise,dire,17
du,de,81
du,le,71
monde,monde,21
",",",",p
crois,croire,17
le,le,52
!,!,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
Juvénal,Juvénal,20
qui,qui,52
puisse,pouvoir,17
en,en,52
peindre,peindre,14
l',le,71
horreur,horreur,22
couverte,couvert,31
d',de,81
or,or,21
et,et,82
de,de,81
pierreries,pierrerie,22
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
Rastignac,Rastignac,20
fut,être,19
éveillé,éveiller,12
sur,sur,81
les,le,71
deux,deux,72
heures,heure,22
après,après,81
midi,midi,21
par,par,81
Bianchon,Bianchon,20
",",",",p
qui,qui,52
",",",",p
forcé,forcer,12
de,de,81
sortir,sortir,14
",",",",p
le,le,52
pria,prier,19
de,de,81
garder,garder,14
le,le,71
père,père,21
Goriot,Goriot,20
",",",",p
dont,dont,52
l',le,71
état,état,21
avait,avoir,18
fort,fort,60
empiré,empirer,12
pendant,pendant,81
la,le,71
matinée,matinée,22
/.,/.,P
-,-,p
le,le,71
bonhomme,bonhomme,21
n',ne,60
a,avoir,17
pas,pas,60
deux,deux,72
jours,jour,21
",",",",p
n',ne,60
a,avoir,17
peut-être,peut-être,60
pas,pas,60
six,six,72
heures,heure,22
à,à,81
vivre,vivre,14
",",",",p
dit,dire,12
l',le,71
élève,élève,21
en,en,81
médecine,médecine,22
",",",",p
et,et,82
cependant,cependant,82
nous,nous,51
ne,ne,60
pouvons,pouvoir,17
pas,pas,60
cesser,cesser,14
de,de,81
combattre,combattre,14
le,le,71
mal,mal,21
/.,/.,P
il,il,51
va,aller,17
falloir,falloir,14
lui,lui,51
donner,donner,14
des,de,81
des,le,71
soins,soin,21
coûteux,coûteux,30
/.,/.,P
nous,nous,51
serons,être,15
bien,bien,60
ses,son,73
gardes-malades,garde-malade,21
;,;,p
mais,mais,82
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
le,le,71
sou,sou,21
",",",",p
moi,moi,51
/.,/.,P
j',je,51
ai,avoir,17
retourné,retourner,12
ses,son,73
poches,poche,22
",",",",p
fouillé,fouiller,12
ses,son,73
armoires,armoire,22
:,:,p
zéro,zéro,72
au,à,81
au,le,71
quotient,quotient,21
/.,/.,P
je,je,51
l',le,52
ai,avoir,17
questionné,questionner,12
dans,dans,81
un,un,71
moment,moment,21
où,où,60
il,il,51
avait,avoir,18
sa,son,73
tête,tête,22
",",",",p
il,il,51
m',je,51
a,avoir,17
dit,dire,12
ne,ne,60
pas,pas,60
avoir,avoir,14
un,un,71
liard,liard,21
à,à,81
lui,lui,51
/.,/.,P
qu',que,52
as,avoir,17
tu,tu,51
",",",",p
toi,toi,51
/?,/?,P
il,il,51
me,je,51
reste,rester,17
vingt,vingt,72
francs,franc,21
",",",",p
répondit,répondre,19
Rastignac,Rastignac,20
",",",",p
mais,mais,82
j',je,51
irai,aller,15
les,le,52
jouer,jouer,14
",",",",p
je,je,51
gagnerai,gagner,15
/.,/.,P
-,-,p
si,si,83
tu,tu,51
perds,perdre,17
/?,/?,P
je,je,51
demanderai,demander,15
de,de,81
l',le,71
argent,argent,21
à,à,81
ses,son,73
gendres,gendre,21
et,et,82
à,à,81
ses,son,73
filles,fille,22
/.,/.,P
-,-,p
et,et,82
s',si,83
ils,ils,51
ne,ne,60
t',tu,51
en,en,52
donnent,donner,17
pas,pas,60
reprit,reprendre,19
Bianchon,Bianchon,20
/.,/.,P
le,le,71
plus,plus,60
pressé,pressé,31
dans,dans,81
ce,ce,74
moment,moment,21
n',ne,60
est,être,17
pas,pas,60
de,de,81
trouver,trouver,14
de,de,81
l',le,71
argent,argent,21
",",",",p
il,il,51
faut,falloir,17
envelopper,envelopper,14
le,le,71
bonhomme,bonhomme,21
d',de,81
un,un,71
sinapisme,sinapisme,21
bouillant,bouillant,30
depuis,depuis,81
les,le,71
pieds,pied,21
jusqu',jusque,81
à,à,81
la,le,71
moitié,moitié,22
des,de,81
des,le,71
cuisses,cuisse,22
/.,/.,P
s',si,83
il,il,51
crie,crier,17
",",",",p
il,il,51
y,y,52
aura,avoir,15
de,de,81
la,le,71
ressource,ressource,22
/.,/.,P
tu,tu,51
sais,savoir,17
comment,comment,60
cela,cela,52
s',se,51
arrange,arranger,17
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
Christophe,Christophe,20
t',tu,51
aidera,aider,15
/.,/.,P
moi,moi,51
",",",",p
je,je,51
passerai,passer,15
chez,chez,81
l',le,71
apothicaire,apothicaire,21
répondre,répondre,14
de,de,81
tous,tout,75
les,le,71
médicaments,médicament,21
que,que,52
nous,nous,51
y,y,52
prendrons,prendre,15
/.,/.,P
il,il,51
est,être,17
malheureux,malheureux,30
que,que,83
le,le,71
pauvre,pauvre,30
homme,homme,21
n',ne,60
ait,avoir,17
pas,pas,60
été,être,12
transportable,transportable,30
à,à,81
notre,notre,73
hospice,hospice,21
",",",",p
il,il,51
y,y,52
aurait,avoir,16
été,être,12
mieux,mieux,60
/.,/.,P
allons,aller,17
",",",",p
viens,venir,17
que,que,83
je,je,51
t',tu,51
installe,installer,17
",",",",p
et,et,82
ne,ne,60
le,le,52
quitte,quitter,17
pas,pas,60
que,que,83
je,je,51
ne,ne,60
sois,être,17
revenu,revenir,12
/.,/.,P
les,le,71
deux,deux,72
jeunes,jeune,30
gens,gens,21
entrèrent,entrer,19
dans,dans,81
la,le,71
chambre,chambre,22
où,où,60
gisait,gésir,18
le,le,71
vieillard,vieillard,21
/.,/.,P
Eugène,Eugène,20
fut,être,19
effrayé,effrayer,12
du,de,81
du,le,71
changement,changement,21
de,de,81
cette,ce,74
face,face,22
convulsée,convulsé,31
",",",",p
blanche,blanc,30
et,et,82
profondément,profondément,60
débile,débile,30
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
papa,papa,21
?,?,p
lui,lui,51
dit,dire,19
il,il,51
en,en,81
se,se,51
penchant,pencher,13
sur,sur,81
le,le,71
grabat,grabat,21
/.,/.,P
Goriot,Goriot,20
leva,lever,19
sur,sur,81
Eugène,Eugène,20
des,de,81
des,le,71
yeux,oeil,21
ternes,terne,30
et,et,82
le,le,52
regarda,regarder,19
fort,fort,60
attentivement,attentivement,60
sans,sans,81
le,le,52
reconnaître,reconnaître,14
/.,/.,P
l',le,71
étudiant,étudiant,21
ne,ne,60
soutint,soutenir,19
pas,pas,60
ce,ce,74
spectacle,spectacle,21
",",",",p
des,de,81
des,le,71
larmes,larme,22
humectèrent,humecter,19
ses,son,73
yeux,oeil,21
/.,/.,P
-,-,p
Bianchon,Bianchon,20
",",",",p
ne,ne,60
faudrait,falloir,16
il,il,51
pas,pas,60
des,de,81
des,le,71
rideaux,rideau,21
aux,à,81
aux,le,71
fenêtres,fenêtre,22
/?,/?,P
non,non,60
/.,/.,P
les,le,71
circonstances,circonstance,22
atmosphériques,atmosphérique,30
ne,ne,60
l',le,52
affectent,affecter,17
plus,plus,60
/.,/.,P
ce,ce,52
serait,être,16
trop,trop,60
heureux,heureux,30
s',si,83
il,il,51
avait,avoir,18
chaud,chaud,21
ou,ou,82
froid,froid,30
/.,/.,P
néanmoins,néanmoins,60
il,il,51
nous,nous,51
faut,falloir,17
du,de,81
du,le,71
feu,feu,21
pour,pour,81
faire,faire,14
les,le,71
tisanes,tisane,22
et,et,82
préparer,préparer,14
bien,bien,60
des,de,81
des,le,71
choses,chose,22
/.,/.,P
je,je,51
t',tu,51
enverrai,envoyer,15
des,de,81
des,le,71
palourdes,palourde,22
qui,qui,52
nous,nous,51
serviront,servir,15
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
nous,nous,51
ayons,avoir,17
du,de,81
du,le,71
bois,bois,21
/.,/.,P
hier,hier,60
et,et,82
cette,ce,74
nuit,nuit,22
",",",",p
j',je,51
ai,avoir,17
brûlé,brûler,12
le,le,71
tien,tien,52
et,et,82
toutes,tout,75
les,le,71
mottes,motte,22
du,de,81
du,le,71
pauvre,pauvre,30
homme,homme,21
/.,/.,P
il,il,51
faisait,faire,18
humide,humide,30
",",",",p
l',le,71
eau,eau,22
dégouttait,dégoutter,18
des,de,81
des,le,71
murs,mur,21
/.,/.,P
à,à,81
peine,peine,22
ai,avoir,17
je,je,51
pu,pouvoir,12
sécher,sécher,14
la,le,71
chambre,chambre,22
/.,/.,P
Christophe,Christophe,20
l',le,52
a,avoir,17
balayée,balayer,12
",",",",p
c',ce,52
est,être,17
vraiment,vraiment,60
une,un,71
écurie,écurie,22
/.,/.,P
j',je,51
y,y,52
ai,avoir,17
brûlé,brûler,12
du,de,81
du,le,71
genièvre,genièvre,21
",",",",p
ça,ça,52
puait,puer,18
trop,trop,60
/.,/.,P
-,-,p
mon,mon,73
dieu,dieu,21
!,!,p
dit,dire,19
Rastignac,Rastignac,20
",",",",p
mais,mais,82
ses,son,73
filles,fille,22
/!,/!,P
tiens,tenir,17
",",",",p
s',si,83
il,il,51
demande,demander,17
à,à,81
boire,boire,14
",",",",p
tu,tu,51
lui,lui,51
donneras,donner,15
de,de,81
ceci,ceci,52
",",",",p
dit,dire,19
l',le,71
interne,interne,21
en,en,81
montrant,montrer,13
à,à,81
Rastignac,Rastignac,20
un,un,71
grand,grand,30
pot,pot,21
blanc,blanc,30
/.,/.,P
si,si,83
tu,tu,51
l',le,52
entends,entendre,17
se,se,51
plaindre,plaindre,14
et,et,82
que,que,52
le,le,71
ventre,ventre,21
soit,être,17
chaud,chaud,30
et,et,82
dur,dur,30
",",",",p
tu,tu,51
te,tu,51
feras,faire,15
aider,aider,14
par,par,81
Christophe,Christophe,20
pour,pour,81
lui,lui,51
administrer,administrer,14
…,…,p
tu,tu,51
sais,savoir,17
/.,/.,P
s',si,83
il,il,51
avait,avoir,18
",",",",p
par,par,81
hasard,hasard,21
",",",",p
une,un,71
grande,grand,30
exaltation,exaltation,22
",",",",p
s',si,83
il,il,51
parlait,parler,18
beaucoup,beaucoup,60
",",",",p
s',si,83
il,il,51
avait,avoir,18
enfin,enfin,60
un,un,71
petit,petit,30
brin,brin,21
de,de,81
démence,démence,22
",",",",p
laisse,laisser,17
le,le,52
aller,aller,14
/.,/.,P
ce,ce,52
ne,ne,60
sera,être,15
pas,pas,60
un,un,71
mauvais,mauvais,30
signe,signe,21
/.,/.,P
mais,mais,82
envoie,envoyer,17
Christophe,Christophe,20
à,à,81
l',le,71
hospice,hospice,21
Cochin,Cochin,20
/.,/.,P
notre,notre,73
médecin,médecin,21
",",",",p
mon,mon,73
camarade,camarade,21
ou,ou,82
moi,moi,51
",",",",p
nous,nous,51
viendrions,venir,16
lui,lui,51
appliquer,appliquer,14
des,de,81
des,le,71
moxas,moxa,21
/.,/.,P
nous,nous,51
avons,avoir,17
fait,faire,12
ce,ce,74
matin,matin,21
",",",",p
pendant,pendant,81
que,que,83
tu,tu,51
dormais,dormir,18
",",",",p
une,un,71
grande,grand,30
consultation,consultation,22
avec,avec,81
un,un,71
élève,élève,21
du,de,81
du,le,71
docteur,docteur,21
Gall,Gall,20
",",",",p
avec,avec,81
un,un,71
médecin,médecin,21
en,en,81
chef,chef,21
de,de,81
l',le,71
Hôtel-Dieu,Hôtel-Dieu,20
et,et,82
le,le,71
nôtre,nôtre,52
/.,/.,P
ces,ce,74
messieurs,monsieur,21
ont,avoir,17
cru,croire,12
reconnaître,reconnaître,14
de,de,81
curieux,curieux,30
symptômes,symptôme,21
",",",",p
et,et,82
nous,nous,51
allons,aller,17
suivre,suivre,14
les,le,71
progrès,progrès,21
de,de,81
la,le,71
maladie,maladie,22
",",",",p
afin,afin,81
de,de,81
nous,nous,51
éclairer,éclairer,14
sur,sur,81
plusieurs,plusieurs,75
points,point,21
scientifiques,scientifique,30
assez,assez,60
importants,important,30
/.,/.,P
un,un,52
de,de,81
ces,ce,74
messieurs,monsieur,21
prétend,prétendre,17
que,que,83
la,le,71
pression,pression,22
du,de,81
du,le,71
sérum,sérum,21
",",",",p
si,si,83
elle,il,51
portait,porter,18
plus,plus,60
sur,sur,81
un,un,71
organe,organe,21
que,que,83
sur,sur,81
un,un,71
autre,autre,52
",",",",p
pourrait,pouvoir,16
développer,développer,14
des,de,81
des,le,71
faits,fait,21
particuliers,particulier,30
/.,/.,P
écoute,écouter,17
le,le,52
donc,donc,82
bien,bien,60
",",",",p
au,à,81
au,le,71
cas,cas,21
où,où,60
il,il,51
parlerait,parler,16
",",",",p
afin,afin,81
de,de,81
constater,constater,14
à,à,81
quel,quel,75
genre,genre,21
d',de,81
idées,idée,22
appartiendraient,appartenir,16
ses,son,73
discours,discours,21
:,:,p
si,si,83
c',ce,52
est,être,17
des,de,81
des,le,71
effets,effet,21
de,de,81
mémoire,mémoire,22
",",",",p
de,de,81
pénétration,pénétration,22
",",",",p
de,de,81
jugement,jugement,21
s',si,83
il,il,51
s',se,51
occupe,occuper,17
de,de,81
matérialités,matérialité,22
",",",",p
ou,ou,82
de,de,81
sentiments,sentiment,21
;,;,p
s',si,83
il,il,51
calcule,calculer,17
",",",",p
s',si,83
il,il,51
revient,revenir,17
sur,sur,81
le,le,71
passé,passé,21
;,;,p
enfin,enfin,60
sois,être,17
en,en,81
état,état,21
de,de,81
nous,nous,51
faire,faire,14
un,un,71
rapport,rapport,21
exact,exact,30
/.,/.,P
il,il,51
est,être,17
possible,possible,30
que,que,83
l',le,71
invasion,invasion,22
ait,avoir,17
lieu,lieu,21
en,en,81
bloc,bloc,21
",",",",p
il,il,51
mourra,mourir,15
imbécile,imbécile,30
comme,comme,83
il,il,51
l',le,52
est,être,17
en,en,81
ce,ce,74
moment,moment,21
/.,/.,P
tout,tout,52
est,être,17
bien,bien,60
bizarre,bizarre,30
dans,dans,81
ces,ce,74
sortes,sorte,22
de,de,81
maladie,maladie,22
/!,/!,P
si,si,83
la,le,71
bombe,bombe,22
crevait,crever,18
par,par,81
ici,ici,60
",",",",p
dit,dire,19
Bianchon,Bianchon,20
en,en,81
montrant,montrer,13
l',le,71
occiput,occiput,21
du,de,81
du,le,71
malade,malade,21
",",",",p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
exemples,exemple,21
de,de,81
phénomènes,phénomène,21
singuliers,singulier,30
:,:,p
le,le,71
cerveau,cerveau,21
recouvre,recouvrer,17
quelques-unes,quelqu'un,52
de,de,81
ses,son,73
facultés,faculté,22
",",",",p
et,et,82
la,le,71
mort,mort,22
est,être,17
plus,plus,60
lente,lent,30
à,à,81
se,se,51
déclarer,déclarer,14
/.,/.,P
les,le,71
sérosités,sérosité,22
peuvent,pouvoir,17
se,se,51
détourner,détourner,14
du,de,81
du,le,71
cerveau,cerveau,21
",",",",p
prendre,prendre,14
ces,ce,74
routes,route,22
dont,dont,52
on,on,51
ne,ne,60
connaît,connaître,17
le,le,71
cours,cours,21
que,que,83
par,par,81
l',le,71
autopsie,autopsie,22
/.,/.,P
il,il,51
y,y,52
a,avoir,17
aux,à,81
aux,le,71
incurables,incurable,30
un,un,71
vieillard,vieillard,21
hébété,hébété,30
chez,chez,81
qui,qui,52
l',le,71
épanchement,épanchement,21
a,avoir,17
suivi,suivre,12
la,le,71
colonne,colonne,22
vertébrale,vertébral,30
;,;,p
il,il,51
souffre,souffrir,17
horriblement,horriblement,60
",",",",p
mais,mais,82
il,il,51
vit,vivre,17
/.,/.,P
-,-,p
se,se,51
sont,être,17
elles,ils,51
bien,bien,60
amusées,amuser,12
?,?,p
dit,dire,19
le,le,71
père,père,21
Goriot,Goriot,20
",",",",p
qui,qui,52
reconnut,reconnaître,19
Eugène,Eugène,20
/.,/.,P
-,-,p
oh,oh,93
!,!,p
il,il,51
ne,ne,60
pense,penser,17
qu',que,83
à,à,81
ses,son,73
filles,fille,22
",",",",p
dit,dire,19
Bianchon,Bianchon,20
/.,/.,P
il,il,51
m',je,51
a,avoir,17
dit,dire,12
plus,plus,60
de,de,81
cent,cent,72
fois,fois,22
cette,ce,74
nuit,nuit,22
:,:,p
“,“,p
elles,ils,51
dansent,danser,17
!,!,p
elle,il,51
a,avoir,17
sa,son,73
robe,robe,22
/.,/.,P
“,“,p
il,il,51
les,le,52
appelait,appeler,18
par,par,81
leurs,leur,73
noms,nom,21
/.,/.,P
il,il,51
me,je,51
faisait,faire,18
pleurer,pleurer,14
",",",",p
diable,diable,21
m',je,51
emporte,emporter,17
!,!,p
avec,avec,81
ses,son,73
intonations,intonation,22
:,:,p
“,“,p
Delphine,Delphine,20
!,!,p
ma,mon,73
petite,petit,30
Delphine,Delphine,20
/!,/!,P
Nasie,Nasie,20
/!,/!,P
ma,mon,73
parole,parole,22
d',de,81
honneur,honneur,21
",",",",p
dit,dire,19
l',le,71
élève,élève,21
en,en,81
médecine,médecine,22
",",",",p
c',ce,52
était,être,18
à,à,81
fondre,fondre,14
en,en,81
larmes,larme,22
/.,/.,P
-,-,p
Delphine,Delphine,20
",",",",p
dit,dire,19
le,le,71
vieillard,vieillard,21
",",",",p
elle,il,51
est,être,17
là,là,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
je,je,51
le,le,52
savais,savoir,18
bien,bien,60
/.,/.,P
et,et,82
ses,son,73
yeux,oeil,21
recouvrèrent,recouvrer,19
une,un,71
activité,activité,22
folle,fou,30
pour,pour,81
regarder,regarder,14
les,le,71
murs,mur,21
et,et,82
la,le,71
porte,porte,22
/.,/.,P
-,-,p
je,je,51
descends,descendre,17
dire,dire,14
à,à,81
Sylvie,Sylvie,20
de,de,81
préparer,préparer,14
les,le,71
sinapismes,sinapisme,21
",",",",p
cria,crier,19
Bianchon,Bianchon,20
",",",",p
le,le,71
moment,moment,21
est,être,17
favorable,favorable,30
/.,/.,P
Rastignac,Rastignac,20
resta,rester,19
seul,seul,30
près,près,81
du,de,81
du,le,71
vieillard,vieillard,21
",",",",p
assis,assis,31
au,à,81
au,le,71
pied,pied,21
du,de,81
du,le,71
lit,lit,21
",",",",p
les,le,71
yeux,oeil,21
fixés,fixé,31
sur,sur,81
cette,ce,74
tête,tête,22
effrayante,effrayant,30
et,et,82
douloureuse,douloureux,30
à,à,81
voir,voir,14
/.,/.,P
-,-,p
madame,madame,22
de,de,81
Beauséant,Beauséant,20
s',se,51
enfuit,enfuir,17
",",",",p
celui-ci,celui-ci,52
se,se,51
meurt,mourir,17
",",",",p
dit,dire,19
il,il,51
/.,/.,P
les,le,71
belles,beau,30
âmes,âme,22
ne,ne,60
peuvent,pouvoir,17
pas,pas,60
rester,rester,14
longtemps,longtemps,60
en,en,81
ce,ce,74
monde,monde,21
/.,/.,P
comment,comment,60
les,le,71
grands,grand,30
sentiments,sentiment,21
s',se,51
allieraient,allier,16
ils,ils,51
",",",",p
en,en,81
effet,effet,21
",",",",p
à,à,81
une,un,71
société,société,22
mesquine,mesquin,30
",",",",p
petite,petit,30
",",",",p
superficielle,superficiel,30
/?,/?,P
les,le,71
images,image,22
de,de,81
la,le,71
fête,fête,22
à,à,81
laquelle,lequel,52
il,il,51
avait,avoir,18
assisté,assister,12
se,se,51
représentèrent,représenter,19
à,à,81
son,son,73
souvenir,souvenir,21
et,et,82
contrastèrent,contraster,19
avec,avec,81
le,le,71
spectacle,spectacle,21
de,de,81
ce,ce,74
lit,lit,21
de,de,81
mort,mort,22
/.,/.,P
Bianchon,Bianchon,20
reparut,reparaître,19
soudain,soudain,60
/.,/.,P
-,-,p
dis,dire,17
donc,donc,82
",",",",p
Eugène,Eugène,20
",",",",p
je,je,51
viens,venir,17
de,de,81
voir,voir,14
notre,notre,73
médecin,médecin,21
en,en,81
chef,chef,21
",",",",p
et,et,82
je,je,51
suis,être,17
revenu,revenir,12
toujours,toujours,60
courant,courir,13
/.,/.,P
s',si,83
il,il,51
se,se,51
manifeste,manifester,17
des,de,81
des,le,71
symptômes,symptôme,21
de,de,81
raison,raison,22
",",",",p
s',si,83
il,il,51
parle,parler,17
",",",",p
couche,coucher,17
le,le,52
sur,sur,81
un,un,71
long,long,30
sinapisme,sinapisme,21
",",",",p
de,de,81
manière,manière,22
à,à,81
l',le,52
envelopper,envelopper,14
de,de,81
moutarde,moutarde,22
depuis,depuis,81
la,le,71
nuque,nuque,22
jusqu',jusque,81
à,à,81
la,le,71
chute,chute,22
des,de,81
des,le,71
reins,rein,21
",",",",p
et,et,82
fais,faire,17
nous,nous,51
appeler,appeler,14
/.,/.,P
-,-,p
cher,cher,30
Bianchon,Bianchon,20
",",",",p
dit,dire,19
Eugène,Eugène,20
/.,/.,P
-,-,p
oh,oh,93
!,!,p
il,il,51
s',se,51
agit,agir,17
d',de,81
un,un,71
fait,fait,21
scientifique,scientifique,30
",",",",p
reprit,reprendre,19
l',le,71
élève,élève,21
en,en,81
médecine,médecine,22
avec,avec,81
toute,tout,75
l',le,71
ardeur,ardeur,22
d',de,81
un,un,71
néophyte,néophyte,21
/.,/.,P
-,-,p
allons,aller,17
",",",",p
dit,dire,19
Eugène,Eugène,20
",",",",p
je,je,51
serai,être,16
donc,donc,82
le,le,71
seul,seul,30
à,à,81
soigner,soigner,14
ce,ce,74
pauvre,pauvre,30
vieillard,vieillard,21
par,par,81
affection,affection,22
/.,/.,P
-,-,p
si,si,83
tu,tu,51
m',je,51
avais,avoir,18
vu,voir,12
ce,ce,74
matin,matin,21
",",",",p
tu,tu,51
ne,ne,60
dirais,dire,16
pas,pas,60
cela,cela,52
",",",",p
reprit,reprendre,19
Bianchon,Bianchon,20
sans,sans,81
s',se,51
offenser,offenser,14
du,de,81
du,le,71
propos,propos,21
/.,/.,P
les,le,71
médecins,médecin,21
qui,qui,52
ont,avoir,17
exercé,exercer,12
ne,ne,60
voient,voir,17
que,que,83
la,le,71
maladie,maladie,22
;,;,p
moi,moi,51
",",",",p
je,je,51
vois,voir,17
encore,encore,60
le,le,71
malade,malade,21
",",",",p
mon,mon,73
cher,cher,30
garçon,garçon,21
/.,/.,P
il,il,51
s',se,51
en,en,52
