11581
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-troisième extrait>,<>,<>
le,le,71
résultat,résultat,21
contrariait,contrarier,18
l',le,71
intention,intention,22
",",",",p
car,car,82
il,il,51
ancra,ancrer,19
Paul,Paul,20
plus,plus,60
que,que,83
jamais,jamais,60
dans,dans,81
sa,son,73
fatale,fatal,30
monomanie,monomanie,22
/.,/.,P
les,le,71
deux,deux,72
amants,amant,21
regagnèrent,regagner,19
la,le,71
terrasse,terrasse,22
",",",",p
où,où,60
le,le,71
commodore,commodore,21
",",",",p
continuant,continuer,13
à,à,81
subir,subir,14
l',le,71
effet,effet,21
de,de,81
la,le,71
musique,musique,22
",",",",p
dormait,dormir,18
encore,encore,60
mélodieusement,mélodieusement,60
sur,sur,81
son,son,73
fauteuil,fauteuil,21
de,de,81
bambou,bambou,21
/.,/.,P
-,-,p
Paul,Paul,20
prit,prendre,19
congé,congé,21
",",",",p
et,et,82
miss,miss,21
Ward,Ward,20
",",",",p
parodiant,parodier,13
le,le,71
geste,geste,21
d',de,81
adieu,adieu,21
napolitain,napolitain,30
",",",",p
lui,lui,51
envoya,envoyer,19
du,de,81
du,le,71
bout,bout,21
des,de,81
des,le,71
doigts,doigt,21
un,un,71
imperceptible,imperceptible,30
baiser,baiser,21
en,en,81
disant,dire,13
:,:,p
“,“,p
à,à,81
demain,demain,60
",",",",p
Paul,Paul,20
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
“,“,p
d',de,81
une,un,71
voix,voix,22
toute,tout,60
chargée,chargé,31
de,de,81
suaves,suave,30
caresses,caresse,22
/.,/.,P
Alicia,Alicia,20
était,être,18
en,en,81
ce,ce,74
moment,moment,21
d',de,81
une,un,71
beauté,beauté,22
radieuse,radieux,30
",",",",p
alarmante,alarmant,30
",",",",p
presque,presque,60
surnaturelle,surnaturel,30
",",",",p
qui,qui,52
frappa,frapper,19
son,son,73
oncle,oncle,21
réveillé,réveillé,31
en,en,81
sursaut,sursaut,21
par,par,81
la,le,71
sortie,sortie,22
de,de,81
Paul,Paul,20
/.,/.,P
-,-,p
le,le,71
blanc,blanc,21
de,de,81
ses,son,73
yeux,oeil,21
prenait,prendre,18
des,de,81
des,le,71
tons,ton,21
d',de,81
argent,argent,21
bruni,bruni,31
et,et,82
faisait,faire,18
étinceler,étinceler,14
les,le,71
prunelles,prunelle,22
comme,comme,83
des,de,81
des,le,71
étoiles,étoile,22
d',de,81
un,un,71
noir,noir,21
lumineux,lumineux,30
;,;,p
ses,son,73
joues,joue,22
se,se,51
nuançaient,nuancer,18
aux,à,81
aux,le,71
pommettes,pommette,22
d',de,81
un,un,71
rose,rose,21
idéal,idéal,30
",",",",p
d',de,81
une,un,71
pureté,pureté,22
et,et,82
d',de,81
une,un,71
ardeur,ardeur,22
célestes,céleste,30
",",",",p
qu',que,52
aucun,aucun,75
peintre,peintre,21
ne,ne,60
posséda,posséder,19
jamais,jamais,60
sur,sur,81
sa,son,73
palette,palette,22
;,;,p
ses,son,73
tempes,tempe,22
",",",",p
d',de,81
une,un,71
transparence,transparence,22
d',de,81
agate,agate,22
",",",",p
se,se,51
veinaient,veiner,18
d',de,81
un,un,71
réseau,réseau,21
de,de,81
petits,petit,30
filets,filet,21
bleus,bleu,30
",",",",p
et,et,82
toute,tout,75
sa,son,73
chair,chair,22
semblait,sembler,18
pénétrée,pénétré,31
de,de,81
rayons,rayon,21
:,:,p
on,on,51
eût,avoir,19
dit,dire,12
que,que,83
l',le,71
âme,âme,22
lui,lui,51
venait,venir,18
à,à,81
la,le,71
peau,peau,22
/.,/.,P
“,“,p
comme,comme,83
vous,vous,51
êtes,être,17
belle,beau,30
aujourd'hui,aujourd'hui,60
",",",",p
Alicia,Alicia,20
!,!,p
dit,dit,31
le,le,71
commodore,commodore,21
/.,/.,P
-,-,p
vous,vous,51
me,je,51
gâtez,gâter,17
",",",",p
mon,mon,73
oncle,oncle,21
;,;,p
et,et,82
si,si,83
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
la,le,71
plus,plus,60
orgueilleuse,orgueilleux,30
petite,petit,30
fille,fille,22
des,de,81
des,le,71
trois,trois,72
royaumes,royaume,21
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
votre,votre,73
faute,faute,22
/.,/.,P
heureusement,heureusement,60
",",",",p
je,je,51
ne,ne,60
crois,croire,17
pas,pas,60
aux,à,81
aux,le,71
flatteries,flatterie,22
",",",",p
même,même,60
désintéressées,désintéressé,31
/.,/.,P
-,-,p
belle,beau,30
",",",",p
dangereusement,dangereusement,60
belle,beau,30
",",",",p
continua,continuer,19
en,en,81
lui-même,lui-même,51
le,le,71
commodore,commodore,21
;,;,p
elle,il,51
me,je,51
rappelle,rappeler,17
",",",",p
trait,trait,21
pour,pour,81
trait,trait,21
",",",",p
sa,son,73
mère,mère,22
",",",",p
la,le,71
pauvre,pauvre,30
Nancy,Nancy,20
",",",",p
qui,qui,52
mourut,mourir,19
à,à,81
dix,dix,72
neuf,neuf,72
ans,an,21
/.,/.,P
de,de,81
tels,tel,75
anges,ange,21
ne,ne,60
peuvent,pouvoir,17
rester,rester,14
sur,sur,81
terre,terre,22
:,:,p
il,il,51
semble,sembler,17
qu',que,83
un,un,71
souffle,souffle,21
les,le,52
soulève,soulever,17
et,et,82
que,que,83
des,de,81
des,le,71
ailes,aile,22
invisibles,invisible,30
palpitent,palpiter,17
à,à,81
leurs,leur,73
épaules,épaule,22
;,;,p
c',ce,52
est,être,17
trop,trop,60
blanc,blanc,30
",",",",p
trop,trop,60
rose,rose,30
",",",",p
trop,trop,60
pur,pur,30
",",",",p
trop,trop,60
parfait,parfait,31
;,;,p
il,il,51
manque,manquer,17
à,à,81
ces,ce,74
corps,corps,21
éthérés,éthéré,30
le,le,71
sang,sang,21
rouge,rouge,30
et,et,82
grossier,grossier,30
de,de,81
la,le,71
vie,vie,22
/.,/.,P
dieu,dieu,21
",",",",p
qui,qui,52
les,le,52
prête,prêter,17
au,à,81
au,le,71
monde,monde,21
pour,pour,81
quelques,quelque,75
jours,jour,21
",",",",p
se,se,51
hâte,hâter,17
de,de,81
les,le,52
reprendre,reprendre,14
/.,/.,P
cet,ce,74
éclat,éclat,21
suprême,suprême,30
m',je,51
attriste,attrister,17
comme,comme,83
un,un,71
adieu,adieu,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
mon,mon,73
oncle,oncle,21
",",",",p
puisque,puisque,83
je,je,51
suis,être,17
si,si,60
jolie,joli,30
",",",",p
reprit,reprendre,19
miss,miss,22
Ward,Ward,20
",",",",p
qui,qui,52
voyait,voir,18
le,le,71
front,front,21
du,de,81
du,le,71
commodore,commodore,21
s',se,51
assombrir,assombrir,14
",",",",p
c',ce,52
est,être,17
le,le,71
moment,moment,21
de,de,81
me,je,51
marier,marier,14
:,:,p
le,le,71
voile,voile,21
et,et,82
la,le,71
couronne,couronne,22
m',je,51
iront,aller,15
bien,bien,60
/.,/.,P
-,-,p
vous,vous,51
marier,marier,14
!,!,p
êtes,être,17
vous,vous,51
donc,donc,82
si,si,60
pressée,presser,12
de,de,81
quitter,quitter,14
votre,votre,73
vieux,vieux,30
peau-rouge,peau-rouge,21
d',de,81
oncle,oncle,21
",",",",p
Alicia,Alicia,20
/?,/?,P
-,-,p
je,je,51
ne,ne,60
vous,vous,51
quitterai,quitter,15
pas,pas,60
pour,pour,81
cela,cela,52
;,;,p
n',ne,60
est,être,17
il,il,51
pas,pas,60
convenu,convenir,12
avec,avec,81
monsieur,monsieur,21
d',de,81
Aspremont,Aspremont,20
que,que,83
nous,nous,51
demeurerons,demeurer,15
ensemble,ensemble,60
/?,/?,P
vous,vous,51
savez,savoir,17
bien,bien,60
que,que,83
je,je,51
ne,ne,60
puis,pouvoir,17
vivre,vivre,14
sans,sans,81
vous,vous,51
/.,/.,P
-,-,p
monsieur,monsieur,21
d',de,81
Aspremont,Aspremont,20
/!,/!,P
monsieur,monsieur,21
d',de,81
Aspremont,Aspremont,20
!,!,p
/…,/…,P
la,le,71
noce,noce,22
n',ne,60
est,être,17
pas,pas,60
encore,encore,60
faite,faire,12
/.,/.,P
-,-,p
n',ne,60
a,avoir,17
t,t,94
il,il,51
pas,pas,60
votre,votre,73
parole,parole,22
…,…,p
et,et,82
la,le,71
mienne,mien,52
/?,/?,P
-,-,p
sir,sir,92
Joshua,Joshua,20
Ward,Ward,20
n',ne,60
y,y,52
a,avoir,17
jamais,jamais,60
manqué,manquer,12
/.,/.,P
-,-,p
il,il,51
a,avoir,17
ma,mon,73
parole,parole,22
",",",",p
c',ce,52
est,être,17
incontestable,incontestable,30
",",",",p
répondit,répondre,19
le,le,71
commodore,commodore,21
",",",",p
évidemment,évidemment,60
embarrassé,embarrassé,31
/.,/.,P
-,-,p
le,le,71
terme,terme,21
de,de,81
six,six,72
mois,mois,21
que,que,52
vous,vous,51
avez,avoir,17
fixé,fixer,12
n',ne,60
est,être,17
il,il,51
pas,pas,60
écoulé,écouler,12
…,…,p
depuis,depuis,81
quelques,quelque,75
jours,jour,21
?,?,p
dit,dire,19
Alicia,Alicia,20
",",",",p
dont,dont,52
les,le,71
joues,joue,22
pudiques,pudique,30
rosirent,rosir,19
encore,encore,60
davantage,davantage,60
",",",",p
car,car,82
cet,ce,74
entretien,entretien,21
",",",",p
nécessaire,nécessaire,30
au,à,81
au,le,71
point,point,21
où,où,60
en,en,52
étaient,être,18
les,le,71
choses,chose,22
",",",",p
effarouchait,effaroucher,18
sa,son,73
délicatesse,délicatesse,22
de,de,81
sensitive,sensitif,30
/.,/.,P
-,-,p
ah,ah,93
!,!,p
tu,tu,51
as,avoir,17
compté,compter,12
les,le,71
mois,mois,21
",",",",p
petite,petit,30
fille,fille,22
;,;,p
fiez,fier,17
vous,vous,51
donc,donc,82
à,à,81
ces,ce,74
mines,mine,22
discrètes,discret,30
/!,/!,P
-,-,p
j',je,51
aime,aimer,17
monsieur,monsieur,21
d',de,81
Aspremont,Aspremont,20
",",",",p
répondit,répondre,19
gravement,gravement,60
la,le,71
jeune,jeune,30
fille,fille,22
/.,/.,P
-,-,p
voilà,voilà,81
l',le,71
enclouure,enclouure,22
",",",",p
fit,faire,19
sir,sir,92
Joshua,Joshua,20
Ward,Ward,20
",",",",p
qui,qui,52
",",",",p
tout,tout,60
imbu,imbu,30
des,de,81
des,le,71
idées,idée,22
de,de,81
Vicè,Vicè,20
et,et,82
d',de,81
Altavilla,Altavilla,20
",",",",p
se,se,51
souciait,soucier,18
médiocrement,médiocrement,60
d',de,81
avoir,avoir,14
pour,pour,81
gendre,gendre,21
un,un,71
jettatore,jettatore,92
/.,/.,P
-,-,p
que,que,52
n',ne,60
en,en,52
aimes,aimer,17
tu,tu,51
un,un,71
autre,autre,52
/?,/?,P
-,-,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
deux,deux,72
coeurs,coeur,21
",",",",p
dit,dire,17
Alicia,Alicia,20
;,;,p
je,je,51
n',ne,60
aurai,avoir,15
qu',que,83
un,un,71
amour,amour,21
",",",",p
dussé,devoir,17
je,je,51
",",",",p
comme,comme,83
ma,mon,73
mère,mère,22
",",",",p
mourir,mourir,14
à,à,81
dix,dix,72
neuf,neuf,72
ans,an,21
/.,/.,P
-,-,p
mourir,mourir,14
!,!,p
ne,ne,60
dites,dire,17
pas,pas,60
de,de,81
ces,ce,74
vilains,vilain,30
mots,mot,21
",",",",p
je,je,51
vous,vous,51
en,en,52
supplie,supplier,17
",",",",p
s',se,51
écria,écrier,19
le,le,71
commodore,commodore,21
/.,/.,P
-,-,p
avez,avoir,17
vous,vous,51
quelque,quelque,75
reproche,reproche,21
à,à,81
faire,faire,14
à,à,81
monsieur,monsieur,21
d',de,81
Aspremont,Aspremont,20
/?,/?,P
-,-,p
aucun,aucun,52
",",",",p
assurément,assurément,60
/.,/.,P
-,-,p
a,avoir,17
t,t,94
il,il,51
forfait,forfait,21
à,à,81
l',le,71
honneur,honneur,21
de,de,81
quelque,quelque,75
manière,manière,22
que,que,83
ce,ce,52
soit,être,17
/?,/?,P
s',se,51
est,être,17
il,il,51
montré,montrer,12
une,un,71
fois,fois,22
lâche,lâche,30
",",",",p
vil,vil,30
",",",",p
menteur,menteur,30
ou,ou,82
perfide,perfide,30
/?,/?,P
jamais,jamais,60
a,avoir,17
t,t,94
il,il,51
insulté,insulter,12
une,un,71
femme,femme,22
ou,ou,82
reculé,reculer,12
devant,devant,81
un,un,71
homme,homme,21
/?,/?,P
son,son,73
blason,blason,21
est,être,17
il,il,51
terni,ternir,12
de,de,81
quelque,quelque,75
souillure,souillure,22
secrète,secret,30
/?,/?,P
une,un,71
jeune,jeune,30
fille,fille,22
",",",",p
en,en,81
prenant,prendre,13
son,son,73
bras,bras,21
pour,pour,81
paraître,paraître,14
dans,dans,81
le,le,71
monde,monde,21
",",",",p
a,avoir,17
t,t,94
elle,il,51
à,à,81
rougir,rougir,14
ou,ou,82
à,à,81
baisser,baisser,14
les,le,71
yeux,oeil,21
/?,/?,P
-,-,p
monsieur,monsieur,21
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
est,être,17
un,un,71
parfait,parfait,31
gentleman,gentleman,21
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
à,à,81
dire,dire,14
sur,sur,81
sa,son,73
respectabilité,respectabilité,22
/.,/.,P
-,-,p
croyez,croire,17
",",",",p
mon,mon,73
oncle,oncle,21
",",",",p
que,que,83
si,si,83
un,un,71
tel,tel,75
motif,motif,21
existait,exister,18
",",",",p
je,je,51
renoncerais,renoncer,16
à,à,81
monsieur,monsieur,21
d',de,81
Aspremont,Aspremont,20
sur,sur,81
l',le,71
heure,heure,22
",",",",p
et,et,82
m',je,51
ensevelirais,ensevelir,16
dans,dans,81
quelque,quelque,75
retraite,retraite,22
inaccessible,inaccessible,30
;,;,p
mais,mais,82
nulle,nul,75
autre,autre,75
raison,raison,22
",",",",p
entendez,entendre,17
vous,vous,51
",",",",p
nulle,nul,75
autre,autre,52
ne,ne,60
me,je,51
fera,faire,15
manquer,manquer,14
à,à,81
une,un,71
promesse,promesse,22
sacrée,sacré,31
",",",",p
“,“,p
dit,dire,17
miss,miss,21
Alicia,Alicia,20
Ward,Ward,20
d',de,81
un,un,71
ton,ton,21
ferme,ferme,30
et,et,82
doux,doux,30
/.,/.,P
le,le,71
commodore,commodore,21
tournait,tourner,18
ses,son,73
pouces,pouce,21
",",",",p
mouvement,mouvement,21
habituel,habituel,30
chez,chez,81
lui,lui,51
lorsqu',lorsque,83
il,il,51
ne,ne,60
savait,savoir,18
que,que,83
répondre,répondre,14
",",",",p
et,et,82
qui,qui,52
lui,lui,51
servait,servir,18
de,de,81
contenance,contenance,22
/.,/.,P
“,“,p
pourquoi,pourquoi,60
montrez,montrer,17
vous,vous,51
maintenant,maintenant,60
tant,tant,60
de,de,81
froideur,froideur,22
à,à,81
Paul,Paul,20
?,?,p
continua,continuer,19
miss,miss,22
Ward,Ward,20
/.,/.,P
autrefois,autrefois,60
vous,vous,51
aviez,avoir,18
tant,tant,60
d',de,81
affection,affection,22
pour,pour,81
lui,lui,51
;,;,p
vous,vous,51
ne,ne,60
pouviez,pouvoir,18
vous,vous,51
en,en,52
passer,passer,14
dans,dans,81
notre,notre,73
cottage,cottage,21
du,de,81
du,le,71
Lincolnshire,Lincolnshire,20
",",",",p
et,et,82
vous,vous,51
disiez,dire,18
",",",",p
en,en,81
lui,lui,51
serrant,serrer,13
la,le,71
main,main,22
à,à,81
lui,lui,51
couper,couper,14
les,le,71
doigts,doigt,21
",",",",p
que,que,83
c',ce,52
était,être,18
un,un,71
digne,digne,30
garçon,garçon,21
",",",",p
à,à,81
qui,qui,52
vous,vous,51
confieriez,confier,16
volontiers,volontiers,60
le,le,71
bonheur,bonheur,21
d',de,81
une,un,71
jeune,jeune,30
fille,fille,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
certes,certes,60
",",",",p
je,je,51
l',le,52
aimais,aimer,18
",",",",p
ce,ce,74
bon,bon,30
Paul,Paul,20
",",",",p
dit,dit,31
le,le,71
commodore,commodore,21
qu',que,83
émouvaient,émouvoir,18
ces,ce,74
souvenirs,souvenir,21
rappelés,rappelé,31
à,à,81
propos,propos,21
;,;,p
mais,mais,82
ce,ce,52
qui,qui,52
est,être,17
obscur,obscur,30
dans,dans,81
les,le,71
brouillards,brouillard,21
de,de,81
l',le,71
Angleterre,Angleterre,20
devient,devenir,17
clair,clair,30
au,à,81
au,le,71
soleil,soleil,21
de,de,81
Naples,Naples,20
/…,/…,P
-,-,p
que,que,52
voulez,vouloir,17
vous,vous,51
dire,dire,14
?,?,p
fit,faire,19
d',de,81
une,un,71
voix,voix,22
tremblante,tremblant,30
Alicia,Alicia,20
abandonnée,abandonné,31
subitement,subitement,60
par,par,81
ses,son,73
vives,vif,30
couleurs,couleur,22
et,et,82
devenue,devenu,31
blanche,blanche,22
comme,comme,83
une,un,71
statue,statue,22
d',de,81
albâtre,albâtre,22
sur,sur,81
un,un,71
tombeau,tombeau,21
/.,/.,P
-,-,p
que,que,52
ton,ton,73
Paul,Paul,20
est,être,17
un,un,71
jettatore,jettatore,92
/.,/.,P
-,-,p
comment,comment,60
!,!,p
vous,vous,51
!,!,p
mon,mon,73
oncle,oncle,21
;,;,p
vous,vous,51
",",",",p
sir,sir,92
Joshua,Joshua,20
Ward,Ward,20
",",",",p
un,un,71
gentilhomme,gentilhomme,21
",",",",p
un,un,71
chrétien,chrétien,21
",",",",p
un,un,71
sujet,sujet,21
de,de,81
sa,son,73
majesté,majesté,22
Britannique,Britannique,20
",",",",p
un,un,71
ancien,ancien,30
officier,officier,21
de,de,81
la,le,71
marine,marine,22
anglaise,anglais,30
",",",",p
un,un,71
être,être,21
éclairé,éclairé,31
et,et,82
civilisé,civilisé,31
",",",",p
que,que,52
l',l',94
on,on,51
consulterait,consulter,16
sur,sur,81
toutes,tout,75
choses,chose,22
;,;,p
vous,vous,51
qui,qui,52
avez,avoir,17
l',le,71
instruction,instruction,22
et,et,82
la,le,71
sagesse,sagesse,22
",",",",p
qui,qui,52
lisez,lire,17
chaque,chaque,75
soir,soir,21
la,le,71
Bible,Bible,20
et,et,82
l',le,71
Evangile,évangile,21
",",",",p
vous,vous,51
ne,ne,60
craignez,craindre,17
pas,pas,60
d',de,81
accuser,accuser,14
Paul,Paul,20
de,de,81
jettature,jettature,92
/!,/!,P
oh,oh,93
!,!,p
je,je,51
n',ne,60
attendais,attendre,18
pas,pas,60
cela,cela,52
de,de,81
vous,vous,51
/!,/!,P
-,-,p
ma,mon,73
chère,cher,30
Alicia,Alicia,20
",",",",p
répondit,répondre,19
le,le,71
commodore,commodore,21
",",",",p
je,je,51
suis,être,17
peut-être,peut-être,60
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
dites,dire,17
là,là,60
lorsqu',lorsque,83
il,il,51
ne,ne,60
s',se,51
agit,agir,17
pas,pas,60
de,de,81
vous,vous,51
",",",",p
mais,mais,82
lorsqu',lorsque,83
un,un,71
danger,danger,21
",",",",p
même,même,75
imaginaire,imaginaire,21
",",",",p
vous,vous,51
menace,menacer,17
",",",",p
je,je,51
deviens,devenir,17
plus,plus,60
superstitieux,superstitieux,30
qu',que,83
un,un,71
paysan,paysan,21
des,de,81
des,le,71
Abruzzes,Abruzze,20
",",",",p
qu',que,83
un,un,71
lazzarone,lazzarone,92
du,de,81
du,le,71
môle,môle,21
",",",",p
qu',que,52
un,un,71
ostricajo,ostricajo,92
de,de,81
Chiaja,Chiaja,20
",",",",p
qu',que,52
une,un,71
servante,servante,22
de,de,81
la,le,71
terre,terre,22
de,de,81
labour,labour,21
ou,ou,82
même,même,60
qu',que,83
un,un,71
comte,comte,21
napolitain,napolitain,30
/.,/.,P
Paul,Paul,20
peut,pouvoir,17
bien,bien,60
me,je,51
dévisager,dévisager,14
tant,tant,60
qu',que,83
il,il,51
voudra,vouloir,15
avec,avec,81
ses,son,73
yeux,oeil,21
dont,dont,52
le,le,71
rayon,rayon,21
visuel,visuel,30
se,se,51
croise,croiser,17
",",",",p
je,je,51
resterai,rester,15
aussi,aussi,60
calme,calme,30
que,que,83
devant,devant,81
la,le,71
pointe,pointe,22
d',de,81
une,un,71
épée,épée,22
ou,ou,82
le,le,71
canon,canon,21
d',de,81
un,un,71
pistolet,pistolet,21
/.,/.,P
le,le,71
fascino,fascino,92
ne,ne,60
mordra,mordre,15
pas,pas,60
sur,sur,81
ma,mon,73
peau,peau,22
tannée,tanné,31
",",",",p
hâlée,hâlé,31
et,et,82
rougie,rougi,31
par,par,81
tous,tout,75
les,le,71
soleils,soleil,21
de,de,81
l',le,71
univers,univers,21
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
crédule,crédule,30
que,que,83
pour,pour,81
vous,vous,51
",",",",p
chère,cher,30
nièce,nièce,22
",",",",p
et,et,82
j',je,51
avoue,avouer,17
que,que,83
je,je,51
sens,sentir,17
une,un,71
sueur,sueur,22
froide,froid,30
me,je,51
baigner,baigner,14
les,le,71
tempes,tempe,22
quand,quand,83
le,le,71
regard,regard,21
de,de,81
ce,ce,74
malheureux,malheureux,30
garçon,garçon,21
se,se,51
pose,poser,17
sur,sur,81
vous,vous,51
/.,/.,P
il,il,51
n',ne,60
a,avoir,17
pas,pas,60
d',de,81
intentions,intention,22
mauvaises,mauvais,30
",",",",p
je,je,51
le,le,52
sais,savoir,17
",",",",p
et,et,82
il,il,51
vous,vous,51
aime,aimer,17
plus,plus,60
que,que,83
sa,son,73
vie,vie,22
;,;,p
mais,mais,82
il,il,51
me,je,51
semble,sembler,17
que,que,83
",",",",p
sous,sous,81
cette,ce,74
influence,influence,22
",",",",p
vos,votre,73
traits,trait,21
s',se,51
altèrent,altérer,17
",",",",p
vos,votre,73
couleurs,couleur,22
disparaissent,disparaître,17
",",",",p
et,et,82
que,que,52
vous,vous,51
tâchez,tâcher,17
de,de,81
dissimuler,dissimuler,14
une,un,71
souffrance,souffrance,22
aiguë,aigu,30
;,;,p
et,et,82
alors,alors,60
il,il,51
me,je,51
prend,prendre,17
de,de,81
furieuses,furieux,30
envies,envie,22
de,de,81
lui,lui,51
crever,crever,14
les,le,71
yeux,oeil,21
",",",",p
à,à,81
votre,votre,73
monsieur,monsieur,21
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
",",",",p
avec,avec,81
la,le,71
pointe,pointe,22
des,de,81
des,le,71
cornes,corne,22
données,donné,31
par,par,81
Altavilla,Altavilla,20
/.,/.,P
-,-,p
pauvre,pauvre,30
cher,cher,30
oncle,oncle,21
",",",",p
dit,dire,17
Alicia,Alicia,20
attendrie,attendri,31
par,par,81
la,le,71
chaleureuse,chaleureux,30
explosion,explosion,22
du,de,81
du,le,71
commandeur,commandeur,21
;,;,p
nos,notre,73
existences,existence,22
sont,être,17
dans,dans,81
les,le,71
mains,main,22
de,de,81
dieu,dieu,21
:,:,p
il,il,51
ne,ne,60
meurt,mourir,17
pas,pas,60
un,un,71
prince,prince,21
sur,sur,81
son,son,73
lit,lit,21
de,de,81
parade,parade,22
",",",",p
ni,ni,82
un,un,71
passereau,passereau,21
des,de,81
des,le,71
toits,toit,21
sous,sous,81
sa,son,73
tuile,tuile,22
",",",",p
que,que,52
son,son,73
heure,heure,22
ne,ne,60
soit,être,17
marquée,marquer,12
là-haut,là-haut,60
;,;,p
le,le,71
fascino,fascino,92
n',ne,60
y,y,52
fait,faire,17
rien,rien,52
",",",",p
et,et,82
c',ce,52
est,être,17
une,un,71
impiété,impiété,22
de,de,81
croire,croire,14
qu',que,83
un,un,71
regard,regard,21
plus,plus,60
ou,ou,82
moins,moins,60
oblique,oblique,30
puisse,pouvoir,17
avoir,avoir,14
une,un,71
influence,influence,22
/.,/.,P
voyons,voir,17
",",",",p
n',ne,60
oncle,oncle,21
",",",",p
continua,continuer,19
t,t,94
elle,il,51
en,en,81
prenant,prendre,13
le,le,71
terme,terme,21
d',de,81
affection,affection,22
familière,familier,30
du,de,81
du,le,71
fou,fou,21
dans,dans,81
le,le,71
roi,roi,21
Lear,Lear,20
",",",",p
vous,vous,51
ne,ne,60
parliez,parler,18
pas,pas,60
sérieusement,sérieusement,60
tout,tout,60
à,à,81
l',le,71
heure,heure,22
;,;,p
votre,votre,73
affection,affection,22
pour,pour,81
moi,moi,51
troublait,troubler,18
votre,votre,73
jugement,jugement,21
toujours,toujours,60
si,si,60
droit,droit,30
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
vous,vous,51
n',ne,60
oseriez,oser,16
lui,lui,51
dire,dire,14
",",",",p
à,à,81
monsieur,monsieur,21
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
",",",",p
que,que,83
vous,vous,51
lui,lui,51
retirez,retirer,17
la,le,71
main,main,22
de,de,81
votre,votre,73
nièce,nièce,22
",",",",p
mise,mis,31
par,par,81
vous,vous,51
dans,dans,81
la,le,71
sienne,sien,52
",",",",p
et,et,82
que,que,52
vous,vous,51
n',ne,60
en,en,52
voulez,vouloir,17
plus,plus,60
pour,pour,81
gendre,gendre,21
",",",",p
sous,sous,81
le,le,71
beau,beau,30
prétexte,prétexte,21
qu',que,83
il,il,51
est,être,17
-,-,p
jettatore,jettatore,92
/!,/!,P
-,-,p
par,par,81
Joshua,Joshua,20
!,!,p
mon,mon,73
patron,patron,21
",",",",p
qui,qui,52
arrêta,arrêter,19
le,le,71
soleil,soleil,21
",",",",p
s',se,51
écria,écrier,19
le,le,71
commodore,commodore,21
",",",",p
je,je,51
ne,ne,60
le,le,52
lui,lui,51
mâcherai,mâcher,15
pas,pas,60
",",",",p
à,à,81
ce,ce,74
joli,joli,30
monsieur,monsieur,21
Paul,Paul,20
/.,/.,P
cela,cela,52
m',je,51
est,être,17
bien,bien,60
égal,égal,30
d',de,81
être,être,14
ridicule,ridicule,30
",",",",p
absurde,absurde,30
",",",",p
déloyal,déloyal,30
même,même,60
",",",",p
quand,quand,83
il,il,51
y,y,52
va,aller,17
de,de,81
votre,votre,73
santé,santé,22
",",",",p
de,de,81
votre,votre,73
vie,vie,22
peut-être,peut-être,60
/!,/!,P
j',je,51
étais,être,18
engagé,engager,12
avec,avec,81
un,un,71
homme,homme,21
",",",",p
et,et,82
non,non,60
avec,avec,81
un,un,71
fascinateur,fascinateur,21
/.,/.,P
j',je,51
ai,avoir,17
promis,promettre,12
;,;,p
eh,eh,93
bien,bien,60
",",",",p
je,je,51
fausse,fausser,17
ma,mon,73
promesse,promesse,22
",",",",p
voilà,voilà,81
tout,tout,52
;,;,p
s',si,83
il,il,51
n',ne,60
est,être,17
pas,pas,60
content,content,30
",",",",p
je,je,51
lui,lui,51
rendrai,rendre,15
raison,raison,22
/.,/.,P
“,“,p
et,et,82
le,le,71
commodore,commodore,21
",",",",p
exaspéré,exaspéré,31
",",",",p
fit,faire,19
le,le,71
geste,geste,21
de,de,81
se,se,51
fendre,fendre,14
",",",",p
sans,sans,81
faire,faire,14
la,le,71
moindre,moindre,30
attention,attention,22
à,à,81
la,le,71
goutte,goutte,22
qui,qui,52
lui,lui,51
mordait,mordre,18
les,le,71
doigts,doigt,21
du,de,81
du,le,71
pied,pied,21
/.,/.,P
“,“,p
sir,sir,92
Joshua,Joshua,20
Ward,Ward,20
",",",",p
vous,vous,51
ne,ne,60
ferez,faire,15
pas,pas,60
cela,cela,52
",",",",p
“,“,p
dit,dire,17
Alicia,Alicia,20
avec,avec,81
une,un,71
dignité,dignité,22
calme,calme,30
/.,/.,P
le,le,71
commodore,commodore,21
se,se,51
laissa,laisser,19
tomber,tomber,14
tout,tout,60
essoufflé,essoufflé,31
dans,dans,81
son,son,73
fauteuil,fauteuil,21
