11697
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-septième extrait>,<>,<>
réveilla,réveiller,19
d',de,81
un,un,71
demi-sommeil,demi-sommeil,21
/.,/.,P
il,il,51
se,se,51
rendit,rendre,19
alors,alors,60
au,à,81
au,le,71
Cercle,Cercle,20
",",",",p
où,où,60
étaient,être,18
réunis,réunir,12
ses,son,73
compagnons,compagnon,21
ordinaires,ordinaire,30
/.,/.,P
il,il,51
fut,être,19
reçu,recevoir,12
par,par,81
des,de,81
des,le,71
bras,bras,21
ouverts,ouvert,31
et,et,82
des,de,81
des,le,71
exclamations,exclamation,22
",",",",p
car,car,82
on,on,51
ne,ne,60
l',le,52
avait,avoir,18
point,point,60
vu,voir,12
depuis,depuis,81
quelques,quelque,75
jours,jour,21
/.,/.,P
“,“,p
je,je,51
reviens,revenir,17
de,de,81
la,le,71
campagne,campagne,22
“,“,p
",",",",p
dit,dire,19
il,il,51
/.,/.,P
tous,tout,75
ces,ce,74
hommes,homme,21
",",",",p
à,à,81
l',le,71
exception,exception,22
du,de,81
du,le,71
paysagiste,paysagiste,21
Maldant,Maldant,20
",",",",p
professaient,professer,18
pour,pour,81
les,le,71
champs,champ,21
un,un,71
mépris,mépris,21
profond,profond,30
/.,/.,P
Rocdiane,Rocdiane,20
et,et,82
Landa,Landa,20
y,y,52
allaient,aller,18
chasser,chasser,14
",",",",p
il,il,51
est,être,17
vrai,vrai,30
",",",",p
mais,mais,82
ils,ils,51
ne,ne,60
goûtaient,goûter,18
dans,dans,81
les,le,71
plaines,plaine,22
et,et,82
dans,dans,81
les,le,71
bois,bois,21
que,que,83
le,le,71
plaisir,plaisir,21
de,de,81
regarder,regarder,14
tomber,tomber,14
sous,sous,81
leurs,leur,73
plombs,plomb,21
",",",",p
pareils,pareil,30
à,à,81
des,de,81
des,le,71
loques,loque,22
de,de,81
plumes,plume,22
",",",",p
les,le,71
faisans,faisan,21
",",",",p
cailles,caille,22
ou,ou,82
perdrix,perdrix,22
",",",",p
ou,ou,82
de,de,81
voir,voir,14
les,le,71
petits,petit,30
lapins,lapin,21
foudroyés,foudroyé,31
culbuter,culbuter,14
comme,comme,83
des,de,81
des,le,71
clowns,clown,21
",",",",p
cinq,cinq,72
ou,ou,82
six,six,72
fois,fois,22
de,de,81
suite,suite,22
sur,sur,81
la,le,71
tête,tête,22
",",",",p
en,en,81
montrant,montrer,13
à,à,81
chaque,chaque,75
cabriole,cabriole,22
la,le,71
mèche,mèche,22
de,de,81
poils,poil,21
blancs,blanc,30
de,de,81
leur,leur,73
queue,queue,22
/.,/.,P
hors,hors,81
ces,ce,74
plaisirs,plaisir,21
d',de,81
automne,automne,21
et,et,82
d',de,81
hiver,hiver,21
",",",",p
ils,ils,51
jugeaient,juger,18
la,le,71
campagne,campagne,22
assommante,assommant,30
/.,/.,P
Rocdiane,Rocdiane,20
disait,dire,18
:,:,p
“,“,p
.,.,p
le,le,52
préfère,préférer,17
les,le,71
petites,petit,30
femmes,femme,22
aux,à,81
aux,le,71
petits,petit,30
pois,pois,21
/.,/.,P
“,“,p
le,le,71
dîner,dîner,21
fut,être,19
ce,ce,52
qu',que,52
il,il,51
était,être,18
toujours,toujours,60
",",",",p
bruyant,bruyant,30
et,et,82
jovial,jovial,30
",",",",p
agité,agiter,12
par,par,81
des,de,81
des,le,71
discussions,discussion,22
où,où,60
rien,rien,52
d',de,81
imprévu,imprévu,30
ne,ne,60
jaillit,jaillir,19
/.,/.,P
Bertin,Bertin,20
",",",",p
pour,pour,81
s',se,51
animer,animer,14
",",",",p
parla,parler,19
beaucoup,beaucoup,60
/.,/.,P
on,on,51
le,le,52
trouva,trouver,19
drôle,drôle,30
;,;,p
mais,mais,82
",",",",p
dès,dès,81
qu',que,83
il,il,51
eut,avoir,19
bu,boire,12
son,son,73
café,café,21
et,et,82
joué,jouer,12
soixante,soixante,72
points,point,21
au,à,81
au,le,71
billard,billard,21
avec,avec,81
le,le,71
banquier,banquier,21
Liverdy,Liverdy,20
",",",",p
il,il,51
sortit,sortir,19
",",",",p
déambula,déambuler,19
quelque,quelque,75
peu,peu,60
de,de,81
la,le,71
Madeleine,Madeleine,20
à,à,81
la,le,71
rue,rue,22
Taitbout,Taitbout,20
",",",",p
passa,passer,19
trois,trois,72
fois,fois,22
devant,devant,81
le,le,71
Vaudeville,Vaudeville,20
en,en,81
se,se,51
demandant,demander,13
s',si,83
il,il,51
entrerait,entrer,16
",",",",p
faillit,faillir,19
prendre,prendre,14
un,un,71
fiacre,fiacre,21
pour,pour,81
aller,aller,14
à,à,81
l',le,71
Hippodrome,Hippodrome,20
",",",",p
changea,changer,19
d',de,81
avis,avis,21
et,et,82
se,se,51
dirigea,diriger,19
vers,vers,81
le,le,71
nouveau,nouveau,30
Cirque,Cirque,20
",",",",p
puis,puis,60
fit,faire,19
brusquement,brusquement,60
demi-tour,demi-tour,21
",",",",p
sans,sans,81
motif,motif,21
",",",",p
sans,sans,81
projet,projet,21
",",",",p
sans,sans,81
prétexte,prétexte,21
",",",",p
remonta,remonter,19
le,le,71
boulevard,boulevard,21
Malesherbes,Malesherbes,20
et,et,82
ralentit,ralentir,19
le,le,71
pas,pas,21
en,en,81
approchant,approcher,13
de,de,81
la,le,71
demeure,demeure,22
de,de,81
la,le,71
comtesse,comtesse,22
de,de,81
Guilleroy,Guilleroy,20
:,:,p
“,“,p
elle,il,51
trouvera,trouver,15
peut-être,peut-être,60
singulier,singulier,30
de,de,81
me,je,51
voir,voir,14
revenir,revenir,14
ce,ce,74
soir,soir,21
?,?,p
pensait,penser,18
il,il,51
/.,/.,P
mais,mais,82
il,il,51
se,se,51
rassura,rassurer,19
en,en,81
songeant,songer,13
qu',que,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
rien,rien,52
d',de,81
étonnant,étonnant,30
à,à,81
ce,ce,52
qu',que,52
il,il,51
prît,prendre,18
une,un,71
seconde,second,72
fois,fois,22
de,de,81
ses,son,73
nouvelles,nouvelle,22
/.,/.,P
elle,il,51
était,être,18
seule,seul,30
avec,avec,81
Annette,Annette,20
",",",",p
dans,dans,81
le,le,71
petit,petit,30
salon,salon,21
du,de,81
du,le,71
fond,fond,21
",",",",p
et,et,82
travaillait,travailler,18
toujours,toujours,60
à,à,81
la,le,71
couverture,couverture,22
pour,pour,81
les,le,71
pauvres,pauvre,21
/.,/.,P
elle,il,51
dit,dire,17
simplement,simplement,60
",",",",p
en,en,81
le,le,52
voyant,voir,13
entrer,entrer,14
:,:,p
“,“,p
tiens,tenir,17
",",",",p
c',ce,52
est,être,17
vous,vous,51
",",",",p
mon,mon,73
ami,ami,21
/?,/?,P
oui,oui,60
",",",",p
j',je,51
étais,être,18
inquiet,inquiet,30
",",",",p
j',je,51
ai,avoir,17
voulu,vouloir,12
vous,vous,51
voir,voir,14
/.,/.,P
comment,comment,60
allez,aller,17
vous,vous,51
/?,/?,P
merci,merci,21
",",",",p
assez,assez,60
bien,bien,60
/…,/…,P
“,“,p
elle,il,51
attendit,attendre,19
quelques,quelque,75
instants,instant,21
",",",",p
puis,puis,60
ajouta,ajouter,19
",",",",p
avec,avec,81
une,un,71
intention,intention,22
marquée,marqué,31
:,:,p
“,“,p
et,et,82
vous,vous,51
/?,/?,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
d',de,81
un,un,71
air,air,21
dégagé,dégagé,31
en,en,81
répondant,répondre,13
:,:,p
“,“,p
oh,oh,93
!,!,p
moi,moi,51
",",",",p
très,très,60
bien,bien,60
",",",",p
très,très,60
bien,bien,60
/.,/.,P
vos,votre,73
craintes,crainte,22
n',ne,60
avaient,avoir,18
pas,pas,60
la,le,71
moindre,moindre,30
raison,raison,22
d',de,81
être,être,14
/.,/.,P
“,“,p
elle,il,51
leva,lever,19
les,le,71
yeux,oeil,21
en,en,81
cessant,cesser,13
de,de,81
tricoter,tricoter,14
et,et,82
posa,poser,19
sur,sur,81
lui,lui,51
",",",",p
lentement,lentement,60
",",",",p
Utl,Utl,20
regard,regard,21
ardent,ardent,30
de,de,81
prière,prière,22
et,et,82
de,de,81
doute,doute,21
/.,/.,P
“,“,p
bien,bien,60
vrai,vrai,30
",",",",p
dit,dire,19
il,il,51
/.,/.,P
-,-,p
tant,tant,60
mieux,mieux,60
“,“,p
",",",",p
répondit,répondre,19
elle,il,51
avec,avec,81
un,un,71
sourire,sourire,21
un,un,71
peu,peu,60
forcé,forcé,31
/.,/.,P
il,il,51
s',se,51
assit,asseoir,19
",",",",p
et,et,82
",",",",p
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
en,en,81
cette,ce,74
maison,maison,22
",",",",p
un,un,71
malaise,malaise,21
irrésistible,irrésistible,30
l',le,52
envahit,envahir,19
",",",",p
une,un,71
sorte,sorte,22
de,de,81
paralysie,paralysie,22
des,de,81
des,le,71
idées,idée,22
plus,plus,60
complète,complet,30
encore,encore,60
que,que,83
celle,celui,52
qui,qui,52
l',le,52
avait,avoir,18
saisi,saisir,12
",",",",p
dans,dans,81
le,le,71
jour,jour,21
",",",",p
devant,devant,81
sa,son,73
toile,toile,22
/.,/.,P
la,le,71
comtesse,comtesse,22
dit,dire,19
à,à,81
sa,son,73
fille,fille,22
:,:,p
“,“,p
tu,tu,51
peux,pouvoir,17
continuer,continuer,14
",",",",p
mon,mon,73
enfant,enfant,21
;,;,p
ça,ça,52
ne,ne,60
le,le,52
gêne,gêner,17
pas,pas,60
/.,/.,P
“,“,p
il,il,51
demanda,demander,19
:,:,p
“,“,p
que,que,52
faisait,faire,18
elle,il,51
donc,donc,82
/?,/?,P
elle,il,51
étudiait,étudier,18
une,un,71
fantaisie,fantaisie,22
/.,/.,P
“,“,p
Annette,Annette,20
se,se,51
leva,lever,19
pour,pour,81
aller,aller,14
au,à,81
au,le,71
piano,piano,21
/.,/.,P
il,il,51
la,le,52
suivait,suivre,18
de,de,81
l',le,71
oeil,oeil,21
",",",",p
sans,sans,81
y,y,52
songer,songer,14
",",",",p
ainsi,ainsi,60
qu',que,83
il,il,51
faisait,faire,18
toujours,toujours,60
",",",",p
en,en,81
la,le,52
trouvant,trouver,13
jolie,joli,30
/.,/.,P
alors,alors,60
il,il,51
sentit,sentir,19
sur,sur,81
lui,lui,51
le,le,71
regard,regard,21
de,de,81
la,le,71
mère,mère,22
",",",",p
et,et,82
brusquement,brusquement,60
il,il,51
tourna,tourner,19
la,le,71
tête,tête,22
",",",",p
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
cherché,chercher,12
quelque,quelque,75
chose,chose,22
dans,dans,81
le,le,71
coin,coin,21
sombre,sombre,30
du,de,81
du,le,71
salon,salon,21
/.,/.,P
la,le,71
comtesse,comtesse,22
prit,prendre,19
sur,sur,81
sa,son,73
table,table,22
à,à,81
ouvrage,ouvrage,21
un,un,71
petit,petit,30
étui,étui,21
d',de,81
or,or,21
qu',que,52
elle,il,51
avait,avoir,18
reçu,recevoir,12
de,de,81
lui,lui,51
",",",",p
elle,il,51
l',le,52
ouvrit,ouvrir,19
",",",",p
et,et,82
lui,lui,51
tendant,tendre,13
des,de,81
des,le,71
cigarettes,cigarette,22
:,:,p
“,“,p
fumez,fumer,17
",",",",p
mon,mon,73
ami,ami,21
",",",",p
vous,vous,51
savez,savoir,17
que,que,83
j',je,51
aime,aimer,17
ça,ça,52
",",",",p
lorsque,lorsque,83
nous,nous,51
sommes,être,17
seuls,seul,30
ici,ici,60
/.,/.,P
“,“,p
il,il,51
obéit,obéir,19
",",",",p
et,et,82
le,le,71
piano,piano,21
se,se,51
mit,mettre,19
à,à,81
chanter,chanter,14
/.,/.,P
c',ce,52
était,être,18
une,un,71
musique,musique,22
d',de,81
un,un,71
goût,goût,21
ancien,ancien,30
",",",",p
gracieuse,gracieux,30
et,et,82
légère,léger,30
",",",",p
une,un,52
de,de,81
ces,ce,74
musiques,musique,22
qui,qui,52
semblent,sembler,17
avoir,avoir,14
été,être,12
inspirées,inspirer,12
à,à,81
l',le,71
artiste,artiste,21
par,par,81
un,un,71
soir,soir,21
très,très,60
doux,doux,30
de,de,81
clair,clair,21
de,de,81
lune,lune,22
",",",",p
au,à,81
au,le,71
printemps,printemps,21
/.,/.,P
Olivier,Olivier,20
demanda,demander,19
:,:,p
“,“,p
de,de,81
qui,qui,52
est,être,17
ce,ce,52
donc,donc,82
/?,/?,P
la,le,71
comtesse,comtesse,22
répondit,répondre,19
:,:,p
“,“,p
de,de,81
Méhul,Méhul,20
/.,/.,P
c',ce,52
est,être,17
fort,fort,60
peu,peu,60
connu,connaître,12
et,et,82
charmant,charmant,30
/.,/.,P
“,“,p
un,un,71
désir,désir,21
grandissait,grandir,18
en,en,81
lui,lui,51
de,de,81
regarder,regarder,14
Annette,Annette,20
",",",",p
et,et,82
il,il,51
n',ne,60
osait,oser,18
pas,pas,60
/.,/.,P
il,il,51
n',ne,60
aurait,avoir,16
eu,avoir,12
qu',que,83
un,un,71
petit,petit,30
mouvement,mouvement,21
à,à,81
faire,faire,14
",",",",p
un,un,71
petit,petit,30
mouvement,mouvement,21
du,de,81
du,le,71
cou,cou,21
",",",",p
car,car,82
il,il,51
apercevait,apercevoir,18
de,de,81
côté,côté,21
les,le,71
deux,deux,72
mèches,mèche,22
de,de,81
feu,feu,21
des,de,81
des,le,71
bougies,bougie,22
éclairant,éclairer,13
la,le,71
partition,partition,22
",",",",p
mais,mais,82
il,il,51
devinait,deviner,18
si,si,60
bien,bien,60
",",",",p
il,il,51
lisait,lire,18
si,si,60
clairement,clairement,60
l',le,71
attention,attention,22
guetteuse,guetteuse,22
de,de,81
la,le,71
comtesse,comtesse,22
",",",",p
qu',que,83
il,il,51
demeurait,demeurer,18
immobile,immobile,30
",",",",p
les,le,71
yeux,oeil,21
levés,levé,31
devant,devant,81
lui,lui,51
",",",",p
intéressés,intéressé,31
",",",",p
semblait,sembler,18
il,il,51
",",",",p
au,à,81
au,le,71
fil,fil,21
de,de,81
fumée,fumée,22
grise,gris,30
du,de,81
du,le,71
tabac,tabac,21
/.,/.,P
madame,madame,22
de,de,81
Guilleroy,Guilleroy,20
murmura,murmurer,19
:,:,p
“,“,p
c',ce,52
est,être,17
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
avez,avoir,17
à,à,81
me,je,51
dire,dire,14
/?,/?,P
il,il,51
sourit,sourire,17
:,:,p
“,“,p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
m',je,51
en,en,52
vouloir,vouloir,14
/.,/.,P
vous,vous,51
savez,savoir,17
que,que,83
la,le,71
musique,musique,22
m',je,51
hypnotise,hypnotiser,17
",",",",p
elle,il,51
boit,boire,17
mes,mon,73
pensées,pensée,22
/.,/.,P
je,je,51
parlerai,parler,15
dans,dans,81
un,un,71
instant,instant,21
/.,/.,P
-,-,p
tiens,tenir,17
",",",",p
dit,dire,19
elle,il,51
",",",",p
j',je,51
avais,avoir,18
étudié,étudier,12
quelque,quelque,75
chose,chose,22
pour,pour,81
vous,vous,51
",",",",p
avant,avant,81
la,le,71
mort,mort,22
de,de,81
maman,maman,22
/.,/.,P
je,je,51
ne,ne,60
vous,vous,51
l',le,52
ai,avoir,17
jamais,jamais,60
fait,faire,12
entendre,entendre,14
",",",",p
et,et,82
je,je,51
vous,vous,51
le,le,52
jouerai,jouer,15
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
quand,quand,83
la,le,71
petite,petite,22
aura,avoir,15
fini,finir,12
;,;,p
vous,vous,51
verrez,voir,15
comme,comme,83
c',ce,52
est,être,17
bizarre,bizarre,30
/!,/!,P
elle,il,51
avait,avoir,18
un,un,71
talent,talent,21
réel,réel,30
",",",",p
et,et,82
une,un,71
compréhension,compréhension,22
subtile,subtil,30
de,de,81
l',le,71
émotion,émotion,22
qui,qui,52
court,courir,17
dans,dans,81
les,le,71
sons,son,21
/.,/.,P
c',ce,52
était,être,18
même,même,60
là,là,60
une,un,52
de,de,81
ses,son,73
plus,plus,60
sûres,sûr,30
puissances,puissance,22
sur,sur,81
la,le,71
sensibilité,sensibilité,22
du,de,81
du,le,71
peintre,peintre,21
/.,/.,P
dès,dès,81
qu',que,83
Annette,Annette,20
eut,avoir,19
achevé,achever,12
la,le,71
symphonie,symphonie,22
champêtre,champêtre,30
de,de,81
Méhul,Méhul,20
",",",",p
la,le,71
comtesse,comtesse,22
se,se,51
leva,lever,19
",",",",p
prit,prendre,19
sa,son,73
place,place,22
",",",",p
et,et,82
une,un,71
mélodie,mélodie,22
étrange,étrange,30
s',se,51
éveilla,éveiller,19
sous,sous,81
ses,son,73
doigts,doigt,21
",",",",p
une,un,71
mélodie,mélodie,22
dont,dont,52
toutes,tout,75
les,le,71
phrases,phrase,22
semblaient,sembler,18
des,de,81
des,le,71
plaintes,plainte,22
",",",",p
plaintes,plainte,22
diverses,divers,30
",",",",p
changeantes,changeant,30
",",",",p
nombreuses,nombreux,30
",",",",p
qu',que,52
interrompait,interrompre,18
une,un,71
note,note,22
unique,unique,30
",",",",p
revenue,revenir,12
sans,sans,81
cesse,cesse,22
",",",",p
tombant,tomber,13
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
chants,chant,21
",",",",p
les,le,52
coupant,couper,13
",",",",p
les,le,52
scandant,scander,13
",",",",p
les,le,52
brisant,briser,13
",",",",p
comme,comme,83
un,un,71
cri,cri,21
monotone,monotone,30
incessant,incessant,30
",",",",p
persécuteur,persécuteur,21
",",",",p
l',le,71
appel,appel,21
inapaisable,inapaisable,30
d',de,81
une,un,71
obsession,obsession,22
/.,/.,P
mais,mais,82
Olivier,Olivier,20
regardait,regarder,18
Annette,Annette,20
qui,qui,52
venait,venir,18
de,de,81
s',se,51
asseoir,asseoir,14
en,en,81
face,face,22
de,de,81
lui,lui,51
",",",",p
et,et,82
il,il,51
n',ne,60
entendait,entendre,18
rien,rien,52
",",",",p
il,il,51
ne,ne,60
comprenait,comprendre,18
pas,pas,60
/.,/.,P
il,il,51
la,le,52
regardait,regarder,18
",",",",p
sans,sans,81
penser,penser,14
",",",",p
se,se,51
rassasiant,rassasier,13
de,de,81
sa,son,73
vue,vue,22
comme,comme,83
d',de,81
une,un,71
chose,chose,22
habituelle,habituel,30
et,et,82
bonne,bon,30
dont,dont,52
il,il,51
venait,venir,18
d',de,81
être,être,14
privé,priver,12
",",",",p
la,le,52
buvant,boire,13
sainement,sainement,60
comme,comme,83
on,on,51
boit,boire,17
de,de,81
l',le,71
eau,eau,22
",",",",p
quand,quand,83
on,on,51
a,avoir,17
soif,soif,22
/.,/.,P
“,“,p
eh,eh,93
bien,bien,60
!,!,p
dit,dire,17
la,le,71
comtesse,comtesse,22
",",",",p
est,être,17
ce,ce,52
beau,beau,30
/?,/?,P
il,il,51
s',se,51
écria,écrier,19
réveillé,réveillé,31
:,:,p
“,“,p
admirable,admirable,30
",",",",p
superbe,superbe,30
",",",",p
de,de,81
qui,qui,52
/?,/?,P
vous,vous,51
ne,ne,60
le,le,52
savez,savoir,17
pas,pas,60
/?,/?,P
non,non,60
/.,/.,P
-,-,p
comment,comment,60
",",",",p
vous,vous,51
ne,ne,60
le,le,52
savez,savoir,17
pas,pas,60
",",",",p
vous,vous,51
/?,/?,P
mais,mais,82
non,non,60
/.,/.,P
-,-,p
de,de,81
Schubert,Schubert,20
/.,/.,P
c',ce,52
est,être,17
encore,encore,60
une,un,71
chose,chose,22
retrouvée,retrouvé,31
récemment,récemment,60
/.,/.,P
“,“,p
il,il,51
dit,dire,17
avec,avec,81
un,un,71
air,air,21
de,de,81
conviction,conviction,22
profonde,profond,30
:,:,p
“,“,p
cela,cela,52
ne,ne,60
m',je,51
étonne,étonner,17
point,point,60
/.,/.,P
c',ce,52
est,être,17
superbe,superbe,30
!,!,p
vous,vous,51
seriez,être,16
exquise,exquis,30
en,en,81
recommençant,recommencer,13
/.,/.,P
“,“,p
elle,il,51
recommença,recommencer,19
",",",",p
et,et,82
lui,lui,51
",",",",p
tournant,tourner,13
la,le,71
tête,tête,22
",",",",p
se,se,51
remit,remettre,19
à,à,81
contempler,contempler,14
Annette,Annette,20
",",",",p
mais,mais,82
en,en,81
écoutant,écouter,13
aussi,aussi,60
la,le,71
musique,musique,22
",",",",p
afin,afin,81
de,de,81
goûter,goûter,14
en,en,81
même,même,75
temps,temps,21
deux,deux,72
plaisirs,plaisir,21
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
madame,madame,22
de,de,81
Guilleroy,Guilleroy,20
fut,être,19
revenue,revenir,12
prendre,prendre,14
sa,son,73
place,place,22
",",",",p
il,il,51
obéit,obéir,19
simplement,simplement,60
à,à,81
la,le,71
naturelle,naturel,30
duplicité,duplicité,22
de,de,81
l',le,71
homme,homme,21
et,et,82
ne,ne,60
laissa,laisser,19
plus,plus,60
se,se,51
fixer,fixer,14
ses,son,73
yeux,oeil,21
sur,sur,81
le,le,71
blond,blond,30
profil,profil,21
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
qui,qui,52
tricotait,tricoter,18
en,en,81
face,face,22
de,de,81
sa,son,73
mère,mère,22
",",",",p
de,de,81
l',le,71
autre,autre,75
côté,côté,21
de,de,81
la,le,71
lampe,lampe,22
/.,/.,P
mais,mais,82
s',si,83
il,il,51
ne,ne,60
la,le,52
voyait,voir,18
pas,pas,60
",",",",p
il,il,51
goûtait,goûter,18
la,le,71
douceur,douceur,22
de,de,81
sa,son,73
présence,présence,22
",",",",p
comme,comme,83
on,on,51
sent,sentir,17
le,le,71
voisinage,voisinage,21
d',de,81
un,un,71
foyer,foyer,21
chaud,chaud,30
;,;,p
et,et,82
l',le,71
envie,envie,22
de,de,81
glisser,glisser,14
sur,sur,81
elle,il,51
des,de,81
des,le,71
regards,regard,21
rapides,rapide,30
",",",",p
aussitôt,aussitôt,60
ramenés,ramené,31
sur,sur,81
la,le,71
comtesse,comtesse,22
",",",",p
le,le,52
harcelait,harceler,18
",",",",p
une,un,71
envie,envie,22
de,de,81
collégien,collégien,21
qui,qui,52
se,se,51
hisse,hisser,17
à,à,81
la,le,71
fenêtre,fenêtre,22
de,de,81
la,le,71
rue,rue,22
dès,dès,81
que,que,83
le,le,71
maître,maître,21
tourne,tourner,17
le,le,71
dos,dos,21
/.,/.,P
il,il,51
s',se,51
en,en,52
alla,aller,19
tôt,tôt,60
",",",",p
car,car,82
il,il,51
avait,avoir,18
la,le,71
parole,parole,22
aussi,aussi,60
paralysée,paralysé,31
que,que,83
l',le,71
esprit,esprit,21
",",",",p
et,et,82
son,son,73
silence,silence,21
persistant,persistant,30
pouvait,pouvoir,18
être,être,14
interprété,interpréter,12
/.,/.,P
dès,dès,81
qu',que,83
il,il,51
fut,être,19
dans,dans,81
la,le,71
rue,rue,22
",",",",p
un,un,71
besoin,besoin,21
d',de,81
errer,errer,14
le,le,52
prit,prendre,19
",",",",p
car,car,82
toute,tout,75
musique,musique,22
entendue,entendu,31
continuait,continuer,18
en,en,81
lui,lui,51
longtemps,longtemps,60
",",",",p
le,le,52
jetait,jeter,18
en,en,81
des,de,81
des,le,71
songeries,songerie,22
qui,qui,52
semblaient,sembler,18
la,le,71
suite,suite,22
rêvée,rêvé,31
et,et,82
plus,plus,60
précise,précis,30
des,de,81
des,le,71
mélodies,mélodie,22
/.,/.,P
le,le,71
chant,chant,21
des,de,81
des,le,71
notes,note,22
revenait,revenir,18
",",",",p
intermittent,intermittent,30
et,et,82
fugitif,fugitif,30
",",",",p
apportant,apporter,13
des,de,81
des,le,71
mesures,mesure,22
isolées,isolé,31
",",",",p
affaiblies,affaibli,31
",",",",p
lointaines,lointain,30
comme,comme,83
un,un,71
écho,écho,21
",",",",p
puis,puis,60
se,se,51
taisait,taire,18
",",",",p
semblait,sembler,18
laisser,laisser,14
la,le,71
pensée,pensée,22
donner,donner,14
un,un,71
sens,sens,21
aux,à,81
aux,le,71
motifs,motif,21
et,et,82
voyager,voyager,14
à,à,81
la,le,71
recherche,recherche,22
d',de,81
une,un,71
sorte,sorte,22
d',de,81
idéal,idéal,21
harmonieux,harmonieux,30
et,et,82
tendre,tendre,30
/.,/.,P
il,il,51
tourna,tourner,19
sur,sur,81
la,le,71
gauche,gauche,22
au,à,81
au,le,71
boulevard,boulevard,21
extérieur,extérieur,30
",",",",p
en,en,81
apercevant,apercevoir,13
l',le,71
éclairage,éclairage,21
de,de,81
féerie,féerie,22
du,de,81
du,le,71
Parc Monceau,Parc Monceau,20
",",",",p
et,et,82
il,il,51
entra,entrer,19
dans,dans,81
l',le,71
allée,allée,22
centrale,central,30
arrondie,arrondi,31
sous,sous,81
les,le,71
lunes,lune,22
électriques,électrique,30
/.,/.,P
un,un,71
gardien,gardien,21
rôdait,rôder,18
à,à,81
pas,pas,21
lents,lent,30
;,;,p
parfois,parfois,60
un,un,71
fiacre,fiacre,21
attardé,attardé,31
passait,passer,18
;,;,p
un,un,71
homme,homme,21
lisait,lire,18
un,un,71
journal,journal,21
assis,assis,31
sur,sur,81
un,un,71
banc,banc,21
dans,dans,81
un,un,71
bain,bain,21
bleuâtre,bleuâtre,30
de,de,81
clarté,clarté,22
vive,vif,30
",",",",p
au,à,81
au,le,71
pied,pied,21
du,de,81
du,le,71
mât,mât,21
de,de,81
bronze,bronze,21
qui,qui,52
portait,porter,18
un,un,71
globe,globe,21
éclatant,éclatant,30
/.,/.,P
d',de,81
autres,autre,75
foyers,foyer,21
sur,sur,81
les,le,71
pelouses,pelouse,22
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
arbres,arbre,21
",",",",p
répandaient,répandre,18
dans,dans,81
les,le,71
feuillages,feuillage,21
et,et,82
sur,sur,81
les,le,71
gazons,gazon,21
leur,leur,73
lumière,lumière,22
froide,froid,30
et,et,82
puissante,puissant,30
",",",",p
animaient,animer,18
d',de,81
une,un,71
vie,vie,22
pâle,pâle,30
ce,ce,74
grand,grand,30
jardin,jardin,21
de,de,81
ville,ville,22
/.,/.,P
Bertin,Bertin,20
",",",",p
les,le,71
mains,main,22
derrière,derrière,81
le,le,71
dos,dos,21
",",",",p
allait,aller,18
le,le,71
long,long,21
du,de,81
du,le,71
trottoir,trottoir,21
",",",",p
et,et,82
il,il,51
se,se,51
souvenait,souvenir,18
de,de,81
sa,son,73
promenade,promenade,22
avec,avec,81
Annette,Annette,20
",",",",p
en,en,81
ce,ce,74
même,même,75
parc,parc,21
",",",",p
quand,quand,83
il,il,51
avait,avoir,18
reconnu,reconnaître,12
dans,dans,81
la,le,71
bouche,bouche,22
la,le,71
voix,voix,22
de,de,81
sa,son,73
mère,mère,22
/.,/.,P
il,il,51
se,se,51
laissa,laisser,19
tomber,tomber,14
sur,sur,81
un,un,71
banc,banc,21
",",",",p
et,et,82
aspirant,aspirer,13
la,le,71
sueur,sueur,22
fraîche,frais,30
des,de,81
des,le,71
pelouses,pelouse,22
arrosées,arrosé,31
",",",",p
il,il,51
se,se,51
sentit,sentir,19
assailli,assailli,31
par,par,81
toutes,tout,75
les,le,71
attentes,attente,22
passionnées,passionné,31
qui,qui,52
font,faire,17
de,de,81
l',le,71
âme,âme,22
des,de,81
des,le,71
adolescents,adolescent,21
le,le,71
canevas,canevas,21
incohérent,incohérent,30
d',de,81
un,un,71
infini,infini,30
roman,roman,21
d',de,81
amour,amour,21
/.,/.,P
autrefois,autrefois,60
il,il,51
avait,avoir,18
connu,connaître,12
ces,ce,74
soirs,soir,21
là,là,60
",",",",p
ces,ce,74
soirs,soir,21
de,de,81
fantaisie,fantaisie,22
vagabonde,vagabond,30
où,où,60
il,il,51
laissait,laisser,18
errer,errer,14
son,son,73
caprice,caprice,21
dans,dans,81
les,le,71
aventures,aventure,22
imaginaires,imaginaire,30
",",",",p
et,et,82
il,il,51
s',se,51
étonna,étonner,19
de,de,81
