11516
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-unième extrait>,<>,<>
bon,bon,30
parti,parti,21
de,de,81
la,le,71
succession,succession,22
de,de,81
son,son,73
mari,mari,21
",",",",p
qu',que,83
après,après,81
dix,dix,72
huit,huit,72
mois,mois,21
de,de,81
veuvage,veuvage,21
elle,il,51
possédait,posséder,18
environ,environ,60
quarante,quarante,72
mille,mille,72
livres,livre,22
de,de,81
rente,rente,22
/.,/.,P
son,son,73
mariage,mariage,21
avec,avec,81
le,le,71
jeune,jeune,30
comte,comte,21
ne,ne,60
fut,être,19
pas,pas,60
accepté,accepter,12
comme,comme,83
une,un,71
nouvelle,nouvelle,22
par,par,81
les,le,71
coteries,coterie,22
du,de,81
du,le,71
faubourg,faubourg,21
Saint-Germain,Saint-Germain,20
/.,/.,P
heureux,heureux,30
de,de,81
ce,ce,74
mariage,mariage,21
qui,qui,52
répondait,répondre,18
à,à,81
ses,son,73
idées,idée,22
de,de,81
fusion,fusion,22
",",",",p
Napoléon,Napoléon,20
rendit,rendre,19
à,à,81
madame,madame,22
Chabert,Chabert,20
la,le,71
portion,portion,22
dont,dont,52
héritait,hériter,18
le,le,71
fisc,fisc,21
dans,dans,81
la,le,71
succession,succession,22
du,de,81
du,le,71
colonel,colonel,21
;,;,p
mais,mais,82
l',le,71
espérance,espérance,22
de,de,81
Napoléon,Napoléon,20
fut,être,19
encore,encore,60
trompée,tromper,12
/.,/.,P
madame,madame,22
Ferraud,Ferraud,20
n',ne,60
aimait,aimer,18
pas,pas,60
seulement,seulement,60
son,son,73
amant,amant,21
dans,dans,81
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
elle,il,51
avait,avoir,18
été,être,12
séduite,séduire,12
aussi,aussi,60
par,par,81
l',le,71
idée,idée,22
d',de,81
entrer,entrer,14
dans,dans,81
cette,ce,74
société,société,22
dédaigneuse,dédaigneux,30
qui,qui,52
",",",",p
malgré,malgré,81
son,son,73
abaissement,abaissement,21
",",",",p
dominait,dominer,18
la,le,71
cour,cour,22
impériale,impérial,30
/.,/.,P
toutes,tout,75
ses,son,73
vanités,vanité,22
étaient,être,18
flattées,flatter,12
autant,autant,60
que,que,83
ses,son,73
passions,passion,22
dans,dans,81
ce,ce,74
mariage,mariage,21
/.,/.,P
elle,il,51
allait,aller,18
devenir,devenir,14
une,un,71
femme,femme,22
comme,comme,83
il,il,51
faut,falloir,17
/.,/.,P
quand,quand,83
le,le,71
faubourg,faubourg,21
Saint-Germain,Saint-Germain,20
sut,savoir,19
que,que,83
le,le,71
mariage,mariage,21
du,de,81
du,le,71
jeune,jeune,30
comte,comte,21
n',ne,60
était,être,18
pas,pas,60
une,un,71
défection,défection,22
",",",",p
les,le,71
salons,salon,21
s',se,51
ouvrirent,ouvrir,19
à,à,81
sa,son,73
femme,femme,22
/.,/.,P
la,le,71
restauration,restauration,22
vint,venir,19
/.,/.,P
la,le,71
fortune,fortune,22
politique,politique,30
du,de,81
du,le,71
comte,comte,21
Ferraud,Ferraud,20
ne,ne,60
fut,être,19
pas,pas,60
rapide,rapide,30
/.,/.,P
il,il,51
comprenait,comprendre,18
les,le,71
exigences,exigence,22
de,de,81
la,le,71
position,position,22
dans,dans,81
laquelle,lequel,52
se,se,51
trouvait,trouver,18
Louis XVIII,Louis XVIII,20
",",",",p
il,il,51
était,être,18
du,de,81
du,le,71
nombre,nombre,21
des,de,81
des,le,71
initiés,initié,21
qui,qui,52
attendaient,attendre,18
que,que,83
l',le,71
abîme,abîme,21
des,de,81
des,le,71
révolutions,révolution,22
fût,être,19
fermé,fermer,12
car,car,82
cette,ce,74
phrase,phrase,22
royale,royal,30
",",",",p
dont,dont,52
se,se,51
moquèrent,moquer,19
tant,tant,60
les,le,71
libéraux,libéral,21
",",",",p
cachait,cacher,18
un,un,71
sens,sens,21
politique,politique,30
/.,/.,P
néanmoins,néanmoins,60
",",",",p
l',le,71
ordonnance,ordonnance,22
citée,cité,31
dans,dans,81
la,le,71
longue,long,30
phase,phase,22
cléricale,clérical,30
qui,qui,52
commence,commencer,17
cette,ce,74
histoire,histoire,22
lui,lui,51
avait,avoir,18
rendu,rendre,12
deux,deux,72
forêts,forêt,22
et,et,82
une,un,71
terre,terre,22
dont,dont,52
la,le,71
valeur,valeur,22
avait,avoir,18
considérablement,considérablement,60
augmenté,augmenter,12
pendant,pendant,81
le,le,71
séquestre,séquestre,21
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
",",",",p
quoique,quoique,83
le,le,71
comte,comte,21
Ferraud,Ferraud,20
fut,être,19
conseiller,conseiller,21
d',de,81
Etat,état,21
",",",",p
directeur,directeur,21
général,général,30
",",",",p
il,il,51
ne,ne,60
considérait,considérer,18
sa,son,73
position,position,22
que,que,83
comme,comme,83
le,le,71
début,début,21
de,de,81
sa,son,73
fortune,fortune,22
politique,politique,30
/.,/.,P
préoccupé,préoccupé,31
par,par,81
les,le,71
soins,soin,21
d',de,81
une,un,71
ambition,ambition,22
dévorante,dévorant,30
",",",",p
il,il,51
s',se,51
était,être,18
attaché,attacher,12
comme,comme,83
secrétaire,secrétaire,21
un,un,71
ancien,ancien,30
avoué,avoué,21
ruiné,ruiné,31
nommé,nommé,31
Delbecq,Delbecq,20
",",",",p
homme,homme,21
plus,plus,60
qu',que,83
habile,habile,30
",",",",p
qui,qui,52
connaissait,connaître,18
admirablement,admirablement,60
les,le,71
ressources,ressource,22
de,de,81
la,le,71
chicane,chicane,22
",",",",p
et,et,82
auquel,à,81
auquel,lequel,52
il,il,51
laissait,laisser,18
la,le,71
conduite,conduite,22
de,de,81
ses,son,73
affaires,affaire,22
privées,privé,31
/.,/.,P
le,le,71
rusé,rusé,31
praticien,praticien,21
avait,avoir,18
assez,assez,60
bien,bien,60
compris,comprendre,12
sa,son,73
position,position,22
chez,chez,81
le,le,71
comte,comte,21
pour,pour,81
y,y,52
être,être,14
probe,probe,30
par,par,81
spéculation,spéculation,22
/.,/.,P
il,il,51
espérait,espérer,18
parvenir,parvenir,14
à,à,81
quelque,quelque,75
place,place,22
par,par,81
le,le,71
crédit,crédit,21
de,de,81
son,son,73
patron,patron,21
",",",",p
dont,dont,52
la,le,71
fortune,fortune,22
était,être,18
l',le,71
objet,objet,21
de,de,81
tous,tout,75
ses,son,73
soins,soin,21
/.,/.,P
sa,son,73
conduite,conduite,22
démentait,démentir,18
tellement,tellement,60
sa,son,73
vie,vie,22
antérieure,antérieur,30
qu',que,83
il,il,51
passait,passer,18
pour,pour,81
un,un,71
homme,homme,21
calomnié,calomnié,31
/.,/.,P
avec,avec,81
le,le,71
tact,tact,21
et,et,82
la,le,71
finesse,finesse,22
dont,dont,52
sont,être,17
plus,plus,60
ou,ou,82
moins,moins,60
douées,douer,12
toutes,tout,75
les,le,71
femmes,femme,22
",",",",p
la,le,71
comtesse,comtesse,22
",",",",p
qui,qui,52
avait,avoir,18
deviné,deviner,12
son,son,73
intendant,intendant,21
",",",",p
le,le,52
surveillait,surveiller,18
adroitement,adroitement,60
",",",",p
et,et,82
savait,savoir,18
si,si,60
bien,bien,60
le,le,52
manier,manier,14
",",",",p
qu',que,83
elle,il,51
en,en,52
avait,avoir,18
déjà,déjà,60
tiré,tirer,12
un,un,52
très,très,60
bon,bon,30
parti,parti,21
pour,pour,81
l',le,71
augmentation,augmentation,22
de,de,81
sa,son,73
fortune,fortune,22
particulière,particulier,30
/.,/.,P
elle,il,51
avait,avoir,18
su,savoir,12
persuader,persuader,14
à,à,81
Delbecq,Delbecq,20
qu',que,83
elle,il,51
gouvernait,gouverner,18
monsieur,monsieur,21
Ferraud,Ferraud,20
",",",",p
et,et,82
lui,lui,51
avait,avoir,18
promis,promettre,12
de,de,81
le,le,52
faire,faire,14
nommer,nommer,14
président,président,21
d',de,81
un,un,71
tribunal,tribunal,21
de,de,81
première,premier,72
instance,instance,22
dans,dans,81
l',le,71
une,un,52
des,de,81
des,le,71
plus,plus,60
importantes,important,30
villes,ville,22
de,de,81
France,France,20
",",",",p
s',si,83
il,il,51
se,se,51
dévouait,dévouer,18
entièrement,entièrement,60
à,à,81
ses,son,73
intérêts,intérêt,21
/.,/.,P
la,le,71
promesse,promesse,22
d',de,81
une,un,71
place,place,22
inamovible,inamovible,30
qui,qui,52
lui,lui,51
permettrait,permettre,16
de,de,81
se,se,51
marier,marier,14
avantageusement,avantageusement,60
et,et,82
de,de,81
conquérir,conquérir,14
plus,plus,60
tard,tard,60
une,un,71
haute,haut,30
position,position,22
dans,dans,81
la,le,71
carrière,carrière,22
politique,politique,30
en,en,81
devenant,devenir,13
député,député,21
fit,faire,19
de,de,81
Delbecq,Delbecq,20
l',le,71
âme,âme,22
damnée,damné,31
de,de,81
la,le,71
comtesse,comtesse,22
/.,/.,P
il,il,51
ne,ne,60
lui,lui,51
avait,avoir,18
laissé,laisser,12
manquer,manquer,14
aucune,aucun,52
des,de,81
des,le,71
chances,chance,22
favorables,favorable,30
que,que,52
les,le,71
mouvements,mouvement,21
de,de,81
bourse,bourse,22
et,et,82
la,le,71
hausse,hausse,22
des,de,81
des,le,71
propriétés,propriété,22
présentèrent,présenter,19
dans,dans,81
Paris,Paris,20
aux,à,81
aux,le,71
gens,gens,21
habiles,habile,30
pendant,pendant,81
les,le,71
trois,trois,72
premières,premier,72
années,année,22
de,de,81
la,le,71
restauration,restauration,22
/.,/.,P
il,il,51
avait,avoir,18
triplé,tripler,12
les,le,71
capitaux,capital,21
de,de,81
sa,son,73
protectrice,protectrice,22
",",",",p
avec,avec,81
d'autant,d'autant,60
plus,plus,60
de,de,81
facilité,facilité,22
que,que,52
tous,tout,75
les,le,71
moyens,moyen,21
avaient,avoir,18
paru,paraître,12
bons,bon,30
à,à,81
la,le,71
comtesse,comtesse,22
afin,afin,81
de,de,81
rendre,rendre,14
promptement,promptement,60
sa,son,73
fortune,fortune,22
énorme,énorme,30
/.,/.,P
elle,il,51
employait,employer,18
les,le,71
émoluments,émolument,21
des,de,81
des,le,71
places,place,22
occupées,occupé,31
par,par,81
le,le,71
comte,comte,21
aux,à,81
aux,le,71
dépenses,dépense,22
de,de,81
la,le,71
maison,maison,22
",",",",p
afin,afin,81
de,de,81
pouvoir,pouvoir,14
capitaliser,capitaliser,14
ses,son,73
revenus,revenu,21
",",",",p
et,et,82
Delbecq,Delbecq,20
se,se,51
prêtait,prêter,18
aux,à,81
aux,le,71
calculs,calcul,21
de,de,81
cette,ce,74
avarice,avarice,22
sans,sans,81
chercher,chercher,14
à,à,81
s',se,51
en,en,52
expliquer,expliquer,14
les,le,71
motifs,motif,21
/.,/.,P
ces,ce,74
sortes,sorte,22
de,de,81
gens,gens,21
ne,ne,60
s',se,51
inquiètent,inquiéter,17
que,que,83
des,de,81
des,le,71
secrets,secret,21
dont,dont,52
la,le,71
découverte,découverte,22
est,être,17
nécessaire,nécessaire,30
à,à,81
leurs,leur,73
intérêts,intérêt,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
il,il,51
en,en,52
trouvait,trouver,18
si,si,60
naturellement,naturellement,60
la,le,71
raison,raison,22
dans,dans,81
cette,ce,74
soif,soif,22
d',de,81
or,or,21
dont,dont,52
sont,être,17
atteintes,atteindre,12
la,le,71
plupart,plupart,22
des,de,81
des,le,71
Parisiennes,Parisien,20
",",",",p
et,et,82
il,il,51
fallait,falloir,18
une,un,71
si,si,60
grande,grand,30
fortune,fortune,22
pour,pour,81
appuyer,appuyer,14
les,le,71
prétentions,prétention,22
du,de,81
du,le,71
comte,comte,21
Ferraud,Ferraud,20
",",",",p
que,que,83
l',le,71
intendant,intendant,21
croyait,croire,18
parfois,parfois,60
entrevoir,entrevoir,14
dans,dans,81
l',le,71
avidité,avidité,22
de,de,81
la,le,71
comtesse,comtesse,22
un,un,71
effet,effet,21
de,de,81
son,son,73
dévouement,dévouement,21
pour,pour,81
l',le,71
homme,homme,21
de,de,81
qui,qui,52
elle,il,51
était,être,18
toujours,toujours,60
éprise,éprendre,12
/.,/.,P
la,le,71
comtesse,comtesse,22
avait,avoir,18
enseveli,ensevelir,12
les,le,71
secrets,secret,21
de,de,81
sa,son,73
conduite,conduite,22
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
coeur,coeur,21
/.,/.,P
là,là,60
étaient,être,18
des,de,81
des,le,71
secrets,secret,21
de,de,81
vie,vie,22
et,et,82
de,de,81
mort,mort,22
pour,pour,81
elle,il,51
",",",",p
là,là,60
était,être,18
précisément,précisément,60
le,le,71
noeud,noeud,21
de,de,81
cette,ce,74
histoire,histoire,22
/.,/.,P
au,à,81
au,le,71
commencement,commencement,21
de,de,81
l',le,71
année,année,22
<Nombre 1818>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
dix,dix,72
huit,huit,72
<Fin nombre>,<>,<>
",",",",p
la,le,71
restauration,restauration,22
fut,être,19
assise,asseoir,12
sur,sur,81
des,de,81
des,le,71
bases,base,22
en,en,81
apparence,apparence,22
inébranlables,inébranlable,30
",",",",p
ses,son,73
doctrines,doctrine,22
gouvernementales,gouvernemental,30
",",",",p
comprises,compris,31
par,par,81
les,le,71
esprits,esprit,21
élevés,élevé,31
",",",",p
leur,leur,52
parurent,paraître,19
devoir,devoir,14
amener,amener,14
pour,pour,81
la,le,71
France,France,20
une,un,71
ère,ère,22
de,de,81
prospérité,prospérité,22
nouvelle,nouveau,30
",",",",p
alors,alors,60
la,le,71
société,société,22
parisienne,parisien,30
changea,changer,19
de,de,81
face,face,22
/.,/.,P
madame,madame,22
la,le,71
comtesse,comtesse,22
Ferraud,Ferraud,20
se,se,51
trouva,trouver,19
par,par,81
hasard,hasard,21
avoir,avoir,14
fait,faire,12
tout,tout,52
ensemble,ensemble,60
un,un,71
mariage,mariage,21
d',de,81
amour,amour,21
",",",",p
de,de,81
fortune,fortune,22
et,et,82
d',de,81
ambition,ambition,22
/.,/.,P
encore,encore,60
jeune,jeune,30
et,et,82
belle,beau,30
",",",",p
madame,madame,22
Ferraud,Ferraud,20
joua,jouer,19
le,le,71
rôle,rôle,21
d',de,81
une,un,71
femme,femme,22
à,à,81
la,le,71
mode,mode,22
",",",",p
et,et,82
vécut,vivre,19
dans,dans,81
l',le,71
atmosphère,atmosphère,22
de,de,81
la,le,71
cour,cour,22
/.,/.,P
riche,riche,30
par,par,81
elle-même,lui-même,51
",",",",p
riche,riche,30
par,par,81
son,son,73
mari,mari,21
",",",",p
qui,qui,52
",",",",p
prôné,prôné,31
comme,comme,83
un,un,52
des,de,81
des,le,71
hommes,homme,21
les,le,71
plus,plus,60
capables,capable,30
du,de,81
du,le,71
parti,parti,21
royaliste,royaliste,30
et,et,82
l',le,71
ami,ami,21
du,de,81
du,le,71
roi,roi,21
",",",",p
semblait,sembler,18
promis,promis,31
à,à,81
quelque,quelque,75
ministère,ministère,21
",",",",p
elle,il,51
appartenait,appartenir,18
à,à,81
l',le,71
aristocratie,aristocratie,22
",",",",p
elle,il,51
en,en,52
partageait,partager,18
la,le,71
splendeur,splendeur,22
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ce,ce,74
triomphe,triomphe,21
",",",",p
elle,il,51
fut,être,19
atteinte,atteindre,12
d',de,81
un,un,71
cancer,cancer,21
moral,moral,30
/.,/.,P
il,il,51
est,être,17
de,de,81
ces,ce,74
sentiments,sentiment,21
que,que,52
les,le,71
femmes,femme,22
devinent,deviner,17
malgré,malgré,81
le,le,71
soin,soin,21
que,que,52
les,le,71
hommes,homme,21
mettent,mettre,17
à,à,81
les,le,52
enfouir,enfouir,14
/.,/.,P
au,à,81
au,le,71
premier,premier,72
retour,retour,21
du,de,81
du,le,71
roi,roi,21
",",",",p
le,le,71
comte,comte,21
Ferraud,Ferraud,20
avait,avoir,18
conçu,concevoir,12
quelques,quelque,75
regrets,regret,21
de,de,81
son,son,73
mariage,mariage,21
/.,/.,P
la,le,71
veuve,veuve,22
du,de,81
du,le,71
colonel,colonel,21
Chabert,Chabert,20
ne,ne,60
l',le,52
avait,avoir,18
allié,allier,12
à,à,81
personne,personne,52
",",",",p
il,il,51
était,être,18
seul,seul,30
et,et,82
sans,sans,81
appui,appui,21
pour,pour,81
se,se,51
diriger,diriger,14
dans,dans,81
une,un,71
carrière,carrière,22
pleine,plein,30
d',de,81
écueils,écueil,21
et,et,82
pleine,plein,30
d',de,81
ennemis,ennemi,21
/.,/.,P
puis,puis,60
",",",",p
peut-être,peut-être,60
",",",",p
quand,quand,83
il,il,51
avait,avoir,18
pu,pouvoir,12
juger,juger,14
froidement,froidement,60
sa,son,73
femme,femme,22
",",",",p
avait,avoir,18
il,il,51
reconnu,reconnaître,12
chez,chez,81
elle,il,51
quelques,quelque,75
vices,vice,21
d',de,81
éducation,éducation,22
qui,qui,52
la,le,52
rendaient,rendre,18
impropre,impropre,30
à,à,81
le,le,52
seconder,seconder,14
dans,dans,81
ses,son,73
projets,projet,21
/.,/.,P
un,un,71
mot,mot,21
dit,dit,31
par,par,81
lui,lui,51
à,à,81
propos,propos,21
du,de,81
du,le,71
mariage,mariage,21
de,de,81
Talleyrand,Talleyrand,20
éclaira,éclairer,19
la,le,71
comtesse,comtesse,22
",",",",p
à,à,81
laquelle,lequel,52
il,il,51
fut,être,19
prouvé,prouver,12
que,que,83
si,si,83
son,son,73
mariage,mariage,21
était,être,18
à,à,81
faire,faire,14
",",",",p
jamais,jamais,60
elle,il,51
n',ne,60
eut,avoir,19
été,être,12
madame,madame,22
Ferraud,Ferraud,20
/.,/.,P
ce,ce,74
regret,regret,21
",",",",p
quelle,quel,75
femme,femme,22
le,le,52
pardonnerait,pardonner,16
/?,/?,P
ne,ne,60
contient,contenir,17
il,il,51
pas,pas,60
toutes,tout,75
les,le,71
injures,injure,22
",",",",p
tous,tout,75
les,le,71
crimes,crime,21
",",",",p
toutes,tout,75
les,le,71
répudiations,répudiation,22
en,en,81
germe,germe,21
/?,/?,P
mais,mais,82
quelle,quel,75
plaie,plaie,22
ne,ne,60
devait,devoir,18
pas,pas,60
faire,faire,14
ce,ce,74
mot,mot,21
dans,dans,81
le,le,71
coeur,coeur,21
de,de,81
la,le,71
comtesse,comtesse,22
",",",",p
si,si,83
l',l',94
on,on,51
vient,venir,17
à,à,81
supposer,supposer,14
qu',que,83
elle,il,51
craignait,craindre,18
de,de,81
voir,voir,14
revenir,revenir,14
son,son,73
premier,premier,72
mari,mari,21
/!,/!,P
elle,il,51
l',le,52
avait,avoir,18
su,savoir,12
vivant,vivant,30
",",",",p
elle,il,51
l',le,52
avait,avoir,18
repoussé,repousser,12
/.,/.,P
puis,puis,60
",",",",p
pendant,pendant,81
le,le,71
temps,temps,21
où,où,60
elle,il,51
n',ne,60
en,en,52
avait,avoir,18
plus,plus,60
entendu,entendre,12
parler,parler,14
",",",",p
elle,il,51
s',se,51
était,être,18
plu,plaire,12
à,à,81
le,le,52
croire,croire,14
mort,mort,31
à,à,81
Waterloo,Waterloo,20
avec,avec,81
les,le,71
aigles,aigle,21
impériales,impérial,30
en,en,81
compagnie,compagnie,22
de,de,81
Boutin,Boutin,20
/.,/.,P
néanmoins,néanmoins,60
elle,il,51
conçut,concevoir,19
d',de,81
attacher,attacher,14
le,le,71
comte,comte,21
à,à,81
elle,il,51
par,par,81
le,le,71
plus,plus,60
fort,fort,30
des,de,81
des,le,71
liens,lien,21
",",",",p
par,par,81
la,le,71
chaîne,chaîne,22
d',de,81
or,or,21
",",",",p
et,et,82
voulut,vouloir,19
être,être,14
si,si,60
riche,riche,30
que,que,83
sa,son,73
fortune,fortune,22
rendît,rendre,18
son,son,73
second,second,72
mariage,mariage,21
indissoluble,indissoluble,30
",",",",p
si,si,83
par,par,81
hasard,hasard,21
le,le,71
comte,comte,21
Chabert,Chabert,20
reparaissait,reparaître,18
encore,encore,60
/.,/.,P
et,et,82
il,il,51
avait,avoir,18
reparu,reparaître,12
",",",",p
sans,sans,81
qu',que,83
elle,il,51
s',se,51
expliquât,expliquer,18
pourquoi,pourquoi,60
la,le,71
lutte,lutte,22
qu',que,52
elle,il,51
redoutait,redouter,18
n',ne,60
avait,avoir,18
pas,pas,60
déjà,déjà,60
commencé,commencer,12
/.,/.,P
les,le,71
souffrances,souffrance,22
",",",",p
la,le,71
maladie,maladie,22
l',le,52
avaient,avoir,18
peut-être,peut-être,60
délivrée,délivrer,12
de,de,81
cet,ce,74
homme,homme,21
/.,/.,P
peut-être,peut-être,60
était,être,18
il,il,51
à,à,81
moitié,moitié,22
fou,fou,30
",",",",p
Charenton,Charenton,20
pouvait,pouvoir,18
encore,encore,60
lui,lui,51
en,en,52
faire,faire,14
raison,raison,22
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
voulu,vouloir,12
mettre,mettre,14
Delbecq,Delbecq,20
ni,ni,82
la,le,71
police,police,22
dans,dans,81
sa,son,73
confidence,confidence,22
",",",",p
de,de,81
peur,peur,22
de,de,81
se,se,51
donner,donner,14
un,un,71
maître,maître,21
",",",",p
ou,ou,82
de,de,81
précipiter,précipiter,14
la,le,71
catastrophe,catastrophe,22
/.,/.,P
il,il,51
existe,exister,17
à,à,81
Paris,Paris,20
beaucoup,beaucoup,60
de,de,81
femmes,femme,22
qui,qui,52
",",",",p
semblables,semblable,30
à,à,81
la,le,71
comtesse,comtesse,22
Ferraud,Ferraud,20
",",",",p
vivent,vivre,17
avec,avec,81
un,un,71
monstre,monstre,21
moral,moral,30
inconnu,inconnu,21
",",",",p
ou,ou,82
côtoient,côtoyer,17
un,un,71
abîme,abîme,21
;,;,p
elles,ils,51
se,se,51
font,faire,17
un,un,71
calus,calus,21
à,à,81
l',le,71
endroit,endroit,21
de,de,81
leur,leur,73
mal,mal,21
",",",",p
et,et,82
peuvent,pouvoir,17
encore,encore,60
rire,rire,14
et,et,82
s',se,51
amuser,amuser,14
/.,/.,P
il,il,51
y,y,52
a,avoir,17
quelque,quelque,75
chose,chose,22
de,de,81
bien,bien,60
singulier,singulier,30
dans,dans,81
la,le,71
situation,situation,22
de,de,81
monsieur,monsieur,21
le,le,71
comte,comte,21
Ferraud,Ferraud,20
",",",",p
se,se,51
dit,dire,19
Derville,Derville,20
en,en,81
sortant,sortir,13
de,de,81
sa,son,73
longue,long,30
rêverie,rêverie,22
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
son,son,73
cabriolet,cabriolet,21
s',se,51
arrêtait,arrêter,18
rue,rue,22
de,de,81
Varenne,Varenne,20
",",",",p
à,à,81
la,le,71
porte,porte,22
de,de,81
l',le,71
hôtel,hôtel,21
Ferraud,Ferraud,20
/.,/.,P
comment,comment,60
",",",",p
lui,lui,51
si,si,60
riche,riche,30
",",",",p
aimé,aimé,31
du,de,81
du,le,71
roi,roi,21
",",",",p
n',ne,60
est,être,17
il,il,51
pas,pas,60
encore,encore,60
pair,pair,21
de,de,81
France,France,20
/?,/?,P
il,il,51
est,être,17
vrai,vrai,30
qu',que,83
il,il,51
entre,entrer,17
peut-être,peut-être,60
dans,dans,81
la,le,71
politique,politique,22
du,de,81
du,le,71
roi,roi,21
",",",",p
comme,comme,83
me,je,51
le,le,52
disait,dire,18
madame,madame,22
de,de,81
Grandlieu,Grandlieu,20
",",",",p
de,de,81
donner,donner,14
une,un,71
haute,haut,30
importance,importance,22
à,à,81
la,le,71
pairie,pairie,22
en,en,81
ne,ne,60
la,le,52
prodiguant,prodiguer,13
pas,pas,60
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
le,le,71
fils,fils,21
d',de,81
un,un,71
conseiller,conseiller,21
au,à,81
au,le,71
Parlement,parlement,21
n',ne,60
est,être,17
ni,ni,82
un,un,71
Crillon,Crillon,20
",",",",p
ni,ni,82
un,un,71
Rohan,Rohan,20
/.,/.,P
le,le,71
comte,comte,21
Ferraud,Ferraud,20
ne,ne,60
peut,pouvoir,17
entrer,entrer,14
que,que,83
subrepticement,subrepticement,60
dans,dans,81
la,le,71
chambre,chambre,22
haute,haut,30
/.,/.,P
mais,mais,82
",",",",p
si,si,83
son,son,73
mariage,mariage,21
était,être,18
cassé,casser,12
",",",",p
ne,ne,60
pourrait,pouvoir,16
il,il,51
faire,faire,14
passer,passer,14
sur,sur,81
sa,son,73
tête,tête,22
",",",",p
à,à,81
la,le,71
grande,grand,30
satisfaction,satisfaction,22
du,de,81
du,le,71
roi,roi,21
",",",",p
la,le,71
pairie,pairie,22
d',de,81
un,un,52
de,de,81
ces,ce,74
vieux,vieux,30
sénateurs,sénateur,21
qui,qui,52
n',ne,60
ont,avoir,17
que,que,83
des,de,81
des,le,71
filles,fille,22
/?,/?,P
voilà,voilà,81
certes,certes,60
une,un,71
bonne,bon,30
bourde,bourde,22
à,à,81
mettre,mettre,14
en,en,81
avant,avant,21
pour,pour,81
effrayer,effrayer,14
notre,notre,73
comtesse,comtesse,22
",",",",p
se,se,51
dit,dire,19
il,il,51
en,en,81
montant,monter,13
le,le,71
perron,perron,21
/.,/.,P
Derville,Derville,20
avait,avoir,18
",",",",p
sans,sans,81
le,le,52
savoir,savoir,14
",",",",p
mis,mettre,12
le,le,71
doigt,doigt,21
sur,sur,81
la,le,71
plaie,plaie,22
secrète,secret,30
",",",",p
enfoncé,enfoncer,12
la,le,71
main,main,22
dans,dans,81
le,le,71
cancer,cancer,21
qui,qui,52
dévorait,dévorer,18
madame,madame,22
Ferraud,Ferraud,20
/.,/.,P
il,il,51
fut,être,19
reçu,recevoir,12
par,par,81
elle,il,51
dans,dans,81
une,un,71
jolie,joli,30
salle,salle,22
à,à,81
manger,manger,14
d',de,81
hiver,hiver,21
",",",",p
où,où,60
elle,il,51
déjeunait,déjeuner,18
en,en,81
jouant,jouer,13
avec,avec,81
un,un,71
singe,singe,21
attaché,attaché,31
par,par,81
une,un,71
chaîne,chaîne,22
à,à,81
une,un,71
espèce,espèce,22
de,de,81
petit,petit,30
poteau,poteau,21
garni,garni,31
de,de,81
bâtons,bâton,21
en,en,81
fer,fer,21
/.,/.,P
la,le,71
comtesse,comtesse,22
était,être,18
enveloppée,envelopper,12
dans,dans,81
un,un,71
élégant,élégant,30
peignoir,peignoir,21
",",",",p
les,le,71
boucles,boucle,22
de,de,81
ses,son,73
cheveux,cheveu,21
",",",",p
négligemment,négligemment,60
rattachés,rattaché,31
",",",",p
s',se,51
échappaient,échapper,18
d',de,81
un,un,71
bonnet,bonnet,21
qui,qui,52
lui,lui,51
donnait,donner,18
un,un,71
air,air,21
mutin,mutin,30
/.,/.,P
elle,il,51
était,être,18
fraîche,frais,30
et,et,82
rieuse,rieur,30
/.,/.,P
l',le,71
argent,argent,21
",",",",p
le,le,71
vermeil,vermeil,21
",",",",p
la,le,71
nacre,nacre,22
étincelaient,étinceler,18
sur,sur,81
la,le,71
table,table,22
",",",",p
et,et,82
il,il,51
y,y,52
avait,avoir,18
autour,autour,60
d',de,81
elle,il,51
des,de,81
des,le,71
fleurs,fleur,22
curieuses,curieux,30
plantées,planté,31
dans,dans,81
de,de,81
magnifiques,magnifique,30
vases,vase,21
en,en,81
porcelaine,porcelaine,22
/.,/.,P
en,en,81
voyant,voir,13
la,le,71
femme,femme,22
du,de,81
du,le,71
comte,comte,21
Chabert,Chabert,20
",",",",p
riche,riche,30
de,de,81
ses,son,73
dépouilles,dépouille,22
",",",",p
au,à,81
au,le,71
sein,sein,21
du,de,81
du,le,71
luxe,luxe,21
",",",",p
au,à,81
au,le,71
faîte,faîte,21
de,de,81
la,le,71
société,société,22
",",",",p
tandis que,tandis que,83
le,le,71
malheureux,malheureux,21
vivait,vivre,18
chez,chez,81
un,un,71
pauvre,pauvre,30
nourrisseur,nourrisseur,21
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
bestiaux,bestiau,21
",",",",p
l',le,71
avoué,avoué,21
