11738
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-septième extrait>,<>,<>
longtemps,longtemps,60
/.,/.,P
certes,certes,60
",",",",p
le,le,71
mariage,mariage,21
était,être,18
décidé,décider,12
",",",",p
même,même,60
fixé,fixer,12
sans,sans,81
aucun,aucun,75
doute,doute,21
/.,/.,P
il,il,51
devinait,deviner,18
la,le,71
hâte,hâte,22
de,de,81
son,son,73
amie,amie,22
à,à,81
terminer,terminer,14
cela,cela,52
",",",",p
il,il,51
comprenait,comprendre,18
que,que,83
",",",",p
dans,dans,81
les,le,71
limites,limite,22
les,le,71
plus,plus,60
courtes,court,30
",",",",p
elle,il,51
donnerait,donner,16
sa,son,73
fille,fille,22
à,à,81
Farandal,Farandal,20
/.,/.,P
il,il,51
n',ne,60
y,y,52
pouvait,pouvoir,18
rien,rien,52
/.,/.,P
il,il,51
ne,ne,60
pouvait,pouvoir,18
ni,ni,82
empêcher,empêcher,14
",",",",p
ni,ni,82
modifier,modifier,14
",",",",p
ni,ni,82
retarder,retarder,14
cette,ce,74
affreuse,affreux,30
chose,chose,22
/!,/!,P
puisqu',puisque,83
il,il,51
fallait,falloir,18
la,le,52
subir,subir,14
",",",",p
ne,ne,60
valait,valoir,18
il,il,51
pas,pas,60
mieux,mieux,60
essayer,essayer,14
de,de,81
dompter,dompter,14
son,son,73
âme,âme,22
",",",",p
de,de,81
cacher,cacher,14
sa,son,73
souffrance,souffrance,22
",",",",p
de,de,81
paraître,paraître,14
content,content,30
",",",",p
de,de,81
ne,ne,60
plus,plus,60
se,se,51
laisser,laisser,14
entraîner,entraîner,14
",",",",p
comme,comme,83
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
par,par,81
son,son,73
emportement,emportement,21
/.,/.,P
oui,oui,60
",",",",p
il,il,51
inviterait,inviter,16
le,le,71
marquis,marquis,21
",",",",p
apaisant,apaiser,13
par là,par-là,60
les,le,71
soupçons,soupçon,21
de,de,81
la,le,71
comtesse,comtesse,22
et,et,82
se,se,51
gardant,garder,13
une,un,71
porte,porte,22
amie,ami,30
dans,dans,81
l',le,71
intérieur,intérieur,21
du,de,81
du,le,71
jeune,jeune,30
ménage,ménage,21
/.,/.,P
dès,dès,81
qu',que,83
il,il,51
eut,avoir,19
déjeuné,déjeuner,12
",",",",p
il,il,51
descendit,descendre,19
à,à,81
l',le,71
Opéra,Opéra,20
pour,pour,81
s',se,51
assurer,assurer,14
la,le,71
possession,possession,22
d',de,81
une,un,52
des,de,81
des,le,71
loges,loge,22
cachées,caché,31
derrière,derrière,81
le,le,71
rideau,rideau,21
/.,/.,P
elle,il,51
lui,lui,51
fut,être,19
promise,promettre,12
/.,/.,P
alors,alors,60
il,il,51
courut,courir,19
chez,chez,81
les,le,71
Guilleroy,Guilleroy,20
/.,/.,P
la,le,71
comtesse,comtesse,22
parut,paraître,19
presque,presque,60
aussitôt,aussitôt,60
",",",",p
et,et,82
",",",",p
encore,encore,60
tout,tout,60
émue,ému,31
de,de,81
leur,leur,73
attendrissement,attendrissement,21
de,de,81
la,le,71
veille,veille,22
:,:,p
“,“,p
comme,comme,83
c',ce,52
est,être,17
gentil,gentil,30
de,de,81
revenir,revenir,14
aujourd'hui,aujourd'hui,60
!,!,p
dit,dire,19
elle,il,51
/.,/.,P
il,il,51
balbutia,balbutier,19
/.,/.,P
“,“,p
je,je,51
vous,vous,51
apporte,apporter,17
quelque,quelque,75
chose,chose,22
/.,/.,P
-,-,p
quoi,quoi,52
donc,donc,82
/?,/?,P
une,un,71
loge,loge,22
sur,sur,81
la,le,71
scène,scène,22
de,de,81
l',le,71
Opéra,Opéra,20
pour,pour,81
une,un,71
représentation,représentation,22
unique,unique,30
de,de,81
Helsson,Helsson,20
et,et,82
de,de,81
Montrosé,Montrosé,20
/.,/.,P
-,-,p
oh,oh,93
!,!,p
mon,mon,73
ami,ami,21
",",",",p
quel,quel,75
chagrin,chagrin,21
/!,/!,P
et,et,82
mon,mon,73
deuil,deuil,21
/?,/?,P
votre,votre,73
deuil,deuil,21
est,être,17
vieux,vieux,30
de,de,81
quatre,quatre,72
mois,mois,21
bientôt,bientôt,60
/.,/.,P
-,-,p
je,je,51
vous,vous,51
assure,assurer,17
que,que,83
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
/.,/.,P
-,-,p
et,et,82
Annette,Annette,20
/?,/?,P
songez,songer,17
qu',que,83
une,un,71
occasion,occasion,22
pareille,pareil,30
ne,ne,60
se,se,51
représentera,représenter,15
peut-être,peut-être,60
jamais,jamais,60
/.,/.,P
-,-,p
avec,avec,81
qui,qui,52
irait,aller,16
elle,il,51
/?,/?,P
avec,avec,81
son,son,73
père,père,21
et,et,82
la,le,71
duchesse,duchesse,22
que,que,52
je,je,51
vais,aller,17
inviter,inviter,14
/.,/.,P
j',je,51
ai,avoir,17
l',le,71
intention,intention,22
aussi,aussi,60
d',de,81
offrir,offrir,14
une,un,71
place,place,22
au,à,81
au,le,71
marquis,marquis,21
/.,/.,P
“,“,p
elle,il,51
le,le,52
regarda,regarder,19
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
yeux,oeil,21
tandis qu',tandis que,83
une,un,71
envie,envie,22
folle,fou,30
de,de,81
l',le,52
embrasser,embrasser,14
lui,lui,51
montait,monter,18
aux,à,81
aux,le,71
lèvres,lèvre,22
/.,/.,P
elle,il,51
répéta,répéter,19
",",",",p
ne,ne,60
pouvant,pouvoir,13
en,en,52
croire,croire,14
ses,son,73
oreilles,oreille,22
:,:,p
“,“,p
au,à,81
au,le,71
marquis,marquis,21
/?,/?,P
mais,mais,82
oui,oui,60
/!,/!,P
et,et,82
elle,il,51
consentit,consentir,19
tout,tout,60
de,de,81
suite,suite,22
à,à,81
cet,ce,74
arrangement,arrangement,21
/.,/.,P
il,il,51
reprit,reprendre,19
d',de,81
un,un,71
air,air,21
indifférent,indifférent,30
:,:,p
“,“,p
avez,avoir,17
vous,vous,51
fixé,fixer,12
l',le,71
époque,époque,22
de,de,81
leur,leur,73
mariage,mariage,21
/?,/?,P
mon,mon,73
dieu,dieu,21
oui,oui,60
",",",",p
à,à,81
peu,peu,60
près,près,81
/.,/.,P
nous,nous,51
avons,avoir,17
des,de,81
des,le,71
raisons,raison,22
pour,pour,81
le,le,52
presser,presser,14
beaucoup,beaucoup,60
",",",",p
d'autant,d'autant,60
plus,plus,60
qu',que,83
il,il,51
était,être,18
déjà,déjà,60
décidé,décider,12
avant,avant,81
la,le,71
mort,mort,22
de,de,81
maman,maman,22
/.,/.,P
vous,vous,51
vous,vous,51
le,le,52
rappelez,rappeler,17
/?,/?,P
oui,oui,60
",",",",p
parfaitement,parfaitement,60
/.,/.,P
et,et,82
pour,pour,81
quand,quand,83
/?,/?,P
mais,mais,82
",",",",p
pour,pour,81
le,le,71
commencement,commencement,21
de,de,81
janvier,janvier,21
/.,/.,P
je,je,51
vous,vous,51
demande,demander,17
pardon,pardon,21
de,de,81
ne,ne,60
vous,vous,51
l',le,52
avoir,avoir,14
pas,pas,60
annoncé,annoncer,12
plus,plus,60
tôt,tôt,60
/.,/.,P
“,“,p
Annette,Annette,20
entrait,entrer,18
/.,/.,P
il,il,51
sentit,sentir,19
son,son,73
coeur,coeur,21
sauter,sauter,14
dans,dans,81
sa,son,73
poitrine,poitrine,22
avec,avec,81
une,un,71
force,force,22
de,de,81
ressort,ressort,21
",",",",p
et,et,82
toute,tout,75
la,le,71
tendresse,tendresse,22
qui,qui,52
le,le,52
jetait,jeter,18
vers,vers,81
elle,il,51
s',se,51
aigrit,aigrir,19
soudain,soudain,60
et,et,82
fit,faire,19
naître,naître,14
en,en,81
lui,lui,51
cette,ce,74
sorte,sorte,22
de,de,81
bizarre,bizarre,30
animosité,animosité,22
passionnée,passionné,31
que,que,52
devient,devenir,17
l',le,71
amour,amour,21
quand,quand,83
la,le,71
jalousie,jalousie,22
le,le,52
fouette,fouetter,17
/.,/.,P
“,“,p
je,je,51
vous,vous,51
apporte,apporter,17
quelque,quelque,75
chose,chose,22
“,“,p
",",",",p
dit,dire,19
il,il,51
/.,/.,P
elle,il,51
répondit,répondre,19
:,:,p
“,“,p
alors,alors,60
nous,nous,51
en,en,52
sommes,être,17
décidément,décidément,60
au,à,81
au,le,71
“,“,p
vous,vous,51
“,“,p
/.,/.,P
“,“,p
il,il,51
prit,prendre,19
un,un,71
air,air,21
paternel,paternel,30
/.,/.,P
“,“,p
écoutez,écouter,17
",",",",p
mon,mon,73
enfant,enfant,21
/.,/.,P
je,je,51
suis,être,17
au,à,81
au,le,71
courant,courant,21
de,de,81
l',le,71
événement,événement,21
qui,qui,52
se,se,51
prépare,préparer,17
/.,/.,P
je,je,51
vous,vous,51
assure,assurer,17
que,que,83
cela,cela,52
sera,être,15
indispensable,indispensable,30
dans,dans,81
quelque,quelque,75
temps,temps,21
/.,/.,P
vaut,valoir,17
mieux,mieux,60
tout,tout,60
de,de,81
suite,suite,22
que,que,83
plus,plus,60
tard,tard,60
/.,/.,P
“,“,p
elle,il,51
haussa,hausser,19
les,le,71
épaules,épaule,22
d',de,81
un,un,71
air,air,21
mécontent,mécontent,30
",",",",p
tandis que,tandis que,83
la,le,71
comtesse,comtesse,22
se,se,51
taisait,taire,18
",",",",p
le,le,71
regard,regard,21
au,à,81
au,le,71
loin,loin,60
et,et,82
la,le,71
pensée,pensée,22
tendue,tendu,31
/.,/.,P
Annette,Annette,20
demanda,demander,19
:,:,p
“,“,p
que,que,52
m',je,51
apportez,apporter,17
vous,vous,51
/?,/?,P
il,il,51
annonça,annoncer,19
la,le,71
représentation,représentation,22
et,et,82
les,le,71
invitations,invitation,22
qu',que,52
il,il,51
comptait,compter,18
faire,faire,14
/.,/.,P
elle,il,51
fut,être,19
ravie,ravir,12
",",",",p
et,et,82
",",",",p
lui,lui,51
sautant,sauter,13
au,à,81
au,le,71
cou,cou,21
avec,avec,81
un,un,71
élan,élan,21
de,de,81
gamine,gamine,22
",",",",p
l',le,52
embrassa,embrasser,19
sur,sur,81
les,le,71
deux,deux,72
joues,joue,22
/.,/.,P
il,il,51
se,se,51
sentit,sentir,19
défaillir,défaillir,14
et,et,82
comprit,comprendre,19
",",",",p
sous,sous,81
le,le,71
double,double,30
effleurement,effleurement,21
de,de,81
cette,ce,74
petite,petit,30
bouche,bouche,22
au,à,81
au,le,71
souffle,souffle,21
frais,frais,30
",",",",p
qu',que,83
il,il,51
ne,ne,60
se,se,51
guérirait,guérir,16
jamais,jamais,60
/.,/.,P
la,le,71
comtesse,comtesse,22
",",",",p
crispée,crispé,31
",",",",p
dit,dire,17
à,à,81
sa,son,73
fille,fille,22
:,:,p
“,“,p
tu,tu,51
sais,savoir,17
que,que,83
ton,ton,73
père,père,21
t',tu,51
attend,attendre,17
/.,/.,P
-,-,p
oui,oui,60
",",",",p
maman,maman,22
",",",",p
j',je,51
y,y,52
vais,aller,17
/.,/.,P
“,“,p
elle,il,51
se,se,51
sauva,sauver,19
",",",",p
en,en,81
envoyant,envoyer,13
encore,encore,60
des,de,81
des,le,71
baisers,baiser,21
du,de,81
du,le,71
bout,bout,21
des,de,81
des,le,71
doigts,doigt,21
/.,/.,P
dès,dès,81
qu',que,83
elle,il,51
fut,être,19
sortie,sortir,12
",",",",p
Olivier,Olivier,20
demanda,demander,19
:,:,p
“,“,p
vont,aller,17
ils,ils,51
voyager,voyager,14
/?,/?,P
oui,oui,60
",",",",p
pendant,pendant,81
trois,trois,72
mois,mois,21
/.,/.,P
“,“,p
et,et,82
il,il,51
murmura,murmurer,19
",",",",p
malgré,malgré,81
lui,lui,51
:,:,p
“,“,p
tant,tant,60
mieux,mieux,60
/!,/!,P
nous,nous,51
reprendrons,reprendre,15
notre,notre,73
ancienne,ancien,30
vie,vie,22
“,“,p
",",",",p
dit,dire,17
la,le,71
comtesse,comtesse,22
/.,/.,P
il,il,51
balbutia,balbutier,19
:,:,p
“,“,p
je,je,51
l',le,52
espère,espérer,17
bien,bien,60
/.,/.,P
-,-,p
en,en,81
attendant,attendre,13
",",",",p
ne,ne,60
me,je,51
négligez,négliger,17
point,point,60
/.,/.,P
-,-,p
non,non,60
",",",",p
mon,mon,73
amie,amie,22
/.,/.,P
“,“,p
l',le,71
élan,élan,21
qu',que,52
il,il,51
avait,avoir,18
eu,avoir,12
la,le,71
veille,veille,22
en,en,81
la,le,52
voyant,voir,13
pleurer,pleurer,14
",",",",p
et,et,82
l',le,71
idée,idée,22
qu',que,52
il,il,51
venait,venir,18
d',de,81
exprimer,exprimer,14
d',de,81
inviter,inviter,14
le,le,71
marquis,marquis,21
à,à,81
cette,ce,74
représentation,représentation,22
de,de,81
l',le,71
Opéra,Opéra,20
",",",",p
redonnaient,redonner,18
à,à,81
la,le,71
comtesse,comtesse,22
un,un,71
peu,peu,60
d',de,81
espoir,espoir,21
/.,/.,P
il,il,51
fut,être,19
court,court,30
/.,/.,P
une,un,71
semaine,semaine,22
ne,ne,60
s',se,51
était,être,18
point,point,60
passée,passer,12
qu',que,83
elle,il,51
suivait,suivre,18
de,de,81
nouveau,nouveau,21
sur,sur,81
la,le,71
figure,figure,22
de,de,81
cet,ce,74
homme,homme,21
",",",",p
avec,avec,81
une,un,71
attention,attention,22
torturante,torturant,30
et,et,82
jalouse,jaloux,30
",",",",p
toutes,tout,75
les,le,71
étapes,étape,22
de,de,81
son,son,73
supplice,supplice,21
/.,/.,P
elle,il,51
n',ne,60
en,en,52
pouvait,pouvoir,18
rien,rien,52
ignorer,ignorer,14
",",",",p
passant,passer,13
elle-même,lui-même,51
par,par,81
toutes,tout,75
les,le,71
douleurs,douleur,22
qu',que,52
elle,il,51
devinait,deviner,18
chez,chez,81
lui,lui,51
",",",",p
et,et,82
la,le,71
constante,constant,30
présence,présence,22
d',de,81
Annette,Annette,20
lui,lui,51
rappelait,rappeler,18
",",",",p
à,à,81
tous,tout,75
les,le,71
moments,moment,21
du,de,81
du,le,71
jour,jour,21
",",",",p
l',le,71
impuissance,impuissance,22
de,de,81
ses,son,73
efforts,effort,21
/.,/.,P
tout,tout,52
l',le,52
accablait,accabler,18
en,en,81
même,même,75
temps,temps,21
",",",",p
les,le,71
années,année,22
et,et,82
le,le,71
deuil,deuil,21
/.,/.,P
sa,son,73
coquetterie,coquetterie,22
active,actif,30
",",",",p
savante,savant,30
",",",",p
ingénieuse,ingénieux,30
qui,qui,52
",",",",p
durant,durant,81
toute,tout,75
sa,son,73
vie,vie,22
",",",",p
l',le,52
avait,avoir,18
fait,faire,12
triompher,triompher,14
pour,pour,81
lui,lui,51
",",",",p
se,se,51
trouvait,trouver,18
paralysée,paralysé,31
par,par,81
cet,ce,74
uniforme,uniforme,21
noir,noir,30
qui,qui,52
soulignait,souligner,18
sa,son,73
pâleur,pâleur,22
et,et,82
l',le,71
altération,altération,22
de,de,81
ses,son,73
traits,trait,21
",",",",p
de,de,81
même,même,60
qu',que,83
il,il,51
rendait,rendre,18
éblouissante,éblouissant,30
l',le,71
adolescence,adolescence,22
de,de,81
son,son,73
enfant,enfant,21
/.,/.,P
elle,il,51
était,être,18
loin,loin,60
déjà,déjà,60
l',le,71
époque,époque,22
",",",",p
si,si,60
proche,proche,30
cependant,cependant,82
",",",",p
du,de,81
du,le,71
retour,retour,21
d',de,81
Annette,Annette,20
à,à,81
Paris,Paris,20
",",",",p
où,où,60
elle,il,51
recherchait,rechercher,18
avec,avec,81
orgueil,orgueil,21
des,de,81
des,le,71
similitudes,similitude,22
de,de,81
toilette,toilette,22
qui,qui,52
lui,lui,51
étaient,être,18
alors,alors,60
favorables,favorable,30
/.,/.,P
maintenant,maintenant,60
",",",",p
elle,il,51
avait,avoir,18
des,de,81
des,le,71
envies,envie,22
furieuses,furieux,30
d',de,81
arracher,arracher,14
de,de,81
son,son,73
corps,corps,21
ces,ce,74
vêtements,vêtement,21
de,de,81
mort,mort,22
qui,qui,52
l',le,52
enlaidissaient,enlaidir,18
et,et,82
la,le,52
torturaient,torturer,18
/.,/.,P
si,si,83
elle,il,51
avait,avoir,18
senti,sentir,12
à,à,81
son,son,73
service,service,21
toutes,tout,75
les,le,71
ressources,ressource,22
de,de,81
l',le,71
élégance,élégance,22
",",",",p
si,si,83
elle,il,51
avait,avoir,18
pu,pouvoir,12
choisir,choisir,14
et,et,82
employer,employer,14
des,de,81
des,le,71
étoffes,étoffe,22
aux,à,81
aux,le,71
nuances,nuance,22
délicates,délicat,30
",",",",p
en,en,81
harmonie,harmonie,22
avec,avec,81
son,son,73
teint,teint,21
",",",",p
qui,qui,52
auraient,avoir,16
donné,donner,12
à,à,81
son,son,73
charme,charme,21
agonisant,agonisant,30
une,un,71
puissance,puissance,22
étudiée,étudié,31
",",",",p
aussi,aussi,60
captivante,captivant,30
que,que,83
la,le,71
grâce,grâce,22
inerte,inerte,30
de,de,81
sa,son,73
fille,fille,22
",",",",p
elle,il,51
aurait,avoir,16
su,savoir,12
",",",",p
sans,sans,81
doute,doute,21
",",",",p
demeurer,demeurer,14
encore,encore,60
la,le,71
plus,plus,60
séduisante,séduisant,30
/.,/.,P
elle,il,51
connaissait,connaître,18
si,si,60
bien,bien,60
l',le,71
action,action,22
des,de,81
des,le,71
toilettes,toilette,22
enfiévrantes,enfiévrant,30
du,de,81
du,le,71
soir,soir,21
et,et,82
des,de,81
des,le,71
molles,mou,30
toilettes,toilette,22
sensuelles,sensuel,30
du,de,81
du,le,71
matin,matin,21
du,de,81
du,le,71
déshabillé,déshabillé,21
troublant,troublant,30
gardé,gardé,31
pour,pour,81
déjeuner,déjeuner,14
avec,avec,81
les,le,71
amis,ami,21
intimes,intime,30
et,et,82
qui,qui,52
laisse,laisser,17
à,à,81
la,le,71
femme,femme,22
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
jour,jour,21
",",",",p
une,un,71
sorte,sorte,22
de,de,81
saveur,saveur,22
de,de,81
son,son,73
lever,lever,21
",",",",p
l',le,71
impression,impression,22
matérielle,matériel,30
et,et,82
chaude,chaud,30
du,de,81
du,le,71
lit,lit,21
quitté,quitté,31
et,et,82
de,de,81
la,le,71
chambre,chambre,22
parfumée,parfumé,31
/!,/!,P
mais,mais,82
que,que,52
pouvait,pouvoir,18
elle,il,51
tenter,tenter,14
sous,sous,81
cette,ce,74
robe,robe,22
sépulcrale,sépulcral,30
",",",",p
sous,sous,81
cette,ce,74
tenue,tenue,22
de,de,81
forçat,forçat,21
",",",",p
qui,qui,52
la,le,52
couvrirait,couvrir,16
pendant,pendant,81
une,un,71
année,année,22
entière,entier,30
/!,/!,P
un,un,71
an,an,21
/!,/!,P
elle,il,51
resterait,rester,16
un,un,71
an,an,21
emprisonnée,emprisonné,31
dans,dans,81
ce,ce,74
noir,noir,21
",",",",p
inactive,inactif,30
et,et,82
vaincue,vaincu,31
/!,/!,P
pendant,pendant,81
un,un,71
an,an,21
",",",",p
elle,il,51
se,se,51
sentirait,sentir,16
vieillir,vieillir,14
jour,jour,21
par,par,81
jour,jour,21
",",",",p
heure,heure,22
par,par,81
heure,heure,22
",",",",p
minute,minute,22
par,par,81
minute,minute,22
",",",",p
sous,sous,81
cette,ce,74
gaine,gaine,22
de,de,81
crêpe,crêpe,21
/!,/!,P
que,que,52
serait,être,16
elle,il,51
dans,dans,81
un,un,71
an,an,21
si,si,83
sa,son,73
pauvre,pauvre,30
chair,chair,22
malade,malade,30
continuait,continuer,18
à,à,81
s',se,51
altérer,altérer,14
ainsi,ainsi,60
sous,sous,81
les,le,71
angoisses,angoisse,22
de,de,81
son,son,73
âme,âme,22
/?,/?,P
ces,ce,74
idées,idée,22
ne,ne,60
la,le,52
quittaient,quitter,18
plus,plus,60
",",",",p
lui,lui,51
gâtaient,gâter,18
tout,tout,52
ce,ce,52
qu',que,52
elle,il,51
aurait,avoir,16
savouré,savourer,12
",",",",p
lui,lui,51
faisaient,faire,18
une,un,71
douleur,douleur,22
de,de,81
tout,tout,52
ce,ce,52
qui,qui,52
aurait,avoir,16
été,être,12
une,un,71
joie,joie,22
",",",",p
ne,ne,60
lui,lui,51
laissaient,laisser,18
plus,plus,60
une,un,71
jouissance,jouissance,22
intacte,intact,30
",",",",p
un,un,71
contentement,contentement,21
ni,ni,82
une,un,71
gaieté,gaieté,22
/.,/.,P
sans,sans,81
cesse,cesse,22
elle,il,51
frémissait,frémir,18
d',de,81
un,un,71
besoin,besoin,21
exaspéré,exaspéré,31
de,de,81
secouer,secouer,14
ce,ce,74
poids,poids,21
de,de,81
misère,misère,22
qui,qui,52
l',le,52
écrasait,écraser,18
",",",",p
car,car,82
sans,sans,81
cette,ce,74
obsession,obsession,22
harcelante,harcelant,30
elle,il,51
aurait,avoir,16
été,être,12
si,si,60
heureuse,heureux,30
encore,encore,60
",",",",p
alerte,alerte,30
et,et,82
bien,bien,60
portante,portant,30
/!,/!,P
elle,il,51
se,se,51
sentait,sentir,18
une,un,71
âme,âme,22
vivace,vivace,30
et,et,82
fraîche,frais,30
",",",",p
un,un,71
coeur,coeur,21
toujours,toujours,60
jeune,jeune,30
",",",",p
l',le,71
ardeur,ardeur,22
d',de,81
un,un,71
être,être,21
qui,qui,52
commence,commencer,17
à,à,81
vivre,vivre,14
",",",",p
un,un,71
appétit,appétit,21
de,de,81
bonheur,bonheur,21
insatiable,insatiable,30
",",",",p
plus,plus,60
vorace,vorace,30
même,même,60
qu',que,83
autrefois,autrefois,60
",",",",p
et,et,82
un,un,71
besoin,besoin,21
d',de,81
aimer,aimer,14
dévorant,dévorant,30
/.,/.,P
et,et,82
voilà,voilà,81
que,que,83
toutes,tout,75
les,le,71
bonnes,bon,30
choses,chose,22
",",",",p
toutes,tout,75
les,le,71
choses,chose,22
douces,doux,30
",",",",p
délicieuses,délicieux,30
",",",",p
poétiques,poétique,30
",",",",p
qui,qui,52
embellissent,embellir,18
et,et,82
font,faire,17
chérir,chérir,14
l',le,71
existence,existence,22
",",",",p
se,se,51
retiraient,retirer,18
d',de,81
elle,il,51
",",",",p
parce qu',parce que,83
elle,il,51
avait,avoir,18
vieilli,vieillir,12
/!,/!,P
c',ce,52
était,être,18
fini,finir,12
/!,/!,P
elle,il,51
retrouvait,retrouver,18
pourtant,pourtant,60
encore,encore,60
en,en,81
elle,il,51
ses,son,73
attendrissements,attendrissement,21
de,de,81
jeune,jeune,30
fille,fille,22
et,et,82
ses,son,73
élans,élan,21
passionnés,passionné,31
de,de,81
jeune,jeune,30
femme,femme,22
/.,/.,P
rien,rien,52
n',ne,60
avait,avoir,18
vieilli,vieillir,12
que,que,83
sa,son,73
chair,chair,22
",",",",p
sa,son,73
misérable,misérable,30
peau,peau,22
",",",",p
cette,ce,74
étoffe,étoffe,22
des,de,81
des,le,71
os,os,21
",",",",p
peu,peu,60
à,à,81
peu,peu,60
fanée,fané,31
",",",",p
rongée,rongé,31
comme,comme,83
le,le,71
drap,drap,21
sur,sur,81
le,le,71
bois,bois,21
d',de,81
un,un,71
meuble,meuble,21
/.,/.,P
la,le,71
hantise,hantise,22
de,de,81
cette,ce,74
décadence,décadence,22
était,être,18
attachée,attacher,12
à,à,81
elle,il,51
",",",",p
devenue,devenu,31
presque,presque,60
une,un,71
souffrance,souffrance,22
physique,physique,30
/.,/.,P
l',le,71
idée,idée,22
fixe,fixe,30
avait,avoir,18
fait,faire,12
naître,naître,14
une,un,71
sensation,sensation,22
d',de,81
épiderme,épiderme,21
",",",",p
la,le,71
sensation,sensation,22
du,de,81
du,le,71
vieillissement,vieillissement,21
",",",",p
continue,continu,30
et,et,82
perceptible,perceptible,30
comme,comme,83
celle,celui,52
du,de,81
du,le,71
froid,froid,21
ou,ou,82
de,de,81
la,le,71
chaleur,chaleur,22
/.,/.,P
elle,il,51
croyait,croire,18
",",",",p
en,en,81
effet,effet,21
",",",",p
sentir,sentir,14
",",",",p
ainsi,ainsi,60
qu',que,83
une,un,71
vague,vague,30
démangeaison,démangeaison,22
",",",",p
la,le,71
marche,marche,22
lente,lent,30
des,de,81
des,le,71
rides,ride,22
sur,sur,81
son,son,73
front,front,21
",",",",p
l',le,71
affaissement,affaissement,21
du,de,81
du,le,71
tissu,tissu,21
des,de,81
des,le,71
joues,joue,22
et,et,82
de,de,81
la,le,71
gorge,gorge,22
",",",",p
et,et,82
la,le,71
multiplication,multiplication,22
de,de,81
ces,ce,74
innombrables,innombrable,30
petits,petit,30
traits,trait,21
qui,qui,52
fripent,friper,17
la,le,71
peau,peau,22
fatiguée,fatigué,31
/.,/.,P
comme,comme,83
un,un,71
être,être,21
atteint,atteint,31
d',de,81
un,un,71
mal,mal,21
dévorant,dévorant,30
qu',que,52
un,un,71
constant,constant,30
prurit,prurit,21
contraint,contraindre,17
à,à,81
se,se,51
gratter,gratter,14
",",",",p
la,le,71
perception,perception,22
et,et,82
la,le,71
terreur,terreur,22
de,de,81
ce,ce,74
travail,travail,21
abominable,abominable,30
et,et,82
menu,menu,30
du,de,81
du,le,71
temps,temps,21
rapide,rapide,30
lui,lui,51
mirent,mettre,19
dans,dans,81
l',le,71
âme,âme,22
l',le,71
irrésistible,irrésistible,30
besoin,besoin,21
de,de,81
le,le,52
constater,constater,14
dans,dans,81
les,le,71
glaces,glace,22
/.,/.,P
elles,ils,51
l',le,52
appelaient,appeler,18
",",",",p
l',le,52
attiraient,attirer,18
",",",",p
la,le,52
forçaient,forcer,18
à,à,81
venir,venir,14
",",",",p
les,le,71
yeux,oeil,21
fixes,fixe,30
",",",",p
voir,voir,14
",",",",p
revoir,revoir,14
",",",",p
reconnaître,reconnaître,14
sans,sans,81
cesse,cesse,22
",",",",p
toucher,toucher,14
du,de,81
du,le,71
doigt,doigt,21
",",",",p
comme,comme,83
pour,pour,81
s',se,51
en,en,52
mieux,mieux,60
assurer,assurer,14
",",",",p
l',le,71
usure,usure,22
ineffaçable,ineffaçable,30
des,de,81
des,le,71
ans,an,21
/.,/.,P
ce,ce,52
fut,être,19
d'abord,d'abord,60
une,un,71
pensée,pensée,22
intermittente,intermittent,30
reparue,reparu,31
chaque,chaque,75
fois,fois,22
qu',que,83
elle,il,51
apercevait,apercevoir,18
",",",",p
soit,soit,82
chez,chez,81
elle,il,51
",",",",p
soit,soit,82
ailleurs,ailleurs,60
",",",",p
la,le,71
surface,surface,22
polie,poli,31
du,de,81
du,le,71
cristal,cristal,21
redoutable,redoutable,30
/.,/.,P
elle,il,51
s',se,51
arrêtait,arrêter,18
sur,sur,81
les,le,71
trottoirs,trottoir,21
pour,pour,81
se,se,51
regarder,regarder,14
aux,à,81
aux,le,71
devantures,devanture,22
des,de,81
des,le,71
boutiques,boutique,22
",",",",p
accrochée,accroché,31
comme,comme,83
par,par,81
une,un,71
main,main,22
à,à,81
toutes,tout,75
les,le,71
plaques,plaque,22
de,de,81
verre,verre,21
dont,dont,52
les,le,71
marchands,marchand,21
ornent,orner,17
leurs,leur,73
façades,façade,22
/.,/.,P
cela,cela,52
devint,devenir,19
une,un,71
maladie,maladie,22
",",",",p
une,un,71
possession,possession,22
/.,/.,P
elle,il,51
portait,porter,18
dans,dans,81
sa,son,73
poche,poche,22
une,un,71
mignonne,mignon,30
boîte,boîte,22
à,à,81
poudre,poudre,22
de,de,81
riz,riz,21
en,en,81
ivoire,ivoire,21
",",",",p
grosse,grosse,22
comme,comme,83
une,un,71
noix,noix,22
",",",",p
dont,dont,52
le,le,71
couvercle,couvercle,21
intérieur,intérieur,30
enfermait,enfermer,18
un,un,71
imperceptible,imperceptible,30
miroir,miroir,21
",",",",p
et,et,82
souvent,souvent,60
",",",",p
tout,tout,60
en,en,81
marchant,marcher,13
",",",",p
elle,il,51
la,le,52
tenait,tenir,18
ouverte,ouvert,31
dans,dans,81
sa,son,73
main,main,22
et,et,82
la,le,52
