11939
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-sixième extrait>,<>,<>
avait,avoir,18
déplié,déplier,12
le,le,71
vélarium,vélarium,21
",",",",p
et,et,82
apporté,apporter,12
vivement,vivement,60
de,de,81
larges,large,30
coussins,coussin,21
auprès,auprès,60
d',de,81
eux,ils,51
/.,/.,P
Hérodias,Hérodias,20
s',se,51
y,y,52
affaissa,affaisser,19
",",",",p
et,et,82
pleurait,pleurer,18
en,en,81
tournant,tourner,13
le,le,71
dos,dos,21
/.,/.,P
puis,puis,60
",",",",p
elle,il,51
se,se,51
passa,passer,19
la,le,71
main,main,22
sur,sur,81
les,le,71
paupières,paupière,22
",",",",p
dit,dire,19
qu',que,83
elle,il,51
n',ne,60
y,y,52
voulait,vouloir,18
plus,plus,60
songer,songer,14
",",",",p
qu',que,52
elle,il,51
se,se,51
trouvait,trouver,18
heureuse,heureux,30
;,;,p
-,-,p
et,et,82
elle,il,51
lui,lui,51
rappela,rappeler,19
leurs,leur,73
causeries,causerie,22
là-bas,là-bas,60
dans,dans,81
l',le,71
atrium,atrium,21
",",",",p
les,le,71
rencontres,rencontre,22
aux,à,81
aux,le,71
étuves,étuve,22
",",",",p
leurs,leur,73
promenades,promenade,22
le,le,71
long,long,21
de,de,81
la,le,71
voie,voie,22
sacrée,sacré,31
-,-,p
et,et,82
les,le,71
soirs,soir,21
dans,dans,81
les,le,71
grandes,grand,30
villas,villa,22
",",",",p
au,à,81
au,le,71
murmure,murmure,21
des,de,81
des,le,71
jets,jet,21
d',de,81
eau,eau,22
",",",",p
sous,sous,81
les,le,71
arcs,arc,21
de,de,81
fleurs,fleur,22
",",",",p
devant,devant,81
la,le,71
campagne,campagne,22
romaine,romain,30
/.,/.,P
elle,il,51
le,le,52
regardait,regarder,18
comme,comme,83
autrefois,autrefois,60
",",",",p
en,en,81
se,se,51
frôlant,frôler,13
contre,contre,81
sa,son,73
poitrine,poitrine,22
",",",",p
avec,avec,81
des,de,81
des,le,71
gestes,geste,21
câlins,câlin,30
/.,/.,P
il,il,51
la,le,52
repoussa,repousser,19
/.,/.,P
l',le,71
amour,amour,21
qu',que,52
elle,il,51
tâchait,tâcher,18
de,de,81
ranimer,ranimer,14
était,être,18
si,si,60
loin,loin,60
",",",",p
maintenant,maintenant,60
!,!,p
et,et,82
tous,tout,75
ses,son,73
malheurs,malheur,21
en,en,52
découlaient,découler,18
-,-,p
car,car,82
",",",",p
depuis,depuis,81
douze,douze,72
ans,an,21
bientôt,bientôt,60
",",",",p
la,le,71
guerre,guerre,22
continuait,continuer,18
/.,/.,P
elle,il,51
avait,avoir,18
vieilli,vieillir,12
le,le,71
Tétrarque,Tétrarque,20
/.,/.,P
ses,son,73
épaules,épaule,22
se,se,51
voûtaient,voûter,18
dans,dans,81
une,un,71
toge,toge,22
sombre,sombre,30
à,à,81
bordure,bordure,22
violette,violet,30
;,;,p
ses,son,73
cheveux,cheveu,21
blancs,blanc,30
se,se,51
mêlaient,mêler,18
à,à,81
sa,son,73
barbe,barbe,22
",",",",p
et,et,82
le,le,71
soleil,soleil,21
",",",",p
qui,qui,52
traversait,traverser,18
la,le,71
voile,voile,22
baignait,baigner,18
de,de,81
lumière,lumière,22
son,son,73
front,front,21
chagrin,chagrin,30
/.,/.,P
celui,celui,52
d',de,81
Hérodias,Hérodias,20
également,également,60
avait,avoir,18
des,de,81
des,le,71
plis,pli,21
",",",",p
et,et,82
l',le,71
un,un,52
en,en,81
face,face,22
de,de,81
l',le,71
autre,autre,52
",",",",p
ils,ils,51
se,se,51
considéraient,considérer,18
d',de,81
une,un,71
manière,manière,22
farouche,farouche,30
les,le,71
chemins,chemin,21
dans,dans,81
la,le,71
montagne,montagne,22
commencèrent,commencer,19
à,à,81
se,se,51
peupler,peupler,14
/.,/.,P
des,de,81
des,le,71
pasteurs,pasteur,21
piquaient,piquer,18
des,de,81
des,le,71
boeufs,boeuf,21
",",",",p
des,de,81
des,le,71
enfants,enfant,21
tiraient,tirer,18
des,de,81
des,le,71
ânes,âne,21
",",",",p
des,de,81
des,le,71
palefreniers,palefrenier,21
conduisaient,conduire,18
des,de,81
des,le,71
chevaux,cheval,21
/.,/.,P
ceux,celui,52
qui,qui,52
descendaient,descendre,18
les,le,71
hauteurs,hauteur,22
au-delà,au-delà,60
de,de,81
Machaerous,Machaerous,20
disparaissaient,disparaître,18
derrière,derrière,81
le,le,71
château,château,21
;,;,p
d',de,81
autres,autre,52
montaient,monter,18
le,le,71
ravin,ravin,21
en,en,81
face,face,22
",",",",p
et,et,82
",",",",p
parvenus,parvenu,31
",",",",p
à,à,81
la,le,71
ville,ville,22
",",",",p
déchargeaient,décharger,18
leurs,leur,73
bagages,bagage,21
dans,dans,81
les,le,71
cours,courir,17
/.,/.,P
c',ce,52
étaient,être,18
les,le,71
pourvoyeurs,pourvoyeur,21
du,de,81
du,le,71
Tétrarque,Tétrarque,20
",",",",p
et,et,82
des,de,81
des,le,71
valets,valet,21
",",",",p
précédant,précéder,13
ses,son,73
convives,convive,21
/.,/.,P
mais,mais,82
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
terrasse,terrasse,22
",",",",p
à,à,81
gauche,gauche,22
",",",",p
un,un,71
Essénien,Essénien,20
parut,paraître,19
",",",",p
en,en,81
robe,robe,22
blanche,blanc,30
",",",",p
nu-pieds,nu-pieds,30
",",",",p
l',le,71
air,air,21
stoïque,stoïque,30
Mannaëi,Mannaëi,20
du,de,81
du,le,71
côté,côté,21
droit,droit,30
",",",",p
se,se,51
précipitait,précipiter,18
en,en,81
levant,lever,13
son,son,73
coutelas,coutelas,21
/.,/.,P
Hérodias,Hérodias,20
lui,lui,51
cria,crier,19
:,:,p
-,-,p
“,“,p
tue,tuer,17
le,le,52
/!,/!,P
arrête,arrêter,17
“,“,p
dit,dire,19
le,le,71
Tétrarque,Tétrarque,20
/.,/.,P
il,il,51
devint,devenir,19
immobile,immobile,30
",",",",p
l',le,71
autre,autre,52
aussi,aussi,60
/.,/.,P
puis,puis,60
ils,ils,51
se,se,51
retirèrent,retirer,19
",",",",p
chacun,chacun,52
par,par,81
un,un,71
escalier,escalier,21
différent,différent,30
",",",",p
-,-,p
à reculons,à reculons,60
",",",",p
sans,sans,81
se,se,51
perdre,perdre,14
des,de,81
des,le,71
yeux,oeil,21
/.,/.,P
-,-,p
“,“,p
je,je,51
le,le,52
connais,connaître,17
!,!,p
dit,dire,19
Hérodias,Hérodias,20
“,“,p
il,il,51
se,se,51
nomme,nommer,17
Phanuel,Phanuel,20
",",",",p
et,et,82
cherche,chercher,17
à,à,81
voir,voir,14
Iaokanann,Iaokanann,20
",",",",p
puisque,puisque,83
tu,tu,51
as,avoir,17
l',le,71
aveuglement,aveuglement,21
de,de,81
le,le,52
conserver,conserver,14
/!,/!,P
Antipas,Antipas,20
objecta,objecter,19
qu',que,83
il,il,51
pouvait,pouvoir,18
un,un,71
jour,jour,21
servir,servir,14
/.,/.,P
ses,son,73
attaques,attaque,22
contre,contre,81
Jérusalem,Jérusalem,20
gagnaient,gagner,18
à,à,81
eux,ils,51
le,le,71
reste,reste,21
des,de,81
des,le,71
Juifs,Juif,20
/.,/.,P
-,-,p
“,“,p
non,non,60
!,!,p
reprit,reprendre,19
elle,il,51
“,“,p
ils,ils,51
acceptent,accepter,17
tous,tout,75
les,le,71
maîtres,maître,21
!,!,p
et,et,82
ne,ne,60
sont,être,17
pas,pas,60
capables,capable,30
de,de,81
faire,faire,14
une,un,71
patrie,patrie,22
/!,/!,P
quant,quand,83
à,à,81
celui,celui,52
qui,qui,52
remuait,remuer,18
le,le,71
peuple,peuple,21
avec,avec,81
des,de,81
des,le,71
espérances,espérance,22
conservées,conservé,31
depuis,depuis,81
Néhémias,Néhémias,20
la,le,71
meilleure,meilleur,30
politique,politique,22
était,être,18
de,de,81
le,le,52
supprimer,supprimer,14
/.,/.,P
rien,rien,52
ne,ne,60
pressait,presser,18
",",",",p
selon,selon,81
le,le,71
Tétrarque,Tétrarque,20
/.,/.,P
Iaokanann,Iaokanann,20
dangereux,dangereux,30
/!,/!,P
allons,aller,17
donc,donc,82
!,!,p
il,il,51
affectait,affecter,18
d',de,81
en,en,52
rire,rire,14
/.,/.,P
-,-,p
“,“,p
tais,taire,17
toi,toi,51
!,!,p
et,et,82
elle,il,51
redit,redire,17
son,son,73
humiliation,humiliation,22
",",",",p
un,un,71
jour,jour,21
qu',que,83
elle,il,51
allait,aller,18
vers,vers,81
Galaad,Galaad,20
",",",",p
pour,pour,81
la,le,71
récolte,récolte,22
du,de,81
du,le,71
beaume,beaume,21
/.,/.,P
“,“,p
des,de,81
des,le,71
gens,gens,21
",",",",p
au,à,81
au,le,71
bord,bord,21
du,de,81
du,le,71
fleuve,fleuve,21
",",",",p
remettaient,remettre,18
leurs,leur,73
habits,habit,21
/.,/.,P
sur,sur,81
un,un,71
monticule,monticule,21
à,à,81
côté,côté,21
un,un,71
homme,homme,21
parlait,parler,18
/.,/.,P
il,il,51
avait,avoir,18
une,un,71
peau,peau,22
de,de,81
chameau,chameau,21
autour,autour,60
des,de,81
des,le,71
reins,rein,21
et,et,82
sa,son,73
tête,tête,22
ressemblait,ressembler,18
à,à,81
celle,celui,52
d',de,81
un,un,71
lion,lion,21
/.,/.,P
dès,dès,81
qu',que,83
il,il,51
m',je,51
aperçut,apercevoir,19
il,il,51
cracha,cracher,19
sur,sur,81
moi,moi,51
toutes,tout,75
les,le,71
malédictions,malédiction,22
des,de,81
des,le,71
prophètes,prophète,21
/.,/.,P
ses,son,73
prunelles,prunelle,22
flamboyaient,flamboyer,18
",",",",p
sa,son,73
voix,voix,22
rugissait,rugir,18
;,;,p
il,il,51
levait,lever,18
les,le,71
bras,bras,21
",",",",p
comme,comme,83
pour,pour,81
arracher,arracher,14
le,le,71
tonnerre,tonnerre,21
/.,/.,P
impossible,impossible,30
de,de,81
fuir,fuir,14
;,;,p
les,le,71
roues,roue,22
de,de,81
mon,mon,73
char,char,21
avaient,avoir,18
du,de,81
du,le,71
sable,sable,21
jusqu',jusque,81
aux,à,81
aux,le,71
essieux,essieu,21
-,-,p
et,et,82
je,je,51
m',je,51
éloignais,éloigner,18
lentement,lentement,60
",",",",p
m',je,51
abritant,abriter,13
sous,sous,81
mon,mon,73
manteau,manteau,21
",",",",p
glacée,glacé,31
par,par,81
ces,ce,74
injures,injure,22
qui,qui,52
tombaient,tomber,18
comme,comme,83
une,un,71
pluie,pluie,22
d',de,81
orage,orage,21
“,“,p
/.,/.,P
Iaokanann,Iaokanann,20
l',le,52
empêchait,empêcher,18
de,de,81
vivre,vivre,14
/.,/.,P
quand,quand,83
on,on,51
l',le,52
avait,avoir,18
pris,prendre,12
et,et,82
lié,lier,12
avec,avec,81
des,de,81
des,le,71
cordes,corde,22
",",",",p
les,le,71
soldats,soldat,21
devaient,devoir,18
le,le,52
poignarder,poignarder,14
s',si,83
il,il,51
résistait,résister,18
/.,/.,P
il,il,51
s',se,51
était,être,18
montré,montrer,12
doux,doux,30
/.,/.,P
on,on,51
avait,avoir,18
mis,mettre,12
des,de,81
des,le,71
serpents,serpent,21
dans,dans,81
sa,son,73
prison,prison,22
/.,/.,P
ils,ils,51
étaient,être,18
morts,mourir,12
/.,/.,P
l',le,71
inanité,inanité,22
de,de,81
ces,ce,74
embûches,embûche,22
exaspérait,exaspérer,18
Hérodias,Hérodias,20
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
pourquoi,pourquoi,60
sa,son,73
guerre,guerre,22
contre,contre,81
elle,il,51
/?,/?,P
quel,quel,75
intérêt,intérêt,21
le,le,52
poussait,pousser,18
/?,/?,P
ses,son,73
discours,discours,21
criés,crié,31
à,à,81
des,de,81
des,le,71
foules,foule,22
",",",",p
s',se,51
étaient,être,18
répandus,répandre,12
",",",",p
circulaient,circuler,18
",",",",p
elle,il,51
les,le,52
entendait,entendre,18
partout,partout,60
/.,/.,P
ils,ils,51
emplissaient,emplir,18
l',le,71
air,air,21
;,;,p
contre,contre,81
des,de,81
des,le,71
légions,légion,22
elle,il,51
aurait,avoir,16
eu,avoir,12
de,de,81
la,le,71
bravoure,bravoure,22
/.,/.,P
mais,mais,82
cette,ce,74
force,force,22
plus,plus,60
pernicieuse,pernicieux,30
que,que,83
les,le,71
glaives,glaive,21
",",",",p
et,et,82
qu',que,83
on,on,51
ne,ne,60
pouvait,pouvoir,18
saisir,saisir,14
était,être,18
stupéfiante,stupéfiant,30
-,-,p
et,et,82
elle,il,51
parcourait,parcourir,18
la,le,71
terrasse,terrasse,22
",",",",p
blêmie,blêmi,31
par,par,81
sa,son,73
colère,colère,22
",",",",p
manquant,manquer,13
de,de,81
mots,mot,21
pour,pour,81
exprimer,exprimer,14
ce,ce,52
qui,qui,52
l',le,52
étouffait,étouffer,18
/.,/.,P
elle,il,51
songeait,songer,18
aussi,aussi,60
",",",",p
que,que,83
le,le,71
Tétrarque,Tétrarque,20
cédant,cédant,30
à,à,81
l',le,71
opinion,opinion,22
",",",",p
s',se,51
aviserait,aviser,16
peut-être,peut-être,60
de,de,81
la,le,52
répudier,répudier,14
/?,/?,P
alors,alors,60
tout,tout,52
serait,être,16
perdu,perdre,12
/!,/!,P
depuis,depuis,81
son,son,73
enfance,enfance,22
",",",",p
elle,il,51
nourrissait,nourrir,18
le,le,71
rêve,rêve,21
d',de,81
un,un,71
grand,grand,30
empire,empire,21
/.,/.,P
c',ce,52
était,être,18
pour,pour,81
y,y,52
atteindre,atteindre,14
que,que,83
",",",",p
délaissant,délaisser,13
son,son,73
premier,premier,72
époux,époux,21
",",",",p
elle,il,51
s',se,51
était,être,18
jointe,joindre,12
à,à,81
celui-là,celui-là,52
",",",",p
qui,qui,52
l',le,52
avait,avoir,18
dupée,duper,12
",",",",p
pensait,penser,18
elle,il,51
/.,/.,P
-,-,p
“,“,p
j',je,51
ai,avoir,17
pris,prendre,12
un,un,71
bon,bon,30
soutien,soutien,21
",",",",p
en,en,81
entrant,entrer,13
dans,dans,81
ta,ton,73
famille,famille,22
/!,/!,P
elle,il,51
vaut,valoir,17
la,le,71
tienne,tien,52
!,!,p
dit,dire,19
simplement,simplement,60
le,le,71
Tétrarque,Tétrarque,20
Hérodias,Hérodias,20
sentit,sentir,19
bouillonner,bouillonner,14
dans,dans,81
ses,son,73
veines,veine,22
le,le,71
sang,sang,21
des,de,81
des,le,71
prêtres,prêtre,21
et,et,82
des,de,81
des,le,71
rois,roi,21
ses,son,73
aïeux,aïeul,21
/.,/.,P
-,-,p
“,“,p
mais,mais,82
ton,ton,73
grand-père,grand-père,21
balayait,balayer,18
le,le,71
temple,temple,21
d',de,81
Ascalon,Ascalon,20
/!,/!,P
les,le,71
autres,autre,52
étaient,être,18
bergers,berger,21
",",",",p
bandits,bandit,21
",",",",p
conducteurs,conducteur,21
de,de,81
caravanes,caravane,22
",",",",p
une,un,71
horde,horde,22
",",",",p
tributaire,tributaire,21
de,de,81
Juda,Juda,20
",",",",p
depuis,depuis,81
le,le,71
roi,roi,21
David,David,20
/!,/!,P
tous,tout,75
mes,mon,73
ancêtres,ancêtre,21
ont,avoir,17
battu,battre,12
les,le,71
tiens,tien,52
/!,/!,P
le,le,71
premier,premier,72
des,de,81
des,le,71
Makkabi,Makkabi,20
vous,vous,51
a,avoir,17
chassés,chasser,12
d',de,81
Hébron,Hébron,20
",",",",p
Hyrcan,Hyrcan,20
forcés,forcé,31
à,à,81
vous,vous,51
circoncire,circoncire,14
/!,/!,P
et,et,82
",",",",p
exhalant,exhaler,13
le,le,71
mépris,mépris,21
de,de,81
la,le,71
patricienne,patricienne,22
pour,pour,81
le,le,71
plébéien,plébéien,30
",",",",p
la,le,71
haine,haine,22
de,de,81
Jacob,Jacob,20
contre,contre,81
Edom,Edom,20
",",",",p
elle,il,51
lui,lui,51
reprocha,reprocher,19
son,son,73
indifférence,indifférence,22
aux,à,81
aux,le,71
outrages,outrage,21
",",",",p
sa,son,73
mollesse,mollesse,22
envers,envers,81
les,le,71
Pharisiens,Pharisiens,20
qui,qui,52
le,le,52
trahissaient,trahir,18
",",",",p
sa,son,73
lâcheté,lâcheté,22
pour,pour,81
le,le,71
peuple,peuple,21
qui,qui,52
la,le,52
détestait,détester,18
/.,/.,P
“,“,p
tu,tu,51
es,être,17
comme,comme,83
lui,lui,51
",",",",p
avoue,avouer,17
le,le,52
!,!,p
et,et,82
tu,tu,51
regrettes,regretter,17
la,le,71
fille,fille,22
arabe,arabe,30
qui,qui,52
danse,danser,17
autour,autour,60
des,de,81
des,le,71
pierres,pierre,22
/!,/!,P
reprends,reprendre,17
la,le,52
/.,/.,P
va,aller,17
t',tu,51
en,en,52
vivre,vivre,14
avec,avec,81
elle,il,51
",",",",p
dans,dans,81
sa,son,73
maison,maison,22
de,de,81
toile,toile,22
!,!,p
dévore,dévorer,17
son,son,73
pain,pain,21
cuit,cuit,31
sous,sous,81
la,le,71
cendre,cendre,22
!,!,p
avale,avaler,17
le,le,71
lait,lait,21
caillé,caillé,31
de,de,81
ses,son,73
brebis,brebis,22
/!,/!,P
baise,baiser,17
ses,son,73
joues,joue,22
bleues,bleu,30
et,et,82
oublie,oublier,17
moi,moi,51
/!,/!,P
le,le,71
Tétrarque,Tétrarque,20
n',ne,60
écoutait,écouter,18
plus,plus,60
/.,/.,P
il,il,51
regardait,regarder,18
la,le,71
plate-forme,plate-forme,22
d',de,81
une,un,71
maison,maison,22
",",",",p
où,où,60
il,il,51
y,y,52
avait,avoir,18
une,un,71
jeune,jeune,30
fille,fille,22
et,et,82
une,un,71
vieille,vieux,30
femme,femme,22
tenant,tenir,13
un,un,71
parasol,parasol,21
à,à,81
manche,manche,22
de,de,81
roseau,roseau,21
",",",",p
long,long,21
comme,comme,83
la,le,71
ligne,ligne,22
d',de,81
un,un,71
pêcheur,pêcheur,21
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
tapis,tapis,21
",",",",p
un,un,71
grand,grand,30
panier,panier,21
de,de,81
voyage,voyage,21
restait,rester,18
ouvert,ouvert,31
/.,/.,P
des,de,81
des,le,71
ceintures,ceinture,22
",",",",p
des,de,81
des,le,71
voiles,voile,21
",",",",p
des,de,81
des,le,71
pendeloques,pendeloque,22
d',de,81
orfèvrerie,orfèvrerie,22
en,en,52
débordaient,déborder,18
confusément,confusément,60
/.,/.,P
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
par,par,81
intervalles,intervalle,21
",",",",p
se,se,51
penchaient,pencher,18
vers,vers,81
ces,ce,74
choses,chose,22
",",",",p
et,et,82
les,le,52
secouait,secouer,18
à,à,81
l',le,71
air,air,21
/.,/.,P
elle,il,51
était,être,18
vêtue,vêtir,12
",",",",p
comme,comme,83
les,le,71
Romaines,Romain,20
",",",",p
d',de,81
une,un,71
tunique,tunique,22
calamistrée,calamistré,31
avec,avec,81
un,un,71
péplum,péplum,21
à,à,81
glands,gland,21
d',de,81
émeraude,émeraude,22
",",",",p
et,et,82
des,de,81
des,le,71
lanières,lanière,22
bleues,bleu,30
enfermaient,enfermer,18
sa,son,73
chevelure,chevelure,22
",",",",p
trop,trop,60
lourde,lourd,30
",",",",p
sans,sans,81
doute,doute,21
",",",",p
car,car,82
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
elle,il,51
y,y,52
portait,porter,18
la,le,71
main,main,22
/.,/.,P
l',le,71
ombre,ombre,22
du,de,81
du,le,71
parasol,parasol,21
se,se,51
promenait,promener,18
au-dessus,au-dessus,60
d',de,81
elle,il,51
",",",",p
en,en,81
la,le,52
cachant,cacher,13
à,à,81
demi,demi,30
/.,/.,P
Antipas,Antipas,20
aperçut,apercevoir,19
deux,deux,72
ou,ou,82
trois,trois,72
fois,fois,22
son,son,73
col,col,21
délicat,délicat,30
",",",",p
l',le,71
angle,angle,21
d',de,81
un,un,71
oeil,oeil,21
",",",",p
le,le,71
coin,coin,21
d',de,81
une,un,71
petite,petit,30
bouche,bouche,22
/.,/.,P
mais,mais,82
il,il,51
voyait,voir,18
des,de,81
des,le,71
hanches,hanche,22
à,à,81
la,le,71
nuque,nuque,22
toute,tout,75
sa,son,73
taille,taille,22
-,-,p
qui,qui,52
s',se,51
inclinait,incliner,18
pour,pour,81
se,se,51
redresser,redresser,14
d',de,81
une,un,71
manière,manière,22
élastique,élastique,30
/.,/.,P
il,il,51
épiait,épier,18
le,le,71
retour,retour,21
de,de,81
ce,ce,74
mouvement,mouvement,21
;,;,p
-,-,p
et,et,82
sa,son,73
respiration,respiration,22
devenait,devenir,18
plus,plus,60
forte,fort,30
;,;,p
des,de,81
des,le,71
flammes,flamme,22
s',se,51
allumaient,allumer,18
dans,dans,81
ses,son,73
yeux,oeil,21
/.,/.,P
Hérodias,Hérodias,20
l',le,52
observait,observer,18
/.,/.,P
il,il,51
demanda,demander,19
:,:,p
-,-,p
“,“,p
qui,qui,52
est,être,17
ce,ce,52
/?,/?,P
elle,il,51
répondit,répondre,19
n',ne,60
en,en,52
rien,rien,52
savoir,savoir,14
-,-,p
et,et,82
s',se,51
en,en,52
alla,aller,19
soudainement,soudainement,60
apaisée,apaisé,31
/.,/.,P
le,le,71
Tétrarque,Tétrarque,20
était,être,18
attendu,attendre,12
sous,sous,81
les,le,71
portiques,portique,21
par,par,81
des,de,81
des,le,71
Galiléens,Galiléens,20
",",",",p
le,le,71
maître,maître,21
des,de,81
des,le,71
écritures,écriture,22
",",",",p
le,le,71
chef,chef,21
des,de,81
des,le,71
pâturages,pâturage,21
",",",",p
l',le,71
administrateur,administrateur,21
des,de,81
des,le,71
salines,saline,22
et,et,82
un,un,71
juif,juif,21
de,de,81
Babylone,Babylone,20
commandant,commander,13
ses,son,73
cavaliers,cavalier,21
/.,/.,P
tous,tout,52
le,le,52
saluèrent,saluer,19
d',de,81
une,un,71
acclamation,acclamation,22
/.,/.,P
puis,puis,60
il,il,51
disparut,disparaître,19
vers,vers,81
les,le,71
chambres,chambre,22
intérieures,intérieur,30
/.,/.,P
Phanuel,Phanuel,20
surgit,surgir,17
à,à,81
l',le,71
angle,angle,21
d',de,81
un,un,71
couloir,couloir,21
/.,/.,P
-,-,p
“,“,p
ah,ah,93
!,!,p
encore,encore,60
/?,/?,P
tu,tu,51
viens,venir,17
pour,pour,81
Iaokanann,Iaokanann,20
",",",",p
sans,sans,81
doute,doute,21
/?,/?,P
et,et,82
pour,pour,81
toi,toi,51
!,!,p
j',je,51
ai,avoir,17
à,à,81
t',tu,51
apprendre,apprendre,14
une,un,71
chose,chose,22
considérable,considérable,30
/.,/.,P
“,“,p
et,et,82
",",",",p
sans,sans,81
quitter,quitter,14
Antipas,Antipas,20
",",",",p
il,il,51
pénétra,pénétrer,19
derrière,derrière,81
lui,lui,51
dans,dans,81
un,un,71
appartement,appartement,21
obscur,obscur,30
/.,/.,P
le,le,71
jour,jour,21
y,y,52
tombait,tomber,18
par,par,81
un,un,71
grillage,grillage,21
",",",",p
se,se,51
développant,développer,13
tout,tout,60
du,de,81
du,le,71
long,long,21
",",",",p
sous,sous,81
la,le,71
corniche,corniche,22
/.,/.,P
les,le,71
murailles,muraille,22
étaient,être,18
peintes,peindre,12
d',de,81
une,un,71
couleur,couleur,22
grenat,grenat,30
",",",",p
presque,presque,60
noire,noir,30
/.,/.,P
dans,dans,81
le,le,71
fond,fond,21
",",",",p
s',se,51
étalait,étaler,18
un,un,71
lit,lit,21
d',de,81
ébène,ébène,21
",",",",p
avec,avec,81
des,de,81
des,le,71
sangles,sangle,22
en,en,81
peau,peau,22
de,de,81
boeuf,boeuf,21
/.,/.,P
un,un,71
bouclier,bouclier,21
d',de,81
or,or,21
",",",",p
au-dessus,au-dessus,60
",",",",p
luisait,luire,18
comme,comme,83
un,un,71
soleil,soleil,21
/.,/.,P
Antipas,Antipas,20
traversa,traverser,19
toute,tout,75
la,le,71
salle,salle,22
",",",",p
se,se,51
coucha,coucher,19
sur,sur,81
le,le,71
lit,lit,21
/.,/.,P
Phanuel,Phanuel,20
était,être,18
debout,debout,60
/.,/.,P
il,il,51
leva,lever,19
son,son,73
bras,bras,21
",",",",p
et,et,82
dans,dans,81
une,un,71
attitude,attitude,22
inspirée,inspiré,31
/.,/.,P
-,-,p
“,“,p
le,le,71
très,très,60
haut,haut,30
envoie,envoyer,17
par,par,81
moments,moment,21
un,un,52
de,de,81
ses,son,73
fils,fils,21
/.,/.,P
Iaokanann,Iaokanann,20
en,en,52
est,être,17
un,un,52
/.,/.,P
si,si,83
tu,tu,51
l',le,52
opprimes,opprimer,17
",",",",p
tu,tu,51
seras,être,15
châtié,châtier,12
/.,/.,P
-,-,p
“,“,p
c',ce,52
est,être,17
lui,lui,51
qui,qui,52
me,je,51
persécute,persécuter,17
!,!,p
s',se,51
écria,écrier,19
Antipas,Antipas,20
/.,/.,P
“,“,p
il,il,51
a,avoir,17
voulu,vouloir,12
de,de,81
moi,moi,51
une,un,71
action,action,22
impossible,impossible,30
/.,/.,P
depuis,depuis,81
ce,ce,74
temps,temps,21
là,là,60
",",",",p
il,il,51
me,je,51
déchire,déchirer,17
/.,/.,P
et,et,82
je,je,51
n',ne,60
étais,être,18
pas,pas,60
dur,dur,30
",",",",p
au,à,81
au,le,71
commencement,commencement,21
/!,/!,P
il,il,51
a,avoir,17
même,même,60
dépêché,dépêcher,12
de,de,81
Machaerous,Machaerous,20
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
bouleversent,bouleverser,17
mes,mon,73
provinces,province,22
/.,/.,P
malheur,malheur,21
à,à,81
sa,son,73
vie,vie,22
/!,/!,P
puisqu',puisque,83
il,il,51
m',je,51
attaque,attaquer,17
",",",",p
je,je,51
me,je,51
défends,défendre,17
/!,/!,P
ses,son,73
colères,colère,22
ont,avoir,17
trop,trop,60
de,de,81
violence,violence,22
“,“,p
",",",",p
répliqua,répliquer,19
Phanuel,Phanuel,20
/.,/.,P
“,“,p
n',ne,60
importe,importer,17
/!,/!,P
il,il,51
faut,falloir,17
le,le,52
délivrer,délivrer,14
/.,/.,P
“,“,p
-,-,p
“,“,p
on,on,51
ne,ne,60
relâche,relâcher,17
pas,pas,60
les,le,71
bêtes,bête,22
furieuses,furieux,30
!,!,p
dit,dire,19
le,le,71
Tétrarque,Tétrarque,20
/.,/.,P
l',le,71
Essénien,Essénien,20
répondit,répondre,19
/.,/.,P
-,-,p
“,“,p
ne,ne,60
t',tu,51
inquiète,inquiéter,17
plus,plus,60
/!,/!,P
il,il,51
ira,aller,15
chez,chez,81
les,le,71
Arabes,Arabe,20
",",",",p
les,le,71
Gaulois,Gaulois,20
",",",",p
les,le,71
Scythes,Scythe,20
/.,/.,P
son,son,73
oeuvre,oeuvre,22
doit,devoir,17
s',se,51
étendre,étendre,14
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
de,de,81
la,le,71
terre,terre,22
/!,/!,P
Antipas,Antipas,20
semblait,sembler,18
perdu,perdu,31
dans,dans,81
une,un,71
vision,vision,22
/.,/.,P
-,-,p
“,“,p
sa,son,73
puissance,puissance,22
est,être,17
forte,fort,30
/!,/!,P
malgré,malgré,81
moi,moi,51
",",",",p
je,je,51
l',le,52
aime,aimer,17
/.,/.,P
“,“,p
-,-,p
“,“,p
alors,alors,60
",",",",p
qu',que,83
il,il,51
soit,être,17
libre,libre,30
/!,/!,P
le,le,71
Tétrarque,Tétrarque,20
hocha,hocher,19
la,le,71
tête,tête,22
/.,/.,P
il,il,51
craignait,craindre,18
Hérodias,Hérodias,20
",",",",p
Mannaëi,Mannaëi,20
",",",",p
et,et,82
l',le,71
inconnu,inconnu,21
/.,/.,P
Phanuel,Phanuel,20
tâcha,tâcher,19
de,de,81
le,le,52
persuader,persuader,14
",",",",p
-,-,p
