12011
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-onzième extrait>,<>,<>
la,le,71
grosse,gros,30
femme,femme,22
se,se,51
levait,lever,18
",",",",p
allait,aller,18
saisir,saisir,14
les,le,71
plats,plat,21
entre,entre,81
les,le,71
mains,main,22
de,de,81
la,le,71
bonne,bonne,22
",",",",p
pour,pour,81
que,que,83
celle-ci,celui-ci,52
ne,ne,60
répandît,répandre,18
point,point,60
de,de,81
sauce,sauce,22
sur,sur,81
la,le,71
nappe,nappe,22
",",",",p
et,et,82
malgré,malgré,81
les,le,71
impatiences,impatience,22
de,de,81
son,son,73
mari,mari,21
",",",",p
faisait,faire,18
tout,tout,75
le,le,71
service,service,21
elle-même,lui-même,51
/.,/.,P
le,le,71
comte,comte,21
l',le,52
avait,avoir,18
félicitée,féliciter,12
sur,sur,81
sa,son,73
cuisine,cuisine,22
",",",",p
sur,sur,81
sa,son,73
maison,maison,22
",",",",p
sur,sur,81
sa,son,73
bonne,bon,30
grâce,grâce,22
",",",",p
et,et,82
il,il,51
l',le,52
avait,avoir,18
laissée,laisser,12
enflammée,enflammé,31
d',de,81
enthousiasme,enthousiasme,21
/.,/.,P
il,il,51
était,être,18
revenu,revenir,12
faire,faire,14
sa,son,73
visite,visite,22
de,de,81
digestion,digestion,22
",",",",p
s',se,51
était,être,18
laissé,laisser,12
inviter,inviter,14
de,de,81
nouveau,nouveau,21
",",",",p
et,et,82
il,il,51
entrait,entrer,18
maintenant,maintenant,60
sans,sans,81
cesse,cesse,22
chez,chez,81
madame,madame,22
Honorat,Honorat,20
",",",",p
où,où,60
les,le,71
petites,petit,30
Oriol,Oriol,20
venaient,venir,18
aussi,aussi,60
à,à,81
tout,tout,75
moment,moment,21
",",",",p
depuis,depuis,81
beaucoup,beaucoup,60
d',de,81
années,année,22
",",",",p
en,en,81
voisines,voisine,22
et,et,82
en,en,81
amies,amie,22
/.,/.,P
il,il,51
passait,passer,18
donc,donc,82
là,là,60
des,de,81
des,le,71
heures,heure,22
entre,entre,81
les,le,71
trois,trois,72
femmes,femme,22
",",",",p
aimable,aimable,30
pour,pour,81
les,le,71
deux,deux,72
soeurs,soeur,22
",",",",p
mais,mais,82
accentuant,accentuer,13
bien,bien,60
",",",",p
de,de,81
jour,jour,21
en,en,81
jour,jour,21
",",",",p
sa,son,73
préférence,préférence,22
marquée,marqué,31
pour,pour,81
Louise,Louise,20
/.,/.,P
la,le,71
jalousie,jalousie,22
née,né,31
entre,entre,81
elles,ils,51
",",",",p
dès,dès,81
qu',que,83
il,il,51
s',se,51
était,être,18
montré,montrer,12
galant,galant,30
auprès,auprès,60
de,de,81
Charlotte,Charlotte,20
",",",",p
prenait,prendre,18
des,de,81
des,le,71
allures,allure,22
de,de,81
guerre,guerre,22
haineuse,haineux,30
du,de,81
du,le,71
côté,côté,21
de,de,81
l',le,71
aînée,aînée,22
",",",",p
et,et,82
de,de,81
dédain,dédain,21
du,de,81
du,le,71
côté,côté,21
de,de,81
la,le,71
cadette,cadette,22
/.,/.,P
Louise,Louise,20
",",",",p
avec,avec,81
son,son,73
air,air,21
réservé,réservé,31
",",",",p
mettait,mettre,18
dans,dans,81
ses,son,73
réticences,réticence,22
et,et,82
ses,son,73
manières,manière,22
contenues,contenu,31
vis-à-vis,vis-à-vis,60
de,de,81
Gontran,Gontran,20
",",",",p
plus,plus,60
de,de,81
coquetteries,coquetterie,22
et,et,82
d',de,81
avances,avance,22
que,que,52
n',ne,60
avait,avoir,18
fait,faire,12
l',le,71
autre,autre,52
auparavant,auparavant,60
",",",",p
avec,avec,81
tout,tout,75
son,son,73
abandon,abandon,21
libre,libre,30
et,et,82
joyeux,joyeux,30
/.,/.,P
Charlotte,Charlotte,20
",",",",p
blessée,blessée,22
au,à,81
au,le,71
coeur,coeur,21
",",",",p
cachait,cacher,18
sa,son,73
peine,peine,22
par,par,81
orgueil,orgueil,21
",",",",p
semblait,sembler,18
ne,ne,60
rien,rien,52
voir,voir,14
",",",",p
ne,ne,60
rien,rien,52
comprendre,comprendre,14
",",",",p
et,et,82
continuait,continuer,18
à,à,81
venir,venir,14
avec,avec,81
une,un,71
belle,beau,30
indifférence,indifférence,22
apparente,apparenter,17
à,à,81
toutes,tout,75
ces,ce,74
rencontres,rencontre,22
chez,chez,81
madame,madame,22
Honorat,Honorat,20
/.,/.,P
elle,il,51
ne,ne,60
voulait,vouloir,18
point,point,60
rester,rester,14
chez,chez,81
elle,il,51
",",",",p
de,de,81
crainte,crainte,22
qu',que,83
on,on,51
pensât,penser,18
qu',que,83
elle,il,51
souffrait,souffrir,18
",",",",p
qu',que,83
elle,il,51
pleurait,pleurer,18
",",",",p
qu',que,83
elle,il,51
cédait,céder,18
la,le,71
place,place,22
à,à,81
sa,son,73
soeur,soeur,22
/.,/.,P
Gontran,Gontran,20
",",",",p
trop,trop,60
fier,fier,30
de,de,81
sa,son,73
malice,malice,22
pour,pour,81
la,le,52
cacher,cacher,14
",",",",p
n',ne,60
avait,avoir,18
pu,pouvoir,12
s',se,51
empêcher,empêcher,14
de,de,81
la,le,52
conter,conter,14
à,à,81
Paul,Paul,20
/.,/.,P
et,et,82
Paul,Paul,20
",",",",p
la,le,52
trouvant,trouver,13
drôle,drôle,30
",",",",p
s',se,51
était,être,18
mis,mettre,12
à,à,81
rire,rire,14
/.,/.,P
il,il,51
s',se,51
était,être,18
promis,promettre,12
d',de,81
ailleurs,ailleurs,60
",",",",p
depuis,depuis,81
les,le,71
phrases,phrase,22
ambiguës,ambigu,30
de,de,81
son,son,73
camarade,camarade,21
",",",",p
de,de,81
ne,ne,60
plus,plus,60
se,se,51
mêler,mêler,14
de,de,81
ses,son,73
affaires,affaire,22
",",",",p
et,et,82
souvent,souvent,60
il,il,51
se,se,51
demandait,demander,18
avec,avec,81
inquiétude,inquiétude,22
:,:,p
“,“,p
sait,savoir,17
il,il,51
quelque,quelque,75
chose,chose,22
de,de,81
Christiane,Christiane,20
et,et,82
de,de,81
moi,moi,51
/?,/?,P
il,il,51
connaissait,connaître,18
trop,trop,60
Gontran,Gontran,20
pour,pour,81
ne,ne,60
pas,pas,60
le,le,52
croire,croire,14
capable,capable,30
de,de,81
fermer,fermer,14
les,le,71
yeux,oeil,21
sur,sur,81
une,un,71
liaison,liaison,22
de,de,81
sa,son,73
soeur,soeur,22
/.,/.,P
mais,mais,82
alors,alors,60
",",",",p
comment,comment,60
n',ne,60
avait,avoir,18
il,il,51
pas,pas,60
laissé,laisser,12
comprendre,comprendre,14
plus,plus,60
tôt,tôt,60
qu',que,83
il,il,51
la,le,52
devinait,deviner,18
ou,ou,82
qu',que,83
il,il,51
la,le,52
savait,savoir,18
/?,/?,P
Gontran,Gontran,20
était,être,18
en,en,81
effet,effet,21
de,de,81
ceux,celui,52
pour,pour,81
qui,qui,52
toute,tout,75
femme,femme,22
du,de,81
du,le,71
monde,monde,21
doit,devoir,17
avoir,avoir,14
un,un,71
amant,amant,21
ou,ou,82
des,de,81
des,le,71
amants,amant,21
",",",",p
de,de,81
ceux,celui,52
pour,pour,81
qui,qui,52
la,le,71
famille,famille,22
n',ne,60
est,être,17
qu',que,83
une,un,71
société,société,22
de,de,81
secours,secours,21
mutuels,mutuel,30
",",",",p
pour,pour,81
qui,qui,52
la,le,71
morale,morale,22
est,être,17
une,un,71
attitude,attitude,22
indispensable,indispensable,30
pour,pour,81
voiler,voiler,14
les,le,71
goûts,goût,21
divers,divers,30
que,que,52
la,le,71
nature,nature,22
a,avoir,17
mis,mettre,12
en,en,81
nous,nous,51
",",",",p
et,et,82
pour,pour,81
qui,qui,52
l',le,71
honorabilité,honorabilité,22
mondaine,mondain,30
est,être,17
la,le,71
façade,façade,22
dont,dont,52
on,on,51
doit,devoir,17
cacher,cacher,14
les,le,71
aimables,aimable,30
vices,vice,21
/.,/.,P
s',si,83
il,il,51
avait,avoir,18
poussé,pousser,12
d',de,81
ailleurs,ailleurs,60
sa,son,73
petite,petit,30
soeur,soeur,22
à,à,81
épouser,épouser,14
Andermatt,Andermatt,20
",",",",p
n',ne,60
était,être,18
ce,ce,52
pas,pas,60
avec,avec,81
la,le,71
pensée,pensée,22
confuse,confus,30
",",",",p
sinon,sinon,83
bien,bien,60
arrêtée,arrêté,31
",",",",p
que,que,83
ce,ce,74
juif,juif,21
serait,être,16
exploité,exploiter,12
",",",",p
de,de,81
toutes,tout,75
les,le,71
façons,façon,22
",",",",p
par,par,81
toute,tout,75
la,le,71
maison,maison,22
",",",",p
et,et,82
il,il,51
aurait,avoir,16
peut-être,peut-être,60
autant,autant,60
méprisé,mépriser,12
Christiane,Christiane,20
d',de,81
être,être,14
fidèle,fidèle,30
à,à,81
ce,ce,74
mari,mari,21
de,de,81
convenance,convenance,22
et,et,82
d',de,81
utilité,utilité,22
",",",",p
qu',que,83
il,il,51
se,se,51
serait,être,16
méprisé,mépriser,12
lui-même,lui-même,51
de,de,81
ne,ne,60
pas,pas,60
puiser,puiser,14
dans,dans,81
la,le,71
bourse,bourse,22
de,de,81
son,son,73
beau-frère,beau-frère,21
/.,/.,P
Paul,Paul,20
songeait,songer,18
à,à,81
tout,tout,75
cela,cela,52
",",",",p
et,et,82
tout,tout,75
cela,cela,52
troublait,troubler,18
son,son,73
âme,âme,22
de,de,81
Don Quichotte,Don Quichotte,20
moderne,moderne,30
",",",",p
disposé,disposé,31
d',de,81
ailleurs,ailleurs,60
aux,à,81
aux,le,71
capitulations,capitulation,22
/.,/.,P
il,il,51
était,être,18
alors,alors,60
devenu,devenir,12
très,très,60
réservé,réserver,12
vis-à-vis,vis-à-vis,60
de,de,81
cet,ce,74
énigmatique,énigmatique,30
ami,ami,30
/.,/.,P
donc,donc,82
",",",",p
quand,quand,83
Gontran,Gontran,20
lui,lui,51
avait,avoir,18
dit,dire,12
l',le,71
usage,usage,21
qu',que,83
il,il,51
faisait,faire,18
de,de,81
madame,madame,22
Honorat,Honorat,20
",",",",p
Brétigny,Brétigny,20
s',se,51
était,être,18
mis,mettre,12
à,à,81
rire,rire,14
",",",",p
et,et,82
même,même,60
depuis,depuis,81
quelque,quelque,75
temps,temps,21
",",",",p
il,il,51
se,se,51
laissait,laisser,18
conduire,conduire,14
chez,chez,81
cette,ce,74
personne,personne,22
",",",",p
et,et,82
prenait,prendre,18
grand,grand,30
plaisir,plaisir,21
à,à,81
causer,causer,14
avec,avec,81
Charlotte,Charlotte,20
/.,/.,P
la,le,71
femme,femme,22
du,de,81
du,le,71
médecin,médecin,21
se,se,51
prêtait,prêter,18
",",",",p
de,de,81
la,le,71
meilleure,meilleur,30
grâce,grâce,22
du,de,81
du,le,71
monde,monde,21
",",",",p
au,à,81
au,le,71
rôle,rôle,21
qu',que,52
on,on,51
lui,lui,51
faisait,faire,18
jouer,jouer,14
",",",",p
offrait,offrir,18
du,de,81
du,le,71
thé,thé,21
",",",",p
vers,vers,81
cinq,cinq,72
heures,heure,22
",",",",p
comme,comme,83
les,le,71
dames,dame,22
de,de,81
Paris,Paris,20
",",",",p
avec,avec,81
de,de,81
petits,petit,30
gâteaux,gâteau,21
confectionnés,confectionné,31
de,de,81
sa,son,73
propre,propre,30
main,main,22
/.,/.,P
la,le,71
première,premier,72
fois,fois,22
que,que,83
Paul,Paul,20
pénétra,pénétrer,19
dans,dans,81
cette,ce,74
maison,maison,22
",",",",p
elle,il,51
le,le,52
reçut,recevoir,19
comme,comme,83
un,un,71
vieil,vieux,30
ami,ami,21
",",",",p
le,le,52
fit,faire,19
asseoir,asseoir,14
",",",",p
le,le,52
débarrassa,débarrasser,19
malgré,malgré,81
lui,lui,51
de,de,81
son,son,73
chapeau,chapeau,21
",",",",p
qu',que,83
elle,il,51
porta,porter,19
sur,sur,81
la,le,71
cheminée,cheminée,22
",",",",p
à,à,81
côté,côté,21
de,de,81
la,le,71
pendule,pendule,22
/.,/.,P
puis,puis,60
",",",",p
empressée,empressé,31
",",",",p
remuante,remuant,30
",",",",p
allant,aller,13
de,de,81
l',le,71
un,un,52
à,à,81
l',le,71
autre,autre,52
",",",",p
énorme,énorme,30
et,et,82
le,le,71
ventre,ventre,21
en,en,81
avant,avant,21
",",",",p
elle,il,51
demandait,demander,18
:,:,p
“,“,p
êtes,être,17
vous,vous,51
disposés,disposer,12
pour,pour,81
la,le,71
dînette,dînette,22
/?,/?,P
Gontran,Gontran,20
disait,dire,18
des,de,81
des,le,71
drôleries,drôlerie,22
",",",",p
plaisantait,plaisanter,18
",",",",p
riait,rire,18
avec,avec,81
une,un,71
aisance,aisance,22
complète,complet,30
/.,/.,P
il,il,51
entraîna,entraîner,19
quelques,quelque,75
instants,instant,21
Louise,Louise,20
dans,dans,81
l',le,71
embrasure,embrasure,22
d',de,81
une,un,71
fenêtre,fenêtre,22
",",",",p
sous,sous,81
l',le,71
oeil,oeil,21
agité,agité,31
de,de,81
Charlotte,Charlotte,20
/.,/.,P
madame,madame,22
Honorat,Honorat,20
",",",",p
qui,qui,52
causait,causer,18
avec,avec,81
Paul,Paul,20
",",",",p
lui,lui,51
dit,dire,19
",",",",p
d',de,81
un,un,71
ton,ton,21
maternel,maternel,30
:,:,p
“,“,p
ces,ce,74
chers,cher,30
enfants,enfant,21
",",",",p
ils,ils,51
viennent,venir,17
ici,ici,60
s',se,51
entretenir,entretenir,14
quelques,quelque,75
minutes,minute,22
/.,/.,P
c',ce,52
est,être,17
bien,bien,60
innocent,innocent,30
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
monsieur,monsieur,21
Brétigny,Brétigny,20
/?,/?,P
oh,oh,93
!,!,p
très,très,60
innocent,innocent,30
",",",",p
madame,madame,22
/.,/.,P
“,“,p
quand,quand,83
il,il,51
revint,revenir,19
",",",",p
elle,il,51
l',le,52
appela,appeler,19
familièrement,familièrement,60
“,“,p
monsieur,monsieur,21
Paul,Paul,20
“,“,p
",",",",p
le,le,71
traitant,traitant,30
un,un,71
peu,peu,60
comme,comme,83
un,un,71
compère,compère,21
/.,/.,P
et,et,82
depuis,depuis,81
lors,lors,60
",",",",p
Gontran,Gontran,20
racontait,raconter,18
avec,avec,81
sa,son,73
verve,verve,22
gouailleuse,gouailleur,30
toutes,tout,75
les,le,71
complaisances,complaisance,22
de,de,81
la,le,71
dame,dame,22
",",",",p
à,à,81
qui,qui,52
il,il,51
avait,avoir,18
dit,dire,12
",",",",p
la,le,71
veille,veille,22
:,:,p
“,“,p
pourquoi,pourquoi,60
n',ne,60
allez,aller,17
vous,vous,51
jamais,jamais,60
vous,vous,51
promener,promener,14
avec,avec,81
ces,ce,74
demoiselles,demoiselle,22
",",",",p
sur,sur,81
la,le,71
route,route,22
de,de,81
sans,sans,81
souci,souci,21
/?,/?,P
mais,mais,82
nous,nous,51
irons,aller,15
",",",",p
monsieur,monsieur,21
le,le,71
Comte,Comte,20
",",",",p
nous,nous,51
irons,aller,15
/.,/.,P
-,-,p
demain,demain,60
",",",",p
vers,vers,81
trois,trois,72
heures,heure,22
",",",",p
par,par,81
exemple,exemple,21
/.,/.,P
-,-,p
demain,demain,60
",",",",p
vers,vers,81
trois,trois,72
heures,heure,22
",",",",p
monsieur,monsieur,21
le,le,71
Comte,Comte,20
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
tout,tout,60
à,à,81
fait,fait,21
aimable,aimable,30
",",",",p
madame,madame,22
Honorat,Honorat,20
/.,/.,P
-,-,p
à,à,81
votre,votre,73
service,service,21
",",",",p
monsieur,monsieur,21
le,le,71
Comte,Comte,20
/.,/.,P
“,“,p
et,et,82
Gontran,Gontran,20
expliquait,expliquer,18
à,à,81
Paul,Paul,20
:,:,p
“,“,p
tu,tu,51
comprends,comprendre,17
que,que,83
dans,dans,81
ce,ce,74
salon,salon,21
je,je,51
ne,ne,60
puis,pouvoir,17
rien,rien,52
dire,dire,14
d',de,81
un,un,71
peu,peu,60
pressant,pressant,30
à,à,81
l',le,71
aînée,aînée,22
devant,devant,81
la,le,71
cadette,cadette,22
/.,/.,P
mais,mais,82
dans,dans,81
le,le,71
bois,bois,21
je,je,51
pars,partir,17
en,en,81
avant,avant,21
ou,ou,82
je,je,51
reste,rester,17
en,en,81
arrière,arrière,21
avec,avec,81
Louise,Louise,20
/!,/!,P
alors,alors,60
tu,tu,51
viens,venir,17
/?,/?,P
oui,oui,60
",",",",p
je,je,51
veux,vouloir,17
bien,bien,60
/.,/.,P
-,-,p
allons,aller,17
/.,/.,P
“,“,p
ils,ils,51
se,se,51
levèrent,lever,19
et,et,82
partirent,partir,19
tout,tout,60
doucement,doucement,60
",",",",p
par,par,81
la,le,71
grand'route,grand-route,22
;,;,p
puis,puis,60
",",",",p
ayant,avoir,13
traversé,traverser,12
La Roche Pradière,La Roche Pradière,20
",",",",p
ils,ils,51
tournèrent,tourner,19
à,à,81
gauche,gauche,22
et,et,82
descendirent,descendre,19
dans,dans,81
le,le,71
vallon,vallon,21
boisé,boisé,31
à,à,81
travers,travers,21
les,le,71
buissons,buisson,21
emmêlés,emmêlé,31
/.,/.,P
quand,quand,83
ils,ils,51
eurent,avoir,19
passé,passer,12
la,le,71
petite,petit,30
rivière,rivière,22
",",",",p
ils,ils,51
s',se,51
assirent,asseoir,19
au,à,81
au,le,71
bord,bord,21
du,de,81
du,le,71
sentier,sentier,21
",",",",p
pour,pour,81
attendre,attendre,14
/.,/.,P
les,le,71
trois,trois,72
femmes,femme,22
arrivèrent,arriver,19
bientôt,bientôt,60
",",",",p
à,à,81
la,le,71
file,file,22
",",",",p
Louise,Louise,20
en,en,81
avant,avant,21
et,et,82
madame,madame,22
Honorat,Honorat,20
derrière,derrière,81
/.,/.,P
on,on,51
eut,avoir,19
l',le,71
air,air,21
surpris,surpris,31
",",",",p
de,de,81
part,part,22
et,et,82
d',de,81
autre,autre,52
",",",",p
de,de,81
se,se,51
rencontrer,rencontrer,14
/.,/.,P
Gontran,Gontran,20
s',se,51
écriait,écrier,18
:,:,p
“,“,p
tiens,tenir,17
",",",",p
quelle,quel,75
bonne,bon,30
idée,idée,22
vous,vous,51
avez,avoir,17
eue,avoir,12
de,de,81
venir,venir,14
par,par,81
ici,ici,60
/!,/!,P
la,le,71
femme,femme,22
du,de,81
du,le,71
médecin,médecin,21
répondit,répondre,19
:,:,p
“,“,p
voilà,voilà,81
",",",",p
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
l',le,52
ai,avoir,17
eue,avoir,12
",",",",p
cette,ce,74
idée,idée,22
là,là,60
/!,/!,P
et,et,82
on,on,51
continua,continuer,19
la,le,71
promenade,promenade,22
/.,/.,P
Louise,Louise,20
et,et,82
Gontran,Gontran,20
hâtaient,hâter,18
le,le,71
pas,pas,21
peu,peu,60
à,à,81
peu,peu,60
",",",",p
prenaient,prendre,18
de,de,81
l',le,71
avance,avance,22
",",",",p
s',se,51
écartaient,écarter,18
tellement,tellement,60
qu',que,83
on,on,51
les,le,52
perdait,perdre,18
de,de,81
vue,vue,22
aux,à,81
aux,le,71
détours,détour,21
de,de,81
l',le,71
étroit,étroit,30
chemin,chemin,21
/.,/.,P
la,le,71
grosse,gros,30
dame,dame,22
qui,qui,52
soufflait,souffler,18
murmura,murmurer,19
en,en,81
leur,leur,52
jetant,jeter,13
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
indulgent,indulgent,30
:,:,p
“,“,p
bah,bah,93
!,!,p
c',ce,52
est,être,17
jeune,jeune,30
",",",",p
ça,ça,52
a,avoir,17
des,de,81
des,le,71
jambes,jambe,22
/.,/.,P
moi,moi,51
",",",",p
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
les,le,52
suivre,suivre,14
/.,/.,P
“,“,p
Charlotte,Charlotte,20
s',se,51
écria,écrier,19
:,:,p
“,“,p
attendez,attendre,17
",",",",p
je,je,51
vais,aller,17
les,le,52
rappeler,rappeler,14
/.,/.,P
“,“,p
elle,il,51
s',se,51
élançait,élancer,18
/.,/.,P
la,le,71
femme,femme,22
du,de,81
du,le,71
médecin,médecin,21
la,le,52
retint,retenir,19
:,:,p
“,“,p
ne,ne,60
les,le,52
gêne,gêner,17
pas,pas,60
",",",",p
ma,mon,73
petite,petite,22
",",",",p
s',si,83
ils,ils,51
veulent,vouloir,17
causer,causer,14
/!,/!,P
ça,ça,52
n',ne,60
est,être,17
pas,pas,60
aimable,aimable,30
de,de,81
les,le,52
déranger,déranger,14
",",",",p
ils,ils,51
reviendront,revenir,15
bien,bien,60
tout,tout,52
seuls,seul,30
/.,/.,P
“,“,p
et,et,82
elle,il,51
s',se,51
assit,asseoir,19
sur,sur,81
l',le,71
herbe,herbe,22
",",",",p
à,à,81
l',le,71
ombre,ombre,22
d',de,81
un,un,71
pin,pin,21
",",",",p
en,en,81
s',se,51
éventant,éventer,13
avec,avec,81
son,son,73
mouchoir,mouchoir,21
/.,/.,P
Charlotte,Charlotte,20
jeta,jeter,19
sur,sur,81
Paul,Paul,20
un,un,71
regard,regard,21
de,de,81
détresse,détresse,22
",",",",p
un,un,71
regard,regard,21
implorant,implorant,30
et,et,82
désolé,désolé,31
/.,/.,P
il,il,51
comprit,comprendre,19
et,et,82
dit,dire,19
:,:,p
“,“,p
eh,eh,93
bien,bien,60
",",",",p
mademoiselle,mademoiselle,22
",",",",p
nous,nous,51
allons,aller,17
laisser,laisser,14
madame,madame,22
se,se,51
reposer,reposer,14
",",",",p
et,et,82
nous,nous,51
rejoindrons,rejoindre,15
votre,votre,73
soeur,soeur,22
",",",",p
nous,nous,51
/.,/.,P
“,“,p
elle,il,51
répondit,répondre,19
avec,avec,81
élan,élan,21
:,:,p
“,“,p
oh,oh,93
!,!,p
oui,oui,60
",",",",p
monsieur,monsieur,21
/.,/.,P
“,“,p
madame,madame,22
Honorat,Honorat,20
ne,ne,60
fit,faire,19
aucune,aucun,75
objection,objection,22
:,:,p
“,“,p
allez,aller,17
",",",",p
mes,mon,73
enfants,enfant,21
",",",",p
allez,aller,17
/.,/.,P
moi,moi,51
",",",",p
je,je,51
vous,vous,51
attends,attendre,17
ici,ici,60
/.,/.,P
ne,ne,60
soyez,être,17
pas,pas,60
trop,trop,60
longtemps,longtemps,60
/.,/.,P
“,“,p
et,et,82
ils,ils,51
s',se,51
éloignèrent,éloigner,19
à,à,81
leur,leur,73
tour,tour,21
/.,/.,P
ils,ils,51
marchèrent,marcher,19
vite,vite,60
",",",",p
d'abord,d'abord,60
",",",",p
ne,ne,60
voyant,voir,13
plus,plus,60
les,le,71
deux,deux,72
autres,autre,52
",",",",p
et,et,82
espérant,espérer,13
les,le,52
rejoindre,rejoindre,14
;,;,p
puis,puis,60
",",",",p
après,après,81
quelques,quelque,75
minutes,minute,22
",",",",p
ils,ils,51
pensèrent,penser,19
que,que,83
Louise,Louise,20
et,et,82
Gontran,Gontran,20
avaient,avoir,18
dû,devoir,12
tourner,tourner,14
soit,soit,82
à,à,81
gauche,gauche,22
",",",",p
soit,soit,82
à,à,81
droite,droite,22
",",",",p
à,à,81
travers,travers,21
bois,bois,21
",",",",p
et,et,82
Charlotte,Charlotte,20
appela,appeler,19
",",",",p
d',de,81
une,un,71
voix,voix,22
tremblante,tremblant,30
et,et,82
contenue,contenu,31
/.,/.,P
personne,personne,52
ne,ne,60
lui,lui,51
répondit,répondre,19
/.,/.,P
elle,il,51
murmura,murmurer,19
:,:,p
“,“,p
oh,oh,93
!,!,p
mon,mon,73
dieu,dieu,21
",",",",p
où,où,60
sont,être,17
ils,ils,51
/?,/?,P
Paul,Paul,20
se,se,51
sentit,sentir,19
envahi,envahi,31
de,de,81
nouveau,nouveau,21
par,par,81
cette,ce,74
pitié,pitié,22
profonde,profond,30
",",",",p
par,par,81
cet,ce,74
attendrissement,attendrissement,21
douloureux,douloureux,30
qui,qui,52
l',le,52
avait,avoir,18
saisi,saisir,12
déjà,déjà,60
au,à,81
au,le,71
bord,bord,21
du,de,81
du,le,71
cratère,cratère,21
de,de,81
la,le,71
Nugère,Nugère,20
/.,/.,P
il,il,51
ne,ne,60
savait,savoir,18
que,que,83
dire,dire,14
à,à,81
cette,ce,74
enfant,enfant,21
désolée,désolé,31
/.,/.,P
il,il,51
avait,avoir,18
envie,envie,22
",",",",p
une,un,71
envie,envie,22
paternelle,paternel,30
et,et,82
violente,violent,30
",",",",p
de,de,81
la,le,52
prendre,prendre,14
dans,dans,81
ses,son,73
bras,bras,21
",",",",p
de,de,81
l',le,52
embrasser,embrasser,14
",",",",p
de,de,81
trouver,trouver,14
pour,pour,81
elle,il,51
des,de,81
des,le,71
choses,chose,22
douces,doux,30
et,et,82
consolantes,consolant,30
/.,/.,P
lesquelles,lequel,52
/?,/?,P
elle,il,51
se,se,51
tournait,tourner,18
de,de,81
tous,tout,75
les,le,71
côtés,côté,21
",",",",p
fouillant,fouiller,13
les,le,71
branches,branche,22
de,de,81
ses,son,73
yeux,oeil,21
affolés,affolé,31
",",",",p
écoutant,écouter,13
les,le,71
moindres,moindre,30
bruits,bruit,21
",",",",p
balbutiant,balbutier,13
:,:,p
“,“,p
je,je,51
crois,croire,17
qu',que,83
ils,ils,51
sont,être,17
par,par,81
ici,ici,60
/…,/…,P
non,non,60
",",",",p
par là,par-là,60
/…,/…,P
n',ne,60
entendez,entendre,17
vous,vous,51
rien,rien,52
?,?,p
/…,/…,P
-,-,p
non,non,60
",",",",p
mademoiselle,mademoiselle,22
",",",",p
je,je,51
n',ne,60
entends,entendre,17
rien,rien,52
/.,/.,P
le,le,71
mieux,mieux,60
est,être,17
de,de,81
les,le,52
attendre,attendre,14
ici,ici,60
/.,/.,P
-,-,p
oh,oh,93
!,!,p
mon,mon,73
dieu,dieu,21
/…,/…,P
non,non,60
/…,/…,P
il,il,51
faut,falloir,17
les,le,52
trouver,trouver,14
/…,/…,P
“,“,p
il,il,51
hésita,hésiter,19
quelques,quelque,75
secondes,seconde,22
",",",",p
puis,puis,60
il,il,51
lui,lui,51
dit,dire,19
",",",",p
très,très,60
bas,bas,30
:,:,p
“,“,p
cela,cela,52
vous,vous,51
fait,faire,17
donc,donc,82
beaucoup,beaucoup,60
de,de,81
peine,peine,22
/?,/?,P
elle,il,51
leva,lever,19
sur,sur,81
lui,lui,51
un,un,71
regard,regard,21
éperdu,éperdu,30
où,où,60
les,le,71
larmes,larme,22
commençaient,commencer,18
à,à,81
poindre,poindre,14
",",",",p
couvrant,couvrir,13
l',le,71
oeil,oeil,21
d',de,81
un,un,71
léger,léger,30
nuage,nuage,21
d',de,81
eau,eau,22
transparente,transparent,30
encore,encore,60
retenu,retenu,31
par,par,81
les,le,71
paupières,paupière,22
bordées,bordé,31
de,de,81
longs,long,30
cils,cil,21
bruns,brun,30
/.,/.,P
elle,il,51
voulait,vouloir,18
parler,parler,14
",",",",p
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
",",",",p
n',ne,60
osait,oser,18
pas,pas,60
;,;,p
et,et,82
pourtant,pourtant,60
son,son,73
coeur,coeur,21
gonflé,gonflé,31
",",",",p
fermé,fermé,31
",",",",p
si,si,83
plein,plein,81
de,de,81
chagrins,chagrin,21
",",",",p
avait,avoir,18
tant,tant,60
besoin,besoin,21
de,de,81
s',se,51
épandre,épandre,14
/.,/.,P
il,il,51
reprit,reprendre,19
:,:,p
“,“,p
vous,vous,51
l',le,52
aimiez,aimer,18
donc,donc,82
bien,bien,60
fort,fort,60
/…,/…,P
il,il,51
ne,ne,60
mérite,mériter,17
pas,pas,60
votre,votre,73
amour,amour,21
",",",",p
allez,aller,17
/.,/.,P
“,“,p
elle,il,51
ne,ne,60
se,se,51
put,pouvoir,19
contenir,contenir,14
plus,plus,60
longtemps,longtemps,60
",",",",p
et,et,82
",",",",p
jetant,jeter,13
ses,son,73
mains,main,22
sur,sur,81
ses,son,73
yeux,oeil,21
