-
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-cinquième extrait>,<>,<>
de,de,81
vengeance,vengeance,22
en,en,81
cette,ce,74
affaire,affaire,22
",",",",p
et,et,82
si,si,83
vous,vous,51
montriez,montrer,17
des,de,81
des,le,71
intentions,intention,22
trop,trop,60
hostiles,hostile,30
",",",",p
je,je,51
serais,être,16
perdue,perdre,12
/.,/.,P
il,il,51
vous,vous,51
connaît,connaître,17
",",",",p
il,il,51
a,avoir,17
trouvé,trouver,12
tout,tout,60
naturel,naturel,30
que,que,83
",",",",p
sous,sous,81
votre,votre,73
inspiration,inspiration,22
",",",",p
je,je,51
m',je,51
inquiétasse,inquiéter,18
de,de,81
ma,mon,73
fortune,fortune,22
;,;,p
mais,mais,82
",",",",p
je,je,51
vous,vous,51
le,le,52
jure,jurer,17
",",",",p
il,il,51
la,le,52
tient,tenir,17
en,en,81
ses,son,73
mains,main,22
",",",",p
et,et,82
a,avoir,17
voulu,vouloir,12
la,le,52
tenir,tenir,14
/.,/.,P
il,il,51
est,être,17
homme,homme,21
à,à,81
s',se,51
enfuir,enfuir,14
avec,avec,81
tous,tout,75
les,le,71
capitaux,capital,21
",",",",p
et,et,82
à,à,81
nous,nous,51
laisser,laisser,14
là,là,60
",",",",p
le,le,71
scélérat,scélérat,21
/!,/!,P
il,il,51
sait,savoir,17
bien,bien,60
que,que,83
je,je,51
ne,ne,60
déshonorerai,déshonorer,15
pas,pas,60
moi-même,moi-même,51
le,le,71
nom,nom,21
que,que,52
je,je,51
porte,porter,17
en,en,81
le,le,52
poursuivant,poursuivre,13
/.,/.,P
il,il,51
est,être,17
à,à,81
la,le,71
fois,fois,22
fort,fort,60
et,et,82
faible,faible,30
/.,/.,P
j',je,51
ai,avoir,17
bien,bien,60
tout,tout,52
examiné,examiner,12
/.,/.,P
si,si,83
nous,nous,51
le,le,52
poussons,pousser,17
à,à,81
bout,bout,21
",",",",p
je,je,51
suis,être,17
ruinée,ruiner,12
/.,/.,P
-,-,p
mais,mais,82
c',ce,52
est,être,17
donc,donc,82
un,un,71
fripon,fripon,21
/?,/?,P
eh,eh,93
bien,bien,60
!,!,p
oui,oui,60
",",",",p
mon,mon,73
père,père,21
",",",",p
dit,dire,19
elle,il,51
en,en,81
se,se,51
jetant,jeter,13
sur,sur,81
une,un,71
chaise,chaise,22
en,en,81
pleurant,pleurer,13
/.,/.,P
je,je,51
ne,ne,60
voulais,vouloir,18
pas,pas,60
vous,vous,51
l',le,52
avouer,avouer,14
pour,pour,81
vous,vous,51
épargner,épargner,14
le,le,71
chagrin,chagrin,21
de,de,81
m',je,51
avoir,avoir,14
mariée,marier,12
à,à,81
un,un,71
homme,homme,21
de,de,81
cette,ce,74
espèce,espèce,22
là,là,60
/!,/!,P
moeurs,moeurs,22
secrètes,secret,30
et,et,82
conscience,conscience,22
",",",",p
l',le,71
âme,âme,22
et,et,82
le,le,71
corps,corps,21
",",",",p
tout,tout,52
en,en,81
lui,lui,51
s',se,51
accorde,accorder,17
!,!,p
c',ce,52
est,être,17
effroyable,effroyable,30
:,:,p
je,je,51
le,le,52
hais,haïr,17
et,et,82
le,le,52
méprise,mépriser,17
/.,/.,P
oui,oui,60
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
plus,plus,60
estimer,estimer,14
ce,ce,74
vil,vil,30
Nucingen,Nucingen,20
après,après,81
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
m',je,51
a,avoir,17
dit,dire,12
/.,/.,P
un,un,71
homme,homme,21
capable,capable,30
de,de,81
se,se,51
jeter,jeter,14
dans,dans,81
les,le,71
combinaisons,combinaison,22
commerciales,commercial,30
dont,dont,52
il,il,51
m',je,51
a,avoir,17
parlé,parler,12
n',ne,60
a,avoir,17
pas,pas,60
la,le,71
moindre,moindre,30
délicatesse,délicatesse,22
",",",",p
et,et,82
mes,mon,73
craintes,crainte,22
viennent,venir,17
de,de,81
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
lu,lire,12
parfaitement,parfaitement,60
dans,dans,81
son,son,73
âme,âme,22
/.,/.,P
il,il,51
m',je,51
a,avoir,17
nettement,nettement,60
proposé,proposer,12
",",",",p
lui,lui,51
",",",",p
mon,mon,73
mari,mari,21
",",",",p
la,le,71
liberté,liberté,22
",",",",p
vous,vous,51
savez,savoir,17
ce,ce,52
que,que,52
cela,cela,52
signifie,signifier,17
?,?,p
si,si,83
je,je,51
voulais,vouloir,18
être,être,14
",",",",p
en,en,81
cas,cas,21
de,de,81
malheur,malheur,21
",",",",p
un,un,71
instrument,instrument,21
entre,entre,81
ses,son,73
mains,main,22
",",",",p
enfin,enfin,60
si,si,83
je,je,51
voulais,vouloir,18
lui,lui,51
servir,servir,14
de,de,81
prête-nom,prête-nom,21
/.,/.,P
-,-,p
mais,mais,82
les,le,71
lois,loi,22
sont,être,17
là,là,60
/!,/!,P
mais,mais,82
il,il,51
y,y,52
a,avoir,17
une,un,71
place,place,22
de,de,81
grève,grève,22
pour,pour,81
les,le,71
gendres,gendre,21
de,de,81
cette,ce,74
espèce,espèce,22
là,là,60
",",",",p
s',se,51
écria,écrier,19
le,le,71
père,père,21
Goriot,Goriot,20
;,;,p
mais,mais,82
je,je,51
le,le,52
guillotinerais,guillotiner,16
moi-même,moi-même,51
s',si,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
de,de,81
bourreau,bourreau,21
/.,/.,P
-,-,p
non,non,60
",",",",p
mon,mon,73
père,père,21
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
lois,loi,22
contre,contre,81
lui,lui,51
/.,/.,P
écoutez,écouter,17
en,en,81
deux,deux,72
mots,mot,21
son,son,73
langage,langage,21
",",",",p
dégagé,dégagé,31
des,de,81
des,le,71
circonlocutions,circonlocution,22
dont,dont,52
il,il,51
l',le,52
enveloppait,envelopper,18
:,:,p
“,“,p
ou,ou,82
tout,tout,52
est,être,17
perdu,perdre,12
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
un,un,71
liard,liard,21
",",",",p
vous,vous,51
êtes,être,17
ruinée,ruiner,12
;,;,p
car,car,82
je,je,51
ne,ne,60
saurais,savoir,16
choisir,choisir,14
pour,pour,81
complice,complice,30
une,un,71
autre,autre,75
personne,personne,22
que,que,83
vous,vous,51
;,;,p
ou,ou,82
vous,vous,51
me,je,51
laisserez,laisser,15
conduire,conduire,14
à,à,81
bien,bien,21
mes,mon,73
entreprises,entreprise,22
/.,/.,P
“,“,p
est,être,17
ce,ce,52
clair,clair,30
/?,/?,P
il,il,51
tient,tenir,17
encore,encore,60
à,à,81
moi,moi,51
/.,/.,P
ma,mon,73
probité,probité,22
de,de,81
femme,femme,22
le,le,52
rassure,rassurer,17
;,;,p
il,il,51
sait,savoir,17
que,que,83
je,je,51
lui,lui,51
laisserai,laisser,15
sa,son,73
fortune,fortune,22
",",",",p
et,et,82
me,je,51
contenterai,contenter,15
de,de,81
la,le,71
mienne,mien,52
/.,/.,P
c',ce,52
est,être,17
une,un,71
association,association,22
improbe,improbe,30
et,et,82
voleuse,voleur,30
à,à,81
laquelle,lequel,52
je,je,51
dois,devoir,17
consentir,consentir,14
sous,sous,81
peine,peine,22
d',de,81
être,être,14
ruinée,ruiner,12
/.,/.,P
il,il,51
m',je,51
achète,acheter,17
ma,mon,73
conscience,conscience,22
et,et,82
la,le,52
paye,payer,17
en,en,81
me,je,51
laissant,laisser,13
être,être,14
à,à,81
mon,mon,73
aise,aise,22
la,le,71
femme,femme,22
d',de,81
Eugène,Eugène,20
/.,/.,P
“,“,p
je,je,51
te,tu,51
permets,permettre,17
de,de,81
commettre,commettre,14
des,de,81
des,le,71
fautes,faute,22
",",",",p
laisse,laisser,17
moi,moi,51
faire,faire,14
des,de,81
des,le,71
crimes,crime,21
en,en,81
ruinant,ruiner,13
de,de,81
pauvres,pauvre,30
gens,gens,21
/!,/!,P
ce,ce,74
langage,langage,21
est,être,17
il,il,51
encore,encore,60
assez,assez,60
clair,clair,30
/?,/?,P
savez,savoir,17
vous,vous,51
ce,ce,52
qu',que,52
il,il,51
nomme,nommer,17
faire,faire,14
des,de,81
des,le,71
opérations,opération,22
/?,/?,P
il,il,51
achète,acheter,17
des,de,81
des,le,71
terrains,terrain,21
nus,nu,30
sous,sous,81
son,son,73
nom,nom,21
",",",",p
puis,puis,60
il,il,51
y,y,52
fait,faire,17
bâtir,bâtir,14
des,de,81
des,le,71
maisons,maison,22
par,par,81
des,de,81
des,le,71
hommes,homme,21
de,de,81
paille,paille,22
/.,/.,P
ces,ce,74
hommes,homme,21
concluent,conclure,17
les,le,71
marchés,marché,21
pour,pour,81
les,le,71
bâtisses,bâtisse,22
avec,avec,81
tous,tout,75
les,le,71
entrepreneurs,entrepreneur,21
",",",",p
qu',que,52
ils,ils,51
payent,payer,17
en,en,81
effets,effet,21
à,à,81
longs,long,30
termes,terme,21
",",",",p
et,et,82
consentent,consentir,17
",",",",p
moyennant,moyennant,81
une,un,71
légère,léger,30
somme,somme,22
",",",",p
à,à,81
donner,donner,14
quittance,quittance,22
à,à,81
mon,mon,73
mari,mari,21
",",",",p
qui,qui,52
est,être,17
alors,alors,60
possesseur,possesseur,21
des,de,81
des,le,71
maisons,maison,22
",",",",p
tandis que,tandis que,83
ces,ce,74
hommes,homme,21
s',se,51
acquittent,acquitter,17
avec,avec,81
les,le,71
entrepreneurs,entrepreneur,21
dupés,dupé,31
en,en,81
faisant,faire,13
faillite,faillite,22
/.,/.,P
le,le,71
nom,nom,21
de,de,81
la,le,71
maison,maison,22
Nucingen,Nucingen,20
a,avoir,17
servi,servir,12
à,à,81
éblouir,éblouir,14
les,le,71
pauvres,pauvre,30
constructeurs,constructeur,21
/.,/.,P
j',je,51
ai,avoir,17
compris,comprendre,12
cela,cela,52
/.,/.,P
j',je,51
ai,avoir,17
compris,comprendre,12
aussi,aussi,60
que,que,83
",",",",p
pour,pour,81
prouver,prouver,14
",",",",p
en,en,81
cas,cas,21
de,de,81
besoin,besoin,21
",",",",p
le,le,71
paiement,paiement,21
de,de,81
sommes,somme,22
énormes,énorme,30
",",",",p
Nucingen,Nucingen,20
a,avoir,17
envoyé,envoyer,12
des,de,81
des,le,71
valeurs,valeur,22
considérables,considérable,30
à,à,81
Amsterdam,Amsterdam,20
",",",",p
à,à,81
Londres,Londres,20
",",",",p
à,à,81
Naples,Naples,20
",",",",p
à,à,81
Vienne,Vienne,20
/.,/.,P
comment,comment,60
les,le,52
saisirions,saisir,16
nous,nous,51
/?,/?,P
Eugène,Eugène,20
entendit,entendre,19
le,le,71
son,son,21
lourd,lourd,30
des,de,81
des,le,71
genoux,genou,21
du,de,81
du,le,71
père,père,21
Goriot,Goriot,20
",",",",p
qui,qui,52
tomba,tomber,19
sans,sans,81
doute,doute,21
sur,sur,81
le,le,71
carreau,carreau,21
de,de,81
sa,son,73
chambre,chambre,22
/.,/.,P
-,-,p
mon,mon,73
dieu,dieu,21
",",",",p
que,que,52
t',tu,51
ai,avoir,17
je,je,51
fait,faire,12
/?,/?,P
ma,mon,73
fille,fille,22
livrée,livré,31
à,à,81
ce,ce,74
misérable,misérable,21
",",",",p
il,il,51
exigera,exiger,15
tout,tout,52
d',de,81
elle,il,51
s',si,83
il,il,51
le,le,52
veut,vouloir,17
/.,/.,P
pardon,pardon,21
",",",",p
ma,mon,73
fille,fille,22
!,!,p
cria,crier,19
le,le,71
vieillard,vieillard,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
si,si,83
je,je,51
suis,être,17
dans,dans,81
un,un,71
abîme,abîme,21
",",",",p
il,il,51
y,y,52
a,avoir,17
peut-être,peut-être,60
de,de,81
votre,votre,73
faute,faute,22
",",",",p
dit,dire,19
Delphine,Delphine,20
/.,/.,P
nous,nous,51
avons,avoir,17
si,si,83
peu,peu,60
de,de,81
raison,raison,22
quand,quand,83
nous,nous,51
nous,nous,51
marions,marier,17
/!,/!,P
connaissons,connaître,17
nous,nous,51
le,le,71
monde,monde,21
",",",",p
les,le,71
affaires,affaire,22
",",",",p
les,le,71
hommes,homme,21
",",",",p
les,le,71
moeurs,moeurs,22
/?,/?,P
les,le,71
pères,père,21
devraient,devoir,16
penser,penser,14
pour,pour,81
nous,nous,51
/.,/.,P
cher,cher,30
père,père,21
",",",",p
je,je,51
ne,ne,60
vous,vous,51
reproche,reprocher,17
rien,rien,52
",",",",p
pardonnez,pardonner,17
moi,moi,51
ce,ce,74
mot,mot,21
/.,/.,P
en,en,81
ceci,ceci,52
la,le,71
faute,faute,22
est,être,17
toute,tout,52
à,à,81
moi,moi,51
/.,/.,P
non,non,60
",",",",p
ne,ne,60
pleurez,pleurer,17
point,point,60
",",",",p
papa,papa,21
",",",",p
dit,dire,19
elle,il,51
en,en,81
baisant,baiser,13
le,le,71
front,front,21
de,de,81
son,son,73
père,père,21
/.,/.,P
-,-,p
ne,ne,60
pleure,pleurer,17
pas,pas,60
non,non,60
plus,plus,60
",",",",p
ma,mon,73
petite,petit,30
Delphine,Delphine,20
/.,/.,P
donne,donner,17
tes,ton,73
yeux,oeil,21
",",",",p
que,que,52
je,je,51
les,le,52
essuie,essuyer,17
en,en,81
les,le,52
baisant,baiser,13
/.,/.,P
va,aller,17
!,!,p
je,je,51
vais,aller,17
retrouver,retrouver,14
ma,mon,73
caboche,caboche,22
",",",",p
et,et,82
débrouiller,débrouiller,14
l',le,71
écheveau,écheveau,21
d',de,81
affaires,affaire,22
que,que,52
ton,ton,73
mari,mari,21
a,avoir,17
mêlé,mêler,12
/.,/.,P
-,-,p
non,non,60
",",",",p
laisse,laisser,17
moi,moi,51
faire,faire,14
;,;,p
je,je,51
saurai,savoir,15
le,le,52
manoeuvrer,manoeuvrer,14
/.,/.,P
il,il,51
m',je,51
aime,aimer,17
",",",",p
eh,eh,93
bien,bien,60
",",",",p
je,je,51
me,je,51
servirai,servir,15
de,de,81
mon,mon,73
empire,empire,21
sur,sur,81
lui,lui,51
pour,pour,81
l',le,52
amener,amener,14
à,à,81
me,je,51
placer,placer,14
promptement,promptement,60
quelques,quelque,75
capitaux,capital,21
en,en,81
propriétés,propriété,22
/.,/.,P
peut-être,peut-être,60
lui,lui,51
ferai,faire,15
je,je,51
racheter,racheter,14
sous,sous,81
mon,mon,73
nom,nom,21
Nucingen,Nucingen,20
",",",",p
en,en,81
Alsace,Alsace,20
",",",",p
il,il,51
y,y,52
tient,tenir,17
/.,/.,P
seulement,seulement,60
venez,venir,17
demain,demain,60
pour,pour,81
examiner,examiner,14
ses,son,73
livres,livre,21
",",",",p
ses,son,73
affaires,affaire,22
/.,/.,P
monsieur,monsieur,21
Derville,Derville,20
ne,ne,60
sait,savoir,17
rien,rien,52
de,de,81
ce,ce,52
qui,qui,52
est,être,17
commercial,commercial,30
/.,/.,P
non,non,60
",",",",p
ne,ne,60
venez,venir,17
pas,pas,60
demain,demain,60
/.,/.,P
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
me,je,51
tourner,tourner,14
le,le,71
sang,sang,21
/.,/.,P
le,le,71
bal,bal,21
de,de,81
madame,madame,22
de,de,81
Beauséant,Beauséant,20
a,avoir,17
lieu,lieu,21
après-demain,après-demain,60
",",",",p
je,je,51
veux,vouloir,17
me,je,51
soigner,soigner,14
pour,pour,81
y,y,52
être,être,14
belle,beau,30
",",",",p
reposée,reposer,12
",",",",p
et,et,82
faire,faire,14
honneur,honneur,21
à,à,81
mon,mon,73
cher,cher,30
Eugène,Eugène,20
/!,/!,P
allons,aller,17
donc,donc,82
voir,voir,14
sa,son,73
chambre,chambre,22
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
une,un,71
voiture,voiture,22
s',se,51
arrêta,arrêter,19
dans,dans,81
la,le,71
rue,rue,22
neuve,neuf,30
Sainte-Geneviève,Sainte Geneviève,20
",",",",p
et,et,82
l',l',94
on,on,51
entendit,entendre,19
dans,dans,81
l',le,71
escalier,escalier,21
la,le,71
voix,voix,22
de,de,81
madame,madame,22
de,de,81
Restaud,Restaud,20
",",",",p
qui,qui,52
disait,dire,18
à,à,81
Sylvie,Sylvie,20
:,:,p
-,-,p
mon,mon,73
père,père,21
y,y,52
est,être,17
il,il,51
/?,/?,P
cette,ce,74
circonstance,circonstance,22
sauva,sauver,19
heureusement,heureusement,60
Eugène,Eugène,20
",",",",p
qui,qui,52
méditait,méditer,18
déjà,déjà,60
de,de,81
se,se,51
jeter,jeter,14
sur,sur,81
son,son,73
lit,lit,21
et,et,82
de,de,81
feindre,feindre,14
d',de,81
y,y,52
dormir,dormir,14
/.,/.,P
-,-,p
ah,ah,93
!,!,p
mon,mon,73
père,père,21
",",",",p
vous,vous,51
a,avoir,17
t,t,94
on,on,51
parlé,parler,12
d',de,81
Anastasie,Anastasie,20
?,?,p
dit,dire,19
Delphine,Delphine,20
en,en,81
reconnaissant,reconnaître,13
la,le,71
voix,voix,22
de,de,81
sa,son,73
soeur,soeur,22
/.,/.,P
il,il,51
paraîtrait,paraître,16
qu',que,83
il,il,51
arrive,arriver,17
aussi,aussi,60
de,de,81
singulières,singulier,30
choses,chose,22
dans,dans,81
son,son,73
ménage,ménage,21
/.,/.,P
-,-,p
quoi,quoi,52
donc,donc,82
!,!,p
dit,dire,19
le,le,71
père,père,21
Goriot,Goriot,20
:,:,p
ce,ce,52
serait,être,16
donc,donc,82
ma,mon,73
fin,fin,22
/.,/.,P
ma,mon,73
pauvre,pauvre,30
tête,tête,22
ne,ne,60
tiendra,tenir,15
pas,pas,60
à,à,81
un,un,71
double,double,30
malheur,malheur,21
/.,/.,P
-,-,p
bonjour,bonjour,21
",",",",p
mon,mon,73
père,père,21
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
en,en,81
entrant,entrer,13
/.,/.,P
ah,ah,93
!,!,p
te,tu,51
voilà,voilà,81
",",",",p
Delphine,Delphine,20
/.,/.,P
madame,madame,22
de,de,81
Restaud,Restaud,20
parut,paraître,19
embarrassée,embarrassé,31
de,de,81
rencontrer,rencontrer,14
sa,son,73
soeur,soeur,22
/.,/.,P
-,-,p
bonjour,bonjour,21
",",",",p
Nasie,Nasie,20
",",",",p
dit,dire,19
la,le,71
baronne,baronne,22
/.,/.,P
trouves,trouver,17
tu,tu,51
donc,donc,82
ma,mon,73
présence,présence,22
extraordinaire,extraordinaire,30
/?,/?,P
je,je,51
vois,voir,17
mon,mon,73
père,père,21
tous,tout,75
les,le,71
jours,jour,21
",",",",p
moi,moi,51
/.,/.,P
-,-,p
depuis,depuis,81
quand,quand,83
/?,/?,P
si,si,83
tu,tu,51
y,y,52
venais,venir,18
",",",",p
tu,tu,51
le,le,52
saurais,savoir,16
/.,/.,P
-,-,p
ne,ne,60
me,je,51
taquine,taquiner,17
pas,pas,60
",",",",p
Delphine,Delphine,20
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
d',de,81
une,un,71
voix,voix,22
lamentable,lamentable,30
/.,/.,P
je,je,51
suis,être,17
bien,bien,60
malheureuse,malheureux,30
",",",",p
je,je,51
suis,être,17
perdue,perdre,12
",",",",p
mon,mon,73
pauvre,pauvre,30
père,père,21
!,!,p
oh,oh,93
!,!,p
bien,bien,60
perdue,perdre,12
cette,ce,74
fois,fois,22
/!,/!,P
qu',que,52
as,avoir,17
tu,tu,51
",",",",p
Nasie,Nasie,20
?,?,p
cria,crier,19
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
dis,dire,17
nous,nous,51
tout,tout,52
",",",",p
mon,mon,73
enfant,enfant,21
/.,/.,P
elle,il,51
pâlit,pâlir,19
/.,/.,P
Delphine,Delphine,20
",",",",p
allons,aller,17
",",",",p
secours,secourir,17
la,le,52
donc,donc,82
",",",",p
sois,être,17
bonne,bon,30
pour,pour,81
elle,il,51
",",",",p
je,je,51
t',tu,51
aimerai,aimer,15
encore,encore,60
mieux,mieux,60
",",",",p
si,si,83
je,je,51
peux,pouvoir,17
",",",",p
toi,toi,51
/!,/!,P
ma,mon,73
pauvre,pauvre,30
Nasie,Nasie,20
",",",",p
dit,dire,19
madame,madame,22
de,de,81
Nucingen,Nucingen,20
en,en,81
asseyant,asseoir,13
sa,son,73
soeur,soeur,22
",",",",p
parle,parler,17
/.,/.,P
tu,tu,51
vois,voir,17
en,en,81
nous,nous,51
les,le,71
deux,deux,72
seules,seul,30
personnes,personne,22
qui,qui,52
t',tu,51
aimeront,aimer,15
toujours,toujours,60
assez,assez,60
pour,pour,81
te,tu,51
pardonner,pardonner,14
tout,tout,52
/.,/.,P
vois,voir,17
tu,tu,51
",",",",p
les,le,71
affections,affection,22
de,de,81
famille,famille,22
sont,être,17
les,le,71
plus,plus,60
sûres,sûr,30
/.,/.,P
elle,il,51
lui,lui,51
fit,faire,19
respirer,respirer,14
des,de,81
des,le,71
sels,sel,21
",",",",p
et,et,82
la,le,71
comtesse,comtesse,22
revint,revenir,19
à,à,81
elle,il,51
/.,/.,P
-,-,p
j',je,51
en,en,52
mourrai,mourir,15
",",",",p
dit,dire,19
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
voyons,voir,17
",",",",p
reprit,reprendre,19
il,il,51
en,en,81
remuant,remuer,13
son,son,73
feu,feu,21
de,de,81
mottes,motte,22
",",",",p
approchez,approcher,17
vous,vous,51
toutes,tout,75
les,le,71
deux,deux,72
/.,/.,P
j',je,51
ai,avoir,17
froid,froid,21
/.,/.,P
qu',que,52
as,avoir,17
tu,tu,51
",",",",p
Nasie,Nasie,20
?,?,p
dis,dire,17
vite,vite,60
",",",",p
tu,tu,51
me,je,51
tues,tuer,17
/…,/…,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
dit,dire,19
la,le,71
pauvre,pauvre,30
femme,femme,22
",",",",p
mon,mon,73
mari,mari,21
sait,savoir,17
tout,tout,52
/.,/.,P
figurez,figurer,17
vous,vous,51
",",",",p
mon,mon,73
père,père,21
",",",",p
il,il,51
y,y,52
a,avoir,17
quelque,quelque,75
temps,temps,21
",",",",p
vous,vous,51
souvenez,souvenir,17
vous,vous,51
de,de,81
cette,ce,74
lettre,lettre,22
de,de,81
change,change,21
de,de,81
Maxime,Maxime,20
/?,/?,P
eh,eh,93
bien,bien,60
!,!,p
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
la,le,71
première,premier,72
/.,/.,P
j',je,51
en,en,52
avais,avoir,18
déjà,déjà,60
payé,payer,12
beaucoup,beaucoup,60
/.,/.,P
vers,vers,81
le,le,71
commencement,commencement,21
de,de,81
janvier,janvier,21
",",",",p
monsieur,monsieur,21
de,de,81
Trailles,Trailles,20
me,je,51
paraissait,paraître,18
bien,bien,60
chagrin,chagrin,30
/.,/.,P
il,il,51
ne,ne,60
me,je,51
disait,dire,18
rien,rien,52
;,;,p
mais,mais,82
il,il,51
est,être,17
si,si,60
facile,facile,30
de,de,81
lire,lire,14
dans,dans,81
le,le,71
coeur,coeur,21
des,de,81
des,le,71
gens,gens,21
qu',que,52
on,on,51
aime,aimer,17
",",",",p
un,un,71
rien,rien,21
suffit,suffire,17
:,:,p
puis,puis,60
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
pressentiments,pressentiment,21
/.,/.,P
enfin,enfin,60
il,il,51
était,être,18
plus,plus,60
aimant,aimant,30
",",",",p
plus,plus,60
tendre,tendre,30
que,que,83
je,je,51
ne,ne,60
l',le,52
avais,avoir,18
jamais,jamais,60
vu,voir,12
",",",",p
j',je,51
étais,être,18
toujours,toujours,60
plus,plus,60
heureuse,heureux,30
/.,/.,P
pauvre,pauvre,30
Maxime,Maxime,20
!,!,p
dans,dans,81
sa,son,73
pensée,pensée,22
",",",",p
il,il,51
me,je,51
faisait,faire,18
ses,son,73
adieux,adieu,21
",",",",p
m',je,51
a,avoir,17
t,t,94
il,il,51
dit,dire,12
;,;,p
il,il,51
voulait,vouloir,18
se,se,51
brûler,brûler,14
la,le,71
cervelle,cervelle,22
/.,/.,P
enfin,enfin,60
je,je,51
l',le,52
ai,avoir,17
tant,tant,60
tourmenté,tourmenter,12
",",",",p
tant,tant,60
supplié,supplier,12
",",",",p
je,je,51
suis,être,17
restée,rester,12
deux,deux,72
heures,heure,22
à,à,81
ses,son,73
genoux,genou,21
/.,/.,P
il,il,51
m',je,51
a,avoir,17
dit,dire,12
qu',que,83
il,il,51
devait,devoir,18
cent,cent,72
mille,mille,72
francs,franc,21
/!,/!,P
oh,oh,93
!,!,p
papa,papa,21
",",",",p
cent,cent,72
mille,mille,72
francs,franc,21
/!,/!,P
je,je,51
suis,être,17
devenue,devenir,12
folle,fou,30
/.,/.,P
vous,vous,51
ne,ne,60
les,le,52
aviez,avoir,18
pas,pas,60
",",",",p
j',je,51
avais,avoir,18
tout,tout,52
dévoré,dévorer,12
/…,/…,P
-,-,p
non,non,60
",",",",p
dit,dire,19
le,le,71
père,père,21
Goriot,Goriot,20
",",",",p
je,je,51
n',ne,60
aurais,avoir,16
pas,pas,60
pu,pouvoir,12
les,le,52
faire,faire,14
",",",",p
à,à,81
moins,moins,60
d',de,81
aller,aller,14
les,le,52
voler,voler,14
/.,/.,P
mais,mais,82
j',je,51
y,y,52
aurais,avoir,16
été,être,12
",",",",p
Nasie,Nasie,20
/!,/!,P
j',je,51
irai,aller,15
/.,/.,P
à,à,81
ce,ce,74
mot,mot,21
lugubrement,lugubrement,60
jeté,jeté,31
",",",",p
comme,comme,83
un,un,71
son,son,21
du,de,81
du,le,71
râle,râle,21
d',de,81
un,un,71
mourant,mourant,21
",",",",p
et,et,82
qui,qui,52
accusait,accuser,18
l',le,71
agonie,agonie,22
du,de,81
du,le,71
sentiment,sentiment,21
paternel,paternel,30
réduit,réduit,31
à,à,81
l',le,71
impuissance,impuissance,22
",",",",p
les,le,71
deux,deux,72
soeurs,soeur,22
firent,faire,19
une,un,71
pause,pause,22
/.,/.,P
quel,quel,75
égoïsme,égoïsme,21
serait,être,16
resté,rester,12
froid,froid,30
à,à,81
ce,ce,74
cri,cri,21
de,de,81
désespoir,désespoir,21
qui,qui,52
",",",",p
semblable,semblable,30
à,à,81
une,un,71
pierre,pierre,22
lancée,lancé,31
dans,dans,81
un,un,71
gouffre,gouffre,21
",",",",p
en,en,52
révélait,révéler,18
la,le,71
profondeur,profondeur,22
/?,/?,P
je,je,51
les,le,52
ai,avoir,17
trouvés,trouver,12
en,en,81
disposant,disposer,13
de,de,81
ce,ce,52
qui,qui,52
ne,ne,60
m',je,51
appartenait,appartenir,18
pas,pas,60
",",",",p
mon,mon,73
père,père,21
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
en,en,81
fondant,fondre,13
en,en,81
larmes,larme,22
/.,/.,P
Delphine,Delphine,20
fut,être,19
émue,émouvoir,12
et,et,82
pleura,pleurer,19
en,en,81
mettant,mettre,13
la,le,71
tête,tête,22
sur,sur,81
le,le,71
cou,cou,21
de,de,81
sa,son,73
soeur,soeur,22
/.,/.,P
-,-,p
tout,tout,52
est,être,17
donc,donc,82
vrai,vrai,30
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
Anastasie,Anastasie,20
baissa,baisser,19
la,le,71
tête,tête,22
",",",",p
madame,madame,22
de,de,81
Nucingen,Nucingen,20
la,le,52
saisit,saisir,19
à,à,81
plein,plein,30
corps,corps,21
",",",",p
la,le,52
baisa,baiser,19
tendrement,tendrement,60
",",",",p
et,et,82
l',le,52
appuyant,appuyer,13
sur,sur,81
son,son,73
coeur,coeur,21
:,:,p
-,-,p
ici,ici,60
",",",",p
tu,tu,51
seras,être,15
toujours,toujours,60
aimée,aimer,12
sans,sans,81
être,être,14
jugée,juger,12
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
mes,mon,73
anges,ange,21
