11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatrième extrait>,<>,<>
à,à,81
honneur,honneur,21
de,de,81
marcher,marcher,14
en,en,81
tête,tête,22
;,;,p
l',le,71
heure,heure,22
était,être,18
venue,venir,12
où,où,60
il,il,51
devait,devoir,18
payer,payer,14
de,de,81
sa,son,73
personne,personne,22
",",",",p
s',si,83
il,il,51
voulait,vouloir,18
le,le,71
succès,succès,21
de,de,81
ses,son,73
plans,plan,21
;,;,p
il,il,51
avait,avoir,18
des,de,81
des,le,71
gouttes,goutte,22
de,de,81
sueur,sueur,22
au,à,81
au,le,71
front,front,21
",",",",p
malgré,malgré,81
le,le,71
froid,froid,21
",",",",p
mais,mais,82
il,il,51
gardait,garder,18
une,un,71
allure,allure,22
très,très,60
martiale,martial,30
/.,/.,P
derrière,derrière,81
lui,lui,51
",",",",p
venaient,venir,18
immédiatement,immédiatement,60
Roudier,Roudier,20
et,et,82
Granoux,Granoux,20
/.,/.,P
à,à,81
deux,deux,72
reprises,reprise,22
",",",",p
la,le,71
colonne,colonne,22
s',se,51
arrêta,arrêter,19
net,net,60
;,;,p
elle,il,51
avait,avoir,18
cru,croire,12
entendre,entendre,14
des,de,81
des,le,71
bruits,bruit,21
lointains,lointain,30
de,de,81
bataille,bataille,22
;,;,p
ce,ce,52
n',ne,60
était,être,18
que,que,83
les,le,71
petits,petit,30
plats,plat,21
à,à,81
barbe,barbe,22
de,de,81
cuivre,cuivre,21
",",",",p
pendus,pendu,31
par,par,81
des,de,81
des,le,71
chaînettes,chaînette,22
",",",",p
qui,qui,52
servent,servir,17
d',de,81
enseigne,enseigne,22
aux,à,81
aux,le,71
perruquiers,perruquier,21
du,de,81
du,le,71
Midi,Midi,20
",",",",p
et,et,82
que,que,52
des,de,81
des,le,71
souffles,souffle,21
de,de,81
vent,vent,21
agitaient,agiter,18
/.,/.,P
après,après,81
chaque,chaque,75
halte,halte,22
",",",",p
les,le,71
sauveurs,sauveur,21
de,de,81
Plassans,Plassans,20
reprenaient,reprendre,18
leur,leur,73
marche,marche,22
prudente,prudent,30
dans,dans,81
le,le,71
noir,noir,21
",",",",p
avec,avec,81
leur,leur,73
allure,allure,22
de,de,81
héros,héros,21
effarouchés,effarouché,31
/.,/.,P
ils,ils,51
arrivèrent,arriver,19
ainsi,ainsi,60
sur,sur,81
la,le,71
place,place,22
de,de,81
l',le,71
Hôtel-de-Ville,Hôtel de Ville,20
/.,/.,P
là,là,60
",",",",p
ils,ils,51
se,se,51
groupèrent,grouper,19
autour,autour,60
de,de,81
Rougon,Rougon,20
",",",",p
délibérant,délibérer,13
une,un,71
fois,fois,22
de,de,81
plus,plus,60
/.,/.,P
en,en,81
face,face,22
d',de,81
eux,ils,51
",",",",p
sur,sur,81
la,le,71
façade,façade,22
noire,noir,30
de,de,81
la,le,71
mairie,mairie,22
",",",",p
une,un,71
seule,seul,30
fenêtre,fenêtre,22
était,être,18
éclairée,éclairer,12
/.,/.,P
il,il,51
était,être,18
près,près,81
de,de,81
sept,sept,72
heures,heure,22
",",",",p
le,le,71
jour,jour,21
allait,aller,18
paraître,paraître,14
/.,/.,P
après,après,81
dix,dix,72
bonnes,bon,30
minutes,minute,22
de,de,81
discussion,discussion,22
",",",",p
il,il,51
fut,être,19
décidé,décider,12
qu',que,83
on,on,51
avancerait,avancer,16
jusqu',jusque,81
à,à,81
la,le,71
porte,porte,22
",",",",p
pour,pour,81
voir,voir,14
ce,ce,52
que,que,52
signifiait,signifier,18
cette,ce,74
ombre,ombre,22
et,et,82
ce,ce,74
silence,silence,21
inquiétants,inquiétant,30
/.,/.,P
la,le,71
porte,porte,22
était,être,18
entr'ouverte,entr'ouvrir,12
/.,/.,P
un,un,52
des,de,81
des,le,71
conjurés,conjuré,21
passa,passer,19
la,le,71
tête,tête,22
et,et,82
la,le,52
retira,retirer,19
vivement,vivement,60
",",",",p
disant,dire,13
qu',que,83
il,il,51
y,y,52
avait,avoir,18
",",",",p
sous,sous,81
le,le,71
porche,porche,21
",",",",p
un,un,71
homme,homme,21
assis,assis,31
contre,contre,81
le,le,71
mur,mur,21
",",",",p
avec,avec,81
un,un,71
fusil,fusil,21
entre,entre,81
les,le,71
jambes,jambe,22
",",",",p
et,et,82
qui,qui,52
dormait,dormir,18
/.,/.,P
Rougon,Rougon,20
",",",",p
voyant,voir,13
qu',que,83
il,il,51
pouvait,pouvoir,18
débuter,débuter,14
par,par,81
un,un,71
exploit,exploit,21
",",",",p
entra,entrer,19
le,le,71
premier,premier,72
",",",",p
s',se,51
empara,emparer,19
de,de,81
l',le,71
homme,homme,21
et,et,82
le,le,52
maintint,maintenir,19
",",",",p
pendant,pendant,81
que,que,83
Roudier,Roudier,20
le,le,52
bâillonnait,bâillonner,18
/.,/.,P
ce,ce,74
premier,premier,72
succès,succès,21
",",",",p
remporté,remporté,31
dans,dans,81
le,le,71
silence,silence,21
",",",",p
encouragea,encourager,19
singulièrement,singulièrement,60
la,le,71
petite,petit,30
troupe,troupe,22
",",",",p
qui,qui,52
avait,avoir,18
rêvé,rêver,12
une,un,71
fusillade,fusillade,22
très,très,60
meurtrière,meurtrier,30
/.,/.,P
et,et,82
Rougon,Rougon,20
faisait,faire,18
des,de,81
des,le,71
signes,signe,21
impérieux,impérieux,30
pour,pour,81
que,que,83
la,le,71
joie,joie,22
de,de,81
ses,son,73
soldats,soldat,21
n',ne,60
éclatât,éclater,18
pas,pas,60
trop,trop,60
bruyamment,bruyamment,60
/.,/.,P
ils,ils,51
continuèrent,continuer,19
à,à,81
avancer,avancer,14
sur,sur,81
la,le,71
pointe,pointe,22
des,de,81
des,le,71
pieds,pied,21
/.,/.,P
puis,puis,60
",",",",p
à,à,81
gauche,gauche,22
",",",",p
dans,dans,81
le,le,71
poste,poste,21
de,de,81
police,police,22
qui,qui,52
se,se,51
trouvait,trouver,18
là,là,60
",",",",p
ils,ils,51
aperçurent,apercevoir,19
une,un,71
quinzaine,quinzaine,22
d',de,81
hommes,homme,21
couchés,couché,31
sur,sur,81
un,un,71
lit,lit,21
de,de,81
camp,camp,21
",",",",p
ronflant,ronfler,13
dans,dans,81
la,le,71
lueur,lueur,22
mourante,mourant,30
d',de,81
une,un,71
lanterne,lanterne,22
accrochée,accroché,31
au,à,81
au,le,71
mur,mur,21
/.,/.,P
Rougon,Rougon,20
",",",",p
qui,qui,52
décidément,décidément,60
devenait,devenir,18
un,un,71
grand,grand,30
général,général,21
",",",",p
laissa,laisser,19
devant,devant,81
le,le,71
poste,poste,21
la,le,71
moitié,moitié,22
de,de,81
ses,son,73
hommes,homme,21
",",",",p
avec,avec,81
l',le,71
ordre,ordre,21
de,de,81
ne,ne,60
pas,pas,60
réveiller,réveiller,14
les,le,71
dormeurs,dormeur,21
",",",",p
mais,mais,82
de,de,81
les,le,52
tenir,tenir,14
en,en,81
respect,respect,21
et,et,82
de,de,81
les,le,52
faire,faire,14
prisonniers,prisonnier,30
",",",",p
s',si,83
ils,ils,51
bougeaient,bouger,18
/.,/.,P
ce,ce,52
qui,qui,52
l',le,52
inquiétait,inquiéter,18
",",",",p
c',ce,52
était,être,18
cette,ce,74
fenêtre,fenêtre,22
éclairée,éclairé,31
qu',que,52
ils,ils,51
avaient,avoir,18
vue,voir,12
de,de,81
la,le,71
place,place,22
;,;,p
il,il,51
flairait,flairer,18
toujours,toujours,60
Macquart,Macquart,20
dans,dans,81
l',le,71
affaire,affaire,22
",",",",p
et,et,82
comme,comme,83
il,il,51
sentait,sentir,18
qu',que,83
il,il,51
fallait,falloir,18
d'abord,d'abord,60
s',se,51
emparer,emparer,14
de,de,81
ceux,celui,52
qui,qui,52
veillaient,veiller,18
en,en,81
haut,haut,21
",",",",p
il,il,51
n',ne,60
était,être,18
pas,pas,60
fâché,fâcher,12
d',de,81
opérer,opérer,14
par,par,81
surprise,surprise,22
",",",",p
avant,avant,81
que,que,83
le,le,71
bruit,bruit,21
d',de,81
une,un,71
lutte,lutte,22
les,le,52
fît,faire,18
se,se,51
barricader,barricader,14
/.,/.,P
il,il,51
monta,monter,19
doucement,doucement,60
",",",",p
suivi,suivi,31
des,de,81
des,le,71
vingt,vingt,72
héros,héros,21
dont,dont,52
il,il,51
disposait,disposer,18
encore,encore,60
/.,/.,P
Roudier,Roudier,20
commandait,commander,18
le,le,71
détachement,détachement,21
resté,resté,31
dans,dans,81
la,le,71
cour,cour,22
/.,/.,P
Macquart,Macquart,20
",",",",p
en,en,81
effet,effet,21
",",",",p
se,se,51
carrait,carrer,18
en,en,81
haut,haut,21
dans,dans,81
le,le,71
cabinet,cabinet,21
du,de,81
du,le,71
maire,maire,21
",",",",p
assis,assis,31
dans,dans,81
son,son,73
fauteuil,fauteuil,21
",",",",p
les,le,71
coudes,coude,21
sur,sur,81
son,son,73
bureau,bureau,21
/.,/.,P
après,après,81
le,le,71
départ,départ,21
des,de,81
des,le,71
insurgés,insurgé,21
",",",",p
avec,avec,81
cette,ce,74
belle,beau,30
confiance,confiance,22
d',de,81
un,un,71
homme,homme,21
d',de,81
esprit,esprit,21
grossier,grossier,30
",",",",p
tout,tout,60
à,à,81
son,son,73
idée,idée,22
fixe,fixe,30
et,et,82
tout,tout,60
à,à,81
sa,son,73
victoire,victoire,22
",",",",p
il,il,51
s',se,51
était,être,18
dit,dire,12
qu',que,83
il,il,51
était,être,18
le,le,71
maître,maître,21
de,de,81
Plassans,Plassans,20
et,et,82
qu',que,83
il,il,51
allait,aller,18
s',se,51
y,y,52
conduire,conduire,14
en,en,81
triomphateur,triomphateur,21
/.,/.,P
pour,pour,81
lui,lui,51
",",",",p
cette,ce,74
bande,bande,22
de,de,81
trois,trois,72
mille,mille,72
hommes,homme,21
qui,qui,52
venait,venir,18
de,de,81
traverser,traverser,14
la,le,71
ville,ville,22
était,être,18
une,un,71
armée,armée,22
invincible,invincible,30
",",",",p
dont,dont,52
le,le,71
voisinage,voisinage,21
suffirait,suffire,16
pour,pour,81
tenir,tenir,14
ses,son,73
bourgeois,bourgeois,21
humbles,humble,30
et,et,82
dociles,docile,30
sous,sous,81
sa,son,73
main,main,22
/.,/.,P
les,le,71
insurgés,insurgé,21
avaient,avoir,18
enfermé,enfermer,12
les,le,71
gendarmes,gendarme,21
dans,dans,81
leur,leur,73
caserne,caserne,22
",",",",p
la,le,71
garde,garde,22
nationale,national,30
se,se,51
trouvait,trouver,18
démembrée,démembré,31
",",",",p
le,le,71
quartier,quartier,21
noble,noble,30
devait,devoir,18
crever,crever,14
de,de,81
peur,peur,22
",",",",p
les,le,71
rentiers,rentier,21
de,de,81
la,le,71
ville,ville,22
neuve,neuf,30
n',ne,60
avaient,avoir,18
certainement,certainement,60
jamais,jamais,60
touché,toucher,12
un,un,71
fusil,fusil,21
de,de,81
leur,leur,73
vie,vie,22
/.,/.,P
pas,pas,60
d',de,81
armes,arme,22
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
pas,pas,60
plus,plus,60
que,que,83
de,de,81
soldats,soldat,21
/.,/.,P
il,il,51
ne,ne,60
prit,prendre,19
seulement,seulement,60
pas,pas,60
la,le,71
précaution,précaution,22
de,de,81
faire,faire,14
feutrer,feutrer,14
les,le,71
portes,porte,22
",",",",p
et,et,82
tandis que,tandis que,83
ses,son,73
hommes,homme,21
poussaient,pousser,18
la,le,71
confiance,confiance,22
plus,plus,60
loin,loin,60
encore,encore,60
",",",",p
jusqu',jusque,81
à,à,81
s',se,51
endormir,endormir,14
",",",",p
il,il,51
attendait,attendre,18
tranquillement,tranquillement,60
le,le,71
jour,jour,21
qui,qui,52
allait,aller,18
",",",",p
pensait,penser,18
il,il,51
",",",",p
amener,amener,14
et,et,82
grouper,grouper,14
autour,autour,60
de,de,81
lui,lui,51
tous,tout,75
les,le,71
républicains,républicain,21
du,de,81
du,le,71
pays,pays,21
/.,/.,P
déjà,déjà,60
il,il,51
songeait,songer,18
aux,à,81
aux,le,71
grandes,grand,30
mesures,mesure,22
révolutionnaires,révolutionnaire,30
:,:,p
la,le,71
nomination,nomination,22
d',de,81
une,un,71
commune,commune,22
dont,dont,52
il,il,51
serait,être,16
le,le,71
chef,chef,21
",",",",p
l',le,71
emprisonnement,emprisonnement,21
des,de,81
des,le,71
mauvais,mauvais,30
patriotes,patriote,21
et,et,82
surtout,surtout,60
des,de,81
des,le,71
gens,gens,21
qui,qui,52
lui,lui,51
déplaisaient,déplaire,18
/.,/.,P
la,le,71
pensée,pensée,22
des,de,81
des,le,71
Rougon,Rougon,20
vaincus,vaincu,31
",",",",p
du,de,81
du,le,71
salon,salon,21
jaune,jaune,30
désert,désert,30
",",",",p
de,de,81
toute,tout,75
cette,ce,74
clique,clique,22
lui,lui,51
demandant,demander,13
grâce,grâce,22
",",",",p
le,le,52
plongeait,plonger,18
dans,dans,81
une,un,71
douce,doux,30
joie,joie,22
/.,/.,P
pour,pour,81
prendre,prendre,14
patience,patience,22
",",",",p
il,il,51
avait,avoir,18
résolu,résoudre,12
d',de,81
adresser,adresser,14
une,un,71
proclamation,proclamation,22
aux,à,81
aux,le,71
habitants,habitant,21
de,de,81
Plassans,Plassans,20
/.,/.,P
ils,ils,51
s',se,51
étaient,être,18
mis,mettre,12
quatre,quatre,72
pour,pour,81
rédiger,rédiger,14
cette,ce,74
affiche,affiche,22
/.,/.,P
quand,quand,83
elle,il,51
fut,être,19
terminée,terminer,12
",",",",p
Macquart,Macquart,20
",",",",p
prenant,prendre,13
une,un,71
pose,pose,22
digne,digne,30
dans,dans,81
le,le,71
fauteuil,fauteuil,21
du,de,81
du,le,71
maire,maire,21
",",",",p
se,se,51
la,le,52
fit,faire,19
lire,lire,14
",",",",p
avant,avant,81
de,de,81
l',le,52
envoyer,envoyer,14
à,à,81
l',le,71
imprimerie,imprimerie,22
de,de,81
l',le,71
Indépendant,Indépendant,20
",",",",p
sur,sur,81
le,le,71
civisme,civisme,21
de,de,81
laquelle,lequel,52
il,il,51
comptait,compter,18
/.,/.,P
un,un,52
des,de,81
des,le,71
rédacteurs,rédacteur,21
commençait,commencer,18
avec,avec,81
emphase,emphase,22
:,:,p
“,“,p
habitants,habitant,21
de,de,81
Plassans,Plassans,20
",",",",p
l',le,71
heure,heure,22
de,de,81
l',le,71
indépendance,indépendance,22
a,avoir,17
sonné,sonner,12
",",",",p
le,le,71
règne,règne,21
de,de,81
la,le,71
justice,justice,22
est,être,17
venu,venir,12
…,…,p
lorsqu',lorsque,83
un,un,71
bruit,bruit,21
se,se,51
fit,faire,19
entendre,entendre,14
à,à,81
la,le,71
porte,porte,22
du,de,81
du,le,71
cabinet,cabinet,21
",",",",p
qui,qui,52
s',se,51
ouvrait,ouvrir,18
lentement,lentement,60
/.,/.,P
-,-,p
c',ce,52
est,être,17
toi,toi,51
",",",",p
Cassoute,Cassoute,20
?,?,p
demanda,demander,19
Macquart,Macquart,20
en,en,81
interrompant,interrompre,13
la,le,71
lecture,lecture,22
/.,/.,P
on,on,51
ne,ne,60
répondit,répondre,19
pas,pas,60
;,;,p
la,le,71
porte,porte,22
s',se,51
ouvrait,ouvrir,18
toujours,toujours,60
/.,/.,P
-,-,p
entre,entrer,17
donc,donc,82
!,!,p
reprit,reprendre,19
il,il,51
avec,avec,81
impatience,impatience,22
/.,/.,P
mon,mon,73
brigand,brigand,21
de,de,81
frère,frère,21
est,être,17
chez,chez,81
lui,lui,51
/?,/?,P
alors,alors,60
",",",",p
brusquement,brusquement,60
",",",",p
les,le,71
deux,deux,72
battants,battant,21
de,de,81
la,le,71
porte,porte,22
",",",",p
poussés,poussé,31
avec,avec,81
violence,violence,22
",",",",p
claquèrent,claquer,19
contre,contre,81
les,le,71
murs,mur,21
",",",",p
et,et,82
un,un,71
flot,flot,21
d',de,81
hommes,homme,21
armés,armé,31
",",",",p
au,à,81
au,le,71
milieu,milieu,21
desquels,de,81
desquels,lequel,52
marchait,marcher,18
Rougon,Rougon,20
",",",",p
très,très,60
rouge,rouge,30
",",",",p
les,le,71
yeux,oeil,21
hors,hors,81
des,de,81
des,le,71
orbites,orbite,22
",",",",p
envahirent,envahir,19
le,le,71
cabinet,cabinet,21
en,en,81
brandissant,brandir,13
leurs,leur,73
fusils,fusil,21
comme,comme,83
des,de,81
des,le,71
bâtons,bâton,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
les,le,71
canailles,canaille,22
",",",",p
ils,ils,51
ont,avoir,17
des,de,81
des,le,71
armes,arme,22
!,!,p
hurla,hurler,19
Macquart,Macquart,20
/.,/.,P
il,il,51
voulut,vouloir,19
prendre,prendre,14
une,un,71
paire,paire,22
de,de,81
pistolets,pistolet,21
posés,posé,31
sur,sur,81
le,le,71
bureau,bureau,21
;,;,p
mais,mais,82
il,il,51
avait,avoir,18
déjà,déjà,60
cinq,cinq,72
hommes,homme,21
à,à,81
la,le,71
gorge,gorge,22
qui,qui,52
le,le,52
maintenaient,maintenir,18
/.,/.,P
les,le,71
quatre,quatre,72
rédacteurs,rédacteur,21
de,de,81
la,le,71
proclamation,proclamation,22
luttèrent,lutter,19
un,un,71
instant,instant,21
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
des,de,81
des,le,71
poussées,poussée,22
",",",",p
des,de,81
des,le,71
trépignements,trépignement,21
sourds,sourd,30
",",",",p
des,de,81
des,le,71
bruits,bruit,21
de,de,81
chute,chute,22
/.,/.,P
les,le,71
combattants,combattant,21
étaient,être,18
singulièrement,singulièrement,60
embarrassés,embarrasser,12
par,par,81
leurs,leur,73
fusils,fusil,21
",",",",p
qui,qui,52
ne,ne,60
leur,leur,52
servaient,servir,18
à,à,81
rien,rien,52
",",",",p
et,et,82
qu',que,52
ils,ils,51
ne,ne,60
voulaient,vouloir,18
pas,pas,60
lâcher,lâcher,14
/.,/.,P
dans,dans,81
la,le,71
lutte,lutte,22
",",",",p
celui,celui,52
de,de,81
Rougon,Rougon,20
",",",",p
qu',que,52
un,un,71
insurgé,insurgé,21
cherchait,chercher,18
à,à,81
lui,lui,51
arracher,arracher,14
",",",",p
partit,partir,19
tout,tout,60
seul,seul,30
",",",",p
avec,avec,81
une,un,71
détonation,détonation,22
épouvantable,épouvantable,30
",",",",p
en,en,81
emplissant,emplir,13
le,le,71
cabinet,cabinet,21
de,de,81
fumée,fumée,22
;,;,p
la,le,71
balle,balle,22
alla,aller,19
briser,briser,14
une,un,71
superbe,superbe,30
glace,glace,22
",",",",p
montant,monter,13
de,de,81
la,le,71
cheminée,cheminée,22
au,à,81
au,le,71
plafond,plafond,21
",",",",p
et,et,82
qui,qui,52
avait,avoir,18
la,le,71
réputation,réputation,22
d',de,81
être,être,14
une,un,71
des,de,81
des,le,71
plus,plus,60
belles,beau,30
glaces,glace,22
de,de,81
la,le,71
ville,ville,22
/.,/.,P
ce,ce,74
coup,coup,21
de,de,81
feu,feu,21
",",",",p
tiré,tiré,31
on,on,51
ne,ne,60
savait,savoir,18
pourquoi,pourquoi,60
",",",",p
assourdit,assourdir,19
tout,tout,75
le,le,71
monde,monde,21
et,et,82
mit,mettre,19
fin,fin,22
à,à,81
la,le,71
bataille,bataille,22
/.,/.,P
alors,alors,60
",",",",p
pendant,pendant,81
que,que,83
ces,ce,74
messieurs,monsieur,21
soufflaient,souffler,18
",",",",p
on,on,51
entendit,entendre,19
trois,trois,72
détonations,détonation,22
qui,qui,52
venaient,venir,18
de,de,81
la,le,71
cour,cour,22
/.,/.,P
Granoux,Granoux,20
courut,courir,19
à,à,81
une,un,52
des,de,81
des,le,71
fenêtres,fenêtre,22
du,de,81
du,le,71
cabinet,cabinet,21
/.,/.,P
les,le,71
visages,visage,21
s',se,51
allongèrent,allonger,19
",",",",p
et,et,82
tous,tout,52
",",",",p
penchés,penché,31
anxieusement,anxieusement,60
",",",",p
attendirent,attendre,19
",",",",p
peu,peu,60
soucieux,soucieux,30
d',de,81
avoir,avoir,14
à,à,81
recommencer,recommencer,14
la,le,71
lutte,lutte,22
avec,avec,81
les,le,71
hommes,homme,21
du,de,81
du,le,71
poste,poste,21
",",",",p
qu',que,52
ils,ils,51
avaient,avoir,18
oubliés,oublier,12
dans,dans,81
leur,leur,73
victoire,victoire,22
/.,/.,P
mais,mais,82
la,le,71
voix,voix,22
de,de,81
Roudier,Roudier,20
cria,crier,19
que,que,83
tout,tout,52
allait,aller,18
bien,bien,60
/.,/.,P
Granoux,Granoux,20
referma,refermer,19
la,le,71
fenêtre,fenêtre,22
",",",",p
rayonnant,rayonnant,30
/.,/.,P
la,le,71
vérité,vérité,22
était,être,18
que,que,83
le,le,71
coup,coup,21
de,de,81
feu,feu,21
de,de,81
Rougon,Rougon,20
avait,avoir,18
réveillé,réveiller,12
les,le,71
dormeurs,dormeur,21
;,;,p
ils,ils,51
s',se,51
étaient,être,18
rendus,rendre,12
",",",",p
voyant,voir,13
toute,tout,75
résistance,résistance,22
impossible,impossible,30
/.,/.,P
seulement,seulement,60
",",",",p
dans,dans,81
la,le,71
hâte,hâte,22
aveugle,aveugle,30
qu',que,52
ils,ils,51
avaient,avoir,18
d',de,81
en,en,52
finir,finir,14
",",",",p
trois,trois,72
des,de,81
des,le,71
hommes,homme,21
de,de,81
Roudier,Roudier,20
avaient,avoir,18
déchargé,décharger,12
leurs,leur,73
armes,arme,22
en,en,81
l',le,71
air,air,21
",",",",p
comme,comme,83
pour,pour,81
répondre,répondre,14
à,à,81
la,le,71
détonation,détonation,22
d',de,81
en,en,81
haut,haut,21
",",",",p
sans,sans,81
bien,bien,60
savoir,savoir,14
ce,ce,52
qu',que,52
ils,ils,51
faisaient,faire,18
/.,/.,P
il,il,51
y,y,52
a,avoir,17
de,de,81
ces,ce,74
moments,moment,21
où,où,60
les,le,71
fusils,fusil,21
partent,partir,17
d',de,81
eux-mêmes,eux-mêmes,51
dans,dans,81
les,le,71
mains,main,22
des,de,81
des,le,71
poltrons,poltron,21
/.,/.,P
cependant,cependant,82
Rougon,Rougon,20
fit,faire,19
lier,lier,14
solidement,solidement,60
les,le,71
poings,poing,21
de,de,81
Macquart,Macquart,20
avec,avec,81
les,le,71
embrasses,embrasse,22
des,de,81
des,le,71
grands,grand,30
rideaux,rideau,21
verts,vert,30
du,de,81
du,le,71
cabinet,cabinet,21
/.,/.,P
celui-ci,celui-ci,52
ricanait,ricaner,18
",",",",p
pleurant,pleurer,13
de,de,81
rage,rage,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
cela,cela,52
",",",",p
allez,aller,17
toujours,toujours,60
…,…,p
balbutiait,balbutier,18
il,il,51
/.,/.,P
ce,ce,74
soir,soir,21
ou,ou,82
demain,demain,60
",",",",p
quand,quand,83
les,le,71
autres,autre,52
reviendront,revenir,15
",",",",p
nous,nous,51
réglerons,régler,15
nos,notre,73
comptes,compte,21
/!,/!,P
cette,ce,74
allusion,allusion,22
à,à,81
la,le,71
bande,bande,22
insurrectionnelle,insurrectionnel,30
fit,faire,19
passer,passer,14
un,un,71
frisson,frisson,21
dans,dans,81
le,le,71
dos,dos,21
des,de,81
des,le,71
vainqueurs,vainqueur,21
/.,/.,P
Rougon,Rougon,20
surtout,surtout,60
éprouva,éprouver,19
un,un,71
léger,léger,30
étranglement,étranglement,21
/.,/.,P
son,son,73
frère,frère,21
",",",",p
qui,qui,52
était,être,18
exaspéré,exaspérer,12
d',de,81
avoir,avoir,14
été,être,12
surpris,surprendre,12
comme,comme,83
un,un,71
enfant,enfant,21
par,par,81
ces,ce,74
bourgeois,bourgeois,21
effarés,effaré,31
",",",",p
qu',que,52
il,il,51
traitait,traiter,18
d',de,81
abominables,abominable,30
pékins,pékin,21
",",",",p
à,à,81
titre,titre,21
d',de,81
ancien,ancien,30
soldat,soldat,21
",",",",p
le,le,52
regardait,regarder,18
",",",",p
le,le,52
bravait,braver,18
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
luisants,luisant,30
de,de,81
haine,haine,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
j',je,51
en,en,52
sais,savoir,17
de,de,81
belles,beau,30
",",",",p
j',je,51
en,en,52
sais,savoir,17
de,de,81
belles,beau,30
!,!,p
reprit,reprendre,19
il,il,51
sans,sans,81
le,le,52
quitter,quitter,14
du,de,81
du,le,71
regard,regard,21
/.,/.,P
envoyez,envoyer,17
moi,moi,51
donc,donc,82
un,un,71
peu,peu,60
devant,devant,81
la,le,71
cour,cour,22
d',de,81
assises,assise,22
pour,pour,81
que,que,83
je,je,51
raconte,raconter,17
aux,à,81
aux,le,71
juges,juge,21
des,de,81
des,le,71
histoires,histoire,22
qui,qui,52
feront,faire,15
rire,rire,14
/.,/.,P
Rougon,Rougon,20
devint,devenir,19
blême,blême,30
/.,/.,P
il,il,51
eut,avoir,19
une,un,71
peur,peur,22
atroce,atroce,30
que,que,52
Macquart,Macquart,20
ne,ne,60
parlât,parler,18
et,et,82
ne,ne,60
le,le,52
perdît,perdre,18
dans,dans,81
l',le,71
estime,estime,22
des,de,81
des,le,71
messieurs,monsieur,21
qui,qui,52
venaient,venir,18
de,de,81
l',le,52
aider,aider,14
à,à,81
sauver,sauver,14
Plassans,Plassans,20
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
ces,ce,74
messieurs,monsieur,21
",",",",p
tout,tout,60
ahuris,ahuri,30
de,de,81
la,le,71
rencontre,rencontre,22
dramatique,dramatique,30
des,de,81
des,le,71
deux,deux,72
frères,frère,21
",",",",p
s',se,51
étaient,être,18
retirés,retirer,12
dans,dans,81
un,un,71
coin,coin,21
du,de,81
du,le,71
cabinet,cabinet,21
",",",",p
en,en,81
voyant,voir,13
qu',que,83
une,un,71
explication,explication,22
orageuse,orageux,30
allait,aller,18
avoir,avoir,14
lieu,lieu,21
/.,/.,P
Rougon,Rougon,20
prit,prendre,19
une,un,71
décision,décision,22
héroïque,héroïque,30
/.,/.,P
il,il,51
s',se,51
avança,avancer,19
vers,vers,81
le,le,71
groupe,groupe,21
et,et,82
dit,dire,19
d',de,81
un,un,71
ton,ton,21
très,très,60
noble,noble,30
:,:,p
-,-,p
nous,nous,51
garderons,garder,15
cet,ce,74
homme,homme,21
ici,ici,60
/.,/.,P
quand,quand,83
il,il,51
aura,avoir,15
réfléchi,réfléchir,12
à,à,81
sa,son,73
situation,situation,22
",",",",p
il,il,51
pourra,pouvoir,15
nous,nous,51
donner,donner,14
des,de,81
des,le,71
renseignements,renseignement,21
utiles,utile,30
/.,/.,P
puis,puis,60
",",",",p
d',de,81
une,un,71
voix,voix,22
encore,encore,60
plus,plus,60
digne,digne,30
:,:,p
-,-,p
j',je,51
accomplirai,accomplir,15
mon,mon,73
devoir,devoir,21
",",",",p
messieurs,monsieur,21
/.,/.,P
j',je,51
ai,avoir,17
juré,jurer,12
de,de,81
sauver,sauver,14
la,le,71
ville,ville,22
de,de,81
l',le,71
anarchie,anarchie,22
",",",",p
et,et,82
je,je,51
la,le,52
sauverai,sauver,15
",",",",p
dussé,devoir,17
je,je,51
être,être,14
le,le,71
bourreau,bourreau,21
de,de,81
mon,mon,73
plus,plus,60
proche,proche,30
parent,parent,21
/.,/.,P
on,on,51
eût,avoir,19
dit,dire,12
un,un,71
vieux,vieux,30
Romain,Romain,20
sacrifiant,sacrifier,13
sa,son,73
famille,famille,22
sur,sur,81
l',le,71
autel,autel,21
de,de,81
la,le,71
patrie,patrie,22
/.,/.,P
Granoux,Granoux,20
",",",",p
très,très,60
ému,ému,31
",",",",p
vint,venir,19
lui,lui,51
serrer,serrer,14
la,le,71
main,main,22
d',de,81
un,un,71
air,air,21
larmoyant,larmoyant,30
qui,qui,52
signifiait,signifier,18
:,:,p
“,“,p
je,je,51
vous,vous,51
comprends,comprendre,17
",",",",p
vous,vous,51
êtes,être,17
sublime,sublime,30
/!,/!,P
il,il,51
lui,lui,51
