11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-huitième extrait>,<>,<>
tout,tout,60
éveillé,éveillé,31
",",",",p
ou,ou,82
être,être,14
frappé,frapper,12
d',de,81
une,un,71
idée,idée,22
qui,qui,52
avait,avoir,18
glissé,glisser,12
dans,dans,81
son,son,73
esprit,esprit,21
durant,durant,81
le,le,71
jour,jour,21
",",",",p
et,et,82
qui,qui,52
s',se,51
y,y,52
formulait,formuler,18
à,à,81
l',le,71
approche,approche,22
du,de,81
du,le,71
sommeil,sommeil,21
/.,/.,P
-,-,p
mon,mon,73
petit,petit,30
père,père,21
",",",",p
dit,dire,19
il,il,51
",",",",p
si,si,83
tu,tu,51
veux,vouloir,17
me,je,51
donner,donner,14
une,un,71
autre,autre,75
mère,mère,22
",",",",p
je,je,51
veux,vouloir,17
que,que,83
ce,ce,52
soit,être,17
la,le,71
petite,petit,30
Marie,Marie,20
/.,/.,P
et,et,82
sans,sans,81
attendre,attendre,14
de,de,81
réponse,réponse,22
",",",",p
il,il,51
ferma,fermer,19
les,le,71
yeux,oeil,21
et,et,82
s',se,51
endormit,endormir,19
/.,/.,P
malgré,malgré,81
le,le,71
froid,froid,21
/.,/.,P
la,le,71
petite,petit,30
Marie,Marie,20
ne,ne,60
parut,paraître,19
pas,pas,60
faire,faire,14
d',de,81
autre,autre,75
attention,attention,22
aux,à,81
aux,le,71
paroles,parole,22
bizarres,bizarre,30
de,de,81
l',le,71
enfant,enfant,21
que,que,83
de,de,81
les,le,52
regarder,regarder,14
comme,comme,83
une,un,71
preuve,preuve,22
d',de,81
amitié,amitié,22
;,;,p
elle,il,51
l',le,52
enveloppa,envelopper,19
avec,avec,81
soin,soin,21
",",",",p
ranima,ranimer,19
le,le,71
feu,feu,21
",",",",p
et,et,82
",",",",p
comme,comme,83
le,le,71
brouillard,brouillard,21
endormi,endormi,31
sur,sur,81
la,le,71
mare,mare,22
voisine,voisin,30
ne,ne,60
paraissait,paraître,18
nullement,nullement,60
près,près,81
de,de,81
s',se,51
éclaircir,éclaicir,14
",",",",p
elle,il,51
conseilla,conseiller,19
à,à,81
Germain,Germain,20
de,de,81
s',se,51
arranger,arranger,14
auprès,auprès,60
du,de,81
du,le,71
feu,feu,21
pour,pour,81
faire,faire,14
un,un,71
somme,somme,21
/.,/.,P
-,-,p
je,je,51
vois,voir,17
que,que,83
cela,cela,52
vous,vous,51
vient,venir,17
déjà,déjà,60
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
",",",",p
car,car,82
vous,vous,51
ne,ne,60
dites,dire,17
plus,plus,60
mot,mot,21
",",",",p
et,et,82
vous,vous,51
regardez,regarder,17
la,le,71
braise,braise,22
comme,comme,83
votre,votre,73
petit,petit,30
faisait,faire,18
tout,tout,60
à,à,81
l',le,71
heure,heure,22
/.,/.,P
allons,aller,17
",",",",p
dormez,dormir,17
",",",",p
je,je,51
veillerai,veiller,15
à,à,81
l',le,71
enfant,enfant,21
et,et,82
à,à,81
vous,vous,51
/.,/.,P
-,-,p
c',ce,52
est,être,17
toi,toi,51
qui,qui,52
dormiras,dormir,15
",",",",p
répondit,répondre,19
le,le,71
laboureur,laboureur,21
",",",",p
et,et,82
moi,moi,51
je,je,51
vous,vous,51
garderai,garder,15
tous,tout,75
les,le,71
deux,deux,72
",",",",p
car,car,82
jamais,jamais,60
je,je,51
n',ne,60
ai,avoir,17
eu,avoir,12
moins,moins,60
envie,envie,22
de,de,81
dormir,dormir,14
;,;,p
j',je,51
ai,avoir,17
cinquante,cinquante,72
idées,idée,22
dans,dans,81
la,le,71
tête,tête,22
/.,/.,P
-,-,p
cinquante,cinquante,72
",",",",p
c',ce,52
est,être,17
beaucoup,beaucoup,60
",",",",p
dit,dire,19
la,le,71
fillette,fillette,22
avec,avec,81
une,un,71
intention,intention,22
un,un,71
peu,peu,60
moqueuse,moqueur,30
;,;,p
il,il,51
y,y,52
a,avoir,17
tant,tant,60
de,de,81
gens,gens,21
qui,qui,52
seraient,être,16
heureux,heureux,30
d',de,81
en,en,52
avoir,avoir,14
une,un,52
/!,/!,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
si,si,83
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
capable,capable,30
d',de,81
en,en,52
avoir,avoir,14
cinquante,cinquante,72
",",",",p
j',je,51
en,en,52
ai,avoir,17
du,de,81
du,le,71
moins,moins,60
une,un,52
qui,qui,52
ne,ne,60
me,je,51
lâche,lâcher,17
pas,pas,60
depuis,depuis,81
une,un,71
heure,heure,22
/.,/.,P
-,-,p
et,et,82
je,je,51
vas,aller,17
vous,vous,51
la,le,52
dire,dire,14
",",",",p
ainsi,ainsi,60
que,que,83
celles,celui,52
que,que,52
vous,vous,51
aviez,avoir,18
auparavant,auparavant,60
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
oui,oui,60
",",",",p
dis,dire,17
la,le,52
si,si,83
tu,tu,51
la,le,52
devines,deviner,17
",",",",p
Marie,Marie,20
;,;,p
dis,dire,17
la,le,52
moi,moi,51
toi-même,toi-même,51
",",",",p
ça,ça,52
me,je,51
fera,faire,15
plaisir,plaisir,21
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
une,un,71
heure,heure,22
",",",",p
reprit,reprendre,19
elle,il,51
",",",",p
vous,vous,51
aviez,avoir,18
l',le,71
idée,idée,22
de,de,81
manger,manger,14
...,...,p
et,et,82
à,à,81
présent,présent,21
vous,vous,51
avez,avoir,17
l',le,71
idée,idée,22
de,de,81
dormir,dormir,14
/.,/.,P
-,-,p
Marie,Marie,20
",",",",p
je,je,51
ne,ne,60
suis,être,17
qu',que,83
un,un,71
bouvier,bouvier,21
",",",",p
mais,mais,82
vraiment,vraiment,60
tu,tu,51
me,je,51
prends,prendre,17
pour,pour,81
un,un,71
boeuf,boeuf,21
/.,/.,P
tu,tu,51
es,être,17
une,un,71
méchante,méchant,30
fille,fille,22
",",",",p
et,et,82
je,je,51
vois,voir,17
bien,bien,60
que,que,83
tu,tu,51
ne,ne,60
veux,vouloir,17
point,point,60
causer,causer,14
avec,avec,81
moi,moi,51
/.,/.,P
dors,dormir,17
donc,donc,82
",",",",p
cela,cela,52
vaudra,valoir,15
mieux,mieux,60
que,que,83
de,de,81
critiquer,critiquer,14
un,un,71
homme,homme,21
qui,qui,52
n',ne,60
est,être,17
pas,pas,60
gai,gai,30
/.,/.,P
-,-,p
si,si,83
vous,vous,51
voulez,vouloir,17
causer,causer,14
",",",",p
causons,causer,17
",",",",p
dit,dire,19
la,le,71
petite,petit,30
fille,fille,22
en,en,81
se,se,51
couchant,coucher,13
à,à,81
demi,demi,30
auprès,auprès,60
de,de,81
l',le,71
enfant,enfant,21
",",",",p
et,et,82
en,en,81
appuyant,appuyer,13
sa,son,73
tête,tête,22
contre,contre,81
le,le,71
bât,bât,21
/.,/.,P
vous,vous,51
êtes,être,17
en,en,81
train,train,21
de,de,81
vous,vous,51
tourmenter,tourmenter,14
",",",",p
Germain,Germain,20
",",",",p
et,et,82
en,en,81
cela,cela,52
vous,vous,51
ne,ne,60
montrez,montrer,17
pas,pas,60
beaucoup,beaucoup,60
de,de,81
courage,courage,21
pour,pour,81
un,un,71
homme,homme,21
/.,/.,P
que,que,52
ne,ne,60
dirais,dire,16
je,je,51
pas,pas,60
",",",",p
moi,moi,51
",",",",p
si,si,83
je,je,51
ne,ne,60
me,je,51
défendais,défendre,18
pas,pas,60
de,de,81
mon,mon,73
mieux,mieux,60
contre,contre,81
mon,mon,73
propre,propre,30
chagrin,chagrin,21
/?,/?,P
-,-,p
oui,oui,60
",",",",p
sans,sans,81
doute,doute,21
",",",",p
et,et,82
c',ce,52
est,être,17
là,là,60
justement,justement,60
ce,ce,52
qui,qui,52
m',je,51
occupe,occuper,17
",",",",p
ma,mon,73
pauvre,pauvre,30
enfant,enfant,21
/!,/!,P
tu,tu,51
vas,aller,17
vivre,vivre,14
loin,loin,60
de,de,81
tes,ton,73
parents,parent,21
et,et,82
dans,dans,81
un,un,71
vilain,vilain,30
pays,pays,21
de,de,81
landes,lande,22
et,et,82
de,de,81
marécages,marécage,21
",",",",p
où,où,60
tu,tu,51
attraperas,attraper,15
les,le,71
fièvres,fièvre,22
d',de,81
automne,automne,21
",",",",p
où,où,60
les,le,71
bêtes,bête,22
à,à,81
laine,laine,22
ne,ne,60
profitent,profiter,17
pas,pas,60
",",",",p
ce,ce,52
qui,qui,52
chagrine,chagriner,17
toujours,toujours,60
une,un,71
bergère,bergère,22
qui,qui,52
a,avoir,17
bonne,bon,30
intention,intention,22
;,;,p
enfin,enfin,60
tu,tu,51
seras,être,15
au,à,81
au,le,71
milieu,milieu,21
d',de,81
étrangers,étranger,21
qui,qui,52
ne,ne,60
seront,être,15
peut-être,peut-être,60
pas,pas,60
bons,bon,30
pour,pour,81
toi,toi,51
",",",",p
qui,qui,52
ne,ne,60
comprendront,comprendre,15
pas,pas,60
ce,ce,52
que,que,52
tu,tu,51
vaux,valoir,17
/.,/.,P
tiens,tenir,17
",",",",p
ça,ça,52
me,je,51
fait,faire,17
plus,plus,60
de,de,81
peine,peine,22
que,que,83
je,je,51
ne,ne,60
peux,pouvoir,17
te,tu,51
le,le,52
dire,dire,14
",",",",p
et,et,82
j',je,51
ai,avoir,17
envie,envie,22
de,de,81
te,tu,51
remmener,remmener,14
chez,chez,81
ta,ton,73
mère,mère,22
au,à,81
au,le,71
lieu,lieu,21
d',de,81
aller,aller,14
à,à,81
Fourche,Fourche,20
/.,/.,P
-,-,p
vous,vous,51
parlez,parler,17
avec,avec,81
beaucoup,beaucoup,60
de,de,81
bonté,bonté,22
",",",",p
mais,mais,82
sans,sans,81
raison,raison,22
",",",",p
mon,mon,73
pauvre,pauvre,30
Germain,Germain,20
;,;,p
on,on,51
ne,ne,60
doit,devoir,17
pas,pas,60
être,être,14
lâche,lâche,30
pour,pour,81
ses,son,73
amis,ami,21
",",",",p
et,et,82
au,à,81
au,le,71
lieu,lieu,21
de,de,81
me,je,51
montrer,montrer,14
le,le,71
mauvais,mauvais,30
côté,côté,21
de,de,81
mon,mon,73
sort,sort,21
",",",",p
vous,vous,51
devriez,devoir,16
m',je,51
en,en,52
montrer,montrer,14
le,le,71
bon,bon,21
",",",",p
comme,comme,83
vous,vous,51
faisiez,faire,18
quand,quand,83
nous,nous,51
avons,avoir,17
goûté,goûter,12
chez,chez,81
la,le,71
Rebec,Rebec,20
/.,/.,P
-,-,p
que,que,52
veux,vouloir,17
tu,tu,51
/!,/!,P
ça,ça,52
me,je,51
paraissait,paraître,18
ainsi,ainsi,60
dans,dans,81
ce,ce,74
moment,moment,21
là,là,60
",",",",p
et,et,82
à,à,81
présent,présent,21
ça,ça,52
me,je,51
paraît,paraître,17
autrement,autrement,60
/.,/.,P
tu,tu,51
ferais,faire,16
mieux,mieux,60
de,de,81
trouver,trouver,14
un,un,71
mari,mari,21
/.,/.,P
-,-,p
ça,ça,52
ne,ne,60
se,se,51
peut,pouvoir,17
pas,pas,60
",",",",p
Germain,Germain,20
",",",",p
je,je,51
vous,vous,51
l',le,52
ai,avoir,17
dit,dire,12
;,;,p
et,et,82
comme,comme,83
ça,ça,52
ne,ne,60
se,se,51
peut,pouvoir,17
pas,pas,60
",",",",p
je,je,51
n',ne,60
y,y,52
pense,penser,17
pas,pas,60
/.,/.,P
-,-,p
mais,mais,82
enfin,enfin,60
si,si,83
ça,ça,52
se,se,51
trouvait,trouver,18
/?,/?,P
peut-être,peut-être,60
que,que,83
si,si,83
tu,tu,51
voulais,vouloir,18
me,je,51
dire,dire,14
comment,comment,60
tu,tu,51
souhaiterais,souhaiter,16
qu',que,83
il,il,51
fût,être,19
",",",",p
je,je,51
parviendrais,parvenir,16
à,à,81
imaginer,imaginer,14
quelqu'un,quelqu'un,52
/.,/.,P
-,-,p
imaginer,imaginer,14
n',ne,60
est,être,17
pas,pas,60
trouver,trouver,14
/.,/.,P
moi,moi,51
",",",",p
je,je,51
n',ne,60
imagine,imaginer,17
rien,rien,52
puisque,puisque,83
c',ce,52
est,être,17
inutile,inutile,30
/.,/.,P
-,-,p
tu,tu,51
n',ne,60
aurais,avoir,16
pas,pas,60
l',le,71
idée,idée,22
de,de,81
trouver,trouver,14
un,un,71
riche,riche,21
/?,/?,P
-,-,p
non,non,60
",",",",p
bien,bien,60
sûr,sûr,30
",",",",p
puisque,puisque,83
je,je,51
suis,être,17
pauvre,pauvre,30
comme,comme,83
Job,Job,20
/.,/.,P
-,-,p
mais,mais,82
s',si,83
il,il,51
était,être,18
à,à,81
son,son,73
aise,aise,22
",",",",p
ça,ça,52
ne,ne,60
te,tu,51
ferait,faire,16
pas,pas,60
de,de,81
peine,peine,22
d',de,81
être,être,14
bien,bien,60
logée,loger,12
",",",",p
bien,bien,60
nourrie,nourrir,12
",",",",p
bien,bien,60
vêtue,vêtir,12
et,et,82
dans,dans,81
une,un,71
famille,famille,22
de,de,81
braves,brave,30
gens,gens,21
qui,qui,52
te,tu,51
permettrait,permettre,16
d',de,81
assister,assister,14
ta,ton,73
mère,mère,22
/?,/?,P
-,-,p
ôh,oh,93
!,!,p
pour,pour,81
cela,cela,52
",",",",p
oui,oui,60
!,!,p
assister,assister,14
ma,mon,73
mère,mère,22
est,être,17
tout,tout,75
mon,mon,73
souhait,souhait,21
/.,/.,P
-,-,p
et,et,82
si,si,83
cela,cela,52
se,se,51
rencontrait,rencontrer,18
",",",",p
quand,quand,83
même,même,60
l',le,71
homme,homme,21
ne,ne,60
serait,être,16
pas,pas,60
de,de,81
la,le,71
première,premier,72
jeunesse,jeunesse,22
",",",",p
tu,tu,51
ne,ne,60
ferais,faire,16
pas,pas,60
trop,trop,60
la,le,71
difficile,difficile,30
/?,/?,P
-,-,p
ah,ah,93
!,!,p
pardonnez,pardonner,17
moi,moi,51
",",",",p
Germain,Germain,20
/.,/.,P
c',ce,52
est,être,17
justement,justement,60
la,le,71
chose,chose,22
à,à,81
laquelle,lequel,52
je,je,51
tiendrais,tenir,16
/.,/.,P
je,je,51
n',ne,60
aimerais,aimer,16
pas,pas,60
un,un,71
vieux,vieux,21
/!,/!,P
-,-,p
un,un,71
vieux,vieux,21
",",",",p
sans,sans,81
doute,doute,21
;,;,p
mais,mais,82
",",",",p
par,par,81
exemple,exemple,21
",",",",p
un,un,71
homme,homme,21
de,de,81
mon,mon,73
âge,âge,21
/?,/?,P
-,-,p
votre,votre,73
âge,âge,21
est,être,17
vieux,vieux,30
pour,pour,81
moi,moi,51
",",",",p
Germain,Germain,20
;,;,p
j',je,51
aimerais,aimer,16
l',le,71
âge,âge,21
de,de,81
Bastien,Bastien,20
",",",",p
quoique,quoique,83
Bastien,Bastien,20
ne,ne,60
soit,être,17
pas,pas,60
si,si,60
joli,joli,30
homme,homme,21
que,que,83
vous,vous,51
/.,/.,P
-,-,p
tu,tu,51
aimerais,aimer,16
mieux,mieux,60
Bastien,Bastien,20
le,le,71
porcher,porcher,21
?,?,p
dit,dire,19
Germain,Germain,20
avec,avec,81
humeur,humeur,22
/.,/.,P
un,un,71
garçon,garçon,21
qui,qui,52
a,avoir,17
des,de,81
des,le,71
yeux,oeil,21
faits,fait,31
comme,comme,83
les,le,71
bêtes,bête,22
qu',que,52
il,il,51
mène,mener,17
/?,/?,P
-,-,p
je,je,51
passerais,passer,16
par-dessus,par-dessus,60
ses,son,73
yeux,oeil,21
",",",",p
à,à,81
cause,cause,22
de,de,81
ses,son,73
dix,dix,72
huit,huit,72
ans,an,21
/.,/.,P
Germain,Germain,20
se,se,51
sentit,sentir,19
horriblement,horriblement,60
jaloux,jaloux,30
/.,/.,P
-,-,p
allons,aller,17
",",",",p
dit,dire,19
il,il,51
",",",",p
je,je,51
vois,voir,17
que,que,83
tu,tu,51
en,en,52
tiens,tenir,17
pour,pour,81
Bastien,Bastien,20
/.,/.,P
c',ce,52
est,être,17
une,un,71
drôle,drôle,30
d',de,81
idée,idée,22
",",",",p
pas,pas,60
moins,moins,60
/!,/!,P
-,-,p
oui,oui,60
",",",",p
ce,ce,52
serait,être,16
une,un,71
drôle,drôle,30
d',de,81
idée,idée,22
",",",",p
répondit,répondre,19
la,le,71
petite,petit,30
Marie,Marie,20
en,en,81
riant,rire,13
aux,à,81
aux,le,71
éclats,éclat,21
",",",",p
et,et,82
ça,ça,52
ferait,faire,16
un,un,71
drôle,drôle,30
de,de,81
mari,mari,21
/.,/.,P
on,on,51
lui,lui,51
ferait,faire,16
accroire,accroire,14
tout,tout,52
ce,ce,52
qu',que,52
on,on,51
voudrait,vouloir,16
/.,/.,P
par,par,81
exemple,exemple,21
",",",",p
l',le,71
autre,autre,75
jour,jour,21
",",",",p
j',je,51
avais,avoir,18
ramassé,ramasser,12
une,un,71
tomate,tomate,22
dans,dans,81
le,le,71
jardin,jardin,21
à,à,81
monsieur,monsieur,21
le,le,71
curé,curé,21
;,;,p
je,je,51
lui,lui,51
ai,avoir,17
dit,dire,12
que,que,83
c',ce,52
était,être,18
une,un,71
belle,beau,30
pomme,pomme,22
rouge,rouge,30
",",",",p
et,et,82
il,il,51
a,avoir,17
mordu,mordre,12
dedans,dedans,60
comme,comme,83
un,un,71
goulu,goulu,30
/.,/.,P
si,si,83
vous,vous,51
aviez,avoir,18
vu,voir,12
quelle,quel,75
grimace,grimace,22
/!,/!,P
mon,mon,73
dieu,dieu,21
",",",",p
qu',que,52
il,il,51
était,être,18
vilain,vilain,30
/!,/!,P
-,-,p
tu,tu,51
ne,ne,60
l',le,52
aimes,aimer,17
donc,donc,82
pas,pas,60
",",",",p
puisque,puisque,83
tu,tu,51
te,tu,51
moques,moquer,17
de,de,81
lui,lui,51
/?,/?,P
-,-,p
ce,ce,52
ne,ne,60
serait,être,16
pas,pas,60
une,un,71
raison,raison,22
/.,/.,P
mais,mais,82
je,je,51
ne,ne,60
l',le,52
aime,aimer,17
pas,pas,60
:,:,p
il,il,51
est,être,17
brutal,brutal,30
avec,avec,81
sa,son,73
petite,petit,30
soeur,soeur,22
",",",",p
et,et,82
il,il,51
est,être,17
malpropre,malpropre,30
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
tu,tu,51
ne,ne,60
te,tu,51
sens,sentir,17
pas,pas,60
portée,porté,31
pour,pour,81
quelque,quelque,75
autre,autre,52
/?,/?,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,83
ça,ça,52
vous,vous,51
fait,faire,17
",",",",p
Germain,Germain,20
?,?,p
-,-,p
ça,ça,52
ne,ne,60
me,je,51
fait,faire,17
rien,rien,52
",",",",p
c',ce,52
est,être,17
pour,pour,81
parler,parler,14
/.,/.,P
je,je,51
vois,voir,17
",",",",p
petite,petit,30
fille,fille,22
",",",",p
que,que,83
tu,tu,51
as,avoir,17
déjà,déjà,60
un,un,71
galant,galant,21
dans,dans,81
la,le,71
tête,tête,22
/.,/.,P
-,-,p
non,non,60
",",",",p
Germain,Germain,20
",",",",p
vous,vous,51
vous,vous,51
trompez,tromper,17
",",",",p
je,je,51
n',ne,60
en,en,52
ai,avoir,17
pas,pas,60
encore,encore,60
;,;,p
ça,ça,52
pourra,pouvoir,15
venir,venir,14
plus,plus,60
tard,tard,60
:,:,p
mais,mais,82
puisque,puisque,83
je,je,51
ne,ne,60
me,je,51
marierai,marier,15
que,que,83
quand,quand,83
j',je,51
aurai,avoir,15
un,un,71
peu,peu,60
amassé,amasser,12
",",",",p
je,je,51
suis,être,17
destinée,destiner,12
à,à,81
me,je,51
marier,marier,14
tard,tard,60
et,et,82
avec,avec,81
un,un,71
vieux,vieux,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
prends,prendre,17
en,en,52
un,un,71
vieux,vieux,21
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
-,-,p
non,non,60
pas,pas,60
!,!,p
quand,quand,83
je,je,51
ne,ne,60
serai,être,16
plus,plus,60
jeune,jeune,30
",",",",p
ça,ça,52
me,je,51
sera,être,15
égal,égal,30
;,;,p
à,à,81
présent,présent,21
",",",",p
ce,ce,52
serait,être,16
différent,différent,30
/.,/.,P
-,-,p
je,je,51
vois,voir,17
bien,bien,60
",",",",p
Marie,Marie,20
",",",",p
que,que,83
je,je,51
te,tu,51
déplais,déplaire,17
:,:,p
c',ce,52
est,être,17
assez,assez,60
clair,clair,30
",",",",p
dit,dire,19
Germain,Germain,20
avec,avec,81
dépit,dépit,21
",",",",p
et,et,82
sans,sans,81
peser,peser,14
ses,son,73
paroles,parole,22
/.,/.,P
la,le,71
petite,petit,30
Marie,Marie,20
ne,ne,60
répondit,répondre,19
pas,pas,60
/.,/.,P
Germain,Germain,20
se,se,51
pencha,pencher,19
vers,vers,81
elle,il,51
:,:,p
elle,il,51
dormait,dormir,18
;,;,p
elle,il,51
était,être,18
tombée,tomber,12
vaincue,vaincu,31
et,et,82
comme,comme,83
foudroyée,foudroyé,31
par,par,81
le,le,71
sommeil,sommeil,21
",",",",p
comme,comme,83
font,faire,17
les,le,71
enfants,enfant,21
qui,qui,52
dorment,dormir,17
déjà,déjà,60
lorsqu',lorsque,83
ils,ils,51
babillent,babiller,17
encore,encore,60
/.,/.,P
Germain,Germain,20
fut,être,19
content,content,30
qu',que,83
elle,il,51
n',ne,60
eût,avoir,19
pas,pas,60
fait,faire,12
attention,attention,22
à,à,81
ses,son,73
dernières,dernier,30
paroles,parole,22
;,;,p
il,il,51
reconnut,reconnaître,19
qu',que,83
elles,ils,51
n',ne,60
étaient,être,18
point,point,60
sages,sage,30
",",",",p
et,et,82
il,il,51
lui,lui,51
tourna,tourner,19
le,le,71
dos,dos,21
pour,pour,81
se,se,51
distraire,distraire,14
et,et,82
changer,changer,14
de,de,81
pensée,pensée,22
/.,/.,P
mais,mais,82
il,il,51
eut,avoir,19
beau,beau,60
faire,faire,14
",",",",p
il,il,51
ne,ne,60
put,pouvoir,19
ni,ni,82
s',se,51
endormir,endormir,14
",",",",p
ni,ni,82
songer,songer,14
à,à,81
autre,autre,75
chose,chose,22
qu',que,83
à,à,81
ce,ce,52
qu',que,52
il,il,51
venait,venir,18
de,de,81
dire,dire,14
/.,/.,P
il,il,51
tourna,tourner,19
vingt,vingt,72
fois,fois,22
autour,autour,60
du,de,81
du,le,71
feu,feu,21
",",",",p
il,il,51
s',se,51
éloigna,éloigner,19
",",",",p
il,il,51
revint,revenir,19
;,;,p
enfin,enfin,60
",",",",p
se,se,51
sentant,sentir,13
aussi,aussi,60
agité,agité,31
que,que,83
s',si,83
il,il,51
eût,avoir,19
avalé,avaler,12
de,de,81
la,le,71
poudre,poudre,22
à,à,81
canon,canon,21
",",",",p
il,il,51
s',se,51
appuya,appuyer,19
contre,contre,81
l',le,71
arbre,arbre,21
qui,qui,52
abritait,abriter,18
les,le,71
deux,deux,72
enfants,enfant,21
et,et,82
les,le,52
regarda,regarder,19
dormir,dormir,14
/.,/.,P
-,-,p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
comment,comment,60
je,je,51
ne,ne,60
m',je,51
étais,être,18
jamais,jamais,60
aperçu,apercevoir,12
",",",",p
pensait,penser,18
il,il,51
",",",",p
que,que,83
cette,ce,74
petite,petit,30
Marie,Marie,20
est,être,17
la,le,71
plus,plus,60
jolie,joli,30
fille,fille,22
du,de,81
du,le,71
pays,pays,21
!,!,p
elle,il,51
n',ne,60
a,avoir,17
pas,pas,60
beaucoup,beaucoup,60
de,de,81
couleurs,couleur,22
",",",",p
mais,mais,82
elle,il,51
a,avoir,17
un,un,71
petit,petit,30
visage,visage,21
frais,frais,30
comme,comme,83
une,un,71
rose,rose,22
de,de,81
buissons,buisson,21
/!,/!,P
quelle,quel,75
gentille,gentil,30
bouche,bouche,22
et,et,82
quel,quel,75
mignon,mignon,30
petit,petit,30
nez,nez,21
!,!,p
elle,il,51
n',ne,60
est,être,17
pas,pas,60
grande,grand,30
pour,pour,81
son,son,73
âge,âge,21
",",",",p
mais,mais,82
elle,il,51
est,être,17
faite,faire,12
comme,comme,83
une,un,71
petite,petit,30
caille,caille,22
et,et,82
légère,léger,30
comme,comme,83
un,un,71
petit,petit,30
pinson,pinson,21
!,!,p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
pourquoi,pourquoi,60
on,on,51
fait,faire,17
tant,tant,60
de,de,81
cas,cas,21
chez,chez,81
nous,nous,51
d',de,81
une,un,71
grande,grand,30
et,et,82
grosse,gros,30
femme,femme,22
bien,bien,60
vermeille,vermeil,30
/…,/…,P
la,le,71
mienne,mien,52
était,être,18
plutôt,plutôt,60
mince,mince,30
et,et,82
pâle,pâle,30
",",",",p
et,et,82
elle,il,51
me,je,51
plaisait,plaire,18
par-dessus,par-dessus,60
tout,tout,52
/…,/…,P
celle-ci,celui-ci,52
est,être,17
toute,tout,60
délicate,délicat,30
mais,mais,82
elle,il,51
ne,ne,60
s',se,51
en,en,52
porte,porter,17
pas,pas,60
plus,plus,60
mal,mal,60
",",",",p
et,et,82
elle,il,51
est,être,17
jolie,joli,30
à,à,81
voir,voir,14
comme,comme,83
un,un,71
chevreau,chevreau,21
blanc,blanc,30
!,!,p
et,et,82
puis,puis,60
",",",",p
quel,quel,75
air,air,21
doux,doux,30
et,et,82
honnête,honnête,30
!,!,p
comme,comme,83
on,on,51
lit,lire,17
son,son,73
bon,bon,30
coeur,coeur,21
dans,dans,81
ses,son,73
yeux,oeil,21
",",",",p
même,même,60
lorsqu',lorsque,83
ils,ils,51
sont,être,17
fermés,fermer,12
pour,pour,81
dormir,dormir,14
!,!,p
quant,quand,83
à,à,81
de,de,81
l',le,71
esprit,esprit,21
",",",",p
elle,il,51
en,en,52
a,avoir,17
plus,plus,60
que,que,83
ma,mon,73
chère,cher,30
Catherine,Catherine,20
n',ne,60
en,en,52
avait,avoir,18
",",",",p
il,il,51
faut,falloir,17
en,en,52
convenir,convenir,14
",",",",p
et,et,82
on,on,51
ne,ne,60
s',se,51
ennuierait,ennuyer,16
pas,pas,60
avec,avec,81
elle,il,51
/…,/…,P
c',ce,52
est,être,17
gai,gai,30
",",",",p
c',ce,52
est,être,17
sage,sage,30
",",",",p
c',ce,52
est,être,17
laborieux,laborieux,30
",",",",p
c',ce,52
est,être,17
aimant,aimant,30
",",",",p
et,et,82
c',ce,52
est,être,17
drôle,drôle,30
/.,/.,P
je,je,51
ne,ne,60
vois,voir,17
pas,pas,60
ce,ce,52
qu',que,52
on,on,51
pourrait,pouvoir,16
souhaiter,souhaiter,14
de,de,81
mieux,mieux,60
/…,/…,P
mais,mais,82
qu',que,52
ai,avoir,17
je,je,51
à,à,81
m',je,51
occuper,occuper,14
de,de,81
tout,tout,75
cela,cela,52
?,?,p
reprenait,reprendre,18
Germain,Germain,20
",",",",p
en,en,81
tâchant,tâcher,13
de,de,81
regarder,regarder,14
d',de,81
un,un,71
autre,autre,75
côté,côté,21
/.,/.,P
mon,mon,73
beau-père,beau-père,21
ne,ne,60
voudrait,vouloir,16
pas,pas,60
en,en,52
entendre,entendre,14
parler,parler,14
",",",",p
et,et,82
toute,tout,75
la,le,71
famille,famille,22
me,je,51
traiterait,traiter,16
de,de,81
fou,fou,21
/!,/!,P
d',de,81
ailleurs,ailleurs,60
",",",",p
elle-même,lui-même,51
ne,ne,60
voudrait,vouloir,16
pas,pas,60
de,de,81
moi,moi,51
",",",",p
la,le,71
pauvre,pauvre,30
enfant,enfant,21
!,!,p
elle,il,51
me,je,51
trouve,trouver,17
trop,trop,60
vieux,vieux,30
:,:,p
elle,il,51
me,je,51
l',le,52
a,avoir,17
dit,dire,12
/…,/…,P
elle,il,51
n',ne,60
est,être,17
pas,pas,60
intéressée,intéresser,12
",",",",p
elle,il,51
se,se,51
soucie,soucier,17
peu,peu,60
d',de,81
