11688
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-cinquième extrait>,<>,<>
",",",",p
sans,sans,81
que,que,83
lui,lui,51
ni,ni,82
mademoiselle,mademoiselle,22
Fischer,Fischer,20
en,en,52
eussent,avoir,18
le,le,71
moindre,moindre,30
soupçon,soupçon,21
/.,/.,P
tous,tout,75
les,le,71
jours,jour,21
",",",",p
dès,dès,81
que,que,83
mademoiselle,mademoiselle,22
Fischer,Fischer,20
sortait,sortir,18
pour,pour,81
dîner,dîner,14
",",",",p
Wenceslas,Wenceslas,20
allait,aller,18
chez,chez,81
la,le,71
baronne,baronne,22
/.,/.,P
il,il,51
y,y,52
passait,passer,18
une,un,72
ou,ou,82
deux,deux,72
heures,heure,22
",",",",p
excepté,excepté,81
le,le,71
jour,jour,21
où,où,60
la,le,71
Bette,Bette,20
venait,venir,18
chez,chez,81
sa,son,73
cousine,cousine,22
Hulot,Hulot,20
/.,/.,P
cet,ce,74
état,état,21
de,de,81
choses,chose,22
dura,durer,19
pendant,pendant,81
quelques,quelque,75
jours,jour,21
/.,/.,P
le,le,71
baron,baron,21
sûr,sûr,30
des,de,81
des,le,71
qualités,qualité,22
et,et,82
de,de,81
l',le,71
état,état,21
civil,civil,30
du,de,81
du,le,71
comte,comte,21
Steinbock,Steinbock,20
",",",",p
la,le,71
baronne,baronne,22
heureuse,heureux,30
de,de,81
son,son,73
caractère,caractère,21
et,et,82
de,de,81
ses,son,73
moeurs,moeurs,22
",",",",p
Hortense,Hortense,20
fière,fier,30
de,de,81
son,son,73
amour,amour,21
approuvé,approuvé,31
",",",",p
de,de,81
la,le,71
gloire,gloire,22
de,de,81
son,son,73
prétendu,prétendu,31
",",",",p
n',ne,60
hésitaient,hésiter,18
plus,plus,60
à,à,81
parler,parler,14
de,de,81
ce,ce,74
mariage,mariage,21
;,;,p
enfin,enfin,60
",",",",p
l',le,71
artiste,artiste,21
était,être,18
au,à,81
au,le,71
comble,comble,21
du,de,81
du,le,71
bonheur,bonheur,21
",",",",p
quand,quand,83
une,un,71
indiscrétion,indiscrétion,22
de,de,81
madame,madame,22
Marneffe,Marneffe,20
mit,mettre,19
tout,tout,52
en,en,81
péril,péril,21
/.,/.,P
voici,voici,81
comment,comment,60
/.,/.,P
Lisbeth,Lisbeth,20
",",",",p
que,que,52
le,le,71
baron,baron,21
Hulot,Hulot,20
désirait,désirer,18
lier,lier,14
avec,avec,81
madame,madame,22
Marneffe,Marneffe,20
pour,pour,81
avoir,avoir,14
un,un,71
oeil,oeil,21
dans,dans,81
ce,ce,74
ménage,ménage,21
",",",",p
avait,avoir,18
déjà,déjà,60
dîné,dîner,12
chez,chez,81
Valérie,Valérie,20
",",",",p
qui,qui,52
",",",",p
de,de,81
son,son,73
côté,côté,21
",",",",p
voulant,vouloir,13
avoir,avoir,14
une,un,71
oreille,oreille,22
dans,dans,81
la,le,71
famille,famille,22
Hulot,Hulot,20
",",",",p
caressait,caresser,18
beaucoup,beaucoup,60
la,le,71
vieille,vieux,30
fille,fille,22
/.,/.,P
Valérie,Valérie,20
eut,avoir,19
donc,donc,82
l',le,71
idée,idée,22
d',de,81
engager,engager,14
mademoiselle,mademoiselle,22
Fischer,Fischer,20
à,à,81
pendre,pendre,14
la,le,71
crémaillère,crémaillère,22
du,de,81
du,le,71
nouvel,nouveau,30
appartement,appartement,21
où,où,60
elle,il,51
devait,devoir,18
s',se,51
installer,installer,14
/.,/.,P
la,le,71
vieille,vieux,30
fille,fille,22
",",",",p
heureuse,heureux,30
de,de,81
trouver,trouver,14
une,un,71
maison,maison,22
de,de,81
plus,plus,60
où,où,60
aller,aller,14
dîner,dîner,14
et,et,82
captée,capté,31
par,par,81
madame,madame,22
Marneffe,Marneffe,20
",",",",p
l',le,52
avait,avoir,18
prise,prendre,12
en,en,81
affection,affection,22
/.,/.,P
de,de,81
toutes,tout,75
les,le,71
personnes,personne,22
avec,avec,81
lesquelles,lequel,52
elle,il,51
s',se,51
était,être,18
liée,lier,12
",",",",p
aucune,aucun,52
n',ne,60
avait,avoir,18
fait,faire,12
autant,autant,60
de,de,81
frais,frais,21
pour,pour,81
elle,il,51
/.,/.,P
en,en,81
effet,effet,21
",",",",p
madame,madame,22
Marneffe,Marneffe,20
",",",",p
toute,tout,52
aux,à,81
aux,le,71
petits,petit,30
soins,soin,21
pour,pour,81
mademoiselle,mademoiselle,22
Fischer,Fischer,20
",",",",p
se,se,51
trouvait,trouver,18
",",",",p
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
vis-à-vis,vis-à-vis,60
d',de,81
elle,il,51
ce,ce,52
qu',que,52
était,être,18
la,le,71
cousine,cousine,22
Bette,Bette,20
vis-à-vis,vis-à-vis,60
de,de,81
la,le,71
baronne,baronne,22
",",",",p
de,de,81
monsieur,monsieur,21
Rivet,Rivet,20
",",",",p
de,de,81
Crevel,Crevel,20
",",",",p
de,de,81
tous,tout,75
ceux,celui,52
enfin,enfin,60
qui,qui,52
la,le,52
recevaient,recevoir,18
à,à,81
dîner,dîner,14
/.,/.,P
les,le,71
Marneffe,Marneffe,20
avaient,avoir,18
surtout,surtout,60
excité,exciter,12
la,le,71
commisération,commisération,22
de,de,81
la,le,71
cousine,cousine,22
Bette,Bette,20
en,en,81
lui,lui,51
laissant,laisser,13
voir,voir,14
la,le,71
profonde,profond,30
détresse,détresse,22
de,de,81
leur,leur,73
ménage,ménage,21
",",",",p
et,et,82
la,le,52
vernissant,vernir,13
",",",",p
comme,comme,83
toujours,toujours,60
",",",",p
des,de,81
des,le,71
plus,plus,60
belles,beau,30
couleurs,couleur,22
:,:,p
des,de,81
des,le,71
amis,ami,21
obligés,obligé,31
et,et,82
ingrats,ingrat,30
",",",",p
des,de,81
des,le,71
maladies,maladie,22
",",",",p
une,un,71
mère,mère,22
",",",",p
madame,madame,22
Fortin,Fortin,20
",",",",p
à,à,81
qui,qui,52
l',l',94
on,on,51
avait,avoir,18
caché,cacher,12
sa,son,73
détresse,détresse,22
",",",",p
et,et,82
morte,mort,31
en,en,81
se,se,51
croyant,croire,13
toujours,toujours,60
dans,dans,81
l',le,71
opulence,opulence,22
",",",",p
grâce,grâce,22
à,à,81
des,de,81
des,le,71
sacrifices,sacrifice,21
plus,plus,60
qu',que,83
humains,humain,30
",",",",p
etc,et cetera,91
/.,/.,P
-,-,p
pauvres,pauvre,30
gens,gens,21
!,!,p
disait,dire,18
elle,il,51
à,à,81
son,son,73
cousin,cousin,21
Hulot,Hulot,20
",",",",p
vous,vous,51
avez,avoir,17
bien,bien,60
raison,raison,22
de,de,81
vous,vous,51
intéresser,intéresser,14
à,à,81
eux,ils,51
",",",",p
ils,ils,51
le,le,52
méritent,mériter,17
bien,bien,60
",",",",p
car,car,82
ils,ils,51
sont,être,17
si,si,60
courageux,courageux,30
",",",",p
si,si,60
bons,bon,30
/!,/!,P
ils,ils,51
peuvent,pouvoir,17
à,à,81
peine,peine,22
vivre,vivre,14
avec,avec,81
mille,mille,72
écus,écu,21
de,de,81
leur,leur,73
place,place,22
de,de,81
sous-chef,sous-chef,21
",",",",p
car,car,82
ils,ils,51
ont,avoir,17
fait,faire,12
des,de,81
des,le,71
dettes,dette,22
depuis,depuis,81
la,le,71
mort,mort,22
du,de,81
du,le,71
maréchal,maréchal,21
Montcornet,Montcornet,20
/!,/!,P
c',ce,52
est,être,17
barbarie,barbarie,22
au,à,81
au,le,71
gouvernement,gouvernement,21
de,de,81
vouloir,vouloir,14
qu',que,83
un,un,71
employé,employé,21
",",",",p
qui,qui,52
a,avoir,17
femme,femme,22
et,et,82
enfants,enfant,21
",",",",p
vive,vivre,17
dans,dans,81
Paris,Paris,20
avec,avec,81
deux,deux,72
mille,mille,72
quatre,quatre,72
cents,cent,72
francs,franc,21
d',de,81
appointements,appointement,21
/.,/.,P
une,un,71
jeune,jeune,30
femme,femme,22
qui,qui,52
",",",",p
pour,pour,81
elle,il,51
",",",",p
avait,avoir,18
des,de,81
des,le,71
semblants,semblant,21
d',de,81
amitié,amitié,22
",",",",p
qui,qui,52
lui,lui,51
disait,dire,18
tout,tout,52
en,en,81
la,le,52
consultant,consulter,13
",",",",p
la,le,52
flattant,flatter,13
et,et,82
paraissant,paraître,13
vouloir,vouloir,14
se,se,51
laisser,laisser,14
conduire,conduire,14
par,par,81
elle,il,51
",",",",p
devint,devenir,19
donc,donc,82
en,en,81
peu,peu,60
de,de,81
temps,temps,21
plus,plus,60
chère,cher,30
à,à,81
l',le,71
excentrique,excentrique,30
cousine,cousine,22
Bette,Bette,20
que,que,83
tous,tout,75
ses,son,73
parents,parent,21
/.,/.,P
de,de,81
son,son,73
côté,côté,21
",",",",p
le,le,71
baron,baron,21
",",",",p
admirant,admirer,13
dans,dans,81
madame,madame,22
Marneffe,Marneffe,20
une,un,71
décence,décence,22
",",",",p
une,un,71
éducation,éducation,22
",",",",p
des,de,81
des,le,71
manières,manière,22
",",",",p
que,que,52
ni,ni,82
Jenny,Jenny,20
Cadine,Cadine,20
",",",",p
ni,ni,82
Josépha,Josépha,20
",",",",p
ni,ni,82
leurs,leur,73
amies,amie,22
ne,ne,60
lui,lui,51
avaient,avoir,18
offertes,offrir,12
",",",",p
s',se,51
était,être,18
épris,éprendre,12
pour,pour,81
elle,il,51
",",",",p
en,en,81
un,un,71
mois,mois,21
",",",",p
d',de,81
une,un,71
passion,passion,22
de,de,81
vieillard,vieillard,21
",",",",p
passion,passion,22
insensée,insensé,30
qui,qui,52
semblait,sembler,18
raisonnable,raisonnable,30
/.,/.,P
en,en,81
effet,effet,21
",",",",p
il,il,51
n',ne,60
apercevait,apercevoir,18
là,là,60
ni,ni,82
moquerie,moquerie,22
",",",",p
ni,ni,82
orgies,orgie,22
",",",",p
ni,ni,82
dépenses,dépense,22
folles,fou,30
",",",",p
ni,ni,82
dépravation,dépravation,22
",",",",p
ni,ni,82
mépris,mépris,21
des,de,81
des,le,71
choses,chose,22
sociales,social,30
",",",",p
ni,ni,82
cette,ce,74
indépendance,indépendance,22
absolue,absolu,30
qui,qui,52
",",",",p
chez,chez,81
l',le,71
actrice,actrice,22
et,et,82
chez,chez,81
la,le,71
cantatrice,cantatrice,22
",",",",p
avaient,avoir,18
causé,causer,12
tous,tout,75
ses,son,73
malheurs,malheur,21
/.,/.,P
il,il,51
échappait,échapper,18
également,également,60
à,à,81
cette,ce,74
rapacité,rapacité,22
de,de,81
courtisane,courtisane,22
",",",",p
comparable,comparable,30
à,à,81
la,le,71
soif,soif,22
du,de,81
du,le,71
sable,sable,21
/.,/.,P
madame,madame,22
Marneffe,Marneffe,20
",",",",p
devenue,devenu,31
son,son,73
amie,amie,22
et,et,82
sa,son,73
confidente,confidente,22
",",",",p
faisait,faire,18
d',de,81
étranges,étrange,30
façons,façon,22
pour,pour,81
accepter,accepter,14
la,le,71
moindre,moindre,30
chose,chose,22
de,de,81
lui,lui,51
/.,/.,P
-,-,p
bon,bon,30
pour,pour,81
les,le,71
places,place,22
",",",",p
les,le,71
gratifications,gratification,22
",",",",p
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
pouvez,pouvoir,17
nous,nous,51
obtenir,obtenir,14
du,de,81
du,le,71
gouvernement,gouvernement,21
;,;,p
mais,mais,82
ne,ne,60
commencez,commencer,17
pas,pas,60
par,par,81
déshonorer,déshonorer,14
la,le,71
femme,femme,22
que,que,52
vous,vous,51
dites,dire,17
aimer,aimer,14
",",",",p
disait,dire,18
Valérie,Valérie,20
",",",",p
autrement,autrement,60
je,je,51
ne,ne,60
vous,vous,51
croirai,croire,15
pas,pas,60
/…,/…,P
et,et,82
j',je,51
aime,aimer,17
à,à,81
vous,vous,51
croire,croire,14
",",",",p
ajoutait,ajouter,18
elle,il,51
avec,avec,81
une,un,71
oeillade,oeillade,22
à,à,81
la,le,71
sainte,saint,30
Thérèse,Thérèse,20
guignant,guigner,13
le,le,71
ciel,ciel,21
/.,/.,P
à,à,81
chaque,chaque,75
présent,présent,21
",",",",p
c',ce,52
était,être,18
un,un,71
fort,fort,21
à,à,81
emporter,emporter,14
",",",",p
une,un,71
conscience,conscience,22
à,à,81
violer,violer,14
/.,/.,P
le,le,71
pauvre,pauvre,30
baron,baron,21
employait,employer,18
des,de,81
des,le,71
stratagèmes,stratagème,21
pour,pour,81
offrir,offrir,14
une,un,71
bagatelle,bagatelle,22
",",",",p
fort,fort,60
chère,cher,30
d',de,81
ailleurs,ailleurs,60
",",",",p
en,en,81
s',se,51
applaudissant,applaudir,13
de,de,81
rencontrer,rencontrer,14
enfin,enfin,60
une,un,71
vertu,vertu,22
",",",",p
de,de,81
trouver,trouver,14
la,le,71
réalisation,réalisation,22
de,de,81
ses,son,73
rêves,rêve,21
/.,/.,P
dans,dans,81
ce,ce,74
ménage,ménage,21
",",",",p
primitif,primitif,30
(,(,p
disait,dire,18
il,il,51
),),p
",",",",p
le,le,71
baron,baron,21
était,être,18
aussi,aussi,60
dieu,dieu,21
que,que,83
chez,chez,81
lui,lui,51
/.,/.,P
monsieur,monsieur,21
Marneffe,Marneffe,20
paraissait,paraître,18
être,être,14
à,à,81
mille,mille,72
lieues,lieue,22
de,de,81
croire,croire,14
que,que,83
le,le,71
Jupiter,Jupiter,20
de,de,81
son,son,73
ministère,ministère,21
eût,avoir,19
l',le,71
intention,intention,22
de,de,81
descendre,descendre,14
en,en,81
pluie,pluie,22
d',de,81
or,or,21
chez,chez,81
sa,son,73
femme,femme,22
",",",",p
et,et,82
il,il,51
se,se,51
faisait,faire,18
le,le,71
valet,valet,21
de,de,81
son,son,73
auguste,auguste,30
chef,chef,21
/.,/.,P
madame,madame,22
Marneffe,Marneffe,20
",",",",p
âgée,âgé,30
de,de,81
vingt,vingt,72
trois,trois,72
ans,an,21
",",",",p
bourgeoise,bourgeoise,22
pure,pur,30
et,et,82
timorée,timoré,30
",",",",p
fleur,fleur,22
cachée,caché,31
dans,dans,81
la,le,71
rue,rue,22
du,de,81
du,le,71
Doyenné,Doyenné,20
",",",",p
devait,devoir,18
ignorer,ignorer,14
les,le,71
dépravations,dépravation,22
et,et,82
la,le,71
démoralisation,démoralisation,22
courtisanesques,courtisanesque,30
qui,qui,52
maintenant,maintenant,60
causaient,causer,18
d',de,81
affreux,affreux,30
dégoûts,dégoût,21
au,à,81
au,le,71
baron,baron,21
",",",",p
car,car,82
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
encore,encore,60
connu,connaître,12
les,le,71
charmes,charme,21
de,de,81
la,le,71
vertu,vertu,22
qui,qui,52
combat,combattre,17
",",",",p
et,et,82
la,le,71
craintive,craintif,30
Valérie,Valérie,20
les,le,52
lui,lui,51
faisait,faire,18
savourer,savourer,14
",",",",p
comme,comme,83
dit,dire,17
la,le,71
chanson,chanson,22
",",",",p
tout,tout,75
le,le,71
long,long,21
de,de,81
la,le,71
rivière,rivière,22
/.,/.,P
une,un,71
fois,fois,22
la,le,71
question,question,22
ainsi,ainsi,60
posée,posé,31
entre,entre,81
Hector,Hector,20
et,et,82
Valérie,Valérie,20
",",",",p
personne,personne,52
ne,ne,60
s',se,51
étonnera,étonner,15
d',de,81
apprendre,apprendre,14
que,que,83
Valérie,Valérie,20
ait,avoir,17
su,savoir,12
d',de,81
Hector,Hector,20
le,le,71
secret,secret,21
du,de,81
du,le,71
prochain,prochain,30
mariage,mariage,21
du,de,81
du,le,71
grand,grand,30
artiste,artiste,21
Steinbock,Steinbock,20
avec,avec,81
Hortense,Hortense,20
/.,/.,P
entre,entre,81
un,un,71
amant,amant,21
sans,sans,81
droits,droit,21
et,et,82
une,un,71
femme,femme,22
qui,qui,52
ne,ne,60
se,se,51
décide,décider,17
pas,pas,60
facilement,facilement,60
à,à,81
devenir,devenir,14
une,un,71
maîtresse,maîtresse,22
",",",",p
il,il,51
se,se,51
passe,passer,17
des,de,81
des,le,71
luttes,lutte,22
orales,oral,30
et,et,82
morales,moral,30
où,où,60
la,le,71
parole,parole,22
trahit,trahir,17
souvent,souvent,60
la,le,71
pensée,pensée,22
",",",",p
de,de,81
même,même,60
que,que,83
dans,dans,81
un,un,71
assaut,assaut,21
le,le,71
fleuret,fleuret,21
prend,prendre,17
l',le,71
animation,animation,22
de,de,81
l',le,71
épée,épée,22
du,de,81
du,le,71
duel,duel,21
/.,/.,P
l',le,71
homme,homme,21
le,le,71
plus,plus,60
prudent,prudent,30
imite,imiter,17
alors,alors,60
monsieur,monsieur,21
de,de,81
Turenne,Turenne,20
/.,/.,P
le,le,71
baron,baron,21
avait,avoir,18
donc,donc,82
laissé,laisser,12
entrevoir,entrevoir,14
toute,tout,75
la,le,71
liberté,liberté,22
d',de,81
action,action,22
que,que,52
le,le,71
mariage,mariage,21
de,de,81
sa,son,73
fille,fille,22
lui,lui,51
donnerait,donner,16
",",",",p
pour,pour,81
répondre,répondre,14
à,à,81
l',le,71
aimante,aimant,30
Valérie,Valérie,20
",",",",p
qui,qui,52
s',se,51
était,être,18
plus,plus,60
d',de,81
une,un,71
fois,fois,22
écriée,écrier,12
:,:,p
-,-,p
je,je,51
ne,ne,60
conçois,concevoir,17
pas,pas,60
qu',que,83
on,on,51
fasse,faire,17
une,un,71
faute,faute,22
pour,pour,81
un,un,71
homme,homme,21
qui,qui,52
ne,ne,60
serait,être,16
pas,pas,60
tout,tout,52
à,à,81
nous,nous,51
/!,/!,P
déjà,déjà,60
le,le,71
baron,baron,21
avait,avoir,18
mille,mille,72
fois,fois,22
juré,jurer,12
que,que,83
",",",",p
depuis,depuis,81
vingt,vingt,72
cinq,cinq,72
ans,an,21
",",",",p
tout,tout,52
était,être,18
fini,finir,12
entre,entre,81
madame,madame,22
Hulot,Hulot,20
et,et,82
lui,lui,51
/.,/.,P
-,-,p
on,on,51
la,le,52
dit,dire,17
si,si,60
belle,beau,30
!,!,p
répliquait,répliquer,18
madame,madame,22
Marneffe,Marneffe,20
",",",",p
je,je,51
veux,vouloir,17
des,de,81
des,le,71
preuves,preuve,22
/.,/.,P
-,-,p
vous,vous,51
en,en,52
aurez,avoir,15
",",",",p
dit,dire,12
le,le,71
baron,baron,21
",",",",p
heureux,heureux,30
de,de,81
ce,ce,74
vouloir,vouloir,21
par,par,81
lequel,lequel,52
sa,son,73
Valérie,Valérie,20
se,se,51
compromettait,compromettre,18
/.,/.,P
-,-,p
et,et,82
comment,comment,60
/?,/?,P
il,il,51
faudrait,falloir,16
ne,ne,60
jamais,jamais,60
me,je,51
quitter,quitter,14
",",",",p
avait,avoir,18
répondu,répondre,12
Valérie,Valérie,20
/.,/.,P
Hector,Hector,20
avait,avoir,18
alors,alors,60
été,être,12
forcé,forcer,12
de,de,81
révéler,révéler,14
ses,son,73
projets,projet,21
en,en,81
exécution,exécution,22
rue,rue,22
Vanneau,Vanneau,20
pour,pour,81
démontrer,démontrer,14
à,à,81
sa,son,73
Valérie,Valérie,20
qu',que,83
il,il,51
songeait,songer,18
à,à,81
lui,lui,51
donner,donner,14
cette,ce,74
moitié,moitié,22
de,de,81
la,le,71
vie,vie,22
qui,qui,52
appartient,appartenir,17
à,à,81
une,un,71
femme,femme,22
légitime,légitime,30
",",",",p
en,en,81
supposant,supposer,13
que,que,83
le,le,71
jour,jour,21
et,et,82
la,le,71
nuit,nuit,22
partagent,partager,17
également,également,60
l',le,71
existence,existence,22
des,de,81
des,le,71
gens,gens,21
civilisés,civilisé,31
/.,/.,P
il,il,51
parla,parler,19
de,de,81
quitter,quitter,14
décemment,décemment,60
sa,son,73
femme,femme,22
en,en,81
la,le,52
laissant,laisser,13
seule,seul,30
",",",",p
une,un,71
fois,fois,22
que,que,83
sa,son,73
fille,fille,22
serait,être,16
mariée,marier,12
/.,/.,P
la,le,71
baronne,baronne,22
passerait,passer,16
alors,alors,60
tout,tout,75
son,son,73
temps,temps,21
chez,chez,81
Hortense,Hortense,20
et,et,82
chez,chez,81
les,le,71
jeunes,jeune,30
Hulot,Hulot,20
",",",",p
il,il,51
était,être,18
sûr,sûr,30
de,de,81
l',le,71
obéissance,obéissance,22
de,de,81
sa,son,73
femme,femme,22
/.,/.,P
-,-,p
dès,dès,81
lors,lors,60
",",",",p
mon,mon,73
petit,petit,30
ange,ange,21
",",",",p
ma,mon,73
véritable,véritable,30
vie,vie,22
",",",",p
mon,mon,73
vrai,vrai,30
ménage,ménage,21
sera,être,15
rue,rue,22
Vanneau,Vanneau,20
/.,/.,P
-,-,p
mon,mon,73
dieu,dieu,21
",",",",p
comme,comme,83
vous,vous,51
disposez,disposer,17
de,de,81
moi,moi,51
!,!,p
dit,dire,19
alors,alors,60
madame,madame,22
Marneffe,Marneffe,20
/.,/.,P
et,et,82
mon,mon,73
mari,mari,21
?,?,p
-,-,p
cette,ce,74
guenille,guenille,22
/?,/?,P
le,le,71
fait,fait,21
est,être,17
qu',que,83
auprès,auprès,60
de,de,81
vous,vous,51
",",",",p
c',ce,52
est,être,17
cela,cela,52
…,…,p
répondit,répondre,19
elle,il,51
en,en,81
riant,rire,13
/.,/.,P
madame,madame,22
Marneffe,Marneffe,20
eut,avoir,19
une,un,71
furieuse,furieux,30
envie,envie,22
de,de,81
voir,voir,14
le,le,71
jeune,jeune,30
comte,comte,21
de,de,81
Steinbock,Steinbock,20
après,après,81
en,en,52
avoir,avoir,14
appris,apprendre,12
l',le,71
histoire,histoire,22
",",",",p
peut-être,peut-être,60
en,en,52
voulait,vouloir,18
elle,il,51
obtenir,obtenir,14
quelque,quelque,75
bijou,bijou,21
",",",",p
pendant,pendant,81
qu',que,83
elle,il,51
vivait,vivre,18
encore,encore,60
sous,sous,81
le,le,71
même,même,75
toit,toit,21
/.,/.,P
cette,ce,74
curiosité,curiosité,22
déplut,déplaire,19
tant,tant,60
au,à,81
au,le,71
baron,baron,21
",",",",p
que,que,83
Valérie,Valérie,20
jura,jurer,19
de,de,81
ne,ne,60
jamais,jamais,60
regarder,regarder,14
Wenceslas,Wenceslas,20
/.,/.,P
mais,mais,82
",",",",p
après,après,81
avoir,avoir,14
fait,faire,12
récompenser,récompenser,14
l',le,71
abandon,abandon,21
de,de,81
cette,ce,74
fantaisie,fantaisie,22
par,par,81
un,un,71
petit,petit,30
service,service,21
de,de,81
thé,thé,21
complet,complet,30
en,en,81
vieux,vieux,30
Sèvres,Sèvres,20
",",",",p
pâte,pâte,22
tendre,tendre,30
",",",",p
elle,il,51
garda,garder,19
son,son,73
désir,désir,21
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
coeur,coeur,21
",",",",p
écrit,écrit,31
comme,comme,83
sur,sur,81
un,un,71
agenda,agenda,21
/.,/.,P
donc,donc,82
",",",",p
un,un,71
jour,jour,21
qu',que,52
elle,il,51
avait,avoir,18
prié,prier,12
sa,son,73
cousine,cousine,22
Bette,Bette,20
de,de,81
venir,venir,14
prendre,prendre,14
ensemble,ensemble,60
leur,leur,73
café,café,21
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
elle,il,51
la,le,52
mit,mettre,19
sur,sur,81
le,le,71
chapitre,chapitre,21
de,de,81
son,son,73
amoureux,amoureux,21
",",",",p
afin,afin,81
de,de,81
savoir,savoir,14
si,si,83
elle,il,51
pourrait,pouvoir,16
le,le,52
voir,voir,14
sans,sans,81
danger,danger,21
/.,/.,P
-,-,p
ma,mon,73
petite,petite,22
",",",",p
dit,dire,19
elle,il,51
",",",",p
car,car,82
elles,ils,51
se,se,51
traitaient,traiter,18
mutuellement,mutuellement,60
de,de,81
ma,mon,73
petite,petite,22
",",",",p
pourquoi,pourquoi,60
ne,ne,60
m',je,51
avez,avoir,17
vous,vous,51
pas,pas,60
encore,encore,60
présenté,présenter,12
votre,votre,73
amoureux,amoureux,21
?,?,p
savez,savoir,17
vous,vous,51
qu',que,83
il,il,51
est,être,17
en,en,81
peu,peu,60
de,de,81
temps,temps,21
devenu,devenir,12
célèbre,célèbre,30
/?,/?,P
lui,lui,51
!,!,p
célèbre,célèbre,30
/?,/?,P
mais,mais,82
on,on,51
ne,ne,60
parle,parler,17
que,que,83
de,de,81
lui,lui,51
/!,/!,P
-,-,p
ah,ah,93
!,!,p
bah,bah,93
!,!,p
s',se,51
écria,écrier,19
Lisbeth,Lisbeth,20
/.,/.,P
-,-,p
il,il,51
va,aller,17
faire,faire,14
la,le,71
statue,statue,22
de,de,81
mon,mon,73
père,père,21
",",",",p
et,et,82
je,je,51
lui,lui,51
serai,être,16
bien,bien,60
utile,utile,30
pour,pour,81
la,le,71
réussite,réussite,22
de,de,81
son,son,73
oeuvre,oeuvre,22
",",",",p
car,car,82
madame,madame,22
Montcornet,Montcornet,20
ne,ne,60
peut,pouvoir,17
pas,pas,60
",",",",p
comme,comme,83
moi,moi,51
",",",",p
lui,lui,51
prêter,prêter,14
une,un,71
miniature,miniature,22
de,de,81
sain,sain,30
",",",",p
un,un,71
chef-d'oeuvre,chef-d'oeuvre,21
fait,fait,31
en,en,81
<Nombre 1809>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
neuf,neuf,72
<Fin nombre>,<>,<>
",",",",p
avant,avant,81
la,le,71
campagne,campagne,22
de,de,81
Wagram,Wagram,20
",",",",p
et,et,82
donné,donné,31
à,à,81
ma,mon,73
pauvre,pauvre,30
mère,mère,22
",",",",p
enfin,enfin,60
un,un,71
Montcornet,Montcornet,20
jeune,jeune,30
et,et,82
beau,beau,30
/…,/…,P
sain,sain,30
et,et,82
Augustin,Augustin,20
tenaient,tenir,18
à,à,81
eux,ils,51
deux,deux,72
le,le,71
sceptre,sceptre,21
de,de,81
la,le,71
peinture,peinture,22
en,en,81
miniature,miniature,22
sous,sous,81
l',le,71
Empire,empire,21
/.,/.,P
-,-,p
il,il,51
va,aller,17
",",",",p
dites,dire,17
vous,vous,51
",",",",p
ma,mon,73
petite,petite,22
",",",",p
faire,faire,14
une,un,71
statue,statue,22
?,?,p
demanda,demander,19
Lisbeth,Lisbeth,20
/.,/.,P
-,-,p
de,de,81
neuf,neuf,72
pieds,pied,21
",",",",p
commandée,commandé,31
par,par,81
le,le,71
ministère,ministère,21
de,de,81
la,le,71
guerre,guerre,22
/.,/.,P
ah,ah,93
çà,çà,60
!,!,p
d',de,81
où,où,60
sortez,sortir,17
vous,vous,51
?,?,p
je,je,51
vous,vous,51
apprends,apprendre,17
ces,ce,74
nouvelles,nouvelle,22
là,là,60
/.,/.,P
mais,mais,82
le,le,71
gouvernement,gouvernement,21
va,aller,17
donner,donner,14
au,à,81
au,le,71
comte,comte,21
de,de,81
Steinbock,Steinbock,20
un,un,71
atelier,atelier,21
et,et,82
un,un,71
logement,logement,21
au,à,81
au,le,71
Gros-Caillou,Gros Caillou,20
",",",",p
au,à,81
au,le,71
dépôt,dépôt,21
des,de,81
des,le,71
marbres,marbre,21
",",",",p
votre,votre,73
Polonais,Polonais,20
en,en,52
sera,être,15
peut-être,peut-être,60
le,le,71
directeur,directeur,21
",",",",p
une,un,71
place,place,22
de,de,81
deux,deux,72
mille,mille,72
francs,franc,21
",",",",p
une,un,71
bague,bague,22
au,à,81
au,le,71
doigt,doigt,21
/…,/…,P
comment,comment,60
savez,savoir,17
vous,vous,51
tout,tout,75
cela,cela,52
",",",",p
quand,quand,83
moi,moi,51
je,je,51
ne,ne,60
le,le,52
sais,savoir,17
pas,pas,60
?,?,p
dit,dire,19
enfin,enfin,60
Lisbeth,Lisbeth,20
en,en,81
sortant,sortir,13
de,de,81
sa,son,73
stupeur,stupeur,22
/.,/.,P
-,-,p
voyons,voir,17
",",",",p
ma,mon,73
chère,cher,30
petite,petit,30
cousine,cousine,22
Bette,Bette,20
",",",",p
dit,dire,19
gracieusement,gracieusement,60
madame,madame,22
Marneffe,Marneffe,20
",",",",p
êtes,être,17
vous,vous,51
susceptible,susceptible,30
d',de,81
une,un,71
amitié,amitié,22
