11862
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-septième extrait>,<>,<>
se,se,51
sauva,sauver,19
bien,bien,60
vite,vite,60
pour,pour,81
ne,ne,60
point,point,60
lui,lui,51
laisser,laisser,14
le,le,71
loisir,loisir,21
de,de,81
se,se,51
fâcher,fâcher,14
/.,/.,P
une,un,71
visite,visite,22
à,à,81
madame,madame,22
Walter,Walter,20
gênait,gêner,18
un,un,71
peu,peu,60
Duroy,Duroy,20
",",",",p
car,car,82
il,il,51
n',ne,60
avait,avoir,18
point,point,60
été,être,12
autorisé,autoriser,12
à,à,81
se,se,51
présenter,présenter,14
chez,chez,81
elle,il,51
",",",",p
et,et,82
il,il,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
commettre,commettre,14
de,de,81
maladresse,maladresse,22
/.,/.,P
le,le,71
patron,patron,21
lui,lui,51
témoignait,témoigner,18
de,de,81
la,le,71
bienveillance,bienveillance,22
",",",",p
appréciait,apprécier,18
ses,son,73
services,service,21
;,;,p
l',le,52
employait,employer,18
de,de,81
préférence,préférence,22
aux,à,81
aux,le,71
besognes,besogne,22
difficiles,difficile,30
;,;,p
pourquoi,pourquoi,60
ne,ne,60
profiterait,profiter,16
il,il,51
pas,pas,60
de,de,81
cette,ce,74
faveur,faveur,22
pour,pour,81
pénétrer,pénétrer,14
dans,dans,81
la,le,71
maison,maison,22
/?,/?,P
un,un,71
jour,jour,21
donc,donc,82
",",",",p
s',se,51
étant,être,13
levé,lever,12
de,de,81
bonne,bon,30
humeur,humeur,22
",",",",p
il,il,51
se,se,51
rendit,rendre,19
aux,à,81
aux,le,71
halles,halle,22
au,à,81
au,le,71
moment,moment,21
des,de,81
des,le,71
ventes,vente,22
",",",",p
et,et,82
il,il,51
se,se,51
procura,procurer,19
",",",",p
moyennant,moyennant,81
une,un,71
dizaine,dizaine,22
de,de,81
francs,franc,21
",",",",p
une,un,71
vingtaine,vingtaine,22
d',de,81
admirables,admirable,30
poires,poire,22
/.,/.,P
les,le,52
ayant,avoir,13
ficelées,ficeler,12
avec,avec,81
soin,soin,21
dans,dans,81
une,un,71
bourriche,bourriche,22
pour,pour,81
faire,faire,14
croire,croire,14
qu',que,83
elle,il,51
venaient,venir,18
de,de,81
loin,loin,60
",",",",p
il,il,51
les,le,52
porta,porter,19
chez,chez,81
le,le,71
concierge,concierge,21
de,de,81
la,le,71
patronne,patronne,22
avec,avec,81
sa,son,73
carte,carte,22
où,où,60
il,il,51
avait,avoir,18
écrit,écrire,12
:,:,p
Georges,Georges,20
Duroy,Duroy,20
“,“,p
prie,prier,17
humblement,humblement,60
madame,madame,22
Walter,Walter,20
d',de,81
accepter,accepter,14
ces,ce,74
quelques,quelque,75
fruits,fruit,21
qu',que,52
il,il,51
a,avoir,17
reçus,recevoir,12
ce,ce,74
matin,matin,21
de,de,81
Normandie,Normandie,20
/.,/.,P
“,“,p
il,il,51
trouva,trouver,19
le,le,71
lendemain,lendemain,21
dans,dans,81
sa,son,73
boîte,boîte,22
aux,à,81
aux,le,71
lettres,lettre,22
",",",",p
au,à,81
au,le,71
journal,journal,21
",",",",p
une,un,71
enveloppe,enveloppe,22
contenant,contenir,13
",",",",p
en,en,81
retour,retour,21
",",",",p
la,le,71
carte,carte,22
de,de,81
madame,madame,22
Walter,Walter,20
“,“,p
qui,qui,52
remerciait,remercier,18
bien,bien,60
vivement,vivement,60
monsieur,monsieur,21
Georges,Georges,20
Duroy,Duroy,20
",",",",p
et,et,82
restait,rester,18
chez,chez,81
elle,il,51
tous,tout,75
les,le,71
samedis,samedi,21
“,“,p
/.,/.,P
le,le,71
samedi,samedi,21
suivant,suivant,30
",",",",p
il,il,51
se,se,51
présenta,présenter,19
/.,/.,P
madame,madame,22
Walter,Walter,20
habitait,habiter,18
",",",",p
boulevard,boulevard,21
Malesherbes,Malesherbes,20
",",",",p
une,un,71
maison,maison,22
double,double,30
lui,lui,51
appartenant,appartenir,13
",",",",p
et,et,82
dont,dont,52
une,un,71
partie,partie,22
était,être,18
louée,louer,12
",",",",p
procédé,procédé,21
économique,économique,30
de,de,81
gens,gens,21
pratiques,pratique,30
/.,/.,P
un,un,71
seul,seul,30
concierge,concierge,21
",",",",p
gîté,gîté,31
entre,entre,81
les,le,71
deux,deux,72
portes,porte,22
cochères,cocher,30
",",",",p
tirait,tirer,18
le,le,71
cordon,cordon,21
pour,pour,81
le,le,71
propriétaire,propriétaire,21
et,et,82
pour,pour,81
le,le,71
locataire,locataire,21
",",",",p
et,et,82
donnait,donner,18
à,à,81
chacune,chacun,52
des,de,81
des,le,71
entrées,entrée,22
un,un,71
grand,grand,30
air,air,21
d',de,81
hôtel,hôtel,21
riche,riche,30
et,et,82
comme,comme,83
il,il,51
faut,falloir,17
par,par,81
sa,son,73
belle,beau,30
tenue,tenue,22
de,de,81
suisse,suisse,21
d',de,81
église,église,22
",",",",p
ses,son,73
gros,gros,30
mollets,mollet,21
emmaillotés,emmailloté,31
en,en,81
des,de,81
des,le,71
bas,bas,21
blancs,blanc,30
",",",",p
et,et,82
son,son,73
vêtement,vêtement,21
de,de,81
représentation,représentation,22
à,à,81
boutons,bouton,21
d',de,81
or,or,21
et,et,82
à,à,81
revers,revers,21
écarlates,écarlate,30
/.,/.,P
les,le,71
salons,salon,21
de,de,81
réception,réception,22
étaient,être,18
au,à,81
au,le,71
premier,premier,72
étage,étage,21
",",",",p
précédés,précédé,31
d',de,81
une,un,71
antichambre,antichambre,22
tendue,tendu,31
de,de,81
tapisseries,tapisserie,22
et,et,82
enfermée,enfermé,31
par,par,81
des,de,81
des,le,71
portières,portière,22
/.,/.,P
deux,deux,72
valets,valet,21
sommeillaient,sommeiller,18
sur,sur,81
des,de,81
des,le,71
sièges,siège,21
/.,/.,P
un,un,52
d',de,81
eux,ils,51
prit,prendre,19
le,le,71
pardessus,pardessus,21
de,de,81
Duroy,Duroy,20
",",",",p
et,et,82
l',le,71
autre,autre,52
s',se,51
empara,emparer,19
de,de,81
sa,son,73
canne,canne,22
",",",",p
ouvrit,ouvrir,19
une,un,71
porte,porte,22
",",",",p
devança,devancer,19
de,de,81
quelques,quelque,75
pas,pas,21
le,le,71
visiteur,visiteur,21
",",",",p
puis,puis,60
",",",",p
s',se,51
effaçant,effacer,13
",",",",p
le,le,52
laissa,laisser,19
passer,passer,14
",",",",p
en,en,81
criant,crier,13
son,son,73
nom,nom,21
dans,dans,81
un,un,71
appartement,appartement,21
vide,vide,30
/.,/.,P
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
embarrassé,embarrassé,31
regardait,regarder,18
de,de,81
tous,tout,75
les,le,71
côtés,côté,21
",",",",p
quand,quand,83
il,il,51
aperçut,apercevoir,19
dans,dans,81
une,un,71
glace,glace,22
des,de,81
des,le,71
gens,gens,21
assis,assis,31
et,et,82
qui,qui,52
semblaient,sembler,18
fort,fort,60
loin,loin,60
/.,/.,P
il,il,51
se,se,51
trompa,tromper,19
d'abord,d'abord,60
de,de,81
direction,direction,22
",",",",p
le,le,71
miroir,miroir,21
ayant,avoir,13
égaré,égarer,12
son,son,73
oeil,oeil,21
",",",",p
puis,puis,60
il,il,51
traversa,traverser,19
encore,encore,60
deux,deux,72
salons,salon,21
vides,vide,30
pour,pour,81
arriver,arriver,14
dans,dans,81
une,un,71
sorte,sorte,22
de,de,81
petit,petit,30
boudoir,boudoir,21
tendu,tendu,31
de,de,81
soie,soie,22
bleue,bleu,30
à,à,81
boutons,bouton,21
d',de,81
or,or,21
où,où,60
quatre,quatre,72
dames,dame,22
causaient,causer,18
à mi-voix,à mi-voix,60
autour,autour,60
d',de,81
une,un,71
table,table,22
ronde,rond,30
qui,qui,52
portait,porter,18
des,de,81
des,le,71
tasses,tasse,22
de,de,81
thé,thé,21
/.,/.,P
malgré,malgré,81
l',le,71
assurance,assurance,22
qu',que,52
il,il,51
avait,avoir,18
gagnée,gagner,12
dans,dans,81
son,son,73
existence,existence,22
parisienne,parisien,30
et,et,82
surtout,surtout,60
dans,dans,81
son,son,73
métier,métier,21
de,de,81
reporter,reporter,21
qui,qui,52
le,le,52
mettait,mettre,18
incessamment,incessamment,60
en,en,81
contact,contact,21
avec,avec,81
des,de,81
des,le,71
personnages,personnage,21
marquants,marquant,30
",",",",p
Duroy,Duroy,20
se,se,51
sentait,sentir,18
un,un,71
peu,peu,60
intimidé,intimidé,31
par,par,81
la,le,71
mise,mise,22
en,en,81
scène,scène,22
de,de,81
l',le,71
entrée,entrée,22
et,et,82
par,par,81
la,le,71
traversée,traversée,22
des,de,81
des,le,71
salons,salon,21
déserts,désert,30
/.,/.,P
il,il,51
balbutia,balbutier,19
:,:,p
-,-,p
madame,madame,22
",",",",p
je,je,51
me,je,51
suis,être,17
permis,permettre,12
/…,/…,P
-,-,p
en,en,81
cherchant,chercher,13
de,de,81
l',le,71
oeil,oeil,21
la,le,71
maîtresse,maîtresse,22
de,de,81
la,le,71
maison,maison,22
/.,/.,P
elle,il,51
lui,lui,51
tendit,tendre,19
la,le,71
main,main,22
qu',que,52
il,il,51
prit,prendre,19
en,en,81
s',se,51
inclinant,incliner,13
",",",",p
et,et,82
lui,lui,51
ayant,avoir,13
dit,dire,12
:,:,p
-,-,p
vous,vous,51
êtes,être,17
fort,fort,60
aimable,aimable,30
",",",",p
monsieur,monsieur,21
",",",",p
de,de,81
venir,venir,14
me,je,51
voir,voir,14
",",",",p
-,-,p
elle,il,51
lui,lui,51
montra,montrer,19
un,un,71
siège,siège,21
où,où,60
",",",",p
voulant,vouloir,13
s',se,51
asseoir,asseoir,14
",",",",p
il,il,51
se,se,51
laissa,laisser,19
tomber,tomber,14
",",",",p
l',le,52
ayant,avoir,13
cru,croire,12
beaucoup,beaucoup,60
plus,plus,60
haut,haut,60
/.,/.,P
on,on,51
s',se,51
était,être,18
tu,taire,12
/.,/.,P
une,un,52
des,de,81
des,le,71
femmes,femme,22
se,se,51
remit,remettre,19
à,à,81
parler,parler,14
/.,/.,P
il,il,51
s',se,51
agissait,agir,18
du,de,81
du,le,71
froid,froid,21
qui,qui,52
devenait,devenir,18
violent,violent,30
",",",",p
pas,pas,60
assez,assez,60
cependant,cependant,82
pour,pour,81
arrêter,arrêter,14
l',le,71
épidémie,épidémie,22
de,de,81
fièvre,fièvre,22
typhoïde,typhoïde,22
ni,ni,82
pour,pour,81
permettre,permettre,14
de,de,81
patiner,patiner,14
/.,/.,P
et,et,82
chacune,chacun,52
donna,donner,19
son,son,73
avis,avis,21
sur,sur,81
cette,ce,74
entrée,entrée,22
en,en,81
scène,scène,22
de,de,81
la,le,71
gelée,gelée,22
à,à,81
Paris,Paris,20
;,;,p
puis,puis,60
elles,ils,51
exprimèrent,exprimer,19
leurs,leur,73
préférences,préférence,22
dans,dans,81
les,le,71
saisons,saison,22
",",",",p
avec,avec,81
toutes,tout,75
les,le,71
raisons,raison,22
banales,banal,30
qui,qui,52
traînent,traîner,17
dans,dans,81
les,le,71
esprits,esprit,21
comme,comme,83
la,le,71
poussière,poussière,22
dans,dans,81
les,le,71
appartements,appartement,21
/.,/.,P
un,un,71
bruit,bruit,21
léger,léger,30
de,de,81
porte,porte,22
fit,faire,19
retourner,retourner,14
la,le,71
tête,tête,22
de,de,81
Duroy,Duroy,20
et,et,82
il,il,51
aperçut,apercevoir,19
",",",",p
à,à,81
travers,travers,21
deux,deux,72
glaces,glace,22
sans,sans,81
tain,tain,21
",",",",p
une,un,71
grosse,gros,30
dame,dame,22
qui,qui,52
s',se,51
en,en,52
venait,venir,18
/.,/.,P
dès,dès,81
qu',que,83
elle,il,51
apparut,apparaître,19
dans,dans,81
le,le,71
boudoir,boudoir,21
une,un,52
des,de,81
des,le,71
visiteuses,visiteuse,22
se,se,51
leva,lever,19
",",",",p
serra,serrer,19
les,le,71
mains,main,22
",",",",p
puis,puis,60
partit,partir,19
;,;,p
et,et,82
le,le,71
jeune,jeune,30
homme,homme,21
suivit,suivre,19
du,de,81
du,le,71
regard,regard,21
",",",",p
par,par,81
les,le,71
autres,autre,75
salons,salon,21
",",",",p
son,son,73
dos,dos,21
noir,noir,30
où,où,60
brillaient,briller,18
des,de,81
des,le,71
perles,perle,22
de,de,81
jais,jais,21
/.,/.,P
quand,quand,83
l',le,71
agitation,agitation,22
de,de,81
ce,ce,74
changement,changement,21
de,de,81
personnes,personne,22
se,se,51
fut,être,19
calmée,calmer,12
",",",",p
on,on,51
parla,parler,19
spontanément,spontanément,60
",",",",p
sans,sans,81
transition,transition,22
",",",",p
de,de,81
la,le,71
question,question,22
du,de,81
du,le,71
Maroc,Maroc,20
et,et,82
de,de,81
la,le,71
guerre,guerre,22
en,en,81
Orient,Orient,20
",",",",p
et,et,82
aussi,aussi,60
des,de,81
des,le,71
embarras,embarras,21
de,de,81
l',le,71
Angleterre,Angleterre,20
à,à,81
l',le,71
extrémité,extrémité,22
de,de,81
l',le,71
Afrique,Afrique,20
/.,/.,P
ces,ce,74
dames,dame,22
discutaient,discuter,18
ces,ce,74
choses,chose,22
de,de,81
mémoire,mémoire,22
",",",",p
comme,comme,83
si,si,83
elles,ils,51
eussent,avoir,18
récité,réciter,12
une,un,71
comédie,comédie,22
mondaine,mondain,30
et,et,82
convenable,convenable,30
",",",",p
répétée,répété,31
bien,bien,60
souvent,souvent,60
/.,/.,P
une,un,71
nouvelle,nouveau,30
entrée,entrée,22
eut,avoir,19
lieu,lieu,21
",",",",p
celle,celui,52
d',de,81
une,un,71
petite,petit,30
blonde,blonde,22
frisée,frisé,31
",",",",p
qui,qui,52
détermina,déterminer,19
la,le,71
sortie,sortie,22
d',de,81
une,un,71
grande,grand,30
personne,personne,22
sèche,sec,30
entre,entre,81
deux,deux,72
âges,âge,21
/.,/.,P
et,et,82
on,on,51
parla,parler,19
des,de,81
des,le,71
chances,chance,22
qu',que,52
avait,avoir,18
monsieur,monsieur,21
Linet,Linet,20
pour,pour,81
entrer,entrer,14
à,à,81
l',le,71
académie,académie,22
/.,/.,P
la,le,71
nouvelle,nouveau,30
venue,venu,31
pensait,penser,18
fermement,fermement,60
qu',que,83
il,il,51
serait,être,16
battu,battre,12
par,par,81
monsieur,monsieur,21
Cabanon-Lebas,Cabanon-Lebas,20
",",",",p
l',le,71
auteur,auteur,21
de,de,81
la,le,71
belle,beau,30
adaptation,adaptation,22
en,en,81
vers,vers,21
français,français,30
de,de,81
Don Quichotte,Don Quichotte,20
pour,pour,81
le,le,71
théâtre,théâtre,21
/.,/.,P
-,-,p
vous,vous,51
savez,savoir,17
que,que,83
ce,ce,52
sera,être,15
joué,jouer,12
à,à,81
l',le,71
Odéon,Odéon,20
l',le,71
hiver,hiver,21
prochain,prochain,30
/?,/?,P
ah,ah,93
!,!,p
vraiment,vraiment,60
/.,/.,P
j',je,51
irai,aller,15
certainement,certainement,60
voir,voir,14
cette,ce,74
tentative,tentative,22
très,très,60
littéraire,littéraire,30
/.,/.,P
madame,madame,22
Walter,Walter,20
répondait,répondre,18
gracieusement,gracieusement,60
",",",",p
avec,avec,81
calme,calme,21
et,et,82
indifférence,indifférence,22
",",",",p
sans,sans,81
hésiter,hésiter,14
jamais,jamais,60
sur,sur,81
ce,ce,52
qu',que,52
elle,il,51
devait,devoir,18
dire,dire,14
",",",",p
son,son,73
opinion,opinion,22
étant,être,13
toujours,toujours,60
prête,prêt,30
d',de,81
avance,avance,22
/.,/.,P
mais,mais,82
elle,il,51
s',se,51
aperçut,apercevoir,19
que,que,83
la,le,71
nuit,nuit,22
venait,venir,18
et,et,82
elle,il,51
sonna,sonner,19
pour,pour,81
les,le,71
lampes,lampe,22
",",",",p
tout,tout,60
en,en,81
écoutant,écouter,13
la,le,71
causerie,causerie,22
qui,qui,52
coulait,couler,18
comme,comme,83
un,un,71
ruisseau,ruisseau,21
de,de,81
guimauve,guimauve,22
",",",",p
et,et,82
en,en,81
pensant,penser,13
qu',que,83
elle,il,51
avait,avoir,18
oublié,oublier,12
de,de,81
passer,passer,14
chez,chez,81
le,le,71
graveur,graveur,21
pour,pour,81
les,le,71
cartes,carte,22
d',de,81
invitation,invitation,22
du,de,81
du,le,71
prochain,prochain,30
dîner,dîner,21
/.,/.,P
elle,il,51
était,être,18
un,un,71
peu,peu,60
trop,trop,60
grasse,gras,30
",",",",p
belle,beau,30
encore,encore,60
",",",",p
à,à,81
l',le,71
âge,âge,21
dangereux,dangereux,30
où,où,60
la,le,71
débâcle,débâcle,22
est,être,17
proche,proche,30
/.,/.,P
elle,il,51
se,se,51
maintenait,maintenir,18
à,à,81
force,force,22
de,de,81
soins,soin,21
",",",",p
de,de,81
précautions,précaution,22
",",",",p
d',de,81
hygiène,hygiène,22
et,et,82
de,de,81
pâtes,pâte,22
pour,pour,81
la,le,71
peau,peau,22
/.,/.,P
elle,il,51
semblait,sembler,18
sage,sage,30
en,en,81
tout,tout,52
",",",",p
modérée,modéré,31
et,et,82
raisonnable,raisonnable,30
",",",",p
une,un,52
de,de,81
ces,ce,74
femmes,femme,22
dont,dont,52
l',le,71
esprit,esprit,21
est,être,17
aligné,aligner,12
comme,comme,83
un,un,71
jardin,jardin,21
français,français,30
/.,/.,P
on,on,51
y,y,52
circule,circuler,17
sans,sans,81
surprise,surprise,22
",",",",p
tout,tout,60
en,en,81
y,y,52
trouvant,trouver,13
un,un,71
certain,certain,75
charme,charme,21
/.,/.,P
elle,il,51
avait,avoir,18
de,de,81
la,le,71
raison,raison,22
",",",",p
une,un,71
raison,raison,22
fine,fin,30
",",",",p
discrète,discret,30
et,et,82
sûre,sûr,30
qui,qui,52
lui,lui,51
tenait,tenir,18
lieu,lieu,21
de,de,81
fantaisie,fantaisie,22
",",",",p
de,de,81
la,le,71
bonté,bonté,22
",",",",p
du,de,81
du,le,71
dévouement,dévouement,21
",",",",p
et,et,82
une,un,71
bienveillance,bienveillance,22
tranquille,tranquille,30
",",",",p
large,large,30
pour,pour,81
tout,tout,75
le,le,71
monde,monde,21
et,et,82
pour,pour,81
tout,tout,52
/.,/.,P
elle,il,51
remarqua,remarquer,19
que,que,83
Duroy,Duroy,20
n',ne,60
avait,avoir,18
rien,rien,52
dit,dire,12
",",",",p
qu',que,83
on,on,51
ne,ne,60
lui,lui,51
avait,avoir,18
point,point,60
parlé,parler,12
",",",",p
et,et,82
qu',que,83
il,il,51
semblait,sembler,18
un,un,71
peu,peu,60
contraint,contraint,31
;,;,p
et,et,82
comme,comme,83
ces,ce,74
dames,dame,22
n',ne,60
étaient,être,18
point,point,60
sorties,sortir,12
de,de,81
l',le,71
académie,académie,22
",",",",p
ce,ce,74
sujet,sujet,21
préféré,préféré,31
les,le,52
retenant,retenir,13
toujours,toujours,60
longtemps,longtemps,60
",",",",p
elle,il,51
demanda,demander,19
:,:,p
-,-,p
et,et,82
vous,vous,51
qui,qui,52
devez,devoir,17
être,être,14
renseigné,renseigner,12
mieux,mieux,60
que,que,83
personne,personne,52
",",",",p
monsieur,monsieur,21
Duroy,Duroy,20
",",",",p
pour,pour,81
qui,qui,52
sont,être,17
vos,votre,73
préférences,préférence,22
/?,/?,P
il,il,51
répondit,répondre,19
sans,sans,81
hésiter,hésiter,14
:,:,p
-,-,p
dans,dans,81
cette,ce,74
question,question,22
",",",",p
madame,madame,22
",",",",p
je,je,51
n',ne,60
envisagerais,envisager,16
jamais,jamais,60
le,le,71
mérite,mérite,21
",",",",p
toujours,toujours,60
contestable,contestable,30
",",",",p
des,de,81
des,le,71
candidats,candidat,21
",",",",p
mais,mais,82
leur,leur,73
âge,âge,21
et,et,82
leur,leur,73
santé,santé,22
/.,/.,P
je,je,51
ne,ne,60
demanderais,demander,16
point,point,60
leurs,leur,73
titres,titre,21
",",",",p
mais,mais,82
leur,leur,73
mal,mal,21
/.,/.,P
je,je,51
ne,ne,60
rechercherais,rechercher,16
point,point,60
s',si,83
ils,ils,51
ont,avoir,17
fait,faire,12
une,un,71
traduction,traduction,22
rimée,rimé,31
de,de,81
Lope,Lope,20
de,de,81
Vega,Vega,20
",",",",p
mais,mais,82
j',je,51
aurais,avoir,16
soin,soin,21
de,de,81
m',je,51
informer,informer,14
de,de,81
l',le,71
état,état,21
de,de,81
leur,leur,73
foie,foie,21
",",",",p
de,de,81
leur,leur,73
coeur,coeur,21
",",",",p
de,de,81
leurs,leur,73
reins,rein,21
et,et,82
de,de,81
leur,leur,73
moelle,moelle,22
épinière,épinière,30
/.,/.,P
pour,pour,81
moi,moi,51
",",",",p
une,un,71
bonne,bon,30
hypertrophie,hypertrophie,22
",",",",p
une,un,71
bonne,bon,30
albuminerie,albuminerie,22
",",",",p
et,et,82
surtout,surtout,60
un,un,71
bon,bon,30
commencement,commencement,21
d',de,81
ataxie,ataxie,22
locomotrice,locomoteur,30
vaudraient,valoir,16
cent,cent,72
fois,fois,22
mieux,mieux,60
que,que,83
quarante,quarante,72
volumes,volume,21
de,de,81
digressions,digression,22
sur,sur,81
l',le,71
idée,idée,22
de,de,81
patrie,patrie,22
dans,dans,81
la,le,71
poésie,poésie,22
barbaresque,barbaresque,30
/.,/.,P
un,un,71
silence,silence,21
étonné,étonné,31
suivit,suivre,19
cette,ce,74
opinion,opinion,22
/.,/.,P
madame,madame,22
Walter,Walter,20
",",",",p
souriant,sourire,13
",",",",p
reprit,reprendre,19
:,:,p
-,-,p
pourquoi,pourquoi,60
donc,donc,82
/?,/?,P
il,il,51
répondit,répondre,19
:,:,p
-,-,p
parce que,parce que,83
je,je,51
ne,ne,60
cherche,chercher,17
jamais,jamais,60
que,que,83
le,le,71
plaisir,plaisir,21
qu',que,52
une,un,71
chose,chose,22
peut,pouvoir,17
causer,causer,14
aux,à,81
aux,le,71
femmes,femme,22
/.,/.,P
or,or,82
",",",",p
madame,madame,22
",",",",p
l',le,71
académie,académie,22
n',ne,60
a,avoir,17
vraiment,vraiment,60
d',de,81
intérêt,intérêt,21
pour,pour,81
vous,vous,51
que,que,83
lorsqu',lorsque,83
un,un,71
académicien,académicien,21
meurt,mourir,17
/.,/.,P
plus,plus,60
il,il,51
en,en,52
meurt,mourir,17
",",",",p
plus,plus,60
vous,vous,51
devez,devoir,17
être,être,14
heureuses,heureux,30
/.,/.,P
mais,mais,82
pour,pour,81
qu',que,83
ils,ils,51
meurent,mourir,17
vite,vite,60
",",",",p
il,il,51
faut,falloir,17
les,le,52
nommer,nommer,14
vieux,vieux,30
et,et,82
malades,malade,30
/.,/.,P
comme,comme,83
on,on,51
demeurait,demeurer,18
un,un,71
peu,peu,60
surpris,surpris,31
",",",",p
il,il,51
ajouta,ajouter,19
:,:,p
-,-,p
je,je,51
suis,être,17
comme,comme,83
vous,vous,51
d',de,81
ailleurs,ailleurs,60
et,et,82
j',je,51
aime,aimer,17
beaucoup,beaucoup,60
lire,lire,14
dans,dans,81
les,le,71
échos,écho,21
de,de,81
Paris,Paris,20
le,le,71
décès,décès,21
d',de,81
un,un,71
académicien,académicien,21
/.,/.,P
je,je,51
me,je,51
demande,demander,17
tout,tout,60
de,de,81
suite,suite,22
:,:,p
“,“,p
qui,qui,52
va,aller,17
le,le,52
remplacer,remplacer,14
/?,/?,P
et,et,82
je,je,51
fais,faire,17
ma,mon,73
liste,liste,22
/.,/.,P
c',ce,52
est,être,17
un,un,71
jeu,jeu,21
",",",",p
un,un,71
petit,petit,30
jeu,jeu,21
très,très,60
gentil,gentil,30
auquel,à,81
auquel,lequel,52
on,on,51
joue,jouer,17
dans,dans,81
tous,tout,75
les,le,71
salons,salon,21
parisiens,parisien,30
à,à,81
chaque,chaque,75
trépas,trépas,21
d',de,81
immortel,immortel,21
:,:,p
“,“,p
le,le,71
jeu,jeu,21
de,de,81
la,le,71
mort,mort,22
et,et,82
des,de,81
des,le,71
quarante,quarante,72
vieillards,vieillard,21
“,“,p
/.,/.,P
ces,ce,74
dames,dame,22
",",",",p
un,un,71
peu,peu,60
déconcertées,déconcerté,31
encore,encore,60
",",",",p
commençaient,commencer,18
cependant,cependant,82
à,à,81
sourire,sourire,14
",",",",p
tant,tant,60
était,être,18
juste,juste,30
sa,son,73
remarque,remarque,22
/.,/.,P
il,il,51
conclut,conclure,17
",",",",p
en,en,81
se,se,51
levant,lever,13
:,:,p
-,-,p
c',ce,52
est,être,17
vous,vous,51
qui,qui,52
les,le,52
nommez,nommer,17
",",",",p
mesdames,madame,22
",",",",p
et,et,82
vous,vous,51
ne,ne,60
les,le,52
nommez,nommer,17
que,que,83
pour,pour,81
les,le,52
voir,voir,14
mourir,mourir,14
/.,/.,P
choisissez,choisir,17
les,le,52
donc,donc,82
vieux,vieux,30
",",",",p
très,très,60
vieux,vieux,30
",",",",p
le,le,71
plus,plus,60
vieux,vieux,30
possible,possible,30
",",",",p
et,et,82
ne,ne,60
vous,vous,51
occupez,occuper,17
jamais,jamais,60
du,de,81
du,le,71
reste,reste,21
/.,/.,P
puis,puis,60
il,il,51
s',se,51
en,en,52
alla,aller,19
",",",",p
avec,avec,81
beaucoup,beaucoup,60
de,de,81
grâce,grâce,22
/.,/.,P
dès,dès,81
qu',que,83
il,il,51
fut,être,19
parti,partir,12
",",",",p
une,un,52
des,de,81
des,le,71
femmes,femme,22
déclara,déclarer,19
:,:,p
-,-,p
il,il,51
est,être,17
drôle,drôle,30
",",",",p
ce,ce,74
garçon,garçon,21
/.,/.,P
qui,qui,52
est,être,17
ce,ce,52
/?,/?,P
madame,madame,22
Walter,Walter,20
répondit,répondre,19
:,:,p
-,-,p
un,un,52
de,de,81
nos,notre,73
rédacteurs,rédacteur,21
",",",",p
qui,qui,52
ne,ne,60
fait,faire,17
encore,encore,60
que,que,83
la,le,71
menue,menu,30
besogne,besogne,22
du,de,81
du,le,71
journal,journal,21
",",",",p
mais,mais,82
je,je,51
ne,ne,60
doute,douter,17
pas,pas,60
qu',que,83
il,il,51
n',ne,60
arrive,arriver,17
vite,vite,60
/.,/.,P
Duroy,Duroy,20
descendait,descendre,18
le,le,71
boulevard,boulevard,21
Malesherbes,Malesherbes,20
gaiement,gaiement,60
",",",",p
à,à,81
grands,grand,30
pas,pas,21
dansants,dansant,30
",",",",p
content,content,30
de,de,81
sa,son,73
sortie,sortie,22
et,et,82
murmurant,murmurant,30
:,:,p
“,“,p
bon,bon,30
départ,départ,21
/.,/.,P
“,“,p
il,il,51
se,se,51
réconcilia,réconcilier,19
avec,avec,81
Rachel,Rachel,20
",",",",p
ce,ce,74
soir,soir,21
là,là,60
/.,/.,P
la,le,71
semaine,semaine,22
suivante,suivant,30
lui,lui,51
apporta,apporter,19
deux,deux,72
événements,événement,21
/.,/.,P
il,il,51
fut,être,19
nommé,nommer,12
chef,chef,21
des,de,81
des,le,71
Echos,Echos,20
et,et,82
invité,inviter,12
à,à,81
dîné,dîné,31
chez,chez,81
madame,madame,22
Walter,Walter,20
/.,/.,P
il,il,51
vit,voir,19
tout,tout,60
de,de,81
suite,suite,22
un,un,71
lien,lien,21
entre,entre,81
les,le,71
deux,deux,72
nouvelles,nouvelle,22
/.,/.,P
la,le,71
Vie Française,Vie Française,20
était,être,18
avant,avant,81
tout,tout,75
un,un,71
journal,journal,21
d',de,81
argent,argent,21
",",",",p
le,le,71
patron,patron,21
étant,être,13
un,un,71
homme,homme,21
d',de,81
argent,argent,21
à,à,81
qui,qui,52
la,le,71
presse,presse,22
et,et,82
la,le,71
députation,députation,22
avaient,avoir,18
servi,servir,12
de,de,81
leviers,levier,21
/.,/.,P
se,se,51
faisant,faire,13
de,de,81
la,le,71
bonhomie,bonhomie,22
une,un,71
arme,arme,22
",",",",p
il,il,51
avait,avoir,18
toujours,toujours,60
manoeuvré,manoeuvrer,12
sous,sous,81
un,un,71
masque,masque,21
souriant,souriant,30
de,de,81
brave,brave,30
homme,homme,21
",",",",p
mais,mais,82
il,il,51
n',ne,60
employait,employer,18
à,à,81
