11796
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-seizième extrait>,<>,<>
ne,ne,60
mangeât,manger,18
trop,trop,60
pour,pour,81
son,son,73
estomac,estomac,21
",",",",p
ou,ou,82
trop,trop,60
peu,peu,60
pour,pour,81
sa,son,73
croissance,croissance,22
/.,/.,P
quand,quand,83
il,il,51
eut,avoir,19
douze,douze,72
ans,an,21
",",",",p
une,un,71
grosse,gros,30
difficulté,difficulté,22
surgit,surgir,19
;,;,p
celle,celui,52
de,de,81
la,le,71
première,premier,72
communion,communion,22
/.,/.,P
Lise,Lise,20
un,un,71
matin,matin,21
vint,venir,19
trouver,trouver,14
Jeanne,Jeanne,20
et,et,82
lui,lui,51
représenta,représenter,19
qu',que,83
on,on,51
ne,ne,60
pouvait,pouvoir,18
laisser,laisser,14
plus,plus,60
longtemps,longtemps,60
le,le,71
petit,petit,21
sans,sans,81
instruction,instruction,22
religieuse,religieux,30
et,et,82
sans,sans,81
remplir,remplir,14
ses,son,73
premiers,premier,72
devoirs,devoir,21
/.,/.,P
elle,il,51
argumenta,argumenter,19
de,de,81
toutes,tout,75
les,le,71
façons,façon,22
",",",",p
invoquant,invoquer,13
mille,mille,72
raisons,raison,22
",",",",p
et,et,82
",",",",p
avant,avant,81
tout,tout,52
",",",",p
l',le,71
opinion,opinion,22
des,de,81
des,le,71
gens,gens,21
qu',que,52
ils,ils,51
voyaient,voir,18
/.,/.,P
la,le,71
mère,mère,22
",",",",p
troublée,troublé,31
",",",",p
indécise,indécis,30
",",",",p
hésitait,hésiter,18
",",",",p
affirmant,affirmer,13
qu',que,83
on,on,51
pouvait,pouvoir,18
attendre,attendre,14
encore,encore,60
/.,/.,P
mais,mais,82
un,un,71
mois,mois,21
plus,plus,60
tard,tard,60
",",",",p
comme,comme,83
elle,il,51
rendait,rendre,18
une,un,71
visite,visite,22
à,à,81
la,le,71
vicomtesse,vicomtesse,22
de,de,81
Briseville,Briseville,20
",",",",p
cette,ce,74
dame,dame,22
lui,lui,51
demanda,demander,19
par,par,81
hasard,hasard,21
:,:,p
“,“,p
c',ce,52
est,être,17
cette,ce,74
année,année,22
sans,sans,81
doute,doute,21
que,que,83
votre,votre,73
Paul,Paul,20
va,aller,17
faire,faire,14
sa,son,73
première,premier,72
communion,communion,22
/.,/.,P
“,“,p
et,et,82
Jeanne,Jeanne,20
",",",",p
prise,pris,31
au,à,81
au,le,71
dépourvu,dépourvu,31
",",",",p
répondit,répondre,19
:,:,p
“,“,p
oui,oui,60
",",",",p
madame,madame,22
/.,/.,P
“,“,p
ce,ce,74
simple,simple,30
mot,mot,21
la,le,52
décida,décider,19
",",",",p
et,et,82
",",",",p
sans,sans,81
en,en,52
rien,rien,52
confier,confier,14
à,à,81
son,son,73
père,père,21
",",",",p
elle,il,51
pria,prier,19
Lise,Lise,20
de,de,81
conduire,conduire,14
l',le,71
enfant,enfant,21
au,à,81
au,le,71
catéchisme,catéchisme,21
/.,/.,P
pendant,pendant,81
un,un,71
mois,mois,21
tout,tout,52
alla,aller,19
bien,bien,60
;,;,p
mais,mais,82
Poulet,Poulet,20
revint,revenir,19
un,un,71
soir,soir,21
avec,avec,81
la,le,71
gorge,gorge,22
enrouée,enroué,31
/.,/.,P
et,et,82
le,le,71
lendemain,lendemain,21
il,il,51
toussait,tousser,18
/.,/.,P
sa,son,73
mère,mère,22
affolée,affolé,31
l',le,52
interrogea,interroger,19
",",",",p
et,et,82
elle,il,51
apprit,apprendre,19
que,que,83
le,le,71
curé,curé,21
l',le,52
avait,avoir,18
envoyé,envoyer,12
attendre,attendre,14
la,le,71
fin,fin,22
de,de,81
la,le,71
leçon,leçon,22
à,à,81
la,le,71
porte,porte,22
de,de,81
l',le,71
église,église,22
dans,dans,81
le,le,71
courant,courant,21
d',de,81
air,air,21
du,de,81
du,le,71
porche,porche,21
",",",",p
parce qu',parce que,83
il,il,51
s',se,51
était,être,18
mal,mal,60
tenu,tenir,12
/.,/.,P
elle,il,51
le,le,52
garda,garder,19
donc,donc,82
chez,chez,81
elle,il,51
et,et,82
lui,lui,51
fit,faire,19
apprendre,apprendre,14
elle-même,lui-même,51
cet,ce,74
alphabet,alphabet,21
de,de,81
la,le,71
religion,religion,22
/.,/.,P
mais,mais,82
l',le,71
abbé,abbé,21
Tolbiac,Tolbiac,20
",",",",p
malgré,malgré,81
les,le,71
supplications,supplication,22
de,de,81
Lison,Lison,20
",",",",p
refusa,refuser,19
de,de,81
l',le,52
admettre,admettre,14
parmi,parmi,81
les,le,71
communiants,communiant,21
",",",",p
comme,comme,83
étant,être,13
insuffisamment,insuffisamment,60
instruit,instruire,12
/.,/.,P
il,il,51
en,en,52
fut,être,19
de,de,81
même,même,60
l',le,71
an,an,21
suivant,suivant,30
/.,/.,P
alors,alors,60
le,le,71
baron,baron,21
exaspéré,exaspéré,31
jura,jurer,19
que,que,83
l',le,71
enfant,enfant,21
n',ne,60
avait,avoir,18
pas,pas,60
besoin,besoin,21
de,de,81
croire,croire,14
à,à,81
cette,ce,74
niaiserie,niaiserie,22
",",",",p
à,à,81
ce,ce,74
symbole,symbole,21
puéril,puéril,30
de,de,81
la,le,71
transsubstantiation,transsubstantiation,22
",",",",p
pour,pour,81
être,être,14
un,un,71
honnête,honnête,30
homme,homme,21
;,;,p
et,et,82
il,il,51
fut,être,19
décidé,décider,12
qu',que,83
il,il,51
serait,être,16
élevé,élever,12
en,en,81
chrétien,chrétien,21
",",",",p
mais,mais,82
non,non,60
pas,pas,60
en,en,81
catholique,catholique,21
pratiquant,pratiquant,30
",",",",p
et,et,82
qu',que,83
à,à,81
sa,son,73
majorité,majorité,22
il,il,51
demeurerait,demeurer,16
libre,libre,30
de,de,81
devenir,devenir,14
ce,ce,52
qu',que,52
il,il,51
lui,lui,51
plairait,plaire,16
/.,/.,P
et,et,82
Jeanne,Jeanne,20
",",",",p
quelque,quelque,75
temps,temps,21
après,après,81
",",",",p
ayant,avoir,13
fait,faire,12
une,un,71
visite,visite,22
aux,à,81
aux,le,71
Briseville,Briseville,20
",",",",p
n',ne,60
en,en,52
reçut,recevoir,19
point,point,60
en,en,81
retour,retour,21
/.,/.,P
elle,il,51
s',se,51
étonna,étonner,19
",",",",p
connaissant,connaître,13
la,le,71
méticuleuse,méticuleux,30
politesse,politesse,22
de,de,81
ses,son,73
voisins,voisin,21
;,;,p
mais,mais,82
la,le,71
marquise,marquise,22
de,de,81
Coutelier,Coutelier,20
lui,lui,51
révéla,révéler,19
avec,avec,81
hauteur,hauteur,22
la,le,71
raison,raison,22
de,de,81
cette,ce,74
abstention,abstention,22
/.,/.,P
se,se,51
regardant,regarder,13
",",",",p
par,par,81
la,le,71
situation,situation,22
de,de,81
son,son,73
mari,mari,21
",",",",p
et,et,82
par,par,81
son,son,73
titre,titre,21
bien,bien,60
authentique,authentique,30
",",",",p
et,et,82
par,par,81
sa,son,73
fortune,fortune,22
considérable,considérable,30
",",",",p
comme,comme,83
une,un,71
sorte,sorte,22
de,de,81
reine,reine,22
de,de,81
la,le,71
noblesse,noblesse,22
normande,normand,30
",",",",p
la,le,71
marquise,marquise,22
gouvernait,gouverner,18
en,en,81
vraie,vrai,30
reine,reine,22
",",",",p
parlait,parler,18
en,en,81
liberté,liberté,22
",",",",p
se,se,51
montrait,montrer,18
gracieuse,gracieux,30
ou,ou,82
cassante,cassant,30
",",",",p
selon,selon,81
les,le,71
occasions,occasion,22
",",",",p
admonestait,admonester,18
",",",",p
redressait,redresser,18
",",",",p
félicitait,féliciter,18
à,à,81
tout,tout,75
propos,propos,21
/.,/.,P
Jeanne,Jeanne,20
donc,donc,82
s',se,51
étant,être,13
présentée,présenter,12
chez,chez,81
elle,il,51
",",",",p
cette,ce,74
dame,dame,22
",",",",p
après,après,81
quelques,quelque,75
paroles,parole,22
glaciales,glacial,30
",",",",p
prononça,prononcer,19
d',de,81
un,un,71
ton,ton,21
sec,sec,30
:,:,p
“,“,p
la,le,71
société,société,22
se,se,51
divise,diviser,17
en,en,81
deux,deux,72
classes,classe,22
:,:,p
les,le,71
gens,gens,21
qui,qui,52
croient,croire,17
en,en,81
dieu,dieu,21
et,et,82
ceux,celui,52
qui,qui,52
n',ne,60
y,y,52
croient,croire,17
pas,pas,60
/.,/.,P
les,le,71
uns,un,52
",",",",p
même,même,60
les,le,71
plus,plus,60
humbles,humble,30
",",",",p
sont,être,17
nos,notre,73
amis,ami,21
",",",",p
nos,notre,73
égaux,égal,21
;,;,p
les,le,71
autres,autre,52
ne,ne,60
sont,être,17
rien,rien,52
pour,pour,81
nous,nous,51
/.,/.,P
“,“,p
Jeanne,Jeanne,20
",",",",p
sentant,sentir,13
l',le,71
attaque,attaque,22
",",",",p
répliqua,répliquer,19
:,:,p
“,“,p
mais,mais,82
ne,ne,60
peut,pouvoir,17
on,on,51
croire,croire,14
en,en,81
dieu,dieu,21
sans,sans,81
fréquenter,fréquenter,14
les,le,71
églises,église,22
?,?,p
“,“,p
la,le,71
marquise,marquise,22
répondit,répondre,19
:,:,p
“,“,p
non,non,60
",",",",p
madame,madame,22
;,;,p
les,le,71
fidèles,fidèle,21
vont,aller,17
prier,prier,14
dieu,dieu,21
dans,dans,81
son,son,73
église,église,22
comme,comme,83
on,on,51
va,aller,17
trouver,trouver,14
les,le,71
hommes,homme,21
en,en,81
leurs,leur,73
demeures,demeure,22
/.,/.,P
“,“,p
Jeanne,Jeanne,20
blessée,blessé,31
reprit,reprendre,19
:,:,p
“,“,p
dieu,dieu,21
est,être,17
partout,partout,60
",",",",p
madame,madame,22
/.,/.,P
quant,quand,83
à,à,81
moi,moi,51
qui,qui,52
crois,croire,17
",",",",p
du,de,81
du,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
",",",",p
à,à,81
sa,son,73
bonté,bonté,22
",",",",p
je,je,51
ne,ne,60
le,le,52
sens,sentir,17
plus,plus,60
présent,présent,30
quand,quand,83
certains,certain,75
prêtres,prêtre,21
se,se,51
trouvent,trouver,17
entre,entre,81
lui,lui,51
et,et,82
moi,moi,51
/.,/.,P
“,“,p
la,le,71
marquise,marquise,22
se,se,51
leva,lever,19
:,:,p
“,“,p
le,le,71
prêtre,prêtre,21
porte,porter,17
le,le,71
drapeau,drapeau,21
de,de,81
l',le,71
Eglise,Eglise,20
",",",",p
madame,madame,22
;,;,p
quiconque,quiconque,52
ne,ne,60
suit,suivre,17
pas,pas,60
le,le,71
drapeau,drapeau,21
est,être,17
contre,contre,81
",",",",p
lui,lui,51
",",",",p
et,et,82
contre,contre,81
nous,nous,51
/.,/.,P
“,“,p
Jeanne,Jeanne,20
s',se,51
était,être,18
levée,lever,12
à,à,81
son,son,73
tour,tour,21
",",",",p
frémissante,frémissant,30
:,:,p
“,“,p
vous,vous,51
croyez,croire,17
",",",",p
madame,madame,22
",",",",p
au,à,81
au,le,71
dieu,dieu,21
d',de,81
un,un,71
parti,parti,21
/.,/.,P
moi,moi,51
",",",",p
je,je,51
crois,croire,17
au,à,81
au,le,71
dieu,dieu,21
des,de,81
des,le,71
honnêtes,honnête,30
gens,gens,21
/.,/.,P
“,“,p
elle,il,51
salua,saluer,19
et,et,82
sortit,sortir,19
/.,/.,P
les,le,71
paysans,paysan,21
aussi,aussi,60
la,le,52
blâmaient,blâmer,18
entre,entre,81
eux,ils,51
de,de,81
n',ne,60
avoir,avoir,14
point,point,60
fait,faire,12
faire,faire,14
à,à,81
Poulet,Poulet,20
sa,son,73
première,premier,72
communion,communion,22
/.,/.,P
ils,ils,51
n',ne,60
allaient,aller,18
point,point,60
aux,à,81
aux,le,71
offices,office,21
",",",",p
n',ne,60
approchaient,approcher,18
point,point,60
des,de,81
des,le,71
sacrements,sacrement,21
",",",",p
ou,ou,82
bien,bien,60
ne,ne,60
les,le,52
recevaient,recevoir,18
qu',que,83
à,à,81
Pâques,Pâque,20
selon,selon,81
les,le,71
prescriptions,prescription,22
formelles,formel,30
de,de,81
l',le,71
Eglise,Eglise,20
;,;,p
mais,mais,82
pour,pour,81
les,le,71
mioches,mioche,21
",",",",p
c',ce,52
était,être,18
autre,autre,75
chose,chose,22
;,;,p
et,et,82
tous,tout,52
auraient,avoir,16
reculé,reculer,12
devant,devant,81
l',le,71
audace,audace,22
d',de,81
élever,élever,14
un,un,71
enfant,enfant,21
hors,hors,81
de,de,81
cette,ce,74
loi,loi,22
commune,commun,30
",",",",p
parce que,parce que,83
la,le,71
religion,religion,22
",",",",p
c',ce,52
est,être,17
la,le,71
religion,religion,22
/.,/.,P
elle,il,51
vit,vivre,17
bien,bien,60
cette,ce,74
réprobation,réprobation,22
",",",",p
et,et,82
s',se,51
indigna,indigner,19
en,en,81
son,son,73
âme,âme,22
de,de,81
toutes,tout,75
ces,ce,74
pactisations,pactisations,22
",",",",p
de,de,81
ces,ce,74
arrangements,arrangement,21
de,de,81
conscience,conscience,22
",",",",p
de,de,81
cette,ce,74
universelle,universel,30
peur,peur,22
de,de,81
tout,tout,52
",",",",p
de,de,81
la,le,71
grande,grand,30
lâcheté,lâcheté,22
gîtée,gîté,31
au,à,81
au,le,71
fond,fond,21
de,de,81
tous,tout,75
les,le,71
coeurs,coeur,21
",",",",p
et,et,82
parée,paré,31
",",",",p
quand,quand,83
elle,il,51
se,se,51
montre,montrer,17
",",",",p
de,de,81
tant,tant,60
de,de,81
masques,masque,21
respectables,respectable,30
/.,/.,P
le,le,71
baron,baron,21
prit,prendre,19
la,le,71
direction,direction,22
des,de,81
des,le,71
études,étude,22
de,de,81
Paul,Paul,20
",",",",p
et,et,82
le,le,52
mit,mettre,19
au,à,81
au,le,71
latin,latin,21
/.,/.,P
la,le,71
mère,mère,22
n',ne,60
avait,avoir,18
plus,plus,60
qu',que,83
une,un,71
recommandation,recommandation,22
:,:,p
“,“,p
surtout,surtout,60
ne,ne,60
le,le,52
fatigue,fatiguer,17
pas,pas,60
“,“,p
",",",",p
et,et,82
elle,il,51
rôdait,rôder,18
",",",",p
inquiète,inquiet,30
",",",",p
près,près,81
de,de,81
la,le,71
chambre,chambre,22
aux,à,81
aux,le,71
leçons,leçon,22
",",",",p
petit,petit,30
père,père,21
lui,lui,51
en,en,81
ayant,avoir,13
interdit,interdire,12
l',le,71
entrée,entrée,22
parce qu',parce que,83
elle,il,51
interrompait,interrompre,18
à,à,81
tout,tout,75
instant,instant,21
l',le,71
enseignement,enseignement,21
pour,pour,81
demander,demander,14
:,:,p
“,“,p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
froid,froid,30
aux,à,81
aux,le,71
pieds,pied,21
",",",",p
Poulet,Poulet,20
?,?,p
“,“,p
ou,ou,82
bien,bien,60
:,:,p
“,“,p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
mal,mal,21
à,à,81
la,le,71
tête,tête,22
",",",",p
Poulet,Poulet,20
?,?,p
“,“,p
ou,ou,82
bien,bien,60
pour,pour,81
arrêter,arrêter,14
le,le,71
maître,maître,21
:,:,p
“,“,p
ne,ne,60
le,le,52
fais,faire,17
pas,pas,60
tant,tant,60
parler,parler,14
",",",",p
tu,tu,51
vas,aller,17
lui,lui,51
fatiguer,fatiguer,14
la,le,71
gorge,gorge,22
/.,/.,P
“,“,p
dès,dès,81
que,que,83
le,le,71
petit,petit,21
était,être,18
libre,libre,30
",",",",p
il,il,51
descendait,descendre,18
jardiner,jardiner,14
avec,avec,81
mère,mère,22
et,et,82
tante,tante,22
/.,/.,P
ils,ils,51
avaient,avoir,18
maintenant,maintenant,60
un,un,71
grand,grand,30
amour,amour,21
pour,pour,81
la,le,71
culture,culture,22
de,de,81
la,le,71
terre,terre,22
;,;,p
et,et,82
tous,tout,75
trois,trois,72
plantaient,planter,18
des,de,81
des,le,71
jeunes,jeune,30
arbres,arbre,21
au,à,81
au,le,71
printemps,printemps,21
",",",",p
semaient,semer,18
des,de,81
des,le,71
graines,graine,22
dont,dont,52
l',le,71
éclosion,éclosion,22
et,et,82
la,le,71
poussée,poussée,22
les,le,52
passionnaient,passionner,18
",",",",p
taillaient,tailler,18
des,de,81
des,le,71
branches,branche,22
",",",",p
coupaient,couper,18
des,de,81
des,le,71
fleurs,fleur,22
pour,pour,81
faire,faire,14
des,de,81
des,le,71
bouquets,bouquet,21
/.,/.,P
le,le,71
plus,plus,60
grand,grand,30
souci,souci,21
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
était,être,18
la,le,71
production,production,22
des,de,81
des,le,71
salades,salade,22
/.,/.,P
il,il,51
dirigeait,diriger,18
quatre,quatre,72
grands,grand,30
carrés,carré,21
du,de,81
du,le,71
potager,potager,21
où,où,60
il,il,51
élevait,élever,18
avec,avec,81
un,un,71
soin,soin,21
extrême,extrême,30
laitues,laitue,22
",",",",p
Romaines,Romain,20
",",",",p
chicorées,chicorée,22
",",",",p
barbes,barbe,22
de,de,81
capucin,capucin,21
",",",",p
royales,royal,30
",",",",p
toutes,tout,75
les,le,71
espèces,espèce,22
connues,connu,31
de,de,81
ces,ce,74
feuilles,feuille,22
comestibles,comestible,30
/.,/.,P
il,il,51
bêchait,bêcher,18
",",",",p
arrosait,arroser,18
",",",",p
sarclait,sarcler,18
",",",",p
repiquait,repiquer,18
",",",",p
aidé,aidé,31
de,de,81
ses,son,73
deux,deux,72
mères,mère,22
qu',que,52
il,il,51
faisait,faire,18
travailler,travailler,14
comme,comme,83
des,de,81
des,le,71
femmes,femme,22
de,de,81
journée,journée,22
/.,/.,P
on,on,51
les,le,52
voyait,voir,18
pendant,pendant,81
des,de,81
des,le,71
heures,heure,22
entières,entier,30
à,à,81
genoux,genou,21
dans,dans,81
les,le,71
plates-bandes,plate-bande,22
",",",",p
maculant,maculer,13
leurs,leur,73
robes,robe,22
et,et,82
leurs,leur,73
mains,main,22
occupées,occupé,31
à,à,81
introduire,introduire,14
la,le,71
racine,racine,22
des,de,81
des,le,71
jeunes,jeune,30
plantes,plante,22
en,en,81
des,de,81
des,le,71
trous,trou,21
qu',que,52
elles,ils,51
creusaient,creuser,18
d',de,81
un,un,71
seul,seul,30
doigt,doigt,21
piqué,piqué,31
d',de,81
aplomb,aplomb,21
dans,dans,81
la,le,71
terre,terre,22
/.,/.,P
Poulet,Poulet,20
devenait,devenir,18
grand,grand,30
",",",",p
il,il,51
atteignait,atteindre,18
quinze,quinze,72
ans,an,21
;,;,p
et,et,82
l',le,71
échelle,échelle,22
du,de,81
du,le,71
salon,salon,21
marquait,marquer,18
un,un,71
mètre,mètre,21
cinquante,cinquante,72
huit,huit,72
/.,/.,P
mais,mais,82
il,il,51
restait,rester,18
enfant,enfant,21
d',de,81
esprit,esprit,21
",",",",p
ignorant,ignorant,30
",",",",p
niais,niais,30
",",",",p
étouffé,étouffé,31
par,par,81
ces,ce,74
deux,deux,72
jupes,jupe,22
et,et,82
ce,ce,74
vieil,vieux,30
homme,homme,21
aimable,aimable,30
qui,qui,52
n',ne,60
était,être,18
plus,plus,60
du,de,81
du,le,71
siècle,siècle,21
/.,/.,P
un,un,71
soir,soir,21
enfin,enfin,60
le,le,71
baron,baron,21
parla,parler,19
du,de,81
du,le,71
collège,collège,21
;,;,p
et,et,82
Jeanne,Jeanne,20
aussitôt,aussitôt,60
se,se,51
mit,mettre,19
à,à,81
sangloter,sangloter,14
/.,/.,P
tante,tante,22
Lison,Lison,20
effarée,effaré,31
se,se,51
tenait,tenir,18
dans,dans,81
un,un,71
coin,coin,21
sombre,sombre,30
/.,/.,P
la,le,71
mère,mère,22
répondait,répondre,18
:,:,p
“,“,p
qu',que,52
a,avoir,17
t,t,94
il,il,51
besoin,besoin,21
de,de,81
tant,tant,60
savoir,savoir,14
/.,/.,P
nous,nous,51
en,en,52
ferons,faire,15
un,un,71
homme,homme,21
des,de,81
des,le,71
champs,champ,21
",",",",p
un,un,71
gentilhomme,gentilhomme,21
campagnard,campagnard,30
/.,/.,P
il,il,51
cultivera,cultiver,15
des,de,81
des,le,71
terres,terre,22
comme,comme,83
font,faire,17
beaucoup,beaucoup,60
de,de,81
nobles,noble,21
/.,/.,P
il,il,51
vivra,vivre,15
et,et,82
vieillira,vieillir,15
heureux,heureux,30
dans,dans,81
cette,ce,74
maison,maison,22
où,où,60
nous,nous,51
aurons,avoir,15
vécu,vivre,12
avant,avant,81
lui,lui,51
",",",",p
où,où,60
nous,nous,51
mourrons,mourir,15
/.,/.,P
que,que,52
peut,pouvoir,17
on,on,51
demander,demander,14
de,de,81
plus,plus,60
?,?,p
“,“,p
mais,mais,82
le,le,71
baron,baron,21
hochait,hocher,18
la,le,71
tête,tête,22
/.,/.,P
“,“,p
que,que,52
répondras,répondre,15
tu,tu,51
s',si,83
il,il,51
vient,venir,17
te,tu,51
dire,dire,14
",",",",p
lorsqu',lorsque,83
il,il,51
aura,avoir,15
vingt,vingt,72
cinq,cinq,72
ans,an,21
:,:,p
je,je,51
ne,ne,60
suis,être,17
rien,rien,21
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
rien,rien,52
par,par,81
ta,ton,73
faute,faute,22
",",",",p
par,par,81
la,le,71
faute,faute,22
de,de,81
ton,ton,73
égoïsme,égoïsme,21
maternel,maternel,30
/.,/.,P
je,je,51
me,je,51
sens,sentir,17
incapable,incapable,30
de,de,81
travailler,travailler,14
",",",",p
de,de,81
devenir,devenir,14
quelqu'un,quelqu'un,52
",",",",p
et,et,82
pourtant,pourtant,60
je,je,51
n',ne,60
étais,être,18
pas,pas,60
fait,faire,12
pour,pour,81
la,le,71
vie,vie,22
obscure,obscur,30
",",",",p
humble,humble,30
",",",",p
et,et,82
triste,triste,30
à,à,81
mourir,mourir,14
",",",",p
à,à,81
laquelle,lequel,52
ta,ton,73
tendresse,tendresse,22
imprévoyante,imprévoyant,30
m',je,51
a,avoir,17
condamné,condamner,12
/.,/.,P
“,“,p
elle,il,51
pleurait,pleurer,18
toujours,toujours,60
",",",",p
implorant,implorer,13
son,son,73
fils,fils,21
/.,/.,P
“,“,p
dis,dire,17
",",",",p
Poulet,Poulet,20
",",",",p
tu,tu,51
ne,ne,60
me,je,51
reprocheras,reprocher,15
jamais,jamais,60
de,de,81
t',tu,51
avoir,avoir,14
trop,trop,60
aimé,aimer,12
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
“,“,p
et,et,82
le,le,71
grand,grand,30
enfant,enfant,21
surpris,surpris,31
promettait,promettre,18
:,:,p
“,“,p
non,non,60
",",",",p
maman,maman,22
/.,/.,P
-,-,p
tu,tu,51
me,je,51
le,le,52
jures,jurer,17
/?,/?,P
-,-,p
oui,oui,60
",",",",p
maman,maman,22
/.,/.,P
-,-,p
tu,tu,51
veux,vouloir,17
rester,rester,14
ici,ici,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
-,-,p
oui,oui,60
",",",",p
maman,maman,22
/.,/.,P
“,“,p
alors,alors,60
le,le,71
baron,baron,21
parla,parler,19
ferme,ferme,30
et,et,82
haut,haut,30
:,:,p
“,“,p
Jeanne,Jeanne,20
",",",",p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
le,le,71
droit,droit,21
de,de,81
disposer,disposer,14
de,de,81
cette,ce,74
vie,vie,22
/.,/.,P
ce,ce,52
que,que,52
tu,tu,51
fais,faire,17
là,là,60
est,être,17
lâche,lâche,30
et,et,82
presque,presque,60
criminel,criminel,30
;,;,p
tu,tu,51
sacrifies,sacrifier,17
ton,ton,73
enfant,enfant,21
à,à,81
ton,ton,73
bonheur,bonheur,21
particulier,particulier,30
/.,/.,P
“,“,p
elle,il,51
cacha,cacher,19
sa,son,73
figure,figure,22
dans,dans,81
ses,son,73
mains,main,22
",",",",p
poussant,pousser,13
des,de,81
des,le,71
sanglots,sanglot,21
précipités,précipité,31
",",",",p
et,et,82
elle,il,51
balbutiait,balbutier,18
dans,dans,81
ses,son,73
larmes,larme,22
:,:,p
“,“,p
j',je,51
ai,avoir,17
été,être,12
si,si,60
malheureuse,malheureux,30
…,…,p
si,si,60
malheureuse,malheureux,30
/!,/!,P
maintenant,maintenant,60
que,que,83
je,je,51
suis,être,17
tranquille,tranquille,30
avec,avec,81
lui,lui,51
",",",",p
on,on,51
me,je,51
l',le,52
enlève,enlever,17
/…,/…,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
je,je,51
deviendrai,devenir,15
…,…,p
toute,tout,60
seule,seul,30
/…,/…,P
à,à,81
présent,présent,21
?,?,p
/…,/…,P
“,“,p
son,son,73
père,père,21
se,se,51
leva,lever,19
",",",",p
vint,venir,19
s',se,51
asseoir,asseoir,14
auprès,auprès,60
d',de,81
elle,il,51
",",",",p
la,le,52
prit,prendre,19
dans,dans,81
ses,son,73
bras,bras,21
/.,/.,P
“,“,p
et,et,82
moi,moi,51
",",",",p
Jeanne,Jeanne,20
?,?,p
“,“,p
elle,il,51
le,le,52
saisit,saisir,19
brusquement,brusquement,60
par,par,81
le,le,71
cou,cou,21
",",",",p
l',le,52
embrassa,embrasser,19
avec,avec,81
violence,violence,22
",",",",p
puis,puis,60
",",",",p
toute,tout,60
suffoquée,suffoqué,31
encore,encore,60
",",",",p
elle,il,51
articula,articuler,19
au,à,81
au,le,71
milieu,milieu,21
d',de,81
étranglements,étranglement,21
:,:,p
“,“,p
oui,oui,60
/.,/.,P
tu,tu,51
as,avoir,17
raison,raison,22
…,…,p
peut-être,peut-être,60
…,…,p
petit,petit,30
père,père,21
/.,/.,P
j',je,51
étais,être,18
folle,fou,30
",",",",p
mais,mais,82
j',je,51
ai,avoir,17
tant,tant,60
souffert,souffrir,12
/.,/.,P
je,je,51
veux,vouloir,17
bien,bien,60
qu',que,83
il,il,51
aille,aller,17
au,à,81
au,le,71
collège,collège,21
/.,/.,P
“,“,p
et,et,82
",",",",p
sans,sans,81
trop,trop,60
comprendre,comprendre,14
ce,ce,52
qu',que,52
on,on,51
allait,aller,18
faire,faire,14
de,de,81
lui,lui,51
",",",",p
Poulet,Poulet,20
",",",",p
à,à,81
son,son,73
tour,tour,21
",",",",p
se,se,51
mit,mettre,19
à,à,81
larmoyer,larmoyer,14
/.,/.,P
alors,alors,60
ses,son,73
trois,trois,72
mères,mère,22
l',le,52
embrassant,embrasser,13
",",",",p
le,le,52
câlinant,câliner,13
",",",",p
l',le,52
encouragèrent,encourager,19
/.,/.,P
et,et,82
lorsqu',lorsque,83
on,on,51
monta,monter,19
se,se,51
coucher,coucher,14
",",",",p
tous,tout,52
avaient,avoir,18
le,le,71
coeur,coeur,21
serré,serré,31
et,et,82
tous,tout,52
pleurèrent,pleurer,19
dans,dans,81
leurs,leur,73
lits,lit,21
",",",",p
même,même,60
le,le,71
baron,baron,21
qui,qui,52
s',se,51
était,être,18
contenu,contenir,12
/.,/.,P
il,il,51
fut,être,19
décidé,décider,12
qu',que,83
à,à,81
la,le,71
rentrée,rentrée,22
on,on,51
mettrait,mettre,16
le,le,71
jeune,jeune,30
homme,homme,21
au,à,81
au,le,71
collège,collège,21
du,de,81
du,le,71
Havre,Havre,20
;,;,p
et,et,82
il,il,51
eut,avoir,19
",",",",p
pendant,pendant,81
tout,tout,75
l',le,71
été,été,21
",",",",p
plus,plus,60
de,de,81
gâteries,gâterie,22
que,que,83
jamais,jamais,60
/.,/.,P
sa,son,73
mère,mère,22
gémissait,gémir,18
souvent,souvent,60
à,à,81
la,le,71
pensée,pensée,22
de,de,81
la,le,71
séparation,séparation,22
/.,/.,P
elle,il,51
prépara,préparer,19
son,son,73
trousseau,trousseau,21
comme,comme,83
s',si,83
il,il,51
allait,aller,18
entreprendre,entreprendre,14
un,un,71
voyage,voyage,21
de,de,81
dix,dix,72
ans,an,21
;,;,p
puis,puis,60
",",",",p
un,un,71
matin,matin,21
d',de,81
octobre,octobre,21
",",",",p
après,après,81
