12029
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt et unième extrait>,<>,<>
lui,lui,51
trouva,trouver,19
t,t,94
il,il,51
“,“,p
le,le,71
cachet,cachet,21
du,de,81
du,le,71
jésuitisme,jésuitisme,21
“,“,p
/.,/.,P
sa,son,73
lumière,lumière,22
boréale,boréal,30
les,le,52
inquiétait,inquiéter,18
cependant,cependant,82
;,;,p
ils,ils,51
la,le,52
cherchèrent,chercher,19
dans,dans,81
le,le,71
manuel,manuel,21
de,de,81
d',de,81
Orbigny,Orbigny,20
/.,/.,P
c',ce,52
est,être,17
une,un,71
hypothèse,hypothèse,22
",",",",p
pour,pour,81
expliquer,expliquer,14
comment,comment,60
les,le,71
végétaux,végétal,21
fossiles,fossile,21
de,de,81
la,le,71
baie,baie,22
de,de,81
Baffin,Baffin,20
ressemblent,ressembler,17
aux,à,81
aux,le,71
plantes,plante,22
équatoriales,équatorial,30
/.,/.,P
on,on,51
suppose,supposer,17
",",",",p
à,à,81
la,le,71
place,place,22
du,de,81
du,le,71
soleil,soleil,21
",",",",p
un,un,71
grand,grand,30
foyer,foyer,21
lumineux,lumineux,30
",",",",p
maintenant,maintenant,60
disparu,disparu,31
",",",",p
et,et,82
dont,dont,52
les,le,71
aurores,aurore,22
boréales,boréal,30
ne,ne,60
sont,être,17
peut-être,peut-être,60
que,que,83
les,le,71
vestiges,vestige,21
/.,/.,P
puis,puis,60
un,un,71
doute,doute,21
leur,leur,52
vint,venir,19
sur,sur,81
la,le,71
provenance,provenance,22
de,de,81
l',le,71
homme,homme,21
;,;,p
-,-,p
et,et,82
embarrassés,embarrassé,31
",",",",p
ils,ils,51
songèrent,songer,19
à,à,81
Vaucorbeil,Vaucorbeil,20
/.,/.,P
ses,son,73
menaces,menace,22
n',ne,60
avaient,avoir,18
pas,pas,60
eu,avoir,12
de,de,81
suites,suite,22
/.,/.,P
comme,comme,83
autrefois,autrefois,60
",",",",p
il,il,51
passait,passer,18
le,le,71
matin,matin,21
devant,devant,81
leur,leur,73
grille,grille,22
",",",",p
en,en,81
raclant,racler,13
avec,avec,81
sa,son,73
canne,canne,22
tous,tout,75
les,le,71
barreaux,barreau,21
l',le,71
un,un,52
après,après,81
l',le,71
autre,autre,52
/.,/.,P
Bouvard,Bouvard,20
l',le,52
épia,épier,19
-,-,p
et,et,82
l',le,52
ayant,avoir,13
arrêté,arrêter,12
",",",",p
dit,dire,12
qu',que,83
il,il,51
voulait,vouloir,18
lui,lui,51
soumettre,soumettre,14
un,un,71
point,point,21
curieux,curieux,30
d',de,81
anthropologie,anthropologie,22
/.,/.,P
-,-,p
“,“,p
croyez,croire,17
vous,vous,51
que,que,83
le,le,71
genre,genre,21
humain,humain,30
descende,descendre,17
des,de,81
des,le,71
poissons,poisson,21
/?,/?,P
quelle,quel,75
bêtise,bêtise,22
/!,/!,P
plutôt,plutôt,60
des,de,81
des,le,71
singes,singe,21
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
directement,directement,60
",",",",p
c',ce,52
est,être,17
impossible,impossible,30
/!,/!,P
à,à,81
qui,qui,52
se,se,51
fier,fier,14
/?,/?,P
car,car,82
enfin,enfin,60
le,le,71
docteur,docteur,21
n',ne,60
était,être,18
pas,pas,60
un,un,71
catholique,catholique,21
/!,/!,P
ils,ils,51
continuèrent,continuer,19
leurs,leur,73
études,étude,22
",",",",p
mais,mais,82
sans,sans,81
passion,passion,22
",",",",p
étant,être,13
las,las,30
de,de,81
l',le,71
éocène,éocène,21
et,et,82
du,de,81
du,le,71
miocène,miocène,21
",",",",p
du,de,81
du,le,71
Mont Jorullo,Mont Jorullo,20
",",",",p
de,de,81
l',le,71
île,île,22
Julia,Julia,20
",",",",p
des,de,81
des,le,71
mammouths,mammouth,21
de,de,81
Sibérie,Sibérie,20
et,et,82
des,de,81
des,le,71
fossiles,fossile,21
invariablement,invariablement,60
comparés,comparé,31
dans,dans,81
tous,tout,75
les,le,71
auteurs,auteur,21
à,à,81
“,“,p
des,de,81
des,le,71
médailles,médaille,22
qui,qui,52
sont,être,17
des,de,81
des,le,71
témoignages,témoignage,21
authentiques,authentique,30
“,“,p
",",",",p
si,si,60
bien,bien,60
qu',que,83
un,un,71
jour,jour,21
",",",",p
Bouvard,Bouvard,20
jeta,jeter,19
son,son,73
havresac,havresac,21
par,par,81
terre,terre,22
",",",",p
en,en,81
déclarant,déclarer,13
qu',que,83
il,il,51
n',ne,60
irait,aller,16
pas,pas,60
plus,plus,60
loin,loin,60
/.,/.,P
la,le,71
géologie,géologie,22
est,être,17
trop,trop,60
défectueuse,défectueux,30
/!,/!,P
à,à,81
peine,peine,22
connaissons,connaître,17
nous,nous,51
quelques,quelque,75
endroits,endroit,21
de,de,81
l',le,71
Europe,Europe,20
/.,/.,P
quant,quand,83
au,à,81
au,le,71
reste,reste,21
",",",",p
avec,avec,81
le,le,71
fond,fond,21
des,de,81
des,le,71
océans,océan,21
",",",",p
on,on,51
l',le,52
ignorera,ignorer,15
toujours,toujours,60
/.,/.,P
enfin,enfin,60
",",",",p
Pécuchet,Pécuchet,20
ayant,avoir,13
prononcé,prononcer,12
le,le,71
mot,mot,21
de,de,81
règne,règne,21
minéral,minéral,30
:,:,p
-,-,p
“,“,p
je,je,51
n',ne,60
y,y,52
crois,croire,17
pas,pas,60
",",",",p
au,à,81
au,le,71
règne,règne,21
minéral,minéral,30
!,!,p
puisque,puisque,83
des,de,81
des,le,71
matières,matière,22
organiques,organique,30
ont,avoir,17
pris,prendre,12
part,part,22
à,à,81
la,le,71
formation,formation,22
du,de,81
du,le,71
silex,silex,21
",",",",p
de,de,81
la,le,71
craie,craie,22
",",",",p
de,de,81
l',le,71
or,or,21
peut-être,peut-être,60
/!,/!,P
le,le,71
diamant,diamant,21
n',ne,60
a,avoir,17
t,t,94
il,il,51
pas,pas,60
été,être,12
du,de,81
du,le,71
charbon,charbon,21
:,:,p
la,le,71
houille,houille,22
un,un,71
assemblage,assemblage,21
de,de,81
végétaux,végétal,21
:,:,p
-,-,p
en,en,81
la,le,52
chauffant,chauffer,13
à,à,81
je,je,51
ne,ne,60
sais,savoir,17
plus,plus,60
combien,combien,60
de,de,81
degrés,degré,21
",",",",p
on,on,51
obtient,obtenir,17
de,de,81
la,le,71
sciure,sciure,22
de,de,81
bois,bois,21
",",",",p
tellement,tellement,60
que,que,83
tout,tout,52
passe,passer,17
",",",",p
tout,tout,52
coule,couler,17
/.,/.,P
la,le,71
création,création,22
est,être,17
faite,faire,12
d',de,81
une,un,71
matière,matière,22
ondoyante,ondoyant,30
et,et,82
fugace,fugace,30
/.,/.,P
mieux,mieux,60
vaudrait,valoir,16
nous,nous,51
occuper,occuper,14
d',de,81
autre,autre,75
chose,chose,22
/!,/!,P
il,il,51
se,se,51
coucha,coucher,19
sur,sur,81
le,le,71
dos,dos,21
",",",",p
et,et,82
se,se,51
mit,mettre,19
à,à,81
sommeiller,sommeiller,14
",",",",p
pendant,pendant,81
que,que,83
Pécuchet,Pécuchet,20
la,le,71
tête,tête,22
basse,bas,30
et,et,82
un,un,71
genou,genou,21
dans,dans,81
les,le,71
mains,main,22
",",",",p
se,se,51
livrait,livrer,18
à,à,81
ses,son,73
réflexions,réflexion,22
/.,/.,P
une,un,71
lisière,lisière,22
de,de,81
mousse,mousse,21
bordait,border,18
un,un,71
chemin,chemin,21
creux,creux,30
",",",",p
ombragé,ombragé,31
par,par,81
des,de,81
des,le,71
frênes,frêne,21
dont,dont,52
les,le,71
cimes,cime,22
légères,léger,30
tremblaient,trembler,18
/.,/.,P
des,de,81
des,le,71
angéliques,angélique,22
",",",",p
des,de,81
des,le,71
menthes,menthe,22
",",",",p
des,de,81
des,le,71
lavandes,lavande,22
exhalaient,exhaler,18
des,de,81
des,le,71
senteurs,senteur,22
chaudes,chaud,30
",",",",p
épicées,épicé,31
;,;,p
l',le,71
atmosphère,atmosphère,22
était,être,18
lourde,lourd,30
;,;,p
et,et,82
Pécuchet,Pécuchet,20
",",",",p
dans,dans,81
une,un,71
sorte,sorte,22
d',de,81
abrutissement,abrutissement,21
",",",",p
rêvait,rêver,18
aux,à,81
aux,le,71
existences,existence,22
innombrables,innombrable,30
éparses,épars,30
autour,autour,60
de,de,81
lui,lui,51
",",",",p
aux,à,81
aux,le,71
insectes,insecte,21
qui,qui,52
bourdonnaient,bourdonner,18
",",",",p
aux,à,81
aux,le,71
sources,source,22
cachées,caché,31
sous,sous,81
le,le,71
gazon,gazon,21
",",",",p
à,à,81
la,le,71
sève,sève,22
des,de,81
des,le,71
plantes,plante,22
",",",",p
aux,à,81
aux,le,71
oiseaux,oiseau,21
dans,dans,81
leurs,leur,73
nids,nid,21
",",",",p
au,à,81
au,le,71
vent,vent,21
",",",",p
aux,à,81
aux,le,71
nuages,nuage,21
",",",",p
à,à,81
toute,tout,75
la,le,71
nature,nature,22
",",",",p
sans,sans,81
chercher,chercher,14
à,à,81
découvrir,découvrir,14
ses,son,73
mystères,mystère,21
",",",",p
séduit,séduire,17
par,par,81
sa,son,73
force,force,22
",",",",p
perdu,perdu,31
dans,dans,81
sa,son,73
grandeur,grandeur,22
/.,/.,P
-,-,p
“,“,p
j',je,51
ai,avoir,17
soif,soif,22
!,!,p
dit,dire,19
Bouvard,Bouvard,20
",",",",p
en,en,81
se,se,51
réveillant,réveiller,13
/.,/.,P
-,-,p
“,“,p
moi,moi,51
de,de,81
même,même,60
/!,/!,P
je,je,51
boirais,boire,16
volontiers,volontiers,60
quelque,quelque,75
chose,chose,22
/!,/!,P
c',ce,52
est,être,17
facile,facile,30
“,“,p
reprit,reprendre,19
un,un,71
homme,homme,21
qui,qui,52
passait,passer,18
",",",",p
en,en,81
manches,manche,22
de,de,81
chemise,chemise,22
",",",",p
avec,avec,81
une,un,71
planche,planche,22
sur,sur,81
l',le,71
épaule,épaule,22
/.,/.,P
et,et,82
ils,ils,51
reconnurent,reconnaître,19
ce,ce,74
vagabond,vagabond,21
",",",",p
à,à,81
qui,qui,52
Bouvard,Bouvard,20
autrefois,autrefois,60
avait,avoir,18
donné,donner,12
un,un,71
verre,verre,21
de,de,81
vin,vin,21
/.,/.,P
il,il,51
semblait,sembler,18
de,de,81
dix,dix,72
ans,an,21
plus,plus,60
jeune,jeune,30
",",",",p
portait,porter,18
les,le,71
cheveux,cheveu,21
en,en,81
accroche-coeur,accroche-coeur,21
",",",",p
la,le,71
moustache,moustache,22
bien,bien,60
cirée,ciré,31
",",",",p
et,et,82
dandinait,dandiner,18
sa,son,73
taille,taille,22
d',de,81
une,un,71
façon,façon,22
parisienne,parisien,30
/.,/.,P
après,après,81
cent,cent,72
pas,pas,21
environ,environ,60
",",",",p
il,il,51
ouvrit,ouvrir,19
la,le,71
barrière,barrière,22
d',de,81
une,un,71
cour,cour,22
",",",",p
jeta,jeter,19
sa,son,73
planche,planche,22
contre,contre,81
un,un,71
mur,mur,21
",",",",p
et,et,82
les,le,52
fit,faire,19
entrer,entrer,14
dans,dans,81
une,un,71
haute,haut,30
cuisine,cuisine,22
/.,/.,P
-,-,p
“,“,p
Mélie,Mélie,20
!,!,p
es,être,17
tu,tu,51
là,là,60
",",",",p
Mélie,Mélie,20
/?,/?,P
une,un,71
jeune,jeune,30
fille,fille,22
parut,paraître,19
;,;,p
sur,sur,81
son,son,73
commandement,commandement,21
",",",",p
alla,aller,19
“,“,p
tirer,tirer,14
de,de,81
la,le,71
boisson,boisson,22
“,“,p
et,et,82
revint,revenir,19
près,près,81
de,de,81
la,le,71
table,table,22
",",",",p
servir,servir,14
ces,ce,74
messieurs,monsieur,21
/.,/.,P
ses,son,73
bandeaux,bandeau,21
",",",",p
de,de,81
la,le,71
couleur,couleur,22
des,de,81
des,le,71
blés,blé,21
",",",",p
dépassaient,dépasser,18
un,un,71
béguin,béguin,21
de,de,81
toile,toile,22
grise,gris,30
/.,/.,P
tous,tout,75
ses,son,73
pauvres,pauvre,30
vêtements,vêtement,21
descendaient,descendre,18
le,le,71
long,long,21
de,de,81
son,son,73
corps,corps,21
sans,sans,81
un,un,71
pli,pli,21
;,;,p
-,-,p
et,et,82
le,le,71
nez,nez,21
droit,droit,30
",",",",p
les,le,71
yeux,oeil,21
bleus,bleu,30
",",",",p
elle,il,51
avait,avoir,18
quelque,quelque,75
chose,chose,22
de,de,81
délicat,délicat,30
",",",",p
de,de,81
champêtre,champêtre,30
et,et,82
d',de,81
ingénu,ingénu,30
/.,/.,P
-,-,p
“,“,p
elle,il,51
est,être,17
gentille,gentil,30
",",",",p
hein,hein,93
?,?,p
dit,dire,19
le,le,71
menuisier,menuisier,21
",",",",p
pendant,pendant,81
qu',que,83
elle,il,51
apportait,apporter,18
des,de,81
des,le,71
verres,verre,21
/.,/.,P
“,“,p
si,si,83
on,on,51
ne,ne,60
jurerait,jurer,16
pas,pas,60
une,un,71
demoiselle,demoiselle,22
",",",",p
costumée,costumé,31
en,en,81
paysanne,paysanne,22
!,!,p
et,et,82
rude,rude,30
à,à,81
l',le,71
ouvrage,ouvrage,21
",",",",p
pourtant,pourtant,60
/!,/!,P
pauvre,pauvre,30
petit,petit,30
coeur,coeur,21
",",",",p
va,aller,17
!,!,p
quand,quand,83
je,je,51
serai,être,16
riche,riche,30
",",",",p
je,je,51
t',tu,51
épouserai,épouser,15
/!,/!,P
vous,vous,51
dites,dire,17
toujours,toujours,60
des,de,81
des,le,71
bêtises,bêtise,22
",",",",p
monsieur,monsieur,21
Gorju,Gorju,20
“,“,p
répondit,répondre,19
elle,il,51
d',de,81
une,un,71
voix,voix,22
douce,doux,30
",",",",p
sur,sur,81
un,un,71
accent,accent,21
traînard,traînard,30
/.,/.,P
un,un,71
valet,valet,21
d',de,81
écurie,écurie,22
vint,venir,19
prendre,prendre,14
de,de,81
l',le,71
avoine,avoine,21
dans,dans,81
un,un,71
vieux,vieux,30
coffre,coffre,21
",",",",p
et,et,82
laissa,laisser,19
retomber,retomber,14
le,le,71
couvercle,couvercle,21
si,si,60
brutalement,brutalement,60
qu',que,83
un,un,71
éclat,éclat,21
de,de,81
bois,bois,21
en,en,52
jaillit,jaillir,17
/.,/.,P
Gorju,Gorju,20
s',se,51
emporta,emporter,19
contre,contre,81
la,le,71
lourdeur,lourdeur,22
de,de,81
tous,tout,75
“,“,p
ces,ce,74
gars,gars,21
de,de,81
la,le,71
campagne,campagne,22
“,“,p
puis,puis,60
",",",",p
à,à,81
genoux,genou,21
devant,devant,81
le,le,71
meuble,meuble,21
",",",",p
il,il,51
cherchait,chercher,18
la,le,71
place,place,22
du,de,81
du,le,71
morceau,morceau,21
/.,/.,P
Pécuchet,Pécuchet,20
en,en,81
voulant,vouloir,13
l',le,52
aider,aider,14
",",",",p
distingua,distinguer,19
sous,sous,81
la,le,71
poussière,poussière,22
",",",",p
des,de,81
des,le,71
figures,figure,22
de,de,81
personnages,personnage,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
bahut,bahut,21
de,de,81
la,le,71
Renaissance,Renaissance,20
",",",",p
avec,avec,81
une,un,71
torsade,torsade,22
en,en,81
bas,bas,21
",",",",p
des,de,81
des,le,71
pampres,pampre,21
dans,dans,81
les,le,71
coins,coin,21
",",",",p
et,et,82
les,le,71
colonnettes,colonnette,22
divisaient,diviser,18
sa,son,73
devanture,devanture,22
en,en,81
cinq,cinq,72
compartiments,compartiment,21
/.,/.,P
on,on,51
voyait,voir,18
au,à,81
au,le,71
milieu,milieu,21
",",",",p
Vénus,Vénus,20
Anadyomène,Anadyomène,20
debout,debout,60
sur,sur,81
une,un,71
coquille,coquille,22
",",",",p
puis,puis,60
Hercule,Hercule,20
et,et,82
Omphale,Omphale,20
",",",",p
Samson,Samson,20
et,et,82
Dalila,Dalila,20
",",",",p
Circé,Circé,20
et,et,82
ses,son,73
pourceaux,pourceau,21
",",",",p
les,le,71
filles,fille,22
de,de,81
Loth,Loth,20
enivrant,enivrant,30
leur,leur,73
père,père,21
;,;,p
tout,tout,75
cela,cela,52
délabré,délabré,31
",",",",p
rongé,rongé,31
de,de,81
mites,mite,22
",",",",p
et,et,82
même,même,60
le,le,71
panneau,panneau,21
de,de,81
droite,droite,22
manquait,manquer,18
/.,/.,P
Gorju,Gorju,20
prit,prendre,19
une,un,71
chandelle,chandelle,22
pour,pour,81
mieux,mieux,60
faire,faire,14
voir,voir,14
à,à,81
Pécuchet,Pécuchet,20
celui,celui,52
de,de,81
gauche,gauche,22
",",",",p
qui,qui,52
présentait,présenter,18
sous,sous,81
l',le,71
arbre,arbre,21
du,de,81
du,le,71
Paradis,Paradis,20
",",",",p
Adam,Adam,20
et,et,82
Eve,Eve,20
dans,dans,81
une,un,71
posture,posture,22
fort,fort,60
indécente,indécent,30
/.,/.,P
Bouvard,Bouvard,20
également,également,60
admira,admirer,19
le,le,71
bahut,bahut,21
/.,/.,P
-,-,p
“,“,p
si,si,83
vous,vous,51
y,y,52
tenez,tenir,17
",",",",p
on,on,51
vous,vous,51
le,le,52
céderait,céder,16
à,à,81
bon,bon,30
compte,compte,21
/.,/.,P
“,“,p
ils,ils,51
hésitaient,hésiter,18
",",",",p
vu,vu,81
les,le,71
réparations,réparation,22
/.,/.,P
Gorju,Gorju,20
pouvait,pouvoir,18
les,le,52
faire,faire,14
",",",",p
étant,être,13
de,de,81
son,son,73
métier,métier,21
ébéniste,ébéniste,21
/.,/.,P
-,-,p
“,“,p
allons,aller,17
/!,/!,P
venez,venir,17
!,!,p
et,et,82
il,il,51
entraîna,entraîner,19
Pécuchet,Pécuchet,20
vers,vers,81
la,le,71
masure,masure,22
",",",",p
où,où,60
madame,madame,22
Castillon,Castillon,20
",",",",p
la,le,71
maîtresse,maîtresse,22
",",",",p
étendait,étendre,18
du,de,81
du,le,71
linge,linge,21
/.,/.,P
Mélie,Mélie,20
quand,quand,83
elle,il,51
eut,avoir,19
lavé,laver,12
ses,son,73
mains,main,22
",",",",p
prit,prendre,19
sur,sur,81
le,le,71
bord,bord,21
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
son,son,73
métier,métier,21
à,à,81
dentelles,dentelle,22
",",",",p
s',se,51
assit,asseoir,19
en,en,81
pleine,plein,30
lumière,lumière,22
",",",",p
et,et,82
travailla,travailler,19
/.,/.,P
le,le,71
linteau,linteau,21
de,de,81
la,le,71
porte,porte,22
l',le,52
encadrait,encadrer,18
/.,/.,P
les,le,71
fuseaux,fuseau,21
se,se,51
débrouillaient,débrouiller,18
sous,sous,81
ses,son,73
doigts,doigt,21
avec,avec,81
un,un,71
claquement,claquement,21
de,de,81
castagnettes,castagnettes,22
/.,/.,P
son,son,73
profil,profil,21
restait,rester,18
penché,penché,31
/.,/.,P
Bouvard,Bouvard,20
la,le,52
questionna,questionner,19
sur,sur,81
ses,son,73
parents,parent,21
",",",",p
son,son,73
pays,pays,21
",",",",p
les,le,71
gages,gage,21
qu',que,52
on,on,51
lui,lui,51
donnait,donner,18
/.,/.,P
elle,il,51
était,être,18
de,de,81
Ouistreham,Ouistreham,20
",",",",p
n',ne,60
avait,avoir,18
plus,plus,60
de,de,81
famille,famille,22
",",",",p
gagnait,gagner,18
une,un,71
pistole,pistole,22
par,par,81
mois,mois,21
-,-,p
enfin,enfin,60
",",",",p
elle,il,51
lui,lui,51
plut,plaire,19
tellement,tellement,60
qu',que,83
il,il,51
désira,désirer,19
la,le,52
prendre,prendre,14
à,à,81
son,son,73
service,service,21
pour,pour,81
aider,aider,14
la,le,71
vieille,vieux,30
Germaine,Germaine,20
/.,/.,P
Pécuchet,Pécuchet,20
reparut,reparaître,19
avec,avec,81
la,le,71
fermière,fermière,22
",",",",p
et,et,82
pendant,pendant,81
qu',que,83
ils,ils,51
continuaient,continuer,18
leur,leur,73
marchandage,marchandage,21
",",",",p
Bouvard,Bouvard,20
demanda,demander,19
tout,tout,60
bas,bas,60
à,à,81
Gorju,Gorju,20
",",",",p
si,si,83
la,le,71
petite,petit,30
bonne,bonne,22
consentirait,consentir,16
à,à,81
devenir,devenir,14
sa,son,73
servante,servante,22
/.,/.,P
-,-,p
“,“,p
parbleu,parbleu,93
/!,/!,P
toutefois,toutefois,60
“,“,p
dit,dire,19
Bouvard,Bouvard,20
",",",",p
“,“,p
il,il,51
faut,falloir,17
que,que,83
je,je,51
consulte,consulter,17
mon,mon,73
ami,ami,21
/.,/.,P
“,“,p
-,-,p
“,“,p
eh,eh,93
bien,bien,60
!,!,p
je,je,51
ferai,faire,15
en,en,81
sorte,sorte,22
/.,/.,P
mais,mais,82
n',ne,60
en,en,52
parlez,parler,17
pas,pas,60
!,!,p
à,à,81
cause,cause,22
de,de,81
la,le,71
bourgeoise,bourgeoise,22
/.,/.,P
“,“,p
le,le,71
marché,marché,21
venait,venir,18
de,de,81
se,se,51
conclure,conclure,14
",",",",p
moyennant,moyennant,81
trente,trente,72
cinq,cinq,72
francs,franc,21
/.,/.,P
pour,pour,81
le,le,71
raccommodage,raccommodage,21
on,on,51
s',se,51
entendrait,entendre,16
/.,/.,P
à,à,81
peine,peine,22
dans,dans,81
la,le,71
cour,cour,22
Bouvard,Bouvard,20
dit,dire,19
son,son,73
intention,intention,22
relativement,relativement,60
à,à,81
Mélie,Mélie,20
/.,/.,P
Pécuchet,Pécuchet,20
s',se,51
arrêta,arrêter,19
",",",",p
afin,afin,81
de,de,81
mieux,mieux,60
réfléchir,réfléchir,14
",",",",p
ouvrit,ouvrir,19
sa,son,73
tabatière,tabatière,22
",",",",p
huma,humer,19
une,un,71
prise,prise,22
",",",",p
et,et,82
s',se,51
étant,être,13
mouché,moucher,12
:,:,p
-,-,p
“,“,p
au,à,81
au,le,71
fait,fait,21
",",",",p
c',ce,52
est,être,17
une,un,71
idée,idée,22
!,!,p
mon,mon,73
dieu,dieu,21
",",",",p
oui,oui,60
!,!,p
pourquoi,pourquoi,60
pas,pas,60
/?,/?,P
d',de,81
ailleurs,ailleurs,60
",",",",p
tu,tu,51
es,être,17
le,le,71
maître,maître,21
/!,/!,P
dix,dix,72
minutes,minute,22
après,après,81
",",",",p
Gorju,Gorju,20
se,se,51
montra,montrer,19
sur,sur,81
le,le,71
haut,haut,30
bord,bord,21
d',de,81
un,un,71
fossé,fossé,21
-,-,p
et,et,82
les,le,52
interpellant,interpeller,13
:,:,p
-,-,p
“,“,p
quand,quand,83
faut,falloir,17
il,il,51
que,que,83
je,je,51
vous,vous,51
apporte,apporter,17
le,le,71
meuble,meuble,21
/?,/?,P
demain,demain,60
/!,/!,P
et,et,82
pour,pour,81
l',le,71
autre,autre,75
question,question,22
",",",",p
êtes,être,17
vous,vous,51
décidés,décider,12
/?,/?,P
convenu,convenu,31
!,!,p
répondit,répondre,19
Pécuchet,Pécuchet,20
/.,/.,P
<CHAPITRE IV>,<>,<>
six,six,72
mois,mois,21
plus,plus,60
tard,tard,60
",",",",p
ils,ils,51
étaient,être,18
devenus,devenir,12
des,de,81
des,le,71
archéologues,archéologue,21
;,;,p
-,-,p
et,et,82
leur,leur,73
maison,maison,22
ressemblait,ressembler,18
à,à,81
un,un,71
musée,musée,21
/.,/.,P
une,un,71
vieille,vieux,30
poutre,poutre,22
de,de,81
bois,bois,21
se,se,51
dressait,dresser,18
dans,dans,81
le,le,71
vestibule,vestibule,21
/.,/.,P
les,le,71
spécimens,spécimen,21
de,de,81
géologie,géologie,22
encombraient,encombrer,18
l',le,71
escalier,escalier,21
;,;,p
-,-,p
et,et,82
une,un,71
chaîne,chaîne,22
énorme,énorme,30
s',se,51
étendait,étendre,18
par,par,81
terre,terre,22
tout,tout,75
le,le,71
long,long,21
du,de,81
du,le,71
corridor,corridor,21
/.,/.,P
ils,ils,51
avaient,avoir,18
décroché,décrocher,12
la,le,71
porte,porte,22
entre,entre,81
les,le,71
deux,deux,72
chambres,chambre,22
où,où,60
ils,ils,51
ne,ne,60
couchaient,coucher,18
pas,pas,60
et,et,82
condamné,condamné,31
l',le,71
entrée,entrée,22
extérieure,extérieur,30
de,de,81
la,le,71
seconde,seconde,22
",",",",p
pour,pour,81
ne,ne,60
faire,faire,14
de,de,81
ces,ce,74
deux,deux,72
pièces,pièce,22
qu',que,83
un,un,71
même,même,75
appartement,appartement,21
/.,/.,P
quand,quand,83
on,on,51
avait,avoir,18
franchi,franchir,12
le,le,71
seuil,seuil,21
on,on,51
se,se,51
heurtait,heurter,18
à,à,81
une,un,71
auge,auge,22
de,de,81
pierre,pierre,22
(,(,p
un,un,71
sarcophage,sarcophage,21
gallo-romain,gallo-romain,30
),),p
puis,puis,60
",",",",p
les,le,71
yeux,oeil,21
étaient,être,18
frappés,frapper,12
par,par,81
de,de,81
la,le,71
quincaillerie,quincaillerie,22
/.,/.,P
contre,contre,81
le,le,71
mur,mur,21
en,en,81
face,face,22
",",",",p
une,un,71
bassinoire,bassinoire,22
dominait,dominer,18
deux,deux,72
chenets,chenet,21
et,et,82
une,un,71
plaque,plaque,22
de,de,81
foyer,foyer,21
",",",",p
qui,qui,52
représentait,représenter,18
un,un,71
moine,moine,21
caressant,caressant,30
une,un,71
bergère,bergère,22
/.,/.,P
sur,sur,81
des,de,81
des,le,71
planchettes,planchette,22
tout,tout,60
autour,autour,60
",",",",p
on,on,51
voyait,voir,18
des,de,81
des,le,71
flambeaux,flambeau,21
",",",",p
des,de,81
des,le,71
serrures,serrure,22
",",",",p
des,de,81
des,le,71
boulons,boulon,21
",",",",p
des,de,81
des,le,71
écrous,écrou,21
/.,/.,P
le,le,71
sol,sol,21
disparaissait,disparaître,18
sous,sous,81
des,de,81
des,le,71
tessons,tesson,21
de,de,81
tuiles,tuile,22
rouges,rouge,30
/.,/.,P
une,un,71
table,table,22
au,à,81
au,le,71
milieu,milieu,21
exhibait,exhiber,18
les,le,71
curiosités,curiosité,22
les,le,71
plus,plus,60
rares,rare,30
:,:,p
la,le,71
carcasse,carcasse,22
d',de,81
un,un,71
bonnet,bonnet,21
de,de,81
Cauchoise,Cauchois,20
",",",",p
deux,deux,72
urnes,urne,22
d',de,81
argile,argile,22
",",",",p
des,de,81
des,le,71
médailles,médaille,22
",",",",p
une,un,71
fiole,fiole,22
de,de,81
verre,verre,21
opalin,opalin,30
/.,/.,P
un,un,71
fauteuil,fauteuil,21
en,en,81
tapisserie,tapisserie,22
avait,avoir,18
sur,sur,81
son,son,73
dossier,dossier,21
un,un,71
triangle,triangle,21
de,de,81
guipure,guipure,22
/.,/.,P
un,un,71
morceau,morceau,21
de,de,81
cotte,cotte,22
de,de,81
mailles,maille,22
ornait,orner,18
la,le,71
cloison,cloison,22
à,à,81
droite,droite,22
;,;,p
et,et,82
en,en,81
dessous,dessous,21
",",",",p
des,de,81
des,le,71
pointes,pointe,22
maintenaient,maintenir,18
horizontalement,horizontalement,60
une,un,71
hallebarde,hallebarde,22
",",",",p
pièce,pièce,22
unique,unique,30
/.,/.,P
la,le,71
seconde,second,72
chambre,chambre,22
",",",",p
où,où,60
l',l',94
on,on,51
descendait,descendre,18
par,par,81
deux,deux,72
marches,marche,22
",",",",p
renfermait,renfermer,18
les,le,71
anciens,ancien,30
livres,livre,21
apportés,apporté,31
de,de,81
Paris,Paris,20
",",",",p
et,et,82
ceux,celui,52
qu',que,52
en,en,81
arrivant,arriver,13
ils,ils,51
avaient,avoir,18
découverts,découvrir,12
dans,dans,81
une,un,71
armoire,armoire,22
/.,/.,P
les,le,71
vantaux,vantail,21
en,en,52
étaient,être,18
retirés,retirer,12
/.,/.,P
ils,ils,51
l',le,52
appelaient,appeler,18
la,le,71
bibliothèque,bibliothèque,22
/.,/.,P
l',le,71
arbre,arbre,21
généalogique,généalogique,30
de,de,81
la,le,71
famille,famille,22
Croixmare,Croixmare,20
occupait,occuper,18
seul,seul,30
tout,tout,75
le,le,71
revers,revers,21
de,de,81
la,le,71
