11663
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-huitième extrait>,<>,<>
d',de,81
épée,épée,22
et,et,82
de,de,81
poignard,poignard,21
des,de,81
des,le,71
gentilshommes,gentilhomme,21
des,de,81
des,le,71
deux,deux,72
partis,parti,21
en,en,81
criant,crier,13
à tue-tête,à tue-tête,60
:,:,p
à,à,81
moi,moi,51
",",",",p
d',de,81
Aubijoux,Aubijoux,20
!,!,p
tu,tu,51
m',je,51
as,avoir,17
gagné,gagner,12
trois,trois,72
mille,mille,72
ducats,ducat,21
",",",",p
voilà,voilà,81
trois,trois,72
coups,coup,21
d',de,81
épée,épée,22
/.,/.,P
à,à,81
moi,moi,51
",",",",p
la,le,71
Chapelle,Chapelle,20
!,!,p
j',je,51
aurai,avoir,15
dix,dix,72
gouttes,goutte,22
de,de,81
ton,ton,73
sang,sang,21
en,en,81
échange,échange,21
de,de,81
mes,mon,73
dix,dix,72
pistoles,pistole,22
;,;,p
et,et,82
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
de,de,81
mes,mon,73
yeux,oeil,21
attaquer,attaquer,14
ces,ce,74
messieurs,monsieur,21
et,et,82
plusieurs,plusieurs,75
autres,autre,52
encore,encore,60
des,de,81
des,le,71
deux,deux,72
partis,parti,21
",",",",p
assez,assez,60
loyalement,loyalement,60
",",",",p
il,il,51
est,être,17
vrai,vrai,30
",",",",p
car,car,82
il,il,51
ne,ne,60
les,le,52
frappait,frapper,18
qu',que,83
en,en,81
face,face,22
et,et,82
bien,bien,60
en,en,81
garde,garde,22
",",",",p
mais,mais,82
avec,avec,81
beaucoup,beaucoup,60
de,de,81
bonheur,bonheur,21
et,et,82
une,un,71
impartialité,impartialité,22
révoltante,révoltant,30
/.,/.,P
-,-,p
oui,oui,60
",",",",p
monsieur,monsieur,21
",",",",p
et,et,82
j',je,51
allais,aller,18
lui,lui,51
en,en,52
dire,dire,14
mon,mon,73
avis,avis,21
",",",",p
reprit,reprendre,19
du,de,81
du,le,71
Lude,Lude,20
",",",",p
quand,quand,83
j,j,21
",",",",p
e,e,21
l',le,52
ai,avoir,17
vu,voir,12
s',se,51
évader,évader,14
dans,dans,81
la,le,71
foule,foule,22
comme,comme,83
un,un,71
écureuil,écureuil,21
",",",",p
et,et,82
riant,rire,13
beaucoup,beaucoup,60
avec,avec,81
quelques,quelque,75
inconnus,inconnu,21
à,à,81
figures,figure,22
basanées,basané,30
;,;,p
je,je,51
ne,ne,60
doute,douter,17
pas,pas,60
cependant,cependant,82
que,que,83
monsieur,monsieur,21
de,de,81
Cinq-Mars,Cinq-Mars,20
ne,ne,60
l',le,52
ait,avoir,17
envoyé,envoyer,12
",",",",p
car,car,82
il,il,51
donnait,donner,18
des,de,81
des,le,71
ordres,ordre,21
à,à,81
cet,ce,74
Ambrosio,Ambrosio,20
",",",",p
que,que,52
vous,vous,51
devez,devoir,17
connaître,connaître,14
",",",",p
ce,ce,74
prisonnier,prisonnier,21
espagnol,espagnol,30
",",",",p
ce,ce,74
vaurien,vaurien,21
qu',que,52
il,il,51
a,avoir,17
pris,prendre,12
pour,pour,81
domestique,domestique,21
/.,/.,P
ma,mon,73
foi,foi,22
",",",",p
je,je,51
suis,être,17
dégoûté,dégoûter,12
de,de,81
cela,cela,52
",",",",p
et,et,82
je,je,51
ne,ne,60
suis,être,17
point,point,60
fait,faire,12
pour,pour,81
être,être,14
confondu,confondre,12
avec,avec,81
cette,ce,74
canaille,canaille,22
/.,/.,P
ceci,ceci,52
",",",",p
monsieur,monsieur,21
",",",",p
reprit,reprendre,19
Fournier,Fournier,20
",",",",p
est,être,17
fort,fort,60
différent,différent,30
de,de,81
l',le,71
affaire,affaire,22
de,de,81
Loudun,Loudun,20
/.,/.,P
le,le,71
peuple,peuple,21
ne,ne,60
fit,faire,19
que,que,83
se,se,51
soulever,soulever,14
",",",",p
sans,sans,81
se,se,51
révolter,révolter,14
réellement,réellement,60
:,:,p
dans,dans,81
ce,ce,74
pays,pays,21
",",",",p
c',ce,52
était,être,18
la,le,71
partie,partie,22
saine,sain,30
et,et,82
estimable,estimable,30
de,de,81
la,le,71
population,population,22
",",",",p
indignée,indigné,31
d',de,81
un,un,71
assassinat,assassinat,21
",",",",p
et,et,82
non,non,60
animée,animé,31
par,par,81
le,le,71
vin,vin,21
et,et,82
l',le,71
argent,argent,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
cri,cri,21
jeté,jeté,31
contre,contre,81
un,un,71
bourreau,bourreau,21
",",",",p
cri,cri,21
dont,dont,52
on,on,51
pouvait,pouvoir,18
être,être,14
l',le,71
organe,organe,21
honorablement,honorablement,60
",",",",p
et,et,82
non,non,60
pas,pas,60
ces,ce,74
hurlements,hurlement,21
de,de,81
l',le,71
hypocrisie,hypocrisie,22
factieuse,factieux,30
et,et,82
d',de,81
un,un,71
amas,amas,21
de,de,81
gens,gens,21
sans,sans,81
aveu,aveu,21
",",",",p
sortis,sorti,31
de,de,81
la,le,71
boue,boue,22
de,de,81
Paris,Paris,20
et,et,82
vomis,vomi,31
par,par,81
ses,son,73
égouts,égout,21
/.,/.,P
j',je,51
avoue,avouer,17
que,que,83
je,je,51
suis,être,17
très,très,60
las,las,30
de,de,81
ce,ce,52
que,que,52
je,je,51
vois,voir,17
",",",",p
et,et,82
je,je,51
suis,être,17
venu,venir,12
aussi,aussi,60
pour,pour,81
vous,vous,51
prier,prier,14
d',de,81
en,en,52
parler,parler,14
à,à,81
monsieur,monsieur,21
Le Grand,Le Grand,20
/.,/.,P
de,de,81
Thou,Thou,20
était,être,18
fort,fort,60
embarrassé,embarrasser,12
pendant,pendant,81
ces,ce,74
deux,deux,72
discours,discours,21
",",",",p
et,et,82
cherchait,chercher,18
en,en,81
vain,vain,30
à,à,81
comprendre,comprendre,14
ce,ce,52
que,que,52
Cinq-Mars,Cinq-Mars,20
pouvait,pouvoir,18
avoir,avoir,14
à,à,81
démêler,démêler,14
avec,avec,81
le,le,71
peuple,peuple,21
",",",",p
qui,qui,52
lui,lui,51
avait,avoir,18
semblé,sembler,12
se,se,51
réjouir,réjouir,14
:,:,p
d',de,81
un,un,71
autre,autre,75
côté,côté,21
",",",",p
il,il,51
persistait,persister,18
à,à,81
ne,ne,60
pas,pas,60
vouloir,vouloir,14
faire,faire,14
l',le,71
aveu,aveu,21
de,de,81
son,son,73
ignorance,ignorance,22
;,;,p
elle,il,51
était,être,18
totale,total,30
cependant,cependant,82
",",",",p
car,car,82
",",",",p
la,le,71
dernière,dernier,30
fois,fois,22
qu',que,52
il,il,51
avait,avoir,18
vu,voir,12
son,son,73
ami,ami,21
",",",",p
il,il,51
ne,ne,60
parlait,parler,18
que,que,83
des,de,81
des,le,71
chevaux,cheval,21
et,et,82
des,de,81
des,le,71
écuries,écurie,22
du,de,81
du,le,71
roi,roi,21
",",",",p
de,de,81
la,le,71
chasse,chasse,22
au,à,81
au,le,71
faucon,faucon,21
et,et,82
de,de,81
l',le,71
importance,importance,22
du,de,81
du,le,71
grand,grand,30
veneur,veneur,21
dans,dans,81
les,le,71
affaires,affaire,22
de,de,81
l',le,71
Etat,état,21
",",",",p
ce,ce,52
qui,qui,52
ne,ne,60
semblait,sembler,18
pas,pas,60
annoncer,annoncer,14
de,de,81
vastes,vaste,30
projets,projet,21
où,où,60
le,le,71
peuple,peuple,21
pût,pouvoir,18
entrer,entrer,14
/.,/.,P
enfin,enfin,60
il,il,51
se,se,51
hasarda,hasarder,19
timidement,timidement,60
à,à,81
leur,leur,52
dire,dire,14
:,:,p
-,-,p
messieurs,monsieur,21
",",",",p
je,je,51
vous,vous,51
promets,promettre,17
de,de,81
faire,faire,14
votre,votre,73
commission,commission,22
;,;,p
en,en,81
attendant,attendre,13
",",",",p
je,je,51
vous,vous,51
offre,offrir,17
ma,mon,73
table,table,22
et,et,82
des,de,81
des,le,71
lits,lit,21
pour,pour,81
le,le,71
temps,temps,21
que,que,52
vous,vous,51
voudrez,vouloir,15
/.,/.,P
mais,mais,82
pour,pour,81
vous,vous,51
dire,dire,14
mon,mon,73
avis,avis,21
dans,dans,81
cette,ce,74
occasion,occasion,22
",",",",p
cela,cela,52
m',je,51
est,être,17
difficile,difficile,30
/.,/.,P
ah,ah,93
çà,çà,60
",",",",p
dites,dire,17
moi,moi,51
un,un,71
peu,peu,60
",",",",p
on,on,51
n',ne,60
a,avoir,17
donc,donc,82
pas,pas,60
fêté,fêter,12
",",",",p
la,le,71
Sainte-Barbe,Sainte Barbe,20
/?,/?,P
la,le,71
Sainte-Barbe,Sainte Barbe,20
!,!,p
dit,dire,19
Fournier,Fournier,20
/.,/.,P
-,-,p
la,le,71
Sainte-Barbe,Sainte Barbe,20
!,!,p
dit,dire,19
du,de,81
du,le,71
Lude,Lude,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
on,on,51
a,avoir,17
brûlé,brûler,12
de,de,81
la,le,71
poudre,poudre,22
;,;,p
c',ce,52
est,être,17
ce,ce,52
que,que,52
veut,vouloir,17
dire,dire,14
monsieur,monsieur,21
de,de,81
Thou,Thou,20
",",",",p
reprit,reprendre,19
le,le,71
premier,premier,72
en,en,81
riant,rire,13
/.,/.,P
ah,ah,93
!,!,p
c',ce,52
est,être,17
fort,fort,60
drôle,drôle,30
!,!,p
fort,fort,60
drôle,drôle,30
/!,/!,P
oui,oui,60
",",",",p
effectivement,effectivement,60
",",",",p
je,je,51
crois,croire,17
que,que,83
c',ce,52
est,être,17
aujourd'hui,aujourd'hui,60
la,le,71
Sainte-Barbe,Sainte Barbe,20
/.,/.,P
cette,ce,74
fois,fois,22
de,de,81
Thou,Thou,20
fut,être,19
confondu,confondre,12
de,de,81
leur,leur,73
étonnement,étonnement,21
et,et,82
réduit,réduire,12
au,à,81
au,le,71
silence,silence,21
;,;,p
pour,pour,81
eux,ils,51
",",",",p
voyant,voir,13
qu',que,83
ils,ils,51
ne,ne,60
s',se,51
entendaient,entendre,18
pas,pas,60
avec,avec,81
lui,lui,51
",",",",p
ils,ils,51
prirent,prendre,19
le,le,71
parti,parti,21
de,de,81
se,se,51
taire,taire,14
de,de,81
même,même,60
/.,/.,P
ils,ils,51
se,se,51
taisaient,taire,18
encore,encore,60
",",",",p
lorsque,lorsque,83
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
à,à,81
l',le,71
ancien,ancien,30
gouverneur,gouverneur,21
de,de,81
Cinq-Mars,Cinq-Mars,20
",",",",p
l',le,71
abbé,abbé,21
Quillet,Quillet,20
",",",",p
qui,qui,52
entra,entrer,19
en,en,81
boitant,boiter,13
un,un,71
peu,peu,60
/.,/.,P
il,il,51
avait,avoir,18
l',le,71
air,air,21
soucieux,soucieux,30
",",",",p
et,et,82
n',ne,60
avait,avoir,18
rien,rien,52
conservé,conserver,12
de,de,81
son,son,73
ancienne,ancien,30
gaieté,gaieté,22
dans,dans,81
son,son,73
air,air,21
et,et,82
ses,son,73
propos,propos,21
;,;,p
seulement,seulement,60
son,son,73
regard,regard,21
était,être,18
vif,vif,30
et,et,82
sa,son,73
parole,parole,22
très,très,60
brusque,brusque,30
/.,/.,P
-,-,p
pardon,pardon,21
",",",",p
pardon,pardon,21
",",",",p
mon,mon,73
cher,cher,30
de,de,81
Thou,Thou,20
",",",",p
si,si,83
je,je,51
vous,vous,51
trouble,troubler,17
si,si,83
tôt,tôt,60
dans,dans,81
vos,votre,73
occupations,occupation,22
;,;,p
c',ce,52
est,être,17
étonnant,étonnant,30
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
de,de,81
la,le,71
part,part,22
d',de,81
un,un,71
goutteux,goutteux,30
/?,/?,P
ah,ah,93
!,!,p
c',ce,52
est,être,17
que,que,83
le,le,71
temps,temps,21
s',se,51
avance,avancer,17
;,;,p
il,il,51
y,y,52
a,avoir,17
deux,deux,72
ans,an,21
je,je,51
ne,ne,60
boitais,boiter,18
pas,pas,60
;,;,p
j',je,51
étais,être,18
au,à,81
au,le,71
contraire,contraire,21
fort,fort,60
ingambe,ingambe,30
lors,lors,60
de,de,81
mon,mon,73
voyage,voyage,21
en,en,81
Italie,Italie,20
:,:,p
il,il,51
est,être,17
vrai,vrai,30
que,que,83
la,le,71
peur,peur,22
donne,donner,17
des,de,81
des,le,71
jambes,jambe,22
/.,/.,P
en,en,81
disant,dire,13
cela,cela,52
",",",",p
il,il,51
se,se,51
jeta,jeter,19
au,à,81
au,le,71
fond,fond,21
d',de,81
une,un,71
croisée,croisée,22
",",",",p
et,et,82
",",",",p
faisant,faire,13
signe,signe,21
à,à,81
de,de,81
Thou,Thou,20
d',de,81
y,y,52
venir,venir,14
lui,lui,51
parler,parler,14
",",",",p
il,il,51
continua,continuer,19
tout,tout,60
bas,bas,30
:,:,p
-,-,p
que,que,52
je,je,51
vous,vous,51
dise,dire,17
",",",",p
mon,mon,73
ami,ami,21
",",",",p
à,à,81
vous,vous,51
qui,qui,52
êtes,être,17
dans,dans,81
leurs,leur,73
secrets,secret,21
;,;,p
je,je,51
les,le,52
ai,avoir,17
fiancés,fiancer,12
il,il,51
y,y,52
a,avoir,17
quinze,quinze,72
jours,jour,21
",",",",p
comme,comme,83
ils,ils,51
vous,vous,51
l',le,52
ont,avoir,17
raconté,raconter,12
/.,/.,P
-,-,p
oui,oui,60
",",",",p
vraiment,vraiment,60
!,!,p
dit,dire,19
le,le,71
pauvre,pauvre,21
de,de,81
Thou,Thou,20
",",",",p
tombant,tomber,13
de,de,81
Charybde,Charybde,20
en,en,81
Scylla,Scylla,20
dans,dans,81
un,un,71
autre,autre,75
étonnement,étonnement,21
/.,/.,P
-,-,p
allons,aller,17
",",",",p
faites,faire,17
donc,donc,82
le,le,71
surpris,surpris,31
?,?,p
vous,vous,51
savez,savoir,17
bien,bien,60
qui,qui,52
",",",",p
continua,continuer,19
l',le,71
abbé,abbé,21
/.,/.,P
mais,mais,82
",",",",p
ma,mon,73
foi,foi,22
",",",",p
je,je,51
crains,craindre,17
d',de,81
avoir,avoir,14
eu,avoir,12
trop,trop,60
de,de,81
complaisance,complaisance,22
pour,pour,81
eux,ils,51
",",",",p
quoique,quoique,83
ces,ce,74
deux,deux,72
enfants,enfant,21
soient,être,17
vraiment,vraiment,60
intéressants,intéressant,30
par,par,81
leur,leur,73
amour,amour,21
/.,/.,P
j',je,51
ai,avoir,17
peur,peur,22
de,de,81
lui,lui,51
plus,plus,60
que,que,83
d',de,81
elle,il,51
;,;,p
je,je,51
crois,croire,17
qu',que,83
il,il,51
fait,faire,17
dés,dé,21
sottises,sottise,22
",",",",p
d',de,81
après,après,81
l',le,71
émeute,émeute,22
de,de,81
ce,ce,74
matin,matin,21
/.,/.,P
nous,nous,51
devrions,devoir,16
nous,nous,51
consulter,consulter,14
là-dessus,là-dessus,60
/.,/.,P
-,-,p
mais,mais,82
",",",",p
dit,dire,19
de,de,81
Thou,Thou,20
très,très,60
gravement,gravement,60
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
",",",",p
d',de,81
honneur,honneur,21
",",",",p
ce,ce,52
que,que,52
vous,vous,51
voulez,vouloir,17
dire,dire,14
/.,/.,P
qui,qui,52
donc,donc,82
fait,faire,17
des,de,81
des,le,71
sottises,sottise,22
/?,/?,P
allons,aller,17
donc,donc,82
",",",",p
mon,mon,73
cher,cher,30
!,!,p
voulez,vouloir,17
vous,vous,51
faire,faire,14
encore,encore,60
le,le,71
mystérieux,mystérieux,30
avec,avec,81
moi,moi,51
/?,/?,P
c',ce,52
est,être,17
injurieux,injurieux,30
",",",",p
dit,dire,19
le,le,71
bonhomme,bonhomme,21
",",",",p
commençant,commencer,13
à,à,81
se,se,51
fâcher,fâcher,14
/.,/.,P
-,-,p
non,non,60
",",",",p
vraiment,vraiment,60
/!,/!,P
mais,mais,82
qui,qui,52
avez,avoir,17
vous,vous,51
fiancé,fiancer,12
/?,/?,P
encore,encore,60
!,!,p
fi,fi,60
donc,donc,82
",",",",p
monsieur,monsieur,21
/!,/!,P
mais,mais,82
quelle,quel,52
est,être,17
donc,donc,82
cette,ce,74
émeute,émeute,22
de,de,81
ce,ce,74
matin,matin,21
/?,/?,P
vous,vous,51
vous,vous,51
jouez,jouer,17
de,de,81
moi,moi,51
/.,/.,P
je,je,51
sors,sortir,17
",",",",p
dit,dire,19
l',le,71
abbé,abbé,21
en,en,81
se,se,51
levant,lever,13
/.,/.,P
-,-,p
je,je,51
vous,vous,51
jure,jurer,17
que,que,83
je,je,51
ne,ne,60
comprends,comprendre,17
rien,rien,52
à,à,81
tout,tout,52
ce,ce,52
qu',que,52
on,on,51
me,je,51
dit,dire,17
aujourd'hui,aujourd'hui,60
/.,/.,P
est,être,17
ce,ce,52
monsieur,monsieur,21
de,de,81
Cinq-Mars,Cinq-Mars,20
/?,/?,P
à,à,81
la,le,71
bonne,bon,30
heure,heure,22
",",",",p
monsieur,monsieur,21
",",",",p
vous,vous,51
me,je,51
traitez,traiter,17
en,en,81
cardinaliste,cardinaliste,21
;,;,p
eh,eh,93
bien,bien,60
",",",",p
quittons,quitter,17
nous,nous,51
",",",",p
dit,dire,19
l',le,71
abbé,abbé,21
Quillet,Quillet,20
furieux,furieux,30
/.,/.,P
et,et,82
il,il,51
reprit,reprendre,19
sa,son,73
canne,canne,22
à,à,81
béquille,béquille,22
et,et,82
sortit,sortir,19
très,très,60
vite,vite,60
",",",",p
sans,sans,81
écouter,écouter,14
de,de,81
Thou,Thou,20
",",",",p
qui,qui,52
le,le,52
poursuivit,poursuivre,19
jusqu',jusque,81
à,à,81
sa,son,73
voiture,voiture,22
en,en,81
cherchant,chercher,13
à,à,81
l',le,52
apaiser,apaiser,14
",",",",p
mais,mais,82
sans,sans,81
y,y,52
réussir,réussir,14
",",",",p
parce qu',parce que,83
il,il,51
n',ne,60
osait,oser,18
nommer,nommer,14
son,son,73
ami,ami,21
sur,sur,81
l',le,71
escalier,escalier,21
devant,devant,81
ses,son,73
gens,gens,21
et,et,82
ne,ne,60
pouvait,pouvoir,18
s',se,51
expliquer,expliquer,14
/.,/.,P
il,il,51
eut,avoir,19
le,le,71
déplaisir,déplaisir,21
de,de,81
voir,voir,14
s',se,51
en,en,52
aller,aller,14
son,son,73
vieux,vieux,30
abbé,abbé,21
encore,encore,60
tout,tout,60
en,en,81
colère,colère,22
",",",",p
et,et,82
lui,lui,51
cria,crier,19
:,:,p
-,-,p
à,à,81
demain,demain,60
!,!,p
pendant,pendant,81
que,que,83
le,le,71
cocher,cocher,21
partait,partir,18
",",",",p
et,et,82
sans,sans,81
qu',que,83
il,il,51
y,y,52
répondît,répondre,18
/.,/.,P
il,il,51
lui,lui,51
fut,être,19
utile,utile,30
",",",",p
cependant,cependant,82
",",",",p
d',de,81
être,être,14
descendu,descendre,12
jusqu',jusque,81
au,à,81
au,le,71
bas,bas,21
des,de,81
des,le,71
degrés,degré,21
de,de,81
sa,son,73
maison,maison,22
",",",",p
car,car,82
il,il,51
vit,voir,19
des,de,81
des,le,71
groupes,groupe,21
hideux,hideux,30
de,de,81
gens,gens,21
du,de,81
du,le,71
peuple,peuple,21
qui,qui,52
revenaient,revenir,18
du,de,81
du,le,71
Louvre,Louvre,20
",",",",p
et,et,82
fut,être,19
à,à,81
même,même,60
alors,alors,60
de,de,81
juger,juger,14
de,de,81
l',le,71
importance,importance,22
de,de,81
leur,leur,73
mouvement,mouvement,21
dans,dans,81
la,le,71
matinée,matinée,22
;,;,p
il,il,51
entendit,entendre,19
des,de,81
des,le,71
voix,voix,22
grossières,grossier,30
crier,crier,14
comme,comme,83
en,en,81
triomphe,triomphe,21
:,:,p
-,-,p
elle,il,51
a,avoir,17
paru,paraître,12
tout,tout,60
de,de,81
même,même,60
",",",",p
la,le,71
petite,petit,30
reine,reine,22
/!,/!,P
vive,vivre,17
le,le,71
bon,bon,30
duc,duc,21
de,de,81
Bouillon,Bouillon,20
",",",",p
qui,qui,52
nous,nous,51
arrive,arriver,17
/!,/!,P
il,il,51
a,avoir,17
cent,cent,72
mille,mille,72
hommes,homme,21
avec,avec,81
lui,lui,51
",",",",p
qui,qui,52
viennent,venir,17
en,en,81
radeau,radeau,21
sur,sur,81
la,le,71
Seine,Seine,20
/.,/.,P
le,le,71
vieux,vieux,30
cardinal,cardinal,21
de,de,81
la,le,71
Rochelle,Rochelle,20
est,être,17
mort,mourir,12
/.,/.,P
-,-,p
vive,vivre,17
le,le,71
roi,roi,21
!,!,p
vive,vivre,17
monsieur,monsieur,21
Le Grand,Le Grand,20
/!,/!,P
les,le,71
cris,cri,21
redoublèrent,redoubler,19
à,à,81
l',le,71
arrivée,arrivée,22
d',de,81
une,un,71
voiture,voiture,22
à,à,81
quatre,quatre,72
chevaux,cheval,21
",",",",p
dont,dont,52
les,le,71
gens,gens,21
portaient,porter,18
la,le,71
livrée,livrée,22
du,de,81
du,le,71
roi,roi,21
",",",",p
et,et,82
qui,qui,52
s',se,51
arrêta,arrêter,19
devant,devant,81
la,le,71
porte,porte,22
du,de,81
du,le,71
conseiller,conseiller,21
/.,/.,P
il,il,51
reconnut,reconnaître,19
l',le,71
équipage,équipage,21
de,de,81
Cinq-Mars,Cinq-Mars,20
",",",",p
à,à,81
qui,qui,52
Ambrosio,Ambrosio,20
descendit,descendre,19
ouvrir,ouvrir,14
les,le,71
grands,grand,30
rideaux,rideau,21
",",",",p
comme,comme,83
les,le,52
avaient,avoir,18
les,le,71
carrosses,carrosse,21
de,de,81
cette,ce,74
époque,époque,22
/.,/.,P
le,le,71
peuple,peuple,21
s',se,51
était,être,18
jeté,jeter,12
entre,entre,81
le,le,71
marchepied,marchepied,21
et,et,82
les,le,71
premiers,premier,72
degrés,degré,21
de,de,81
la,le,71
porte,porte,22
",",",",p
de,de,81
sorte,sorte,22
qu',que,83
il,il,51
lui,lui,51
fallut,falloir,19
de,de,81
véritables,véritable,30
efforts,effort,21
pour,pour,81
descendre,descendre,14
et,et,82
se,se,51
débarrasser,débarrasser,14
des,de,81
des,le,71
femmes,femme,22
de,de,81
la,le,71
Halle,Halle,20
",",",",p
qui,qui,52
voulaient,vouloir,18
l',le,52
embrasser,embrasser,14
en,en,81
criant,crier,13
:,:,p
-,-,p
te,tu,51
voilà,voilà,81
donc,donc,82
",",",",p
mon,mon,73
coeur,coeur,21
",",",",p
mon,mon,73
petit,petit,30
ami,ami,21
/!,/!,P
tu,tu,51
arrives,arriver,17
donc,donc,82
",",",",p
mon,mon,73
mignon,mignon,21
/!,/!,P
voyez,voir,17
comme,comme,83
il,il,51
est,être,17
joli,joli,30
",",",",p
c't,ce,74
amour,amour,21
avec,avec,81
sa,son,73
grande,grand,30
collerette,collerette,22
/!,/!,P
ça,ça,52
ne,ne,60
vaut,valoir,17
i,i,21
pas,pas,60
mieux,mieux,60
que,que,83
c't,ce,74
autre,autre,52
avec,avec,81
sa,son,73
moustache,moustache,22
blanche,blanc,30
/?,/?,P
viens,venir,17
",",",",p
mon,mon,73
fils,fils,21
",",",",p
apporte,apporter,17
nous,nous,51
du,de,81
du,le,71
bon,bon,30
vin,vin,21
comme,comme,83
ce,ce,74
matin,matin,21
/.,/.,P
Henry,Henry,20
d',de,81
Effiat,Effiat,20
serra,serrer,19
",",",",p
en,en,81
rougissant,rougir,13
",",",",p
la,le,71
main,main,22
de,de,81
son,son,73
ami,ami,21
",",",",p
qui,qui,52
se,se,51
hâta,hâter,19
de,de,81
faire,faire,14
fermer,fermer,14
ses,son,73
portes,porte,22
/.,/.,P
-,-,p
cette,ce,74
faveur,faveur,22
populaire,populaire,30
est,être,17
un,un,71
calice,calice,21
qu',que,52
il,il,51
faut,falloir,17
boire,boire,14
",",",",p
dit,dire,19
il,il,51
en,en,81
entrant,entrer,13
/…,/…,P
-,-,p
il,il,51
me,je,51
semble,sembler,17
",",",",p
répondit,répondre,19
gravement,gravement,60
de,de,81
Thou,Thou,20
",",",",p
que,que,83
vous,vous,51
le,le,52
buvez,boire,17
même,même,60
jusqu',jusque,81
à,à,81
la,le,71
lie,lie,22
/.,/.,P
-,-,p
je,je,51
vous,vous,51
expliquerai,expliquer,15
ce,ce,74
bruit,bruit,21
",",",",p
répondit,répondre,19
Cinq-Mars,Cinq-Mars,20
un,un,71
peu,peu,60
embarrassé,embarrassé,31
/.,/.,P
à,à,81
présent,présent,21
",",",",p
si,si,83
vous,vous,51
m',je,51
aimez,aimer,17
",",",",p
habillez,habiller,17
vous,vous,51
pour,pour,81
m',je,51
accompagner,accompagner,14
à,à,81
la,le,71
toilette,toilette,22
de,de,81
la,le,71
reine,reine,22
/.,/.,P
-,-,p
je,je,51
vous,vous,51
ai,avoir,17
promis,promettre,12
bien,bien,60
de,de,81
l',le,71
aveuglement,aveuglement,21
",",",",p
dit,dire,19
le,le,71
conseiller,conseiller,21
;,;,p
cependant,cependant,82
il,il,51
ne,ne,60
peut,pouvoir,17
se,se,51
prolonger,prolonger,14
plus,plus,60
longtemps,longtemps,60
",",",",p
en,en,81
bonne,bon,30
foi,foi,22
/…,/…,P
-,-,p
encore,encore,60
une,un,71
fois,fois,22
",",",",p
je,je,51
vous,vous,51
parlerai,parler,15
longuement,longuement,60
en,en,81
revenant,revenir,13
de,de,81
chez,chez,81
la,le,71
reine,reine,22
/.,/.,P
mais,mais,82
dépêchez,dépêcher,17
vous,vous,51
",",",",p
il,il,51
est,être,17
dix,dix,72
heures,heure,22
bientôt,bientôt,60
/.,/.,P
j',je,51
y,y,52
vais,aller,17
avec,avec,81
vous,vous,51
",",",",p
dit,dire,19
de,de,81
Thou,Thou,20
en,en,81
le,le,52
faisant,faire,13
entrer,entrer,14
dans,dans,81
son,son,73
cabinet,cabinet,21
",",",",p
où,où,60
se,se,51
trouvaient,trouver,18
le,le,71
comte,comte,21
du,de,81
du,le,71
Lude,Lude,20
et,et,82
Fournier,Fournier,20
/.,/.,P
et,et,82
il,il,51
passa,passer,19
lui-même,lui-même,51
dans,dans,81
un,un,71
autre,autre,75
appartement,appartement,21
/.,/.,P
<Chapitre XVII>,<>,<>
la,le,71
toilette,toilette,22
nous,nous,51
allons,aller,17
chercher,chercher,14
",",",",p
comme,comme,83
dans,dans,81
les,le,71
abîmes,abîme,21
",",",",p
les,le,71
anciennes,ancien,30
prérogatives,prérogative,22
de,de,81
cette,ce,74
noblesse,noblesse,22
qui,qui,52
",",",",p
depuis,depuis,81
onze,onze,72
siècles,siècle,21
",",",",p
est,être,17
couverte,couvrir,12
de,de,81
poussière,poussière,22
",",",",p
de,de,81
sang,sang,21
et,et,82
de,de,81
sueur,sueur,22
/.,/.,P
Montesquieu,Montesquieu,20
/.,/.,P
la,le,71
voiture,voiture,22
du,de,81
du,le,71
grand,grand,30
écuyer,écuyer,21
roulait,rouler,18
rapidement,rapidement,60
vers,vers,81
le,le,71
Louvre,Louvre,20
",",",",p
lorsque,lorsque,83
",",",",p
fermant,fermer,13
les,le,71
rideaux,rideau,21
dont,dont,52
elle,il,51
était,être,18
garnie,garnir,12
",",",",p
il,il,51
prit,prendre,19
la,le,71
main,main,22
de,de,81
son,son,73
ami,ami,21
",",",",p
et,et,82
lui,lui,51
dit,dire,19
avec,avec,81
émotion,émotion,22
:,:,p
-,-,p
cher,cher,30
de,de,81
Thou,Thou,20
",",",",p
j',je,51
ai,avoir,17
gardé,garder,12
de,de,81
grands,grand,30
secrets,secret,21
sur,sur,81
mon,mon,73
coeur,coeur,21
",",",",p
et,et,82
croyez,croire,17
qu',que,83
ils,ils,51
y,y,52
ont,avoir,17
été,être,12
bien,bien,60
pesants,pesant,30
;,;,p
mais,mais,82
deux,deux,72
craintes,crainte,22
m',je,51
ont,avoir,17
forcé,forcer,12
au,à,81
au,le,71
silence,silence,21
:,:,p
celle,celui,52
de,de,81
vos,votre,73
