11767
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-cinquième extrait>,<>,<> 
réglementaire,réglementaire,30
:,:,p
coelestem,coelestem,92
dominum,dominum,92
",",",",p
terrestrem,terrestrem,92
dicito,dicito,92
domnum,domnum,92
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
aussi,aussi,60
passim,passim,60
des,de,81
des,le,71
grimoires,grimoire,21
hébraïques,hébraïque,30
",",",",p
auxquels,à,81
auxquels,lequel,52
Jehan,Jehan,20
",",",",p
déjà,déjà,60
fort,fort,60
peu,peu,60
grec,grec,30
",",",",p
ne,ne,60
comprenait,comprendre,18
rien,rien,52
",",",",p
et,et,82
le,le,71
tout,tout,21
était,être,18
traversé,traverser,12
à,à,81
tout,tout,75
propos,propos,21
par,par,81
des,de,81
des,le,71
étoiles,étoile,22
",",",",p
des,de,81
des,le,71
figures,figure,22
d',de,81
hommes,homme,21
ou,ou,82
d',de,81
animaux,animal,21
et,et,82
des,de,81
des,le,71
triangles,triangle,21
qui,qui,52
s',se,51
intersectaient,intersecter,18
",",",",p
ce,ce,52
qui,qui,52
ne,ne,60
contribuait,contribuer,18
pas,pas,60
peu,peu,60
à,à,81
faire,faire,14
ressembler,ressembler,14
la,le,71
muraille,muraille,22
barbouillée,barbouillé,31
de,de,81
la,le,71
cellule,cellule,22
à,à,81
une,un,71
feuille,feuille,22
de,de,81
papier,papier,21
sur,sur,81
laquelle,lequel,52
un,un,71
singe,singe,21
aurait,avoir,16
promené,promener,12
une,un,71
plume,plume,22
chargée,chargé,31
d',de,81
encre,encre,22
/.,/.,P
l',le,71
ensemble,ensemble,21
de,de,81
la,le,71
logette,logette,22
",",",",p
du,de,81
du,le,71
reste,reste,21
",",",",p
présentait,présenter,18
un,un,71
aspect,aspect,21
général,général,30
d',de,81
abandon,abandon,21
et,et,82
de,de,81
délabrement,délabrement,21
;,;,p
et,et,82
le,le,71
mauvais,mauvais,30
état,état,21
des,de,81
des,le,71
ustensiles,ustensile,21
laissait,laisser,18
supposer,supposer,14
que,que,83
le,le,71
maître,maître,21
était,être,18
déjà,déjà,60
depuis,depuis,81
assez,assez,60
longtemps,longtemps,60
distrait,distraire,12
de,de,81
ses,son,73
travaux,travail,21
par,par,81
d',de,81
autres,autre,75
préoccupations,préoccupation,22
/.,/.,P
ce,ce,74
maître,maître,21
cependant,cependant,82
",",",",p
penché,penché,31
sur,sur,81
un,un,71
vaste,vaste,30
manuscrit,manuscrit,21
orné,orné,31
de,de,81
peintures,peinture,22
bizarres,bizarre,30
",",",",p
paraissait,paraître,18
tourmenté,tourmenté,31
par,par,81
une,un,71
idée,idée,22
qui,qui,52
venait,venir,18
sans,sans,81
cesse,cesse,22
se,se,51
mêler,mêler,14
à,à,81
ses,son,73
méditations,méditation,22
/.,/.,P
c',ce,52
est,être,17
du,de,81
du,le,71
moins,moins,60
ce,ce,52
que,que,52
Jehan,Jehan,20
jugea,juger,19
en,en,81
l',le,52
entendant,entendre,13
s',se,51
écrier,écrier,14
",",",",p
avec,avec,81
les,le,71
intermittences,intermittence,22
pensives,pensif,30
d',de,81
un,un,71
songe-creux,songe-creux,21
qui,qui,52
rêve,rêver,17
tout,tout,60
haut,haut,30
:,:,p
-,-,p
oui,oui,60
",",",",p
Manou,Manou,20
le,le,52
dit,dire,17
",",",",p
et,et,82
Zoroastre,Zoroastre,20
l',le,52
enseignait,enseigner,18
",",",",p
le,le,71
soleil,soleil,21
naît,naître,17
du,de,81
du,le,71
feu,feu,21
",",",",p
la,le,71
lune,lune,22
du,de,81
du,le,71
soleil,soleil,21
/.,/.,P
le,le,71
feu,feu,21
est,être,17
l',le,71
âme,âme,22
du,de,81
du,le,71
grand,grand,30
tout,tout,21
/.,/.,P
ses,son,73
atomes,atome,21
élémentaires,élémentaire,30
s',se,51
épanchent,épancher,17
et,et,82
ruissellent,ruisseler,17
incessamment,incessamment,60
sur,sur,81
le,le,71
monde,monde,21
par,par,81
courants,courant,21
infinis,infini,30
/.,/.,P
aux,à,81
aux,le,71
points,point,21
où,où,60
ces,ce,74
courants,courant,21
s',se,51
entrecoupent,entrecouper,17
dans,dans,81
le,le,71
ciel,ciel,21
",",",",p
ils,ils,51
produisent,produire,17
la,le,71
lumière,lumière,22
;,;,p
à,à,81
leurs,leur,73
points,point,21
d',de,81
intersection,intersection,22
dans,dans,81
la,le,71
terre,terre,22
",",",",p
ils,ils,51
produisent,produire,17
l',le,71
or,or,21
/.,/.,P
-,-,p
la,le,71
lumière,lumière,22
",",",",p
l',le,71
or,or,21
",",",",p
même,même,75
chose,chose,22
/.,/.,P
du,de,81
du,le,71
feu,feu,21
à,à,81
l',le,71
état,état,21
concret,concret,30
/.,/.,P
-,-,p
la,le,71
différence,différence,22
du,de,81
du,le,71
visible,visible,30
au,à,81
au,le,71
palpable,palpable,30
",",",",p
du,de,81
du,le,71
fluide,fluide,21
au,à,81
au,le,71
solide,solide,21
pour,pour,81
la,le,71
même,même,75
substance,substance,22
",",",",p
de,de,81
la,le,71
vapeur,vapeur,22
d',de,81
eau,eau,22
à,à,81
la,le,71
glace,glace,22
",",",",p
rien,rien,52
de,de,81
plus,plus,60
/.,/.,P
-,-,p
ce,ce,52
ne,ne,60
sont,être,17
point,point,60
là,là,60
des,de,81
des,le,71
rêves,rêve,21
",",",",p
c',ce,52
est,être,17
la,le,71
loi,loi,22
générale,général,30
de,de,81
la,le,71
nature,nature,22
/.,/.,P
-,-,p
mais,mais,82
comment,comment,60
faire,faire,14
pour,pour,81
soutirer,soutirer,14
dans,dans,81
la,le,71
science,science,22
le,le,71
secret,secret,21
de,de,81
cette,ce,74
loi,loi,22
générale,général,30
/?,/?,P
quoi,quoi,52
!,!,p
cette,ce,74
lumière,lumière,22
qui,qui,52
inonde,inonder,17
ma,mon,73
main,main,22
",",",",p
c',ce,52
est,être,17
de,de,81
l',le,71
or,or,21
!,!,p
ces,ce,74
mêmes,même,75
atomes,atome,21
dilatés,dilaté,31
selon,selon,81
une,un,71
certaine,certain,75
loi,loi,22
",",",",p
il,il,51
ne,ne,60
s',se,51
agit,agir,17
que,que,83
de,de,81
les,le,52
condenser,condenser,14
selon,selon,81
une,un,71
certaine,certain,75
autre,autre,75
loi,loi,22
/!,/!,P
comment,comment,60
faire,faire,14
/?,/?,P
quelques-uns,quelqu'un,52
ont,avoir,17
imaginé,imaginer,12
d',de,81
enfouir,enfouir,14
un,un,71
rayon,rayon,21
du,de,81
du,le,71
soleil,soleil,21
/.,/.,P
-,-,p
Averroès,Averroès,20
",",",",p
-,-,p
oui,oui,60
",",",",p
c',ce,52
est,être,17
Averroès,Averroès,20
",",",",p
-,-,p
Averroès,Averroès,20
en,en,52
a,avoir,17
enterré,enterrer,12
un,un,52
sous,sous,81
le,le,71
premier,premier,72
pilier,pilier,21
de,de,81
gauche,gauche,22
du,de,81
du,le,71
sanctuaire,sanctuaire,21
du,de,81
du,le,71
koran,coran,21
",",",",p
dans,dans,81
la,le,71
grande,grand,30
mahomerie,mahomerie,22
de,de,81
Cordoue,Cordoue,20
;,;,p
mais,mais,82
on,on,51
ne,ne,60
pourra,pouvoir,15
ouvrir,ouvrir,14
le,le,71
caveau,caveau,21
pour,pour,81
voir,voir,14
si,si,83
l',le,71
opération,opération,22
a,avoir,17
réussi,réussir,12
que,que,83
dans,dans,81
huit,huit,72
mille,mille,72
ans,an,21
/.,/.,P
-,-,p
diable,diable,21
!,!,p
dit,dire,19
Jehan,Jehan,20
à,à,81
part,part,22
lui,lui,51
",",",",p
voilà,voilà,81
qui,qui,52
est,être,17
longtemps,longtemps,60
attendre,attendre,14
un,un,71
écu,écu,21
!,!,p
/…,/…,P
d',de,81
autres,autre,52
ont,avoir,17
pensé,penser,12
",",",",p
continua,continuer,19
l',le,71
archidiacre,archidiacre,21
rêveur,rêveur,30
",",",",p
qu',que,83
il,il,51
valait,valoir,18
mieux,mieux,60
opérer,opérer,14
sur,sur,81
un,un,71
rayon,rayon,21
de,de,81
Sirius,Sirius,20
/.,/.,P
mais,mais,82
il,il,51
est,être,17
bien,bien,60
malaisé,malaisé,30
d',de,81
avoir,avoir,14
ce,ce,52
rayon,rayon,21
pur,pur,30
",",",",p
à,à,81
cause,cause,22
de,de,81
la,le,71
présence,présence,22
simultanée,simultané,30
des,de,81
des,le,71
autres,autre,75
étoiles,étoile,22
qui,qui,52
viennent,venir,17
s',se,51
y,y,52
mêler,mêler,14
/.,/.,P
Flamel,Flamel,20
estime,estimer,17
qu',que,83
il,il,51
est,être,17
plus,plus,60
simple,simple,30
d',de,81
opérer,opérer,14
sur,sur,81
le,le,71
feu,feu,21
terrestre,terrestre,30
/.,/.,P
Flamel,Flamel,20
!,!,p
quel,quel,75
nom,nom,21
de,de,81
prédestiné,prédestiné,31
",",",",p
flamma,flamma,92
/!,/!,P
oui,oui,60
",",",",p
le,le,71
feu,feu,21
/.,/.,P
voilà,voilà,81
tout,tout,52
/.,/.,P
-,-,p
le,le,71
diamant,diamant,21
est,être,17
dans,dans,81
le,le,71
charbon,charbon,21
",",",",p
l',le,71
or,or,21
est,être,17
dans,dans,81
le,le,71
feu,feu,21
/.,/.,P
-,-,p
mais,mais,82
comment,comment,60
l',le,52
en,en,52
tirer,tirer,14
/?,/?,P
Magistri,Magistri,20
affirme,affirmer,17
qu',que,83
il,il,51
y,y,52
a,avoir,17
certains,certain,75
noms,nom,21
de,de,81
femme,femme,22
d',de,81
un,un,71
charme,charme,21
si,si,60
doux,doux,30
et,et,82
si,si,60
mystérieux,mystérieux,30
qu',que,83
il,il,51
suffit,suffire,17
de,de,81
les,le,52
prononcer,prononcer,14
pendant,pendant,81
l',le,71
opération,opération,22
/…,/…,P
-,-,p
lisons,lire,17
ce,ce,52
qu',que,52
en,en,52
dit,dire,17
Manou,Manou,20
:,:,p
“,“,p
où,où,60
les,le,71
femmes,femme,22
sont,être,17
honorées,honorer,12
",",",",p
les,le,71
divinités,divinité,22
sont,être,17
réjouies,réjouir,12
;,;,p
où,où,60
elles,ils,51
sont,être,17
méprisées,mépriser,12
",",",",p
il,il,51
est,être,17
inutile,inutile,30
de,de,81
prier,prier,14
dieu,dieu,21
/.,/.,P
-,-,p
la,le,71
bouche,bouche,22
d',de,81
une,un,71
femme,femme,22
est,être,17
constamment,constamment,60
pure,pur,30
;,;,p
c',ce,52
est,être,17
une,un,71
eau,eau,22
courante,courant,30
",",",",p
c',ce,52
est,être,17
un,un,71
rayon,rayon,21
de,de,81
soleil,soleil,21
/.,/.,P
-,-,p
le,le,71
nom,nom,21
d',de,81
une,un,71
femme,femme,22
doit,devoir,17
être,être,14
agréable,agréable,30
",",",",p
doux,doux,30
",",",",p
imaginaire,imaginaire,30
;,;,p
finir,finir,14
par,par,81
des,de,81
des,le,71
voyelles,voyelle,22
longues,long,30
",",",",p
et,et,82
ressembler,ressembler,14
à,à,81
des,de,81
des,le,71
mots,mot,21
de,de,81
bénédiction,bénédiction,22
/.,/.,P
“,“,p
-,-,p
…,…,p
oui,oui,60
",",",",p
le,le,71
sage,sage,21
a,avoir,17
raison,raison,22
;,;,p
en,en,81
effet,effet,21
",",",",p
la,le,71
Maria,Maria,20
",",",",p
la,le,71
Sophia,Sophia,20
",",",",p
la,le,71
Esmeral,Esmeral,20
/…,/…,P
-,-,p
damnation,damnation,22
!,!,p
toujours,toujours,60
cette,ce,74
pensée,pensée,22
/!,/!,P
et,et,82
il,il,51
ferma,fermer,19
le,le,71
livre,livre,21
avec,avec,81
violence,violence,22
/.,/.,P
il,il,51
passa,passer,19
la,le,71
main,main,22
sur,sur,81
son,son,73
front,front,21
",",",",p
comme,comme,83
pour,pour,81
chasser,chasser,14
l',le,71
idée,idée,22
qui,qui,52
l',le,52
obsédait,obséder,18
/.,/.,P
puis,puis,60
il,il,51
prit,prendre,19
sur,sur,81
la,le,71
table,table,22
un,un,71
clou,clou,21
et,et,82
un,un,71
petit,petit,30
marteau,marteau,21
dont,dont,52
le,le,71
manche,manche,21
était,être,18
curieusement,curieusement,60
peint,peindre,12
de,de,81
lettres,lettre,22
cabalistiques,cabalistique,30
/.,/.,P
-,-,p
depuis,depuis,81
quelque,quelque,75
temps,temps,21
",",",",p
dit,dire,19
il,il,51
avec,avec,81
un,un,71
sourire,sourire,21
amer,amer,30
",",",",p
j',je,51
échoue,échouer,17
dans,dans,81
toutes,tout,75
mes,mon,73
expériences,expérience,22
/!,/!,P
l',le,71
idée,idée,22
fixe,fixe,30
me,je,51
possède,posséder,17
",",",",p
et,et,82
me,je,51
flétrit,flétrir,17
le,le,71
cerveau,cerveau,21
comme,comme,83
un,un,71
trèfle,trèfle,21
de,de,81
feu,feu,21
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
seulement,seulement,60
pu,pouvoir,12
retrouver,retrouver,14
le,le,71
secret,secret,21
de,de,81
Cassiodore,Cassiodore,20
",",",",p
dont,dont,52
la,le,71
lampe,lampe,22
brûlait,brûler,18
sans,sans,81
mèche,mèche,22
et,et,82
sans,sans,81
huile,huile,22
/.,/.,P
chose,chose,22
simple,simple,30
pourtant,pourtant,60
/!,/!,P
peste,peste,22
!,!,p
dit,dire,19
Jehan,Jehan,20
dans,dans,81
sa,son,73
barbe,barbe,22
/.,/.,P
-,-,p
…,…,p
il,il,51
suffit,suffire,17
donc,donc,82
",",",",p
continua,continuer,19
le,le,71
prêtre,prêtre,21
",",",",p
d',de,81
une,un,71
seule,seul,30
misérable,misérable,30
pensée,pensée,22
pour,pour,81
rendre,rendre,14
un,un,71
homme,homme,21
faible,faible,30
et,et,82
fou,fou,30
/!,/!,P
oh,oh,93
!,!,p
que,que,52
Claude,Claude,20
Pernelle,Pernelle,20
rirait,rire,16
de,de,81
moi,moi,51
",",",",p
elle,il,51
qui,qui,52
n',ne,60
a,avoir,17
pu,pouvoir,12
détourner,détourner,14
un,un,71
moment,moment,21
Nicolas,Nicolas,20
Flamel,Flamel,20
de,de,81
la,le,71
poursuite,poursuite,22
du,de,81
du,le,71
grand,grand,30
oeuvre,oeuvre,21
/!,/!,P
quoi,quoi,52
!,!,p
je,je,51
tiens,tenir,17
dans,dans,81
ma,mon,73
main,main,22
le,le,71
marteau,marteau,21
magique,magique,30
de,de,81
Zéchiélé,Zéchiélé,20
à,à,81
chaque,chaque,75
coup,coup,21
que,que,52
le,le,71
redoutable,redoutable,30
rabbin,rabbin,21
",",",",p
du,de,81
du,le,71
fond,fond,21
de,de,81
sa,son,73
cellule,cellule,22
",",",",p
frappait,frapper,18
sur,sur,81
ce,ce,74
clou,clou,21
avec,avec,81
ce,ce,74
marteau,marteau,21
",",",",p
celui,celui,52
de,de,81
ses,son,73
ennemis,ennemi,21
qu',que,52
il,il,51
avait,avoir,18
condamné,condamner,12
",",",",p
eût,avoir,19
il,il,51
été,être,12
à,à,81
deux,deux,72
mille,mille,72
lieues,lieue,22
",",",",p
s',se,51
enfonçait,enfoncer,18
d',de,81
une,un,71
coudée,coudée,22
dans,dans,81
la,le,71
terre,terre,22
qui,qui,52
le,le,52
dévorait,dévorer,18
/.,/.,P
le,le,71
roi,roi,21
de,de,81
France,France,20
lui-même,lui-même,51
",",",",p
pour,pour,81
avoir,avoir,14
un,un,71
soir,soir,21
heurté,heurter,12
inconsidérément,inconsidérément,60
à,à,81
la,le,71
porte,porte,22
du,de,81
du,le,71
thaumaturge,thaumaturge,21
",",",",p
entra,entrer,19
dans,dans,81
son,son,73
pavé,pavé,21
de,de,81
Paris,Paris,20
jusqu',jusque,81
aux,à,81
aux,le,71
genoux,genou,21
/.,/.,P
-,-,p
ceci,ceci,52
s',se,51
est,être,17
passé,passer,12
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
trois,trois,72
siècles,siècle,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
j',je,51
ai,avoir,17
le,le,71
marteau,marteau,21
et,et,82
le,le,71
clou,clou,21
",",",",p
et,et,82
ce,ce,52
ne,ne,60
sont,être,17
pas,pas,60
outils,outil,21
plus,plus,60
formidables,formidable,30
dans,dans,81
mes,mon,73
mains,main,22
qu',que,83
un,un,71
hutin,hutin,21
aux,à,81
aux,le,71
mains,main,22
d',de,81
un,un,71
taillandier,taillandier,21
/.,/.,P
-,-,p
pourtant,pourtant,60
il,il,51
ne,ne,60
s',se,51
agit,agir,17
que,que,83
de,de,81
retrouver,retrouver,14
le,le,71
mot,mot,21
magique,magique,30
que,que,52
prononçait,prononcer,18
Zéchiélé,Zéchiélé,20
",",",",p
en,en,81
frappant,frapper,13
sur,sur,81
son,son,73
clou,clou,21
/.,/.,P
-,-,p
bagatelle,bagatelle,22
!,!,p
pensa,penser,19
Jehan,Jehan,20
/.,/.,P
-,-,p
voyons,voir,17
",",",",p
essayons,essayer,17
",",",",p
reprit,reprendre,19
vivement,vivement,60
l',le,71
archidiacre,archidiacre,21
/.,/.,P
si,si,83
je,je,51
réussis,réussir,17
",",",",p
je,je,51
verrai,voir,15
l',le,71
étincelle,étincelle,22
bleue,bleu,30
jaillir,jaillir,14
de,de,81
la,le,71
tête,tête,22
du,de,81
du,le,71
clou,clou,21
/.,/.,P
-,-,p
Emen-hétan,Emen-hétan,20
/!,/!,P
Emen-hétan,Emen-hétan,20
/!,/!,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
cela,cela,52
/.,/.,P
-,-,p
Sigéani,Sigéani,20
/!,/!,P
Sigéani,Sigéani,20
/!,/!,P
que,que,52
ce,ce,74
clou,clou,21
ouvre,ouvrir,17
la,le,71
tombe,tombe,22
à,à,81
quiconque,quiconque,52
porte,porter,17
le,le,71
nom,nom,21
de,de,81
Phoebus,Phoebus,20
!,!,p
/…,/…,P
-,-,p
malédiction,malédiction,22
!,!,p
toujours,toujours,60
",",",",p
encore,encore,60
",",",",p
éternellement,éternellement,60
la,le,71
même,même,75
idée,idée,22
/!,/!,P
et,et,82
il,il,51
jeta,jeter,19
le,le,71
marteau,marteau,21
avec,avec,81
colère,colère,22
/.,/.,P
puis,puis,60
il,il,51
s',se,51
affaissa,affaisser,19
tellement,tellement,60
sur,sur,81
le,le,71
fauteuil,fauteuil,21
et,et,82
sur,sur,81
la,le,71
table,table,22
",",",",p
que,que,83
Jehan,Jehan,20
le,le,52
perdit,perdre,19
de,de,81
vue,vue,22
derrière,derrière,81
l',le,71
énorme,énorme,30
dossier,dossier,21
/.,/.,P
pendant,pendant,81
quelques,quelque,75
minutes,minute,22
",",",",p
il,il,51
ne,ne,60
vit,voir,19
plus,plus,60
que,que,83
son,son,73
poing,poing,21
convulsif,convulsif,30
crispé,crispé,31
sur,sur,81
un,un,71
livre,livre,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
dom,dom,21
Claude,Claude,20
se,se,51
leva,lever,19
",",",",p
prit,prendre,19
un,un,71
compas,compas,21
",",",",p
et,et,82
grava,graver,19
en,en,81
silence,silence,21
sur,sur,81
la,le,71
muraille,muraille,22
en,en,81
lettres,lettre,22
capitales,capital,30
ce,ce,74
mot,mot,21
grec,grec,30
:,:,p
ANAKH,Anakh,20
/.,/.,P
-,-,p
mon,mon,73
frère,frère,21
est,être,17
fou,fou,30
",",",",p
dit,dire,19
Jehan,Jehan,20
en,en,81
lui-même,lui-même,51
;,;,p
il,il,51
eût,avoir,19
été,être,12
bien,bien,60
plus,plus,60
simple,simple,30
d',de,81
écrire,écrire,14
fatum,fatum,92
/.,/.,P
tout,tout,75
le,le,71
monde,monde,21
n',ne,60
est,être,17
pas,pas,60
obligé,obliger,12
de,de,81
savoir,savoir,14
le,le,71
grec,grec,21
/.,/.,P
l',le,71
archidiacre,archidiacre,21
vint,venir,19
se,se,51
rasseoir,rasseoir,14
dans,dans,81
son,son,73
fauteuil,fauteuil,21
",",",",p
et,et,82
posa,poser,19
sa,son,73
tête,tête,22
sur,sur,81
ses,son,73
deux,deux,72
mains,main,22
",",",",p
comme,comme,83
fait,faire,17
un,un,71
malade,malade,21
dont,dont,52
le,le,71
front,front,21
est,être,17
lourd,lourd,30
et,et,82
brûlant,brûlant,30
/.,/.,P
l',le,71
écolier,écolier,21
observait,observer,18
son,son,73
frère,frère,21
avec,avec,81
surprise,surprise,22
/.,/.,P
il,il,51
ne,ne,60
savait,savoir,18
pas,pas,60
",",",",p
lui,lui,51
qui,qui,52
mettait,mettre,18
son,son,73
coeur,coeur,21
en,en,81
plein,plein,30
air,air,21
",",",",p
lui,lui,51
qui,qui,52
n',ne,60
observait,observer,18
de,de,81
loi,loi,22
au,à,81
au,le,71
monde,monde,21
que,que,83
la,le,71
bonne,bon,30
loi,loi,22
de,de,81
nature,nature,22
",",",",p
lui,lui,51
qui,qui,52
laissait,laisser,18
s',se,51
écouler,écouler,14
ses,son,73
passions,passion,22
par,par,81
ses,son,73
penchants,penchant,21
",",",",p
et,et,82
chez,chez,81
qui,qui,52
le,le,71
lac,lac,21
des,de,81
des,le,71
grandes,grand,30
émotions,émotion,22
était,être,18
toujours,toujours,60
à,à,81
sec,sec,30
",",",",p
tant,tant,60
il,il,51
y,y,52
pratiquait,pratiquer,18
largement,largement,60
chaque,chaque,75
matin,matin,21
de,de,81
nouvelles,nouveau,30
rigoles,rigole,22
",",",",p
il,il,51
ne,ne,60
savait,savoir,18
pas,pas,60
avec,avec,81
quelle,quel,75
furie,furie,22
cette,ce,74
mer,mer,22
des,de,81
des,le,71
passions,passion,22
humaines,humain,30
fermente,fermenter,17
et,et,82
bouillonne,bouillonner,17
lorsqu',lorsque,83
on,on,51
lui,lui,51
refuse,refuser,17
toute,tout,52
issue,issue,22
",",",",p
comme,comme,83
elle,il,51
s',se,51
amasse,amasser,17
",",",",p
comme,comme,83
elle,il,51
s',se,51
enfle,enfler,17
",",",",p
comme,comme,83
elle,il,51
déborde,déborder,17
",",",",p
comme,comme,83
elle,il,51
creuse,creuser,17
le,le,71
coeur,coeur,21
",",",",p
comme,comme,83
elle,il,51
éclate,éclater,17
en,en,81
sanglots,sanglot,21
intérieurs,intérieur,30
et,et,82
en,en,81
sourdes,sourd,30
convulsions,convulsion,22
",",",",p
jusqu',jusque,81
à,à,81
ce,ce,52
qu',que,52
elle,il,51
ait,avoir,17
déchiré,déchirer,12
ses,son,73
digues,digue,22
et,et,82
crevé,crever,12
son,son,73
lit,lit,21
/.,/.,P
l',le,71
enveloppe,enveloppe,22
austère,austère,30
et,et,82
glaciale,glacial,30
de,de,81
Claude,Claude,20
Frollo,Frollo,20
",",",",p
cette,ce,74
froide,froid,30
surface,surface,22
de,de,81
vertu,vertu,22
escarpée,escarpé,30
et,et,82
inaccessible,inaccessible,30
",",",",p
avait,avoir,18
toujours,toujours,60
trompé,tromper,12
Jehan,Jehan,20
/.,/.,P
le,le,71
joyeux,joyeux,30
écolier,écolier,21
n',ne,60
avait,avoir,18
jamais,jamais,60
songé,songer,12
à,à,81
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
lave,lave,22
bouillante,bouillant,30
",",",",p
furieuse,furieux,30
et,et,82
profonde,profond,30
sous,sous,81
le,le,71
front,front,21
de,de,81
neige,neige,22
de,de,81
l',le,71
Etna,Etna,20
/.,/.,P
nous,nous,51
ne,ne,60
savons,savoir,17
s',si,83
il,il,51
se,se,51
rendit,rendre,19
compte,compte,21
subitement,subitement,60
de,de,81
ces,ce,74
idées,idée,22
",",",",p
mais,mais,82
",",",",p
tout,tout,60
évaporé,évaporé,31
qu',que,83
il,il,51
était,être,18
",",",",p
il,il,51
comprit,comprendre,19
qu',que,83
il,il,51
avait,avoir,18
vu,voir,12
ce,ce,52
qu',que,52
il,il,51
n',ne,60
aurait,avoir,16
pas,pas,60
dû,devoir,12
voir,voir,14
",",",",p
qu',que,83
il,il,51
venait,venir,18
de,de,81
surprendre,surprendre,14
l',le,71
âme,âme,22
de,de,81
son,son,73
frère,frère,21
aîné,aîné,30
dans,dans,81
une,un,52
de,de,81
ses,son,73
plus,plus,60
secrètes,secret,30
attitudes,attitude,22
",",",",p
et,et,82
qu',que,83
il,il,51
ne,ne,60
fallait,falloir,18
pas,pas,60
que,que,83
Claude,Claude,20
s',se,51
en,en,52
aperçût,apercevoir,18
/.,/.,P
voyant,voir,13
que,que,83
l',le,71
archidiacre,archidiacre,21
était,être,18
retombé,retomber,12
dans,dans,81
son,son,73
immobilité,immobilité,22
première,premier,72
",",",",p
il,il,51
retira,retirer,19
sa,son,73
tête,tête,22
très,très,60
doucement,doucement,60
",",",",p
et,et,82
fit,faire,19
quelque,quelque,75
bruit,bruit,21
de,de,81
pas,pas,21
derrière,derrière,81
la,le,71
porte,porte,22
",",",",p
comme,comme,83
quelqu'un,quelqu'un,52
qui,qui,52
arrive,arriver,17
et,et,82
qui,qui,52
avertit,avertir,17
de,de,81
son,son,73
arrivée,arrivée,22
/.,/.,P
-,-,p
entrez,entrer,17
!,!,p
cria,crier,19
l',le,71
archidiacre,archidiacre,21
de,de,81
l',le,71
intérieur,intérieur,21
de,de,81
la,le,71
cellule,cellule,22
",",",",p
je,je,51
vous,vous,51
attendais,attendre,18
/.,/.,P
j',je,51
ai,avoir,17
laissé,laisser,12
exprès,exprès,60
la,le,71
clef,clé,22
à,à,81
la,le,71
porte,porte,22
/.,/.,P
entrez,entrer,17
",",",",p
maître,maître,21
Jacques,Jacques,20
/.,/.,P
l',le,71
écolier,écolier,21
entra,entrer,19
hardiment,hardiment,60
/.,/.,P
l',le,71
archidiacre,archidiacre,21
",",",",p
qu',que,52
une,un,71
pareille,pareil,30
visite,visite,22
gênait,gêner,18
fort,fort,60
en,en,81
pareil,pareil,30
lieu,lieu,21
",",",",p
tressaillit,tressaillir,19
sur,sur,81
son,son,73
fauteuil,fauteuil,21
/.,/.,P
-,-,p
quoi,quoi,52
!,!,p
c',ce,52
est,être,17
vous,vous,51
",",",",p
Jehan,Jehan,20
/?,/?,P
c',ce,52
est,être,17
toujours,toujours,60
un,un,71
J,J,20
",",",",p
dit,dire,19
l',le,71
écolier,écolier,21
avec,avec,81
sa,son,73
face,face,22
rouge,rouge,30
",",",",p
effrontée,effronté,30
et,et,82
joyeuse,joyeux,30
/.,/.,P
le,le,71
visage,visage,21
de,de,81
dom,dom,21
Claude,Claude,20
avait,avoir,18
repris,reprendre,12
son,son,73
expression,expression,22
sévère,sévère,30
/.,/.,P
-,-,p
que,que,52
venez,venir,17
vous,vous,51
faire,faire,14
ici,ici,60
/?,/?,P
mon,mon,73
frère,frère,21
",",",",p
répondit,répondre,19
l',le,71
écolier,écolier,21
en,en,81
s',se,51
efforçant,efforcer,13
d',de,81
atteindre,atteindre,14
à,à,81
une,un,71
mine,mine,22
décente,décent,30
",",",",p
piteuse,piteux,30
et,et,82
modeste,modeste,30
",",",",p
et,et,82
en,en,81
tournant,tourner,13
son,son,73
bicoquet,bicoquet,21
dans,dans,81
ses,son,73
mains,main,22
avec,avec,81
un,un,71
air,air,21
d',de,81
innocence,innocence,22
",",",",p
je,je,51
venais,venir,18
vous,vous,51
demander,demander,14
/…,/…,P
-,-,p
quoi,quoi,52
/?,/?,P
un,un,71
peu,peu,60
de,de,81
morale,morale,22
dont,dont,52
j',je,51
ai,avoir,17
grand,grand,30
besoin,besoin,21
/.,/.,P
Jehan,Jehan,20
n',ne,60
osa,oser,19
ajouter,ajouter,14
tout,tout,60
haut,haut,30
:,:,p
-,-,p
et,et,82
un,un,71
peu,peu,60
d',de,81
argent,argent,21
dont,dont,52
j',je,51
ai,avoir,17
plus,plus,60
grand,grand,30
besoin,besoin,21
encore,encore,60
/.,/.,P
ce,ce,74
dernier,dernier,30
membre,membre,21
de,de,81
sa,son,73
phrase,phrase,22
resta,rester,19
inédit,inédit,30
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
l',le,71
