11488
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-septième extrait>,<>,<> 
séparent,séparer,17
encore,encore,60
;,;,p
j',je,51
ai,avoir,17
besoin,besoin,21
de,de,81
stoïcisme,stoïcisme,21
et,et,82
de,de,81
calme,calme,21
/.,/.,P
-,-,p
de,de,81
quoi,quoi,52
me,je,51
parlez,parler,17
vous,vous,51
?,?,p
dit,dire,19
avec,avec,81
colère,colère,22
Raymon,Raymon,20
",",",",p
qui,qui,52
ne,ne,60
l',le,52
écoutait,écouter,18
pas,pas,60
et,et,82
qui,qui,52
s',se,51
indignait,indigner,18
de,de,81
sa,son,73
résistance,résistance,22
/.,/.,P
et,et,82
",",",",p
perdant,perdre,13
tout,tout,60
à,à,81
fait,fait,21
la,le,71
tête,tête,22
dans,dans,81
cet,ce,74
instant,instant,21
de,de,81
souffrance,souffrance,22
et,et,82
de,de,81
dépit,dépit,21
",",",",p
il,il,51
la,le,52
repoussa,repousser,19
rudement,rudement,60
",",",",p
marcha,marcher,19
dans,dans,81
la,le,71
chambre,chambre,22
la,le,71
poitrine,poitrine,22
oppressée,oppressé,31
",",",",p
la,le,71
tête,tête,22
en,en,81
feu,feu,21
;,;,p
puis,puis,60
il,il,51
prit,prendre,19
une,un,71
carafe,carafe,22
et,et,82
avala,avaler,19
un,un,71
grand,grand,30
verre,verre,21
d',de,81
eau,eau,22
qui,qui,52
calma,calmer,19
tout,tout,60
d',de,81
un,un,71
coup,coup,21
son,son,73
délire,délire,21
et,et,82
refroidit,refroidir,19
son,son,73
amour,amour,21
/.,/.,P
alors,alors,60
il,il,51
la,le,52
regarda,regarder,19
ironiquement,ironiquement,60
et,et,82
lui,lui,51
dit,dire,19
:,:,p
-,-,p
allons,aller,17
",",",",p
madame,madame,22
",",",",p
il,il,51
est,être,17
temps,temps,21
de,de,81
vous,vous,51
retirer,retirer,14
/.,/.,P
un,un,71
rayon,rayon,21
de,de,81
lumière,lumière,22
vint,venir,19
enfin,enfin,60
éclairer,éclairer,14
Indiana,Indiana,20
et,et,82
lui,lui,51
montrer,montrer,14
à,à,81
nu,nu,21
l',le,71
âme,âme,22
de,de,81
Raymon,Raymon,20
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
raison,raison,22
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
et,et,82
elle,il,51
se,se,51
dirigea,diriger,19
vers,vers,81
la,le,71
porte,porte,22
/.,/.,P
-,-,p
prenez,prendre,17
donc,donc,82
votre,votre,73
manteau,manteau,21
et,et,82
votre,votre,73
boa,boa,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
en,en,81
l',le,52
arrêtant,arrêter,13
/.,/.,P
-,-,p
il,il,51
est,être,17
vrai,vrai,30
",",",",p
répondit,répondre,19
elle,il,51
",",",",p
ces,ce,74
traces,trace,22
de,de,81
ma,mon,73
présence,présence,22
pourraient,pouvoir,16
vous,vous,51
compromettre,compromettre,14
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
une,un,71
enfant,enfant,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
d',de,81
un,un,71
ton,ton,21
patelin,patelin,30
en,en,81
lui,lui,51
mettant,mettre,13
son,son,73
manteau,manteau,21
avec,avec,81
un,un,71
soin,soin,21
puéril,puéril,30
",",",",p
vous,vous,51
savez,savoir,17
bien,bien,60
que,que,83
je,je,51
vous,vous,51
aime,aimer,17
;,;,p
mais,mais,82
vraiment,vraiment,60
vous,vous,51
prenez,prendre,17
plaisir,plaisir,21
à,à,81
me,je,51
torturer,torturer,14
",",",",p
et,et,82
vous,vous,51
me,je,51
rendez,rendre,17
fou,fou,30
/.,/.,P
attendez,attendre,17
que,que,83
j',je,51
aille,aller,17
demander,demander,14
un,un,71
fiacre,fiacre,21
/.,/.,P
si,si,83
je,je,51
le,le,52
pouvais,pouvoir,18
",",",",p
je,je,51
vous,vous,51
reconduirais,reconduire,16
jusque,jusque,81
chez,chez,81
vous,vous,51
;,;,p
mais,mais,82
ce,ce,52
serait,être,16
vous,vous,51
perdre,perdre,14
/.,/.,P
-,-,p
et,et,82
croyez,croire,17
vous,vous,51
donc,donc,82
que,que,83
je,je,51
ne,ne,60
sois,être,17
pas,pas,60
déjà,déjà,60
perdue,perdre,12
?,?,p
dit,dire,19
elle,il,51
avec,avec,81
amertume,amertume,22
/.,/.,P
-,-,p
non,non,60
",",",",p
ma,mon,73
chérie,chérie,22
",",",",p
répondit,répondre,19
Raymon,Raymon,20
",",",",p
qui,qui,52
ne,ne,60
demandait,demander,18
plus,plus,60
qu',que,83
à,à,81
lui,lui,51
persuader,persuader,14
de,de,81
le,le,52
laisser,laisser,14
tranquille,tranquille,30
/.,/.,P
on,on,51
ne,ne,60
s',se,51
est,être,17
pas,pas,60
aperçu,apercevoir,12
de,de,81
votre,votre,73
absence,absence,22
",",",",p
puisqu',puisque,83
on,on,51
n',ne,60
est,être,17
pas,pas,60
encore,encore,60
venu,venir,12
vous,vous,51
demander,demander,14
ici,ici,60
/.,/.,P
quoiqu',quoique,83
on,on,51
m',je,51
eût,avoir,19
soupçonné,soupçonner,12
le,le,71
dernier,dernier,21
",",",",p
il,il,51
était,être,18
naturel,naturel,30
d',de,81
aller,aller,14
faire,faire,14
des,de,81
des,le,71
perquisitions,perquisition,22
chez,chez,81
toutes,tout,75
les,le,71
personnes,personne,22
de,de,81
votre,votre,73
connaissance,connaissance,22
/.,/.,P
et,et,82
puis,puis,60
vous,vous,51
pouvez,pouvoir,17
aller,aller,14
vous,vous,51
mettre,mettre,14
sous,sous,81
la,le,71
protection,protection,22
de,de,81
votre,votre,73
tante,tante,22
:,:,p
c',ce,52
est,être,17
même,même,60
le,le,71
parti,parti,21
que,que,52
je,je,51
vous,vous,51
conseille,conseiller,17
de,de,81
prendre,prendre,14
;,;,p
elle,il,51
conciliera,concilier,15
tout,tout,52
/.,/.,P
vous,vous,51
serez,être,15
censée,censé,30
avoir,avoir,14
passé,passer,12
la,le,71
nuit,nuit,22
chez,chez,81
elle,il,51
/…,/…,P
madame,madame,22
Delmare,Delmare,20
n',ne,60
écoutait,écouter,18
pas,pas,60
;,;,p
elle,il,51
regardait,regarder,18
d',de,81
un,un,71
air,air,21
stupide,stupide,30
le,le,71
soleil,soleil,21
large,large,30
et,et,82
rouge,rouge,30
qui,qui,52
montait,monter,18
sur,sur,81
un,un,71
horizon,horizon,21
de,de,81
toits,toit,21
étincelants,étincelant,30
/.,/.,P
Raymon,Raymon,20
essaya,essayer,19
de,de,81
la,le,52
tirer,tirer,14
de,de,81
cette,ce,74
préoccupation,préoccupation,22
/.,/.,P
elle,il,51
reporta,reporter,19
ses,son,73
yeux,oeil,21
sur,sur,81
lui,lui,51
",",",",p
mais,mais,82
elle,il,51
sembla,sembler,19
ne,ne,60
pas,pas,60
le,le,52
reconnaître,reconnaître,14
/.,/.,P
ses,son,73
joues,joue,22
avaient,avoir,18
une,un,71
teinte,teinte,22
verdâtre,verdâtre,30
",",",",p
et,et,82
ses,son,73
lèvres,lèvre,22
sèches,sec,30
semblaient,sembler,18
paralysées,paralysé,31
/.,/.,P
Raymon,Raymon,20
eut,avoir,19
peur,peur,22
/.,/.,P
il,il,51
se,se,51
rappela,rappeler,19
le,le,71
suicide,suicide,21
de,de,81
l',le,71
autre,autre,52
",",",",p
et,et,82
",",",",p
dans,dans,81
son,son,73
effroi,effroi,21
",",",",p
ne,ne,60
sachant,savoir,13
que,que,83
devenir,devenir,14
",",",",p
craignant,craindre,13
d',de,81
être,être,14
deux,deux,72
fois,fois,22
criminel,criminel,30
à,à,81
ses,son,73
propres,propre,30
yeux,oeil,21
",",",",p
mais,mais,82
se,se,51
sentant,sentir,13
trop,trop,60
épuisé,épuisé,31
d',de,81
esprit,esprit,21
pour,pour,81
réussir,réussir,14
à,à,81
la,le,52
tromper,tromper,14
encore,encore,60
",",",",p
il,il,51
l',le,52
assit,asseoir,19
doucement,doucement,60
sur,sur,81
son,son,73
fauteuil,fauteuil,21
",",",",p
l',le,52
enferma,enfermer,19
",",",",p
et,et,82
monta,monter,19
à,à,81
l',le,71
appartement,appartement,21
de,de,81
sa,son,73
mère,mère,22
/.,/.,P
<XXI>,<>,<>
il,il,51
la,le,52
trouva,trouver,19
éveillée,éveillé,31
;,;,p
elle,il,51
avait,avoir,18
coutume,coutume,22
de,de,81
se,se,51
lever,lever,14
de,de,81
bonne,bon,30
heure,heure,22
",",",",p
par,par,81
suite,suite,22
des,de,81
des,le,71
habitudes,habitude,22
d',de,81
activité,activité,22
laborieuse,laborieux,30
qu',que,52
elle,il,51
avait,avoir,18
contractées,contracter,12
dans,dans,81
l',le,71
émigration,émigration,22
",",",",p
et,et,82
qu',que,52
elle,il,51
n',ne,60
avait,avoir,18
point,point,60
perdues,perdre,12
en,en,81
recouvrant,recouvrer,13
son,son,73
opulence,opulence,22
/.,/.,P
en,en,81
voyant,voir,13
Raymon,Raymon,20
pâle,pâle,30
",",",",p
agité,agité,31
",",",",p
entrer,entrer,14
si,si,83
tard,tard,60
chez,chez,81
elle,il,51
en,en,81
costume,costume,21
de,de,81
bal,bal,21
",",",",p
elle,il,51
comprit,comprendre,19
qu',que,83
il,il,51
se,se,51
débattait,débattre,18
contre,contre,81
une,un,52
des,de,81
des,le,71
crises,crise,22
fréquentes,fréquent,30
de,de,81
sa,son,73
vie,vie,22
orageuse,orageux,30
/.,/.,P
elle,il,51
avait,avoir,18
toujours,toujours,60
été,être,12
sa,son,73
ressource,ressource,22
et,et,82
son,son,73
salut,salut,21
dans,dans,81
ces,ce,74
agitations,agitation,22
",",",",p
dont,dont,52
la,le,71
trace,trace,22
n',ne,60
était,être,18
restée,rester,12
douloureuse,douloureux,30
et,et,82
profonde,profond,30
que,que,83
dans,dans,81
son,son,73
coeur,coeur,21
de,de,81
mère,mère,22
/.,/.,P
sa,son,73
vie,vie,22
s',se,51
était,être,18
flétrie,flétrir,12
et,et,82
usée,user,12
de,de,81
tout,tout,52
ce,ce,52
que,que,52
la,le,71
vie,vie,22
de,de,81
Raymon,Raymon,20
avait,avoir,18
acquis,acquérir,12
et,et,82
recouvré,recouvrer,12
/.,/.,P
le,le,71
caractère,caractère,21
de,de,81
ce,ce,74
fils,fils,21
impétueux,impétueux,30
et,et,82
froid,froid,30
",",",",p
raisonneur,raisonneur,30
et,et,82
passionné,passionné,31
",",",",p
était,être,18
une,un,71
conséquence,conséquence,22
de,de,81
son,son,73
inépuisable,inépuisable,30
amour,amour,21
et,et,82
de,de,81
sa,son,73
tendresse,tendresse,22
généreuse,généreux,30
pour,pour,81
lui,lui,51
/.,/.,P
il,il,51
eût,avoir,19
été,être,12
meilleur,meilleur,30
avec,avec,81
une,un,71
mère,mère,22
moins,moins,60
bonne,bon,30
;,;,p
mais,mais,82
elle,il,51
l',le,52
avait,avoir,18
habitué,habituer,12
à,à,81
profiter,profiter,14
de,de,81
tous,tout,75
les,le,71
sacrifices,sacrifice,21
qu',que,52
elle,il,51
consentait,consentir,18
à,à,81
lui,lui,51
faire,faire,14
;,;,p
elle,il,51
lui,lui,51
avait,avoir,18
appris,apprendre,12
à,à,81
établir,établir,14
et,et,82
à,à,81
vouloir,vouloir,14
son,son,73
propre,propre,30
bien-être,bien-être,21
aussi,aussi,60
ardemment,ardemment,60
",",",",p
aussi,aussi,60
fortement,fortement,60
qu',que,83
elle,il,51
le,le,52
voulait,vouloir,18
/.,/.,P
parce qu',parce que,83
elle,il,51
se,se,51
croyait,croire,18
faite,fait,31
pour,pour,81
le,le,52
préserver,préserver,14
de,de,81
tout,tout,75
chagrin,chagrin,21
et,et,82
pour,pour,81
lui,lui,51
immoler,immoler,14
tous,tout,75
ses,son,73
intérêts,intérêt,21
",",",",p
il,il,51
s',se,51
était,être,18
accoutumé,accoutumer,12
à,à,81
croire,croire,14
que,que,83
le,le,71
monde,monde,21
entier,entier,30
était,être,18
fait,faire,12
pour,pour,81
lui,lui,51
",",",",p
et,et,82
devait,devoir,18
venir,venir,14
se,se,51
placer,placer,14
dans,dans,81
sa,son,73
main,main,22
à,à,81
un,un,71
mot,mot,21
de,de,81
sa,son,73
mère,mère,22
/.,/.,P
à,à,81
force,force,22
de,de,81
générosité,générosité,22
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
réussi,réussir,12
qu',que,83
à,à,81
former,former,14
un,un,71
coeur,coeur,21
égoïste,égoïste,30
/.,/.,P
elle,il,51
pâlit,pâlir,19
",",",",p
cette,ce,74
pauvre,pauvre,30
mère,mère,22
",",",",p
et,et,82
",",",",p
se,se,51
soulevant,soulever,13
sur,sur,81
son,son,73
lit,lit,21
",",",",p
elle,il,51
le,le,52
regarda,regarder,19
avec,avec,81
anxiété,anxiété,22
/.,/.,P
son,son,73
regard,regard,21
lui,lui,51
disait,dire,18
déjà,déjà,60
:,:,p
“,“,p
que,que,52
puis,pouvoir,17
je,je,51
faire,faire,14
pour,pour,81
toi,toi,51
?,?,p
où,où,60
faut,falloir,17
il,il,51
que,que,83
je,je,51
coure,courir,17
/?,/?,P
ma,mon,73
mère,mère,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
en,en,81
saisissant,saisir,13
la,le,71
main,main,22
sèche,sec,30
et,et,82
diaphane,diaphane,30
qu',que,52
elle,il,51
lui,lui,51
tendait,tendre,18
",",",",p
je,je,51
suis,être,17
horriblement,horriblement,60
malheureux,malheureux,30
",",",",p
j',je,51
ai,avoir,17
besoin,besoin,21
de,de,81
vous,vous,51
/.,/.,P
délivrez,délivrer,17
moi,moi,51
des,de,81
des,le,71
maux,mal,21
qui,qui,52
m',je,51
assiègent,assiéger,17
/.,/.,P
j',je,51
aime,aimer,17
madame,madame,22
Delmare,Delmare,20
",",",",p
vous,vous,51
le,le,52
savez,savoir,17
/…,/…,P
-,-,p
je,je,51
ne,ne,60
le,le,52
savais,savoir,18
pas,pas,60
",",",",p
dit,dire,19
madame,madame,22
de,de,81
Ramière,Ramière,20
d',de,81
un,un,71
ton,ton,21
de,de,81
tendre,tendre,30
reproche,reproche,21
/.,/.,P
-,-,p
ne,ne,60
cherchez,chercher,17
pas,pas,60
à,à,81
le,le,52
nier,nier,14
",",",",p
ma,mon,73
bonne,bon,30
mère,mère,22
",",",",p
dit,dire,19
Raymon,Raymon,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
de,de,81
temps,temps,21
à,à,81
perdre,perdre,14
;,;,p
vous,vous,51
le,le,52
saviez,savoir,18
",",",",p
et,et,82
votre,votre,73
admirable,admirable,30
délicatesse,délicatesse,22
vous,vous,51
empêchait,empêcher,18
de,de,81
m',je,51
en,en,52
parler,parler,14
la,le,71
première,premier,72
/.,/.,P
eh,eh,93
bien,bien,60
",",",",p
cette,ce,74
femme,femme,22
me,je,51
met,mettre,17
au,à,81
au,le,71
désespoir,désespoir,21
",",",",p
et,et,82
ma,mon,73
tête,tête,22
se,se,51
perd,perdre,17
/.,/.,P
-,-,p
parle,parler,17
donc,donc,82
",",",",p
dit,dire,19
madame,madame,22
de,de,81
Ramière,Ramière,20
avec,avec,81
la,le,71
vivacité,vivacité,22
juvénile,juvénile,30
que,que,52
lui,lui,51
donnait,donner,18
l',le,71
ardeur,ardeur,22
de,de,81
son,son,73
amour,amour,21
maternel,maternel,30
/.,/.,P
je,je,51
ne,ne,60
veux,vouloir,17
rien,rien,52
vous,vous,51
cacher,cacher,14
",",",",p
d'autant,d'autant,60
plus,plus,60
que,que,83
cette,ce,74
fois,fois,22
",",",",p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
coupable,coupable,30
/.,/.,P
depuis,depuis,81
plusieurs,plusieurs,75
mois,mois,21
",",",",p
je,je,51
cherche,chercher,17
à,à,81
calmer,calmer,14
sa,son,73
tête,tête,22
romanesque,romanesque,30
et,et,82
à,à,81
la,le,52
ramener,ramener,14
à,à,81
ses,son,73
devoirs,devoir,21
;,;,p
mais,mais,82
tous,tout,75
mes,mon,73
soins,soin,21
ne,ne,60
servent,servir,17
qu',que,83
à,à,81
irriter,irriter,14
cette,ce,74
soif,soif,22
de,de,81
dangers,danger,21
",",",",p
ce,ce,74
besoin,besoin,21
d',de,81
aventures,aventure,22
qui,qui,52
fermente,fermenter,17
dans,dans,81
le,le,71
cerveau,cerveau,21
des,de,81
des,le,71
femmes,femme,22
de,de,81
son,son,73
pays,pays,21
/.,/.,P
à,à,81
l',le,71
heure,heure,22
où,où,60
je,je,51
vous,vous,51
parle,parler,17
",",",",p
elle,il,51
est,être,17
ici,ici,60
",",",",p
dans,dans,81
ma,mon,73
chambre,chambre,22
",",",",p
malgré,malgré,81
moi,moi,51
",",",",p
et,et,82
je,je,51
ne,ne,60
sais,savoir,17
comment,comment,60
la,le,52
décider,décider,14
à,à,81
en,en,52
sortir,sortir,14
/.,/.,P
-,-,p
malheureuse,malheureux,30
enfant,enfant,21
!,!,p
dit,dire,19
madame,madame,22
de,de,81
Ramière,Ramière,20
en,en,81
s',se,51
habillant,habiller,13
à,à,81
la,le,71
hâte,hâte,22
/.,/.,P
elle,il,51
est,être,17
si,si,60
timide,timide,30
et,et,82
si,si,60
douce,doux,30
!,!,p
je,je,51
vais,aller,17
la,le,52
voir,voir,14
",",",",p
lui,lui,51
parler,parler,14
!,!,p
c',ce,52
est,être,17
bien,bien,60
cela,cela,52
que,que,83
tu,tu,51
viens,venir,17
me,je,51
demander,demander,14
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
oui,oui,60
/!,/!,P
oui,oui,60
!,!,p
dit,dire,19
Raymon,Raymon,20
",",",",p
que,que,52
la,le,71
tendresse,tendresse,22
de,de,81
sa,son,73
mère,mère,22
attendrissait,attendrir,18
lui-même,lui-même,51
;,;,p
allez,aller,17
lui,lui,51
faire,faire,14
entendre,entendre,14
le,le,71
langage,langage,21
de,de,81
la,le,71
raison,raison,22
et,et,82
de,de,81
la,le,71
bonté,bonté,22
/.,/.,P
elle,il,51
aimera,aimer,15
sans,sans,81
doute,doute,21
la,le,71
vertu,vertu,22
dans,dans,81
votre,votre,73
bouche,bouche,22
;,;,p
elle,il,51
se,se,51
rendra,rendre,15
peut-être,peut-être,60
à,à,81
vos,votre,73
caresses,caresse,22
;,;,p
elle,il,51
reprendra,reprendre,15
de,de,81
l',le,71
empire,empire,21
sur,sur,81
elle-même,lui-même,51
",",",",p
l',le,71
infortunée,infortuné,30
!,!,p
elle,il,51
souffre,souffrir,17
tant,tant,60
/!,/!,P
Raymon,Raymon,20
se,se,51
jeta,jeter,19
dans,dans,81
un,un,71
fauteuil,fauteuil,21
et,et,82
se,se,51
mit,mettre,19
à,à,81
pleurer,pleurer,14
",",",",p
tant,tant,60
les,le,71
émotions,émotion,22
diverses,divers,30
de,de,81
cette,ce,74
matinée,matinée,22
avaient,avoir,18
agité,agiter,12
ses,son,73
nerfs,nerf,21
/.,/.,P
sa,son,73
mère,mère,22
pleura,pleurer,19
avec,avec,81
lui,lui,51
",",",",p
et,et,82
ne,ne,60
se,se,51
décida,décider,19
à,à,81
descendre,descendre,14
qu',que,83
après,après,81
l',le,52
avoir,avoir,14
forcé,forcer,12
de,de,81
prendre,prendre,14
quelques,quelque,75
gouttes,goutte,22
d',de,81
éther,éther,21
/.,/.,P
elle,il,51
trouva,trouver,19
Indiana,Indiana,20
qui,qui,52
ne,ne,60
pleurait,pleurer,18
pas,pas,60
",",",",p
et,et,82
qui,qui,52
se,se,51
leva,lever,19
d',de,81
un,un,71
air,air,21
calme,calme,30
et,et,82
digne,digne,30
en,en,81
la,le,52
reconnaissant,reconnaître,13
/.,/.,P
elle,il,51
s',se,51
attendait,attendre,18
si,si,83
peu,peu,60
à,à,81
cette,ce,74
contenance,contenance,22
noble,noble,30
et,et,82
forte,fort,30
",",",",p
qu',que,52
elle,il,51
se,se,51
sentit,sentir,19
embarrassée,embarrassé,31
devant,devant,81
cette,ce,74
jeune,jeune,30
femme,femme,22
",",",",p
comme,comme,83
si,si,83
elle,il,51
lui,lui,51
eût,avoir,19
manqué,manquer,12
d',de,81
égards,égard,21
en,en,81
venant,venir,13
la,le,52
surprendre,surprendre,14
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
son,son,73
fils,fils,21
/.,/.,P
alors,alors,60
elle,il,51
céda,céder,19
à,à,81
la,le,71
sensibilité,sensibilité,22
profonde,profond,30
et,et,82
vraie,vrai,30
de,de,81
son,son,73
coeur,coeur,21
",",",",p
et,et,82
elle,il,51
lui,lui,51
tendit,tendre,19
les,le,71
bras,bras,21
avec,avec,81
effusion,effusion,22
/.,/.,P
madame,madame,22
Delmare,Delmare,20
s',se,51
y,y,52
jeta,jeter,19
;,;,p
son,son,73
désespoir,désespoir,21
se,se,51
brisa,briser,19
en,en,81
sanglots,sanglot,21
amers,amer,30
",",",",p
et,et,82
ces,ce,74
deux,deux,72
femmes,femme,22
pleurèrent,pleurer,19
longtemps,longtemps,60
dans,dans,81
le,le,71
sein,sein,21
l',le,71
une,un,52
de,de,81
l',le,71
autre,autre,52
/.,/.,P
mais,mais,82
",",",",p
quand,quand,83
madame,madame,22
de,de,81
Ramière,Ramière,20
voulut,vouloir,19
parler,parler,14
",",",",p
Indiana,Indiana,20
l',le,52
arrêta,arrêter,19
/.,/.,P
-,-,p
ne,ne,60
me,je,51
dites,dire,17
rien,rien,52
",",",",p
madame,madame,22
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
en,en,81
essuyant,essuyer,13
ses,son,73
larmes,larme,22
;,;,p
vous,vous,51
ne,ne,60
trouveriez,trouver,16
aucune,aucun,75
parole,parole,22
qui,qui,52
ne,ne,60
me,je,51
fît,faire,18
du,de,81
du,le,71
mal,mal,21
/.,/.,P
votre,votre,73
intérêt,intérêt,21
et,et,82
vos,votre,73
caresses,caresse,22
suffisent,suffire,17
à,à,81
me,je,51
prouver,prouver,14
votre,votre,73
généreuse,généreux,30
affection,affection,22
;,;,p
mon,mon,73
coeur,coeur,21
est,être,17
soulagé,soulager,12
autant,autant,60
qu',que,83
il,il,51
peut,pouvoir,17
l',le,52
être,être,14
/.,/.,P
maintenant,maintenant,60
",",",",p
je,je,51
me,je,51
retire,retirer,17
;,;,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
vos,votre,73
instances,instance,22
pour,pour,81
comprendre,comprendre,14
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
à,à,81
faire,faire,14
/.,/.,P
-,-,p
aussi,aussi,60
ne,ne,60
suis,être,17
je,je,51
pas,pas,60
venue,venir,12
pour,pour,81
vous,vous,51
renvoyer,renvoyer,14
",",",",p
mais,mais,82
pour,pour,81
vous,vous,51
consoler,consoler,14
",",",",p
dit,dire,19
madame,madame,22
de,de,81
Ramière,Ramière,20
/.,/.,P
-,-,p
je,je,51
ne,ne,60
puis,pouvoir,17
être,être,14
consolée,consoler,12
",",",",p
répondit,répondre,19
elle,il,51
en,en,81
l',le,52
embrassant,embrasser,13
;,;,p
aimez,aimer,17
moi,moi,51
",",",",p
cela,cela,52
me,je,51
fera,faire,15
un,un,71
peu,peu,60
de,de,81
bien,bien,21
;,;,p
mais,mais,82
ne,ne,60
me,je,51
parlez,parler,17
pas,pas,60
/.,/.,P
adieu,adieu,21
",",",",p
madame,madame,22
;,;,p
vous,vous,51
croyez,croire,17
en,en,81
dieu,dieu,21
",",",",p
priez,prier,17
le,le,52
pour,pour,81
moi,moi,51
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
vous,vous,51
en,en,52
irez,aller,15
pas,pas,60
seule,seul,30
!,!,p
s',se,51
écria,écrier,19
madame,madame,22
de,de,81
Ramière,Ramière,20
:,:,p
je,je,51
veux,vouloir,17
vous,vous,51
reconduire,reconduire,14
moi-même,moi-même,51
chez,chez,81
votre,votre,73
mari,mari,21
",",",",p
vous,vous,51
justifier,justifier,14
",",",",p
vous,vous,51
défendre,défendre,14
et,et,82
vous,vous,51
protéger,protéger,14
/.,/.,P
-,-,p
généreuse,généreux,30
femme,femme,22
!,!,p
dit,dire,19
Indiana,Indiana,20
en,en,81
la,le,52
pressant,presser,13
sur,sur,81
son,son,73
coeur,coeur,21
",",",",p
vous,vous,51
ne,ne,60
le,le,52
pouvez,pouvoir,17
pas,pas,60
/.,/.,P
vous,vous,51
ignorez,ignorer,17
seule,seul,30
le,le,71
secret,secret,21
de,de,81
Raymon,Raymon,20
;,;,p
tout,tout,75
Paris,Paris,20
en,en,52
parlera,parler,15
ce,ce,74
soir,soir,21
",",",",p
et,et,82
vous,vous,51
joueriez,jouer,16
un,un,71
rôle,rôle,21
déplacé,déplacé,31
dans,dans,81
cette,ce,74
histoire,histoire,22
/.,/.,P
laissez,laisser,17
moi,moi,51
en,en,52
supporter,supporter,14
seule,seul,30
le,le,71
scandale,scandale,21
;,;,p
je,je,51
n',ne,60
en,en,52
souffrirai,souffrir,15
pas,pas,60
longtemps,longtemps,60
/.,/.,P
-,-,p
que,que,52
voulez,vouloir,17
vous,vous,51
dire,dire,14
/?,/?,P
commettriez,commettre,16
vous,vous,51
le,le,71
crime,crime,21
d',de,81
attenter,attenter,14
à,à,81
votre,votre,73
vie,vie,22
/?,/?,P
chère,cher,30
enfant,enfant,21
!,!,p
vous,vous,51
aussi,aussi,60
",",",",p
vous,vous,51
croyez,croire,17
en,en,81
dieu,dieu,21
/.,/.,P
-,-,p
aussi,aussi,60
",",",",p
madame,madame,22
",",",",p
je,je,51
pars,partir,17
pour,pour,81
l',le,71
île,île,22
Bourbon,Bourbon,20
dans,dans,81
trois,trois,72
jours,jour,21
/.,/.,P
-,-,p
viens,venir,17
dans,dans,81
mes,mon,73
bras,bras,21
",",",",p
ma,mon,73
fille,fille,22
chérie,chéri,31
",",",",p
viens,venir,17
",",",",p
que,que,83
je,je,51
te,tu,51
bénisse,bénir,17
/.,/.,P
dieu,dieu,21
récompensera,récompenser,15
ton,ton,73
courage,courage,21
/…,/…,P
-,-,p
je,je,51
l',le,52
espère,espérer,17
",",",",p
dit,dire,19
Indiana,Indiana,20
en,en,81
regardant,regarder,13
le,le,71
ciel,ciel,21
/.,/.,P
madame,madame,22
de,de,81
Ramière,Ramière,20
voulut,vouloir,19
au,à,81
au,le,71
moins,moins,60
envoyer,envoyer,14
chercher,chercher,14
une,un,71
voiture,voiture,22
;,;,p
mais,mais,82
Indiana,Indiana,20
s',se,51
y,y,52
opposa,opposer,19
/.,/.,P
elle,il,51
voulait,vouloir,18
rentrer,rentrer,14
seule,seul,30
et,et,82
sans,sans,81
bruit,bruit,21
/.,/.,P
en,en,81
vain,vain,30
la,le,71
mère,mère,22
de,de,81
Raymon,Raymon,20
s',se,51
effraya,effrayer,19
de,de,81
la,le,52
voir,voir,14
",",",",p
si,si,60
affaiblie,affaibli,31
et,et,82
si,si,60
bouleversée,bouleversé,31
",",",",p
entreprendre,entreprendre,14
à,à,81
pied,pied,21
cette,ce,74
longue,long,30
course,course,22
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
de,de,81
la,le,71
force,force,22
",",",",p
lui,lui,51
répondit,répondre,19
elle,il,51
;,;,p
une,un,71
parole,parole,22
de,de,81
Raymon,Raymon,20
a,avoir,17
suffi,suffire,12
pour,pour,81
m',je,51
en,en,52
donner,donner,14
/.,/.,P
elle,il,51
s',se,51
enveloppa,envelopper,19
dans,dans,81
son,son,73
manteau,manteau,21
",",",",p
baissa,baisser,19
son,son,73
voile,voile,21
de,de,81
dentelle,dentelle,22
noire,noir,30
",",",",p
et,et,82
sortit,sortir,19
de,de,81
l',le,71
hôtel,hôtel,21
par,par,81
une,un,71
issue,issue,22
dérobée,dérobé,31
dont,dont,52
madame,madame,22
de,de,81
Ramière,Ramière,20
lui,lui,51
montra,montrer,19
le,le,71
