11637
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-huitième extrait>,<>,<>
ou,ou,82
de,de,81
colère,colère,22
",",",",p
il,il,51
s',se,51
est,être,17
mis,mettre,12
dans,dans,81
la,le,71
tête,tête,22
de,de,81
te,tu,51
faire,faire,14
épouser,épouser,14
sa,son,73
fille,fille,22
;,;,p
ce,ce,52
qui,qui,52
me,je,51
convient,convenir,17
aussi,aussi,60
",",",",p
je,je,51
te,tu,51
le,le,52
confesse,confesser,17
",",",",p
d',de,81
après,après,81
la,le,71
bonne,bon,30
renommée,renommée,22
qu',que,52
elle,il,51
a,avoir,17
",",",",p
d',de,81
après,après,81
l',le,71
honnêteté,honnêteté,22
de,de,81
sa,son,73
famille,famille,22
et,et,82
les,le,71
bonnes,bon,30
affaires,affaire,22
où,où,60
je,je,51
sais,savoir,17
qu',que,83
ils,ils,51
sont,être,17
/.,/.,P
-,-,p
je,je,51
vois,voir,17
",",",",p
père,père,21
Maurice,Maurice,20
",",",",p
que,que,83
vous,vous,51
tenez,tenir,17
un,un,71
peu,peu,60
aux,à,81
aux,le,71
bonnes,bon,30
affaires,affaire,22
/.,/.,P
-,-,p
sans,sans,81
doute,doute,21
",",",",p
j',je,51
y,y,52
tiens,tenir,17
/.,/.,P
est,être,17
ce,ce,52
que,que,83
tu,tu,51
n',ne,60
y,y,52
tiens,tenir,17
pas,pas,60
aussi,aussi,60
/?,/?,P
-,-,p
j',je,51
y,y,52
tiens,tenir,17
si,si,83
vous,vous,51
voulez,vouloir,17
",",",",p
pour,pour,81
vous,vous,51
faire,faire,14
plaisir,plaisir,21
;,;,p
mais,mais,82
vous,vous,51
savez,savoir,17
que,que,83
",",",",p
pour,pour,81
ma,mon,73
part,part,22
",",",",p
je,je,51
ne,ne,60
m',je,51
embarrasse,embarrasser,17
jamais,jamais,60
de,de,81
ce,ce,52
qui,qui,52
me,je,51
revient,revenir,17
ou,ou,82
ne,ne,60
me,je,51
revient,revenir,17
pas,pas,60
dans,dans,81
nos,notre,73
profits,profit,21
/.,/.,P
je,je,51
ne,ne,60
m',je,51
entends,entendre,17
pas,pas,60
à,à,81
faire,faire,14
des,de,81
des,le,71
partages,partage,21
",",",",p
et,et,82
ma,mon,73
tête,tête,22
n',ne,60
est,être,17
pas,pas,60
bonne,bon,30
pour,pour,81
ces,ce,74
choses,chose,22
là,là,60
/.,/.,P
je,je,51
connais,connaître,17
la,le,71
terre,terre,22
",",",",p
je,je,51
connais,connaître,17
les,le,71
boeufs,boeuf,21
",",",",p
les,le,71
chevaux,cheval,21
",",",",p
les,le,71
attelages,attelage,21
",",",",p
les,le,71
semences,semence,22
",",",",p
la,le,71
battaison,battaison,22
",",",",p
les,le,71
fourrages,fourrage,21
/.,/.,P
pour,pour,81
les,le,71
moutons,mouton,21
",",",",p
la,le,71
vigne,vigne,22
",",",",p
le,le,71
jardinage,jardinage,21
",",",",p
les,le,71
menus,menu,30
profits,profit,21
et,et,82
la,le,71
culture,culture,22
fine,fin,30
",",",",p
vous,vous,51
savez,savoir,17
que,que,83
ça,ça,52
regarde,regarder,17
votre,votre,73
fils,fils,21
et,et,82
que,que,83
je,je,51
ne,ne,60
m',je,51
en,en,52
mêle,mêler,17
pas,pas,60
beaucoup,beaucoup,60
/.,/.,P
quant,quand,83
à,à,81
l',le,71
argent,argent,21
",",",",p
ma,mon,73
mémoire,mémoire,22
est,être,17
courte,court,30
",",",",p
et,et,82
j',je,51
aimerais,aimer,16
mieux,mieux,60
tout,tout,52
céder,céder,14
que,que,83
de,de,81
disputer,disputer,14
sur,sur,81
le,le,71
tien,tien,52
et,et,82
le,le,71
mien,mien,52
/.,/.,P
je,je,51
craindrais,craindre,16
de,de,81
me,je,51
tromper,tromper,14
et,et,82
de,de,81
réclamer,réclamer,14
ce,ce,52
qui,qui,52
ne,ne,60
m',je,51
est,être,17
pas,pas,60
dû,devoir,12
",",",",p
et,et,82
si,si,83
les,le,71
affaires,affaire,22
n',ne,60
étaient,être,18
pas,pas,60
simples,simple,30
et,et,82
claires,clair,30
",",",",p
je,je,51
ne,ne,60
m',je,51
y,y,52
retrouverais,retrouver,16
jamais,jamais,60
/.,/.,P
-,-,p
c',ce,52
est,être,17
tant,tant,60
pis,pis,60
",",",",p
mon,mon,73
fils,fils,21
",",",",p
et,et,82
voilà,voilà,81
pourquoi,pourquoi,60
j',je,51
aimerais,aimer,16
que,que,83
tu,tu,51
eusses,avoir,18
une,un,71
femme,femme,22
de,de,81
tête,tête,22
pour,pour,81
me,je,51
remplacer,remplacer,14
quand,quand,83
je,je,51
n',ne,60
y,y,52
serai,être,16
plus,plus,60
/.,/.,P
tu,tu,51
n',ne,60
as,avoir,17
jamais,jamais,60
voulu,vouloir,12
voir,voir,14
clair,clair,60
dans,dans,81
nos,notre,73
comptes,compte,21
",",",",p
et,et,82
ça,ça,52
pourrait,pouvoir,16
t',tu,51
amener,amener,14
du,de,81
du,le,71
désagrément,désagrément,21
avec,avec,81
mon,mon,73
fils,fils,21
",",",",p
quand,quand,83
vous,vous,51
ne,ne,60
m',je,51
aurez,avoir,15
plus,plus,60
pour,pour,81
vous,vous,51
mettre,mettre,14
d'accord,d'accord,60
et,et,82
vous,vous,51
dire,dire,14
ce,ce,52
qui,qui,52
vous,vous,51
revient,revenir,17
à,à,81
chacun,chacun,52
/.,/.,P
-,-,p
puissiez,pouvoir,17
vous,vous,51
vivre,vivre,14
longtemps,longtemps,60
",",",",p
père,père,21
Maurice,Maurice,20
/!,/!,P
mais,mais,82
ne,ne,60
vous,vous,51
inquiétez,inquiéter,17
pas,pas,60
de,de,81
ce,ce,52
qui,qui,52
sera,être,15
après,après,81
vous,vous,51
;,;,p
jamais,jamais,60
je,je,51
ne,ne,60
me,je,51
disputerai,disputer,15
avec,avec,81
votre,votre,73
fils,fils,21
/.,/.,P
je,je,51
me,je,51
fie,fier,17
à,à,81
Jacques,Jacques,20
comme,comme,83
à,à,81
vous-même,vous-même,51
",",",",p
et,et,82
comme,comme,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
de,de,81
bien,bien,21
à,à,81
moi,moi,51
",",",",p
que,que,83
tout,tout,52
ce,ce,52
qui,qui,52
peut,pouvoir,17
me,je,51
revenir,revenir,14
provient,provenir,17
de,de,81
votre,votre,73
fille,fille,22
et,et,82
appartient,appartenir,17
à,à,81
nos,notre,73
enfants,enfant,21
",",",",p
je,je,51
peux,pouvoir,17
être,être,14
tranquille,tranquille,30
et,et,82
vous,vous,51
aussi,aussi,60
;,;,p
Jacques,Jacques,20
ne,ne,60
voudrait,vouloir,16
pas,pas,60
dépouiller,dépouiller,14
les,le,71
enfants,enfant,21
de,de,81
sa,son,73
soeur,soeur,22
pour,pour,81
les,le,71
siens,sien,52
",",",",p
puisqu',puisque,83
il,il,51
les,le,52
aime,aimer,17
quasi,quasi,60
autant,autant,60
les,le,71
uns,un,52
que,que,83
les,le,71
autres,autre,52
/.,/.,P
-,-,p
tu,tu,51
as,avoir,17
raison,raison,22
en,en,81
cela,cela,52
",",",",p
Germain,Germain,20
/.,/.,P
Jacques,Jacques,20
est,être,17
un,un,71
bon,bon,30
fils,fils,21
",",",",p
un,un,71
bon,bon,30
frère,frère,21
",",",",p
et,et,82
un,un,71
homme,homme,21
qui,qui,52
aime,aimer,17
la,le,71
vérité,vérité,22
/.,/.,P
mais,mais,82
Jacques,Jacques,20
peut,pouvoir,17
mourir,mourir,14
avant,avant,81
toi,toi,51
",",",",p
avant,avant,81
que,que,83
vos,votre,73
enfants,enfant,21
soient,être,17
élevés,élever,12
",",",",p
et,et,82
il,il,51
faut,falloir,17
toujours,toujours,60
songer,songer,14
",",",",p
dans,dans,81
une,un,71
famille,famille,22
",",",",p
à,à,81
ne,ne,60
pas,pas,60
laisser,laisser,14
des,de,81
des,le,71
mineurs,mineur,21
sans,sans,81
un,un,71
chef,chef,21
pour,pour,81
les,le,52
bien,bien,60
conseiller,conseiller,14
et,et,82
régler,régler,14
leurs,leur,73
différends,différend,21
/.,/.,P
autrement,autrement,60
les,le,71
gens,gens,21
de,de,81
loi,loi,22
s',se,51
en,en,52
mêlent,mêler,17
",",",",p
les,le,52
brouillent,brouiller,17
ensemble,ensemble,60
et,et,82
leur,leur,52
font,faire,17
tout,tout,52
manger,manger,14
en,en,81
procès,procès,21
/.,/.,P
ainsi,ainsi,60
donc,donc,82
",",",",p
nous,nous,51
ne,ne,60
devons,devoir,17
pas,pas,60
penser,penser,14
à,à,81
mettre,mettre,14
chez,chez,81
nous,nous,51
une,un,71
personne,personne,22
de,de,81
plus,plus,60
",",",",p
soit,être,17
homme,homme,21
",",",",p
soit,être,17
femme,femme,22
",",",",p
sans,sans,81
nous,nous,51
dire,dire,14
qu',que,83
un,un,71
jour,jour,21
cette,ce,74
personne,personne,22
là,là,60
aura,avoir,15
peut-être,peut-être,60
à,à,81
diriger,diriger,14
la,le,71
conduite,conduite,22
et,et,82
les,le,71
affaires,affaire,22
d',de,81
une,un,71
trentaine,trentaine,22
d',de,81
enfants,enfant,21
",",",",p
petits-enfants,petit-enfant,21
",",",",p
gendres,gendre,21
et,et,82
brus,bru,22
/…,/…,P
on,on,51
ne,ne,60
sait,savoir,17
pas,pas,60
combien,combien,60
une,un,71
famille,famille,22
peut,pouvoir,17
s',se,51
accroître,accroître,14
",",",",p
et,et,82
quand,quand,83
la,le,71
ruche,ruche,22
est,être,17
trop,trop,60
pleine,plein,30
",",",",p
qu',que,83
il,il,51
faut,falloir,17
essaimer,essaimer,14
",",",",p
chacun,chacun,52
songe,songer,17
à,à,81
emporter,emporter,14
son,son,73
miel,miel,21
/.,/.,P
quand,quand,83
je,je,51
t',tu,51
ai,avoir,17
pris,prendre,12
pour,pour,81
gendre,gendre,21
",",",",p
quoique,quoique,83
ma,mon,73
fille,fille,22
fût,être,19
riche,riche,30
et,et,82
toi,toi,51
pauvre,pauvre,30
",",",",p
je,je,51
ne,ne,60
lui,lui,51
ai,avoir,17
pas,pas,60
fait,faire,12
reproche,reproche,21
de,de,81
t',tu,51
avoir,avoir,14
choisi,choisir,12
/.,/.,P
je,je,51
te,tu,51
voyais,voir,18
bon,bon,30
travailleur,travailleur,21
",",",",p
et,et,82
je,je,51
savais,savoir,18
bien,bien,60
que,que,83
la,le,71
meilleure,meilleur,30
richesse,richesse,22
pour,pour,81
des,de,81
des,le,71
gens,gens,21
de,de,81
campagne,campagne,22
comme,comme,83
nous,nous,51
",",",",p
c',ce,52
est,être,17
une,un,71
paire,paire,22
de,de,81
bras,bras,21
et,et,82
un,un,71
coeur,coeur,21
comme,comme,83
les,le,71
tiens,tien,52
/.,/.,P
quand,quand,83
un,un,71
homme,homme,21
apporte,apporter,17
cela,cela,52
dans,dans,81
une,un,71
famille,famille,22
",",",",p
il,il,51
apporte,apporter,17
assez,assez,60
/.,/.,P
mais,mais,82
une,un,71
femme,femme,22
",",",",p
c',ce,52
est,être,17
différent,différent,30
:,:,p
son,son,73
travail,travail,21
dans,dans,81
la,le,71
maison,maison,22
est,être,17
bon,bon,30
pour,pour,81
conserver,conserver,14
",",",",p
non,non,60
pour,pour,81
acquérir,acquérir,14
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
à,à,81
présent,présent,21
que,que,52
tu,tu,51
es,être,17
père,père,21
et,et,82
que,que,52
tu,tu,51
cherches,chercher,17
femme,femme,22
",",",",p
il,il,51
faut,falloir,17
songer,songer,14
que,que,83
tes,ton,73
nouveaux,nouveau,30
enfants,enfant,21
",",",",p
n',ne,60
ayant,avoir,13
rien,rien,52
à,à,81
prétendre,prétendre,14
dans,dans,81
l',le,71
héritage,héritage,21
de,de,81
ceux,celui,52
du,de,81
du,le,71
premier,premier,72
lit,lit,21
",",",",p
se,se,51
trouveraient,trouver,16
dans,dans,81
la,le,71
misère,misère,22
si,si,83
tu,tu,51
venais,venir,18
à,à,81
mourir,mourir,14
",",",",p
à,à,81
moins,moins,60
que,que,83
ta,ton,73
femme,femme,22
n',ne,60
eût,avoir,19
quelque,quelque,75
bien,bien,21
de,de,81
son,son,73
côté,côté,21
/.,/.,P
et,et,82
puis,puis,60
",",",",p
les,le,71
enfants,enfant,21
dont,dont,52
tu,tu,51
vas,aller,17
augmenter,augmenter,14
notre,notre,73
colonie,colonie,22
coûteront,coûter,15
quelque,quelque,75
chose,chose,22
à,à,81
nourrir,nourrir,14
/.,/.,P
si,si,83
cela,cela,52
retombait,retomber,18
sur,sur,81
nous,nous,51
seuls,seul,30
",",",",p
nous,nous,51
les,le,52
nourririons,nourrir,16
",",",",p
bien,bien,60
certainement,certainement,60
",",",",p
et,et,82
sans,sans,81
nous,nous,51
en,en,52
plaindre,plaindre,14
;,;,p
mais,mais,82
le,le,71
bien-être,bien-être,21
de,de,81
tout,tout,75
le,le,71
monde,monde,21
en,en,52
serait,être,16
diminué,diminuer,12
",",",",p
et,et,82
les,le,71
premiers,premier,72
enfants,enfant,21
auraient,avoir,16
leur,leur,73
part,part,22
de,de,81
privations,privation,22
là-dedans,là-dedans,60
/.,/.,P
quand,quand,83
les,le,71
familles,famille,22
augmentent,augmenter,17
outre,outre,81
mesure,mesure,22
sans,sans,81
que,que,83
le,le,71
bien,bien,21
augmente,augmenter,17
en,en,81
proportion,proportion,22
",",",",p
la,le,71
misère,misère,22
vient,venir,17
",",",",p
quelque,quelque,75
courage,courage,21
qu',que,52
on,on,51
y,y,52
mette,mettre,17
/.,/.,P
voilà,voilà,81
mes,mon,73
observations,observation,22
",",",",p
Germain,Germain,20
",",",",p
pèse,peser,17
les,le,52
",",",",p
et,et,82
tâche,tâcher,17
de,de,81
te,tu,51
faire,faire,14
agréer,agréer,14
à,à,81
la,le,71
veuve,veuve,22
Guérin,Guérin,20
;,;,p
car,car,82
sa,son,73
bonne,bon,30
conduite,conduite,22
et,et,82
ses,son,73
écus,écu,21
apporteront,apporter,15
ici,ici,60
de,de,81
l',le,71
aide,aide,22
dans,dans,81
le,le,71
présent,présent,21
et,et,82
de,de,81
la,le,71
tranquillité,tranquillité,22
pour,pour,81
l',le,71
avenir,avenir,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
dit,dire,12
",",",",p
mon,mon,73
père,père,21
/.,/.,P
je,je,51
vais,aller,17
tâcher,tâcher,14
de,de,81
lui,lui,51
plaire,plaire,14
et,et,82
qu',que,83
elle,il,51
me,je,51
plaise,plaire,17
/.,/.,P
-,-,p
pour,pour,81
cela,cela,52
il,il,51
faut,falloir,17
la,le,52
voir,voir,14
et,et,82
aller,aller,14
la,le,52
trouver,trouver,14
/.,/.,P
-,-,p
dans,dans,81
son,son,73
endroit,endroit,21
/?,/?,P
à,à,81
Fourche,Fourche,20
/?,/?,P
c',ce,52
est,être,17
loin,loin,60
d',de,81
ici,ici,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
et,et,82
nous,nous,51
n',ne,60
avons,avoir,17
guère,guère,60
le,le,71
temps,temps,21
de,de,81
courir,courir,14
dans,dans,81
cette,ce,74
saison,saison,22
/.,/.,P
-,-,p
quand,quand,83
il,il,51
s',se,51
agit,agir,17
d',de,81
un,un,71
mariage,mariage,21
d',de,81
amour,amour,21
",",",",p
il,il,51
faut,falloir,17
s',se,51
attendre,attendre,14
à,à,81
perdre,perdre,14
du,de,81
du,le,71
temps,temps,21
;,;,p
mais,mais,82
quand,quand,83
c',ce,52
est,être,17
un,un,71
mariage,mariage,21
de,de,81
raison,raison,22
entre,entre,81
deux,deux,72
personnes,personne,22
qui,qui,52
n',ne,60
ont,avoir,17
pas,pas,60
de,de,81
caprices,caprice,21
et,et,82
savent,savoir,17
ce,ce,52
qu',que,52
elles,ils,51
veulent,vouloir,17
",",",",p
c',ce,52
est,être,17
bientôt,bientôt,60
décidé,décider,12
/.,/.,P
c',ce,52
est,être,17
demain,demain,60
samedi,samedi,21
;,;,p
tu,tu,51
feras,faire,15
ta,ton,73
journée,journée,22
de,de,81
labour,labour,21
un,un,71
peu,peu,60
courte,court,30
",",",",p
tu,tu,51
partiras,partir,15
vers,vers,81
les,le,71
deux,deux,72
heures,heure,22
après,après,81
dîner,dîner,21
;,;,p
tu,tu,51
seras,être,15
à,à,81
Fourche,Fourche,20
à,à,81
la,le,71
nuit,nuit,22
;,;,p
la,le,71
lune,lune,22
est,être,17
grande,grand,30
dans,dans,81
ce,ce,74
moment,moment,21
ci,ci,60
",",",",p
les,le,71
chemins,chemin,21
sont,être,17
bons,bon,30
",",",",p
et,et,82
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
plus,plus,60
de,de,81
trois,trois,72
lieues,lieue,22
de,de,81
pays,pays,21
/.,/.,P
c',ce,52
est,être,17
près,près,81
du,de,81
du,le,71
Magnier,Magnier,20
/.,/.,P
d',de,81
ailleurs,ailleurs,60
tu,tu,51
prendras,prendre,15
la,le,71
jument,jument,22
/.,/.,P
-,-,p
j',je,51
aimerais,aimer,16
autant,autant,60
aller,aller,14
à,à,81
pied,pied,21
",",",",p
par,par,81
ce,ce,74
temps,temps,21
frais,frais,30
/.,/.,P
-,-,p
oui,oui,60
",",",",p
mais,mais,82
la,le,71
jument,jument,22
est,être,17
belle,beau,30
",",",",p
et,et,82
un,un,71
prétendu,prétendu,31
qui,qui,52
arrive,arriver,17
aussi,aussi,60
bien,bien,60
monté,monté,31
a,avoir,17
meilleur,meilleur,30
air,air,21
/.,/.,P
tu,tu,51
mettras,mettre,15
tes,ton,73
habits,habit,21
neufs,neuf,30
",",",",p
et,et,82
tu,tu,51
porteras,porter,15
un,un,71
joli,joli,30
présent,présent,21
de,de,81
gibier,gibier,21
au,à,81
au,le,71
père,père,21
Léonard,Léonard,20
/.,/.,P
tu,tu,51
arriveras,arriver,15
de,de,81
ma,mon,73
part,part,22
",",",",p
tu,tu,51
causeras,causer,15
avec,avec,81
lui,lui,51
",",",",p
tu,tu,51
passeras,passer,15
la,le,71
journée,journée,22
du,de,81
du,le,71
dimanche,dimanche,21
avec,avec,81
sa,son,73
fille,fille,22
",",",",p
et,et,82
tu,tu,51
reviendras,revenir,15
avec,avec,81
un,un,71
oui,oui,60
ou,ou,82
un,un,71
non,non,60
lundi,lundi,21
matin,matin,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
entendu,entendre,12
",",",",p
répondit,répondre,19
tranquillement,tranquillement,60
Germain,Germain,20
;,;,p
et,et,82
pourtant,pourtant,60
il,il,51
n',ne,60
était,être,18
pas,pas,60
tout,tout,60
à,à,81
fait,fait,21
tranquille,tranquille,30
/.,/.,P
Germain,Germain,20
avait,avoir,18
toujours,toujours,60
vécu,vivre,12
sagement,sagement,60
comme,comme,83
vivent,vivre,17
les,le,71
paysans,paysan,21
laborieux,laborieux,30
/.,/.,P
marié,marié,31
à,à,81
vingt,vingt,72
ans,an,21
",",",",p
il,il,51
n',ne,60
avait,avoir,18
aimé,aimer,12
qu',que,83
une,un,71
femme,femme,22
dans,dans,81
sa,son,73
vie,vie,22
",",",",p
et,et,82
",",",",p
depuis,depuis,81
son,son,73
veuvage,veuvage,21
",",",",p
quoiqu',quoique,83
il,il,51
fût,être,19
d',de,81
un,un,71
caractère,caractère,21
impétueux,impétueux,30
et,et,82
enjoué,enjoué,30
",",",",p
il,il,51
n',ne,60
avait,avoir,18
ri,rire,12
et,et,82
folâtré,folâtrer,12
avec,avec,81
aucune,aucun,75
autre,autre,52
/.,/.,P
il,il,51
avait,avoir,18
porté,porter,12
fidèlement,fidèlement,60
un,un,71
véritable,véritable,30
regret,regret,21
dans,dans,81
son,son,73
coeur,coeur,21
",",",",p
et,et,82
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
sans,sans,81
crainte,crainte,22
et,et,82
sans,sans,81
tristesse,tristesse,22
qu',que,52
il,il,51
cédait,céder,18
à,à,81
son,son,73
beau-père,beau-père,21
;,;,p
mais,mais,82
le,le,71
beau-père,beau-père,21
avait,avoir,18
toujours,toujours,60
gouverné,gouverner,12
sagement,sagement,60
la,le,71
famille,famille,22
",",",",p
et,et,82
Germain,Germain,20
",",",",p
qui,qui,52
s',se,51
était,être,18
dévoué,dévouer,12
tout,tout,60
entier,entier,30
à,à,81
l',le,71
oeuvre,oeuvre,22
commune,commun,30
",",",",p
et,et,82
",",",",p
par,par,81
conséquent,conséquent,30
",",",",p
à,à,81
celui,celui,52
qui,qui,52
la,le,52
personnifiait,personnifier,18
",",",",p
au,à,81
au,le,71
père,père,21
de,de,81
famille,famille,22
",",",",p
Germain,Germain,20
ne,ne,60
comprenait,comprendre,18
pas,pas,60
qu',que,83
il,il,51
eût,avoir,19
pu,pouvoir,12
se,se,51
révolter,révolter,14
contre,contre,81
de,de,81
bonnes,bon,30
raisons,raison,22
",",",",p
contre,contre,81
l',le,71
intérêt,intérêt,21
de,de,81
tous,tout,52
/.,/.,P
néanmoins,néanmoins,60
il,il,51
était,être,18
triste,triste,30
/.,/.,P
il,il,51
se,se,51
passait,passer,18
peu,peu,60
de,de,81
jours,jour,21
qu',que,83
il,il,51
ne,ne,60
pleurât,pleurer,18
sa,son,73
femme,femme,22
en,en,81
secret,secret,21
",",",",p
et,et,82
",",",",p
quoique,quoique,83
la,le,71
solitude,solitude,22
commençât,commencer,18
à,à,81
lui,lui,51
peser,peser,14
",",",",p
il,il,51
était,être,18
plus,plus,60
effrayé,effrayer,12
de,de,81
former,former,14
une,un,71
union,union,22
nouvelle,nouveau,30
que,que,83
désireux,désireux,30
de,de,81
se,se,51
soustraire,soustraire,14
à,à,81
son,son,73
chagrin,chagrin,21
/.,/.,P
il,il,51
se,se,51
disait,dire,18
vaguement,vaguement,60
que,que,83
l',le,71
amour,amour,21
eût,avoir,19
pu,pouvoir,12
le,le,52
consoler,consoler,14
",",",",p
en,en,81
venant,venir,13
le,le,52
surprendre,surprendre,14
",",",",p
car,car,82
l',le,71
amour,amour,21
ne,ne,60
console,consoler,17
pas,pas,60
autrement,autrement,60
/.,/.,P
on,on,51
ne,ne,60
le,le,52
trouve,trouver,17
pas,pas,60
quand,quand,83
on,on,51
le,le,52
cherche,chercher,17
;,;,p
il,il,51
vient,venir,17
à,à,81
nous,nous,51
quand,quand,83
nous,nous,51
ne,ne,60
l',le,52
attendons,attendre,17
pas,pas,60
/.,/.,P
ce,ce,74
froid,froid,30
projet,projet,21
de,de,81
mariage,mariage,21
que,que,52
lui,lui,51
montrait,montrer,18
le,le,71
père,père,21
Maurice,Maurice,20
",",",",p
cette,ce,74
fiancée,fiancée,22
inconnue,inconnu,30
",",",",p
peut-être,peut-être,60
même,même,60
tout,tout,75
ce,ce,74
bien,bien,21
qu',que,52
on,on,51
lui,lui,51
disait,dire,18
de,de,81
sa,son,73
raison,raison,22
et,et,82
de,de,81
sa,son,73
vertu,vertu,22
",",",",p
lui,lui,51
donnaient,donner,18
à,à,81
penser,penser,14
/.,/.,P
et,et,82
il,il,51
s',se,51
en,en,52
allait,aller,18
",",",",p
songeant,songer,13
",",",",p
comme,comme,83
songent,songer,17
les,le,71
hommes,homme,21
qui,qui,52
n',ne,60
ont,avoir,17
pas,pas,60
assez,assez,60
d',de,81
idées,idée,22
pour,pour,81
qu',que,83
elles,ils,51
se,se,51
combattent,combattre,17
entre,entre,81
elles,ils,51
",",",",p
c'est-à-dire,c'est-à-dire,91
ne,ne,60
se,se,51
formulant,formuler,13
pas,pas,60
à,à,81
lui-même,lui-même,51
de,de,81
belles,beau,30
raisons,raison,22
de,de,81
résistance,résistance,22
et,et,82
d',de,81
égoïsme,égoïsme,21
",",",",p
mais,mais,82
souffrant,souffrir,13
d',de,81
une,un,71
douleur,douleur,22
sourde,sourd,30
",",",",p
et,et,82
ne,ne,60
luttant,lutter,13
pas,pas,60
contre,contre,81
un,un,71
mal,mal,21
qu',que,52
il,il,51
fallait,falloir,18
accepter,accepter,14
/.,/.,P
cependant,cependant,82
",",",",p
le,le,71
père,père,21
Maurice,Maurice,20
était,être,18
rentré,rentrer,12
à,à,81
la,le,71
métairie,métairie,22
",",",",p
tandis que,tandis que,83
Germain,Germain,20
",",",",p
entre,entre,81
le,le,71
coucher,coucher,21
du,de,81
du,le,71
soleil,soleil,21
et,et,82
la,le,71
nuit,nuit,22
",",",",p
occupait,occuper,18
la,le,71
dernière,dernier,30
heure,heure,22
du,de,81
du,le,71
jour,jour,21
à,à,81
fermer,fermer,14
les,le,71
brèches,brèche,22
que,que,52
les,le,71
moutons,mouton,21
avaient,avoir,18
faites,faire,12
à,à,81
la,le,71
bordure,bordure,22
d',de,81
un,un,71
enclos,enclos,21
voisin,voisin,30
des,de,81
des,le,71
bâtiments,bâtiment,21
/.,/.,P
il,il,51
relevait,relever,18
les,le,71
tiges,tige,22
d',de,81
épine,épine,22
et,et,82
les,le,52
soutenait,soutenir,18
avec,avec,81
des,de,81
des,le,71
mottes,motte,22
de,de,81
terre,terre,22
",",",",p
tandis que,tandis que,83
les,le,71
grives,grive,22
babillaient,babiller,18
dans,dans,81
le,le,71
buisson,buisson,21
voisin,voisin,30
et,et,82
semblaient,sembler,18
lui,lui,51
crier,crier,14
de,de,81
se,se,51
hâter,hâter,14
",",",",p
curieuses,curieux,30
qu',que,83
elles,ils,51
étaient,être,18
de,de,81
venir,venir,14
examiner,examiner,14
son,son,73
ouvrage,ouvrage,21
aussitôt,aussitôt,60
qu',que,83
il,il,51
serait,être,16
parti,partir,12
/.,/.,P
la,le,71
Guillette,Guillette,20
/.,/.,P
le,le,71
père,père,21
Maurice,Maurice,20
trouva,trouver,19
chez,chez,81
lui,lui,51
une,un,71
vieille,vieux,30
voisine,voisine,22
qui,qui,52
était,être,18
venue,venir,12
causer,causer,14
avec,avec,81
sa,son,73
femme,femme,22
tout,tout,60
en,en,81
cherchant,chercher,13
de,de,81
la,le,71
braise,braise,22
pour,pour,81
allumer,allumer,14
son,son,73
feu,feu,21
/.,/.,P
la,le,71
mère,mère,22
Guillette,Guillette,20
habitait,habiter,18
une,un,71
chaumière,chaumière,22
fort,fort,60
pauvre,pauvre,30
à,à,81
deux,deux,72
portées,portée,22
de,de,81
fusil,fusil,21
de,de,81
la,le,71
ferme,ferme,22
/.,/.,P
mais,mais,82
c',ce,52
était,être,18
une,un,71
femme,femme,22
d',de,81
ordre,ordre,21
et,et,82
de,de,81
volonté,volonté,22
/.,/.,P
sa,son,73
pauvre,pauvre,30
maison,maison,22
était,être,18
propre,propre,30
et,et,82
bien,bien,60
tenue,tenu,31
",",",",p
et,et,82
ses,son,73
vêtements,vêtement,21
rapiécés,rapiécé,31
avec,avec,81
soin,soin,21
annonçaient,annoncer,18
le,le,71
respect,respect,21
de,de,81
soi-même,soi-même,51
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
détresse,détresse,22
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
venue,venir,12
chercher,chercher,14
le,le,71
feu,feu,21
du,de,81
du,le,71
soir,soir,21
",",",",p
mère,mère,22
Guillette,Guillette,20
",",",",p
lui,lui,51
dit,dire,19
le,le,71
vieillard,vieillard,21
/.,/.,P
voulez,vouloir,17
vous,vous,51
quelque,quelque,75
autre,autre,75
chose,chose,22
/?,/?,P
-,-,p
non,non,60
",",",",p
père,père,21
Maurice,Maurice,20
",",",",p
répondit,répondre,19
elle,il,51
;,;,p
rien,rien,52
pour,pour,81
le,le,71
moment,moment,21
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
quémandeuse,quémandeur,30
",",",",p
vous,vous,51
le,le,52
savez,savoir,17
",",",",p
et,et,82
je,je,51
n',ne,60
abuse,abuser,17
pas,pas,60
de,de,81
la,le,71
bonté,bonté,22
de,de,81
mes,mon,73
amis,ami,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
la,le,71
vérité,vérité,22
