11987
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-troisième extrait>,<>,<>
indélicatesse,indélicatesse,22
",",",",p
les,le,71
apparences,apparence,22
étant,être,13
",",",",p
en,en,81
effet,effet,21
",",",",p
contre,contre,81
moi,moi,51
",",",",p
en,en,52
a,avoir,17
parlé,parler,12
en,en,81
termes,terme,21
tels,tel,75
que,que,83
",",",",p
n',ne,60
était,être,18
son,son,73
âge,âge,21
",",",",p
je,je,51
me,je,51
serais,être,16
vu,voir,12
forcé,forcé,31
de,de,81
lui,lui,51
en,en,52
demander,demander,14
raison,raison,22
/.,/.,P
il,il,51
ne,ne,60
me,je,51
reste,rester,17
qu',que,83
une,un,71
chose,chose,22
à,à,81
faire,faire,14
",",",",p
pour,pour,81
m',je,51
innocenter,innocenter,14
à,à,81
ses,son,73
yeux,oeil,21
et,et,82
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
tout,tout,75
le,le,71
corps,corps,21
médical,médical,30
de,de,81
la,le,71
contrée,contrée,22
",",",",p
c',ce,52
est,être,17
de,de,81
cesser,cesser,14
",",",",p
à,à,81
mon,mon,73
grand,grand,30
chagrin,chagrin,21
",",",",p
de,de,81
donner,donner,14
mes,mon,73
soins,soin,21
à,à,81
votre,votre,73
femme,femme,22
",",",",p
et,et,82
de,de,81
faire,faire,14
connaître,connaître,14
toute,tout,75
la,le,71
vérité,vérité,22
sur,sur,81
cette,ce,74
affaire,affaire,22
",",",",p
en,en,81
vous,vous,51
priant,prier,13
d',de,81
agréer,agréer,14
mes,mon,73
excuses,excuse,22
/.,/.,P
“,“,p
Andermatt,Andermatt,20
répondit,répondre,19
avec,avec,81
embarras,embarras,21
:,:,p
“,“,p
je,je,51
comprends,comprendre,17
fort,fort,60
bien,bien,60
",",",",p
docteur,docteur,21
",",",",p
la,le,71
situation,situation,22
difficile,difficile,30
où,où,60
vous,vous,51
vous,vous,51
trouvez,trouver,17
/.,/.,P
la,le,71
faute,faute,22
en,en,52
est,être,17
",",",",p
non,non,60
pas,pas,60
à,à,81
moi,moi,51
ou,ou,82
à,à,81
ma,mon,73
femme,femme,22
",",",",p
mais,mais,82
à,à,81
mon,mon,73
beau-père,beau-père,21
",",",",p
qui,qui,52
avait,avoir,18
appelé,appeler,12
monsieur,monsieur,21
Bonnefille,Bonnefille,20
sans,sans,81
nous,nous,51
prévenir,prévenir,14
/.,/.,P
ne,ne,60
pourrais,pouvoir,16
je,je,51
aller,aller,14
trouver,trouver,14
votre,votre,73
confrère,confrère,21
et,et,82
lui,lui,51
dire,dire,14
/…,/…,P
“,“,p
le,le,71
docteur,docteur,21
Latonne,Latonne,20
l',le,52
interrompit,interrompre,19
:,:,p
“,“,p
c',ce,52
est,être,17
inutile,inutile,30
",",",",p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
",",",",p
il,il,51
y,y,52
a,avoir,17
là,là,60
une,un,71
question,question,22
de,de,81
dignité,dignité,22
et,et,82
d',de,81
honorabilité,honorabilité,22
professionnelles,professionnel,30
que,que,52
je,je,51
dois,devoir,17
avant,avant,81
tout,tout,52
respecter,respecter,14
",",",",p
et,et,82
",",",",p
malgré,malgré,81
mes,mon,73
vifs,vif,30
regrets,regret,21
/…,/…,P
“,“,p
Andermatt,Andermatt,20
",",",",p
à,à,81
son,son,73
tour,tour,21
",",",",p
lui,lui,51
coupa,couper,19
la,le,71
parole,parole,22
/.,/.,P
l',le,71
homme,homme,21
riche,riche,30
",",",",p
l',le,71
homme,homme,21
qui,qui,52
paye,payer,17
",",",",p
qui,qui,52
achète,acheter,17
une,un,71
ordonnance,ordonnance,22
de,de,81
cinq,cinq,72
",",",",p
dix,dix,72
",",",",p
vingt,vingt,72
ou,ou,82
quarante,quarante,72
francs,franc,21
comme,comme,83
une,un,71
boîte,boîte,22
d',de,81
allumettes,allumette,22
de,de,81
trois,trois,72
sous,sou,21
",",",",p
à,à,81
qui,qui,52
tout,tout,52
doit,devoir,17
appartenir,appartenir,14
par,par,81
la,le,71
puissance,puissance,22
de,de,81
sa,son,73
bourse,bourse,22
",",",",p
et,et,82
qui,qui,52
n',ne,60
apprécie,apprécier,17
les,le,71
êtres,être,21
et,et,82
les,le,71
objets,objet,21
qu',que,83
en,en,81
vertu,vertu,22
d',de,81
une,un,71
assimilation,assimilation,22
de,de,81
leur,leur,73
valeur,valeur,22
avec,avec,81
celle,celui,52
de,de,81
l',le,71
argent,argent,21
",",",",p
d',de,81
un,un,71
rapport,rapport,21
rapide,rapide,30
et,et,82
direct,direct,30
établi,établi,31
entre,entre,81
les,le,71
métaux,métal,21
monnayés,monnayé,31
et,et,82
toutes,tout,75
les,le,71
autres,autre,75
choses,chose,22
du,de,81
du,le,71
monde,monde,21
",",",",p
s',se,51
irritait,irriter,18
de,de,81
l',le,71
outrecuidance,outrecuidance,22
de,de,81
ce,ce,74
marchand,marchand,21
de,de,81
remèdes,remède,21
sur,sur,81
papier,papier,21
/.,/.,P
il,il,51
déclara,déclarer,19
d',de,81
un,un,71
ton,ton,21
roide,raide,30
:,:,p
“,“,p
soit,être,17
",",",",p
docteur,docteur,21
/.,/.,P
restons,rester,17
en,en,52
là,là,60
/.,/.,P
mais,mais,82
je,je,51
souhaite,souhaiter,17
pour,pour,81
vous,vous,51
que,que,83
cette,ce,74
démarche,démarche,22
n',ne,60
ait,avoir,17
pas,pas,60
sur,sur,81
votre,votre,73
carrière,carrière,22
une,un,71
fâcheuse,fâcheux,30
influence,influence,22
/.,/.,P
nous,nous,51
verrons,voir,15
",",",",p
en,en,81
effet,effet,21
",",",",p
lequel,lequel,52
de,de,81
nous,nous,51
deux,deux,72
aura,avoir,15
le,le,71
plus,plus,60
à,à,81
souffrir,souffrir,14
de,de,81
votre,votre,73
résolution,résolution,22
/.,/.,P
“,“,p
le,le,71
médecin,médecin,21
",",",",p
froissé,froissé,31
",",",",p
se,se,51
leva,lever,19
",",",",p
et,et,82
",",",",p
saluant,saluer,13
avec,avec,81
une,un,71
grande,grand,30
politesse,politesse,22
:,:,p
“,“,p
ce,ce,52
sera,être,15
moi,moi,51
",",",",p
monsieur,monsieur,21
",",",",p
je,je,51
n',ne,60
en,en,52
doute,douter,17
pas,pas,60
/.,/.,P
dès,dès,81
aujourd'hui,aujourd'hui,60
",",",",p
ce,ce,52
que,que,52
je,je,51
viens,venir,17
de,de,81
faire,faire,14
m',je,51
est,être,17
fort,fort,60
pénible,pénible,30
sous,sous,81
tous,tout,75
les,le,71
rapports,rapport,21
/.,/.,P
mais,mais,82
je,je,51
n',ne,60
hésite,hésiter,17
jamais,jamais,60
entre,entre,81
mon,mon,73
intérêt,intérêt,21
et,et,82
ma,mon,73
conscience,conscience,22
/.,/.,P
“,“,p
et,et,82
il,il,51
sortit,sortir,19
/.,/.,P
comme,comme,83
il,il,51
franchissait,franchir,18
la,le,71
porte,porte,22
",",",",p
il,il,51
heurta,heurter,19
le,le,71
marquis,marquis,21
qui,qui,52
entrait,entrer,18
",",",",p
une,un,71
lettre,lettre,22
à,à,81
la,le,71
main,main,22
/.,/.,P
et,et,82
monsieur,monsieur,21
de,de,81
Ravenel,Ravenel,20
s',se,51
écria,écrier,19
",",",",p
dès,dès,81
qu',que,83
il,il,51
fut,être,19
seul,seul,30
avec,avec,81
son,son,73
gendre,gendre,21
:,:,p
“,“,p
tenez,tenir,17
",",",",p
mon,mon,73
cher,cher,30
",",",",p
voici,voici,81
une,un,71
chose,chose,22
très,très,60
ennuyeuse,ennuyeux,30
qui,qui,52
m',je,51
arrive,arriver,17
par,par,81
votre,votre,73
faute,faute,22
/.,/.,P
le,le,71
docteur,docteur,21
Bonnefille,Bonnefille,20
",",",",p
blessé,blessé,21
de,de,81
ce,ce,52
que,que,52
vous,vous,51
ayez,avoir,17
fait,faire,12
venir,venir,14
son,son,73
confrère,confrère,21
auprès,auprès,60
de,de,81
Christiane,Christiane,20
",",",",p
m',je,51
envoie,envoyer,17
sa,son,73
note,note,22
avec,avec,81
un,un,71
mot,mot,21
très,très,60
sec,sec,30
pour,pour,81
me,je,51
prévenir,prévenir,14
que,que,83
je,je,51
n',ne,60
aie,avoir,17
plus,plus,60
à,à,81
compter,compter,14
sur,sur,81
son,son,73
expérience,expérience,22
/.,/.,P
“,“,p
alors,alors,60
Andermatt,Andermatt,20
se,se,51
fâcha,fâcher,19
tout,tout,60
à,à,81
fait,fait,21
/.,/.,P
il,il,51
marchait,marcher,18
",",",",p
s',se,51
animait,animer,18
en,en,81
parlant,parler,13
",",",",p
gesticulait,gesticuler,18
",",",",p
plein,plein,21
d',de,81
une,un,71
colère,colère,22
inoffensive,inoffensif,30
et,et,82
factice,factice,30
",",",",p
de,de,81
ces,ce,74
colères,colère,22
qu',que,52
on,on,51
ne,ne,60
prend,prendre,17
jamais,jamais,60
au,à,81
au,le,71
sérieux,sérieux,21
/.,/.,P
il,il,51
criait,crier,18
ses,son,73
arguments,argument,21
/.,/.,P
-,-,p
à,à,81
qui,qui,52
la,le,71
faute,faute,22
",",",",p
après,après,81
tout,tout,52
/?,/?,P
au,à,81
au,le,71
marquis,marquis,21
seul,seul,30
qui,qui,52
avait,avoir,18
appelé,appeler,12
cet,ce,74
âne,âne,21
bâté,bâté,31
de,de,81
Bonnefille,Bonnefille,20
sans,sans,81
même,même,60
prévenir,prévenir,14
Andermatt,Andermatt,20
",",",",p
renseigné,renseigné,31
",",",",p
grâce,grâce,22
à,à,81
son,son,73
médecin,médecin,21
de,de,81
Paris,Paris,20
",",",",p
sur,sur,81
la,le,71
valeur,valeur,22
relative,relatif,30
des,de,81
des,le,71
trois,trois,72
charlatans,charlatan,21
d',de,81
Enval,Enval,20
/!,/!,P
et,et,82
puis,puis,60
",",",",p
de,de,81
quoi,quoi,52
s',se,51
était,être,18
mêlé,mêler,12
le,le,71
marquis,marquis,21
en,en,81
consultant,consulter,13
derrière,derrière,81
le,le,71
dos,dos,21
du,de,81
du,le,71
mari,mari,21
",",",",p
du,de,81
du,le,71
mari,mari,21
seul,seul,30
juge,juger,17
",",",",p
seul,seul,30
responsable,responsable,21
de,de,81
la,le,71
santé,santé,22
de,de,81
sa,son,73
femme,femme,22
/?,/?,P
enfin,enfin,60
",",",",p
c',ce,52
était,être,18
tous,tout,75
les,le,71
jours,jour,21
la,le,71
même,même,75
chose,chose,22
pour,pour,81
tout,tout,52
/!,/!,P
on,on,51
ne,ne,60
faisait,faire,18
que,que,83
des,de,81
des,le,71
bêtises,bêtise,22
autour,autour,60
de,de,81
lui,lui,51
",",",",p
que,que,83
des,de,81
des,le,71
bêtises,bêtise,22
/!,/!,P
il,il,51
le,le,52
répétait,répéter,18
sans,sans,81
cesse,cesse,22
;,;,p
mais,mais,82
il,il,51
criait,crier,18
dans,dans,81
le,le,71
désert,désert,21
",",",",p
personne,personne,52
ne,ne,60
comprenait,comprendre,18
",",",",p
personne,personne,52
n',ne,60
ajoutait,ajouter,18
foi,foi,22
à,à,81
son,son,73
expérience,expérience,22
que,que,83
lorsqu',lorsque,83
il,il,51
était,être,18
trop,trop,60
tard,tard,60
/.,/.,P
et,et,82
il,il,51
disait,dire,18
:,:,p
“,“,p
mon,mon,73
médecin,médecin,21
“,“,p
",",",",p
“,“,p
mon,mon,73
expérience,expérience,22
“,“,p
",",",",p
avec,avec,81
une,un,71
autorité,autorité,22
d',de,81
homme,homme,21
qui,qui,52
détient,détenir,17
des,de,81
des,le,71
choses,chose,22
uniques,unique,30
/.,/.,P
les,le,71
pronoms,pronom,21
possessifs,possessif,30
prenaient,prendre,18
dans,dans,81
sa,son,73
bouche,bouche,22
des,de,81
des,le,71
sonorités,sonorité,22
de,de,81
métal,métal,21
/.,/.,P
et,et,82
quand,quand,83
il,il,51
prononçait,prononcer,18
:,:,p
“,“,p
ma,mon,73
femme,femme,22
“,“,p
",",",",p
on,on,51
sentait,sentir,18
d',de,81
une,un,71
façon,façon,22
bien,bien,60
évidente,évident,30
que,que,83
le,le,71
marquis,marquis,21
n',ne,60
avait,avoir,18
plus,plus,60
aucun,aucun,75
droit,droit,21
sur,sur,81
sa,son,73
fille,fille,22
",",",",p
puisque,puisque,83
Andermatt,Andermatt,20
l',le,52
avait,avoir,18
épousée,épouser,12
",",",",p
épouser,épouser,14
et,et,82
acheter,acheter,14
ayant,avoir,13
le,le,71
même,même,75
sens,sens,21
dans,dans,81
son,son,73
esprit,esprit,21
/.,/.,P
Gontran,Gontran,20
entra,entrer,19
au,à,81
au,le,71
plus,plus,60
vif,vif,30
de,de,81
la,le,71
discussion,discussion,22
",",",",p
et,et,82
il,il,51
s',se,51
assit,asseoir,19
dans,dans,81
un,un,71
fauteuil,fauteuil,21
",",",",p
avec,avec,81
un,un,71
sourire,sourire,21
de,de,81
gaîté,gaieté,22
sur,sur,81
les,le,71
lèvres,lèvre,22
/.,/.,P
il,il,51
ne,ne,60
disait,dire,18
rien,rien,52
",",",",p
il,il,51
écoutait,écouter,18
",",",",p
s',se,51
amusant,amuser,13
énormément,énormément,60
/.,/.,P
lorsque,lorsque,83
le,le,71
banquier,banquier,21
se,se,51
tut,taire,19
",",",",p
à,à,81
bout,bout,21
de,de,81
souffle,souffle,21
",",",",p
son,son,73
beau-frère,beau-frère,21
leva,lever,19
la,le,71
main,main,22
en,en,81
criant,crier,13
:,:,p
“,“,p
je,je,51
demande,demander,17
la,le,71
parole,parole,22
/.,/.,P
vous,vous,51
voici,voici,81
tous,tout,75
les,le,71
deux,deux,72
sans,sans,81
médecins,médecin,21
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
eh,eh,93
bien,bien,60
",",",",p
je,je,51
propose,proposer,17
mon,mon,73
candidat,candidat,21
",",",",p
le,le,71
docteur,docteur,21
Honorat,Honorat,20
",",",",p
le,le,71
seul,seul,30
qui,qui,52
ait,avoir,17
sur,sur,81
l',le,71
eau,eau,22
d',de,81
Enval,Enval,20
une,un,71
opinion,opinion,22
précise,précis,30
et,et,82
inébranlable,inébranlable,30
/.,/.,P
il,il,51
en,en,52
fait,faire,17
boire,boire,14
",",",",p
mais,mais,82
n',ne,60
en,en,52
boirait,boire,16
pour,pour,81
rien,rien,52
au,à,81
au,le,71
monde,monde,21
/.,/.,P
voulez,vouloir,17
vous,vous,51
que,que,83
j',je,51
aille,aller,17
le,le,52
chercher,chercher,14
/?,/?,P
je,je,51
me,je,51
charge,charger,17
des,de,81
des,le,71
négociations,négociation,22
/.,/.,P
“,“,p
c',ce,52
était,être,18
le,le,71
seul,seul,30
parti,parti,21
à,à,81
prendre,prendre,14
et,et,82
on,on,51
pria,prier,19
Gontran,Gontran,20
de,de,81
le,le,52
faire,faire,14
venir,venir,14
immédiatement,immédiatement,60
/.,/.,P
le,le,71
marquis,marquis,21
",",",",p
saisi,saisi,31
d',de,81
inquiétude,inquiétude,22
à,à,81
l',le,71
idée,idée,22
d',de,81
un,un,71
changement,changement,21
de,de,81
régime,régime,21
et,et,82
de,de,81
soins,soin,21
",",",",p
voulait,vouloir,18
savoir,savoir,14
tout,tout,60
de,de,81
suite,suite,22
l',le,71
avis,avis,21
de,de,81
ce,ce,74
nouveau,nouveau,30
médecin,médecin,21
;,;,p
et,et,82
Andermatt,Andermatt,20
désira,désirer,19
non,non,60
moins,moins,60
vivement,vivement,60
le,le,52
consulter,consulter,14
pour,pour,81
Christiane,Christiane,20
/.,/.,P
à,à,81
travers,travers,21
la,le,71
porte,porte,22
",",",",p
elle,il,51
les,le,52
entendait,entendre,18
sans,sans,81
les,le,52
écouter,écouter,14
et,et,82
sans,sans,81
comprendre,comprendre,14
de,de,81
quoi,quoi,52
ils,ils,51
parlaient,parler,18
/.,/.,P
dès,dès,81
que,que,83
son,son,73
mari,mari,21
l',le,52
avait,avoir,18
quittée,quitter,12
",",",",p
elle,il,51
s',se,51
était,être,18
sauvée,sauver,12
de,de,81
son,son,73
lit,lit,21
comme,comme,83
d',de,81
un,un,71
endroit,endroit,21
redoutable,redoutable,30
et,et,82
elle,il,51
s',se,51
habillait,habiller,18
en,en,81
hâte,hâte,22
",",",",p
sans,sans,81
femme,femme,22
de,de,81
chambre,chambre,22
",",",",p
la,le,71
tête,tête,22
secouée,secoué,31
par,par,81
tous,tout,75
ces,ce,74
événements,événement,21
/.,/.,P
le,le,71
monde,monde,21
lui,lui,51
paraissait,paraître,18
changé,changé,31
autour,autour,60
d',de,81
elle,il,51
",",",",p
la,le,71
vie,vie,22
autre,autre,30
que,que,83
la,le,71
veille,veille,22
",",",",p
les,le,71
gens,gens,21
eux-mêmes,eux-mêmes,51
tout,tout,60
différents,différent,30
/.,/.,P
la,le,71
voix,voix,22
d',de,81
Andermatt,Andermatt,20
s',se,51
éleva,élever,19
de,de,81
nouveau,nouveau,21
:,:,p
“,“,p
tiens,tenir,17
",",",",p
mon,mon,73
cher,cher,30
Brétigny,Brétigny,20
",",",",p
comment,comment,60
allez,aller,17
vous,vous,51
/?,/?,P
il,il,51
ne,ne,60
disait,dire,18
déjà,déjà,60
plus,plus,60
“,“,p
monsieur,monsieur,21
“,“,p
/.,/.,P
une,un,71
autre,autre,75
voix,voix,22
répondit,répondre,19
:,:,p
“,“,p
mais,mais,82
fort,fort,60
bien,bien,60
",",",",p
mon,mon,73
cher,cher,30
Andermatt,Andermatt,20
",",",",p
vous,vous,51
êtes,être,17
donc,donc,82
arrivé,arriver,12
ce,ce,74
matin,matin,21
/?,/?,P
Christiane,Christiane,20
",",",",p
qui,qui,52
relevait,relever,18
ses,son,73
cheveux,cheveu,21
sur,sur,81
ses,son,73
tempes,tempe,22
",",",",p
s',se,51
arrêta,arrêter,19
",",",",p
suffoquée,suffoqué,31
",",",",p
les,le,71
bras,bras,21
en,en,81
l',le,71
air,air,21
/.,/.,P
à,à,81
travers,travers,21
la,le,71
cloison,cloison,22
",",",",p
elle,il,51
crut,croire,19
les,le,52
voir,voir,14
se,se,51
serrant,serrer,13
la,le,71
main,main,22
/.,/.,P
elle,il,51
s',se,51
assit,asseoir,19
",",",",p
ne,ne,60
pouvant,pouvoir,13
plus,plus,60
se,se,51
tenir,tenir,14
debout,debout,60
;,;,p
et,et,82
ses,son,73
cheveux,cheveu,21
déroulés,déroulé,31
retombèrent,retomber,19
sur,sur,81
ses,son,73
épaules,épaule,22
/.,/.,P
c',ce,52
était,être,18
Paul,Paul,20
qui,qui,52
parlait,parler,18
maintenant,maintenant,60
",",",",p
et,et,82
elle,il,51
frissonnait,frissonner,18
de,de,81
la,le,71
tête,tête,22
aux,à,81
aux,le,71
pieds,pied,21
à,à,81
chaque,chaque,75
parole,parole,22
sortie,sorti,31
de,de,81
sa,son,73
bouche,bouche,22
/.,/.,P
chaque,chaque,75
mot,mot,21
",",",",p
dont,dont,52
elle,il,51
ne,ne,60
saisissait,saisir,18
pas,pas,60
le,le,71
sens,sens,21
",",",",p
tombait,tomber,18
et,et,82
sonnait,sonner,18
sur,sur,81
son,son,73
coeur,coeur,21
comme,comme,83
un,un,71
marteau,marteau,21
qui,qui,52
frappe,frapper,17
une,un,71
cloche,cloche,22
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
elle,il,51
prononça,prononcer,19
presque,presque,60
tout,tout,60
haut,haut,30
:,:,p
“,“,p
mais,mais,82
je,je,51
l',le,52
aime,aimer,17
…,…,p
je,je,51
l',le,52
aime,aimer,17
!,!,p
comme,comme,83
si,si,83
elle,il,51
eût,avoir,19
constaté,constater,12
une,un,71
chose,chose,22
nouvelle,nouveau,30
et,et,82
surprenante,surprenant,30
qui,qui,52
la,le,52
sauvait,sauver,18
",",",",p
qui,qui,52
la,le,52
consolait,consoler,18
",",",",p
qui,qui,52
l',le,52
innocentait,innocenter,18
devant,devant,81
sa,son,73
conscience,conscience,22
/.,/.,P
une,un,71
énergie,énergie,22
subite,subit,30
la,le,52
redressa,redresser,19
;,;,p
en,en,81
une,un,71
seconde,seconde,22
son,son,73
parti,parti,21
fut,être,19
pris,prendre,12
/.,/.,P
et,et,82
elle,il,51
se,se,51
remit,remettre,19
à,à,81
se,se,51
coiffer,coiffer,14
en,en,81
murmurant,murmurer,13
:,:,p
“,“,p
j',je,51
ai,avoir,17
un,un,71
amant,amant,21
",",",",p
voilà,voilà,81
tout,tout,52
/.,/.,P
j',je,51
ai,avoir,17
un,un,71
amant,amant,21
/.,/.,P
“,“,p
alors,alors,60
",",",",p
pour,pour,81
s',se,51
affermir,affermir,14
encore,encore,60
",",",",p
pour,pour,81
se,se,51
dégager,dégager,14
de,de,81
toute,tout,75
angoisse,angoisse,22
",",",",p
elle,il,51
se,se,51
résolut,résoudre,19
soudain,soudain,60
",",",",p
avec,avec,81
une,un,71
conviction,conviction,22
ardente,ardent,30
",",",",p
à,à,81
l',le,52
aimer,aimer,14
frénétiquement,frénétiquement,60
",",",",p
à,à,81
lui,lui,51
donner,donner,14
sa,son,73
vie,vie,22
",",",",p
son,son,73
bonheur,bonheur,21
",",",",p
à,à,81
lui,lui,51
sacrifier,sacrifier,14
tout,tout,52
",",",",p
selon,selon,81
la,le,71
morale,morale,22
exaltée,exalté,31
des,de,81
des,le,71
coeurs,coeur,21
vaincus,vaincu,31
mais,mais,82
scrupuleux,scrupuleux,30
qui,qui,52
se,se,51
jugent,juger,17
purifiés,purifié,31
par,par,81
le,le,71
dévouement,dévouement,21
et,et,82
la,le,71
sincérité,sincérité,22
/.,/.,P
et,et,82
",",",",p
derrière,derrière,81
le,le,71
mur,mur,21
qui,qui,52
les,le,52
séparait,séparer,18
",",",",p
elle,il,51
lui,lui,51
jeta,jeter,19
des,de,81
des,le,71
baisers,baiser,21
/.,/.,P
c',ce,52
était,être,18
fini,finir,12
",",",",p
elle,il,51
s',se,51
abandonnait,abandonner,18
à,à,81
lui,lui,51
",",",",p
sans,sans,81
réserve,réserve,22
",",",",p
comme,comme,83
on,on,51
s',se,51
offre,offrir,17
à,à,81
un,un,71
dieu,dieu,21
/.,/.,P
l',le,71
enfant,enfant,21
déjà,déjà,60
coquette,coquet,30
et,et,82
rusée,rusé,31
",",",",p
mais,mais,82
encore,encore,60
timide,timide,30
",",",",p
encore,encore,60
tremblante,tremblante,22
",",",",p
venait,venir,18
de,de,81
mourir,mourir,14
brusquement,brusquement,60
en,en,81
elle,il,51
;,;,p
et,et,82
la,le,71
femme,femme,22
était,être,18
née,naître,12
",",",",p
prête,prêt,30
pour,pour,81
la,le,71
passion,passion,22
",",",",p
la,le,71
femme,femme,22
résolue,résolu,31
",",",",p
tenace,tenace,30
",",",",p
seulement,seulement,60
annoncée,annoncé,31
jusqu'ici,jusqu'ici,81
par,par,81
l',le,71
énergie,énergie,22
cachée,caché,31
en,en,81
son,son,73
oeil,oeil,21
bleu,bleu,30
",",",",p
qui,qui,52
donnait,donner,18
un,un,71
air,air,21
de,de,81
courage,courage,21
et,et,82
presque,presque,60
de,de,81
bravade,bravade,22
à,à,81
sa,son,73
mignonne,mignon,30
figure,figurer,17
blonde,blonde,22
/.,/.,P
elle,il,51
entendit,entendre,19
ouvrir,ouvrir,14
la,le,71
porte,porte,22
",",",",p
et,et,82
ne,ne,60
se,se,51
retourna,retourner,19
pas,pas,60
",",",",p
devinant,deviner,13
son,son,73
mari,mari,21
sans,sans,81
le,le,52
voir,voir,14
",",",",p
comme,comme,83
si,si,83
un,un,71
sens,sens,21
nouveau,nouveau,30
",",",",p
presque,presque,60
un,un,71
instinct,instinct,21
",",",",p
venait,venir,18
aussi,aussi,60
d',de,81
éclore,éclore,14
en,en,81
elle,il,51
/.,/.,P
il,il,51
demanda,demander,19
:,:,p
“,“,p
seras,être,15
tu,tu,51
bientôt,bientôt,60
prête,prêt,30
/?,/?,P
nous,nous,51
irons,aller,15
tout,tout,60
à,à,81
l',le,71
heure,heure,22
au,à,81
au,le,71
bain,bain,21
du,de,81
du,le,71
paralytique,paralytique,21
",",",",p
pour,pour,81
voir,voir,14
s',si,83
il,il,51
va,aller,17
vraiment,vraiment,60
mieux,mieux,60
/.,/.,P
“,“,p
elle,il,51
répondit,répondre,19
avec,avec,81
calme,calme,21
:,:,p
“,“,p
oui,oui,60
",",",",p
mon,mon,73
cher,cher,30
Will,Will,20
",",",",p
dans,dans,81
cinq,cinq,72
minutes,minute,22
/.,/.,P
“,“,p
mais,mais,82
Gontran,Gontran,20
",",",",p
rentrant,rentrer,13
dans,dans,81
le,le,71
salon,salon,21
",",",",p
rappelait,rappeler,18
Andermatt,Andermatt,20
/.,/.,P
“,“,p
figurez,figurer,17
vous,vous,51
",",",",p
disait,dire,18
il,il,51
",",",",p
que,que,83
j',je,51
ai,avoir,17
rencontré,rencontrer,12
dans,dans,81
le,le,71
parc,parc,21
cet,ce,74
imbécile,imbécile,21
d',de,81
Honorat,Honorat,20
qui,qui,52
refuse,refuser,17
aussi,aussi,60
de,de,81
vous,vous,51
soigner,soigner,14
",",",",p
par,par,81
crainte,crainte,22
des,de,81
des,le,71
autres,autre,52
/.,/.,P
il,il,51
parle,parler,17
de,de,81
procédés,procédé,21
",",",",p
d',de,81
égards,égard,21
",",",",p
d',de,81
usages,usage,21
/…,/…,P
on,on,51
croirait,croire,16
que,que,83
…,…,p
il,il,51
aurait,avoir,16
l',le,71
air,air,21
de,de,81
/…,/…,P
bref,bref,60
",",",",p
c',ce,52
est,être,17
une,un,71
bête,bête,22
comme,comme,83
ses,son,73
deux,deux,72
confrères,confrère,21
/.,/.,P
vrai,vrai,60
",",",",p
je,je,51
l',le,52
aurais,avoir,16
cru,croire,12
moins,moins,60
singe,singe,21
que,que,83
cela,cela,52
/.,/.,P
“,“,p
le,le,71
marquis,marquis,21
demeurait,demeurer,18
atterré,atterré,31
/.,/.,P
l',le,71
idée,idée,22
de,de,81
prendre,prendre,14
les,le,71
eaux,eau,22
sans,sans,81
médecin,médecin,21
",",",",p
de,de,81
se,se,51
baigner,baigner,14
cinq,cinq,72
minutes,minute,22
de,de,81
trop,trop,60
",",",",p
de,de,81
boire,boire,14
un,un,71
verre,verre,21
de,de,81
moins,moins,60
qu',que,83
il,il,51
n',ne,60
aurait,avoir,16
fallu,falloir,12
le,le,52
torturait,torturer,18
de,de,81
peur,peur,22
",",",",p
car,car,82
il,il,51
croyait,croire,18
toutes,tout,75
les,le,71
doses,dose,22
",",",",p
les,le,71
heures,heure,22
et,et,82
les,le,71
phases,phase,22
du,de,81
du,le,71
traitement,traitement,21
exactement,exactement,60
réglées,réglé,31
par,par,81
une,un,71
loi,loi,22
de,de,81
la,le,71
nature,nature,22
",",",",p
qui,qui,52
avait,avoir,18
pensé,penser,12
aux,à,81
aux,le,71
malades,malade,21
en,en,81
faisant,faire,13
couler,couler,14
les,le,71
eaux,eau,22
minérales,minéral,30
",",",",p
et,et,82
dont,dont,52
les,le,71
docteurs,docteur,21
connaissaient,connaître,18
tous,tout,75
les,le,71
secrets,secret,21
mystérieux,mystérieux,30
",",",",p
comme,comme,83
des,de,81
des,le,71
prêtres,prêtre,21
inspirés,inspiré,31
et,et,82
savants,savant,30
/.,/.,P
il,il,51
s',se,51
écria,écrier,19
:,:,p
“,“,p
alors,alors,60
on,on,51
peut,pouvoir,17
mourir,mourir,14
ici,ici,60
/…,/…,P
on,on,51
y,y,52
peut,pouvoir,17
crever,crever,14
comme,comme,83
un,un,71
chien,chien,21
sans,sans,81
qu',que,83
aucun,aucun,52
de,de,81
ces,ce,74
messieurs,monsieur,21
se,se,51
dérange,déranger,17
/!,/!,P
et,et,82
une,un,71
colère,colère,22
l',le,52
envahit,envahir,17
",",",",p
une,un,71
colère,colère,22
égoïste,égoïste,30
et,et,82
furieuse,furieux,30
d',de,81
homme,homme,21
menacé,menacé,31
dans,dans,81
sa,son,73
santé,santé,22
/.,/.,P
“,“,p
est,être,17
ce,ce,52
qu',que,83
