11549
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quinzième extrait>,<>,<>
/!,/!,P
quelle,quel,75
existence,existence,22
fastidieuse,fastidieux,30
/!,/!,P
où,où,60
est,être,17
le,le,71
temps,temps,21
où,où,60
le,le,71
canon,canon,21
vous,vous,51
réveillait,réveiller,18
chaque,chaque,75
matin,matin,21
par,par,81
ses,son,73
joyeuses,joyeux,30
détonations,détonation,22
/?,/?,P
-,-,p
ce,ce,74
temps,temps,21
là,là,60
n',ne,60
est,être,17
plus,plus,60
",",",",p
répondit,répondre,19
le,le,71
fringant,fringant,30
Bilsby,Bilsby,20
",",",",p
en,en,81
cherchant,chercher,13
à,à,81
se,se,51
détirer,détirer,14
les,le,71
bras,bras,21
qui,qui,52
lui,lui,51
manquaient,manquer,18
/.,/.,P
c',ce,52
était,être,18
un,un,71
plaisir,plaisir,21
alors,alors,60
/!,/!,P
on,on,51
inventait,inventer,18
son,son,73
obusier,obusier,21
",",",",p
et,et,82
",",",",p
à,à,81
peine,peine,22
fondu,fondu,31
",",",",p
on,on,51
courait,courir,18
l',le,52
essayer,essayer,14
devant,devant,81
l',le,71
ennemi,ennemi,21
;,;,p
puis,puis,60
on,on,51
rentrait,rentrer,18
au,à,81
au,le,71
camp,camp,21
avec,avec,81
un,un,71
encouragement,encouragement,21
de,de,81
Sherman,Sherman,20
ou,ou,82
une,un,71
poignée,poignée,22
de,de,81
main,main,22
de,de,81
MacClellan,MacClellan,20
/!,/!,P
mais,mais,82
",",",",p
aujourd'hui,aujourd'hui,60
",",",",p
les,le,71
généraux,général,21
sont,être,17
retournés,retourner,12
à,à,81
leur,leur,73
comptoir,comptoir,21
",",",",p
et,et,82
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
projectiles,projectile,21
",",",",p
ils,ils,51
expédient,expédier,17
d',de,81
inoffensives,inoffensif,30
balles,balle,22
de,de,81
coton,coton,21
/!,/!,P
ah,ah,93
!,!,p
par,par,81
Sainte Barbe,Sainte Barbe,20
!,!,p
l',le,71
avenir,avenir,21
de,de,81
l',le,71
artillerie,artillerie,22
est,être,17
perdu,perdre,12
en,en,81
Amérique,Amérique,20
/!,/!,P
-,-,p
oui,oui,60
",",",",p
Bilsby,Bilsby,20
",",",",p
s',se,51
écria,écrier,19
le,le,71
colonel,colonel,21
Blomsberry,Blomsberry,20
",",",",p
voilà,voilà,81
de,de,81
cruelles,cruel,30
déceptions,déception,22
/!,/!,P
un,un,71
jour,jour,21
on,on,51
quitte,quitter,17
ses,son,73
habitudes,habitude,22
tranquilles,tranquille,30
",",",",p
on,on,51
s',se,51
exerce,exercer,17
au,à,81
au,le,71
maniement,maniement,21
des,de,81
des,le,71
armes,arme,22
",",",",p
on,on,51
abandonne,abandonner,17
Baltimore,Baltimore,20
pour,pour,81
les,le,71
champs,champ,21
de,de,81
bataille,bataille,22
",",",",p
on,on,51
se,se,51
conduit,conduire,17
en,en,81
héros,héros,21
",",",",p
et,et,82
",",",",p
deux,deux,72
ans,an,21
",",",",p
trois,trois,72
ans,an,21
plus,plus,60
tard,tard,60
",",",",p
il,il,51
faut,falloir,17
perdre,perdre,14
le,le,71
fruit,fruit,21
de,de,81
tant,tant,60
de,de,81
fatigues,fatigue,22
",",",",p
s',se,51
endormir,endormir,14
dans,dans,81
une,un,71
déplorable,déplorable,30
oisiveté,oisiveté,22
et,et,82
fourrer,fourrer,14
ses,son,73
mains,main,22
dans,dans,81
ses,son,73
poches,poche,22
/.,/.,P
quoi,quoi,52
qu',que,52
il,il,51
pût,pouvoir,18
dire,dire,14
",",",",p
le,le,71
vaillant,vaillant,30
colonel,colonel,21
eût,avoir,19
été,être,12
fort,fort,60
empêché,empêcher,12
de,de,81
donner,donner,14
une,un,71
pareille,pareil,30
marque,marque,22
de,de,81
son,son,73
désoeuvrement,désoeuvrement,21
",",",",p
et,et,82
cependant,cependant,82
",",",",p
ce,ce,52
n',ne,60
étaient,être,18
pas,pas,60
les,le,71
poches,poche,22
qui,qui,52
lui,lui,51
manquaient,manquer,18
/.,/.,P
et,et,82
nulle,nul,75
guerre,guerre,22
en,en,81
perspective,perspective,22
!,!,p
dit,dire,19
alors,alors,60
le,le,71
fameux,fameux,30
J-T,J-T,20
Maston,Maston,20
",",",",p
en,en,81
grattant,gratter,13
de,de,81
son,son,73
crochet,crochet,21
de,de,81
fer,fer,21
son,son,73
crâne,crâne,21
en,en,81
gutta-percha,gutta-percha,22
/.,/.,P
pas,pas,60
un,un,71
nuage,nuage,21
à,à,81
l',le,71
horizon,horizon,21
",",",",p
et,et,82
cela,cela,52
quand,quand,83
il,il,51
y,y,52
a,avoir,17
tant,tant,60
à,à,81
faire,faire,14
dans,dans,81
la,le,71
science,science,22
de,de,81
l',le,71
artillerie,artillerie,22
/!,/!,P
moi,moi,51
qui,qui,52
vous,vous,51
parle,parler,17
",",",",p
j',je,51
ai,avoir,17
terminé,terminer,12
ce,ce,74
matin,matin,21
une,un,71
épure,épure,22
",",",",p
avec,avec,81
plan,plan,21
",",",",p
coupe,coupe,22
et,et,82
élévation,élévation,22
",",",",p
d',de,81
un,un,71
mortier,mortier,21
destiné,destiné,31
à,à,81
changer,changer,14
les,le,71
lois,loi,22
de,de,81
la,le,71
guerre,guerre,22
/!,/!,P
-,-,p
vraiment,vraiment,60
?,?,p
répliqua,répliquer,19
Tom,Tom,20
Hunter,Hunter,20
",",",",p
en,en,81
songeant,songer,13
involontairement,involontairement,60
au,à,81
au,le,71
dernier,dernier,30
essai,essai,21
de,de,81
l',le,71
honorable,honorable,30
J-T,J-T,20
Maston,Maston,20
/.,/.,P
-,-,p
vraiment,vraiment,60
",",",",p
répondit,répondre,19
celui-ci,celui-ci,52
/.,/.,P
mais,mais,82
à,à,81
quoi,quoi,52
serviront,servir,15
tant,tant,60
d',de,81
études,étude,22
menées,mené,31
à,à,81
bonne,bon,30
fin,fin,22
",",",",p
tant,tant,60
de,de,81
difficultés,difficulté,22
vaincues,vaincu,31
/?,/?,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
travailler,travailler,14
en,en,81
pure,pur,30
perte,perte,22
/?,/?,P
les,le,71
peuples,peuple,21
du,de,81
du,le,71
nouveau,nouveau,30
Monde,Monde,20
semblent,sembler,17
s',se,51
être,être,14
donné,donner,12
le,le,71
mot,mot,21
pour,pour,81
vivre,vivre,14
en,en,81
paix,paix,22
",",",",p
et,et,82
notre,notre,73
belliqueux,belliqueux,30
Tribune,Tribune,20
(,(,p
le,le,71
plus,plus,60
fougueux,fougueux,30
journal,journal,21
abolitionniste,abolitionniste,30
de,de,81
l',le,71
Union,Union,20
),),p
en,en,52
arrive,arriver,17
à,à,81
pronostiquer,pronostiquer,14
de,de,81
prochaines,prochain,30
catastrophes,catastrophe,22
dues,dû,31
à,à,81
l',le,71
accroissement,accroissement,21
scandaleux,scandaleux,30
des,de,81
des,le,71
populations,population,22
/!,/!,P
-,-,p
cependant,cependant,82
",",",",p
Maston,Maston,20
",",",",p
reprit,reprendre,19
le,le,71
colonel,colonel,21
Blomsberry,Blomsberry,20
",",",",p
on,on,51
se,se,51
bat,battre,17
toujours,toujours,60
en,en,81
Europe,Europe,20
pour,pour,81
soutenir,soutenir,14
le,le,71
principe,principe,21
des,de,81
des,le,71
nationalités,nationalité,22
/!,/!,P
-,-,p
eh,eh,93
bien,bien,60
/?,/?,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
il,il,51
y,y,52
aurait,avoir,16
peut-être,peut-être,60
quelque,quelque,75
chose,chose,22
à,à,81
tenter,tenter,14
là-bas,là-bas,60
",",",",p
et,et,82
si,si,83
l',l',94
on,on,51
acceptait,accepter,18
nos,notre,73
services,service,21
/…,/…,P
-,-,p
y,y,52
pensez,penser,17
vous,vous,51
?,?,p
s',se,51
écria,écrier,19
Bilsby,Bilsby,20
/.,/.,P
faire,faire,14
de,de,81
la,le,71
balistique,balistique,22
au,à,81
au,le,71
profit,profit,21
des,de,81
des,le,71
étrangers,étranger,21
/!,/!,P
-,-,p
cela,cela,52
vaudrait,valoir,16
mieux,mieux,60
que,que,83
de,de,81
n',ne,60
en,en,52
pas,pas,60
faire,faire,14
du,de,81
du,le,71
tout,tout,21
",",",",p
riposta,riposter,19
le,le,71
colonel,colonel,21
/.,/.,P
-,-,p
sans,sans,81
doute,doute,21
",",",",p
dit,dire,19
J-T,J-T,20
Maston,Maston,20
",",",",p
cela,cela,52
vaudrait,valoir,16
mieux,mieux,60
",",",",p
mais,mais,82
il,il,51
ne,ne,60
faut,falloir,17
même,même,60
pas,pas,60
songer,songer,14
à,à,81
cet,ce,74
expédient,expédient,21
/.,/.,P
-,-,p
et,et,82
pourquoi,pourquoi,60
cela,cela,52
?,?,p
demanda,demander,19
le,le,71
colonel,colonel,21
/.,/.,P
-,-,p
parce qu',parce que,83
ils,ils,51
ont,avoir,17
dans,dans,81
le,le,71
vieux,vieux,30
Monde,Monde,20
des,de,81
des,le,71
idées,idée,22
sur,sur,81
l',le,71
avancement,avancement,21
qui,qui,52
contrarieraient,contrarier,16
toutes,tout,75
nos,notre,73
habitudes,habitude,22
américaines,américain,30
/.,/.,P
ces,ce,74
gens,gens,21
là,là,60
ne,ne,60
s',se,51
imaginent,imaginer,17
pas,pas,60
qu',que,83
on,on,51
puisse,pouvoir,17
devenir,devenir,14
général,général,30
en,en,81
chef,chef,21
avant,avant,81
d',de,81
avoir,avoir,14
servi,servir,12
comme,comme,83
sous-lieutenant,sous-lieutenant,21
",",",",p
ce,ce,52
qui,qui,52
reviendrait,revenir,16
à,à,81
dire,dire,14
qu',que,83
on,on,51
ne,ne,60
saurait,savoir,16
être,être,14
bon,bon,30
pointeur,pointeur,21
à,à,81
moins,moins,60
d',de,81
avoir,avoir,14
fondu,fondre,12
le,le,71
canon,canon,21
soi-même,soi-même,51
/!,/!,P
or,or,82
",",",",p
c',ce,52
est,être,17
tout,tout,60
simplement,simplement,60
/…,/…,P
-,-,p
absurde,absurde,30
!,!,p
répliqua,répliquer,19
Tom,Tom,20
Hunter,Hunter,20
en,en,81
déchiquetant,déchiqueter,13
les,le,71
bras,bras,21
de,de,81
son,son,73
fauteuil,fauteuil,21
à,à,81
coups,coup,21
de,de,81
bowie,bowie,92
knife,knife,92
(,(,p
couteau,couteau,21
à,à,81
large,large,30
lame,lame,22
),),p
",",",",p
et,et,82
puisque,puisque,83
les,le,71
choses,chose,22
en,en,52
sont,être,17
là,là,60
",",",",p
il,il,51
ne,ne,60
nous,nous,51
reste,rester,17
plus,plus,60
qu',que,83
à,à,81
planter,planter,14
du,de,81
du,le,71
tabac,tabac,21
ou,ou,82
à,à,81
distiller,distiller,14
de,de,81
l',le,71
huile,huile,22
de,de,81
baleine,baleine,22
/!,/!,P
-,-,p
comment,comment,60
!,!,p
s',se,51
écria,écrier,19
J-T,J-T,20
Maston,Maston,20
d',de,81
une,un,71
voix,voix,22
retentissante,retentissant,30
",",",",p
ces,ce,74
dernières,dernier,30
années,année,22
de,de,81
notre,notre,73
existence,existence,22
",",",",p
nous,nous,51
ne,ne,60
les,le,52
emploierons,employer,15
pas,pas,60
au,à,81
au,le,71
perfectionnement,perfectionnement,21
des,de,81
des,le,71
armes,arme,22
à,à,81
feu,feu,21
/!,/!,P
une,un,71
nouvelle,nouveau,30
occasion,occasion,22
ne,ne,60
se,se,51
rencontrera,rencontrer,15
pas,pas,60
d',de,81
essayer,essayer,14
la,le,71
portée,portée,22
de,de,81
nos,notre,73
projectiles,projectile,21
/!,/!,P
l',le,71
atmosphère,atmosphère,22
ne,ne,60
s',se,51
illuminera,illuminer,15
plus,plus,60
sous,sous,81
l',le,71
éclair,éclair,21
de,de,81
nos,notre,73
canons,canon,21
/!,/!,P
il,il,51
ne,ne,60
surgira,surgir,15
pas,pas,60
une,un,71
difficulté,difficulté,22
internationale,international,30
qui,qui,52
nous,nous,51
permette,permettre,17
de,de,81
déclarer,déclarer,14
la,le,71
guerre,guerre,22
à,à,81
quelque,quelque,75
puissance,puissance,22
transatlantique,transatlantique,30
/!,/!,P
les,le,71
Français,Français,20
ne,ne,60
couleront,couler,15
pas,pas,60
un,un,71
seul,seul,30
de,de,81
nos,notre,73
steamers,steamer,21
",",",",p
et,et,82
les,le,71
Anglais,Anglais,20
ne,ne,60
pendront,pendre,15
pas,pas,60
",",",",p
au,à,81
au,le,71
mépris,mépris,21
du,de,81
du,le,71
droit,droit,21
des,de,81
des,le,71
gens,gens,21
",",",",p
trois,trois,72
ou,ou,82
quatre,quatre,72
de,de,81
nos,notre,73
nationaux,national,21
/!,/!,P
-,-,p
non,non,60
",",",",p
Maston,Maston,20
",",",",p
répondit,répondre,19
le,le,71
colonel,colonel,21
Blomsberry,Blomsberry,20
",",",",p
nous,nous,51
n',ne,60
aurons,avoir,15
pas,pas,60
ce,ce,74
bonheur,bonheur,21
/!,/!,P
non,non,60
!,!,p
pas,pas,60
un,un,52
de,de,81
ces,ce,74
incidents,incident,21
ne,ne,60
se,se,51
produira,produire,15
",",",",p
et,et,82
",",",",p
se,se,51
produisît,produire,18
il,il,51
",",",",p
nous,nous,51
n',ne,60
en,en,52
profiterions,profiter,16
même,même,60
pas,pas,60
/!,/!,P
la,le,71
susceptibilité,susceptibilité,22
américaine,américain,30
s',se,51
en,en,52
va,aller,17
de,de,81
jour,jour,21
en,en,81
jour,jour,21
",",",",p
et,et,82
nous,nous,51
tombons,tomber,17
en,en,81
quenouille,quenouille,22
/!,/!,P
-,-,p
oui,oui,60
",",",",p
nous,nous,51
nous,nous,51
humilions,humilier,17
!,!,p
répliqua,répliquer,19
Bilsby,Bilsby,20
/.,/.,P
-,-,p
et,et,82
on,on,51
nous,nous,51
humilie,humilier,17
!,!,p
riposta,riposter,19
Tom,Tom,20
Hunter,Hunter,20
/.,/.,P
-,-,p
tout,tout,75
cela,cela,52
n',ne,60
est,être,17
que,que,83
trop,trop,60
vrai,vrai,30
",",",",p
répliqua,répliquer,19
J-T,J-T,20
Maston,Maston,20
avec,avec,81
une,un,71
nouvelle,nouveau,30
véhémence,véhémence,22
/.,/.,P
il,il,51
y,y,52
a,avoir,17
dans,dans,81
l',le,71
air,air,21
mille,mille,72
raisons,raison,22
de,de,81
se,se,51
battre,battre,14
et,et,82
l',l',94
on,on,51
ne,ne,60
se,se,51
bat,battre,17
pas,pas,60
/!,/!,P
on,on,51
économise,économiser,17
des,de,81
des,le,71
bras,bras,21
et,et,82
des,de,81
des,le,71
jambes,jambe,22
",",",",p
et,et,82
cela,cela,52
au,à,81
au,le,71
profit,profit,21
de,de,81
gens,gens,21
qui,qui,52
n',ne,60
en,en,52
savent,savoir,17
que,que,83
faire,faire,14
/!,/!,P
et,et,82
tenez,tenir,17
",",",",p
sans,sans,81
chercher,chercher,14
si,si,83
loin,loin,60
un,un,71
motif,motif,21
de,de,81
guerre,guerre,22
",",",",p
l',le,71
Amérique,Amérique,20
du,de,81
du,le,71
nord,nord,21
n',ne,60
a,avoir,17
t,t,94
elle,il,51
pas,pas,60
appartenu,appartenir,12
autrefois,autrefois,60
aux,à,81
aux,le,71
Anglais,Anglais,20
/?,/?,P
-,-,p
sans,sans,81
doute,doute,21
",",",",p
répondit,répondre,19
Tom,Tom,20
Hunter,Hunter,20
en,en,81
tisonnant,tisonner,13
avec,avec,81
rage,rage,22
du,de,81
du,le,71
bout,bout,21
de,de,81
sa,son,73
béquille,béquille,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
reprit,reprendre,19
J-T,J-T,20
Maston,Maston,20
",",",",p
pourquoi,pourquoi,60
l',le,71
Angleterre,Angleterre,20
à,à,81
son,son,73
tour,tour,21
n',ne,60
appartiendrait,appartenir,16
elle,il,51
pas,pas,60
aux,à,81
aux,le,71
Américains,Américain,20
/?,/?,P
-,-,p
ce,ce,52
ne,ne,60
serait,être,16
que,que,83
justice,justice,22
",",",",p
riposta,riposter,19
le,le,71
colonel,colonel,21
Blomsberry,Blomsberry,20
/.,/.,P
-,-,p
allez,aller,17
proposer,proposer,14
cela,cela,52
au,à,81
au,le,71
président,président,21
des,de,81
des,le,71
Etats-Unis,Etats-Unis,20
",",",",p
s',se,51
écria,écrier,19
J-T,J-T,20
Maston,Maston,20
",",",",p
et,et,82
vous,vous,51
verrez,voir,15
comme,comme,83
il,il,51
vous,vous,51
recevra,recevoir,15
/!,/!,P
-,-,p
il,il,51
nous,nous,51
recevra,recevoir,15
mal,mal,60
",",",",p
murmura,murmurer,19
Bilsby,Bilsby,20
entre,entre,81
les,le,71
quatre,quatre,72
dents,dent,22
qu',que,52
il,il,51
avait,avoir,18
sauvées,sauver,12
de,de,81
la,le,71
bataille,bataille,22
/.,/.,P
-,-,p
par,par,81
ma,mon,73
foi,foi,22
",",",",p
s',se,51
écria,écrier,19
J-T,J-T,20
Maston,Maston,20
",",",",p
aux,à,81
aux,le,71
prochaines,prochain,30
élections,élection,22
il,il,51
n',ne,60
a,avoir,17
que,que,83
faire,faire,14
de,de,81
compter,compter,14
sur,sur,81
ma,mon,73
voix,voix,22
/!,/!,P
-,-,p
ni,ni,82
sur,sur,81
les,le,71
nôtres,nôtre,52
",",",",p
répondirent,répondre,19
d',de,81
un,un,71
commun,commun,30
accord,accord,21
ces,ce,74
belliqueux,belliqueux,30
invalides,invalide,21
/.,/.,P
-,-,p
en,en,81
attendant,attendre,13
",",",",p
reprit,reprendre,19
J-T,J-T,20
Maston,Maston,20
",",",",p
et,et,82
pour,pour,81
conclure,conclure,14
",",",",p
si,si,83
l',l',94
on,on,51
ne,ne,60
me,je,51
fournit,fournir,17
pas,pas,60
l',le,71
occasion,occasion,22
d',de,81
essayer,essayer,14
mon,mon,73
nouveau,nouveau,30
mortier,mortier,21
sur,sur,81
un,un,71
vrai,vrai,30
champ,champ,21
de,de,81
bataille,bataille,22
",",",",p
je,je,51
donne,donner,17
ma,mon,73
démission,démission,22
de,de,81
membre,membre,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
et,et,82
je,je,51
cours,courir,17
m',je,51
enterrer,enterrer,14
dans,dans,81
les,le,71
savanes,savane,22
de,de,81
l',le,71
Arkansas,Arkansas,20
/!,/!,P
-,-,p
nous,nous,51
vous,vous,51
y,y,52
suivrons,suivre,15
",",",",p
répondirent,répondre,19
les,le,71
interlocuteurs,interlocuteur,21
de,de,81
l',le,71
audacieux,audacieux,30
J-T,J-T,20
Maston,Maston,20
/.,/.,P
or,or,82
",",",",p
les,le,71
choses,chose,22
en,en,52
étaient,être,18
là,là,60
",",",",p
les,le,71
esprits,esprit,21
se,se,51
montaient,monter,18
de,de,81
plus,plus,60
en,en,81
plus,plus,60
",",",",p
et,et,82
le,le,71
club,club,21
était,être,18
menacé,menacer,12
d',de,81
une,un,71
dissolution,dissolution,22
prochaine,prochain,30
",",",",p
quand,quand,83
un,un,71
événement,événement,21
inattendu,inattendu,30
vint,venir,19
empêcher,empêcher,14
cette,ce,74
regrettable,regrettable,30
catastrophe,catastrophe,22
/.,/.,P
le,le,71
lendemain,lendemain,21
même,même,30
de,de,81
cette,ce,74
conversation,conversation,22
",",",",p
chaque,chaque,75
membre,membre,21
du,de,81
du,le,71
cercle,cercle,21
recevait,recevoir,18
une,un,71
circulaire,circulaire,22
libellée,libellé,31
en,en,81
ces,ce,74
termes,terme,21
:,:,p
Baltimore,Baltimore,20
",",",",p
<Nombre 3 octobre>,<>,<>
trois,trois,72
octobre,octobre,21
<Fin nombre>,<>,<>
/.,/.,P
le,le,71
président,président,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
a,avoir,17
l',le,71
honneur,honneur,21
de,de,81
prévenir,prévenir,14
ses,son,73
collègues,collègue,21
qu',que,83
à,à,81
la,le,71
séance,séance,22
du,de,81
du,le,71
<Nombre 5>,<>,<>
cinq,cinq,72
<Fin nombre>,<>,<>
courant,courant,30
il,il,51
leur,leur,52
fera,faire,15
une,un,71
communication,communication,22
de,de,81
nature,nature,22
à,à,81
les,le,52
intéresser,intéresser,14
vivement,vivement,60
/.,/.,P
en,en,81
conséquence,conséquence,22
",",",",p
il,il,51
les,le,52
prie,prier,17
",",",",p
toute,tout,75
affaire,affaire,22
cessante,cessant,30
",",",",p
de,de,81
se,se,51
rendre,rendre,14
à,à,81
l',le,71
invitation,invitation,22
qui,qui,52
leur,leur,52
est,être,17
faite,faire,12
par,par,81
la,le,71
présente,présent,30
/.,/.,P
très,très,60
cordialement,cordialement,60
leur,leur,52
Impey,Impey,20
Barbicane,Barbicane,20
",",",",p
PGC,PGC,20
/.,/.,P
<II>,<>,<>
communication,communication,22
du,de,81
du,le,71
président,président,21
Barbicane,Barbicane,20
/.,/.,P
le,le,71
<Nombre 5 octobre>,<>,<>
cinq,cinq,72
octobre,octobre,21
<Fin nombre>,<>,<>
",",",",p
à,à,81
huit,huit,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
",",",",p
une,un,71
foule,foule,22
compacte,compact,30
se,se,51
pressait,presser,18
dans,dans,81
les,le,71
salons,salon,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
<Nombre 21>,<>,<>
vingt,vingt,72
et,et,82
un,un,72
<Fin nombre>,<>,<>
",",",",p
Union-Square,Union Square,20
/.,/.,P
tous,tout,75
les,le,71
membres,membre,21
du,de,81
du,le,71
cercle,cercle,21
résidant,résider,13
à,à,81
Baltimore,Baltimore,20
s',se,51
étaient,être,18
rendus,rendre,12
à,à,81
l',le,71
invitation,invitation,22
de,de,81
leur,leur,73
président,président,21
/.,/.,P
quant,quand,83
aux,à,81
aux,le,71
membres,membre,21
correspondants,correspondant,30
",",",",p
les,le,71
express,express,21
les,le,52
débarquaient,débarquer,18
par,par,81
centaines,centaine,22
dans,dans,81
les,le,71
rues,rue,22
de,de,81
la,le,71
ville,ville,22
",",",",p
et,et,82
si,si,60
grand,grand,30
que,que,83
fût,être,19
le,le,71
hall,hall,21
des,de,81
des,le,71
séances,séance,22
",",",",p
ce,ce,74
monde,monde,21
de,de,81
savants,savant,21
n',ne,60
avait,avoir,18
pu,pouvoir,12
y,y,52
trouver,trouver,14
place,place,22
;,;,p
aussi,aussi,60
refluait,refluer,18
il,il,51
dans,dans,81
les,le,71
salles,salle,22
voisines,voisin,30
",",",",p
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
couloirs,couloir,21
et,et,82
jusqu',jusque,81
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
cours,cour,22
extérieures,extérieur,30
;,;,p
là,là,60
",",",",p
il,il,51
rencontrait,rencontrer,18
le,le,71
simple,simple,30
populaire,populaire,30
qui,qui,52
se,se,51
pressait,presser,18
aux,à,81
aux,le,71
portes,porte,22
",",",",p
chacun,chacun,52
cherchant,chercher,13
à,à,81
gagner,gagner,14
les,le,71
premiers,premier,72
rangs,rang,21
",",",",p
tous,tout,52
avides,avide,30
de,de,81
connaître,connaître,14
l',le,71
importante,important,30
communication,communication,22
du,de,81
du,le,71
président,président,21
Barbicane,Barbicane,20
",",",",p
se,se,51
poussant,pousser,13
",",",",p
se,se,51
bousculant,bousculer,13
",",",",p
s',se,51
écrasant,écraser,13
avec,avec,81
cette,ce,74
liberté,liberté,22
d',de,81
action,action,22
particulière,particulier,30
aux,à,81
aux,le,71
masses,masse,22
élevées,élevé,31
dans,dans,81
les,le,71
idées,idée,22
du,de,81
du,le,71
self,self,21
government,government,92
(,(,p
gouvernement,gouvernement,21
personnel,personnel,30
),),p
/.,/.,P
ce,ce,74
soir,soir,21
là,là,60
",",",",p
un,un,71
étranger,étranger,21
qui,qui,52
se,se,51
fût,être,19
trouvé,trouver,12
à,à,81
Baltimore,Baltimore,20
n',ne,60
eût,avoir,19
pas,pas,60
obtenu,obtenir,12
",",",",p
même,même,60
à,à,81
prix,prix,21
d',de,81
or,or,21
",",",",p
de,de,81
pénétrer,pénétrer,14
dans,dans,81
la,le,71
grande,grand,30
salle,salle,22
;,;,p
celle-ci,celui-ci,52
était,être,18
exclusivement,exclusivement,60
réservée,réserver,12
aux,à,81
aux,le,71
membres,membre,21
résidants,résidant,30
ou,ou,82
correspondants,correspondant,30
;,;,p
nul,nul,75
autre,autre,52
n',ne,60
y,y,52
pouvait,pouvoir,18
prendre,prendre,14
place,place,22
",",",",p
et,et,82
les,le,71
notables,notable,21
de,de,81
la,le,71
cité,cité,22
",",",",p
les,le,71
magistrats,magistrat,21
du,de,81
du,le,71
conseil,conseil,21
des,de,81
des,le,71
selectmen,selectmen,92
(,(,p
administrateurs,administrateur,21
de,de,81
la,le,71
ville,ville,22
élus,élu,31
par,par,81
la,le,71
population,population,22
),),p
avaient,avoir,18
dû,devoir,12
se,se,51
mêler,mêler,14
à,à,81
la,le,71
foule,foule,22
de,de,81
leurs,leur,73
administrés,administré,21
",",",",p
pour,pour,81
saisir,saisir,14
au,à,81
au,le,71
vol,vol,21
les,le,71
nouvelles,nouvelle,22
de,de,81
l',le,71
intérieur,intérieur,21
/.,/.,P
cependant,cependant,82
l',le,71
immense,immense,30
hall,hall,21
offrait,offrir,18
aux,à,81
aux,le,71
regards,regard,21
un,un,71
curieux,curieux,30
spectacle,spectacle,21
/.,/.,P
ce,ce,74
vaste,vaste,30
local,local,21
était,être,18
merveilleusement,merveilleusement,60
approprié,approprier,12
à,à,81
sa,son,73
destination,destination,22
/.,/.,P
de,de,81
hautes,haut,30
colonnes,colonne,22
formées,formé,31
de,de,81
canons,canon,21
superposés,superposé,31
auxquels,à,81
auxquels,lequel,52
d',de,81
épais,épais,30
mortiers,mortier,21
servaient,servir,18
de,de,81
base,base,22
soutenaient,soutenir,18
les,le,71
fines,fin,30
armatures,armature,22
de,de,81
la,le,71
voûte,voûte,22
",",",",p
véritables,véritable,30
dentelles,dentelle,22
de,de,81
fonte,fonte,22
frappées,frappé,31
à,à,81
l',le,71
emporte-pièce,emporte-pièce,21
/.,/.,P
des,de,81
des,le,71
panoplies,panoplie,22
d',de,81
espingoles,espingole,22
",",",",p
de,de,81
tromblons,tromblon,21
",",",",p
d',de,81
arquebuses,arquebuse,22
",",",",p
de,de,81
carabines,carabine,22
",",",",p
de,de,81
toutes,tout,75
les,le,71
armes,arme,22
à,à,81
feu,feu,21
anciennes,ancien,30
ou,ou,82
modernes,moderne,30
s',se,51
écartelaient,écarteler,18
sur,sur,81
les,le,71
murs,mur,21
dans,dans,81
un,un,71
entrelacement,entrelacement,21
pittoresque,pittoresque,30
/.,/.,P
le,le,71
gaz,gaz,21
sortait,sortir,18
pleine,plein,30
flamme,flamme,22
d',de,81
un,un,71
millier,millier,21
de,de,81
revolvers,revolver,21
groupés,groupé,31
en,en,81
forme,forme,22
de,de,81
lustres,lustre,21
",",",",p
tandis que,tandis que,83
des,de,81
des,le,71
girandoles,girandole,22
de,de,81
pistolets,pistolet,21
et,et,82
des,de,81
des,le,71
candélabres,candélabre,21
faits,fait,31
de,de,81
fusils,fusil,21
réunis,réuni,31
en,en,81
faisceaux,faisceau,21
",",",",p
complétaient,compléter,18
ce,ce,74
splendide,splendide,30
éclairage,éclairage,21
/.,/.,P
les,le,71
modèles,modèle,21
de,de,81
canons,canon,21
",",",",p
les,le,71
échantillons,échantillon,21
de,de,81
bronze,bronze,21
",",",",p
les,le,71
mires,mire,22
criblées,criblé,31
de,de,81
coups,coup,21
",",",",p
les,le,71
plaques,plaque,22
brisées,brisé,31
au,à,81
au,le,71
choc,choc,21
des,de,81
des,le,71
boulets,boulet,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
les,le,71
assortiments,assortiment,21
de,de,81
refouloirs,refouloir,21
et,et,82
d',de,81
écouvillons,écouvillon,21
",",",",p
les,le,71
chapelets,chapelet,21
de,de,81
bombes,bombe,22
",",",",p
les,le,71
