11994
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-douzième extrait>,<>,<>
la,le,71
minoterie,minoterie,22
Dutilleul,Dutilleul,20
et,et,82
la,le,71
corderie,corderie,22
Bleuze,Bleuze,20
pour,pour,81
les,le,71
câbles,câble,21
de,de,81
mine,mine,22
",",",",p
qui,qui,52
tinssent,tenir,18
le,le,71
coup,coup,21
/.,/.,P
puis,puis,60
",",",",p
d',de,81
un,un,71
geste,geste,21
large,large,30
",",",",p
il,il,51
indiqua,indiquer,19
",",",",p
au,à,81
au,le,71
nord,nord,21
",",",",p
toute,tout,75
une,un,71
moitié,moitié,22
de,de,81
l',le,71
horizon,horizon,21
:,:,p
les,le,71
ateliers,atelier,21
de,de,81
construction,construction,22
Sonneville,Sonneville,20
n',ne,60
avaient,avoir,18
pas,pas,60
reçu,recevoir,12
les,le,71
deux,deux,72
tiers,tiers,21
de,de,81
leurs,leur,73
commandes,commande,22
habituelles,habituel,30
;,;,p
sur,sur,81
les,le,71
trois,trois,72
hauts,haut,30
fourneaux,fourneau,21
des,de,81
des,le,71
Forges,Forges,20
de,de,81
Marchiennes,Marchiennes,20
",",",",p
deux,deux,72
seulement,seulement,60
étaient,être,18
allumés,allumer,12
;,;,p
enfin,enfin,60
",",",",p
à,à,81
la,le,71
verrerie,verrerie,22
Gagebois,Gagebois,20
",",",",p
une,un,71
grève,grève,22
menaçait,menacer,18
",",",",p
car,car,82
on,on,51
parlait,parler,18
d',de,81
une,un,71
réduction,réduction,22
de,de,81
salaire,salaire,21
/.,/.,P
-,-,p
je,je,51
sais,savoir,17
",",",",p
je,je,51
sais,savoir,17
",",",",p
répétait,répéter,18
le,le,71
jeune,jeune,30
homme,homme,21
à,à,81
chaque,chaque,75
indication,indication,22
/.,/.,P
j',je,51
en,en,52
viens,venir,17
/.,/.,P
-,-,p
nous,nous,51
autres,autre,30
",",",",p
ça,ça,52
va,aller,17
jusqu',jusque,81
à,à,81
présent,présent,21
",",",",p
ajouta,ajouter,19
le,le,71
charretier,charretier,21
/.,/.,P
les,le,71
fosses,fosse,22
ont,avoir,17
pourtant,pourtant,60
diminué,diminuer,12
leur,leur,73
extraction,extraction,22
/.,/.,P
et,et,82
regardez,regarder,17
",",",",p
en,en,81
face,face,22
",",",",p
à,à,81
la,le,71
Victoire,Victoire,20
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
aussi,aussi,60
que,que,83
deux,deux,72
batteries,batterie,22
de,de,81
fours,four,21
à,à,81
coke,coke,21
qui,qui,52
flambent,flamber,17
/.,/.,P
il,il,51
cracha,cracher,19
",",",",p
il,il,51
repartit,repartir,19
derrière,derrière,81
son,son,73
cheval,cheval,21
somnolent,somnolent,30
",",",",p
après,après,81
l',le,52
avoir,avoir,14
attelé,atteler,12
aux,à,81
aux,le,71
berlines,berline,22
vides,vide,30
/.,/.,P
maintenant,maintenant,60
",",",",p
Etienne,Etienne,20
dominait,dominer,18
le,le,71
pays,pays,21
entier,entier,30
/.,/.,P
les,le,71
ténèbres,ténèbre,22
demeuraient,demeurer,18
profondes,profond,30
",",",",p
mais,mais,82
la,le,71
main,main,22
du,de,81
du,le,71
vieillard,vieillard,21
les,le,52
avait,avoir,18
comme,comme,83
emplies,emplir,12
de,de,81
grandes,grand,30
misères,misère,22
",",",",p
que,que,83
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
inconsciemment,inconsciemment,60
",",",",p
sentait,sentir,18
à,à,81
cette,ce,74
heure,heure,22
autour,autour,60
de,de,81
lui,lui,51
",",",",p
partout,partout,60
",",",",p
dans,dans,81
l',le,71
étendue,étendue,22
sans,sans,81
bornes,borne,22
/.,/.,P
n',ne,60
était,être,18
ce,ce,52
pas,pas,60
un,un,71
cri,cri,21
de,de,81
famine,famine,22
que,que,52
roulait,rouler,18
le,le,71
vent,vent,21
de,de,81
mars,mars,21
",",",",p
au,à,81
au,le,71
travers,travers,21
de,de,81
cette,ce,74
campagne,campagne,22
nue,nu,30
/?,/?,P
les,le,71
rafales,rafale,22
s',se,51
étaient,être,18
enragées,enrager,12
",",",",p
elles,ils,51
semblaient,sembler,18
apporter,apporter,14
la,le,71
mort,mort,22
du,de,81
du,le,71
travail,travail,21
",",",",p
une,un,71
disette,disette,22
qui,qui,52
tuerait,tuer,16
beaucoup,beaucoup,60
d',de,81
hommes,homme,21
/.,/.,P
et,et,82
",",",",p
les,le,71
yeux,oeil,21
errants,errant,30
",",",",p
il,il,51
s',se,51
efforçait,efforcer,18
de,de,81
percer,percer,14
les,le,71
ombres,ombre,22
",",",",p
tourmenté,tourmenté,31
du,de,81
du,le,71
désir,désir,21
et,et,82
de,de,81
la,le,71
peur,peur,22
de,de,81
voir,voir,14
/.,/.,P
tout,tout,52
s',se,51
anéantissait,anéantir,18
au,à,81
au,le,71
fond,fond,21
de,de,81
l',le,71
inconnu,inconnu,21
des,de,81
des,le,71
nuits,nuit,22
obscures,obscur,30
",",",",p
il,il,51
n',ne,60
apercevait,apercevoir,18
",",",",p
très,très,60
loin,loin,60
",",",",p
que,que,83
les,le,71
hauts,haut,30
fourneaux,fourneau,21
et,et,82
les,le,71
fours,four,21
à,à,81
coke,coke,21
/.,/.,P
ceux-ci,celui-ci,52
",",",",p
des,de,81
des,le,71
batteries,batterie,22
de,de,81
cent,cent,72
cheminées,cheminée,22
",",",",p
plantées,planté,31
obliquement,obliquement,60
",",",",p
alignaient,aligner,18
des,de,81
des,le,71
rampes,rampe,22
de,de,81
flammes,flamme,22
rouges,rouge,30
;,;,p
tandis que,tandis que,83
les,le,71
deux,deux,72
tours,tour,22
",",",",p
plus,plus,60
à,à,81
gauche,gauche,22
",",",",p
brûlaient,brûler,18
toutes,tout,60
bleues,bleu,30
en,en,81
plein,plein,30
ciel,ciel,21
",",",",p
comme,comme,83
des,de,81
des,le,71
torches,torche,22
géantes,géant,30
/.,/.,P
c',ce,52
était,être,18
d',de,81
une,un,71
tristesse,tristesse,22
d',de,81
incendie,incendie,21
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
d',de,81
autres,autre,75
levers,lever,21
d',de,81
astres,astre,21
",",",",p
à,à,81
l',le,71
horizon,horizon,21
menaçant,menaçant,30
",",",",p
que,que,83
ces,ce,74
feux,feu,21
nocturnes,nocturne,30
des,de,81
des,le,71
pays,pays,21
de,de,81
la,le,71
houille,houille,22
et,et,82
du,de,81
du,le,71
fer,fer,21
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
peut-être,peut-être,60
de,de,81
la,le,71
Belgique,Belgique,20
?,?,p
reprit,reprendre,19
derrière,derrière,81
Etienne,Etienne,20
le,le,71
charretier,charretier,21
",",",",p
qui,qui,52
était,être,18
revenu,revenir,12
/.,/.,P
cette,ce,74
fois,fois,22
",",",",p
il,il,51
n',ne,60
amenait,amener,18
que,que,83
trois,trois,72
berlines,berline,22
/.,/.,P
on,on,51
pouvait,pouvoir,18
toujours,toujours,60
culbuter,culbuter,14
celles-là,celui-là,52
:,:,p
un,un,71
accident,accident,21
arrivé,arrivé,31
à,à,81
la,le,71
cage,cage,22
d',de,81
extraction,extraction,22
",",",",p
un,un,71
écrou,écrou,21
cassé,cassé,31
",",",",p
allait,aller,18
arrêter,arrêter,14
le,le,71
travail,travail,21
pendant,pendant,81
un,un,71
grand,grand,30
quart,quart,21
d',de,81
heure,heure,22
/.,/.,P
en,en,81
bas,bas,21
du,de,81
du,le,71
terri,terril,21
",",",",p
un,un,71
silence,silence,21
s',se,51
était,être,18
fait,faire,12
",",",",p
les,le,71
moulineurs,moulineur,21
n',ne,60
ébranlaient,ébranler,18
plus,plus,60
les,le,71
tréteaux,tréteau,21
d',de,81
un,un,71
roulement,roulement,21
prolongé,prolongé,31
/.,/.,P
on,on,51
entendait,entendre,18
seulement,seulement,60
sortir,sortir,14
de,de,81
la,le,71
fosse,fosse,22
le,le,71
bruit,bruit,21
lointain,lointain,30
d',de,81
un,un,71
marteau,marteau,21
",",",",p
tapant,taper,13
sur,sur,81
de,de,81
la,le,71
tôle,tôle,22
/.,/.,P
-,-,p
non,non,60
",",",",p
je,je,51
suis,être,17
du,de,81
du,le,71
Midi,Midi,20
",",",",p
répondit,répondre,19
le,le,71
jeune,jeune,30
homme,homme,21
/.,/.,P
le,le,71
manoeuvre,manoeuvre,21
",",",",p
après,après,81
avoir,avoir,14
vidé,vider,12
les,le,71
berlines,berline,22
",",",",p
s',se,51
était,être,18
assis,asseoir,12
à,à,81
terre,terre,22
",",",",p
heureux,heureux,30
de,de,81
l',le,71
accident,accident,21
;,;,p
et,et,82
il,il,51
gardait,garder,18
sa,son,73
sauvagerie,sauvagerie,22
muette,muet,30
",",",",p
il,il,51
avait,avoir,18
simplement,simplement,60
levé,lever,12
de,de,81
gros,gros,30
yeux,oeil,21
éteints,éteint,31
sur,sur,81
le,le,71
charretier,charretier,21
",",",",p
comme,comme,83
gêné,gêné,31
par,par,81
tant,tant,60
de,de,81
paroles,parole,22
/.,/.,P
ce,ce,74
dernier,dernier,21
",",",",p
en,en,81
effet,effet,21
",",",",p
n',ne,60
en,en,52
disait,dire,18
pas,pas,60
si,si,60
long,long,60
d',de,81
habitude,habitude,22
/.,/.,P
il,il,51
fallait,falloir,18
que,que,83
le,le,71
visage,visage,21
de,de,81
l',le,71
inconnu,inconnu,21
lui,lui,51
convînt,convenir,18
et,et,82
qu',que,83
il,il,51
fût,être,19
pris,prendre,12
d',de,81
une,un,52
de,de,81
ces,ce,74
démangeaisons,démangeaison,22
de,de,81
confidences,confidence,22
",",",",p
qui,qui,52
font,faire,17
parfois,parfois,60
causer,causer,14
les,le,71
vieilles,vieux,30
gens,gens,21
tout,tout,60
seuls,seul,30
",",",",p
à,à,81
haute,haut,30
voix,voix,22
/.,/.,P
-,-,p
moi,moi,51
",",",",p
dit,dire,19
il,il,51
",",",",p
je,je,51
suis,être,17
de,de,81
Montsou,Montsou,20
",",",",p
je,je,51
m',je,51
appelle,appeler,17
Bonnemort,Bonnemort,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
un,un,71
surnom,surnom,21
?,?,p
demanda,demander,19
Etienne,Etienne,20
étonné,étonné,31
/.,/.,P
le,le,71
vieux,vieux,21
eut,avoir,19
un,un,71
ricanement,ricanement,21
d',de,81
aise,aise,22
",",",",p
et,et,82
montrant,montrer,13
le,le,71
Voreux,Voreux,20
:,:,p
-,-,p
oui,oui,60
",",",",p
oui,oui,60
/…,/…,P
on,on,51
m',je,51
a,avoir,17
retiré,retirer,12
trois,trois,72
fois,fois,22
de,de,81
là-dedans,là-dedans,60
en,en,81
morceaux,morceau,21
",",",",p
une,un,71
fois,fois,22
avec,avec,81
tout,tout,75
le,le,71
poil,poil,21
roussi,roussi,31
",",",",p
une,un,71
autre,autre,52
avec,avec,81
de,de,81
la,le,71
terre,terre,22
jusque,jusque,81
dans,dans,81
le,le,71
gésier,gésier,21
",",",",p
la,le,71
troisième,troisième,72
avec,avec,81
le,le,71
ventre,ventre,21
gonflé,gonflé,31
d',de,81
eau,eau,22
comme,comme,83
une,un,71
grenouille,grenouille,22
/…,/…,P
alors,alors,60
",",",",p
quand,quand,83
ils,ils,51
ont,avoir,17
vu,voir,12
que,que,83
je,je,51
ne,ne,60
voulais,vouloir,18
pas,pas,60
crever,crever,14
",",",",p
ils,ils,51
m',je,51
ont,avoir,17
appelé,appeler,12
Bonnemort,Bonnemort,20
",",",",p
pour,pour,81
rire,rire,14
/.,/.,P
sa,son,73
gaieté,gaieté,22
redoubla,redoubler,19
",",",",p
un,un,71
grincement,grincement,21
de,de,81
poulie,poulie,22
mal,mal,60
graissée,graissé,31
",",",",p
qui,qui,52
finit,finir,19
par,par,81
dégénérer,dégénérer,14
en,en,81
un,un,71
accès,accès,21
terrible,terrible,30
de,de,81
toux,toux,22
/.,/.,P
la,le,71
corbeille,corbeille,22
de,de,81
feu,feu,21
",",",",p
maintenant,maintenant,60
",",",",p
éclairait,éclairer,18
en,en,81
plein,plein,81
sa,son,73
grosse,gros,30
tête,tête,22
",",",",p
aux,à,81
aux,le,71
cheveux,cheveu,21
blancs,blanc,30
et,et,82
rares,rare,30
",",",",p
à,à,81
la,le,71
face,face,22
plate,plat,30
",",",",p
d',de,81
une,un,71
pâleur,pâleur,22
livide,livide,30
",",",",p
maculée,maculé,31
de,de,81
taches,tache,22
bleuâtres,bleuâtre,30
/.,/.,P
il,il,51
était,être,18
petit,petit,30
",",",",p
le,le,71
cou,cou,21
énorme,énorme,30
",",",",p
les,le,71
mollets,mollet,21
et,et,82
les,le,71
talons,talon,21
en,en,81
dehors,dehors,21
",",",",p
avec,avec,81
de,de,81
longs,long,30
bras,bras,21
dont,dont,52
les,le,71
mains,main,22
carrées,carré,31
tombaient,tomber,18
à,à,81
ses,son,73
genoux,genou,21
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
comme,comme,83
son,son,73
cheval,cheval,21
qui,qui,52
demeurait,demeurer,18
immobile,immobile,30
sur,sur,81
les,le,71
pieds,pied,21
",",",",p
sans,sans,81
paraître,paraître,14
souffrir,souffrir,14
du,de,81
du,le,71
vent,vent,21
",",",",p
il,il,51
semblait,sembler,18
en,en,81
pierre,pierre,22
",",",",p
il,il,51
n',ne,60
avait,avoir,18
l',le,71
air,air,21
de,de,81
se,se,51
douter,douter,14
ni,ni,82
du,de,81
du,le,71
froid,froid,21
ni,ni,82
des,de,81
des,le,71
bourrasques,bourrasque,22
sifflant,siffler,13
à,à,81
ses,son,73
oreilles,oreille,22
/.,/.,P
quand,quand,83
il,il,51
eut,avoir,19
toussé,tousser,12
",",",",p
la,le,71
gorge,gorge,22
arrachée,arraché,31
par,par,81
un,un,71
raclement,raclement,21
profond,profond,30
",",",",p
il,il,51
cracha,cracher,19
au,à,81
au,le,71
pied,pied,21
de,de,81
la,le,71
corbeille,corbeille,22
",",",",p
et,et,82
la,le,71
terre,terre,22
noircit,noircir,19
/.,/.,P
Etienne,Etienne,20
le,le,52
regardait,regarder,18
",",",",p
regardait,regarder,18
le,le,71
sol,sol,21
qu',que,52
il,il,51
tachait,tacher,18
de,de,81
la,le,71
sorte,sorte,22
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
longtemps,longtemps,60
",",",",p
reprit,reprendre,19
il,il,51
",",",",p
que,que,83
vous,vous,51
travaillez,travailler,17
à,à,81
la,le,71
mine,mine,22
/?,/?,P
Bonnemort,Bonnemort,20
ouvrit,ouvrir,19
tout,tout,60
grands,grand,30
les,le,71
deux,deux,72
bras,bras,21
/.,/.,P
-,-,p
longtemps,longtemps,60
",",",",p
ah,ah,93
!,!,p
oui,oui,60
!,!,p
/…,/…,P
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
huit,huit,72
ans,an,21
",",",",p
lorsque,lorsque,83
je,je,51
suis,être,17
descendu,descendre,12
",",",",p
tenez,tenir,17
!,!,p
juste,juste,60
dans,dans,81
le,le,71
Voreux,Voreux,20
",",",",p
et,et,82
j',je,51
en,en,52
ai,avoir,17
cinquante,cinquante,72
huit,huit,72
",",",",p
à,à,81
cette,ce,74
heure,heure,22
/.,/.,P
calculez,calculer,17
un,un,71
peu,peu,60
/…,/…,P
j',je,51
ai,avoir,17
tout,tout,52
fait,faire,12
là-dedans,là-dedans,60
",",",",p
galibot,galibot,21
d'abord,d'abord,60
",",",",p
puis,puis,60
herscheur,herscheur,21
",",",",p
quand,quand,83
j',je,51
ai,avoir,17
eu,avoir,12
la,le,71
force,force,22
de,de,81
rouler,rouler,14
",",",",p
puis,puis,60
haveur,haveur,21
pendant,pendant,81
dix,dix,72
huit,huit,72
ans,an,21
/.,/.,P
ensuite,ensuite,60
",",",",p
à,à,81
cause,cause,22
de,de,81
mes,mon,73
sacrées,sacré,31
jambes,jambe,22
",",",",p
ils,ils,51
m',je,51
ont,avoir,17
mis,mettre,12
de,de,81
la,le,71
coupe,coupe,22
à,à,81
terre,terre,22
",",",",p
remblayeur,remblayeur,21
",",",",p
raccommodeur,raccommodeur,21
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
moment,moment,21
où,où,60
il,il,51
leur,leur,52
a,avoir,17
fallu,falloir,12
me,je,51
sortir,sortir,14
du,de,81
du,le,71
fond,fond,21
",",",",p
parce que,parce que,83
le,le,71
médecin,médecin,21
disait,dire,18
que,que,83
j',je,51
allais,aller,18
y,y,52
rester,rester,14
/.,/.,P
alors,alors,60
",",",",p
il,il,51
y,y,52
a,avoir,17
cinq,cinq,72
années,année,22
de,de,81
cela,cela,52
",",",",p
ils,ils,51
m',je,51
ont,avoir,17
fait,faire,12
charretier,charretier,21
/…,/…,P
hein,hein,93
?,?,p
c',ce,52
est,être,17
joli,joli,30
",",",",p
cinquante,cinquante,72
ans,an,21
de,de,81
mine,mine,22
",",",",p
dont,dont,52
quarante,quarante,72
-,-,p
cinq,cinq,72
au,à,81
au,le,71
fond,fond,21
/!,/!,P
tandis qu',tandis que,83
il,il,51
parlait,parler,18
",",",",p
des,de,81
des,le,71
morceaux,morceau,21
de,de,81
houille,houille,22
enflammés,enflammé,31
",",",",p
qui,qui,52
",",",",p
par,par,81
moments,moment,21
",",",",p
tombaient,tomber,18
de,de,81
la,le,71
corbeille,corbeille,22
",",",",p
allumaient,allumer,18
sa,son,73
face,face,22
blême,blême,30
d',de,81
un,un,71
reflet,reflet,21
sanglant,sanglant,30
/.,/.,P
-,-,p
ils,ils,51
me,je,51
disent,dire,17
de,de,81
me,je,51
reposer,reposer,14
",",",",p
continua,continuer,19
t,t,94
il,il,51
/.,/.,P
moi,moi,51
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
",",",",p
ils,ils,51
me,je,51
croient,croire,17
trop,trop,60
bête,bête,30
!,!,p
/…,/…,P
j',je,51
irai,aller,15
bien,bien,60
deux,deux,72
années,année,22
",",",",p
jusqu',jusque,81
à,à,81
ma,mon,73
soixantaine,soixantaine,22
",",",",p
pour,pour,81
avoir,avoir,14
la,le,71
pension,pension,22
de,de,81
cent,cent,72
quatre,quatre,72
vingts,vingt,72
francs,franc,21
/.,/.,P
si,si,83
je,je,51
leur,leur,52
souhaitais,souhaiter,18
le,le,71
bonsoir,bonsoir,21
aujourd'hui,aujourd'hui,60
",",",",p
ils,ils,51
m',je,51
accorderaient,accorder,16
tout,tout,60
de,de,81
suite,suite,22
celle,celui,52
de,de,81
cent,cent,72
cinquante,cinquante,72
/.,/.,P
ils,ils,51
sont,être,17
malins,malin,30
",",",",p
les,le,71
bougres,bougre,21
!,!,p
/…,/…,P
d',de,81
ailleurs,ailleurs,60
",",",",p
je,je,51
suis,être,17
solide,solide,30
",",",",p
à,à,81
part,part,22
les,le,71
jambes,jambe,22
/.,/.,P
c',ce,52
est,être,17
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
l',le,71
eau,eau,22
qui,qui,52
m',je,51
est,être,17
entrée,entrer,12
sous,sous,81
la,le,71
peau,peau,22
",",",",p
à,à,81
force,force,22
d',de,81
être,être,14
arrosé,arroser,12
dans,dans,81
les,le,71
tailles,taille,22
/.,/.,P
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
jours,jour,21
où,où,60
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
remuer,remuer,14
une,un,71
patte,patte,22
sans,sans,81
crier,crier,14
/.,/.,P
une,un,71
crise,crise,22
de,de,81
toux,toux,22
l',le,52
interrompit,interrompre,19
encore,encore,60
/.,/.,P
-,-,p
et,et,82
ça,ça,52
vous,vous,51
fait,faire,17
tousser,tousser,14
aussi,aussi,60
?,?,p
dit,dire,19
Etienne,Etienne,20
/.,/.,P
mais,mais,82
il,il,51
répondit,répondre,19
non,non,60
de,de,81
la,le,71
tête,tête,22
",",",",p
violemment,violemment,60
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
il,il,51
put,pouvoir,19
parler,parler,14
:,:,p
-,-,p
non,non,60
",",",",p
non,non,60
",",",",p
je,je,51
me,je,51
suis,être,17
enrhumé,enrhumer,12
",",",",p
l',le,71
autre,autre,75
mois,mois,21
/.,/.,P
jamais,jamais,60
je,je,51
ne,ne,60
toussais,tousser,18
",",",",p
à,à,81
présent,présent,21
je,je,51
ne,ne,60
peux,pouvoir,17
plus,plus,60
me,je,51
débarrasser,débarrasser,14
/…,/…,P
et,et,82
le,le,71
drôle,drôle,21
",",",",p
c',ce,52
est,être,17
que,que,83
je,je,51
crache,cracher,17
",",",",p
c',ce,52
est,être,17
que,que,83
je,je,51
crache,cracher,17
/…,/…,P
un,un,71
raclement,raclement,21
monta,monter,19
de,de,81
sa,son,73
gorge,gorge,22
",",",",p
il,il,51
cracha,cracher,19
noir,noir,30
/.,/.,P
-,-,p
est,être,17
ce,ce,52
que,que,83
c',ce,52
est,être,17
du,de,81
du,le,71
sang,sang,21
?,?,p
demanda,demander,19
Etienne,Etienne,20
",",",",p
osant,oser,13
enfin,enfin,60
le,le,52
questionner,questionner,14
/.,/.,P
lentement,lentement,60
",",",",p
Bonnemort,Bonnemort,20
s',se,51
essuyait,essuyer,18
la,le,71
bouche,bouche,22
d',de,81
un,un,71
revers,revers,21
de,de,81
main,main,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
du,de,81
du,le,71
charbon,charbon,21
/…,/…,P
j',je,51
en,en,52
ai,avoir,17
dans,dans,81
la,le,71
carcasse,carcasse,22
de,de,81
quoi,quoi,52
me,je,51
chauffer,chauffer,14
jusqu',jusque,81
à,à,81
la,le,71
fin,fin,22
de,de,81
mes,mon,73
jours,jour,21
/.,/.,P
et,et,82
voilà,voilà,81
cinq,cinq,72
ans,an,21
que,que,83
je,je,51
ne,ne,60
remets,remettre,17
pas,pas,60
les,le,71
pieds,pied,21
au,à,81
au,le,71
fond,fond,21
/.,/.,P
j',je,51
avais,avoir,18
ça,ça,52
en,en,81
magasin,magasin,21
",",",",p
paraît,paraître,17
il,il,51
",",",",p
sans,sans,81
même,même,60
m',je,51
en,en,52
douter,douter,14
/.,/.,P
bah,bah,93
!,!,p
ça,ça,52
conserve,conserver,17
/!,/!,P
il,il,51
y,y,52
eut,avoir,19
un,un,71
silence,silence,21
",",",",p
le,le,71
marteau,marteau,21
lointain,lointain,30
battait,battre,18
à,à,81
coups,coup,21
réguliers,régulier,30
dans,dans,81
la,le,71
fosse,fosse,22
",",",",p
le,le,71
vent,vent,21
passait,passer,18
avec,avec,81
sa,son,73
plainte,plainte,22
",",",",p
comme,comme,83
un,un,71
cri,cri,21
de,de,81
faim,faim,22
et,et,82
de,de,81
lassitude,lassitude,22
venu,venu,31
des,de,81
des,le,71
profondeurs,profondeur,22
de,de,81
la,le,71
nuit,nuit,22
/.,/.,P
devant,devant,81
les,le,71
flammes,flamme,22
qui,qui,52
s',se,51
effaraient,effarer,18
",",",",p
le,le,71
vieux,vieux,21
continuait,continuer,18
plus,plus,60
bas,bas,60
",",",",p
remâchant,remâcher,13
des,de,81
des,le,71
souvenirs,souvenir,21
/.,/.,P
ah,ah,93
!,!,p
bien,bien,60
sûr,sûr,30
",",",",p
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
d',de,81
hier,hier,60
que,que,83
lui,lui,51
et,et,82
les,le,71
siens,sien,52
tapaient,taper,18
à,à,81
la,le,71
veine,veine,22
/!,/!,P
la,le,71
famille,famille,22
travaillait,travailler,18
pour,pour,81
la,le,71
compagnie,compagnie,22
des,de,81
des,le,71
mines,mine,22
de,de,81
Montsou,Montsou,20
",",",",p
depuis,depuis,81
la,le,71
création,création,22
;,;,p
et,et,82
cela,cela,52
datait,dater,18
de,de,81
loin,loin,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
déjà,déjà,60
cent,cent,72
six,six,72
ans,an,21
/.,/.,P
son,son,73
aïeul,aïeul,21
",",",",p
Guillaume,Guillaume,20
Maheu,Maheu,20
",",",",p
un,un,71
gamin,gamin,21
de,de,81
quinze,quinze,72
ans,an,21
alors,alors,60
",",",",p
avait,avoir,18
trouvé,trouver,12
le,le,71
charbon,charbon,21
gras,gras,30
à,à,81
Réquillart,Réquillart,20
",",",",p
la,le,71
première,premier,72
fosse,fosse,22
de,de,81
la,le,71
compagnie,compagnie,22
",",",",p
une,un,71
vieille,vieux,30
fosse,fosse,22
aujourd'hui,aujourd'hui,60
abandonnée,abandonné,31
",",",",p
là-bas,là-bas,60
",",",",p
près,près,81
de,de,81
la,le,71
sucrerie,sucrerie,22
Fauvelle,Fauvelle,20
/.,/.,P
tout,tout,75
le,le,71
pays,pays,21
le,le,52
savait,savoir,18
",",",",p
à,à,81
preuve,preuve,22
que,que,83
la,le,71
veine,veine,22
découverte,découvert,31
s',se,51
appelait,appeler,18
la,le,71
veine,veine,22
Guillaume,Guillaume,20
",",",",p
du,de,81
du,le,71
prénom,prénom,21
de,de,81
son,son,73
grand-père,grand-père,21
/.,/.,P
il,il,51
ne,ne,60
l',le,52
avait,avoir,18
pas,pas,60
connu,connaître,12
",",",",p
un,un,71
gros,gros,21
à,à,81
ce,ce,52
qu',que,52
on,on,51
racontait,raconter,18
",",",",p
très,très,60
fort,fort,30
",",",",p
mort,mort,31
de,de,81
vieillesse,vieillesse,22
à,à,81
soixante,soixante,72
ans,an,21
/.,/.,P
puis,puis,60
",",",",p
son,son,73
père,père,21
",",",",p
Nicolas,Nicolas,20
Maheu,Maheu,20
dit,dit,31
le,le,71
rouge,rouge,21
",",",",p
âgé,âgé,30
de,de,81
quarante,quarante,72
ans,an,21
à,à,81
peine,peine,22
",",",",p
était,être,18
resté,rester,12
dans,dans,81
le,le,71
Voreux,Voreux,20
",",",",p
que,que,52
l',l',94
on,on,51
fonçait,foncer,18
en,en,81
ce,ce,74
temps,temps,21
là,là,60
:,:,p
un,un,71
éboulement,éboulement,21
",",",",p
un,un,71
aplatissement,aplatissement,21
complet,complet,30
",",",",p
le,le,71
sang,sang,21
bu,bu,31
et,et,82
les,le,71
os,os,21
avalés,avalé,31
par,par,81
les,le,71
roches,roche,22
/.,/.,P
deux,deux,72
de,de,81
ses,son,73
oncles,oncle,21
et,et,82
ses,son,73
trois,trois,72
frères,frère,21
",",",",p
plus,plus,60
tard,tard,60
",",",",p
y,y,52
avaient,avoir,18
aussi,aussi,60
laissé,laisser,12
leur,leur,52
peau,peau,22
/.,/.,P
lui,lui,51
",",",",p
Vincent,Vincent,20
Maheu,Maheu,20
",",",",p
qui,qui,52
en,en,52
était,être,18
sorti,sortir,12
à,à,81
peu,peu,60
près,près,81
entier,entier,30
",",",",p
les,le,71
jambes,jambe,22
mal,mal,60
d',de,81
aplomb,aplomb,21
seulement,seulement,60
",",",",p
passait,passer,18
pour,pour,81
un,un,71
malin,malin,21
/.,/.,P
quoi,quoi,52
faire,faire,14
",",",",p
d',de,81
ailleurs,ailleurs,60
/?,/?,P
il,il,51
fallait,falloir,18
travailler,travailler,14
/.,/.,P
on,on,51
faisait,faire,18
ça,ça,52
de,de,81
père,père,21
en,en,81
fils,fils,21
",",",",p
comme,comme,83
on,on,51
aurait,avoir,16
fait,faire,12
autre,autre,75
chose,chose,22
/.,/.,P
son,son,73
fils,fils,21
",",",",p
Toussaint,Toussaint,20
Maheu,Maheu,20
",",",",p
y,y,52
crevait,crever,18
maintenant,maintenant,60
",",",",p
et,et,82
ses,son,73
petits-fils,petit-fils,21
",",",",p
et,et,82
tout,tout,75
son,son,73
monde,monde,21
",",",",p
qui,qui,52
logeait,loger,18
en,en,81
face,face,22
",",",",p
dans,dans,81
le,le,71
coron,coron,21
/.,/.,P
cent,cent,72
six,six,72
ans,an,21
d',de,81
abattage,abattage,21
",",",",p
les,le,71
mioches,mioche,21
après,après,81
les,le,71
vieux,vieux,21
",",",",p
pour,pour,81
le,le,71
même,même,75
patron,patron,21
:,:,p
