11751
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-quinzième extrait>,<>,<>
étiez,être,18
moins,moins,60
occupé,occuper,12
des,de,81
des,le,71
beaux,beau,30
habits,habit,21
des,de,81
des,le,71
gens,gens,21
de,de,81
guerre,guerre,22
",",",",p
monsieur,monsieur,21
l',le,71
archidiacre,archidiacre,21
",",",",p
je,je,51
vous,vous,51
prierais,prier,16
d',de,81
aller,aller,14
voir,voir,14
cette,ce,74
porte,porte,22
/.,/.,P
je,je,51
l',le,52
ai,avoir,17
toujours,toujours,60
dit,dire,12
",",",",p
la,le,71
maison,maison,22
du,de,81
du,le,71
sieur,sieur,21
Aubry,Aubry,20
a,avoir,17
une,un,71
entrée,entrée,22
la,le,71
plus,plus,60
superbe,superbe,30
du,de,81
du,le,71
monde,monde,21
/.,/.,P
-,-,p
Pierre,Pierre,20
Gringoire,Gringoire,20
",",",",p
dit,dire,19
l',le,71
archidiacre,archidiacre,21
",",",",p
qu',que,52
avez,avoir,17
vous,vous,51
fait,faire,12
de,de,81
cette,ce,74
petite,petit,30
danseuse,danseuse,22
égyptienne,égyptien,30
/?,/?,P
la,le,71
Esmeralda,Esmeralda,20
/?,/?,P
vous,vous,51
changez,changer,17
bien,bien,60
brusquement,brusquement,60
de,de,81
conversation,conversation,22
/.,/.,P
-,-,p
n',ne,60
était,être,18
elle,il,51
pas,pas,60
votre,votre,73
femme,femme,22
/?,/?,P
oui,oui,60
",",",",p
au,à,81
au,le,71
moyen,moyen,21
d',de,81
une,un,71
cruche,cruche,22
cassée,cassé,31
/.,/.,P
nous,nous,51
en,en,52
avions,avoir,18
pour,pour,81
quatre,quatre,72
ans,an,21
/.,/.,P
-,-,p
à,à,81
propos,propos,21
",",",",p
ajouta,ajouter,19
Gringoire,Gringoire,20
en,en,81
regardant,regarder,13
l',le,71
archidiacre,archidiacre,21
d',de,81
un,un,71
air,air,21
à,à,81
demi,demi,30
goguenard,goguenard,30
",",",",p
vous,vous,51
y,y,52
pensez,penser,17
donc,donc,82
toujours,toujours,60
/?,/?,P
et,et,82
vous,vous,51
",",",",p
vous,vous,51
n',ne,60
y,y,52
pensez,penser,17
plus,plus,60
/?,/?,P
peu,peu,60
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
tant,tant,60
de,de,81
choses,chose,22
!,!,p
/…,/…,P
mon,mon,73
dieu,dieu,21
",",",",p
que,que,52
la,le,71
petite,petit,30
chèvre,chèvre,22
était,être,18
jolie,joli,30
/!,/!,P
cette,ce,74
bohémienne,bohémienne,22
ne,ne,60
vous,vous,51
avait,avoir,18
elle,il,51
pas,pas,60
sauvé,sauver,12
la,le,71
vie,vie,22
/?,/?,P
c',ce,52
est,être,17
pardieu,pardieu,93
vrai,vrai,30
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
qu',que,52
est,être,17
elle,il,51
devenue,devenir,12
?,?,p
qu',que,52
en,en,52
avez,avoir,17
vous,vous,51
fait,faire,12
/?,/?,P
je,je,51
ne,ne,60
vous,vous,51
dirai,dire,15
pas,pas,60
/.,/.,P
je,je,51
crois,croire,17
qu',que,83
ils,ils,51
l',le,52
ont,avoir,17
pendue,pendre,12
/.,/.,P
-,-,p
vous,vous,51
croyez,croire,17
/?,/?,P
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
sûr,sûr,30
/.,/.,P
quand,quand,83
j',je,51
ai,avoir,17
vu,voir,12
qu',que,83
ils,ils,51
voulaient,vouloir,18
pendre,pendre,14
les,le,71
gens,gens,21
",",",",p
je,je,51
me,je,51
suis,être,17
retiré,retirer,12
du,de,81
du,le,71
jeu,jeu,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
là,là,60
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
en,en,52
savez,savoir,17
/?,/?,P
attendez,attendre,17
donc,donc,82
/.,/.,P
on,on,51
m',je,51
a,avoir,17
dit,dire,12
qu',que,83
elle,il,51
s',se,51
était,être,18
réfugiée,réfugier,12
dans,dans,81
Notre-Dame,Notre Dame,20
",",",",p
et,et,82
qu',que,83
elle,il,51
y,y,52
était,être,18
en,en,81
sûreté,sûreté,22
",",",",p
et,et,82
j',je,51
en,en,52
suis,être,17
ravi,ravir,12
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
pu,pouvoir,12
découvrir,découvrir,14
si,si,83
la,le,71
chèvre,chèvre,22
s',se,51
était,être,18
sauvée,sauver,12
avec,avec,81
elle,il,51
",",",",p
et,et,82
c',ce,52
est,être,17
tout,tout,52
ce,ce,52
que,que,52
j',je,51
en,en,52
sais,savoir,17
/.,/.,P
-,-,p
je,je,51
vais,aller,17
vous,vous,51
en,en,52
apprendre,apprendre,14
davantage,davantage,60
",",",",p
cria,crier,19
dom,dom,21
Claude,Claude,20
",",",",p
et,et,82
sa,son,73
voix,voix,22
",",",",p
jusqu',jusque,81
alors,alors,60
basse,bas,30
",",",",p
lente,lent,30
et,et,82
presque,presque,60
sourde,sourd,30
",",",",p
était,être,18
devenue,devenir,12
tonnante,tonnant,30
/.,/.,P
elle,il,51
est,être,17
en,en,81
effet,effet,21
réfugiée,réfugier,12
dans,dans,81
Notre-Dame,Notre Dame,20
/.,/.,P
mais,mais,82
dans,dans,81
trois,trois,72
jours,jour,21
la,le,71
justice,justice,22
l',le,52
y,y,52
reprendra,reprendre,15
",",",",p
et,et,82
elle,il,51
sera,être,15
pendue,pendre,12
en,en,81
Grève,Grève,20
/.,/.,P
il,il,51
y,y,52
a,avoir,17
arrêt,arrêt,21
du,de,81
du,le,71
parlement,parlement,21
/.,/.,P
-,-,p
voilà,voilà,81
qui,qui,52
est,être,17
fâcheux,fâcheux,30
",",",",p
dit,dire,19
Gringoire,Gringoire,20
/.,/.,P
le,le,71
prêtre,prêtre,21
",",",",p
en,en,81
un,un,71
clin d'oeil,clin d'oeil,21
",",",",p
était,être,18
redevenu,redevenir,12
froid,froid,30
et,et,82
calme,calme,30
/.,/.,P
-,-,p
et,et,82
qui,qui,52
diable,diable,21
",",",",p
reprit,reprendre,19
le,le,71
poète,poète,21
",",",",p
s',se,51
est,être,17
donc,donc,82
amusé,amuser,12
à,à,81
solliciter,solliciter,14
un,un,71
arrêt,arrêt,21
de,de,81
réintégration,réintégration,22
/?,/?,P
est,être,17
ce,ce,52
qu',que,83
on,on,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
laisser,laisser,14
le,le,71
parlement,parlement,21
tranquille,tranquille,30
/?,/?,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
cela,cela,52
fait,faire,17
qu',que,83
une,un,71
pauvre,pauvre,30
fille,fille,22
s',se,51
abrite,abriter,17
sous,sous,81
les,le,71
arcs-boutants,arc-boutant,21
de,de,81
Notre-Dame,Notre Dame,20
à,à,81
côté,côté,21
des,de,81
des,le,71
nids,nid,21
d',de,81
hirondelle,hirondelle,22
/?,/?,P
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
satans,satan,21
dans,dans,81
le,le,71
monde,monde,21
",",",",p
répondit,répondre,19
l',le,71
archidiacre,archidiacre,21
/.,/.,P
-,-,p
cela,cela,52
est,être,17
diablement,diablement,60
mal,mal,60
emmanché,emmancher,12
",",",",p
observa,observer,19
Gringoire,Gringoire,20
/.,/.,P
l',le,71
archidiacre,archidiacre,21
reprit,reprendre,19
après,après,81
un,un,71
silence,silence,21
:,:,p
-,-,p
donc,donc,82
",",",",p
elle,il,51
vous,vous,51
a,avoir,17
sauvé,sauver,12
la,le,71
vie,vie,22
/?,/?,P
chez,chez,81
mes,mon,73
bons,bon,30
amis,ami,21
les,le,71
truandiers,truandier,21
/.,/.,P
un,un,71
peu,peu,60
plus,plus,60
",",",",p
un,un,71
peu,peu,60
moins,moins,60
",",",",p
j',je,51
étais,être,18
pendu,pendre,12
/.,/.,P
ils,ils,51
en,en,52
seraient,être,16
fâchés,fâcher,12
aujourd'hui,aujourd'hui,60
/.,/.,P
-,-,p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
ne,ne,60
voulez,vouloir,17
rien,rien,52
faire,faire,14
pour,pour,81
elle,il,51
/?,/?,P
je,je,51
ne,ne,60
demande,demander,17
pas,pas,60
mieux,mieux,60
",",",",p
dom,dom,21
Claude,Claude,20
/.,/.,P
mais,mais,82
si,si,83
je,je,51
vais,aller,17
m',je,51
entortiller,entortiller,14
une,un,71
vilaine,vilain,30
affaire,affaire,22
autour,autour,60
du,de,81
du,le,71
corps,corps,21
/?,/?,P
qu',que,52
importe,importer,17
/!,/!,P
bah,bah,93
!,!,p
qu',que,52
importe,importer,17
/!,/!,P
vous,vous,51
êtes,être,17
bon,bon,30
",",",",p
vous,vous,51
",",",",p
mon,mon,73
maître,maître,21
!,!,p
j',je,51
ai,avoir,17
deux,deux,72
grands,grand,30
ouvrages,ouvrage,21
commencés,commencé,31
/.,/.,P
le,le,71
prêtre,prêtre,21
se,se,51
frappa,frapper,19
le,le,71
front,front,21
/.,/.,P
malgré,malgré,81
le,le,71
calme,calme,21
qu',que,52
il,il,51
affectait,affecter,18
",",",",p
de,de,81
temps,temps,21
en,en,81
temps,temps,21
un,un,71
geste,geste,21
violent,violent,30
révélait,révéler,18
ses,son,73
convulsions,convulsion,22
intérieures,intérieur,30
/.,/.,P
-,-,p
comment,comment,60
la,le,52
sauver,sauver,14
/?,/?,P
Gringoire,Gringoire,20
lui,lui,51
dit,dire,19
:,:,p
-,-,p
mon,mon,73
maître,maître,21
",",",",p
je,je,51
vous,vous,51
répondrai,répondre,15
:,:,p
il,il,51
padelt,padelt,92
",",",",p
ce,ce,52
qui,qui,52
veut,vouloir,17
dire,dire,14
en,en,81
turc,turc,21
:,:,p
dieu,dieu,21
est,être,17
notre,notre,73
espérance,espérance,22
/.,/.,P
-,-,p
comment,comment,60
la,le,52
sauver,sauver,14
?,?,p
répéta,répéter,19
Claude,Claude,20
rêveur,rêveur,30
/.,/.,P
Gringoire,Gringoire,20
à,à,81
son,son,73
tour,tour,21
se,se,51
frappa,frapper,19
le,le,71
front,front,21
/.,/.,P
-,-,p
écoutez,écouter,17
",",",",p
mon,mon,73
maître,maître,21
/.,/.,P
j',je,51
ai,avoir,17
de,de,81
l',le,71
imagination,imagination,22
/.,/.,P
je,je,51
vais,aller,17
vous,vous,51
trouver,trouver,14
des,de,81
des,le,71
expédients,expédient,21
/.,/.,P
-,-,p
si,si,83
on,on,51
demandait,demander,18
la,le,71
grâce,grâce,22
au,à,81
au,le,71
toi,toi,51
/?,/?,P
à,à,81
Louis XI,Louis XI,20
?,?,p
une,un,71
grâce,grâce,22
/?,/?,P
pourquoi,pourquoi,60
pas,pas,60
/?,/?,P
va,aller,17
prendre,prendre,14
son,son,73
os,os,21
au,à,81
au,le,71
tigre,tigre,21
/!,/!,P
Gringoire,Gringoire,20
se,se,51
mit,mettre,19
à,à,81
chercher,chercher,14
de,de,81
nouvelles,nouveau,30
solutions,solution,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
tenez,tenir,17
/!,/!,P
voulez,vouloir,17
vous,vous,51
que,que,83
j',je,51
adresse,adresser,17
aux,à,81
aux,le,71
matrones,matrone,22
une,un,71
requête,requête,22
avec,avec,81
déclaration,déclaration,22
que,que,52
la,le,71
fille,fille,22
est,être,17
enceinte,enceinte,31
/?,/?,P
cela,cela,52
fit,faire,19
étinceler,étinceler,14
la,le,71
creuse,creux,30
prunelle,prunelle,22
du,de,81
du,le,71
prêtre,prêtre,21
/.,/.,P
-,-,p
enceinte,enceinte,31
!,!,p
drôle,drôle,21
!,!,p
est,être,17
ce,ce,52
que,que,83
tu,tu,51
en,en,52
sais,savoir,17
quelque,quelque,75
chose,chose,22
/?,/?,P
Gringoire,Gringoire,20
fut,être,19
effrayé,effrayer,12
de,de,81
son,son,73
air,air,21
/.,/.,P
il,il,51
se,se,51
hâta,hâter,19
de,de,81
dire,dire,14
:,:,p
-,-,p
oh,oh,93
!,!,p
non,non,60
pas,pas,60
moi,moi,51
/!,/!,P
notre,notre,73
mariage,mariage,21
était,être,18
un,un,71
vrai,vrai,30
forismaritagium,forismaritagium,92
/.,/.,P
je,je,51
suis,être,17
resté,rester,12
dehors,dehors,60
/.,/.,P
mais,mais,82
enfin,enfin,60
on,on,51
obtiendrait,obtenir,16
un,un,71
sursis,sursis,21
/.,/.,P
-,-,p
folie,folie,22
!,!,p
infamie,infamie,22
!,!,p
tais,taire,17
toi,toi,51
/!,/!,P
vous,vous,51
avez,avoir,17
tort,tort,21
de,de,81
vous,vous,51
fâcher,fâcher,14
",",",",p
grommela,grommeler,19
Gringoire,Gringoire,20
/.,/.,P
on,on,51
obtient,obtenir,17
un,un,71
sursis,sursis,21
",",",",p
cela,cela,52
ne,ne,60
fait,faire,17
de,de,81
mal,mal,21
à,à,81
personne,personne,52
",",",",p
et,et,82
cela,cela,52
fait,faire,17
gagner,gagner,14
quarante,quarante,72
deniers,denier,21
parisis,parisis,30
aux,à,81
aux,le,71
matrones,matrone,22
",",",",p
qui,qui,52
sont,être,17
de,de,81
pauvres,pauvre,30
femmes,femme,22
/.,/.,P
le,le,71
prêtre,prêtre,21
ne,ne,60
l',le,52
écoutait,écouter,18
pas,pas,60
/.,/.,P
-,-,p
il,il,51
faut,falloir,17
pourtant,pourtant,60
qu',que,83
elle,il,51
sorte,sortir,17
de,de,81
là,là,60
!,!,p
murmura,murmurer,19
t,t,94
il,il,51
/.,/.,P
l',le,71
arrêt,arrêt,21
est,être,17
exécutoire,exécutoire,30
sous,sous,81
trois,trois,72
jours,jour,21
/!,/!,P
d',de,81
ailleurs,ailleurs,60
",",",",p
il,il,51
n',ne,60
y,y,52
aurait,avoir,16
pas,pas,60
d',de,81
arrêt,arrêt,21
",",",",p
ce,ce,74
Quasimodo,Quasimodo,20
/!,/!,P
les,le,71
femmes,femme,22
ont,avoir,17
des,de,81
des,le,71
goûts,goût,21
bien,bien,60
dépravés,dépravé,31
/!,/!,P
il,il,51
haussa,hausser,19
la,le,71
voix,voix,22
:,:,p
-,-,p
maître,maître,21
Pierre,Pierre,20
",",",",p
j',je,51
y,y,52
ai,avoir,17
bien,bien,60
réfléchi,réfléchir,12
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
qu',que,83
un,un,71
moyen,moyen,21
de,de,81
salut,salut,21
pour,pour,81
elle,il,51
/.,/.,P
-,-,p
lequel,lequel,52
?,?,p
moi,moi,51
",",",",p
je,je,51
n',ne,60
en,en,52
vois,voir,17
plus,plus,60
/.,/.,P
-,-,p
écoutez,écouter,17
",",",",p
maître,maître,21
Pierre,Pierre,20
",",",",p
souvenez,souvenir,17
vous,vous,51
que,que,83
vous,vous,51
lui,lui,51
devez,devoir,17
la,le,71
vie,vie,22
/.,/.,P
je,je,51
vais,aller,17
vous,vous,51
dire,dire,14
franchement,franchement,60
mon,mon,73
idée,idée,22
/.,/.,P
l',le,71
église,église,22
est,être,17
guettée,guetter,12
jour,jour,21
et,et,82
nuit,nuit,22
/.,/.,P
on,on,51
n',ne,60
en,en,52
laisse,laisser,17
sortir,sortir,14
que,que,83
ceux,celui,52
qu',que,52
on,on,51
y,y,52
a,avoir,17
vus,voir,12
entrer,entrer,14
/.,/.,P
vous,vous,51
pourrez,pouvoir,15
donc,donc,82
entrer,entrer,14
/.,/.,P
vous,vous,51
viendrez,venir,15
/.,/.,P
je,je,51
vous,vous,51
introduirai,introduire,15
près,près,81
d',de,81
elle,il,51
/.,/.,P
vous,vous,51
changerez,changer,15
d',de,81
habits,habit,21
avec,avec,81
elle,il,51
/.,/.,P
elle,il,51
prendra,prendre,15
votre,votre,73
pourpoint,pourpoint,21
",",",",p
vous,vous,51
prendrez,prendre,15
sa,son,73
jupe,jupe,22
/.,/.,P
-,-,p
cela,cela,52
va,aller,17
bien,bien,60
jusqu',jusque,81
à,à,81
présent,présent,21
",",",",p
observa,observer,19
le,le,71
philosophe,philosophe,21
/.,/.,P
et,et,82
puis,puis,60
/?,/?,P
et,et,82
puis,puis,60
/?,/?,P
elle,il,51
sortira,sortir,15
avec,avec,81
vos,votre,73
habits,habit,21
;,;,p
vous,vous,51
resterez,rester,15
avec,avec,81
les,le,71
siens,sien,52
/.,/.,P
on,on,51
vous,vous,51
pendra,pendre,15
peut-être,peut-être,60
",",",",p
mais,mais,82
elle,il,51
sera,être,15
sauvée,sauver,12
/.,/.,P
Gringoire,Gringoire,20
se,se,51
gratta,gratter,19
l',le,71
oreille,oreille,22
avec,avec,81
un,un,71
air,air,21
très,très,60
sérieux,sérieux,30
/.,/.,P
-,-,p
tiens,tenir,17
!,!,p
dit,dire,19
il,il,51
",",",",p
voilà,voilà,81
une,un,71
idée,idée,22
qui,qui,52
ne,ne,60
me,je,51
serait,être,16
jamais,jamais,60
venue,venir,12
toute,tout,60
seule,seul,30
/.,/.,P
à,à,81
la,le,71
proposition,proposition,22
inattendue,inattendu,30
de,de,81
dom,dom,21
Claude,Claude,20
",",",",p
la,le,71
figure,figure,22
ouverte,ouvert,31
et,et,82
bénigne,bénin,30
du,de,81
du,le,71
poète,poète,21
s',se,51
était,être,18
brusquement,brusquement,60
rembrunie,rembrunir,12
",",",",p
comme,comme,83
un,un,71
riant,riant,30
paysage,paysage,21
d',de,81
Italie,Italie,20
quand,quand,83
il,il,51
survient,survenir,17
un,un,71
coup,coup,21
de,de,81
vent,vent,21
malencontreux,malencontreux,30
qui,qui,52
écrase,écraser,17
un,un,71
nuage,nuage,21
sur,sur,81
le,le,71
soleil,soleil,21
/.,/.,P
-,-,p
hé,hé,93
bien,bien,60
",",",",p
Gringoire,Gringoire,20
!,!,p
que,que,52
dites,dire,17
vous,vous,51
du,de,81
du,le,71
moyen,moyen,21
/?,/?,P
je,je,51
dis,dire,17
",",",",p
mon,mon,73
maître,maître,21
",",",",p
qu',que,83
on,on,51
ne,ne,60
me,je,51
pendra,pendre,15
pas,pas,60
peut-être,peut-être,60
",",",",p
mais,mais,82
qu',que,83
on,on,51
me,je,51
pendra,pendre,15
indubitablement,indubitablement,60
/.,/.,P
-,-,p
cela,cela,52
ne,ne,60
nous,nous,51
regarde,regarder,17
pas,pas,60
/.,/.,P
-,-,p
la,le,71
peste,peste,22
!,!,p
dit,dire,19
Gringoire,Gringoire,20
/.,/.,P
-,-,p
elle,il,51
vous,vous,51
a,avoir,17
sauvé,sauver,12
la,le,71
vie,vie,22
/.,/.,P
c',ce,52
est,être,17
une,un,71
dette,dette,22
que,que,52
vous,vous,51
payez,payer,17
/.,/.,P
-,-,p
il,il,51
y,y,52
en,en,52
a,avoir,17
bien,bien,60
d',de,81
autres,autre,52
que,que,83
je,je,51
ne,ne,60
paie,payer,17
pas,pas,60
/!,/!,P
-,-,p
maître,maître,21
Pierre,Pierre,20
",",",",p
il,il,51
le,le,52
faut,falloir,17
absolument,absolument,60
/.,/.,P
l',le,71
archidiacre,archidiacre,21
parlait,parler,18
avec,avec,81
empire,empire,21
/.,/.,P
-,-,p
écoutez,écouter,17
",",",",p
dom,dom,21
Claude,Claude,20
",",",",p
répondit,répondre,19
le,le,71
poète,poète,21
tout,tout,60
consterné,consterné,31
/.,/.,P
vous,vous,51
tenez,tenir,17
à,à,81
cette,ce,74
idée,idée,22
et,et,82
vous,vous,51
avez,avoir,17
tort,tort,21
/.,/.,P
je,je,51
ne,ne,60
vois,voir,17
pas,pas,60
pourquoi,pourquoi,60
je,je,51
me,je,51
ferais,faire,16
pendre,pendre,14
à,à,81
la,le,71
place,place,22
d',de,81
un,un,71
autre,autre,52
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
donc,donc,82
tant,tant,60
qui,qui,52
vous,vous,51
attache,attacher,17
à,à,81
la,le,71
vie,vie,22
/?,/?,P
ah,ah,93
!,!,p
mille,mille,72
raisons,raison,22
/!,/!,P
lesquelles,lequel,52
",",",",p
s',si,83
il,il,51
vous,vous,51
plaît,plaire,17
/?,/?,P
lesquelles,lequel,52
/?,/?,P
l',le,71
air,air,21
",",",",p
le,le,71
ciel,ciel,21
",",",",p
le,le,71
matin,matin,21
",",",",p
le,le,71
soir,soir,21
",",",",p
le,le,71
clair,clair,21
de,de,81
lune,lune,22
",",",",p
mes,mon,73
bons,bon,30
amis,ami,21
les,le,71
truands,truand,21
",",",",p
nos,notre,73
gorges,gorge,22
chaudes,chaud,30
avec,avec,81
les,le,71
vilotières,vilotière,22
",",",",p
les,le,71
belles,beau,30
architectures,architecture,22
de,de,81
Paris,Paris,20
à,à,81
étudier,étudier,14
",",",",p
trois,trois,72
gros,gros,30
livres,livre,21
à,à,81
faire,faire,14
",",",",p
dont,dont,52
un,un,52
contre,contre,81
l',le,71
évêque,évêque,21
et,et,82
ses,son,73
moulins,moulin,21
",",",",p
que,que,52
sais,savoir,17
je,je,51
",",",",p
moi,moi,51
/?,/?,P
Anaxagoras,Anaxagoras,20
disait,dire,18
qu',que,83
il,il,51
était,être,18
au,à,81
au,le,71
monde,monde,21
pour,pour,81
admirer,admirer,14
le,le,71
soleil,soleil,21
/.,/.,P
et,et,82
puis,puis,60
",",",",p
j',je,51
ai,avoir,17
le,le,71
bonheur,bonheur,21
de,de,81
passer,passer,14
toutes,tout,75
mes,mon,73
journées,journée,22
du,de,81
du,le,71
matin,matin,21
au,à,81
au,le,71
soir,soir,21
avec,avec,81
un,un,71
homme,homme,21
de,de,81
génie,génie,21
qui,qui,52
est,être,17
moi,moi,51
",",",",p
et,et,82
c',ce,52
est,être,17
fort,fort,60
agréable,agréable,30
/.,/.,P
-,-,p
tête,tête,22
à,à,81
faire,faire,14
un,un,71
grelot,grelot,21
!,!,p
grommela,grommeler,19
l',le,71
archidiacre,archidiacre,21
/.,/.,P
eh,eh,93
!,!,p
parle,parler,17
",",",",p
cette,ce,74
vie,vie,22
que,que,52
tu,tu,51
te,tu,51
fais,faire,17
si,si,60
charmante,charmant,30
",",",",p
qui,qui,52
te,tu,51
l',le,52
a,avoir,17
conservée,conserver,12
/?,/?,P
à,à,81
qui,qui,52
dois,devoir,17
tu,tu,51
de,de,81
respirer,respirer,14
cet,ce,74
air,air,21
",",",",p
de,de,81
voir,voir,14
ce,ce,74
ciel,ciel,21
",",",",p
et,et,82
de,de,81
pouvoir,pouvoir,14
encore,encore,60
amuser,amuser,14
ton,ton,73
esprit,esprit,21
d',de,81
alouette,alouette,22
de,de,81
billevesées,billevesée,22
et,et,82
de,de,81
folies,folie,22
/?,/?,P
sans,sans,81
elle,il,51
",",",",p
où,où,60
serais,être,16
tu,tu,51
/?,/?,P
tu,tu,51
veux,vouloir,17
donc,donc,82
qu',que,83
elle,il,51
meure,mourir,17
",",",",p
elle,il,51
par,par,81
qui,qui,52
tu,tu,51
es,être,17
vivant,vivant,30
?,?,p
qu',que,52
elle,il,51
meure,mourir,17
",",",",p
cette,ce,74
créature,créature,22
",",",",p
belle,beau,30
",",",",p
douce,doux,30
",",",",p
adorable,adorable,30
",",",",p
nécessaire,nécessaire,30
à,à,81
la,le,71
lumière,lumière,22
du,de,81
du,le,71
monde,monde,21
",",",",p
plus,plus,60
divine,divin,30
que,que,83
dieu,dieu,21
!,!,p
tandis que,tandis que,83
toi,toi,51
",",",",p
demi-sage,demi-sage,30
et,et,82
demi-fou,demi-fou,30
",",",",p
vaine,vain,30
ébauche,ébauche,22
de,de,81
quelque,quelque,75
chose,chose,22
",",",",p
espèce,espèce,22
de,de,81
végétal,végétal,21
qui,qui,52
crois,croire,17
marcher,marcher,14
et,et,82
qui,qui,52
crois,croire,17
penser,penser,14
",",",",p
tu,tu,51
continueras,continuer,15
à,à,81
vivre,vivre,14
avec,avec,81
la,le,71
vie,vie,22
que,que,52
tu,tu,51
lui,lui,51
as,avoir,17
volée,voler,12
",",",",p
aussi,aussi,60
inutile,inutile,30
qu',que,83
une,un,71
chandelle,chandelle,22
en,en,81
plein,plein,30
midi,midi,21
/?,/?,P
allons,aller,17
",",",",p
un,un,71
peu,peu,60
de,de,81
pitié,pitié,22
",",",",p
Gringoire,Gringoire,20
!,!,p
sois,être,17
généreux,généreux,30
à,à,81
ton,ton,73
tour,tour,21
/.,/.,P
c',ce,52
est,être,17
elle,il,51
qui,qui,52
a,avoir,17
commencé,commencer,12
/.,/.,P
le,le,71
prêtre,prêtre,21
était,être,18
véhément,véhément,30
/.,/.,P
Gringoire,Gringoire,20
l',le,52
écouta,écouter,19
d'abord,d'abord,60
avec,avec,81
un,un,71
air,air,21
indéterminé,indéterminé,30
",",",",p
puis,puis,60
il,il,51
s',se,51
attendrit,attendrir,19
",",",",p
et,et,82
finit,finir,19
par,par,81
faire,faire,14
une,un,71
grimace,grimace,22
tragique,tragique,30
qui,qui,52
fit,faire,19
ressembler,ressembler,14
sa,son,73
blême,blême,30
figure,figure,22
à,à,81
celle,celui,52
d',de,81
un,un,71
nouveau-né,nouveau-né,21
qui,qui,52
a,avoir,17
la,le,71
colique,colique,22
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
pathétique,pathétique,30
",",",",p
dit,dire,19
il,il,51
en,en,81
essuyant,essuyer,13
une,un,71
larme,larme,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
j',je,51
y,y,52
réfléchirai,réfléchir,15
/.,/.,P
-,-,p
c',ce,52
est,être,17
une,un,71
drôle,drôle,30
d',de,81
idée,idée,22
que,que,52
vous,vous,51
avez,avoir,17
eue,avoir,12
là,là,60
/.,/.,P
-,-,p
après,après,81
tout,tout,52
",",",",p
poursuivit,poursuivre,19
il,il,51
après,après,81
un,un,71
silence,silence,21
",",",",p
qui,qui,52
sait,savoir,17
?,?,p
peut-être,peut-être,60
ne,ne,60
me,je,51
pendront,pendre,15
ils,ils,51
pas,pas,60
/.,/.,P
n',ne,60
épouse,épouser,17
pas,pas,60
toujours,toujours,60
qui,qui,52
fiance,fiancer,17
/.,/.,P
quand,quand,83
ils,ils,51
me,je,51
trouveront,trouver,15
dans,dans,81
cette,ce,74
logette,logette,22
",",",",p
si,si,60
grotesquement,grotesquement,60
affublé,affublé,31
",",",",p
en,en,81
jupe,jupe,22
et,et,82
en,en,81
coiffe,coiffe,22
",",",",p
peut-être,peut-être,60
éclateront,éclater,15
ils,ils,51
de,de,81
rire,rire,14
/.,/.,P
-,-,p
et,et,82
puis,puis,60
",",",",p
s',si,83
ils,ils,51
me,je,51
pendent,pendre,17
",",",",p
eh,eh,93
bien,bien,60
!,!,p
la,le,71
corde,corde,22
",",",",p
c',ce,52
est,être,17
une,un,71
mort,mort,22
comme,comme,83
une,un,71
autre,autre,52
",",",",p
ou,ou,82
",",",",p
pour,pour,81
mieux,mieux,60
dire,dire,14
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
une,un,71
mort,mort,22
comme,comme,83
une,un,71
autre,autre,52
/.,/.,P
c',ce,52
est,être,17
une,un,71
mort,mort,22
digne,digne,30
du,de,81
du,le,71
sage,sage,21
qui,qui,52
a,avoir,17
oscillé,osciller,12
toute,tout,75
sa,son,73
vie,vie,22
",",",",p
une,un,71
mort,mort,22
qui,qui,52
n',ne,60
est,être,17
ni,ni,82
chair,chair,22
ni,ni,82
poisson,poisson,21
",",",",p
comme,comme,83
l',le,71
esprit,esprit,21
du,de,81
du,le,71
véritable,véritable,30
sceptique,sceptique,21
",",",",p
une,un,71
mort,mort,22
tout,tout,60
empreinte,empreint,31
de,de,81
pyrrhonisme,pyrrhonisme,21
et,et,82
d',de,81
hésitation,hésitation,22
",",",",p
qui,qui,52
tient,tenir,17
le,le,71
milieu,milieu,21
entre,entre,81
le,le,71
ciel,ciel,21
et,et,82
la,le,71
terre,terre,22
",",",",p
qui,qui,52
vous,vous,51
laisse,laisser,17
en,en,81
suspens,suspens,21
/.,/.,P
c',ce,52
est,être,17
