11435
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-neuvième extrait>,<>,<>
vous,vous,51
finirez,finir,15
mal,mal,60
/.,/.,P
“,“,p
pendant,pendant,81
que,que,83
l',l',94
on,on,51
dissertait,disserter,18
de,de,81
la,le,71
sorte,sorte,22
sur,sur,81
son,son,73
compte,compte,21
à,à,81
la,le,71
cuisine,cuisine,22
de,de,81
l',le,71
hôtel,hôtel,21
de,de,81
Rome,Rome,20
",",",",p
Paul,Paul,20
",",",",p
que,que,52
la,le,71
présence,présence,22
du,de,81
du,le,71
comte,comte,21
Altavilla,Altavilla,20
chez,chez,81
miss,miss,21
Ward,Ward,20
avait,avoir,18
mis,mettre,12
de,de,81
mauvaise,mauvais,30
humeur,humeur,22
",",",",p
était,être,18
allé,aller,12
se,se,51
promener,promener,14
à,à,81
la,le,71
villa,villa,22
Reale,Reale,20
;,;,p
et,et,82
plus,plus,60
d',de,81
une,un,71
fois,fois,22
la,le,71
ride,ride,22
de,de,81
son,son,73
front,front,21
se,se,51
creusa,creuser,19
",",",",p
et,et,82
ses,son,73
yeux,oeil,21
prirent,prendre,19
leur,leur,73
regard,regard,21
fixe,fixe,30
/.,/.,P
il,il,51
crut,croire,19
voir,voir,14
Alicia,Alicia,20
passer,passer,14
en,en,81
calèche,calèche,22
avec,avec,81
le,le,71
comte,comte,21
et,et,82
le,le,71
commodore,commodore,21
",",",",p
et,et,82
il,il,51
se,se,51
précipita,précipiter,19
vers,vers,81
la,le,71
portière,portière,22
en,en,81
posant,poser,13
son,son,73
lorgnon,lorgnon,21
sur,sur,81
son,son,73
nez,nez,21
pour,pour,81
être,être,14
sûr,sûr,30
qu',que,83
il,il,51
ne,ne,60
se,se,51
trompait,tromper,18
pas,pas,60
:,:,p
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
Alicia,Alicia,20
",",",",p
mais,mais,82
une,un,71
femme,femme,22
qui,qui,52
lui,lui,51
ressemblait,ressembler,18
un,un,71
peu,peu,60
de,de,81
loin,loin,60
/.,/.,P
seulement,seulement,60
",",",",p
les,le,71
chevaux,cheval,21
de,de,81
la,le,71
calèche,calèche,22
",",",",p
effrayés,effrayé,31
sans,sans,81
doute,doute,21
du,de,81
du,le,71
mouvement,mouvement,21
brusque,brusque,30
de,de,81
Paul,Paul,20
",",",",p
s',se,51
emportèrent,emporter,19
/.,/.,P
Paul,Paul,20
prit,prendre,19
une,un,71
glace,glace,22
au,à,81
au,le,71
café,café,21
de,de,81
l',le,71
Europe,Europe,20
sur,sur,81
le,le,71
largo,largo,92
du,de,81
du,le,71
palais,palais,21
:,:,p
quelques,quelque,75
personnes,personne,22
l',le,52
examinèrent,examiner,19
avec,avec,81
attention,attention,22
",",",",p
et,et,82
changèrent,changer,19
de,de,81
place,place,22
en,en,81
faisant,faire,13
un,un,71
geste,geste,21
singulier,singulier,30
/.,/.,P
il,il,51
entra,entrer,19
au,à,81
au,le,71
théâtre,théâtre,21
de,de,81
Pulcinella,Pulcinella,20
",",",",p
où,où,60
l',l',94
on,on,51
donnait,donner,18
un,un,71
spectacle,spectacle,21
tutto,tutto,92
da,da,92
ridere,ridere,92
/.,/.,P
l',le,71
acteur,acteur,21
se,se,51
troubla,troubler,19
au,à,81
au,le,71
milieu,milieu,21
de,de,81
son,son,73
improvisation,improvisation,22
bouffonne,boufonner,17
et,et,82
resta,rester,19
court,court,30
;,;,p
il,il,51
se,se,51
remit,remettre,19
pourtant,pourtant,60
;,;,p
mais,mais,82
au,à,81
au,le,71
beau,beau,30
milieu,milieu,21
d',de,81
un,un,71
lazzi,lazzi,21
",",",",p
son,son,73
nez,nez,21
de,de,81
carton,carton,21
noir,noir,30
se,se,51
détacha,détacher,19
",",",",p
et,et,82
il,il,51
ne,ne,60
put,pouvoir,19
venir,venir,14
à,à,81
bout,bout,21
de,de,81
le,le,52
rajuster,rajuster,14
",",",",p
et,et,82
comme,comme,83
pour,pour,81
s',se,51
excuser,excuser,14
",",",",p
d',de,81
un,un,71
signe,signe,21
rapide,rapide,30
il,il,51
expliqua,expliquer,19
la,le,71
cause,cause,22
de,de,81
ses,son,73
mésaventures,mésaventure,22
",",",",p
car,car,82
le,le,71
regard,regard,21
de,de,81
Paul,Paul,20
",",",",p
arrêté,arrêté,21
sur,sur,81
lui,lui,51
",",",",p
lui,lui,51
ôtait,ôter,18
tous,tout,75
ses,son,73
moyens,moyen,21
/.,/.,P
les,le,71
spectateurs,spectateur,21
voisins,voisin,30
de,de,81
Paul,Paul,20
s',se,51
éclipsèrent,éclipser,19
un,un,52
à,à,81
un,un,52
;,;,p
monsieur,monsieur,21
d',de,81
Aspremont,Aspremont,20
se,se,51
leva,lever,19
pour,pour,81
sortir,sortir,14
",",",",p
ne,ne,60
se,se,51
rendant,rendre,13
pas,pas,60
compte,compte,21
de,de,81
l',le,71
effet,effet,21
bizarre,bizarre,30
qu',que,52
il,il,51
produisait,produire,18
",",",",p
et,et,82
dans,dans,81
le,le,71
couloir,couloir,21
il,il,51
entendait,entendre,18
prononcer,prononcer,14
à,à,81
voix,voix,22
basse,bas,30
ce,ce,74
mot,mot,21
étrange,étrange,30
et,et,82
dénué,dénué,30
de,de,81
sens,sens,21
pour,pour,81
lui,lui,51
:,:,p
“,“,p
un,un,71
jettatore,jettatore,92
!,!,p
un,un,71
jettatore,jettatore,92
/!,/!,P
“,“,p
<VI>,<>,<>
le,le,71
lendemain,lendemain,21
de,de,81
l',le,71
envoi,envoi,21
des,de,81
des,le,71
cornes,corne,22
",",",",p
le,le,71
comte,comte,21
Altavilla,Altavilla,20
fit,faire,19
une,un,71
visite,visite,22
à,à,81
miss,miss,21
Ward,Ward,20
/.,/.,P
la,le,71
jeune,jeune,30
Anglaise,Anglais,20
prenait,prendre,18
le,le,71
thé,thé,21
en,en,81
compagnie,compagnie,22
de,de,81
son,son,73
oncle,oncle,21
",",",",p
exactement,exactement,60
comme,comme,83
si,si,83
elle,il,51
eût,avoir,19
été,être,12
à,à,81
Ramsgate,Ramsgate,20
dans,dans,81
une,un,71
maison,maison,22
de,de,81
briques,brique,22
jaunes,jaune,30
",",",",p
et,et,82
non,non,60
à,à,81
Naples,Naples,20
sur,sur,81
une,un,71
terrasse,terrasse,22
blanchie,blanchi,31
à,à,81
la,le,71
chaux,chaux,22
et,et,82
entourée,entouré,31
de,de,81
figuiers,figuier,21
",",",",p
de,de,81
cactus,cactus,21
et,et,82
d',de,81
aloès,aloès,21
;,;,p
car,car,82
un,un,52
des,de,81
des,le,71
signes,signe,21
caractéristiques,caractéristique,30
de,de,81
la,le,71
race,race,22
saxonne,saxon,30
est,être,17
la,le,71
persistance,persistance,22
de,de,81
ses,son,73
habitudes,habitude,22
",",",",p
quelques,quelque,75
contraires,contraire,21
qu',que,52
elles,ils,51
soient,être,17
au,à,81
au,le,71
climat,climat,21
/.,/.,P
le,le,71
commodore,commodore,21
rayonnait,rayonner,18
:,:,p
au,à,81
au,le,71
moyen,moyen,21
de,de,81
morceaux,morceau,21
de,de,81
glace,glace,22
fabriquée,fabriqué,31
chimiquement,chimiquement,60
avec,avec,81
un,un,71
appareil,appareil,21
",",",",p
car,car,82
on,on,51
n',ne,60
apporte,apporter,17
que,que,83
de,de,81
la,le,71
neige,neige,22
des,de,81
des,le,71
montagnes,montagne,22
qui,qui,52
s',se,51
élèvent,élever,17
derrière,derrière,81
Castellamare,Castellamare,20
",",",",p
il,il,51
était,être,18
parvenu,parvenir,12
à,à,81
maintenir,maintenir,14
son,son,73
beurre,beurre,21
à,à,81
l',le,71
état,état,21
solide,solide,30
",",",",p
et,et,82
il,il,51
en,en,52
étalait,étaler,18
une,un,71
couche,couche,22
avec,avec,81
une,un,71
satisfaction,satisfaction,22
visible,visible,30
sur,sur,81
une,un,71
tranche,tranche,22
de,de,81
pain,pain,21
coupée,coupé,31
en,en,81
sandwiche,sandwiche,92
/.,/.,P
après,après,81
ces,ce,74
quelques,quelque,75
mots,mot,21
vagues,vague,30
qui,qui,52
précèdent,précéder,17
toute,tout,75
conversation,conversation,22
et,et,82
ressemblent,ressembler,17
aux,à,81
aux,le,71
préludes,prélude,21
par,par,81
lesquels,lequel,52
les,le,71
pianistes,pianiste,21
tâtent,tâter,17
leur,leur,73
clavier,clavier,21
avant,avant,81
de,de,81
commencer,commencer,14
leur,leur,73
morceau,morceau,21
",",",",p
Alicia,Alicia,20
",",",",p
abandonnant,abandonner,13
tout,tout,60
à,à,81
coup,coup,21
les,le,71
lieux,lieu,21
communs,commun,30
d',de,81
usage,usage,21
",",",",p
s',se,51
adressa,adresser,19
brusquement,brusquement,60
au,à,81
au,le,71
jeune,jeune,30
comte,comte,21
napolitain,napolitain,30
:,:,p
“,“,p
que,que,83
signifie,signifier,17
ce,ce,74
bizarre,bizarre,30
cadeau,cadeau,21
de,de,81
cornes,corne,22
dont,dont,52
vous,vous,51
avez,avoir,17
accompagné,accompagner,12
vos,votre,73
fleurs,fleur,22
/?,/?,P
ma,mon,73
servante,servante,22
Vicè,Vicè,20
m',je,51
a,avoir,17
dit,dire,12
que,que,83
c',ce,52
était,être,18
un,un,71
préservatif,préservatif,21
contre,contre,81
le,le,71
fascino,fascino,92
;,;,p
voilà,voilà,81
tout,tout,52
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
pu,pouvoir,12
tirer,tirer,14
d',de,81
elle,il,51
/.,/.,P
-,-,p
Vicè,Vicè,20
a,avoir,17
raison,raison,22
",",",",p
répondit,répondre,19
le,le,71
comte,comte,21
Altavilla,Altavilla,20
en,en,81
s',se,51
inclinant,incliner,13
/.,/.,P
-,-,p
mais,mais,82
qu',que,52
est,être,17
ce,ce,52
que,que,52
le,le,71
fascino,fascino,92
?,?,p
poursuivit,poursuivre,19
la,le,71
jeune,jeune,30
miss,miss,22
;,;,p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
au,à,81
au,le,71
courant,courant,21
de,de,81
vos,votre,73
superstitions,superstition,22
…,…,p
africaines,africain,30
",",",",p
car,car,82
cela,cela,52
doit,devoir,17
se,se,51
rapporter,rapporter,14
sans,sans,81
doute,doute,21
à,à,81
quelque,quelque,75
croyance,croyance,22
populaire,populaire,30
/.,/.,P
-,-,p
le,le,71
fascino,fascino,92
est,être,17
l',le,71
influence,influence,22
pernicieuse,pernicieux,30
qu',que,52
exerce,exercer,17
la,le,71
personne,personne,22
douée,doué,31
",",",",p
ou,ou,82
plutôt,plutôt,60
affligée,affligé,31
du,de,81
du,le,71
mauvais,mauvais,30
oeil,oeil,21
/.,/.,P
-,-,p
je,je,51
fais,faire,17
semblant,semblant,21
de,de,81
vous,vous,51
comprendre,comprendre,14
",",",",p
de,de,81
peur,peur,22
de,de,81
vous,vous,51
donner,donner,14
une,un,71
idée,idée,22
défavorable,défavorable,30
de,de,81
mon,mon,73
intelligence,intelligence,22
si,si,83
j',je,51
avoue,avouer,17
que,que,83
le,le,71
sens,sens,21
de,de,81
vos,votre,73
paroles,parole,22
m',je,51
échappe,échapper,17
",",",",p
dit,dire,17
miss,miss,21
Alicia,Alicia,20
Ward,Ward,20
;,;,p
vous,vous,51
m',je,51
expliquez,expliquer,17
l',le,71
inconnu,inconnu,21
par,par,81
l',le,71
inconnu,inconnu,21
:,:,p
mauvais,mauvais,30
oeil,oeil,21
traduit,traduire,17
fort,fort,60
mal,mal,60
",",",",p
pour,pour,81
moi,moi,51
",",",",p
fascino,fascino,92
;,;,p
comme,comme,83
le,le,71
personnage,personnage,21
de,de,81
la,le,71
comédie,comédie,22
je,je,51
sais,savoir,17
le,le,71
latin,latin,21
",",",",p
mais,mais,82
faites,faire,17
comme,comme,83
si,si,83
je,je,51
ne,ne,60
le,le,52
savais,savoir,18
pas,pas,60
/.,/.,P
-,-,p
je,je,51
vais,aller,17
m',je,51
expliquer,expliquer,14
avec,avec,81
toute,tout,75
la,le,71
clarté,clarté,22
possible,possible,30
",",",",p
répondit,répondre,19
Altavilla,Altavilla,20
;,;,p
seulement,seulement,60
",",",",p
dans,dans,81
votre,votre,73
dédain,dédain,21
britannique,britannique,30
",",",",p
n',ne,60
allez,aller,17
pas,pas,60
me,je,51
prendre,prendre,14
pour,pour,81
un,un,71
sauvage,sauvage,21
et,et,82
vous,vous,51
demander,demander,14
si,si,83
mes,mon,73
habits,habit,21
ne,ne,60
cachent,cacher,17
pas,pas,60
une,un,71
peau,peau,22
tatouée,tatoué,31
de,de,81
rouge,rouge,21
et,et,82
de,de,81
bleu,bleu,21
/.,/.,P
je,je,51
suis,être,17
un,un,71
homme,homme,21
civilisé,civilisé,31
;,;,p
j',je,51
ai,avoir,17
été,être,12
élevé,élever,12
à,à,81
Paris,Paris,20
;,;,p
je,je,51
parle,parler,17
anglais,anglais,21
et,et,82
français,français,21
;,;,p
j',je,51
ai,avoir,17
lu,lire,12
Voltaire,Voltaire,20
;,;,p
je,je,51
crois,croire,17
aux,à,81
aux,le,71
machines,machine,22
à,à,81
vapeur,vapeur,22
",",",",p
aux,à,81
aux,le,71
chemins,chemin,21
de,de,81
fer,fer,21
",",",",p
aux,à,81
aux,le,71
deux,deux,72
chambres,chambre,22
comme,comme,83
Stendhal,Stendhal,20
;,;,p
je,je,51
mange,manger,17
le,le,71
macaroni,macaroni,21
avec,avec,81
une,un,71
fourchette,fourchette,22
;,;,p
-,-,p
je,je,51
porte,porter,17
le,le,71
matin,matin,21
des,de,81
des,le,71
gants,gant,21
de,de,81
Suède,Suède,20
",",",",p
l',le,71
après-midi,après-midi,21
des,de,81
des,le,71
gants,gant,21
de,de,81
couleur,couleur,22
",",",",p
le,le,71
soir,soir,21
des,de,81
des,le,71
gants,gant,21
paille,pailler,17
/.,/.,P
“,“,p
l',le,71
attention,attention,22
du,de,81
du,le,71
commodore,commodore,21
",",",",p
qui,qui,52
beurrait,beurrer,18
sa,son,73
deuxième,deuxième,72
tartine,tartine,22
",",",",p
fut,être,19
attirée,attirer,12
par,par,81
ce,ce,74
début,début,21
étrange,étrange,30
",",",",p
et,et,82
il,il,51
resta,rester,19
le,le,71
couteau,couteau,21
à,à,81
la,le,71
main,main,22
",",",",p
fixant,fixer,13
sur,sur,81
Altavilla,Altavilla,20
ses,son,73
prunelles,prunelle,22
d',de,81
un,un,71
bleu,bleu,21
polaire,polaire,30
",",",",p
dont,dont,52
la,le,71
nuance,nuance,22
formait,former,18
un,un,71
bizarre,bizarre,30
contraste,contraste,21
avec,avec,81
son,son,73
teint,teint,31
rouge,rouge,21
brique,brique,22
/.,/.,P
“,“,p
voilà,voilà,81
des,de,81
des,le,71
titres,titre,21
rassurants,rassurant,30
",",",",p
fit,faire,19
miss,miss,22
Alicia,Alicia,20
Ward,Ward,20
avec,avec,81
un,un,71
sourire,sourire,21
;,;,p
et,et,82
après,après,81
cela,cela,52
je,je,51
serais,être,16
bien,bien,60
défiante,défiant,30
si,si,83
je,je,51
vous,vous,51
soupçonnais,soupçonner,18
de,de,81
barbarie,barbarie,22
/.,/.,P
mais,mais,82
ce,ce,52
que,que,52
vous,vous,51
avez,avoir,17
à,à,81
me,je,51
dire,dire,14
est,être,17
donc,donc,82
bien,bien,60
terrible,terrible,30
ou,ou,82
bien,bien,60
absurde,absurde,30
",",",",p
que,que,83
vous,vous,51
prenez,prendre,17
tant,tant,60
de,de,81
circonlocutions,circonlocution,22
pour,pour,81
arriver,arriver,14
au,à,81
au,le,71
fait,fait,21
/?,/?,P
-,-,p
oui,oui,60
",",",",p
bien,bien,60
terrible,terrible,30
",",",",p
bien,bien,60
absurde,absurde,30
et,et,82
même,même,60
bien,bien,60
ridicule,ridicule,30
",",",",p
ce,ce,52
qui,qui,52
est,être,17
pire,pire,30
",",",",p
continua,continuer,19
le,le,71
comte,comte,21
;,;,p
si,si,83
j',je,51
étais,être,18
à,à,81
Londres,Londres,20
ou,ou,82
à,à,81
Paris,Paris,20
",",",",p
peut-être,peut-être,60
en,en,52
rirais,rire,16
je,je,51
avec,avec,81
vous,vous,51
",",",",p
mais,mais,82
ici,ici,60
",",",",p
à,à,81
Naples,Naples,20
/…,/…,P
-,-,p
vous,vous,51
garderez,garder,15
votre,votre,73
sérieux,sérieux,30
;,;,p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
cela,cela,52
que,que,83
vous,vous,51
voulez,vouloir,17
dire,dire,14
/?,/?,P
-,-,p
précisément,précisément,60
/.,/.,P
-,-,p
arrivons,arriver,17
au,à,81
au,le,71
fascino,fascino,92
",",",",p
dit,dire,19
miss,miss,21
Ward,Ward,20
",",",",p
que,que,83
la,le,71
gravité,gravité,22
d',de,81
Altavilla,Altavilla,20
impressionnait,impressionner,18
malgré,malgré,81
elle,il,51
/.,/.,P
-,-,p
cette,ce,74
croyance,croyance,22
remonte,remonter,17
à,à,81
la,le,71
plus,plus,60
haute,haut,30
antiquité,antiquité,22
/.,/.,P
il,il,51
y,y,52
est,être,17
fait,faire,12
allusion,allusion,22
dans,dans,81
la,le,71
Bible,Bible,20
/.,/.,P
Virgile,Virgile,20
en,en,52
parle,parler,17
d',de,81
un,un,71
ton,ton,21
convaincu,convaincu,31
;,;,p
les,le,71
amulettes,amulette,22
de,de,81
bronze,bronze,21
trouvées,trouvé,31
à,à,81
Pompeïa,Pompeïa,20
",",",",p
à,à,81
Herculanum,Herculanum,20
",",",",p
à,à,81
Stabies,Stabies,20
",",",",p
les,le,71
signes,signe,21
préservatifs,préservatif,21
dessinés,dessiné,31
sur,sur,81
les,le,71
murs,mur,21
des,de,81
des,le,71
maisons,maison,22
déblayées,déblayé,31
",",",",p
montrent,montrer,17
combien,combien,60
cette,ce,74
superstition,superstition,22
était,être,18
jadis,jadis,60
répandue,répandre,12
(,(,p
Altavilla,Altavilla,20
souligna,souligner,19
le,le,71
mot,mot,21
superstition,superstition,22
avec,avec,81
une,un,71
intention,intention,22
maligne,malin,30
),),p
/.,/.,P
l',le,71
Orient,Orient,20
tout,tout,60
entier,entier,30
y,y,52
ajoute,ajouter,17
foi,foi,22
encore,encore,60
aujourd'hui,aujourd'hui,60
/.,/.,P
des,de,81
des,le,71
mains,main,22
rouges,rouge,30
ou,ou,82
vertes,vert,30
sont,être,17
appliquées,appliquer,12
de,de,81
chaque,chaque,75
côté,côté,21
de,de,81
l',le,71
une,un,52
des,de,81
des,le,71
maisons,maison,22
mauresques,mauresque,30
pour,pour,81
détourner,détourner,14
la,le,71
mauvaise,mauvais,30
influence,influence,22
/.,/.,P
on,on,51
voit,voir,17
une,un,71
main,main,22
sculptée,sculpté,31
sur,sur,81
le,le,71
claveau,claveau,21
de,de,81
la,le,71
porte,porte,22
du,de,81
du,le,71
jugement,jugement,21
à,à,81
l',le,71
Alhambra,Alhambra,20
",",",",p
ce,ce,52
qui,qui,52
prouve,prouver,17
que,que,83
ce,ce,74
préjugé,préjugé,21
est,être,17
du,de,81
du,le,71
moins,moins,60
fort,fort,60
ancien,ancien,30
s',si,83
il,il,51
n',ne,60
est,être,17
pas,pas,60
fondé,fonder,12
/.,/.,P
quand,quand,83
des,de,81
des,le,71
millions,million,21
d',de,81
hommes,homme,21
ont,avoir,17
pendant,pendant,81
des,de,81
des,le,71
milliers,millier,21
d',de,81
années,année,22
partagé,partager,12
une,un,71
opinion,opinion,22
",",",",p
il,il,51
est,être,17
probable,probable,30
que,que,83
cette,ce,74
opinion,opinion,22
si,si,60
généralement,généralement,60
reçue,reçu,31
s',se,51
appuyait,appuyer,18
sur,sur,81
des,de,81
des,le,71
faits,fait,21
positifs,positif,30
",",",",p
sur,sur,81
une,un,71
longue,long,30
suite,suite,22
d',de,81
observations,observation,22
justifiées,justifié,31
par,par,81
l',le,71
événement,événement,21
/…,/…,P
j',je,51
ai,avoir,17
peine,peine,22
à,à,81
croire,croire,14
",",",",p
quelque,quelque,75
idée,idée,22
avantageuse,avantageux,30
que,que,83
j',je,51
aie,avoir,17
de,de,81
moi-même,moi-même,51
",",",",p
que,que,83
tant,tant,60
de,de,81
personnes,personne,22
",",",",p
dont,dont,52
plusieurs,plusieurs,75
à,à,81
coup,coup,21
sûr,sûr,30
étaient,être,18
illustres,illustre,30
",",",",p
éclairées,éclairé,31
et,et,82
savantes,savant,30
",",",",p
se,se,51
soient,être,17
trompées,tromper,12
grossièrement,grossièrement,60
dans,dans,81
une,un,71
chose,chose,22
où,où,60
seul,seul,30
je,je,51
verrais,voir,16
clair,clair,60
/…,/…,P
-,-,p
votre,votre,73
raisonnement,raisonnement,21
est,être,17
facile,facile,30
à,à,81
rétorquer,rétorquer,14
",",",",p
interrompit,interrompre,19
miss,miss,22
Alicia,Alicia,20
Ward,Ward,20
:,:,p
le,le,71
polythéisme,polythéisme,21
n',ne,60
a,avoir,17
t,t,94
il,il,51
pas,pas,60
été,être,12
la,le,71
religion,religion,22
d',de,81
Hésiode,Hésiode,20
",",",",p
d',de,81
Homère,Homère,20
",",",",p
d',de,81
Aristote,Aristote,20
",",",",p
de,de,81
Platon,Platon,20
",",",",p
de,de,81
Socrate,Socrate,20
même,même,30
",",",",p
qui,qui,52
a,avoir,17
sacrifié,sacrifier,12
un,un,71
coq,coq,21
à,à,81
Esculape,Esculape,20
",",",",p
et,et,82
d',de,81
une,un,71
foule,foule,22
d',de,81
autres,autre,75
personnages,personnage,21
d',de,81
un,un,71
génie,génie,21
incontestable,incontestable,30
/?,/?,P
-,-,p
sans,sans,81
doute,doute,21
",",",",p
mais,mais,82
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
personne,personne,52
aujourd'hui,aujourd'hui,60
qui,qui,52
sacrifie,sacrifier,17
des,de,81
des,le,71
boeufs,boeuf,21
à,à,81
Jupiter,Jupiter,20
/.,/.,P
-,-,p
il,il,51
vaut,valoir,17
bien,bien,60
mieux,mieux,60
en,en,52
faire,faire,14
des,de,81
des,le,71
beefsteaks,bifteck,21
et,et,82
des,de,81
des,le,71
rumpsteaks,rumpsteaks,92
",",",",p
dit,dit,31
sentencieusement,sentencieusement,60
le,le,71
commodore,commodore,21
",",",",p
que,que,83
l',le,71
usage,usage,21
de,de,81
brûler,brûler,14
les,le,71
cuisses,cuisse,22
grasses,gras,30
des,de,81
des,le,71
victimes,victime,22
sur,sur,81
les,le,71
charbons,charbon,21
avait,avoir,18
toujours,toujours,60
choqué,choquer,12
dans,dans,81
Homère,Homère,20
/.,/.,P
-,-,p
on,on,51
n',ne,60
offre,offrir,17
plus,plus,60
de,de,81
colombes,colombe,22
à,à,81
Vénus,Vénus,20
",",",",p
ni,ni,82
de,de,81
paons,paon,21
à,à,81
Junon,Junon,20
",",",",p
ni,ni,82
de,de,81
boucs,bouc,21
à,à,81
Bacchus,Bacchus,20
;,;,p
le,le,71
christianisme,christianisme,21
a,avoir,17
remplacé,remplacer,12
ces,ce,74
rêves,rêve,21
de,de,81
marbre,marbre,21
blanc,blanc,30
dont,dont,52
la,le,71
Grèce,Grèce,20
avait,avoir,18
peuplé,peupler,12
son,son,73
Olympe,Olympe,20
;,;,p
la,le,71
vérité,vérité,22
a,avoir,17
fait,faire,12
évanouir,évanouir,14
l',le,71
erreur,erreur,22
",",",",p
et,et,82
une,un,71
infinité,infinité,22
de,de,81
gens,gens,21
redoutent,redouter,17
encore,encore,60
les,le,71
effets,effet,21
du,de,81
du,le,71
fascino,fascino,92
",",",",p
ou,ou,82
",",",",p
pour,pour,81
lui,lui,51
donner,donner,14
son,son,73
nom,nom,21
populaire,populaire,30
",",",",p
de,de,81
la,le,71
jettatura,jettatura,92
/.,/.,P
-,-,p
que,que,52
le,le,71
peuple,peuple,21
ignorant,ignorant,30
s',se,51
inquiète,inquiéter,17
de,de,81
pareilles,pareil,30
influences,influence,22
",",",",p
je,je,51
le,le,52
conçois,concevoir,17
",",",",p
dit,dire,17
miss,miss,21
Ward,Ward,20
;,;,p
mais,mais,82
qu',que,52
un,un,71
homme,homme,21
de,de,81
votre,votre,73
naissance,naissance,22
et,et,82
de,de,81
votre,votre,73
éducation,éducation,22
partage,partager,17
cette,ce,74
croyance,croyance,22
",",",",p
voilà,voilà,81
ce,ce,52
qui,qui,52
m',je,51
étonne,étonner,17
/.,/.,P
-,-,p
plus,plus,60
d',de,81
un,un,52
qui,qui,52
fait,faire,17
l',le,71
esprit,esprit,21
fort,fort,30
",",",",p
répondit,répondre,19
le,le,71
comte,comte,21
",",",",p
suspend,suspendre,17
à,à,81
sa,son,73
fenêtre,fenêtre,22
une,un,71
corne,corne,22
",",",",p
cloue,clouer,17
un,un,71
massacre,massacre,21
au-dessus,au-dessus,60
de,de,81
sa,son,73
porte,porte,22
",",",",p
et,et,82
ne,ne,60
marche,marcher,17
que,que,83
couvert,couvert,31
d',de,81
amulettes,amulette,22
;,;,p
moi,moi,51
",",",",p
je,je,51
suis,être,17
franc,franc,30
",",",",p
et,et,82
j',je,51
avoue,avouer,17
sans,sans,81
honte,honte,22
que,que,83
lorsque,lorsque,83
je,je,51
rencontre,rencontrer,17
un,un,71
jettatore,jettatore,92
",",",",p
je,je,51
prends,prendre,17
volontiers,volontiers,60
l',le,71
autre,autre,75
côté,côté,21
de,de,81
la,le,71
rue,rue,22
",",",",p
et,et,82
que,que,83
si,si,83
je,je,51
ne,ne,60
puis,pouvoir,17
éviter,éviter,14
son,son,73
regard,regard,21
",",",",p
je,je,51
le,le,52
conjure,conjurer,17
de,de,81
mon,mon,73
mieux,mieux,60
par,par,81
le,le,71
geste,geste,21
consacré,consacré,31
/.,/.,P
je,je,51
n',ne,60
y,y,52
mets,mettre,17
pas,pas,60
plus,plus,60
de,de,81
façon,façon,22
qu',que,83
un,un,71
lazzarone,lazzarone,92
",",",",p
et,et,82
je,je,51
m',je,51
en,en,52
trouve,trouver,17
bien,bien,60
/.,/.,P
des,de,81
des,le,71
mésaventures,mésaventure,22
nombreuses,nombreux,30
m',je,51
ont,avoir,17
appris,apprendre,12
à,à,81
ne,ne,60
pas,pas,60
dédaigner,dédaigner,14
ces,ce,74
précautions,précaution,22
/.,/.,P
“,“,p
miss,miss,22
Alicia,Alicia,20
Ward,Ward,20
était,être,18
une,un,71
protestante,protestante,22
",",",",p
élevée,élevé,31
avec,avec,81
une,un,71
grande,grand,30
liberté,liberté,22
d',de,81
esprit,esprit,21
philosophique,philosophique,30
",",",",p
qui,qui,52
n',ne,60
admettait,admettre,18
rien,rien,52
qu',que,83
après,après,81
examen,examen,21
",",",",p
et,et,82
dont,dont,52
la,le,71
raison,raison,22
droite,droit,30
répugnait,répugner,18
à,à,81
tout,tout,52
ce,ce,52
qui,qui,52
ne,ne,60
pouvait,pouvoir,18
s',se,51
expliquer,expliquer,14
mathématiquement,mathématiquement,60
/.,/.,P
les,le,71
discours,discours,21
du,de,81
du,le,71
comte,comte,21
la,le,52
surprenaient,surprendre,18
/.,/.,P
elle,il,51
voulut,vouloir,19
d'abord,d'abord,60
n',ne,60
y,y,52
voir,voir,14
qu',que,83
un,un,71
simple,simple,30
jeu,jeu,21
d',de,81
esprit,esprit,21
;,;,p
mais,mais,82
le,le,71
ton,ton,21
calme,calme,30
et,et,82
convaincu,convaincu,31
d',de,81
Altavilla,Altavilla,20
lui,lui,51
fit,faire,19
changer,changer,14
d',de,81
idée,idée,22
sans,sans,81
la,le,52
persuader,persuader,14
en,en,81
aucune,aucun,75
façon,façon,22
/.,/.,P
“,“,p
je,je,51
vous,vous,51
accorde,accorder,17
",",",",p
dit,dire,19
elle,il,51
",",",",p
que,que,83
ce,ce,74
préjugé,préjugé,21
existe,exister,17
",",",",p
qu',que,52
il,il,51
est,être,17
fort,fort,60
répandu,répandre,12
",",",",p
que,que,52
vous,vous,51
êtes,être,17
sincère,sincère,30
dans,dans,81
votre,votre,73
crainte,crainte,22
du,de,81
du,le,71
mauvais,mauvais,30
oeil,oeil,21
",",",",p
et,et,82
ne,ne,60
