11776
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-huitième extrait>,<>,<>
au,le,71
courant,courant,21
",",",",p
répondit,répondre,19
la,le,71
vieille,vieille,22
avec,avec,81
quelque,quelque,75
impatience,impatience,22
/.,/.,P
acceptez,accepter,17
vous,vous,51
ou,ou,82
n',ne,60
acceptez,accepter,17
vous,vous,51
pas,pas,60
/?,/?,P
eh,eh,93
bien,bien,60
!,!,p
non,non,60
",",",",p
je,je,51
n',ne,60
accepte,accepter,17
pas,pas,60
/…,/…,P
je,je,51
veux,vouloir,17
réfléchir,réfléchir,14
/.,/.,P
pour,pour,81
mille,mille,72
francs,franc,21
",",",",p
je,je,51
serais,être,16
bien,bien,60
bête,bête,30
de,de,81
risquer,risquer,14
peut-être,peut-être,60
une,un,71
fortune,fortune,22
/.,/.,P
Félicité,Félicité,20
se,se,51
leva,lever,19
/.,/.,P
-,-,p
à,à,81
votre,votre,73
aise,aise,22
",",",",p
mon,mon,73
cher,cher,30
",",",",p
dit,dire,19
elle,il,51
froidement,froidement,60
/.,/.,P
vraiment,vraiment,60
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
conscience,conscience,22
de,de,81
votre,votre,73
position,position,22
/.,/.,P
vous,vous,51
êtes,être,17
venu,venir,12
chez,chez,81
moi,moi,51
me,je,51
traiter,traiter,14
de,de,81
vieille,vieux,30
gueuse,gueuse,22
",",",",p
et,et,82
lorsque,lorsque,83
j',je,51
ai,avoir,17
la,le,71
bonté,bonté,22
de,de,81
vous,vous,51
tendre,tendre,14
la,le,71
main,main,22
dans,dans,81
le,le,71
trou,trou,21
où,où,60
vous,vous,51
avez,avoir,17
eu,avoir,12
la,le,71
sottise,sottise,22
de,de,81
tomber,tomber,14
",",",",p
vous,vous,51
faites,faire,17
des,de,81
des,le,71
façons,façon,22
",",",",p
vous,vous,51
ne,ne,60
voulez,vouloir,17
pas,pas,60
être,être,14
sauvé,sauver,12
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
restez,rester,17
ici,ici,60
",",",",p
attendez,attendre,17
que,que,83
les,le,71
autorités,autorité,22
reviennent,revenir,17
/.,/.,P
moi,moi,51
",",",",p
je,je,51
m',je,51
en,en,52
lave,laver,17
les,le,71
mains,main,22
/.,/.,P
elle,il,51
était,être,18
à,à,81
la,le,71
porte,porte,22
/.,/.,P
-,-,p
mais,mais,82
",",",",p
implora,implorer,19
t,t,94
il,il,51
",",",",p
donnez,donner,17
moi,moi,51
quelques,quelque,75
explications,explication,22
/.,/.,P
je,je,51
ne,ne,60
puis,pouvoir,17
pourtant,pourtant,60
pas,pas,60
conclure,conclure,14
un,un,71
marché,marché,21
avec,avec,81
vous,vous,51
sans,sans,81
savoir,savoir,14
/.,/.,P
depuis,depuis,81
deux,deux,72
jours,jour,21
j',je,51
ignore,ignorer,17
ce,ce,52
qui,qui,52
se,se,51
passe,passer,17
/.,/.,P
est,être,17
ce,ce,52
que,que,83
",",",",p
je,je,51
sais,savoir,17
",",",",p
moi,moi,51
",",",",p
si,si,83
vous,vous,51
ne,ne,60
me,je,51
volez,voler,17
pas,pas,60
/?,/?,P
tenez,tenir,17
",",",",p
vous,vous,51
êtes,être,17
un,un,71
niais,niais,21
",",",",p
répondit,répondre,19
Félicité,Félicité,20
",",",",p
que,que,52
ce,ce,74
cri,cri,21
du,de,81
du,le,71
coeur,coeur,21
poussé,poussé,31
par,par,81
Antoine,Antoine,20
fit,faire,19
revenir,revenir,14
sur,sur,81
ses,son,73
pas,pas,21
/.,/.,P
vous,vous,51
avez,avoir,17
grand,grand,30
tort,tort,21
de,de,81
ne,ne,60
pas,pas,60
vous,vous,51
mettre,mettre,14
aveuglément,aveuglément,60
de,de,81
notre,notre,73
côté,côté,21
/.,/.,P
mille,mille,72
francs,franc,21
",",",",p
c',ce,52
est,être,17
une,un,71
jolie,joli,30
somme,somme,22
",",",",p
et,et,82
on,on,51
ne,ne,60
la,le,52
risque,risquer,17
que,que,83
pour,pour,81
une,un,71
cause,cause,22
gagnée,gagné,31
/.,/.,P
acceptez,accepter,17
",",",",p
je,je,51
vous,vous,51
le,le,52
conseille,conseiller,17
/.,/.,P
il,il,51
hésitait,hésiter,18
toujours,toujours,60
/.,/.,P
-,-,p
mais,mais,82
quand,quand,83
nous,nous,51
voudrons,vouloir,15
prendre,prendre,14
la,le,71
mairie,mairie,22
",",",",p
est,être,17
ce,ce,52
qu',que,83
on,on,51
nous,nous,51
laissera,laisser,15
entrer,entrer,14
tranquillement,tranquillement,60
/?,/?,P
ça,ça,52
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
",",",",p
dit,dire,19
elle,il,51
avec,avec,81
un,un,71
sourire,sourire,21
/.,/.,P
il,il,51
y,y,52
aura,avoir,15
peut-être,peut-être,60
des,de,81
des,le,71
coups,coup,21
de,de,81
fusil,fusil,21
/.,/.,P
il,il,51
la,le,52
regarda,regarder,19
fixement,fixement,60
/.,/.,P
-,-,p
eh,eh,93
!,!,p
dites,dire,17
donc,donc,82
",",",",p
la,le,71
petite,petit,30
mère,mère,22
",",",",p
reprit,reprendre,19
il,il,51
d',de,81
une,un,71
voix,voix,22
rauque,rauque,30
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
au,à,81
au,le,71
moins,moins,60
l',le,71
intention,intention,22
de,de,81
me,je,51
faire,faire,14
loger,loger,14
une,un,71
balle,balle,22
dans,dans,81
la,le,71
tête,tête,22
/?,/?,P
Félicité,Félicité,20
rougit,rougir,19
/.,/.,P
elle,il,51
pensait,penser,18
justement,justement,60
",",",",p
en,en,81
effet,effet,21
",",",",p
qu',que,83
une,un,71
balle,balle,22
",",",",p
pendant,pendant,81
l',le,71
attaque,attaque,22
de,de,81
la,le,71
mairie,mairie,22
",",",",p
leur,leur,52
rendrait,rendre,16
un,un,71
grand,grand,30
service,service,21
en,en,81
les,le,52
débarrassant,débarrasser,13
d',de,81
Antoine,Antoine,20
/.,/.,P
ce,ce,52
serait,être,16
mille,mille,72
francs,franc,21
de,de,81
gagnés,gagné,31
/.,/.,P
aussi,aussi,60
se,se,51
fâcha,fâcher,19
t,t,94
elle,il,51
en,en,81
murmurant,murmurer,13
:,:,p
-,-,p
quelle,quel,75
idée,idée,22
!,!,p
vraiment,vraiment,60
",",",",p
c',ce,52
est,être,17
atroce,atroce,30
d',de,81
avoir,avoir,14
des,de,81
des,le,71
idées,idée,22
pareilles,pareil,30
/.,/.,P
puis,puis,60
",",",",p
subitement,subitement,60
calmée,calmé,31
:,:,p
-,-,p
acceptez,accepter,17
vous,vous,51
?,?,p
vous,vous,51
avez,avoir,17
compris,comprendre,12
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
Macquart,Macquart,20
avait,avoir,18
parfaitement,parfaitement,60
compris,comprendre,12
/.,/.,P
c',ce,52
était,être,18
un,un,71
guet-apens,guet-apens,21
qu',que,52
on,on,51
lui,lui,51
proposait,proposer,18
/.,/.,P
il,il,51
n',ne,60
en,en,52
voyait,voir,18
ni,ni,82
les,le,71
raisons,raison,22
ni,ni,82
les,le,71
conséquences,conséquence,22
;,;,p
ce,ce,52
qui,qui,52
le,le,52
décida,décider,19
à,à,81
marchander,marchander,14
/.,/.,P
après,après,81
avoir,avoir,14
parlé,parler,12
de,de,81
la,le,71
république,république,22
comme,comme,83
d',de,81
une,un,71
maîtresse,maîtresse,22
à,à,81
lui,lui,51
qu',que,52
il,il,51
était,être,18
désespéré,désespérer,12
de,de,81
ne,ne,60
plus,plus,60
aimer,aimer,14
",",",",p
il,il,51
mit,mettre,19
en,en,81
avant,avant,21
les,le,71
risques,risque,21
qu',que,52
il,il,51
aurait,avoir,16
à,à,81
courir,courir,14
",",",",p
et,et,82
finit,finir,19
par,par,81
demander,demander,14
deux,deux,72
mille,mille,72
francs,franc,21
/.,/.,P
mais,mais,82
Félicité,Félicité,20
tint,tenir,19
bon,bon,60
/.,/.,P
et,et,82
ils,ils,51
discutèrent,discuter,19
jusqu',jusque,81
à,à,81
ce,ce,52
qu',que,52
elle,il,51
eût,avoir,19
promis,promettre,12
de,de,81
lui,lui,51
procurer,procurer,14
",",",",p
à,à,81
sa,son,73
rentrée,rentrée,22
en,en,81
France,France,20
",",",",p
une,un,71
place,place,22
où,où,60
il,il,51
n',ne,60
aurait,avoir,16
rien,rien,52
à,à,81
faire,faire,14
",",",",p
et,et,82
qui,qui,52
lui,lui,51
rapporterait,rapporter,16
gros,gros,60
/.,/.,P
alors,alors,60
le,le,71
marché,marché,21
fut,être,19
conclu,conclure,12
/.,/.,P
elle,il,51
lui,lui,51
fit,faire,19
endosser,endosser,14
l',le,71
uniforme,uniforme,21
de,de,81
garde,garde,21
national,national,30
qu',que,52
elle,il,51
avait,avoir,18
apporté,apporter,12
/.,/.,P
il,il,51
devait,devoir,18
se,se,51
retirer,retirer,14
paisiblement,paisiblement,60
chez,chez,81
tante,tante,22
Dide,Dide,20
",",",",p
puis,puis,60
amener,amener,14
",",",",p
vers,vers,81
minuit,minuit,21
",",",",p
sur,sur,81
la,le,71
place,place,22
de,de,81
l',le,71
hôtel,hôtel,21
de,de,81
ville,ville,22
",",",",p
tous,tout,75
les,le,71
républicains,républicain,21
qu',que,52
il,il,51
rencontrerait,rencontrer,16
",",",",p
en,en,81
leur,leur,52
affirmant,affirmer,13
que,que,83
la,le,71
mairie,mairie,22
était,être,18
vide,vide,30
",",",",p
qu',que,83
il,il,51
suffirait,suffire,16
d',de,81
en,en,52
pousser,pousser,14
la,le,71
porte,porte,22
pour,pour,81
s',se,51
en,en,52
emparer,emparer,14
/.,/.,P
Antoine,Antoine,20
demanda,demander,19
des,de,81
des,le,71
arrhes,arrhe,21
",",",",p
et,et,82
reçut,recevoir,19
deux,deux,72
cents,cent,72
francs,franc,21
/.,/.,P
elle,il,51
s',se,51
engagea,engager,19
à,à,81
lui,lui,51
compter,compter,14
les,le,71
huit,huit,72
cents,cent,72
autres,autre,75
francs,franc,21
le,le,71
lendemain,lendemain,21
/.,/.,P
les,le,71
Rougon,Rougon,20
risquaient,risquer,18
là,là,60
les,le,71
derniers,dernier,30
sous,sou,21
dont,dont,52
ils,ils,51
pouvaient,pouvoir,18
disposer,disposer,14
/.,/.,P
quand,quand,83
Félicité,Félicité,20
fut,être,19
descendue,descendre,12
",",",",p
elle,il,51
resta,rester,19
un,un,71
instant,instant,21
sur,sur,81
la,le,71
place,place,22
pour,pour,81
voir,voir,14
sortir,sortir,14
Macquart,Macquart,20
/.,/.,P
il,il,51
passa,passer,19
tranquillement,tranquillement,60
devant,devant,81
le,le,71
poste,poste,21
",",",",p
en,en,81
se,se,51
mouchant,moucher,13
/.,/.,P
d',de,81
un,un,71
coup,coup,21
de,de,81
poing,poing,21
",",",",p
dans,dans,81
le,le,71
cabinet,cabinet,21
",",",",p
il,il,51
avait,avoir,18
cassé,casser,12
la,le,71
vitre,vitre,22
du,de,81
du,le,71
plafond,plafond,21
",",",",p
pour,pour,81
faire,faire,14
croire,croire,14
qu',que,83
il,il,51
s',se,51
était,être,18
sauvé,sauver,12
par là,par-là,60
/.,/.,P
-,-,p
c',ce,52
est,être,17
entendu,entendre,12
",",",",p
dit,dire,19
Félicité,Félicité,20
à,à,81
son,son,73
mari,mari,21
",",",",p
en,en,81
rentrant,rentrer,13
chez,chez,81
elle,il,51
/.,/.,P
ce,ce,52
sera,être,15
pour,pour,81
minuit,minuit,21
/…,/…,P
moi,moi,51
",",",",p
ça,ça,52
ne,ne,60
me,je,51
fait,faire,17
plus,plus,60
rien,rien,52
/.,/.,P
je,je,51
voudrais,vouloir,16
les,le,52
voir,voir,14
tous,tout,52
fusillés,fusillé,31
/.,/.,P
nous,nous,51
déchiraient,déchirer,18
ils,ils,51
",",",",p
hier,hier,60
",",",",p
dans,dans,81
la,le,71
rue,rue,22
/!,/!,P
tu,tu,51
étais,être,18
bien,bien,60
bonne,bon,30
d',de,81
hésiter,hésiter,14
",",",",p
répondit,répondre,19
Pierre,Pierre,20
",",",",p
qui,qui,52
se,se,51
rasait,raser,18
/.,/.,P
tout,tout,75
le,le,71
monde,monde,21
ferait,faire,16
comme,comme,83
nous,nous,51
à,à,81
notre,notre,73
place,place,22
/.,/.,P
ce,ce,74
matin,matin,21
là,là,60
-,-,p
on,on,51
était,être,18
au,à,81
au,le,71
mercredi,mercredi,21
-,-,p
il,il,51
soigna,soigner,19
particulièrement,particulièrement,60
sa,son,73
toilette,toilette,22
/.,/.,P
ce,ce,52
fut,être,19
sa,son,73
femme,femme,22
qui,qui,52
le,le,52
peigna,peigner,19
et,et,82
noua,nouer,19
sa,son,73
cravate,cravate,22
/.,/.,P
elle,il,51
le,le,52
tourna,tourner,19
entre,entre,81
ses,son,73
mains,main,22
comme,comme,83
un,un,71
enfant,enfant,21
qui,qui,52
va,aller,17
à,à,81
la,le,71
distribution,distribution,22
des,de,81
des,le,71
prix,prix,21
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
il,il,51
fut,être,19
prêt,prêt,30
",",",",p
elle,il,51
le,le,52
regarda,regarder,19
",",",",p
elle,il,51
déclara,déclarer,19
qu',que,83
il,il,51
était,être,18
très,très,60
convenable,convenable,30
",",",",p
et,et,82
qu',que,52
il,il,51
aurait,avoir,16
très,très,60
bonne,bon,30
figure,figure,22
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
graves,grave,30
événements,événement,21
qui,qui,52
se,se,51
préparaient,préparer,18
/.,/.,P
sa,son,73
grosse,gros,30
face,face,22
pâle,pâle,30
avait,avoir,18
en,en,81
effet,effet,21
une,un,71
grande,grand,30
dignité,dignité,22
et,et,82
un,un,71
air,air,21
d',de,81
entêtement,entêtement,21
héroïque,héroïque,30
/.,/.,P
elle,il,51
l',le,52
accompagna,accompagner,19
jusqu',jusque,81
au,à,81
au,le,71
premier,premier,72
étage,étage,21
",",",",p
en,en,81
lui,lui,51
faisant,faire,13
ses,son,73
dernières,dernier,30
recommandations,recommandation,22
:,:,p
il,il,51
ne,ne,60
devait,devoir,18
rien,rien,52
perdre,perdre,14
de,de,81
son,son,73
attitude,attitude,22
courageuse,courageux,30
",",",",p
quelle,quel,52
que,que,52
fut,être,19
la,le,71
panique,panique,22
;,;,p
il,il,51
fallait,falloir,18
fermer,fermer,14
les,le,71
portes,porte,22
plus,plus,60
hermétiquement,hermétiquement,60
que,que,83
jamais,jamais,60
",",",",p
laisser,laisser,14
la,le,71
ville,ville,22
agoniser,agoniser,14
de,de,81
terreur,terreur,22
dans,dans,81
ses,son,73
remparts,rempart,21
;,;,p
et,et,82
cela,cela,52
serait,être,16
excellent,excellent,30
",",",",p
s',si,83
il,il,51
était,être,18
le,le,71
seul,seul,30
à,à,81
vouloir,vouloir,14
mourir,mourir,14
pour,pour,81
la,le,71
cause,cause,22
de,de,81
l',le,71
ordre,ordre,21
/.,/.,P
quelle,quel,75
journée,journée,22
/!,/!,P
les,le,71
Rougon,Rougon,20
en,en,52
parlent,parler,17
encore,encore,60
",",",",p
comme,comme,83
d',de,81
une,un,71
bataille,bataille,22
glorieuse,glorieux,30
et,et,82
décisive,décisif,30
/.,/.,P
Pierre,Pierre,20
alla,aller,19
droit,droit,60
à,à,81
la,le,71
mairie,mairie,22
",",",",p
sans,sans,81
s',se,51
inquiéter,inquiéter,14
des,de,81
des,le,71
regards,regard,21
ni,ni,82
des,de,81
des,le,71
paroles,parole,22
qu',que,52
il,il,51
surprit,surprendre,19
au,à,81
au,le,71
passage,passage,21
/.,/.,P
il,il,51
s',se,51
y,y,52
installa,installer,19
magistralement,magistralement,60
",",",",p
en,en,81
homme,homme,21
qui,qui,52
entend,entendre,17
ne,ne,60
plus,plus,60
quitter,quitter,14
la,le,71
place,place,22
/.,/.,P
il,il,51
envoya,envoyer,19
simplement,simplement,60
un,un,71
mot,mot,21
à,à,81
Roudier,Roudier,20
",",",",p
pour,pour,81
l',le,52
avertir,avertir,14
qu',que,83
il,il,51
reprenait,reprendre,18
le,le,71
pouvoir,pouvoir,21
/.,/.,P
“,“,p
veillez,veiller,17
aux,à,81
aux,le,71
portes,porte,22
",",",",p
disait,dire,18
il,il,51
",",",",p
sachant,savoir,13
que,que,83
ces,ce,74
lignes,ligne,22
pouvaient,pouvoir,18
devenir,devenir,14
publiques,public,30
;,;,p
moi,moi,51
",",",",p
je,je,51
veillerai,veiller,15
à,à,81
l',le,71
intérieur,intérieur,21
",",",",p
je,je,51
ferai,faire,15
respecter,respecter,14
les,le,71
propriétés,propriété,22
et,et,82
les,le,71
personnes,personne,22
/.,/.,P
c',ce,52
est,être,17
au,à,81
au,le,71
moment,moment,21
où,où,60
les,le,71
mauvaises,mauvais,30
passions,passion,22
renaissent,renaître,17
et,et,82
l',le,52
emportent,emporter,17
",",",",p
que,que,83
les,le,71
bons,bon,30
citoyens,citoyen,21
doivent,devoir,17
chercher,chercher,14
à,à,81
les,le,52
étouffer,étouffer,14
",",",",p
au,à,81
au,le,71
péril,péril,21
de,de,81
leur,leur,73
vie,vie,22
/.,/.,P
“,“,p
le,le,71
style,style,21
",",",",p
les,le,71
fautes,faute,22
d',de,81
orthographe,orthographe,22
rendaient,rendre,18
plus,plus,60
héroïque,héroïque,30
ce,ce,74
billet,billet,21
",",",",p
d',de,81
un,un,71
laconisme,laconisme,21
antique,antique,30
/.,/.,P
pas,pas,60
un,un,52
de,de,81
ces,ce,74
messieurs,monsieur,21
de,de,81
la,le,71
commission,commission,22
provisoire,provisoire,30
ne,ne,60
parut,paraître,19
/.,/.,P
les,le,71
deux,deux,72
derniers,dernier,30
fidèles,fidèle,21
",",",",p
Granoux,Granoux,20
lui-même,lui-même,51
",",",",p
se,se,51
tinrent,tenir,19
prudemment,prudemment,60
chez,chez,81
eux,ils,51
/.,/.,P
de,de,81
cette,ce,74
commission,commission,22
",",",",p
dont,dont,52
les,le,71
membres,membre,21
s',se,51
étaient,être,18
évanouis,évanouir,12
",",",",p
à,à,81
mesure,mesure,22
que,que,83
la,le,71
panique,panique,22
soufflait,souffler,18
plus,plus,60
forte,fort,30
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
que,que,83
Rougon,Rougon,20
qui,qui,52
restât,rester,18
à,à,81
son,son,73
poste,poste,21
",",",",p
sur,sur,81
son,son,73
fauteuil,fauteuil,21
de,de,81
président,président,21
/.,/.,P
il,il,51
ne,ne,60
daigna,daigner,19
pas,pas,60
même,même,60
envoyer,envoyer,14
un,un,71
ordre,ordre,21
de,de,81
convocation,convocation,22
/.,/.,P
lui,lui,51
seul,seul,30
",",",",p
et,et,82
c',ce,52
était,être,18
assez,assez,60
/.,/.,P
sublime,sublime,30
spectacle,spectacle,21
qu',que,52
un,un,71
journal,journal,21
de,de,81
la,le,71
localité,localité,22
devait,devoir,18
plus,plus,60
tard,tard,60
caractériser,caractériser,14
d',de,81
un,un,71
mot,mot,21
:,:,p
“,“,p
le,le,71
courage,courage,21
donnant,donner,13
la,le,71
main,main,22
au,à,81
au,le,71
devoir,devoir,21
/.,/.,P
“,“,p
pendant,pendant,81
toute,tout,75
la,le,71
matinée,matinée,22
",",",",p
on,on,51
vit,voir,19
Pierre,Pierre,20
emplir,emplir,14
la,le,71
mairie,mairie,22
de,de,81
ses,son,73
allées,allée,22
et,et,82
venues,venue,22
/.,/.,P
il,il,51
était,être,18
absolument,absolument,60
seul,seul,30
",",",",p
dans,dans,81
ce,ce,74
grand,grand,30
bâtiment,bâtiment,21
vide,vide,21
",",",",p
dont,dont,52
les,le,71
hautes,haut,30
salles,salle,22
retentissaient,retentir,18
longuement,longuement,60
du,de,81
du,le,71
bruit,bruit,21
de,de,81
ses,son,73
talons,talon,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
toutes,tout,75
les,le,71
portes,porte,22
étaient,être,18
ouvertes,ouvrir,12
/.,/.,P
il,il,51
promenait,promener,18
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ce,ce,74
désert,désert,21
sa,son,73
présidence,présidence,22
sans,sans,81
conseil,conseil,21
",",",",p
d',de,81
un,un,71
air,air,21
si,si,60
pénétré,pénétré,31
de,de,81
sa,son,73
mission,mission,22
",",",",p
que,que,83
le,le,71
concierge,concierge,21
",",",",p
en,en,81
le,le,52
rencontrant,rencontrer,13
deux,deux,72
ou,ou,82
trois,trois,72
fois,fois,22
dans,dans,81
les,le,71
couloirs,couloir,21
",",",",p
le,le,52
salua,saluer,19
d',de,81
un,un,71
air,air,21
surpris,surpris,31
et,et,82
respectueux,respectueux,30
/.,/.,P
on,on,51
l',le,52
aperçut,apercevoir,19
derrière,derrière,81
chaque,chaque,75
croisée,croisée,22
",",",",p
et,et,82
",",",",p
malgré,malgré,81
le,le,71
froid,froid,21
vif,vif,30
",",",",p
il,il,51
parut,paraître,19
à,à,81
plusieurs,plusieurs,75
reprises,reprise,22
sur,sur,81
le,le,71
balcon,balcon,21
",",",",p
avec,avec,81
des,de,81
des,le,71
liasses,liasse,22
de,de,81
papiers,papier,21
dans,dans,81
les,le,71
mains,main,22
",",",",p
comme,comme,83
un,un,71
homme,homme,21
affairé,affairé,31
qui,qui,52
attend,attendre,17
des,de,81
des,le,71
messages,message,21
importants,important,30
/.,/.,P
puis,puis,60
",",",",p
vers,vers,81
midi,midi,21
",",",",p
il,il,51
courut,courir,19
la,le,71
ville,ville,22
;,;,p
il,il,51
visita,visiter,19
les,le,71
postes,poste,22
",",",",p
parlant,parler,13
d',de,81
une,un,71
attaque,attaque,22
possible,possible,30
",",",",p
donnant,donner,13
à,à,81
entendre,entendre,14
que,que,83
les,le,71
insurgés,insurgé,21
n',ne,60
étaient,être,18
pas,pas,60
loin,loin,60
;,;,p
mais,mais,82
il,il,51
comptait,compter,18
",",",",p
disait,dire,18
il,il,51
",",",",p
sur,sur,81
le,le,71
courage,courage,21
des,de,81
des,le,71
braves,brave,30
gardes,garde,21
nationaux,national,30
;,;,p
s',si,83
il,il,51
le,le,52
fallait,falloir,18
",",",",p
ils,ils,51
devaient,devoir,18
se,se,51
faire,faire,14
tuer,tuer,14
jusqu',jusque,81
au,à,81
au,le,71
dernier,dernier,21
pour,pour,81
la,le,71
défense,défense,22
de,de,81
la,le,71
bonne,bon,30
cause,cause,22
/.,/.,P
quand,quand,83
il,il,51
revint,revenir,19
de,de,81
cette,ce,74
tournée,tournée,22
",",",",p
lentement,lentement,60
",",",",p
gravement,gravement,60
",",",",p
avec,avec,81
l',le,71
allure,allure,22
d',de,81
un,un,71
héros,héros,21
qui,qui,52
a,avoir,17
mis,mettre,12
ordre,ordre,21
aux,à,81
aux,le,71
affaires,affaire,22
de,de,81
sa,son,73
patrie,patrie,22
",",",",p
et,et,82
qui,qui,52
n',ne,60
attend,attendre,17
plus,plus,60
que,que,83
la,le,71
mort,mort,22
",",",",p
il,il,51
put,pouvoir,19
constater,constater,14
une,un,71
véritable,véritable,30
stupeur,stupeur,22
sur,sur,81
son,son,73
chemin,chemin,21
;,;,p
les,le,71
promeneurs,promeneur,21
du,de,81
du,le,71
cours,cours,21
",",",",p
les,le,71
petits,petit,30
rentiers,rentier,21
incorrigibles,incorrigible,30
qu',que,52
aucune,aucun,75
catastrophe,catastrophe,22
n',ne,60
aurait,avoir,16
pu,pouvoir,12
empêcher,empêcher,14
de,de,81
venir,venir,14
bayer,bailler,14
au,à,81
au,le,71
soleil,soleil,21
",",",",p
à,à,81
certaines,certain,75
heures,heure,22
",",",",p
le,le,52
regardèrent,regarder,19
passer,passer,14
d',de,81
un,un,71
air,air,21
ahuri,ahuri,30
",",",",p
comme,comme,83
s',si,83
ils,ils,51
ne,ne,60
le,le,52
reconnaissaient,reconnaître,18
pas,pas,60
et,et,82
qu',que,83
ils,ils,51
ne,ne,60
pussent,pouvoir,18
croire,croire,14
qu',que,83
un,un,52
des,de,81
des,le,71
leurs,leur,52
",",",",p
qu',que,83
un,un,71
ancien,ancien,30
marchand,marchand,21
d',de,81
huile,huile,22
",",",",p
eût,avoir,19
le,le,71
front,front,21
de,de,81
tenir,tenir,14
tête,tête,22
à,à,81
toute,tout,75
une,un,71
armée,armée,22
/.,/.,P
dans,dans,81
la,le,71
ville,ville,22
",",",",p
l',le,71
anxiété,anxiété,22
était,être,18
à,à,81
son,son,73
comble,comble,21
/.,/.,P
d',de,81
un,un,71
instant,instant,21
à,à,81
l',le,71
autre,autre,52
",",",",p
on,on,51
attendait,attendre,18
la,le,71
bande,bande,22
insurrectionnelle,insurrectionnel,30
/.,/.,P
le,le,71
bruit,bruit,21
de,de,81
l',le,71
évasion,évasion,22
de,de,81
Macquart,Macquart,20
fut,être,19
commenté,commenter,12
d',de,81
une,un,71
effrayante,effrayant,30
façon,façon,22
/.,/.,P
on,on,51
prétendit,prétendre,19
qu',que,83
il,il,51
avait,avoir,18
été,être,12
délivré,délivrer,12
par,par,81
ses,son,73
amis,ami,21
les,le,71
rouges,rouge,21
",",",",p
et,et,82
qu',que,52
il,il,51
attendait,attendre,18
la,le,71
nuit,nuit,22
",",",",p
dans,dans,81
quelque,quelque,75
coin,coin,21
",",",",p
pour,pour,81
se,se,51
jeter,jeter,14
sur,sur,81
les,le,71
habitants,habitant,21
et,et,82
mettre,mettre,14
le,le,71
feu,feu,21
aux,à,81
aux,le,71
quatre,quatre,72
coins,coin,21
de,de,81
la,le,71
ville,ville,22
/.,/.,P
Plassans,Plassans,20
",",",",p
cloîtré,cloîtré,31
",",",",p
affolé,affolé,31
",",",",p
se,se,51
dévorant,dévorer,13
lui-même,lui-même,51
dans,dans,81
sa,son,73
prison,prison,22
de,de,81
murailles,muraille,22
",",",",p
ne,ne,60
savait,savoir,18
plus,plus,60
qu',que,83
inventer,inventer,14
pour,pour,81
avoir,avoir,14
peur,peur,22
/.,/.,P
les,le,71
républicains,républicain,21
",",",",p
devant,devant,81
la,le,71
fière,fier,30
attitude,attitude,22
de,de,81
Rougon,Rougon,20
",",",",p
eurent,avoir,19
une,un,71
courte,court,30
méfiance,méfiance,22
/.,/.,P
quant,quand,83
à,à,81
la,le,71
ville,ville,22
neuve,neuf,30
",",",",p
aux,à,81
aux,le,71
avocats,avocat,21
et,et,82
aux,à,81
aux,le,71
commerçants,commerçant,21
retirés,retiré,31
",",",",p
qui,qui,52
la,le,52
veille,veiller,17
déblatéraient,déblatérer,18
contre,contre,81
le,le,71
salon,salon,21
jaune,jaune,30
",",",",p
ils,ils,51
furent,être,19
si,si,60
surpris,surprendre,12
",",",",p
qu',que,83
ils,ils,51
n',ne,60
osèrent,oser,19
plus,plus,60
attaquer,attaquer,14
ouvertement,ouvertement,60
un,un,71
homme,homme,21
d',de,81
un,un,71
tel,tel,75
courage,courage,21
/.,/.,P
ils,ils,51
se,se,51
contentèrent,contenter,19
de,de,81
dire,dire,14
qu',que,83
il,il,51
y,y,52
avait,avoir,18
folie,folie,22
à,à,81
braver,braver,14
ainsi,ainsi,60
des,de,81
des,le,71
insurgés,insurgé,21
victorieux,victorieux,30
et,et,82
que,que,83
cet,ce,74
héroïsme,héroïsme,21
inutile,inutile,30
allait,aller,18
attirer,attirer,14
sur,sur,81
Plassans,Plassans,20
les,le,71
plus,plus,60
grands,grand,30
malheurs,malheur,21
/.,/.,P
puis,puis,60
",",",",p
vers,vers,81
trois,trois,72
heures,heure,22
",",",",p
ils,ils,51
organisèrent,organiser,19
une,un,71
députation,députation,22
/.,/.,P
Pierre,Pierre,20
",",",",p
qui,qui,52
brûlait,brûler,18
du,de,81
du,le,71
désir,désir,21
d',de,81
afficher,afficher,14
son,son,73
dévouement,dévouement,21
devant,devant,81
ses,son,73
concitoyens,concitoyen,21
",",",",p
n',ne,60
osait,oser,18
cependant,cependant,82
pas,pas,60
compter,compter,14
