11659
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Centième extrait>,<>,<>
Nucingen,Nucingen,20
sait,savoir,17
que,que,83
du,de,81
du,le,71
Tillet,Tillet,20
a,avoir,17
une,un,71
grande,grand,30
fortune,fortune,22
",",",",p
il,il,51
veut,vouloir,17
le,le,52
marier,marier,14
à,à,81
Malvina,Malvina,20
;,;,p
mais,mais,82
du,de,81
du,le,71
Tillet,Tillet,20
se,se,51
défie,défier,17
de,de,81
Nucingen,Nucingen,20
/.,/.,P
pour,pour,81
qui,qui,52
voit,voir,17
le,le,71
jeu,jeu,21
",",",",p
cette,ce,74
partie,partie,22
est,être,17
amusante,amusant,30
/.,/.,P
-,-,p
comment,comment,60
",",",",p
dit,dire,19
Werbrust,Werbrust,20
",",",",p
déjà,déjà,60
bonne,bon,30
à,à,81
marier,marier,14
?,?,p
comme,comme,83
nous,nous,51
vieillissons,vieillir,17
vite,vite,60
/!,/!,P
Malvina,Malvina,20
d',de,81
Aldrigger,Aldrigger,20
a,avoir,17
vingt,vingt,72
ans,an,21
",",",",p
mon,mon,73
cher,cher,30
/.,/.,P
le,le,71
bonhomme,bonhomme,21
d',de,81
Aldrigger,Aldrigger,20
s',se,51
est,être,17
marié,marier,12
en,en,81
<Nombre 1800>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
<Fin nombre>,<>,<>
il,il,51
nous,nous,51
a,avoir,17
donné,donner,12
d',de,81
assez,assez,60
belles,beau,30
fêtes,fête,22
à,à,81
Strasbourg,Strasbourg,20
pour,pour,81
son,son,21
mariage,mariage,21
et,et,82
pour,pour,81
la,le,71
naissance,naissance,22
de,de,81
Malvina,Malvina,20
/.,/.,P
c',ce,52
était,être,18
en,en,81
<Nombre 1801>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
un,un,72
<Fin nombre>,<>,<>
",",",",p
à,à,81
la,le,71
paix,paix,22
d',de,81
Amiens,Amiens,20
",",",",p
et,et,82
nous,nous,51
sommes,être,17
en,en,81
<Nombre 1823>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
vingt,vingt,72
trois,trois,72
<Fin nombre>,<>,<>
",",",",p
papa,papa,21
Werbrust,Werbrust,20
/.,/.,P
dans,dans,81
ce,ce,74
temps,temps,21
là,là,60
",",",",p
on,on,51
ossianisait,ossianiser,18
tout,tout,52
",",",",p
il,il,51
a,avoir,17
nommé,nommer,12
sa,son,73
fille,fille,22
",",",",p
Malvina,Malvina,20
/.,/.,P
six,six,72
ans,an,21
après,après,81
",",",",p
sous,sous,81
l',le,71
Empire,empire,21
",",",",p
il,il,51
y,y,52
a,avoir,17
eu,avoir,12
pendant,pendant,81
quelque,quelque,75
temps,temps,21
une,un,71
fureur,fureur,22
pour,pour,81
les,le,71
choses,chose,22
chevaleresques,chevaleresque,30
",",",",p
c',ce,52
était,être,18
:,:,p
partant,partir,13
pour,pour,81
la,le,71
Syrie,Syrie,20
",",",",p
un,un,71
tas,tas,21
de,de,81
bêtises,bêtise,22
/.,/.,P
il,il,51
a,avoir,17
nommé,nommer,12
sa,son,73
seconde,second,72
fille,fille,22
Isaure,Isaure,20
",",",",p
elle,il,51
a,avoir,17
dix,dix,72
sept,sept,72
ans,an,21
/.,/.,P
voilà,voilà,81
deux,deux,72
filles,fille,22
à,à,81
marier,marier,14
/.,/.,P
-,-,p
ces,ce,74
femmes,femme,22
n',ne,60
auront,avoir,15
pas,pas,60
un,un,71
sou,sou,21
dans,dans,81
dix,dix,72
ans,an,21
",",",",p
dit,dire,19
Werbrust,Werbrust,20
confidentiellement,confidentiellement,60
à,à,81
Desroches,Desroches,20
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
",",",",p
répondit,répondre,19
Taillefer,Taillefer,20
",",",",p
le,le,71
valet,valet,21
de,de,81
chambre,chambre,22
de,de,81
d',de,81
Aldrigger,Aldrigger,20
",",",",p
ce,ce,74
vieux,vieux,21
qui,qui,52
beugle,beugler,17
au,à,81
au,le,71
fond,fond,21
de,de,81
l',le,71
église,église,22
",",",",p
il,il,51
a,avoir,17
vu,voir,12
élever,élever,14
ces,ce,74
deux,deux,72
demoiselles,demoiselle,22
",",",",p
il,il,51
est,être,17
capable,capable,30
de,de,81
tout,tout,52
pour,pour,81
leur,leur,52
conserver,conserver,14
de,de,81
quoi,quoi,52
vivre,vivre,14
/.,/.,P
(,(,p
les,le,71
chantres,chantre,21
:,:,p
dies irae,dies irae,21
!,!,p
),),p
les,le,71
enfants,enfant,21
de,de,81
choeurs,choeur,21
:,:,p
dies,dies,92
illa,ille,92
!,!,p
(,(,p
Taillefer,Taillefer,20
:,:,p
-,-,p
adieu,adieu,21
",",",",p
Werbrust,Werbrust,20
",",",",p
en,en,81
entendant,entendre,13
le,le,71
dies irae,dies irae,21
",",",",p
je,je,51
pense,penser,17
trop,trop,60
à,à,81
mon,mon,73
pauvre,pauvre,30
fils,fils,21
/.,/.,P
-,-,p
je,je,51
m',je,51
en,en,52
vais,aller,17
aussi,aussi,60
",",",",p
il,il,51
fait,faire,17
trop,trop,60
humide,humide,30
",",",",p
dit,dire,19
Werbrust,Werbrust,20
/.,/.,P
(,(,p
in,in,92
favilla,favilla,92
/.,/.,P
),),p
(,(,p
les,le,71
pauvres,pauvre,21
à,à,81
la,le,71
porte,porte,22
:,:,p
quelques,quelque,75
sous,sou,21
",",",",p
mes,mon,73
chers,cher,30
messieurs,monsieur,21
!,!,p
),),p
(,(,p
le,le,71
suisse,suisse,21
:,:,p
Pan,Pan,20
!,!,p
pan,pan,21
!,!,p
pour,pour,81
les,le,71
besoins,besoin,21
de,de,81
l',le,71
église,église,22
/.,/.,P
les,le,71
chantres,chantre,21
:,:,p
amen,amen,21
/!,/!,P
un,un,71
ami,ami,21
:,:,p
de,de,81
quoi,quoi,52
est,être,17
il,il,51
mort,mourir,12
/?,/?,P
un,un,71
curieux,curieux,30
farceur,farceur,21
:,:,p
d',de,81
un,un,71
vaisseau,vaisseau,21
rompu,rompu,31
dans,dans,81
le,le,71
talon,talon,21
/.,/.,P
un,un,71
passant,passant,21
:,:,p
savez,savoir,17
vous,vous,51
quel,quel,52
est,être,17
le,le,71
personnage,personnage,21
qui,qui,52
s',se,51
est,être,17
laissé,laisser,12
mourir,mourir,14
/?,/?,P
un,un,71
parent,parent,21
:,:,p
le,le,71
président,président,21
de,de,81
Montesquieu,Montesquieu,20
/.,/.,P
le,le,71
sacristain,sacristain,21
aux,à,81
aux,le,71
pauvres,pauvre,21
:,:,p
allez,aller,17
vous,vous,51
en,en,52
donc,donc,82
",",",",p
on,on,51
nous,nous,51
a,avoir,17
donné,donner,12
pour,pour,81
vous,vous,51
",",",",p
ne,ne,60
demandez,demander,17
plus,plus,60
rien,rien,52
!,!,p
),),p
-,-,p
quelle,quel,75
verve,verve,22
!,!,p
dit,dire,19
Couture,Couture,20
/.,/.,P
(,(,p
en,en,81
effet,effet,21
il,il,51
nous,nous,51
semblait,sembler,18
entendre,entendre,14
tout,tout,75
le,le,71
mouvement,mouvement,21
qui,qui,52
se,se,51
fait,faire,17
dans,dans,81
une,un,71
église,église,22
/.,/.,P
Bixiou,Bixiou,20
imitait,imiter,18
tout,tout,52
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
bruit,bruit,21
des,de,81
des,le,71
gens,gens,21
qui,qui,52
s',se,51
en,en,52
vont,aller,17
avec,avec,81
le,le,71
corps,corps,21
",",",",p
par,par,81
un,un,71
remuement,remuement,21
de,de,81
pieds,pied,21
sur,sur,81
le,le,71
plancher,plancher,21
/.,/.,P
),),p
-,-,p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
poètes,poète,21
",",",",p
des,de,81
des,le,71
romanciers,romancier,21
",",",",p
des,de,81
des,le,71
écrivains,écrivain,21
qui,qui,52
disent,dire,17
beaucoup,beaucoup,60
de,de,81
belles,beau,30
choses,chose,22
sur,sur,81
les,le,71
moeurs,moeurs,22
parisiennes,parisien,30
",",",",p
reprit,reprendre,19
Bixiou,Bixiou,20
",",",",p
mais,mais,82
voilà,voilà,81
la,le,71
vérité,vérité,22
sur,sur,81
les,le,71
enterrements,enterrement,21
/.,/.,P
sur,sur,81
cent,cent,72
personnes,personne,22
qui,qui,52
rendent,rendre,17
les,le,71
derniers,dernier,30
devoirs,devoir,21
à,à,81
un,un,71
pauvre,pauvre,30
diable,diable,21
de,de,81
mort,mort,21
",",",",p
quatre,quatre,72
vingt,vingt,72
dix,dix,72
neuf,neuf,72
parlent,parler,17
d',de,81
affaires,affaire,22
et,et,82
de,de,81
plaisirs,plaisir,21
en,en,81
pleine,plein,30
église,église,22
/.,/.,P
pour,pour,81
observer,observer,14
quelque,quelque,75
pauvre,pauvre,30
petite,petit,30
vraie,vrai,30
douleur,douleur,22
",",",",p
il,il,51
faut,falloir,17
des,de,81
des,le,71
circonstances,circonstance,22
impossibles,impossible,30
/.,/.,P
encore,encore,60
!,!,p
y,y,52
a,avoir,17
t,t,94
il,il,51
une,un,71
douleur,douleur,22
sans,sans,81
égoïsme,égoïsme,21
/?,/?,P
-,-,p
heu,heu,93
!,!,p
heu,heu,93
!,!,p
fit,faire,19
Blondet,Blondet,20
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
de,de,81
moins,moins,60
respecté,respecter,12
que,que,83
la,le,71
mort,mort,22
",",",",p
peut-être,peut-être,60
est,être,17
ce,ce,52
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
moins,moins,60
respectable,respectable,30
/?,/?,P
-,-,p
c',ce,52
est,être,17
si,si,60
commun,commun,30
!,!,p
reprit,reprendre,19
Bixiou,Bixiou,20
/.,/.,P
quand,quand,83
le,le,71
service,service,21
fut,être,19
fini,finir,12
",",",",p
Nucingen,Nucingen,20
et,et,82
du,de,81
du,le,71
Tillet,Tillet,20
accompagnèrent,accompagner,19
le,le,71
défunt,défunt,21
au,à,81
au,le,71
cimetière,cimetière,21
/.,/.,P
le,le,71
vieux,vieux,30
valet,valet,21
de,de,81
chambre,chambre,22
allait,aller,18
à,à,81
pied,pied,21
/.,/.,P
le,le,71
cocher,cocher,21
menait,mener,18
la,le,71
voiture,voiture,22
derrière,derrière,81
celle,celui,52
du,de,81
du,le,71
clergé,clergé,21
/.,/.,P
-,-,p
hé,hé,93
pien,bien,60
!,!,p
ma,mon,73
ponne,bon,30
ami,ami,21
",",",",p
dit,dire,19
Nucingen,Nucingen,20
à,à,81
du,de,81
du,le,71
Tillet,Tillet,20
en,en,81
tournant,tourner,13
le,le,71
boulevard,boulevard,21
",",",",p
<location est pelle bire ebiser Malfina : fous serez le brodecdir teu zette baufre vamile han plires - visse aurez eine vamile - ine indérière ; fous drouferez eine mison doute mondée - et Malfina cerdes esd eine frai dressor.>,<>,<>
-,-,p
il,il,51
me,je,51
semble,sembler,17
entendre,entendre,14
parler,parler,14
ce,ce,74
vieux,vieux,30
Robert,Robert,20
Macaire,Macaire,20
de,de,81
Nucingen,Nucingen,20
!,!,p
dit,dire,19
Finot,Finot,20
/.,/.,P
“,“,p
-,-,p
une,un,71
charmante,charmant,30
personne,personne,22
",",",",p
reprit,reprendre,19
Ferdinand,Ferdinand,20
du,de,81
du,le,71
Tillet,Tillet,20
avec,avec,81
feu,feu,21
et,et,82
sans,sans,81
s',se,51
échauffer,échauffer,14
",",",",p
“,“,p
reprit,reprendre,19
Bixiou,Bixiou,20
/.,/.,P
-,-,p
tout,tout,52
du,de,81
du,le,71
Tillet,Tillet,20
dans,dans,81
un,un,71
mot,mot,21
!,!,p
s',se,51
écria,écrier,19
Couture,Couture,20
/.,/.,P
“,“,p
-,-,p
elle,il,51
peut,pouvoir,17
paraître,paraître,14
laide,laid,30
à,à,81
ceux,celui,52
qui,qui,52
ne,ne,60
la,le,52
connaissent,connaître,17
pas,pas,60
",",",",p
mais,mais,82
",",",",p
je,je,51
l',le,52
avoue,avouer,17
",",",",p
elle,il,51
a,avoir,17
de,de,81
l',le,71
âme,âme,22
",",",",p
disait,dire,18
du,de,81
du,le,71
Tillet,Tillet,20
/.,/.,P
<— Ed tu quir - c’est le pon te l’iffire - mon cher - il aura ti téfuement et de l’indelligence. Dans notre chin te médier - on ne sait ni ki fit - ni ki mire ; c’est eine crant ponhire ki te pufoir se gonvier au quir te sa femme. Che droguerais bienne Telvine qui - fous le safez - m’a abordé plis d’eine million gondre Malfina qui n’a pas ine taude si crante.>,<>,<>
-,-,p
mais,mais,82
qu',que,52
a,avoir,17
t,t,94
elle,il,51
/?,/?,P
<— Che ne sais bas au chiste>,<>,<>
dit,dire,19
le,le,71
baron,baron,21
de,de,81
Nucingen,Nucingen,20
",",",",p
mais,mais,82
il,il,51
a,avoir,17
keke,quelque,75
chausse,chose,22
/.,/.,P
-,-,p
elle,il,51
a,avoir,17
une,un,71
mère,mère,22
qui,qui,52
aime,aimer,17
bien,bien,60
le,le,71
rose,rose,21
!,!,p
dit,dire,19
du,de,81
du,le,71
Tillet,Tillet,20
/.,/.,P
ce,ce,74
mot,mot,21
mit,mettre,19
fin,fin,22
aux,à,81
aux,le,71
tentatives,tentative,22
de,de,81
Nucingen,Nucingen,20
/.,/.,P
après,après,81
le,le,71
dîner,dîner,21
",",",",p
le,le,71
baron,baron,21
apprit,apprendre,19
alors,alors,60
à,à,81
la,le,71
Wilhelmin,Wilhelmine,20
Adolphus,Adolphus,20
qu',que,83
il,il,51
lui,lui,51
restait,rester,18
à,à,81
peine,peine,22
quatre,quatre,72
cent,cent,72
mille,mille,72
francs,franc,21
chez,chez,81
lui,lui,51
/.,/.,P
la,le,71
fille,fille,22
des,de,81
des,le,71
Adolphus,Adolphus,20
de,de,81
Manheim,Manheim,20
",",",",p
réduite,réduit,31
à,à,81
vingt,vingt,72
quatre,quatre,72
mille,mille,72
livres,livre,22
de,de,81
rente,rente,22
",",",",p
se,se,51
perdit,perdre,19
dans,dans,81
des,de,81
des,le,71
calculs,calcul,21
qui,qui,52
se,se,51
brouillaient,brouiller,18
dans,dans,81
sa,son,73
tête,tête,22
/.,/.,P
“,“,p
-,-,p
comment,comment,60
!,!,p
disait,dire,18
elle,il,51
à,à,81
Malvina,Malvina,20
",",",",p
comment,comment,60
!,!,p
j',je,51
ai,avoir,17
toujours,toujours,60
eu,avoir,12
six,six,72
mille,mille,72
francs,franc,21
pour,pour,81
nous,nous,51
chez,chez,81
la,le,71
couturière,couturière,22
!,!,p
mais,mais,82
où,où,60
ton,ton,73
père,père,21
prenait,prendre,18
il,il,51
de,de,81
l',le,71
argent,argent,21
/?,/?,P
nous,nous,51
n',ne,60
aurons,avoir,15
rien,rien,52
avec,avec,81
vingt,vingt,72
quatre,quatre,72
mille,mille,72
francs,franc,21
",",",",p
nous,nous,51
sommes,être,17
dans,dans,81
la,le,71
misère,misère,22
/.,/.,P
ah,ah,93
!,!,p
si,si,83
mon,mon,73
père,père,21
me,je,51
voyait,voir,18
ainsi,ainsi,60
déchue,déchu,31
",",",",p
il,il,51
en,en,52
mourrait,mourir,16
",",",",p
s',si,83
il,il,51
n',ne,60
était,être,18
pas,pas,60
mort,mourir,12
déjà,déjà,60
/!,/!,P
pauvre,pauvre,30
Wilhelmine,Wilhelmine,20
/!,/!,P
et,et,82
elle,il,51
se,se,51
mit,mettre,19
à,à,81
pleurer,pleurer,14
/.,/.,P
Malvina,Malvina,20
",",",",p
ne,ne,60
sachant,savoir,13
comment,comment,60
consoler,consoler,14
sa,son,73
mère,mère,22
",",",",p
lui,lui,51
représenta,représenter,19
qu',que,83
elle,il,51
était,être,18
encore,encore,60
jeune,jeune,30
et,et,82
jolie,joli,30
",",",",p
le,le,71
rose,rose,21
lui,lui,51
seyait,seoir,18
toujours,toujours,60
",",",",p
elle,il,51
irait,aller,16
à,à,81
l',le,71
Opéra,Opéra,20
",",",",p
aux,à,81
aux,le,71
Bouffons,Bouffons,20
dans,dans,81
la,le,71
loge,loge,22
de,de,81
madame,madame,22
de,de,81
Nucingen,Nucingen,20
/.,/.,P
elle,il,51
endormit,endormir,19
sa,son,73
mère,mère,22
dans,dans,81
un,un,71
rêve,rêve,21
de,de,81
fêtes,fête,22
",",",",p
de,de,81
bals,bal,21
",",",",p
de,de,81
musique,musique,22
",",",",p
de,de,81
belles,beau,30
toilettes,toilette,22
et,et,82
de,de,81
succès,succès,21
",",",",p
qui,qui,52
commença,commencer,19
sous,sous,81
les,le,71
rideaux,rideau,21
d',de,81
un,un,71
lit,lit,21
en,en,81
soie,soie,22
bleue,bleu,30
",",",",p
dans,dans,81
une,un,71
chambre,chambre,22
élégante,élégant,30
",",",",p
contiguë,contigu,30
à,à,81
celle,celui,52
où,où,60
",",",",p
deux,deux,72
nuits,nuit,22
auparavant,auparavant,60
",",",",p
avait,avoir,18
expiré,expirer,12
monsieur,monsieur,21
Jean-Baptiste,Jean-Baptiste,20
baron,baron,21
d',de,81
Aldrigger,Aldrigger,20
",",",",p
dont,dont,52
voici,voici,81
l',le,71
histoire,histoire,22
en,en,81
trois,trois,72
mots,mot,21
/.,/.,P
en,en,81
son,son,73
vivant,vivant,21
",",",",p
ce,ce,74
respectable,respectable,30
Alsacien,Alsacien,20
",",",",p
banquier,banquier,21
à,à,81
Strasbourg,Strasbourg,20
",",",",p
s',se,51
était,être,18
enrichi,enrichir,12
d',de,81
environ,environ,60
trois,trois,72
millions,million,21
/.,/.,P
en,en,81
<Nombre 1800>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
<Fin nombre>,<>,<>
",",",",p
à,à,81
l',le,71
âge,âge,21
de,de,81
trente,trente,72
six,six,72
ans,an,21
",",",",p
à,à,81
l',le,71
apogée,apogée,22
d',de,81
une,un,71
fortune,fortune,22
faite,fait,31
pendant,pendant,81
la,le,71
révolution,révolution,22
",",",",p
il,il,51
avait,avoir,18
épousé,épouser,12
",",",",p
par,par,81
ambition,ambition,22
et,et,82
par,par,81
inclination,inclination,22
",",",",p
l',le,71
héritière,héritière,22
des,de,81
des,le,71
Adolphus,Adolphus,20
de,de,81
Manheim,Manheim,20
",",",",p
jeune,jeune,30
fille,fille,22
adorée,adoré,31
de,de,81
toute,tout,75
une,un,71
famille,famille,22
et,et,82
naturellement,naturellement,60
elle,il,51
en,en,52
recueillit,recueillir,19
la,le,71
fortune,fortune,22
dans,dans,81
l',le,71
espace,espace,21
de,de,81
dix,dix,72
années,année,22
/.,/.,P
d',de,81
Aldrigger,Aldrigger,20
fut,être,19
alors,alors,60
baronifié,baronifier,12
par,par,81
S. M.,S M,20
l',le,71
empereur,empereur,21
et,et,82
roi,roi,21
",",",",p
car,car,82
sa,son,73
fortune,fortune,22
se,se,51
doubla,doubler,19
;,;,p
mais,mais,82
il,il,51
se,se,51
passionna,passionner,19
pour,pour,81
le,le,71
grand,grand,30
homme,homme,21
qui,qui,52
l',le,52
avait,avoir,18
titré,titrer,12
/.,/.,P
donc,donc,82
",",",",p
entre,entre,81
<Nombre 1814>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quatorze,quatorze,72
<Fin nombre>,<>,<>
et,et,82
<Nombre 1815>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quinze,quinze,72
<Fin nombre>,<>,<>
",",",",p
il,il,51
se,se,51
ruina,ruiner,19
pour,pour,81
avoir,avoir,14
pris,prendre,12
au,à,81
au,le,71
sérieux,sérieux,21
le,le,71
soleil,soleil,21
d',de,81
Austerlitz,Austerlitz,20
/.,/.,P
l',le,71
honnête,honnête,30
Alsacien,Alsacien,20
ne,ne,60
suspendit,suspendre,19
pas,pas,60
ses,son,73
paiements,paiement,21
",",",",p
ne,ne,60
désintéressa,désintéresser,19
pas,pas,60
ses,son,73
créanciers,créancier,21
avec,avec,81
les,le,71
valeurs,valeur,22
qu',que,52
il,il,51
regardait,regarder,18
comme,comme,83
mauvaises,mauvais,30
;,;,p
il,il,51
paya,payer,19
tout,tout,52
à,à,81
bureau,bureau,21
ouvert,ouvert,31
",",",",p
se,se,51
retira,retirer,19
de,de,81
la,le,71
banque,banque,22
",",",",p
et,et,82
mérita,mériter,19
le,le,71
mot,mot,21
de,de,81
son,son,73
ancien,ancien,30
premier,premier,72
commis,commis,21
",",",",p
Nucingen,Nucingen,20
:,:,p
“,“,p
honnête,honnête,30
homme,homme,21
",",",",p
mais,mais,82
bête,bête,22
/!,/!,P
tout,tout,75
compte,compte,21
fait,fait,31
",",",",p
il,il,51
lui,lui,51
resta,rester,19
cinq,cinq,72
cent,cent,72
mille,mille,72
francs,franc,21
et,et,82
des,de,81
des,le,71
recouvrements,recouvrement,21
sur,sur,81
l',le,71
Empire,empire,21
qui,qui,52
n',ne,60
existait,exister,18
plus,plus,60
/.,/.,P
<— Foilà ze gue z’est gué t’afoir drop cri anne Nappolion>,<>,<>
",",",",p
dit,dire,19
il,il,51
en,en,81
voyant,voir,13
le,le,71
résultat,résultat,21
de,de,81
sa,son,73
liquidation,liquidation,22
/.,/.,P
lorsqu',lorsque,83
on,on,51
a,avoir,17
été,être,12
les,le,71
premiers,premier,72
d',de,81
une,un,71
ville,ville,22
",",",",p
le,le,71
moyen,moyen,21
d',de,81
y,y,52
rester,rester,14
amoindri,amoindri,31
?,?,p
le,le,71
banquier,banquier,21
de,de,81
l',le,71
Alsace,Alsace,20
fit,faire,19
comme,comme,83
font,faire,17
tous,tout,75
les,le,71
provinciaux,provincial,21
ruinés,ruiné,31
:,:,p
il,il,51
vint,venir,19
à,à,81
Paris,Paris,20
",",",",p
il,il,51
y,y,52
porta,porter,19
courageusement,courageusement,60
des,de,81
des,le,71
bretelles,bretelle,22
tricolores,tricolore,30
sur,sur,81
lesquelles,lequel,52
étaient,être,18
brodées,broder,12
les,le,71
aigles,aigle,21
impériales,impérial,30
et,et,82
s',se,51
y,y,52
concentra,concentrer,19
dans,dans,81
la,le,71
société,société,22
bonapartiste,bonapartiste,30
/.,/.,P
il,il,51
remit,remettre,19
ses,son,73
valeurs,valeur,22
au,à,81
au,le,71
baron,baron,21
de,de,81
Nucingen,Nucingen,20
qui,qui,52
lui,lui,51
donna,donner,19
huit,huit,72
pour,pour,81
cent,cent,72
de,de,81
tout,tout,52
",",",",p
en,en,81
acceptant,accepter,13
ses,son,73
créances,créance,22
impériales,impérial,30
à,à,81
soixante,soixante,72
pour,pour,81
cent,cent,72
seulement,seulement,60
de,de,81
perte,perte,22
",",",",p
ce,ce,52
qui,qui,52
fut,être,19
cause,cause,22
que,que,83
d',de,81
Aldrigger,Aldrigger,20
serra,serrer,19
la,le,71
main,main,22
de,de,81
Nucingen,Nucingen,20
en,en,81
lui,lui,51
disant,dire,13
:,:,p
<— Ch’édais pien sir te de droufer le quir d’in Elsacien !>,<>,<>
Nucingen,Nucingen,20
se,se,51
fit,faire,19
intégralement,intégralement,60
payer,payer,14
par,par,81
notre,notre,73
ami,ami,21
des,de,81
des,le,71
Lupeaulx,Lupeaulx,20
/.,/.,P
quoique,quoique,83
bien,bien,60
étrillé,étrillé,31
",",",",p
l',le,71
Alsacien,Alsacien,20
eut,avoir,19
un,un,71
revenu,revenu,21
industriel,industriel,30
de,de,81
quarante,quarante,72
quatre,quatre,72
mille,mille,72
francs,franc,21
/.,/.,P
son,son,73
chagrin,chagrin,21
se,se,51
compliqua,compliquer,19
du,de,81
du,le,71
spleen,spleen,21
dont,dont,52
sont,être,17
saisis,saisir,12
les,le,71
gens,gens,21
habitués,habitué,31
à,à,81
vivre,vivre,14
par,par,81
le,le,71
jeu,jeu,21
des,de,81
des,le,71
affaires,affaire,22
quand,quand,83
ils,ils,51
en,en,52
sont,être,17
sevrés,sevrer,12
/.,/.,P
le,le,71
banquier,banquier,21
se,se,51
donna,donner,19
pour,pour,81
tâche,tâche,22
de,de,81
se,se,51
sacrifier,sacrifier,14
",",",",p
noble,noble,30
coeur,coeur,21
!,!,p
à,à,81
sa,son,73
femme,femme,22
",",",",p
dont,dont,52
la,le,71
fortune,fortune,22
venait,venir,18
d',de,81
être,être,14
dévorée,dévorer,12
",",",",p
et,et,82
qu',que,52
elle,il,51
avait,avoir,18
laissé,laisser,12
prendre,prendre,14
avec,avec,81
la,le,71
facilité,facilité,22
d',de,81
une,un,71
fille,fille,22
à,à,81
qui,qui,52
les,le,71
affaires,affaire,22
d',de,81
argent,argent,21
étaient,être,18
tout,tout,60
à,à,81
fait,fait,21
inconnues,inconnu,30
/.,/.,P
la,le,71
baronne,baronne,22
d',de,81
Aldrigger,Aldrigger,20
retrouva,retrouver,19
donc,donc,82
les,le,71
jouissances,jouissance,22
auxquelles,à,81
auxquelles,lequel,52
elle,il,51
était,être,18
habituée,habituer,12
",",",",p
le,le,71
vide,vide,21
que,que,52
pouvait,pouvoir,18
lui,lui,51
causer,causer,14
la,le,71
société,société,22
de,de,81
Strasbourg,Strasbourg,20
fut,être,19
comblé,combler,12
par,par,81
les,le,71
plaisirs,plaisir,21
de,de,81
Paris,Paris,20
/.,/.,P
la,le,71
maison,maison,22
Nucingen,Nucingen,20
tenait,tenir,18
déjà,déjà,60
comme,comme,83
elle,il,51
tient,tenir,17
encore,encore,60
le,le,71
haut,haut,30
bout,bout,21
de,de,81
la,le,71
société,société,22
financière,financier,30
",",",",p
et,et,82
le,le,71
baron,baron,21
habile,habile,30
mit,mettre,19
son,son,73
honneur,honneur,21
à,à,81
bien,bien,60
traiter,traiter,14
le,le,71
baron,baron,21
honnête,honnête,30
/.,/.,P
cette,ce,74
belle,beau,30
vertu,vertu,22
faisait,faire,18
bien,bien,60
dans,dans,81
le,le,71
salon,salon,21
Nucingen,Nucingen,20
/.,/.,P
chaque,chaque,75
hiver,hiver,21
écornait,écorner,18
le,le,71
capital,capital,21
de,de,81
d',de,81
Aldrigger,Aldrigger,20
;,;,p
mais,mais,82
il,il,51
n',ne,60
osait,oser,18
faire,faire,14
le,le,71
moindre,moindre,30
reproche,reproche,21
à,à,81
la,le,71
perle,perle,22
des,de,81
des,le,71
Adolphus,Adolphus,20
;,;,p
sa,son,73
tendresse,tendresse,22
fut,être,19
la,le,71
plus,plus,60
ingénieuse,ingénieux,30
et,et,82
la,le,71
plus,plus,60
inintelligente,inintelligent,30
qu',que,83
il,il,51
y,y,52
eût,avoir,19
en,en,81
ce,ce,74
monde,monde,21
/.,/.,P
brave,brave,30
homme,homme,21
",",",",p
mais,mais,82
bête,bête,22
/!,/!,P
il,il,51
mourut,mourir,19
en,en,81
se,se,51
demandant,demander,13
:,:,p
“,“,p
que,que,52
deviendront,devenir,15
elles,ils,51
sans,sans,81
moi,moi,51
/?,/?,P
puis,puis,60
",",",",p
dans,dans,81
un,un,71
moment,moment,21
où,où,60
il,il,51
fut,être,19
seul,seul,30
avec,avec,81
son,son,73
vieux,vieux,30
valet,valet,21
de,de,81
chambre,chambre,22
Wirth,Wirth,20
",",",",p
le,le,71
bonhomme,bonhomme,21
",",",",p
entre,entre,81
deux,deux,72
étouffements,étouffement,21
",",",",p
lui,lui,51
recommanda,recommander,19
sa,son,73
femme,femme,22
et,et,82
ses,son,73
deux,deux,72
filles,fille,22
",",",",p
comme,comme,83
si,si,83
ce,ce,74
Caleb,Caleb,20
d',de,81
Alsace,Alsace,20
était,être,18
le,le,71
seul,seul,30
être,être,21
raisonnable,raisonnable,30
qu',que,52
il,il,51
y,y,52
eût,avoir,19
dans,dans,81
la,le,71
maison,maison,22
/.,/.,P
trois,trois,72
ans,an,21
après,après,81
",",",",p
en,en,81
<Nombre 1826>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
vingt,vingt,72
six,six,72
<Fin nombre>,<>,<>
",",",",p
Isaure,Isaure,20
était,être,18
âgée,âgé,30
de,de,81
vingt,vingt,72
ans,an,21
et,et,82
Malvina,Malvina,20
n',ne,60
était,être,18
pas,pas,60
