11215
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-quatrième extrait>,<>,<>
dispose,disposer,17
de,de,81
vous,vous,51
à,à,81
sa,son,73
fantaisie,fantaisie,22
et,et,82
selon,selon,81
sa,son,73
convenance,convenance,22
",",",",p
il,il,51
avait,avoir,18
été,être,12
décidé,décider,12
dans,dans,81
la,le,71
société,société,22
que,que,83
fréquentait,fréquenter,18
plus,plus,60
particulièrement,particulièrement,60
Guy,Guy,20
de,de,81
Malivert,Malivert,20
qu',que,52
il,il,51
était,être,18
amoureux,amoureux,30
de,de,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
",",",",p
une,un,71
jeune,jeune,30
veuve,veuve,22
à,à,81
laquelle,lequel,52
il,il,51
faisait,faire,18
d',de,81
assez,assez,60
nombreuses,nombreux,30
visites,visite,22
/.,/.,P
les,le,71
terres,terre,22
de,de,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
jouxtaient,jouxter,18
celles,celui,52
de,de,81
Guy,Guy,20
;,;,p
elle,il,51
possédait,posséder,18
une,un,71
soixantaine,soixantaine,22
de,de,81
mille,mille,72
francs,franc,21
de,de,81
revenu,revenu,31
et,et,82
n',ne,60
avait,avoir,18
que,que,83
vingt,vingt,72
deux,deux,72
ans,an,21
/.,/.,P
elle,il,51
avait,avoir,18
fort,fort,60
convenablement,convenablement,60
regretté,regretter,12
monsieur,monsieur,21
d',de,81
Ymbercourt,Ymbercourt,20
",",",",p
vieillard,vieillard,21
assez,assez,60
maussade,maussade,30
",",",",p
et,et,82
sa,son,73
position,position,22
lui,lui,51
permettait,permettre,18
de,de,81
prendre,prendre,14
un,un,71
mari,mari,21
jeune,jeune,30
et,et,82
de,de,81
bonne,bon,30
mine,mine,22
",",",",p
d',de,81
une,un,71
naissance,naissance,22
et,et,82
d',de,81
une,un,71
fortune,fortune,22
égale,égal,30
à,à,81
la,le,71
sienne,sien,52
/.,/.,P
le,le,71
monde,monde,21
les,le,52
avait,avoir,18
donc,donc,82
mariés,marier,12
de,de,81
son,son,73
autorité,autorité,22
privée,privé,31
",",",",p
pensant,penser,13
que,que,83
cette,ce,74
maison,maison,22
aurait,avoir,16
un,un,71
salon,salon,21
agréable,agréable,30
",",",",p
terrain,terrain,21
neutre,neutre,30
où,où,60
l',l',94
on,on,51
pourrait,pouvoir,16
se,se,51
rencontrer,rencontrer,14
/.,/.,P
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
acceptait,accepter,18
tacitement,tacitement,60
cet,ce,74
hymen,hymen,21
",",",",p
et,et,82
se,se,51
regardait,regarder,18
déjà,déjà,60
un,un,71
peu,peu,60
comme,comme,83
la,le,71
femme,femme,22
de,de,81
Guy,Guy,20
",",",",p
qui,qui,52
ne,ne,60
mettait,mettre,18
aucun,aucun,75
empressement,empressement,21
à,à,81
se,se,51
déclarer,déclarer,14
",",",",p
et,et,82
même,même,60
songeait,songer,18
à,à,81
ne,ne,60
plus,plus,60
aller,aller,14
chez,chez,81
la,le,71
jolie,joli,30
veuve,veuve,22
",",",",p
qu',que,83
il,il,51
trouvait,trouver,18
légèrement,légèrement,60
ennuyeuse,ennuyeux,30
aux,à,81
aux,le,71
airs,air,21
légitimes,légitime,30
qu',que,52
elle,il,51
prenait,prendre,18
par,par,81
avance,avance,22
d',de,81
hoirie,hoirie,21
/.,/.,P
ce,ce,74
soir,soir,21
là,là,60
même,même,30
",",",",p
Guy,Guy,20
devait,devoir,18
prendre,prendre,14
le,le,71
thé,thé,21
chez,chez,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
;,;,p
mais,mais,82
",",",",p
après,après,81
dîner,dîner,21
",",",",p
la,le,71
nonchalance,nonchalance,22
l',le,52
avait,avoir,18
envahi,envahir,12
;,;,p
il,il,51
s',se,51
était,être,18
senti,sentir,12
si,si,60
bien,bien,60
chez,chez,81
lui,lui,51
",",",",p
qu',que,83
il,il,51
avait,avoir,18
reculé,reculer,12
à,à,81
l',le,71
idée,idée,22
de,de,81
s',se,51
habiller,habiller,14
et,et,82
de,de,81
sortir,sortir,14
par,par,81
sept,sept,72
ou,ou,82
huit,huit,72
degrés,degré,21
de,de,81
froid,froid,21
",",",",p
malgré,malgré,81
la,le,71
pelisse,pelisse,22
et,et,82
le,le,71
manchon,manchon,21
d',de,81
eau,eau,22
bouillante,bouillant,30
placés,placé,31
dans,dans,81
sa,son,73
voiture,voiture,22
/.,/.,P
pour,pour,81
prétexte,prétexte,21
",",",",p
il,il,51
s',se,51
était,être,18
dit,dire,12
que,que,83
son,son,73
cheval,cheval,21
n',ne,60
était,être,18
pas,pas,60
ferré,ferrer,12
à,à,81
glace,glace,22
et,et,82
pourrait,pouvoir,16
dangereusement,dangereusement,60
glisser,glisser,14
sur,sur,81
la,le,71
neige,neige,22
durcie,durci,31
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
il,il,51
ne,ne,60
se,se,51
souciait,soucier,18
pas,pas,60
de,de,81
laisser,laisser,14
deux,deux,72
ou,ou,82
trois,trois,72
heures,heure,22
devant,devant,81
une,un,71
porte,porte,22
",",",",p
exposée,exposé,31
à,à,81
la,le,71
bise,bise,22
",",",",p
une,un,71
bête,bête,22
que,que,52
Crémieux,Crémieux,20
",",",",p
le,le,71
célèbre,célèbre,30
marchand,marchand,21
de,de,81
chevaux,cheval,21
des,de,81
des,le,71
Champs-Elysées,Champs Elysées,20
",",",",p
lui,lui,51
avait,avoir,18
vendue,vendre,12
cinq,cinq,72
mille,mille,72
francs,franc,21
/.,/.,P
on,on,51
voit,voir,17
que,que,83
Guy,Guy,20
était,être,18
médiocrement,médiocrement,60
amoureux,amoureux,30
",",",",p
et,et,82
que,que,83
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
pouvait,pouvoir,18
attendre,attendre,14
longtemps,longtemps,60
la,le,71
cérémonie,cérémonie,22
qui,qui,52
lui,lui,51
permettrait,permettre,16
de,de,81
prendre,prendre,14
un,un,71
autre,autre,75
nom,nom,21
/.,/.,P
comme,comme,83
Malivert,Malivert,20
",",",",p
assoupi,assoupi,31
par,par,81
la,le,71
douce,doux,30
température,température,22
de,de,81
la,le,71
chambre,chambre,22
",",",",p
où,où,60
voltigeait,voltiger,18
la,le,71
bleuâtre,bleuâtre,30
et,et,82
odorante,odorant,30
fumée,fumé,31
de,de,81
deux,deux,72
ou,ou,82
trois,trois,72
cabañas,cabañas,92
dont,dont,52
les,le,71
cendres,cendre,22
remplissaient,remplir,18
une,un,71
petite,petite,22
coupe,couper,17
de,de,81
bronze,bronze,21
antique,antique,30
chinois,chinois,30
",",",",p
au,à,81
au,le,71
pied,pied,21
en,en,81
bois,bois,21
d',de,81
aigle,aigle,21
",",",",p
posée,posé,31
à,à,81
côté,côté,21
de,de,81
lui,lui,51
sur,sur,81
un,un,71
guéridon,guéridon,21
qui,qui,52
supportait,supporter,18
la,le,71
lampe,lampe,22
",",",",p
commençait,commencer,18
à,à,81
sentir,sentir,14
rouler,rouler,14
sous,sous,81
ses,son,73
paupières,paupière,22
les,le,71
premières,premier,72
poudres,poudre,22
d',de,81
or,or,21
du,de,81
du,le,71
sommeil,sommeil,21
",",",",p
la,le,71
porte,porte,22
de,de,81
la,le,71
chambre,chambre,22
s',se,51
ouvrit,ouvrir,19
avec,avec,81
précaution,précaution,22
",",",",p
et,et,82
un,un,71
domestique,domestique,21
parut,paraître,19
",",",",p
tenant,tenir,13
sur,sur,81
un,un,71
plateau,plateau,21
d',de,81
argent,argent,21
une,un,71
lettre,lettre,22
mignonne,mignon,30
",",",",p
parfumée,parfumé,31
et,et,82
cachetée,cacheté,31
d',de,81
une,un,71
devise,devise,22
bien,bien,60
connue,connu,31
de,de,81
Guy,Guy,20
",",",",p
car,car,82
il,il,51
prit,prendre,19
tout,tout,60
de,de,81
suite,suite,22
un,un,71
air,air,21
de,de,81
mauvaise,mauvais,30
humeur,humeur,22
/.,/.,P
l',le,71
odeur,odeur,22
de,de,81
musc,musc,21
du,de,81
du,le,71
papier,papier,21
parut,paraître,19
aussi,aussi,60
l',le,52
impressionner,impressionner,14
désagréablement,désagréablement,60
/.,/.,P
c',ce,52
était,être,18
un,un,71
billet,billet,21
de,de,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
",",",",p
qui,qui,52
lui,lui,51
rappelait,rappeler,18
la,le,71
promesse,promesse,22
de,de,81
venir,venir,14
chez,chez,81
elle,il,51
prendre,prendre,14
une,un,71
tasse,tasse,22
de,de,81
thé,thé,21
/.,/.,P
“,“,p
le,le,71
diable,diable,21
l',le,52
emporte,emporter,17
",",",",p
s',se,51
écria,écrier,19
t,t,94
il,il,51
peu,peu,60
galamment,galamment,60
",",",",p
avec,avec,81
ses,son,73
billets,billet,21
qui,qui,52
donnent,donner,17
la,le,71
migraine,migraine,22
/!,/!,P
le,le,71
beau,beau,30
plaisir,plaisir,21
de,de,81
traverser,traverser,14
la,le,71
ville,ville,22
pour,pour,81
aller,aller,14
boire,boire,14
une,un,71
tasse,tasse,22
d',de,81
eau,eau,22
chaude,chaud,30
où,où,60
l',l',94
on,on,51
a,avoir,17
fait,faire,12
mariner,mariner,14
quelques,quelque,75
feuilles,feuille,22
teintées,teinté,31
de,de,81
bleu,bleu,21
de,de,81
Prusse,Prusse,20
et,et,82
de,de,81
vert-de-gris,vert-de-gris,21
",",",",p
tandis que,tandis que,83
j',je,51
ai,avoir,17
là,là,60
dans,dans,81
cette,ce,74
boîte,boîte,22
en,en,52
laque,laquer,17
de,de,81
Coromandel,Coromandel,20
du,de,81
du,le,71
thé,thé,21
de,de,81
caravane,caravane,22
",",",",p
du,de,81
du,le,71
thé,thé,21
authentique,authentique,30
",",",",p
portant,porter,13
encore,encore,60
le,le,71
cachet,cachet,21
de,de,81
la,le,71
douane,douane,22
de,de,81
Kiatka,Kiatka,20
",",",",p
le,le,71
dernier,dernier,30
poste,poste,21
russe,russe,30
sur,sur,81
la,le,71
frontière,frontière,22
de,de,81
Chine,Chine,20
/!,/!,P
non,non,60
",",",",p
certes,certes,60
",",",",p
je,je,51
n',ne,60
irai,aller,15
pas,pas,60
/!,/!,P
“,“,p
un,un,71
vague,vague,30
reste,reste,21
de,de,81
politesse,politesse,22
lui,lui,51
fit,faire,19
changer,changer,14
de,de,81
résolution,résolution,22
/.,/.,P
il,il,51
dit,dire,17
à,à,81
son,son,73
valet,valet,21
de,de,81
chambre,chambre,22
de,de,81
lui,lui,51
apporter,apporter,14
ses,son,73
habits,habit,21
;,;,p
mais,mais,82
quand,quand,83
il,il,51
vit,voir,19
les,le,71
jambes,jambe,22
du,de,81
du,le,71
pantalon,pantalon,21
pendre,pendre,14
piteusement,piteusement,60
sur,sur,81
le,le,71
dos,dos,21
du,de,81
du,le,71
fauteuil,fauteuil,21
",",",",p
la,le,71
chemise,chemise,22
roide,raide,30
et,et,82
blanche,blanc,30
comme,comme,83
une,un,71
carte,carte,22
porcelaine,porcelaine,22
",",",",p
l',le,71
habit,habit,21
noir,noir,30
aux,à,81
aux,le,71
bras,bras,21
ballants,ballant,30
",",",",p
les,le,71
brodequins,brodequin,21
vernis,vernis,31
miroités,miroité,31
de,de,81
reflets,reflet,21
",",",",p
les,le,71
gants,gant,21
étendus,étendu,31
comme,comme,83
des,de,81
des,le,71
mains,main,22
passées,passé,31
au,à,81
au,le,71
laminoir,laminoir,21
",",",",p
il,il,51
fut,être,19
prit,prendre,19
d',de,81
un,un,71
désespoir,désespoir,21
subit,subit,30
et,et,82
se,se,51
renfonça,renfoncer,19
énergiquement,énergiquement,60
dans,dans,81
sa,son,73
chauffeuse,chauffeuse,22
/.,/.,P
“,“,p
décidément,décidément,60
je,je,51
reste,rester,17
/.,/.,P
Jack,Jack,20
",",",",p
allez,aller,17
faire,faire,14
ma,mon,73
couverture,couverture,22
/!,/!,P
“,“,p
nous,nous,51
l',le,52
avons,avoir,17
déjà,déjà,60
dit,dire,12
là-haut,là-haut,60
",",",",p
Guy,Guy,20
était,être,18
un,un,71
garçon,garçon,21
bien,bien,60
élevé,élevé,31
",",",",p
et,et,82
",",",",p
de,de,81
plus,plus,60
",",",",p
il,il,51
avait,avoir,18
le,le,71
coeur,coeur,21
bon,bon,30
/.,/.,P
agité,agité,31
d',de,81
un,un,71
léger,léger,30
remords,remords,21
",",",",p
il,il,51
hésita,hésiter,19
sur,sur,81
le,le,71
seuil,seuil,21
de,de,81
sa,son,73
chambre,chambre,22
à,à,81
coucher,coucher,14
qui,qui,52
lui,lui,51
souriait,sourire,18
de,de,81
tous,tout,75
ses,son,73
conforts,confort,21
intimes,intime,30
",",",",p
et,et,82
se,se,51
dit,dire,17
que,que,83
la,le,71
plus,plus,60
simple,simple,30
politesse,politesse,22
exigeait,exiger,18
qu',que,83
il,il,51
envoyât,envoyer,18
un,un,71
mot,mot,21
d',de,81
excuse,excuse,22
à,à,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
",",",",p
prétextant,prétexter,13
une,un,71
migraine,migraine,22
",",",",p
une,un,71
affaire,affaire,22
importante,important,30
",",",",p
une,un,71
contrariété,contrariété,22
quelconque,quelconque,30
survenue,survenu,31
à,à,81
l',le,71
heure,heure,22
du,de,81
du,le,71
départ,départ,21
",",",",p
pour,pour,81
se,se,51
dispenser,dispenser,14
honnêtement,honnêtement,60
d',de,81
aller,aller,14
chez,chez,81
elle,il,51
/.,/.,P
or,or,82
",",",",p
Malivert,Malivert,20
",",",",p
bien,bien,60
que,que,83
capable,capable,30
",",",",p
sans,sans,81
être,être,14
homme,homme,21
de,de,81
lettres,lettre,22
de,de,81
profession,profession,22
",",",",p
de,de,81
faire,faire,14
un,un,71
article,article,21
de,de,81
voyage,voyage,21
ou,ou,82
une,un,71
nouvelle,nouvelle,22
pour,pour,81
la,le,71
Revue des Deux Mondes,Revue des Deux Mondes,20
",",",",p
détestait,détester,18
écrire,écrire,14
des,de,81
des,le,71
lettres,lettre,22
",",",",p
et,et,82
surtout,surtout,60
cette,ce,74
sorte,sorte,22
de,de,81
billets,billet,21
de,de,81
pure,pur,30
bienséance,bienséance,22
",",",",p
comme,comme,83
les,le,71
femmes,femme,22
en,en,52
griffonnent,griffonner,17
par,par,81
douzaines,douzaine,22
sur,sur,81
le,le,71
coin,coin,21
de,de,81
leur,leur,73
toilette,toilette,22
",",",",p
tandis que,tandis que,83
Clotilde,Clotilde,20
ou,ou,82
Rose,Rose,20
les,le,52
accommodent,accommoder,17
/.,/.,P
il,il,51
eût,avoir,19
plutôt,plutôt,60
fait,faire,12
un,un,71
sonnet,sonnet,21
sur,sur,81
des,de,81
des,le,71
rimes,rime,22
difficiles,difficile,30
et,et,82
rares,rare,30
/.,/.,P
sa,son,73
stérilité,stérilité,22
là-dessus,là-dessus,60
était,être,18
complète,complet,30
",",",",p
et,et,82
",",",",p
pour,pour,81
éviter,éviter,14
une,un,71
réponse,réponse,22
de,de,81
deux,deux,72
lignes,ligne,22
",",",",p
il,il,51
allait,aller,18
de,de,81
sa,son,73
personne,personne,22
à,à,81
l',le,71
autre,autre,75
bout,bout,21
de,de,81
la,le,71
ville,ville,22
/.,/.,P
par,par,81
terreur,terreur,22
du,de,81
du,le,71
billet,billet,21
",",",",p
l',le,71
idée,idée,22
désespérée,désespéré,31
de,de,81
se,se,51
rendre,rendre,14
chez,chez,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
vint,venir,19
à,à,81
Guy,Guy,20
de,de,81
Malivert,Malivert,20
/.,/.,P
il,il,51
s',se,51
approcha,approcher,19
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
entr'ouvrit,entr'ouvrir,19
les,le,71
rideaux,rideau,21
",",",",p
et,et,82
vit,vivre,17
à,à,81
travers,travers,21
les,le,71
vitres,vitre,22
moites,moite,30
une,un,71
nuit,nuit,22
noire,noir,30
que,que,52
de,de,81
petits,petit,30
flocons,flocon,21
blancs,blanc,30
",",",",p
tombant,tomber,13
dru,dru,30
",",",",p
tachetaient,tacheter,18
comme,comme,83
un,un,71
dos,dos,21
de,de,81
pintade,pintade,22
/.,/.,P
il,il,51
pensa,penser,19
par,par,81
déduction,déduction,22
à,à,81
Grymalkin,Grymalkin,20
",",",",p
secouant,secouer,13
la,le,71
peluche,peluche,22
de,de,81
neige,neige,22
attachée,attaché,31
à,à,81
son,son,73
caparaçon,caparaçon,21
verni,verni,31
/.,/.,P
il,il,51
se,se,51
représenta,représenter,19
le,le,71
passage,passage,21
désagréable,désagréable,30
du,de,81
du,le,71
coupé,coupé,21
au,à,81
au,le,71
vestibule,vestibule,21
",",",",p
le,le,71
courant,courant,21
d',de,81
air,air,21
de,de,81
l',le,71
escalier,escalier,21
que,que,52
le,le,71
calorifère,calorifère,21
ne,ne,60
neutralisait,neutraliser,18
pas,pas,60
",",",",p
et,et,82
surtout,surtout,60
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
",",",",p
debout,debout,60
contre,contre,81
la,le,71
cheminée,cheminée,22
",",",",p
en,en,81
grande,grand,30
toilette,toilette,22
",",",",p
décolletée,décolleté,31
à,à,81
rappeler,rappeler,14
ce,ce,74
personnage,personnage,21
d',de,81
un,un,71
roman,roman,21
de,de,81
Charles,Charles,20
Dickens,Dickens,20
",",",",p
qu',que,83
on,on,51
désigne,désigner,17
toujours,toujours,60
sous,sous,81
le,le,71
nom,nom,21
de,de,81
la,le,71
poitrine,poitrine,22
",",",",p
et,et,82
dont,dont,52
la,le,71
blanche,blanche,22
table,table,22
sert,servir,17
à,à,81
étaler,étaler,14
le,le,71
prospectus,prospectus,21
d',de,81
opulence,opulence,22
d',de,81
un,un,71
banquier,banquier,21
;,;,p
il,il,51
vit,voir,19
ses,son,73
dents,dent,22
superbes,superbe,30
encadrées,encadré,31
dans,dans,81
un,un,71
sourire,sourire,21
immobile,immobile,30
;,;,p
ses,son,73
sourcils,sourcil,21
",",",",p
d',de,81
un,un,71
arc,arc,21
parfait,parfait,31
",",",",p
qu',que,52
on,on,51
eût,avoir,19
pu,pouvoir,12
croire,croire,14
tracés,tracé,31
à,à,81
l',le,71
encre,encre,22
de,de,81
Chine,Chine,20
et,et,82
qui,qui,52
pourtant,pourtant,60
ne,ne,60
devaient,devoir,18
rien,rien,52
à,à,81
l',le,71
art,art,21
;,;,p
ses,son,73
yeux,oeil,21
magnifiques,magnifique,30
",",",",p
son,son,73
nez,nez,21
pur,pur,30
à,à,81
servir,servir,14
de,de,81
modèle,modèle,21
dans,dans,81
un,un,71
cahier,cahier,21
de,de,81
principes,principe,21
",",",",p
sa,son,73
taille,taille,22
que,que,52
toutes,tout,75
les,le,71
couturières,couturière,22
proclamaient,proclamer,18
accomplie,accompli,31
",",",",p
ses,son,73
bras,bras,21
ronds,rond,30
comme,comme,83
s',si,83
ils,ils,51
étaient,être,18
tournés,tourner,12
et,et,82
chargés,charger,12
de,de,81
bracelets,bracelet,21
trop,trop,60
massifs,massif,30
",",",",p
et,et,82
le,le,71
souvenir,souvenir,21
de,de,81
tous,tout,75
ces,ce,74
charmes,charme,21
que,que,83
le,le,71
monde,monde,21
lui,lui,51
destinait,destiner,18
",",",",p
en,en,81
le,le,52
mariant,marier,13
sans,sans,81
qu',que,83
il,il,51
en,en,52
eût,avoir,19
grande,grand,30
envie,envie,22
avec,avec,81
la,le,71
jeune,jeune,30
veuve,veuve,22
",",",",p
lui,lui,51
inspira,inspirer,19
une,un,71
mélancolie,mélancolie,22
si,si,60
profonde,profond,30
qu',que,83
il,il,51
se,se,51
dirigea,diriger,19
vers,vers,81
son,son,73
bureau,bureau,21
",",",",p
résolu,résolu,31
",",",",p
chose,chose,22
affreuse,affreux,30
!,!,p
à,à,81
écrire,écrire,14
plutôt,plutôt,60
dix,dix,72
lignes,ligne,22
que,que,83
d',de,81
aller,aller,14
prendre,prendre,14
le,le,71
thé,thé,21
chez,chez,81
cette,ce,74
femme,femme,22
charmante,charmant,30
/.,/.,P
il,il,51
plaça,placer,19
devant,devant,81
lui,lui,51
une,un,71
feuille,feuille,22
de,de,81
papier,papier,21
crème,crémer,17
laid,laid,30
frappé,frappé,31
au,à,81
au,le,71
timbre,timbre,21
sec,sec,30
d',de,81
un,un,71
G,G,20
et,et,82
d',de,81
un,un,71
M,M,20
capricieusement,capricieusement,60
enlacés,enlacé,31
",",",",p
trempa,tremper,19
dans,dans,81
l',le,71
encre,encre,22
une,un,71
fine,fine,22
plume,plumer,17
d',de,81
acier,acier,21
emmanchée,emmanché,31
d',de,81
un,un,71
dard,dard,21
de,de,81
porc-épic,porc-épic,21
",",",",p
et,et,82
écrivit,écrire,19
",",",",p
assez,assez,60
bas,bas,30
dans,dans,81
la,le,71
page,page,22
pour,pour,81
diminuer,diminuer,14
la,le,71
place,place,22
de,de,81
la,le,71
littérature,littérature,22
",",",",p
ce,ce,74
mot,mot,21
triomphant,triomphant,30
:,:,p
“,“,p
madame,madame,22
“,“,p
/.,/.,P
là,là,60
",",",",p
il,il,51
fit,faire,19
une,un,71
pause,pause,22
et,et,82
appuya,appuyer,19
sa,son,73
joue,joue,22
sur,sur,81
la,le,71
paume,paume,22
de,de,81
sa,son,73
main,main,22
",",",",p
sa,son,73
faconde,faconde,22
ne,ne,60
lui,lui,51
fournissant,fournir,13
rien,rien,52
de,de,81
plus,plus,60
/.,/.,P
pendant,pendant,81
quelques,quelque,75
minutes,minute,22
il,il,51
resta,rester,19
ainsi,ainsi,60
le,le,71
poignet,poignet,21
en,en,81
position,position,22
",",",",p
les,le,71
doigts,doigt,21
allongés,allongé,31
sur,sur,81
la,le,71
plume,plume,22
et,et,82
la,le,71
cervelle,cervelle,22
involontairement,involontairement,60
occupée,occupé,31
d',de,81
idées,idée,22
contraires,contraire,30
au,à,81
au,le,71
sujet,sujet,21
de,de,81
sa,son,73
lettre,lettre,22
/.,/.,P
comme,comme,83
si,si,83
",",",",p
en,en,81
attendant,attendre,13
la,le,71
phrase,phrase,22
qui,qui,52
ne,ne,60
venait,venir,18
pas,pas,60
",",",",p
le,le,71
corps,corps,21
de,de,81
Malivert,Malivert,20
se,se,51
fût,être,19
ennuyé,ennuyer,12
",",",",p
sa,son,73
main,main,22
",",",",p
prise,pris,31
de,de,81
fourmillements,fourmillement,21
et,et,82
d',de,81
impatiences,impatience,22
",",",",p
semblait,sembler,18
vouloir,vouloir,14
se,se,51
passer,passer,14
d',de,81
ordre,ordre,21
pour,pour,81
accomplir,accomplir,14
sa,son,73
tâche,tâche,22
/.,/.,P
les,le,71
phalanges,phalange,22
se,se,51
détendaient,détendre,18
et,et,82
se,se,51
repliaient,replier,18
comme,comme,83
pour,pour,81
tracer,tracer,14
des,de,81
des,le,71
caractères,caractère,21
",",",",p
et,et,82
enfin,enfin,60
Guy,Guy,20
fut,être,19
très,très,60
étonné,étonner,12
d',de,81
avoir,avoir,14
écrit,écrire,12
absolument,absolument,60
sans,sans,81
conscience,conscience,22
neuf,neuf,72
ou,ou,82
dix,dix,72
lignes,ligne,22
qu',que,52
il,il,51
lut,lire,19
et,et,82
dont,dont,52
le,le,71
sens,sens,21
était,être,18
à,à,81
peu,peu,60
près,près,81
celui-ci,celui-ci,52
:,:,p
“,“,p
vous,vous,51
êtes,être,17
assez,assez,60
belle,beau,30
et,et,82
entourée,entourer,12
d',de,81
assez,assez,60
d',de,81
adorateurs,adorateur,21
pour,pour,81
qu',que,83
on,on,51
puisse,pouvoir,17
vous,vous,51
dire,dire,14
sans,sans,81
vous,vous,51
offenser,offenser,14
qu',que,83
on,on,51
ne,ne,60
vous,vous,51
aime,aimer,17
pas,pas,60
/.,/.,P
c',ce,52
est,être,17
une,un,71
mauvaise,mauvais,30
note,note,22
pour,pour,81
le,le,71
goût,goût,21
de,de,81
celui,celui,52
qui,qui,52
fait,faire,17
un,un,71
tel,tel,75
aveu,aveu,21
…,…,p
voilà,voilà,81
tout,tout,52
/.,/.,P
à,à,81
quoi,quoi,52
bon,bon,60
continuer,continuer,14
des,de,81
des,le,71
relations,relation,22
qui,qui,52
finiraient,finir,16
par,par,81
engager,engager,14
deux,deux,72
âmes,âme,22
si,si,60
peu,peu,60
faites,fait,31
l',le,71
une,un,52
pour,pour,81
l',le,71
autre,autre,52
et,et,82
les,le,52
lier,lier,14
dans,dans,81
un,un,71
malheur,malheur,21
éternel,éternel,30
/?,/?,P
excusez,excuser,17
moi,moi,51
",",",",p
je,je,51
pars,partir,17
",",",",p
vous,vous,51
n',ne,60
aurez,avoir,15
pas,pas,60
de,de,81
peine,peine,22
à,à,81
m',je,51
oublier,oublier,14
/!,/!,P
“,“,p
“,“,p
ah,ah,93
ça,ça,52
!,!,p
dit,dire,17
Malivert,Malivert,20
en,en,81
frappant,frapper,13
la,le,71
table,table,22
du,de,81
du,le,71
poing,poing,21
lorsqu',lorsque,83
il,il,51
eut,avoir,19
relu,relire,12
sa,son,73
lettre,lettre,22
",",",",p
est,être,17
ce,ce,52
que,que,83
je,je,51
suis,être,17
fou,fou,30
ou,ou,82
somnambule,somnambule,21
/?,/?,P
l',le,71
étrange,étrange,30
billet,billet,21
que,que,52
voilà,voilà,81
/!,/!,P
cela,cela,52
ressemble,ressembler,17
à,à,81
ces,ce,74
lithographies,lithographie,22
de,de,81
Gavarni,Gavarni,20
où,où,60
l',l',94
on,on,51
voit,voir,17
en,en,81
même,même,75
temps,temps,21
dans,dans,81
la,le,71
légende,légende,22
la,le,71
phrase,phrase,22
écrite,écrit,31
et,et,82
la,le,71
phrase,phrase,22
pensée,pensé,31
",",",",p
le,le,71
faux,faux,21
et,et,82
le,le,71
vrai,vrai,30
/.,/.,P
seulement,seulement,60
",",",",p
ici,ici,60
le,le,71
mot,mot,21
ne,ne,60
trompe,tromper,17
pas,pas,60
/.,/.,P
ma,mon,73
main,main,22
",",",",p
que,que,52
je,je,51
voulais,vouloir,18
forcer,forcer,14
à,à,81
un,un,71
joli,joli,30
petit,petit,21
mensonge,mensonge,21
social,social,30
",",",",p
ne,ne,60
s',se,51
y,y,52
est,être,17
pas,pas,60
prêtée,prêter,12
",",",",p
et,et,82
contrairement,contrairement,60
à,à,81
l',le,71
usage,usage,21
",",",",p
l',le,71
idée,idée,22
sincère,sincère,30
est,être,17
dans,dans,81
la,le,71
lettre,lettre,22
/.,/.,P
“,“,p
Guy,Guy,20
regarda,regarder,19
attentivement,attentivement,60
le,le,71
billet,billet,21
et,et,82
il,il,51
lui,lui,51
sembla,sembler,19
que,que,83
le,le,71
caractère,caractère,21
de,de,81
l',le,71
écriture,écriture,22
n',ne,60
était,être,18
pas,pas,60
tout,tout,60
à,à,81
fait,fait,21
le,le,71
même,même,52
qu',que,83
il,il,51
employait,employer,18
d',de,81
habitude,habitude,22
/.,/.,P
“,“,p
voilà,voilà,81
",",",",p
dit,dire,19
il,il,51
",",",",p
un,un,71
autographe,autographe,21
qui,qui,52
serait,être,16
contesté,contester,12
par,par,81
les,le,71
experts,expert,21
si,si,83
ma,mon,73
littérature,littérature,22
épistolaire,épistolaire,30
en,en,52
valait,valoir,18
la,le,71
peine,peine,22
/.,/.,P
comment,comment,60
diable,diable,21
cette,ce,74
bizarre,bizarre,30
transformation,transformation,22
a,avoir,17
t,t,94
elle,il,51
pu,pouvoir,12
se,se,51
faire,faire,14
/?,/?,P
je,je,51
n',ne,60
ai,avoir,17
cependant,cependant,82
ni,ni,82
fumé,fumer,12
d',de,81
opium,opium,21
",",",",p
ni,ni,82
mangé,manger,12
de,de,81
haschich,haschich,21
",",",",p
et,et,82
ce,ce,52
ne,ne,60
sont,être,17
pas,pas,60
les,le,71
deux,deux,72
ou,ou,82
trois,trois,72
verres,verre,21
de,de,81
vin,vin,21
de,de,81
Bordeaux,Bordeaux,20
que,que,52
j',je,51
ai,avoir,17
