11480
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Onzième extrait>,<>,<>
tantôt,tantôt,60
le,le,71
portrait,portrait,21
",",",",p
tantôt,tantôt,60
moi,moi,51
;,;,p
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
ses,son,73
yeux,oeil,21
une,un,71
si,si,60
triste,triste,30
joie,joie,22
que,que,83
je,je,51
ne,ne,60
pus,pouvoir,19
y,y,52
résister,résister,14
/.,/.,P
il,il,51
semblait,sembler,18
me,je,51
dire,dire,14
:,:,p
quel,quel,75
bonheur,bonheur,21
!,!,p
nous,nous,51
allons,aller,17
donc,donc,82
souffrir,souffrir,14
tranquilles,tranquille,30
/.,/.,P
je,je,51
lui,lui,51
tendis,tendre,19
la,le,71
main,main,22
",",",",p
qu',que,52
il,il,51
couvrit,couvrir,19
de,de,81
baisers,baiser,21
en,en,81
sanglotant,sangloter,13
/.,/.,P
il,il,51
soignait,soigner,18
",",",",p
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
ma,mon,73
douleur,douleur,22
",",",",p
comme,comme,83
la,le,71
maîtresse,maîtresse,22
de,de,81
la,le,71
sienne,sien,52
/.,/.,P
quand,quand,83
j',je,51
allais,aller,18
le,le,71
matin,matin,21
au,à,81
au,le,71
tombeau,tombeau,21
de,de,81
mon,mon,73
père,père,21
",",",",p
je,je,51
l',le,52
y,y,52
trouvais,trouver,18
arrosant,arroser,13
les,le,71
fleurs,fleur,22
;,;,p
dès,dès,81
qu',que,83
il,il,51
me,je,51
voyait,voir,18
",",",",p
il,il,51
s',se,51
éloignait,éloigner,18
et,et,82
rentrait,rentrer,18
au,à,81
au,le,71
logis,logis,21
/.,/.,P
il,il,51
me,je,51
suivait,suivre,18
dans,dans,81
mes,mon,73
promenades,promenade,22
;,;,p
comme,comme,83
j',je,51
étais,être,18
à,à,81
cheval,cheval,21
",",",",p
et,et,82
lui,lui,51
à,à,81
pied,pied,21
",",",",p
je,je,51
ne,ne,60
voulais,vouloir,18
jamais,jamais,60
de,de,81
lui,lui,51
;,;,p
mais,mais,82
dès,dès,81
que,que,83
j',je,51
avais,avoir,18
fait,faire,12
cent,cent,72
pas,pas,21
dans,dans,81
la,le,71
vallée,vallée,22
",",",",p
je,je,51
l',le,52
apercevais,apercevoir,18
derrière,derrière,81
moi,moi,51
",",",",p
son,son,73
bâton,bâton,21
à,à,81
la,le,71
main,main,22
et,et,82
s',se,51
essuyant,essuyer,13
le,le,71
front,front,21
/.,/.,P
je,je,51
lui,lui,51
achetai,acheter,19
un,un,71
petit,petit,30
cheval,cheval,21
qui,qui,52
appartenait,appartenir,18
à,à,81
un,un,71
paysan,paysan,21
des,de,81
des,le,71
environs,environs,21
",",",",p
et,et,82
nous,nous,51
nous,nous,51
mîmes,mettre,19
ainsi,ainsi,60
à,à,81
parcourir,parcourir,14
les,le,71
bois,bois,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
le,le,71
village,village,21
quelques,quelque,75
personnes,personne,22
de,de,81
connaissance,connaissance,22
qui,qui,52
venaient,venir,18
souvent,souvent,60
à,à,81
la,le,71
maison,maison,22
/.,/.,P
ma,mon,73
porte,porte,22
leur,leur,52
était,être,18
fermée,fermer,12
",",",",p
quoique,quoique,83
j',je,51
en,en,52
eusse,avoir,18
du,de,81
du,le,71
regret,regret,21
;,;,p
mais,mais,82
je,je,51
ne,ne,60
pouvais,pouvoir,18
voir,voir,14
personne,personne,52
sans,sans,81
impatience,impatience,22
/.,/.,P
renfermé,renfermé,31
dans,dans,81
ma,mon,73
solitude,solitude,22
",",",",p
je,je,51
pensai,penser,19
au,à,81
au,le,71
bout,bout,21
de,de,81
quelque,quelque,75
temps,temps,21
à,à,81
visiter,visiter,14
les,le,71
papiers,papier,21
de,de,81
mon,mon,73
père,père,21
;,;,p
Larive,Larive,20
me,je,51
les,le,52
apporta,apporter,19
avec,avec,81
un,un,71
pieux,pieux,30
respect,respect,21
",",",",p
et,et,82
",",",",p
détachant,détacher,13
les,le,71
liasses,liasse,22
d',de,81
une,un,71
main,main,22
tremblante,tremblant,30
",",",",p
il,il,51
les,le,52
étala,étaler,19
devant,devant,81
moi,moi,51
/.,/.,P
aux,à,81
aux,le,71
premières,premier,72
pages,page,22
que,que,52
je,je,51
lus,lire,19
",",",",p
je,je,51
sentis,sentir,19
au,à,81
au,le,71
coeur,coeur,21
cette,ce,74
fraîcheur,fraîcheur,22
qui,qui,52
vivifie,vivifier,17
l',le,71
air,air,21
autour,autour,60
d',de,81
un,un,71
lac,lac,21
tranquille,tranquille,30
;,;,p
la,le,71
douce,doux,30
sérénité,sérénité,22
de,de,81
l',le,71
âme,âme,22
de,de,81
mon,mon,73
père,père,21
s',se,51
exhalait,exhaler,18
comme,comme,83
un,un,71
parfum,parfum,21
des,de,81
des,le,71
feuilles,feuille,22
poudreuses,poudreux,30
à,à,81
mesure,mesure,22
que,que,83
je,je,51
les,le,52
déployais,déployer,18
/.,/.,P
le,le,71
journal,journal,21
de,de,81
sa,son,73
vie,vie,22
reparut,reparaître,19
devant,devant,81
moi,moi,51
;,;,p
je,je,51
pouvais,pouvoir,18
compter,compter,14
",",",",p
jour,jour,21
par,par,81
jour,jour,21
",",",",p
les,le,71
battements,battement,21
de,de,81
ce,ce,74
noble,noble,30
coeur,coeur,21
/.,/.,P
je,je,51
commençai,commencer,19
à,à,81
m',je,51
ensevelir,ensevelir,14
dans,dans,81
un,un,71
rêve,rêve,21
doux,doux,30
et,et,82
profond,profond,30
",",",",p
et,et,82
",",",",p
malgré,malgré,81
le,le,71
caractère,caractère,21
sérieux,sérieux,30
et,et,82
ferme,ferme,30
qui,qui,52
dominait,dominer,18
partout,partout,60
",",",",p
je,je,51
découvrais,découvrir,18
une,un,71
grâce,grâce,22
ineffable,ineffable,30
",",",",p
la,le,71
fleur,fleur,22
paisible,paisible,30
de,de,81
sa,son,73
bonté,bonté,22
/.,/.,P
pendant,pendant,81
que,que,83
je,je,51
lisais,lire,18
",",",",p
l',le,71
idée,idée,22
de,de,81
sa,son,73
mort,mort,22
se,se,51
mêlait,mêler,18
sans,sans,81
cesse,cesse,22
au,à,81
au,le,71
récit,récit,21
de,de,81
sa,son,73
vie,vie,22
;,;,p
je,je,51
ne,ne,60
puis,pouvoir,17
dire,dire,14
avec,avec,81
quelle,quel,75
tristesse,tristesse,22
je,je,51
suivais,suivre,18
ce,ce,74
ruisseau,ruisseau,21
limpide,limpide,30
que,que,52
j',je,51
avais,avoir,18
vu,voir,12
tomber,tomber,14
dans,dans,81
l',le,71
océan,océan,21
/.,/.,P
-,-,p
o,oh,93
homme,homme,21
juste,juste,30
!,!,p
m',je,51
écriai,écrier,19
je,je,51
",",",",p
homme,homme,21
sans,sans,81
peur,peur,22
et,et,82
sans,sans,81
reproche,reproche,21
!,!,p
quelle,quel,75
candeur,candeur,22
dans,dans,81
ton,ton,73
expérience,expérience,22
/!,/!,P
ton,ton,73
dévouement,dévouement,21
pour,pour,81
tes,ton,73
amis,ami,21
",",",",p
ta,ton,73
tendresse,tendresse,22
divine,divin,30
pour,pour,81
ma,mon,73
mère,mère,22
",",",",p
ton,ton,73
admiration,admiration,22
pour,pour,81
la,le,71
nature,nature,22
",",",",p
ton,ton,73
amour,amour,21
sublime,sublime,30
pour,pour,81
dieu,dieu,21
",",",",p
voilà,voilà,81
ta,ton,73
vie,vie,22
;,;,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
eu,avoir,12
place,place,22
dans,dans,81
ton,ton,73
coeur,coeur,21
pour,pour,81
autre,autre,75
chose,chose,22
/.,/.,P
la,le,71
neige,neige,22
intacte,intact,30
au,à,81
au,le,71
sommet,sommet,21
des,de,81
des,le,71
montagnes,montagne,22
n',ne,60
est,être,17
pas,pas,60
plus,plus,60
vierge,vierge,30
que,que,83
ta,ton,73
sainte,saint,30
vieillesse,vieillesse,22
:,:,p
tes,ton,73
cheveux,cheveu,21
blancs,blanc,30
lui,lui,51
ressemblaient,ressembler,18
/.,/.,P
o,oh,93
père,père,21
!,!,p
è,è,21
père,père,21
!,!,p
donne,donner,17
les,le,52
moi,moi,51
;,;,p
ils,ils,51
sont,être,17
plus,plus,60
jeunes,jeune,30
que,que,83
ma,mon,73
tête,tête,22
blonde,blond,30
/.,/.,P
laisse,laisser,17
moi,moi,51
vivre,vivre,14
et,et,82
mourir,mourir,14
comme,comme,83
toi,toi,51
!,!,p
je,je,51
veux,vouloir,17
planter,planter,14
sur,sur,81
la,le,71
terre,terre,22
où,où,60
tu,tu,51
dors,dormir,17
le,le,71
rameau,rameau,21
vert,vert,30
de,de,81
ma,mon,73
vie,vie,22
nouvelle,nouveau,30
;,;,p
je,je,51
l',le,52
arroserai,arroser,15
de,de,81
mes,mon,73
larmes,larme,22
",",",",p
et,et,82
le,le,71
dieu,dieu,21
des,de,81
des,le,71
orphelins,orphelin,21
laissera,laisser,15
pousser,pousser,14
cette,ce,74
herbe,herbe,22
pieuse,pieux,30
sur,sur,81
la,le,71
douleur,douleur,22
d',de,81
un,un,71
enfant,enfant,21
et,et,82
sur,sur,81
le,le,71
souvenir,souvenir,21
d',de,81
un,un,71
vieillard,vieillard,21
/.,/.,P
après,après,81
avoir,avoir,14
lu,lire,12
ces,ce,74
papiers,papier,21
chéris,chéri,31
",",",",p
je,je,51
les,le,52
classai,classer,19
en,en,81
ordre,ordre,21
/.,/.,P
je,je,51
pris,prendre,19
alors,alors,60
la,le,71
résolution,résolution,22
d',de,81
écrire,écrire,14
aussi,aussi,60
mon,mon,73
journal,journal,21
;,;,p
j',je,51
en,en,52
fis,faire,19
relier,relier,14
un,un,71
tout,tout,60
semblable,semblable,30
à,à,81
celui,celui,52
de,de,81
mon,mon,73
père,père,21
",",",",p
et,et,82
",",",",p
recherchant,rechercher,13
soigneusement,soigneusement,60
sur,sur,81
le,le,71
sien,sien,52
les,le,71
moindres,moindre,30
occupations,occupation,22
de,de,81
sa,son,73
vie,vie,22
",",",",p
je,je,51
pris,prendre,19
à,à,81
tâche,tâche,22
de,de,81
m',je,51
y,y,52
conformer,conformer,14
/.,/.,P
ainsi,ainsi,60
",",",",p
à,à,81
chaque,chaque,75
instant,instant,21
de,de,81
la,le,71
journée,journée,22
",",",",p
l',le,71
horloge,horloge,22
qui,qui,52
sonnait,sonner,18
me,je,51
faisait,faire,18
venir,venir,14
les,le,71
larmes,larme,22
aux,à,81
aux,le,71
yeux,oeil,21
/.,/.,P
-,-,p
voilà,voilà,81
",",",",p
me,je,51
disais,dire,18
je,je,51
",",",",p
ce,ce,52
que,que,52
faisait,faire,18
mon,mon,73
père,père,21
à,à,81
cette,ce,74
heure,heure,22
;,;,p
et,et,82
que,que,52
ce,ce,52
fût,être,19
une,un,71
lecture,lecture,22
",",",",p
une,un,71
promenade,promenade,22
ou,ou,82
un,un,71
repas,repas,21
",",",",p
je,je,51
n',ne,60
y,y,52
manquais,manquer,18
jamais,jamais,60
/.,/.,P
je,je,51
m',je,51
habituai,habituer,19
de,de,81
cette,ce,74
manière,manière,22
à,à,81
une,un,71
vie,vie,22
calme,calme,30
et,et,82
régulière,régulier,30
;,;,p
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
cette,ce,74
exactitude,exactitude,22
ponctuelle,ponctuel,30
un,un,71
charme,charme,21
infini,infini,30
pour,pour,81
mon,mon,73
coeur,coeur,21
/.,/.,P
je,je,51
me,je,51
couchais,coucher,18
avec,avec,81
un,un,71
bien-être,bien-être,21
que,que,52
ma,mon,73
tristesse,tristesse,22
même,même,30
rendait,rendre,18
plus,plus,60
agréable,agréable,30
/.,/.,P
mon,mon,73
père,père,21
s',se,51
occupait,occuper,18
beaucoup,beaucoup,60
de,de,81
jardinage,jardinage,21
;,;,p
le,le,71
reste,reste,21
du,de,81
du,le,71
jour,jour,21
",",",",p
l',le,71
étude,étude,22
",",",",p
la,le,71
promenade,promenade,22
",",",",p
une,un,71
juste,juste,30
répartition,répartition,22
entre,entre,81
les,le,71
exercices,exercice,21
du,de,81
du,le,71
corps,corps,21
et,et,82
ceux,celui,52
de,de,81
l',le,71
esprit,esprit,21
/.,/.,P
en,en,81
même,même,75
temps,temps,21
j',je,51
héritais,hériter,18
de,de,81
ses,son,73
habitudes,habitude,22
de,de,81
bienfaisance,bienfaisance,22
et,et,82
continuais,continuer,18
à,à,81
faire,faire,14
pour,pour,81
les,le,71
malheureux,malheureux,21
ce,ce,52
qu',que,52
il,il,51
faisait,faire,18
lui-même,lui-même,51
/.,/.,P
je,je,51
commençai,commencer,19
à,à,81
rechercher,rechercher,14
dans,dans,81
mes,mon,73
courses,course,22
les,le,71
gens,gens,21
qui,qui,52
avaient,avoir,18
besoin,besoin,21
de,de,81
moi,moi,51
;,;,p
il,il,51
n',ne,60
en,en,52
manquait,manquer,18
pas,pas,60
dans,dans,81
la,le,71
vallée,vallée,22
/.,/.,P
bientôt,bientôt,60
je,je,51
fus,être,19
connu,connaître,12
des,de,81
des,le,71
pauvres,pauvre,21
;,;,p
le,le,52
dirai,dire,15
je,je,51
?,?,p
oui,oui,60
",",",",p
je,je,51
le,le,52
dirai,dire,15
hardiment,hardiment,60
:,:,p
là,là,60
où,où,60
le,le,71
coeur,coeur,21
est,être,17
bon,bon,30
",",",",p
la,le,71
douleur,douleur,22
est,être,17
saine,sain,30
/.,/.,P
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
de,de,81
ma,mon,73
vie,vie,22
j',je,51
étais,être,18
heureux,heureux,30
;,;,p
dieu,dieu,21
bénissait,bénir,18
mes,mon,73
larmes,larme,22
",",",",p
et,et,82
la,le,71
douleur,douleur,22
m',je,51
apprenait,apprendre,18
la,le,71
vertu,vertu,22
/.,/.,P
<Chapitre III>,<>,<>
comme,comme,83
je,je,51
me,je,51
promenais,promener,18
un,un,71
soir,soir,21
dans,dans,81
une,un,71
allée,allée,22
de,de,81
tilleuls,tilleul,21
à,à,81
l',le,71
entrée,entrée,22
du,de,81
du,le,71
village,village,21
",",",",p
je,je,51
vis,voir,19
sortir,sortir,14
une,un,71
jeune,jeune,30
femme,femme,22
d',de,81
une,un,71
maison,maison,22
écartée,écarté,31
/.,/.,P
elle,il,51
était,être,18
mise,mettre,12
très,très,60
simplement,simplement,60
et,et,82
voilée,voiler,12
",",",",p
en,en,81
sorte,sorte,22
que,que,83
je,je,51
ne,ne,60
pouvais,pouvoir,18
voir,voir,14
son,son,73
visage,visage,21
;,;,p
cependant,cependant,82
sa,son,73
taille,taille,22
et,et,82
sa,son,73
démarche,démarche,22
me,je,51
parurent,paraître,19
si,si,60
charmantes,charmant,30
que,que,83
je,je,51
la,le,52
suivis,suivre,19
des,de,81
des,le,71
yeux,oeil,21
quelque,quelque,75
temps,temps,21
/.,/.,P
comme,comme,83
elle,il,51
traversait,traverser,18
une,un,71
prairie,prairie,22
voisine,voisin,30
",",",",p
un,un,71
chevreau,chevreau,21
blanc,blanc,30
",",",",p
qui,qui,52
paissait,paître,18
en,en,81
liberté,liberté,22
dans,dans,81
un,un,71
champ,champ,21
",",",",p
accourut,accourir,19
à,à,81
elle,il,51
;,;,p
elle,il,51
lui,lui,51
fit,faire,19
quelques,quelque,75
caresses,caresse,22
et,et,82
regarda,regarder,19
de,de,81
côté,côté,21
et,et,82
d',de,81
autre,autre,52
",",",",p
comme,comme,83
pour,pour,81
chercher,chercher,14
une,un,71
herbe,herbe,22
favorite,favori,30
à,à,81
lui,lui,51
donner,donner,14
/.,/.,P
je,je,51
vis,vivre,17
près,près,81
de,de,81
moi,moi,51
un,un,71
mûrier,mûrier,21
sauvage,sauvage,30
;,;,p
j',je,51
en,en,52
cueillis,cueillir,19
une,un,71
branche,branche,22
et,et,82
m',je,51
avançai,avancer,19
en,en,81
la,le,52
tenant,tenir,13
à,à,81
la,le,71
main,main,22
/.,/.,P
le,le,71
chevreau,chevreau,21
vint,venir,19
à,à,81
moi,moi,51
à,à,81
pas,pas,21
comptés,compté,31
",",",",p
d',de,81
un,un,71
air,air,21
craintif,craintif,30
;,;,p
puis,puis,60
il,il,51
s',se,51
arrêta,arrêter,19
",",",",p
n',ne,60
osant,oser,13
pas,pas,60
prendre,prendre,14
la,le,71
branche,branche,22
dans,dans,81
ma,mon,73
main,main,22
/.,/.,P
sa,son,73
maîtresse,maîtresse,22
lui,lui,51
fit,faire,19
signe,signe,21
comme,comme,83
pour,pour,81
l',le,52
enhardir,enhardir,14
;,;,p
mais,mais,82
il,il,51
la,le,52
regardait,regarder,18
d',de,81
un,un,71
oeil,oeil,21
inquiet,inquiet,30
;,;,p
elle,il,51
fit,faire,19
quelques,quelque,75
pas,pas,21
jusqu',jusque,81
à,à,81
moi,moi,51
",",",",p
posa,poser,19
la,le,71
main,main,22
sur,sur,81
la,le,71
branche,branche,22
",",",",p
que,que,52
le,le,71
chevreau,chevreau,21
prit,prendre,19
aussitôt,aussitôt,60
/.,/.,P
je,je,51
le,le,52
saluai,saluer,19
et,et,82
elle,il,51
continua,continuer,19
sa,son,73
route,route,22
/.,/.,P
rentré,rentré,31
chez,chez,81
moi,moi,51
",",",",p
je,je,51
demandai,demander,19
à,à,81
Larive,Larive,20
s',si,83
il,il,51
ne,ne,60
savait,savoir,18
pas,pas,60
qui,qui,52
demeurait,demeurer,18
dans,dans,81
le,le,71
village,village,21
à,à,81
l',le,71
endroit,endroit,21
que,que,52
je,je,51
lui,lui,51
indiquai,indiquer,19
;,;,p
c',ce,52
était,être,18
une,un,71
petite,petit,30
maison,maison,22
de,de,81
paisible,paisible,30
apparence,apparence,22
",",",",p
avec,avec,81
un,un,71
jardin,jardin,21
/.,/.,P
il,il,51
la,le,52
connaissait,connaître,18
;,;,p
les,le,71
deux,deux,72
seules,seul,30
habitantes,habitante,22
étaient,être,18
une,un,71
femme,femme,22
âgée,âgé,30
",",",",p
passant,passer,13
pour,pour,81
très,très,60
dévote,dévot,30
",",",",p
et,et,82
une,un,71
jeune,jeune,22
",",",",p
qui,qui,52
s',se,51
appelait,appeler,18
madame,madame,22
Pierson,Pierson,20
/.,/.,P
c',ce,52
était,être,18
celle,celui,52
que,que,52
j',je,51
avais,avoir,18
vue,voir,12
/.,/.,P
je,je,51
lui,lui,51
demandai,demander,19
qui,qui,52
elle,il,51
était,être,18
et,et,82
si,si,83
elle,il,51
venait,venir,18
chez,chez,81
mon,mon,73
père,père,21
/.,/.,P
il,il,51
me,je,51
répondit,répondre,19
qu',que,83
elle,il,51
était,être,18
veuve,veuve,22
",",",",p
menant,mener,13
une,un,71
vie,vie,22
retirée,retiré,31
",",",",p
et,et,82
qu',que,52
il,il,51
l',le,52
avait,avoir,18
vue,voir,12
quelquefois,quelquefois,60
",",",",p
mais,mais,82
rarement,rarement,60
",",",",p
chez,chez,81
nous,nous,51
/.,/.,P
il,il,51
n',ne,60
en,en,52
fut,être,19
pas,pas,60
dit,dire,12
plus,plus,60
long,long,60
",",",",p
et,et,82
",",",",p
sortant,sortir,13
de,de,81
nouveau,nouveau,21
là-dessus,là-dessus,60
",",",",p
je,je,51
m',je,51
en,en,52
retournai,retourner,19
à,à,81
mes,mon,73
tilleuls,tilleul,21
",",",",p
où,où,60
je,je,51
m',je,51
assis,asseoir,19
sur,sur,81
un,un,71
banc,banc,21
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
quelle,quel,75
tristesse,tristesse,22
me,je,51
gagna,gagner,19
tout,tout,60
à,à,81
coup,coup,21
en,en,81
voyant,voir,13
le,le,71
chevreau,chevreau,21
revenir,revenir,14
à,à,81
moi,moi,51
/.,/.,P
je,je,51
me,je,51
levai,lever,19
",",",",p
et,et,82
",",",",p
comme,comme,83
par,par,81
distraction,distraction,22
",",",",p
regardant,regarder,13
le,le,71
sentier,sentier,21
que,que,52
madame,madame,22
Pierson,Pierson,20
avait,avoir,18
pris,prendre,12
pour,pour,81
s',se,51
en,en,52
aller,aller,14
",",",",p
je,je,51
le,le,52
suivis,suivre,19
tout,tout,60
en,en,81
rêvant,rêver,13
",",",",p
si,si,60
bien,bien,60
que,que,83
je,je,51
m',je,51
enfonçai,enfoncer,19
fort,fort,60
avant,avant,81
dans,dans,81
la,le,71
montagne,montagne,22
/.,/.,P
il,il,51
était,être,18
près,près,81
d',de,81
onze,onze,72
heures,heure,22
lorsque,lorsque,83
je,je,51
pensai,penser,19
à,à,81
revenir,revenir,14
;,;,p
comme,comme,83
j',je,51
avais,avoir,18
beaucoup,beaucoup,60
marché,marcher,12
",",",",p
je,je,51
me,je,51
dirigeai,diriger,19
du,de,81
du,le,71
côté,côté,21
d',de,81
une,un,71
ferme,ferme,22
que,que,52
j',je,51
aperçus,apercevoir,19
pour,pour,81
demander,demander,14
une,un,71
tasse,tasse,22
de,de,81
lait,lait,21
et,et,82
un,un,71
morceau,morceau,21
de,de,81
pain,pain,21
/.,/.,P
en,en,81
même,même,75
temps,temps,21
",",",",p
de,de,81
grosses,gros,30
gouttes,goutte,22
de,de,81
pluie,pluie,22
qui,qui,52
commençaient,commencer,18
à,à,81
tomber,tomber,14
annonçaient,annoncer,18
un,un,71
orage,orage,21
que,que,52
je,je,51
voulais,vouloir,18
laisser,laisser,14
passer,passer,14
/.,/.,P
quoiqu',quoique,83
il,il,51
y,y,52
eût,avoir,19
de,de,81
la,le,71
lumière,lumière,22
dans,dans,81
la,le,71
maison,maison,22
et,et,82
que,que,83
j',je,51
entendisse,entendre,18
aller,aller,14
et,et,82
venir,venir,14
",",",",p
on,on,51
ne,ne,60
me,je,51
répondit,répondre,19
pas,pas,60
quand,quand,83
je,je,51
frappai,frapper,19
",",",",p
en,en,81
sorte,sorte,22
que,que,83
je,je,51
m',je,51
approchai,approcher,19
d',de,81
une,un,71
fenêtre,fenêtre,22
pour,pour,81
regarder,regarder,14
s',si,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
là,là,60
personne,personne,52
/.,/.,P
je,je,51
vis,voir,19
un,un,71
grand,grand,30
feu,feu,21
allumé,allumé,31
dans,dans,81
la,le,71
salle,salle,22
basse,bas,30
;,;,p
le,le,71
fermier,fermier,21
",",",",p
que,que,52
je,je,51
connaissais,connaître,18
",",",",p
était,être,18
assis,asseoir,12
près,près,81
de,de,81
son,son,73
lit,lit,21
;,;,p
je,je,51
frappai,frapper,19
aux,à,81
aux,le,71
carreaux,carreau,21
en,en,81
l',le,52
appelant,appeler,13
/.,/.,P
au,à,81
au,le,71
même,même,75
instant,instant,21
",",",",p
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
",",",",p
et,et,82
je,je,51
fus,être,19
surpris,surprendre,12
de,de,81
voir,voir,14
madame,madame,22
Pierson,Pierson,20
",",",",p
que,que,52
je,je,51
reconnus,reconnaître,19
aussitôt,aussitôt,60
",",",",p
et,et,82
qui,qui,52
demanda,demander,19
qui,qui,52
était,être,18
dehors,dehors,21
/.,/.,P
je,je,51
m',je,51
attendais,attendre,18
si,si,83
peu,peu,60
à,à,81
la,le,52
trouver,trouver,14
là,là,60
",",",",p
qu',que,83
elle,il,51
s',se,51
aperçut,apercevoir,19
de,de,81
mon,mon,73
étonnement,étonnement,21
/.,/.,P
j',je,51
entrai,entrer,19
dans,dans,81
la,le,71
chambre,chambre,22
en,en,81
lui,lui,51
demandant,demander,13
la,le,71
permission,permission,22
de,de,81
me,je,51
mettre,mettre,14
à,à,81
l',le,71
abri,abri,21
/.,/.,P
je,je,51
n',ne,60
imaginais,imaginer,18
pas,pas,60
ce,ce,52
qu',que,52
elle,il,51
pouvait,pouvoir,18
faire,faire,14
à,à,81
une,un,71
pareille,pareil,30
heure,heure,22
dans,dans,81
une,un,71
ferme,ferme,22
presque,presque,60
perdue,perdu,31
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
campagne,campagne,22
",",",",p
lorsqu',lorsque,83
une,un,71
voix,voix,22
plaintive,plaintif,30
qui,qui,52
sortait,sortir,18
du,de,81
du,le,71
lit,lit,21
me,je,51
fit,faire,19
tourner,tourner,14
la,le,71
tête,tête,22
",",",",p
et,et,82
je,je,51
vis,voir,19
que,que,83
la,le,71
femme,femme,22
du,de,81
du,le,71
fermier,fermier,21
était,être,18
couchée,coucher,12
",",",",p
avec,avec,81
la,le,71
mort,mort,22
sur,sur,81
le,le,71
visage,visage,21
/.,/.,P
madame,madame,22
Pierson,Pierson,20
",",",",p
qui,qui,52
m',je,51
avait,avoir,18
suivi,suivre,12
",",",",p
s',se,51
était,être,18
rassise,rasseoir,12
en,en,81
face,face,22
du,de,81
du,le,71
pauvre,pauvre,30
homme,homme,21
",",",",p
qui,qui,52
paraissait,paraître,18
accablé,accablé,31
de,de,81
douleur,douleur,22
;,;,p
elle,il,51
me,je,51
fit,faire,19
signe,signe,21
de,de,81
ne,ne,60
pas,pas,60
faire,faire,14
de,de,81
bruit,bruit,21
:,:,p
la,le,71
malade,malade,22
dormait,dormir,18
/.,/.,P
je,je,51
pris,prendre,19
une,un,71
chaise,chaise,22
et,et,82
m',je,51
assis,asseoir,19
dans,dans,81
un,un,71
coin,coin,21
",",",",p
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
l',le,71
orage,orage,21
fût,être,19
passé,passer,12
/.,/.,P
pendant,pendant,81
que,que,83
je,je,51
restais,rester,18
là,là,60
",",",",p
je,je,51
la,le,52
vis,voir,19
se,se,51
lever,lever,14
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
aller,aller,14
au,à,81
au,le,71
lit,lit,21
",",",",p
puis,puis,60
parler,parler,14
bas,bas,60
au,à,81
au,le,71
fermier,fermier,21
/.,/.,P
un,un,52
des,de,81
des,le,71
enfants,enfant,21
",",",",p
que,que,52
j',je,51
attirai,attirer,19
sur,sur,81
mes,mon,73
genoux,genou,21
",",",",p
m',je,51
apprit,apprendre,19
qu',que,83
elle,il,51
venait,venir,18
tous,tout,75
les,le,71
soirs,soir,21
depuis,depuis,81
que,que,83
sa,son,73
mère,mère,22
était,être,18
malade,malade,30
",",",",p
et,et,82
qu',que,52
elle,il,51
passait,passer,18
quelquefois,quelquefois,60
la,le,71
nuit,nuit,22
/.,/.,P
elle,il,51
faisait,faire,18
l',le,71
office,office,21
d',de,81
une,un,71
soeur,soeur,22
de,de,81
charité,charité,22
;,;,p
il,il,51
n',ne,60
y,y,52
en,en,52
avait,avoir,18
point,point,60
d',de,81
autre,autre,52
qu',que,83
elle,il,51
dans,dans,81
le,le,71
pays,pays,21
",",",",p
et,et,82
un,un,71
seul,seul,30
médecin,médecin,21
fort,fort,60
ignorant,ignorant,30
/.,/.,P
-,-,p
c',ce,52
est,être,17
Brigitte,Brigitte,20
la,le,71
Rose,Rose,20
",",",",p
me,je,51
dit,dire,19
il,il,51
à,à,81
voix,voix,22
basse,bas,30
;,;,p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
ne,ne,60
la,le,52
connaissez,connaître,17
pas,pas,60
/?,/?,P
non,non,60
",",",",p
lui,lui,51
dis,dire,19
je,je,51
de,de,81
même,même,60
;,;,p
pourquoi,pourquoi,60
l',le,52
appelle,appeler,17
t,t,94
on,on,51
ainsi,ainsi,60
/?,/?,P
il,il,51
me,je,51
répondit,répondre,19
qu',que,83
il,il,51
n',ne,60
en,en,52
savait,savoir,18
rien,rien,52
",",",",p
sinon,sinon,83
que,que,83
c',ce,52
était,être,18
peut-être,peut-être,60
qu',que,83
elle,il,51
avait,avoir,18
été,être,12
rosière,rosière,22
",",",",p
et,et,82
que,que,83
le,le,71
nom,nom,21
lui,lui,51
en,en,52
était,être,18
resté,rester,12
/.,/.,P
cependant,cependant,82
madame,madame,22
Pierson,Pierson,20
n',ne,60
avait,avoir,18
plus,plus,60
son,son,73
voile,voile,21
;,;,p
je,je,51
pouvais,pouvoir,18
voir,voir,14
