11073
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-deuxième extrait>,<>,<>
nature,nature,22
des,de,81
des,le,71
qualités,qualité,22
qui,qui,52
font,faire,17
qu',que,83
on,on,51
est,être,17
aimé,aimer,12
",",",",p
se,se,51
contentent,contenter,17
d',de,81
aimer,aimer,14
sans,sans,81
retour,retour,21
et,et,82
qui,qui,52
se,se,51
dévouent,dévouer,17
comme,comme,83
des,de,81
des,le,71
esclaves,esclave,21
volontaires,volontaire,30
au,à,81
au,le,71
service,service,21
",",",",p
sinon,sinon,83
au,à,81
au,le,71
bonheur,bonheur,21
",",",",p
de,de,81
la,le,71
femme,femme,22
à,à,81
laquelle,lequel,52
ils,ils,51
assujettissent,assujettir,17
leur,leur,73
coeur,coeur,21
/.,/.,P
ce,ce,52
ne,ne,60
sont,être,17
pas,pas,60
les,le,71
plus,plus,60
nobles,noble,30
",",",",p
mais,mais,82
ce,ce,52
sont,être,17
les,le,71
plus,plus,60
touchantes,touchant,30
natures,nature,22
d',de,81
attachement,attachement,21
/.,/.,P
on,on,51
les,le,52
plaint,plaindre,17
",",",",p
mais,mais,82
on,on,51
les,le,52
admire,admirer,17
/.,/.,P
aimer,aimer,14
pour,pour,81
être,être,14
aimé,aimer,12
",",",",p
c',ce,52
est,être,17
de,de,81
l',le,71
homme,homme,21
;,;,p
mais,mais,82
aimer,aimer,14
pour,pour,81
aimer,aimer,14
c',ce,52
est,être,17
presque,presque,60
de,de,81
l',le,71
ange,ange,21
/.,/.,P
<VI>,<>,<>
sous,sous,81
les,le,71
traits,trait,21
les,le,71
plus,plus,60
disgracieux,disgracieux,30
",",",",p
il,il,51
y,y,52
avait,avoir,18
quelque,quelque,75
chose,chose,22
d',de,81
angélique,angélique,30
dans,dans,81
l',le,71
amour,amour,21
du,de,81
du,le,71
pauvre,pauvre,30
Cecco,Cecco,20
/.,/.,P
aussi,aussi,60
",",",",p
bien,bien,60
loin,loin,60
d',de,81
être,être,14
humilié,humilier,12
ou,ou,82
jaloux,jaloux,30
des,de,81
des,le,71
familiarités,familiarité,22
et,et,82
des,de,81
des,le,71
préférences,préférence,22
dont,dont,52
j',je,51
étais,être,18
à,à,81
ses,son,73
yeux,oeil,21
l',le,71
objet,objet,21
de,de,81
la,le,71
part,part,22
de,de,81
Graziella,Graziella,20
",",",",p
il,il,51
m',je,51
aimait,aimer,18
parce qu',parce que,83
elle,il,51
m',je,51
aimait,aimer,18
/.,/.,P
dans,dans,81
l',le,71
affection,affection,22
de,de,81
sa,son,73
cousine,cousine,22
il,il,51
ne,ne,60
demandait,demander,18
pas,pas,60
la,le,71
première,premier,72
place,place,22
ou,ou,82
la,le,71
place,place,22
unique,unique,30
",",",",p
mais,mais,82
la,le,71
seconde,second,72
ou,ou,82
la,le,71
dernière,dernière,22
:,:,p
tout,tout,52
lui,lui,51
suffisait,suffire,18
/.,/.,P
pour,pour,81
lui,lui,51
plaire,plaire,14
un,un,71
moment,moment,21
",",",",p
pour,pour,81
en,en,52
obtenir,obtenir,14
un,un,71
regard,regard,21
de,de,81
complaisance,complaisance,22
",",",",p
un,un,71
geste,geste,21
",",",",p
un,un,71
mot,mot,21
gracieux,gracieux,30
",",",",p
il,il,51
serait,être,16
venu,venir,12
me,je,51
chercher,chercher,14
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
France,France,20
et,et,82
me,je,51
ramener,ramener,14
à,à,81
celle,celui,52
qui,qui,52
me,je,51
préférait,préférer,18
à,à,81
lui,lui,51
/.,/.,P
je,je,51
crois,croire,17
même,même,60
qu',que,83
il,il,51
m',je,51
eût,avoir,19
haï,haïr,12
si,si,83
j',je,51
avais,avoir,18
fait,faire,12
de,de,81
la,le,71
peine,peine,22
à,à,81
sa,son,73
cousine,cousine,22
/.,/.,P
son,son,73
orgueil,orgueil,21
était,être,18
en,en,81
elle,il,51
comme,comme,83
son,son,73
amour,amour,21
/.,/.,P
peut-être,peut-être,60
aussi,aussi,60
",",",",p
froid,froid,30
à,à,81
l',le,71
intérieur,intérieur,21
réfléchi,réfléchi,31
",",",",p
sensé,sensé,30
et,et,82
méthodique,méthodique,30
",",",",p
tel,tel,75
que,que,83
dieu,dieu,21
et,et,82
son,son,73
infirmité,infirmité,22
l',le,52
avaient,avoir,18
fait,faire,12
",",",",p
calculait,calculer,18
il,il,51
instinctivement,instinctivement,60
que,que,83
mon,mon,73
empire,empire,21
sur,sur,81
les,le,71
penchants,penchant,21
de,de,81
sa,son,73
cousine,cousine,22
ne,ne,60
serait,être,16
pas,pas,60
éternel,éternel,30
;,;,p
qu',que,83
une,un,71
circonstance,circonstance,22
quelconque,quelconque,30
",",",",p
mais,mais,82
inévitable,inévitable,30
",",",",p
nous,nous,51
séparerait,séparer,16
;,;,p
que,que,83
j',je,51
étais,être,18
étranger,étranger,30
",",",",p
d',de,81
un,un,71
pays,pays,21
lointain,lointain,30
",",",",p
d',de,81
une,un,71
condition,condition,22
et,et,82
d',de,81
une,un,71
fortune,fortune,22
évidemment,évidemment,60
incompatibles,incompatible,30
avec,avec,81
celles,celui,52
de,de,81
la,le,71
fille,fille,22
d',de,81
un,un,71
marinier,marinier,21
de,de,81
Procida,Procida,20
;,;,p
qu',que,83
un,un,71
jour,jour,21
ou,ou,82
l',le,71
autre,autre,52
l',le,71
intimité,intimité,22
entre,entre,81
sa,son,73
cousine,cousine,22
et,et,82
moi,moi,51
se,se,51
romprait,rompre,16
comme,comme,83
elle,il,51
s',se,51
était,être,18
formée,former,12
;,;,p
qu',que,83
elle,il,51
lui,lui,51
resterait,rester,16
alors,alors,60
seule,seul,30
",",",",p
abandonnée,abandonné,31
",",",",p
désolée,désolé,31
;,;,p
que,que,83
ce,ce,74
désespoir,désespoir,21
même,même,30
fléchirait,fléchir,16
son,son,73
coeur,coeur,21
et,et,82
le,le,52
lui,lui,51
donnerait,donner,16
brisé,brisé,31
",",",",p
mais,mais,82
tout,tout,60
entier,entier,30
/.,/.,P
ce,ce,74
rôle,rôle,21
de,de,81
consolateur,consolateur,21
et,et,82
d',de,81
ami,ami,21
était,être,18
le,le,71
seul,seul,30
auquel,à,81
auquel,lequel,52
il,il,51
pût,pouvoir,18
prétendre,prétendre,14
/.,/.,P
mais,mais,82
son,son,73
père,père,21
avait,avoir,18
une,un,71
autre,autre,75
pensée,pensée,22
pour,pour,81
lui,lui,51
/.,/.,P
<VII>,<>,<>
le,le,71
père,père,21
",",",",p
connaissant,connaître,13
l',le,71
attachement,attachement,21
de,de,81
Cecco,Cecco,20
pour,pour,81
sa,son,73
nièce,nièce,22
",",",",p
venait,venir,18
la,le,52
voir,voir,14
de,de,81
temps,temps,21
en,en,81
temps,temps,21
/.,/.,P
touché,touché,31
de,de,81
sa,son,73
beauté,beauté,22
",",",",p
de,de,81
sa,son,73
sagesse,sagesse,22
",",",",p
émerveillé,émerveillé,31
des,de,81
des,le,71
progrès,progrès,21
rapides,rapide,30
qu',que,52
elle,il,51
faisait,faire,18
dans,dans,81
la,le,71
pratique,pratique,22
de,de,81
son,son,73
art,art,21
",",",",p
dans,dans,81
la,le,71
lecture,lecture,22
et,et,82
dans,dans,81
l',le,71
écriture,écriture,22
;,;,p
pensant,penser,13
d',de,81
ailleurs,ailleurs,60
que,que,83
les,le,71
disgrâces,disgrâce,22
de,de,81
la,le,71
nature,nature,22
ne,ne,60
permettraient,permettre,16
pas,pas,60
à,à,81
Cecco,Cecco,20
d',de,81
aspirer,aspirer,14
à,à,81
d',de,81
autres,autre,75
tendresses,tendresse,22
qu',que,83
à,à,81
des,de,81
des,le,71
tendresses,tendresse,22
de,de,81
convenance,convenance,22
et,et,82
de,de,81
famille,famille,22
",",",",p
il,il,51
avait,avoir,18
résolu,résoudre,12
de,de,81
marier,marier,14
son,son,73
fils,fils,21
à,à,81
sa,son,73
nièce,nièce,22
/.,/.,P
sa,son,73
fortune,fortune,22
faite,fait,31
",",",",p
et,et,82
assez,assez,60
considérable,considérable,30
pour,pour,81
un,un,71
ouvrier,ouvrier,21
lui,lui,51
permettait,permettre,18
de,de,81
regarder,regarder,14
sa,son,73
demande,demande,22
comme,comme,83
une,un,71
faveur,faveur,22
à,à,81
laquelle,lequel,52
Andréa,Andréa,20
",",",",p
sa,son,73
femme,femme,22
et,et,82
la,le,71
jeune,jeune,30
fille,fille,22
ne,ne,60
penseraient,penser,16
même,même,60
pas,pas,60
à,à,81
résister,résister,14
/.,/.,P
soit,soit,82
qu',que,83
il,il,51
eût,avoir,19
parlé,parler,12
de,de,81
son,son,73
projet,projet,21
à,à,81
Cecco,Cecco,20
",",",",p
soit,soit,82
qu',que,83
il,il,51
eût,avoir,19
caché,cacher,12
sa,son,73
pensée,pensée,22
pour,pour,81
lui,lui,51
faire,faire,14
une,un,71
surprise,surprise,22
de,de,81
son,son,73
bonheur,bonheur,21
",",",",p
il,il,51
résolut,résoudre,19
de,de,81
s',se,51
expliquer,expliquer,14
/.,/.,P
<VIII>,<>,<>
la,le,71
veille,veille,22
de,de,81
Noël,Noël,20
",",",",p
je,je,51
rentrai,rentrer,19
plus,plus,60
tard,tard,60
que,que,83
de,de,81
coutume,coutume,22
pour,pour,81
prendre,prendre,14
ma,mon,73
place,place,22
au,à,81
au,le,71
souper,souper,21
de,de,81
famille,famille,22
/.,/.,P
je,je,51
m',je,51
aperçus,apercevoir,19
de,de,81
quelque,quelque,75
froideur,froideur,22
et,et,82
de,de,81
quelque,quelque,75
trouble,trouble,21
dans,dans,81
la,le,71
physionomie,physionomie,22
évidemment,évidemment,60
contrainte,contraint,31
d',de,81
Andréa,Andréa,20
et,et,82
de,de,81
sa,son,73
femme,femme,22
/.,/.,P
levant,lever,13
les,le,71
yeux,oeil,21
sur,sur,81
Graziella,Graziella,20
",",",",p
je,je,51
vis,voir,19
qu',que,83
elle,il,51
avait,avoir,18
pleuré,pleurer,12
/.,/.,P
la,le,71
sérénité,sérénité,22
et,et,82
la,le,71
gaieté,gaieté,22
étaient,être,18
si,si,60
habituelles,habituel,30
sur,sur,81
son,son,73
visage,visage,21
que,que,52
cette,ce,74
expression,expression,22
inaccoutumée,inaccoutumé,30
de,de,81
tristesse,tristesse,22
la,le,52
couvrait,couvrir,18
comme,comme,83
d',de,81
un,un,71
voile,voile,21
matériel,matériel,30
/.,/.,P
on,on,51
eût,avoir,19
dit,dire,12
que,que,83
l',le,71
ombre,ombre,22
de,de,81
ses,son,73
pensées,pensée,22
et,et,82
de,de,81
son,son,73
coeur,coeur,21
s',se,51
était,être,18
répandue,répandre,12
sur,sur,81
ses,son,73
traits,trait,21
/.,/.,P
je,je,51
restai,rester,19
pétrifié,pétrifié,31
et,et,82
muet,muet,30
",",",",p
n',ne,60
osant,oser,13
interroger,interroger,14
ces,ce,74
pauvres,pauvre,30
gens,gens,21
ni,ni,82
parler,parler,14
à,à,81
Graziella,Graziella,20
",",",",p
de,de,81
peur,peur,22
que,que,83
le,le,71
seul,seul,30
son,son,21
de,de,81
ma,mon,73
voix,voix,22
ne,ne,60
fît,faire,18
éclater,éclater,14
son,son,73
coeur,coeur,21
qu',que,52
elle,il,51
paraissait,paraître,18
à,à,81
peine,peine,22
contenir,contenir,14
/.,/.,P
contre,contre,81
son,son,73
habitude,habitude,22
",",",",p
elle,il,51
ne,ne,60
me,je,51
regardait,regarder,18
pas,pas,60
/.,/.,P
elle,il,51
portait,porter,18
d',de,81
une,un,71
main,main,22
distraite,distrait,31
les,le,71
morceaux,morceau,21
de,de,81
pain,pain,21
à,à,81
sa,son,73
bouche,bouche,22
et,et,82
faisait,faire,18
semblant,semblant,21
de,de,81
manger,manger,14
par,par,81
contenance,contenance,22
;,;,p
mais,mais,82
elle,il,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
/.,/.,P
elle,il,51
jetait,jeter,18
le,le,71
pain,pain,21
sous,sous,81
la,le,71
table,table,22
/.,/.,P
avant,avant,81
la,le,71
fin,fin,22
du,de,81
du,le,71
repas,repas,21
taciturne,taciturne,30
",",",",p
elle,il,51
prit,prendre,19
le,le,71
prétexte,prétexte,21
de,de,81
mener,mener,14
coucher,coucher,14
les,le,71
enfants,enfant,21
;,;,p
elle,il,51
les,le,52
entraîna,entraîner,19
dans,dans,81
leur,leur,73
chambre,chambre,22
;,;,p
elle,il,51
s',se,51
y,y,52
renferma,renfermer,19
sans,sans,81
dire,dire,14
adieu,adieu,21
ni,ni,82
à,à,81
ses,son,73
parents,parent,21
ni,ni,82
à,à,81
moi,moi,51
",",",",p
et,et,82
nous,nous,51
laissa,laisser,19
seuls,seul,30
/.,/.,P
quand,quand,83
elle,il,51
fut,être,19
sortie,sortir,12
",",",",p
je,je,51
demandai,demander,19
au,à,81
au,le,71
père,père,21
et,et,82
à,à,81
la,le,71
mère,mère,22
quelle,quel,52
était,être,18
la,le,71
cause,cause,22
du,de,81
du,le,71
sérieux,sérieux,21
de,de,81
leurs,leur,73
pensées,pensée,22
et,et,82
de,de,81
la,le,71
tristesse,tristesse,22
de,de,81
leur,leur,73
enfant,enfant,21
/.,/.,P
alors,alors,60
ils,ils,51
me,je,51
racontèrent,raconter,19
que,que,83
le,le,71
père,père,21
de,de,81
Cecco,Cecco,20
était,être,18
venu,venir,12
dans,dans,81
la,le,71
journée,journée,22
à,à,81
la,le,71
maison,maison,22
;,;,p
qu',que,83
il,il,51
avait,avoir,18
demandé,demander,12
leur,leur,73
petite-fille,petite-fille,22
en,en,81
mariage,mariage,21
pour,pour,81
son,son,73
fils,fils,21
;,;,p
que,que,83
c',ce,52
était,être,18
un,un,71
bien,bien,60
grand,grand,30
bonheur,bonheur,21
et,et,82
une,un,71
haute,haut,30
fortune,fortune,22
pour,pour,81
la,le,71
famille,famille,22
;,;,p
que,que,83
Cecco,Cecco,20
aurait,avoir,16
du,de,81
du,le,71
bien,bien,21
;,;,p
que,que,83
Graziella,Graziella,20
",",",",p
qui,qui,52
était,être,18
si,si,60
bonne,bon,30
",",",",p
prendrait,prendre,16
avec,avec,81
elle,il,51
et,et,82
élèverait,élever,16
ses,son,73
deux,deux,72
petits,petit,30
frères,frère,21
comme,comme,83
ses,son,73
propres,propre,30
enfants,enfant,21
;,;,p
que,que,83
leurs,leur,73
vieux,vieux,30
jours,jour,21
à,à,81
eux-mêmes,eux-mêmes,51
seraient,être,16
ainsi,ainsi,60
assurés,assurer,12
contre,contre,81
la,le,71
misère,misère,22
;,;,p
qu',que,83
ils,ils,51
avaient,avoir,18
consenti,consentir,12
avec,avec,81
reconnaissance,reconnaissance,22
à,à,81
ce,ce,74
mariage,mariage,21
;,;,p
qu',que,83
ils,ils,51
en,en,52
avaient,avoir,18
parlé,parler,12
à,à,81
Graziella,Graziella,20
;,;,p
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
rien,rien,52
répondu,répondre,12
",",",",p
par,par,81
timidité,timidité,22
et,et,82
par,par,81
modestie,modestie,22
de,de,81
jeune,jeune,30
fille,fille,22
;,;,p
que,que,83
son,son,73
silence,silence,21
et,et,82
ses,son,73
larmes,larme,22
étaient,être,18
l',le,71
effet,effet,21
de,de,81
sa,son,73
surprise,surprise,22
et,et,82
de,de,81
son,son,73
émotion,émotion,22
",",",",p
mais,mais,82
que,que,52
cela,cela,52
passerait,passer,16
comme,comme,83
une,un,71
mouche,mouche,22
sur,sur,81
une,un,71
fleur,fleur,22
;,;,p
enfin,enfin,60
qu',que,52
entre,entre,81
le,le,71
père,père,21
de,de,81
Cecco,Cecco,20
et,et,82
eux,ils,51
il,il,51
avait,avoir,18
été,être,12
convenu,convenir,12
qu',que,83
on,on,51
ferait,faire,16
les,le,71
fiançailles,fiançaille,22
après,après,81
les,le,71
fêtes,fête,22
de,de,81
Noël,Noël,20
/.,/.,P
<IX>,<>,<>
ils,ils,51
parlaient,parler,18
encore,encore,60
que,que,83
depuis,depuis,81
longtemps,longtemps,60
je,je,51
n',ne,60
entendais,entendre,18
déjà,déjà,60
plus,plus,60
/.,/.,P
je,je,51
ne,ne,60
m',je,51
étais,être,18
jamais,jamais,60
rendu,rendre,12
compte,compte,21
à,à,81
moi-même,moi-même,51
de,de,81
l',le,71
attachement,attachement,21
que,que,52
j',je,51
avais,avoir,18
pour,pour,81
Graziella,Graziella,20
/.,/.,P
je,je,51
ne,ne,60
savais,savoir,18
pas,pas,60
comment,comment,60
je,je,51
l',le,52
aimais,aimer,18
;,;,p
si,si,83
c',ce,52
était,être,18
de,de,81
l',le,71
intimité,intimité,22
pure,pur,30
",",",",p
de,de,81
l',le,71
amitié,amitié,22
",",",",p
de,de,81
l',le,71
amour,amour,21
",",",",p
de,de,81
l',le,71
habitude,habitude,22
ou,ou,82
de,de,81
tous,tout,75
ces,ce,74
sentiments,sentiment,21
réunis,réuni,31
que,que,52
se,se,51
composait,composer,18
mon,mon,73
inclination,inclination,22
pour,pour,81
elle,il,51
/.,/.,P
mais,mais,82
l',le,71
idée,idée,22
de,de,81
voir,voir,14
ainsi,ainsi,60
soudainement,soudainement,60
changées,changé,31
toutes,tout,75
ces,ce,74
douces,doux,30
relations,relation,22
de,de,81
vie,vie,22
et,et,82
de,de,81
coeur,coeur,21
qui,qui,52
s',se,51
étaient,être,18
établies,établir,12
et,et,82
comme,comme,83
cimentées,cimenter,12
à,à,81
notre,notre,73
insu,insu,21
entre,entre,81
elle,il,51
et,et,82
moi,moi,51
;,;,p
la,le,71
pensée,pensée,22
qu',que,83
on,on,51
allait,aller,18
me,je,51
la,le,52
prendre,prendre,14
pour,pour,81
la,le,52
donner,donner,14
tout,tout,60
à,à,81
coup,coup,21
à,à,81
un,un,71
autre,autre,52
;,;,p
que,que,83
",",",",p
de,de,81
ma,mon,73
compagne,compagne,22
et,et,82
de,de,81
ma,mon,73
soeur,soeur,22
qu',que,52
elle,il,51
était,être,18
à,à,81
présent,présent,21
",",",",p
elle,il,51
allait,aller,18
me,je,51
devenir,devenir,14
étrangère,étranger,30
et,et,82
indifférente,indifférent,30
;,;,p
qu',que,83
elle,il,51
ne,ne,60
serait,être,16
plus,plus,60
là,là,60
;,;,p
que,que,83
je,je,51
ne,ne,60
la,le,52
verrais,voir,16
plus,plus,60
à,à,81
toute,tout,75
heure,heure,22
",",",",p
que,que,83
je,je,51
n',ne,60
entendrais,entendre,16
plus,plus,60
sa,son,73
voix,voix,22
m',je,51
appeler,appeler,14
;,;,p
que,que,83
je,je,51
ne,ne,60
lirais,lire,16
plus,plus,60
dans,dans,81
ses,son,73
yeux,oeil,21
ce,ce,74
rayon,rayon,21
toujours,toujours,60
levé,levé,31
sur,sur,81
moi,moi,51
de,de,81
lumière,lumière,22
caressante,caressant,30
et,et,82
de,de,81
tendresse,tendresse,22
",",",",p
qui,qui,52
m',je,51
éclairait,éclairer,18
doucement,doucement,60
le,le,71
coeur,coeur,21
et,et,82
qui,qui,52
me,je,51
rappelait,rappeler,18
ma,mon,73
mère,mère,22
et,et,82
mes,mon,73
soeurs,soeur,22
;,;,p
le,le,71
vide,vide,21
et,et,82
la,le,71
nuit,nuit,22
profonde,profond,30
que,que,52
je,je,51
me,je,51
figurais,figurer,18
tout,tout,60
à,à,81
coup,coup,21
autour,autour,60
de,de,81
moi,moi,51
",",",",p
là,là,60
",",",",p
le,le,71
lendemain,lendemain,21
du,de,81
du,le,71
jour,jour,21
où,où,60
son,son,73
mari,mari,21
l',le,52
aurait,avoir,16
emmenée,emmener,12
dans,dans,81
une,un,71
autre,autre,75
maison,maison,22
;,;,p
cette,ce,74
chambre,chambre,22
où,où,60
elle,il,51
ne,ne,60
dormirait,dormir,16
plus,plus,60
;,;,p
la,le,71
mienne,mien,52
où,où,60
elle,il,51
n',ne,60
entrerait,entrer,16
plus,plus,60
;,;,p
cette,ce,74
table,table,22
où,où,60
je,je,51
ne,ne,60
la,le,52
verrais,voir,16
plus,plus,60
assise,assis,31
;,;,p
cette,ce,74
terrasse,terrasse,22
où,où,60
je,je,51
n',ne,60
entendrais,entendre,16
plus,plus,60
le,le,71
bruit,bruit,21
de,de,81
ses,son,73
pieds,pied,21
nus,nu,30
ou,ou,82
de,de,81
sa,son,73
voix,voix,22
le,le,71
matin,matin,21
à,à,81
mon,mon,73
réveil,réveil,21
;,;,p
ces,ce,74
églises,église,22
où,où,60
je,je,51
ne,ne,60
la,le,52
conduirais,conduire,16
plus,plus,60
les,le,71
dimanches,dimanche,21
;,;,p
cette,ce,74
barque,barque,22
où,où,60
sa,son,73
place,place,22
resterait,rester,16
vide,vide,30
",",",",p
et,et,82
où,où,60
je,je,51
ne,ne,60
causerais,causer,16
plus,plus,60
qu',que,83
avec,avec,81
le,le,71
vent,vent,21
et,et,82
les,le,71
flots,flot,21
;,;,p
les,le,71
images,image,22
pressées,pressé,31
de,de,81
toutes,tout,75
ces,ce,74
douces,doux,30
habitudes,habitude,22
de,de,81
notre,notre,73
vie,vie,22
passée,passé,31
",",",",p
qui,qui,52
me,je,51
remontaient,remonter,18
à,à,81
la,le,71
fois,fois,22
dans,dans,81
la,le,71
pensée,pensée,22
et,et,82
qui,qui,52
s',se,51
évanouissaient,évanouir,18
tout,tout,60
à,à,81
coup,coup,21
pour,pour,81
me,je,51
laisser,laisser,14
comme,comme,83
dans,dans,81
un,un,71
abîme,abîme,21
de,de,81
solitude,solitude,22
et,et,82
de,de,81
néant,néant,21
;,;,p
tout,tout,75
cela,cela,52
me,je,51
fit,faire,19
sentir,sentir,14
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
ce,ce,52
qu',que,52
était,être,18
pour,pour,81
moi,moi,51
la,le,71
société,société,22
de,de,81
cette,ce,74
jeune,jeune,30
fille,fille,22
et,et,82
me,je,51
montra,montrer,19
trop,trop,60
qu',que,83
amour,amour,21
ou,ou,82
amitié,amitié,22
",",",",p
le,le,71
sentiment,sentiment,21
qui,qui,52
m',je,51
attachait,attacher,18
à,à,81
elle,il,51
était,être,18
plus,plus,60
fort,fort,30
que,que,83
je,je,51
ne,ne,60
le,le,52
croyais,croire,18
",",",",p
et,et,82
que,que,83
le,le,71
charme,charme,21
",",",",p
inconnu,inconnu,30
à,à,81
moi-même,moi-même,51
",",",",p
de,de,81
ma,mon,73
vie,vie,22
sauvage,sauvage,30
à,à,81
Naples,Naples,20
ce,ce,52
n',ne,60
était,être,18
ni,ni,82
la,le,71
mer,mer,22
ni,ni,82
la,le,71
barque,barque,22
",",",",p
ni,ni,82
l',le,71
humble,humble,30
chambre,chambre,22
de,de,81
la,le,71
maison,maison,22
",",",",p
ni,ni,82
le,le,71
pêcheur,pêcheur,21
",",",",p
ni,ni,82
sa,son,73
femme,femme,22
",",",",p
ni,ni,82
Beppo,Beppo,20
",",",",p
ni,ni,82
les,le,71
enfants,enfant,21
",",",",p
c',ce,52
était,être,18
un,un,71
seul,seul,30
être,être,21
",",",",p
et,et,82
que,que,83
",",",",p
cet,ce,74
être,être,21
disparu,disparu,31
de,de,81
la,le,71
maison,maison,22
",",",",p
tout,tout,52
disparaissait,disparaître,18
à,à,81
la,le,71
fois,fois,22
/.,/.,P
elle,il,51
de,de,81
moins,moins,60
dans,dans,81
ma,mon,73
vie,vie,22
présente,présent,30
",",",",p
et,et,82
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
rien,rien,52
/.,/.,P
je,je,51
le,le,52
sentis,sentir,19
:,:,p
ce,ce,74
sentiment,sentiment,21
confus,confus,30
jusque-là,jusque-là,81
",",",",p
et,et,82
que,que,52
je,je,51
ne,ne,60
m',je,51
étais,être,18
jamais,jamais,60
confessé,confesser,12
",",",",p
me,je,51
frappa,frapper,19
d',de,81
un,un,71
tel,tel,75
coup,coup,21
que,que,83
tout,tout,75
mon,mon,73
coeur,coeur,21
en,en,52
tressaillit,tressaillir,19
",",",",p
et,et,82
que,que,83
j',je,51
éprouvai,éprouver,19
quelque,quelque,75
chose,chose,22
de,de,81
l',le,71
infini,infini,21
de,de,81
l',le,71
amour,amour,21
par,par,81
l',le,71
infini,infini,21
de,de,81
la,le,71
tristesse,tristesse,22
dans,dans,81
laquelle,lequel,52
mon,mon,73
coeur,coeur,21
se,se,51
sentit,sentir,19
tout,tout,60
à,à,81
coup,coup,21
submergé,submergé,31
/.,/.,P
<X>,<>,<>
je,je,51
rentrai,rentrer,19
en,en,81
silence,silence,21
dans,dans,81
ma,mon,73
chambre,chambre,22
/.,/.,P
je,je,51
me,je,51
jetai,jeter,19
tout,tout,60
habillé,habillé,31
sur,sur,81
mon,mon,73
lit,lit,21
/.,/.,P
j',je,51
essayai,essayer,19
de,de,81
lire,lire,14
",",",",p
d',de,81
écrire,écrire,14
",",",",p
de,de,81
penser,penser,14
",",",",p
de,de,81
me,je,51
distraire,distraire,14
par,par,81
quelque,quelque,75
travail,travail,21
d',de,81
esprit,esprit,21
pénible,pénible,30
et,et,82
capable,capable,30
de,de,81
dominer,dominer,14
mon,mon,73
agitation,agitation,22
/.,/.,P
tout,tout,52
fut,être,19
inutile,inutile,30
/.,/.,P
l',le,71
agitation,agitation,22
intérieure,intérieur,30
était,être,18
si,si,60
forte,fort,30
que,que,83
je,je,51
ne,ne,60
pus,pouvoir,19
avoir,avoir,14
deux,deux,72
pensées,pensée,22
et,et,82
que,que,83
l',le,71
accablement,accablement,21
même,même,30
de,de,81
mes,mon,73
forces,force,22
ne,ne,60
put,pouvoir,19
pas,pas,60
amener,amener,14
le,le,71
sommeil,sommeil,21
/.,/.,P
jamais,jamais,60
l',le,71
image,image,22
de,de,81
Graziella,Graziella,20
ne,ne,60
m',je,51
avait,avoir,18
apparu,apparaître,12
jusque-là,jusque-là,81
aussi,aussi,60
ravissante,ravissant,30
et,et,82
aussi,aussi,60
obstinée,obstiné,31
devant,devant,81
les,le,71
yeux,oeil,21
/.,/.,P
j',je,51
en,en,52
jouissais,jouir,18
comme,comme,83
de,de,81
quelque,quelque,75
chose,chose,22
qu',que,52
on,on,51
voit,voir,17
tous,tout,75
les,le,71
jours,jour,21
et,et,82
dont,dont,52
on,on,51
ne,ne,60
sent,sentir,17
la,le,71
douceur,douceur,22
qu',que,83
en,en,81
la,le,52
perdant,perdre,13
/.,/.,P
sa,son,73
beauté,beauté,22
même,même,30
n',ne,60
était,être,18
rien,rien,52
pour,pour,81
moi,moi,51
jusqu',jusque,81
à,à,81
ce,ce,74
jour,jour,21
;,;,p
je,je,51
confondais,confondre,18
l',le,71
impression,impression,22
que,que,52
j',je,51
en,en,52
ressentais,ressentir,18
avec,avec,81
l',le,71
effet,effet,21
de,de,81
l',le,71
amitié,amitié,22
que,que,52
j',je,51
éprouvais,éprouver,18
pour,pour,81
elle,il,51
et,et,82
de,de,81
celle,celui,52
que,que,52
sa,son,73
physionomie,physionomie,22
exprimait,exprimer,18
pour,pour,81
moi,moi,51
/.,/.,P
je,je,51
ne,ne,60
savais,savoir,18
pas,pas,60
qu',que,83
il,il,51
y,y,52
eût,avoir,19
tant,tant,60
d',de,81
admiration,admiration,22
dans,dans,81
mon,mon,73
attachement,attachement,21
;,;,p
je,je,51
ne,ne,60
soupçonnais,soupçonner,18
pas,pas,60
la,le,71
moindre,moindre,30
passion,passion,22
dans,dans,81
sa,son,73
tendresse,tendresse,22
/.,/.,P
je,je,51
ne,ne,60
me,je,51
rendis,rendre,19
pas,pas,60
bien,bien,60
compte,compte,21
de,de,81
tout,tout,75
cela,cela,52
",",",",p
même,même,60
dans,dans,81
les,le,71
longues,long,30
circonvolutions,circonvolution,22
de,de,81
mon,mon,73
coeur,coeur,21
pendant,pendant,81
l',le,71
insomnie,insomnie,22
de,de,81
cette,ce,74
nuit,nuit,22
/.,/.,P
tout,tout,52
était,être,18
confus,confus,30
dans,dans,81
ma,mon,73
douleur,douleur,22
comme,comme,83
dans,dans,81
mes,mon,73
sensations,sensation,22
/.,/.,P
j',je,51
