11681
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-septième extrait>,<>,<>
premières,premier,72
relations,relation,22
avec,avec,81
Joséphine,Joséphine,20
",",",",p
et,et,82
qu',que,83
après,après,81
avoir,avoir,14
eu,avoir,12
le,le,71
courage,courage,21
de,de,81
la,le,52
prendre,prendre,14
comme,comme,83
un,un,71
marchepied,marchepied,21
",",",",p
il,il,51
avait,avoir,18
été,être,12
ridicule,ridicule,30
en,en,81
voulant,vouloir,13
faire,faire,14
d',de,81
elle,il,51
une,un,71
compagne,compagne,22
/.,/.,P
-,-,p
tout,tout,75
homme,homme,21
supérieur,supérieur,30
doit,devoir,17
avoir,avoir,14
",",",",p
sur,sur,81
les,le,71
femmes,femme,22
",",",",p
les,le,71
opinions,opinion,22
de,de,81
l',le,71
Orient,Orient,20
",",",",p
dit,dire,19
Blondet,Blondet,20
/.,/.,P
-,-,p
le,le,71
baron,baron,21
a,avoir,17
fondu,fondre,12
les,le,71
doctrines,doctrine,22
orientales,oriental,30
et,et,82
occidentales,occidental,30
en,en,81
une,un,71
charmante,charmant,30
doctrine,doctrine,22
parisienne,parisien,30
/.,/.,P
il,il,51
avait,avoir,18
en,en,81
horreur,horreur,22
de,de,81
Marsay,Marsay,20
qui,qui,52
n',ne,60
était,être,18
pas,pas,60
maniable,maniable,30
",",",",p
mais,mais,82
Rastignac,Rastignac,20
lui,lui,51
a,avoir,17
plu,plaire,12
beaucoup,beaucoup,60
et,et,82
il,il,51
l',le,52
a,avoir,17
exploité,exploiter,12
sans,sans,81
que,que,83
Rastignac,Rastignac,20
s',se,51
en,en,52
doutât,douter,18
:,:,p
il,il,51
lui,lui,51
a,avoir,17
laissé,laisser,12
toutes,tout,75
les,le,71
charges,charge,22
de,de,81
son,son,73
ménage,ménage,21
/.,/.,P
Rastignac,Rastignac,20
a,avoir,17
endossé,endosser,12
tous,tout,75
les,le,71
caprices,caprice,21
de,de,81
Delphine,Delphine,20
",",",",p
il,il,51
la,le,52
menait,mener,18
au,à,81
au,le,71
bois,bois,21
",",",",p
il,il,51
l',le,52
accompagnait,accompagner,18
au,à,81
au,le,71
spectacle,spectacle,21
/.,/.,P
ce,ce,74
grand,grand,30
petit,petit,30
homme,homme,21
politique,politique,30
d',de,81
aujourd'hui,aujourd'hui,60
a,avoir,17
long,long,30
temps,temps,21
passé,passé,31
sa,son,73
vie,vie,22
à,à,81
lire,lire,14
et,et,82
à,à,81
écrire,écrire,14
de,de,81
jolis,joli,30
billets,billet,21
/.,/.,P
dans,dans,81
les,le,71
commencements,commencement,21
",",",",p
Eugène,Eugène,20
était,être,18
grondé,gronder,12
pour,pour,81
des,de,81
des,le,71
riens,rien,21
",",",",p
il,il,51
s',se,51
égayait,égayer,18
avec,avec,81
Delphine,Delphine,20
quand,quand,83
elle,il,51
était,être,18
gaie,gai,30
",",",",p
s',se,51
attristait,attrister,18
quand,quand,83
elle,il,51
était,être,18
triste,triste,30
",",",",p
il,il,51
supportait,supporter,18
le,le,71
poids,poids,21
de,de,81
ses,son,73
migraines,migraine,22
",",",",p
de,de,81
ses,son,73
confidences,confidence,22
",",",",p
il,il,51
lui,lui,51
donnait,donner,18
tout,tout,75
son,son,73
temps,temps,21
",",",",p
ses,son,73
heures,heure,22
",",",",p
sa,son,73
précieuse,précieux,30
jeunesse,jeunesse,22
pour,pour,81
combler,combler,14
le,le,71
vide,vide,21
de,de,81
l',le,71
oisiveté,oisiveté,22
de,de,81
cette,ce,74
Parisienne,Parisien,20
/.,/.,P
Delphine,Delphine,20
et,et,82
lui,lui,51
tenaient,tenir,18
de,de,81
grands,grand,30
conseils,conseil,21
sur,sur,81
les,le,71
parures,parure,22
qui,qui,52
allaient,aller,18
le,le,71
mieux,mieux,60
",",",",p
il,il,51
essuyait,essuyer,18
le,le,71
feu,feu,21
des,de,81
des,le,71
colères,colère,22
et,et,82
la,le,71
bordée,bordée,22
des,de,81
des,le,71
boutades,boutade,22
;,;,p
tandis que,tandis que,83
",",",",p
par,par,81
compensation,compensation,22
",",",",p
elle,il,51
se,se,51
faisait,faire,18
charmante,charmant,30
pour,pour,81
le,le,71
baron,baron,21
/.,/.,P
le,le,71
baron,baron,21
riait,rire,18
à,à,81
part,part,22
lui,lui,51
:,:,p
puis,puis,60
",",",",p
quand,quand,83
il,il,51
voyait,voir,18
Rastignac,Rastignac,20
pliant,plier,13
sous,sous,81
le,le,71
poids,poids,21
de,de,81
ses,son,73
charges,charge,22
",",",",p
il,il,51
avait,avoir,18
l',le,71
air,air,21
de,de,81
soupçonner,soupçonner,14
quelque,quelque,75
chose,chose,22
",",",",p
et,et,82
reliait,relier,18
les,le,71
deux,deux,72
amants,amant,21
par,par,81
une,un,71
peur,peur,22
commune,commun,30
/.,/.,P
-,-,p
je,je,51
conçois,concevoir,17
qu',que,83
une,un,71
femme,femme,22
riche,riche,30
ait,avoir,17
fait,faire,12
vivre,vivre,14
et,et,82
vivre,vivre,14
honorablement,honorablement,60
Rastignac,Rastignac,20
;,;,p
mais,mais,82
où,où,60
a,avoir,17
t,t,94
il,il,51
pris,prendre,12
sa,son,73
fortune,fortune,22
",",",",p
demanda,demander,19
Couture,Couture,20
/.,/.,P
une,un,71
fortune,fortune,22
",",",",p
aussi,aussi,60
considérable,considérable,30
que,que,83
la,le,71
sienne,sien,52
aujourd'hui,aujourd'hui,60
",",",",p
se,se,51
prend,prendre,17
quelque,quelque,75
part,part,22
",",",",p
et,et,82
personne,personne,52
ne,ne,60
l',le,52
a,avoir,17
jamais,jamais,60
accusé,accuser,12
d',de,81
avoir,avoir,14
inventé,inventer,12
une,un,71
bonne,bon,30
affaire,affaire,22
/?,/?,P
il,il,51
a,avoir,17
hérité,hériter,12
",",",",p
dit,dire,19
Finot,Finot,20
/.,/.,P
-,-,p
de,de,81
qui,qui,52
?,?,p
dit,dire,19
Blondet,Blondet,20
/.,/.,P
-,-,p
des,de,81
des,le,71
sots,sot,21
qu',que,52
il,il,51
a,avoir,17
rencontrés,rencontrer,12
",",",",p
reprit,reprendre,19
Couture,Couture,20
/.,/.,P
-,-,p
il,il,51
n',ne,60
a,avoir,17
pas,pas,60
tout,tout,52
pris,prendre,12
",",",",p
mes,mon,73
petits,petit,30
amours,amour,21
",",",",p
dit,dire,19
Bixiou,Bixiou,20
:,:,p
/…,/…,P
remettez,remettre,17
vous,vous,51
d',de,81
une,un,71
alarme,alarme,22
aussi,aussi,60
chaude,chaud,30
;,;,p
nous,nous,51
vivons,vivre,17
dans,dans,81
un,un,71
temps,temps,21
très,très,60
ami,ami,30
de,de,81
la,le,71
fraude,fraude,22
/.,/.,P
je,je,51
vais,aller,17
vous,vous,51
raconter,raconter,14
l',le,71
origine,origine,22
de,de,81
sa,son,73
fortune,fortune,22
/.,/.,P
d'abord,d'abord,60
",",",",p
hommage,hommage,21
au,à,81
au,le,71
talent,talent,21
/!,/!,P
notre,notre,73
ami,ami,21
n',ne,60
est,être,17
pas,pas,60
un,un,71
gars,gars,21
",",",",p
comme,comme,83
dit,dire,17
Finot,Finot,20
",",",",p
mais,mais,82
un,un,71
gentleman,gentleman,21
qui,qui,52
sait,savoir,17
le,le,71
jeu,jeu,21
",",",",p
qui,qui,52
connaît,connaître,17
les,le,71
cartes,carte,22
et,et,82
que,que,52
la,le,71
galerie,galerie,22
respecte,respecter,17
/.,/.,P
Rastignac,Rastignac,20
a,avoir,17
tout,tout,75
l',le,71
esprit,esprit,21
qu',que,52
il,il,51
faut,falloir,17
avoir,avoir,14
dans,dans,81
un,un,71
moment,moment,21
donné,donné,31
",",",",p
comme,comme,83
un,un,71
militaire,militaire,21
qui,qui,52
ne,ne,60
place,placer,17
son,son,73
courage,courage,21
qu',que,83
à,à,81
quatre,quatre,72
vingt,vingt,72
dix,dix,72
jours,jour,21
",",",",p
trois,trois,72
signatures,signature,22
et,et,82
des,de,81
des,le,71
garanties,garantie,22
/.,/.,P
il,il,51
paraîtra,paraître,15
cassant,cassant,30
",",",",p
brise-raison,brise-raison,21
",",",",p
sans,sans,81
suite,suite,22
dans,dans,81
les,le,71
idées,idée,22
",",",",p
sans,sans,81
constance,constance,22
dans,dans,81
ses,son,73
projets,projet,21
",",",",p
sans,sans,81
opinion,opinion,22
fixe,fixe,30
",",",",p
mais,mais,82
s',si,83
il,il,51
se,se,51
présente,présenter,17
une,un,71
affaire,affaire,22
sérieuse,sérieux,30
",",",",p
une,un,71
combinaison,combinaison,22
à,à,81
suivre,suivre,14
",",",",p
il,il,51
ne,ne,60
s',se,51
éparpillera,éparpiller,15
pas,pas,60
",",",",p
comme,comme,83
Blondet,Blondet,20
que,que,52
voilà,voilà,81
!,!,p
et,et,82
qui,qui,52
discute,discuter,17
alors,alors,60
pour,pour,81
le,le,71
compte,compte,21
du,de,81
du,le,71
voisin,voisin,21
",",",",p
Rastignac,Rastignac,20
se,se,51
concentre,concentrer,17
",",",",p
se,se,51
ramasse,ramasser,17
",",",",p
étudie,étudier,17
le,le,71
point,point,21
où,où,60
il,il,51
faut,falloir,17
charger,charger,14
",",",",p
et,et,82
il,il,51
charge,charger,17
à,à,81
fond,fond,21
de,de,81
train,train,21
/.,/.,P
avec,avec,81
la,le,71
valeur,valeur,22
de,de,81
Murat,Murat,20
",",",",p
il,il,51
enfonce,enfoncer,17
les,le,71
carrés,carré,21
",",",",p
les,le,71
actionnaires,actionnaire,21
",",",",p
les,le,71
fondateurs,fondateur,21
et,et,82
toute,tout,75
la,le,71
boutique,boutique,22
;,;,p
quand,quand,83
la,le,71
charge,charge,22
a,avoir,17
fait,faire,12
son,son,73
trou,trou,21
",",",",p
il,il,51
rentre,rentrer,17
dans,dans,81
sa,son,73
vie,vie,22
molle,mou,30
et,et,82
insouciante,insouciant,30
",",",",p
il,il,51
redevient,redevenir,17
l',le,71
homme,homme,21
du,de,81
du,le,71
midi,midi,21
",",",",p
le,le,71
voluptueux,voluptueux,30
",",",",p
le,le,71
diseur,diseur,21
de,de,81
riens,rien,21
",",",",p
l',le,71
inoccupé,inoccupé,30
Rastignac,Rastignac,20
",",",",p
qui,qui,52
peut,pouvoir,17
se,se,51
lever,lever,14
à,à,81
midi,midi,21
parce qu',parce que,83
il,il,51
ne,ne,60
s',se,51
est,être,17
pas,pas,60
couché,coucher,12
au,à,81
au,le,71
moment,moment,21
de,de,81
la,le,71
crise,crise,22
/.,/.,P
-,-,p
voilà,voilà,81
qui,qui,52
va,aller,17
bien,bien,60
",",",",p
mais,mais,82
arrive,arriver,17
donc,donc,82
à,à,81
sa,son,73
fortune,fortune,22
",",",",p
dit,dire,19
Finot,Finot,20
/.,/.,P
-,-,p
Bixiou,Bixiou,20
ne,ne,60
nous,nous,51
fera,faire,15
qu',que,83
une,un,71
charge,charge,22
",",",",p
reprit,reprendre,19
Blondet,Blondet,20
/.,/.,P
la,le,71
fortune,fortune,22
de,de,81
Rastignac,Rastignac,20
",",",",p
c',ce,52
est,être,17
Delphine,Delphine,20
de,de,81
Nucingen,Nucingen,20
",",",",p
femme,femme,22
remarquable,remarquable,30
",",",",p
et,et,82
qui,qui,52
joint,joindre,17
l',le,71
audace,audace,22
à,à,81
la,le,71
prévision,prévision,22
/.,/.,P
-,-,p
t',tu,51
a,avoir,17
t,t,94
elle,il,51
prêté,prêter,12
de,de,81
l',le,71
argent,argent,21
?,?,p
demanda,demander,19
Bixiou,Bixiou,20
/.,/.,P
un,un,71
rire,rire,21
général,général,30
éclata,éclater,19
/.,/.,P
-,-,p
vous,vous,51
vous,vous,51
trompez,tromper,17
sur,sur,81
elle,il,51
",",",",p
dit,dire,19
Couture,Couture,20
à,à,81
Blondet,Blondet,20
",",",",p
son,son,73
esprit,esprit,21
consiste,consister,17
à,à,81
dire,dire,14
des,de,81
des,le,71
mots,mot,21
plus,plus,60
ou,ou,82
moins,moins,60
piquants,piquant,30
",",",",p
à,à,81
aimer,aimer,14
Rastignac,Rastignac,20
avec,avec,81
une,un,71
fidélité,fidélité,22
gênante,gênant,30
",",",",p
à,à,81
lui,lui,51
obéir,obéir,14
aveuglément,aveuglément,60
",",",",p
une,un,71
femme,femme,22
tout,tout,60
à,à,81
fait,fait,21
italienne,italien,30
/.,/.,P
-,-,p
argent,argent,21
à,à,81
part,part,22
",",",",p
dit,dire,19
aigrement,aigrement,60
Andoche,Andoche,20
Finot,Finot,20
/.,/.,P
-,-,p
allons,aller,17
",",",",p
allons,aller,17
",",",",p
reprit,reprendre,19
Bixiou,Bixiou,20
d',de,81
une,un,71
voix,voix,22
pateline,patelin,30
",",",",p
après,après,81
ce,ce,52
que,que,52
nous,nous,51
venons,venir,17
de,de,81
dire,dire,14
",",",",p
osez,oser,17
vous,vous,51
encore,encore,60
reprocher,reprocher,14
à,à,81
ce,ce,74
pauvre,pauvre,30
Rastignac,Rastignac,20
d',de,81
avoir,avoir,14
vécu,vivre,12
aux,à,81
aux,le,71
dépens,dépens,21
de,de,81
la,le,71
maison,maison,22
Nucingen,Nucingen,20
",",",",p
d',de,81
avoir,avoir,14
été,être,12
mis,mettre,12
dans,dans,81
ses,son,73
meubles,meuble,21
ni,ni,82
plus,plus,60
ni,ni,82
moins,moins,60
que,que,83
la,le,71
torpille,torpille,22
jadis,jadis,60
par,par,81
notre,notre,73
ami,ami,21
des,de,81
des,le,71
Lupeaulx,Lupeaulx,20
?,?,p
vous,vous,51
tomberiez,tomber,16
dans,dans,81
la,le,71
vulgarité,vulgarité,22
de,de,81
la,le,71
rue,rue,22
Saint-Denis,Saint-Denis,20
/.,/.,P
d'abord,d'abord,60
",",",",p
abstraitement,abstraitement,60
parlant,parlant,30
",",",",p
comme,comme,83
dit,dire,17
Royer-Collard,Royer Collard,20
",",",",p
la,le,71
question,question,22
peut,pouvoir,17
soutenir,soutenir,14
la,le,71
critique,critique,22
de,de,81
la,le,71
raison,raison,22
pure,pur,30
",",",",p
quant,quand,83
à,à,81
celle,celui,52
de,de,81
la,le,71
raison,raison,22
impure,impur,30
/…,/…,P
le,le,52
voilà,voilà,81
lancé,lancé,31
!,!,p
dit,dire,19
Finot,Finot,20
à,à,81
Blondet,Blondet,20
/.,/.,P
-,-,p
mais,mais,82
",",",",p
s',se,51
écria,écrier,19
Blondet,Blondet,20
",",",",p
il,il,51
a,avoir,17
raison,raison,22
/.,/.,P
la,le,71
question,question,22
est,être,17
très,très,60
ancienne,ancien,30
",",",",p
elle,il,51
fut,être,19
le,le,71
grand,grand,30
mot,mot,21
du,de,81
du,le,71
fameux,fameux,30
duel,duel,21
à,à,81
mort,mort,22
entre,entre,81
La Châteigneraie,La Châteigneraie,20
et,et,82
Jarnac,Jarnac,20
/.,/.,P
Jarnac,Jarnac,20
était,être,18
accusé,accuser,12
d',de,81
être,être,14
en,en,81
bons,bon,30
termes,terme,21
",",",",p
avec,avec,81
sa,son,73
belle-mère,belle-mère,22
",",",",p
qui,qui,52
fournissait,fournir,18
au,à,81
au,le,71
faste,faste,21
du,de,81
du,le,71
trop,trop,60
aimé,aimé,31
gendre,gendre,21
/.,/.,P
quand,quand,83
un,un,71
fait,fait,21
est,être,17
si,si,60
vrai,vrai,30
",",",",p
il,il,51
ne,ne,60
doit,devoir,17
pas,pas,60
être,être,14
dit,dire,12
/.,/.,P
par,par,81
dévouement,dévouement,21
pour,pour,81
le,le,71
roi,roi,21
Henri II,Henri II,20
",",",",p
qui,qui,52
s',se,51
était,être,18
permis,permettre,12
cette,ce,74
médisance,médisance,22
",",",",p
La Châteigneraie,La Châteigneraie,20
la,le,52
prit,prendre,19
sur,sur,81
son,son,73
compte,compte,21
;,;,p
de,de,81
là,là,60
ce,ce,74
duel,duel,21
qui,qui,52
a,avoir,17
enrichi,enrichir,12
la,le,71
langue,langue,22
française,français,30
de,de,81
l',le,71
expression,expression,22
:,:,p
coup,coup,21
de,de,81
Jarnac,Jarnac,20
/.,/.,P
-,-,p
ha,ah,93
!,!,p
l',le,71
expression,expression,22
vient,venir,17
de,de,81
si,si,60
loin,loin,60
",",",",p
elle,il,51
est,être,17
donc,donc,82
noble,noble,30
",",",",p
dit,dire,19
Finot,Finot,20
/.,/.,P
-,-,p
tu,tu,51
pouvais,pouvoir,18
ignorer,ignorer,14
cela,cela,52
en,en,81
ta,ton,73
qualité,qualité,22
d',de,81
ancien,ancien,30
propriétaire,propriétaire,21
de,de,81
journaux,journal,21
et,et,82
revues,revue,22
",",",",p
dit,dire,19
Blondet,Blondet,20
/.,/.,P
-,-,p
il,il,51
est,être,17
des,de,81
des,le,71
femmes,femme,22
",",",",p
reprit,reprendre,19
gravement,gravement,60
Bixiou,Bixiou,20
",",",",p
il,il,51
est,être,17
aussi,aussi,60
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
peuvent,pouvoir,17
scinder,scinder,14
leur,leur,73
existence,existence,22
",",",",p
et,et,82
n',ne,60
en,en,52
donner,donner,14
qu',que,83
une,un,71
partie,partie,22
(,(,p
remarquez,remarquer,17
que,que,83
je,je,51
vous,vous,51
phrase,phraser,17
mon,mon,73
opinion,opinion,22
d',de,81
après,après,81
la,le,71
formule,formule,22
humanitaire,humanitaire,30
),),p
/.,/.,P
pour,pour,81
ces,ce,74
personnes,personne,22
",",",",p
tout,tout,75
intérêt,intérêt,21
matériel,matériel,30
est,être,17
en,en,81
dehors,dehors,21
des,de,81
des,le,71
sentiments,sentiment,21
;,;,p
elles,ils,51
donnent,donner,17
leur,leur,73
vie,vie,22
",",",",p
leur,leur,73
temps,temps,21
",",",",p
leur,leur,73
honneur,honneur,21
à,à,81
une,un,71
femme,femme,22
",",",",p
et,et,82
trouvent,trouver,17
qu',que,83
il,il,51
n',ne,60
est,être,17
pas,pas,60
comme,comme,83
il,il,51
faut,falloir,17
de,de,81
gaspiller,gaspiller,14
entre,entre,81
soi,soi,51
du,de,81
du,le,71
papier,papier,21
de,de,81
soie,soie,22
où,où,60
l',l',94
on,on,51
grave,graver,17
:,:,p
la,le,71
loi,loi,22
punit,punir,17
de,de,81
mort,mort,22
le,le,71
contrefacteur,contrefacteur,21
/.,/.,P
par,par,81
réciprocité,réciprocité,22
",",",",p
ces,ce,74
gens,gens,21
n',ne,60
acceptent,accepter,17
rien,rien,52
d',de,81
une,un,71
femme,femme,22
/.,/.,P
oui,oui,60
",",",",p
tout,tout,52
devient,devenir,17
déshonorant,déshonorant,30
s',si,83
il,il,51
y,y,52
a,avoir,17
fusion,fusion,22
des,de,81
des,le,71
intérêts,intérêt,21
comme,comme,83
il,il,51
y,y,52
a,avoir,17
fusion,fusion,22
des,de,81
des,le,71
âmes,âme,22
/.,/.,P
cette,ce,74
doctrine,doctrine,22
se,se,51
professe,professer,17
",",",",p
elle,il,51
s',se,51
applique,appliquer,17
rarement,rarement,60
/…,/…,P
hé,hé,93
!,!,p
dit,dire,19
Blondet,Blondet,20
",",",",p
quelles,quel,75
vétilles,vétille,22
/!,/!,P
le,le,71
maréchal,maréchal,21
de,de,81
Richelieu,Richelieu,20
",",",",p
qui,qui,52
se,se,51
connaissait,connaître,18
en,en,81
galanterie,galanterie,22
",",",",p
fit,faire,19
une,un,71
pension,pension,22
de,de,81
mille,mille,72
louis,louis,21
à,à,81
madame,madame,22
de,de,81
la,le,71
Popelinière,Popelinière,20
",",",",p
après,après,81
l',le,71
aventure,aventure,22
de,de,81
la,le,71
plaque,plaque,22
de,de,81
cheminée,cheminée,22
/.,/.,P
Agnès,Agnès,20
Sorel,Sorel,20
apporta,apporter,19
tout,tout,60
naïvement,naïvement,60
au,à,81
au,le,71
roi,roi,21
Charles VII,Charles VII,20
sa,son,73
fortune,fortune,22
",",",",p
et,et,82
le,le,71
roi,roi,21
la,le,52
prit,prendre,19
/.,/.,P
Jacques,Jacques,20
Coeur,Coeur,20
a,avoir,17
entretenu,entretenir,12
la,le,71
couronne,couronne,22
de,de,81
France,France,20
",",",",p
qui,qui,52
s',se,51
est,être,17
laissé,laisser,12
faire,faire,14
",",",",p
et,et,82
fut,être,19
ingrate,ingrat,30
comme,comme,83
une,un,71
femme,femme,22
/.,/.,P
-,-,p
messieurs,monsieur,21
",",",",p
dit,dire,19
Bixiou,Bixiou,20
",",",",p
l',le,71
amour,amour,21
qui,qui,52
ne,ne,60
comporte,comporter,17
pas,pas,60
une,un,71
indissoluble,indissoluble,30
amitié,amitié,22
me,je,51
semble,sembler,17
un,un,71
libertinage,libertinage,21
momentané,momentané,30
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
qu',que,83
un,un,71
entier,entier,30
abandon,abandon,21
où,où,60
l',l',94
on,on,51
se,se,51
réserve,réserver,17
quelque,quelque,75
chose,chose,22
/?,/?,P
entre,entre,81
ces,ce,74
deux,deux,72
doctrines,doctrine,22
",",",",p
aussi,aussi,60
opposées,opposé,31
et,et,82
aussi,aussi,60
profondément,profondément,60
immorales,immoral,30
l',le,71
une,un,52
que,que,83
l',le,71
autre,autre,52
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
conciliation,conciliation,22
possible,possible,30
/.,/.,P
selon,selon,81
moi,moi,51
",",",",p
les,le,71
gens,gens,21
qui,qui,52
craignent,craindre,17
une,un,71
liaison,liaison,22
complète,complet,30
ont,avoir,17
sans,sans,81
doute,doute,21
la,le,71
croyance,croyance,22
qu',que,83
elle,il,51
peut,pouvoir,17
finir,finir,14
",",",",p
et,et,82
adieu,adieu,21
l',le,71
illusion,illusion,22
/!,/!,P
la,le,71
passion,passion,22
qui,qui,52
ne,ne,60
se,se,51
croit,croire,17
pas,pas,60
éternelle,éternel,30
est,être,17
hideuse,hideux,30
/.,/.,P
(,(,p
ceci,ceci,52
est,être,17
du,de,81
du,le,71
Fénelon,Fénelon,20
tout,tout,60
pur,pur,30
/.,/.,P
),),p
aussi,aussi,60
",",",",p
ceux,celui,52
à,à,81
qui,qui,52
le,le,71
monde,monde,21
est,être,17
connu,connaître,12
",",",",p
les,le,71
observateurs,observateur,21
",",",",p
les,le,71
gens,gens,21
comme,comme,83
il,il,51
faut,falloir,17
",",",",p
les,le,71
hommes,homme,21
bien,bien,60
gantés,ganté,31
et,et,82
bien,bien,60
cravatés,cravaté,31
",",",",p
qui,qui,52
ne,ne,60
rougissent,rougir,17
pas,pas,60
d',de,81
épouser,épouser,14
une,un,71
femme,femme,22
pour,pour,81
sa,son,73
fortune,fortune,22
",",",",p
proclament,proclamer,17
ils,ils,51
comme,comme,83
indispensable,indispensable,30
une,un,71
complète,complet,30
scission,scission,22
des,de,81
des,le,71
intérêts,intérêt,21
et,et,82
des,de,81
des,le,71
sentiments,sentiment,21
/.,/.,P
les,le,71
autres,autre,52
sont,être,17
des,de,81
des,le,71
fous,fou,21
qui,qui,52
aiment,aimer,17
",",",",p
qui,qui,52
se,se,51
croient,croire,17
seuls,seul,30
dans,dans,81
le,le,71
monde,monde,21
avec,avec,81
leur,leur,73
maîtresse,maîtresse,22
/!,/!,P
pour,pour,81
eux,ils,51
",",",",p
les,le,71
millions,million,21
sont,être,17
de,de,81
la,le,71
boue,boue,22
;,;,p
le,le,71
gant,gant,21
",",",",p
le,le,71
camélia,camélia,21
porté,porté,31
par,par,81
l',le,71
idole,idole,22
vaut,valoir,17
des,de,81
des,le,71
millions,million,21
/!,/!,P
si,si,83
vous,vous,51
ne,ne,60
retrouvez,retrouver,17
jamais,jamais,60
chez,chez,81
eux,ils,51
le,le,71
vil,vil,30
métal,métal,21
dissipé,dissipé,31
",",",",p
vous,vous,51
trouvez,trouver,17
des,de,81
des,le,71
débris,débris,21
de,de,81
fleurs,fleur,22
cachés,caché,31
dans,dans,81
de,de,81
jolies,joli,30
boîtes,boîte,22
de,de,81
cèdre,cèdre,21
/!,/!,P
ils,ils,51
ne,ne,60
se,se,51
distinguent,distinguer,17
plus,plus,60
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
/.,/.,P
pour,pour,81
eux,ils,51
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
de,de,81
moi,moi,51
/.,/.,P
toi,toi,51
",",",",p
voilà,voilà,81
leur,leur,73
Verbe,Verbe,20
incarné,incarné,31
/.,/.,P
que,que,52
voulez,vouloir,17
vous,vous,51
/?,/?,P
empêcherez,empêcher,15
vous,vous,51
cette,ce,74
maladie,maladie,22
secrète,secret,30
du,de,81
du,le,71
coeur,coeur,21
/?,/?,P
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
niais,niais,21
qui,qui,52
aiment,aimer,17
sans,sans,81
aucune,aucun,75
espèce,espèce,22
de,de,81
calcul,calcul,21
",",",",p
et,et,82
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
sages,sage,21
qui,qui,52
calculent,calculer,17
en,en,81
aimant,aimer,13
/.,/.,P
-,-,p
Bixiou,Bixiou,20
me,je,51
semble,sembler,17
sublime,sublime,30
",",",",p
s',se,51
écria,écrier,19
Blondet,Blondet,20
/.,/.,P
qu',que,52
en,en,52
dit,dire,17
Finot,Finot,20
/?,/?,P
partout,partout,60
ailleurs,ailleurs,60
",",",",p
répondit,répondre,19
Finot,Finot,20
en,en,81
se,se,51
posant,poser,13
dans,dans,81
sa,son,73
cravate,cravate,22
",",",",p
je,je,51
dirais,dire,16
comme,comme,83
les,le,71
gentlemen,gentleman,21
;,;,p
mais,mais,82
ici,ici,60
je,je,51
pense,penser,17
/…,/…,P
comme,comme,83
les,le,71
infâmes,infâme,30
mauvais,mauvais,30
sujets,sujet,21
avec,avec,81
lesquels,lequel,52
tu,tu,51
as,avoir,17
l',le,71
honneur,honneur,21
d',de,81
être,être,14
",",",",p
reprit,reprendre,19
Bixiou,Bixiou,20
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
",",",",p
oui,oui,60
",",",",p
dit,dire,19
Finot,Finot,20
/.,/.,P
-,-,p
et,et,82
toi,toi,51
?,?,p
dit,dire,19
Bixiou,Bixiou,20
à,à,81
Couture,Couture,20
/.,/.,P
-,-,p
niaiseries,niaiserie,22
",",",",p
s',se,51
écria,écrier,19
Couture,Couture,20
/.,/.,P
une,un,71
femme,femme,22
qui,qui,52
ne,ne,60
fait,faire,17
pas,pas,60
de,de,81
son,son,73
corps,corps,21
un,un,71
marchepied,marchepied,21
",",",",p
pour,pour,81
faire,faire,14
arriver,arriver,14
au,à,81
au,le,71
but,but,21
l',le,71
homme,homme,21
qu',que,52
elle,il,51
distingue,distinguer,17
",",",",p
est,être,17
une,un,71
femme,femme,22
qui,qui,52
n',ne,60
a,avoir,17
de,de,81
coeur,coeur,21
que,que,83
pour,pour,81
elle,il,51
/.,/.,P
-,-,p
et,et,82
toi,toi,51
",",",",p
Blondet,Blondet,20
/?,/?,P
moi,moi,51
",",",",p
je,je,51
pratique,pratiquer,17
/.,/.,P
-,-,p
hé,hé,93
!,!,p
bien,bien,60
",",",",p
reprit,reprendre,19
Bixiou,Bixiou,20
de,de,81
sa,son,73
voix,voix,22
la,le,71
plus,plus,60
mordante,mordant,30
",",",",p
Rastignac,Rastignac,20
n',ne,60
était,être,18
pas,pas,60
de,de,81
votre,votre,73
avis,avis,21
/.,/.,P
prendre,prendre,14
et,et,82
ne,ne,60
pas,pas,60
rendre,rendre,14
est,être,17
horrible,horrible,30
et,et,82
même,même,60
un,un,71
peu,peu,60
léger,léger,30
;,;,p
mais,mais,82
prendre,prendre,14
pour,pour,81
avoir,avoir,14
le,le,71
droit,droit,21
d',de,81
imiter,imiter,14
le,le,71
seigneur,seigneur,21
",",",",p
en,en,81
rendant,rendre,13
le,le,71
centuple,centuple,21
",",",",p
est,être,17
un,un,71
acte,acte,21
chevaleresque,chevaleresque,30
/.,/.,P
ainsi,ainsi,60
pensait,penser,18
Rastignac,Rastignac,20
/.,/.,P
Rastignac,Rastignac,20
était,être,18
