11606
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante et unième extrait>,<>,<>
",",",",p
traversa,traverser,19
l',le,71
antichambre,antichambre,22
et,et,82
redescendit,redescendre,19
l',le,71
escalier,escalier,21
lentement,lentement,60
",",",",p
comme,comme,83
hésitant,hésiter,13
à,à,81
chaque,chaque,75
marche,marche,22
/.,/.,P
il,il,51
est,être,17
probable,probable,30
qu',que,83
il,il,51
tenait,tenir,18
conseil,conseil,21
avec,avec,81
lui-même,lui-même,51
/.,/.,P
le,le,71
violent,violent,30
combat,combat,21
qui,qui,52
se,se,51
livrait,livrer,18
en,en,81
lui,lui,51
depuis,depuis,81
la,le,71
veille,veille,22
n',ne,60
était,être,18
pas,pas,60
fini,finir,12
;,;,p
et,et,82
",",",",p
à,à,81
chaque,chaque,75
instant,instant,21
",",",",p
il,il,51
en,en,52
traversait,traverser,18
quelque,quelque,75
nouvelle,nouveau,30
péripétie,péripétie,22
/.,/.,P
arrivé,arrivé,31
sur,sur,81
le,le,71
palier,palier,21
de,de,81
l',le,71
escalier,escalier,21
",",",",p
il,il,51
s',se,51
adossa,adosser,19
à,à,81
la,le,71
rampe,rampe,22
et,et,82
croisa,croiser,19
les,le,71
bras,bras,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
il,il,51
ouvrit,ouvrir,19
sa,son,73
redingote,redingote,22
",",",",p
prit,prendre,19
son,son,73
portefeuille,portefeuille,21
",",",",p
en,en,52
tira,tirer,19
un,un,71
crayon,crayon,21
",",",",p
déchira,déchirer,19
une,un,71
feuille,feuille,22
",",",",p
et,et,82
écrivit,écrire,19
rapidement,rapidement,60
sur,sur,81
cette,ce,74
feuille,feuille,22
à,à,81
la,le,71
lueur,lueur,22
du,de,81
du,le,71
réverbère,réverbère,21
cette,ce,74
ligne,ligne,22
:,:,p
-,-,p
monsieur,monsieur,21
Madeleine,Madeleine,20
",",",",p
maire,maire,21
de,de,81
Montreuil,Montreuil,20
sur-mer,sur-mer,22
/.,/.,P
puis,puis,60
il,il,51
remonta,remonter,19
l',le,71
escalier,escalier,21
à,à,81
grands,grand,30
pas,pas,21
",",",",p
fendit,fendre,19
la,le,71
foule,foule,22
",",",",p
marcha,marcher,19
droit,droit,60
à,à,81
l',le,71
huissier,huissier,21
",",",",p
lui,lui,51
remit,remettre,19
le,le,71
papier,papier,21
",",",",p
et,et,82
lui,lui,51
dit,dire,19
avec,avec,81
autorité,autorité,22
:,:,p
-,-,p
portez,porter,17
ceci,ceci,52
à,à,81
monsieur,monsieur,21
le,le,71
président,président,21
/.,/.,P
l',le,71
huissier,huissier,21
prit,prendre,19
le,le,71
papier,papier,21
",",",",p
y,y,52
jeta,jeter,19
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
et,et,82
obéit,obéir,19
/.,/.,P
<chapitre VIII>,<>,<>
entrée,entré,31
de,de,81
faveur,faveur,22
/.,/.,P
sans,sans,81
qu',que,83
il,il,51
s',se,51
en,en,52
doutât,douter,18
",",",",p
le,le,71
maire,maire,21
de,de,81
Montreuil,Montreuil,20
sur-mer,sur-mer,22
avait,avoir,18
une,un,71
sorte,sorte,22
de,de,81
célébrité,célébrité,22
/.,/.,P
depuis,depuis,81
sept,sept,72
ans,an,21
que,que,83
sa,son,73
réputation,réputation,22
de,de,81
vertu,vertu,22
remplissait,remplir,18
tout,tout,75
le,le,71
bas,bas,30
Boulonnais,Boulonnais,20
",",",",p
elle,il,51
avait,avoir,18
fini,finir,12
par,par,81
franchir,franchir,14
les,le,71
limites,limite,22
d',de,81
un,un,71
petit,petit,30
pays,pays,21
et,et,82
s',se,51
était,être,18
répandue,répandre,12
dans,dans,81
les,le,71
deux,deux,72
ou,ou,82
trois,trois,72
départements,département,21
voisins,voisin,30
/.,/.,P
outre,outre,81
le,le,71
service,service,21
considérable,considérable,30
qu',que,83
il,il,51
avait,avoir,18
rendu,rendre,12
au,à,81
au,le,71
chef-lieu,chef-lieu,21
en,en,81
y,y,52
restaurant,restaurer,13
l',le,71
industrie,industrie,22
des,de,81
des,le,71
verroteries,verroterie,22
noires,noir,30
",",",",p
il,il,51
n',ne,60
était,être,18
pas,pas,60
une,un,52
des,de,81
des,le,71
cent,cent,72
quarante,quarante,72
et,et,82
une,un,52
communes,commune,22
de,de,81
l',le,71
arrondissement,arrondissement,21
de,de,81
Montreuil,Montreuil,20
sur-mer,sur-mer,22
qui,qui,52
ne,ne,60
lui,lui,51
dût,devoir,18
quelque,quelque,75
bienfait,bienfait,21
/.,/.,P
il,il,51
avait,avoir,18
su,savoir,12
même,même,60
au,à,81
au,le,71
besoin,besoin,21
aider,aider,14
et,et,82
féconder,féconder,14
les,le,71
industries,industrie,22
des,de,81
des,le,71
autres,autre,75
arrondissements,arrondissement,21
/.,/.,P
c',ce,52
est,être,17
ainsi,ainsi,60
qu',que,83
il,il,51
avait,avoir,18
dans,dans,81
l',le,71
occasion,occasion,22
soutenu,soutenir,12
de,de,81
son,son,73
crédit,crédit,21
et,et,82
de,de,81
ses,son,73
fonds,fonds,21
la,le,71
fabrique,fabrique,22
de,de,81
tulle,tulle,21
de,de,81
Boulogne,Boulogne,20
",",",",p
la,le,71
filature,filature,22
de,de,81
lin,lin,21
à,à,81
la,le,71
mécanique,mécanique,22
de,de,81
Frévent,Frévent,20
et,et,82
la,le,71
manufacture,manufacture,22
hydraulique,hydraulique,30
de,de,81
toiles,toile,22
de,de,81
Boubers-sur-Canche,Boubers-sur-Canche,20
/.,/.,P
partout,partout,60
on,on,51
prononçait,prononcer,18
avec,avec,81
vénération,vénération,22
le,le,71
nom,nom,21
de,de,81
monsieur,monsieur,21
Madeleine,Madeleine,20
/.,/.,P
Arras,Arras,20
et,et,82
Douai,Douai,20
enviaient,envier,18
son,son,73
maire,maire,21
à,à,81
l',le,71
heureuse,heureux,30
petite,petit,30
ville,ville,22
de,de,81
Montreuil,Montreuil,20
sur-mer,sur-mer,22
/.,/.,P
le,le,71
conseiller,conseiller,21
à,à,81
la,le,71
cour,cour,22
royale,royal,30
de,de,81
Douai,Douai,20
",",",",p
qui,qui,52
présidait,présider,18
cette,ce,74
session,session,22
des,de,81
des,le,71
assises,assise,22
à,à,81
Arras,Arras,20
",",",",p
connaissait,connaître,18
comme,comme,83
tout,tout,75
le,le,71
monde,monde,21
ce,ce,74
nom,nom,21
si,si,60
profondément,profondément,60
et,et,82
si,si,60
universellement,universellement,60
honoré,honoré,31
/.,/.,P
quand,quand,83
l',le,71
huissier,huissier,21
",",",",p
ouvrant,ouvrir,13
discrètement,discrètement,60
la,le,71
porte,porte,22
qui,qui,52
communiquait,communiquer,18
de,de,81
la,le,71
chambre,chambre,22
du,de,81
du,le,71
conseil,conseil,21
à,à,81
l',le,71
audience,audience,22
",",",",p
se,se,51
pencha,pencher,19
derrière,derrière,81
le,le,71
fauteuil,fauteuil,21
du,de,81
du,le,71
président,président,21
et,et,82
lui,lui,51
remit,remettre,19
le,le,71
papier,papier,21
où,où,60
était,être,18
écrite,écrire,12
la,le,71
ligne,ligne,22
qu',que,52
on,on,51
vient,venir,17
de,de,81
lire,lire,14
",",",",p
en,en,81
ajoutant,ajouter,13
:,:,p
ce,ce,74
monsieur,monsieur,21
désire,désirer,17
assister,assister,14
à,à,81
l',le,71
audience,audience,22
",",",",p
le,le,71
président,président,21
fit,faire,19
un,un,71
vif,vif,30
mouvement,mouvement,21
de,de,81
déférence,déférence,22
",",",",p
saisit,saisir,19
une,un,71
plume,plume,22
",",",",p
écrivit,écrire,19
quelques,quelque,75
mots,mot,21
au,à,81
au,le,71
bas,bas,21
du,de,81
du,le,71
papier,papier,21
",",",",p
et,et,82
le,le,52
rendit,rendre,19
à,à,81
l',le,71
huissier,huissier,21
en,en,81
lui,lui,51
disant,dire,13
:,:,p
faites,fait,31
entrer,entrer,14
/.,/.,P
l',le,71
homme,homme,21
malheureux,malheureux,30
dont,dont,52
nous,nous,51
racontons,raconter,17
l',le,71
histoire,histoire,22
était,être,18
resté,rester,12
près,près,81
de,de,81
la,le,71
porte,porte,22
de,de,81
la,le,71
salle,salle,22
à,à,81
la,le,71
même,même,75
place,place,22
et,et,82
dans,dans,81
la,le,71
même,même,75
attitude,attitude,22
où,où,60
l',le,71
huissier,huissier,21
l',le,52
avait,avoir,18
quitté,quitter,12
/.,/.,P
il,il,51
entendit,entendre,19
",",",",p
à,à,81
travers,travers,21
sa,son,73
rêverie,rêverie,22
",",",",p
quelqu'un,quelqu'un,52
qui,qui,52
lui,lui,51
disait,dire,18
:,:,p
monsieur,monsieur,21
veut,vouloir,17
il,il,51
bien,bien,60
me,je,51
faire,faire,14
l',le,71
honneur,honneur,21
de,de,81
me,je,51
suivre,suivre,14
/?,/?,P
c',ce,52
était,être,18
ce,ce,74
même,même,75
huissier,huissier,21
qui,qui,52
lui,lui,51
avait,avoir,18
tourné,tourner,12
le,le,71
dos,dos,21
l',le,71
instant,instant,21
d',de,81
auparavant,auparavant,60
et,et,82
qui,qui,52
maintenant,maintenant,60
le,le,52
saluait,saluer,18
jusqu',jusque,81
à,à,81
terre,terre,22
/.,/.,P
l',le,71
huissier,huissier,21
en,en,81
même,même,75
temps,temps,21
lui,lui,51
remit,remettre,19
le,le,71
papier,papier,21
/.,/.,P
il,il,51
le,le,52
déplia,déplier,19
",",",",p
et,et,82
",",",",p
comme,comme,83
il,il,51
se,se,51
rencontrait,rencontrer,18
qu',que,83
il,il,51
était,être,18
près,près,81
de,de,81
la,le,71
lampe,lampe,22
",",",",p
il,il,51
put,pouvoir,19
lire,lire,14
:,:,p
“,“,p
le,le,71
président,président,21
de,de,81
la,le,71
cour,cour,22
d',de,81
assises,assise,22
présente,présenter,17
son,son,73
respect,respect,21
à,à,81
monsieur,monsieur,21
Madeleine,Madeleine,20
/.,/.,P
“,“,p
il,il,51
froissa,froisser,19
le,le,71
papier,papier,21
entre,entre,81
ses,son,73
mains,main,22
",",",",p
comme,comme,83
si,si,83
ces,ce,74
quelques,quelque,75
mots,mot,21
eussent,avoir,18
eu,avoir,12
pour,pour,81
lui,lui,51
un,un,71
arrière-goût,arrière-goût,21
étrange,étrange,30
et,et,82
amer,amer,30
/.,/.,P
il,il,51
suivit,suivre,19
l',le,71
huissier,huissier,21
/.,/.,P
quelques,quelque,75
minutes,minute,22
après,après,81
",",",",p
il,il,51
se,se,51
trouvait,trouver,18
seul,seul,30
dans,dans,81
une,un,71
espèce,espèce,22
de,de,81
cabinet,cabinet,21
lambrissé,lambrissé,31
",",",",p
d',de,81
un,un,71
aspect,aspect,21
sévère,sévère,30
",",",",p
éclairé,éclairé,31
par,par,81
deux,deux,72
bougies,bougie,22
posées,posé,31
sur,sur,81
une,un,71
table,table,22
à,à,81
tapis,tapis,21
vert,vert,30
/.,/.,P
il,il,51
avait,avoir,18
encore,encore,60
dans,dans,81
l',le,71
oreille,oreille,22
les,le,71
dernières,dernier,30
paroles,parole,22
de,de,81
l',le,71
huissier,huissier,21
qui,qui,52
venait,venir,18
de,de,81
le,le,52
quitter,quitter,14
-,-,p
“,“,p
monsieur,monsieur,21
",",",",p
vous,vous,51
voici,voici,81
dans,dans,81
la,le,71
chambre,chambre,22
du,de,81
du,le,71
conseil,conseil,21
;,;,p
vous,vous,51
n',ne,60
avez,avoir,17
qu',que,83
à,à,81
tourner,tourner,14
le,le,71
bouton,bouton,21
de,de,81
cuivre,cuivre,21
de,de,81
cette,ce,74
porte,porte,22
",",",",p
et,et,82
vous,vous,51
vous,vous,51
trouverez,trouver,15
dans,dans,81
l',le,71
audience,audience,22
derrière,derrière,81
le,le,71
fauteuil,fauteuil,21
de,de,81
monsieur,monsieur,21
le,le,71
président,président,21
/.,/.,P
“,“,p
-,-,p
ces,ce,74
paroles,parole,22
se,se,51
mêlaient,mêler,18
dans,dans,81
sa,son,73
pensée,pensée,22
à,à,81
un,un,71
souvenir,souvenir,21
vague,vague,30
de,de,81
corridors,corridor,21
étroits,étroit,30
et,et,82
d',de,81
escaliers,escalier,21
noirs,noir,30
qu',que,52
il,il,51
venait,venir,18
de,de,81
parcourir,parcourir,14
/.,/.,P
l',le,71
huissier,huissier,21
l',le,52
avait,avoir,18
laissé,laisser,12
seul,seul,30
/.,/.,P
le,le,71
moment,moment,21
suprême,suprême,30
était,être,18
arrivé,arriver,12
/.,/.,P
il,il,51
cherchait,chercher,18
à,à,81
se,se,51
recueillir,recueillir,14
sans,sans,81
pouvoir,pouvoir,14
y,y,52
parvenir,parvenir,14
/.,/.,P
c',ce,52
est,être,17
surtout,surtout,60
aux,à,81
aux,le,71
heures,heure,22
où,où,60
l',l',94
on,on,51
aurait,avoir,16
le,le,71
plus,plus,60
besoin,besoin,21
de,de,81
les,le,52
rattacher,rattacher,14
aux,à,81
aux,le,71
réalités,réalité,22
poignantes,poignant,30
de,de,81
la,le,71
vie,vie,22
que,que,83
tous,tout,75
les,le,71
fils,fils,21
de,de,81
la,le,71
pensée,pensée,22
se,se,51
rompent,rompre,17
dans,dans,81
le,le,71
cerveau,cerveau,21
/.,/.,P
il,il,51
était,être,18
dans,dans,81
l',le,71
endroit,endroit,21
même,même,30
où,où,60
les,le,71
juges,juge,21
délibèrent,délibérer,17
et,et,82
condamnent,condamner,17
/.,/.,P
il,il,51
regardait,regarder,18
avec,avec,81
une,un,71
tranquillité,tranquillité,22
stupide,stupide,30
cette,ce,74
chambre,chambre,22
paisible,paisible,30
et,et,82
redoutable,redoutable,30
où,où,60
tant,tant,60
d',de,81
existences,existence,22
avaient,avoir,18
été,être,12
brisées,briser,12
",",",",p
où,où,60
son,son,73
nom,nom,21
allait,aller,18
retentir,retentir,14
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
et,et,82
que,que,83
sa,son,73
destinée,destinée,22
traversait,traverser,18
en,en,81
ce,ce,74
moment,moment,21
/.,/.,P
il,il,51
regardait,regarder,18
la,le,71
muraille,muraille,22
",",",",p
puis,puis,60
il,il,51
se,se,51
regardait,regarder,18
lui-même,lui-même,51
",",",",p
s',se,51
étonnant,étonner,13
que,que,83
ce,ce,52
fût,être,19
cette,ce,74
chambre,chambre,22
et,et,82
que,que,83
ce,ce,52
fût,être,19
lui,lui,51
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
mangé,manger,12
depuis,depuis,81
plus,plus,60
de,de,81
vingt,vingt,72
quatre,quatre,72
heures,heure,22
",",",",p
il,il,51
était,être,18
brisé,briser,12
par,par,81
les,le,71
cahots,cahot,21
de,de,81
la,le,71
carriole,carriole,22
",",",",p
mais,mais,82
il,il,51
ne,ne,60
le,le,52
sentait,sentir,18
pas,pas,60
;,;,p
il,il,51
lui,lui,51
semblait,sembler,18
qu',que,83
il,il,51
ne,ne,60
sentait,sentir,18
rien,rien,52
/.,/.,P
il,il,51
s',se,51
approcha,approcher,19
d',de,81
un,un,71
cadre,cadre,21
noir,noir,30
qui,qui,52
était,être,18
accroché,accrocher,12
au,à,81
au,le,71
mur,mur,21
et,et,82
qui,qui,52
contenait,contenir,18
sous,sous,81
verre,verre,21
une,un,71
vieille,vieux,30
lettre,lettre,22
autographe,autographe,21
de,de,81
Jean,Jean,20
Nicolas,Nicolas,20
Pache,Pache,20
",",",",p
maire,maire,21
de,de,81
Paris,Paris,20
et,et,82
ministre,ministre,21
",",",",p
datée,daté,31
",",",",p
sans,sans,81
doute,doute,21
par,par,81
erreur,erreur,22
",",",",p
du,de,81
du,le,71
<Nombre 9 juin>,<>,<>
neuf,neuf,72
juin,juin,21
<Fin nombre>,<>,<>
an,an,21
II,II,20
",",",",p
et,et,82
dans,dans,81
laquelle,lequel,52
Pache,Pache,20
envoyait,envoyer,18
à,à,81
la,le,71
commune,commune,22
la,le,52
liste,lister,17
des,de,81
des,le,71
ministres,ministre,21
et,et,82
des,de,81
des,le,71
députés,député,21
tenus,tenu,31
en,en,81
arrestation,arrestation,22
chez,chez,81
eux,ils,51
/.,/.,P
un,un,71
témoin,témoin,21
qui,qui,52
l',le,52
eût,avoir,19
pu,pouvoir,12
voir,voir,14
et,et,82
qui,qui,52
l',le,52
eût,avoir,19
observé,observer,12
en,en,81
cet,ce,74
instant,instant,21
eût,avoir,19
sans,sans,81
doute,doute,21
imaginé,imaginer,12
Fantine,Fantine,20
et,et,82
Cosette,Cosette,20
/.,/.,P
tout,tout,60
en,en,81
rêvant,rêver,13
",",",",p
il,il,51
se,se,51
retourna,retourner,19
",",",",p
et,et,82
ses,son,73
yeux,oeil,21
rencontrèrent,rencontrer,19
le,le,71
bouton,bouton,21
de,de,81
cuivre,cuivre,21
de,de,81
la,le,71
porte,porte,22
qui,qui,52
le,le,52
séparait,séparer,18
de,de,81
la,le,71
salle,salle,22
des,de,81
des,le,71
assises,assise,22
/.,/.,P
il,il,51
avait,avoir,18
presque,presque,60
oublié,oublier,12
cette,ce,74
porte,porte,22
/.,/.,P
son,son,73
regard,regard,21
",",",",p
d'abord,d'abord,60
calme,calme,30
",",",",p
s',se,51
y,y,52
arrêta,arrêter,19
",",",",p
resta,rester,19
attaché,attaché,31
à,à,81
ce,ce,74
bouton,bouton,21
de,de,81
cuivre,cuivre,21
",",",",p
puis,puis,60
devint,devenir,19
effaré,effaré,31
et,et,82
fixe,fixe,30
",",",",p
et,et,82
s',se,51
empreignit,empreindre,19
peu,peu,60
à,à,81
peu,peu,60
d',de,81
épouvante,épouvante,22
/.,/.,P
des,de,81
des,le,71
gouttes,goutte,22
de,de,81
sueur,sueur,22
lui,lui,51
sortaient,sortir,18
d',de,81
entre,entre,81
les,le,71
cheveux,cheveu,21
et,et,82
ruisselaient,ruisseler,18
sur,sur,81
ses,son,73
tempes,tempe,22
/.,/.,P
à,à,81
un,un,71
certain,certain,75
moment,moment,21
",",",",p
il,il,51
fit,faire,19
avec,avec,81
une,un,71
sorte,sorte,22
d',de,81
autorité,autorité,22
mêlée,mêlé,31
de,de,81
rébellion,rébellion,22
ce,ce,74
geste,geste,21
indescriptible,indescriptible,30
qui,qui,52
veut,vouloir,17
dire,dire,14
et,et,82
qui,qui,52
dit,dire,17
si,si,60
bien,bien,60
:,:,p
pardieu,pardieu,93
!,!,p
qui,qui,52
est,être,17
ce,ce,52
qui,qui,52
m',je,51
y,y,52
force,forcer,17
/?,/?,P
puis,puis,60
il,il,51
se,se,51
tourna,tourner,19
vivement,vivement,60
",",",",p
vit,voir,19
devant,devant,81
lui,lui,51
la,le,71
porte,porte,22
par,par,81
laquelle,lequel,52
il,il,51
était,être,18
entré,entrer,12
",",",",p
y,y,52
alla,aller,19
",",",",p
l',le,52
ouvrit,ouvrir,19
",",",",p
et,et,82
sortit,sortir,19
/.,/.,P
il,il,51
n',ne,60
était,être,18
plus,plus,60
dans,dans,81
cette,ce,74
chambre,chambre,22
",",",",p
il,il,51
était,être,18
dehors,dehors,60
",",",",p
dans,dans,81
un,un,71
corridor,corridor,21
",",",",p
un,un,71
corridor,corridor,21
long,long,30
",",",",p
étroit,étroit,30
",",",",p
coupé,coupé,31
de,de,81
degrés,degré,21
et,et,82
de,de,81
guichets,guichet,21
",",",",p
faisant,faire,13
toutes,tout,52
sortes,sorte,22
d',de,81
angles,angle,21
",",",",p
éclairé,éclairé,31
çà,çà,60
et,et,82
là,là,60
de,de,81
réverbères,réverbère,21
pareils,pareil,30
à,à,81
des,de,81
des,le,71
veilleuses,veilleuse,22
de,de,81
malades,malade,21
",",",",p
le,le,71
corridor,corridor,21
par,par,81
où,où,60
il,il,51
était,être,18
venu,venir,12
/.,/.,P
il,il,51
respira,respirer,19
",",",",p
il,il,51
écouta,écouter,19
;,;,p
aucun,aucun,75
bruit,bruit,21
derrière,derrière,81
lui,lui,51
",",",",p
aucun,aucun,75
bruit,bruit,21
devant,devant,81
lui,lui,51
;,;,p
il,il,51
se,se,51
mit,mettre,19
à,à,81
fuir,fuir,14
comme,comme,83
si,si,83
on,on,51
le,le,52
poursuivait,poursuivre,18
/.,/.,P
quand,quand,83
il,il,51
eut,avoir,19
doublé,doubler,12
plusieurs,plusieurs,75
des,de,81
des,le,71
coudes,coude,21
de,de,81
ce,ce,74
couloir,couloir,21
",",",",p
il,il,51
écouta,écouter,19
encore,encore,60
/.,/.,P
c',ce,52
était,être,18
toujours,toujours,60
le,le,71
même,même,75
silence,silence,21
et,et,82
la,le,71
même,même,75
ombre,ombre,22
autour,autour,60
de,de,81
lui,lui,51
/.,/.,P
il,il,51
était,être,18
essoufflé,essouffler,12
",",",",p
il,il,51
chancelait,chanceler,18
",",",",p
il,il,51
s',se,51
appuya,appuyer,19
au,à,81
au,le,71
mur,mur,21
/.,/.,P
la,le,71
pierre,pierre,22
était,être,18
froide,froid,30
",",",",p
sa,son,73
sueur,sueur,22
était,être,18
glacée,glacer,12
sur,sur,81
son,son,73
front,front,21
",",",",p
il,il,51
se,se,51
redressa,redresser,19
en,en,81
frissonnant,frissonner,13
/.,/.,P
alors,alors,60
",",",",p
là,là,60
",",",",p
seul,seul,30
",",",",p
debout,debout,60
dans,dans,81
cette,ce,74
obscurité,obscurité,22
",",",",p
tremblant,trembler,13
de,de,81
froid,froid,21
et,et,82
d',de,81
autre,autre,75
chose,chose,22
peut-être,peut-être,60
",",",",p
il,il,51
songea,songer,19
/.,/.,P
il,il,51
avait,avoir,18
songé,songer,12
toute,tout,75
la,le,71
nuit,nuit,22
",",",",p
il,il,51
avait,avoir,18
songé,songer,12
toute,tout,75
la,le,71
journée,journée,22
;,;,p
il,il,51
n',ne,60
entendait,entendre,18
plus,plus,60
en,en,81
lui,lui,51
qu',que,83
une,un,71
voix,voix,22
qui,qui,52
disait,dire,18
:,:,p
hélas,hélas,60
/!,/!,P
un,un,71
quart,quart,21
d',de,81
heure,heure,22
s',se,51
écoula,écouler,19
ainsi,ainsi,60
/.,/.,P
enfin,enfin,60
",",",",p
il,il,51
pencha,pencher,19
la,le,71
tête,tête,22
",",",",p
soupira,soupirer,19
avec,avec,81
angoisse,angoisse,22
",",",",p
laissa,laisser,19
pendre,pendre,14
ses,son,73
bras,bras,21
",",",",p
et,et,82
revint,revenir,19
sur,sur,81
ses,son,73
pas,pas,21
/.,/.,P
il,il,51
marchait,marcher,18
lentement,lentement,60
et,et,82
comme,comme,83
accablé,accablé,31
/.,/.,P
il,il,51
semblait,sembler,18
que,que,83
quelqu'un,quelqu'un,52
l',le,52
eût,avoir,19
atteint,atteindre,12
dans,dans,81
sa,son,73
fuite,fuite,22
et,et,82
le,le,52
ramenât,ramener,18
/.,/.,P
il,il,51
rentra,rentrer,19
dans,dans,81
la,le,71
chambre,chambre,22
du,de,81
du,le,71
conseil,conseil,21
/.,/.,P
la,le,71
première,premier,72
chose,chose,22
qu',que,52
il,il,51
aperçut,apercevoir,19
",",",",p
ce,ce,52
fut,être,19
la,le,71
gâchette,gâchette,22
de,de,81
la,le,71
porte,porte,22
/.,/.,P
cette,ce,74
gâchette,gâchette,22
",",",",p
ronde,ronde,22
et,et,82
en,en,81
cuivre,cuivre,21
poli,poli,31
",",",",p
resplendissait,resplendir,18
pour,pour,81
lui,lui,51
comme,comme,83
une,un,71
effroyable,effroyable,30
étoile,étoile,22
/.,/.,P
il,il,51
la,le,52
regardait,regarder,18
comme,comme,83
une,un,71
brebis,brebis,22
regarderait,regarder,16
l',le,71
oeil,oeil,21
d',de,81
un,un,71
tigre,tigre,21
/.,/.,P
ses,son,73
yeux,oeil,21
ne,ne,60
pouvaient,pouvoir,18
s',se,51
en,en,52
détacher,détacher,14
/.,/.,P
de,de,81
temps,temps,21
en,en,81
temps,temps,21
il,il,51
faisait,faire,18
un,un,71
pas,pas,21
et,et,82
se,se,51
rapprochait,rapprocher,18
de,de,81
la,le,71
porte,porte,22
/.,/.,P
s',si,83
il,il,51
eût,avoir,19
écouté,écouter,12
",",",",p
il,il,51
eût,avoir,19
entendu,entendre,12
",",",",p
comme,comme,83
une,un,71
sorte,sorte,22
de,de,81
murmure,murmure,21
confus,confus,30
",",",",p
le,le,71
bruit,bruit,21
de,de,81
la,le,71
salle,salle,22
voisine,voisin,30
;,;,p
mais,mais,82
il,il,51
n',ne,60
écoutait,écouter,18
pas,pas,60
",",",",p
et,et,82
il,il,51
n',ne,60
entendait,entendre,18
pas,pas,60
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
sans,sans,81
qu',que,83
il,il,51
sût,savoir,18
lui-même,lui-même,51
comment,comment,60
",",",",p
il,il,51
se,se,51
trouva,trouver,19
près,près,81
de,de,81
la,le,71
porte,porte,22
/.,/.,P
il,il,51
saisit,saisir,17
convulsivement,convulsivement,60
le,le,71
bouton,bouton,21
;,;,p
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
/.,/.,P
il,il,51
était,être,18
dans,dans,81
la,le,71
salle,salle,22
d',de,81
audience,audience,22
/.,/.,P
<chapitre IX>,<>,<>
un,un,71
lieu,lieu,21
où,où,60
des,de,81
des,le,71
convictions,conviction,22
sont,être,17
en,en,81
train,train,21
de,de,81
se,se,51
former,former,14
/.,/.,P
il,il,51
fit,faire,19
un,un,71
pas,pas,21
",",",",p
referma,refermer,19
machinalement,machinalement,60
la,le,71
porte,porte,22
derrière,derrière,81
lui,lui,51
",",",",p
et,et,82
resta,rester,19
debout,debout,60
",",",",p
considérant,considérer,13
ce,ce,52
qu',que,52
il,il,51
voyait,voir,18
/.,/.,P
c',ce,52
était,être,18
une,un,71
assez,assez,60
vaste,vaste,30
enceinte,enceinte,22
à,à,81
peine,peine,22
éclairée,éclairé,31
",",",",p
tantôt,tantôt,60
pleine,plein,30
de,de,81
rumeur,rumeur,22
",",",",p
tantôt,tantôt,60
pleine,plein,30
de,de,81
silence,silence,21
",",",",p
où,où,60
tout,tout,75
l',le,71
appareil,appareil,21
d',de,81
un,un,71
procès,procès,21
criminel,criminel,30
se,se,51
développait,développer,18
avec,avec,81
sa,son,73
gravité,gravité,22
mesquine,mesquin,30
et,et,82
lugubre,lugubre,30
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
foule,foule,22
/.,/.,P
à,à,81
un,un,71
bout,bout,21
de,de,81
la,le,71
salle,salle,22
",",",",p
celui,celui,52
où,où,60
il,il,51
se,se,51
trouvait,trouver,18
",",",",p
des,de,81
des,le,71
juges,juge,21
à,à,81
l',le,71
air,air,21
distrait,distrait,31
",",",",p
en,en,81
robe,robe,22
usée,usé,31
",",",",p
se,se,51
rongeant,ronger,13
les,le,71
ongles,ongle,21
ou,ou,82
fermant,fermer,13
les,le,71
paupières,paupière,22
;,;,p
à,à,81
l',le,71
autre,autre,75
bout,bout,21
",",",",p
une,un,71
foule,foule,22
en,en,81
haillons,haillon,21
;,;,p
des,de,81
des,le,71
avocats,avocat,21
dans,dans,81
toutes,tout,75
sortes,sorte,22
d',de,81
attitudes,attitude,22
;,;,p
des,de,81
des,le,71
soldats,soldat,21
au,à,81
au,le,71
visage,visage,21
honnête,honnête,30
et,et,82
dur,dur,30
;,;,p
de,de,81
vieilles,vieux,30
boiseries,boiserie,22
tachées,taché,31
",",",",p
un,un,71
plafond,plafond,21
sale,sale,30
",",",",p
des,de,81
des,le,71
tables,table,22
couvertes,couvert,31
d',de,81
une,un,71
serge,serge,22
plutôt,plutôt,60
jaune,jaune,30
que,que,83
verte,vert,30
",",",",p
des,de,81
des,le,71
portes,porte,22
noircies,noirci,31
par,par,81
les,le,71
mains,main,22
;,;,p
à,à,81
des,de,81
des,le,71
clous,clou,21
plantés,planté,31
dans,dans,81
le,le,71
lambris,lambris,21
",",",",p
des,de,81
des,le,71
quinquets,quinquet,21
d',de,81
estaminet,estaminet,21
donnant,donnant,30
plus,plus,60
de,de,81
fumée,fumée,22
que,que,83
de,de,81
clarté,clarté,22
;,;,p
sur,sur,81
les,le,71
tables,table,22
",",",",p
