<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquantième extrait>,<>,<>
oreille,oreille,22
du,de,81
du,le,71
neveu,neveu,21
",",",",p
tu,tu,51
es,être,17
volé,voler,12
/.,/.,P
Grindot,Grindot,20
sortit,sortir,19
",",",",p
Molineux,Molineux,20
le,le,52
suivit,suivre,19
et,et,82
l',le,52
aborda,aborder,19
d',de,81
un,un,71
air,air,21
mystérieux,mystérieux,30
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
vous,vous,51
m',je,51
avez,avoir,17
écouté,écouter,12
",",",",p
mais,mais,82
vous,vous,51
ne,ne,60
m',je,51
avez,avoir,17
pas,pas,60
entendu,entendre,12
",",",",p
je,je,51
vous,vous,51
souhaite,souhaiter,17
un,un,71
parapluie,parapluie,21
/.,/.,P
la,le,71
peur,peur,22
saisit,saisir,19
Grindot,Grindot,20
/.,/.,P
plus,plus,60
un,un,71
bénéfice,bénéfice,21
est,être,17
illégal,illégal,30
",",",",p
plus,plus,60
l',le,71
homme,homme,21
y,y,52
tient,tenir,17
;,;,p
le,le,71
coeur,coeur,21
humain,humain,30
est,être,17
ainsi,ainsi,60
fait,faire,12
/.,/.,P
l',le,71
artiste,artiste,21
avait,avoir,18
en,en,81
effet,effet,21
étudié,étudier,12
l',le,71
appartement,appartement,21
avec,avec,81
amour,amour,21
",",",",p
il,il,51
y,y,52
avait,avoir,18
mis,mettre,12
toute,tout,75
sa,son,73
science,science,22
et,et,82
son,son,73
temps,temps,21
",",",",p
il,il,51
s',se,51
y,y,52
était,être,18
donné,donner,12
du,de,81
du,le,71
mal,mal,21
pour,pour,81
dix,dix,72
mille,mille,72
francs,franc,21
et,et,82
se,se,51
trouvait,trouver,18
la,le,71
dupe,dupe,22
de,de,81
son,son,73
amour-propre,amour-propre,21
",",",",p
les,le,71
entrepreneurs,entrepreneur,21
eurent,avoir,19
peu,peu,60
de,de,81
peine,peine,22
à,à,81
le,le,52
séduire,séduire,14
/.,/.,P
l',le,71
argument,argument,21
irrésistible,irrésistible,30
et,et,82
la,le,52
menace,menacer,17
bien,bien,60
comprise,compris,31
de,de,81
le,le,52
desservir,desservir,14
en,en,81
le,le,52
calomniant,calomnier,13
furent,être,19
moins,moins,60
puissants,puissant,30
encore,encore,60
que,que,83
l',le,71
observation,observation,22
faite,fait,31
par,par,81
Lourdois,Lourdois,20
sur,sur,81
l',le,71
affaire,affaire,22
des,de,81
des,le,71
terrains,terrain,21
de,de,81
la,le,71
Madeleine,Madeleine,20
:,:,p
Birotteau,Birotteau,20
ne,ne,60
comptait,compter,18
pas,pas,60
y,y,52
bâtir,bâtir,14
une,un,71
seule,seul,30
maison,maison,22
",",",",p
il,il,51
spéculait,spéculer,18
seulement,seulement,60
sur,sur,81
le,le,71
prix,prix,21
des,de,81
des,le,71
terrains,terrain,21
/.,/.,P
les,le,71
architectes,architecte,21
et,et,82
les,le,71
entrepreneurs,entrepreneur,21
sont,être,17
entre,entre,81
eux,ils,51
comme,comme,83
un,un,71
auteur,auteur,21
avec,avec,81
les,le,71
acteurs,acteur,21
",",",",p
ils,ils,51
dépendent,dépendre,17
les,le,71
uns,un,52
des,de,81
des,le,71
autres,autre,52
/.,/.,P
Grindot,Grindot,20
",",",",p
chargé,chargé,31
par,par,81
Birotteau,Birotteau,20
de,de,81
stipuler,stipuler,14
les,le,71
prix,prix,21
",",",",p
fut,être,19
pour,pour,81
les,le,71
gens,gens,21
du,de,81
du,le,71
métier,métier,21
contre,contre,81
les,le,71
bourgeois,bourgeois,21
/.,/.,P
aussi,aussi,60
trois,trois,72
gros,gros,30
entrepreneurs,entrepreneur,21
",",",",p
Lourdois,Lourdois,20
",",",",p
Chaffaroux,Chaffaroux,20
et,et,82
Thorein,Thorein,20
le,le,71
charpentier,charpentier,21
",",",",p
le,le,52
proclamèrent,proclamer,19
ils,ils,51
un,un,52
de,de,81
ces,ce,74
bons,bon,30
enfants,enfant,21
avec,avec,81
lesquels,lequel,52
il,il,51
y,y,52
a,avoir,17
du,de,81
du,le,71
plaisir,plaisir,21
à,à,81
travailler,travailler,14
/.,/.,P
Grindot,Grindot,20
devina,deviner,19
que,que,83
les,le,71
mémoires,mémoire,21
sur,sur,81
lesquels,lequel,52
il,il,51
avait,avoir,18
une,un,71
part,part,22
seraient,être,16
payés,payer,12
",",",",p
comme,comme,83
ses,son,73
honoraires,honoraire,21
",",",",p
en,en,81
effets,effet,21
",",",",p
et,et,82
le,le,71
petit,petit,30
vieillard,vieillard,21
venait,venir,18
de,de,81
lui,lui,51
donner,donner,14
des,de,81
des,le,71
doutes,doute,21
sur,sur,81
leur,leur,73
paiement,paiement,21
/.,/.,P
Grindot,Grindot,20
allait,aller,18
être,être,14
impitoyable,impitoyable,30
",",",",p
à,à,81
la,le,71
manière,manière,22
des,de,81
des,le,71
artistes,artiste,21
",",",",p
les,le,71
gens,gens,21
les,le,71
plus,plus,60
cruels,cruel,30
à l'encontre,à l'encontre,60
des,de,81
des,le,71
bourgeois,bourgeois,21
/.,/.,P
vers,vers,81
la,le,71
fin,fin,22
de,de,81
décembre,décembre,21
",",",",p
César,César,20
eut,avoir,19
pour,pour,81
soixante,soixante,72
mille,mille,72
francs,franc,21
de,de,81
mémoires,mémoire,21
/.,/.,P
Félix,Félix,20
",",",",p
le,le,71
café,café,21
de,de,81
Foy,Foy,20
",",",",p
Tanrade,Tanrade,20
et,et,82
les,le,71
petits,petit,30
créanciers,créancier,21
qu',que,52
on,on,51
doit,devoir,17
payer,payer,14
comptant,comptant,21
",",",",p
avaient,avoir,18
envoyé,envoyer,12
trois,trois,72
fois,fois,22
chez,chez,81
le,le,71
parfumeur,parfumeur,21
/.,/.,P
dans,dans,81
le,le,71
commerce,commerce,21
",",",",p
ces,ce,74
niaiseries,niaiserie,22
nuisent,nuire,17
plus,plus,60
qu',que,83
un,un,71
malheur,malheur,21
",",",",p
elles,ils,51
l',le,52
annoncent,annoncer,17
/.,/.,P
les,le,71
pertes,perte,22
connues,connu,31
sont,être,17
définies,définir,12
",",",",p
la,le,71
panique,panique,22
ne,ne,60
connaît,connaître,17
pas,pas,60
de,de,81
bornes,borne,22
/.,/.,P
Birotteau,Birotteau,20
vit,voir,19
sa,son,73
caisse,caisse,22
dégarnie,dégarni,31
/.,/.,P
la,le,71
peur,peur,22
saisit,saisir,19
alors,alors,60
le,le,71
parfumeur,parfumeur,21
",",",",p
à,à,81
qui,qui,52
jamais,jamais,60
pareille,pareil,30
chose,chose,22
n',ne,60
était,être,18
arrivée,arriver,12
durant,durant,81
sa,son,73
vie,vie,22
commerciale,commercial,30
/.,/.,P
comme,comme,83
tous,tout,75
les,le,71
gens,gens,21
qui,qui,52
n',ne,60
ont,avoir,17
jamais,jamais,60
eu,avoir,12
à,à,81
lutter,lutter,14
pendant,pendant,81
longtemps,longtemps,60
contre,contre,81
la,le,71
misère,misère,22
et,et,82
qui,qui,52
sont,être,17
faibles,faible,30
",",",",p
cette,ce,74
circonstance,circonstance,22
vulgaire,vulgaire,30
dans,dans,81
la,le,71
vie,vie,22
de,de,81
la,le,71
plupart,plupart,22
des,de,81
des,le,71
petits,petit,30
marchands,marchand,21
de,de,81
Paris,Paris,20
porta,porter,19
le,le,71
trouble,trouble,21
dans,dans,81
la,le,71
cervelle,cervelle,22
de,de,81
César,César,20
/.,/.,P
le,le,71
parfumeur,parfumeur,21
donna,donner,19
l',le,71
ordre,ordre,21
à,à,81
Célestin,Célestin,20
d',de,81
envoyer,envoyer,14
les,le,71
factures,facture,22
chez,chez,81
ses,son,73
pratiques,pratique,22
;,;,p
mais,mais,82
avant,avant,81
de,de,81
le,le,52
mettre,mettre,14
à,à,81
exécution,exécution,22
",",",",p
le,le,71
premier,premier,72
commis,commis,21
se,se,51
fit,faire,19
répéter,répéter,14
cet,ce,74
ordre,ordre,21
inouï,inouï,30
/.,/.,P
les,le,71
clients,client,21
",",",",p
noble,noble,30
terme,terme,21
alors,alors,60
appliqué,appliqué,31
par,par,81
les,le,71
détaillants,détaillant,21
à,à,81
leurs,leur,73
pratiques,pratique,22
et,et,82
dont,dont,52
César,César,20
se,se,51
servait,servir,18
malgré,malgré,81
sa,son,73
femme,femme,22
",",",",p
qui,qui,52
avait,avoir,18
fini,finir,12
par,par,81
lui,lui,51
dire,dire,14
:,:,p
nomme,nommer,17
les,le,52
comme,comme,83
tu,tu,51
voudras,vouloir,15
",",",",p
pourvu,pourvu,81
qu',que,83
ils,ils,51
paient,payer,17
!,!,p
ses,son,73
clients,client,21
donc,donc,82
étaient,être,18
des,de,81
des,le,71
personnes,personne,22
riches,riche,30
avec,avec,81
lesquelles,lequel,52
il,il,51
n',ne,60
y,y,52
avait,avoir,18
jamais,jamais,60
de,de,81
pertes,perte,22
à,à,81
essayer,essayer,14
",",",",p
qui,qui,52
payaient,payer,18
à,à,81
leur,leur,73
fantaisie,fantaisie,22
",",",",p
et,et,82
chez,chez,81
lesquelles,lequel,52
César,César,20
avait,avoir,18
souvent,souvent,60
cinquante,cinquante,72
ou,ou,82
soixante,soixante,72
mille,mille,72
francs,franc,21
/.,/.,P
le,le,71
second,second,72
commis,commis,21
prit,prendre,19
le,le,71
livre,livre,21
des,de,81
des,le,71
factures,facture,22
et,et,82
se,se,51
mit,mettre,19
à,à,81
copier,copier,14
les,le,71
plus,plus,60
fortes,fort,30
/.,/.,P
César,César,20
redoutait,redouter,18
sa,son,73
femme,femme,22
/.,/.,P
pour,pour,81
ne,ne,60
pas,pas,60
lui,lui,51
laisser,laisser,14
voir,voir,14
l',le,71
abattement,abattement,21
que,que,52
lui,lui,51
causait,causer,18
le,le,71
simoun,simoun,21
du,de,81
du,le,71
malheur,malheur,21
",",",",p
il,il,51
voulut,vouloir,19
sortir,sortir,14
/.,/.,P
-,-,p
bonjour,bonjour,21
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
Grindot,Grindot,20
en,en,81
entrant,entrer,13
avec,avec,81
cet,ce,74
air,air,21
dégagé,dégagé,31
que,que,52
prennent,prendre,17
les,le,71
artistes,artiste,21
pour,pour,81
parler,parler,14
des,de,81
des,le,71
intérêts,intérêt,21
auxquels,à,81
auxquels,lequel,52
ils,ils,51
se,se,51
prétendent,prétendre,17
absolument,absolument,60
étrangers,étranger,30
/.,/.,P
je,je,51
ne,ne,60
puis,pouvoir,17
trouver,trouver,14
aucune,aucun,75
espèce,espèce,22
de,de,81
monnaie,monnaie,22
avec,avec,81
votre,votre,73
papier,papier,21
",",",",p
je,je,51
suis,être,17
obligé,obliger,12
de,de,81
vous,vous,51
prier,prier,14
de,de,81
me,je,51
l',le,52
échanger,échanger,14
contre,contre,81
des,de,81
des,le,71
écus,écu,21
",",",",p
je,je,51
suis,être,17
l',le,71
homme,homme,21
le,le,71
plus,plus,60
malheureux,malheureux,30
de,de,81
cette,ce,74
démarche,démarche,22
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
parler,parler,14
aux,à,81
aux,le,71
usuriers,usurier,21
",",",",p
je,je,51
ne,ne,60
voudrais,vouloir,16
pas,pas,60
colporter,colporter,14
votre,votre,73
signature,signature,22
",",",",p
je,je,51
sais,savoir,17
assez,assez,60
de,de,81
commerce,commerce,21
pour,pour,81
comprendre,comprendre,14
que,que,83
ce,ce,52
serait,être,16
l',le,52
avilir,avilir,14
;,;,p
il,il,51
est,être,17
donc,donc,82
dans,dans,81
votre,votre,73
intérêt,intérêt,21
de,de,81
/…,/…,P
monsieur,monsieur,21
",",",",p
dit,dire,19
Birotteau,Birotteau,20
stupéfait,stupéfait,30
",",",",p
plus,plus,60
bas,bas,60
",",",",p
s',si,83
il,il,51
vous,vous,51
plaît,plaire,17
",",",",p
vous,vous,51
me,je,51
surprenez,surprendre,17
étrangement,étrangement,60
/.,/.,P
Lourdois,Lourdois,20
entra,entrer,19
/.,/.,P
-,-,p
Lourdois,Lourdois,20
",",",",p
dit,dire,19
Birotteau,Birotteau,20
souriant,sourire,13
",",",",p
comprenez,comprendre,17
vous,vous,51
/?,/?,P
Birotteau,Birotteau,20
s',se,51
arrêta,arrêter,19
/.,/.,P
le,le,71
pauvre,pauvre,30
homme,homme,21
allait,aller,18
prier,prier,14
Lourdois,Lourdois,20
de,de,81
prendre,prendre,14
l',le,71
effet,effet,21
de,de,81
Grindot,Grindot,20
en,en,81
se,se,51
moquant,moquer,13
de,de,81
l',le,71
architecte,architecte,21
avec,avec,81
la,le,71
bonne,bon,30
foi,foi,22
du,de,81
du,le,71
négociant,négociant,21
sûr,sûr,30
de,de,81
lui-même,lui-même,51
:,:,p
il,il,51
aperçut,apercevoir,19
un,un,71
nuage,nuage,21
sur,sur,81
le,le,71
front,front,21
de,de,81
Lourdois,Lourdois,20
",",",",p
il,il,51
frémit,frémir,19
de,de,81
son,son,73
imprudence,imprudence,22
/.,/.,P
cette,ce,74
innocente,innocent,30
raillerie,raillerie,22
était,être,18
la,le,71
mort,mort,22
d',de,81
un,un,71
crédit,crédit,21
soupçonné,soupçonné,31
/.,/.,P
en,en,81
pareil,pareil,30
cas,cas,21
",",",",p
un,un,71
riche,riche,30
négociant,négociant,21
reprend,reprendre,17
son,son,73
billet,billet,21
",",",",p
et,et,82
il,il,51
ne,ne,60
l',le,52
offre,offrir,17
pas,pas,60
/.,/.,P
Birotteau,Birotteau,20
se,se,51
sentait,sentir,18
la,le,71
tête,tête,22
agitée,agité,31
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
regardé,regarder,12
le,le,71
fond,fond,21
d',de,81
un,un,71
abîme,abîme,21
taillé,taillé,31
à,à,81
pic,pic,21
/.,/.,P
-,-,p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
Birotteau,Birotteau,20
",",",",p
dit,dire,19
Lourdois,Lourdois,20
en,en,81
l',le,52
emmenant,emmener,13
au,à,81
au,le,71
fond,fond,21
de,de,81
magasin,magasin,21
",",",",p
mon,mon,73
mémoire,mémoire,21
est,être,17
toisé,toiser,12
",",",",p
réglé,régler,12
",",",",p
vérifié,vérifier,12
",",",",p
je,je,51
vous,vous,51
prie,prier,17
de,de,81
me,je,51
tenir,tenir,14
l',le,71
argent,argent,21
prêt,prêt,30
demain,demain,60
/.,/.,P
je,je,51
marie,marier,17
ma,mon,73
fille,fille,22
au,à,81
au,le,71
petit,petit,30
Crottat,Crottat,20
",",",",p
il,il,51
lui,lui,51
faut,falloir,17
de,de,81
l',le,71
argent,argent,21
",",",",p
les,le,71
notaires,notaire,21
ne,ne,60
négocient,négocier,17
point,point,60
",",",",p
d',de,81
ailleurs,ailleurs,60
on,on,51
n',ne,60
a,avoir,17
jamais,jamais,60
vu,voir,12
ma,mon,73
signature,signature,22
/.,/.,P
-,-,p
envoyez,envoyer,17
après-demain,après-demain,60
",",",",p
dit,dire,19
fièrement,fièrement,60
Birotteau,Birotteau,20
qui,qui,52
compta,compter,19
sur,sur,81
les,le,71
paiements,paiement,21
de,de,81
ses,son,73
mémoires,mémoire,21
/.,/.,P
et,et,82
vous,vous,51
aussi,aussi,60
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
il,il,51
à,à,81
l',le,71
architecte,architecte,21
/.,/.,P
-,-,p
et,et,82
pourquoi,pourquoi,60
pas,pas,60
tout,tout,60
de,de,81
suite,suite,22
?,?,p
dit,dire,19
l',le,71
architecte,architecte,21
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
la,le,71
paie,paie,22
de,de,81
mes,mon,73
ouvriers,ouvrier,21
au,à,81
au,le,71
faubourg,faubourg,21
",",",",p
dit,dire,19
César,César,20
qui,qui,52
n',ne,60
avait,avoir,18
jamais,jamais,60
menti,mentir,12
/.,/.,P
il,il,51
prit,prendre,19
son,son,73
chapeau,chapeau,21
pour,pour,81
sortir,sortir,14
avec,avec,81
eux,ils,51
/.,/.,P
mais,mais,82
le,le,71
maçon,maçon,21
",",",",p
Thorein,Thorein,20
et,et,82
Chaffaroux,Chaffaroux,20
l',le,52
arrêtèrent,arrêter,19
au,à,81
au,le,71
moment,moment,21
où,où,60
il,il,51
fermait,fermer,18
la,le,71
porte,porte,22
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
Chaffaroux,Chaffaroux,20
",",",",p
nous,nous,51
avons,avoir,17
bien,bien,60
besoin,besoin,21
d',de,81
argent,argent,21
/.,/.,P
-,-,p
hé,hé,93
!,!,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
les,le,71
mines,mine,22
du,de,81
du,le,71
Pérou,Pérou,20
",",",",p
dit,dire,19
César,César,20
impatienté,impatienté,31
qui,qui,52
s',se,51
en,en,52
alla,aller,19
vivement,vivement,60
à,à,81
cent,cent,72
pas,pas,21
d',de,81
eux,ils,51
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
quelque,quelque,75
chose,chose,22
là-dessous,là-dessous,60
/.,/.,P
maudit,maudit,31
bal,bal,21
!,!,p
tout,tout,75
le,le,71
monde,monde,21
vous,vous,51
croit,croire,17
des,de,81
des,le,71
millions,million,21
/.,/.,P
néanmoins,néanmoins,60
l',le,71
air,air,21
de,de,81
Lourdois,Lourdois,20
n',ne,60
était,être,18
pas,pas,60
naturel,naturel,30
",",",",p
pensa,penser,19
t,t,94
il,il,51
",",",",p
il,il,51
y,y,52
a,avoir,17
quelque,quelque,75
anguille,anguille,22
sous,sous,81
roche,roche,22
/.,/.,P
il,il,51
marchait,marcher,18
dans,dans,81
la,le,71
rue,rue,22
Saint-Honoré,Saint-Honoré,20
sans,sans,81
direction,direction,22
",",",",p
en,en,81
se,se,51
sentant,sentir,13
comme,comme,83
dissous,dissous,31
",",",",p
et,et,82
se,se,51
heurta,heurter,19
contre,contre,81
Alexandre,Alexandre,20
au,à,81
au,le,71
coin,coin,21
d',de,81
une,un,71
rue,rue,22
",",",",p
comme,comme,83
un,un,71
bélier,bélier,21
ou,ou,82
comme,comme,83
un,un,71
mathématicien,mathématicien,21
absorbé,absorbé,31
par,par,81
la,le,71
solution,solution,22
d',de,81
un,un,71
problème,problème,21
en,en,52
aurait,avoir,16
heurté,heurter,12
un,un,71
autre,autre,52
/.,/.,P
-,-,p
ah,ah,93
!,!,p
monsieur,monsieur,21
",",",",p
dit,dire,19
le,le,71
futur,futur,30
notaire,notaire,21
",",",",p
une,un,71
question,question,22
:,:,p
Roguin,Roguin,20
a,avoir,17
t,t,94
il,il,51
donné,donner,12
vos,votre,73
quatre,quatre,72
cent,cent,72
mille,mille,72
francs,franc,21
à,à,81
monsieur,monsieur,21
Claparon,Claparon,20
/?,/?,P
l',le,71
affaire,affaire,22
s',se,51
est,être,17
faite,faire,12
devant,devant,81
vous,vous,51
",",",",p
monsieur,monsieur,21
Claparon,Claparon,20
ne,ne,60
m',je,51
en,en,52
a,avoir,17
fait,faire,12
aucun,aucun,75
reçu,reçu,21
…,…,p
mes,mon,73
valeurs,valeur,22
étaient,être,18
à,à,81
…,…,p
négocier,négocier,14
/…,/…,P
Roguin,Roguin,20
a,avoir,17
pu,pouvoir,12
lui,lui,51
remettre,remettre,14
…,…,p
mes,mon,73
deux,deux,72
cent,cent,72
quarante,quarante,72
mille,mille,72
francs,franc,21
d',de,81
écus,écu,21
…,…,p
nous,nous,51
devons,devoir,17
…,…,p
il,il,51
a,avoir,17
été,être,12
dit,dire,12
qu',que,83
on,on,51
réaliserait,réaliser,16
définitivement,définitivement,60
les,le,71
actes,acte,21
de,de,81
vente,vente,22
/…,/…,P
monsieur,monsieur,21
Popinot,Popinot,20
le,le,71
juge,juge,21
prétend,prétendre,17
/…,/…,P
la,le,71
quittance,quittance,22
/…,/…,P
mais,mais,82
/…,/…,P
pourquoi,pourquoi,60
cette,ce,74
question,question,22
/?,/?,P
pourquoi,pourquoi,60
puis,pouvoir,17
je,je,51
vous,vous,51
faire,faire,14
une,un,71
semblable,semblable,30
question,question,22
/?,/?,P
pour,pour,81
savoir,savoir,14
si,si,83
vos,votre,73
deux,deux,72
cent,cent,72
quarante,quarante,72
mille,mille,72
francs,franc,21
sont,être,17
chez,chez,81
Claparon,Claparon,20
ou,ou,82
chez,chez,81
Roguin,Roguin,20
/.,/.,P
Roguin,Roguin,20
était,être,18
lié,lier,12
depuis,depuis,81
si,si,60
longtemps,longtemps,60
avec,avec,81
vous,vous,51
?,?,p
il,il,51
aurait,avoir,16
pu,pouvoir,12
par,par,81
délicatesse,délicatesse,22
les,le,52
avoir,avoir,14
remis,remettre,12
à,à,81
Claparon,Claparon,20
",",",",p
et,et,82
vous,vous,51
l',le,52
échapperiez,échapper,16
belle,beau,30
!,!,p
mais,mais,82
suis,être,17
je,je,51
bête,bête,30
!,!,p
il,il,51
les,le,52
emporte,emporter,17
avec,avec,81
l',le,71
argent,argent,21
de,de,81
monsieur,monsieur,21
Claparon,Claparon,20
",",",",p
qui,qui,52
heureusement,heureusement,60
n',ne,60
avait,avoir,18
encore,encore,60
envoyé,envoyer,12
que,que,83
cent,cent,72
mille,mille,72
francs,franc,21
/.,/.,P
Roguin,Roguin,20
est,être,17
en,en,81
fuite,fuite,22
",",",",p
il,il,51
a,avoir,17
reçu,recevoir,12
de,de,81
moi,moi,51
cent,cent,72
mille,mille,72
francs,franc,21
sur,sur,81
sa,son,73
charge,charge,22
",",",",p
dont,dont,52
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
la,le,71
quittance,quittance,22
",",",",p
je,je,51
les,le,52
lui,lui,51
ai,avoir,17
donnés,donner,12
comme,comme,83
je,je,51
vous,vous,51
confierais,confier,16
ma,mon,73
bourse,bourse,22
/.,/.,P
vos,votre,73
vendeurs,vendeur,21
n',ne,60
ont,avoir,17
pas,pas,60
reçu,recevoir,12
un,un,71
liard,liard,21
",",",",p
ils,ils,51
sortent,sortir,17
de,de,81
chez,chez,81
moi,moi,51
/.,/.,P
l',le,71
argent,argent,21
de,de,81
votre,votre,73
emprunt,emprunt,21
sur,sur,81
vos,votre,73
terrains,terrain,21
n',ne,60
existait,exister,18
ni,ni,82
pour,pour,81
vous,vous,51
ni,ni,82
pour,pour,81
votre,votre,73
prêteur,prêteur,21
",",",",p
Roguin,Roguin,20
l',le,52
avait,avoir,18
dévoré,dévorer,12
comme,comme,83
vos,votre,73
cent,cent,72
mille,mille,72
francs,franc,21
…,…,p
qu',que,52
il,il,51
…,…,p
n',ne,60
avait,avoir,18
plus,plus,60
depuis,depuis,81
longtemps,longtemps,60
/…,/…,P
ainsi,ainsi,60
vos,votre,73
cent,cent,72
derniers,dernier,30
mille,mille,72
francs,franc,21
sont,être,17
pris,prendre,12
",",",",p
je,je,51
me,je,51
souviens,souvenir,17
d',de,81
être,être,14
allé,aller,12
les,le,52
toucher,toucher,14
à,à,81
la,le,71
banque,banque,22
/.,/.,P
les,le,71
pupilles,pupille,22
de,de,81
César,César,20
se,se,51
dilatèrent,dilater,19
si,si,60
démesurément,démesurément,60
qu',que,83
il,il,51
ne,ne,60
vit,voir,19
plus,plus,60
qu',que,83
une,un,71
flamme,flamme,22
rouge,rouge,30
/.,/.,P
-,-,p
vos,votre,73
cent,cent,72
mille,mille,72
francs,franc,21
sur,sur,81
la,le,71
banque,banque,22
",",",",p
mes,mon,73
cent,cent,72
mille,mille,72
francs,franc,21
sur,sur,81
sa,son,73
charge,charge,22
",",",",p
cent,cent,72
mille,mille,72
francs,franc,21
à,à,81
monsieur,monsieur,21
Claparon,Claparon,20
",",",",p
voilà,voilà,81
trois,trois,72
cent,cent,72
mille,mille,72
francs,franc,21
de,de,81
sifflés,sifflé,31
",",",",p
sans,sans,81
les,le,71
vols,vol,21
qui,qui,52
vont,aller,17
se,se,51
découvrir,découvrir,14
/.,/.,P
on,on,51
désespère,désespérer,17
de,de,81
madame,madame,22
Roguin,Roguin,20
",",",",p
monsieur,monsieur,21
du,de,81
du,le,71
Tillet,Tillet,20
a,avoir,17
passé,passer,12
la,le,71
nuit,nuit,22
près,près,81
d',de,81
elle,il,51
/.,/.,P
il,il,51
l',le,52
a,avoir,17
échappé,échapper,12
belle,beau,30
",",",",p
lui,lui,51
/!,/!,P
Roguin,Roguin,20
l',le,52
a,avoir,17
tourmenté,tourmenter,12
pendant,pendant,81
un,un,71
mois,mois,21
pour,pour,81
le,le,52
fourrer,fourrer,14
dans,dans,81
cette,ce,74
affaire,affaire,22
des,de,81
des,le,71
terrains,terrain,21
",",",",p
et,et,82
heureusement,heureusement,60
il,il,51
avait,avoir,18
tous,tout,75
ses,son,73
fonds,fonds,21
dans,dans,81
une,un,71
spéculation,spéculation,22
avec,avec,81
la,le,71
maison,maison,22
Nucingen,Nucingen,20
/.,/.,P
Roguin,Roguin,20
a,avoir,17
écrit,écrire,12
à,à,81
sa,son,73
femme,femme,22
une,un,71
lettre,lettre,22
épouvantable,épouvantable,30
!,!,p
je,je,51
viens,venir,17
de,de,81
la,le,52
lire,lire,14
/.,/.,P
il,il,51
tripotait,tripoter,18
les,le,71
fonds,fonds,21
de,de,81
ses,son,73
clients,client,21
depuis,depuis,81
cinq,cinq,72
ans,an,21
",",",",p
et,et,82
pourquoi,pourquoi,60
?,?,p
pour,pour,81
une,un,71
maîtresse,maîtresse,22
",",",",p
la,le,71
belle,beau,30
Hollandaise,Hollandais,20
;,;,p
il,il,51
l',le,52
a,avoir,17
quittée,quitter,12
quinze,quinze,72
jours,jour,21
avant,avant,81
de,de,81
faire,faire,14
son,son,73
coup,coup,21
/.,/.,P
cette,ce,74
gaspilleuse,gaspilleuse,22
était,être,18
sans,sans,81
un,un,71
liard,liard,21
",",",",p
on,on,51
a,avoir,17
vendu,vendre,12
ses,son,73
meubles,meuble,21
",",",",p
elle,il,51
avait,avoir,18
signé,signer,12
des,de,81
des,le,71
lettres,lettre,22
de,de,81
change,change,21
/.,/.,P
afin,afin,81
d',de,81
échapper,échapper,14
aux,à,81
aux,le,71
poursuites,poursuite,22
",",",",p
elle,il,51
s',se,51
était,être,18
réfugiée,réfugier,12
dans,dans,81
une,un,71
maison,maison,22
du,de,81
du,le,71
Palais-Royal,Palais Royal,20
où,où,60
elle,il,51
a,avoir,17
été,être,12
assassinée,assassiner,12
hier,hier,60
au,à,81
au,le,71
soir,soir,21
par,par,81
un,un,71
capitaine,capitaine,21
/.,/.,P
elle,il,51
a,avoir,17
été,être,12
bientôt,bientôt,60
punie,punir,12
par,par,81
dieu,dieu,21
",",",",p
elle,il,51
qui,qui,52
certes,certes,60
a,avoir,17
dévoré,dévorer,12
la,le,71
fortune,fortune,22
de,de,81
Roguin,Roguin,20
/.,/.,P
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
femmes,femme,22
pour,pour,81
qui,qui,52
rien,rien,52
n',ne,60
est,être,17
sacré,sacrer,12
",",",",p
dévorer,dévorer,14
une,un,71
charge,charge,22
de,de,81
notaire,notaire,21
/!,/!,P
madame,madame,22
Roguin,Roguin,20
n',ne,60
aura,avoir,15
de,de,81
fortune,fortune,22
qu',que,83
en,en,81
usant,user,13
de,de,81
son,son,73
hypothèque,hypothèque,22
légale,légal,30
",",",",p
tous,tout,75
les,le,71
biens,bien,21
du,de,81
du,le,71
gueux,gueux,21
sont,être,17
grevés,grever,12
au-delà,au-delà,60
de,de,81
leur,leur,73
valeur,valeur,22
/.,/.,P
la,le,71
charge,charge,22
est,être,17
vendue,vendre,12
quatre,quatre,72
cent,cent,72
mille,mille,72
francs,franc,21
/!,/!,P
moi,moi,51
qui,qui,52
croyais,croire,18
faire,faire,14
une,un,71
bonne,bon,30
affaire,affaire,22
",",",",p
et,et,82
qui,qui,52
commence,commencer,17
par,par,81
payer,payer,14
l',le,71
étude,étude,22
cent,cent,72
mille,mille,72
francs,franc,21
de,de,81
plus,plus,60
