11870
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-neuvième extrait>,<>,<>
en,en,81
entendant,entendre,13
la,le,71
voix,voix,22
de,de,81
sa,son,73
fille,fille,22
",",",",p
tiens,tenir,17
/.,/.,P
il,il,51
ouvrit,ouvrir,19
la,le,52
mette,mettre,17
où,où,60
était,être,18
la,le,71
farine,farine,22
",",",",p
lui,lui,51
en,en,52
donna,donner,19
une,un,71
mesure,mesure,22
",",",",p
et,et,82
ajouta,ajouter,19
quelques,quelque,75
onces,once,22
de,de,81
beurre,beurre,21
au,à,81
au,le,71
morceau,morceau,21
qu',que,52
il,il,51
avait,avoir,18
déjà,déjà,60
coupé,couper,12
/.,/.,P
-,-,p
il,il,51
faudra,falloir,15
du,de,81
du,le,71
bois,bois,21
pour,pour,81
chauffer,chauffer,14
le,le,71
four,four,21
",",",",p
dit,dire,19
l',le,71
implacable,implacable,30
Nanon,Nanon,20
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
tu,tu,51
en,en,52
prendras,prendre,15
à,à,81
ta,ton,73
suffisance,suffisance,22
",",",",p
répondit,répondre,19
il,il,51
mélancoliquement,mélancoliquement,60
",",",",p
mais,mais,82
alors,alors,60
tu,tu,51
nous,nous,51
feras,faire,15
une,un,71
tarte,tarte,22
aux,à,81
aux,le,71
fruits,fruit,21
",",",",p
et,et,82
tu,tu,51
nous,nous,51
cuiras,cuire,15
au,à,81
au,le,71
four,four,21
tout,tout,75
le,le,71
dîner,dîner,21
;,;,p
par,par,81
ainsi,ainsi,60
",",",",p
tu,tu,51
n',ne,60
allumeras,allumer,15
pas,pas,60
deux,deux,72
feux,feu,21
/.,/.,P
-,-,p
quien,quoi,52
!,!,p
s',se,51
écria,écrier,19
Nanon,Nanon,20
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
me,je,51
le,le,52
dire,dire,14
/.,/.,P
Grandet,Grandet,20
jeta,jeter,19
sur,sur,81
son,son,73
fidèle,fidèle,30
ministre,ministre,21
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
presque,presque,60
paternel,paternel,30
/.,/.,P
-,-,p
mademoiselle,mademoiselle,22
",",",",p
cria,crier,19
la,le,71
cuisinière,cuisinière,22
",",",",p
nous,nous,51
aurons,avoir,15
une,un,71
galette,galette,22
/.,/.,P
le,le,71
père,père,21
Grandet,Grandet,20
revint,revenir,19
chargé,chargé,31
de,de,81
ses,son,73
fruits,fruit,21
",",",",p
et,et,82
en,en,52
rangea,ranger,19
une,un,71
première,premier,72
assiettée,assiettée,22
sur,sur,81
la,le,71
table,table,22
de,de,81
la,le,71
cuisine,cuisine,22
/.,/.,P
-,-,p
voyez,voir,17
donc,donc,82
",",",",p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
Nanon,Nanon,20
",",",",p
les,le,71
jolies,joli,30
bottes,botte,22
qu',que,52
a,avoir,17
votre,votre,73
neveu,neveu,21
/.,/.,P
quel,quel,75
cuir,cuir,21
",",",",p
et,et,82
qui,qui,52
sent,sentir,17
bon,bon,60
/.,/.,P
avec,avec,81
quoi,quoi,52
que,que,52
ça,ça,52
se,se,51
nettoie,nettoyer,17
donc,donc,82
/?,/?,P
faut,falloir,17
il,il,51
y,y,52
mettre,mettre,14
de,de,81
votre,votre,73
cirage,cirage,21
à,à,81
l',le,71
oeuf,oeuf,21
/?,/?,P
Nanon,Nanon,20
",",",",p
je,je,51
crois,croire,17
que,que,83
l',le,71
oeuf,oeuf,21
gâterait,gâter,16
ce,ce,74
cuir,cuir,21
là,là,60
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
dis,dire,17
lui,lui,51
que,que,83
tu,tu,51
ne,ne,60
connais,connaître,17
point,point,60
la,le,71
manière,manière,22
de,de,81
cirer,cirer,14
le,le,71
maroquin,maroquin,21
",",",",p
oui,oui,60
",",",",p
c',ce,52
est,être,17
du,de,81
du,le,71
maroquin,maroquin,21
",",",",p
il,il,51
achètera,acheter,15
lui-même,lui-même,51
à,à,81
Saumur,Saumur,20
et,et,82
t',tu,51
apportera,apporter,15
de,de,81
quoi,quoi,52
illustrer,illustrer,14
ses,son,73
bottes,botte,22
/.,/.,P
j',je,51
ai,avoir,17
entendu,entendre,12
dire,dire,14
qu',que,83
on,on,51
fourre,fourrer,17
du,de,81
du,le,71
sucre,sucre,21
dans,dans,81
leur,leur,73
cirage,cirage,21
pour,pour,81
le,le,52
rendre,rendre,14
brillant,brillant,30
/.,/.,P
-,-,p
c',ce,52
est,être,17
donc,donc,82
bon,bon,30
à,à,81
manger,manger,14
",",",",p
dit,dire,19
la,le,71
servante,servante,22
en,en,81
portant,porter,13
les,le,71
bottes,botte,22
à,à,81
son,son,73
nez,nez,21
/.,/.,P
tiens,tenir,17
",",",",p
tiens,tenir,17
",",",",p
elles,ils,51
sentent,sentir,17
l',le,71
eau,eau,22
de,de,81
Cologne,Cologne,20
de,de,81
madame,madame,22
/.,/.,P
ah,ah,93
!,!,p
c',ce,52
est,être,17
il,il,51
drôle,drôle,30
/.,/.,P
-,-,p
drôle,drôle,30
!,!,p
dit,dire,19
le,le,71
maître,maître,21
",",",",p
tu,tu,51
trouves,trouver,17
drôle,drôle,30
de,de,81
mettre,mettre,14
à,à,81
des,de,81
des,le,71
bottes,botte,22
plus,plus,60
d',de,81
argent,argent,21
que,que,83
n',ne,60
en,en,52
vaut,valoir,17
celui,celui,52
qui,qui,52
les,le,52
porte,porter,17
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
elle,il,51
au,à,81
au,le,71
second,second,72
voyage,voyage,21
de,de,81
son,son,73
maître,maître,21
qui,qui,52
avait,avoir,18
fermé,fermer,12
le,le,71
fruitier,fruitier,21
",",",",p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
ne,ne,60
mettrez,mettre,15
pas,pas,60
une,un,52
ou,ou,82
deux,deux,72
fois,fois,22
le,le,71
pot-au-feu,pot-au-feu,21
par,par,81
semaine,semaine,22
à,à,81
cause,cause,22
de,de,81
votre,votre,73
/…,/…,P
-,-,p
oui,oui,60
/.,/.,P
-,-,p
faudra,falloir,15
que,que,83
j',je,51
aille,aller,17
à,à,81
la,le,71
boucherie,boucherie,22
/.,/.,P
-,-,p
pas,pas,60
du,de,81
du,le,71
tout,tout,21
;,;,p
tu,tu,51
nous,nous,51
feras,faire,15
du,de,81
du,le,71
bouillon,bouillon,21
de,de,81
volaille,volaille,22
",",",",p
les,le,71
fermiers,fermier,21
ne,ne,60
t',tu,51
en,en,52
laisseront,laisser,15
pas,pas,60
chômer,chômer,14
/.,/.,P
mais,mais,82
je,je,51
vais,aller,17
dire,dire,14
à,à,81
Cornoiller,Cornoiller,20
de,de,81
me,je,51
tuer,tuer,14
des,de,81
des,le,71
corbeaux,corbeau,21
/.,/.,P
ce,ce,74
gibier,gibier,21
là,là,60
donne,donner,17
le,le,71
meilleur,meilleur,30
bouillon,bouillon,21
de,de,81
la,le,71
terre,terre,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
y,y,52
vrai,vrai,30
",",",",p
monsieur,monsieur,21
",",",",p
que,que,83
ça,ça,52
mange,manger,17
les,le,71
morts,mort,21
/?,/?,P
tu,tu,51
es,être,17
bête,bête,30
",",",",p
Nanon,Nanon,20
!,!,p
ils,ils,51
mangent,manger,17
",",",",p
comme,comme,83
tout,tout,75
le,le,71
monde,monde,21
",",",",p
ce,ce,52
qu',que,52
ils,ils,51
trouvent,trouver,17
/.,/.,P
est,être,17
ce,ce,52
que,que,83
nous,nous,51
ne,ne,60
vivons,vivre,17
pas,pas,60
des,de,81
des,le,71
morts,mort,21
/?,/?,P
qu',que,52
est,être,17
ce,ce,52
donc,donc,82
que,que,83
les,le,71
successions,succession,22
/?,/?,P
le,le,71
père,père,21
Grandet,Grandet,20
n',ne,60
ayant,avoir,13
plus,plus,60
d',de,81
ordre,ordre,21
à,à,81
donner,donner,14
",",",",p
tira,tirer,19
sa,son,73
montre,montre,22
;,;,p
et,et,82
voyant,voir,13
qu',que,83
il,il,51
pouvait,pouvoir,18
encore,encore,60
disposer,disposer,14
d',de,81
une,un,71
demi-heure,demi-heure,22
avant,avant,81
le,le,71
déjeuner,déjeuner,21
",",",",p
il,il,51
prit,prendre,19
son,son,73
chapeau,chapeau,21
",",",",p
vint,venir,19
embrasser,embrasser,14
sa,son,73
fille,fille,22
",",",",p
et,et,82
lui,lui,51
dit,dire,19
:,:,p
-,-,p
veux,vouloir,17
tu,tu,51
te,tu,51
promener,promener,14
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
Loire,Loire,20
sur,sur,81
mes,mon,73
prairies,prairie,22
?,?,p
j',je,51
ai,avoir,17
quelque,quelque,75
chose,chose,22
à,à,81
y,y,52
faire,faire,14
/.,/.,P
Eugénie,Eugénie,20
alla,aller,19
mettre,mettre,14
son,son,73
chapeau,chapeau,21
de,de,81
paille,paille,22
cousue,cousu,31
",",",",p
doublé,doublé,31
de,de,81
taffetas,taffetas,21
rose,rose,30
;,;,p
puis,puis,60
",",",",p
le,le,71
père,père,21
et,et,82
la,le,71
fille,fille,22
descendirent,descendre,19
la,le,71
rue,rue,22
tortueuse,tortueux,30
jusqu',jusque,81
à,à,81
la,le,71
place,place,22
/.,/.,P
-,-,p
où,où,60
dévalez,dévaler,17
vous,vous,51
donc,donc,82
si,si,83
matin,matin,21
?,?,p
dit,dire,19
le,le,71
notaire,notaire,21
Cruchot,Cruchot,20
qui,qui,52
rencontra,rencontrer,19
Grandet,Grandet,20
/.,/.,P
-,-,p
voir,voir,14
quelque,quelque,75
chose,chose,22
",",",",p
répondit,répondre,19
le,le,71
bonhomme,bonhomme,21
sans,sans,81
être,être,14
la,le,71
dupe,dupe,22
de,de,81
la,le,71
promenade,promenade,22
matinale,matinal,30
de,de,81
son,son,73
ami,ami,21
/.,/.,P
quand,quand,83
le,le,71
père,père,21
Grandet,Grandet,20
allait,aller,18
voir,voir,14
quelque,quelque,75
chose,chose,22
",",",",p
le,le,71
notaire,notaire,21
savait,savoir,18
par,par,81
expérience,expérience,22
qu',que,83
il,il,51
y,y,52
avait,avoir,18
toujours,toujours,60
quelque,quelque,75
chose,chose,22
à,à,81
gagner,gagner,14
avec,avec,81
lui,lui,51
/.,/.,P
donc,donc,82
il,il,51
l',le,52
accompagna,accompagner,19
/.,/.,P
-,-,p
venez,venir,17
",",",",p
Cruchot,Cruchot,20
?,?,p
dit,dire,19
Grandet,Grandet,20
au,à,81
au,le,71
notaire,notaire,21
/.,/.,P
vous,vous,51
êtes,être,17
de,de,81
mes,mon,73
amis,ami,21
",",",",p
je,je,51
vais,aller,17
vous,vous,51
démontrer,démontrer,14
comme,comme,83
quoi,quoi,52
c',ce,52
est,être,17
une,un,71
bêtise,bêtise,22
de,de,81
planter,planter,14
des,de,81
des,le,71
peupliers,peuplier,21
dans,dans,81
de,de,81
bonnes,bon,30
terres,terre,22
/…,/…,P
vous,vous,51
comptez,compter,17
donc,donc,82
pour,pour,81
rien,rien,52
les,le,71
soixante,soixante,72
mille,mille,72
francs,franc,21
que,que,52
vous,vous,51
avez,avoir,17
palpés,palper,12
pour,pour,81
ceux,celui,52
qui,qui,52
étaient,être,18
dans,dans,81
vos,votre,73
prairies,prairie,22
de,de,81
la,le,71
Loire,Loire,20
",",",",p
dit,dit,31
maître,maître,21
Cruchot,Cruchot,20
en,en,81
ouvrant,ouvrir,13
des,de,81
des,le,71
yeux,oeil,21
hébétés,hébété,30
/.,/.,P
avez,avoir,17
vous,vous,51
eu,avoir,12
du,de,81
du,le,71
bonheur,bonheur,21
?,?,p
couper,couper,14
vos,votre,73
arbres,arbre,21
au,à,81
au,le,71
moment,moment,21
où,où,60
l',l',94
on,on,51
manquait,manquer,18
de,de,81
bois,bois,21
blanc,blanc,30
à,à,81
Nantes,Nantes,20
",",",",p
et,et,82
les,le,52
vendre,vendre,14
trente,trente,72
francs,franc,21
/!,/!,P
Eugénie,Eugénie,20
écoutait,écouter,18
sans,sans,81
savoir,savoir,14
qu',que,83
elle,il,51
touchait,toucher,18
au,à,81
au,le,71
moment,moment,21
le,le,71
plus,plus,60
solennel,solennel,30
de,de,81
sa,son,73
vie,vie,22
",",",",p
et,et,82
que,que,83
le,le,71
notaire,notaire,21
allait,aller,18
faire,faire,14
prononcer,prononcer,14
sur,sur,81
elle,il,51
un,un,71
arrêt,arrêt,21
paternel,paternel,30
et,et,82
souverain,souverain,30
/.,/.,P
Grandet,Grandet,20
était,être,18
arrivé,arriver,12
aux,à,81
aux,le,71
magnifiques,magnifique,30
prairies,prairie,22
qu',que,52
il,il,51
possédait,posséder,18
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
Loire,Loire,20
",",",",p
et,et,82
où,où,60
trente,trente,72
ouvriers,ouvrier,21
s',se,51
occupaient,occuper,18
à,à,81
déblayer,déblayer,14
",",",",p
combler,combler,14
",",",",p
niveler,niveler,14
les,le,71
emplacements,emplacement,21
autrefois,autrefois,60
pris,pris,31
par,par,81
les,le,71
peupliers,peuplier,21
/.,/.,P
-,-,p
maître,maître,21
Cruchot,Cruchot,20
",",",",p
voyez,voir,17
ce,ce,52
qu',que,52
un,un,71
peuplier,peuplier,21
prend,prendre,17
de,de,81
terrain,terrain,21
",",",",p
dit,dire,19
il,il,51
au,à,81
au,le,71
notaire,notaire,21
/.,/.,P
Jean,Jean,20
",",",",p
cria,crier,19
t,t,94
il,il,51
à,à,81
un,un,71
ouvrier,ouvrier,21
me,je,51
…,…,p
me,je,51
…,…,p
mesure,mesurer,17
avec,avec,81
ta,ton,73
toise,toise,22
dans,dans,81
tou,tout,75
…,…,p
tou,tout,75
…,…,p
tous,tout,75
les,le,71
sens,sens,21
/?,/?,P
quatre,quatre,72
fois,fois,22
huit,huit,72
pieds,pied,21
",",",",p
répondit,répondre,19
l',le,71
ouvrier,ouvrier,21
après,après,81
avoir,avoir,14
fini,finir,12
/.,/.,P
-,-,p
trente-,trente,72
deux,deux,72
pieds,pied,21
de,de,81
perte,perte,22
",",",",p
dit,dire,19
Grandet,Grandet,20
à,à,81
Cruchot,Cruchot,20
/.,/.,P
j',je,51
avais,avoir,18
sur,sur,81
cette,ce,74
ligne,ligne,22
trois,trois,72
cents,cent,72
peupliers,peuplier,21
",",",",p
pas,pas,60
vrai,vrai,60
/?,/?,P
or,or,82
…,…,p
trois,trois,72
ce,ce,74
…,…,p
ce,ce,74
…,…,p
ce,ce,74
…,…,p
cent,cent,72
fois,fois,22
trente,trente,72
d,d,21
…,…,p
eux,ils,51
pie,pie,22
…,…,p
pieds,pied,21
me,je,51
man,man,21
…,…,p
man,man,21
…,…,p
man,man,21
…,…,p
mangeaient,manger,18
cinq,cinq,72
…,…,p
inq,cinq,72
cents,cent,72
de,de,81
foin,foin,21
;,;,p
ajoutez,ajouter,17
deux,deux,72
fois,fois,22
autant,autant,60
sur,sur,81
les,le,71
côtés,côté,21
",",",",p
quinze,quinze,72
cents,cent,72
;,;,p
les,le,71
rangées,rangée,22
du,de,81
du,le,71
milieu,milieu,21
autant,autant,60
/.,/.,P
alors,alors,60
",",",",p
mé,mettre,17
…,…,p
mé,mettre,17
…,…,p
mettons,mettre,17
mille,mille,72
bottes,botte,22
de,de,81
foin,foin,21
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
dit,dire,19
Cruchot,Cruchot,20
pour,pour,81
aider,aider,14
son,son,73
ami,ami,21
",",",",p
mille,mille,72
bottes,botte,22
de,de,81
ce,ce,74
foin,foin,21
là,là,60
valent,valoir,17
environ,environ,60
six,six,72
cents,cent,72
francs,franc,21
/.,/.,P
-,-,p
di…,dire,17
di…,dire,17
dites,dit,31
dou…,douze,72
ou,ou,82
ouze,douze,72
cents,cent,72
à,à,81
cause,cause,22
des,de,81
des,le,71
trois,trois,72
à,à,81
quatre,quatre,72
cents,cent,72
francs,franc,21
de,de,81
regain,regain,21
/.,/.,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
ca…,calculer,17
ca…,calculer,17
calculez,calculer,17
ce,ce,52
que,que,52
que,que,52
que,que,52
dou…,douze,72
ouze,douze,72
cents,cent,72
francs,franc,21
par,par,81
an,an,21
pen…,pendant,81
pendant,pendant,81
quarante,quarante,72
ans,an,21
do…,donner,17
donnent,donner,17
a…,avec,81
a…,avec,81
avec,avec,81
les,le,71
in…,intérêt,21
in…,intérêt,21
intérêts,intérêt,21
com…,composé,31
com…,composé,31
composés,composé,31
que,que,52
que,que,52
que,que,52
vouous,vous,51
saaavez,savoir,17
/.,/.,P
-,-,p
va,aller,17
pour,pour,81
soixante,soixante,72
mille,mille,72
francs,franc,21
",",",",p
dit,dire,19
le,le,71
notaire,notaire,21
/.,/.,P
-,-,p
je,je,51
le,le,52
veux,vouloir,17
bien,bien,60
!,!,p
ça,ça,52
ne,ne,60
ne,ne,60
ne,ne,60
fera,faire,15
que,que,83
que,que,83
que,que,83
soixante,soixante,72
mille,mille,72
francs,franc,21
/.,/.,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
reprit,reprendre,19
le,le,71
vigneron,vigneron,21
sans,sans,81
bégayer,bégayer,14
",",",",p
deux,deux,72
mille,mille,72
peupliers,peuplier,21
de,de,81
quarante,quarante,72
ans,an,21
ne,ne,60
me,je,51
donneraient,donner,16
pas,pas,60
cinquante,cinquante,72
mille,mille,72
francs,franc,21
/.,/.,P
il,il,51
y,y,52
a,avoir,17
perte,perte,22
/.,/.,P
j',je,51
ai,avoir,17
trouvé,trouver,12
ça,ça,52
",",",",p
moi,moi,51
",",",",p
dit,dire,19
Grandet,Grandet,20
en,en,81
se,se,51
dressant,dresser,13
sur,sur,81
ses,son,73
ergots,ergot,21
/.,/.,P
Jean,Jean,20
",",",",p
reprit,reprendre,19
il,il,51
",",",",p
tu,tu,51
combleras,combler,15
les,le,71
trous,trou,21
",",",",p
excepté,excepté,81
du,de,81
du,le,71
côté,côté,21
de,de,81
la,le,71
Loire,Loire,20
",",",",p
où,où,60
tu,tu,51
planteras,planter,15
les,le,71
peupliers,peuplier,21
que,que,52
j',je,51
ai,avoir,17
achetés,acheter,12
/.,/.,P
en,en,81
les,le,52
mettant,mettre,13
dans,dans,81
la,le,71
rivière,rivière,22
",",",",p
ils,ils,51
se,se,51
nourriront,nourrir,15
aux,à,81
aux,le,71
frais,frais,21
du,de,81
du,le,71
gouvernement,gouvernement,21
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
en,en,81
se,se,51
tournant,tourner,13
vers,vers,81
Cruchot,Cruchot,20
et,et,82
imprimant,imprimer,13
à,à,81
la,le,71
loupe,loupe,22
de,de,81
son,son,73
nez,nez,21
un,un,71
léger,léger,30
mouvement,mouvement,21
qui,qui,52
valait,valoir,18
le,le,71
plus,plus,60
ironique,ironique,30
des,de,81
des,le,71
sourires,sourire,21
/.,/.,P
-,-,p
cela,cela,52
est,être,17
clair,clair,30
:,:,p
les,le,71
peupliers,peuplier,21
ne,ne,60
doivent,devoir,17
se,se,51
planter,planter,14
que,que,83
sur,sur,81
les,le,71
terres,terre,22
maigres,maigre,30
",",",",p
dit,dire,19
Cruchot,Cruchot,20
stupéfait,stupéfait,30
par,par,81
les,le,71
calculs,calcul,21
de,de,81
Grandet,Grandet,20
/.,/.,P
-,-,p
o-ui,oui,60
",",",",p
monsieur,monsieur,21
",",",",p
répondit,répondre,19
ironiquement,ironiquement,60
le,le,71
tonnelier,tonnelier,21
/.,/.,P
Eugénie,Eugénie,20
",",",",p
qui,qui,52
regardait,regarder,18
le,le,71
sublime,sublime,30
paysage,paysage,21
de,de,81
la,le,71
Loire,Loire,20
sans,sans,81
écouter,écouter,14
les,le,71
calculs,calcul,21
de,de,81
son,son,73
père,père,21
",",",",p
prêta,prêter,19
bientôt,bientôt,60
l',le,71
oreille,oreille,22
aux,à,81
aux,le,71
discours,discours,21
de,de,81
Cruchot,Cruchot,20
en,en,81
l',le,52
entendant,entendre,13
dire,dire,14
à,à,81
son,son,73
client,client,21
:,:,p
-,-,p
hé,hé,93
!,!,p
bien,bien,60
",",",",p
vous,vous,51
avez,avoir,17
fait,faire,12
venir,venir,14
un,un,71
gendre,gendre,21
de,de,81
Paris,Paris,20
",",",",p
il,il,51
n',ne,60
est,être,17
question,question,22
que,que,83
de,de,81
votre,votre,73
neveu,neveu,21
dans,dans,81
tout,tout,75
Saumur,Saumur,20
/.,/.,P
je,je,51
vais,aller,17
bientôt,bientôt,60
avoir,avoir,14
un,un,71
contrat,contrat,21
à,à,81
dresser,dresser,14
",",",",p
père,père,21
Grandet,Grandet,20
/.,/.,P
-,-,p
vous,vous,51
…,…,p
ou,ou,82
vous,vous,51
êtes,être,17
so…,sortir,12
so…,so…,31
orti,sortir,12
de,de,81
bo…,bon,30
bonne,bon,30
heure,heure,22
pooour,pour,81
me,je,51
dire,dire,14
ça,ça,52
",",",",p
reprit,reprendre,19
Grandet,Grandet,20
en,en,81
accompagnant,accompagner,13
cette,ce,74
réflexion,réflexion,22
d',de,81
un,un,71
mouvement,mouvement,21
de,de,81
sa,son,73
loupe,loupe,22
/.,/.,P
hé,hé,93
!,!,p
bien,bien,60
",",",",p
mon,mon,73
vieux,vieux,30
camaaaarade,camarade,21
",",",",p
je,je,51
serai,être,16
franc,franc,30
",",",",p
et,et,82
je,je,51
vous,vous,51
dirai,dire,15
ce,ce,52
que,que,52
vooous,vous,51
voooulez,vouloir,17
sa…,savoir,14
savoir,savoir,14
/.,/.,P
j',je,51
aimerais,aimer,16
mieux,mieux,60
",",",",p
voyez,voir,17
vooous,vous,51
",",",",p
je…,jeter,14
jeter,jeter,14
ma,mon,73
fi…,fille,22
fi…,fille,22
fille,fille,22
dans,dans,81
la,le,71
Loire,Loire,20
que,que,83
de,de,81
la,le,52
dooonner,donner,14
à,à,81
son,son,73
cououousin,cousin,21
:,:,p
vous,vous,51
pou…,pouvoir,17
pou…,pouvoir,17
ouvez,pouvoir,17
aaannoncer,annoncer,14
ça,ça,52
/.,/.,P
mais,mais,82
non,non,60
",",",",p
laissez,laisser,17
jaaser,jaser,14
le,le,71
mon,mon,73
…,…,p
onde,onde,22
/.,/.,P
cette,ce,74
réponse,réponse,22
causa,causer,19
des,de,81
des,le,71
éblouissements,éblouissement,21
à,à,81
Eugénie,Eugénie,20
/.,/.,P
les,le,71
lointaines,lointain,30
espérances,espérance,22
qui,qui,52
pour,pour,81
elle,il,51
commençaient,commencer,18
à,à,81
poindre,poindre,14
dans,dans,81
son,son,73
coeur,coeur,21
fleurirent,fleurir,19
soudain,soudain,60
",",",",p
se,se,51
réalisèrent,réaliser,19
et,et,82
formèrent,former,19
un,un,71
faisceau,faisceau,21
de,de,81
fleurs,fleur,22
qu',que,83
elle,il,51
vit,voir,19
coupées,coupé,31
et,et,82
gisant,gésir,13
à,à,81
terre,terre,22
/.,/.,P
depuis,depuis,81
la,le,71
veille,veille,22
",",",",p
elle,il,51
s',se,51
attachait,attacher,18
à,à,81
Charles,Charles,20
par,par,81
tous,tout,75
les,le,71
liens,lien,21
de,de,81
bonheur,bonheur,21
qui,qui,52
unissent,unir,17
les,le,71
âmes,âme,22
;,;,p
désormais,désormais,60
la,le,71
souffrance,souffrance,22
allait,aller,18
donc,donc,82
les,le,52
corroborer,corroborer,14
/.,/.,P
n',ne,60
est,être,17
il,il,51
pas,pas,60
dans,dans,81
la,le,71
noble,noble,30
destinée,destinée,22
de,de,81
la,le,71
femme,femme,22
d',de,81
être,être,14
plus,plus,60
touchée,toucher,12
des,de,81
des,le,71
pompes,pompe,22
de,de,81
la,le,71
misère,misère,22
que,que,83
des,de,81
des,le,71
splendeurs,splendeur,22
de,de,81
la,le,71
fortune,fortune,22
/?,/?,P
comment,comment,60
le,le,71
sentiment,sentiment,21
paternel,paternel,30
avait,avoir,18
il,il,51
pu,pouvoir,12
s',se,51
éteindre,éteindre,14
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
de,de,81
son,son,73
père,père,21
?,?,p
de,de,81
quel,quel,75
crime,crime,21
Charles,Charles,20
était,être,18
il,il,51
donc,donc,82
coupable,coupable,30
/?,/?,P
questions,question,22
mystérieuses,mystérieux,30
/!,/!,P
déjà,déjà,60
son,son,73
amour,amour,21
naissant,naissant,30
",",",",p
mystère,mystère,21
si,si,60
profond,profond,30
",",",",p
s',se,51
enveloppait,envelopper,18
de,de,81
mystères,mystère,21
/.,/.,P
elle,il,51
revint,revenir,19
tremblant,trembler,13
sur,sur,81
ses,son,73
jambes,jambe,22
",",",",p
et,et,82
en,en,81
arrivant,arriver,13
à,à,81
la,le,71
vieille,vieux,30
rue,rue,22
sombre,sombre,30
",",",",p
si,si,60
joyeuse,joyeux,30
pour,pour,81
elle,il,51
",",",",p
elle,il,51
la,le,52
trouva,trouver,19
d',de,81
un,un,71
aspect,aspect,21
triste,triste,30
",",",",p
elle,il,51
y,y,52
respira,respirer,19
la,le,71
mélancolie,mélancolie,22
que,que,52
les,le,71
temps,temps,21
et,et,82
les,le,71
choses,chose,22
y,y,52
avaient,avoir,18
imprimée,imprimer,12
/.,/.,P
aucun,aucun,52
des,de,81
des,le,71
enseignements,enseignement,21
de,de,81
l',le,71
amour,amour,21
ne,ne,60
lui,lui,51
manquait,manquer,18
/.,/.,P
à,à,81
quelques,quelque,75
pas,pas,21
du,de,81
du,le,71
logis,logis,21
",",",",p
elle,il,51
devança,devancer,19
son,son,73
père,père,21
et,et,82
l',le,52
attendit,attendre,19
à,à,81
la,le,71
porte,porte,22
après,après,81
y,y,52
avoir,avoir,14
frappé,frapper,12
/.,/.,P
mais,mais,82
Grandet,Grandet,20
",",",",p
qui,qui,52
voyait,voir,18
dans,dans,81
la,le,71
main,main,22
du,de,81
du,le,71
notaire,notaire,21
un,un,71
journal,journal,21
encore,encore,60
sous,sous,81
bande,bande,22
",",",",p
lui,lui,51
avait,avoir,18
dit,dire,12
:,:,p
-,-,p
où,où,60
en,en,52
sont,être,17
les,le,71
fonds,fonds,21
/?,/?,P
vous,vous,51
ne,ne,60
voulez,vouloir,17
pas,pas,60
m',je,51
écouter,écouter,14
",",",",p
Grandet,Grandet,20
",",",",p
lui,lui,51
répondit,répondre,19
Cruchot,Cruchot,20
/.,/.,P
achetez,acheter,17
en,en,52
vite,vite,60
",",",",p
il,il,51
y,y,52
a,avoir,17
encore,encore,60
vingt,vingt,72
pour,pour,81
cent,cent,72
à,à,81
gagner,gagner,14
en,en,81
deux,deux,72
ans,an,21
",",",",p
outre,outre,81
les,le,71
intérêts,intérêt,21
à,à,81
un,un,71
excellent,excellent,30
taux,taux,21
",",",",p
cinq,cinq,72
mille,mille,72
livres,livre,22
de,de,81
rente,rente,22
pour,pour,81
quatre,quatre,72
vingt,vingt,72
mille,mille,72
francs,franc,21
/.,/.,P
les,le,71
fonds,fonds,21
sont,être,17
à,à,81
quatre,quatre,72
vingts,vingt,72
francs,franc,21
cinquante,cinquante,72
centimes,centime,21
/.,/.,P
-,-,p
nous,nous,51
verrons,voir,15
cela,cela,52
",",",",p
répondit,répondre,19
Grandet,Grandet,20
en,en,81
se,se,51
frottant,frotter,13
le,le,71
menton,menton,21
/.,/.,P
-,-,p
mon,mon,73
dieu,dieu,21
!,!,p
dit,dire,19
le,le,71
notaire,notaire,21
/.,/.,P
-,-,p
hé,hé,93
!,!,p
bien,bien,60
",",",",p
quoi,quoi,52
?,?,p
s',se,51
écria,écrier,19
Grandet,Grandet,20
au,à,81
au,le,71
moment,moment,21
où,où,60
Cruchot,Cruchot,20
lui,lui,51
mettait,mettre,18
le,le,71
journal,journal,21
sous,sous,81
les,le,71
yeux,oeil,21
en,en,81
