11756
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatorzième extrait>,<>,<>
carrées,carré,31
",",",",p
de,de,81
cuir,cuir,21
ou,ou,82
de,de,81
toile,toile,22
;,;,p
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
huttes,hutte,22
en,en,81
roseaux,roseau,21
et,et,82
des,de,81
des,le,71
trous,trou,21
dans,dans,81
le,le,71
sable,sable,21
comme,comme,83
en,en,52
font,faire,17
les,le,71
chiens,chien,21
/.,/.,P
les,le,71
soldats,soldat,21
charriaient,charrier,18
des,de,81
des,le,71
fascines,fascine,22
",",",",p
s',se,51
accoudaient,accouder,18
par,par,81
terre,terre,22
",",",",p
ou,ou,82
",",",",p
s',se,51
enroulant,enrouler,13
dans,dans,81
une,un,71
natte,natte,22
",",",",p
se,se,51
disposaient,disposer,18
à,à,81
dormir,dormir,14
;,;,p
et,et,82
le,le,71
cheval,cheval,21
de,de,81
Salammbô,Salammbô,20
",",",",p
pour,pour,81
passer,passer,14
par-dessus,par-dessus,60
",",",",p
quelquefois,quelquefois,60
allongeait,allonger,18
une,un,71
jambe,jambe,22
et,et,82
sautait,sauter,18
/.,/.,P
elle,il,51
se,se,51
rappelait,rappeler,18
les,le,52
avoir,avoir,14
déjà,déjà,60
vus,voir,12
;,;,p
mais,mais,82
leurs,leur,73
barbes,barbe,22
étaient,être,18
plus,plus,60
longues,long,30
",",",",p
leurs,leur,73
figures,figure,22
encore,encore,60
plus,plus,60
noires,noir,30
",",",",p
leurs,leur,73
voix,voix,22
plus,plus,60
rauques,rauque,30
/.,/.,P
Mâtho,Mâtho,20
",",",",p
en,en,81
marchant,marcher,13
devant,devant,81
elle,il,51
",",",",p
les,le,52
écartait,écarter,18
par,par,81
un,un,71
geste,geste,21
de,de,81
son,son,73
bras,bras,21
qui,qui,52
soulevait,soulever,18
son,son,73
manteau,manteau,21
rouge,rouge,30
/.,/.,P
quelques-uns,quelqu'un,52
baisaient,baiser,18
ses,son,73
mains,main,22
;,;,p
d',de,81
autres,autre,52
",",",",p
en,en,81
pliant,plier,13
l',le,71
échine,échine,22
",",",",p
l',le,52
abordaient,aborder,18
pour,pour,81
lui,lui,51
demander,demander,14
des,de,81
des,le,71
ordres,ordre,21
;,;,p
car,car,82
il,il,51
était,être,18
maintenant,maintenant,60
le,le,71
véritable,véritable,30
",",",",p
le,le,71
seul,seul,30
chef,chef,21
des,de,81
des,le,71
barbares,barbare,21
;,;,p
Spendius,Spendius,20
",",",",p
Autharite,Autharite,20
et,et,82
Narr'Havas,Narr'Havas,20
étaient,être,18
découragés,décourager,12
",",",",p
et,et,82
il,il,51
avait,avoir,18
montré,montrer,12
tant,tant,60
d',de,81
audace,audace,22
et,et,82
d',de,81
obstination,obstination,22
que,que,52
tous,tout,52
lui,lui,51
obéissaient,obéir,18
/.,/.,P
Salammbô,Salammbô,20
",",",",p
en,en,81
le,le,52
suivant,suivre,13
",",",",p
traversa,traverser,19
le,le,71
camp,camp,21
entier,entier,30
/.,/.,P
sa,son,73
tente,tente,22
était,être,18
au,à,81
au,le,71
bout,bout,21
",",",",p
à,à,81
trois,trois,72
cents,cent,72
pas,pas,21
du,de,81
du,le,71
retranchement,retranchement,21
d',de,81
Hamilcar,Hamilcar,20
/.,/.,P
elle,il,51
remarqua,remarquer,19
sur,sur,81
la,le,71
droite,droite,22
une,un,71
large,large,30
fosse,fosse,22
",",",",p
et,et,82
il,il,51
lui,lui,51
sembla,sembler,19
que,que,83
des,de,81
des,le,71
visages,visage,21
posaient,poser,18
contre,contre,81
le,le,71
bord,bord,21
",",",",p
au,à,81
au,le,71
niveau,niveau,21
du,de,81
du,le,71
sol,sol,21
",",",",p
comme,comme,83
eussent,avoir,18
fait,faire,12
des,de,81
des,le,71
têtes,tête,22
coupées,coupé,31
/.,/.,P
cependant,cependant,82
leurs,leur,73
yeux,oeil,21
remuaient,remuer,18
",",",",p
et,et,82
de,de,81
ces,ce,74
bouches,bouche,22
entrouvertes,entrouvert,31
il,il,51
s',se,51
échappait,échapper,18
des,de,81
des,le,71
gémissements,gémissement,21
en,en,81
langage,langage,21
punique,punique,30
/.,/.,P
deux,deux,72
nègres,nègre,21
",",",",p
portant,porter,13
des,de,81
des,le,71
fanaux,fanal,21
de,de,81
résine,résine,22
",",",",p
se,se,51
tenaient,tenir,18
aux,à,81
aux,le,71
deux,deux,72
côtés,côté,21
de,de,81
la,le,71
porte,porte,22
/.,/.,P
Mâtho,Mâtho,20
écarta,écarter,19
la,le,71
toile,toile,22
brusquement,brusquement,60
/.,/.,P
elle,il,51
le,le,52
suivit,suivre,19
/.,/.,P
c',ce,52
était,être,18
une,un,71
tente,tente,22
profonde,profond,30
",",",",p
avec,avec,81
un,un,71
mât,mât,21
dressé,dressé,31
au,à,81
au,le,71
milieu,milieu,21
/.,/.,P
un,un,71
grand,grand,30
lampadaire,lampadaire,21
en,en,81
forme,forme,22
de,de,81
lotus,lotus,21
l',le,52
éclairait,éclairer,18
",",",",p
tout,tout,60
plein,plein,30
d',de,81
une,un,71
huile,huile,22
jaune,jaune,30
où,où,60
flottaient,flotter,18
des,de,81
des,le,71
poignées,poignée,22
d',de,81
étoupes,étoupe,22
",",",",p
et,et,82
on,on,51
distinguait,distinguer,18
dans,dans,81
l',le,71
ombre,ombre,22
des,de,81
des,le,71
choses,chose,22
militaires,militaire,30
qui,qui,52
reluisaient,reluire,18
/.,/.,P
un,un,71
glaive,glaive,21
nu,nu,30
s',se,51
appuyait,appuyer,18
contre,contre,81
un,un,71
escabeau,escabeau,21
",",",",p
près,près,81
d',de,81
un,un,71
bouclier,bouclier,21
;,;,p
des,de,81
des,le,71
fouets,fouet,21
en,en,81
cuir,cuir,21
d',de,81
hippopotame,hippopotame,21
",",",",p
des,de,81
des,le,71
cymbales,cymbale,22
",",",",p
des,de,81
des,le,71
grelots,grelot,21
",",",",p
des,de,81
des,le,71
colliers,collier,21
s',se,51
étalaient,étaler,18
pêle-mêle,pêle-mêle,60
sur,sur,81
des,de,81
des,le,71
corbeilles,corbeille,22
en,en,81
sparterie,sparterie,22
;,;,p
les,le,71
miettes,miette,22
d',de,81
un,un,71
pain,pain,21
noir,noir,30
salissaient,salir,18
une,un,71
couverture,couverture,22
de,de,81
feutre,feutre,21
;,;,p
dans,dans,81
un,un,71
coin,coin,21
",",",",p
sur,sur,81
une,un,71
pierre,pierre,22
ronde,rond,30
",",",",p
de,de,81
la,le,71
monnaie,monnaie,22
de,de,81
cuivre,cuivre,21
était,être,18
négligemment,négligemment,60
amoncelée,amonceler,12
",",",",p
et,et,82
",",",",p
par,par,81
les,le,71
déchirures,déchirure,22
de,de,81
la,le,71
toile,toile,22
",",",",p
le,le,71
vent,vent,21
apportait,apporter,18
la,le,71
poussière,poussière,22
du,de,81
du,le,71
dehors,dehors,21
avec,avec,81
la,le,71
senteur,senteur,22
des,de,81
des,le,71
éléphants,éléphant,21
",",",",p
que,que,52
l',l',94
on,on,51
entendait,entendre,18
manger,manger,14
",",",",p
tout,tout,60
en,en,81
secouant,secouer,13
leurs,leur,73
chaînes,chaîne,22
/.,/.,P
-,-,p
“,“,p
qui,qui,52
es,être,17
tu,tu,51
?,?,p
dit,dire,19
Mâtho,Mâtho,20
/.,/.,P
sans,sans,81
répondre,répondre,14
",",",",p
elle,il,51
regardait,regarder,18
autour,autour,60
d',de,81
elle,il,51
",",",",p
lentement,lentement,60
",",",",p
puis,puis,60
ses,son,73
yeux,oeil,21
s',se,51
arrêtèrent,arrêter,19
au,à,81
au,le,71
fond,fond,21
",",",",p
où,où,60
",",",",p
sur,sur,81
un,un,71
lit,lit,21
en,en,81
branches,branche,22
de,de,81
palmier,palmier,21
",",",",p
retombait,retomber,18
quelque,quelque,75
chose,chose,22
de,de,81
bleuâtre,bleuâtre,30
et,et,82
de,de,81
scintillant,scintillant,30
/.,/.,P
elle,il,51
s',se,51
avança,avancer,19
vivement,vivement,60
/.,/.,P
un,un,71
cri,cri,21
lui,lui,51
échappa,échapper,19
/.,/.,P
Mâtho,Mâtho,20
",",",",p
derrière,derrière,81
elle,il,51
",",",",p
frappait,frapper,18
du,de,81
du,le,71
pied,pied,21
/.,/.,P
-,-,p
“,“,p
qui,qui,52
t',tu,51
amène,amener,17
?,?,p
pourquoi,pourquoi,60
viens,venir,17
tu,tu,51
/?,/?,P
elle,il,51
répondit,répondre,19
en,en,81
montrant,montrer,13
le,le,71
zaïmph,zaïmph,21
:,:,p
-,-,p
“,“,p
pour,pour,81
le,le,52
prendre,prendre,14
!,!,p
et,et,82
de,de,81
l',le,71
autre,autre,75
main,main,22
elle,il,51
arracha,arracher,19
les,le,71
voiles,voile,21
de,de,81
sa,son,73
tête,tête,22
/.,/.,P
il,il,51
se,se,51
recula,reculer,19
",",",",p
les,le,71
coudes,coude,21
en,en,81
arrière,arrière,21
",",",",p
béant,béant,30
",",",",p
presque,presque,60
terrifié,terrifié,31
/.,/.,P
elle,il,51
se,se,51
tenait,tenir,18
comme,comme,83
appuyée,appuyé,31
sur,sur,81
la,le,71
force,force,22
des,de,81
des,le,71
dieux,dieu,21
;,;,p
et,et,82
",",",",p
le,le,71
regardant,regarder,13
face,face,22
à,à,81
face,face,22
",",",",p
elle,il,51
lui,lui,51
demanda,demander,19
le,le,71
zaïmph,zaïmph,21
;,;,p
elle,il,51
le,le,52
réclamait,réclamer,18
en,en,81
paroles,parole,22
abondantes,abondant,30
et,et,82
superbes,superbe,30
/.,/.,P
Mâtho,Mâtho,20
n',ne,60
entendait,entendre,18
pas,pas,60
;,;,p
il,il,51
la,le,52
contemplait,contempler,18
",",",",p
et,et,82
les,le,71
vêtements,vêtement,21
",",",",p
pour,pour,81
lui,lui,51
",",",",p
se,se,51
confondaient,confondre,18
avec,avec,81
le,le,71
corps,corps,21
/.,/.,P
la,le,71
moire,moire,22
des,de,81
des,le,71
étoffes,étoffe,22
était,être,18
",",",",p
comme,comme,83
la,le,71
splendeur,splendeur,22
de,de,81
sa,son,73
peau,peau,22
",",",",p
quelque,quelque,75
chose,chose,22
de,de,81
spécial,spécial,30
et,et,82
n',ne,60
appartenant,appartenir,13
qu',que,83
à,à,81
elle,il,51
/.,/.,P
ses,son,73
yeux,oeil,21
",",",",p
ses,son,73
diamants,diamant,21
étincelaient,étinceler,18
;,;,p
le,le,71
poli,poli,21
de,de,81
ses,son,73
ongles,ongle,21
continuait,continuer,18
la,le,71
finesse,finesse,22
des,de,81
des,le,71
pierres,pierre,22
qui,qui,52
chargeaient,charger,18
ses,son,73
doigts,doigt,21
;,;,p
les,le,71
deux,deux,72
agrafes,agrafe,22
de,de,81
sa,son,73
tunique,tunique,22
",",",",p
soulevant,soulever,13
un,un,71
peu,peu,60
de,de,81
ses,son,73
seins,sein,21
",",",",p
les,le,52
rapprochaient,rapprocher,18
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
",",",",p
et,et,82
il,il,51
se,se,51
perdait,perdre,18
par,par,81
la,le,71
pensée,pensée,22
dans,dans,81
leur,leur,73
étroit,étroit,30
intervalle,intervalle,21
",",",",p
où,où,60
descendait,descendre,18
un,un,71
fil,fil,21
tenant,tenir,13
une,un,71
plaque,plaque,22
d',de,81
émeraudes,émeraude,22
",",",",p
que,que,52
l',l',94
on,on,51
apercevait,apercevoir,18
plus,plus,60
bas,bas,60
sous,sous,81
la,le,71
gaze,gaze,22
violette,violet,30
/.,/.,P
elle,il,51
avait,avoir,18
pour,pour,81
pendants,pendant,21
d',de,81
oreilles,oreille,22
deux,deux,72
petites,petit,30
balances,balance,22
de,de,81
saphir,saphir,21
supportant,supporter,13
une,un,71
perle,perle,22
creuse,creux,30
",",",",p
pleine,plein,30
d',de,81
un,un,71
parfum,parfum,21
liquide,liquider,17
/.,/.,P
par,par,81
les,le,71
trous,trou,21
de,de,81
la,le,71
perle,perle,22
",",",",p
de,de,81
moment,moment,21
en,en,81
moment,moment,21
",",",",p
une,un,71
gouttelette,gouttelette,22
qui,qui,52
tombait,tomber,18
mouillait,mouiller,18
son,son,73
épaule,épaule,22
nue,nu,30
/.,/.,P
Mâtho,Mâtho,20
la,le,52
regardait,regarder,18
tomber,tomber,14
/.,/.,P
une,un,71
curiosité,curiosité,22
indomptable,indomptable,30
l',le,52
entraîna,entraîner,19
;,;,p
et,et,82
",",",",p
comme,comme,83
un,un,71
enfant,enfant,21
qui,qui,52
porte,porter,17
la,le,71
main,main,22
sur,sur,81
un,un,71
fruit,fruit,21
inconnu,inconnu,30
",",",",p
tout,tout,60
en,en,81
tremblant,trembler,13
",",",",p
du,de,81
du,le,71
bout,bout,21
de,de,81
son,son,73
doigt,doigt,21
",",",",p
il,il,51
la,le,52
toucha,toucher,19
légèrement,légèrement,60
sur,sur,81
le,le,71
haut,haut,21
de,de,81
sa,son,73
poitrine,poitrine,22
;,;,p
la,le,71
chair,chair,22
un,un,71
peu,peu,60
froide,froid,30
céda,céder,19
avec,avec,81
une,un,71
résistance,résistance,22
élastique,élastique,30
/.,/.,P
ce,ce,74
contact,contact,21
",",",",p
à,à,81
peine,peine,22
sensible,sensible,30
pourtant,pourtant,60
",",",",p
ébranla,ébranler,19
Mâtho,Mâtho,20
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
de,de,81
lui-même,lui-même,51
/.,/.,P
un,un,71
soulèvement,soulèvement,21
de,de,81
tout,tout,75
son,son,73
être,être,21
le,le,52
précipitait,précipiter,18
vers,vers,81
elle,il,51
/.,/.,P
il,il,51
aurait,avoir,16
voulu,vouloir,12
l',le,52
envelopper,envelopper,14
",",",",p
l',le,52
absorber,absorber,14
",",",",p
la,le,52
boire,boire,14
/.,/.,P
sa,son,73
poitrine,poitrine,22
haletait,haleter,18
",",",",p
il,il,51
claquait,claquer,18
des,de,81
des,le,71
dents,dent,22
/.,/.,P
en,en,81
la,le,52
prenant,prendre,13
par,par,81
les,le,71
deux,deux,72
poignets,poignet,21
",",",",p
il,il,51
l',le,52
attira,attirer,19
doucement,doucement,60
",",",",p
et,et,82
il,il,51
s',se,51
assit,asseoir,19
alors,alors,60
sur,sur,81
une,un,71
cuirasse,cuirasse,22
",",",",p
près,près,81
du,de,81
du,le,71
lit,lit,21
de,de,81
palmier,palmier,21
que,que,52
couvrait,couvrir,18
une,un,71
peau,peau,22
de,de,81
lion,lion,21
/.,/.,P
elle,il,51
était,être,18
debout,debout,60
/.,/.,P
il,il,51
la,le,52
regardait,regarder,18
de,de,81
bas,bas,21
en,en,81
haut,haut,21
",",",",p
en,en,81
la,le,52
tenant,tenir,13
ainsi,ainsi,60
entre,entre,81
ses,son,73
jambes,jambe,22
",",",",p
et,et,82
il,il,51
répétait,répéter,18
:,:,p
-,-,p
“,“,p
comme,comme,83
tu,tu,51
es,être,17
belle,beau,30
!,!,p
comme,comme,83
tu,tu,51
es,être,17
belle,beau,30
/!,/!,P
ses,son,73
yeux,oeil,21
continuellement,continuellement,60
fixés,fixé,31
sur,sur,81
les,le,71
siens,sien,52
la,le,52
faisaient,faire,18
souffrir,souffrir,14
;,;,p
et,et,82
ce,ce,74
malaise,malaise,21
",",",",p
cette,ce,74
répugnance,répugnance,22
augmentaient,augmenter,18
d',de,81
une,un,71
façon,façon,22
si,si,60
aiguë,aigu,30
que,que,83
Salammbô,Salammbô,20
se,se,51
retenait,retenir,18
pour,pour,81
ne,ne,60
pas,pas,60
crier,crier,14
/.,/.,P
la,le,71
pensée,pensée,22
de,de,81
Schahabarim,Schahabarim,20
lui,lui,51
revint,revenir,19
;,;,p
elle,il,51
se,se,51
résigna,résigner,19
/.,/.,P
Mâtho,Mâtho,20
gardait,garder,18
toujours,toujours,60
ses,son,73
petites,petit,30
mains,main,22
dans,dans,81
les,le,71
siennes,sien,52
;,;,p
et,et,82
",",",",p
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
malgré,malgré,81
l',le,71
ordre,ordre,21
du,de,81
du,le,71
prêtre,prêtre,21
",",",",p
en,en,81
tournant,tourner,13
le,le,71
visage,visage,21
",",",",p
elle,il,51
tâchait,tâcher,18
de,de,81
l',le,52
écarter,écarter,14
avec,avec,81
des,de,81
des,le,71
secousses,secousse,22
de,de,81
ses,son,73
bras,bras,21
/.,/.,P
il,il,51
ouvrait,ouvrir,18
les,le,71
narines,narine,22
pour,pour,81
mieux,mieux,60
humer,humer,14
le,le,71
parfum,parfum,21
s',se,51
exhalant,exhaler,13
de,de,81
sa,son,73
personne,personne,22
/.,/.,P
c',ce,52
était,être,18
une,un,71
émanation,émanation,22
indéfinissable,indéfinissable,30
",",",",p
fraîche,frais,30
",",",",p
et,et,82
cependant,cependant,82
qui,qui,52
étourdissait,étourdir,18
comme,comme,83
la,le,71
fumée,fumée,22
d',de,81
une,un,71
cassolette,cassolette,22
/.,/.,P
elle,il,51
sentait,sentir,18
le,le,71
miel,miel,21
",",",",p
le,le,71
poivre,poivre,21
",",",",p
l',le,71
encens,encens,21
",",",",p
les,le,71
roses,rose,21
",",",",p
et,et,82
une,un,71
autre,autre,75
odeur,odeur,22
encore,encore,60
/.,/.,P
mais,mais,82
comment,comment,60
se,se,51
trouvait,trouver,18
elle,il,51
près,près,81
de,de,81
lui,lui,51
",",",",p
dans,dans,81
sa,son,73
tente,tente,22
",",",",p
à,à,81
sa,son,73
discrétion,discrétion,22
/?,/?,P
quelqu'un,quelqu'un,52
",",",",p
sans,sans,81
doute,doute,21
",",",",p
l',le,52
avait,avoir,18
poussée,pousser,12
/?,/?,P
elle,il,51
n',ne,60
était,être,18
pas,pas,60
venue,venir,12
pour,pour,81
le,le,71
zaïmph,zaïmph,21
/?,/?,P
ses,son,73
bras,bras,21
retombèrent,retomber,19
",",",",p
et,et,82
il,il,51
baissa,baisser,19
la,le,71
tête,tête,22
",",",",p
accablé,accablé,31
par,par,81
une,un,71
rêverie,rêverie,22
soudaine,soudain,30
/.,/.,P
Salammbô,Salammbô,20
",",",",p
afin,afin,81
de,de,81
l',le,52
attendrir,attendrir,14
",",",",p
lui,lui,51
dit,dire,19
d',de,81
une,un,71
voix,voix,22
plaintive,plaintif,30
:,:,p
-,-,p
“,“,p
que,que,52
t',tu,51
ai,avoir,17
je,je,51
donc,donc,82
fait,faire,12
pour,pour,81
que,que,83
tu,tu,51
veuilles,vouloir,17
ma,mon,73
mort,mort,22
/?,/?,P
ta,ton,73
mort,mort,22
/!,/!,P
elle,il,51
reprit,reprendre,19
:,:,p
-,-,p
“,“,p
je,je,51
t',tu,51
ai,avoir,17
aperçu,apercevoir,12
un,un,71
soir,soir,21
",",",",p
à,à,81
la,le,71
lueur,lueur,22
de,de,81
mes,mon,73
jardins,jardin,21
qui,qui,52
brûlaient,brûler,18
",",",",p
entre,entre,81
des,de,81
des,le,71
coupes,coupe,22
fumantes,fumant,30
et,et,82
mes,mon,73
esclaves,esclave,21
égorgés,égorgé,31
",",",",p
et,et,82
ta,ton,73
colère,colère,22
était,être,18
si,si,60
forte,fort,30
que,que,83
tu,tu,51
as,avoir,17
bondi,bondir,12
vers,vers,81
moi,moi,51
et,et,82
qu',que,83
il,il,51
a,avoir,17
fallu,falloir,12
m',je,51
enfuir,enfuir,14
/!,/!,P
puis,puis,60
une,un,71
terreur,terreur,22
est,être,17
entrée,entrer,12
dans,dans,81
Carthage,Carthage,20
/.,/.,P
on,on,51
criait,crier,18
la,le,71
dévastation,dévastation,22
des,de,81
des,le,71
villes,ville,22
",",",",p
l',le,71
incendie,incendie,21
des,de,81
des,le,71
campagnes,campagne,22
",",",",p
le,le,71
massacre,massacre,21
des,de,81
des,le,71
soldats,soldat,21
;,;,p
c',ce,52
est,être,17
toi,toi,51
qui,qui,52
les,le,52
avais,avoir,18
perdus,perdre,12
",",",",p
c',ce,52
est,être,17
toi,toi,51
qui,qui,52
les,le,52
avais,avoir,18
assassinés,assassiner,12
/!,/!,P
je,je,51
te,tu,51
hais,haïr,17
/!,/!,P
ton,ton,73
nom,nom,21
seul,seul,30
me,je,51
ronge,ronger,17
comme,comme,83
un,un,71
remords,remords,21
/.,/.,P
tu,tu,51
es,être,17
plus,plus,60
exécré,exécrer,12
que,que,83
la,le,71
peste,peste,22
et,et,82
que,que,83
la,le,71
guerre,guerre,22
romaine,romain,30
/!,/!,P
les,le,71
provinces,province,22
tressaillent,tressaillir,17
de,de,81
ta,ton,73
fureur,fureur,22
",",",",p
les,le,71
sillons,sillon,21
sont,être,17
pleins,plein,30
de,de,81
cadavres,cadavre,21
/!,/!,P
j',je,51
ai,avoir,17
suivi,suivre,12
la,le,71
trace,trace,22
de,de,81
tes,ton,73
feux,feu,21
",",",",p
comme,comme,83
si,si,83
je,je,51
marchais,marcher,18
derrière,derrière,81
Moloch,Moloch,20
/!,/!,P
Mâtho,Mâtho,20
se,se,51
leva,lever,19
d',de,81
un,un,71
bond,bond,21
;,;,p
un,un,71
orgueil,orgueil,21
colossal,colossal,30
lui,lui,51
gonflait,gonfler,18
le,le,71
coeur,coeur,21
;,;,p
il,il,51
se,se,51
trouvait,trouver,18
haussé,haussé,31
à,à,81
la,le,71
taille,taille,22
d',de,81
un,un,71
dieu,dieu,21
/.,/.,P
les,le,71
narines,narine,22
battantes,battant,30
",",",",p
les,le,71
dents,dent,22
serrées,serré,31
",",",",p
elle,il,51
continuait,continuer,18
:,:,p
-,-,p
“,“,p
comme,comme,83
si,si,83
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
assez,assez,60
de,de,81
ton,ton,73
sacrilège,sacrilège,21
",",",",p
tu,tu,51
es,être,17
venu,venir,12
chez,chez,81
moi,moi,51
",",",",p
dans,dans,81
mon,mon,73
sommeil,sommeil,21
",",",",p
tout,tout,60
couvert,couvert,31
du,de,81
du,le,71
zaïmph,zaïmph,21
/!,/!,P
tes,ton,73
paroles,parole,22
",",",",p
je,je,51
ne,ne,60
les,le,52
ai,avoir,17
pas,pas,60
comprises,comprendre,12
;,;,p
mais,mais,82
je,je,51
voyais,voir,18
bien,bien,60
que,que,83
tu,tu,51
voulais,vouloir,18
m',je,51
entraîner,entraîner,14
vers,vers,81
quelque,quelque,75
chose,chose,22
d',de,81
épouvantable,épouvantable,30
",",",",p
au,à,81
au,le,71
fond,fond,21
d',de,81
un,un,71
abîme,abîme,21
/.,/.,P
“,“,p
Mâtho,Mâtho,20
",",",",p
en,en,81
se,se,51
tordant,tordre,13
les,le,71
bras,bras,21
",",",",p
s',se,51
écria,écrier,19
:,:,p
-,-,p
“,“,p
non,non,60
!,!,p
non,non,60
!,!,p
c',ce,52
était,être,18
pour,pour,81
te,tu,51
le,le,52
donner,donner,14
!,!,p
pour,pour,81
te,tu,51
le,le,52
rendre,rendre,14
/!,/!,P
il,il,51
me,je,51
semblait,sembler,18
que,que,83
la,le,71
déesse,déesse,22
avait,avoir,18
laissé,laisser,12
son,son,73
vêtement,vêtement,21
pour,pour,81
toi,toi,51
",",",",p
et,et,82
qu',que,83
il,il,51
t',tu,51
appartenait,appartenir,18
/!,/!,P
dans,dans,81
son,son,73
temple,temple,21
ou,ou,82
dans,dans,81
ta,ton,73
maison,maison,22
",",",",p
qu',que,52
importe,importer,17
?,?,p
n',ne,60
es,être,17
tu,tu,51
pas,pas,60
toute-puissante,tout-puissant,30
",",",",p
immaculée,immaculé,30
",",",",p
radieuse,radieux,30
et,et,82
belle,beau,30
comme,comme,83
Tanit,Tanit,20
/!,/!,P
et,et,82
avec,avec,81
un,un,71
regard,regard,21
plein,plein,30
d',de,81
une,un,71
adoration,adoration,22
infinie,infini,30
:,:,p
-,-,p
“,“,p
à,à,81
moins,moins,60
",",",",p
peut-être,peut-être,60
que,que,83
tu,tu,51
ne,ne,60
sois,être,17
Tanit,Tanit,20
/?,/?,P
moi,moi,51
",",",",p
Tanit,Tanit,20
!,!,p
se,se,51
disait,dire,18
Salammbô,Salammbô,20
/.,/.,P
ils,ils,51
ne,ne,60
parlaient,parler,18
plus,plus,60
/.,/.,P
le,le,71
tonnerre,tonnerre,21
au,à,81
au,le,71
loin,loin,60
roulait,rouler,18
/.,/.,P
des,de,81
des,le,71
moutons,mouton,21
bêlaient,bêler,18
",",",",p
effrayés,effrayé,31
par,par,81
l',le,71
orage,orage,21
/.,/.,P
-,-,p
“,“,p
oh,oh,93
!,!,p
approche,approcher,17
!,!,p
reprit,reprendre,19
il,il,51
",",",",p
“,“,p
approche,approcher,17
!,!,p
ne,ne,60
crains,craindre,17
rien,rien,52
/!,/!,P
autrefois,autrefois,60
",",",",p
je,je,51
n',ne,60
étais,être,18
qu',que,83
un,un,71
soldat,soldat,21
confondu,confondu,31
dans,dans,81
la,le,71
plèbe,plèbe,22
des,de,81
des,le,71
mercenaires,mercenaire,21
",",",",p
et,et,82
même,même,60
si,si,60
doux,doux,30
",",",",p
que,que,83
je,je,51
portais,porter,18
pour,pour,81
les,le,71
autres,autre,52
du,de,81
du,le,71
bois,bois,21
sur,sur,81
mon,mon,73
dos,dos,21
/.,/.,P
est,être,17
ce,ce,52
que,que,83
je,je,51
m',je,51
inquiète,inquiéter,17
de,de,81
Carthage,Carthage,20
/!,/!,P
la,le,71
foule,foule,22
de,de,81
ses,son,73
hommes,homme,21
s',se,51
agite,agiter,17
comme,comme,83
perdue,perdu,31
dans,dans,81
la,le,71
poussière,poussière,22
de,de,81
tes,ton,73
sandales,sandale,22
",",",",p
et,et,82
tous,tout,75
ses,son,73
trésors,trésor,21
avec,avec,81
les,le,71
provinces,province,22
",",",",p
les,le,71
flottes,flotte,22
et,et,82
les,le,71
îles,île,22
",",",",p
ne,ne,60
me,je,51
font,faire,17
pas,pas,60
envie,envie,22
comme,comme,83
la,le,71
fraîcheur,fraîcheur,22
de,de,81
tes,ton,73
lèvres,lèvre,22
et,et,82
le,le,71
tour,tour,21
de,de,81
tes,ton,73
épaules,épaule,22
/.,/.,P
mais,mais,82
je,je,51
voulais,vouloir,18
abattre,abattre,14
ses,son,73
murailles,muraille,22
afin,afin,81
de,de,81
parvenir,parvenir,14
jusqu',jusque,81
à,à,81
toi,toi,51
",",",",p
pour,pour,81
te,tu,51
posséder,posséder,14
/!,/!,P
d',de,81
ailleurs,ailleurs,60
",",",",p
en,en,81
attendant,attendre,13
",",",",p
je,je,51
me,je,51
vengeais,venger,18
/!,/!,P
à,à,81
présent,présent,21
",",",",p
j',je,51
écrase,écraser,17
les,le,71
hommes,homme,21
comme,comme,83
des,de,81
des,le,71
coquilles,coquille,22
",",",",p
et,et,82
je,je,51
me,je,51
jette,jeter,17
sur,sur,81
les,le,71
phalanges,phalange,22
",",",",p
j',je,51
écarte,écarter,17
les,le,71
sarisses,sarisse,22
avec,avec,81
mes,mon,73
mains,main,22
",",",",p
j',je,51
arrête,arrêter,17
les,le,71
étalons,étalon,21
par,par,81
les,le,71
naseaux,naseau,21
;,;,p
une,un,71
catapulte,catapulte,22
ne,ne,60
me,je,51
tuerait,tuer,16
pas,pas,60
/!,/!,P
oh,oh,93
/!,/!,P
si,si,83
tu,tu,51
savais,savoir,18
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
guerre,guerre,22
",",",",p
comme,comme,83
je,je,51
pense,penser,17
à,à,81
toi,toi,51
/!,/!,P
quelquefois,quelquefois,60
",",",",p
le,le,71
souvenir,souvenir,21
d',de,81
un,un,71
geste,geste,21
",",",",p
d',de,81
un,un,71
pli,pli,21
de,de,81
ton,ton,73
vêtement,vêtement,21
",",",",p
tout,tout,60
à,à,81
coup,coup,21
me,je,51
saisit,saisir,17
et,et,82
m',je,51
enlace,enlacer,17
comme,comme,83
un,un,71
filet,filet,21
!,!,p
j',je,51
aperçois,apercevoir,17
tes,ton,73
yeux,oeil,21
dans,dans,81
les,le,71
flammes,flamme,22
des,de,81
des,le,71
phalariques,phalarique,22
