11574
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-douzième extrait>,<>,<>
horrible,horrible,30
/.,/.,P
mais,mais,82
il,il,51
en,en,52
est,être,17
ainsi,ainsi,60
de,de,81
la,le,71
maison,maison,22
de,de,81
jeu,jeu,21
",",",",p
du,de,81
du,le,71
tribunal,tribunal,21
",",",",p
du,de,81
du,le,71
bureau,bureau,21
de,de,81
loterie,loterie,22
et,et,82
du,de,81
du,le,71
mauvais,mauvais,30
lieu,lieu,21
/.,/.,P
pourquoi,pourquoi,60
/?,/?,P
peut-être,peut-être,60
dans,dans,81
ces,ce,74
endroits,endroit,21
le,le,71
drame,drame,21
",",",",p
en,en,81
se,se,51
jouant,jouer,13
dans,dans,81
l',le,71
âme,âme,22
de,de,81
l',le,71
homme,homme,21
",",",",p
lui,lui,51
rend,rendre,17
il,il,51
les,le,71
accessoires,accessoire,21
indifférents,indifférent,30
:,:,p
ce,ce,52
qui,qui,52
expliquerait,expliquer,16
aussi,aussi,60
la,le,71
simplicité,simplicité,22
des,de,81
des,le,71
grands,grand,30
penseurs,penseur,21
et,et,82
des,de,81
des,le,71
grands,grand,30
ambitieux,ambitieux,21
/.,/.,P
-,-,p
où,où,60
est,être,17
mon,mon,73
canif,canif,21
/?,/?,P
-,-,p
je,je,51
déjeune,déjeuner,17
/!,/!,P
-,-,p
va,aller,17
te,tu,51
faire,faire,14
lanlaire,lanlaire,93
",",",",p
voilà,voilà,81
un,un,71
pâté,pâté,21
sur,sur,81
la,le,71
requête,requête,22
/!,/!,P
-,-,p
chît,chut,93
!,!,p
messieurs,monsieur,21
/.,/.,P
ces,ce,74
diverses,divers,30
exclamations,exclamation,22
partirent,partir,19
à,à,81
la,le,71
fois,fois,22
au,à,81
au,le,71
moment,moment,21
où,où,60
le,le,71
vieux,vieux,30
plaideur,plaideur,21
ferma,fermer,19
la,le,71
porte,porte,22
avec,avec,81
cette,ce,74
sorte,sorte,22
d',de,81
humilité,humilité,22
qui,qui,52
dénature,dénaturer,17
les,le,71
mouvements,mouvement,21
de,de,81
l',le,71
homme,homme,21
malheureux,malheureux,30
/.,/.,P
l',le,71
inconnu,inconnu,21
essaya,essayer,19
de,de,81
sourire,sourire,14
",",",",p
mais,mais,82
les,le,71
muscles,muscle,21
de,de,81
son,son,73
visage,visage,21
se,se,51
détendirent,détendre,19
quand,quand,83
il,il,51
eut,avoir,19
vainement,vainement,60
cherché,chercher,12
quelques,quelque,75
symptômes,symptôme,21
d',de,81
aménité,aménité,22
sur,sur,81
les,le,71
visages,visage,21
inexorablement,inexorablement,60
insouciants,insouciant,30
des,de,81
des,le,71
six,six,72
clercs,clerc,21
/.,/.,P
accoutumé,accoutumé,31
sans,sans,81
doute,doute,21
à,à,81
juger,juger,14
les,le,71
hommes,homme,21
",",",",p
il,il,51
s',se,51
adressa,adresser,19
fort,fort,60
poliment,poliment,60
au,à,81
au,le,71
saute-ruisseau,saute-ruisseau,21
",",",",p
en,en,81
espérant,espérer,13
que,que,83
ce,ce,52
pâtiras,pâtir,15
lui,lui,51
répondrait,répondre,16
avec,avec,81
douceur,douceur,22
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
votre,votre,73
patron,patron,21
est,être,17
il,il,51
visible,visible,30
/?,/?,P
le,le,71
malicieux,malicieux,30
saute-ruisseau,saute-ruisseau,21
ne,ne,60
répondit,répondre,19
au,à,81
au,le,71
pauvre,pauvre,30
homme,homme,21
qu',que,83
en,en,81
se,se,51
donnant,donner,13
avec,avec,81
les,le,71
doigts,doigt,21
de,de,81
la,le,71
main,main,22
gauche,gauche,30
de,de,81
petits,petit,30
coups,coup,21
répétés,répété,31
sur,sur,81
l',le,71
oreille,oreille,22
",",",",p
comme,comme,83
pour,pour,81
dire,dire,14
:,:,p
-,-,p
je,je,51
suis,être,17
sourd,sourd,30
/.,/.,P
-,-,p
que,que,52
souhaitez,souhaiter,17
vous,vous,51
",",",",p
monsieur,monsieur,21
?,?,p
demanda,demander,19
Godeschal,Godeschal,20
qui,qui,52
tout,tout,60
en,en,81
faisant,faire,13
cette,ce,74
question,question,22
avalait,avaler,18
une,un,71
bouchée,bouchée,22
de,de,81
pain,pain,21
avec,avec,81
laquelle,lequel,52
on,on,51
eût,avoir,19
pu,pouvoir,12
charger,charger,14
une,un,71
pièce,pièce,22
de,de,81
quatre,quatre,72
",",",",p
brandissait,brandir,18
son,son,73
couteau,couteau,21
",",",",p
et,et,82
se,se,51
croisait,croiser,18
les,le,71
jambes,jambe,22
en,en,81
mettant,mettre,13
à,à,81
la,le,71
hauteur,hauteur,22
de,de,81
son,son,73
oeil,oeil,21
celui,celui,52
de,de,81
ses,son,73
pieds,pied,21
qui,qui,52
se,se,51
trouvait,trouver,18
en,en,81
l',le,71
air,air,21
/.,/.,P
-,-,p
je,je,51
viens,venir,17
ici,ici,60
",",",",p
monsieur,monsieur,21
",",",",p
pour,pour,81
la,le,71
cinquième,cinquième,72
fois,fois,22
",",",",p
répondit,répondre,19
le,le,71
patient,patient,21
/.,/.,P
je,je,51
souhaite,souhaiter,17
parler,parler,14
à,à,81
monsieur,monsieur,21
Derville,Derville,20
/.,/.,P
-,-,p
est,être,17
ce,ce,52
pour,pour,81
une,un,71
affaire,affaire,22
/?,/?,P
-,-,p
oui,oui,60
",",",",p
mais,mais,82
je,je,51
ne,ne,60
puis,pouvoir,17
l',le,52
expliquer,expliquer,14
qu',que,83
à,à,81
monsieur,monsieur,21
/…,/…,P
-,-,p
le,le,71
patron,patron,21
dort,dormir,17
",",",",p
si,si,83
vous,vous,51
désirez,désirer,17
le,le,52
consulter,consulter,14
sur,sur,81
quelques,quelque,75
difficultés,difficulté,22
",",",",p
il,il,51
ne,ne,60
travaille,travailler,17
sérieusement,sérieusement,60
qu',que,83
à,à,81
minuit,minuit,21
/.,/.,P
mais,mais,82
si,si,83
vous,vous,51
vouliez,vouloir,18
nous,nous,51
dire,dire,14
votre,votre,73
cause,cause,22
",",",",p
nous,nous,51
pourrions,pouvoir,16
",",",",p
tout,tout,52
aussi,aussi,60
bien,bien,60
que,que,83
lui,lui,51
",",",",p
vous,vous,51
/…,/…,P
l',le,71
inconnu,inconnu,21
resta,rester,19
impassible,impassible,30
/.,/.,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
regarder,regarder,14
modestement,modestement,60
autour,autour,60
de,de,81
lui,lui,51
",",",",p
comme,comme,83
un,un,71
chien,chien,21
qui,qui,52
",",",",p
en,en,81
se,se,51
glissant,glisser,13
dans,dans,81
une,un,71
cuisine,cuisine,22
étrangère,étranger,30
",",",",p
craint,craindre,17
d',de,81
y,y,52
recevoir,recevoir,14
des,de,81
des,le,71
coups,coup,21
/.,/.,P
par,par,81
une,un,71
grâce,grâce,22
de,de,81
leur,leur,73
état,état,21
",",",",p
les,le,71
clercs,clerc,21
n',ne,60
ont,avoir,17
jamais,jamais,60
peur,peur,22
des,de,81
des,le,71
voleurs,voleur,21
",",",",p
ils,ils,51
ne,ne,60
soupçonnèrent,soupçonner,19
donc,donc,82
point,point,60
l',le,71
homme,homme,21
au,à,81
au,le,71
carrick,carrick,21
et,et,82
lui,lui,51
laissèrent,laisser,19
observer,observer,14
le,le,71
local,local,21
",",",",p
où,où,60
il,il,51
cherchait,chercher,18
vainement,vainement,60
un,un,71
siège,siège,21
pour,pour,81
se,se,51
reposer,reposer,14
",",",",p
car,car,82
il,il,51
était,être,18
visiblement,visiblement,60
fatigué,fatiguer,12
/.,/.,P
par,par,81
système,système,21
",",",",p
les,le,71
avoués,avoué,21
laissent,laisser,17
peu,peu,60
de,de,81
chaises,chaise,22
dans,dans,81
leurs,leur,73
études,étude,22
/.,/.,P
le,le,71
client,client,21
vulgaire,vulgaire,30
",",",",p
lassé,lassé,31
d',de,81
attendre,attendre,14
sur,sur,81
ses,son,73
jambes,jambe,22
",",",",p
s',se,51
en,en,52
va,aller,17
grognant,grogner,13
",",",",p
mais,mais,82
il,il,51
ne,ne,60
prend,prendre,17
pas,pas,60
un,un,71
temps,temps,21
qui,qui,52
",",",",p
suivant,suivant,81
le,le,71
mot,mot,21
d',de,81
un,un,71
vieux,vieux,30
procureur,procureur,21
",",",",p
n',ne,60
est,être,17
pas,pas,60
admis,admettre,12
en,en,81
taxe,taxe,22
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
répondit,répondre,19
il,il,51
",",",",p
j',je,51
ai,avoir,17
déjà,déjà,60
eu,avoir,12
l',le,71
honneur,honneur,21
de,de,81
vous,vous,51
prévenir,prévenir,14
que,que,83
je,je,51
ne,ne,60
pouvais,pouvoir,18
expliquer,expliquer,14
mon,mon,73
affaire,affaire,22
qu',que,83
à,à,81
monsieur,monsieur,21
Derville,Derville,20
",",",",p
je,je,51
vais,aller,17
attendre,attendre,14
son,son,73
lever,lever,21
/.,/.,P
Boucard,Boucard,20
avait,avoir,18
fini,finir,12
son,son,73
addition,addition,22
/.,/.,P
il,il,51
sentit,sentir,19
l',le,71
odeur,odeur,22
de,de,81
son,son,73
chocolat,chocolat,21
",",",",p
quitta,quitter,19
son,son,73
fauteuil,fauteuil,21
de,de,81
canne,canne,22
",",",",p
vint,venir,19
à,à,81
la,le,71
cheminée,cheminée,22
",",",",p
toisa,toiser,19
le,le,71
vieil,vieux,30
homme,homme,21
",",",",p
regarda,regarder,19
le,le,71
carrick,carrick,21
et,et,82
fit,faire,19
une,un,71
grimace,grimace,22
indescriptible,indescriptible,30
/.,/.,P
il,il,51
pensa,penser,19
probablement,probablement,60
que,que,83
",",",",p
de,de,81
quelque,quelque,75
manière,manière,22
que,que,52
l',l',94
on,on,51
tordît,tordre,18
ce,ce,74
client,client,21
",",",",p
il,il,51
serait,être,16
impossible,impossible,30
d',de,81
en,en,52
extraire,extraire,14
un,un,71
centime,centime,21
;,;,p
il,il,51
intervint,intervenir,19
alors,alors,60
par,par,81
une,un,71
parole,parole,22
brève,bref,30
",",",",p
dans,dans,81
l',le,71
intention,intention,22
de,de,81
débarrasser,débarrasser,14
l',le,71
étude,étude,22
d',de,81
une,un,71
mauvaise,mauvais,30
pratique,pratique,22
/.,/.,P
-,-,p
ils,ils,51
vous,vous,51
disent,dire,17
la,le,71
vérité,vérité,22
",",",",p
monsieur,monsieur,21
/.,/.,P
le,le,71
patron,patron,21
ne,ne,60
travaille,travailler,17
que,que,83
pendant,pendant,81
la,le,71
nuit,nuit,22
/.,/.,P
si,si,83
votre,votre,73
affaire,affaire,22
est,être,17
grave,grave,30
",",",",p
je,je,51
vous,vous,51
conseille,conseiller,17
de,de,81
revenir,revenir,14
à,à,81
une,un,71
heure,heure,22
du,de,81
du,le,71
matin,matin,21
/.,/.,P
le,le,71
plaideur,plaideur,21
regarda,regarder,19
le,le,71
maître,maître,21
clerc,clerc,21
d',de,81
un,un,71
air,air,21
stupide,stupide,30
",",",",p
et,et,82
demeura,demeurer,19
pendant,pendant,81
un,un,71
moment,moment,21
immobile,immobile,30
/.,/.,P
habitués,habitué,31
à,à,81
tous,tout,75
les,le,71
changements,changement,21
de,de,81
physionomie,physionomie,22
et,et,82
aux,à,81
aux,le,71
singuliers,singulier,30
caprices,caprice,21
produits,produit,31
par,par,81
l',le,71
indécision,indécision,22
ou,ou,82
par,par,81
la,le,71
rêverie,rêverie,22
qui,qui,52
caractérisent,caractériser,17
les,le,71
gens,gens,21
processifs,processif,30
",",",",p
les,le,71
clercs,clerc,21
continuèrent,continuer,19
à,à,81
manger,manger,14
",",",",p
en,en,81
faisant,faire,13
autant,autant,60
de,de,81
bruit,bruit,21
avec,avec,81
leurs,leur,73
mâchoires,mâchoire,22
que,que,83
doivent,devoir,17
en,en,52
faire,faire,14
des,de,81
des,le,71
chevaux,cheval,21
au,à,81
au,le,71
râtelier,râtelier,21
",",",",p
et,et,82
ne,ne,60
s',se,51
inquiétèrent,inquiéter,19
plus,plus,60
du,de,81
du,le,71
vieillard,vieillard,21
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
je,je,51
viendrai,venir,15
ce,ce,74
soir,soir,21
",",",",p
dit,dire,19
enfin,enfin,60
le,le,71
vieux,vieux,21
qui,qui,52
par,par,81
une,un,71
ténacité,ténacité,22
particulière,particulier,30
aux,à,81
aux,le,71
gens,gens,21
malheureux,malheureux,30
voulait,vouloir,18
prendre,prendre,14
en,en,81
défaut,défaut,21
l',le,71
humanité,humanité,22
/.,/.,P
la,le,71
seule,seul,30
épigramme,épigramme,21
permise,permis,31
à,à,81
la,le,71
misère,misère,22
est,être,17
d',de,81
obliger,obliger,14
la,le,71
justice,justice,22
et,et,82
la,le,71
bienfaisance,bienfaisance,22
à,à,81
des,de,81
des,le,71
dénis,déni,21
injustes,injuste,30
/.,/.,P
quand,quand,83
les,le,71
malheureux,malheureux,21
ont,avoir,17
convaincu,convaincre,12
la,le,71
société,société,22
de,de,81
mensonge,mensonge,21
",",",",p
ils,ils,51
se,se,51
rejettent,rejeter,17
plus,plus,60
vivement,vivement,60
dans,dans,81
le,le,71
sein,sein,21
de,de,81
dieu,dieu,21
/.,/.,P
-,-,p
ne,ne,60
voilà,voilà,81
t,t,94
il,il,51
pas,pas,60
un,un,71
fameux,fameux,30
crâne,crâne,21
?,?,p
dit,dire,19
Simonnin,Simonnin,20
sans,sans,81
attendre,attendre,14
que,que,83
le,le,71
vieillard,vieillard,21
eût,avoir,19
fermé,fermer,12
la,le,71
porte,porte,22
/.,/.,P
-,-,p
il,il,51
a,avoir,17
l',le,71
air,air,21
d',de,81
un,un,71
déterré,déterré,31
",",",",p
reprit,reprendre,19
le,le,71
clerc,clerc,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
quelque,quelque,75
colonel,colonel,21
qui,qui,52
réclame,réclamer,17
un,un,71
arriéré,arriéré,21
",",",",p
dit,dire,19
le,le,71
maître,maître,21
clerc,clerc,21
/.,/.,P
-,-,p
non,non,60
",",",",p
c',ce,52
est,être,17
un,un,71
ancien,ancien,30
concierge,concierge,21
",",",",p
dit,dire,19
Godeschal,Godeschal,20
/.,/.,P
-,-,p
parions,parier,17
qu',que,83
il,il,51
est,être,17
noble,noble,30
",",",",p
s',se,51
écria,écrier,19
Boucard,Boucard,20
/.,/.,P
-,-,p
je,je,51
parie,parier,17
qu',que,83
il,il,51
a,avoir,17
été,être,12
portier,portier,21
",",",",p
répliqua,répliquer,19
Godeschal,Godeschal,20
/.,/.,P
les,le,71
portiers,portier,21
sont,être,17
seuls,seul,30
doués,douer,12
par,par,81
la,le,71
nature,nature,22
de,de,81
carricks,carrick,21
usés,usé,31
",",",",p
huileux,huileux,30
et,et,82
déchiquetés,déchiqueté,31
par,par,81
le,le,71
bas,bas,21
comme,comme,83
l',le,52
est,être,17
celui,celui,52
de,de,81
ce,ce,74
vieux,vieux,30
bonhomme,bonhomme,21
/.,/.,P
vous,vous,51
n',ne,60
avez,avoir,17
donc,donc,82
vu,voir,12
ni,ni,82
ses,son,73
bottes,botte,22
éculées,éculé,30
qui,qui,52
prennent,prendre,17
l',le,71
eau,eau,22
",",",",p
ni,ni,82
sa,son,73
cravate,cravate,22
qui,qui,52
lui,lui,51
sert,servir,17
de,de,81
chemise,chemise,22
/?,/?,P
il,il,51
a,avoir,17
couché,coucher,12
sous,sous,81
les,le,71
ponts,pont,21
/.,/.,P
-,-,p
il,il,51
pourrait,pouvoir,16
être,être,14
noble,noble,30
et,et,82
avoir,avoir,14
tiré,tirer,12
le,le,71
cordon,cordon,21
",",",",p
s',se,51
écria,écrier,19
Desroches,Desroches,20
/.,/.,P
ça,ça,52
s',se,51
est,être,17
vu,voir,12
/!,/!,P
-,-,p
non,non,60
",",",",p
reprit,reprendre,19
Boucard,Boucard,20
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
rires,rire,21
",",",",p
je,je,51
soutiens,soutenir,17
qu',que,83
il,il,51
a,avoir,17
été,être,12
brasseur,brasseur,21
en,en,81
<Nombre 1789>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
neuf,neuf,72
<Fin nombre>,<>,<>
",",",",p
et,et,82
colonel,colonel,21
sous,sous,81
la,le,71
république,république,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
je,je,51
parie,parier,17
un,un,71
spectacle,spectacle,21
pour,pour,81
tout,tout,75
le,le,71
monde,monde,21
qu',que,83
il,il,51
n',ne,60
a,avoir,17
pas,pas,60
été,être,12
soldat,soldat,21
",",",",p
dit,dire,19
Godeschal,Godeschal,20
/.,/.,P
-,-,p
ça,ça,52
va,aller,17
",",",",p
répliqua,répliquer,19
Boucard,Boucard,20
/.,/.,P
-,-,p
monsieur,monsieur,21
!,!,p
monsieur,monsieur,21
?,?,p
cria,crier,19
le,le,71
petit,petit,30
clerc,clerc,21
en,en,81
ouvrant,ouvrir,13
la,le,71
fenêtre,fenêtre,22
/.,/.,P
-,-,p
que,que,52
fais,faire,17
tu,tu,51
",",",",p
Simonnin,Simonnin,20
?,?,p
demanda,demander,19
Boucard,Boucard,20
/.,/.,P
-,-,p
je,je,51
l',le,52
appelle,appeler,17
pour,pour,81
lui,lui,51
demander,demander,14
s',si,83
il,il,51
est,être,17
colonel,colonel,21
ou,ou,82
portier,portier,21
",",",",p
il,il,51
doit,devoir,17
le,le,52
savoir,savoir,14
",",",",p
lui,lui,51
/.,/.,P
tous,tout,75
les,le,71
clercs,clerc,21
se,se,51
mirent,mettre,17
à,à,81
rire,rire,14
/.,/.,P
quant,quand,83
au,à,81
au,le,71
vieillard,vieillard,21
",",",",p
il,il,51
remontait,remonter,18
déjà,déjà,60
l',le,71
escalier,escalier,21
/.,/.,P
-,-,p
qu',que,52
allons,aller,17
nous,nous,51
lui,lui,51
dire,dire,14
?,?,p
s',se,51
écria,écrier,19
Godeschal,Godeschal,20
/.,/.,P
-,-,p
laissez,laisser,17
moi,moi,51
faire,faire,14
!,!,p
répondit,répondre,19
Boucard,Boucard,20
/.,/.,P
le,le,71
pauvre,pauvre,30
homme,homme,21
rentra,rentrer,19
timidement,timidement,60
en,en,81
baissant,baisser,13
les,le,71
yeux,oeil,21
",",",",p
peut-être,peut-être,60
pour,pour,81
ne,ne,60
pas,pas,60
révéler,révéler,14
sa,son,73
faim,faim,22
en,en,81
regardant,regarder,13
avec,avec,81
trop,trop,60
d',de,81
avidité,avidité,22
les,le,71
comestibles,comestible,21
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
Boucard,Boucard,20
",",",",p
voulez,vouloir,17
vous,vous,51
avoir,avoir,14
la,le,71
complaisance,complaisance,22
de,de,81
nous,nous,51
donner,donner,14
votre,votre,73
nom,nom,21
",",",",p
afin,afin,81
que,que,83
le,le,71
patron,patron,21
sache,savoir,17
si,si,83
/…,/…,P
-,-,p
Chabert,Chabert,20
/.,/.,P
-,-,p
est,être,17
ce,ce,52
le,le,71
colonel,colonel,21
mort,mort,31
à,à,81
Eylau,Eylau,20
?,?,p
demanda,demander,19
Hulé,Hulé,20
qui,qui,52
n',ne,60
ayant,avoir,13
encore,encore,60
rien,rien,52
dit,dire,12
était,être,18
jaloux,jaloux,30
d',de,81
ajouter,ajouter,14
une,un,71
raillerie,raillerie,22
à,à,81
toutes,tout,75
les,le,71
autres,autre,52
/.,/.,P
-,-,p
lui-même,lui-même,51
",",",",p
monsieur,monsieur,21
",",",",p
répondit,répondre,19
le,le,71
bonhomme,bonhomme,21
avec,avec,81
une,un,71
simplicité,simplicité,22
antique,antique,30
/.,/.,P
et,et,82
il,il,51
se,se,51
retira,retirer,19
/.,/.,P
-,-,p
chouit,chut,93
/!,/!,P
-,-,p
dégommé,dégommé,31
/!,/!,P
-,-,p
puff,puff,93
/!,/!,P
-,-,p
oh,oh,93
/!,/!,P
-,-,p
ah,ah,93
/!,/!,P
-,-,p
bâoum,boum,93
/!,/!,P
-,-,p
ah,ah,93
!,!,p
le,le,71
vieux,vieux,30
drôle,drôle,21
/!,/!,P
-,-,p
trinn,trinn,93
",",",",p
la,la,21
",",",",p
la,la,21
",",",",p
trinn,trinn,93
",",",",p
trinn,trinn,93
/!,/!,P
-,-,p
enfoncé,enfoncé,31
/!,/!,P
-,-,p
monsieur,monsieur,21
Desroches,Desroches,20
",",",",p
vous,vous,51
irez,aller,15
au,à,81
au,le,71
spectacle,spectacle,21
sans,sans,81
payer,payer,14
",",",",p
dit,dire,19
Huré,Huré,20
au,à,81
au,le,71
quatrième,quatrième,72
clerc,clerc,21
",",",",p
en,en,81
lui,lui,51
donnant,donner,13
sur,sur,81
l',le,71
épaule,épaule,22
une,un,71
tape,tape,22
à,à,81
tuer,tuer,14
un,un,71
rhinocéros,rhinocéros,21
/.,/.,P
ce,ce,52
fut,être,19
un,un,71
torrent,torrent,21
de,de,81
cris,cri,21
",",",",p
de,de,81
rires,rire,21
et,et,82
d',de,81
exclamations,exclamation,22
",",",",p
à,à,81
la,le,71
peinture,peinture,22
duquel,de,81
duquel,lequel,52
on,on,51
userait,user,16
toutes,tout,75
les,le,71
onomatopées,onomatopée,22
de,de,81
la,le,71
langue,langue,22
/.,/.,P
-,-,p
à,à,81
quel,quel,75
théâtre,théâtre,21
irons,aller,15
nous,nous,51
/?,/?,P
-,-,p
à,à,81
l',le,71
Opéra,Opéra,20
!,!,p
s',se,51
écria,écrier,19
le,le,71
principal,principal,21
/.,/.,P
-,-,p
d'abord,d'abord,60
",",",",p
reprit,reprendre,19
Godeschal,Godeschal,20
",",",",p
le,le,71
théâtre,théâtre,21
n',ne,60
a,avoir,17
pas,pas,60
été,être,12
désigné,désigner,12
/.,/.,P
je,je,51
puis,pouvoir,17
",",",",p
si,si,83
je,je,51
veux,vouloir,17
",",",",p
vous,vous,51
mener,mener,14
chez,chez,81
madame,madame,22
Saqui,Saqui,20
/.,/.,P
-,-,p
madame,madame,22
Saqui,Saqui,20
n',ne,60
est,être,17
pas,pas,60
un,un,71
spectacle,spectacle,21
",",",",p
dit,dire,19
Desroches,Desroches,20
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
qu',que,52
un,un,71
spectacle,spectacle,21
?,?,p
reprit,reprendre,19
Godeschal,Godeschal,20
/.,/.,P
établissons,établir,17
d'abord,d'abord,60
le,le,71
point,point,21
de,de,81
fait,fait,21
/.,/.,P
qu',que,52
ai,avoir,17
je,je,51
parié,parier,12
",",",",p
messieurs,monsieur,21
?,?,p
un,un,71
spectacle,spectacle,21
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
qu',que,52
un,un,71
spectacle,spectacle,21
?,?,p
une,un,71
chose,chose,22
qu',que,52
on,on,51
voit,voir,17
/…,/…,P
-,-,p
mais,mais,82
dans,dans,81
ce,ce,74
système,système,21
là,là,60
",",",",p
vous,vous,51
vous,vous,51
acquitteriez,acquitter,16
donc,donc,82
en,en,81
nous,nous,51
menant,mener,13
voir,voir,14
l',le,71
eau,eau,22
couler,couler,14
sous,sous,81
le,le,71
Pont-Neuf,Pont Neuf,20
?,?,p
s',se,51
écria,écrier,19
Simonnin,Simonnin,20
en,en,81
interrompant,interrompre,13
/.,/.,P
-,-,p
qu',que,52
on,on,51
voit,voir,17
pour,pour,81
de,de,81
l',le,71
argent,argent,21
",",",",p
disait,dire,18
Godeschal,Godeschal,20
en,en,81
continuant,continuer,13
/.,/.,P
-,-,p
mais,mais,82
on,on,51
voit,voir,17
pour,pour,81
de,de,81
l',le,71
argent,argent,21
bien,bien,60
des,de,81
des,le,71
choses,chose,22
qui,qui,52
ne,ne,60
sont,être,17
pas,pas,60
un,un,71
spectacle,spectacle,21
/.,/.,P
la,le,71
définition,définition,22
n',ne,60
est,être,17
pas,pas,60
exacte,exact,30
",",",",p
dit,dire,19
Desroches,Desroches,20
/.,/.,P
-,-,p
mais,mais,82
",",",",p
écoutez,écouter,17
moi,moi,51
donc,donc,82
/!,/!,P
-,-,p
vous,vous,51
déraisonnez,déraisonner,17
",",",",p
mon,mon,73
cher,cher,30
",",",",p
dit,dire,19
Boucard,Boucard,20
/.,/.,P
-,-,p
Curtius,Curtius,20
est,être,17
il,il,51
un,un,71
spectacle,spectacle,21
?,?,p
dit,dire,19
Godeschal,Godeschal,20
/.,/.,P
-,-,p
non,non,60
",",",",p
répondit,répondre,19
le,le,71
maître,maître,21
clerc,clerc,21
",",",",p
c',ce,52
est,être,17
un,un,71
cabinet,cabinet,21
de,de,81
figures,figure,22
/.,/.,P
-,-,p
je,je,51
parie,parier,17
cent,cent,72
francs,franc,21
contre,contre,81
un,un,71
sou,sou,21
",",",",p
reprit,reprendre,19
Godeschal,Godeschal,20
",",",",p
que,que,83
le,le,71
cabinet,cabinet,21
de,de,81
Curtius,Curtius,20
constitue,constituer,17
l',le,71
ensemble,ensemble,21
de,de,81
choses,chose,22
auquel,à,81
auquel,lequel,52
est,être,17
dévolu,dévolu,30
le,le,71
nom,nom,21
de,de,81
spectacle,spectacle,21
/.,/.,P
il,il,51
comporte,comporter,17
une,un,71
chose,chose,22
à,à,81
voir,voir,14
à,à,81
différents,différent,30
prix,prix,21
",",",",p
suivant,suivant,81
les,le,71
différentes,différent,30
places,place,22
où,où,60
l',l',94
on,on,51
veut,vouloir,17
se,se,51
mettre,mettre,14
/.,/.,P
-,-,p
et,et,82
berlik,berlik,93
berlok,berlok,93
",",",",p
dit,dire,19
Simonnin,Simonnin,20
/.,/.,P
-,-,p
prends,prendre,17
garde,garde,22
que,que,83
je,je,51
ne,ne,60
te,tu,51
gifle,gifler,17
",",",",p
toi,toi,51
!,!,p
dit,dire,19
Godeschal,Godeschal,20
/.,/.,P
les,le,71
clercs,clerc,21
haussèrent,hausser,19
les,le,71
épaules,épaule,22
/.,/.,P
-,-,p
d',de,81
ailleurs,ailleurs,60
",",",",p
il,il,51
n',ne,60
est,être,17
pas,pas,60
prouvé,prouver,12
que,que,83
ce,ce,74
vieux,vieux,30
singe,singe,21
ne,ne,60
se,se,51
soit,être,17
pas,pas,60
moqué,moquer,12
de,de,81
nous,nous,51
",",",",p
dit,dire,19
il,il,51
en,en,81
cessant,cesser,13
son,son,73
argumentation,argumentation,22
étouffée,étouffé,31
par,par,81
le,le,71
rire,rire,21
des,de,81
des,le,71
autres,autre,75
clercs,clerc,21
/.,/.,P
en,en,81
conscience,conscience,22
",",",",p
le,le,71
colonel,colonel,21
Chabert,Chabert,20
est,être,17
bien,bien,60
mort,mourir,12
",",",",p
sa,son,73
femme,femme,22
est,être,17
remariée,remarier,12
au,à,81
au,le,71
comte,comte,21
Ferraud,Ferraud,20
",",",",p
conseiller,conseiller,14
d',de,81
Etat,état,21
/.,/.,P
madame,madame,22
Ferraud,Ferraud,20
est,être,17
une,un,52
des,de,81
des,le,71
clientes,cliente,22
de,de,81
l',le,71
étude,étude,22
/!,/!,P
-,-,p
la,le,71
cause,cause,22
est,être,17
remise,remettre,12
à,à,81
demain,demain,60
",",",",p
dit,dire,19
Boucard,Boucard,20
/.,/.,P
à,à,81
l',le,71
ouvrage,ouvrage,21
",",",",p
messieurs,monsieur,21
/!,/!,P
sac,sac,21
à,à,81
papier,papier,21
!,!,p
l',l',94
on,on,51
ne,ne,60
fait,faire,17
rien,rien,52
ici,ici,60
/.,/.,P
finissez,finir,17
donc,donc,82
votre,votre,73
requête,requête,22
",",",",p
elle,il,51
doit,devoir,17
être,être,14
signifiée,signifier,12
avant,avant,81
l',le,71
audience,audience,22
de,de,81
la,le,71
quatrième,quatrième,72
chambre,chambre,22
/.,/.,P
l',le,71
affaire,affaire,22
se,se,51
juge,juger,17
aujourd'hui,aujourd'hui,60
/.,/.,P
allons,aller,17
",",",",p
à,à,81
cheval,cheval,21
/.,/.,P
-,-,p
si,si,83
c',ce,52
eût,avoir,19
été,être,12
le,le,71
colonel,colonel,21
