11897
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-treizième extrait>,<>,<>
/.,/.,P
en,en,81
droit,droit,21
",",",",p
si,si,83
vous,vous,51
possédez,posséder,17
les,le,71
titres,titre,21
de,de,81
toutes,tout,75
les,le,71
créances,créance,22
dues,dû,31
par,par,81
la,le,71
maison,maison,22
Grandet,Grandet,20
",",",",p
votre,votre,73
frère,frère,21
ou,ou,82
ses,son,73
hoirs,hoir,21
ne,ne,60
doivent,devoir,17
rien,rien,52
à,à,81
personne,personne,52
/.,/.,P
bien,bien,60
/.,/.,P
-,-,p
bien,bien,60
",",",",p
répéta,répéter,19
le,le,71
bonhomme,bonhomme,21
/.,/.,P
-,-,p
en,en,81
équité,équité,22
",",",",p
si,si,83
les,le,71
effets,effet,21
de,de,81
votre,votre,73
frère,frère,21
se,se,51
négocient,négocier,17
(,(,p
négocient,négocier,17
",",",",p
entendez,entendre,17
vous,vous,51
bien,bien,60
ce,ce,74
terme,terme,21
?,?,p
),),p
sur,sur,81
la,le,71
place,place,22
à,à,81
tant,tant,60
pour,pour,81
cent,cent,72
de,de,81
perte,perte,22
;,;,p
si,si,83
l',le,71
un,un,52
de,de,81
vos,votre,73
amis,ami,21
a,avoir,17
passé,passer,12
par là,par-là,60
;,;,p
s',si,83
il,il,51
les,le,52
a,avoir,17
rachetés,racheter,12
",",",",p
les,le,71
créanciers,créancier,21
n',ne,60
ayant,avoir,13
été,être,12
contraints,contraindre,12
par,par,81
aucune,aucun,75
violence,violence,22
à,à,81
les,le,52
don… ner,donner,14
",",",",p
la,le,71
succession,succession,22
de,de,81
feu,feu,21
Grandet,Grandet,20
de,de,81
Paris,Paris,20
se,se,51
trouve,trouver,17
loyalement,loyalement,60
quitte,quitte,30
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
les,le,71
a… a…,affaire,22
",",",",p
a…,affaire,22
",",",",p
affaires,affaire,22
sont,être,17
les,le,71
affaires,affaire,22
",",",",p
dit,dire,19
le,le,71
tonnelier,tonnelier,21
/.,/.,P
cela,cela,52
pooooosé,pooooosé,31
/…,/…,P
mais,mais,82
",",",",p
néanmoins,néanmoins,60
",",",",p
vous,vous,51
compre ne,comprendre,17
",",",",p
ne nez,comprendre,17
",",",",p
que,que,83
c',ce,52
est,être,17
di di,difficile,30
",",",",p
di difficile,difficile,30
/.,/.,P
je,je,51
",",",",p
je,je,51
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
d',de,81
aaargent,argent,21
",",",",p
ni,ni,82
",",",",p
ni,ni,82
",",",",p
ni,ni,82
le,le,71
temps,temps,21
",",",",p
ni,ni,82
le,le,71
temps,temps,21
",",",",p
ni,ni,82
/…,/…,P
oui,oui,60
",",",",p
vous,vous,51
ne,ne,60
pouvez,pouvoir,17
pas,pas,60
vous,vous,51
déranger,déranger,14
/.,/.,P
hé,hé,93
!,!,p
bien,bien,60
",",",",p
je,je,51
vous,vous,51
offre,offrir,17
d',de,81
aller,aller,14
à,à,81
Paris,Paris,20
(,(,p
vous,vous,51
me,je,51
tiendriez,tenir,16
compte,compte,21
du,de,81
du,le,71
voyage,voyage,21
",",",",p
c',ce,52
est,être,17
une,un,71
misère,misère,22
),),p
/.,/.,P
j',je,51
y,y,52
vois,voir,17
les,le,71
créanciers,créancier,21
",",",",p
je,je,51
leur,leur,52
parle,parler,17
",",",",p
j',je,51
atermoie,atermoyer,17
",",",",p
et,et,82
tout,tout,52
s',se,51
arrange,arranger,17
avec,avec,81
un,un,71
supplément,supplément,21
de,de,81
payement,paiement,21
que,que,52
vous,vous,51
ajoutez,ajouter,17
aux,à,81
aux,le,71
valeurs,valeur,22
de,de,81
la,le,71
liquidation,liquidation,22
",",",",p
afin,afin,81
de,de,81
rentrer,rentrer,14
dans,dans,81
les,le,71
titres,titre,21
de,de,81
créances,créance,22
/.,/.,P
-,-,p
mais,mais,82
nooonous,nous,51
verrons,voir,15
cela,cela,52
",",",",p
je,je,51
ne,ne,60
",",",",p
ne,ne,60
",",",",p
ne,ne,60
peux,pouvoir,17
pas,pas,60
",",",",p
je,je,51
",",",",p
je,je,51
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
m',je,51
en,engager,14
",",",",p
en,engager,14
",",",",p
en,engager,14
",",",",p
engager,engager,14
sans,sans,81
",",",",p
sans,sans,81
",",",",p
que,que,83
/…,/…,P
qui,qui,52
",",",",p
qui,qui,52
",",",",p
qui,qui,52
",",",",p
ne,ne,60
",",",",p
ne,ne,60
peut,pouvoir,17
",",",",p
ne,ne,60
peut,pouvoir,17
/.,/.,P
vooouous,vous,51
comprenez,comprendre,17
/?,/?,P
cela,cela,52
est,être,17
juste,juste,30
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
la,le,71
tête,tête,22
ca,cassé,31
",",",",p
ca,cassé,31
",",",",p
cassée,cassé,31
de,de,81
ce,ce,52
que,que,52
",",",",p
que,que,52
voous,vous,51
",",",",p
vous,vous,51
m',je,51
a,avoir,17
",",",",p
a,avoir,17
",",",",p
a,avoir,17
",",",",p
avez,avoir,17
dé,dé,21
",",",",p
dé,dé,21
",",",",p
décliqué,décliquer,12
là,là,60
/.,/.,P
voilà,voilà,81
la,le,71
",",",",p
la,le,71
",",",",p
première,premier,72
fois,fois,22
de,de,81
ma,mon,73
vie,vie,22
que,que,52
je,je,51
",",",",p
je,je,51
suis,être,17
fooorcé,forcé,12
de,de,81
son,songer,14
",",",",p
songer,songer,14
à,à,81
de,de,81
/…,/…,P
oui,oui,60
",",",",p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
jurisconsulte,jurisconsulte,21
/.,/.,P
-,-,p
je,je,51
",",",",p
je,je,51
suis,être,17
un,un,71
pau,pauvre,30
",",",",p
pau,pauvre,30
",",",",p
pauvre,pauvre,30
vigneron,vigneron,21
",",",",p
et,et,82
ne,ne,60
sais,savoir,17
rien,rien,52
de,de,81
ce,ce,52
que,que,52
vou,vous,51
",",",",p
vou,vous,51
",",",",p
vous,vous,51
venez,venir,17
de,de,81
dire,dire,14
;,;,p
il,il,51
fau,falloir,17
",",",",p
fau,falloir,17
",",",",p
faut,falloir,17
que,que,83
j',je,51
é,é,21
",",",",p
j',je,51
é,étudier,17
",",",",p
j',je,51
étudie,étudier,17
çççà,ça,52
/.,/.,P
-,-,p
hé,hé,93
!,!,p
bien,bien,60
",",",",p
reprit,reprendre,19
le,le,71
président,président,21
en,en,81
se,se,51
posant,poser,13
comme,comme,83
pour,pour,81
résumer,résumer,14
la,le,71
discussion,discussion,22
/.,/.,P
-,-,p
mon,mon,73
neveu,neveu,21
?,?,p
fit,faire,19
le,le,71
notaire,notaire,21
d',de,81
un,un,71
ton,ton,21
de,de,81
reproche,reproche,21
en,en,81
l',le,52
interrompant,interrompre,13
/.,/.,P
-,-,p
hé,hé,93
!,!,p
bien,bien,60
",",",",p
mon,mon,73
oncle,oncle,21
",",",",p
répondit,répondre,19
le,le,71
président,président,21
/.,/.,P
-,-,p
laisse,laisser,17
donc,donc,82
monsieur,monsieur,21
Grandet,Grandet,20
t',tu,51
expliquer,expliquer,14
ses,son,73
intentions,intention,22
/.,/.,P
il,il,51
s',se,51
agit,agir,17
en,en,81
ce,ce,74
moment,moment,21
d',de,81
un,un,71
mandat,mandat,21
important,important,30
/.,/.,P
notre,notre,73
cher,cher,30
ami,ami,21
doit,devoir,17
le,le,52
définir,définir,14
congrûm,congrûment,60
/…,/…,P
un,un,71
coup,coup,21
de,de,81
marteau,marteau,21
qui,qui,52
annonça,annoncer,19
l',le,71
arrivée,arrivée,22
de,de,81
la,le,71
famille,famille,22
des,de,81
des,le,71
Grassins,Grassins,20
",",",",p
leur,leur,73
entrée,entrée,22
et,et,82
leurs,leur,73
salutations,salutation,22
empêchèrent,empêcher,19
Cruchot,Cruchot,20
d',de,81
achever,achever,14
sa,son,73
phrase,phrase,22
/.,/.,P
le,le,71
notaire,notaire,21
fut,être,19
content,content,30
de,de,81
cette,ce,74
interruption,interruption,22
;,;,p
déjà,déjà,60
Grandet,Grandet,20
le,le,52
regardait,regarder,18
de,de,81
travers,travers,21
",",",",p
et,et,82
sa,son,73
loupe,loupe,22
indiquait,indiquer,18
un,un,71
orage,orage,21
intérieur,intérieur,30
;,;,p
mais,mais,82
d'abord,d'abord,60
le,le,71
prudent,prudent,30
notaire,notaire,21
ne,ne,60
trouvait,trouver,18
pas,pas,60
convenable,convenable,30
à,à,81
un,un,71
président,président,21
de,de,81
tribunal,tribunal,21
de,de,81
première,premier,72
instance,instance,22
d',de,81
aller,aller,14
à,à,81
Paris,Paris,20
pour,pour,81
y,y,52
faire,faire,14
capituler,capituler,14
des,de,81
des,le,71
créanciers,créancier,21
et,et,82
y,y,52
prêter,prêter,14
les,le,71
mains,main,22
à,à,81
un,un,71
tripotage,tripotage,21
qui,qui,52
froissait,froisser,18
les,le,71
lois,loi,22
de,de,81
la,le,71
stricte,strict,30
probité,probité,22
;,;,p
puis,puis,60
",",",",p
n',ne,60
ayant,avoir,13
pas,pas,60
encore,encore,60
entendu,entendre,12
le,le,71
père,père,21
Grandet,Grandet,20
exprimant,exprimer,13
la,le,71
moindre,moindre,30
velléité,velléité,22
de,de,81
payer,payer,14
quoi,quoi,52
que,que,52
ce,ce,52
fût,être,19
",",",",p
il,il,51
tremblait,trembler,18
instinctivement,instinctivement,60
de,de,81
voir,voir,14
son,son,73
neveu,neveu,21
engagé,engagé,31
dans,dans,81
cette,ce,74
affaire,affaire,22
/.,/.,P
il,il,51
profita,profiter,19
donc,donc,82
du,de,81
du,le,71
moment,moment,21
où,où,60
les,le,71
des,de,81
des,le,71
Grassins,Grassins,20
entraient,entrer,18
pour,pour,81
prendre,prendre,14
le,le,71
président,président,21
par,par,81
le,le,71
bras,bras,21
et,et,82
l',le,52
attirer,attirer,14
dans,dans,81
l',le,71
embrasure,embrasure,22
de,de,81
la,le,71
fenêtre,fenêtre,22
/.,/.,P
-,-,p
tu,tu,51
t',tu,51
es,être,17
bien,bien,60
suffisamment,suffisamment,60
montré,montrer,12
",",",",p
mon,mon,73
neveu,neveu,21
;,;,p
mais,mais,82
assez,assez,60
de,de,81
dévouement,dévouement,21
comme,comme,83
ça,ça,52
/.,/.,P
l',le,71
envie,envie,22
d',de,81
avoir,avoir,14
la,le,71
fille,fille,22
t',tu,51
aveugle,aveugler,17
/.,/.,P
diable,diable,21
!,!,p
il,il,51
n',ne,60
y,y,52
faut,falloir,17
pas,pas,60
aller,aller,14
comme,comme,83
une,un,71
corneille,corneille,22
qui,qui,52
abat,abattre,17
des,de,81
des,le,71
noix,noix,22
/.,/.,P
laisse,laisser,17
moi,moi,51
maintenant,maintenant,60
conduire,conduire,14
la,le,71
barque,barque,22
",",",",p
aide,aider,17
seulement,seulement,60
à,à,81
la,le,71
manoeuvre,manoeuvre,22
/.,/.,P
est,être,17
ce,ce,52
bien,bien,60
ton,ton,73
rôle,rôle,21
de,de,81
compromettre,compromettre,14
ta,ton,73
dignité,dignité,22
de,de,81
magistrat,magistrat,21
dans,dans,81
une,un,71
pareille,pareil,30
/…,/…,P
il,il,51
n',ne,60
acheva,achever,19
pas,pas,60
;,;,p
il,il,51
entendait,entendre,18
monsieur,monsieur,21
des,de,81
des,le,71
Grassins,Grassins,20
disant,dire,13
au,à,81
au,le,71
vieux,vieux,30
tonnelier,tonnelier,21
en,en,81
lui,lui,51
tendant,tendre,13
la,le,71
main,main,22
:,:,p
-,-,p
Grandet,Grandet,20
nous,nous,51
avons,avoir,17
appris,apprendre,12
l',le,71
affreux,affreux,30
malheur,malheur,21
arrivé,arrivé,31
dans,dans,81
votre,votre,73
famille,famille,22
",",",",p
le,le,71
désastre,désastre,21
de,de,81
la,le,71
maison,maison,22
Guillaume,Guillaume,20
Grandet,Grandet,20
et,et,82
la,le,71
mort,mort,22
de,de,81
votre,votre,73
frère,frère,21
;,;,p
nous,nous,51
venons,venir,17
vous,vous,51
exprimer,exprimer,14
toute,tout,75
la,le,71
part,part,22
que,que,52
nous,nous,51
prenons,prendre,17
à,à,81
ce,ce,74
triste,triste,30
événement,événement,21
/.,/.,P
-,-,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
d',de,81
autre,autre,75
malheur,malheur,21
",",",",p
dit,dire,19
le,le,71
notaire,notaire,21
en,en,81
interrompant,interrompre,13
le,le,71
banquier,banquier,21
",",",",p
que,que,83
la,le,71
mort,mort,22
de,de,81
monsieur,monsieur,21
Grandet,Grandet,20
junior,junior,30
/.,/.,P
encore,encore,60
ne,ne,60
se,se,51
serait,être,16
il,il,51
pas,pas,60
tué,tuer,12
s',si,83
il,il,51
avait,avoir,18
eu,avoir,12
l',le,71
idée,idée,22
d',de,81
appeler,appeler,14
son,son,73
frère,frère,21
à,à,81
son,son,73
secours,secours,21
/.,/.,P
notre,notre,73
vieil,vieux,30
ami,ami,21
qui,qui,52
a,avoir,17
de,de,81
l',le,71
honneur,honneur,21
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
des,de,81
des,le,71
ongles,ongle,21
compte,compter,17
liquider,liquider,14
les,le,71
dettes,dette,22
de,de,81
la,le,71
maison,maison,22
Grandet,Grandet,20
de,de,81
Paris,Paris,20
/.,/.,P
mon,mon,73
neveu,neveu,21
le,le,71
président,président,21
pour,pour,81
lui,lui,51
éviter,éviter,14
les,le,71
tracas,tracas,21
d',de,81
une,un,71
affaire,affaire,22
tout,tout,60
judiciaire,judiciaire,30
lui,lui,51
offre,offrir,17
de,de,81
partir,partir,14
sur-le-champ,sur-le-champ,60
pour,pour,81
Paris,Paris,20
afin,afin,81
de,de,81
transiger,transiger,14
avec,avec,81
les,le,71
créanciers,créancier,21
et,et,82
les,le,52
satisfaire,satisfaire,14
convenablement,convenablement,60
/.,/.,P
ces,ce,74
paroles,parole,22
confirmées,confirmé,31
par,par,81
l',le,71
attitude,attitude,22
du,de,81
du,le,71
vigneron,vigneron,21
qui,qui,52
se,se,51
caressait,caresser,18
le,le,71
menton,menton,21
surprirent,surprendre,19
étrangement,étrangement,60
les,le,71
trois,trois,72
des,de,81
des,le,71
Grassins,Grassins,20
qui,qui,52
pendant,pendant,81
le,le,71
chemin,chemin,21
avaient,avoir,18
médit,médire,12
tout,tout,52
à,à,81
loisir,loisir,21
de,de,81
l',le,71
avarice,avarice,22
de,de,81
Grandet,Grandet,20
en,en,81
l',le,52
accusant,accuser,13
presque,presque,60
d',de,81
un,un,71
fratricide,fratricide,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
je,je,51
le,le,52
savais,savoir,18
bien,bien,60
s',se,51
écria,écrier,19
le,le,71
banquier,banquier,21
en,en,81
regardant,regarder,13
sa,son,73
femme,femme,22
/.,/.,P
que,que,52
te,tu,51
disais,dire,18
je,je,51
en,en,81
route,route,22
",",",",p
madame,madame,22
des,de,81
des,le,71
Grassins,Grassins,20
/?,/?,P
Grandet,Grandet,20
a,avoir,17
de,de,81
l',le,71
honneur,honneur,21
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
des,de,81
des,le,71
cheveux,cheveu,21
",",",",p
et,et,82
ne,ne,60
souffrira,souffrir,15
pas,pas,60
que,que,83
son,son,73
nom,nom,21
reçoive,recevoir,17
la,le,71
plus,plus,60
légère,léger,30
atteinte,atteinte,22
/!,/!,P
l',le,71
argent,argent,21
sans,sans,81
l',le,71
honneur,honneur,21
est,être,17
une,un,71
maladie,maladie,22
/.,/.,P
il,il,51
y,y,52
a,avoir,17
de,de,81
l',le,71
honneur,honneur,21
dans,dans,81
nos,notre,73
provinces,province,22
/!,/!,P
cela,cela,52
est,être,17
bien,bien,60
",",",",p
très,très,60
bien,bien,60
",",",",p
Grandet,Grandet,20
/.,/.,P
je,je,51
suis,être,17
un,un,71
vieux,vieux,30
militaire,militaire,21
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
déguiser,déguiser,14
ma,mon,73
pensée,pensée,22
;,;,p
je,je,51
la,le,52
dis,dire,17
rudement,rudement,60
:,:,p
cela,cela,52
est,être,17
",",",",p
mille,mille,72
tonnerres,tonnerre,21
!,!,p
sublime,sublime,30
/.,/.,P
-,-,p
aaalors,alors,60
llle,le,71
su…,sublime,30
su…,sublime,30
su…,sublime,30
sublime,sublime,30
est,être,17
bi…,bien,60
bi…,bien,60
bien,bien,60
cher,cher,30
",",",",p
répondit,répondre,19
le,le,71
bonhomme,bonhomme,21
pendant,pendant,81
que,que,83
le,le,71
banquier,banquier,21
lui,lui,51
secouait,secouer,18
chaleureusement,chaleureusement,60
la,le,71
main,main,22
/.,/.,P
-,-,p
mais,mais,82
ceci,ceci,52
",",",",p
mon,mon,73
brave,brave,30
Grandet,Grandet,20
",",",",p
n',ne,60
en,en,52
déplaise,déplaire,17
à,à,81
monsieur,monsieur,21
le,le,71
président,président,21
",",",",p
reprit,reprendre,19
des,de,81
des,le,71
Grassins,Grassins,20
",",",",p
est,être,17
une,un,71
affaire,affaire,22
purement,purement,60
commerciale,commercial,30
",",",",p
et,et,82
veut,vouloir,17
un,un,71
négociant,négociant,21
consommé,consommé,31
/.,/.,P
ne,ne,60
faut,falloir,17
il,il,51
pas,pas,60
se,se,51
connaître,connaître,14
aux,à,81
aux,le,71
comptes,compte,21
de,de,81
retour,retour,21
",",",",p
débours,débours,21
",",",",p
calculs,calcul,21
d',de,81
intérêts,intérêt,21
/?,/?,P
je,je,51
dois,devoir,17
aller,aller,14
à,à,81
Paris,Paris,20
pour,pour,81
mes,mon,73
affaires,affaire,22
",",",",p
et,et,82
je,je,51
pourrais,pouvoir,16
alors,alors,60
me,je,51
charger,charger,14
de,de,81
/…,/…,P
nous,nous,51
verrions,voir,16
donc,donc,82
à,à,81
tâ…,tâcher,14
tâ…,tâcher,14
tâcher,tâcher,14
de,de,81
nous,nous,51
aaaarranger,arranger,14
tou…,tout,75
tous,tout,75
deux,deux,72
dans,dans,81
les,le,71
po…,possibilité,22
po…,possibilité,22
po…,possibilité,22
possibilités,possibilité,22
relatives,relatif,30
et,et,82
sans,sans,81
m',je,51
en…,engager,14
m',je,51
en…,engager,14
engager,engager,14
à,à,81
quelque,quelque,75
chose,chose,22
que,que,52
je,je,51
…,…,p
je,je,51
…,…,p
je,je,51
ne,ne,60
voooou…,vouloir,17
oudrais,vouloir,17
pas,pas,60
faire,faire,14
",",",",p
dit,dire,19
Grandet,Grandet,20
en,en,81
bégayant,bégayer,13
/.,/.,P
parce que,parce que,83
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
monsieur,monsieur,21
le,le,71
président,président,21
me,je,51
demandait,demander,18
naturellement,naturellement,60
les,le,71
frais,frais,21
du,de,81
du,le,71
voyage,voyage,21
/.,/.,P
le,le,71
bonhomme,bonhomme,21
ne,ne,60
bredouilla,bredouiller,19
plus,plus,60
ces,ce,74
derniers,dernier,30
mots,mot,21
/.,/.,P
-,-,p
eh,eh,93
!,!,p
dit,dire,19
madame,madame,22
des,de,81
des,le,71
Grassins,Grassins,20
",",",",p
mais,mais,82
c',ce,52
est,être,17
un,un,71
plaisir,plaisir,21
que,que,83
d',de,81
être,être,14
à,à,81
Paris,Paris,20
/.,/.,P
je,je,51
payerais,payer,16
volontiers,volontiers,60
pour,pour,81
y,y,52
aller,aller,14
",",",",p
moi,moi,51
/.,/.,P
et,et,82
elle,il,51
fit,faire,19
un,un,71
signe,signe,21
à,à,81
son,son,73
mari,mari,21
comme,comme,83
pour,pour,81
l',le,52
encourager,encourager,14
à,à,81
souffler,souffler,14
cette,ce,74
commission,commission,22
à,à,81
leurs,leur,73
adversaires,adversaire,21
coûte que coûte,coûte que coûte,60
;,;,p
puis,puis,60
elle,il,51
regarda,regarder,19
fort,fort,60
ironiquement,ironiquement,60
les,le,52
deux,deux,72
Cruchot,Cruchot,20
",",",",p
qui,qui,52
prirent,prendre,19
une,un,71
mine,mine,22
piteuse,piteux,30
/.,/.,P
Grandet,Grandet,20
saisit,saisir,19
alors,alors,60
le,le,71
banquier,banquier,21
par,par,81
un,un,52
des,de,81
des,le,71
boutons,bouton,21
de,de,81
son,son,73
habit,habit,21
et,et,82
l',le,52
attira,attirer,19
dans,dans,81
un,un,71
coin,coin,21
/.,/.,P
-,-,p
j',je,51
aurais,avoir,16
bien,bien,60
plus,plus,60
de,de,81
confiance,confiance,22
en,en,81
vous,vous,51
que,que,83
dans,dans,81
le,le,71
président,président,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
/.,/.,P
puis,puis,60
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
anguilles,anguille,22
sous,sous,81
roche,roche,22
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
en,en,81
remuant,remuer,13
sa,son,73
loupe,loupe,22
/.,/.,P
je,je,51
veux,vouloir,17
me,je,51
mettre,mettre,14
dans,dans,81
la,le,71
rente,rente,22
;,;,p
j',je,51
ai,avoir,17
quelques,quelque,75
milliers,millier,21
de,de,81
francs,franc,21
de,de,81
rente,rente,22
à,à,81
faire,faire,14
acheter,acheter,14
",",",",p
et,et,82
je,je,51
ne,ne,60
veux,vouloir,17
placer,placer,14
qu',que,83
à,à,81
quatre,quatre,72
vingts,vingt,72
francs,franc,21
/.,/.,P
cette,ce,74
mécanique,mécanique,22
baisse,baisser,17
",",",",p
dit,dire,17
on,on,51
",",",",p
à,à,81
la,le,71
fin,fin,22
des,de,81
des,le,71
mois,mois,21
/.,/.,P
vous,vous,51
vous,vous,51
connaissez,connaître,17
à,à,81
ça,ça,52
",",",",p
pas,pas,60
vrai,vrai,60
/?,/?,P
pardieu,pardieu,93
/!,/!,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
j',je,51
aurais,avoir,16
donc,donc,82
quelques,quelque,75
mille,mille,72
livres,livre,22
de,de,81
rente,rente,22
à,à,81
lever,lever,14
pour,pour,81
vous,vous,51
/?,/?,P
pas,pas,60
grand'chose,grand-chose,22
pour,pour,81
commencer,commencer,14
/.,/.,P
motus,motus,60
/!,/!,P
je,je,51
veux,vouloir,17
jouer,jouer,14
ce,ce,74
jeu,jeu,21
là,là,60
sans,sans,81
qu',que,83
on,on,51
en,en,52
sache,savoir,17
rien,rien,52
/.,/.,P
vous,vous,51
me,je,51
concluriez,conclure,16
un,un,71
marché,marché,21
pour,pour,81
la,le,71
fin,fin,22
du,de,81
du,le,71
mois,mois,21
;,;,p
mais,mais,82
n',ne,60
en,en,52
dites,dire,17
rien,rien,52
aux,à,81
aux,le,71
Cruchot,Cruchot,20
",",",",p
ça,ça,52
les,le,52
taquinerait,taquiner,16
/.,/.,P
puisque,puisque,83
vous,vous,51
allez,aller,17
à,à,81
Paris,Paris,20
",",",",p
nous,nous,51
y,y,52
verrons,voir,15
en,en,81
même,même,75
temps,temps,21
",",",",p
pour,pour,81
mon,mon,73
pauvre,pauvre,30
neveu,neveu,21
",",",",p
de,de,81
quelle,quel,75
couleur,couleur,22
sont,être,17
les,le,71
atouts,atout,21
/.,/.,P
-,-,p
voilà,voilà,81
qui,qui,52
est,être,17
entendu,entendre,12
/.,/.,P
je,je,51
partirai,partir,15
demain,demain,60
en,en,81
poste,poste,21
",",",",p
dit,dire,19
à,à,81
haute,haut,30
voix,voix,22
des,de,81
des,le,71
Grassins,Grassins,20
",",",",p
et,et,82
je,je,51
viendrai,venir,15
prendre,prendre,14
vos,votre,73
dernières,dernier,30
instructions,instruction,22
à,à,81
…,…,p
à,à,81
quelle,quel,75
heure,heure,22
/?,/?,P
à,à,81
cinq,cinq,72
heures,heure,22
",",",",p
avant,avant,81
le,le,71
dîner,dîner,21
",",",",p
dit,dire,19
le,le,71
vigneron,vigneron,21
en,en,81
se,se,51
frottant,frotter,13
les,le,71
mains,main,22
/.,/.,P
les,le,71
deux,deux,72
partis,parti,21
restèrent,rester,19
encore,encore,60
quelques,quelque,75
instants,instant,21
en,en,81
présence,présence,22
/.,/.,P
des,de,81
des,le,71
Grassins,Grassins,20
dit,dire,19
après,après,81
une,un,71
pause,pause,22
en,en,81
frappant,frapper,13
sur,sur,81
l',le,71
épaule,épaule,22
de,de,81
Grandet,Grandet,20
:,:,p
-,-,p
il,il,51
fait,faire,17
bon,bon,60
avoir,avoir,14
de,de,81
bons,bon,30
parents,parent,21
comme,comme,83
ça,ça,52
/…,/…,P
oui,oui,60
",",",",p
oui,oui,60
",",",",p
sans,sans,81
que,que,83
ça,ça,52
paraisse,paraître,17
",",",",p
répondit,répondre,19
Grandet,Grandet,20
",",",",p
je,je,51
suis,être,17
un,un,71
bon,bon,30
pa…,parent,21
parent,parent,21
/.,/.,P
j',je,51
aimais,aimer,18
mon,mon,73
frère,frère,21
",",",",p
et,et,82
je,je,51
le,le,52
prouverai,prouver,15
bien,bien,60
si,si,83
si,si,83
ça,ça,52
ne,ne,60
ne,ne,60
coûte,coûter,17
pas,pas,60
/…,/…,P
nous,nous,51
allons,aller,17
vous,vous,51
quitter,quitter,14
",",",",p
Grandet,Grandet,20
",",",",p
lui,lui,51
dit,dire,19
le,le,71
banquier,banquier,21
en,en,81
l',le,52
interrompant,interrompre,13
heureusement,heureusement,60
avant,avant,81
qu',que,83
il,il,51
n',ne,60
achevât,achever,18
sa,son,73
phrase,phrase,22
/.,/.,P
si,si,83
j',je,51
avance,avancer,17
mon,mon,73
départ,départ,21
",",",",p
il,il,51
faut,falloir,17
mettre,mettre,14
en,en,81
ordre,ordre,21
quelques,quelque,75
affaires,affaire,22
/.,/.,P
-,-,p
bien,bien,60
",",",",p
bien,bien,60
/.,/.,P
moi-même,moi-même,51
",",",",p
raa…,rapport,21
apport,apport,21
à,à,81
ce,ce,52
que,que,52
vouvous,vous,51
savez,savoir,17
",",",",p
je,je,51
je,je,51
vais,aller,17
me,je,51
rereretirer,retirer,14
dans,dans,81
ma,mon,73
cham…,chambre,22
ambre,chambre,22
des,de,81
des,le,71
dédélibérations,délibération,22
",",",",p
comme,comme,83
dit,dire,19
le,le,71
président,président,21
Cruchot,Cruchot,20
/.,/.,P
-,-,p
peste,peste,22
!,!,p
je,je,51
ne,ne,60
suis,être,17
plus,plus,60
monsieur,monsieur,21
de,de,81
Bonfons,Bonfons,20
",",",",p
pensa,penser,19
tristement,tristement,60
le,le,71
magistrat,magistrat,21
dont,dont,52
la,le,71
figure,figure,22
prit,prendre,19
l',le,71
expression,expression,22
de,de,81
celle,celui,52
d',de,81
un,un,71
juge,juge,21
ennuyé,ennuyé,31
par,par,81
une,un,71
plaidoirie,plaidoirie,22
/.,/.,P
les,le,71
chefs,chef,21
des,de,81
des,le,71
deux,deux,72
familles,famille,22
rivales,rival,30
s',se,51
en,en,52
allèrent,aller,19
ensemble,ensemble,60
/.,/.,P
ni,ni,82
les,le,71
uns,un,52
ni,ni,82
les,le,71
autres,autre,52
ne,ne,60
songeaient,songer,18
plus,plus,60
à,à,81
la,le,71
trahison,trahison,22
dont,dont,52
s',se,51
était,être,18
rendu,rendre,12
coupable,coupable,30
Grandet,Grandet,20
le,le,71
matin,matin,21
envers,envers,81
le,le,71
pays,pays,21
vignoble,vignoble,21
",",",",p
et,et,82
se,se,51
sondèrent,sonder,19
mutuellement,mutuellement,60
",",",",p
mais,mais,82
en,en,81
vain,vain,30
",",",",p
pour,pour,81
connaître,connaître,14
ce,ce,52
qu',que,52
ils,ils,51
pensaient,penser,18
sur,sur,81
les,le,71
intentions,intention,22
réelles,réel,30
du,de,81
du,le,71
bonhomme,bonhomme,21
en,en,81
cette,ce,74
nouvelle,nouveau,30
affaire,affaire,22
/.,/.,P
-,-,p
venez,venir,17
vous,vous,51
chez,chez,81
madame,madame,22
Dorsonval,Dorsonval,20
avec,avec,81
nous,nous,51
?,?,p
dit,dire,19
des,de,81
des,le,71
