11727
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-quatrième extrait>,<>,<>
<chapitre XI>,<>,<>
Christus,Christus,20
nos,nos,92
liberavit159,liberavit,92
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
cette,ce,74
histoire,histoire,22
de,de,81
Fantine,Fantine,20
/?,/?,P
c',ce,52
est,être,17
la,le,71
société,société,22
achetant,acheter,13
une,un,71
esclave,esclave,22
/.,/.,P
à,à,81
qui,qui,52
/?,/?,P
à,à,81
la,le,71
misère,misère,22
/.,/.,P
à,à,81
la,le,71
faim,faim,22
",",",",p
au,à,81
au,le,71
froid,froid,21
",",",",p
à,à,81
l',le,71
isolement,isolement,21
",",",",p
à,à,81
l',le,71
abandon,abandon,21
",",",",p
au,à,81
au,le,71
dénûment,dénuement,21
/.,/.,P
marché,marché,21
douloureux,douloureux,30
/.,/.,P
une,un,71
âme,âme,22
pour,pour,81
un,un,71
morceau,morceau,21
de,de,81
pain,pain,21
/.,/.,P
la,le,71
misère,misère,22
offre,offrir,17
",",",",p
la,le,71
société,société,22
accepte,accepter,17
/.,/.,P
la,le,71
sainte,saint,30
loi,loi,22
de,de,81
Jésus-Christ,Jésus-Christ,20
gouverne,gouverner,17
notre,notre,73
civilisation,civilisation,22
",",",",p
mais,mais,82
elle,il,51
ne,ne,60
la,le,52
pénètre,pénétrer,17
pas,pas,60
encore,encore,60
/.,/.,P
on,on,51
dit,dire,17
que,que,83
l',le,71
esclavage,esclavage,21
a,avoir,17
disparu,disparaître,12
de,de,81
la,le,71
civilisation,civilisation,22
européenne,européen,30
/.,/.,P
c',ce,52
est,être,17
une,un,71
erreur,erreur,22
/.,/.,P
il,il,51
existe,exister,17
toujours,toujours,60
",",",",p
mais,mais,82
il,il,51
ne,ne,60
pèse,peser,17
plus,plus,60
que,que,83
sur,sur,81
la,le,71
femme,femme,22
",",",",p
et,et,82
il,il,51
s',se,51
appelle,appeler,17
prostitution,prostitution,22
/.,/.,P
il,il,51
pèse,peser,17
sur,sur,81
la,le,71
femme,femme,22
",",",",p
c'est-à-dire,c'est-à-dire,91
sur,sur,81
la,le,71
grâce,grâce,22
",",",",p
sur,sur,81
la,le,71
faiblesse,faiblesse,22
",",",",p
sur,sur,81
la,le,71
beauté,beauté,22
",",",",p
sur,sur,81
la,le,71
maternité,maternité,22
/.,/.,P
ceci,ceci,52
n',ne,60
est,être,17
pas,pas,60
une,un,52
des,de,81
des,le,71
moindres,moindre,30
hontes,honte,22
de,de,81
l',le,71
homme,homme,21
/.,/.,P
au,à,81
au,le,71
point,point,21
de,de,81
ce,ce,74
douloureux,douloureux,30
drame,drame,21
où,où,60
nous,nous,51
sommes,être,17
arrivés,arriver,12
",",",",p
il,il,51
ne,ne,60
reste,rester,17
plus,plus,60
rien,rien,52
à,à,81
Fantine,Fantine,20
de,de,81
ce,ce,52
qu',que,52
elle,il,51
a,avoir,17
été,être,12
autrefois,autrefois,60
/.,/.,P
elle,il,51
est,être,17
devenue,devenir,12
marbre,marbre,21
en,en,81
devenant,devenir,13
boue,boue,22
/.,/.,P
qui,qui,52
la,le,52
touche,toucher,17
a,avoir,17
froid,froid,21
/.,/.,P
elle,il,51
passe,passer,17
",",",",p
elle,il,51
vous,vous,51
subit,subir,17
et,et,82
elle,il,51
vous,vous,51
ignore,ignorer,17
;,;,p
elle,il,51
est,être,17
la,le,71
figure,figure,22
déshonorée,déshonoré,31
et,et,82
sévère,sévère,30
/.,/.,P
la,le,71
vie,vie,22
et,et,82
l',le,71
ordre,ordre,21
social,social,30
lui,lui,51
ont,avoir,17
dit,dire,12
leur,leur,73
dernier,dernier,30
mot,mot,21
/.,/.,P
il,il,51
lui,lui,51
est,être,17
arrivé,arriver,12
tout,tout,52
ce,ce,52
qui,qui,52
lui,lui,51
arrivera,arriver,15
/.,/.,P
elle,il,51
a,avoir,17
tout,tout,52
ressenti,ressentir,12
",",",",p
tout,tout,52
supporté,supporter,12
",",",",p
tout,tout,52
éprouvé,éprouver,12
",",",",p
tout,tout,52
souffert,souffrir,12
",",",",p
tout,tout,52
perdu,perdre,12
",",",",p
tout,tout,52
pleuré,pleurer,12
/.,/.,P
elle,il,51
est,être,17
résignée,résigner,12
de,de,81
cette,ce,74
résignation,résignation,22
qui,qui,52
ressemble,ressembler,17
à,à,81
l',le,71
indifférence,indifférence,22
comme,comme,83
la,le,71
mort,mort,22
ressemble,ressembler,17
au,à,81
au,le,71
sommeil,sommeil,21
/.,/.,P
elle,il,51
n',ne,60
évite,éviter,17
plus,plus,60
rien,rien,52
/.,/.,P
elle,il,51
ne,ne,60
craint,craindre,17
plus,plus,60
rien,rien,52
/.,/.,P
tombe,tomber,17
sur,sur,81
elle,il,51
toute,tout,75
la,le,71
nuée,nuée,22
et,et,82
passe,passe,21
sur,sur,81
elle,il,51
tout,tout,75
l',le,71
océan,océan,21
!,!,p
que,que,52
lui,lui,51
importe,importer,17
!,!,p
c',ce,52
est,être,17
une,un,71
éponge,éponge,22
imbibée,imbibé,31
/.,/.,P
elle,il,51
le,le,52
croit,croire,17
du,de,81
du,le,71
moins,moins,60
",",",",p
mais,mais,82
c',ce,52
est,être,17
une,un,71
erreur,erreur,22
de,de,81
s',se,51
imaginer,imaginer,14
qu',que,83
on,on,51
épuise,épuiser,17
le,le,71
sort,sort,21
et,et,82
qu',que,83
on,on,51
touche,toucher,17
le,le,71
fond,fond,21
de,de,81
quoi,quoi,52
que,que,52
ce,ce,52
soit,être,17
/.,/.,P
hélas,hélas,60
!,!,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
toutes,tout,75
ces,ce,74
destinées,destinée,22
ainsi,ainsi,60
poussées,poussé,31
pêle-mêle,pêle-mêle,60
?,?,p
où,où,60
vont,aller,17
elles,ils,51
?,?,p
pourquoi,pourquoi,60
sont,être,17
elles,ils,51
ainsi,ainsi,60
/?,/?,P
celui,celui,52
qui,qui,52
sait,savoir,17
cela,cela,52
voit,voir,17
toute,tout,75
l',le,71
ombre,ombre,22
/.,/.,P
il,il,51
est,être,17
seul,seul,30
/.,/.,P
il,il,51
s',se,51
appelle,appeler,17
dieu,dieu,21
/.,/.,P
<chapitre XII>,<>,<>
le,le,71
désoeuvrement,désoeuvrement,21
de,de,81
monsieur,monsieur,21
Bamatabois,Bamatabois,20
/.,/.,P
il,il,51
y,y,52
a,avoir,17
dans,dans,81
toutes,tout,75
les,le,71
petites,petite,22
villes,ville,22
",",",",p
et,et,82
il,il,51
y,y,52
avait,avoir,18
à,à,81
Montreuil-sur-Mer,Montreuil-sur-Mer,20
en,en,81
particulier,particulier,21
",",",",p
une,un,71
classe,classe,22
de,de,81
jeunes,jeune,30
gens,gens,21
qui,qui,52
grignotent,grignoter,17
quinze,quinze,72
cents,cent,72
livres,livre,22
de,de,81
rente,rente,22
en,en,81
province,province,22
du,de,81
du,le,71
même,même,75
air,air,21
dont,dont,52
leurs,leur,73
pareils,pareil,30
dévorent,dévorer,17
à,à,81
Paris,Paris,20
deux,deux,72
cent,cent,72
mille,mille,72
francs,franc,21
par,par,81
an,an,21
/.,/.,P
ce,ce,52
sont,être,17
des,de,81
des,le,71
êtres,être,21
de,de,81
la,le,71
grande,grand,30
espèce,espèce,22
neutre,neutre,30
;,;,p
hongres,hongre,30
",",",",p
parasites,parasite,21
",",",",p
nuls,nul,52
",",",",p
qui,qui,52
ont,avoir,17
un,un,71
peu,peu,60
de,de,81
terre,terre,22
",",",",p
un,un,71
peu,peu,60
de,de,81
sottise,sottise,22
et,et,82
un,un,71
peu,peu,60
d',de,81
esprit,esprit,21
",",",",p
qui,qui,52
seraient,être,16
des,de,81
des,le,71
rustres,rustre,21
dans,dans,81
un,un,71
salon,salon,21
et,et,82
se,se,51
croient,croire,17
des,de,81
des,le,71
gentilshommes,gentilhomme,21
au,à,81
au,le,71
cabaret,cabaret,21
",",",",p
qui,qui,52
disent,dire,17
:,:,p
mes,mon,73
prés,pré,21
",",",",p
mes,mon,73
bois,bois,21
",",",",p
mes,mon,73
paysans,paysan,21
",",",",p
sifflent,siffler,17
les,le,71
actrices,actrice,22
du,de,81
du,le,71
théâtre,théâtre,21
pour,pour,81
prouver,prouver,14
qu',que,83
ils,ils,51
sont,être,17
gens,gens,21
de,de,81
goût,goût,21
",",",",p
querellent,quereller,17
les,le,71
officiers,officier,21
de,de,81
la,le,71
garnison,garnison,22
pour,pour,81
montrer,montrer,14
qu',que,83
ils,ils,51
sont,être,17
gens,gens,21
de,de,81
guerre,guerre,22
",",",",p
chassent,chasser,17
",",",",p
fument,fumer,17
",",",",p
bâillent,bâiller,17
",",",",p
boivent,boire,17
",",",",p
sentent,sentir,17
le,le,71
tabac,tabac,21
",",",",p
jouent,jouer,17
au,à,81
au,le,71
billard,billard,21
",",",",p
regardent,regarder,17
les,le,71
voyageurs,voyageur,21
descendre,descendre,14
de,de,81
diligence,diligence,22
",",",",p
vivent,vivre,17
au,à,81
au,le,71
café,café,21
",",",",p
dînent,dîner,17
à,à,81
l',le,71
auberge,auberge,22
",",",",p
ont,avoir,17
un,un,71
chien,chien,21
qui,qui,52
mange,manger,17
les,le,71
os,os,21
sous,sous,81
la,le,71
table,table,22
et,et,82
une,un,71
maîtresse,maîtresse,22
qui,qui,52
pose,poser,17
les,le,71
plats,plat,30
dessus,dessus,21
",",",",p
tiennent,tenir,17
à,à,81
un,un,71
sou,sou,21
",",",",p
exagèrent,exagérer,17
les,le,71
modes,mode,22
",",",",p
admirent,admirer,17
la,le,71
tragédie,tragédie,22
",",",",p
méprisent,mépriser,17
les,le,71
femmes,femme,22
",",",",p
usent,user,17
leurs,leur,73
vieilles,vieux,30
bottes,botte,22
",",",",p
copient,copier,17
Londres,Londres,20
à,à,81
travers,travers,21
Paris,Paris,20
et,et,82
Paris,Paris,20
à,à,81
travers,travers,21
Pont-à-Mousson,Pont-à-Mousson,20
",",",",p
vieillissent,vieillir,17
hébétés,hébété,30
",",",",p
ne,ne,60
travaillent,travailler,17
pas,pas,60
",",",",p
ne,ne,60
servent,servir,17
à,à,81
rien,rien,52
et,et,82
ne,ne,60
nuisent,nuire,17
pas,pas,60
à,à,81
grand'chose,grand-chose,22
/.,/.,P
monsieur,monsieur,21
Félix,Félix,20
Tholomyès,Tholomyès,20
",",",",p
resté,resté,31
dans,dans,81
sa,son,73
province,province,22
et,et,82
n',ne,60
ayant,avoir,13
jamais,jamais,60
vu,voir,12
Paris,Paris,20
",",",",p
serait,être,16
un,un,52
de,de,81
ces,ce,74
hommes,homme,21
là,là,60
/.,/.,P
s',si,83
ils,ils,51
étaient,être,18
plus,plus,60
riches,riche,30
",",",",p
on,on,51
dirait,dire,16
:,:,p
ce,ce,52
sont,être,17
des,de,81
des,le,71
élégants,élégant,30
;,;,p
s',si,83
ils,ils,51
étaient,être,18
plus,plus,60
pauvres,pauvre,30
",",",",p
on,on,51
dirait,dire,16
:,:,p
ce,ce,52
sont,être,17
des,de,81
des,le,71
fainéants,fainéant,21
/.,/.,P
ce,ce,52
sont,être,17
tout,tout,60
simplement,simplement,60
des,de,81
des,le,71
désoeuvrés,désoeuvré,21
/.,/.,P
parmi,parmi,81
ces,ce,74
désoeuvrés,désoeuvré,21
",",",",p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
ennuyeux,ennuyeux,30
",",",",p
des,de,81
des,le,71
ennuyés,ennuyé,31
",",",",p
des,de,81
des,le,71
rêvasseurs,rêvasseur,21
",",",",p
et,et,82
quelques,quelque,75
drôles,drôle,21
/.,/.,P
dans,dans,81
ce,ce,74
temps,temps,21
là,là,60
",",",",p
un,un,71
élégant,élégant,30
se,se,51
composait,composer,18
d',de,81
un,un,71
grand,grand,30
col,col,21
",",",",p
d',de,81
une,un,71
grande,grand,30
cravate,cravate,22
",",",",p
d',de,81
une,un,71
montre,montre,22
à,à,81
breloques,breloque,22
",",",",p
de,de,81
trois,trois,72
gilets,gilet,21
superposés,superposé,31
de,de,81
couleurs,couleur,22
différentes,différent,30
",",",",p
le,le,71
bleu,bleu,30
et,et,82
le,le,71
rouge,rouge,30
en,en,81
dedans,dedans,21
",",",",p
d',de,81
un,un,71
habit,habit,21
couleur,couleur,22
olive,olive,22
à,à,81
taille,taille,22
courte,court,30
",",",",p
à,à,81
queue,queue,22
de,de,81
morue,morue,22
",",",",p
à,à,81
double,double,30
rangée,rangée,22
de,de,81
boutons,bouton,21
d',de,81
argent,argent,21
serrés,serré,31
les,le,71
uns,un,52
contre,contre,81
les,le,71
autres,autre,52
et,et,82
montant,monter,13
jusque,jusque,81
sur,sur,81
l',le,71
épaule,épaule,22
",",",",p
et,et,82
d',de,81
un,un,71
pantalon,pantalon,21
olive,olive,22
plus,plus,60
clair,clair,60
",",",",p
orné,orné,31
sur,sur,81
les,le,71
deux,deux,72
coutures,couture,22
d',de,81
un,un,71
nombre,nombre,21
de,de,81
côtes,côte,22
indéterminé,indéterminé,30
",",",",p
mais,mais,82
toujours,toujours,60
impair,impair,21
",",",",p
variant,varier,13
de,de,81
une,un,52
à,à,81
onze,onze,72
",",",",p
limite,limiter,17
qui,qui,52
n',ne,60
était,être,18
jamais,jamais,60
franchie,franchir,12
/.,/.,P
ajoutez,ajouter,17
à,à,81
cela,cela,52
des,de,81
des,le,71
souliers,soulier,21
bottes,botte,22
avec,avec,81
de,de,81
petits,petit,30
fers,fer,21
au,à,81
au,le,71
talon,talon,21
",",",",p
un,un,71
chapeau,chapeau,21
à,à,81
haute,haut,30
forme,forme,22
et,et,82
à,à,81
bords,bord,21
étroits,étroit,30
",",",",p
des,de,81
des,le,71
cheveux,cheveu,21
en,en,81
touffe,touffe,22
",",",",p
une,un,71
énorme,énorme,30
canne,canne,22
",",",",p
et,et,82
une,un,71
conversation,conversation,22
rehaussée,rehaussé,31
des,de,81
des,le,71
calembours,calembour,21
de,de,81
Potier,Potier,20
/.,/.,P
sur,sur,81
le,le,71
tout,tout,21
des,de,81
des,le,71
éperons,éperon,21
et,et,82
des,de,81
des,le,71
moustaches,moustache,22
/.,/.,P
à,à,81
cette,ce,74
époque,époque,22
",",",",p
des,de,81
des,le,71
moustaches,moustache,22
voulaient,vouloir,18
dire,dire,14
bourgeois,bourgeois,30
et,et,82
des,de,81
des,le,71
éperons,éperon,21
voulaient,vouloir,18
dire,dire,14
piéton,piéton,21
/.,/.,P
l',le,71
élégant,élégant,30
de,de,81
province,province,22
portait,porter,18
les,le,71
éperons,éperon,21
plus,plus,60
longs,long,30
et,et,82
les,le,71
moustaches,moustache,22
plus,plus,60
farouches,farouche,30
/.,/.,P
c',ce,52
était,être,18
le,le,71
temps,temps,21
de,de,81
la,le,71
lutte,lutte,22
des,de,81
des,le,71
républiques,république,22
de,de,81
l',le,71
Amérique,Amérique,20
méridionale,méridional,30
contre,contre,81
le,le,71
roi,roi,21
d',de,81
Espagne,Espagne,20
",",",",p
de,de,81
Bolivar,Bolivar,20
contre,contre,81
Morillo,Morillo,20
/.,/.,P
les,le,71
chapeaux,chapeau,21
à,à,81
petits,petit,30
bords,bord,21
étaient,être,18
royalistes,royaliste,30
et,et,82
se,se,51
nommaient,nommer,18
des,de,81
des,le,71
morillos,morillo,92
;,;,p
les,le,71
libéraux,libéral,21
portaient,porter,18
des,de,81
des,le,71
chapeaux,chapeau,21
à,à,81
larges,large,30
bords,bord,21
qui,qui,52
s',se,51
appelaient,appeler,18
des,de,81
des,le,71
bolivars,bolivar,21
/.,/.,P
huit,huit,72
ou,ou,82
dix,dix,72
mois,mois,21
donc,donc,82
après,après,81
ce,ce,52
qui,qui,52
a,avoir,17
été,être,12
raconté,raconter,12
dans,dans,81
les,le,71
pages,page,22
précédentes,précédent,30
",",",",p
vers,vers,81
les,le,71
premiers,premier,72
jours,jour,21
de,de,81
<Nombre janvier 1823>,<>,<>
janvier,janvier,21
mille,mille,72
huit,huit,72
cent,cent,72
vingt,vingt,72
trois,trois,72
<Fin nombre>,<>,<>
",",",",p
un,un,71
soir,soir,21
qu',que,52
il,il,51
avait,avoir,18
neigé,neiger,12
",",",",p
un,un,52
de,de,81
ces,ce,74
élégants,élégant,30
",",",",p
un,un,52
de,de,81
ces,ce,74
désoeuvrés,désoeuvré,21
",",",",p
un,un,71
“,“,p
bien,bien,60
pensant,penser,13
“,“,p
",",",",p
car,car,82
il,il,51
avait,avoir,18
un,un,71
morillo,morillo,21
",",",",p
de,de,81
plus,plus,60
chaudement,chaudement,60
enveloppé,enveloppé,31
d',de,81
un,un,52
de,de,81
ces,ce,74
grands,grand,30
manteaux,manteau,21
qui,qui,52
complétaient,compléter,18
dans,dans,81
les,le,71
temps,temps,21
froids,froid,30
le,le,71
costume,costume,21
à,à,81
la,le,71
mode,mode,22
",",",",p
se,se,51
divertissait,divertir,18
à,à,81
harceler,harceler,14
une,un,71
créature,créature,22
qui,qui,52
rôdait,rôder,18
en,en,81
robe,robe,22
de,de,81
bal,bal,21
et,et,82
toute,tout,60
décolletée,décolleté,31
avec,avec,81
des,de,81
des,le,71
fleurs,fleur,22
sur,sur,81
la,le,71
tête,tête,22
devant,devant,81
la,le,71
vitre,vitre,22
du,de,81
du,le,71
café,café,21
des,de,81
des,le,71
officiers,officier,21
/.,/.,P
cet,ce,74
élégant,élégant,30
fumait,fumer,18
",",",",p
car,car,82
c',ce,52
était,être,18
décidément,décidément,60
la,le,71
mode,mode,22
/.,/.,P
chaque,chaque,75
fois,fois,22
que,que,83
cette,ce,74
femme,femme,22
passait,passer,18
devant,devant,81
lui,lui,51
",",",",p
il,il,51
lui,lui,51
jetait,jeter,18
",",",",p
avec,avec,81
une,un,71
bouffée,bouffée,22
de,de,81
la,le,71
fumée,fumée,22
de,de,81
son,son,73
cigare,cigare,21
",",",",p
quelque,quelque,75
apostrophe,apostrophe,22
qu',que,52
il,il,51
croyait,croire,18
spirituelle,spirituel,30
et,et,82
gaie,gai,30
",",",",p
comme,comme,83
:,:,p
-,-,p
que,que,52
tu,tu,51
es,être,17
laide,laid,30
/!,/!,P
veux,vouloir,17
tu,tu,51
te,tu,51
cacher,cacher,14
/!,/!,P
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
de,de,81
dents,dent,22
!,!,p
etc,et cetera,91
",",",",p
etc,et cetera,91
-,-,p
ce,ce,74
monsieur,monsieur,21
s',se,51
appelait,appeler,18
monsieur,monsieur,21
Bamatabois,Bamatabois,20
/.,/.,P
la,le,71
femme,femme,22
",",",",p
triste,triste,30
spectre,spectre,21
paré,paré,31
qui,qui,52
allait,aller,18
et,et,82
venait,venir,18
sur,sur,81
la,le,71
neige,neige,22
",",",",p
ne,ne,60
lui,lui,51
répondait,répondre,18
pas,pas,60
",",",",p
ne,ne,60
le,le,52
regardait,regarder,18
même,même,60
pas,pas,60
",",",",p
et,et,82
n',ne,60
en,en,52
accomplissait,accomplir,18
pas,pas,60
moins,moins,60
en,en,81
silence,silence,21
et,et,82
avec,avec,81
une,un,71
régularité,régularité,22
sombre,sombre,30
sa,son,73
promenade,promenade,22
qui,qui,52
la,le,52
ramenait,ramener,18
de,de,81
cinq,cinq,72
minutes,minute,22
en,en,81
cinq,cinq,72
minutes,minute,22
sous,sous,81
le,le,71
sarcasme,sarcasme,21
",",",",p
comme,comme,83
le,le,71
soldat,soldat,21
condamné,condamné,31
qui,qui,52
revient,revenir,17
sous,sous,81
les,le,71
verges,verge,22
/.,/.,P
ce,ce,74
peu,peu,60
d',de,81
effet,effet,21
piqua,piquer,19
sans,sans,81
doute,doute,21
l',le,71
oisif,oisif,30
qui,qui,52
",",",",p
profitant,profiter,13
d',de,81
un,un,71
moment,moment,21
où,où,60
elle,il,51
se,se,51
retournait,retourner,18
",",",",p
s',se,51
avança,avancer,19
derrière,derrière,81
elle,il,51
à,à,81
pas,pas,21
de,de,81
loup,loup,21
et,et,82
en,en,81
étouffant,étouffer,13
son,son,73
rire,rire,21
",",",",p
se,se,51
baissa,baisser,19
",",",",p
prit,prendre,19
sur,sur,81
le,le,71
pavé,pavé,21
une,un,71
poignée,poignée,22
de,de,81
neige,neige,22
et,et,82
la,le,52
lui,lui,51
plongea,plonger,19
brusquement,brusquement,60
dans,dans,81
le,le,71
dos,dos,21
entre,entre,81
ses,son,73
deux,deux,72
épaules,épaule,22
nues,nu,30
/.,/.,P
la,le,71
fille,fille,22
poussa,pousser,19
un,un,71
rugissement,rugissement,21
",",",",p
se,se,51
tourna,tourner,19
",",",",p
bondit,bondir,19
comme,comme,83
une,un,71
panthère,panthère,22
",",",",p
et,et,82
se,se,51
rua,ruer,19
sur,sur,81
l',le,71
homme,homme,21
",",",",p
lui,lui,51
enfonçant,enfoncer,13
ses,son,73
ongles,ongle,21
dans,dans,81
le,le,71
visage,visage,21
",",",",p
avec,avec,81
les,le,71
plus,plus,60
effroyables,effroyable,30
paroles,parole,22
qui,qui,52
puissent,pouvoir,17
tomber,tomber,14
du,de,81
du,le,71
corps,corps,21
de,de,81
garde,garde,22
dans,dans,81
le,le,71
ruisseau,ruisseau,21
/.,/.,P
ces,ce,74
injures,injure,22
",",",",p
vomies,vomi,31
d',de,81
une,un,71
voix,voix,22
enrouée,enroué,31
par,par,81
l',le,71
eau-de-vie,eau-de-vie,22
",",",",p
sortaient,sortir,18
hideusement,hideusement,60
d',de,81
une,un,71
bouche,bouche,22
à,à,81
laquelle,lequel,52
manquaient,manquer,18
en,en,81
effet,effet,21
les,le,71
deux,deux,72
dents,dent,22
de,de,81
devant,devant,21
/.,/.,P
c',ce,52
était,être,18
la,le,71
Fantine,Fantine,20
/.,/.,P
au,à,81
au,le,71
bruit,bruit,21
que,que,52
cela,cela,52
fit,faire,19
",",",",p
les,le,71
officiers,officier,21
sortirent,sortir,19
en,en,81
foule,foule,22
du,de,81
du,le,71
café,café,21
",",",",p
les,le,71
passants,passant,21
s',se,51
amassèrent,amasser,19
",",",",p
et,et,82
il,il,51
se,se,51
forma,former,19
un,un,71
grand,grand,30
cercle,cercle,21
riant,riant,30
",",",",p
huant,huer,13
et,et,82
applaudissant,applaudir,13
",",",",p
autour,autour,60
de,de,81
ce,ce,74
tourbillon,tourbillon,21
composé,composé,31
de,de,81
deux,deux,72
êtres,être,21
où,où,60
l',l',94
on,on,51
avait,avoir,18
peine,peine,22
à,à,81
reconnaître,reconnaître,14
un,un,71
homme,homme,21
et,et,82
une,un,71
femme,femme,22
",",",",p
l',le,71
homme,homme,21
se,se,51
débattant,débattre,13
",",",",p
son,son,73
chapeau,chapeau,21
à,à,81
terre,terre,22
",",",",p
la,le,71
femme,femme,22
frappant,frapper,13
des,de,81
des,le,71
pieds,pied,21
et,et,82
des,de,81
des,le,71
poings,poing,21
",",",",p
décoiffée,décoiffé,31
",",",",p
hurlant,hurlant,30
",",",",p
sans,sans,81
dents,dent,22
et,et,82
sans,sans,81
cheveux,cheveu,21
",",",",p
livide,livide,30
de,de,81
colère,colère,22
",",",",p
horrible,horrible,30
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
un,un,71
homme,homme,21
de,de,81
haute,haut,30
taille,taille,22
sortit,sortir,19
vivement,vivement,60
de,de,81
la,le,71
foule,foule,22
",",",",p
saisit,saisir,19
la,le,71
femme,femme,22
à,à,81
son,son,73
corsage,corsage,21
de,de,81
satin,satin,21
couvert,couvert,31
de,de,81
boue,boue,22
",",",",p
et,et,82
lui,lui,51
dit,dire,19
:,:,p
suis,suivre,17
moi,moi,51
/!,/!,P
la,le,71
femme,femme,22
leva,lever,19
la,le,71
tête,tête,22
;,;,p
sa,son,73
voix,voix,22
furieuse,furieux,30
s',se,51
éteignit,éteindre,19
subitement,subitement,60
/.,/.,P
ses,son,73
yeux,oeil,21
étaient,être,18
vitreux,vitreux,30
",",",",p
de,de,81
livide,livide,30
elle,il,51
était,être,18
devenue,devenir,12
pâle,pâle,30
",",",",p
et,et,82
elle,il,51
tremblait,trembler,18
d',de,81
un,un,71
tremblement,tremblement,21
de,de,81
terreur,terreur,22
/.,/.,P
elle,il,51
avait,avoir,18
reconnu,reconnaître,12
Javert,Javert,20
/.,/.,P
l',le,71
élégant,élégant,30
avait,avoir,18
profité,profiter,12
de,de,81
l',le,71
incident,incident,21
pour,pour,81
s',se,51
esquiver,esquiver,14
/.,/.,P
<chapitre XIII>,<>,<>
solution,solution,22
de,de,81
quelques,quelque,75
questions,question,22
de,de,81
police,police,22
municipale,municipal,30
/.,/.,P
Javert,Javert,20
écarta,écarter,19
les,le,71
assistants,assistant,21
",",",",p
rompit,rompre,19
le,le,71
cercle,cercle,21
et,et,82
se,se,51
mit,mettre,19
à,à,81
marcher,marcher,14
à,à,81
grands,grand,30
pas,pas,21
vers,vers,81
le,le,71
bureau,bureau,21
de,de,81
police,police,22
qui,qui,52
est,être,17
à,à,81
l',le,71
extrémité,extrémité,22
de,de,81
la,le,71
place,place,22
",",",",p
traînant,traîner,13
après,après,81
lui,lui,51
la,le,71
misérable,misérable,30
/.,/.,P
elle,il,51
se,se,51
laissait,laisser,18
faire,faire,14
machinalement,machinalement,60
/.,/.,P
ni,ni,82
lui,lui,51
ni,ni,82
elle,il,51
ne,ne,60
disaient,dire,18
un,un,71
mot,mot,21
/.,/.,P
la,le,71
nuée,nuée,22
des,de,81
des,le,71
spectateurs,spectateur,21
",",",",p
au,à,81
au,le,71
paroxysme,paroxysme,21
de,de,81
la,le,71
joie,joie,22
",",",",p
suivait,suivre,18
avec,avec,81
des,de,81
des,le,71
quolibets,quolibet,21
/.,/.,P
la,le,71
suprême,suprême,30
misère,misère,22
",",",",p
occasion,occasion,22
d',de,81
obscénités,obscénité,22
/.,/.,P
arrivé,arrivé,31
au,à,81
au,le,71
bureau,bureau,21
de,de,81
police,police,22
qui,qui,52
était,être,18
une,un,71
salle,salle,22
basse,bas,30
chauffée,chauffé,31
par,par,81
un,un,71
poêle,poêle,21
et,et,82
gardée,garder,12
par,par,81
un,un,71
poste,poste,21
",",",",p
avec,avec,81
une,un,71
porte,porte,22
vitrée,vitré,30
et,et,82
grillée,grillé,31
sur,sur,81
la,le,71
rue,rue,22
",",",",p
Javert,Javert,20
ouvrit,ouvrir,19
la,le,71
porte,porte,22
",",",",p
entra,entrer,19
avec,avec,81
Fantine,Fantine,20
",",",",p
et,et,82
referma,refermer,19
la,le,71
porte,porte,22
derrière,derrière,81
lui,lui,51
",",",",p
au,à,81
au,le,71
grand,grand,30
désappointement,désappointement,21
des,de,81
des,le,71
curieux,curieux,21
qui,qui,52
se,se,51
haussèrent,hausser,19
sur,sur,81
la,le,71
pointe,pointe,22
du,de,81
du,le,71
pied,pied,21
et,et,82
allongèrent,allonger,19
le,le,71
cou,cou,21
devant,devant,81
la,le,71
vitre,vitre,22
trouble,trouble,30
du,de,81
du,le,71
corps,corps,21
de,de,81
garde,garde,22
",",",",p
cherchant,chercher,13
à,à,81
voir,voir,14
/.,/.,P
la,le,71
curiosité,curiosité,22
est,être,17
une,un,71
gourmandise,gourmandise,22
/.,/.,P
voir,voir,14
",",",",p
c',ce,52
est,être,17
dévorer,dévorer,14
/.,/.,P
en,en,81
entrant,entrer,13
",",",",p
la,le,71
Fantine,Fantine,20
alla,aller,19
tomber,tomber,14
dans,dans,81
un,un,71
coin,coin,21
",",",",p
immobile,immobile,30
et,et,82
muette,muet,30
",",",",p
accroupie,accroupi,31
comme,comme,83
une,un,71
chienne,chienne,22
qui,qui,52
a,avoir,17
peur,peur,22
/.,/.,P
le,le,71
sergent,sergent,21
du,de,81
du,le,71
poste,poste,21
apporta,apporter,19
une,un,71
chandelle,chandelle,22
allumée,allumé,31
sur,sur,81
une,un,71
table,table,22
/.,/.,P
Javert,Javert,20
s',se,51
assit,asseoir,19
",",",",p
tira,tirer,19
de,de,81
sa,son,73
poche,poche,22
une,un,71
