11881
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-quatrième extrait>,<>,<>
",",",",p
donnant,donner,13
sur,sur,81
le,le,71
corridor,corridor,21
",",",",p
et,et,82
dont,dont,52
une,un,71
fenêtre,fenêtre,22
ouvrait,ouvrir,18
au-dessus,au-dessus,60
d',de,81
une,un,71
série,série,22
de,de,81
toits,toit,21
étagés,étagé,31
",",",",p
allant,aller,13
jusqu',jusque,81
au,à,81
au,le,71
boulevard,boulevard,21
;,;,p
et,et,82
encore,encore,60
un,un,71
tel,tel,75
chemin,chemin,21
offrait,offrir,18
de,de,81
si,si,60
grands,grand,30
périls,péril,21
",",",",p
que,que,83
beaucoup,beaucoup,60
se,se,51
refusaient,refuser,18
à,à,81
croire,croire,14
qu',que,83
un,un,71
être,être,21
humain,humain,30
avait,avoir,18
pu,pouvoir,12
le,le,52
suivre,suivre,14
/.,/.,P
ramenée,ramené,31
chez,chez,81
sa,son,73
mère,mère,22
",",",",p
Alice,Alice,20
gardait,garder,18
le,le,71
lit,lit,21
",",",",p
meurtrie,meurtri,31
",",",",p
éperdue,éperdu,30
",",",",p
sanglotante,sanglotant,30
",",",",p
secouée,secoué,31
d',de,81
une,un,71
intense,intense,30
fièvre,fièvre,22
/.,/.,P
madame,madame,22
Caroline,Caroline,20
écouta,écouter,19
ce,ce,74
récit,récit,21
dans,dans,81
un,un,71
saisissement,saisissement,21
tel,tel,75
",",",",p
qu',que,83
il,il,51
lui,lui,51
semblait,sembler,18
que,que,83
tout,tout,75
le,le,71
sang,sang,21
de,de,81
son,son,73
coeur,coeur,21
se,se,51
glaçait,glacer,18
/.,/.,P
un,un,71
souvenir,souvenir,21
s',se,51
était,être,18
éveillé,éveiller,12
",",",",p
l',le,52
épouvantait,épouvanter,18
d',de,81
un,un,71
affreux,affreux,30
rapprochement,rapprochement,21
Saccard,Saccard,20
",",",",p
autrefois,autrefois,60
",",",",p
prenant,prendre,13
la,le,71
misérable,misérable,30
Rosalie,Rosalie,20
sur,sur,81
une,un,71
marche,marche,22
",",",",p
lui,lui,51
démettant,démettre,13
l',le,71
épaule,épaule,22
",",",",p
au,à,81
au,le,71
moment,moment,21
de,de,81
la,le,71
conception,conception,22
de,de,81
cet,ce,74
enfant,enfant,21
qui,qui,52
en,en,52
avait,avoir,18
gardé,garder,12
comme,comme,83
une,un,71
joue,joue,22
écrasée,écrasé,31
;,;,p
et,et,82
",",",",p
aujourd'hui,aujourd'hui,60
",",",",p
Victor,Victor,20
violentant,violenter,13
à,à,81
son,son,73
tour,tour,21
la,le,71
première,premier,72
fille,fille,22
que,que,52
le,le,71
sort,sort,21
lui,lui,51
livrait,livrer,18
/.,/.,P
quelle,quel,75
inutile,inutile,30
cruauté,cruauté,22
!,!,p
cette,ce,74
jeune,jeune,30
fille,fille,22
si,si,60
douce,doux,30
",",",",p
la,le,71
fin,fin,22
désolée,désolé,31
d',de,81
une,un,71
race,race,22
",",",",p
qui,qui,52
était,être,18
sur,sur,81
le,le,71
point,point,21
de,de,81
se,se,51
donner,donner,14
à,à,81
dieu,dieu,21
",",",",p
ne,ne,60
pouvant,pouvoir,13
avoir,avoir,14
un,un,71
mari,mari,21
",",",",p
comme,comme,83
toutes,tout,75
les,le,71
autres,autre,52
/!,/!,P
avait,avoir,18
elle,il,51
donc,donc,82
un,un,71
sens,sens,21
",",",",p
cette,ce,74
rencontre,rencontre,22
imbécile,imbécile,30
et,et,82
abominable,abominable,30
/?,/?,P
pourquoi,pourquoi,60
avoir,avoir,14
brisé,briser,12
ceci,ceci,52
contre,contre,81
cela,cela,52
/?,/?,P
je,je,51
ne,ne,60
veux,vouloir,17
vous,vous,51
adresser,adresser,14
aucun,aucun,75
reproche,reproche,21
",",",",p
madame,madame,22
",",",",p
conclut,conclure,19
la,le,71
princesse,princesse,22
",",",",p
car,car,82
il,il,51
serait,être,16
injuste,injuste,30
de,de,81
faire,faire,14
remonter,remonter,14
jusqu',jusque,81
à,à,81
vous,vous,51
la,le,71
moindre,moindre,30
responsabilité,responsabilité,22
/.,/.,P
seulement,seulement,60
",",",",p
vous,vous,51
aviez,avoir,18
vraiment,vraiment,60
là,là,60
un,un,71
protégé,protégé,21
bien,bien,60
terrible,terrible,30
/.,/.,P
“,“,p
et,et,82
",",",",p
comme,comme,83
si,si,83
une,un,71
liaison,liaison,22
d',de,81
idées,idée,22
avait,avoir,18
lieu,lieu,21
en,en,81
elle,il,51
",",",",p
inexprimée,inexprimé,30
",",",",p
elle,il,51
ajouta,ajouter,19
:,:,p
“,“,p
on,on,51
ne,ne,60
vit,vivre,17
pas,pas,60
impunément,impunément,60
dans,dans,81
certains,certain,75
milieux,milieu,21
/…,/…,P
moi-même,moi-même,51
",",",",p
j',je,51
ai,avoir,17
eu,avoir,12
les,le,71
plus,plus,60
grands,grand,30
troubles,trouble,21
de,de,81
conscience,conscience,22
",",",",p
je,je,51
me,je,51
suis,être,17
sentie,sentir,12
complice,complice,30
lorsque,lorsque,83
",",",",p
dernièrement,dernièrement,60
",",",",p
cette,ce,74
banque,banque,22
a,avoir,17
croulé,crouler,12
",",",",p
en,en,81
amoncelant,amonceler,13
tant,tant,60
de,de,81
ruines,ruine,22
et,et,82
tant,tant,60
d',de,81
iniquités,iniquité,22
/.,/.,P
oui,oui,60
",",",",p
je,je,51
n',ne,60
aurais,avoir,16
pas,pas,60
dû,devoir,12
consentir,consentir,14
à,à,81
ce,ce,52
que,que,52
ma,mon,73
maison,maison,22
devint,devenir,19
le,le,71
berceau,berceau,21
d',de,81
une,un,71
abomination,abomination,22
pareille,pareil,30
/…,/…,P
enfin,enfin,60
",",",",p
le,le,71
mal,mal,21
est,être,17
fait,faire,12
",",",",p
la,le,71
maison,maison,22
sera,être,15
purifiée,purifier,12
",",",",p
et,et,82
moi,moi,51
",",",",p
oh,oh,93
!,!,p
moi,moi,51
",",",",p
je,je,51
ne,ne,60
suis,être,17
plus,plus,60
",",",",p
dieu,dieu,21
me,je,51
pardonnera,pardonner,15
/.,/.,P
“,“,p
son,son,73
pâle,pâle,30
sourire,sourire,21
d',de,81
espoir,espoir,21
enfin,enfin,60
réalisé,réalisé,31
avait,avoir,18
reparu,reparaître,12
",",",",p
elle,il,51
disait,dire,18
d',de,81
un,un,71
geste,geste,21
sa,son,73
sortie,sortie,22
du,de,81
du,le,71
monde,monde,21
",",",",p
sa,son,73
disparition,disparition,22
à,à,81
jamais,jamais,60
de,de,81
bonne,bon,30
déesse,déesse,22
invisible,invisible,30
/.,/.,P
madame,madame,22
Caroline,Caroline,20
lui,lui,51
avait,avoir,18
saisi,saisir,12
les,le,71
mains,main,22
",",",",p
les,le,52
serrait,serrer,18
",",",",p
les,le,52
baisait,baiser,18
",",",",p
tellement,tellement,60
bouleversée,bouleversé,31
de,de,81
remords,remords,21
et,et,82
de,de,81
pitié,pitié,22
",",",",p
qu',que,83
elle,il,51
bégayait,bégayer,18
des,de,81
des,le,71
paroles,parole,22
sans,sans,81
suite,suite,22
/.,/.,P
“,“,p
vous,vous,51
avez,avoir,17
tort,tort,21
de,de,81
m',je,51
excuser,excuser,14
",",",",p
je,je,51
suis,être,17
coupable,coupable,30
/…,/…,P
cette,ce,74
malheureuse,malheureux,30
enfant,enfant,21
",",",",p
je,je,51
veux,vouloir,17
la,le,52
voir,voir,14
",",",",p
je,je,51
cours,courir,17
tout,tout,60
de,de,81
suite,suite,22
la,le,52
voir,voir,14
/…,/…,P
“,“,p
et,et,82
elle,il,51
s',se,51
en,en,52
alla,aller,19
",",",",p
laissant,laisser,13
la,le,71
princesse,princesse,22
et,et,82
sa,son,73
vieille,vieux,30
bonne,bon,30
Sophie,Sophie,20
commencer,commencer,14
leurs,leur,73
paquets,paquet,21
",",",",p
pour,pour,81
le,le,71
grand,grand,30
départ,départ,21
qui,qui,52
devait,devoir,18
les,le,52
séparer,séparer,14
après,après,81
quarante,quarante,72
ans,an,21
de,de,81
vie,vie,22
commune,commun,30
/.,/.,P
l',le,71
avant-veille,avant-veille,22
",",",",p
le,le,71
samedi,samedi,21
",",",",p
la,le,71
comtesse,comtesse,22
de,de,81
Beauvilliers,Beauvilliers,20
s',se,51
était,être,18
résignée,résigner,12
à,à,81
abandonner,abandonner,14
son,son,73
hôtel,hôtel,21
à,à,81
ses,son,73
créanciers,créancier,21
/.,/.,P
depuis,depuis,81
six,six,72
mois,mois,21
qu',que,83
elle,il,51
ne,ne,60
payait,payer,18
plus,plus,60
les,le,71
intérêts,intérêt,21
des,de,81
des,le,71
hypothèques,hypothèque,22
",",",",p
la,le,71
situation,situation,22
était,être,18
devenue,devenir,12
intolérable,intolérable,30
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
frais,frais,21
de,de,81
toutes,tout,75
sortes,sorte,22
",",",",p
dans,dans,81
la,le,71
continuelle,continuel,30
menace,menace,22
d',de,81
une,un,71
vente,vente,22
judiciaire,judiciaire,30
;,;,p
et,et,82
son,son,73
avoué,avoué,21
lui,lui,51
avait,avoir,18
donné,donner,12
le,le,71
conseil,conseil,21
de,de,81
lâcher,lâcher,14
tout,tout,52
",",",",p
de,de,81
se,se,51
retirer,retirer,14
au,à,81
au,le,71
fond,fond,21
d',de,81
un,un,71
petit,petit,30
logement,logement,21
",",",",p
où,où,60
elle,il,51
vivrait,vivre,16
sans,sans,81
dépense,dépense,22
",",",",p
tandis qu',tandis que,83
il,il,51
tâcherait,tâcher,16
de,de,81
liquider,liquider,14
les,le,71
dettes,dette,22
/.,/.,P
elle,il,51
n',ne,60
aurait,avoir,16
pas,pas,60
cédé,céder,12
",",",",p
elle,il,51
se,se,51
serait,être,16
obstinée,obstiner,12
peut-être,peut-être,60
à,à,81
garder,garder,14
son,son,73
rang,rang,21
",",",",p
son,son,73
mensonge,mensonge,21
de,de,81
fortune,fortune,22
intacte,intact,30
",",",",p
jusqu',jusque,81
à,à,81
l',le,71
anéantissement,anéantissement,21
de,de,81
sa,son,73
race,race,22
",",",",p
sous,sous,81
l',le,71
écroulement,écroulement,21
des,de,81
des,le,71
plafonds,plafond,21
",",",",p
sans,sans,81
un,un,71
nouveau,nouveau,30
malheur,malheur,21
qui,qui,52
l',le,52
avait,avoir,18
terrassée,terrasser,12
/.,/.,P
son,son,73
fils,fils,21
Ferdinand,Ferdinand,20
",",",",p
le,le,71
dernier,dernier,21
des,de,81
des,le,71
Beauvilliers,Beauvilliers,20
",",",",p
l',le,71
inutile,inutile,30
jeune,jeune,30
homme,homme,21
",",",",p
écarté,écarté,31
de,de,81
tout,tout,75
emploi,emploi,21
",",",",p
devenu,devenu,31
zouave,zouave,21
pontifical,pontifical,30
pour,pour,81
échapper,échapper,14
à,à,81
sa,son,73
nullité,nullité,22
et,et,82
à,à,81
son,son,73
oisiveté,oisiveté,22
",",",",p
était,être,18
mort,mourir,12
à,à,81
Rome,Rome,20
",",",",p
sans,sans,81
gloire,gloire,22
",",",",p
si,si,60
pauvre,pauvre,30
de,de,81
sang,sang,21
",",",",p
si,si,60
éprouvé,éprouvé,31
par,par,81
le,le,71
soleil,soleil,21
trop,trop,60
lourd,lourd,30
",",",",p
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
pu,pouvoir,12
se,se,51
battre,battre,14
à,à,81
Mentana,Mentana,20
",",",",p
déjà,déjà,60
fiévreux,fiévreux,30
",",",",p
la,le,71
poitrine,poitrine,22
prise,pris,31
/.,/.,P
alors,alors,60
",",",",p
en,en,81
elle,il,51
",",",",p
il,il,51
y,y,52
avait,avoir,18
eu,avoir,12
un,un,71
brusque,brusque,30
vide,vide,21
",",",",p
un,un,71
effondrement,effondrement,21
de,de,81
toutes,tout,75
ses,son,73
idées,idée,22
",",",",p
de,de,81
toutes,tout,75
ses,son,73
volontés,volonté,22
",",",",p
de,de,81
l',le,71
échafaudage,échafaudage,21
laborieux,laborieux,30
qui,qui,52
",",",",p
depuis,depuis,81
tant,tant,60
d',de,81
années,année,22
",",",",p
soutenait,soutenir,18
si,si,60
fièrement,fièrement,60
l',le,71
honneur,honneur,21
du,de,81
du,le,71
nom,nom,21
/.,/.,P
vingt,vingt,72
quatre,quatre,72
heures,heure,22
suffirent,suffire,19
",",",",p
la,le,71
maison,maison,22
s',se,51
était,être,18
lézardée,lézarder,12
",",",",p
la,le,71
misère,misère,22
apparut,apparaître,19
",",",",p
navrante,navrant,30
",",",",p
parmi,parmi,81
les,le,71
décombres,décombre,21
/.,/.,P
on,on,51
vendit,vendre,19
le,le,71
vieux,vieux,30
cheval,cheval,21
",",",",p
la,le,71
cuisinière,cuisinière,22
seule,seul,30
resta,rester,19
",",",",p
fit,faire,19
son,son,73
marché,marché,21
en,en,81
tablier,tablier,21
sale,sale,30
",",",",p
deux,deux,72
sous,sou,21
de,de,81
beurre,beurre,21
et,et,82
un,un,71
litre,litre,21
de,de,81
haricots,haricot,21
secs,sec,30
",",",",p
la,le,71
comtesse,comtesse,22
fut,être,19
aperçue,apercevoir,12
sur,sur,81
le,le,71
trottoir,trottoir,21
en,en,81
robe,robe,22
crottée,crotté,31
",",",",p
avant,avant,81
aux,à,81
aux,le,71
pieds,pied,21
des,de,81
des,le,71
bottines,bottine,22
qui,qui,52
prenaient,prendre,18
l',le,71
eau,eau,22
/.,/.,P
c',ce,52
était,être,18
l',le,71
indigence,indigence,22
du,de,81
du,le,71
soir,soir,21
au,à,81
au,le,71
lendemain,lendemain,21
",",",",p
le,le,71
désastre,désastre,21
emportait,emporter,18
jusqu',jusque,81
à,à,81
l',le,71
orgueil,orgueil,21
de,de,81
cette,ce,74
croyante,croyant,30
des,de,81
des,le,71
jours,jour,21
d',de,81
autrefois,autrefois,60
",",",",p
en,en,81
lutte,lutte,22
contre,contre,81
son,son,73
siècle,siècle,21
/.,/.,P
et,et,82
elle,il,51
s',se,51
était,être,18
réfugiée,réfugier,12
sa,son,73
fille,fille,22
",",",",p
rue,rue,22
de,de,81
la,le,71
Tour-des-Dames,Tour des Dames,20
",",",",p
chez,chez,81
une,un,71
ancienne,ancien,30
marchande,marchande,22
à,à,81
la,le,71
toilette,toilette,22
",",",",p
devenue,devenu,31
dévote,dévote,22
",",",",p
qui,qui,52
sous-louait,sous-louer,18
des,de,81
des,le,71
chambres,chambre,22
meublées,meublé,31
à,à,81
des,de,81
des,le,71
prêtres,prêtre,21
/.,/.,P
là,là,60
",",",",p
elles,ils,51
habitaient,habiter,18
toutes,tout,75
deux,deux,72
dans,dans,81
une,un,71
grande,grand,30
chambre,chambre,22
nue,nu,30
",",",",p
d',de,81
une,un,71
misère,misère,22
digne,digne,30
et,et,82
triste,triste,30
",",",",p
dont,dont,52
une,un,71
alcôve,alcôve,22
fermée,fermé,31
occupait,occuper,18
le,le,71
fond,fond,21
/.,/.,P
deux,deux,72
petits,petit,30
lits,lit,21
emplissaient,emplir,18
l',le,71
alcôve,alcôve,22
",",",",p
et,et,82
lorsque,lorsque,83
les,le,71
châssis,châssis,21
",",",",p
tendus,tendu,31
du,de,81
du,le,71
même,même,75
papier,papier,21
que,que,52
les,le,71
murs,mur,21
",",",",p
étaient,être,18
clos,clore,12
",",",",p
la,le,71
chambre,chambre,22
se,se,51
transformait,transformer,18
en,en,81
salon,salon,21
/.,/.,P
cette,ce,74
disposition,disposition,22
heureuse,heureux,30
les,le,52
avait,avoir,18
un,un,71
peu,peu,60
consolées,consoler,12
/.,/.,P
mais,mais,82
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
deux,deux,72
heures,heure,22
que,que,83
la,le,71
comtesse,comtesse,22
de,de,81
Beauvilliers,Beauvilliers,20
était,être,18
installée,installer,12
",",",",p
le,le,71
samedi,samedi,21
",",",",p
lorsqu',lorsque,83
une,un,71
visite,visite,22
inattendue,inattendu,30
",",",",p
extraordinaire,extraordinaire,30
",",",",p
l',le,52
avait,avoir,18
rejetée,rejeter,12
dans,dans,81
une,un,71
nouvelle,nouveau,30
angoisse,angoisse,22
/.,/.,P
Alice,Alice,20
",",",",p
heureusement,heureusement,60
",",",",p
venait,venir,18
de,de,81
descendre,descendre,14
",",",",p
pour,pour,81
une,un,71
course,course,22
/.,/.,P
c',ce,52
était,être,18
Busch,Busch,20
",",",",p
avec,avec,81
sa,son,73
face,face,22
plate,plat,30
et,et,82
sale,sale,30
",",",",p
sa,son,73
redingote,redingote,22
graisseuse,graisseux,30
",",",",p
sa,son,73
cravate,cravate,22
blanche,blanc,30
roulée,roulé,31
en,en,81
corde,corde,22
",",",",p
qui,qui,52
",",",",p
averti,averti,31
sans,sans,81
doute,doute,21
par,par,81
son,son,73
flair,flair,21
de,de,81
la,le,71
minute,minute,22
favorable,favorable,30
",",",",p
se,se,51
décidait,décider,18
enfin,enfin,60
à,à,81
réaliser,réaliser,14
sa,son,73
vieille,vieux,30
affaire,affaire,22
de,de,81
la,le,71
reconnaissance,reconnaissance,22
de,de,81
dix,dix,72
mille,mille,72
francs,franc,21
",",",",p
signée,signé,31
par,par,81
le,le,71
comte,comte,21
à,à,81
la,le,71
fille,fille,22
Léonie,Léonie,20
Cron,Cron,20
/.,/.,P
d',de,81
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
sur,sur,81
le,le,71
logis,logis,21
",",",",p
il,il,51
avait,avoir,18
jugé,juger,12
la,le,71
situation,situation,22
de,de,81
la,le,71
veuve,veuve,22
:,:,p
aurait,avoir,16
il,il,51
tardé,tarder,12
trop,trop,60
longtemps,longtemps,60
/?,/?,P
et,et,82
",",",",p
en,en,81
homme,homme,21
capable,capable,30
",",",",p
à,à,81
l',le,71
occasion,occasion,22
",",",",p
d',de,81
urbanité,urbanité,22
et,et,82
de,de,81
patience,patience,22
",",",",p
il,il,51
avait,avoir,18
longuement,longuement,60
expliqué,expliquer,12
le,le,71
cas,cas,21
à,à,81
la,le,71
comtesse,comtesse,22
effarée,effaré,31
/.,/.,P
c',ce,52
était,être,18
bien,bien,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
l',le,71
écriture,écriture,22
de,de,81
son,son,73
mari,mari,21
",",",",p
ce,ce,52
qui,qui,52
établissait,établir,18
nettement,nettement,60
l',le,71
histoire,histoire,22
:,:,p
une,un,71
passion,passion,22
du,de,81
du,le,71
comte,comte,21
pour,pour,81
la,le,71
jeune,jeune,30
personne,personne,22
",",",",p
une,un,71
façon,façon,22
de,de,81
l',le,52
avoir,avoir,14
d'abord,d'abord,60
",",",",p
puis,puis,60
de,de,81
se,se,51
débarrasser,débarrasser,14
d',de,81
elle,il,51
/.,/.,P
même,même,60
il,il,51
ne,ne,60
lui,lui,51
avait,avoir,18
pas,pas,60
caché,cacher,12
que,que,83
",",",",p
légalement,légalement,60
",",",",p
et,et,82
après,après,81
quinze,quinze,72
années,année,22
bientôt,bientôt,60
",",",",p
il,il,51
ne,ne,60
la,le,52
croyait,croire,18
pas,pas,60
forcée,forcé,31
de,de,81
payer,payer,14
/.,/.,P
seulement,seulement,60
",",",",p
il,il,51
n',ne,60
était,être,18
",",",",p
lui,lui,51
",",",",p
que,que,83
le,le,71
représentant,représentant,21
de,de,81
sa,son,73
cliente,cliente,22
",",",",p
il,il,51
la,le,52
savait,savoir,18
résolue,résolu,31
à,à,81
saisir,saisir,14
les,le,71
tribunaux,tribunal,21
",",",",p
à,à,81
soulever,soulever,14
le,le,71
plus,plus,60
effroyable,effroyable,30
des,de,81
des,le,71
scandales,scandale,21
",",",",p
si,si,83
l',l',94
on,on,51
ne,ne,60
transigeait,transiger,18
pas,pas,60
/.,/.,P
la,le,71
comtesse,comtesse,22
",",",",p
toute,tout,60
blanche,blanc,30
",",",",p
frappée,frappé,31
au,à,81
au,le,71
coeur,coeur,21
par,par,81
ce,ce,74
passé,passé,21
affreux,affreux,30
qui,qui,52
ressuscitait,ressusciter,18
",",",",p
s',se,51
étant,être,13
étonnée,étonner,12
qu',que,83
on,on,51
eût,avoir,19
attendu,attendre,12
si,si,60
longtemps,longtemps,60
",",",",p
avant,avant,81
de,de,81
s',se,51
adresser,adresser,14
à,à,81
elle,il,51
",",",",p
il,il,51
avait,avoir,18
inventé,inventer,12
une,un,71
histoire,histoire,22
",",",",p
la,le,71
reconnaissance,reconnaissance,22
perdue,perdu,31
",",",",p
retrouvée,retrouvé,31
au,à,81
au,le,71
fond,fond,21
d',de,81
une,un,71
malle,malle,22
;,;,p
et,et,82
",",",",p
comme,comme,83
elle,il,51
refusait,refuser,18
définitivement,définitivement,60
d',de,81
examiner,examiner,14
l',le,71
affaire,affaire,22
",",",",p
il,il,51
s',se,51
en,en,52
était,être,18
allé,aller,12
",",",",p
toujours,toujours,60
très,très,60
poli,poli,31
",",",",p
en,en,81
disant,dire,13
qu',que,83
il,il,51
reviendrait,revenir,16
avec,avec,81
sa,son,73
cliente,cliente,22
",",",",p
pas,pas,60
le,le,71
lendemain,lendemain,21
",",",",p
parce que,parce que,83
celle-ci,celui-ci,52
ne,ne,60
pouvait,pouvoir,18
guère,guère,60
quitter,quitter,14
le,le,71
dimanche,dimanche,21
la,le,71
maison,maison,22
où,où,60
elle,il,51
travaillait,travailler,18
",",",",p
mais,mais,82
certainement,certainement,60
le,le,71
lundi,lundi,21
ou,ou,82
le,le,71
mardi,mardi,21
/.,/.,P
le,le,71
lundi,lundi,21
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
l',le,71
épouvantable,épouvantable,30
aventure,aventure,22
arrivée,arrivé,31
à,à,81
sa,son,73
fille,fille,22
",",",",p
depuis,depuis,81
qu',que,83
on,on,51
la,le,52
lui,lui,51
avait,avoir,18
ramenée,ramener,12
délirante,délirant,30
",",",",p
et,et,82
qu',que,83
elle,il,51
la,le,52
veillait,veiller,18
",",",",p
les,le,71
yeux,oeil,21
aveuglés,aveuglé,31
de,de,81
larmes,larme,22
",",",",p
la,le,71
comtesse,comtesse,22
de,de,81
Beauvilliers,Beauvilliers,20
ne,ne,60
songeait,songer,18
plus,plus,60
à,à,81
cet,ce,74
homme,homme,21
mal,mal,60
mis,mis,31
et,et,82
à,à,81
sa,son,73
cruelle,cruel,30
histoire,histoire,22
/.,/.,P
enfin,enfin,60
",",",",p
Alice,Alice,20
venait,venir,18
de,de,81
s',se,51
endormir,endormir,14
",",",",p
la,le,71
mère,mère,22
s',se,51
était,être,18
assise,asseoir,12
",",",",p
épuisée,épuiser,12
",",",",p
écrasée,écraser,12
par,par,81
cet,ce,74
acharnement,acharnement,21
du,de,81
du,le,71
sort,sort,21
",",",",p
quand,quand,83
Busch,Busch,20
de,de,81
nouveau,nouveau,21
se,se,51
présenta,présenter,19
",",",",p
accompagné,accompagné,31
cette,ce,74
fois,fois,22
de,de,81
Léonide,Léonide,20
/.,/.,P
“,“,p
madame,madame,22
",",",",p
voici,voici,81
ma,mon,73
cliente,cliente,22
",",",",p
et,et,82
il,il,51
va,aller,17
falloir,falloir,14
en,en,52
finir,finir,14
/.,/.,P
“,“,p
devant,devant,81
l',le,71
apparition,apparition,22
de,de,81
la,le,71
fille,fille,22
",",",",p
la,le,71
comtesse,comtesse,22
avait,avoir,18
frémi,frémir,12
/.,/.,P
elle,il,51
la,le,52
regardait,regarder,18
",",",",p
habillée,habillé,31
de,de,81
couleurs,couleur,22
crues,cru,31
",",",",p
avec,avec,81
ses,son,73
durs,dur,30
cheveux,cheveu,21
noirs,noir,30
tombant,tomber,13
sur,sur,81
les,le,71
sourcils,sourcil,21
",",",",p
sa,son,73
face,face,22
large,large,30
et,et,82
molle,mou,30
",",",",p
la,le,71
bassesse,bassesse,22
immonde,immonde,30
de,de,81
toute,tout,75
sa,son,73
personne,personne,22
",",",",p
usée,usé,31
par,par,81
dix,dix,72
années,année,22
de,de,81
prostitution,prostitution,22
/.,/.,P
et,et,82
elle,il,51
était,être,18
torturée,torturer,12
",",",",p
elle,il,51
saignait,saigner,18
dans,dans,81
son,son,73
orgueil,orgueil,21
de,de,81
femme,femme,22
",",",",p
après,après,81
tant,tant,60
d',de,81
années,année,22
de,de,81
pardon,pardon,21
et,et,82
d',de,81
oubli,oubli,21
/.,/.,P
c',ce,52
était,être,18
",",",",p
mon,mon,73
dieu,dieu,21
!,!,p
pour,pour,81
des,de,81
des,le,71
créatures,créature,22
destinées,destiné,31
à,à,81
de,de,81
telles,tel,75
chutes,chute,22
",",",",p
que,que,83
le,le,71
comte,comte,21
la,le,52
trahissait,trahir,18
/!,/!,P
il,il,51
faut,falloir,17
en,en,52
finir,finir,14
",",",",p
insista,insister,19
Busch,Busch,20
",",",",p
parce que,parce que,83
ma,mon,73
cliente,cliente,22
est,être,17
très,très,60
tenue,tenir,12
",",",",p
rue,rue,22
Feydeau,Feydeau,20
/.,/.,P
-,-,p
rue,rue,22
Feydeau,Feydeau,20
",",",",p
répéta,répéter,19
la,le,71
comtesse,comtesse,22
sans,sans,81
comprendre,comprendre,14
/.,/.,P
-,-,p
oui,oui,60
",",",",p
elle,il,51
est,être,17
là,là,60
/…,/…,P
enfin,enfin,60
",",",",p
elle,il,51
est,être,17
là,là,60
en,en,81
maison,maison,22
/.,/.,P
“,“,p
éperdue,éperdu,30
",",",",p
les,le,71
mains,main,22
tremblantes,tremblant,30
",",",",p
la,le,71
comtesse,comtesse,22
alla,aller,19
fermer,fermer,14
complètement,complètement,60
l',le,71
alcôve,alcôve,22
",",",",p
dont,dont,52
un,un,71
seul,seul,30
des,de,81
des,le,71
vantaux,vantail,21
était,être,18
poussé,pousser,12
/.,/.,P
Alice,Alice,20
",",",",p
dans,dans,81
sa,son,73
fièvre,fièvre,22
",",",",p
venait,venir,18
de,de,81
s',se,51
agiter,agiter,14
sous,sous,81
la,le,71
couverture,couverture,22
/.,/.,P
pourvu,pourvu,81
qu',que,83
elle,il,51
se,se,51
rendormît,rendormir,18
",",",",p
qu',que,83
elle,il,51
ne,ne,60
vît,voir,18
pas,pas,60
",",",",p
qu',que,83
elle,il,51
n',ne,60
entendît,entendre,18
pas,pas,60
/!,/!,P
Busch,Busch,20
",",",",p
déjà,déjà,60
",",",",p
reprenait,reprendre,18
:,:,p
“,“,p
voilà,voilà,81
!,!,p
madame,madame,22
",",",",p
comprenez,comprendre,17
bien,bien,60
/…,/…,P
mademoiselle,mademoiselle,22
m',je,51
a,avoir,17
chargé,charger,12
de,de,81
son,son,73
affaire,affaire,22
",",",",p
et,et,82
je,je,51
la,le,52
représente,représenter,17
",",",",p
simplement,simplement,60
/.,/.,P
c',ce,52
est,être,17
pourquoi,pourquoi,60
j',je,51
ai,avoir,17
voulu,vouloir,12
qu',que,83
elle,il,51
vînt,venir,18
en,en,81
personne,personne,22
expliquer,expliquer,14
sa,son,73
réclamation,réclamation,22
/…,/…,P
allons,aller,17
/.,/.,P
Léonide,Léonide,20
",",",",p
expliquez,expliquer,17
vous,vous,51
/.,/.,P
“,“,p
inquiète,inquiet,30
",",",",p
mal,mal,60
à,à,81
l',le,71
aise,aise,22
dans,dans,81
ce,ce,74
rôle,rôle,21
qu',que,52
il,il,51
lui,lui,51
faisait,faire,18
jouer,jouer,14
",",",",p
celle-ci,celui-ci,52
levait,lever,18
sur,sur,81
lui,lui,51
ses,son,73
gros,gros,30
yeux,oeil,21
troubles,trouble,30
de,de,81
chien,chien,21
battu,battu,31
/.,/.,P
mais,mais,82
l',le,71
espoir,espoir,21
des,de,81
des,le,71
mille,mille,72
francs,franc,21
qu',que,52
il,il,51
lui,lui,51
avait,avoir,18
promis,promettre,12
",",",",p
la,le,52
décida,décider,19
/.,/.,P
et,et,82
",",",",p
de,de,81
sa,son,73
voix,voix,22
rauque,rauque,30
",",",",p
éraillée,éraillé,30
par,par,81
l',le,71
alcool,alcool,21
",",",",p
tandis que,tandis que,83
lui,lui,51
",",",",p
de,de,81
nouveau,nouveau,21
",",",",p
