11921
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Dixième extrait>,<>,<>
suis,être,17
prêt,prêt,30
",",",",p
dit,dire,19
il,il,51
/.,/.,P
alors,alors,60
Forestier,Forestier,20
",",",",p
se,se,51
renversant,renverser,13
sur,sur,81
sa,son,73
chaise,chaise,22
",",",",p
prit,prendre,19
une,un,71
pose,pose,22
presque,presque,60
solennelle,solennel,30
pour,pour,81
donner,donner,14
ses,son,73
instructions,instruction,22
",",",",p
et,et,82
",",",",p
se,se,51
tournant,tourner,13
vers,vers,81
Duroy,Duroy,20
:,:,p
-,-,p
voilà,voilà,81
/.,/.,P
nous,nous,51
avons,avoir,17
à,à,81
Paris,Paris,20
depuis,depuis,81
deux,deux,72
jours,jour,21
le,le,71
général,général,21
chinois,chinois,30
Li-Theng-Fao,Li-Theng-Fao,20
FAO,FAO,20
",",",",p
descendu,descendu,31
au,à,81
au,le,71
Continental,Continental,20
",",",",p
et,et,82
le,le,71
rajah,rajah,21
Taposahib,Taposahib,20
Ramaderao,Ramaderao,20
Pali,Pali,20
",",",",p
descendu,descendu,31
à,à,81
l',le,71
hôtel,hôtel,21
Bristol,Bristol,20
/.,/.,P
vous,vous,51
allez,aller,17
leur,leur,52
prendre,prendre,14
une,un,71
conversation,conversation,22
/.,/.,P
puis,puis,60
",",",",p
se,se,51
tournant,tourner,13
vers,vers,81
Saint Potin,Saint Potin,20
:,:,p
-,-,p
n',ne,60
oublie,oublier,17
point,point,60
les,le,71
principaux,principal,30
points,point,21
que,que,52
je,je,51
t',tu,51
ai,avoir,17
indiqués,indiquer,12
/.,/.,P
demande,demander,17
au,à,81
au,le,71
général,général,21
et,et,82
au,à,81
au,le,71
rajah,rajah,21
leur,leur,73
opinion,opinion,22
sur,sur,81
les,le,71
menées,menée,22
de,de,81
l',le,71
Angleterre,Angleterre,20
dans,dans,81
l',le,71
Extrême-Orient,Extrême-Orient,20
",",",",p
leurs,leur,73
idées,idée,22
sur,sur,81
son,son,73
système,système,21
de,de,81
colonisation,colonisation,22
et,et,82
de,de,81
domination,domination,22
",",",",p
leurs,leur,73
espérances,espérance,22
relatives,relatif,30
à,à,81
l',le,71
intervention,intervention,22
de,de,81
l',le,71
Europe,Europe,20
",",",",p
et,et,82
de,de,81
la,le,71
France,France,20
en,en,81
particulier,particulier,21
",",",",p
dans,dans,81
leurs,leur,73
affaires,affaire,22
/.,/.,P
il,il,51
se,se,51
tut,taire,19
",",",",p
puis,puis,60
il,il,51
ajouta,ajouter,19
",",",",p
parlant,parler,13
à,à,81
la,le,71
cantonade,cantonade,22
:,:,p
-,-,p
il,il,51
sera,être,15
on,on,51
ne,ne,60
peut,pouvoir,17
plus,plus,60
intéressant,intéressant,30
pour,pour,81
nos,notre,73
lecteurs,lecteur,21
de,de,81
savoir,savoir,14
en,en,81
même,même,75
temps,temps,21
ce,ce,52
qu',que,52
on,on,51
pense,penser,17
en,en,81
Chine,Chine,20
et,et,82
dans,dans,81
les,le,71
Indes,Inde,20
sur,sur,81
ces,ce,74
questions,question,22
",",",",p
qui,qui,52
passionnent,passionner,17
si,si,60
fort,fort,60
l',le,71
opinion,opinion,22
publique,public,30
en,en,81
ce,ce,74
moment,moment,21
/.,/.,P
il,il,51
ajouta,ajouter,19
",",",",p
pour,pour,81
Duroy,Duroy,20
:,:,p
-,-,p
observe,observer,17
comment,comment,60
Saint Potin,Saint Potin,20
s',se,51
y,y,52
prendra,prendre,15
",",",",p
c',ce,52
est,être,17
un,un,71
excellent,excellent,30
reporter,reporter,21
",",",",p
et,et,82
tâche,tâcher,17
d',de,81
apprendre,apprendre,14
les,le,71
ficelles,ficelle,22
pour,pour,81
vider,vider,14
un,un,71
homme,homme,21
en,en,81
cinq,cinq,72
minutes,minute,22
/.,/.,P
puis,puis,60
il,il,51
recommença,recommencer,19
à,à,81
écrire,écrire,14
avec,avec,81
gravité,gravité,22
",",",",p
avec,avec,81
l',le,71
intention,intention,22
évidente,évident,30
de,de,81
bien,bien,60
établir,établir,14
les,le,71
distances,distance,22
",",",",p
de,de,81
bien,bien,60
mettre,mettre,14
à,à,81
sa,son,73
place,place,22
son,son,73
ancien,ancien,30
camarade,camarade,21
et,et,82
nouveau,nouveau,30
confrère,confrère,21
/.,/.,P
dès,dès,81
qu',que,83
ils,ils,51
eurent,avoir,19
franchi,franchir,12
la,le,71
porte,porte,22
",",",",p
Saint Potin,Saint Potin,20
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
et,et,82
dit,dire,19
à,à,81
Duroy,Duroy,20
:,:,p
-,-,p
en,en,52
voilà,voilà,81
un,un,71
faiseur,faiseur,21
/!,/!,P
il,il,51
nous,nous,51
la,le,52
fait,faire,17
à,à,81
nous-mêmes,nous-même,51
/.,/.,P
on,on,51
dirait,dire,16
vraiment,vraiment,60
qu',que,83
il,il,51
nous,nous,51
prend,prendre,17
pour,pour,81
ses,son,73
lecteurs,lecteur,21
/.,/.,P
puis,puis,60
ils,ils,51
descendirent,descendre,19
sur,sur,81
le,le,71
boulevard,boulevard,21
et,et,82
le,le,71
reporter,reporter,21
demanda,demander,19
:,:,p
-,-,p
buvez,boire,17
vous,vous,51
quelque,quelque,75
chose,chose,22
/?,/?,P
oui,oui,60
",",",",p
volontiers,volontiers,60
/.,/.,P
il,il,51
fait,faire,17
très,très,60
chaud,chaud,21
/.,/.,P
ils,ils,51
entrèrent,entrer,19
dans,dans,81
un,un,71
café,café,21
et,et,82
se,se,51
firent,faire,19
servir,servir,14
des,de,81
des,le,71
boissons,boisson,22
fraîches,frais,30
/.,/.,P
et,et,82
Saint Potin,Saint Potin,20
se,se,51
mit,mettre,19
à,à,81
parler,parler,14
/.,/.,P
il,il,51
parla,parler,19
de,de,81
tout,tout,75
le,le,71
monde,monde,21
et,et,82
du,de,81
du,le,71
journal,journal,21
avec,avec,81
une,un,71
profusion,profusion,22
de,de,81
détails,détail,21
surprenants,surprenant,30
/.,/.,P
-,-,p
le,le,71
patron,patron,21
/?,/?,P
un,un,71
vrai,vrai,30
juif,juif,21
/!,/!,P
et,et,82
vous,vous,51
savez,savoir,17
;,;,p
les,le,71
juifs,juif,21
",",",",p
on,on,51
ne,ne,60
les,le,52
changera,changer,15
jamais,jamais,60
/.,/.,P
quelle,quel,75
race,race,22
/!,/!,P
et,et,82
il,il,51
cita,citer,19
des,de,81
des,le,71
traits,trait,21
étonnants,étonnant,30
d',de,81
avarice,avarice,22
",",",",p
de,de,81
cette,ce,74
avarice,avarice,22
particulière,particulier,30
aux,à,81
aux,le,71
fils,fils,21
d',de,81
Israël,Israël,20
;,;,p
des,de,81
des,le,71
économies,économie,22
de,de,81
dix,dix,72
centimes,centime,21
",",",",p
des,de,81
des,le,71
marchandages,marchandage,21
de,de,81
cuisinière,cuisinière,22
",",",",p
des,de,81
des,le,71
rabais,rabais,21
honteux,honteux,30
demandés,demandé,31
et,et,82
obtenus,obtenu,31
",",",",p
toute,tout,75
une,un,71
manière,manière,22
d',de,81
être,être,14
d',de,81
usurier,usurier,21
",",",",p
de,de,81
prêteur,prêteur,21
à,à,81
gages,gage,21
/.,/.,P
“,“,p
et,et,82
avec,avec,81
ça,ça,52
",",",",p
pourtant,pourtant,60
",",",",p
un,un,71
bon,bon,30
zig,zig,21
qui,qui,52
ne,ne,60
croit,croire,17
à,à,81
rien,rien,52
et,et,82
roule,rouler,17
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
son,son,73
journal,journal,21
qui,qui,52
est,être,17
officieux,officieux,30
",",",",p
catholique,catholique,30
",",",",p
libéral,libéral,30
",",",",p
républicain,républicain,30
",",",",p
orléaniste,orléaniste,30
",",",",p
tarte,tarte,22
à,à,81
la,le,71
crème,crème,22
et,et,82
boutique,boutique,22
à,à,81
treize,treize,72
",",",",p
n',ne,60
a,avoir,17
été,être,12
fondé,fonder,12
que,que,83
pour,pour,81
soutenir,soutenir,14
ses,son,73
opérations,opération,22
de,de,81
bourse,bourse,22
et,et,82
ses,son,73
entreprises,entreprise,22
de,de,81
toute,tout,75
sorte,sorte,22
/.,/.,P
pour,pour,81
ça,ça,52
il,il,51
est,être,17
très,très,60
fort,fort,30
",",",",p
et,et,82
il,il,51
gagne,gagner,17
des,de,81
des,le,71
millions,million,21
au,à,81
au,le,71
moyen,moyen,21
de,de,81
sociétés,société,22
qui,qui,52
n',ne,60
ont,avoir,17
pas,pas,60
quatre,quatre,72
sous,sou,21
de,de,81
capital,capital,21
/…,/…,P
“,“,p
il,il,51
allait,aller,18
toujours,toujours,60
",",",",p
appelant,appeler,13
Duroy,Duroy,20
“,“,p
mon,mon,73
cher,cher,30
ami,ami,21
“,“,p
/.,/.,P
“,“,p
et,et,82
il,il,51
a,avoir,17
des,de,81
des,le,71
mots,mot,21
à,à,81
la,le,71
Balzac,Balzac,20
",",",",p
ce,ce,74
grigou,grigou,21
/.,/.,P
figurez,figurer,17
vous,vous,51
que,que,83
l',le,71
autre,autre,75
jour,jour,21
",",",",p
je,je,51
me,je,51
trouvais,trouver,18
dans,dans,81
son,son,73
cabinet,cabinet,21
avec,avec,81
cette,ce,74
antique,antique,30
bedole,bedole,22
de,de,81
Norbert,Norbert,20
",",",",p
et,et,82
ce,ce,74
Don Quichotte,Don Quichotte,20
de,de,81
Rival,Rival,20
",",",",p
quand,quand,83
Montelin,Montelin,20
",",",",p
notre,notre,73
administrateur,administrateur,21
",",",",p
arrive,arriver,17
avec,avec,81
sa,son,73
serviette,serviette,22
en,en,81
maroquin,maroquin,21
sous,sous,81
le,le,71
bras,bras,21
",",",",p
cette,ce,74
serviette,serviette,22
que,que,52
tout,tout,75
Paris,Paris,20
connaît,connaître,17
/.,/.,P
Walter,Walter,20
leva,lever,19
le,le,71
nez,nez,21
et,et,82
demanda,demander,19
:,:,p
-,-,p
quoi,quoi,52
de,de,81
neuf,neuf,30
/?,/?,P
Montelin,Montelin,20
répondit,répondre,19
avec,avec,81
naïveté,naïveté,22
:,:,p
-,-,p
je,je,51
viens,venir,17
de,de,81
payer,payer,14
les,le,71
seize,seize,72
mille,mille,72
francs,franc,21
que,que,52
nous,nous,51
devions,devoir,18
au,à,81
au,le,71
marchand,marchand,21
de,de,81
papier,papier,21
/.,/.,P
le,le,71
patron,patron,21
fit,faire,19
un,un,71
bond,bond,21
",",",",p
un,un,71
bond,bond,21
étonnant,étonnant,30
/.,/.,P
-,-,p
vous,vous,51
dites,dire,17
/?,/?,P
que,que,52
je,je,51
viens,venir,17
de,de,81
payer,payer,14
monsieur,monsieur,21
Privas,Privas,20
/.,/.,P
-,-,p
mais,mais,82
vous,vous,51
êtes,être,17
fou,fou,30
/!,/!,P
pourquoi,pourquoi,60
/?,/?,P
pourquoi,pourquoi,60
…,…,p
pourquoi,pourquoi,60
…,…,p
pourquoi,pourquoi,60
/…,/…,P
il,il,51
ôta,ôter,19
ses,son,73
lunettes,lunette,22
",",",",p
les,le,52
essuya,essuyer,19
/.,/.,P
puis,puis,60
il,il,51
sourit,sourire,19
",",",",p
d',de,81
un,un,71
drôle,drôle,30
de,de,81
sourire,sourire,21
qui,qui,52
court,courir,17
autour,autour,60
de,de,81
ses,son,73
grosses,gros,30
joues,joue,22
chaque,chaque,75
fois,fois,22
qu',que,83
il,il,51
va,aller,17
dire,dire,14
quelque,quelque,75
chose,chose,22
de,de,81
malin,malin,30
ou,ou,82
de,de,81
fort,fort,30
",",",",p
et,et,82
avec,avec,81
un,un,71
ton,ton,21
gouailleur,gouailleur,30
et,et,82
convaincu,convaincu,31
",",",",p
il,il,51
prononça,prononcer,19
:,:,p
-,-,p
pourquoi,pourquoi,60
/?,/?,P
parce que,parce que,83
nous,nous,51
pouvions,pouvoir,18
obtenir,obtenir,14
là-dessus,là-dessus,60
une,un,71
réduction,réduction,22
de,de,81
quatre,quatre,72
à,à,81
cinq,cinq,72
mille,mille,72
francs,franc,21
/.,/.,P
Montelin,Montelin,20
",",",",p
étonné,étonné,31
",",",",p
reprit,reprendre,19
:,:,p
-,-,p
mais,mais,82
",",",",p
monsieur,monsieur,21
le,le,71
directeur,directeur,21
",",",",p
tous,tout,75
les,le,71
comptes,compte,21
étaient,être,18
réguliers,régulier,30
",",",",p
vérifiés,vérifier,12
par,par,81
moi,moi,51
et,et,82
approuvés,approuver,12
par,par,81
vous,vous,51
/…,/…,P
-,-,p
alors,alors,60
le,le,71
patron,patron,21
",",",",p
redevenu,redevenu,31
sérieux,sérieux,30
",",",",p
déclara,déclarer,19
:,:,p
-,-,p
on,on,51
n',ne,60
est,être,17
pas,pas,60
naïf,naïf,30
comme,comme,83
vous,vous,51
/.,/.,P
sachez,savoir,17
",",",",p
monsieur,monsieur,21
Montelin,Montelin,20
",",",",p
qu',que,83
il,il,51
faut,falloir,17
toujours,toujours,60
accumuler,accumuler,14
ses,son,73
dettes,dette,22
pour,pour,81
transiger,transiger,14
/.,/.,P
“,“,p
et,et,82
Saint Potin,Saint Potin,20
ajouta,ajouter,19
",",",",p
avec,avec,81
un,un,71
hochement,hochement,21
de,de,81
tête,tête,22
de,de,81
connaisseur,connaisseur,21
:,:,p
-,-,p
hein,hein,93
/?,/?,P
est,être,17
il,il,51
à,à,81
la,le,71
Balzac,Balzac,20
",",",",p
celui-là,celui-là,52
/?,/?,P
Duroy,Duroy,20
n',ne,60
avait,avoir,18
pas,pas,60
lu,lire,12
Balzac,Balzac,20
",",",",p
mais,mais,82
il,il,51
répondit,répondre,19
avec,avec,81
conviction,conviction,22
:,:,p
-,-,p
bigre,bigre,93
",",",",p
oui,oui,60
/.,/.,P
puis,puis,60
le,le,71
reporter,reporter,21
parla,parler,19
de,de,81
madame,madame,22
Walter,Walter,20
",",",",p
une,un,71
grande,grand,30
dinde,dinde,22
",",",",p
de,de,81
Norbert,Norbert,20
de,de,81
Varenne,Varenne,20
",",",",p
un,un,71
vieux,vieux,30
raté,raté,21
",",",",p
de,de,81
Rival,Rival,20
",",",",p
une,un,71
ressucée,ressucé,31
de,de,81
Fervacques,Fervacques,20
/.,/.,P
puis,puis,60
",",",",p
il,il,51
en,en,52
vint,venir,19
à,à,81
Forestier,Forestier,20
/.,/.,P
-,-,p
quant,quand,83
à,à,81
celui-là,celui-là,52
",",",",p
il,il,51
a,avoir,17
de,de,81
la,le,71
chance,chance,22
d',de,81
avoir,avoir,14
épousé,épouser,12
sa,son,73
femme,femme,22
",",",",p
voilà,voilà,81
tout,tout,52
/.,/.,P
Duroy,Duroy,20
demanda,demander,19
:,:,p
-,-,p
qu',que,52
est,être,17
ce,ce,52
au,à,81
au,le,71
juste,juste,21
que,que,83
sa,son,73
femme,femme,22
/?,/?,P
Saint Potin,Saint Potin,20
se,se,51
frotta,frotter,19
les,le,71
mains,main,22
:,:,p
-,-,p
oh,oh,93
!,!,p
une,un,71
rouée,roué,31
",",",",p
une,un,71
fine,fin,30
mouche,mouche,22
/.,/.,P
c',ce,52
est,être,17
la,le,71
maîtresse,maîtresse,22
d',de,81
un,un,71
vieux,vieux,30
viveur,viveur,21
nommé,nommé,31
Vaudrec,Vaudrec,20
",",",",p
le,le,71
comte,comte,21
de,de,81
Vaudrec,Vaudrec,20
",",",",p
qui,qui,52
l',le,52
a,avoir,17
dotée,doter,12
et,et,82
mariée,marier,12
/…,/…,P
Duroy,Duroy,20
sentit,sentir,19
brusquement,brusquement,60
une,un,71
sensation,sensation,22
de,de,81
froid,froid,21
",",",",p
une,un,71
sorte,sorte,22
de,de,81
crispation,crispation,22
nerveuse,nerveux,30
",",",",p
un,un,71
besoin,besoin,21
d',de,81
injurier,injurier,14
et,et,82
de,de,81
gifler,gifler,14
ce,ce,74
bavard,bavard,21
/.,/.,P
mais,mais,82
il,il,51
l',le,52
interrompit,interrompre,19
simplement,simplement,60
pour,pour,81
lui,lui,51
demander,demander,14
:,:,p
-,-,p
c',ce,52
est,être,17
votre,votre,73
nom,nom,21
",",",",p
Saint Potin,Saint Potin,20
/?,/?,P
l',le,71
autre,autre,52
répondit,répondre,19
avec,avec,81
simplicité,simplicité,22
:,:,p
-,-,p
non,non,60
",",",",p
je,je,51
m',je,51
appelle,appeler,17
Thomas,Thomas,20
/.,/.,P
c',ce,52
est,être,17
au,à,81
au,le,71
journal,journal,21
qu',que,52
on,on,51
m',je,51
a,avoir,17
surnommé,surnommer,12
Saint Potin,Saint Potin,20
/.,/.,P
et,et,82
Duroy,Duroy,20
",",",",p
payant,payer,13
les,le,71
consommations,consommation,22
",",",",p
reprit,reprendre,19
:,:,p
-,-,p
mais,mais,82
il,il,51
me,je,51
semble,sembler,17
qu',que,83
il,il,51
est,être,17
tard,tard,60
et,et,82
que,que,83
nous,nous,51
avons,avoir,17
deux,deux,72
nobles,noble,30
seigneurs,seigneur,21
à,à,81
visiter,visiter,14
/.,/.,P
Saint Potin,Saint Potin,20
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
:,:,p
-,-,p
vous,vous,51
êtes,être,17
encore,encore,60
naïfs,naïf,30
",",",",p
vous,vous,51
/!,/!,P
alors,alors,60
vous,vous,51
croyez,croire,17
comme,comme,83
ça,ça,52
que,que,83
je,je,51
vais,aller,17
aller,aller,14
demander,demander,14
à,à,81
ce,ce,74
Chinois,Chinois,20
et,et,82
à,à,81
cet,ce,74
Indien,Indien,20
ce,ce,52
qu',que,52
ils,ils,51
pensent,penser,17
de,de,81
l',le,71
Angleterre,Angleterre,20
/.,/.,P
comme,comme,83
si,si,83
je,je,51
ne,ne,60
le,le,52
savais,savoir,18
pas,pas,60
mieux,mieux,60
qu',que,83
eux,ils,51
",",",",p
ce,ce,52
qu',que,52
ils,ils,51
doivent,devoir,17
penser,penser,14
pour,pour,81
les,le,71
lecteurs,lecteur,21
de,de,81
la,le,71
Vie Française,Vie Française,20
/.,/.,P
j',je,51
en,en,52
ai,avoir,17
déjà,déjà,60
interviewé,interviewer,12
cinq,cinq,72
cents,cent,72
de,de,81
ces,ce,74
Chinois,Chinois,20
",",",",p
Persans,Persan,20
",",",",p
Hindous,Hindou,20
",",",",p
Chiliens,Chilien,20
",",",",p
Japonais,Japonais,20
et,et,82
autres,autre,52
/.,/.,P
ils,ils,51
répondent,répondre,17
tous,tout,52
la,le,71
même,même,75
chose,chose,22
",",",",p
d',de,81
après,après,81
moi,moi,51
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
qu',que,83
à,à,81
reprendre,reprendre,14
mon,mon,73
article,article,21
sur,sur,81
le,le,71
dernier,dernier,30
venu,venu,21
et,et,82
à,à,81
le,le,52
copier,copier,14
mot,mot,21
pour,pour,81
mot,mot,21
/.,/.,P
ce,ce,52
qui,qui,52
change,changer,17
",",",",p
par,par,81
exemple,exemple,21
",",",",p
c',ce,52
est,être,17
leur,leur,73
tête,tête,22
",",",",p
leur,leur,73
nom,nom,21
",",",",p
leurs,leur,73
titres,titre,21
",",",",p
leur,leur,73
âge,âge,21
",",",",p
leur,leur,73
suite,suite,22
/.,/.,P
oh,oh,93
!,!,p
là-dessus,là-dessus,60
",",",",p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
d',de,81
erreur,erreur,22
",",",",p
parce que,parce que,83
je,je,51
serais,être,16
relevé,relever,12
raide,raide,30
par,par,81
le,le,71
Figaro,Figaro,20
ou,ou,82
le,le,71
Gaulois,Gaulois,20
/.,/.,P
mais,mais,82
sur,sur,81
ce,ce,74
sujet,sujet,21
le,le,71
concierge,concierge,21
de,de,81
l',le,71
hôtel,hôtel,21
Bristol,Bristol,20
et,et,82
celui,celui,52
du,de,81
du,le,71
Continental,Continental,20
m',je,51
auront,avoir,15
renseigné,renseigner,12
en,en,81
cinq,cinq,72
minutes,minute,22
/.,/.,P
nous,nous,51
irons,aller,15
à,à,81
pied,pied,21
jusque-là,jusque-là,81
en,en,81
fumant,fumer,13
un,un,71
cigare,cigare,21
/.,/.,P
total,total,21
:,:,p
cent,cent,72
sous,sou,21
de,de,81
voitures,voiture,22
à,à,81
réclamer,réclamer,14
au,à,81
au,le,71
journal,journal,21
/.,/.,P
voilà,voilà,81
",",",",p
mon,mon,73
cher,cher,30
",",",",p
comment,comment,60
on,on,51
s',se,51
y,y,52
prend,prendre,17
",",",",p
quand,quand,83
on,on,51
est,être,17
pratique,pratique,30
/.,/.,P
Duroy,Duroy,20
demanda,demander,19
:,:,p
-,-,p
ça,ça,52
doit,devoir,17
rapporter,rapporter,14
bon,bon,60
d',de,81
être,être,14
reporter,reporter,21
dans,dans,81
ces,ce,74
conditions,condition,22
là,là,60
/?,/?,P
le,le,71
journaliste,journaliste,21
répondit,répondre,19
avec,avec,81
mystère,mystère,21
:,:,p
-,-,p
oui,oui,60
",",",",p
mais,mais,82
rien,rien,52
ne,ne,60
rapporte,rapporter,17
autant,autant,60
que,que,83
les,le,71
échos,écho,21
",",",",p
à,à,81
cause,cause,22
des,de,81
des,le,71
réclames,réclame,22
déguisées,déguisé,31
/.,/.,P
ils,ils,51
s',se,51
étaient,être,18
levés,lever,12
et,et,82
suivaient,suivre,18
le,le,71
boulevard,boulevard,21
",",",",p
vers,vers,81
la,le,71
Madeleine,Madeleine,20
/.,/.,P
et,et,82
Saint Potin,Saint Potin,20
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
dit,dire,17
à,à,81
son,son,73
compagnon,compagnon,21
:,:,p
-,-,p
vous,vous,51
savez,savoir,17
",",",",p
si,si,83
vous,vous,51
avez,avoir,17
à,à,81
faire,faire,14
quelque,quelque,75
chose,chose,22
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
vous,vous,51
",",",",p
moi,moi,51
/.,/.,P
Duroy,Duroy,20
lui,lui,51
serra,serrer,19
la,le,71
main,main,22
",",",",p
et,et,82
s',se,51
en,en,52
alla,aller,19
/.,/.,P
l',le,71
idée,idée,22
de,de,81
son,son,73
article,article,21
à,à,81
écrire,écrire,14
dans,dans,81
la,le,71
soirée,soirée,22
le,le,52
tracassait,tracasser,18
",",",",p
et,et,82
il,il,51
se,se,51
mit,mettre,19
à,à,81
y,y,52
songer,songer,14
/.,/.,P
il,il,51
emmagasina,emmagasiner,19
des,de,81
des,le,71
idées,idée,22
",",",",p
des,de,81
des,le,71
réflexions,réflexion,22
",",",",p
des,de,81
des,le,71
jugements,jugement,21
",",",",p
des,de,81
des,le,71
anecdotes,anecdote,22
",",",",p
tout,tout,60
en,en,81
marchant,marcher,13
",",",",p
et,et,82
il,il,51
monta,monter,19
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
de,de,81
l',le,71
avenue,avenue,22
des,de,81
des,le,71
Champs-Elysées,Champs-Elysées,20
",",",",p
où,où,60
on,on,51
ne,ne,60
voyait,voir,18
que,que,83
de,de,81
rares,rare,30
promeneurs,promeneur,21
",",",",p
Paris,Paris,20
étant,être,13
vide,vide,30
par,par,81
ces,ce,74
jours,jour,21
de,de,81
chaleur,chaleur,22
/.,/.,P
ayant,avoir,13
dîné,dîner,12
chez,chez,81
un,un,71
marchand,marchand,21
de,de,81
vin,vin,21
auprès,auprès,60
de,de,81
l',le,71
ARC,ARC,20
de,de,81
triomphe,triomphe,21
de,de,81
l',le,71
Etoile,Etoile,20
",",",",p
il,il,51
revint,revenir,19
lentement,lentement,60
à,à,81
pied,pied,21
chez,chez,81
lui,lui,51
par,par,81
les,le,71
boulevards,boulevard,21
extérieurs,extérieur,30
",",",",p
et,et,82
il,il,51
s',se,51
assit,asseoir,19
devant,devant,81
sa,son,73
table,table,22
",",",",p
pour,pour,81
travailler,travailler,14
/.,/.,P
mais,mais,82
dès,dès,81
qu',que,83
il,il,51
eut,avoir,19
sous,sous,81
les,le,71
yeux,oeil,21
la,le,71
grande,grand,30
feuille,feuille,22
de,de,81
papier,papier,21
blanc,blanc,30
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
amassé,amasser,12
de,de,81
matériaux,matériau,21
s',se,51
envola,envoler,19
de,de,81
son,son,73
esprit,esprit,21
",",",",p
comme,comme,83
si,si,83
sa,son,73
cervelle,cervelle,22
se,se,51
fût,être,19
évaporée,évaporer,12
/.,/.,P
il,il,51
essayait,essayer,18
de,de,81
ressaisir,ressaisir,14
des,de,81
des,le,71
brides,bride,22
de,de,81
souvenirs,souvenir,21
et,et,82
de,de,81
les,le,52
fixer,fixer,14
:,:,p
ils,ils,51
lui,lui,51
échappaient,échapper,18
à,à,81
mesure,mesure,22
qu',que,83
il,il,51
les,le,52
reprenait,reprendre,18
",",",",p
ou,ou,82
bien,bien,60
ils,ils,51
se,se,51
précipitaient,précipiter,18
pêle-mêle,pêle-mêle,60
",",",",p
et,et,82
il,il,51
ne,ne,60
savait,savoir,18
comment,comment,60
les,le,52
présenter,présenter,14
",",",",p
les,le,52
habiller,habiller,14
",",",",p
ni,ni,82
par,par,81
lequel,lequel,52
commencer,commencer,14
/.,/.,P
après,après,81
une,un,71
heure,heure,22
d',de,81
efforts,effort,21
",",",",p
et,et,82
cinq,cinq,72
pages,page,22
de,de,81
papier,papier,21
noircies,noirci,31
par,par,81
des,de,81
des,le,71
phrases,phrase,22
de,de,81
début,début,21
qui,qui,52
n',ne,60
avaient,avoir,18
point,point,60
de,de,81
suite,suite,22
/.,/.,P
il,il,51
se,se,51
dit,dire,17
:,:,p
“,“,p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
encore,encore,60
assez,assez,60
rompu,rompre,12
au,à,81
au,le,71
métier,métier,21
/.,/.,P
il,il,51
faut,falloir,17
que,que,83
je,je,51
prenne,prendre,17
une,un,71
nouvelle,nouveau,30
leçon,leçon,22
/.,/.,P
“,“,p
et,et,82
tout,tout,60
de,de,81
suite,suite,22
la,le,71
perspective,perspective,22
d',de,81
une,un,71
autre,autre,75
matinée,matinée,22
avec,avec,81
madame,madame,22
Forestier,Forestier,20
",",",",p
l',le,71
espoir,espoir,21
de,de,81
ce,ce,74
long,long,30
tête-à-tête,tête-à-tête,21
intime,intime,30
",",",",p
cordial,cordial,30
",",",",p
si,si,60
doux,doux,30
",",",",p
le,le,52
firent,faire,19
tressaillir,tressaillir,14
de,de,81
désir,désir,21
/.,/.,P
il,il,51
se,se,51
coucha,coucher,19
bien,bien,60
vite,vite,60
",",",",p
ayant,avoir,13
presque,presque,60
peur,peur,22
à,à,81
présent,présent,21
de,de,81
se,se,51
remettre,remettre,14
à,à,81
la,le,71
besogne,besogne,22
et,et,82
de,de,81
réussir,réussir,14
tout,tout,60
à,à,81
coup,coup,21
/.,/.,P
il,il,51
ne,ne,60
se,se,51
leva,lever,19
",",",",p
le,le,71
lendemain,lendemain,21
",",",",p
qu',que,83
un,un,71
peu,peu,60
tard,tard,60
",",",",p
éloignant,éloigner,13
et,et,82
savourant,savourer,13
d',de,81
avance,avance,22
le,le,71
plaisir,plaisir,21
de,de,81
cette,ce,74
visite,visite,22
/.,/.,P
il,il,51
était,être,18
dix,dix,72
heures,heure,22
passées,passé,31
quand,quand,83
il,il,51
sonna,sonner,19
chez,chez,81
son,son,73
ami,ami,21
/.,/.,P
le,le,71
domestique,domestique,21
répondit,répondre,19
:,:,p
-,-,p
c',ce,52
est,être,17
que,que,83
monsieur,monsieur,21
est,être,17
en,en,81
train,train,21
de,de,81
travailler,travailler,14
/.,/.,P
Duroy,Duroy,20
n',ne,60
avait,avoir,18
point,point,60
songé,songer,12
que,que,83
le,le,71
mari,mari,21
pouvait,pouvoir,18
être,être,14
là,là,60
/.,/.,P
il,il,51
insista,insister,19
cependant,cependant,82
:,:,p
-,-,p
dites,dire,17
lui,lui,51
que,que,83
c',ce,52
est,être,17
moi,moi,51
",",",",p
pour,pour,81
une,un,71
affaire,affaire,22
pressante,pressant,30
/.,/.,P
après,après,81
cinq,cinq,72
minutes,minute,22
d',de,81
