12080
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-treizième extrait>,<>,<>
sortir,sortir,14
",",",",p
et,et,82
avait,avoir,18
tout,tout,52
entendu,entendre,12
/.,/.,P
la,le,71
reine,reine,22
poussa,pousser,19
un,un,71
cri,cri,21
perçant,perçant,30
en,en,81
se,se,51
voyant,voir,13
surprise,surprise,22
",",",",p
car,car,82
dans,dans,81
son,son,73
trouble,trouble,21
elle,il,51
ne,ne,60
reconnut,reconnaître,19
pas,pas,60
d'abord,d'abord,60
la,le,71
jeune,jeune,30
femme,femme,22
qui,qui,52
lui,lui,51
avait,avoir,18
été,être,12
donnée,donner,12
par,par,81
La Porte,La Porte,20
/.,/.,P
“,“,p
oh,oh,93
!,!,p
ne,ne,60
craignez,craindre,17
rien,rien,52
",",",",p
madame,madame,22
",",",",p
dit,dire,19
la,le,71
jeune,jeune,30
femme,femme,22
en,en,81
joignant,joindre,13
les,le,71
mains,main,22
et,et,82
en,en,81
pleurant,pleurer,13
elle-même,lui-même,51
des,de,81
des,le,71
angoisses,angoisse,22
de,de,81
la,le,71
reine,reine,22
;,;,p
je,je,51
suis,être,17
à,à,81
votre,votre,73
majesté,majesté,22
corps,corps,21
et,et,82
âme,âme,22
",",",",p
et,et,82
si,si,60
loin,loin,60
que,que,83
je,je,51
sois,être,17
d',de,81
elle,il,51
",",",",p
si,si,60
inférieure,inférieur,30
que,que,83
soit,être,17
ma,mon,73
position,position,22
",",",",p
je,je,51
crois,croire,17
que,que,83
j',je,51
ai,avoir,17
trouvé,trouver,12
un,un,71
moyen,moyen,21
de,de,81
tirer,tirer,14
votre,votre,73
majesté,majesté,22
de,de,81
peine,peine,22
/.,/.,P
-,-,p
vous,vous,51
!,!,p
ô,oh,93
ciel,ciel,21
!,!,p
vous,vous,51
!,!,p
s',se,51
écria,écrier,19
la,le,71
reine,reine,22
;,;,p
mais,mais,82
voyons,voir,17
regardez,regarder,17
moi,moi,51
en,en,81
face,face,22
/.,/.,P
je,je,51
suis,être,17
trahie,trahir,12
de,de,81
tous,tout,75
côtés,côté,21
",",",",p
puis,pouvoir,17
je,je,51
me,je,51
fier,fier,14
à,à,81
vous,vous,51
/?,/?,P
oh,oh,93
!,!,p
madame,madame,22
!,!,p
s',se,51
écria,écrier,19
la,le,71
jeune,jeune,30
femme,femme,22
en,en,81
tombant,tomber,13
à,à,81
genoux,genou,21
:,:,p
sur,sur,81
mon,mon,73
âme,âme,22
",",",",p
je,je,51
suis,être,17
prête,prêt,30
à,à,81
mourir,mourir,14
pour,pour,81
votre,votre,73
majesté,majesté,22
/!,/!,P
ce,ce,74
cri,cri,21
était,être,18
sorti,sortir,12
du,de,81
du,le,71
plus,plus,60
profond,profond,30
du,de,81
du,le,71
coeur,coeur,21
",",",",p
et,et,82
",",",",p
comme,comme,83
le,le,71
premier,premier,72
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
à,à,81
se,se,51
tromper,tromper,14
/.,/.,P
“,“,p
oui,oui,60
",",",",p
continua,continuer,19
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
oui,oui,60
",",",",p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
traîtres,traître,21
ici,ici,60
;,;,p
mais,mais,82
",",",",p
par,par,81
le,le,71
saint,saint,30
nom,nom,21
de,de,81
la,le,71
Vierge,Vierge,20
",",",",p
je,je,51
vous,vous,51
jure,jurer,17
que,que,83
personne,personne,52
n',ne,60
est,être,17
plus,plus,60
dévoué,dévouer,12
que,que,83
moi,moi,51
à,à,81
votre,votre,73
majesté,majesté,22
/.,/.,P
ces,ce,74
ferrets,ferret,21
que,que,52
le,le,71
roi,roi,21
redemande,redemander,17
",",",",p
vous,vous,51
les,le,52
avez,avoir,17
donnés,donner,12
au,à,81
au,le,71
duc,duc,21
de,de,81
Buckingham,Buckingham,20
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
ces,ce,74
ferrets,ferret,21
étaient,être,18
enfermés,enfermer,12
dans,dans,81
une,un,71
petite,petit,30
boîte,boîte,22
en,en,81
bois,bois,21
de,de,81
rose,rose,22
qu',que,52
il,il,51
tenait,tenir,18
sous,sous,81
son,son,73
bras,bras,21
/?,/?,P
est,être,17
ce,ce,52
que,que,83
je,je,51
me,je,51
trompe,tromper,17
/?,/?,P
est,être,17
ce,ce,52
que,que,83
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
cela,cela,52
/?,/?,P
oh,oh,93
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
murmura,murmurer,19
la,le,71
reine,reine,22
dont,dont,52
les,le,71
dents,dent,22
claquaient,claquer,18
d',de,81
effroi,effroi,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
ces,ce,74
ferrets,ferret,21
",",",",p
continua,continuer,19
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
il,il,51
faut,falloir,17
les,le,52
ravoir,ravoir,14
/.,/.,P
-,-,p
oui,oui,60
",",",",p
sans,sans,81
doute,doute,21
",",",",p
il,il,51
le,le,52
faut,falloir,17
",",",",p
s',se,51
écria,écrier,19
la,le,71
reine,reine,22
;,;,p
mais,mais,82
comment,comment,60
faire,faire,14
",",",",p
comment,comment,60
y,y,52
arriver,arriver,14
/?,/?,P
il,il,51
faut,falloir,17
envoyer,envoyer,14
quelqu'un,quelqu'un,52
au,à,81
au,le,71
duc,duc,21
/.,/.,P
-,-,p
mais,mais,82
qui,qui,52
?,?,p
qui,qui,52
?,?,p
à,à,81
qui,qui,52
me,je,51
fier,fier,14
/?,/?,P
ayez,avoir,17
confiance,confiance,22
en,en,81
moi,moi,51
",",",",p
madame,madame,22
;,;,p
faites,faire,17
moi,moi,51
cet,ce,74
honneur,honneur,21
",",",",p
ma,mon,73
reine,reine,22
",",",",p
et,et,82
je,je,51
trouverai,trouver,15
le,le,71
messager,messager,21
",",",",p
moi,moi,51
/!,/!,P
mais,mais,82
il,il,51
faudra,falloir,15
écrire,écrire,14
/!,/!,P
oh,oh,93
!,!,p
oui,oui,60
/.,/.,P
c',ce,52
est,être,17
indispensable,indispensable,30
/.,/.,P
deux,deux,72
mots,mot,21
de,de,81
la,le,71
main,main,22
de,de,81
votre,votre,73
majesté,majesté,22
et,et,82
votre,votre,73
cachet,cachet,21
particulier,particulier,30
/.,/.,P
-,-,p
mais,mais,82
ces,ce,74
deux,deux,72
mots,mot,21
",",",",p
c',ce,52
est,être,17
ma,mon,73
condamnation,condamnation,22
/.,/.,P
c',ce,52
est,être,17
le,le,71
divorce,divorce,21
",",",",p
l',le,71
exil,exil,21
/!,/!,P
oui,oui,60
",",",",p
s',si,83
ils,ils,51
tombent,tomber,17
entre,entre,81
des,de,81
des,le,71
mains,main,22
infâmes,infâme,30
/!,/!,P
mais,mais,82
je,je,51
réponds,répondre,17
que,que,83
ces,ce,74
deux,deux,72
mots,mot,21
seront,être,15
remis,remettre,12
à,à,81
leur,leur,73
adresse,adresse,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
il,il,51
faut,falloir,17
donc,donc,82
que,que,83
je,je,51
remette,remettre,17
ma,mon,73
vie,vie,22
",",",",p
mon,mon,73
honneur,honneur,21
",",",",p
ma,mon,73
réputation,réputation,22
entre,entre,81
vos,votre,73
mains,main,22
/!,/!,P
oui,oui,60
!,!,p
oui,oui,60
",",",",p
madame,madame,22
",",",",p
il,il,51
le,le,52
faut,falloir,17
",",",",p
et,et,82
je,je,51
sauverai,sauver,15
tout,tout,75
cela,cela,52
",",",",p
moi,moi,51
/!,/!,P
mais,mais,82
comment,comment,60
?,?,p
dites,dire,17
le,le,52
moi,moi,51
au,à,81
au,le,71
moins,moins,60
/.,/.,P
-,-,p
mon,mon,73
mari,mari,21
a,avoir,17
été,être,12
remis,remettre,12
en,en,81
liberté,liberté,22
il,il,51
y,y,52
a,avoir,17
deux,deux,72
ou,ou,82
trois,trois,72
jours,jour,21
;,;,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
encore,encore,60
eu,avoir,12
le,le,71
temps,temps,21
de,de,81
le,le,52
revoir,revoir,14
/.,/.,P
c',ce,52
est,être,17
un,un,71
brave,brave,30
et,et,82
honnête,honnête,30
homme,homme,21
qui,qui,52
n',ne,60
a,avoir,17
ni,ni,82
haine,haine,22
",",",",p
ni,ni,82
amour,amour,21
pour,pour,81
personne,personne,52
/.,/.,P
il,il,51
fera,faire,15
ce,ce,52
que,que,52
je,je,51
voudrai,vouloir,15
:,:,p
il,il,51
partira,partir,15
sur,sur,81
un,un,71
ordre,ordre,21
de,de,81
moi,moi,51
",",",",p
sans,sans,81
savoir,savoir,14
ce,ce,52
qu',que,52
il,il,51
porte,porter,17
",",",",p
et,et,82
il,il,51
remettra,remettre,15
la,le,71
lettre,lettre,22
de,de,81
votre,votre,73
majesté,majesté,22
",",",",p
sans,sans,81
même,même,60
savoir,savoir,14
qu',que,83
elle,il,51
est,être,17
de,de,81
votre,votre,73
majesté,majesté,22
",",",",p
à,à,81
l',le,71
adresse,adresse,22
qu',que,52
elle,il,51
indiquera,indiquer,15
/.,/.,P
“,“,p
la,le,71
reine,reine,22
prit,prendre,19
les,le,71
deux,deux,72
mains,main,22
de,de,81
la,le,71
jeune,jeune,30
femme,femme,22
avec,avec,81
un,un,71
élan,élan,21
passionné,passionné,31
",",",",p
la,le,52
regarda,regarder,19
comme,comme,83
pour,pour,81
lire,lire,14
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
coeur,coeur,21
",",",",p
et,et,82
ne,ne,60
voyant,voir,13
que,que,83
sincérité,sincérité,22
dans,dans,81
ses,son,73
beaux,beau,30
yeux,oeil,21
",",",",p
elle,il,51
l',le,52
embrassa,embrasser,19
tendrement,tendrement,60
/.,/.,P
“,“,p
fais,faire,17
cela,cela,52
",",",",p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
",",",",p
et,et,82
tu,tu,51
m',je,51
auras,avoir,15
sauvé,sauver,12
la,le,71
vie,vie,22
",",",",p
tu,tu,51
m',je,51
auras,avoir,15
sauvé,sauver,12
l',le,71
honneur,honneur,21
/!,/!,P
oh,oh,93
!,!,p
n',ne,60
exagérez,exagérer,17
pas,pas,60
le,le,71
service,service,21
que,que,52
j',je,51
ai,avoir,17
le,le,71
bonheur,bonheur,21
de,de,81
vous,vous,51
rendre,rendre,14
;,;,p
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
à,à,81
sauver,sauver,14
à,à,81
votre,votre,73
majesté,majesté,22
",",",",p
qui,qui,52
est,être,17
seulement,seulement,60
victime,victime,22
de,de,81
perfides,perfide,30
complots,complot,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
dit,dire,19
la,le,71
reine,reine,22
",",",",p
et,et,82
tu,tu,51
as,avoir,17
raison,raison,22
/.,/.,P
-,-,p
donnez,donner,17
moi,moi,51
donc,donc,82
cette,ce,74
lettre,lettre,22
",",",",p
madame,madame,22
",",",",p
le,le,71
temps,temps,21
presse,presser,17
/.,/.,P
“,“,p
la,le,71
reine,reine,22
courut,courir,19
à,à,81
une,un,71
petite,petit,30
table,table,22
sur,sur,81
laquelle,lequel,52
se,se,51
trouvaient,trouver,18
encre,encre,22
",",",",p
papier,papier,21
et,et,82
plumes,plume,22
:,:,p
elle,il,51
écrivit,écrire,19
deux,deux,72
lignes,ligne,22
",",",",p
cacheta,cacheter,19
la,le,71
lettre,lettre,22
de,de,81
son,son,73
cachet,cachet,21
et,et,82
la,le,52
remit,remettre,19
à,à,81
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
“,“,p
et,et,82
maintenant,maintenant,60
",",",",p
dit,dire,19
la,le,71
reine,reine,22
",",",",p
nous,nous,51
oublions,oublier,17
une,un,71
chose,chose,22
nécessaire,nécessaire,30
/.,/.,P
-,-,p
laquelle,lequel,52
/?,/?,P
l',le,71
argent,argent,21
/.,/.,P
“,“,p
madame,madame,22
Bonacieux,Bonacieux,20
rougit,rougir,19
/.,/.,P
“,“,p
oui,oui,60
",",",",p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
dit,dire,19
elle,il,51
",",",",p
et,et,82
j',je,51
avouerai,avouer,15
à,à,81
votre,votre,73
majesté,majesté,22
que,que,83
mon,mon,73
mari,mari,21
/…,/…,P
ton,ton,73
mari,mari,21
n',ne,60
en,en,52
a,avoir,17
pas,pas,60
",",",",p
c',ce,52
est,être,17
cela,cela,52
que,que,52
tu,tu,51
veux,vouloir,17
dire,dire,14
/.,/.,P
-,-,p
si,si,60
fait,fait,31
",",",",p
il,il,51
en,en,52
a,avoir,17
",",",",p
mais,mais,82
il,il,51
est,être,17
fort,fort,60
avare,avare,30
",",",",p
c',ce,52
est,être,17
là,là,60
son,son,73
défaut,défaut,21
/.,/.,P
cependant,cependant,82
",",",",p
que,que,52
votre,votre,73
majesté,majesté,22
ne,ne,60
s',se,51
inquiète,inquiéter,17
pas,pas,60
",",",",p
nous,nous,51
trouverons,trouver,15
moyen,moyen,30
/…,/…,P
c',ce,52
est,être,17
que,que,83
je,je,51
n',ne,60
en,en,52
ai,avoir,17
pas,pas,60
non,non,60
plus,plus,60
",",",",p
dit,dire,12
la,le,71
reine,reine,22
(,(,p
ceux,celui,52
qui,qui,52
liront,lire,15
les,le,71
mémoires,mémoire,22
de,de,81
madame,madame,22
de,de,81
Motteville,Motteville,20
ne,ne,60
s',se,51
étonneront,étonner,15
pas,pas,60
de,de,81
cette,ce,74
réponse,réponse,22
),),p
;,;,p
mais,mais,82
",",",",p
attends,attendre,17
/.,/.,P
“,“,p
Anne,Anne,20
d',de,81
Autriche,Autriche,20
courut,courir,19
à,à,81
son,son,73
écrin,écrin,21
/.,/.,P
“,“,p
tiens,tenir,17
",",",",p
dit,dire,19
elle,il,51
",",",",p
voici,voici,81
une,un,71
bague,bague,22
d',de,81
un,un,71
grand,grand,30
prix,prix,21
à,à,81
ce,ce,52
qu',que,52
on,on,51
assure,assurer,17
;,;,p
elle,il,51
vient,venir,17
de,de,81
mon,mon,73
frère,frère,21
le,le,71
roi,roi,21
d',de,81
Espagne,Espagne,20
",",",",p
elle,il,51
est,être,17
à,à,81
moi,moi,51
et,et,82
j',je,51
en,en,52
puis,pouvoir,17
disposer,disposer,14
/.,/.,P
prends,prendre,17
cette,ce,74
bague,bague,22
et,et,82
fais,faire,17
en,en,52
de,de,81
l',le,71
argent,argent,21
",",",",p
et,et,82
que,que,52
ton,ton,73
mari,mari,21
parte,partir,17
/.,/.,P
-,-,p
dans,dans,81
une,un,71
heure,heure,22
vous,vous,51
serez,être,15
obéie,obéir,12
/.,/.,P
-,-,p
tu,tu,51
vois,voir,17
l',le,71
adresse,adresse,22
",",",",p
ajouta,ajouter,19
la,le,71
reine,reine,22
",",",",p
parlant,parler,13
si,si,60
bas,bas,60
qu',que,83
à,à,81
peine,peine,22
pouvait,pouvoir,18
on,on,51
entendre,entendre,14
ce,ce,52
qu',que,52
elle,il,51
disait,dire,18
:,:,p
à,à,81
milord,milord,21
duc,duc,21
de,de,81
Buckingham,Buckingham,20
",",",",p
à,à,81
Londres,Londres,20
/.,/.,P
-,-,p
la,le,71
lettre,lettre,22
sera,être,15
remise,remettre,12
à,à,81
lui-même,lui-même,51
/.,/.,P
-,-,p
généreuse,généreux,30
enfant,enfant,21
!,!,p
s',se,51
écria,écrier,19
Anne,Anne,20
d',de,81
Autriche,Autriche,20
/.,/.,P
madame,madame,22
Bonacieux,Bonacieux,20
baisa,baiser,19
les,le,71
mains,main,22
de,de,81
la,le,71
reine,reine,22
",",",",p
cacha,cacher,19
le,le,71
papier,papier,21
dans,dans,81
son,son,73
corsage,corsage,21
et,et,82
disparut,disparaître,19
avec,avec,81
la,le,71
légèreté,légèreté,22
d',de,81
un,un,71
oiseau,oiseau,21
/.,/.,P
dix,dix,72
minutes,minute,22
après,après,81
",",",",p
elle,il,51
était,être,18
chez,chez,81
elle,il,51
;,;,p
comme,comme,83
elle,il,51
l',le,52
avait,avoir,18
dit,dire,12
à,à,81
la,le,71
reine,reine,22
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
revu,revoir,12
son,son,73
mari,mari,21
depuis,depuis,81
sa,son,73
mise,mise,22
en,en,81
liberté,liberté,22
;,;,p
elle,il,51
ignorait,ignorer,18
donc,donc,82
le,le,71
changement,changement,21
qui,qui,52
s',se,51
était,être,18
fait,faire,12
en,en,81
lui,lui,51
à,à,81
l',le,71
endroit,endroit,21
du,de,81
du,le,71
cardinal,cardinal,21
",",",",p
changement,changement,21
qu',que,52
avaient,avoir,18
opéré,opérer,12
la,le,71
flatterie,flatterie,22
et,et,82
l',le,71
argent,argent,21
de,de,81
son,son,73
éminence,éminence,22
et,et,82
qu',que,52
avaient,avoir,18
corroboré,corroborer,12
",",",",p
depuis,depuis,81
",",",",p
deux,deux,72
ou,ou,82
trois,trois,72
visites,visite,22
du,de,81
du,le,71
comte,comte,21
de,de,81
Rochefort,Rochefort,20
",",",",p
devenu,devenir,12
le,le,71
meilleur,meilleur,30
ami,ami,21
de,de,81
Bonacieux,Bonacieux,20
",",",",p
auquel,à,81
auquel,lequel,52
il,il,51
avait,avoir,18
fait,faire,12
croire,croire,14
sans,sans,81
beaucoup,beaucoup,60
de,de,81
peine,peine,22
qu',que,83
aucun,aucun,75
sentiment,sentiment,21
coupable,coupable,30
n',ne,60
avait,avoir,18
amené,amener,12
l',le,71
enlèvement,enlèvement,21
de,de,81
sa,son,73
femme,femme,22
",",",",p
mais,mais,82
que,que,52
c',ce,52
était,être,18
seulement,seulement,60
une,un,71
précaution,précaution,22
politique,politique,30
/.,/.,P
elle,il,51
trouva,trouver,19
monsieur,monsieur,21
Bonacieux,Bonacieux,20
seul,seul,30
:,:,p
le,le,71
pauvre,pauvre,30
homme,homme,21
remettait,remettre,18
à grand-peine,à grand-peine,60
de,de,81
l',le,71
ordre,ordre,21
dans,dans,81
la,le,71
maison,maison,22
",",",",p
dont,dont,52
il,il,51
avait,avoir,18
trouvé,trouver,12
les,le,71
meubles,meuble,21
à,à,81
peu,peu,60
près,près,81
brisés,brisé,31
et,et,82
les,le,71
armoires,armoire,22
à,à,81
peu,peu,60
près,près,81
vides,vide,30
",",",",p
la,le,71
justice,justice,22
n',ne,60
étant,être,13
pas,pas,60
une,un,52
des,de,81
des,le,71
trois,trois,72
choses,chose,22
que,que,52
le,le,71
roi,roi,21
Salomon,Salomon,20
indique,indiquer,17
comme,comme,83
ne,ne,60
laissant,laisser,13
point,point,60
de,de,81
traces,trace,22
de,de,81
leur,leur,73
passage,passage,21
/.,/.,P
quant,quand,83
à,à,81
la,le,71
servante,servante,22
",",",",p
elle,il,51
s',se,51
était,être,18
enfuie,enfuir,12
lors,lors,60
de,de,81
l',le,71
arrestation,arrestation,22
de,de,81
son,son,73
maître,maître,21
/.,/.,P
la,le,71
terreur,terreur,22
avait,avoir,18
gagné,gagner,12
la,le,71
pauvre,pauvre,30
fille,fille,22
au,à,81
au,le,71
point,point,21
qu',que,52
elle,il,51
n',ne,60
avait,avoir,18
cessé,cesser,12
de,de,81
marcher,marcher,14
de,de,81
Paris,Paris,20
jusqu',jusque,81
en,en,81
Bourgogne,Bourgogne,20
",",",",p
son,son,73
pays,pays,21
natal,natal,30
/.,/.,P
le,le,71
digne,digne,30
mercier,mercier,21
avait,avoir,18
",",",",p
aussitôt,aussitôt,60
sa,son,73
rentrée,rentrée,22
dans,dans,81
sa,son,73
maison,maison,22
",",",",p
fait,faire,12
part,part,22
à,à,81
sa,son,73
femme,femme,22
de,de,81
son,son,73
heureux,heureux,30
retour,retour,21
",",",",p
et,et,82
sa,son,73
femme,femme,22
lui,lui,51
avait,avoir,18
répondu,répondre,12
pour,pour,81
le,le,52
féliciter,féliciter,14
et,et,82
pour,pour,81
lui,lui,51
dire,dire,14
que,que,83
le,le,71
premier,premier,72
moment,moment,21
qu',que,52
elle,il,51
pourrait,pouvoir,16
dérober,dérober,14
à,à,81
ses,son,73
devoirs,devoir,21
serait,être,16
consacré,consacrer,12
tout,tout,60
entier,entier,30
à,à,81
lui,lui,51
rendre,rendre,14
visite,visite,22
/.,/.,P
ce,ce,74
premier,premier,72
moment,moment,21
s',se,51
était,être,18
fait,faire,12
attendre,attendre,14
cinq,cinq,72
jours,jour,21
",",",",p
ce,ce,52
qui,qui,52
",",",",p
dans,dans,81
toute,tout,75
autre,autre,75
circonstance,circonstance,22
",",",",p
eût,avoir,19
paru,paraître,12
un,un,71
peu,peu,60
bien,bien,60
long,long,30
à,à,81
maître,maître,21
Bonacieux,Bonacieux,20
;,;,p
mais,mais,82
il,il,51
avait,avoir,18
",",",",p
dans,dans,81
la,le,71
visite,visite,22
qu',que,52
il,il,51
avait,avoir,18
faite,faire,12
au,à,81
au,le,71
cardinal,cardinal,21
et,et,82
dans,dans,81
les,le,71
visites,visite,22
que,que,52
lui,lui,51
faisait,faire,18
Rochefort,Rochefort,20
",",",",p
ample,ample,30
sujet,sujet,21
à,à,81
réflexion,réflexion,22
",",",",p
et,et,82
",",",",p
comme,comme,83
on,on,51
sait,savoir,17
",",",",p
rien,rien,52
ne,ne,60
fait,faire,17
passer,passer,14
le,le,71
temps,temps,21
comme,comme,83
de,de,81
réfléchir,réfléchir,14
/.,/.,P
d'autant,d'autant,60
plus,plus,60
que,que,83
les,le,71
réflexions,réflexion,22
de,de,81
Bonacieux,Bonacieux,20
étaient,être,18
toutes,tout,52
couleur,couleur,22
de,de,81
rose,rose,22
/.,/.,P
Rochefort,Rochefort,20
l',le,52
appelait,appeler,18
son,son,73
ami,ami,21
",",",",p
son,son,73
cher,cher,30
Bonacieux,Bonacieux,20
",",",",p
et,et,82
ne,ne,60
cessait,cesser,18
de,de,81
lui,lui,51
dire,dire,14
que,que,83
le,le,71
cardinal,cardinal,21
faisait,faire,18
le,le,71
plus,plus,60
grand,grand,30
cas,cas,21
de,de,81
lui,lui,51
/.,/.,P
le,le,71
mercier,mercier,21
se,se,51
voyait,voir,18
déjà,déjà,60
sur,sur,81
le,le,71
chemin,chemin,21
des,de,81
des,le,71
honneurs,honneur,21
et,et,82
de,de,81
la,le,71
fortune,fortune,22
/.,/.,P
de,de,81
son,son,73
côté,côté,21
",",",",p
madame,madame,22
Bonacieux,Bonacieux,20
avait,avoir,18
réfléchi,réfléchir,12
",",",",p
mais,mais,82
",",",",p
il,il,51
faut,falloir,17
le,le,52
dire,dire,14
",",",",p
à,à,81
tout,tout,60
autre,autre,75
chose,chose,22
que,que,83
l',le,71
ambition,ambition,22
;,;,p
malgré,malgré,81
elle,il,51
",",",",p
ses,son,73
pensées,pensée,22
avaient,avoir,18
eu,avoir,12
pour,pour,81
mobile,mobile,21
constant,constant,30
ce,ce,74
beau,beau,30
jeune,jeune,30
homme,homme,21
si,si,60
brave,brave,30
et,et,82
qui,qui,52
paraissait,paraître,18
si,si,60
amoureux,amoureux,30
/.,/.,P
mariée,marié,31
à,à,81
dix,dix,72
huit,huit,72
ans,an,21
à,à,81
monsieur,monsieur,21
Bonacieux,Bonacieux,20
",",",",p
ayant,avoir,13
toujours,toujours,60
vécu,vivre,12
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
amis,ami,21
de,de,81
son,son,73
mari,mari,21
",",",",p
peu,peu,60
susceptibles,susceptible,30
d',de,81
inspirer,inspirer,14
un,un,71
sentiment,sentiment,21
quelconque,quelconque,30
à,à,81
une,un,71
jeune,jeune,30
femme,femme,22
dont,dont,52
le,le,71
coeur,coeur,21
était,être,18
plus,plus,60
élevé,élever,12
que,que,83
sa,son,73
position,position,22
",",",",p
madame,madame,22
Bonacieux,Bonacieux,20
était,être,18
restée,rester,12
insensible,insensible,30
aux,à,81
aux,le,71
séductions,séduction,22
vulgaires,vulgaire,30
;,;,p
mais,mais,82
",",",",p
à,à,81
cette,ce,74
époque,époque,22
surtout,surtout,60
",",",",p
le,le,71
titre,titre,21
de,de,81
gentilhomme,gentilhomme,21
avait,avoir,18
une,un,71
grande,grand,30
influence,influence,22
sur,sur,81
la,le,71
bourgeoisie,bourgeoisie,22
",",",",p
et,et,82
d',de,81
Artagnan,Artagnan,20
était,être,18
gentilhomme,gentilhomme,21
;,;,p
de,de,81
plus,plus,60
",",",",p
il,il,51
portait,porter,18
l',le,71
uniforme,uniforme,21
des,de,81
des,le,71
gardes,garde,21
",",",",p
qui,qui,52
",",",",p
après,après,81
l',le,71
uniforme,uniforme,21
des,de,81
des,le,71
mousquetaires,mousquetaire,21
",",",",p
était,être,18
le,le,71
plus,plus,60
apprécié,apprécier,12
des,de,81
des,le,71
dames,dame,22
/.,/.,P
il,il,51
était,être,18
",",",",p
nous,nous,51
le,le,52
répétons,répéter,17
",",",",p
beau,beau,30
",",",",p
jeune,jeune,30
",",",",p
aventureux,aventureux,30
;,;,p
il,il,51
parlait,parler,18
d',de,81
amour,amour,21
en,en,81
homme,homme,21
qui,qui,52
aime,aimer,17
et,et,82
qui,qui,52
a,avoir,17
soif,soif,22
d',de,81
être,être,14
aimé,aimer,12
;,;,p
il,il,51
y,y,52
en,en,52
avait,avoir,18
là,là,60
plus,plus,60
qu',que,83
il,il,51
n',ne,60
en,en,52
fallait,falloir,18
pour,pour,81
tourner,tourner,14
une,un,71
tête,tête,22
de,de,81
vingt,vingt,72
trois,trois,72
ans,an,21
",",",",p
et,et,82
madame,madame,22
Bonacieux,Bonacieux,20
en,en,52
était,être,18
arrivée,arriver,12
juste,juste,60
à,à,81
cet,ce,74
âge,âge,21
heureux,heureux,30
de,de,81
la,le,71
vie,vie,22
/.,/.,P
les,le,71
deux,deux,72
époux,époux,21
",",",",p
quoiqu',quoique,83
ils,ils,51
ne,ne,60
se,se,51
fussent,être,18
pas,pas,60
vus,voir,12
depuis,depuis,81
plus,plus,60
de,de,81
huit,huit,72
jours,jour,21
",",",",p
et,et,82
que,que,83
pendant,pendant,81
cette,ce,74
semaine,semaine,22
de,de,81
graves,grave,30
événements,événement,21
eussent,avoir,18
passé,passer,12
entre,entre,81
eux,ils,51
",",",",p
s',se,51
abordèrent,aborder,19
donc,donc,82
avec,avec,81
une,un,71
certaine,certain,75
préoccupation,préoccupation,22
;,;,p
néanmoins,néanmoins,60
",",",",p
monsieur,monsieur,21
Bonacieux,Bonacieux,20
manifesta,manifester,19
une,un,71
joie,joie,22
réelle,réel,30
et,et,82
s',se,51
avança,avancer,19
vers,vers,81
sa,son,73
femme,femme,22
à,à,81
bras,bras,21
ouverts,ouvert,31
/.,/.,P
madame,madame,22
Bonacieux,Bonacieux,20
lui,lui,51
présenta,présenter,19
le,le,71
front,front,21
/.,/.,P
“,“,p
causons,causer,17
un,un,71
peu,peu,60
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
comment,comment,60
?,?,p
dit,dire,19
Bonacieux,Bonacieux,20
étonné,étonné,31
/.,/.,P
-,-,p
oui,oui,60
",",",",p
sans,sans,81
doute,doute,21
",",",",p
j',je,51
ai,avoir,17
une,un,71
chose,chose,22
de,de,81
la,le,71
plus,plus,60
haute,haut,30
importance,importance,22
à,à,81
vous,vous,51
dire,dire,14
/.,/.,P
-,-,p
au,à,81
au,le,71
fait,fait,21
",",",",p
et,et,82
moi,moi,51
aussi,aussi,60
",",",",p
j',je,51
ai,avoir,17
quelques,quelque,75
questions,question,22
assez,assez,60
sérieuses,sérieux,30
à,à,81
vous,vous,51
adresser,adresser,14
/.,/.,P
expliquez,expliquer,17
moi,moi,51
un,un,71
peu,peu,60
