11536
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-cinquième extrait>,<>,<>
sans,sans,81
le,le,71
secours,secours,21
de,de,81
ces,ce,74
grossiers,grossier,30
excitants,excitant,21
",",",",p
demander,demander,14
à,à,81
sa,son,73
cervelle,cervelle,22
seule,seul,30
",",",",p
de,de,81
l',le,52
emporter,emporter,14
loin,loin,60
de,de,81
la,le,71
vie,vie,22
",",",",p
dans,dans,81
les,le,71
rêves,rêve,21
/.,/.,P
quelle,quel,75
journée,journée,22
!,!,p
se,se,51
disait,dire,18
il,il,51
",",",",p
maintenant,maintenant,60
",",",",p
s',se,51
épongeant,éponger,13
le,le,71
cou,cou,21
",",",",p
sentant,sentir,13
ce,ce,52
qui,qui,52
pouvait,pouvoir,18
lui,lui,51
rester,rester,14
de,de,81
forces,force,22
",",",",p
se,se,51
dissoudre,dissoudre,14
en,en,81
de,de,81
nouvelles,nouveau,30
sueurs,sueur,22
;,;,p
une,un,71
agitation,agitation,22
fébrile,fébrile,30
l',le,52
empêchait,empêcher,18
encore,encore,60
de,de,81
demeurer,demeurer,14
en,en,81
place,place,22
;,;,p
une,un,71
fois,fois,22
de,de,81
plus,plus,60
",",",",p
il,il,51
errait,errer,18
au,à,81
au,le,71
travers,travers,21
de,de,81
ses,son,73
pièces,pièce,22
",",",",p
essayant,essayer,13
",",",",p
les,le,71
uns,un,52
après,après,81
les,le,71
autres,autre,52
",",",",p
tous,tout,75
les,le,71
sièges,siège,21
/.,/.,P
de,de,81
guerre,guerre,22
lasse,las,30
",",",",p
il,il,51
finit,finir,19
par,par,81
s',se,51
abattre,abattre,14
devant,devant,81
son,son,73
bureau,bureau,21
et,et,82
",",",",p
appuyé,appuyé,31
sur,sur,81
la,le,71
table,table,22
",",",",p
machinalement,machinalement,60
",",",",p
sans,sans,81
songer,songer,14
à,à,81
rien,rien,52
",",",",p
il,il,51
mania,manier,19
un,un,71
astrolabe,astrolabe,22
placé,placé,31
",",",",p
en,en,81
guise,guise,22
de,de,81
presse-papier,presse-papier,21
",",",",p
sur,sur,81
un,un,71
amas,amas,21
de,de,81
livres,livre,21
et,et,82
de,de,81
notes,note,22
/.,/.,P
il,il,51
avait,avoir,18
acheté,acheter,12
cet,ce,74
instrument,instrument,21
en,en,81
cuivre,cuivre,21
gravé,gravé,31
et,et,82
doré,doré,31
",",",",p
d',de,81
origine,origine,22
allemande,allemand,30
et,et,82
datant,dater,13
du,de,81
du,le,71
XVIIe,dix-septième,72
siècle,siècle,21
",",",",p
chez,chez,81
un,un,71
brocanteur,brocanteur,21
de,de,81
Paris,Paris,20
",",",",p
après,après,81
une,un,71
visite,visite,22
au,à,81
au,le,71
musée,musée,21
de,de,81
Cluny,Cluny,20
",",",",p
où,où,60
longuement,longuement,60
il,il,51
s',se,51
était,être,18
pâmé,pâmer,12
devant,devant,81
un,un,71
merveilleux,merveilleux,30
astrolabe,astrolabe,22
",",",",p
en,en,81
ivoire,ivoire,21
ciselé,ciselé,31
",",",",p
dont,dont,52
l',le,71
allure,allure,22
cabalistique,cabalistique,30
l',le,52
avait,avoir,18
ravi,ravir,12
/.,/.,P
ce,ce,74
presse-papier,presse-papier,21
remua,remuer,19
",",",",p
en,en,81
lui,lui,51
",",",",p
tout,tout,75
un,un,71
essaim,essaim,21
de,de,81
réminiscences,réminiscence,22
/.,/.,P
déterminée,déterminé,31
et,et,82
mue,mu,31
par,par,81
l',le,71
aspect,aspect,21
de,de,81
ce,ce,74
joyau,joyau,21
",",",",p
sa,son,73
pensée,pensée,22
partit,partir,19
de,de,81
Fontenay,Fontenay,20
",",",",p
pour,pour,81
Paris,Paris,20
",",",",p
chez,chez,81
le,le,71
bric-à-brac,bric-à-brac,21
qui,qui,52
l',le,52
avait,avoir,18
vendu,vendre,12
",",",",p
puis,puis,60
rétrograda,rétrograder,19
jusqu',jusque,81
au,à,81
au,le,71
musée,musée,21
des,de,81
des,le,71
Thermes,Thermes,20
et,et,82
",",",",p
mentalement,mentalement,60
",",",",p
il,il,51
revit,revoir,19
l',le,71
astrolabe,astrolabe,22
d',de,81
ivoire,ivoire,21
",",",",p
alors,alors,60
que,que,83
ses,son,73
yeux,oeil,21
continuaient,continuer,18
à,à,81
considérer,considérer,14
",",",",p
mais,mais,82
sans,sans,81
plus,plus,60
le,le,52
voir,voir,14
",",",",p
l',le,71
astrolabe,astrolabe,22
de,de,81
cuivre,cuivre,21
",",",",p
sur,sur,81
sa,son,73
table,table,22
/.,/.,P
puis,puis,60
",",",",p
il,il,51
sortit,sortir,19
du,de,81
du,le,71
musée,musée,21
et,et,82
",",",",p
sans,sans,81
quitter,quitter,14
la,le,71
ville,ville,22
",",",",p
flâna,flâner,19
en,en,81
chemin,chemin,21
",",",",p
vagabonda,vagabonder,19
par,par,81
la,le,71
rue,rue,22
du,de,81
du,le,71
Sommerard,Sommerard,20
et,et,82
le,le,71
boulevard,boulevard,21
Saint-Michel,Saint-Michel,20
",",",",p
s',se,51
embrancha,embrancher,19
dans,dans,81
les,le,71
rues,rue,22
avoisinantes,avoisinant,30
et,et,82
s',se,51
arrêta,arrêter,19
devant,devant,81
certaines,certain,75
boutiques,boutique,22
dont,dont,52
la,le,71
fréquence,fréquence,22
et,et,82
dont,dont,52
la,le,71
tenue,tenue,22
toute,tout,60
spéciale,spécial,30
l',le,52
avaient,avoir,18
maintes,maint,30
fois,fois,22
frappé,frapper,12
/.,/.,P
commencé,commencé,31
à,à,81
propos,propos,21
d',de,81
un,un,71
astrolabe,astrolabe,22
",",",",p
ce,ce,74
voyage,voyage,21
spirituel,spirituel,30
aboutissait,aboutir,18
aux,à,81
aux,le,71
caboulots,caboulot,21
du,de,81
du,le,71
quartier,quartier,21
Latin,Latin,20
/.,/.,P
il,il,51
se,se,51
rappelait,rappeler,18
la,le,71
foison,foison,22
de,de,81
ces,ce,74
établissements,établissement,21
",",",",p
dans,dans,81
toute,tout,75
la,le,71
rue,rue,22
Monsieur-le-Prince,Monsieur-le-Prince,20
et,et,82
dans,dans,81
ce,ce,74
bout,bout,21
de,de,81
la,le,71
rue,rue,22
de,de,81
Vaugirard,Vaugirard,20
qui,qui,52
touche,toucher,17
à,à,81
l',le,71
Odéon,Odéon,20
;,;,p
parfois,parfois,60
",",",",p
ils,ils,51
se,se,51
suivaient,suivre,18
",",",",p
ainsi,ainsi,60
que,que,83
les,le,71
anciens,ancien,30
riddecks,riddeck,92
de,de,81
la,le,71
rue,rue,22
du,de,81
du,le,71
Canal aux Harengs,Canal aux Harengs,20
",",",",p
d',de,81
Anvers,Anvers,20
",",",",p
s',se,51
étalaient,étaler,18
",",",",p
à la queue leu leu,à la queue leu leu,60
",",",",p
surmontant,surmonter,13
les,le,71
trottoirs,trottoir,21
de,de,81
devantures,devanture,22
presque,presque,60
semblables,semblable,30
/.,/.,P
au,à,81
au,le,71
travers,travers,21
des,de,81
des,le,71
portes,porte,22
entrouvertes,entrouvert,31
et,et,82
des,de,81
des,le,71
fenêtres,fenêtre,22
mal,mal,60
obscurcies,obscurci,31
par,par,81
des,de,81
des,le,71
carreaux,carreau,21
de,de,81
couleur,couleur,22
ou,ou,82
par,par,81
des,de,81
des,le,71
rideaux,rideau,21
",",",",p
il,il,51
se,se,51
souvenait,souvenir,18
d',de,81
avoir,avoir,14
entrevu,entrevoir,12
des,de,81
des,le,71
femmes,femme,22
qui,qui,52
marchaient,marcher,18
",",",",p
en,en,81
se,se,51
traînant,traîner,13
et,et,82
en,en,81
avançant,avancer,13
le,le,71
cou,cou,21
",",",",p
comme,comme,83
font,faire,17
les,le,71
oies,oie,22
;,;,p
d',de,81
autres,autre,52
",",",",p
prostrées,prostré,30
sur,sur,81
des,de,81
des,le,71
banquettes,banquette,22
",",",",p
usaient,user,18
leurs,leur,73
coudes,coude,21
au,à,81
au,le,71
marbre,marbre,21
des,de,81
des,le,71
tables,table,22
et,et,82
ruminaient,ruminer,18
",",",",p
en,en,81
chantonnant,chantonner,13
",",",",p
les,le,71
tempes,tempe,22
entre,entre,81
les,le,71
poings,poing,21
;,;,p
d',de,81
autres,autre,52
encore,encore,60
se,se,51
dandinaient,dandiner,18
devant,devant,81
des,de,81
des,le,71
glaces,glace,22
",",",",p
en,en,81
pianotant,pianoter,13
",",",",p
du,de,81
du,le,71
bout,bout,21
des,de,81
des,le,71
doigts,doigt,21
",",",",p
leurs,leur,73
faux,faux,30
cheveux,cheveu,21
lustrés,lustré,31
par,par,81
un,un,71
coiffeur,coiffeur,21
;,;,p
d',de,81
autres,autre,52
enfin,enfin,60
tiraient,tirer,18
d',de,81
escarcelles,escarcelle,22
aux,à,81
aux,le,71
ressorts,ressort,21
dérangés,dérangé,31
",",",",p
des,de,81
des,le,71
piles,pile,22
de,de,81
pièces,pièce,22
blanches,blanc,30
et,et,82
de,de,81
sous,sou,21
qu',que,52
elles,ils,51
alignaient,aligner,18
",",",",p
méthodiquement,méthodiquement,60
",",",",p
en,en,81
des,de,81
des,le,71
petits,petit,30
tas,tas,21
/.,/.,P
la,le,71
plupart,plupart,22
avaient,avoir,18
des,de,81
des,le,71
traits,trait,21
massifs,massif,30
",",",",p
des,de,81
des,le,71
voix,voix,22
enrouées,enroué,31
",",",",p
des,de,81
des,le,71
gorges,gorge,22
molles,mou,30
et,et,82
des,de,81
des,le,71
yeux,oeil,21
peints,peint,31
",",",",p
et,et,82
toutes,tout,52
",",",",p
pareilles,pareil,30
à,à,81
des,de,81
des,le,71
automates,automate,21
remontés,remonté,31
à,à,81
la,le,71
fois,fois,22
par,par,81
la,le,71
même,même,75
clef,clé,22
",",",",p
lançaient,lancer,18
du,de,81
du,le,71
même,même,75
ton,ton,21
les,le,71
mêmes,même,75
invites,invite,22
",",",",p
débitaient,débiter,18
avec,avec,81
le,le,71
même,même,75
sourire,sourire,21
les,le,71
mêmes,même,75
propos,propos,21
biscornus,biscornu,30
",",",",p
les,le,71
mêmes,même,75
réflexions,réflexion,22
baroques,baroque,30
/.,/.,P
des,de,81
des,le,71
associations,association,22
d',de,81
idées,idée,22
se,se,51
formaient,former,18
dans,dans,81
l',le,71
esprit,esprit,21
de,de,81
des,de,81
des,le,71
Esseintes,Esseintes,20
qui,qui,52
arrivait,arriver,18
à,à,81
une,un,71
conclusion,conclusion,22
",",",",p
maintenant,maintenant,60
qu',que,83
il,il,51
embrassait,embrasser,18
par,par,81
le,le,71
souvenir,souvenir,21
",",",",p
à,à,81
vol,vol,21
d',de,81
oiseau,oiseau,21
",",",",p
ces,ce,74
tas,tas,21
d',de,81
estaminets,estaminet,21
et,et,82
de,de,81
rues,rue,22
/.,/.,P
il,il,51
comprenait,comprendre,18
la,le,71
signification,signification,22
de,de,81
ces,ce,74
cafés,café,21
qui,qui,52
répondaient,répondre,18
à,à,81
l',le,71
état,état,21
d',de,81
âme,âme,22
d',de,81
une,un,71
génération,génération,22
tout,tout,60
entière,entier,30
",",",",p
et,et,82
il,il,51
en,en,52
dégageait,dégager,18
la,le,71
synthèse,synthèse,22
de,de,81
l',le,71
époque,époque,22
/.,/.,P
et,et,82
",",",",p
en,en,81
effet,effet,21
",",",",p
les,le,71
symptômes,symptôme,21
étaient,être,18
manifestes,manifeste,30
et,et,82
certains,certain,30
;,;,p
les,le,71
maisons,maison,22
de,de,81
tolérance,tolérance,22
disparaissaient,disparaître,18
",",",",p
et,et,82
à,à,81
mesure,mesure,22
que,que,83
l',le,71
une,un,52
d',de,81
elles,ils,51
se,se,51
fermait,fermer,18
",",",",p
un,un,71
caboulot,caboulot,21
opérait,opérer,18
son,son,73
ouverture,ouverture,22
/.,/.,P
cette,ce,74
diminution,diminution,22
de,de,81
la,le,71
prostitution,prostitution,22
soumise,soumis,31
au,à,81
au,le,71
profit,profit,21
des,de,81
des,le,71
amours,amour,21
clandestines,clandestin,30
",",",",p
résidait,résider,18
évidemment,évidemment,60
dans,dans,81
les,le,71
incompréhensibles,incompréhensible,30
illusions,illusion,22
des,de,81
des,le,71
hommes,homme,21
",",",",p
au,à,81
au,le,71
point,point,21
de,de,81
vue,vue,22
charnel,charnel,30
/.,/.,P
si,si,60
monstrueux,monstrueux,30
que,que,83
cela,cela,52
pût,pouvoir,18
paraître,paraître,14
",",",",p
le,le,71
caboulot,caboulot,21
satisfaisait,satisfaire,18
un,un,71
idéal,idéal,21
/.,/.,P
bien,bien,60
que,que,83
les,le,71
penchants,penchant,21
utilitaires,utilitaire,30
transmis,transmis,31
par,par,81
l',le,71
hérédité,hérédité,22
et,et,82
développés,développé,31
par,par,81
les,le,71
précoces,précoce,30
impolitesses,impolitesse,22
et,et,82
les,le,71
constantes,constant,30
brutalités,brutalité,22
des,de,81
des,le,71
collèges,collège,21
",",",",p
eussent,avoir,18
rendu,rendre,12
la,le,71
jeunesse,jeunesse,22
contemporaine,contemporain,30
singulièrement,singulièrement,60
mal,mal,60
élevée,élevé,31
et,et,82
aussi,aussi,60
singulièrement,singulièrement,60
positive,positif,30
et,et,82
froide,froid,30
",",",",p
elle,il,51
n',ne,60
en,en,52
avait,avoir,18
pas,pas,60
moins,moins,60
gardé,garder,12
",",",",p
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
",",",",p
une,un,71
vieille,vieux,30
fleur,fleur,22
bleue,bleu,30
",",",",p
un,un,71
vieil,vieux,30
idéal,idéal,21
d',de,81
une,un,71
affection,affection,22
rance,rance,30
et,et,82
vague,vague,30
/.,/.,P
aujourd'hui,aujourd'hui,60
",",",",p
quand,quand,83
le,le,71
sang,sang,21
la,le,52
travaillait,travailler,18
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
se,se,51
résoudre,résoudre,14
à,à,81
entrer,entrer,14
",",",",p
à,à,81
consommer,consommer,14
",",",",p
à,à,81
payer,payer,14
et,et,82
à,à,81
sortir,sortir,14
;,;,p
c',ce,52
était,être,18
",",",",p
à,à,81
ses,son,73
yeux,oeil,21
",",",",p
de,de,81
la,le,71
bestialité,bestialité,22
",",",",p
du,de,81
du,le,71
rut,rut,21
de,de,81
chien,chien,21
couvrant,couvrir,13
sans,sans,81
préambules,préambule,21
une,un,71
chienne,chienne,22
;,;,p
puis,puis,60
la,le,71
vanité,vanité,22
fuyait,fuir,18
",",",",p
inassouvie,inassouvi,30
",",",",p
de,de,81
ces,ce,74
maisons,maison,22
tolérées,toléré,31
où,où,60
il,il,51
n',ne,60
y,y,52
avait,avoir,18
eu,avoir,12
",",",",p
ni,ni,82
simulacre,simulacre,21
de,de,81
résistance,résistance,22
",",",",p
ni,ni,82
semblant,semblant,21
de,de,81
victoire,victoire,22
",",",",p
ni,ni,82
préférence,préférence,22
espérée,espéré,31
",",",",p
ni,ni,82
même,même,60
de,de,81
largesse,largesse,22
obtenue,obtenu,31
de,de,81
la,le,71
part,part,22
de,de,81
la,le,71
marchande,marchande,22
qui,qui,52
aurait,avoir,16
ses,son,73
tendresses,tendresse,22
",",",",p
suivant,suivre,13
les,le,71
prix,prix,21
/.,/.,P
au,à,81
au,le,71
contraire,contraire,21
",",",",p
la,le,71
cour,cour,22
faite,fait,31
à,à,81
une,un,71
fille,fille,22
de,de,81
brasserie,brasserie,22
",",",",p
ménageait,ménager,18
toutes,tout,75
les,le,71
susceptibilités,susceptibilité,22
de,de,81
l',le,71
amour,amour,21
",",",",p
toutes,tout,75
les,le,71
délicatesses,délicatesse,22
du,de,81
du,le,71
sentiment,sentiment,21
/.,/.,P
celle-là,celui-là,52
",",",",p
on,on,51
se,se,51
la,le,52
disputait,disputer,18
",",",",p
et,et,82
ceux,celui,52
auxquels,à,81
auxquels,lequel,52
elle,il,51
consentait,consentir,18
à,à,81
octroyer,octroyer,14
",",",",p
moyennant,moyennant,81
de,de,81
copieux,copieux,30
salaires,salaire,21
",",",",p
un,un,71
rendez-vous,rendez-vous,21
",",",",p
s',se,51
imaginaient,imaginer,18
",",",",p
de,de,81
bonne,bon,30
foi,foi,22
",",",",p
l',le,52
avoir,avoir,14
emporté,emporter,12
sur,sur,81
un,un,71
rival,rival,21
",",",",p
être,être,14
l',le,71
objet,objet,21
d',de,81
une,un,71
distinction,distinction,22
honorifique,honorifique,30
",",",",p
d',de,81
une,un,71
faveur,faveur,22
rare,rare,30
/.,/.,P
cependant,cependant,82
",",",",p
cette,ce,74
domesticité,domesticité,22
était,être,18
aussi,aussi,60
bête,bête,30
",",",",p
aussi,aussi,60
intéressée,intéresser,12
",",",",p
aussi,aussi,60
vile,vil,30
et,et,82
aussi,aussi,60
repue,repu,31
que,que,83
celle,celui,52
qui,qui,52
desservait,desservir,18
les,le,71
maisons,maison,22
à,à,81
numéros,numéro,21
/.,/.,P
comme,comme,83
elle,il,51
",",",",p
elle,il,51
buvait,boire,18
sans,sans,81
soif,soif,22
",",",",p
riait,rire,18
sans,sans,81
motif,motif,21
",",",",p
raffolait,raffoler,18
des,de,81
des,le,71
caresses,caresse,22
d',de,81
un,un,71
blousier,blousier,21
",",",",p
s',se,51
insultait,insulter,18
et,et,82
se,se,51
crêpait,crêper,18
le,le,71
chignon,chignon,21
",",",",p
sans,sans,81
cause,cause,22
;,;,p
malgré,malgré,81
tout,tout,52
",",",",p
depuis,depuis,81
le,le,71
temps,temps,21
",",",",p
la,le,71
jeunesse,jeunesse,22
parisienne,parisien,30
ne,ne,60
s',se,51
était,être,18
pas,pas,60
encore,encore,60
aperçue,apercevoir,12
que,que,83
les,le,71
bonnes,bonne,22
des,de,81
des,le,71
caboulots,caboulot,21
étaient,être,18
",",",",p
au,à,81
au,le,71
point,point,21
de,de,81
vue,vue,22
de,de,81
la,le,71
beauté,beauté,22
plastique,plastique,30
",",",",p
au,à,81
au,le,71
point,point,21
de,de,81
vue,vue,22
des,de,81
des,le,71
attitudes,attitude,22
savantes,savant,30
et,et,82
des,de,81
des,le,71
atours,atour,21
nécessaires,nécessaire,30
bien,bien,60
inférieures,inférieur,30
aux,à,81
aux,le,71
femmes,femme,22
enfermées,enfermé,31
dans,dans,81
des,de,81
des,le,71
salons,salon,21
de,de,81
luxe,luxe,21
/!,/!,P
mon,mon,73
dieu,dieu,21
",",",",p
se,se,51
disait,dire,18
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
qu',que,52
ils,ils,51
sont,être,17
donc,donc,82
godiches,godiche,30
ces,ce,74
gens,gens,21
qui,qui,52
papillonnent,papillonner,17
autour,autour,60
des,de,81
des,le,71
brasseries,brasserie,22
;,;,p
car,car,82
",",",",p
en,en,81
sus,sus,60
de,de,81
leurs,leur,73
ridicules,ridicule,30
illusions,illusion,22
",",",",p
ils,ils,51
en,en,52
viennent,venir,17
même,même,60
à,à,81
oublier,oublier,14
le,le,71
péril,péril,21
des,de,81
des,le,71
appâts,appât,21
dégradés,dégradé,31
et,et,82
suspects,suspect,30
",",",",p
à,à,81
ne,ne,60
plus,plus,60
tenir,tenir,14
compte,compte,21
de,de,81
l',le,71
argent,argent,21
dépensé,dépensé,31
dans,dans,81
un,un,71
nombre,nombre,21
de,de,81
consommations,consommation,22
tarifé,tarifé,31
d',de,81
avance,avance,22
par,par,81
la,le,71
patronne,patronne,22
",",",",p
du,de,81
du,le,71
temps,temps,21
perdu,perdu,31
à,à,81
attendre,attendre,14
une,un,71
livraison,livraison,22
différée,différé,31
pour,pour,81
en,en,52
augmenter,augmenter,14
le,le,71
prix,prix,21
",",",",p
des,de,81
des,le,71
atermoiements,atermoiement,21
répétés,répété,31
pour,pour,81
décider,décider,14
et,et,82
activer,activer,14
le,le,71
jeu,jeu,21
des,de,81
des,le,71
pourboires,pourboire,21
/!,/!,P
ce,ce,74
sentimentalisme,sentimentalisme,21
imbécile,imbécile,30
combiné,combiné,31
avec,avec,81
une,un,71
férocité,férocité,22
pratique,pratique,30
",",",",p
représentait,représenter,18
la,le,71
pensée,pensée,22
dominante,dominant,30
du,de,81
du,le,71
siècle,siècle,21
;,;,p
ces,ce,74
mêmes,même,75
gens,gens,21
qui,qui,52
auraient,avoir,16
éborgné,éborgner,12
leur,leur,73
prochain,prochain,21
",",",",p
pour,pour,81
gagner,gagner,14
dix,dix,72
sous,sou,21
",",",",p
perdaient,perdre,18
toute,tout,75
lucidité,lucidité,22
",",",",p
tout,tout,75
flair,flair,21
",",",",p
devant,devant,81
ces,ce,74
louches,louche,30
cabaretières,cabaretière,22
qui,qui,52
les,le,52
harcelaient,harceler,18
sans,sans,81
pitié,pitié,22
et,et,82
les,le,52
rançonnaient,rançonner,18
sans,sans,81
trêve,trêve,22
/.,/.,P
des,de,81
des,le,71
industries,industrie,22
travaillaient,travailler,18
",",",",p
des,de,81
des,le,71
familles,famille,22
se,se,51
grugeaient,gruger,18
entre,entre,81
elles,ils,51
sous,sous,81
prétexte,prétexte,21
de,de,81
commerce,commerce,21
",",",",p
afin,afin,81
de,de,81
se,se,51
laisser,laisser,14
chiper,chiper,14
de,de,81
l',le,71
argent,argent,21
par,par,81
leurs,leur,73
fils,fils,21
qui,qui,52
se,se,51
laissaient,laisser,18
",",",",p
à,à,81
leur,leur,73
tour,tour,21
",",",",p
escroquer,escroquer,14
par,par,81
ces,ce,74
femmes,femme,22
que,que,52
dépouillaient,dépouiller,18
",",",",p
en,en,81
dernier,dernier,30
ressort,ressort,21
",",",",p
les,le,71
amants,amant,21
de,de,81
coeur,coeur,21
/.,/.,P
dans,dans,81
tout,tout,75
Paris,Paris,20
",",",",p
de,de,81
l',le,71
est,est,21
à,à,81
l',le,71
ouest,ouest,21
",",",",p
et,et,82
du,de,81
du,le,71
nord,nord,21
au,à,81
au,le,71
sud,sud,21
",",",",p
c',ce,52
était,être,18
une,un,71
chaîne,chaîne,22
ininterrompue,ininterrompu,30
de,de,81
carottes,carotte,22
",",",",p
un,un,71
carambolage,carambolage,21
de,de,81
vols,vol,21
organisés,organisé,31
qui,qui,52
se,se,51
répercutait,répercuter,18
de,de,81
proche,proche,21
en,en,81
proche,proche,21
",",",",p
et,et,82
tout,tout,75
cela,cela,52
parce qu',parce que,83
au,à,81
au,le,71
lieu,lieu,21
de,de,81
contenter,contenter,14
les,le,71
gens,gens,21
tout,tout,60
de,de,81
suite,suite,22
",",",",p
on,on,51
savait,savoir,18
les,le,52
faire,faire,14
patienter,patienter,14
et,et,82
les,le,52
faire,faire,14
attendre,attendre,14
/.,/.,P
au,à,81
au,le,71
fond,fond,21
",",",",p
le,le,71
résumé,résumé,21
de,de,81
la,le,71
sagesse,sagesse,22
humaine,humain,30
consistait,consister,18
à,à,81
traîner,traîner,14
les,le,71
choses,chose,22
en,en,81
longueur,longueur,22
;,;,p
à,à,81
dire,dire,14
non,non,60
puis,puis,60
enfin,enfin,60
oui,oui,60
;,;,p
car,car,82
l',l',94
on,on,51
ne,ne,60
maniait,manier,18
vraiment,vraiment,60
les,le,71
générations,génération,22
qu',que,83
en,en,81
les,le,52
lanternant,lanterner,13
/!,/!,P
ah,ah,93
!,!,p
s',si,83
il,il,51
en,en,52
était,être,18
de,de,81
même,même,60
de,de,81
l',le,71
estomac,estomac,21
",",",",p
soupira,soupirer,19
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
tordu,tordu,31
par,par,81
une,un,71
crampe,crampe,22
qui,qui,52
ramenait,ramener,18
vivement,vivement,60
son,son,73
esprit,esprit,21
égaré,égaré,31
au,à,81
au,le,71
loin,loin,60
",",",",p
à,à,81
Fontenay,Fontenay,20
/.,/.,P
cahin-caha,cahin-caha,60
",",",",p
quelques,quelque,75
jours,jour,21
s',se,51
écoulèrent,écouler,19
",",",",p
grâce,grâce,22
à,à,81
des,de,81
des,le,71
ruses,ruse,22
qui,qui,52
réussirent,réussir,19
à,à,81
leurrer,leurrer,14
la,le,71
défiance,défiance,22
de,de,81
l',le,71
estomac,estomac,21
",",",",p
mais,mais,82
un,un,71
matin,matin,21
",",",",p
les,le,71
marinades,marinade,22
qui,qui,52
masquaient,masquer,18
l',le,71
odeur,odeur,22
de,de,81
graisse,graisse,22
et,et,82
le,le,71
fumet,fumet,21
de,de,81
sang,sang,21
des,de,81
des,le,71
viandes,viande,22
ne,ne,60
furent,être,19
plus,plus,60
acceptées,accepter,12
et,et,82
des,de,81
des,le,71
Esseintes,Esseintes,20
anxieux,anxieux,30
",",",",p
se,se,51
demanda,demander,19
si,si,83
sa,son,73
faiblesse,faiblesse,22
déjà,déjà,60
grande,grand,30
",",",",p
n',ne,60
allait,aller,18
pas,pas,60
s',se,51
accroître,accroître,14
et,et,82
l',le,52
obliger,obliger,14
à,à,81
garder,garder,14
le,le,71
lit,lit,21
/.,/.,P
une,un,71
lueur,lueur,22
jaillit,jaillir,19
soudain,soudain,60
dans,dans,81
sa,son,73
détresse,détresse,22
;,;,p
il,il,51
se,se,51
rappela,rappeler,19
que,que,83
l',le,71
un,un,52
de,de,81
ses,son,73
amis,ami,21
",",",",p
jadis,jadis,60
bien,bien,60
malade,malade,30
",",",",p
était,être,18
parvenu,parvenir,12
",",",",p
à,à,81
l',le,71
aide,aide,22
d',de,81
un,un,71
sustenteur,sustenteur,21
",",",",p
à,à,81
enrayer,enrayer,14
l',le,71
anémie,anémie,22
",",",",p
à,à,81
maintenir,maintenir,14
le,le,71
dépérissement,dépérissement,21
",",",",p
à,à,81
conserver,conserver,14
son,son,73
peu,peu,60
de,de,81
force,force,22
/.,/.,P
il,il,51
dépêcha,dépêcher,19
son,son,73
domestique,domestique,21
à,à,81
Paris,Paris,20
",",",",p
à,à,81
la,le,71
recherche,recherche,22
de,de,81
ce,ce,74
précieux,précieux,30
instrument,instrument,21
et,et,82
",",",",p
d',de,81
après,après,81
le,le,71
prospectus,prospectus,21
que,que,52
le,le,71
fabricant,fabricant,21
y,y,52
joignit,joindre,19
",",",",p
il,il,51
enseigna,enseigner,19
lui-même,lui-même,51
à,à,81
la,le,71
cuisinière,cuisinière,22
la,le,71
façon,façon,22
de,de,81
couper,couper,14
le,le,71
rosbif,rosbif,21
en,en,81
petits,petit,30
morceaux,morceau,21
",",",",p
de,de,81
le,le,52
jeter,jeter,14
à,à,81
sec,sec,30
",",",",p
dans,dans,81
cette,ce,74
marmite,marmite,22
d',de,81
étain,étain,21
",",",",p
avec,avec,81
une,un,71
tranche,tranche,22
de,de,81
poireau,poireau,21
et,et,82
de,de,81
carotte,carotte,22
",",",",p
puis,puis,60
de,de,81
visser,visser,14
le,le,71
couvercle,couvercle,21
et,et,82
de,de,81
mettre,mettre,14
le,le,71
tout,tout,52
bouillir,bouillir,14
",",",",p
au,à,81
au,le,71
bain-marie,bain-marie,21
",",",",p
pendant,pendant,81
quatre,quatre,72
heures,heure,22
/.,/.,P
au,à,81
au,le,71
bout,bout,21
de,de,81
ce,ce,74
temps,temps,21
",",",",p
on,on,51
pressait,presser,18
les,le,71
filaments,filament,21
et,et,82
l',l',94
on,on,51
buvait,boire,18
une,un,71
cuillerée,cuillerée,22
du,de,81
du,le,71
jus,jus,21
bourbeux,bourbeux,30
et,et,82
salé,salé,31
",",",",p
déposé,déposé,31
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
marmite,marmite,22
/.,/.,P
alors,alors,60
",",",",p
on,on,51
sentait,sentir,18
comme,comme,83
une,un,71
tiède,tiède,30
moelle,moelle,22
",",",",p
comme,comme,83
une,un,71
caresse,caresse,22
veloutée,velouté,30
",",",",p
descendre,descendre,14
/.,/.,P
cette,ce,74
essence,essence,22
de,de,81
nourriture,nourriture,22
arrêtait,arrêter,18
les,le,71
tiraillements,tiraillement,21
et,et,82
les,le,71
nausées,nausée,22
du,de,81
du,le,71
vide,vide,21
",",",",p
incitait,inciter,18
même,même,60
l',le,71
estomac,estomac,21
qui,qui,52
ne,ne,60
se,se,51
refusait,refuser,18
pas,pas,60
à,à,81
accepter,accepter,14
quelques,quelque,75
cuillerées,cuillerée,22
