11459
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-neuvième extrait>,<>,<>
découvrant,découvrir,13
combien,combien,60
la,le,71
plus,plus,60
haute,haut,30
grandeur,grandeur,22
politique,politique,30
pouvait,pouvoir,18
devenir,devenir,14
petite,petit,30
dans,dans,81
ses,son,73
froides,froid,30
ruses,ruse,22
de,de,81
vanité,vanité,22
",",",",p
ses,son,73
pièges,piège,21
misérables,misérable,30
et,et,82
ses,son,73
noirceurs,noirceur,22
de,de,81
roué,roué,31
/.,/.,P
je,je,51
vis,voir,19
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
rien,rien,52
voulu,vouloir,12
de,de,81
son,son,73
prisonnier,prisonnier,21
",",",",p
et,et,82
que,que,52
c',ce,52
était,être,18
une,un,71
joie,joie,22
tacite,tacite,30
qu',que,52
il,il,51
s',se,51
était,être,18
donnée,donner,12
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
faibli,faiblir,12
dans,dans,81
ce,ce,74
tête-à-tête,tête-à-tête,21
",",",",p
et,et,82
s',se,51
étant,être,13
laissé,laisser,12
surprendre,surprendre,14
à,à,81
l',le,71
émotion,émotion,22
de,de,81
la,le,71
colère,colère,22
",",",",p
de,de,81
faire,faire,14
fléchir,fléchir,14
le,le,71
captif,captif,21
sous,sous,81
l',le,71
émotion,émotion,22
de,de,81
la,le,71
fatigue,fatigue,22
",",",",p
de,de,81
la,le,71
crainte,crainte,22
et,et,82
de,de,81
toutes,tout,75
les,le,71
faiblesses,faiblesse,22
qui,qui,52
amènent,amener,17
un,un,71
attendrissement,attendrissement,21
inexplicable,inexplicable,30
sur,sur,81
la,le,71
paupière,paupière,22
d',de,81
un,un,71
vieillard,vieillard,21
/.,/.,P
-,-,p
il,il,51
avait,avoir,18
voulu,vouloir,12
avoir,avoir,14
le,le,71
dernier,dernier,21
et,et,82
sortit,sortir,19
",",",",p
sans,sans,81
ajouter,ajouter,14
un,un,71
mot,mot,21
",",",",p
aussi,aussi,60
brusquement,brusquement,60
qu',que,83
il,il,51
était,être,18
entré,entrer,12
/.,/.,P
je,je,51
ne,ne,60
vis,voir,19
pas,pas,60
s',si,83
il,il,51
avait,avoir,18
salué,saluer,12
le,le,71
pape,pape,21
/.,/.,P
je,je,51
ne,ne,60
le,le,52
crois,croire,17
pas,pas,60
/.,/.,P
<Chapitre VI>,<>,<>
un,un,71
homme,homme,21
de,de,81
mer,mer,22
/.,/.,P
sitôt,sitôt,60
que,que,83
l',le,71
empereur,empereur,21
fut,être,19
sorti,sortir,12
de,de,81
l',le,71
appartement,appartement,21
",",",",p
deux,deux,72
ecclésiastiques,ecclésiastique,21
vinrent,venir,19
auprès,auprès,60
du,de,81
du,le,71
Saint-Père,Saint Père,20
",",",",p
et,et,82
l',le,52
emmenèrent,emmener,19
en,en,81
le,le,52
soutenant,soutenir,13
sous,sous,81
chaque,chaque,75
bras,bras,21
",",",",p
atterré,atterré,31
",",",",p
ému,ému,31
et,et,82
tremblant,tremblant,30
/.,/.,P
je,je,51
demeurai,demeurer,19
jusqu',jusque,81
à,à,81
la,le,71
nuit,nuit,22
dans,dans,81
l',le,71
alcôve,alcôve,22
d',de,81
où,où,60
j',je,51
avais,avoir,18
écouté,écouter,12
cet,ce,74
entretien,entretien,21
/.,/.,P
mes,mon,73
idées,idée,22
étaient,être,18
confondues,confondre,12
",",",",p
et,et,82
la,le,71
terreur,terreur,22
de,de,81
cette,ce,74
scène,scène,22
n',ne,60
était,être,18
pas,pas,60
ce,ce,52
qui,qui,52
me,je,51
dominait,dominer,18
/.,/.,P
j',je,51
étais,être,18
accablé,accabler,12
de,de,81
ce,ce,52
que,que,52
j',je,51
avais,avoir,18
vu,voir,12
;,;,p
et,et,82
sachant,savoir,13
à,à,81
présent,présent,21
à,à,81
quels,quel,75
calculs,calcul,21
mauvais,mauvais,30
l',le,71
ambition,ambition,22
toute,tout,60
personnelle,personnel,30
pouvait,pouvoir,18
faire,faire,14
descendre,descendre,14
le,le,71
génie,génie,21
",",",",p
je,je,51
haïssais,haïr,18
cette,ce,74
passion,passion,22
qui,qui,52
venait,venir,18
de,de,81
flétrir,flétrir,14
",",",",p
sous,sous,81
mes,mon,73
yeux,oeil,21
",",",",p
le,le,71
plus,plus,60
brillant,brillant,30
des,de,81
des,le,71
dominateurs,dominateur,30
",",",",p
celui,celui,52
qui,qui,52
donnera,donner,15
peut-être,peut-être,60
son,son,73
nom,nom,21
au,à,81
au,le,71
siècle,siècle,21
pour,pour,81
l',le,52
avoir,avoir,14
arrêté,arrêter,12
dix,dix,72
ans,an,21
dans,dans,81
sa,son,73
marche,marche,22
/.,/.,P
-,-,p
je,je,51
sentis,sentir,19
que,que,83
c',ce,52
était,être,18
folie,folie,22
de,de,81
se,se,51
dévouer,dévouer,14
à,à,81
un,un,71
homme,homme,21
",",",",p
puisque,puisque,83
l',le,71
autorité,autorité,22
despotique,despotique,30
ne,ne,60
peut,pouvoir,17
manquer,manquer,14
de,de,81
rendre,rendre,14
mauvais,mauvais,30
nos,notre,73
faibles,faible,30
coeurs,coeur,21
;,;,p
mais,mais,82
je,je,51
ne,ne,60
savais,savoir,18
à,à,81
quelle,quel,75
idée,idée,22
me,je,51
donner,donner,14
désormais,désormais,60
/.,/.,P
je,je,51
vous,vous,51
l',le,52
ai,avoir,17
dit,dire,12
",",",",p
j',je,51
avais,avoir,18
dix,dix,72
huit,huit,72
ans,an,21
alors,alors,60
",",",",p
et,et,82
je,je,51
n',ne,60
avais,avoir,18
encore,encore,60
en,en,81
moi,moi,51
qu',que,83
un,un,71
instinct,instinct,21
vague,vague,30
du,de,81
du,le,71
vrai,vrai,21
",",",",p
du,de,81
du,le,71
bon,bon,30
et,et,82
du,de,81
du,le,71
beau,beau,21
",",",",p
mais,mais,82
assez,assez,60
obstiné,obstiné,31
pour,pour,81
m',je,51
attacher,attacher,14
sans,sans,81
cesse,cesse,22
à,à,81
cette,ce,74
recherche,recherche,22
/.,/.,P
c',ce,52
est,être,17
la,le,71
seule,seul,30
chose,chose,22
que,que,52
j',je,51
estime,estimer,17
en,en,81
moi,moi,51
/.,/.,P
je,je,51
jugeai,juger,19
qu',que,83
il,il,51
était,être,18
de,de,81
mon,mon,73
devoir,devoir,21
de,de,81
me,je,51
taire,taire,14
sur,sur,81
ce,ce,52
que,que,52
j',je,51
avais,avoir,18
vu,voir,12
;,;,p
mais,mais,82
j',je,51
eus,avoir,19
lieu,lieu,21
de,de,81
croire,croire,14
que,que,83
l',l',94
on,on,51
s',se,51
était,être,18
aperçu,apercevoir,12
de,de,81
ma,mon,73
disparition,disparition,22
momentanée,momentané,30
de,de,81
la,le,71
suite,suite,22
de,de,81
l',le,71
empereur,empereur,21
",",",",p
car,car,82
voici,voici,81
ce,ce,52
qui,qui,52
m',je,51
arriva,arriver,19
/.,/.,P
je,je,51
ne,ne,60
remarquai,remarquer,19
dans,dans,81
les,le,71
manières,manière,22
du,de,81
du,le,71
maître,maître,21
aucun,aucun,75
changement,changement,21
à,à,81
mon,mon,73
égard,égard,21
/.,/.,P
seulement,seulement,60
",",",",p
je,je,51
passai,passer,19
peu,peu,60
de,de,81
jours,jour,21
près,près,81
de,de,81
lui,lui,51
",",",",p
et,et,82
l',le,71
étude,étude,22
attentive,attentif,30
que,que,52
j',je,51
avais,avoir,18
voulu,vouloir,12
faire,faire,14
de,de,81
son,son,73
caractère,caractère,21
",",",",p
fut,être,19
brusquement,brusquement,60
arrêtée,arrêter,12
/.,/.,P
je,je,51
reçus,recevoir,19
un,un,71
matin,matin,21
l',le,71
ordre,ordre,21
de,de,81
partir,partir,14
sur-le-champ,sur-le-champ,60
pour,pour,81
le,le,71
camp,camp,21
de,de,81
Boulogne,Boulogne,20
",",",",p
et,et,82
à,à,81
mon,mon,73
arrivée,arrivée,22
",",",",p
l',le,71
ordre,ordre,21
de,de,81
m',je,51
embarquer,embarquer,14
sur,sur,81
un,un,52
des,de,81
des,le,71
bateaux,bateau,21
plats,plat,30
que,que,52
l',l',94
on,on,51
essayait,essayer,18
en,en,81
mer,mer,22
/.,/.,P
je,je,51
partis,partir,19
avec,avec,81
moins,moins,60
de,de,81
peine,peine,22
que,que,83
si,si,83
l',l',94
on,on,51
m',je,51
eût,avoir,19
annoncé,annoncer,12
ce,ce,74
voyage,voyage,21
avant,avant,81
la,le,71
scène,scène,22
de,de,81
Fontainebleau,Fontainebleau,20
/.,/.,P
je,je,51
respirai,respirer,19
en,en,81
m',je,51
éloignant,éloigner,13
de,de,81
ce,ce,74
vieux,vieux,30
château,château,21
et,et,82
de,de,81
sa,son,73
forêt,forêt,22
",",",",p
et,et,82
à,à,81
ce,ce,74
soulagement,soulagement,21
involontaire,involontaire,30
je,je,51
sentis,sentir,19
que,que,83
mon,mon,73
séidisme,séidisme,21
était,être,18
mordu,mordre,12
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
je,je,51
fus,être,19
attristé,attrister,12
d'abord,d'abord,60
de,de,81
cette,ce,74
première,premier,72
découverte,découverte,22
",",",",p
et,et,82
je,je,51
tremblai,trembler,19
pour,pour,81
l',le,71
éblouissante,éblouissant,30
illusion,illusion,22
qui,qui,52
faisait,faire,18
pour,pour,81
moi,moi,51
un,un,71
devoir,devoir,21
de,de,81
mon,mon,73
dévouement,dévouement,21
aveugle,aveugle,30
/.,/.,P
le,le,71
grand,grand,30
égoïste,égoïste,21
s',se,51
était,être,18
montré,montrer,12
à,à,81
nu,nu,21
devant,devant,81
moi,moi,51
;,;,p
mais,mais,82
à,à,81
mesure,mesure,22
que,que,83
je,je,51
m',je,51
éloignai,éloigner,19
de,de,81
lui,lui,51
je,je,51
commençai,commencer,19
à,à,81
le,le,52
contempler,contempler,14
dans,dans,81
ses,son,73
oeuvres,oeuvre,22
",",",",p
et,et,82
il,il,51
reprit,reprendre,19
encore,encore,60
sur,sur,81
moi,moi,51
",",",",p
par,par,81
cette,ce,74
vue,vue,22
",",",",p
une,un,71
partie,partie,22
du,de,81
du,le,71
magique,magique,30
ascendant,ascendant,21
par,par,81
lequel,lequel,52
il,il,51
avait,avoir,18
fasciné,fasciner,12
le,le,71
monde,monde,21
/.,/.,P
-,-,p
cependant,cependant,82
ce,ce,52
fut,être,19
plutôt,plutôt,60
l',le,71
idée,idée,22
gigantesque,gigantesque,30
de,de,81
la,le,71
guerre,guerre,22
qui,qui,52
désormais,désormais,60
m',je,51
apparut,apparaître,19
",",",",p
que,que,83
celle,celui,52
de,de,81
l',le,71
homme,homme,21
qui,qui,52
la,le,52
représentait,représenter,18
d',de,81
une,un,71
si,si,60
redoutable,redoutable,30
façon,façon,22
",",",",p
et,et,82
je,je,51
sentis,sentir,19
à,à,81
cette,ce,74
grande,grand,30
vue,vue,22
un,un,71
enivrement,enivrement,21
insensé,insensé,30
redoubler,redoubler,14
en,en,81
moi,moi,51
pour,pour,81
la,le,71
gloire,gloire,22
des,de,81
des,le,71
combats,combat,21
",",",",p
m',je,51
étourdissant,étourdir,13
sur,sur,81
le,le,71
maître,maître,21
qui,qui,52
les,le,52
ordonnait,ordonner,18
",",",",p
et,et,82
regardant,regarder,13
avec,avec,81
orgueil,orgueil,21
le,le,71
travail,travail,21
perpétuel,perpétuel,30
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
ne,ne,60
me,je,51
parurent,paraître,19
tous,tout,52
que,que,83
ses,son,73
humbles,humble,30
ouvriers,ouvrier,21
/.,/.,P
le,le,71
tableau,tableau,21
était,être,18
homérique,homérique,30
",",",",p
en,en,81
effet,effet,21
",",",",p
et,et,82
bon,bon,60
à,à,81
prendre,prendre,14
des,de,81
des,le,71
écoliers,écolier,21
par,par,81
l',le,71
étourdissement,étourdissement,21
des,de,81
des,le,71
actions,action,22
multipliées,multiplié,31
/.,/.,P
quelque,quelque,75
chose,chose,22
de,de,81
faux,faux,30
s',se,51
y,y,52
démêlait,démêler,18
pourtant,pourtant,60
et,et,82
se,se,51
montrait,montrer,18
vaguement,vaguement,60
à,à,81
moi,moi,51
",",",",p
mais,mais,82
sans,sans,81
netteté,netteté,22
encore,encore,60
",",",",p
et,et,82
je,je,51
sentais,sentir,18
le,le,71
besoin,besoin,21
d',de,81
une,un,71
vue,vue,22
meilleure,meilleur,30
que,que,83
la,le,71
mienne,mien,52
qui,qui,52
me,je,51
fît,faire,18
découvrir,découvrir,14
le,le,71
fond,fond,21
de,de,81
tout,tout,75
cela,cela,52
/.,/.,P
je,je,51
venais,venir,18
d',de,81
apprendre,apprendre,14
à,à,81
mesurer,mesurer,14
le,le,71
capitaine,capitaine,21
",",",",p
il,il,51
me,je,51
fallait,falloir,18
sonder,sonder,14
la,le,71
guerre,guerre,22
/.,/.,P
-,-,p
voici,voici,81
quel,quel,75
nouvel,nouveau,30
événement,événement,21
me,je,51
donna,donner,19
cette,ce,74
seconde,second,72
leçon,leçon,22
;,;,p
car,car,82
j',je,51
ai,avoir,17
reçu,recevoir,12
trois,trois,72
rudes,rude,30
enseignements,enseignement,21
dans,dans,81
ma,mon,73
vie,vie,22
",",",",p
et,et,82
je,je,51
vous,vous,51
les,le,52
raconte,raconter,17
après,après,81
les,le,52
avoir,avoir,14
médités,méditer,12
tous,tout,75
les,le,71
jours,jour,21
/.,/.,P
leurs,leur,73
secousses,secousse,22
me,je,51
furent,être,19
violentes,violent,30
",",",",p
et,et,82
la,le,71
dernière,dernière,22
acheva,achever,19
de,de,81
renverser,renverser,14
l',le,71
idole,idole,22
de,de,81
mon,mon,73
âme,âme,22
/.,/.,P
l',le,71
apparente,apparent,30
démonstration,démonstration,22
de,de,81
conquête,conquête,22
et,et,82
de,de,81
débarquement,débarquement,21
en,en,81
Angleterre,Angleterre,20
",",",",p
l',le,71
évocation,évocation,22
des,de,81
des,le,71
souvenirs,souvenir,21
de,de,81
Guillaume le Conquérant,Guillaume le Conquérant,20
",",",",p
la,le,71
découverte,découverte,22
du,de,81
du,le,71
camp,camp,21
de,de,81
César,César,20
",",",",p
à,à,81
Boulogne,Boulogne,20
",",",",p
le,le,71
rassemblement,rassemblement,21
subit,subit,30
de,de,81
neuf,neuf,72
cents,cent,72
bâtiments,bâtiment,21
dans,dans,81
ce,ce,74
port,port,21
",",",",p
sous,sous,81
la,le,71
protection,protection,22
d',de,81
une,un,71
flotte,flotte,22
de,de,81
cinq,cinq,72
cents,cent,72
voiles,voile,22
",",",",p
toujours,toujours,60
annoncée,annoncé,31
;,;,p
l',le,71
établissement,établissement,21
des,de,81
des,le,71
camps,camp,21
de,de,81
Dunkerque,Dunkerque,20
et,et,82
d',de,81
Ostende,Ostende,20
",",",",p
de,de,81
Calais,Calais,20
",",",",p
de,de,81
Montreuil,Montreuil,20
et,et,82
de,de,81
Saint-Omer,Saint Omer,20
",",",",p
sous,sous,81
les,le,71
ordres,ordre,21
de,de,81
quatre,quatre,72
maréchaux,maréchal,21
;,;,p
le,le,71
trône,trône,21
militaire,militaire,30
d',de,81
où,où,60
tombèrent,tomber,19
les,le,71
premières,premier,72
étoiles,étoile,22
de,de,81
la,le,71
légion,légion,22
d',de,81
honneur,honneur,21
",",",",p
les,le,71
revues,revue,22
",",",",p
les,le,71
fêtes,fête,22
",",",",p
les,le,71
attaques,attaque,22
partielles,partiel,30
",",",",p
tout,tout,75
cet,ce,74
éclat,éclat,21
réduit,réduit,31
",",",",p
selon,selon,81
le,le,71
langage,langage,21
géométrique,géométrique,30
",",",",p
à,à,81
sa,son,73
plus,plus,60
simple,simple,30
expression,expression,22
",",",",p
eut,avoir,19
trois,trois,72
buts,but,21
:,:,p
inquiéter,inquiéter,14
l',le,71
Angleterre,Angleterre,20
",",",",p
assoupir,assoupir,14
l',le,71
Europe,Europe,20
",",",",p
concentrer,concentrer,14
et,et,82
enthousiasmer,enthousiasmer,14
l',le,71
armée,armée,22
/.,/.,P
ces,ce,74
trois,trois,72
points,point,21
dépassés,dépassé,31
",",",",p
Bonaparte,Bonaparte,20
laissa,laisser,19
tomber,tomber,14
pièce,pièce,22
à,à,81
pièce,pièce,22
la,le,71
machine,machine,22
artificielle,artificiel,30
qu',que,52
il,il,51
avait,avoir,18
fait,faire,12
jouer,jouer,14
à,à,81
Boulogne,Boulogne,20
/.,/.,P
quand,quand,83
j',je,51
y,y,52
arrivai,arriver,19
",",",",p
elle,il,51
jouait,jouer,18
à,à,81
vide,vide,21
comme,comme,83
celle,celui,52
de,de,81
Marly,Marly,20
/.,/.,P
les,le,71
généraux,général,21
y,y,52
faisaient,faire,18
encore,encore,60
les,le,71
faux,faux,30
mouvements,mouvement,21
d',de,81
une,un,71
ardeur,ardeur,22
simulée,simulé,31
dont,dont,52
ils,ils,51
n',ne,60
avaient,avoir,18
pas,pas,60
la,le,71
conscience,conscience,22
/.,/.,P
on,on,51
continuait,continuer,18
à,à,81
jeter,jeter,14
encore,encore,60
à,à,81
la,le,71
mer,mer,22
quelques,quelque,75
malheureux,malheureux,30
bateaux,bateau,21
dédaignés,dédaigné,31
par,par,81
les,le,71
Anglais,Anglais,20
et,et,82
coulés,coulé,31
par,par,81
eux,ils,51
de,de,81
temps,temps,21
à,à,81
autre,autre,52
/.,/.,P
je,je,51
reçus,recevoir,19
un,un,71
commandement,commandement,21
sur,sur,81
l',le,71
une,un,52
de,de,81
ces,ce,74
embarcations,embarcation,22
",",",",p
dès,dès,81
le,le,71
lendemain,lendemain,21
de,de,81
mon,mon,73
arrivée,arrivée,22
/.,/.,P
ce,ce,74
jour,jour,21
là,là,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
en,en,81
mer,mer,22
une,un,71
seule,seul,30
frégate,frégate,22
anglaise,anglais,30
/.,/.,P
elle,il,51
courait,courir,18
des,de,81
des,le,71
bordées,bordée,22
avec,avec,81
une,un,71
majestueuse,majestueux,30
lenteur,lenteur,22
;,;,p
elle,il,51
allait,aller,18
",",",",p
elle,il,51
venait,venir,18
",",",",p
elle,il,51
virait,virer,18
",",",",p
elle,il,51
se,se,51
penchait,pencher,18
",",",",p
elle,il,51
se,se,51
relevait,relever,18
",",",",p
elle,il,51
se,se,51
mirait,mirer,18
",",",",p
elle,il,51
glissait,glisser,18
",",",",p
elle,il,51
s',se,51
arrêtait,arrêter,18
",",",",p
elle,il,51
jouait,jouer,18
au,à,81
au,le,71
soleil,soleil,21
comme,comme,83
un,un,71
cygne,cygne,21
qui,qui,52
se,se,51
baigne,baigner,17
/.,/.,P
le,le,71
misérable,misérable,30
bateau,bateau,21
plat,plat,30
de,de,81
nouvelle,nouveau,30
et,et,82
mauvaise,mauvais,30
invention,invention,22
s',se,51
était,être,18
risqué,risquer,12
fort,fort,60
avant,avant,81
avec,avec,81
quatre,quatre,72
autres,autre,75
bâtiments,bâtiment,21
pareils,pareil,30
;,;,p
et,et,82
nous,nous,51
étions,être,18
tout,tout,60
fiers,fier,30
de,de,81
notre,notre,73
audace,audace,22
",",",",p
lancés,lancé,31
ainsi,ainsi,60
depuis,depuis,81
le,le,71
matin,matin,21
",",",",p
lorsque,lorsque,83
nous,nous,51
découvrîmes,découvrir,19
tout,tout,60
à,à,81
coup,coup,21
les,le,71
paisibles,paisible,30
jeux,jeu,21
de,de,81
la,le,71
frégate,frégate,22
/.,/.,P
ils,ils,51
nous,nous,51
eussent,avoir,18
sans,sans,81
doute,doute,21
paru,paraître,12
fort,fort,60
gracieux,gracieux,30
et,et,82
poétiques,poétique,30
vus,vu,31
de,de,81
la,le,71
terre,terre,22
ferme,ferme,30
",",",",p
ou,ou,82
seulement,seulement,60
si,si,83
elle,il,51
se,se,51
fût,être,19
amusée,amuser,12
à,à,81
prendre,prendre,14
ses,son,73
ébats,ébat,21
entre,entre,81
l',le,71
Angleterre,Angleterre,20
et,et,82
nous,nous,51
;,;,p
mais,mais,82
c',ce,52
était,être,18
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
entre,entre,81
nous,nous,51
et,et,82
la,le,71
France,France,20
/.,/.,P
la,le,71
côte,côte,22
de,de,81
Boulogne,Boulogne,20
était,être,18
à,à,81
plus,plus,60
d',de,81
une,un,71
lieue,lieue,22
/.,/.,P
cela,cela,52
nous,nous,51
rendit,rendre,19
pensifs,pensif,30
/.,/.,P
nous,nous,51
fîmes,faire,19
force,force,22
de,de,81
nos,notre,73
mauvaises,mauvais,30
voiles,voile,22
et,et,82
de,de,81
nos,notre,73
plus,plus,60
mauvaises,mauvais,30
rames,rame,22
",",",",p
et,et,82
pendant,pendant,81
que,que,83
nous,nous,51
nous,nous,51
démenions,démener,17
",",",",p
la,le,71
paisible,paisible,30
frégate,frégate,22
continuait,continuer,18
à,à,81
prendre,prendre,14
son,son,73
bain,bain,21
de,de,81
mer,mer,22
et,et,82
à,à,81
décrire,décrire,14
mille,mille,72
contours,contour,21
agréables,agréable,30
autour,autour,60
de,de,81
nous,nous,51
",",",",p
faisant,faire,13
le,le,71
manège,manège,21
",",",",p
changeant,changer,13
de,de,81
main,main,22
comme,comme,83
un,un,71
cheval,cheval,21
bien,bien,60
dressé,dressé,31
",",",",p
et,et,82
dessinant,dessiner,13
des,de,81
des,le,71
S,S,20
et,et,82
des,de,81
des,le,71
Z,Z,20
sur,sur,81
l',le,71
eau,eau,22
de,de,81
la,le,71
façon,façon,22
la,le,71
plus,plus,60
aimable,aimable,30
/.,/.,P
nous,nous,51
remarquâmes,remarquer,19
qu',que,83
elle,il,51
eut,avoir,19
la,le,71
bonté,bonté,22
de,de,81
nous,nous,51
laisser,laisser,14
passer,passer,14
plusieurs,plusieurs,75
fois,fois,22
devant,devant,81
elle,il,51
sans,sans,81
tirer,tirer,14
un,un,71
coup,coup,21
de,de,81
canon,canon,21
",",",",p
et,et,82
même,même,60
tout,tout,60
d',de,81
un,un,71
coup,coup,21
",",",",p
elle,il,51
les,le,52
retira,retirer,19
tous,tout,52
dans,dans,81
l',le,71
intérieur,intérieur,21
et,et,82
ferma,fermer,19
tous,tout,75
ses,son,73
sabords,sabord,21
/.,/.,P
je,je,51
crus,croire,19
d'abord,d'abord,60
que,que,83
c',ce,52
était,être,18
une,un,71
manoeuvre,manoeuvre,22
toute,tout,60
pacifique,pacifique,30
et,et,82
je,je,51
ne,ne,60
comprenais,comprendre,18
rien,rien,52
à,à,81
cette,ce,74
politesse,politesse,22
/.,/.,P
-,-,p
mais,mais,82
un,un,71
gros,gros,60
vieux,vieux,30
marin,marin,21
me,je,51
donna,donner,19
un,un,71
coup,coup,21
de,de,81
coude,coude,21
et,et,82
me,je,51
dit,dire,19
:,:,p
voici,voici,81
qui,qui,52
va,aller,17
mal,mal,60
/.,/.,P
en,en,81
effet,effet,21
",",",",p
après,après,81
nous,nous,51
avoir,avoir,14
bien,bien,60
laissés,laisser,12
courir,courir,14
devant,devant,81
elle,il,51
comme,comme,83
des,de,81
des,le,71
souris,souris,22
devant,devant,81
un,un,71
chat,chat,21
",",",",p
l',le,71
aimable,aimable,30
et,et,82
belle,beau,30
frégate,frégate,22
arriva,arriver,19
sur,sur,81
nous,nous,51
à,à,81
toutes,tout,75
voiles,voile,22
sans,sans,81
daigner,daigner,14
faire,faire,14
feu,feu,21
",",",",p
nous,nous,51
heurta,heurter,19
de,de,81
sa,son,73
proue,proue,22
comme,comme,83
un,un,71
cheval,cheval,21
du,de,81
du,le,71
poitrail,poitrail,21
",",",",p
nous,nous,51
brisa,briser,19
",",",",p
nous,nous,51
écrasa,écraser,19
",",",",p
nous,nous,51
coula,couler,19
",",",",p
et,et,82
passa,passer,19
joyeusement,joyeusement,60
par dessus,par-dessus,60
nous,nous,51
",",",",p
laissant,laisser,13
quelques,quelque,75
canots,canot,21
pêcher,pêcher,14
les,le,71
prisonniers,prisonnier,21
",",",",p
desquels,de,81
desquels,lequel,52
je,je,51
fus,être,19
",",",",p
moi,moi,51
dixième,dixième,72
",",",",p
sur,sur,81
deux,deux,72
cents,cent,72
hommes,homme,21
que,que,52
nous,nous,51
étions,être,18
au,à,81
au,le,71
départ,départ,21
/.,/.,P
la,le,71
belle,beau,30
frégate,frégate,22
se,se,51
nommait,nommer,18
la,le,71
Naïade,Naïade,20
",",",",p
et,et,82
pour,pour,81
ne,ne,60
pas,pas,60
perdre,perdre,14
l',le,71
habitude,habitude,22
française,français,30
des,de,81
des,le,71
jeux,jeu,21
de,de,81
mots,mot,21
",",",",p
vous,vous,51
pensez,penser,17
bien,bien,60
que,que,83
nous,nous,51
ne,ne,60
manquâmes,manquer,19
jamais,jamais,60
de,de,81
l',le,52
appeler,appeler,14
depuis,depuis,81
la,le,71
noyade,noyade,22
/.,/.,P
j',je,51
avais,avoir,18
pris,prendre,12
un,un,71
bain,bain,21
si,si,60
violent,violent,30
que,que,83
l',l',94
on,on,51
était,être,18
sur,sur,81
le,le,71
point,point,21
de,de,81
me,je,51
rejeter,rejeter,14
comme,comme,83
mort,mort,31
dans,dans,81
la,le,71
mer,mer,22
",",",",p
quand,quand,83
un,un,71
officier,officier,21
qui,qui,52
visitait,visiter,18
mon,mon,73
portefeuille,portefeuille,21
y,y,52
trouva,trouver,19
la,le,71
lettre,lettre,22
de,de,81
mon,mon,73
père,père,21
que,que,52
vous,vous,51
venez,venir,17
de,de,81
lire,lire,14
et,et,82
la,le,71
signature,signature,22
de,de,81
lord,lord,21
Collingwood,Collingwood,20
/.,/.,P
il,il,51
me,je,51
fit,faire,19
donner,donner,14
des,de,81
des,le,71
soins,soin,21
plus,plus,60
attentifs,attentif,30
;,;,p
on,on,51
me,je,51
trouva,trouver,19
quelques,quelque,75
signes,signe,21
de,de,81
vie,vie,22
",",",",p
et,et,82
quand,quand,83
je,je,51
repris,reprendre,19
connaissance,connaissance,22
",",",",p
ce,ce,52
fut,être,19
",",",",p
non,non,60
à,à,81
bord,bord,21
de,de,81
la,le,71
gracieuse,gracieux,30
Naïade,Naïade,20
",",",",p
mais,mais,82
sur,sur,81
la,le,71
Victoire,Victoire,20
(,(,p
the,the,92
Victory,Victory,20
),),p
/.,/.,P
je,je,51
demandai,demander,19
qui,qui,52
commandait,commander,18
ce,ce,74
navire,navire,21
/.,/.,P
on,on,51
me,je,51
répondit,répondre,19
laconiquement,laconiquement,60
:,:,p
“,“,p
lord,lord,21
Collingwood,Collingwood,20
/.,/.,P
“,“,p
je,je,51
crus,croire,19
qu',que,83
il,il,51
était,être,18
fils,fils,21
de,de,81
celui,celui,52
qui,qui,52
avait,avoir,18
connu,connaître,12
mon,mon,73
père,père,21
;,;,p
mais,mais,82
quand,quand,83
on,on,51
me,je,51
conduisit,conduire,19
à,à,81
lui,lui,51
",",",",p
je,je,51
fus,être,19
détrompé,détromper,12
/.,/.,P
c',ce,52
était,être,18
le,le,71
même,même,75
homme,homme,21
/.,/.,P
je,je,51
ne,ne,60
pus,pouvoir,19
contenir,contenir,14
ma,mon,73
surprise,surprise,22
quand,quand,83
il,il,51
me,je,51
dit,dire,19
",",",",p
avec,avec,81
une,un,71
bonté,bonté,22
toute,tout,60
paternelle,paternel,30
",",",",p
qu',que,52
il,il,51
ne,ne,60
s',se,51
attendait,attendre,18
pas,pas,60
à,à,81
être,être,14
le,le,71
gardien,gardien,21
du,de,81
du,le,71
fils,fils,21
après,après,81
l',le,52
avoir,avoir,14
été,être,12
du,de,81
du,le,71
père,père,21
",",",",p
mais,mais,82
qu',que,52
il,il,51
espérait,espérer,18
qu',que,83
il,il,51
ne,ne,60
s',se,51
en,en,52
trouverait,trouver,16
pas,pas,60
plus,plus,60
mal,mal,60
;,;,p
qu',que,83
il,il,51
avait,avoir,18
assisté,assister,12
aux,à,81
aux,le,71
derniers,dernier,30
moments,moment,21
de,de,81
ce,ce,74
vieillard,vieillard,21
",",",",p
et,et,82
qu',que,83
en,en,81
apprenant,apprendre,13
mon,mon,73
nom,nom,21
il,il,51
avait,avoir,18
