11269
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquième extrait>,<>,<>
perdu,perdre,12
de,de,81
leur,leur,73
grâce,grâce,22
",",",",p
et,et,82
",",",",p
sauf,sauf,81
l',le,71
atonie,atonie,22
profonde,profond,30
et,et,82
l',le,71
incurable,incurable,30
désespérance,désespérance,22
de,de,81
l',le,71
oeil,oeil,21
",",",",p
Octave,Octave,20
eût,avoir,19
semblé,sembler,12
jouir,jouir,14
d',de,81
une,un,71
santé,santé,22
normale,normal,30
/.,/.,P
quelque,quelque,75
indifférent,indifférent,30
que,que,83
fût,être,19
Octave,Octave,20
",",",",p
l',le,71
aspect,aspect,21
bizarre,bizarre,30
du,de,81
du,le,71
docteur,docteur,21
le,le,52
frappa,frapper,19
/.,/.,P
monsieur,monsieur,21
Balthazar,Balthazar,20
Cherbonneau,Cherbonneau,20
avait,avoir,18
l',le,71
air,air,21
d',de,81
une,un,71
figure,figure,22
échappée,échappé,31
d',de,81
un,un,71
conte,conte,21
fantastique,fantastique,30
d',de,81
Hoffmann,Hoffmann,20
et,et,82
se,se,51
promenant,promener,13
dans,dans,81
la,le,71
réalité,réalité,22
stupéfaite,stupéfait,30
de,de,81
voir,voir,14
cette,ce,74
création,création,22
falote,falot,30
/.,/.,P
sa,son,73
face,face,22
extrêmement,extrêmement,60
basanée,basané,30
était,être,18
comme,comme,83
dévorée,dévorer,12
par,par,81
un,un,71
crâne,crâne,30
énorme,énorme,30
que,que,83
la,le,71
chute,chute,22
des,de,81
des,le,71
cheveux,cheveu,21
faisait,faire,18
paraître,paraître,14
plus,plus,60
vaste,vaste,30
encore,encore,60
/.,/.,P
ce,ce,74
crâne,crâne,21
nu,nu,30
",",",",p
poli,poli,31
comme,comme,83
de,de,81
l',le,71
ivoire,ivoire,21
",",",",p
avait,avoir,18
gardé,garder,12
ses,son,73
teintes,teinte,22
blanches,blanc,30
",",",",p
tandis que,tandis que,83
le,le,71
masque,masque,21
",",",",p
exposé,exposer,12
aux,à,81
aux,le,71
rayons,rayon,21
du,de,81
du,le,71
soleil,soleil,21
",",",",p
s',se,51
était,être,18
revêtu,revêtir,12
",",",",p
grâce,grâce,22
aux,à,81
aux,le,71
superpositions,superposition,22
des,de,81
des,le,71
couches,couche,22
du,de,81
du,le,71
hâle,hâle,22
",",",",p
d',de,81
un,un,71
ton,ton,21
de,de,81
vieux,vieux,30
chêne,chêne,21
ou,ou,82
de,de,81
portrait,portrait,21
enfumé,enfumé,31
/.,/.,P
les,le,71
méplats,méplat,21
",",",",p
les,le,71
cavités,cavité,22
et,et,82
les,le,71
saillies,saillie,22
des,de,81
des,le,71
os,os,21
s',se,51
y,y,52
accentuaient,accentuer,18
si,si,60
vigoureusement,vigoureusement,60
",",",",p
que,que,52
le,le,71
peu,peu,60
de,de,81
chair,chair,22
qui,qui,52
les,le,52
recouvrait,recouvrir,18
ressemblait,ressembler,18
",",",",p
avec,avec,81
ses,son,73
mille,mille,72
rides,ride,22
fripées,fripé,31
",",",",p
à,à,81
une,un,71
peau,peau,22
mouillée,mouillé,31
appliquée,appliqué,31
sur,sur,81
une,un,71
tête,tête,22
de,de,81
mort,mort,21
/.,/.,P
les,le,71
rares,rare,30
poils,poil,21
gris,gris,30
qui,qui,52
flânaient,flâner,18
encore,encore,60
sur,sur,81
l',le,71
occiput,occiput,21
",",",",p
massés,massé,31
en,en,81
trois,trois,72
maigres,maigre,30
mèches,mèche,22
dont,dont,52
deux,deux,72
se,se,51
dressaient,dresser,18
au-dessus,au-dessus,60
des,de,81
des,le,71
oreilles,oreille,22
et,et,82
dont,dont,52
la,le,71
troisième,troisième,72
partait,partir,18
de,de,81
la,le,71
nuque,nuque,22
pour,pour,81
mourir,mourir,14
à,à,81
la,le,71
naissance,naissance,22
du,de,81
du,le,71
front,front,21
",",",",p
faisaient,faire,18
regretter,regretter,14
l',le,71
usage,usage,21
de,de,81
l',le,71
antique,antique,30
perruque,perruque,22
à,à,81
marteaux,marteau,21
ou,ou,82
de,de,81
la,le,71
moderne,moderne,30
tignasse,tignasse,22
de,de,81
chiendent,chiendent,21
",",",",p
et,et,82
couronnaient,couronner,18
d',de,81
une,un,71
façon,façon,22
grotesque,grotesque,30
cette,ce,74
physionomie,physionomie,22
de,de,81
casse-noisettes,casse-noisettes,21
/.,/.,P
mais,mais,82
ce,ce,52
qui,qui,52
occupait,occuper,18
invinciblement,invinciblement,60
chez,chez,81
le,le,71
docteur,docteur,21
",",",",p
c',ce,52
étaient,être,18
les,le,71
yeux,oeil,21
;,;,p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ce,ce,74
visage,visage,21
tanné,tanné,31
par,par,81
l',le,71
âge,âge,21
",",",",p
calciné,calciné,31
à,à,81
des,de,81
des,le,71
cieux,ciel,21
incandescents,incandescent,30
",",",",p
usé,usé,31
dans,dans,81
l',le,71
étude,étude,22
",",",",p
où,où,60
les,le,71
fatigues,fatigue,22
de,de,81
la,le,71
science,science,22
et,et,82
de,de,81
la,le,71
vie,vie,22
s',se,51
écrivaient,écrire,18
en,en,81
sillages,sillage,21
profonds,profond,30
",",",",p
en,en,81
pattes,patte,22
d',de,81
oie,oie,22
rayonnantes,rayonnant,30
",",",",p
en,en,81
plis,pli,21
plus,plus,60
pressés,pressé,31
que,que,83
les,le,71
feuillets,feuillet,21
d',de,81
un,un,71
livre,livre,21
",",",",p
étincelaient,étinceler,18
deux,deux,72
prunelles,prunelle,22
d',de,81
un,un,71
bleu,bleu,30
de,de,81
turquoise,turquoise,22
",",",",p
d',de,81
une,un,71
limpidité,limpidité,22
",",",",p
d',de,81
une,un,71
fraîcheur,fraîcheur,22
et,et,82
d',de,81
une,un,71
jeunesse,jeunesse,22
inconcevables,inconcevable,30
/.,/.,P
ces,ce,74
étoiles,étoile,22
bleues,bleu,30
brillaient,briller,18
au,à,81
au,le,71
fond,fond,21
d',de,81
orbites,orbite,22
brunes,brun,30
et,et,82
de,de,81
membranes,membrane,22
concentriques,concentrique,30
dont,dont,52
les,le,71
cercles,cercle,21
fauves,fauve,30
rappelaient,rappeler,18
vaguement,vaguement,60
les,le,71
plumes,plume,22
disposées,disposé,31
en,en,52
auréole,auréoler,17
autour,autour,60
de,de,81
la,le,71
prunelle,prunelle,22
nyctalope,nyctalope,30
des,de,81
des,le,71
hiboux,hibou,21
/.,/.,P
on,on,51
eût,avoir,19
dit,dire,12
que,que,83
",",",",p
par,par,81
quelque,quelque,75
sorcellerie,sorcellerie,22
apprise,appris,31
des,de,81
des,le,71
brahmes,brahme,21
et,et,82
des,de,81
des,le,71
pandits,pandit,21
",",",",p
le,le,71
docteur,docteur,21
avait,avoir,18
volé,voler,12
des,de,81
des,le,71
yeux,oeil,21
d',de,81
enfant,enfant,21
et,et,82
se,se,51
les,le,52
était,être,18
ajustés,ajuster,12
dans,dans,81
sa,son,73
face,face,22
de,de,81
cadavre,cadavre,21
/.,/.,P
chez,chez,81
le,le,71
vieillard,vieillard,21
",",",",p
le,le,71
regard,regard,21
marquait,marquer,18
vingt,vingt,72
ans,an,21
;,;,p
chez,chez,81
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
il,il,51
en,en,52
marquait,marquer,18
soixante,soixante,72
/.,/.,P
le,le,71
costume,costume,21
était,être,18
le,le,71
costume,costume,21
classique,classique,30
du,de,81
du,le,71
médecin,médecin,21
:,:,p
habit,habit,21
et,et,82
pantalon,pantalon,21
de,de,81
drap,drap,21
noir,noir,30
",",",",p
gilet,gilet,21
de,de,81
soie,soie,22
de,de,81
même,même,75
couleur,couleur,22
",",",",p
et,et,82
sur,sur,81
la,le,71
chemise,chemise,22
un,un,71
gros,gros,30
diamant,diamant,21
",",",",p
présent,présent,21
de,de,81
quelque,quelque,75
rajah,rajah,21
ou,ou,82
de,de,81
quelque,quelque,75
nabab,nabab,21
/.,/.,P
mais,mais,82
ces,ce,74
vêtements,vêtement,21
flottaient,flotter,18
comme,comme,83
s',si,83
ils,ils,51
eussent,avoir,18
été,être,12
accrochés,accrocher,12
à,à,81
un,un,71
porte-manteau,portemanteau,21
",",",",p
et,et,82
dessinaient,dessiner,18
des,de,81
des,le,71
plis,pli,21
perpendiculaires,perpendiculaire,30
que,que,52
les,le,71
fémurs,fémur,21
et,et,82
les,le,71
tibias,tibia,21
du,de,81
du,le,71
docteur,docteur,21
cassaient,casser,18
en,en,81
angles,angle,21
aigus,aigu,30
lorsqu',lorsque,83
il,il,51
s',se,51
asseyait,asseoir,18
/.,/.,P
pour,pour,81
produire,produire,14
cette,ce,74
maigreur,maigreur,22
phénoménale,phénoménal,30
",",",",p
le,le,71
dévorant,dévorer,13
soleil,soleil,21
de,de,81
l',le,71
Inde,Inde,20
n',ne,60
avait,avoir,18
pas,pas,60
suffi,suffire,12
/.,/.,P
sans,sans,81
doute,doute,21
Balthazar,Balthazar,20
Cherbonneau,Cherbonneau,20
s',se,51
était,être,18
soumis,soumettre,12
",",",",p
dans,dans,81
quelque,quelque,75
but,but,21
d',de,81
initiation,initiation,22
",",",",p
aux,à,81
aux,le,71
longs,long,30
jeûnes,jeûne,21
des,de,81
des,le,71
fakirs,fakir,21
et,et,82
tenu,tenu,31
sur,sur,81
la,le,71
peau,peau,22
de,de,81
gazelle,gazelle,22
auprès,auprès,60
des,de,81
des,le,71
yogis,yogi,21
entre,entre,81
les,le,71
quatre,quatre,72
réchauds,réchaud,21
ardents,ardent,30
;,;,p
mais,mais,82
cette,ce,74
déperdition,déperdition,22
de,de,81
substance,substance,22
n',ne,60
accusait,accuser,18
aucun,aucun,75
affaiblissement,affaiblissement,21
/.,/.,P
des,de,81
des,le,71
ligaments,ligament,21
solides,solide,30
et,et,82
tendus,tendu,31
sur,sur,81
les,le,71
mains,main,22
comme,comme,83
les,le,71
cordes,corde,22
sur,sur,81
le,le,71
manche,manche,21
d',de,81
un,un,71
violon,violon,21
reliaient,relier,18
entre,entre,81
eux,ils,51
les,le,71
osselets,osselet,21
décharnés,décharné,31
des,de,81
des,le,71
phalanges,phalange,22
et,et,82
les,le,52
faisaient,faire,18
mouvoir,mouvoir,14
sans,sans,81
trop,trop,60
de,de,81
grincements,grincement,21
/.,/.,P
le,le,71
docteur,docteur,21
s',se,51
assit,asseoir,19
sur,sur,81
le,le,71
siège,siège,21
qu',que,52
Octave,Octave,20
lui,lui,51
désignait,désigner,18
de,de,81
la,le,71
main,main,22
à,à,81
côté,côté,21
du,de,81
du,le,71
divan,divan,21
",",",",p
en,en,81
faisant,faire,13
des,de,81
des,le,71
coudes,coude,21
comme,comme,83
un,un,71
mètre,mètre,21
qu',que,83
on,on,51
reploie,reployer,17
et,et,82
avec,avec,81
des,de,81
des,le,71
mouvements,mouvement,21
qui,qui,52
indiquaient,indiquer,18
l',le,71
habitude,habitude,22
invétérée,invétéré,30
de,de,81
s',se,51
accroupir,accroupir,14
sur,sur,81
des,de,81
des,le,71
nattes,natte,22
/.,/.,P
ainsi,ainsi,60
placé,placé,31
",",",",p
monsieur,monsieur,21
Cherbonneau,Cherbonneau,20
tournait,tourner,18
le,le,71
dos,dos,21
à,à,81
la,le,71
lumière,lumière,22
",",",",p
qui,qui,52
éclairait,éclairer,18
en,en,81
plein,plein,81
le,le,71
visage,visage,21
de,de,81
son,son,73
malade,malade,21
",",",",p
situation,situation,22
favorable,favorable,30
à,à,81
l',le,71
examen,examen,21
et,et,82
que,que,52
prennent,prendre,17
volontiers,volontiers,60
les,le,71
observateurs,observateur,21
",",",",p
plus,plus,60
curieux,curieux,30
de,de,81
voir,voir,14
que,que,83
d',de,81
être,être,14
vus,voir,12
/.,/.,P
quoique,quoique,83
la,le,71
figure,figure,22
du,de,81
du,le,71
docteur,docteur,21
fût,être,19
baignée,baigner,12
d',de,81
ombre,ombre,22
et,et,82
que,que,83
le,le,71
haut,haut,30
de,de,81
son,son,73
crâne,crâne,21
",",",",p
luisant,luisant,30
et,et,82
arrondi,arrondi,31
comme,comme,83
un,un,71
gigantesque,gigantesque,30
oeuf,oeuf,21
d',de,81
autruche,autruche,22
",",",",p
accrochât,accrocher,18
seul,seul,30
au,à,81
au,le,71
passage,passage,21
un,un,71
rayon,rayon,21
du,de,81
du,le,71
jour,jour,21
",",",",p
Octave,Octave,20
distinguait,distinguer,18
la,le,71
scintillation,scintillation,22
des,de,81
des,le,71
étranges,étrange,30
prunelles,prunelle,22
bleues,bleu,30
qui,qui,52
semblaient,sembler,18
douées,doué,31
d',de,81
une,un,71
lueur,lueur,22
propre,propre,30
comme,comme,83
les,le,71
corps,corps,21
phosphorescents,phosphorescent,30
:,:,p
il,il,51
en,en,52
jaillissait,jaillir,18
un,un,71
rayon,rayon,21
aigu,aigu,30
et,et,82
clair,clair,30
que,que,52
le,le,71
jeune,jeune,30
malade,malade,21
recevait,recevoir,18
en,en,81
pleine,plein,30
poitrine,poitrine,22
avant,avant,81
cette,ce,74
sensation,sensation,22
de,de,81
picotement,picotement,21
et,et,82
de,de,81
chaleur,chaleur,22
produite,produit,31
par,par,81
l',le,71
émétique,émétique,21
/.,/.,P
“,“,p
eh,eh,93
bien,bien,60
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
le,le,71
docteur,docteur,21
après,après,81
un,un,71
moment,moment,21
de,de,81
silence,silence,21
pendant,pendant,81
lequel,lequel,52
il,il,51
parut,paraître,19
résumer,résumer,14
les,le,71
indices,indice,21
reconnus,reconnu,31
dans,dans,81
son,son,73
inspection,inspection,22
rapide,rapide,30
",",",",p
je,je,51
vois,voir,17
déjà,déjà,60
qu',que,83
il,il,51
ne,ne,60
s',se,51
agit,agir,17
pas,pas,60
avec,avec,81
vous,vous,51
d',de,81
un,un,71
cas,cas,21
de,de,81
pathologie,pathologie,22
vulgaire,vulgaire,30
;,;,p
vous,vous,51
n',ne,60
avez,avoir,17
aucune,aucun,52
de,de,81
ces,ce,74
maladies,maladie,22
cataloguées,catalogué,31
",",",",p
à,à,81
symptômes,symptôme,21
bien,bien,60
connus,connu,31
",",",",p
que,que,83
le,le,71
médecin,médecin,21
guérit,guérir,17
ou,ou,82
empire,empirer,17
;,;,p
et,et,82
quand,quand,83
j',je,51
aurai,avoir,15
causé,causer,12
quelques,quelque,75
minutes,minute,22
",",",",p
je,je,51
ne,ne,60
vous,vous,51
demanderai,demander,15
pas,pas,60
du,de,81
du,le,71
papier,papier,21
pour,pour,81
y,y,52
tracer,tracer,14
une,un,71
anodine,anodin,30
formule,formuler,17
du,de,81
du,le,71
Codex,Codex,20
au,à,81
au,le,71
bas,bas,21
de,de,81
laquelle,lequel,52
j',je,51
apposerai,apposer,15
une,un,71
signature,signature,22
hiéroglyphique,hiéroglyphique,30
et,et,82
que,que,83
votre,votre,73
valet,valet,21
de,de,81
chambre,chambre,22
portera,porter,15
au,à,81
au,le,71
pharmacien,pharmacien,21
du,de,81
du,le,71
coin,coin,21
/.,/.,P
“,“,p
Octave,Octave,20
sourit,sourire,19
faiblement,faiblement,60
",",",",p
comme,comme,83
pour,pour,81
remercier,remercier,14
monsieur,monsieur,21
Cherbonneau,Cherbonneau,20
de,de,81
lui,lui,51
épargner,épargner,14
d',de,81
inutiles,inutile,30
et,et,82
fastidieux,fastidieux,30
remèdes,remède,21
/.,/.,P
“,“,p
mais,mais,82
",",",",p
continua,continuer,19
le,le,71
docteur,docteur,21
",",",",p
ne,ne,60
vous,vous,51
réjouissez,réjouir,17
pas,pas,60
si,si,60
vite,vite,60
;,;,p
de,de,81
ce,ce,52
que,que,52
vous,vous,51
n',ne,60
avez,avoir,17
ni,ni,82
hypertrophie,hypertrophier,17
du,de,81
du,le,71
coeur,coeur,21
",",",",p
ni,ni,82
tubercules,tubercule,21
au,à,81
au,le,71
poumon,poumon,21
",",",",p
ni,ni,82
ramollissement,ramollissement,21
de,de,81
la,le,71
moelle,moelle,22
épinière,épinière,30
",",",",p
ni,ni,82
épanchement,épanchement,21
sérieux,sérieux,30
au,à,81
au,le,71
cerveau,cerveau,21
",",",",p
ni,ni,82
fièvre,fièvre,22
typhoïde,typhoïde,22
ou,ou,82
nerveuse,nerveux,30
",",",",p
il,il,51
ne,ne,60
s',se,51
ensuit,ensuivre,17
pas,pas,60
que,que,83
vous,vous,51
soyez,être,17
en,en,81
bonne,bon,30
santé,santé,22
/.,/.,P
donnez,donner,17
moi,moi,51
votre,votre,73
main,main,22
/.,/.,P
“,“,p
croyant,croire,13
que,que,83
monsieur,monsieur,21
Cherbonneau,Cherbonneau,20
allait,aller,18
lui,lui,51
tâter,tâter,14
le,le,71
pouls,pouls,21
et,et,82
s',se,51
attendant,attendre,13
à,à,81
lui,lui,51
voir,voir,14
tirer,tirer,14
sa,son,73
montre,montre,22
à,à,81
secondes,seconde,22
",",",",p
Octave,Octave,20
retroussa,retrousser,19
la,le,71
manche,manche,22
de,de,81
sa,son,73
gandoura,gandoura,22
",",",",p
mit,mettre,19
son,son,73
poignet,poignet,21
à,à,81
découvert,découvert,31
et,et,82
le,le,52
tendit,tendre,19
machinalement,machinalement,60
au,à,81
au,le,71
docteur,docteur,21
/.,/.,P
sans,sans,81
chercher,chercher,14
du,de,81
du,le,71
pouce,pouce,21
cette,ce,74
pulsation,pulsation,22
rapide,rapide,30
ou,ou,82
lente,lent,30
qui,qui,52
indique,indiquer,17
si,si,83
l',le,71
horloge,horloge,22
de,de,81
la,le,71
vie,vie,22
est,être,17
détraquée,détraquer,12
chez,chez,81
l',le,71
homme,homme,21
",",",",p
monsieur,monsieur,21
Cherbonneau,Cherbonneau,20
prit,prendre,19
dans,dans,81
sa,son,73
patte,patte,22
brune,brun,30
",",",",p
dont,dont,52
les,le,71
doigts,doigt,21
osseux,osseux,30
ressemblaient,ressembler,18
à,à,81
des,de,81
des,le,71
pinces,pince,22
de,de,81
crabe,crabe,21
",",",",p
la,le,71
main,main,22
fluette,fluet,30
",",",",p
veinée,veiné,31
et,et,82
moite,moite,30
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
;,;,p
il,il,51
la,le,52
palpa,palper,19
",",",",p
la,le,52
pétrit,pétrir,19
",",",",p
la,le,52
malaxa,malaxer,19
en,en,81
quelque,quelque,75
sorte,sorte,22
comme,comme,83
pour,pour,81
se,se,51
mettre,mettre,14
en,en,81
communication,communication,22
magnétique,magnétique,30
avec,avec,81
son,son,73
sujet,sujet,21
/.,/.,P
Octave,Octave,20
",",",",p
bien,bien,60
qu',que,83
il,il,51
fût,être,19
sceptique,sceptique,30
en,en,81
médecine,médecine,22
",",",",p
ne,ne,60
pouvait,pouvoir,18
s',se,51
empêcher,empêcher,14
d',de,81
éprouver,éprouver,14
une,un,71
certaine,certain,75
émotion,émotion,22
anxieuse,anxieux,30
",",",",p
car,car,82
il,il,51
lui,lui,51
semblait,sembler,18
que,que,83
le,le,71
docteur,docteur,21
lui,lui,51
soutirait,soutirer,18
l',le,71
âme,âme,22
par,par,81
cette,ce,74
pression,pression,22
",",",",p
et,et,82
le,le,71
sang,sang,21
avait,avoir,18
tout,tout,60
à,à,81
fait,fait,21
abandonné,abandonner,12
ses,son,73
pommettes,pommette,22
/.,/.,P
“,“,p
cher,cher,30
monsieur,monsieur,21
Octave,Octave,20
",",",",p
dit,dire,19
le,le,71
médecin,médecin,21
en,en,81
laissant,laisser,13
aller,aller,14
la,le,71
main,main,22
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
",",",",p
votre,votre,73
situation,situation,22
est,être,17
plus,plus,60
grave,grave,30
que,que,83
vous,vous,51
ne,ne,60
pensez,penser,17
",",",",p
et,et,82
la,le,71
science,science,22
",",",",p
telle,tel,52
du,de,81
du,le,71
moins,moins,60
que,que,83
la,le,71
pratique,pratique,22
la,le,71
vieille,vieux,30
routine,routine,22
européenne,européen,30
",",",",p
n',ne,60
y,y,52
peut,pouvoir,17
rien,rien,52
:,:,p
vous,vous,51
n',ne,60
avez,avoir,17
plus,plus,60
la,le,71
volonté,volonté,22
de,de,81
vivre,vivre,14
",",",",p
et,et,82
votre,votre,73
âme,âme,22
se,se,51
détache,détacher,17
insensiblement,insensiblement,60
de,de,81
votre,votre,73
corps,corps,21
;,;,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
chez,chez,81
vous,vous,51
ni,ni,82
hypocondrie,hypocondrie,22
",",",",p
ni,ni,82
lypémanie,lypémanie,22
",",",",p
ni,ni,82
tendance,tendance,22
mélancolique,mélancolique,30
au,à,81
au,le,71
suicide,suicide,21
/.,/.,P
-,-,p
non,non,60
!,!,p
cas,cas,21
rare,rare,30
et,et,82
curieux,curieux,30
",",",",p
vous,vous,51
pourriez,pouvoir,16
",",",",p
si,si,83
je,je,51
ne,ne,60
m',je,51
y,y,52
opposais,opposer,18
",",",",p
mourir,mourir,14
sans,sans,81
aucune,aucun,75
lésion,lésion,22
intérieure,intérieur,30
ou,ou,82
externe,externe,30
appréciable,appréciable,30
/.,/.,P
il,il,51
était,être,18
temps,temps,21
de,de,81
m',je,51
appeler,appeler,14
",",",",p
car,car,82
l',le,71
esprit,esprit,21
ne,ne,60
tient,tenir,17
plus,plus,60
à,à,81
la,le,71
chair,chair,22
que,que,83
par,par,81
un,un,71
fil,fil,21
",",",",p
mais,mais,82
nous,nous,51
allons,aller,17
y,y,52
faire,faire,14
un,un,71
bon,bon,30
noeud,noeud,21
/.,/.,P
“,“,p
et,et,82
le,le,71
docteur,docteur,21
se,se,51
frotta,frotter,19
joyeusement,joyeusement,60
les,le,71
mains,main,22
en,en,81
grimaçant,grimacer,13
un,un,71
sourire,sourire,21
qui,qui,52
détermina,déterminer,19
un,un,71
remous,remous,21
de,de,81
rides,ride,22
dans,dans,81
les,le,71
mille,mille,72
plis,pli,21
de,de,81
sa,son,73
figure,figure,22
/.,/.,P
“,“,p
monsieur,monsieur,21
Cherbonneau,Cherbonneau,20
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
si,si,83
vous,vous,51
me,je,51
guérirez,guérir,15
",",",",p
et,et,82
",",",",p
après,après,81
tout,tout,52
",",",",p
je,je,51
n',ne,60
en,en,52
ai,avoir,17
nulle,nul,75
envie,envie,22
",",",",p
mais,mais,82
je,je,51
dois,devoir,17
avouer,avouer,14
que,que,83
vous,vous,51
avez,avoir,17
pénétré,pénétrer,12
du,de,81
du,le,71
premier,premier,72
coup,coup,21
la,le,71
cause,cause,22
de,de,81
l',le,71
état,état,21
mystérieux,mystérieux,30
où,où,60
je,je,51
me,je,51
trouve,trouver,17
/.,/.,P
il,il,51
me,je,51
semble,sembler,17
que,que,83
mon,mon,73
corps,corps,21
est,être,17
devenu,devenir,12
perméable,perméable,30
",",",",p
et,et,82
laisse,laisser,17
échapper,échapper,14
mon,mon,73
moi,moi,51
comme,comme,83
un,un,71
crible,crible,21
l',le,71
eau,eau,22
par,par,81
ses,son,73
trous,trou,21
je,je,51
me,je,51
sens,sentir,17
fondre,fondre,14
dans,dans,81
le,le,71
grand,grand,30
tout,tout,21
",",",",p
et,et,82
j',je,51
ai,avoir,17
peine,peine,22
à,à,81
me,je,51
distinguer,distinguer,14
du,de,81
du,le,71
milieu,milieu,21
où,où,60
je,je,51
plonge,plonger,17
/.,/.,P
la,le,71
vie,vie,22
dont,dont,52
j',je,51
accomplis,accomplir,17
",",",",p
autant,autant,60
que,que,83
possible,possible,30
",",",",p
la,le,71
pantomime,pantomime,22
habituelle,habituel,30
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
chagriner,chagriner,14
mes,mon,73
parents,parent,21
et,et,82
mes,mon,73
amis,ami,21
",",",",p
me,je,51
paraît,paraître,17
si,si,60
loin,loin,60
de,de,81
moi,moi,51
",",",",p
qu',que,52
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
instants,instant,21
où,où,60
je,je,51
me,je,51
crois,croire,17
déjà,déjà,60
sorti,sortir,12
de,de,81
la,le,71
sphère,sphère,22
humaine,humain,30
:,:,p
je,je,51
vais,aller,17
et,et,82
je,je,51
viens,venir,17
par,par,81
des,de,81
des,le,71
motifs,motif,21
qui,qui,52
me,je,51
déterminaient,déterminer,18
autrefois,autrefois,60
",",",",p
et,et,82
dont,dont,52
l',le,71
impulsion,impulsion,22
mécanique,mécanique,30
dure,durer,17
encore,encore,60
",",",",p
mais,mais,82
sans,sans,81
participer,participer,14
à,à,81
ce,ce,52
que,que,52
je,je,51
fais,faire,17
/.,/.,P
je,je,51
me,je,51
mets,mettre,17
à,à,81
table,table,22
aux,à,81
aux,le,71
heures,heure,22
ordinaires,ordinaire,30
",",",",p
et,et,82
je,je,51
parais,paraître,17
manger,manger,14
et,et,82
boire,boire,14
",",",",p
quoique,quoique,83
je,je,51
ne,ne,60
sente,sentir,17
aucun,aucun,75
goût,goût,21
aux,à,81
aux,le,71
plats,plat,30
les,le,71
plus,plus,60
épicés,épicé,31
et,et,82
aux,à,81
aux,le,71
vins,vin,21
les,le,71
plus,plus,60
forts,fort,30
;,;,p
la,le,71
lumière,lumière,22
du,de,81
du,le,71
soleil,soleil,21
me,je,51
semble,sembler,17
pâle,pâle,30
comme,comme,83
celle,celui,52
de,de,81
la,le,71
lune,lune,22
",",",",p
et,et,82
les,le,71
bougies,bougie,22
ont,avoir,17
des,de,81
des,le,71
flammes,flamme,22
noires,noir,30
/.,/.,P
j',je,51
ai,avoir,17
froid,froid,21
aux,à,81
aux,le,71
plus,plus,60
chauds,chaud,30
jours,jour,21
de,de,81
l',le,71
été,été,21
;,;,p
parfois,parfois,60
il,il,51
se,se,51
fait,faire,17
en,en,81
moi,moi,51
un,un,71
grand,grand,30
silence,silence,21
comme,comme,83
si,si,83
mon,mon,73
coeur,coeur,21
ne,ne,60
battait,battre,18
plus,plus,60
et,et,82
que,que,83
les,le,71
rouages,rouage,21
intérieurs,intérieur,30
fussent,être,18
arrêtés,arrêter,12
par,par,81
une,un,71
cause,cause,22
inconnue,inconnu,30
/.,/.,P
la,le,71
mort,mort,22
ne,ne,60
doit,devoir,17
pas,pas,60
être,être,14
différente,différent,30
de,de,81
cet,ce,74
état,état,21
si,si,83
elle,il,51
est,être,17
appréciable,appréciable,30
pour,pour,81
les,le,71
défunts,défunt,30
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
",",",",p
reprit,reprendre,19
le,le,71
docteur,docteur,21
",",",",p
une,un,71
impossibilité,impossibilité,22
de,de,81
vivre,vivre,14
chronique,chronique,30
",",",",p
maladie,maladie,22
toute,tout,60
morale,moral,30
et,et,82
plus,plus,60
fréquente,fréquent,30
qu',que,83
on,on,51
ne,ne,60
pense,penser,17
/.,/.,P
la,le,71
pensée,pensée,22
est,être,17
une,un,71
force,force,22
qui,qui,52
peut,pouvoir,17
tuer,tuer,14
comme,comme,83
l',le,71
acide,acide,21
prussique,prussique,30
",",",",p
comme,comme,83
l',le,71
étincelle,étincelle,22
de,de,81
la,le,71
bouteille,bouteille,22
de,de,81
Leyde,Leyde,20
",",",",p
quoique,quoique,83
la,le,71
trace,trace,22
de,de,81
ses,son,73
ravages,ravage,21
ne,ne,60
soit,être,17
pas,pas,60
saisissable,saisissable,30
aux,à,81
aux,le,71
faibles,faible,30
moyens,moyen,21
d',de,81
analyse,analyse,22
dont,dont,52
la,le,71
science,science,22
vulgaire,vulgaire,30
dispose,disposer,17
/.,/.,P
quel,quel,75
chagrin,chagrin,21
a,avoir,17
enfoncé,enfoncer,12
son,son,73
bec,bec,21
crochu,crochu,30
dans,dans,81
votre,votre,73
foie,foie,21
/?,/?,P
du,de,81
du,le,71
haut,haut,21
de,de,81
quelle,quel,75
ambition,ambition,22
secrète,secret,30
êtes,être,17
vous,vous,51
retombé,retomber,12
brisé,brisé,31
et,et,82
moulu,moulu,31
/?,/?,P
quel,quel,75
désespoir,désespoir,21
amer,amer,30
ruminez,ruminer,17
vous,vous,51
dans,dans,81
