11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Seizième extrait>,<>,<>
toi,toi,51
",",",",p
juge,juge,21
suprême,suprême,30
",",",",p
me,je,51
verras,voir,15
tu,tu,51
ainsi,ainsi,60
/?,/?,P
non,non,60
;,;,p
tu,tu,51
sais,savoir,17
que,que,83
c',ce,52
est,être,17
le,le,71
pouvoir,pouvoir,21
sans,sans,81
borne,borne,22
qui,qui,52
rend,rendre,17
la,le,71
créature,créature,22
coupable,coupable,30
envers,envers,81
la,le,71
créature,créature,22
;,;,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
Armand,Armand,20
de,de,81
Richelieu,Richelieu,20
qui,qui,52
fait,faire,17
périr,périr,14
",",",",p
c',ce,52
est,être,17
le,le,71
premier,premier,72
ministre,ministre,21
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
pour,pour,81
ses,son,73
injures,injure,22
personnelles,personnel,30
",",",",p
c',ce,52
est,être,17
pour,pour,81
suivre,suivre,14
un,un,71
système,système,21
/.,/.,P
mais,mais,82
un,un,71
système,système,21
…,…,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
ce,ce,74
mot,mot,21
/?,/?,P
m',je,51
était,être,18
il,il,51
permis,permettre,12
de,de,81
jouer,jouer,14
ainsi,ainsi,60
avec,avec,81
les,le,71
hommes,homme,21
",",",",p
et,et,82
de,de,81
les,le,52
regarder,regarder,14
comme,comme,83
des,de,81
des,le,71
nombres,nombre,21
pour,pour,81
accomplir,accomplir,14
une,un,71
pensée,pensée,22
",",",",p
fausse,faux,30
peut-être,peut-être,60
/?,/?,P
je,je,51
renverse,renverser,17
l',le,71
entourage,entourage,21
du,de,81
du,le,71
trône,trône,21
/.,/.,P
si,si,83
",",",",p
sans,sans,81
le,le,52
savoir,savoir,14
",",",",p
je,je,51
sapais,saper,18
ses,son,73
fondements,fondement,21
et,et,82
hâtais,hâter,18
sa,son,73
chute,chute,22
/!,/!,P
oui,oui,60
",",",",p
mon,mon,73
pouvoir,pouvoir,21
d',de,81
emprunt,emprunt,21
m',je,51
a,avoir,17
séduit,séduire,12
/.,/.,P
o,oh,93
dédale,dédale,21
!,!,p
ô,oh,93
faiblesse,faiblesse,22
de,de,81
la,le,71
pensée,pensée,22
humaine,humain,30
!,!,p
/…,/…,P
simple,simple,30
foi,foi,22
!,!,p
pourquoi,pourquoi,60
ai,avoir,17
je,je,51
quitté,quitter,12
ta,ton,73
voie,voie,22
?,?,p
…,…,p
pourquoi,pourquoi,60
ne,ne,60
suis,être,17
je,je,51
pas,pas,60
seulement,seulement,60
un,un,71
simple,simple,30
prêtre,prêtre,21
/?,/?,P
si,si,83
j',je,51
osais,oser,18
rompre,rompre,14
avec,avec,81
l',le,71
homme,homme,21
et,et,82
me,je,51
donner,donner,14
à,à,81
dieu,dieu,21
",",",",p
l',le,71
échelle,échelle,22
de,de,81
Jacob,Jacob,20
descendrait,descendre,16
encore,encore,60
dans,dans,81
mes,mon,73
songes,songe,21
/!,/!,P
en,en,81
ce,ce,74
moment,moment,21
son,son,73
oreille,oreille,22
fut,être,19
frappée,frapper,12
d',de,81
un,un,71
grand,grand,30
bruit,bruit,21
qui,qui,52
se,se,51
faisait,faire,18
au dehors,au-dehors,60
;,;,p
des,de,81
des,le,71
rires,rire,21
de,de,81
soldats,soldat,21
",",",",p
des,de,81
des,le,71
huées,huée,22
féroces,féroce,30
et,et,82
des,de,81
des,le,71
jurements,jurement,21
se,se,51
mêlaient,mêler,18
aux,à,81
aux,le,71
paroles,parole,22
",",",",p
assez,assez,60
longtemps,longtemps,60
soutenues,soutenu,31
",",",",p
d',de,81
une,un,71
voix,voix,22
faible,faible,30
et,et,82
claire,clair,30
;,;,p
on,on,51
eût,avoir,19
dit,dire,12
le,le,71
chant,chant,21
d',de,81
un,un,71
ange,ange,21
entrecoupé,entrecoupé,31
par,par,81
des,de,81
des,le,71
rires,rire,21
de,de,81
démons,démon,21
/.,/.,P
il,il,51
se,se,51
leva,lever,19
et,et,82
ouvrit,ouvrir,19
une,un,71
sorte,sorte,22
de,de,81
fenêtre,fenêtre,22
en,en,81
toile,toile,22
pratiquée,pratiqué,31
sur,sur,81
un,un,52
des,de,81
des,le,71
côtés,côté,21
de,de,81
sa,son,73
tente,tente,22
carrée,carré,31
/.,/.,P
un,un,71
singulier,singulier,30
spectacle,spectacle,21
se,se,51
présentait,présenter,18
à,à,81
sa,son,73
vue,vue,22
;,;,p
il,il,51
resta,rester,19
quelques,quelque,75
instants,instant,21
à,à,81
le,le,52
contempler,contempler,14
",",",",p
attentif,attentif,30
aux,à,81
aux,le,71
discours,discours,21
qui,qui,52
se,se,51
tenaient,tenir,18
/.,/.,P
-,-,p
écoute,écouter,17
",",",",p
écoute,écouter,17
",",",",p
la,le,71
valeur,valeur,22
",",",",p
disait,dire,18
un,un,71
soldat,soldat,21
à,à,81
un,un,71
autre,autre,52
",",",",p
la,le,52
voilà,voilà,81
qui,qui,52
recommence,recommencer,17
à,à,81
parler,parler,14
et,et,82
à,à,81
chanter,chanter,14
;,;,p
fais,faire,17
la,le,52
placer,placer,14
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
cercle,cercle,21
",",",",p
entre,entre,81
nous,nous,51
et,et,82
le,le,71
feu,feu,21
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
sais,savoir,17
pas,pas,60
",",",",p
tu,tu,51
ne,ne,60
sais,savoir,17
pas,pas,60
",",",",p
disait,dire,18
un,un,71
autre,autre,52
",",",",p
voici,voici,81
Grand-Ferré,Grand-Ferré,20
qui,qui,52
dit,dire,17
qu',que,83
il,il,51
la,le,52
connaît,connaître,17
/.,/.,P
-,-,p
oui,oui,60
",",",",p
je,je,51
te,tu,51
dis,dire,17
que,que,83
je,je,51
la,le,52
connais,connaître,17
",",",",p
et,et,82
",",",",p
par,par,81
Saint-Pierre,Saint-Pierre,20
de,de,81
Loudun,Loudun,20
",",",",p
je,je,51
jurerais,jurer,16
que,que,83
je,je,51
l',le,52
ai,avoir,17
vue,voir,12
dans,dans,81
mon,mon,73
village,village,21
quand,quand,83
j',je,51
étais,être,18
en,en,81
congé,congé,21
",",",",p
et,et,82
c',ce,52
était,être,18
à,à,81
une,un,71
affaire,affaire,22
où,où,60
il,il,51
faisait,faire,18
chaud,chaud,30
",",",",p
mais,mais,82
dont,dont,52
on,on,51
ne,ne,60
parle,parler,17
pas,pas,60
",",",",p
surtout,surtout,60
à,à,81
un,un,71
cardinaliste,cardinaliste,21
comme,comme,83
toi,toi,51
/.,/.,P
-,-,p
et,et,82
pourquoi,pourquoi,60
n',ne,60
en,en,52
parle,parler,17
t,t,94
on,on,51
pas,pas,60
",",",",p
grand,grand,30
nigaud,nigaud,21
?,?,p
reprit,reprendre,19
un,un,71
vieux,vieux,30
soldat,soldat,21
en,en,81
relevant,relever,13
sa,son,73
moustache,moustache,22
/.,/.,P
-,-,p
on,on,51
n',ne,60
en,en,52
parle,parler,17
pas,pas,60
parce que,parce que,83
cela,cela,52
brûle,brûler,17
la,le,71
langue,langue,22
",",",",p
entends,entendre,17
tu,tu,51
cela,cela,52
/?,/?,P
non,non,60
",",",",p
je,je,51
ne,ne,60
l',le,52
entends,entendre,17
pas,pas,60
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
ni,ni,82
moi,moi,51
non,non,60
plus,plus,60
;,;,p
mais,mais,82
ce,ce,52
sont,être,17
les,le,71
bourgeois,bourgeois,21
qui,qui,52
me,je,51
l',le,52
ont,avoir,17
dit,dire,12
/.,/.,P
ici,ici,60
un,un,71
éclat,éclat,21
de,de,81
rire,rire,21
général,général,30
l',le,52
interrompit,interrompre,19
/.,/.,P
-,-,p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
est,être,17
il,il,51
bête,bête,30
!,!,p
disait,dire,18
l',le,71
un,un,52
;,;,p
il,il,51
écoute,écouter,17
ce,ce,52
que,que,52
disent,dire,17
les,le,71
bourgeois,bourgeois,21
/.,/.,P
-,-,p
ah,ah,93
bien,bien,60
!,!,p
si,si,83
tu,tu,51
les,le,52
écoutes,écouter,17
bavarder,bavarder,14
",",",",p
tu,tu,51
as,avoir,17
du,de,81
du,le,71
temps,temps,21
à,à,81
perdre,perdre,14
",",",",p
reprenait,reprendre,18
un,un,71
autre,autre,52
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
sais,savoir,17
donc,donc,82
pas,pas,60
ce,ce,52
que,que,52
disait,dire,18
ma,mon,73
mère,mère,22
",",",",p
blanc-bec,blanc-bec,21
?,?,p
reprenait,reprendre,18
gravement,gravement,60
le,le,71
plus,plus,60
vieux,vieux,30
en,en,81
baissant,baisser,13
les,le,71
yeux,oeil,21
d',de,81
un,un,71
air,air,21
farouche,farouche,30
et,et,82
solennel,solennel,30
pour,pour,81
se,se,51
faire,faire,14
écouter,écouter,14
/.,/.,P
-,-,p
eh,eh,93
!,!,p
comment,comment,60
veux,vouloir,17
tu,tu,51
que,que,83
je,je,51
le,le,52
sache,savoir,17
",",",",p
la,le,71
pipe,pipe,22
/?,/?,P
ta,ton,73
mère,mère,22
doit,devoir,17
être,être,14
morte,mourir,12
de,de,81
vieillesse,vieillesse,22
avant,avant,81
que,que,83
mon,mon,73
grand-père,grand-père,21
fût,être,19
au,à,81
au,le,71
monde,monde,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
blanc-bec,blanc-bec,21
",",",",p
je,je,51
vais,aller,17
te,tu,51
le,le,52
dire,dire,14
/.,/.,P
tu,tu,51
sauras,savoir,15
d'abord,d'abord,60
que,que,83
ma,mon,73
mère,mère,22
était,être,18
une,un,71
respectable,respectable,30
Bohémienne,Bohémien,20
",",",",p
aussi,aussi,60
attachée,attaché,31
au,à,81
au,le,71
régiment,régiment,21
des,de,81
des,le,71
Carabins,Carabin,20
de,de,81
la,le,71
Roque,Roque,20
que,que,83
mon,mon,73
chien,chien,21
Canon,Canon,20
que,que,52
voilà,voilà,81
;,;,p
elle,il,51
portait,porter,18
l',le,71
eau-de-vie,eau-de-vie,22
à,à,81
son,son,73
cou,cou,21
",",",",p
dans,dans,81
un,un,71
baril,baril,21
",",",",p
et,et,82
la,le,52
buvait,boire,18
mieux,mieux,60
que,que,83
le,le,71
premier,premier,72
de,de,81
chez,chez,81
nous,nous,51
;,;,p
elle,il,51
avait,avoir,18
eu,avoir,12
quatorze,quatorze,72
époux,époux,21
",",",",p
tous,tout,52
militaires,militaire,30
",",",",p
et,et,82
morts,mort,31
sur,sur,81
le,le,71
champ,champ,21
de,de,81
bataille,bataille,22
/.,/.,P
-,-,p
voilà,voilà,81
ce,ce,52
qui,qui,52
s',se,51
appelle,appeler,17
une,un,71
femme,femme,22
!,!,p
interrompirent,interrompre,19
les,le,71
soldats,soldat,21
pleins,plein,30
de,de,81
respect,respect,21
/.,/.,P
-,-,p
et,et,82
jamais,jamais,60
de,de,81
sa,son,73
vie,vie,22
elle,il,51
ne,ne,60
parla,parler,19
à,à,81
un,un,71
bourgeois,bourgeois,21
",",",",p
si,si,83
ce,ce,52
n',ne,60
est,être,17
pour,pour,81
lui,lui,51
dire,dire,14
en,en,81
arrivant,arriver,13
au,à,81
au,le,71
logement,logement,21
:,:,p
“,“,p
allume,allumer,17
moi,moi,51
une,un,71
chandelle,chandelle,22
",",",",p
et,et,82
fais,faire,17
chauffer,chauffer,14
ma,mon,73
soupe,soupe,22
/.,/.,P
“,“,p
-,-,p
eh,eh,93
bien,bien,60
",",",",p
qu',que,52
est,être,17
ce,ce,52
qu',que,52
elle,il,51
te,tu,51
disait,dire,18
ta,ton,73
mère,mère,22
?,?,p
dit,dire,19
Grand-Ferré,Grand-Ferré,20
/.,/.,P
-,-,p
si,si,83
tu,tu,51
es,être,17
si,si,60
pressé,presser,12
",",",",p
tu,tu,51
ne,ne,60
le,le,52
sauras,savoir,15
pas,pas,60
",",",",p
blanc-bec,blanc-bec,21
;,;,p
elle,il,51
disait,dire,18
habituellement,habituellement,60
dans,dans,81
sa,son,73
conversation,conversation,22
:,:,p
un,un,71
soldat,soldat,21
vaut,valoir,17
mieux,mieux,60
qu',que,83
un,un,71
chien,chien,21
;,;,p
mais,mais,82
un,un,71
chien,chien,21
vaut,valoir,17
mieux,mieux,60
qu',que,83
un,un,71
bourgeois,bourgeois,21
/.,/.,P
-,-,p
bravo,bravo,21
!,!,p
bravo,bravo,21
!,!,p
c',ce,52
est,être,17
bien,bien,60
dit,dire,12
!,!,p
crièrent,crier,19
les,le,71
soldats,soldat,21
pleins,plein,30
d',de,81
enthousiasme,enthousiasme,21
à,à,81
ces,ce,74
belles,beau,30
paroles,parole,22
/.,/.,P
-,-,p
et,et,82
ça,ça,52
n',ne,60
empêche,empêcher,17
pas,pas,60
",",",",p
dit,dire,19
Grand-Ferré,Grand-Ferré,20
",",",",p
que,que,83
les,le,71
bourgeois,bourgeois,21
qui,qui,52
m',je,51
ont,avoir,17
dit,dire,12
que,que,83
ça,ça,52
brûlait,brûler,18
la,le,71
langue,langue,22
avaient,avoir,18
raison,raison,22
;,;,p
d',de,81
ailleurs,ailleurs,60
",",",",p
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
tout,tout,60
à,à,81
fait,fait,21
des,de,81
des,le,71
bourgeois,bourgeois,21
",",",",p
car,car,82
ils,ils,51
avaient,avoir,18
des,de,81
des,le,71
épées,épée,22
",",",",p
et,et,82
ils,ils,51
étaient,être,18
fâchés,fâcher,12
de,de,81
ce,ce,52
qu',que,52
on,on,51
brûlait,brûler,18
un,un,71
curé,curé,21
",",",",p
et,et,82
moi,moi,51
aussi,aussi,60
/.,/.,P
-,-,p
et,et,82
qu',que,52
est,être,17
ce,ce,52
que,que,52
cela,cela,52
te,tu,51
faisait,faire,18
qu',que,83
on,on,51
brûlât,brûler,18
ton,ton,73
curé,curé,21
",",",",p
grand,grand,30
innocent,innocent,21
?,?,p
reprit,reprendre,19
un,un,71
sergent,sergent,21
de,de,81
bataille,bataille,22
appuyé,appuyé,31
sur,sur,81
la,le,71
fourche,fourche,22
de,de,81
son,son,73
arquebuse,arquebuse,22
;,;,p
après,après,81
lui,lui,51
un,un,71
autre,autre,52
;,;,p
tu,tu,51
aurais,avoir,16
pu,pouvoir,12
prendre,prendre,14
à,à,81
sa,son,73
place,place,22
un,un,52
de,de,81
nos,notre,73
généraux,général,21
",",",",p
qui,qui,52
sont,être,17
tous,tout,52
curés,curer,12
à,à,81
présent,présent,21
;,;,p
moi,moi,51
qui,qui,52
suis,être,17
royaliste,royaliste,30
",",",",p
je,je,51
le,le,52
dis,dire,17
franchement,franchement,60
/.,/.,P
-,-,p
taisez,taire,17
vous,vous,51
donc,donc,82
!,!,p
cria,crier,19
la,le,71
pipe,pipe,22
;,;,p
laissez,laisser,17
parler,parler,14
cette,ce,74
fille,fille,22
/.,/.,P
ce,ce,52
sont,être,17
tous,tout,75
ces,ce,74
chiens,chien,21
de,de,81
royalistes,royaliste,21
qui,qui,52
viennent,venir,17
nous,nous,51
déranger,déranger,14
quand,quand,83
nous,nous,51
nous,nous,51
amusons,amuser,17
/.,/.,P
-,-,p
que,que,52
est,être,17
ce,ce,52
que,que,52
tu,tu,51
dis,dire,17
?,?,p
reprit,reprendre,19
Grand-Ferré,Grand-Ferré,20
;,;,p
sais,savoir,17
tu,tu,51
seulement,seulement,60
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
d',de,81
être,être,14
royaliste,royaliste,30
",",",",p
toi,toi,51
/?,/?,P
oui,oui,60
",",",",p
dit,dire,19
la,le,71
pipe,pipe,22
",",",",p
je,je,51
vous,vous,51
connais,connaître,17
bien,bien,60
tous,tout,52
",",",",p
allez,aller,17
:,:,p
vous,vous,51
êtes,être,17
pour,pour,81
les,le,71
anciens,ancien,30
soi-disant,soi-disant,30
princes,prince,21
de,de,81
la,le,71
paix,paix,22
",",",",p
avec,avec,81
les,le,71
croquants,croquant,21
",",",",p
contre,contre,81
le,le,71
cardinal,cardinal,21
et,et,82
la,le,71
gabelle,gabelle,22
;,;,p
là,là,60
!,!,p
ai,avoir,17
je,je,51
raison,raison,22
ou,ou,82
non,non,60
/?,/?,P
eh,eh,93
bien,bien,60
",",",",p
non,non,60
",",",",p
vieux,vieux,30
bas,bas,30
rouge,rouge,30
!,!,p
un,un,71
royaliste,royaliste,21
est,être,17
celui,celui,52
qui,qui,52
est,être,17
pour,pour,81
un,un,71
roi,roi,21
:,:,p
voilà,voilà,81
ce,ce,52
que,que,52
c',ce,52
est,être,17
/.,/.,P
et,et,82
comme,comme,83
mon,mon,73
père,père,21
était,être,18
valet,valet,21
des,de,81
des,le,71
émerillons,émerillon,21
du,de,81
du,le,71
roi,roi,21
",",",",p
je,je,51
suis,être,17
pour,pour,81
le,le,71
roi,roi,21
;,;,p
voilà,voilà,81
/.,/.,P
et,et,82
je,je,51
n',ne,60
aime,aimer,17
pas,pas,60
les,le,71
bas,bas,30
rouges,rouge,30
",",",",p
c',ce,52
est,être,17
tout,tout,60
simple,simple,30
/.,/.,P
-,-,p
ah,ah,93
!,!,p
tu,tu,51
m',je,51
appelles,appeler,17
bas,bas,30
rouge,rouge,30
!,!,p
reprit,reprendre,19
le,le,71
vieux,vieux,30
soldat,soldat,21
:,:,p
tu,tu,51
m',je,51
en,en,52
feras,faire,15
raison,raison,22
demain,demain,60
matin,matin,21
/.,/.,P
si,si,83
tu,tu,51
avais,avoir,18
fait,faire,12
la,le,71
guerre,guerre,22
dans,dans,81
la,le,71
Valteline,Valteline,20
",",",",p
tu,tu,51
ne,ne,60
parlerais,parler,16
pas,pas,60
comme,comme,83
ça,ça,52
;,;,p
et,et,82
si,si,83
tu,tu,51
avais,avoir,18
vu,voir,12
l',le,71
éminence,éminence,22
se,se,51
promener,promener,14
sur,sur,81
sa,son,73
digue,digue,22
de,de,81
la,le,71
Rochelle,Rochelle,20
",",",",p
avec,avec,81
l,l,21
",",",",p
e,e,21
vieux,vieux,30
marquis,marquis,21
de,de,81
Spinola,Spinola,20
",",",",p
pendant,pendant,81
qu',que,83
on,on,51
lui,lui,51
envoyait,envoyer,18
des,de,81
des,le,71
volées,volée,22
de,de,81
canon,canon,21
",",",",p
tu,tu,51
ne,ne,60
dirais,dire,16
rien,rien,52
des,de,81
des,le,71
bas,bas,30
rouges,rouge,30
",",",",p
entends,entendre,17
tu,tu,51
/?,/?,P
allons,aller,17
",",",",p
amusons,amuser,17
nous,nous,51
au,à,81
au,le,71
lieu,lieu,21
de,de,81
nous,nous,51
quereller,quereller,14
",",",",p
dirent,dire,19
les,le,71
autres,autre,75
soldats,soldat,21
/.,/.,P
les,le,71
braves,brave,21
qui,qui,52
discouraient,discourir,18
ainsi,ainsi,60
étaient,être,18
debout,debout,60
autour,autour,60
d',de,81
un,un,71
grand,grand,30
feu,feu,21
qui,qui,52
les,le,52
éclairait,éclairer,18
plus,plus,60
que,que,83
la,le,71
lune,lune,22
",",",",p
toute,tout,60
belle,beau,30
qu',que,83
elle,il,51
était,être,18
;,;,p
et,et,82
au,à,81
au,le,71
milieu,milieu,21
d',de,81
eux,ils,51
se,se,51
trouvait,trouver,18
le,le,71
sujet,sujet,21
de,de,81
leur,leur,73
attroupement,attroupement,21
et,et,82
de,de,81
leurs,leur,73
cris,cri,21
/.,/.,P
le,le,71
cardinal,cardinal,21
distingua,distinguer,19
une,un,71
jeune,jeune,30
femme,femme,22
vêtue,vêtu,31
de,de,81
noir,noir,30
et,et,82
couverte,couvert,31
d',de,81
un,un,71
long,long,30
voile,voile,21
blanc,blanc,30
;,;,p
ses,son,73
pieds,pied,21
étaient,être,18
nus,nu,30
:,:,p
une,un,71
corde,corde,22
grossière,grossier,30
serrait,serrer,18
sa,son,73
taille,taille,22
élégante,élégant,30
",",",",p
un,un,71
long,long,30
rosaire,rosaire,21
tombait,tomber,18
de,de,81
son,son,73
cou,cou,21
presque,presque,60
jusqu',jusque,81
aux,à,81
aux,le,71
pieds,pied,21
",",",",p
ses,son,73
mains,main,22
délicates,délicat,30
et,et,82
blanches,blanc,30
comme,comme,83
l',le,71
ivoire,ivoire,21
en,en,52
agitaient,agiter,18
les,le,71
grains,grain,21
et,et,82
les,le,52
faisaient,faire,18
tournoyer,tournoyer,14
rapidement,rapidement,60
sous,sous,81
ses,son,73
doigts,doigt,21
/.,/.,P
les,le,71
soldats,soldat,21
",",",",p
avec,avec,81
une,un,71
joie,joie,22
barbare,barbare,30
",",",",p
s',se,51
amusaient,amuser,18
à,à,81
préparer,préparer,14
de,de,81
petits,petit,30
charbons,charbon,21
sur,sur,81
son,son,73
chemin,chemin,21
pour,pour,81
brûler,brûler,14
ses,son,73
pieds,pied,21
nus,nu,30
;,;,p
le,le,71
plus,plus,60
vieux,vieux,30
prit,prendre,19
la,le,71
mèche,mèche,22
fumante,fumant,30
de,de,81
son,son,73
arquebuse,arquebuse,22
",",",",p
et,et,82
",",",",p
l',le,52
approchant,approcher,13
du,de,81
du,le,71
bas,bas,21
de,de,81
sa,son,73
robe,robe,22
",",",",p
lui,lui,51
dit,dire,19
d',de,81
une,un,71
voix,voix,22
rauque,rauque,30
:,:,p
-,-,p
allons,aller,17
",",",",p
folle,fou,30
",",",",p
recommence,recommencer,17
nous,nous,51
ton,ton,73
histoire,histoire,22
",",",",p
ou,ou,82
bien,bien,60
je,je,51
te,tu,51
remplirai,remplir,15
de,de,81
poudre,poudre,22
",",",",p
et,et,82
je,je,51
te,tu,51
ferai,faire,15
sauter,sauter,14
comme,comme,83
une,un,71
mine,mine,22
;,;,p
prends,prendre,17
y,y,52
garde,garder,17
",",",",p
parce que,parce que,83
j',je,51
ai,avoir,17
déjà,déjà,60
joué,jouer,12
ce,ce,74
tour,tour,21
là,là,60
à,à,81
d',de,81
autres,autre,52
que,que,83
toi,toi,51
dans,dans,81
les,le,71
vieilles,vieux,30
guerres,guerre,22
des,de,81
des,le,71
Huguenots,Huguenot,20
/.,/.,P
allons,aller,17
",",",",p
chante,chanter,17
/!,/!,P
la,le,71
jeune,jeune,30
femme,femme,22
",",",",p
les,le,52
regardant,regarder,13
avec,avec,81
gravité,gravité,22
",",",",p
ne,ne,60
répondit,répondre,19
rien,rien,52
et,et,82
baissa,baisser,19
son,son,73
voile,voile,21
/.,/.,P
-,-,p
tu,tu,51
t',tu,51
y,y,52
prends,prendre,17
mal,mal,60
",",",",p
dit,dire,19
Grand-Ferré,Grand-Ferré,20
avec,avec,81
un,un,71
rire,rire,21
bachique,bachique,30
;,;,p
tu,tu,51
vas,aller,17
la,le,52
faire,faire,14
pleurer,pleurer,14
",",",",p
tu,tu,51
ne,ne,60
sais,savoir,17
pas,pas,60
le,le,71
beau,beau,30
langage,langage,21
de,de,81
la,le,71
cour,cour,22
;,;,p
je,je,51
vais,aller,17
lui,lui,51
parler,parler,14
",",",",p
moi,moi,51
/.,/.,P
et,et,82
lui,lui,51
prenant,prendre,13
le,le,71
menton,menton,21
:,:,p
-,-,p
mon,mon,73
petit,petit,30
coeur,coeur,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
si,si,83
tu,tu,51
voulais,vouloir,18
",",",",p
ma,mon,73
mignonne,mignonne,22
",",",",p
recommencer,recommencer,14
la,le,71
jolie,joli,30
petite,petit,30
historiette,historiette,22
que,que,52
tu,tu,51
racontais,raconter,18
tout,tout,60
à,à,81
l',le,71
heure,heure,22
à,à,81
ces,ce,74
messieurs,monsieur,21
",",",",p
je,je,51
te,tu,51
prierais,prier,16
de,de,81
voyager,voyager,14
avec,avec,81
moi,moi,51
sur,sur,81
le,le,71
fleuve,fleuve,21
de,de,81
tendre,tendre,30
",",",",p
comme,comme,83
disent,dire,17
les,le,71
grandes,grand,30
dames,dame,22
de,de,81
Paris,Paris,20
",",",",p
et,et,82
de,de,81
prendre,prendre,14
un,un,71
verre,verre,21
d',de,81
eau-de-vie,eau-de-vie,22
avec,avec,81
ton,ton,73
chevalier,chevalier,21
fidèle,fidèle,30
",",",",p
qui,qui,52
t',tu,51
a,avoir,17
rencontrée,rencontrer,12
autrefois,autrefois,60
à,à,81
Loudun,Loudun,20
quand,quand,83
tu,tu,51
jouais,jouer,18
la,le,71
comédie,comédie,22
pour,pour,81
faire,faire,14
brûler,brûler,14
un,un,71
pauvre,pauvre,30
diable,diable,21
/…,/…,P
la,le,71
jeune,jeune,30
femme,femme,22
croisa,croiser,19
ses,son,73
bras,bras,21
",",",",p
et,et,82
regardant,regarder,13
autour,autour,60
d',de,81
elle,il,51
d',de,81
un,un,71
air,air,21
impérieux,impérieux,30
",",",",p
s',se,51
écria,écrier,19
:,:,p
-,-,p
retirez,retirer,17
vous,vous,51
",",",",p
au,à,81
au,le,71
nom,nom,21
du,de,81
du,le,71
dieu,dieu,21
des,de,81
des,le,71
armées,armée,22
:,:,p
retirez,retirer,17
vous,vous,51
",",",",p
hommes,homme,21
impurs,impur,30
!,!,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
de,de,81
commun,commun,30
entre,entre,81
nous,nous,51
/.,/.,P
je,je,51
n',ne,60
entends,entendre,17
pas,pas,60
votre,votre,73
langue,langue,22
",",",",p
et,et,82
vous,vous,51
n',ne,60
entendriez,entendre,16
pas,pas,60
la,le,71
mienne,mien,52
/.,/.,P
allez,aller,17
vendre,vendre,14
votre,votre,73
sang,sang,21
aux,à,81
aux,le,71
princes,prince,21
de,de,81
la,le,71
terre,terre,22
à,à,81
tant,tant,60
d',de,81
oboles,obole,22
par,par,81
jour,jour,21
",",",",p
et,et,82
laissez,laisser,17
moi,moi,51
accomplir,accomplir,14
ma,mon,73
mission,mission,22
/.,/.,P
conduisez,conduire,17
moi,moi,51
vers,vers,81
le,le,71
cardinal,cardinal,21
/…,/…,P
un,un,71
rire,rire,21
grossier,grossier,30
l',le,52
interrompit,interrompre,19
/.,/.,P
-,-,p
crois,croire,17
tu,tu,51
",",",",p
dit,dire,19
un,un,71
Carabin,Carabin,20
de,de,81
Maurevert,Maurevert,20
",",",",p
que,que,83
son,son,73
éminence,éminence,22
le,le,71
généralissime,généralissime,21
te,tu,51
reçoive,recevoir,17
chez,chez,81
lui,lui,51
avec,avec,81
tes,ton,73
pieds,pied,21
nus,nu,30
/?,/?,P
va,aller,17
les,le,52
laver,laver,14
/!,/!,P
le,le,71
seigneur,seigneur,21
a,avoir,17
dit,dire,12
:,:,p
Jérusalem,Jérusalem,20
",",",",p
lève,lever,17
ta,ton,73
robe,robe,22
et,et,82
passe,passer,17
les,le,71
fleuves,fleuve,21
",",",",p
répondit,répondre,19
elle,il,51
les,le,71
bras,bras,21
toujours,toujours,60
en,en,81
croix,croix,22
/.,/.,P
que,que,52
l',l',94
on,on,51
me,je,51
conduise,conduire,17
chez,chez,81
le,le,71
cardinal,cardinal,21
/!,/!,P
Richelieu,Richelieu,20
cria,crier,19
d',de,81
une,un,71
voix,voix,22
forte,fort,30
:,:,p
-,-,p
que,que,52
on,on,51
m',je,51
amène,amener,17
cette,ce,74
femme,femme,22
",",",",p
et,et,82
qu',que,52
on,on,51
la,le,52
laisse,laisser,17
en,en,81
repos,repos,21
/!,/!,P
tout,tout,52
se,se,51
tut,taire,19
;,;,p
on,on,51
la,le,52
conduisit,conduire,19
au,à,81
au,le,71
ministre,ministre,21
/.,/.,P
-,-,p
pourquoi,pourquoi,60
",",",",p
dit,dire,19
elle,il,51
en,en,81
le,le,52
voyant,voir,13
",",",",p
m',je,51
amener,amener,14
devant,devant,81
un,un,71
homme,homme,21
armé,armé,31
/?,/?,P
on,on,51
la,le,52
laissa,laisser,19
seule,seul,30
devant,devant,81
lui,lui,51
sans,sans,81
répondre,répondre,14
/.,/.,P
le,le,71
cardinal,cardinal,21
avait,avoir,18
