11643
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-troisième extrait>,<>,<>
vous,vous,51
",",",",p
messieurs,monsieur,21
:,:,p
on,on,51
vient,venir,17
de,de,81
la,le,71
rue,rue,22
Saint-Honoré,Saint-Honoré,20
/.,/.,P
-,-,p
qui,qui,52
va,aller,17
là,là,60
?,?,p
crièrent,crier,19
les,le,71
premiers,premier,72
de,de,81
la,le,71
troupe,troupe,22
à,à,81
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
venaient,venir,18
/.,/.,P
royalistes,royaliste,30
ou,ou,82
cardinalistes,cardinaliste,30
/?,/?,P
Gaston,Gaston,20
et,et,82
Le Grand,Le Grand,20
",",",",p
répondirent,répondre,19
tout,tout,60
bas,bas,30
les,le,71
nouveaux,nouveau,30
venus,venu,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
Montrésor,Montrésor,20
avec,avec,81
les,le,71
gens,gens,21
de,de,81
monsieur,monsieur,21
",",",",p
dit,dire,19
Fontrailles,Fontrailles,20
;,;,p
nous,nous,51
pourrons,pouvoir,15
bientôt,bientôt,60
commencer,commencer,14
/.,/.,P
-,-,p
oui,oui,60
",",",",p
par,par,81
la,le,71
corbleu,corbleu,93
!,!,p
dit,dire,19
l',le,71
arrivant,arrivant,30
;,;,p
car,car,82
les,le,71
cardinalistes,cardinaliste,21
vont,aller,17
passer,passer,14
à,à,81
trois,trois,72
heures,heure,22
;,;,p
on,on,51
nous,nous,51
en,en,52
a,avoir,17
instruits,instruire,12
tout,tout,60
à,à,81
l',le,71
heure,heure,22
/.,/.,P
-,-,p
où,où,60
vont,aller,17
ils,ils,51
?,?,p
dit,dire,19
Fontrailles,Fontrailles,20
/.,/.,P
-,-,p
ils,ils,51
sont,être,17
plus,plus,60
de,de,81
deux,deux,72
cents,cent,72
pour,pour,81
conduire,conduire,14
monsieur,monsieur,21
de,de,81
Chavigny,Chavigny,20
",",",",p
qui,qui,52
va,aller,17
voir,voir,14
le,le,71
vieux,vieux,30
chat,chat,21
à,à,81
Narbonne,Narbonne,20
",",",",p
dit,dire,17
on,on,51
;,;,p
ils,ils,51
ont,avoir,17
cru,croire,12
plus,plus,60
sûr,sûr,30
de,de,81
longer,longer,14
le,le,71
Louvre,Louvre,20
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
nous,nous,51
allons,aller,17
leur,leur,52
faire,faire,14
patte,patte,22
de,de,81
velours,velours,21
",",",",p
dit,dire,19
l',le,71
abbé,abbé,21
/.,/.,P
comme,comme,83
il,il,51
achevait,achever,18
",",",",p
un,un,71
bruit,bruit,21
de,de,81
carrosses,carrosse,21
et,et,82
de,de,81
chevaux,cheval,21
se,se,51
fit,faire,19
entendre,entendre,14
/.,/.,P
plusieurs,plusieurs,75
hommes,homme,21
à,à,81
manteaux,manteau,21
roulèrent,rouler,19
une,un,71
énorme,énorme,30
pierre,pierre,22
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
pavé,pavé,21
/.,/.,P
les,le,71
premiers,premier,72
cavaliers,cavalier,21
passèrent,passer,19
rapidement,rapidement,60
à,à,81
travers,travers,21
la,le,71
foule,foule,22
et,et,82
le,le,71
pistolet,pistolet,21
à,à,81
la,le,71
main,main,22
",",",",p
se,se,51
doutant,douter,13
bien,bien,60
de,de,81
quelque,quelque,75
chose,chose,22
;,;,p
mais,mais,82
le,le,71
postillon,postillon,21
qui,qui,52
guidait,guider,18
les,le,71
chevaux,cheval,21
de,de,81
la,le,71
première,premier,72
voiture,voiture,22
s',se,51
embarrassa,embarrasser,19
dans,dans,81
la,le,71
pierre,pierre,22
et,et,82
s',se,51
abattit,abattre,19
/.,/.,P
-,-,p
quel,quel,52
est,être,17
donc,donc,82
ce,ce,74
carrosse,carrosse,21
qui,qui,52
écrase,écraser,17
les,le,71
piétons,piéton,21
?,?,p
crièrent,crier,19
à,à,81
la,le,71
fois,fois,22
tous,tout,75
les,le,71
hommes,homme,21
en,en,81
manteau,manteau,21
/.,/.,P
c',ce,52
est,être,17
bien,bien,60
tyrannique,tyrannique,30
/!,/!,P
ce,ce,52
ne,ne,60
peut,pouvoir,17
être,être,14
qu',que,83
un,un,71
ami,ami,21
du,de,81
du,le,71
cardinal,cardinal,21
de,de,81
la,le,71
Rochelle,Rochelle,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
quelqu'un,quelqu'un,52
qui,qui,52
ne,ne,60
craint,craindre,17
pas,pas,60
les,le,71
amis,ami,21
du,de,81
du,le,71
petit,petit,30
Le Grand,Le Grand,20
",",",",p
s',se,51
écria,écrier,19
une,un,71
voix,voix,22
à,à,81
la,le,71
portière,portière,22
ouverte,ouvert,31
",",",",p
d',de,81
où,où,60
un,un,71
homme,homme,21
s',se,51
élança,élancer,19
sur,sur,81
un,un,71
cheval,cheval,21
/.,/.,P
-,-,p
rangez,ranger,17
ces,ce,74
cardinalistes,cardinaliste,21
jusque,jusque,81
dans,dans,81
la,le,71
rivière,rivière,22
!,!,p
dit,dire,19
une,un,71
voix,voix,22
aigre,aigre,30
et,et,82
perçante,perçant,30
/.,/.,P
ce,ce,52
fut,être,19
le,le,71
signal,signal,21
des,de,81
des,le,71
coups,coup,21
de,de,81
pistolet,pistolet,21
qui,qui,52
s',se,51
échangèrent,échanger,19
avec,avec,81
fureur,fureur,22
de,de,81
chaque,chaque,75
côté,côté,21
",",",",p
et,et,82
qui,qui,52
prêtèrent,prêter,19
une,un,71
lumière,lumière,22
à,à,81
cette,ce,74
scène,scène,22
tumultueuse,tumultueux,30
et,et,82
sombre,sombre,30
;,;,p
le,le,71
cliquetis,cliquetis,21
des,de,81
des,le,71
épées,épée,22
et,et,82
le,le,71
piétinement,piétinement,21
des,de,81
des,le,71
chevaux,cheval,21
n',ne,60
empêchaient,empêcher,18
pas,pas,60
de,de,81
distinguer,distinguer,14
les,le,71
cris,cri,21
",",",",p
d',de,81
un,un,71
côté,côté,21
:,:,p
à,à,81
bas,bas,60
le,le,71
ministre,ministre,21
!,!,p
vive,vivre,17
le,le,71
roi,roi,21
!,!,p
vive,vivre,17
monsieur,monsieur,21
et,et,82
monsieur,monsieur,21
Le Grand,Le Grand,20
!,!,p
à,à,81
bas,bas,60
les,le,71
bas,bas,21
rouges,rouge,30
!,!,p
de,de,81
l',le,71
autre,autre,52
:,:,p
vive,vivre,17
son,son,73
éminence,éminence,22
!,!,p
vive,vivre,17
le,le,71
grand,grand,30
cardinal,cardinal,21
!,!,p
mort,mort,22
aux,à,81
aux,le,71
factieux,factieux,21
!,!,p
vive,vivre,17
le,le,71
roi,roi,21
!,!,p
car,car,82
le,le,71
nom,nom,21
du,de,81
du,le,71
roi,roi,21
présidait,présider,18
à,à,81
toutes,tout,75
les,le,71
haines,haine,22
comme,comme,83
à,à,81
toutes,tout,75
les,le,71
affections,affection,22
",",",",p
à,à,81
cette,ce,74
étrange,étrange,30
époque,époque,22
/.,/.,P
cependant,cependant,82
les,le,71
hommes,homme,21
à,à,81
pied,pied,21
avaient,avoir,18
réussi,réussir,12
à,à,81
placer,placer,14
les,le,71
deux,deux,72
carrosses,carrosse,21
à,à,81
travers,travers,21
du,de,81
du,le,71
quai,quai,21
",",",",p
de,de,81
manière,manière,22
à,à,81
s',se,51
en,en,52
faire,faire,14
un,un,71
rempart,rempart,21
contre,contre,81
les,le,71
chevaux,cheval,21
de,de,81
Chavigny,Chavigny,20
",",",",p
et,et,82
de,de,81
là,là,60
",",",",p
entre,entre,81
les,le,71
roues,roue,22
",",",",p
par,par,81
les,le,71
portières,portière,22
et,et,82
sous,sous,81
les,le,71
ressorts,ressort,21
",",",",p
les,le,52
accablaient,accabler,18
de,de,81
coups,coup,21
de,de,81
pistolet,pistolet,21
et,et,82
en,en,52
avaient,avoir,18
démonté,démonter,12
plusieurs,plusieurs,75
/.,/.,P
le,le,71
tumulte,tumulte,21
était,être,18
affreux,affreux,30
",",",",p
lorsque,lorsque,83
les,le,71
portes,porte,22
du,de,81
du,le,71
Louvre,Louvre,20
s',se,51
ouvrirent,ouvrir,19
tout,tout,60
à,à,81
coup,coup,21
",",",",p
et,et,82
deux,deux,72
escadrons,escadron,21
des,de,81
des,le,71
gardes,garde,21
du,de,81
du,le,71
corps,corps,21
sortirent,sortir,19
au,à,81
au,le,71
trot,trot,21
;,;,p
la,le,71
plupart,plupart,22
avaient,avoir,18
des,de,81
des,le,71
torches,torche,22
à,à,81
la,le,71
main,main,22
pour,pour,81
éclairer,éclairer,14
ceux,celui,52
qu',que,52
ils,ils,51
allaient,aller,18
attaquer,attaquer,14
et,et,82
eux-mêmes,eux-mêmes,51
/.,/.,P
la,le,71
scène,scène,22
changea,changer,19
/.,/.,P
à,à,81
mesure,mesure,22
que,que,52
les,le,71
gardes,garde,21
arrivaient,arriver,18
à,à,81
l',le,71
un,un,52
des,de,81
des,le,71
hommes,homme,21
à,à,81
pied,pied,21
",",",",p
on,on,51
voyait,voir,18
cet,ce,74
homme,homme,21
s',se,51
arrêter,arrêter,14
",",",",p
ôter,ôter,14
son,son,73
chapeau,chapeau,21
",",",",p
se,se,51
faire,faire,14
reconnaître,reconnaître,14
et,et,82
se,se,51
nommer,nommer,14
",",",",p
et,et,82
le,le,71
garde,garde,21
se,se,51
retirait,retirer,18
",",",",p
quelquefois,quelquefois,60
en,en,81
saluant,saluer,13
",",",",p
d',de,81
autres,autre,75
fois,fois,22
en,en,81
lui,lui,51
serrant,serrer,13
la,le,71
main,main,22
/.,/.,P
ce,ce,74
secours,secours,21
aux,à,81
aux,le,71
carrosses,carrosse,21
de,de,81
Chavigny,Chavigny,20
fut,être,19
donc,donc,82
à,à,81
peu,peu,60
près,près,81
inutile,inutile,30
et,et,82
ne,ne,60
servit,servir,19
qu',que,83
à,à,81
augmenter,augmenter,14
la,le,71
confusion,confusion,22
/.,/.,P
les,le,71
gardes,garde,21
du,de,81
du,le,71
corps,corps,21
",",",",p
comme,comme,83
pour,pour,81
l',le,71
acquit,acquit,21
de,de,81
leur,leur,73
conscience,conscience,22
",",",",p
parcouraient,parcourir,18
la,le,71
foule,foule,22
des,de,81
des,le,71
duellistes,duelliste,21
en,en,81
disant,dire,13
mollement,mollement,60
:,:,p
-,-,p
allons,aller,17
",",",",p
messieurs,monsieur,21
",",",",p
de,de,81
la,le,71
modération,modération,22
/.,/.,P
mais,mais,82
",",",",p
lorsque,lorsque,83
deux,deux,72
gentilshommes,gentilhomme,21
avaient,avoir,18
bien,bien,60
engagé,engager,12
le,le,71
fer,fer,21
et,et,82
se,se,51
trouvaient,trouver,18
bien,bien,60
acharnés,acharné,31
",",",",p
le,le,71
garde,garde,21
qui,qui,52
les,le,52
voyait,voir,18
s',se,51
arrêtait,arrêter,18
pour,pour,81
juger,juger,14
les,le,71
coups,coup,21
",",",",p
et,et,82
quelquefois,quelquefois,60
même,même,60
favorisait,favoriser,18
celui,celui,52
qu',que,52
il,il,51
pensait,penser,18
être,être,14
de,de,81
son,son,73
opinion,opinion,22
;,;,p
car,car,82
ce,ce,74
corps,corps,21
",",",",p
comme,comme,83
toute,tout,75
la,le,71
France,France,20
",",",",p
avait,avoir,18
ses,son,73
royalistes,royaliste,21
et,et,82
ses,son,73
cardinalistes,cardinaliste,21
/.,/.,P
les,le,71
fenêtres,fenêtre,22
du,de,81
du,le,71
Louvre,Louvre,20
s',se,51
éclairaient,éclairer,18
peu,peu,60
à,à,81
peu,peu,60
",",",",p
et,et,82
l',l',94
on,on,51
y,y,52
voyait,voir,18
beaucoup,beaucoup,60
de,de,81
têtes,tête,22
de,de,81
femmes,femme,22
derrière,derrière,81
les,le,71
petits,petit,30
carreaux,carreau,21
en,en,81
losanges,losange,21
",",",",p
attentives,attentif,30
à,à,81
contempler,contempler,14
le,le,71
combat,combat,21
/.,/.,P
de,de,81
nombreuses,nombreux,30
patrouilles,patrouille,22
de,de,81
Suisses,Suisse,20
sortirent,sortir,19
avec,avec,81
des,de,81
des,le,71
flambeaux,flambeau,21
;,;,p
on,on,51
distinguait,distinguer,18
ces,ce,74
soldats,soldat,21
à,à,81
leur,leur,73
étrange,étrange,30
uniforme,uniforme,21
/.,/.,P
ils,ils,51
portaient,porter,18
le,le,71
bras,bras,21
droit,droit,30
rayé,rayé,31
de,de,81
bleu,bleu,21
et,et,82
de,de,81
rouge,rouge,21
",",",",p
et,et,82
le,le,71
bas,bas,21
de,de,81
soie,soie,22
de,de,81
leur,leur,73
jambe,jambe,22
droite,droit,30
était,être,18
rouge,rouge,30
;,;,p
le,le,71
côté,côté,21
gauche,gauche,30
rayé,rayer,12
de,de,81
bleu,bleu,21
",",",",p
rouge,rouge,21
et,et,82
blanc,blanc,21
",",",",p
et,et,82
le,le,71
bas,bas,21
blanc,blanc,30
et,et,82
rouge,rouge,30
/.,/.,P
on,on,51
avait,avoir,18
espéré,espérer,12
",",",",p
sans,sans,81
doute,doute,21
",",",",p
au,à,81
au,le,71
château,château,21
royal,royal,30
",",",",p
que,que,83
cette,ce,74
troupe,troupe,22
étrangère,étranger,30
pourrait,pouvoir,16
dissiper,dissiper,14
l',le,71
attroupement,attroupement,21
;,;,p
mais,mais,82
on,on,51
se,se,51
trompa,tromper,19
/.,/.,P
ces,ce,74
impassibles,impassible,30
soldats,soldat,21
",",",",p
suivant,suivre,13
froidement,froidement,60
",",",",p
exactement,exactement,60
et,et,82
sans,sans,81
les,le,52
dépasser,dépasser,14
",",",",p
les,le,71
ordres,ordre,21
qu',que,52
on,on,51
leur,leur,52
avait,avoir,18
donnés,donner,12
",",",",p
circulèrent,circuler,19
avec,avec,81
symétrie,symétrie,22
entre,entre,81
les,le,71
groupes,groupe,21
armés,armé,31
qu',que,52
ils,ils,51
divisaient,diviser,18
un,un,71
moment,moment,21
",",",",p
vinrent,venir,19
se,se,51
réunir,réunir,14
devant,devant,81
la,le,71
grille,grille,22
avec,avec,81
une,un,71
précision,précision,22
parfaite,parfait,31
",",",",p
et,et,82
rentrèrent,rentrer,19
en,en,81
ordre,ordre,21
comme,comme,83
à,à,81
la,le,71
manoeuvre,manoeuvre,22
",",",",p
sans,sans,81
s',se,51
informer,informer,14
si,si,83
les,le,71
ennemis,ennemi,21
à,à,81
travers,travers,21
lesquels,lequel,52
ils,ils,51
étaient,être,18
passés,passer,12
s',se,51
étaient,être,18
rejoints,rejoindre,12
ou,ou,82
non,non,60
/.,/.,P
mais,mais,82
le,le,71
bruit,bruit,21
",",",",p
un,un,71
moment,moment,21
apaisé,apaisé,31
",",",",p
redevint,redevenir,19
général,général,21
à,à,81
force,force,22
d',de,81
explications,explication,22
particulières,particulier,30
/.,/.,P
on,on,51
entendait,entendre,18
partout,partout,60
des,de,81
des,le,71
appels,appel,21
",",",",p
des,de,81
des,le,71
injures,injure,22
et,et,82
des,de,81
des,le,71
imprécations,imprécation,22
;,;,p
il,il,51
ne,ne,60
semblait,sembler,18
pas,pas,60
que,que,83
rien,rien,52
pût,pouvoir,18
faire,faire,14
cesser,cesser,14
ce,ce,74
combat,combat,21
que,que,83
la,le,71
destruction,destruction,22
de,de,81
l',le,71
un,un,52
des,de,81
des,le,71
deux,deux,72
partis,parti,21
",",",",p
lorsque,lorsque,83
des,de,81
des,le,71
cris,cri,21
",",",",p
ou,ou,82
plutôt,plutôt,60
des,de,81
des,le,71
hurlements,hurlement,21
affreux,affreux,30
",",",",p
vinrent,venir,19
mettre,mettre,14
le,le,71
comble,comble,21
au,à,81
au,le,71
tumulte,tumulte,21
/.,/.,P
l',le,71
abbé,abbé,21
de,de,81
Gondi,Gondi,20
",",",",p
alors,alors,60
occupé,occupé,31
à,à,81
tirer,tirer,14
un,un,71
cavalier,cavalier,21
par,par,81
son,son,73
manteau,manteau,21
pour,pour,81
le,le,52
faire,faire,14
tomber,tomber,14
",",",",p
s',se,51
écria,écrier,19
:,:,p
-,-,p
voilà,voilà,81
mes,mon,73
gens,gens,21
/!,/!,P
Fontrailles,Fontrailles,20
",",",",p
vous,vous,51
allez,aller,17
en,en,52
voir,voir,14
de,de,81
belles,beau,30
;,;,p
voyez,voir,17
",",",",p
voyez,voir,17
déjà,déjà,60
comme,comme,83
cela,cela,52
court,courir,17
!,!,p
c',ce,52
est,être,17
charmant,charmant,30
",",",",p
vraiment,vraiment,60
/!,/!,P
et,et,82
il,il,51
lâcha,lâcher,19
prise,prise,22
et,et,82
monta,monter,19
sur,sur,81
une,un,71
pierre,pierre,22
pour,pour,81
considérer,considérer,14
les,le,71
manoeuvres,manoeuvre,22
de,de,81
ses,son,73
troupes,troupe,22
",",",",p
croisant,croiser,13
ses,son,73
bras,bras,21
avec,avec,81
l',le,71
importance,importance,22
d',de,81
un,un,71
général,général,21
d',de,81
armée,armée,22
/.,/.,P
le,le,71
jour,jour,21
commençait,commencer,18
à,à,81
poindre,poindre,14
",",",",p
et,et,82
l',l',94
on,on,51
vit,voir,19
que,que,83
du,de,81
du,le,71
bout,bout,21
de,de,81
l',le,71
île,île,22
Saint-Louis,Saint-Louis,20
accourait,accourir,18
en,en,81
effet,effet,21
une,un,71
foule,foule,22
d',de,81
hommes,homme,21
",",",",p
de,de,81
femmes,femme,22
et,et,82
d',de,81
enfants,enfant,21
de,de,81
la,le,71
lie,lie,22
du,de,81
du,le,71
peuple,peuple,21
",",",",p
poussant,pousser,13
au,à,81
au,le,71
ciel,ciel,21
et,et,82
vers,vers,81
le,le,71
Louvre,Louvre,20
d',de,81
étranges,étrange,30
vociférations,vocifération,22
/.,/.,P
des,de,81
des,le,71
filles,fille,22
portaient,porter,18
de,de,81
longues,long,30
épées,épée,22
",",",",p
des,de,81
des,le,71
enfants,enfant,21
traînaient,traîner,18
d',de,81
immenses,immense,30
hallebardes,hallebarde,22
et,et,82
des,de,81
des,le,71
piques,pique,22
damasquinées,damasquiné,31
du,de,81
du,le,71
temps,temps,21
de,de,81
la,le,71
ligue,ligue,22
;,;,p
des,de,81
des,le,71
vieilles,vieille,22
en,en,81
haillons,haillon,21
tiraient,tirer,18
après,après,81
elles,ils,51
",",",",p
avec,avec,81
des,de,81
des,le,71
cordes,corde,22
",",",",p
des,de,81
des,le,71
charrettes,charrette,22
pleines,plein,30
d',de,81
anciennes,ancien,30
armes,arme,22
rouillées,rouillé,31
et,et,82
rompues,rompu,31
;,;,p
des,de,81
des,le,71
ouvriers,ouvrier,21
de,de,81
tous,tout,75
les,le,71
métiers,métier,21
",",",",p
ivres,ivre,30
pour,pour,81
la,le,71
plupart,plupart,22
",",",",p
les,le,52
suivaient,suivre,18
avec,avec,81
des,de,81
des,le,71
bâtons,bâton,21
",",",",p
des,de,81
des,le,71
fourches,fourche,22
",",",",p
des,de,81
des,le,71
lances,lance,22
",",",",p
des,de,81
des,le,71
pelles,pelle,22
",",",",p
des,de,81
des,le,71
torches,torche,22
",",",",p
des,de,81
des,le,71
pieux,pieu,21
",",",",p
des,de,81
des,le,71
crocs,croc,21
",",",",p
des,de,81
des,le,71
leviers,levier,21
",",",",p
des,de,81
des,le,71
sabres,sabre,21
et,et,82
des,de,81
des,le,71
broches,broche,22
aiguës,aigu,30
;,;,p
ils,ils,51
chantaient,chanter,18
et,et,82
hurlaient,hurler,18
tour,tour,21
à,à,81
tour,tour,21
",",",",p
contrefaisant,contrefaire,13
avec,avec,81
des,de,81
des,le,71
rires,rire,21
atroces,atroce,30
les,le,71
miaulements,miaulement,21
du,de,81
du,le,71
chat,chat,21
",",",",p
et,et,82
portant,porter,13
",",",",p
comme,comme,83
un,un,71
drapeau,drapeau,21
",",",",p
un,un,52
de,de,81
ces,ce,74
animaux,animal,21
pendu,pendu,31
au,à,81
au,le,71
bout,bout,21
d',de,81
une,un,71
perche,perche,22
et,et,82
enveloppé,enveloppé,31
dans,dans,81
un,un,71
lambeau,lambeau,21
rouge,rouge,30
",",",",p
figurant,figurer,13
ainsi,ainsi,60
le,le,71
cardinal,cardinal,21
",",",",p
dont,dont,52
le,le,71
goût,goût,21
pour,pour,81
les,le,71
chats,chat,21
était,être,18
connu,connaître,12
généralement,généralement,60
/.,/.,P
des,de,81
des,le,71
crieurs,crieur,21
publics,public,30
couraient,courir,18
",",",",p
-,-,p
tout,tout,60
rouges,rouge,30
et,et,82
haletants,haletant,30
",",",",p
semer,semer,14
sur,sur,81
les,le,71
ruisseaux,ruisseau,21
et,et,82
les,le,71
pavés,pavé,21
",",",",p
coller,coller,14
sur,sur,81
les,le,71
parapets,parapet,21
",",",",p
les,le,71
bornes,borne,22
",",",",p
les,le,71
murs,mur,21
des,de,81
des,le,71
maisons,maison,22
et,et,82
du,de,81
du,le,71
palais,palais,21
même,même,30
",",",",p
de,de,81
longues,long,30
histoires,histoire,22
satiriques,satirique,30
en,en,81
petits,petit,30
vers,vers,21
",",",",p
faites,fait,31
sur,sur,81
les,le,71
personnages,personnage,21
du,de,81
du,le,71
temps,temps,21
;,;,p
des,de,81
des,le,71
garçons,garçon,21
bouchers,boucher,21
et,et,82
des,de,81
des,le,71
mariniers,marinier,21
portant,porter,13
de,de,81
larges,large,30
coutelas,coutelas,21
battaient,battre,18
la,le,71
charge,charge,22
sur,sur,81
des,de,81
des,le,71
chaudrons,chaudron,21
",",",",p
et,et,82
traînaient,traîner,18
dans,dans,81
la,le,71
boue,boue,22
un,un,71
porc,porc,21
nouvellement,nouvellement,60
égorgé,égorgé,31
",",",",p
coiffé,coiffé,31
de,de,81
la,le,71
calotte,calotte,22
rouge,rouge,30
d',de,81
un,un,71
enfant,enfant,21
de,de,81
choeur,choeur,21
/.,/.,P
de,de,81
jeunes,jeune,30
et,et,82
vigoureux,vigoureux,30
drôles,drôle,21
",",",",p
vêtus,vêtu,31
en,en,81
femmes,femme,22
et,et,82
enluminés,enluminé,31
d',de,81
un,un,71
grossier,grossier,30
vermillon,vermillon,21
",",",",p
criaient,crier,18
d',de,81
une,un,71
voix,voix,22
forcenée,forcené,30
:,:,p
nous,nous,51
sommes,être,17
des,de,81
des,le,71
mères,mère,22
de,de,81
famille,famille,22
ruinées,ruiné,31
par,par,81
Richelieu,Richelieu,20
:,:,p
mort,mort,22
au,à,81
au,le,71
cardinal,cardinal,21
/!,/!,P
ils,ils,51
portaient,porter,18
dans,dans,81
leurs,leur,73
bras,bras,21
des,de,81
des,le,71
nourrissons,nourrisson,21
de,de,81
paille,paille,22
qu',que,52
ils,ils,51
faisaient,faire,18
le,le,71
geste,geste,21
de,de,81
jeter,jeter,14
à,à,81
la,le,71
rivière,rivière,22
",",",",p
et,et,82
les,le,52
y,y,52
jetaient,jeter,18
en,en,81
effet,effet,21
/.,/.,P
lorsque,lorsque,83
cette,ce,74
dégoûtante,dégoûtant,30
cohue,cohue,22
eut,avoir,19
inondé,inonder,12
les,le,71
quais,quai,21
de,de,81
ses,son,73
milliers,millier,21
d',de,81
individus,individu,21
infernaux,infernal,30
",",",",p
elle,il,51
produisit,produire,19
un,un,71
effet,effet,21
étrange,étrange,30
sur,sur,81
les,le,71
combattants,combattant,21
",",",",p
et,et,82
tout,tout,60
à,à,81
fait,fait,21
contraire,contraire,30
à,à,81
ce,ce,52
qu',que,52
en,en,52
attendait,attendre,18
leur,leur,73
patron,patron,21
/.,/.,P
les,le,71
ennemis,ennemi,21
de,de,81
chaque,chaque,75
faction,faction,22
abaissèrent,abaisser,19
leurs,leur,73
armes,arme,22
et,et,82
se,se,51
séparèrent,séparer,19
/.,/.,P
ceux,celui,52
de,de,81
monsieur,monsieur,21
et,et,82
de,de,81
Cinq-Mars,Cinq-Mars,20
furent,être,19
révoltés,révolter,12
de,de,81
se,se,51
voir,voir,14
secourus,secouru,31
par,par,81
de,de,81
tels,tel,75
auxiliaires,auxiliaire,21
",",",",p
et,et,82
",",",",p
aidant,aider,13
eux-mêmes,eux-mêmes,51
les,le,71
gentilshommes,gentilhomme,21
du,de,81
du,le,71
cardinal,cardinal,21
à,à,81
remonter,remonter,14
à,à,81
cheval,cheval,21
et,et,82
en,en,81
voiture,voiture,22
",",",",p
leurs,leur,73
valets,valet,21
à,à,81
y,y,52
porter,porter,14
les,le,71
blessés,blessé,21
",",",",p
donnèrent,donner,19
des,de,81
des,le,71
rendez-vous,rendez-vous,21
particuliers,particulier,30
à,à,81
leurs,leur,73
adversaires,adversaire,21
pour,pour,81
vider,vider,14
leur,leur,73
querelle,querelle,22
sur,sur,81
un,un,71
terrain,terrain,21
plus,plus,60
secret,secret,30
et,et,82
plus,plus,60
digne,digne,30
d',de,81
eux,ils,51
/.,/.,P
rougissant,rougir,13
de,de,81
la,le,71
supériorité,supériorité,22
du,de,81
du,le,71
nombre,nombre,21
et,et,82
des,de,81
des,le,71
ignobles,ignoble,30
troupes,troupe,22
qu',que,52
ils,ils,51
semblaient,sembler,18
commander,commander,14
",",",",p
entrevoyant,entrevoir,13
",",",",p
peut-être,peut-être,60
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
",",",",p
les,le,71
funestes,funeste,30
conséquences,conséquence,22
de,de,81
leurs,leur,73
jeux,jeu,21
politiques,politique,30
",",",",p
et,et,82
voyant,voir,13
quel,quel,52
était,être,18
le,le,71
limon,limon,21
qu',que,52
ils,ils,51
venaient,venir,18
de,de,81
remuer,remuer,14
",",",",p
ils,ils,51
se,se,51
divisèrent,diviser,19
pour,pour,81
se,se,51
retirer,retirer,14
",",",",p
enfonçant,enfoncer,13
leurs,leur,73
chapeaux,chapeau,21
larges,large,30
sur,sur,81
leurs,leur,73
yeux,oeil,21
",",",",p
jetant,jeter,13
leurs,leur,73
manteaux,manteau,21
sur,sur,81
leurs,leur,73
épaules,épaule,22
",",",",p
et,et,82
redoutant,redouter,13
le,le,71
jour,jour,21
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
tout,tout,52
dérangé,déranger,12
",",",",p
mon,mon,73
cher,cher,30
abbé,abbé,21
",",",",p
avec,avec,81
cette,ce,74
canaille,canaille,22
",",",",p
dit,dire,19
Fontrailles,Fontrailles,20
",",",",p
en,en,81
frappant,frapper,13
du,de,81
du,le,71
pied,pied,21
",",",",p
à,à,81
Gondi,Gondi,20
",",",",p
qui,qui,52
se,se,51
trouvait,trouver,18
assez,assez,60
interdit,interdit,31
;,;,p
votre,votre,73
bonhomme,bonhomme,21
d',de,81
oncle,oncle,21
a,avoir,17
là,là,60
de,de,81
jolis,joli,30
paroissiens,paroissien,21
/!,/!,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
ma,mon,73
faute,faute,22
",",",",p
reprit,reprendre,19
cependant,cependant,82
Gondi,Gondi,20
d',de,81
un,un,71
ton,ton,21
mutin,mutin,30
;,;,p
c',ce,52
est,être,17
que,que,83
ces,ce,74
idiots,idiot,21
sont,être,17
arrivés,arriver,12
une,un,71
heure,heure,22
trop,trop,60
tard,tard,60
;,;,p
s',si,83
ils,ils,51
fussent,être,18
venus,venir,12
à,à,81
la,le,71
nuit,nuit,22
",",",",p
on,on,51
ne,ne,60
les,le,52
aurait,avoir,16
pas,pas,60
vus,voir,12
",",",",p
ce,ce,52
qui,qui,52
les,le,52
gâte,gâter,17
un,un,71
peu,peu,60
",",",",p
à,à,81
dire,dire,14
le,le,71
vrai,vrai,30
(,(,p
car,car,82
j',je,51
avoue,avouer,17
que,que,83
le,le,71
grand,grand,30
jour,jour,21
leur,leur,52
fait,faire,17
tort,tort,21
),),p
",",",",p
et,et,82
on,on,51
n',ne,60
aurait,avoir,16
entendu,entendre,12
que,que,83
la,le,71
voix,voix,22
du,de,81
du,le,71
peuple,peuple,21
:,:,p
vox,vox,92
populi,populi,92
",",",",p
vox,vox,92
dei,dei,92
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
tant,tant,60
de,de,81
mal,mal,21
;,;,p
ils,ils,51
vont,aller,17
