11443
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-cinquième extrait>,<>,<>
vous,vous,51
pas,pas,60
un,un,71
souvenir,souvenir,21
",",",",p
pas,pas,60
une,un,71
larme,larme,22
pour,pour,81
celle,celui,52
qui,qui,52
portait,porter,18
cet,ce,74
anneau,anneau,21
/?,/?,P
Raymon,Raymon,20
se,se,51
laissa,laisser,19
tomber,tomber,14
sur,sur,81
une,un,71
chaise,chaise,22
;,;,p
les,le,71
cheveux,cheveu,21
de,de,81
Noun,Noun,20
échappèrent,échapper,19
à,à,81
sa,son,73
main,main,22
tremblante,tremblant,30
/.,/.,P
tant,tant,60
d',de,81
émotions,émotion,22
pénibles,pénible,30
l',le,52
avaient,avoir,18
épuisé,épuiser,12
/.,/.,P
c',ce,52
était,être,18
un,un,71
homme,homme,21
bilieux,bilieux,30
",",",",p
dont,dont,52
le,le,71
sang,sang,21
",",",",p
circulait,circuler,18
vite,vite,60
",",",",p
dont,dont,52
les,le,71
nerfs,nerf,21
s',se,51
irritaient,irriter,18
profondément,profondément,60
/.,/.,P
il,il,51
frissonna,frissonner,19
de,de,81
la,le,71
tête,tête,22
aux,à,81
aux,le,71
pieds,pied,21
",",",",p
et,et,82
roula,rouler,19
évanoui,évanoui,31
sur,sur,81
le,le,71
parquet,parquet,21
/.,/.,P
quand,quand,83
il,il,51
revint,revenir,19
à,à,81
lui,lui,51
",",",",p
madame,madame,22
Delmare,Delmare,20
",",",",p
à,à,81
genoux,genou,21
près,près,81
de,de,81
lui,lui,51
",",",",p
l',le,52
arrosait,arroser,18
de,de,81
larmes,larme,22
et,et,82
lui,lui,51
demandait,demander,18
grâce,grâce,22
;,;,p
mais,mais,82
Raymon,Raymon,20
ne,ne,60
l',le,52
aimait,aimer,18
plus,plus,60
/.,/.,P
-,-,p
vous,vous,51
m',je,51
avez,avoir,17
fait,faire,12
un,un,71
mal,mal,21
horrible,horrible,30
",",",",p
lui,lui,51
dit,dire,19
il,il,51
;,;,p
un,un,71
mal,mal,21
qu',que,52
il,il,51
n',ne,60
est,être,17
pas,pas,60
en,en,81
votre,votre,73
pouvoir,pouvoir,21
de,de,81
réparer,réparer,14
/.,/.,P
vous,vous,51
ne,ne,60
me,je,51
rendrez,rendre,15
jamais,jamais,60
",",",",p
je,je,51
le,le,52
sens,sentir,17
",",",",p
la,le,71
confiance,confiance,22
que,que,52
j',je,51
avais,avoir,18
en,en,81
votre,votre,73
coeur,coeur,21
/.,/.,P
vous,vous,51
venez,venir,17
de,de,81
me,je,51
montrer,montrer,14
combien,combien,60
il,il,51
renferme,renfermer,17
de,de,81
vengeance,vengeance,22
et,et,82
de,de,81
cruauté,cruauté,22
/.,/.,P
pauvre,pauvre,30
Noun,Noun,20
!,!,p
pauvre,pauvre,30
fille,fille,22
infortunée,infortuné,30
!,!,p
c',ce,52
est,être,17
envers,envers,81
elle,il,51
que,que,83
j',je,51
ai,avoir,17
eu,avoir,12
des,de,81
des,le,71
torts,tort,21
",",",",p
et,et,82
non,non,60
envers,envers,81
vous,vous,51
;,;,p
c',ce,52
est,être,17
elle,il,51
qui,qui,52
avait,avoir,18
le,le,71
droit,droit,21
de,de,81
se,se,51
venger,venger,14
",",",",p
et,et,82
qui,qui,52
ne,ne,60
l',le,52
a,avoir,17
pas,pas,60
fait,faire,12
/.,/.,P
elle,il,51
s',se,51
est,être,17
tuée,tuer,12
",",",",p
afin,afin,81
de,de,81
me,je,51
laisser,laisser,14
l',le,71
avenir,avenir,21
/.,/.,P
elle,il,51
a,avoir,17
sacrifié,sacrifier,12
sa,son,73
vie,vie,22
à,à,81
mon,mon,73
repos,repos,21
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
vous,vous,51
",",",",p
madame,madame,22
",",",",p
qui,qui,52
en,en,52
eussiez,avoir,18
fait,faire,12
autant,autant,60
!,!,p
/…,/…,P
donnez,donner,17
les,le,52
moi,moi,51
",",",",p
ces,ce,74
cheveux,cheveu,21
",",",",p
ils,ils,51
sont,être,17
à,à,81
moi,moi,51
",",",",p
ils,ils,51
m',je,51
appartiennent,appartenir,17
;,;,p
c',ce,52
est,être,17
le,le,71
seul,seul,30
bien,bien,21
qui,qui,52
me,je,51
reste,rester,17
de,de,81
la,le,71
seule,seul,30
femme,femme,22
qui,qui,52
m',je,51
ait,avoir,17
vraiment,vraiment,60
aimé,aimer,12
/…,/…,P
malheureuse,malheureux,30
Noun,Noun,20
!,!,p
tu,tu,51
étais,être,18
digne,digne,30
d',de,81
un,un,71
autre,autre,75
amour,amour,21
/!,/!,P
et,et,82
c',ce,52
est,être,17
vous,vous,51
",",",",p
madame,madame,22
",",",",p
qui,qui,52
me,je,51
reprochez,reprocher,17
sa,son,73
mort,mort,22
",",",",p
vous,vous,51
que,que,52
j',je,51
ai,avoir,17
aimée,aimer,12
au,à,81
au,le,71
point,point,21
de,de,81
l',le,52
oublier,oublier,14
",",",",p
au,à,81
au,le,71
point,point,21
d',de,81
affronter,affronter,14
les,le,71
tortures,torture,22
affreuses,affreux,30
du,de,81
du,le,71
remords,remords,21
;,;,p
vous,vous,51
qui,qui,52
",",",",p
sur,sur,81
la,le,71
foi,foi,22
d',de,81
un,un,71
baiser,baiser,21
",",",",p
m',je,51
avez,avoir,17
fait,faire,12
traverser,traverser,14
cette,ce,74
rivière,rivière,22
et,et,82
franchir,franchir,14
ce,ce,74
pont,pont,21
",",",",p
seul,seul,30
",",",",p
avec,avec,81
la,le,71
terreur,terreur,22
à,à,81
mes,mon,73
côtés,côté,21
",",",",p
poursuivi,poursuivi,31
par,par,81
les,le,71
illusions,illusion,22
infernales,infernal,30
de,de,81
mon,mon,73
crime,crime,21
/!,/!,P
et,et,82
",",",",p
quand,quand,83
vous,vous,51
découvrez,découvrir,17
avec,avec,81
quelle,quel,75
passion,passion,22
délirante,délirant,30
je,je,51
vous,vous,51
aime,aimer,17
",",",",p
vous,vous,51
enfoncez,enfoncer,17
vos,votre,73
ongles,ongle,21
de,de,81
femme,femme,22
dans,dans,81
mon,mon,73
coeur,coeur,21
",",",",p
afin,afin,81
d',de,81
y,y,52
chercher,chercher,14
un,un,71
reste,reste,21
de,de,81
sang,sang,21
qui,qui,52
puisse,pouvoir,17
couler,couler,14
encore,encore,60
pour,pour,81
vous,vous,51
/!,/!,P
ah,ah,93
!,!,p
quand,quand,83
j',je,51
ai,avoir,17
dédaigné,dédaigner,12
un,un,71
amour,amour,21
si,si,60
dévoué,dévoué,31
pour,pour,81
rechercher,rechercher,14
un,un,71
amour,amour,21
si,si,60
féroce,féroce,30
",",",",p
j',je,51
étais,être,18
aussi,aussi,60
insensé,insensé,30
que,que,83
coupable,coupable,30
/.,/.,P
madame,madame,22
Delmare,Delmare,20
ne,ne,60
répondit,répondre,19
rien,rien,52
/.,/.,P
immobile,immobile,30
",",",",p
pâle,pâle,30
",",",",p
avec,avec,81
ses,son,73
cheveux,cheveu,21
épars,épars,30
et,et,82
ses,son,73
yeux,oeil,21
fixes,fixe,30
",",",",p
elle,il,51
fit,faire,19
pitié,pitié,22
à,à,81
Raymon,Raymon,20
/.,/.,P
il,il,51
prit,prendre,19
sa,son,73
main,main,22
/.,/.,P
-,-,p
et,et,82
pourtant,pourtant,60
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
cet,ce,74
amour,amour,21
que,que,52
j',je,51
ai,avoir,17
pour,pour,81
toi,toi,51
est,être,17
si,si,60
aveugle,aveugle,30
",",",",p
que,que,83
je,je,51
puis,pouvoir,17
encore,encore,60
oublier,oublier,14
",",",",p
je,je,51
le,le,52
sens,sentir,17
",",",",p
malgré,malgré,81
moi,moi,51
",",",",p
et,et,82
le,le,71
passé,passé,21
",",",",p
et,et,82
le,le,71
présent,présent,21
",",",",p
et,et,82
le,le,71
forfait,forfait,21
qui,qui,52
a,avoir,17
flétri,flétrir,12
ma,mon,73
vie,vie,22
",",",",p
et,et,82
le,le,71
crime,crime,21
que,que,52
tu,tu,51
viens,venir,17
de,de,81
commettre,commettre,14
/.,/.,P
aime,aimer,17
moi,moi,51
encore,encore,60
",",",",p
et,et,82
je,je,51
te,tu,51
pardonne,pardonner,17
/.,/.,P
le,le,71
désespoir,désespoir,21
de,de,81
madame,madame,22
Delmare,Delmare,20
réveilla,réveiller,19
le,le,71
désir,désir,21
avec,avec,81
l',le,71
orgueil,orgueil,21
dans,dans,81
le,le,71
coeur,coeur,21
de,de,81
son,son,73
amant,amant,21
/.,/.,P
en,en,81
la,le,52
voyant,voir,13
si,si,60
effrayée,effrayé,31
de,de,81
perdre,perdre,14
son,son,73
amour,amour,21
",",",",p
si,si,60
humble,humble,30
devant,devant,81
lui,lui,51
",",",",p
si,si,60
résignée,résigné,31
à,à,81
accepter,accepter,14
ses,son,73
lois,loi,22
pour,pour,81
l',le,71
avenir,avenir,21
comme,comme,83
des,de,81
des,le,71
justifications,justification,22
du,de,81
du,le,71
passé,passé,21
",",",",p
il,il,51
se,se,51
rappela,rappeler,19
dans,dans,81
quelles,quel,75
intentions,intention,22
il,il,51
avait,avoir,18
trompé,tromper,12
la,le,71
vigilance,vigilance,22
de,de,81
Ralph,Ralph,20
",",",",p
et,et,82
comprit,comprendre,19
tous,tout,75
les,le,71
avantages,avantage,21
de,de,81
sa,son,73
position,position,22
/.,/.,P
il,il,51
affecta,affecter,19
quelques,quelque,75
instants,instant,21
une,un,71
profonde,profond,30
tristesse,tristesse,22
",",",",p
une,un,71
rêverie,rêverie,22
sombre,sombre,30
;,;,p
il,il,51
répondit,répondre,19
à,à,81
peine,peine,22
aux,à,81
aux,le,71
larmes,larme,22
et,et,82
aux,à,81
aux,le,71
caresses,caresse,22
d',de,81
Indiana,Indiana,20
;,;,p
il,il,51
attendit,attendre,19
que,que,83
son,son,73
coeur,coeur,21
se,se,51
fût,être,19
brisé,briser,12
dans,dans,81
les,le,71
sanglots,sanglot,21
",",",",p
qu',que,83
elle,il,51
eût,avoir,19
entrevu,entrevoir,12
toute,tout,75
l',le,71
horreur,horreur,22
de,de,81
l',le,71
abandon,abandon,21
",",",",p
qu',que,83
elle,il,51
eût,avoir,19
usé,user,12
toute,tout,75
sa,son,73
force,force,22
en,en,81
déchirantes,déchirant,30
frayeurs,frayeur,22
;,;,p
et,et,82
alors,alors,60
",",",",p
quand,quand,83
il,il,51
la,le,52
vit,voir,19
à,à,81
ses,son,73
genoux,genou,21
",",",",p
mourante,mourant,30
",",",",p
épuisée,épuisé,31
",",",",p
attendant,attendre,13
la,le,71
mort,mort,22
d',de,81
un,un,71
mot,mot,21
",",",",p
il,il,51
la,le,52
saisit,saisir,19
dans,dans,81
ses,son,73
bras,bras,21
avec,avec,81
une,un,71
rage,rage,22
convulsive,convulsif,30
et,et,82
l',le,52
attira,attirer,19
sur,sur,81
sa,son,73
poitrine,poitrine,22
/.,/.,P
elle,il,51
céda,céder,19
comme,comme,83
une,un,71
faible,faible,30
enfant,enfant,21
;,;,p
elle,il,51
lui,lui,51
abandonna,abandonner,19
ses,son,73
lèvres,lèvre,22
sans,sans,81
résistance,résistance,22
/.,/.,P
elle,il,51
était,être,18
presque,presque,60
morte,mourir,12
/.,/.,P
mais,mais,82
tout,tout,60
à,à,81
coup,coup,21
",",",",p
s',se,51
éveillant,éveiller,13
comme,comme,83
d',de,81
un,un,71
rêve,rêve,21
",",",",p
elle,il,51
s',se,51
arracha,arracher,19
à,à,81
ses,son,73
brûlantes,brûlant,30
caresses,caresse,22
",",",",p
s',se,51
enfuit,enfuir,17
au,à,81
au,le,71
bout,bout,21
de,de,81
la,le,71
chambre,chambre,22
",",",",p
à,à,81
l',le,71
endroit,endroit,21
où,où,60
le,le,71
portrait,portrait,21
de,de,81
sir,sir,92
Ralph,Ralph,20
remplissait,remplir,18
le,le,71
panneau,panneau,21
;,;,p
et,et,82
",",",",p
comme,comme,83
si,si,83
elle,il,51
se,se,51
fût,être,19
mise,mettre,12
sous,sous,81
la,le,71
protection,protection,22
de,de,81
ce,ce,74
personnage,personnage,21
grave,grave,30
",",",",p
au,à,81
au,le,71
front,front,21
pur,pur,30
",",",",p
aux,à,81
aux,le,71
lèvres,lèvre,22
calmes,calme,30
",",",",p
elle,il,51
se,se,51
serra,serrer,19
contre,contre,81
lui,lui,51
",",",",p
palpitante,palpitant,30
",",",",p
égarée,égaré,31
",",",",p
et,et,82
saisie,saisi,31
d',de,81
une,un,71
étrange,étrange,30
frayeur,frayeur,22
/.,/.,P
c',ce,52
est,être,17
ce,ce,52
qui,qui,52
fit,faire,19
penser,penser,14
à,à,81
Raymon,Raymon,20
qu',que,83
elle,il,51
s',se,51
était,être,18
émue,émouvoir,12
dans,dans,81
ses,son,73
bras,bras,21
",",",",p
qu',que,52
elle,il,51
avait,avoir,18
peur,peur,22
d',de,81
elle-même,lui-même,51
",",",",p
qu',que,52
elle,il,51
était,être,18
à,à,81
lui,lui,51
/.,/.,P
il,il,51
courut,courir,19
vers,vers,81
elle,il,51
",",",",p
l',le,52
arracha,arracher,19
avec,avec,81
autorité,autorité,22
de,de,81
sa,son,73
retraite,retraite,22
",",",",p
lui,lui,51
déclara,déclarer,19
qu',que,83
il,il,51
était,être,18
venu,venir,12
avec,avec,81
l',le,71
intention,intention,22
de,de,81
tenir,tenir,14
ses,son,73
promesses,promesse,22
",",",",p
mais,mais,82
que,que,83
sa,son,73
cruauté,cruauté,22
envers,envers,81
lui,lui,51
l',le,52
avait,avoir,18
affranchi,affranchir,12
de,de,81
ses,son,73
serments,serment,21
/.,/.,P
-,-,p
je,je,51
ne,ne,60
suis,être,17
plus,plus,60
maintenant,maintenant,60
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
ni,ni,82
votre,votre,73
esclave,esclave,21
ni,ni,82
votre,votre,73
allié,allié,21
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
plus,plus,60
que,que,83
l',le,71
homme,homme,21
qui,qui,52
vous,vous,51
aime,aimer,17
éperdument,éperdument,60
et,et,82
qui,qui,52
vous,vous,51
tient,tenir,17
dans,dans,81
ses,son,73
bras,bras,21
",",",",p
méchante,méchant,30
",",",",p
capricieuse,capricieux,30
",",",",p
cruelle,cruel,30
",",",",p
mais,mais,82
belle,beau,30
",",",",p
folle,fou,30
et,et,82
adorée,adoré,31
/.,/.,P
avec,avec,81
des,de,81
des,le,71
paroles,parole,22
de,de,81
douceur,douceur,22
et,et,82
de,de,81
confiance,confiance,22
",",",",p
vous,vous,51
eussiez,avoir,18
maîtrisé,maîtriser,12
mon,mon,73
sang,sang,21
;,;,p
calme,calme,30
et,et,82
généreuse,généreux,30
comme,comme,83
hier,hier,60
",",",",p
vous,vous,51
m',je,51
eussiez,avoir,18
fait,faire,12
doux,doux,30
et,et,82
résigné,résigner,12
comme,comme,83
à,à,81
l',le,71
ordinaire,ordinaire,22
/.,/.,P
mais,mais,82
vous,vous,51
avez,avoir,17
remué,remuer,12
toutes,tout,75
mes,mon,73
passions,passion,22
",",",",p
bouleversé,bouleverser,12
toutes,tout,75
mes,mon,73
idées,idée,22
;,;,p
vous,vous,51
m',je,51
avez,avoir,17
fait,faire,12
tour,tour,21
à,à,81
tour,tour,21
malheureux,malheureux,30
",",",",p
poltron,poltron,21
",",",",p
malade,malade,30
",",",",p
furieux,furieux,30
",",",",p
désespéré,désespérer,12
/.,/.,P
il,il,51
faut,falloir,17
me,je,51
faire,faire,14
heureux,heureux,30
maintenant,maintenant,60
",",",",p
ou,ou,82
je,je,51
sens,sentir,17
que,que,83
je,je,51
ne,ne,60
puis,pouvoir,17
plus,plus,60
croire,croire,14
en,en,81
vous,vous,51
",",",",p
que,que,83
je,je,51
ne,ne,60
puis,pouvoir,17
plus,plus,60
vous,vous,51
aimer,aimer,14
",",",",p
vous,vous,51
bénir,bénir,14
/.,/.,P
pardon,pardon,21
",",",",p
Indiana,Indiana,20
",",",",p
pardon,pardon,21
!,!,p
si,si,83
je,je,51
t',tu,51
effraye,effrayer,17
",",",",p
c',ce,52
est,être,17
ta,ton,73
faute,faute,22
;,;,p
tu,tu,51
m',je,51
as,avoir,17
fait,faire,12
tant,tant,60
souffrir,souffrir,14
",",",",p
que,que,83
j',je,51
ai,avoir,17
perdu,perdre,12
la,le,71
raison,raison,22
/!,/!,P
Indiana,Indiana,20
tremblait,trembler,18
de,de,81
tous,tout,75
ses,son,73
membres,membre,21
/.,/.,P
elle,il,51
ignorait,ignorer,18
la,le,71
vie,vie,22
au,à,81
au,le,71
point,point,21
de,de,81
croire,croire,14
la,le,71
résistance,résistance,22
impossible,impossible,30
;,;,p
elle,il,51
était,être,18
prête,prêt,30
à,à,81
céder,céder,14
par,par,81
peur,peur,22
ce,ce,52
que,que,52
",",",",p
par,par,81
amour,amour,21
",",",",p
elle,il,51
voulait,vouloir,18
refuser,refuser,14
;,;,p
mais,mais,82
",",",",p
en,en,81
se,se,51
débattant,débattre,13
faiblement,faiblement,60
dans,dans,81
les,le,71
bras,bras,21
de,de,81
Raymon,Raymon,20
",",",",p
elle,il,51
lui,lui,51
dit,dire,19
avec,avec,81
désespoir,désespoir,21
:,:,p
-,-,p
vous,vous,51
seriez,être,16
donc,donc,82
capable,capable,30
d',de,81
employer,employer,14
la,le,71
force,force,22
avec,avec,81
moi,moi,51
/?,/?,P
Raymon,Raymon,20
s',se,51
arrêta,arrêter,19
",",",",p
frappé,frappé,31
de,de,81
cette,ce,74
résistance,résistance,22
morale,moral,30
qui,qui,52
survivait,survivre,18
à,à,81
la,le,71
résistance,résistance,22
physique,physique,30
/.,/.,P
il,il,51
la,le,52
poussa,pousser,19
vivement,vivement,60
/.,/.,P
-,-,p
jamais,jamais,60
!,!,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
;,;,p
plutôt,plutôt,60
mourir,mourir,14
que,que,83
de,de,81
ne,ne,60
pas,pas,60
te,tu,51
tenir,tenir,14
de,de,81
toi,toi,51
seule,seul,30
/!,/!,P
il,il,51
se,se,51
jeta,jeter,19
à,à,81
genoux,genou,21
",",",",p
et,et,82
tout,tout,52
ce,ce,52
que,que,52
l',le,71
esprit,esprit,21
peut,pouvoir,17
mettre,mettre,14
à,à,81
la,le,71
place,place,22
du,de,81
du,le,71
coeur,coeur,21
",",",",p
tout,tout,52
ce,ce,52
que,que,52
l',le,71
imagination,imagination,22
peut,pouvoir,17
donner,donner,14
de,de,81
poésie,poésie,22
à,à,81
l',le,71
ardeur,ardeur,22
du,de,81
du,le,71
sang,sang,21
",",",",p
il,il,51
l',le,52
enferma,enfermer,19
dans,dans,81
une,un,71
fervente,fervent,30
et,et,82
dangereuse,dangereux,30
prière,prière,22
/.,/.,P
et,et,82
",",",",p
quand,quand,83
il,il,51
vit,voir,19
qu',que,83
elle,il,51
ne,ne,60
se,se,51
rendait,rendre,18
pas,pas,60
",",",",p
il,il,51
céda,céder,19
à,à,81
la,le,71
nécessité,nécessité,22
et,et,82
lui,lui,51
reprocha,reprocher,19
de,de,81
ne,ne,60
pas,pas,60
l',le,52
aimer,aimer,14
;,;,p
lieu,lieu,21
commun,commun,30
qu',que,52
il,il,51
méprisait,mépriser,18
et,et,82
qui,qui,52
le,le,52
faisait,faire,18
sourire,sourire,14
",",",",p
presque,presque,60
honteux,honteux,30
d',de,81
avoir,avoir,14
affaire,affaire,22
à,à,81
une,un,71
femme,femme,22
assez,assez,60
ingénue,ingénu,30
pour,pour,81
n',ne,60
en,en,52
pas,pas,60
sourire,sourire,14
elle-même,lui-même,51
/.,/.,P
ce,ce,74
reproche,reproche,21
alla,aller,19
au,à,81
au,le,71
coeur,coeur,21
d',de,81
Indiana,Indiana,20
plus,plus,60
vite,vite,60
que,que,83
toutes,tout,75
les,le,71
exclamations,exclamation,22
",",",",p
dont,dont,52
Raymon,Raymon,20
avait,avoir,18
brodé,broder,12
son,son,73
discours,discours,21
/.,/.,P
mais,mais,82
tout,tout,60
à,à,81
coup,coup,21
elle,il,51
se,se,51
souvint,souvenir,19
/.,/.,P
-,-,p
Raymon,Raymon,20
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
",",",",p
celle,celui,52
qui,qui,52
vous,vous,51
aimait,aimer,18
tant,tant,60
…,…,p
celle,celui,52
dont,dont,52
nous,nous,51
parlions,parler,18
tout,tout,60
à,à,81
l',le,71
heure,heure,22
…,…,p
sans,sans,81
doute,doute,21
",",",",p
elle,il,51
ne,ne,60
vous,vous,51
a,avoir,17
rien,rien,52
refusé,refuser,12
/?,/?,P
rien,rien,52
!,!,p
dit,dire,19
Raymon,Raymon,20
impatienté,impatienté,31
de,de,81
cet,ce,74
importun,importun,30
souvenir,souvenir,21
/.,/.,P
vous,vous,51
qui,qui,52
me,je,51
la,le,52
rappelez,rappeler,17
toujours,toujours,60
",",",",p
faites,faire,17
plutôt,plutôt,60
que,que,83
j',je,51
oublie,oublier,17
à,à,81
quel,quel,75
point,point,21
j',je,51
en,en,52
fus,être,19
aimé,aimer,12
/!,/!,P
écoutez,écouter,17
",",",",p
reprit,reprendre,19
Indiana,Indiana,20
pensive,pensif,30
et,et,82
grave,grave,30
;,;,p
ayez,avoir,17
un,un,71
peu,peu,60
de,de,81
courage,courage,21
",",",",p
il,il,51
faut,falloir,17
que,que,83
je,je,51
vous,vous,51
parle,parler,17
encore,encore,60
/.,/.,P
vous,vous,51
n',ne,60
avez,avoir,17
peut-être,peut-être,60
pas,pas,60
été,être,12
aussi,aussi,60
coupable,coupable,30
envers,envers,81
moi,moi,51
que,que,83
je,je,51
le,le,52
pensais,penser,18
/.,/.,P
il,il,51
me,je,51
serait,être,16
doux,doux,30
de,de,81
pouvoir,pouvoir,14
vous,vous,51
pardonner,pardonner,14
ce,ce,52
que,que,52
je,je,51
regardais,regarder,18
comme,comme,83
une,un,71
mortelle,mortel,30
offense,offense,22
/…,/…,P
dites,dire,17
moi,moi,51
donc,donc,82
…,…,p
quand,quand,83
je,je,51
vous,vous,51
ai,avoir,17
surpris,surprendre,12
là,là,60
…,…,p
pour,pour,81
qui,qui,52
veniez,venir,18
vous,vous,51
?,?,p
pour,pour,81
elle,il,51
ou,ou,82
pour,pour,81
moi,moi,51
?,?,p
/…,/…,P
Raymon,Raymon,20
hésita,hésiter,19
;,;,p
puis,puis,60
",",",",p
comme,comme,83
il,il,51
pensa,penser,19
que,que,83
la,le,71
vérité,vérité,22
serait,être,16
bientôt,bientôt,60
connue,connaître,12
de,de,81
madame,madame,22
Delmare,Delmare,20
",",",",p
qu',que,83
elle,il,51
l',le,52
était,être,18
peut-être,peut-être,60
déjà,déjà,60
",",",",p
il,il,51
répondit,répondre,19
:,:,p
-,-,p
pour,pour,81
elle,il,51
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
je,je,51
l',le,52
aime,aimer,17
mieux,mieux,60
ainsi,ainsi,60
",",",",p
dit,dire,19
elle,il,51
d',de,81
un,un,71
air,air,21
triste,triste,30
;,;,p
j',je,51
aime,aimer,17
mieux,mieux,60
une,un,71
infidélité,infidélité,22
qu',que,83
un,un,71
outrage,outrage,21
/.,/.,P
soyez,être,17
sincère,sincère,30
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
",",",",p
Raymon,Raymon,20
/.,/.,P
depuis,depuis,81
quand,quand,83
étiez,être,18
vous,vous,51
dans,dans,81
ma,mon,73
chambre,chambre,22
quand,quand,83
j',je,51
y,y,52
entrai,entrer,19
/?,/?,P
songez,songer,17
que,que,83
Ralph,Ralph,20
sait,savoir,17
tout,tout,52
",",",",p
et,et,82
que,que,83
",",",",p
si,si,83
je,je,51
voulais,vouloir,18
l',le,52
interroger,interroger,14
/…,/…,P
-,-,p
il,il,51
n',ne,60
est,être,17
pas,pas,60
besoin,besoin,21
des,de,81
des,le,71
délations,délation,22
de,de,81
sir,sir,92
Ralph,Ralph,20
",",",",p
madame,madame,22
/.,/.,P
j',je,51
étais,être,18
ici,ici,60
depuis,depuis,81
la,le,71
veille,veille,22
/.,/.,P
-,-,p
et,et,82
vous,vous,51
avez,avoir,17
passé,passer,12
la,le,71
nuit,nuit,22
dans,dans,81
cette,ce,74
chambre,chambre,22
?,?,p
/…,/…,P
votre,votre,73
silence,silence,21
me,je,51
suffit,suffire,17
/.,/.,P
tous,tout,75
deux,deux,72
restèrent,rester,19
sans,sans,81
parler,parler,14
pendant,pendant,81
quelques,quelque,75
instants,instant,21
;,;,p
Indiana,Indiana,20
",",",",p
se,se,51
levant,lever,13
",",",",p
allait,aller,18
s',se,51
expliquer,expliquer,14
",",",",p
lorsqu',lorsque,83
un,un,71
coup,coup,21
sec,sec,30
frappé,frappé,31
à,à,81
sa,son,73
porte,porte,22
arrêta,arrêter,19
son,son,73
sang,sang,21
dans,dans,81
ses,son,73
artères,artère,22
/.,/.,P
Raymon,Raymon,20
et,et,82
elle,il,51
demeurèrent,demeurer,19
immobiles,immobile,30
n',ne,60
osant,oser,13
respirer,respirer,14
/.,/.,P
un,un,71
papier,papier,21
glissa,glisser,19
sous,sous,81
la,le,71
porte,porte,22
/.,/.,P
c',ce,52
était,être,18
un,un,71
feuillet,feuillet,21
de,de,81
calepin,calepin,21
sur,sur,81
lequel,lequel,52
ces,ce,74
mots,mot,21
",",",",p
presque,presque,60
illisibles,illisible,30
",",",",p
étaient,être,18
tracés,tracer,12
au,à,81
au,le,71
crayon,crayon,21
:,:,p
“,“,p
votre,votre,73
mari,mari,21
est,être,17
ici,ici,60
/.,/.,P
Ralph,Ralph,20
/.,/.,P
“,“,p
<XVIII>,<>,<>
/.,/.,P
-,-,p
c',ce,52
est,être,17
une,un,71
fausseté,fausseté,22
misérablement,misérablement,60
choisie,choisi,31
",",",",p
dit,dire,19
Raymon,Raymon,20
dès,dès,81
que,que,83
le,le,71
faible,faible,30
bruit,bruit,21
des,de,81
des,le,71
pas,pas,21
de,de,81
Ralph,Ralph,20
eut,avoir,19
cessé,cesser,12
d',de,81
être,être,14
perceptible,perceptible,30
/.,/.,P
sir,sir,92
Ralph,Ralph,20
a,avoir,17
besoin,besoin,21
d',de,81
une,un,71
leçon,leçon,22
",",",",p
et,et,82
je,je,51
la,le,52
lui,lui,51
donnerai,donner,15
telle,tel,75
/…,/…,P
-,-,p
je,je,51
vous,vous,51
le,le,52
défends,défendre,17
",",",",p
dit,dire,19
Indiana,Indiana,20
d',de,81
un,un,71
ton,ton,21
froid,froid,30
et,et,82
décidé,décidé,31
:,:,p
mon,mon,73
mari,mari,21
est,être,17
ici,ici,60
;,;,p
Ralph,Ralph,20
n',ne,60
a,avoir,17
jamais,jamais,60
menti,mentir,12
/.,/.,P
nous,nous,51
sommes,être,17
perdus,perdre,12
",",",",p
vous,vous,51
et,et,82
moi,moi,51
/.,/.,P
il,il,51
fut,être,19
un,un,71
temps,temps,21
où,où,60
cette,ce,74
idée,idée,22
m',je,51
eût,avoir,19
glacée,glacer,12
d',de,81
effroi,effroi,21
;,;,p
aujourd'hui,aujourd'hui,60
",",",",p
peu,peu,60
m',je,51
importe,importer,17
/!,/!,P
eh,eh,93
bien,bien,60
",",",",p
dit,dire,19
Raymon,Raymon,20
en,en,81
la,le,52
saisissant,saisir,13
dans,dans,81
ses,son,73
bras,bras,21
avec,avec,81
enthousiasme,enthousiasme,21
",",",",p
puisque,puisque,83
la,le,71
mort,mort,22
nous,nous,51
environne,environner,17
",",",",p
sois,être,17
à,à,81
moi,moi,51
/!,/!,P
pardonne,pardonner,17
moi,moi,51
tout,tout,52
",",",",p
et,et,82
que,que,52
",",",",p
dans,dans,81
cet,ce,74
instant,instant,21
suprême,suprême,30
",",",",p
ta,ton,73
dernière,dernier,30
parole,parole,22
soit,être,17
d',de,81
amour,amour,21
",",",",p
mon,mon,73
dernier,dernier,30
souffle,souffle,21
de,de,81
bonheur,bonheur,21
/.,/.,P
