11347
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trentième extrait>,<>,<>
",",",",p
la,le,71
peur,peur,22
et,et,82
le,le,71
manque,manque,21
de,de,81
parole,parole,22
/.,/.,P
bonsoir,bonsoir,21
",",",",p
je,je,51
vous,vous,51
attends,attendre,17
demain,demain,60
pour,pour,81
ouvrir,ouvrir,14
la,le,71
danse,danse,22
",",",",p
à,à,81
la,le,71
porte,porte,22
de,de,81
l',le,71
église,église,22
/.,/.,P
et,et,82
la,le,71
petite,petit,30
Fadette,Fadette,20
",",",",p
que,que,52
Landry,Landry,20
avait,avoir,18
suivie,suivre,12
jusqu',jusque,81
à,à,81
sa,son,73
maison,maison,22
",",",",p
tira,tirer,19
la,le,71
corillette,corillette,22
et,et,82
entra,entrer,19
si,si,60
vite,vite,60
que,que,83
la,le,71
porte,porte,22
fut,être,19
poussée,pousser,12
et,et,82
recorillée,recoriller,12
avant,avant,81
que,que,83
le,le,71
besson,besson,21
eût,avoir,19
pu,pouvoir,12
répondre,répondre,14
un,un,71
mot,mot,21
/.,/.,P
<XIV>,<>,<>
Landry,Landry,20
trouva,trouver,19
d'abord,d'abord,60
l',le,71
idée,idée,22
de,de,81
la,le,71
Fadette,Fadette,20
si,si,60
drôle,drôle,30
qu',que,83
il,il,51
pensa,penser,19
à,à,81
en,en,52
rire,rire,14
plus,plus,60
qu',que,83
à,à,81
s',se,51
en,en,52
fâcher,fâcher,14
/.,/.,P
“,“,p
voilà,voilà,81
",",",",p
se,se,51
dit,dire,19
il,il,51
",",",",p
une,un,71
fille,fille,22
plus,plus,60
folle,fou,30
que,que,83
méchante,méchant,30
",",",",p
et,et,82
plus,plus,60
désintéressée,désintéressé,31
qu',que,83
on,on,51
ne,ne,60
croirait,croire,16
",",",",p
car,car,82
son,son,73
paiement,paiement,21
ne,ne,60
ruinera,ruiner,15
pas,pas,60
ma,mon,73
famille,famille,22
/.,/.,P
“,“,p
mais,mais,82
",",",",p
en,en,81
y,y,52
songeant,songer,13
",",",",p
il,il,51
trouva,trouver,19
l',le,71
acquit,acquit,21
de,de,81
sa,son,73
dette,dette,22
plus,plus,60
dur,dur,30
que,que,83
la,le,71
chose,chose,22
ne,ne,60
semblait,sembler,18
/.,/.,P
la,le,71
petite,petit,30
Fadette,Fadette,20
dansait,danser,18
très,très,60
bien,bien,60
;,;,p
il,il,51
l',le,52
avait,avoir,18
vue,voir,12
gambiller,gambiller,14
dans,dans,81
les,le,71
champs,champ,21
ou,ou,82
sur,sur,81
le,le,71
bord,bord,21
des,de,81
des,le,71
chemins,chemin,21
",",",",p
avec,avec,81
les,le,71
pâtours,pastour,21
",",",",p
et,et,82
elle,il,51
s',se,51
y,y,52
démenait,démener,18
comme,comme,83
un,un,71
petit,petit,30
diable,diable,21
",",",",p
si,si,60
vivement,vivement,60
qu',que,83
on,on,51
avait,avoir,18
peine,peine,22
à,à,81
la,le,52
suivre,suivre,14
en,en,81
mesure,mesure,22
/.,/.,P
mais,mais,82
elle,il,51
était,être,18
si,si,60
peu,peu,60
belle,beau,30
et,et,82
si,si,83
mal,mal,60
attifée,attifé,31
",",",",p
même,même,60
les,le,71
dimanches,dimanche,21
",",",",p
qu',que,83
aucun,aucun,75
garçon,garçon,21
de,de,81
l',le,71
âge,âge,21
de,de,81
Landry,Landry,20
ne,ne,60
l',le,52
eût,avoir,19
fait,faire,12
danser,danser,14
",",",",p
surtout,surtout,60
devant,devant,81
du,de,81
du,le,71
monde,monde,21
/.,/.,P
c',ce,52
est,être,17
tout,tout,60
au,à,81
au,le,71
plus,plus,60
si,si,83
les,le,71
porchers,porcher,21
et,et,82
les,le,71
gars,gars,21
qui,qui,52
n',ne,60
avaient,avoir,18
point,point,60
encore,encore,60
fait,faire,12
leur,leur,73
première,premier,72
communion,communion,22
la,le,52
trouvaient,trouver,18
digne,digne,30
d',de,81
être,être,14
invitée,inviter,12
",",",",p
et,et,82
les,le,71
belles,belle,22
de,de,81
campagne,campagne,22
n',ne,60
aimaient,aimer,18
point,point,60
à,à,81
l',le,52
avoir,avoir,14
dans,dans,81
leur,leur,73
danse,danse,22
/.,/.,P
Landry,Landry,20
se,se,51
sentit,sentir,19
donc,donc,82
tout,tout,60
à,à,81
fait,fait,21
humilié,humilié,31
d',de,81
être,être,14
voué,vouer,12
à,à,81
une,un,71
pareille,pareil,30
danseuse,danseuse,22
;,;,p
et,et,82
quand,quand,83
il,il,51
se,se,51
souvint,souvenir,19
qu',que,83
il,il,51
s',se,51
était,être,18
fait,faire,12
promettre,promettre,14
au,à,81
au,le,71
moins,moins,60
trois,trois,72
bourrées,bourrée,22
par,par,81
la,le,71
belle,beau,30
Madelon,Madelon,20
",",",",p
il,il,51
se,se,51
demanda,demander,19
comment,comment,60
elle,il,51
prendrait,prendre,16
l',le,71
affront,affront,21
qu',que,52
il,il,51
serait,être,16
forcé,forcer,12
de,de,81
lui,lui,51
faire,faire,14
en,en,81
ne,ne,60
les,le,52
réclamant,réclamer,13
point,point,60
/.,/.,P
comme,comme,83
il,il,51
avait,avoir,18
froid,froid,21
et,et,82
faim,faim,22
",",",",p
et,et,82
qu',que,52
il,il,51
craignait,craindre,18
toujours,toujours,60
de,de,81
voir,voir,14
le,le,71
follet,follet,30
se,se,51
mettre,mettre,14
après,après,81
lui,lui,51
",",",",p
il,il,51
marcha,marcher,19
vite,vite,60
sans,sans,81
trop,trop,60
songer,songer,14
et,et,82
sans,sans,81
regarder,regarder,14
derrière,derrière,81
lui,lui,51
/.,/.,P
dès,dès,81
qu',que,83
il,il,51
fut,être,19
rendu,rendre,12
",",",",p
il,il,51
se,se,51
sécha,sécher,19
et,et,82
conta,conter,19
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
point,point,60
vu,voir,12
le,le,71
gué,gué,21
à,à,81
cause,cause,22
de,de,81
la,le,71
grand',grand,30
nuit,nuit,22
",",",",p
et,et,82
qu',que,83
il,il,51
avait,avoir,18
eu,avoir,12
de,de,81
la,le,71
peine,peine,22
à,à,81
sortir,sortir,14
de,de,81
l',le,71
eau,eau,22
;,;,p
mais,mais,82
il,il,51
eut,avoir,19
honte,honte,22
de,de,81
confesser,confesser,14
la,le,71
peur,peur,22
qu',que,52
il,il,51
avait,avoir,18
eue,avoir,12
",",",",p
et,et,82
il,il,51
ne,ne,60
parla,parler,19
ni,ni,82
du,de,81
du,le,71
feu,feu,21
follet,follet,30
",",",",p
ni,ni,82
de,de,81
la,le,71
petite,petit,30
Fadette,Fadette,20
/.,/.,P
il,il,51
se,se,51
coucha,coucher,19
en,en,81
se,se,51
disant,dire,13
que,que,83
ce,ce,52
serait,être,16
bien,bien,60
assez,assez,60
tôt,tôt,60
le,le,71
lendemain,lendemain,21
pour,pour,81
se,se,51
tourmenter,tourmenter,14
de,de,81
la,le,71
conséquence,conséquence,22
de,de,81
cette,ce,74
mauvaise,mauvais,30
rencontre,rencontre,22
;,;,p
mais,mais,82
quoi,quoi,52
qu',que,52
il,il,51
fît,faire,18
",",",",p
il,il,51
ne,ne,60
put,pouvoir,19
dormir,dormir,14
que,que,83
très,très,60
mal,mal,60
/.,/.,P
il,il,51
fit,faire,19
plus,plus,60
de,de,81
cinquante,cinquante,72
rêves,rêve,21
",",",",p
où,où,60
il,il,51
vit,voir,19
la,le,71
petite,petit,30
Fadette,Fadette,20
à califourchon,à califourchon,60
sur,sur,81
le,le,71
fadet,fadet,21
",",",",p
qui,qui,52
était,être,18
fait,faire,12
comme,comme,83
un,un,71
grand,grand,30
coq,coq,21
rouge,rouge,30
et,et,82
qui,qui,52
tenait,tenir,18
",",",",p
dans,dans,81
une,un,52
de,de,81
ses,son,73
pattes,patte,22
",",",",p
sa,son,73
lanterne,lanterne,22
de,de,81
corne,corne,22
avec,avec,81
une,un,71
chandelle,chandelle,22
dedans,dedans,60
",",",",p
dont,dont,52
les,le,71
rayons,rayon,21
s',se,51
étendaient,étendre,18
sur,sur,81
toute,tout,75
la,le,71
joncière,joncière,22
/.,/.,P
et,et,82
alors,alors,60
la,le,71
petite,petit,30
Fadette,Fadette,20
se,se,51
changeait,changer,18
en,en,81
un,un,71
grelet,grelet,21
gros,gros,30
comme,comme,83
une,un,71
chèvre,chèvre,22
",",",",p
et,et,82
elle,il,51
lui,lui,51
criait,crier,18
",",",",p
en,en,81
voix,voix,22
de,de,81
grelet,grelet,21
",",",",p
une,un,71
chanson,chanson,22
qu',que,52
il,il,51
ne,ne,60
pouvait,pouvoir,18
comprendre,comprendre,14
",",",",p
mais,mais,82
où,où,60
il,il,51
entendait,entendre,18
toujours,toujours,60
des,de,81
des,le,71
mots,mot,21
sur,sur,81
la,le,71
même,même,75
rime,rime,22
:,:,p
grelet,grelet,21
",",",",p
fadet,fadet,21
",",",",p
cornet,cornet,21
",",",",p
capet,capet,21
",",",",p
follet,follet,30
",",",",p
bessonnet,bessonnet,21
",",",",p
Sylvinet,Sylvinet,20
/.,/.,P
il,il,51
en,en,52
avait,avoir,18
la,le,71
tête,tête,22
cassée,cassé,31
",",",",p
et,et,82
la,le,71
clarté,clarté,22
du,de,81
du,le,71
follet,follet,30
lui,lui,51
semblait,sembler,18
si,si,60
vive,vif,30
et,et,82
si,si,60
prompte,prompt,30
que,que,83
",",",",p
quand,quand,83
il,il,51
s',se,51
éveilla,éveiller,19
",",",",p
il,il,51
en,en,52
avait,avoir,18
encore,encore,60
les,le,71
orblutes,orblute,22
",",",",p
qui,qui,52
sont,être,17
petites,petit,30
boules,boule,22
noires,noir,30
",",",",p
rouges,rouge,30
ou,ou,82
bleues,bleu,30
",",",",p
lesquelles,lequel,52
nous,nous,51
semblent,sembler,17
être,être,14
devant,devant,81
nos,notre,73
yeux,oeil,21
",",",",p
quand,quand,83
nous,nous,51
avons,avoir,17
regardé,regarder,12
avec,avec,81
trop,trop,60
d',de,81
assurance,assurance,22
les,le,71
orbes,orbe,21
du,de,81
du,le,71
soleil,soleil,21
ou,ou,82
de,de,81
la,le,71
lune,lune,22
/.,/.,P
Landry,Landry,20
fut,être,19
si,si,60
fatigué,fatiguer,12
de,de,81
cette,ce,74
mauvaise,mauvais,30
nuit,nuit,22
qu',que,83
il,il,51
s',se,51
endormait,endormir,18
tout,tout,75
le,le,71
long,long,21
de,de,81
la,le,71
messe,messe,22
",",",",p
et,et,82
mêmement,mêmement,60
il,il,51
n',ne,60
entendit,entendre,19
pas,pas,60
une,un,71
parole,parole,22
du,de,81
du,le,71
sermon,sermon,21
de,de,81
monsieur,monsieur,21
le,le,71
curé,curé,21
",",",",p
qui,qui,52
",",",",p
pourtant,pourtant,60
",",",",p
loua,louer,19
et,et,82
magnifia,magnifier,19
on,on,51
ne,ne,60
peut,pouvoir,17
mieux,mieux,60
les,le,71
vertus,vertu,22
et,et,82
propriétés,propriété,22
du,de,81
du,le,71
bon,bon,30
saint,saint,30
Andoche,Andoche,20
/.,/.,P
en,en,81
sortant,sortir,13
de,de,81
l',le,71
église,église,22
",",",",p
Landry,Landry,20
était,être,18
si,si,60
chargé,charger,12
de,de,81
langueur,langueur,22
qu',que,83
il,il,51
avait,avoir,18
oublié,oublier,12
la,le,71
Fadette,Fadette,20
/.,/.,P
elle,il,51
était,être,18
pourtant,pourtant,60
devant,devant,81
le,le,71
porche,porche,21
",",",",p
tout,tout,52
auprès,auprès,60
de,de,81
la,le,71
belle,beau,30
Madelon,Madelon,20
",",",",p
qui,qui,52
se,se,51
tenait,tenir,18
là,là,60
",",",",p
bien,bien,60
sûre,sûr,30
que,que,83
la,le,71
première,premier,72
invitation,invitation,22
serait,être,16
pour,pour,81
elle,il,51
/.,/.,P
mais,mais,82
quand,quand,83
il,il,51
s',se,51
approcha,approcher,19
pour,pour,81
lui,lui,51
parler,parler,14
",",",",p
il,il,51
lui,lui,51
fallut,falloir,19
bien,bien,60
voir,voir,14
le,le,71
grelet,grelet,21
qui,qui,52
fit,faire,19
un,un,71
pas,pas,21
en,en,81
avant,avant,21
et,et,82
lui,lui,51
dit,dire,19
bien,bien,60
haut,haut,60
avec,avec,81
une,un,71
hardiesse,hardiesse,22
sans,sans,81
pareille,pareil,30
:,:,p
-,-,p
allons,aller,17
",",",",p
Landry,Landry,20
",",",",p
tu,tu,51
m',je,51
as,avoir,17
invitée,inviter,12
hier,hier,60
soir,soir,21
pour,pour,81
la,le,71
première,premier,72
danse,danse,22
",",",",p
et,et,82
je,je,51
compte,compter,17
que,que,83
nous,nous,51
allons,aller,17
n',ne,60
y,y,52
pas,pas,60
manquer,manquer,14
/.,/.,P
Landry,Landry,20
devint,devenir,19
rouge,rouge,30
comme,comme,83
le,le,71
feu,feu,21
",",",",p
et,et,82
voyant,voir,13
Madelon,Madelon,20
devenir,devenir,14
rouge,rouge,30
aussi,aussi,60
",",",",p
pour,pour,81
le,le,71
grand,grand,30
étonnement,étonnement,21
et,et,82
le,le,71
grand,grand,30
dépit,dépit,21
qu',que,52
elle,il,51
avait,avoir,18
d',de,81
une,un,71
pareille,pareil,30
aventure,aventure,22
",",",",p
il,il,51
prit,prendre,19
courage,courage,21
contre,contre,81
la,le,71
petite,petit,30
Fadette,Fadette,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
possible,possible,30
que,que,83
je,je,51
t',tu,51
aie,avoir,17
promis,promettre,12
de,de,81
te,tu,51
faire,faire,14
danser,danser,14
",",",",p
grelet,grelet,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
;,;,p
mais,mais,82
j',je,51
avais,avoir,18
prié,prier,12
une,un,71
autre,autre,52
auparavant,auparavant,60
",",",",p
et,et,82
ton,ton,73
tour,tour,21
viendra,venir,15
après,après,81
que,que,83
j',je,51
aurai,avoir,15
tenu,tenir,12
mon,mon,73
premier,premier,72
engagement,engagement,21
/.,/.,P
-,-,p
non,non,60
pas,pas,60
",",",",p
repartit,repartir,19
la,le,71
Fadette,Fadette,20
avec,avec,81
assurance,assurance,22
/.,/.,P
ta,ton,73
souvenance,souvenance,22
te,tu,51
fait,faire,17
défaut,défaut,21
",",",",p
Landry,Landry,20
;,;,p
tu,tu,51
n',ne,60
as,avoir,17
promis,promettre,12
à,à,81
personne,personne,52
avant,avant,81
moi,moi,51
",",",",p
puisque,puisque,83
la,le,71
parole,parole,22
que,que,52
je,je,51
te,tu,51
réclame,réclamer,17
est,être,17
de,de,81
l',le,71
an,an,21
dernier,dernier,30
",",",",p
et,et,82
que,que,83
tu,tu,51
n',ne,60
as,avoir,17
fait,faire,12
que,que,83
me,je,51
la,le,52
renouveler,renouveler,14
hier,hier,60
soir,soir,21
/.,/.,P
si,si,83
la,le,71
Madelon,Madelon,20
a,avoir,17
envie,envie,22
de,de,81
danser,danser,14
avec,avec,81
toi,toi,51
aujourd'hui,aujourd'hui,60
",",",",p
voici,voici,81
ton,ton,73
besson,besson,21
qui,qui,52
est,être,17
tout,tout,60
pareil,pareil,30
à,à,81
toi,toi,51
et,et,82
qu',que,52
elle,il,51
prendra,prendre,15
à,à,81
ta,ton,73
place,place,22
/.,/.,P
l',le,71
un,un,52
vaut,valoir,17
l',le,71
autre,autre,52
/.,/.,P
-,-,p
le,le,71
grelet,grelet,21
a,avoir,17
raison,raison,22
",",",",p
répondit,répondre,19
la,le,71
Madelon,Madelon,20
avec,avec,81
fierté,fierté,22
en,en,81
prenant,prendre,13
la,le,71
main,main,22
de,de,81
Sylvinet,Sylvinet,20
;,;,p
puisque,puisque,83
vous,vous,51
avez,avoir,17
fait,faire,12
une,un,71
promesse,promesse,22
si,si,60
ancienne,ancien,30
",",",",p
il,il,51
faut,falloir,17
la,le,52
tenir,tenir,14
",",",",p
Landry,Landry,20
/.,/.,P
j',je,51
aime,aimer,17
bien,bien,60
autant,autant,60
danser,danser,14
avec,avec,81
votre,votre,73
frère,frère,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
c',ce,52
est,être,17
la,le,71
même,même,75
chose,chose,22
",",",",p
dit,dire,19
Sylvinet,Sylvinet,20
tout,tout,60
naïvement,naïvement,60
/.,/.,P
nous,nous,51
danserons,danser,15
tous,tout,75
les,le,71
quatre,quatre,72
/.,/.,P
il,il,51
fallut,falloir,19
bien,bien,60
en,en,52
passer,passer,14
par là,par-là,60
pour,pour,81
ne,ne,60
pas,pas,60
attirer,attirer,14
l',le,71
attention,attention,22
du,de,81
du,le,71
monde,monde,21
",",",",p
et,et,82
le,le,71
grelet,grelet,21
commença,commencer,19
à,à,81
sautiller,sautiller,14
avec,avec,81
tant,tant,60
d',de,81
orgueil,orgueil,21
et,et,82
de,de,81
prestesse,prestesse,22
",",",",p
que,que,83
jamais,jamais,60
bourrée,bourrée,22
ne,ne,60
fut,être,19
mieux,mieux,60
marquée,marquer,12
ni,ni,82
mieux,mieux,60
enlevée,enlever,12
/.,/.,P
si,si,83
elle,il,51
eût,avoir,19
été,être,12
pimpante,pimpant,30
et,et,82
gentille,gentil,30
",",",",p
elle,il,51
eût,avoir,19
fait,faire,12
plaisir,plaisir,21
à,à,81
voir,voir,14
",",",",p
car,car,82
elle,il,51
dansait,danser,18
par,par,81
merveille,merveille,22
",",",",p
et,et,82
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
une,un,71
belle,belle,22
qui,qui,52
n',ne,60
eût,avoir,19
voulu,vouloir,12
avoir,avoir,14
sa,son,73
légèreté,légèreté,22
et,et,82
son,son,73
aplomb,aplomb,21
;,;,p
mais,mais,82
le,le,71
pauvre,pauvre,30
grelet,grelet,21
était,être,18
si,si,60
mal,mal,60
habillé,habiller,12
",",",",p
qu',que,83
il,il,51
en,en,52
paraissait,paraître,18
dix,dix,72
fois,fois,22
plus,plus,60
laid,laid,30
que,que,83
de,de,81
coutume,coutume,22
/.,/.,P
Landry,Landry,20
",",",",p
qui,qui,52
n',ne,60
osait,oser,18
plus,plus,60
regarder,regarder,14
Madelon,Madelon,20
",",",",p
tant,tant,60
il,il,51
était,être,18
chagriné,chagriner,12
et,et,82
humilié,humilier,12
vis-à-vis,vis-à-vis,60
d',de,81
elle,il,51
",",",",p
regarda,regarder,19
sa,son,73
danseuse,danseuse,22
",",",",p
et,et,82
la,le,52
trouva,trouver,19
beaucoup,beaucoup,60
plus,plus,60
vilaine,vilain,30
que,que,83
dans,dans,81
ses,son,73
guenilles,guenille,22
de,de,81
tous,tout,75
les,le,71
jours,jour,21
;,;,p
elle,il,51
avait,avoir,18
cru,croire,12
se,se,51
faire,faire,14
belle,beau,30
",",",",p
et,et,82
son,son,73
dressage,dressage,21
était,être,18
bon,bon,30
pour,pour,81
faire,faire,14
rire,rire,14
/.,/.,P
elle,il,51
avait,avoir,18
une,un,71
coiffe,coiffe,22
toute,tout,60
jaunie,jauni,31
par,par,81
le,le,71
renfermé,renfermé,21
",",",",p
qui,qui,52
",",",",p
au,à,81
au,le,71
lieu,lieu,21
d',de,81
être,être,14
petite,petit,30
et,et,82
bien,bien,60
retroussée,retrousser,12
par,par,81
le,le,71
derrière,derrière,21
",",",",p
selon,selon,81
la,le,71
nouvelle,nouveau,30
mode,mode,22
du,de,81
du,le,71
pays,pays,21
",",",",p
montrait,montrer,18
de,de,81
chaque,chaque,75
côté,côté,21
de,de,81
sa,son,73
tête,tête,22
deux,deux,72
grands,grand,30
oreillons,oreillon,21
bien,bien,60
larges,large,30
et,et,82
bien,bien,60
plats,plat,30
;,;,p
et,et,82
",",",",p
sur,sur,81
le,le,71
derrière,derrière,21
de,de,81
sa,son,73
tête,tête,22
",",",",p
la,le,71
cayenne,cayenne,22
retombait,retomber,18
jusque,jusque,81
sur,sur,81
son,son,73
cou,cou,21
",",",",p
ce,ce,52
qui,qui,52
lui,lui,51
donnait,donner,18
l',le,71
air,air,21
de,de,81
sa,son,73
grand'mère,grand-mère,22
et,et,82
lui,lui,51
faisait,faire,18
une,un,71
tête,tête,22
large,large,30
comme,comme,83
un,un,71
boisseau,boisseau,21
sur,sur,81
un,un,71
petit,petit,30
cou,cou,21
mince,mince,30
comme,comme,83
un,un,71
bâton,bâton,21
/.,/.,P
son,son,73
cotillon,cotillon,21
de,de,81
droguet,droguet,21
était,être,18
trop,trop,60
court,court,30
de,de,81
deux,deux,72
mains,main,22
;,;,p
et,et,82
",",",",p
comme,comme,83
elle,il,51
avait,avoir,18
grandi,grandir,12
beaucoup,beaucoup,60
dans,dans,81
l',le,71
année,année,22
",",",",p
ses,son,73
bras,bras,21
maigres,maigre,30
",",",",p
tout,tout,60
mordus,mordu,31
par,par,81
le,le,71
soleil,soleil,21
",",",",p
sortaient,sortir,18
de,de,81
ses,son,73
manches,manche,22
comme,comme,83
deux,deux,72
pattes,patte,22
d',de,81
aranelle,aranelle,22
/.,/.,P
elle,il,51
avait,avoir,18
cependant,cependant,82
un,un,71
tablier,tablier,21
d',de,81
incarnat,incarnat,21
dont,dont,52
elle,il,51
était,être,18
bien,bien,60
fière,fier,30
",",",",p
mais,mais,82
qui,qui,52
lui,lui,51
venait,venir,18
de,de,81
sa,son,73
mère,mère,22
",",",",p
et,et,82
dont,dont,52
elle,il,51
n',ne,60
avait,avoir,18
point,point,60
songé,songer,12
à,à,81
retirer,retirer,14
la,le,71
bavousette,bavousette,22
",",",",p
que,que,83
",",",",p
depuis,depuis,81
plus,plus,60
de,de,81
dix,dix,72
ans,an,21
",",",",p
les,le,71
jeunesses,jeunesse,22
ne,ne,60
portent,porter,17
plus,plus,60
/.,/.,P
car,car,82
elle,il,51
n',ne,60
était,être,18
point,point,60
de,de,81
celles,celui,52
qui,qui,52
sont,être,17
trop,trop,60
coquettes,coquet,30
",",",",p
la,le,71
pauvre,pauvre,30
fille,fille,22
",",",",p
elle,il,51
ne,ne,60
l',le,52
était,être,18
pas,pas,60
assez,assez,60
et,et,82
vivait,vivre,18
comme,comme,83
un,un,71
garçon,garçon,21
",",",",p
sans-souci,sans-souci,21
de,de,81
sa,son,73
figure,figure,22
",",",",p
et,et,82
n',ne,60
aimant,aimer,13
que,que,83
le,le,71
jeu,jeu,21
et,et,82
la,le,71
risée,risée,22
/.,/.,P
aussi,aussi,60
avait,avoir,18
elle,il,51
l',le,71
air,air,21
d',de,81
une,un,71
vieille,vieille,22
endimanchée,endimanché,31
",",",",p
et,et,82
on,on,51
la,le,52
méprisait,mépriser,18
pour,pour,81
sa,son,73
mauvaise,mauvais,30
tenue,tenue,22
",",",",p
qui,qui,52
n',ne,60
était,être,18
point,point,60
commandée,commander,12
par,par,81
la,le,71
misère,misère,22
",",",",p
mais,mais,82
par,par,81
l',le,71
avarice,avarice,22
de,de,81
sa,son,73
grand'mère,grand-mère,22
",",",",p
et,et,82
le,le,71
manque,manque,21
de,de,81
goût,goût,21
de,de,81
la,le,71
petite-fille,petite-fille,22
/.,/.,P
<XV>,<>,<>
Sylvinet,Sylvinet,20
trouvait,trouver,18
étrange,étrange,30
que,que,83
son,son,73
besson,besson,21
eût,avoir,19
pris,prendre,12
fantaisie,fantaisie,22
de,de,81
cette,ce,74
Fadette,Fadette,20
",",",",p
que,que,52
",",",",p
pour,pour,81
son,son,73
compte,compte,21
",",",",p
il,il,51
aimait,aimer,18
encore,encore,60
moins,moins,60
que,que,83
Landry,Landry,20
ne,ne,60
faisait,faire,18
/.,/.,P
Landry,Landry,20
ne,ne,60
savait,savoir,18
comment,comment,60
expliquer,expliquer,14
la,le,71
chose,chose,22
et,et,82
il,il,51
aurait,avoir,16
voulu,vouloir,12
se,se,51
cacher,cacher,14
sous,sous,81
terre,terre,22
/.,/.,P
la,le,71
Madelon,Madelon,20
était,être,18
bien,bien,60
malcontente,malcontenter,17
",",",",p
et,et,82
malgré,malgré,81
l',le,71
entrain,entrain,21
que,que,52
la,le,71
petite,petit,30
Fadette,Fadette,20
forçait,forcer,18
leurs,leur,73
jambes,jambe,22
de,de,81
prendre,prendre,14
",",",",p
leurs,leur,73
figures,figure,22
étaient,être,18
si,si,60
tristes,triste,30
qu',que,83
on,on,51
eût,avoir,19
dit,dire,12
qu',que,83
ils,ils,51
portaient,porter,18
le,le,71
diable,diable,21
en,en,81
terre,terre,22
/.,/.,P
aussitôt,aussitôt,60
la,le,71
fin,fin,22
de,de,81
la,le,71
première,premier,72
danse,danse,22
",",",",p
Landry,Landry,20
s',se,51
esquiva,esquiver,19
et,et,82
alla,aller,19
se,se,51
cacher,cacher,14
dans,dans,81
son,son,73
ouche,ouche,22
/.,/.,P
mais,mais,82
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
instant,instant,21
",",",",p
la,le,71
petite,petit,30
Fadette,Fadette,20
",",",",p
escortée,escorté,31
du,de,81
du,le,71
sauteriot,sauteriot,21
",",",",p
qui,qui,52
",",",",p
pour,pour,81
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
une,un,71
plume,plume,22
de,de,81
paon,paon,21
et,et,82
un,un,71
gland,gland,21
de,de,81
faux,faux,30
or,or,21
à,à,81
sa,son,73
casquette,casquette,22
",",",",p
était,être,18
plus,plus,60
rageur,rageur,30
et,et,82
plus,plus,60
braillard,braillard,30
que,que,83
de,de,81
coutume,coutume,22
",",",",p
vint,venir,19
bientôt,bientôt,60
le,le,52
relancer,relancer,14
",",",",p
amenant,amener,13
une,un,71
bande,bande,22
de,de,81
drôlesses,drôlesse,22
plus,plus,60
jeunes,jeune,30
qu',que,83
elle,il,51
",",",",p
car,car,82
celles,celui,52
de,de,81
son,son,73
âge,âge,21
ne,ne,60
la,le,52
fréquentaient,fréquenter,18
guère,guère,60
/.,/.,P
quand,quand,83
Landry,Landry,20
la,le,52
vit,voir,19
avec,avec,81
toute,tout,75
cette,ce,74
volaille,volaille,22
",",",",p
qu',que,52
elle,il,51
comptait,compter,18
prendre,prendre,14
à,à,81
témoin,témoin,21
",",",",p
en,en,81
cas,cas,21
de,de,81
refus,refus,21
",",",",p
il,il,51
se,se,51
soumit,soumettre,19
et,et,82
la,le,52
conduisit,conduire,19
sous,sous,81
les,le,71
noyers,noyer,21
où,où,60
il,il,51
aurait,avoir,16
bien,bien,60
voulu,vouloir,12
trouver,trouver,14
un,un,71
coin,coin,21
pour,pour,81
danser,danser,14
avec,avec,81
elle,il,51
sans,sans,81
être,être,14
remarqué,remarquer,12
/.,/.,P
par,par,81
bonheur,bonheur,21
pour,pour,81
lui,lui,51
",",",",p
ni,ni,82
Madelon,Madelon,20
",",",",p
ni,ni,82
Sylvinet,Sylvinet,20
n',ne,60
étaient,être,18
de,de,81
ce,ce,74
côté,côté,21
là,là,60
",",",",p
ni,ni,82
les,le,71
gens,gens,21
de,de,81
l',le,71
endroit,endroit,21
;,;,p
et,et,82
il,il,51
voulut,vouloir,19
profiter,profiter,14
de,de,81
l',le,71
occasion,occasion,22
pour,pour,81
remplir,remplir,14
sa,son,73
tâche,tâche,22
et,et,82
danser,danser,14
la,le,71
troisième,troisième,72
bourrée,bourrée,22
avec,avec,81
la,le,71
Fadette,Fadette,20
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
autour,autour,60
d',de,81
eux,ils,51
que,que,83
des,de,81
des,le,71
étrangers,étranger,21
qui,qui,52
n',ne,60
y,y,52
firent,faire,19
pas,pas,60
grande,grand,30
attention,attention,22
/.,/.,P
sitôt,sitôt,60
qu',que,83
il,il,51
eut,avoir,19
fini,finir,12
",",",",p
il,il,51
courut,courir,19
chercher,chercher,14
Madelon,Madelon,20
pour,pour,81
l',le,52
inviter,inviter,14
à,à,81
venir,venir,14
sous,sous,81
la,le,71
ramée,ramée,22
manger,manger,14
de,de,81
la,le,71
fromentée,fromentée,22
avec,avec,81
lui,lui,51
/.,/.,P
mais,mais,82
elle,il,51
avait,avoir,18
dansé,danser,12
avec,avec,81
d',de,81
autres,autre,52
qui,qui,52
lui,lui,51
avaient,avoir,18
fait,faire,12
promettre,promettre,14
de,de,81
