11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-quatrième extrait>,<>,<>
il,il,51
était,être,18
bien,bien,60
arrivé,arriver,12
quelquefois,quelquefois,60
à,à,81
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
de,de,81
sentir,sentir,14
à,à,81
côté,côté,21
d',de,81
elle,il,51
vaguement,vaguement,60
un,un,71
secret,secret,21
dans,dans,81
sa,son,73
bonne,bonne,22
",",",",p
quelque,quelque,75
chose,chose,22
qu',que,52
elle,il,51
lui,lui,51
cachait,cacher,18
",",",",p
une,un,71
obscurité,obscurité,22
dans,dans,81
sa,son,73
vie,vie,22
/.,/.,P
elle,il,51
avait,avoir,18
eu,avoir,12
des,de,81
des,le,71
instants,instant,21
de,de,81
doute,doute,21
",",",",p
de,de,81
défiance,défiance,22
",",",",p
une,un,71
inquiétude,inquiétude,22
instinctive,instinctif,30
",",",",p
des,de,81
des,le,71
commencements,commencement,21
de,de,81
perception,perception,22
confuse,confus,30
",",",",p
le,le,71
flair,flair,21
d',de,81
une,un,71
trace,trace,22
qui,qui,52
va,aller,17
en,en,81
s',se,51
enfonçant,enfoncer,13
et,et,82
se,se,51
perd,perdre,17
dans,dans,81
du,de,81
du,le,71
sombre,sombre,30
/.,/.,P
elle,il,51
avait,avoir,18
cru,croire,12
par,par,81
moments,moment,21
toucher,toucher,14
dans,dans,81
cette,ce,74
fille,fille,22
à,à,81
des,de,81
des,le,71
choses,chose,22
fermées,fermé,31
et,et,82
froides,froid,30
",",",",p
à,à,81
un,un,71
mystère,mystère,21
",",",",p
à,à,81
de,de,81
l',le,71
ombre,ombre,22
/.,/.,P
par,par,81
moments,moment,21
encore,encore,60
",",",",p
il,il,51
lui,lui,51
avait,avoir,18
semblé,sembler,12
que,que,83
les,le,71
yeux,oeil,21
de,de,81
sa,son,73
bonne,bonne,22
ne,ne,60
disaient,dire,18
pas,pas,60
ce,ce,52
que,que,52
disait,dire,18
sa,son,73
bouche,bouche,22
/.,/.,P
sans,sans,81
le,le,52
vouloir,vouloir,14
",",",",p
elle,il,51
avait,avoir,18
retenu,retenir,12
une,un,71
phrase,phrase,22
que,que,83
Germinie,Germinie,20
répétait,répéter,18
souvent,souvent,60
:,:,p
“,“,p
péché,pécher,12
caché,caché,31
",",",",p
péché,péché,21
à,à,81
moitié,moitié,22
pardonné,pardonné,31
/.,/.,P
“,“,p
mais,mais,82
ce,ce,52
qui,qui,52
occupait,occuper,18
surtout,surtout,60
sa,son,73
pensée,pensée,22
",",",",p
c',ce,52
était,être,18
l',le,71
étonnement,étonnement,21
de,de,81
voir,voir,14
que,que,83
malgré,malgré,81
l',le,71
augmentation,augmentation,22
de,de,81
ses,son,73
gages,gage,21
",",",",p
malgré,malgré,81
les,le,71
petits,petit,30
cadeaux,cadeau,21
journaliers,journalier,30
qu',que,52
elle,il,51
lui,lui,51
faisait,faire,18
",",",",p
Germinie,Germinie,20
n',ne,60
achetait,acheter,18
plus,plus,60
rien,rien,52
pour,pour,81
sa,son,73
toilette,toilette,22
",",",",p
n',ne,60
avait,avoir,18
plus,plus,60
de,de,81
robes,robe,22
",",",",p
n',ne,60
avait,avoir,18
plus,plus,60
de,de,81
linge,linge,21
/.,/.,P
où,où,60
son,son,73
argent,argent,21
passait,passer,18
il,il,51
/?,/?,P
elle,il,51
lui,lui,51
avait,avoir,18
presque,presque,60
avoué,avouer,12
avoir,avoir,14
retiré,retirer,12
ses,son,73
dix,dix,72
huit,huit,72
cents,cent,72
francs,franc,21
de,de,81
la,le,71
caisse,caisse,22
d',de,81
épargne,épargne,22
/.,/.,P
mademoiselle,mademoiselle,22
ruminait,ruminer,18
cela,cela,52
",",",",p
puis,puis,60
se,se,51
disait,dire,18
que,que,83
c',ce,52
était,être,18
là,là,60
tout,tout,75
le,le,71
mystère,mystère,21
de,de,81
sa,son,73
bonne,bonne,22
",",",",p
c',ce,52
était,être,18
de,de,81
l',le,71
argent,argent,21
",",",",p
des,de,81
des,le,71
embarras,embarras,21
",",",",p
sans,sans,81
doute,doute,21
des,de,81
des,le,71
engagements,engagement,21
pris,pris,31
autrefois,autrefois,60
pour,pour,81
sa,son,73
famille,famille,22
",",",",p
et,et,82
peut-être,peut-être,60
de,de,81
nouveaux,nouveau,30
envois,envoi,21
“,“,p
à,à,81
sa,son,73
canaille,canaille,22
de,de,81
beau-frère,beau-frère,21
/.,/.,P
“,“,p
elle,il,51
avait,avoir,18
si,si,60
bon,bon,30
coeur,coeur,21
et,et,82
si,si,83
peu,peu,60
d',de,81
ordre,ordre,21
/!,/!,P
elle,il,51
savait,savoir,18
si,si,60
peu,peu,60
ce,ce,52
qu',que,52
était,être,18
une,un,71
pièce,pièce,22
de,de,81
cent,cent,72
sous,sou,21
/!,/!,P
ce,ce,52
n',ne,60
était,être,18
que,que,83
cela,cela,52
:,:,p
mademoiselle,mademoiselle,22
en,en,52
était,être,18
sûre,sûr,30
;,;,p
et,et,82
comme,comme,83
elle,il,51
connaissait,connaître,18
la,le,71
nature,nature,22
entêtée,entêté,31
de,de,81
sa,son,73
bonne,bonne,22
et,et,82
qu',que,83
elle,il,51
n',ne,60
espérait,espérer,18
pas,pas,60
la,le,52
faire,faire,14
changer,changer,14
",",",",p
elle,il,51
ne,ne,60
lui,lui,51
parlait,parler,18
de,de,81
rien,rien,52
/.,/.,P
quand,quand,83
cette,ce,74
explication,explication,22
ne,ne,60
satisfaisait,satisfaire,18
pas,pas,60
complètement,complètement,60
mademoiselle,mademoiselle,22
",",",",p
elle,il,51
mettait,mettre,18
ce,ce,52
qui,qui,52
était,être,18
inconnu,inconnu,30
et,et,82
mystérieux,mystérieux,30
pour,pour,81
elle,il,51
dans,dans,81
sa,son,73
bonne,bonne,22
sur,sur,81
le,le,71
compte,compte,21
d',de,81
une,un,71
nature,nature,22
de,de,81
femme,femme,22
un,un,71
peu,peu,60
cachotière,cachottier,30
",",",",p
gardant,garder,13
du,de,81
du,le,71
caractère,caractère,21
et,et,82
des,de,81
des,le,71
méfiances,méfiance,22
de,de,81
la,le,71
paysanne,paysanne,22
",",",",p
jalouse,jaloux,30
de,de,81
ses,son,73
petites,petit,30
affaires,affaire,22
et,et,82
se,se,51
plaisant,plaire,13
à,à,81
enfouir,enfouir,14
un,un,71
coin,coin,21
de,de,81
sa,son,73
vie,vie,22
tout,tout,60
au,à,81
au,le,71
fond,fond,21
d',de,81
elle,il,51
",",",",p
comme,comme,83
au,à,81
au,le,71
village,village,21
on,on,51
entasse,enter,18
des,de,81
des,le,71
sous,sou,21
dans,dans,81
un,un,71
bas,bas,21
de,de,81
laine,laine,22
/.,/.,P
ou,ou,82
bien,bien,60
",",",",p
elle,il,51
se,se,51
persuadait,persuader,18
que,que,83
c',ce,52
était,être,18
la,le,71
maladie,maladie,22
",",",",p
son,son,73
état,état,21
de,de,81
souffrance,souffrance,22
continuel,continuel,30
qui,qui,52
lui,lui,51
donnait,donner,18
ces,ce,74
lubies,lubie,22
et,et,82
cette,ce,74
dissimulation,dissimulation,22
/.,/.,P
et,et,82
sa,son,73
pensée,pensée,22
",",",",p
dans,dans,81
sa,son,73
recherche,recherche,22
et,et,82
sa,son,73
curiosité,curiosité,22
",",",",p
s',se,51
arrêtait,arrêter,18
là,là,60
",",",",p
avec,avec,81
la,le,71
paresse,paresse,22
et,et,82
aussi,aussi,60
un,un,71
peu,peu,60
l',le,71
égoïsme,égoïsme,21
des,de,81
des,le,71
pensées,pensée,22
de,de,81
vieilles,vieux,30
gens,gens,21
",",",",p
qui,qui,52
",",",",p
craignant,craindre,13
instinctivement,instinctivement,60
le,le,71
bout,bout,21
des,de,81
des,le,71
choses,chose,22
et,et,82
le,le,71
fond,fond,21
des,de,81
des,le,71
gens,gens,21
",",",",p
ne,ne,60
veulent,vouloir,17
point,point,60
trop,trop,60
s',se,51
inquiéter,inquiéter,14
ni,ni,82
trop,trop,60
savoir,savoir,14
/.,/.,P
qui,qui,52
sait,savoir,17
/?,/?,P
peut-être,peut-être,60
toute,tout,75
cette,ce,74
cachotterie,cachotterie,22
n',ne,60
était,être,18
elle,il,51
rien,rien,52
qu',que,83
une,un,71
misère,misère,22
indigne,indigne,30
de,de,81
l',le,52
inquiéter,inquiéter,14
ou,ou,82
de,de,81
l',le,52
intéresser,intéresser,14
",",",",p
une,un,71
chamaillade,chamaillade,22
",",",",p
une,un,71
brouillerie,brouillerie,22
de,de,81
femmes,femme,22
/.,/.,P
elle,il,51
s',se,51
endormait,endormir,18
là-dessus,là-dessus,60
",",",",p
rassurée,rassuré,31
",",",",p
et,et,82
cessait,cesser,18
de,de,81
chercher,chercher,14
/.,/.,P
et,et,82
comment,comment,60
mademoiselle,mademoiselle,22
eût,avoir,19
elle,il,51
pu,pouvoir,12
deviner,deviner,14
les,le,71
dégradations,dégradation,22
de,de,81
Germinie,Germinie,20
et,et,82
l',le,71
horreur,horreur,22
de,de,81
son,son,21
secret,secret,30
/?,/?,P
dans,dans,81
ses,son,73
chagrins,chagrin,21
les,le,71
plus,plus,60
poignants,poignant,30
",",",",p
dans,dans,81
ses,son,73
ivresses,ivresse,22
les,le,71
plus,plus,60
folles,fou,30
",",",",p
la,le,71
malheureuse,malheureux,30
gardait,garder,18
l',le,71
incroyable,incroyable,30
force,force,22
de,de,81
tout,tout,52
retenir,retenir,14
et,et,82
de,de,81
tout,tout,52
renfoncer,renfoncer,14
/.,/.,P
de,de,81
sa,son,73
nature,nature,22
passionnée,passionné,31
",",",",p
débordée,débordé,31
",",",",p
qui,qui,52
se,se,51
versait,verser,18
si,si,60
naturellement,naturellement,60
dans,dans,81
l',le,71
expansion,expansion,22
",",",",p
jamais,jamais,60
ne,ne,60
s',se,51
échappait,échapper,18
une,un,71
phrase,phrase,22
",",",",p
un,un,71
mot,mot,21
qui,qui,52
fût,être,19
un,un,71
éclair,éclair,21
",",",",p
une,un,71
lueur,lueur,22
/.,/.,P
déboires,déboire,21
",",",",p
mépris,mépris,21
",",",",p
chagrins,chagrin,21
",",",",p
sacrifices,sacrifice,21
",",",",p
mort,mort,21
de,de,81
son,son,73
enfant,enfant,21
",",",",p
trahison,trahison,22
de,de,81
son,son,73
amant,amant,21
",",",",p
agonie,agonie,22
de,de,81
son,son,73
amour,amour,21
",",",",p
tout,tout,52
demeura,demeurer,19
en,en,81
elle,il,51
silencieux,silencieux,30
",",",",p
étouffé,étouffé,31
",",",",p
comme,comme,83
si,si,83
elle,il,51
appuyait,appuyer,18
des,de,81
des,le,71
deux,deux,72
mains,main,22
sur,sur,81
son,son,73
coeur,coeur,21
/.,/.,P
les,le,71
rares,rare,30
défaillances,défaillance,22
qui,qui,52
lui,lui,51
prenaient,prendre,18
et,et,82
où,où,60
elle,il,51
semblait,sembler,18
se,se,51
débattre,débattre,14
avec,avec,81
des,de,81
des,le,71
douleurs,douleur,22
qui,qui,52
l',le,52
étranglaient,étrangler,18
",",",",p
ces,ce,74
caresses,caresse,22
fiévreuses,fiévreux,30
",",",",p
furieuses,furieux,30
à,à,81
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
",",",",p
ces,ce,74
effusions,effusion,22
subites,subit,30
",",",",p
ressemblant,ressembler,13
à,à,81
des,de,81
des,le,71
crises,crise,22
voulant,vouloir,13
accoucher,accoucher,14
de,de,81
quelque,quelque,75
chose,chose,22
",",",",p
finissaient,finir,18
toujours,toujours,60
sans,sans,81
paroles,parole,22
et,et,82
se,se,51
sauvaient,sauver,18
dans,dans,81
des,de,81
des,le,71
larmes,larme,22
/.,/.,P
la,le,71
maladie,maladie,22
même,même,30
avec,avec,81
ses,son,73
affaiblissements,affaiblissement,21
et,et,82
ses,son,73
énervements,énervement,21
ne,ne,60
tira,tirer,19
rien,rien,52
d',de,81
elle,il,51
/.,/.,P
elle,il,51
ne,ne,60
put,pouvoir,19
entamer,entamer,14
cette,ce,74
héroïque,héroïque,30
volonté,volonté,22
de,de,81
se,se,51
taire,taire,14
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
/.,/.,P
les,le,71
crises,crise,22
de,de,81
nerfs,nerf,21
lui,lui,51
arrachaient,arracher,18
des,de,81
des,le,71
cris,cri,21
",",",",p
et,et,82
rien,rien,52
que,que,83
des,de,81
des,le,71
cris,cri,21
/.,/.,P
jeune,jeune,30
fille,fille,22
",",",",p
elle,il,51
rêvait,rêver,18
tout,tout,60
haut,haut,60
;,;,p
elle,il,51
força,forcer,19
ses,son,73
rêves,rêve,21
à,à,81
ne,ne,60
plus,plus,60
parler,parler,14
",",",",p
elle,il,51
ferma,fermer,19
les,le,71
lèvres,lèvre,22
de,de,81
son,son,73
sommeil,sommeil,21
/.,/.,P
comme,comme,83
à,à,81
son,son,73
haleine,haleine,22
mademoiselle,mademoiselle,22
aurait,avoir,16
pu,pouvoir,12
s',se,51
apercevoir,apercevoir,14
qu',que,83
elle,il,51
buvait,boire,18
",",",",p
elle,il,51
mangea,manger,19
de,de,81
l',le,71
ail,ail,21
et,et,82
de,de,81
l',le,71
échalote,échalote,22
",",",",p
et,et,82
cacha,cacher,19
avec,avec,81
leur,leur,73
empuantissement,empuantissement,21
l',le,71
odeur,odeur,22
de,de,81
ses,son,73
ivresses,ivresse,22
/.,/.,P
ses,son,73
ivresses,ivresse,22
mêmes,même,30
",",",",p
ses,son,73
torpeurs,torpeur,22
soûles,soûler,17
",",",",p
elle,il,51
les,le,52
dressa,dresser,19
à,à,81
se,se,51
réveiller,réveiller,14
au,à,81
au,le,71
pas,pas,21
de,de,81
sa,son,73
maîtresse,maîtresse,22
et,et,82
à,à,81
rester,rester,14
éveillées,éveillé,31
devant,devant,81
elle,il,51
/.,/.,P
elle,il,51
menait,mener,18
ainsi,ainsi,60
comme,comme,83
deux,deux,72
existences,existence,22
/.,/.,P
elle,il,51
était,être,18
comme,comme,83
deux,deux,72
femmes,femme,22
",",",",p
et,et,82
à,à,81
force,force,22
d',de,81
énergie,énergie,22
",",",",p
d',de,81
adresse,adresse,22
",",",",p
de,de,81
diplomatie,diplomatie,22
féminine,féminin,30
",",",",p
avec,avec,81
un,un,71
sang-froid,sang-froid,21
toujours,toujours,60
présent,présent,30
dans,dans,81
le,le,71
trouble,trouble,21
même,même,30
de,de,81
la,le,71
boisson,boisson,22
",",",",p
elle,il,51
parvint,parvenir,19
à,à,81
séparer,séparer,14
ces,ce,74
deux,deux,72
existences,existence,22
",",",",p
à,à,81
les,le,52
vivre,vivre,14
toutes,tout,75
les,le,71
deux,deux,72
sans,sans,81
les,le,52
mêler,mêler,14
",",",",p
à,à,81
ne,ne,60
pas,pas,60
laisser,laisser,14
se,se,51
confondre,confondre,14
les,le,71
deux,deux,72
femmes,femme,22
qui,qui,52
étaient,être,18
en,en,81
elle,il,51
",",",",p
à,à,81
rester,rester,14
auprès,auprès,60
de,de,81
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
la,le,71
fille,fille,22
honnête,honnête,30
et,et,82
rangée,rangé,31
qu',que,52
elle,il,51
avait,avoir,18
été,être,12
",",",",p
à,à,81
sortir,sortir,14
de,de,81
l',le,71
orgie,orgie,22
sans,sans,81
en,en,52
emporter,emporter,14
le,le,71
goût,goût,21
",",",",p
à,à,81
montrer,montrer,14
quand,quand,83
elle,il,51
venait,venir,18
de,de,81
quitter,quitter,14
son,son,73
amant,amant,21
une,un,71
sorte,sorte,22
de,de,81
pudeur,pudeur,22
de,de,81
vieille,vieux,30
fille,fille,22
dégoûtée,dégoûté,31
du,de,81
du,le,71
scandale,scandale,21
des,de,81
des,le,71
autres,autre,75
bonnes,bonne,22
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
ni,ni,82
un,un,71
propos,propos,21
",",",",p
ni,ni,82
un,un,71
genre,genre,21
de,de,81
tenue,tenue,22
qui,qui,52
éveillât,éveiller,18
le,le,71
soupçon,soupçon,21
de,de,81
sa,son,73
vie,vie,22
clandestine,clandestin,30
;,;,p
rien,rien,52
en,en,81
elle,il,51
ne,ne,60
sentait,sentir,18
ses,son,73
nuits,nuit,22
/.,/.,P
en,en,81
mettant,mettre,13
le,le,71
pied,pied,21
sur,sur,81
le,le,71
paillasson,paillasson,21
de,de,81
l',le,71
appartement,appartement,21
de,de,81
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
",",",",p
en,en,81
l',le,52
approchant,approcher,13
",",",",p
en,en,81
se,se,51
trouvant,trouver,13
en,en,81
face,face,22
d',de,81
elle,il,51
",",",",p
elle,il,51
prenait,prendre,18
la,le,71
parole,parole,22
",",",",p
l',le,71
attitude,attitude,22
",",",",p
même,même,60
de,de,81
certains,certain,75
plis,pli,21
de,de,81
robe,robe,22
qui,qui,52
écartent,écarter,17
d',de,81
une,un,71
femme,femme,22
jusqu',jusque,81
à,à,81
la,le,71
pensée,pensée,22
des,de,81
des,le,71
approches,approche,22
de,de,81
l',le,71
homme,homme,21
/.,/.,P
elle,il,51
parlait,parler,18
librement,librement,60
de,de,81
toutes,tout,75
choses,chose,22
",",",",p
comme,comme,83
n',ne,60
ayant,avoir,13
à,à,81
rougir,rougir,14
de,de,81
rien,rien,52
/.,/.,P
elle,il,51
était,être,18
amère,amer,30
aux,à,81
aux,le,71
fautes,faute,22
et,et,82
aux,à,81
aux,le,71
hontes,honte,22
d',de,81
autrui,autrui,21
",",",",p
ainsi,ainsi,60
qu',que,83
une,un,71
personne,personne,22
sans,sans,81
reproche,reproche,21
/.,/.,P
elle,il,51
plaisantait,plaisanter,18
de,de,81
l',le,71
amour,amour,21
avec,avec,81
sa,son,73
maîtresse,maîtresse,22
",",",",p
gaiement,gaiement,60
",",",",p
sans,sans,81
embarras,embarras,21
",",",",p
d',de,81
une,un,71
façon,façon,22
détachée,détaché,31
:,:,p
on,on,51
aurait,avoir,16
cru,croire,12
l',le,52
entendre,entendre,14
causer,causer,14
d',de,81
une,un,71
vieille,vieux,30
connaissance,connaissance,22
qu',que,52
elle,il,51
aurait,avoir,16
perdue,perdre,12
de,de,81
vue,vue,22
/.,/.,P
et,et,82
il,il,51
y,y,52
avait,avoir,18
autour,autour,60
de,de,81
ses,son,73
trente,trente,72
cinq,cinq,72
ans,an,21
",",",",p
pour,pour,81
tous,tout,75
ceux,celui,52
qui,qui,52
ne,ne,60
la,le,52
voyaient,voir,18
que,que,83
comme,comme,83
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
et,et,82
chez,chez,81
elle,il,51
",",",",p
une,un,71
certaine,certain,75
atmosphère,atmosphère,22
de,de,81
chasteté,chasteté,22
particulière,particulier,30
",",",",p
le,le,71
parfum,parfum,21
d',de,81
honnêteté,honnêteté,22
sévère,sévère,30
et,et,82
insoupçonnable,insoupçonnable,30
",",",",p
spécial,spécial,30
aux,à,81
aux,le,71
vieilles,vieux,30
bonnes,bonne,22
et,et,82
aux,à,81
aux,le,71
femmes,femme,22
laides,laid,30
/.,/.,P
cependant,cependant,82
tout,tout,75
ce,ce,74
mensonge,mensonge,21
d',de,81
apparences,apparence,22
n',ne,60
était,être,18
pas,pas,60
de,de,81
l',le,71
hypocrisie,hypocrisie,22
chez,chez,81
Germinie,Germinie,20
/.,/.,P
il,il,51
ne,ne,60
venait,venir,18
pas,pas,60
d',de,81
une,un,71
duplicité,duplicité,22
perverse,pervers,30
",",",",p
d',de,81
un,un,71
calcul,calcul,21
corrompu,corrompu,31
:,:,p
c',ce,52
était,être,18
son,son,73
affection,affection,22
pour,pour,81
mademoiselle,mademoiselle,22
qui,qui,52
la,le,52
faisait,faire,18
être,être,14
ce,ce,52
qu',que,52
elle,il,51
était,être,18
chez,chez,81
elle,il,51
/.,/.,P
elle,il,51
voulait,vouloir,18
à,à,81
tout,tout,75
prix,prix,21
lui,lui,51
éviter,éviter,14
le,le,71
chagrin,chagrin,21
de,de,81
la,le,52
voir,voir,14
et,et,82
de,de,81
pénétrer,pénétrer,14
au,à,81
au,le,71
fond,fond,21
d',de,81
elle,il,51
/.,/.,P
elle,il,51
la,le,52
trompait,tromper,18
uniquement,uniquement,60
pour,pour,81
garder,garder,14
sa,son,73
tendresse,tendresse,22
",",",",p
avec,avec,81
une,un,71
sorte,sorte,22
de,de,81
respect,respect,21
;,;,p
et,et,82
dans,dans,81
l',le,71
horrible,horrible,30
comédie,comédie,22
qu',que,52
elle,il,51
jouait,jouer,18
",",",",p
un,un,71
sentiment,sentiment,21
pieux,pieux,30
",",",",p
presque,presque,60
religieux,religieux,30
",",",",p
se,se,51
glissait,glisser,18
",",",",p
pareil,pareil,30
au,à,81
au,le,71
sentiment,sentiment,21
d',de,81
une,un,71
fille,fille,22
mentant,mentir,13
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
sa,son,73
mère,mère,22
pour,pour,81
ne,ne,60
pas,pas,60
lui,lui,51
désoler,désoler,14
le,le,71
coeur,coeur,21
/.,/.,P
<XXXVII.>,<>,<>
mentir,mentir,14
!,!,p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
plus,plus,60
que,que,83
cela,cela,52
/.,/.,P
elle,il,51
éprouvait,éprouver,18
comme,comme,83
une,un,71
impossibilité,impossibilité,22
de,de,81
se,se,51
retirer,retirer,14
d',de,81
où,où,60
elle,il,51
était,être,18
/.,/.,P
elle,il,51
ne,ne,60
soutenait,soutenir,18
même,même,60
pas,pas,60
l',le,71
idée,idée,22
d',de,81
un,un,71
effort,effort,21
pour,pour,81
en,en,52
sortir,sortir,14
",",",",p
tant,tant,60
la,le,71
tentative,tentative,22
lui,lui,51
paraissait,paraître,18
inutile,inutile,30
",",",",p
tant,tant,60
elle,il,51
se,se,51
trouvait,trouver,18
lâche,lâche,30
",",",",p
abîmée,abîmé,31
et,et,82
vaincue,vaincu,31
",",",",p
tant,tant,60
elle,il,51
se,se,51
sentait,sentir,18
encore,encore,60
toute,tout,60
nouée,noué,31
à,à,81
cet,ce,74
homme,homme,21
par,par,81
toutes,tout,75
sortes,sorte,22
de,de,81
chaînes,chaîne,22
basses,bas,30
et,et,82
de,de,81
liens,lien,21
dégradants,dégradant,30
",",",",p
jusque,jusque,81
par,par,81
le,le,71
mépris,mépris,21
qu',que,52
il,il,51
ne,ne,60
lui,lui,51
cachait,cacher,18
plus,plus,60
/!,/!,P
quelquefois,quelquefois,60
",",",",p
en,en,81
réfléchissant,réfléchir,13
sur,sur,81
elle-même,lui-même,51
",",",",p
elle,il,51
était,être,18
effrayée,effrayer,12
/.,/.,P
des,de,81
des,le,71
idées,idée,22
",",",",p
des,de,81
des,le,71
peurs,peur,22
de,de,81
village,village,21
lui,lui,51
revenaient,revenir,18
/.,/.,P
et,et,82
ses,son,73
superstitions,superstition,22
de,de,81
jeunesse,jeunesse,22
lui,lui,51
disaient,dire,18
tout,tout,60
bas,bas,60
que,que,83
cet,ce,74
homme,homme,21
lui,lui,51
avait,avoir,18
jeté,jeter,12
un,un,71
sort,sort,21
",",",",p
que,que,83
peut-être,peut-être,60
il,il,51
lui,lui,51
avait,avoir,18
fait,faire,12
manger,manger,14
du,de,81
du,le,71
pain,pain,21
à,à,81
chanter,chanter,14
/.,/.,P
et,et,82
sans,sans,81
cela,cela,52
",",",",p
aurait,avoir,16
elle,il,51
été,être,12
comme,comme,83
elle,il,51
était,être,18
/?,/?,P
aurait,avoir,16
elle,il,51
eu,avoir,12
",",",",p
rien,rien,52
qu',que,83
à,à,81
le,le,52
voir,voir,14
",",",",p
cette,ce,74
émotion,émotion,22
de,de,81
tout,tout,75
l',le,52
être,être,14
",",",",p
cette,ce,74
sensation,sensation,22
presque,presque,60
animale,animal,30
de,de,81
l',le,71
approche,approche,22
d',de,81
un,un,71
maître,maître,21
/?,/?,P
aurait,avoir,16
elle,il,51
senti,sentir,12
tout,tout,75
son,son,73
corps,corps,21
",",",",p
sa,son,73
bouche,bouche,22
",",",",p
ses,son,73
bras,bras,21
",",",",p
l',le,71
amour,amour,21
et,et,82
la,le,71
caresse,caresse,22
de,de,81
ses,son,73
gestes,geste,21
aller,aller,14
involontairement,involontairement,60
à,à,81
lui,lui,51
/?,/?,P
lui,lui,51
aurait,avoir,16
elle,il,51
appartenu,appartenir,12
ainsi,ainsi,60
tout,tout,60
entière,entier,30
/?,/?,P
longuement,longuement,60
et,et,82
amèrement,amèrement,60
",",",",p
elle,il,51
se,se,51
rappelait,rappeler,18
à,à,81
elle-même,lui-même,51
tout,tout,52
ce,ce,52
qui,qui,52
aurait,avoir,16
dû,devoir,12
la,le,52
guérir,guérir,14
",",",",p
la,le,52
sauver,sauver,14
",",",",p
les,le,71
dédains,dédain,21
de,de,81
cet,ce,74
homme,homme,21
",",",",p
ses,son,73
injures,injure,22
",",",",p
la,le,71
corruption,corruption,22
des,de,81
des,le,71
plaisirs,plaisir,21
qu',que,52
il,il,51
avait,avoir,18
exigés,exiger,12
d',de,81
elle,il,51
",",",",p
et,et,82
elle,il,51
était,être,18
forcée,forcer,12
de,de,81
s',se,51
avouer,avouer,14
que,que,83
rien,rien,52
ne,ne,60
lui,lui,51
avait,avoir,18
coûté,coûter,12
à,à,81
sacrifier,sacrifier,14
pour,pour,81
cet,ce,74
homme,homme,21
et,et,82
qu',que,83
elle,il,51
avait,avoir,18
dévoré,dévorer,12
pour,pour,81
lui,lui,51
jusqu',jusque,81
aux,à,81
aux,le,71
derniers,dernier,30
dégoûts,dégoût,21
/.,/.,P
elle,il,51
cherchait,chercher,18
à,à,81
imaginer,imaginer,14
le,le,71
degré,degré,21
d',de,81
abaissement,abaissement,21
où,où,60
son,son,73
amour,amour,21
refuserait,refuser,16
de,de,81
descendre,descendre,14
",",",",p
elle,il,51
ne,ne,60
le,le,52
trouvait,trouver,18
pas,pas,60
/.,/.,P
il,il,51
pouvait,pouvoir,18
faire,faire,14
d',de,81
elle,il,51
ce,ce,52
qu',que,52
il,il,51
voulait,vouloir,18
",",",",p
l',le,52
insulter,insulter,14
",",",",p
la,le,52
battre,battre,14
",",",",p
elle,il,51
resterait,rester,16
à,à,81
lui,lui,51
sous,sous,81
le,le,71
talon,talon,21
de,de,81
ses,son,73
bottes,botte,22
/!,/!,P
elle,il,51
ne,ne,60
se,se,51
voyait,voir,18
pas,pas,60
ne,ne,60
lui,lui,51
appartenant,appartenir,13
plus,plus,60
/.,/.,P
elle,il,51
ne,ne,60
se,se,51
voyait,voir,18
pas,pas,60
sans,sans,81
lui,lui,51
/.,/.,P
cet,ce,74
homme,homme,21
à,à,81
aimer,aimer,14
lui,lui,51
était,être,18
nécessaire,nécessaire,30
",",",",p
elle,il,51
se,se,51
réchauffait,réchauffer,18
à,à,81
lui,lui,51
",",",",p
elle,il,51
vivait,vivre,18
de,de,81
lui,lui,51
",",",",p
elle,il,51
le,le,52
respirait,respirer,18
/.,/.,P
autour,autour,60
d',de,81
elle,il,51
",",",",p
rien,rien,52
ne,ne,60
lui,lui,51
semblait,sembler,18
exister,exister,14
de,de,81
pareil,pareil,30
parmi,parmi,81
les,le,71
femmes,femme,22
de,de,81
sa,son,73
condition,condition,22
/.,/.,P
aucune,aucun,52
des,de,81
des,le,71
camarades,camarade,21
qu',que,52
elle,il,51
approchait,approcher,18
ne,ne,60
mettait,mettre,18
dans,dans,81
une,un,71
liaison,liaison,22
l',le,71
âpreté,âpreté,22
",",",",p
l',le,71
amertume,amertume,22
",",",",p
le,le,71
tourment,tourment,21
",",",",p
le,le,71
bonheur,bonheur,21
de,de,81
souffrir,souffrir,14
qu',que,83
elle,il,51
trouvait,trouver,18
dans,dans,81
la,le,71
sienne,sien,52
/.,/.,P
aucune,aucun,52
n',ne,60
y,y,52
mettait,mettre,18
cela,cela,52
qui,qui,52
la,le,52
tuait,tuer,18
et,et,82
dont,dont,52
elle,il,51
ne,ne,60
pouvait,pouvoir,18
