11402
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-neuvième extrait>,<>,<>
riant,rire,13
de,de,81
ce,ce,52
qui,qui,52
lui,lui,51
arrivait,arriver,18
",",",",p
il,il,51
avait,avoir,18
oublié,oublier,12
de,de,81
songer,songer,14
sérieusement,sérieusement,60
à,à,81
la,le,71
convenance,convenance,22
du,de,81
du,le,71
départ,départ,21
/.,/.,P
c',ce,52
était,être,18
une,un,71
fatalité,fatalité,22
de,de,81
son,son,73
caractère,caractère,21
d',de,81
être,être,14
extrêmement,extrêmement,60
sensible,sensible,30
à,à,81
ses,son,73
fautes,faute,22
/.,/.,P
il,il,51
était,être,18
fort,fort,60
contrarié,contrarier,12
de,de,81
celle-ci,celui-ci,52
",",",",p
et,et,82
ne,ne,60
songeait,songer,18
presque,presque,60
plus,plus,60
à,à,81
la,le,71
victoire,victoire,22
incroyable,incroyable,30
qui,qui,52
avait,avoir,18
précédé,précéder,12
ce,ce,74
petit,petit,30
échec,échec,21
",",",",p
lorsque,lorsque,83
",",",",p
vers,vers,81
les,le,71
neuf,neuf,72
heures,heure,22
",",",",p
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
parut,paraître,19
sur,sur,81
le,le,71
seuil,seuil,21
de,de,81
la,le,71
porte,porte,22
de,de,81
la,le,71
bibliothèque,bibliothèque,22
",",",",p
lui,lui,51
jeta,jeter,19
une,un,71
lettre,lettre,22
et,et,82
s',se,51
enfuit,enfuir,19
/.,/.,P
il,il,51
paraît,paraître,17
que,que,83
ceci,ceci,52
va,aller,17
être,être,14
le,le,71
roman,roman,21
par,par,81
lettres,lettre,22
",",",",p
dit,dire,19
il,il,51
en,en,81
relevant,relever,13
celle-ci,celui-ci,52
/.,/.,P
l',le,71
ennemi,ennemi,21
fait,faire,17
un,un,71
faux,faux,30
mouvement,mouvement,21
",",",",p
moi,moi,51
je,je,51
vais,aller,17
faire,faire,14
donner,donner,14
la,le,71
froideur,froideur,22
et,et,82
la,le,71
vertu,vertu,22
/.,/.,P
on,on,51
lui,lui,51
demandait,demander,18
une,un,71
réponse,réponse,22
décisive,décisif,30
avec,avec,81
une,un,71
hauteur,hauteur,22
qui,qui,52
augmenta,augmenter,19
sa,son,73
gaieté,gaieté,22
intérieure,intérieur,30
/.,/.,P
il,il,51
se,se,51
donna,donner,19
le,le,71
plaisir,plaisir,21
de,de,81
mystifier,mystifier,14
",",",",p
pendant,pendant,81
deux,deux,72
pages,page,22
",",",",p
les,le,71
personnes,personne,22
qui,qui,52
voudraient,vouloir,16
se,se,51
moquer,moquer,14
de,de,81
lui,lui,51
",",",",p
et,et,82
ce,ce,52
fut,être,19
encore,encore,60
par,par,81
une,un,71
plaisanterie,plaisanterie,22
qu',que,83
il,il,51
annonça,annoncer,19
",",",",p
vers,vers,81
la,le,71
fin,fin,22
de,de,81
sa,son,73
réponse,réponse,22
",",",",p
son,son,73
départ,départ,21
décidé,décidé,31
pour,pour,81
le,le,71
lendemain,lendemain,21
matin,matin,21
/.,/.,P
cette,ce,74
lettre,lettre,22
terminée,terminé,31
:,:,p
le,le,71
jardin,jardin,21
va,aller,17
me,je,51
servir,servir,14
pour,pour,81
la,le,52
remettre,remettre,14
",",",",p
pensa,penser,19
t,t,94
il,il,51
",",",",p
et,et,82
il,il,51
y,y,52
alla,aller,19
/.,/.,P
il,il,51
regardait,regarder,18
la,le,71
fenêtre,fenêtre,22
de,de,81
la,le,71
chambre,chambre,22
de,de,81
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
/.,/.,P
elle,il,51
était,être,18
au,à,81
au,le,71
premier,premier,72
étage,étage,21
",",",",p
à,à,81
côté,côté,21
de,de,81
l',le,71
appartement,appartement,21
de,de,81
sa,son,73
mère,mère,22
",",",",p
mais,mais,82
il,il,51
y,y,52
avait,avoir,18
un,un,71
grand,grand,30
entresol,entresol,21
/.,/.,P
ce,ce,74
premier,premier,72
était,être,18
tellement,tellement,60
élevé,élever,12
",",",",p
qu',que,83
en,en,81
se,se,51
promenant,promener,13
sous,sous,81
l',le,71
allée,allée,22
de,de,81
tilleuls,tilleul,21
",",",",p
sa,son,73
lettre,lettre,22
à,à,81
la,le,71
main,main,22
",",",",p
Julien,Julien,20
ne,ne,60
pouvait,pouvoir,18
être,être,14
aperçu,apercevoir,12
de,de,81
la,le,71
fenêtre,fenêtre,22
de,de,81
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
/.,/.,P
la,le,71
voûte,voûte,22
formée,formé,31
par,par,81
les,le,71
tilleuls,tilleul,21
",",",",p
fort,fort,60
bien,bien,60
taillés,taillé,31
",",",",p
interceptait,intercepter,18
la,le,71
vue,vue,22
/.,/.,P
mais,mais,82
quoi,quoi,52
!,!,p
se,se,51
dit,dire,19
Julien,Julien,20
avec,avec,81
humeur,humeur,22
",",",",p
encore,encore,60
une,un,71
imprudence,imprudence,22
/!,/!,P
si,si,83
l',l',94
on,on,51
a,avoir,17
entrepris,entreprendre,12
de,de,81
se,se,51
moquer,moquer,14
de,de,81
moi,moi,51
",",",",p
me,je,51
faire,faire,14
voir,voir,14
une,un,71
lettre,lettre,22
à,à,81
la,le,71
main,main,22
",",",",p
c',ce,52
est,être,17
servir,servir,14
mes,mon,73
ennemis,ennemi,21
/.,/.,P
la,le,71
chambre,chambre,22
de,de,81
Norbert,Norbert,20
était,être,18
précisément,précisément,60
au-dessus,au-dessus,60
de,de,81
celle,celui,52
de,de,81
sa,son,73
soeur,soeur,22
",",",",p
et,et,82
si,si,83
Julien,Julien,20
sortait,sortir,18
de,de,81
la,le,71
voûte,voûte,22
formée,formé,31
par,par,81
les,le,71
branches,branche,22
taillées,taillé,31
des,de,81
des,le,71
tilleuls,tilleul,21
",",",",p
le,le,71
comte,comte,21
et,et,82
ses,son,73
amis,ami,21
pouvaient,pouvoir,18
suivre,suivre,14
tous,tout,75
ses,son,73
mouvements,mouvement,21
/.,/.,P
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
parut,paraître,19
derrière,derrière,81
sa,son,73
vitre,vitre,22
;,;,p
il,il,51
montra,montrer,19
sa,son,73
lettre,lettre,22
à,à,81
demi,demi,30
;,;,p
elle,il,51
baissa,baisser,19
la,le,71
tête,tête,22
/.,/.,P
aussitôt,aussitôt,60
Julien,Julien,20
remonta,remonter,19
chez,chez,81
lui,lui,51
en,en,81
courant,courir,13
",",",",p
et,et,82
rencontra,rencontrer,19
par,par,81
hasard,hasard,21
",",",",p
dans,dans,81
le,le,71
grand,grand,30
escalier,escalier,21
",",",",p
la,le,71
belle,beau,30
Mathilde,Mathilde,20
",",",",p
qui,qui,52
saisit,saisir,19
sa,son,73
lettre,lettre,22
avec,avec,81
une,un,71
aisance,aisance,22
parfaite,parfait,31
et,et,82
des,de,81
des,le,71
yeux,oeil,21
riants,riant,30
/.,/.,P
que,que,52
de,de,81
passion,passion,22
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
les,le,71
yeux,oeil,21
de,de,81
cette,ce,74
pauvre,pauvre,30
madame,madame,22
de,de,81
Rênal,Rênal,20
",",",",p
se,se,51
dit,dire,19
Julien,Julien,20
",",",",p
quand,quand,83
",",",",p
même,même,60
après,après,81
six,six,72
mois,mois,21
de,de,81
relations,relation,22
intimes,intime,30
",",",",p
elle,il,51
osait,oser,18
recevoir,recevoir,14
une,un,71
lettre,lettre,22
de,de,81
moi,moi,51
/!,/!,P
de,de,81
sa,son,73
vie,vie,22
",",",",p
je,je,51
crois,croire,17
",",",",p
elle,il,51
ne,ne,60
m',je,51
a,avoir,17
regardé,regarder,12
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
riants,riant,30
/.,/.,P
il,il,51
ne,ne,60
s',se,51
exprima,exprimer,19
pas,pas,60
aussi,aussi,60
nettement,nettement,60
le,le,71
reste,reste,21
de,de,81
sa,son,73
réponse,réponse,22
;,;,p
avait,avoir,18
il,il,51
honte,honte,22
de,de,81
la,le,71
futilité,futilité,22
des,de,81
des,le,71
motifs,motif,21
/?,/?,P
mais,mais,82
aussi,aussi,60
quelle,quel,75
différence,différence,22
",",",",p
ajoutait,ajouter,18
sa,son,73
pensée,pensée,22
",",",",p
dans,dans,81
l',le,71
élégance,élégance,22
de,de,81
la,le,71
robe,robe,22
du,de,81
du,le,71
matin,matin,21
",",",",p
dans,dans,81
l',le,71
élégance,élégance,22
de,de,81
la,le,71
tournure,tournure,22
/!,/!,P
en,en,81
apercevant,apercevoir,13
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
à,à,81
trente,trente,72
pas,pas,21
de,de,81
distance,distance,22
",",",",p
un,un,71
homme,homme,21
de,de,81
goût,goût,21
devinerait,deviner,16
le,le,71
rang,rang,21
qu',que,52
elle,il,51
occupe,occuper,17
dans,dans,81
la,le,71
société,société,22
/.,/.,P
voilà,voilà,81
ce,ce,52
qu',que,52
on,on,51
peut,pouvoir,17
appeler,appeler,14
un,un,71
mérite,mérite,21
explicite,expliciter,17
/.,/.,P
tout,tout,60
en,en,81
plaisantant,plaisanter,13
",",",",p
Julien,Julien,20
ne,ne,60
s',se,51
avouait,avouer,18
pas,pas,60
encore,encore,60
toute,tout,75
sa,son,73
pensée,pensée,22
;,;,p
madame,madame,22
de,de,81
Rênal,Rênal,20
n',ne,60
avait,avoir,18
pas,pas,60
de,de,81
marquis,marquis,21
de,de,81
Croisenois,Croisenois,20
à,à,81
lui,lui,51
sacrifier,sacrifier,14
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
pour,pour,81
rival,rival,30
que,que,83
cet,ce,74
ignoble,ignoble,30
sous-préfet,sous-préfet,21
monsieur,monsieur,21
Charcot,Charcot,20
",",",",p
qui,qui,52
se,se,51
faisait,faire,18
appeler,appeler,14
de,de,81
Maugiron,Maugiron,20
",",",",p
parce qu',parce que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
de,de,81
Maugirons,Maugiron,20
/.,/.,P
à,à,81
cinq,cinq,72
heures,heure,22
",",",",p
Julien,Julien,20
reçut,recevoir,19
une,un,71
troisième,troisième,72
lettre,lettre,22
;,;,p
elle,il,51
lui,lui,51
fut,être,19
lancée,lancer,12
de,de,81
la,le,71
porte,porte,22
de,de,81
la,le,71
bibliothèque,bibliothèque,22
/.,/.,P
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
s',se,51
enfuit,enfuir,19
encore,encore,60
/.,/.,P
quelle,quel,75
manie,manie,22
d',de,81
écrire,écrire,14
!,!,p
se,se,51
dit,dire,19
il,il,51
en,en,81
riant,rire,13
",",",",p
quand,quand,83
on,on,51
peut,pouvoir,17
se,se,51
parler,parler,14
si,si,60
commodément,commodément,60
/!,/!,P
l',le,71
ennemi,ennemi,21
veut,vouloir,17
avoir,avoir,14
de,de,81
mes,mon,73
lettres,lettre,22
",",",",p
c',ce,52
est,être,17
clair,clair,30
",",",",p
et,et,82
plusieurs,plusieurs,75
/!,/!,P
il,il,51
ne,ne,60
se,se,51
hâtait,hâter,18
point,point,60
d',de,81
ouvrir,ouvrir,14
celle-ci,celui-ci,52
/.,/.,P
encore,encore,60
des,de,81
des,le,71
phrases,phrase,22
élégantes,élégant,30
",",",",p
pensait,penser,18
il,il,51
;,;,p
mais,mais,82
il,il,51
pâlit,pâlir,19
en,en,81
lisant,lire,13
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
que,que,83
huit,huit,72
lignes,ligne,22
/.,/.,P
“,“,p
j',je,51
ai,avoir,17
besoin,besoin,21
de,de,81
vous,vous,51
parler,parler,14
:,:,p
il,il,51
faut,falloir,17
que,que,83
je,je,51
vous,vous,51
parle,parler,17
",",",",p
ce,ce,74
soir,soir,21
;,;,p
au,à,81
au,le,71
moment,moment,21
où,où,60
une,un,71
heure,heure,22
après,après,81
minuit,minuit,21
sonnera,sonner,15
",",",",p
trouvez,trouver,17
vous,vous,51
dans,dans,81
le,le,71
jardin,jardin,21
/.,/.,P
prenez,prendre,17
la,le,71
grande,grand,30
échelle,échelle,22
du,de,81
du,le,71
jardinier,jardinier,21
auprès,auprès,60
du,de,81
du,le,71
puits,puits,21
;,;,p
placez,placer,17
la,le,52
contre,contre,81
ma,mon,73
fenêtre,fenêtre,22
et,et,82
montez,monter,17
chez,chez,81
moi,moi,51
/.,/.,P
il,il,51
fait,faire,17
clair,clair,21
de,de,81
lune,lune,22
",",",",p
n',ne,60
importe,importer,17
/.,/.,P
“,“,p
est,être,17
ce,ce,52
un,un,71
complot,complot,21
/?,/?,P
ah,ah,93
!,!,p
que,que,52
l',le,71
intervalle,intervalle,21
est,être,17
cruel,cruel,30
entre,entre,81
un,un,71
grand,grand,30
projet,projet,21
conçu,conçu,31
et,et,82
son,son,73
exécution,exécution,22
/!,/!,P
que,que,52
de,de,81
vaines,vain,30
terreurs,terreur,22
!,!,p
que,que,52
d',de,81
irrésolutions,irrésolution,22
/!,/!,P
il,il,51
s',se,51
agit,agir,17
de,de,81
la,le,71
vie,vie,22
/.,/.,P
-,-,p
il,il,51
s',se,51
agit,agir,17
de,de,81
bien,bien,60
plus,plus,60
:,:,p
de,de,81
l',le,71
honneur,honneur,21
/!,/!,P
Schiller,Schiller,20
/.,/.,P
ceci,ceci,52
devient,devenir,17
sérieux,sérieux,21
",",",",p
pensa,penser,19
Julien,Julien,20
…,…,p
et,et,82
un,un,71
peu,peu,60
trop,trop,60
clair,clair,30
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
après,après,81
avoir,avoir,14
pensé,penser,12
/.,/.,P
quoi,quoi,52
!,!,p
cette,ce,74
belle,beau,30
demoiselle,demoiselle,22
peut,pouvoir,17
me,je,51
parler,parler,14
dans,dans,81
la,le,71
bibliothèque,bibliothèque,22
avec,avec,81
une,un,71
liberté,liberté,22
qui,qui,52
",",",",p
grâce,grâce,22
à,à,81
dieu,dieu,21
",",",",p
est,être,17
entière,entier,30
;,;,p
le,le,71
marquis,marquis,21
",",",",p
dans,dans,81
la,le,71
peur,peur,22
qu',que,52
il,il,51
a,avoir,17
que,que,83
je,je,51
ne,ne,60
lui,lui,51
montre,montrer,17
des,de,81
des,le,71
comptes,compte,21
",",",",p
n',ne,60
y,y,52
vient,venir,17
jamais,jamais,60
/.,/.,P
quoi,quoi,52
/!,/!,P
monsieur,monsieur,21
de,de,81
La Mole,La Mole,20
et,et,82
le,le,71
comte,comte,21
Norbert,Norbert,20
",",",",p
les,le,71
seules,seul,30
personnes,personne,22
qui,qui,52
entrent,entrer,17
ici,ici,60
",",",",p
sont,être,17
absents,absent,30
presque,presque,60
toute,tout,75
la,le,71
journée,journée,22
;,;,p
on,on,51
peut,pouvoir,17
facilement,facilement,60
observer,observer,14
le,le,71
moment,moment,21
de,de,81
leur,leur,73
rentrée,rentrée,22
à,à,81
l',le,71
hôtel,hôtel,21
",",",",p
et,et,82
la,le,71
sublime,sublime,30
Mathilde,Mathilde,20
",",",",p
pour,pour,81
la,le,71
main,main,22
de,de,81
laquelle,lequel,52
un,un,71
prince,prince,21
souverain,souverain,30
ne,ne,60
serait,être,16
pas,pas,60
trop,trop,60
noble,noble,30
",",",",p
veut,vouloir,17
que,que,83
je,je,51
commette,commettre,17
une,un,71
imprudence,imprudence,22
abominable,abominable,30
/!,/!,P
c',ce,52
est,être,17
clair,clair,30
",",",",p
on,on,51
veut,vouloir,17
me,je,51
perdre,perdre,14
ou,ou,82
se,se,51
moquer,moquer,14
de,de,81
moi,moi,51
",",",",p
tout,tout,60
au,à,81
au,le,71
moins,moins,60
/.,/.,P
d'abord,d'abord,60
",",",",p
on,on,51
a,avoir,17
voulu,vouloir,12
me,je,51
perdre,perdre,14
avec,avec,81
mes,mon,73
lettres,lettre,22
;,;,p
elles,ils,51
se,se,51
trouvent,trouver,17
prudentes,prudent,30
;,;,p
eh,eh,93
bien,bien,60
!,!,p
il,il,51
leur,leur,52
faut,falloir,17
une,un,71
action,action,22
plus,plus,60
claire,clair,30
que,que,83
le,le,71
jour,jour,21
/.,/.,P
ces,ce,74
jolis,joli,30
petits,petit,21
messieurs,monsieur,21
me,je,51
croient,croire,17
aussi,aussi,60
trop,trop,60
bête,bête,30
ou,ou,82
trop,trop,60
fat,fat,30
/.,/.,P
diable,diable,21
!,!,p
par,par,81
le,le,71
plus,plus,60
beau,beau,30
clair,clair,21
de,de,81
lune,lune,22
du,de,81
du,le,71
monde,monde,21
",",",",p
monter,monter,14
ainsi,ainsi,60
par,par,81
une,un,71
échelle,échelle,22
à,à,81
un,un,71
premier,premier,72
étage,étage,21
de,de,81
vingt,vingt,72
cinq,cinq,72
pieds,pied,21
d',de,81
élévation,élévation,22
!,!,p
on,on,51
aura,avoir,15
le,le,71
temps,temps,21
de,de,81
me,je,51
voir,voir,14
",",",",p
même,même,60
des,de,81
des,le,71
hôtels,hôtel,21
voisins,voisin,30
/.,/.,P
je,je,51
serai,être,16
beau,beau,30
sur,sur,81
mon,mon,73
échelle,échelle,22
/!,/!,P
Julien,Julien,20
monta,monter,19
chez,chez,81
lui,lui,51
et,et,82
se,se,51
mit,mettre,19
à,à,81
faire,faire,14
sa,son,73
malle,malle,22
en,en,81
sifflant,siffler,13
/.,/.,P
il,il,51
était,être,18
résolu,résoudre,12
à,à,81
partir,partir,14
et,et,82
à,à,81
ne,ne,60
pas,pas,60
même,même,60
répondre,répondre,14
/.,/.,P
mais,mais,82
cette,ce,74
sage,sage,30
résolution,résolution,22
ne,ne,60
lui,lui,51
donnait,donner,18
pas,pas,60
la,le,71
paix,paix,22
du,de,81
du,le,71
coeur,coeur,21
/.,/.,P
si,si,83
par,par,81
hasard,hasard,21
",",",",p
se,se,51
dit,dire,19
il,il,51
tout,tout,60
à,à,81
coup,coup,21
",",",",p
sa,son,73
malle,malle,22
fermée,fermé,31
",",",",p
Mathilde,Mathilde,20
était,être,18
de,de,81
bonne,bon,30
foi,foi,22
!,!,p
alors,alors,60
moi,moi,51
je,je,51
joue,jouer,17
",",",",p
à,à,81
ses,son,73
yeux,oeil,21
",",",",p
le,le,71
rôle,rôle,21
d',de,81
un,un,71
lâche,lâche,30
parfait,parfait,31
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
point,point,60
de,de,81
naissance,naissance,22
",",",",p
moi,moi,51
",",",",p
il,il,51
me,je,51
faut,falloir,17
de,de,81
grandes,grand,30
qualités,qualité,22
",",",",p
argent,argent,21
comptant,comptant,30
",",",",p
sans,sans,81
suppositions,supposition,22
complaisantes,complaisant,30
",",",",p
bien,bien,60
prouvées,prouvé,31
par,par,81
des,de,81
des,le,71
actions,action,22
parlantes,parlant,30
/…,/…,P
il,il,51
fut,être,19
un,un,71
quart,quart,21
d',de,81
heure,heure,22
à,à,81
réfléchir,réfléchir,14
/.,/.,P
à,à,81
quoi,quoi,52
bon,bon,60
le,le,52
nier,nier,14
?,?,p
dit,dire,19
il,il,51
enfin,enfin,60
;,;,p
je,je,51
serai,être,16
un,un,71
lâche,lâche,30
à,à,81
ses,son,73
yeux,oeil,21
/.,/.,P
je,je,51
perds,perdre,17
non,non,60
seulement,seulement,60
la,le,71
personne,personne,22
la,le,71
plus,plus,60
brillante,brillant,30
de,de,81
la,le,71
haute,haut,30
société,société,22
",",",",p
ainsi,ainsi,60
qu',que,83
ils,ils,51
disaient,dire,18
tous,tout,52
au,à,81
au,le,71
bal,bal,21
de,de,81
monsieur,monsieur,21
le,le,71
duc,duc,21
de,de,81
Retz,Retz,20
",",",",p
mais,mais,82
encore,encore,60
le,le,71
divin,divin,30
plaisir,plaisir,21
de,de,81
me,je,51
voir,voir,14
sacrifier,sacrifier,14
le,le,71
marquis,marquis,21
de,de,81
Croisenois,Croisenois,20
",",",",p
le,le,71
fils,fils,21
d',de,81
un,un,71
duc,duc,21
",",",",p
et,et,82
qui,qui,52
sera,être,15
duc,duc,21
lui-même,lui-même,51
/.,/.,P
un,un,71
jeune,jeune,30
homme,homme,21
charmant,charmant,30
qui,qui,52
a,avoir,17
toutes,tout,75
les,le,71
qualités,qualité,22
qui,qui,52
me,je,51
manquent,manquer,17
:,:,p
esprit,esprit,21
d',de,81
à-propos,à-propos,21
",",",",p
naissance,naissance,22
",",",",p
fortune,fortune,22
/…,/…,P
ce,ce,74
remords,remords,21
va,aller,17
me,je,51
poursuivre,poursuivre,14
toute,tout,75
ma,mon,73
vie,vie,22
",",",",p
non,non,60
pour,pour,81
elle,il,51
",",",",p
il,il,51
est,être,17
tant,tant,60
de,de,81
maîtresses,maîtresse,22
/!,/!,P
mais,mais,82
il,il,51
n',ne,60
est,être,17
qu',que,83
un,un,71
honneur,honneur,21
!,!,p
dit,dire,19
le,le,71
vieux,vieux,30
don,don,21
Diègue,Diègue,20
",",",",p
et,et,82
ici,ici,60
clairement,clairement,60
et,et,82
nettement,nettement,60
",",",",p
je,je,51
recule,reculer,17
devant,devant,81
le,le,71
premier,premier,72
péril,péril,21
qui,qui,52
m',je,51
est,être,17
offert,offrir,12
;,;,p
car,car,82
ce,ce,74
duel,duel,21
avec,avec,81
monsieur,monsieur,21
de,de,81
Beauvoisis,Beauvoisis,20
se,se,51
présentait,présenter,18
comme,comme,83
une,un,71
plaisanterie,plaisanterie,22
/.,/.,P
ceci,ceci,52
est,être,17
tout,tout,60
différent,différent,30
/.,/.,P
je,je,51
puis,pouvoir,17
être,être,14
tiré,tirer,12
au,à,81
au,le,71
blanc,blanc,21
par,par,81
un,un,71
domestique,domestique,21
",",",",p
mais,mais,82
c',ce,52
est,être,17
le,le,71
moindre,moindre,30
danger,danger,21
;,;,p
je,je,51
puis,pouvoir,17
être,être,14
déshonoré,déshonorer,12
/.,/.,P
ceci,ceci,52
devient,devenir,17
sérieux,sérieux,21
",",",",p
mon,mon,73
garçon,garçon,21
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
avec,avec,81
une,un,71
gaieté,gaieté,22
et,et,82
un,un,71
accent,accent,21
gascons,gascon,30
/.,/.,P
il,il,51
y,y,52
va,aller,17
de,de,81
l',le,71
honur,honneur,21
/.,/.,P
jamais,jamais,60
un,un,71
pauvre,pauvre,30
diable,diable,21
",",",",p
jeté,jeté,21
aussi,aussi,60
bas,bas,30
que,que,83
moi,moi,51
par,par,81
le,le,71
hasard,hasard,21
",",",",p
ne,ne,60
retrouvera,retrouver,15
une,un,71
telle,tel,75
occasion,occasion,22
;,;,p
j',je,51
aurai,avoir,15
des,de,81
des,le,71
bonnes,bon,30
fortunes,fortune,22
",",",",p
mais,mais,82
subalternes,subalterne,21
/…,/…,P
il,il,51
réfléchit,réfléchir,17
longtemps,longtemps,60
",",",",p
il,il,51
se,se,51
promenait,promener,18
à,à,81
pas,pas,21
précipités,précipité,31
",",",",p
s',se,51
arrêtant,arrêter,13
tout,tout,60
court,court,60
de,de,81
temps,temps,21
à,à,81
autre,autre,52
/.,/.,P
on,on,51
avait,avoir,18
déposé,déposer,12
dans,dans,81
sa,son,73
chambre,chambre,22
un,un,71
magnifique,magnifique,30
buste,buste,21
en,en,81
marbre,marbre,21
du,de,81
du,le,71
cardinal,cardinal,21
Richelieu,Richelieu,20
",",",",p
qui,qui,52
malgré,malgré,81
lui,lui,51
attirait,attirer,18
ses,son,73
regards,regard,21
/.,/.,P
ce,ce,74
buste,buste,21
avait,avoir,18
l',le,71
air,air,21
de,de,81
le,le,52
regarder,regarder,14
d',de,81
une,un,71
façon,façon,22
sévère,sévère,30
",",",",p
et,et,82
comme,comme,83
lui,lui,51
reprochant,reprocher,13
le,le,71
manque,manque,21
de,de,81
cette,ce,74
audace,audace,22
qui,qui,52
doit,devoir,17
être,être,14
si,si,60
naturelle,naturel,30
au,à,81
au,le,71
caractère,caractère,21
français,français,30
/.,/.,P
de,de,81
ton,ton,73
temps,temps,21
",",",",p
grand,grand,30
homme,homme,21
",",",",p
aurais,avoir,16
je,je,51
hésité,hésiter,12
/?,/?,P
au,à,81
au,le,71
pire,pire,30
",",",",p
se,se,51
dit,dire,19
enfin,enfin,60
Julien,Julien,20
",",",",p
supposons,supposer,17
que,que,83
tout,tout,75
ceci,ceci,52
soit,être,17
un,un,71
piège,piège,21
",",",",p
il,il,51
est,être,17
bien,bien,60
noir,noir,30
et,et,82
bien,bien,60
compromettant,compromettant,30
pour,pour,81
une,un,71
jeune,jeune,30
fille,fille,22
/.,/.,P
on,on,51
sait,savoir,17
que,que,83
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
homme,homme,21
à,à,81
me,je,51
taire,taire,14
/.,/.,P
il,il,51
faudra,falloir,15
donc,donc,82
me,je,51
tuer,tuer,14
/.,/.,P
cela,cela,52
était,être,18
bon,bon,30
en,en,81
<Nombre 1574>,<>,<>
mille,mille,72
cinq,cinq,72
cent,cent,72
soixante,soixante,72
quatorze,quatorze,72
<Fin nombre>,<>,<>
",",",",p
du,de,81
du,le,71
temps,temps,21
de,de,81
Boniface,Boniface,20
de,de,81
La Mole,La Mole,20
",",",",p
mais,mais,82
jamais,jamais,60
celui,celui,52
d',de,81
aujourd'hui,aujourd'hui,60
n',ne,60
oserait,oser,16
/.,/.,P
ces,ce,74
gens,gens,21
là,là,60
ne,ne,60
sont,être,17
plus,plus,60
les,le,71
mêmes,même,52
/.,/.,P
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
est,être,17
si,si,60
enviée,envier,12
/!,/!,P
quatre,quatre,72
cents,cent,72
salons,salon,21
retentiraient,retentir,16
demain,demain,60
de,de,81
sa,son,73
honte,honte,22
",",",",p
et,et,82
avec,avec,81
quel,quel,75
plaisir,plaisir,21
/!,/!,P
les,le,71
domestiques,domestique,21
jasent,jaser,17
",",",",p
entre,entre,81
eux,ils,51
",",",",p
des,de,81
des,le,71
préférences,préférence,22
marquées,marqué,31
dont,dont,52
je,je,51
suis,être,17
l',le,71
objet,objet,21
",",",",p
je,je,51
le,le,52
sais,savoir,17
",",",",p
je,je,51
les,le,52
ai,avoir,17
entendus,entendre,12
/…,/…,P
d',de,81
un,un,71
autre,autre,75
côté,côté,21
",",",",p
ses,son,73
lettres,lettre,22
!,!,p
…,…,p
ils,ils,51
peuvent,pouvoir,17
croire,croire,14
que,que,83
je,je,51
les,le,52
ai,avoir,17
sur,sur,81
moi,moi,51
/.,/.,P
surpris,surprendre,19
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
on,on,51
me,je,51
les,le,52
enlève,enlever,17
/.,/.,P
j',je,51
aurai,avoir,15
affaire,affaire,22
à,à,81
deux,deux,72
",",",",p
trois,trois,72
",",",",p
quatre,quatre,72
hommes,homme,21
",",",",p
que,que,52
sais,savoir,17
je,je,51
/?,/?,P
mais,mais,82
ces,ce,74
hommes,homme,21
",",",",p
où,où,60
les,le,52
prendront,prendre,15
ils,ils,51
?,?,p
où,où,60
trouver,trouver,14
des,de,81
des,le,71
subalternes,subalterne,21
discrets,discret,30
à,à,81
Paris,Paris,20
/?,/?,P
la,le,71
justice,justice,22
leur,leur,52
fait,faire,17
peur,peur,22
/…,/…,P
parbleu,parbleu,93
!,!,p
les,le,71
Caylus,Caylus,20
",",",",p
les,le,71
Croisenois,Croisenois,20
",",",",p
les,le,71
de,de,81
Luz,Luz,20
eux-mêmes,eux-mêmes,51
/.,/.,P
ce,ce,74
moment,moment,21
",",",",p
et,et,82
la,le,71
sotte,sot,30
figure,figure,22
que,que,52
je,je,51
ferai,faire,15
au,à,81
au,le,71
milieu,milieu,21
d',de,81
eux,ils,51
sera,être,15
ce,ce,52
qui,qui,52
les,le,52
aura,avoir,15
séduits,séduire,12
/.,/.,P
gare,garer,17
le,le,71
sort,sort,21
d',de,81
Abailard,Abailard,20
",",",",p
monsieur,monsieur,21
le,le,71
secrétaire,secrétaire,21
/!,/!,P
eh,eh,93
bien,bien,60
