11673
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dixième extrait>,<>,<>
autrefois,autrefois,60
au,à,81
au,le,71
siège,siège,21
de,de,81
Syracuse,Syracuse,20
/.,/.,P
les,le,71
Syssites,Syssite,20
",",",",p
alléguant,alléguer,13
leur,leur,73
droit,droit,21
d',de,81
épaves,épave,22
",",",",p
réclamèrent,réclamer,19
les,le,71
plus,plus,60
jeunes,jeune,30
pour,pour,81
les,le,52
vendre,vendre,14
;,;,p
et,et,82
des,de,81
des,le,71
Carthaginois,Carthaginois,20
nouveaux,nouveau,30
prirent,prendre,19
en,en,81
mariage,mariage,21
des,de,81
des,le,71
Lacédémoniennes,Lacédémonien,20
qui,qui,52
étaient,être,18
blondes,blond,30
/.,/.,P
quelques-unes,quelqu'un,52
s',se,51
obstinèrent,obstiner,19
à,à,81
suivre,suivre,14
les,le,71
armées,armée,22
/.,/.,P
elles,ils,51
couraient,courir,18
sur,sur,81
le,le,71
flanc,flanc,21
des,de,81
des,le,71
syntagmes,syntagme,21
",",",",p
à,à,81
côté,côté,21
des,de,81
des,le,71
capitaines,capitaine,21
/.,/.,P
elles,ils,51
appelaient,appeler,18
leurs,leur,73
hommes,homme,21
",",",",p
les,le,52
tiraient,tirer,18
par,par,81
le,le,71
manteau,manteau,21
",",",",p
se,se,51
frappaient,frapper,18
la,le,71
poitrine,poitrine,22
en,en,81
les,le,52
maudissant,maudire,13
",",",",p
et,et,82
tendaient,tendre,18
au,à,81
au,le,71
bout,bout,21
de,de,81
leurs,leur,73
bras,bras,21
leurs,leur,73
petits,petit,30
enfants,enfant,21
nus,nu,30
qui,qui,52
pleuraient,pleurer,18
/.,/.,P
ce,ce,74
spectacle,spectacle,21
amollissait,amollir,18
les,le,71
barbares,barbare,21
;,;,p
elles,ils,51
étaient,être,18
un,un,71
embarras,embarras,21
",",",",p
un,un,71
péril,péril,21
/.,/.,P
plusieurs,plusieurs,75
fois,fois,22
on,on,51
les,le,52
repoussa,repousser,19
",",",",p
elles,ils,51
revenaient,revenir,18
;,;,p
Mâtho,Mâtho,20
les,le,52
fit,faire,19
charger,charger,14
à,à,81
coups,coup,21
de,de,81
lance,lance,22
par,par,81
les,le,71
cavaliers,cavalier,21
de,de,81
Narr'Havas,Narr'Havas,20
;,;,p
:,:,p
et,et,82
comme,comme,83
des,de,81
des,le,71
Baléares,Baléares,20
lui,lui,51
criaient,crier,18
qu',que,83
il,il,51
leur,leur,52
fallait,falloir,18
des,de,81
des,le,71
femmes,femme,22
:,:,p
-,-,p
“,“,p
moi,moi,51
je,je,51
n',ne,60
en,en,52
ai,avoir,17
pas,pas,60
!,!,p
répondit,répondre,19
il,il,51
/.,/.,P
à,à,81
présent,présent,21
",",",",p
le,le,71
génie,génie,21
de,de,81
Moloch,Moloch,20
l',le,52
envahissait,envahir,18
/.,/.,P
malgré,malgré,81
les,le,71
rébellions,rébellion,22
de,de,81
sa,son,73
conscience,conscience,22
",",",",p
il,il,51
exécutait,exécuter,18
des,de,81
des,le,71
choses,chose,22
épouvantables,épouvantable,30
",",",",p
s',se,51
imaginant,imaginer,13
obéir,obéir,14
à,à,81
la,le,71
voix,voix,22
d',de,81
un,un,71
dieu,dieu,21
/.,/.,P
quand,quand,83
il,il,51
ne,ne,60
pouvait,pouvoir,18
les,le,52
ravager,ravager,14
",",",",p
Mâtho,Mâtho,20
jetait,jeter,18
des,de,81
des,le,71
pierres,pierre,22
dans,dans,81
les,le,71
champs,champ,21
pour,pour,81
les,le,52
rendre,rendre,14
stériles,stérile,30
/.,/.,P
par,par,81
des,de,81
des,le,71
messages,message,21
réitérés,réitéré,31
",",",",p
il,il,51
pressait,presser,18
Autharite,Autharite,20
et,et,82
Spendius,Spendius,20
de,de,81
se,se,51
hâter,hâter,14
/.,/.,P
mais,mais,82
les,le,71
opérations,opération,22
du,de,81
du,le,71
Suffète,Suffète,20
étaient,être,18
incompréhensibles,incompréhensible,30
/.,/.,P
il,il,51
campa,camper,19
successivement,successivement,60
à,à,81
Eidous,Eidous,20
",",",",p
à,à,81
Monchar,Monchar,20
",",",",p
à,à,81
Tehent,Tehent,20
;,;,p
des,de,81
des,le,71
éclaireurs,éclaireur,21
crurent,croire,19
l',le,52
apercevoir,apercevoir,14
aux,à,81
aux,le,71
environs,environs,21
d',de,81
Ischil,Ischil,20
",",",",p
près,près,81
des,de,81
des,le,71
frontières,frontière,22
de,de,81
Narr'Havas,Narr'Havas,20
",",",",p
et,et,82
l',l',94
on,on,51
apprit,apprendre,19
qu',que,83
il,il,51
avait,avoir,18
traversé,traverser,12
le,le,71
fleuve,fleuve,21
au-dessus,au-dessus,60
de,de,81
Tebourba,Tebourba,20
comme,comme,83
pour,pour,81
revenir,revenir,14
à,à,81
Carthage,Carthage,20
/.,/.,P
à,à,81
peine,peine,22
dans,dans,81
un,un,71
endroit,endroit,21
",",",",p
il,il,51
se,se,51
transportait,transporter,18
vers,vers,81
un,un,71
autre,autre,52
/.,/.,P
les,le,71
routes,route,22
qu',que,52
il,il,51
prenait,prendre,18
restaient,rester,18
toujours,toujours,60
inconnues,inconnu,30
/.,/.,P
sans,sans,81
livrer,livrer,14
de,de,81
bataille,bataille,22
",",",",p
le,le,71
Suffète,Suffète,20
conservait,conserver,18
ses,son,73
avantages,avantage,21
;,;,p
poursuivi,poursuivi,31
par,par,81
les,le,71
barbares,barbare,21
",",",",p
il,il,51
semblait,sembler,18
les,le,52
conduire,conduire,14
/.,/.,P
ces,ce,74
marches,marche,22
et,et,82
ces,ce,74
contre-marches,contre-marches,22
fatiguaient,fatiguer,18
encore,encore,60
plus,plus,60
les,le,71
Carthaginois,Carthaginois,20
;,;,p
et,et,82
les,le,71
forces,force,22
d',de,81
Hamilcar,Hamilcar,20
",",",",p
n',ne,60
étant,être,13
pas,pas,60
renouvelées,renouveler,12
",",",",p
de,de,81
jour,jour,21
en,en,81
jour,jour,21
diminuaient,diminuer,18
/.,/.,P
les,le,71
gens,gens,21
de,de,81
la,le,71
campagne,campagne,22
lui,lui,51
apportaient,apporter,18
maintenant,maintenant,60
des,de,81
des,le,71
vivres,vivre,21
avec,avec,81
plus,plus,60
de,de,81
lenteur,lenteur,22
/.,/.,P
il,il,51
rencontrait,rencontrer,18
partout,partout,60
une,un,71
hésitation,hésitation,22
",",",",p
une,un,71
haine,haine,22
taciturne,taciturne,30
;,;,p
et,et,82
malgré,malgré,81
ses,son,73
supplications,supplication,22
près,près,81
du,de,81
du,le,71
grand,grand,30
Conseil,conseil,21
",",",",p
aucun,aucun,75
secours,secours,21
n',ne,60
arrivait,arriver,18
de,de,81
Carthage,Carthage,20
/.,/.,P
on,on,51
disait,dire,18
(,(,p
on,on,51
croyait,croire,18
peut-être,peut-être,60
),),p
qu',que,83
il,il,51
n',ne,60
en,en,52
avait,avoir,18
pas,pas,60
besoin,besoin,21
/.,/.,P
c',ce,52
était,être,18
une,un,71
ruse,ruse,22
ou,ou,82
des,de,81
des,le,71
plaintes,plainte,22
inutiles,inutile,30
;,;,p
et,et,82
les,le,71
partisans,partisan,21
d',de,81
Hannon,Hannon,20
",",",",p
afin,afin,81
de,de,81
le,le,52
desservir,desservir,14
",",",",p
exagéraient,exagérer,18
l',le,71
importance,importance,22
de,de,81
sa,son,73
victoire,victoire,22
/.,/.,P
les,le,71
troupes,troupe,22
qu',que,52
il,il,51
commandait,commander,18
",",",",p
on,on,51
en,en,52
faisait,faire,18
le,le,71
sacrifice,sacrifice,21
;,;,p
mais,mais,82
on,on,51
n',ne,60
allait,aller,18
pas,pas,60
ainsi,ainsi,60
continuellement,continuellement,60
fournir,fournir,14
toutes,tout,75
ses,son,73
demandes,demande,22
/.,/.,P
la,le,71
guerre,guerre,22
était,être,18
bien,bien,60
assez,assez,60
lourde,lourd,30
!,!,p
elle,il,51
avait,avoir,18
trop,trop,60
coûté,coûter,12
",",",",p
et,et,82
",",",",p
par,par,81
orgueil,orgueil,21
",",",",p
les,le,71
patriciens,patricien,21
de,de,81
sa,son,73
faction,faction,22
l',le,52
appuyaient,appuyer,18
avec,avec,81
mollesse,mollesse,22
/.,/.,P
alors,alors,60
",",",",p
désespérant,désespérer,13
de,de,81
la,le,71
république,république,22
",",",",p
Hamilcar,Hamilcar,20
leva,lever,19
de,de,81
force,force,22
dans,dans,81
les,le,71
tribus,tribu,22
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
lui,lui,51
fallait,falloir,18
pour,pour,81
la,le,71
guerre,guerre,22
:,:,p
du,de,81
du,le,71
grain,grain,21
",",",",p
de,de,81
l',le,71
huile,huile,22
",",",",p
du,de,81
du,le,71
bois,bois,21
",",",",p
des,de,81
des,le,71
bestiaux,bestiau,21
et,et,82
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
mais,mais,82
les,le,71
habitants,habitant,21
ne,ne,60
tardèrent,tarder,19
pas,pas,60
à,à,81
s',se,51
enfuir,enfuir,14
/.,/.,P
les,le,71
bourgs,bourg,21
que,que,52
l',l',94
on,on,51
traversait,traverser,18
étaient,être,18
vides,vide,30
",",",",p
on,on,51
fouillait,fouiller,18
les,le,71
cabanes,cabane,22
sans,sans,81
y,y,52
rien,rien,52
trouver,trouver,14
;,;,p
bientôt,bientôt,60
une,un,71
effroyable,effroyable,30
solitude,solitude,22
enveloppa,envelopper,19
l',le,71
armée,armée,22
punique,punique,30
/.,/.,P
les,le,71
Carthaginois,Carthaginois,20
",",",",p
furieux,furieux,30
",",",",p
se,se,51
mirent,mettre,19
à,à,81
saccager,saccager,14
les,le,71
provinces,province,22
;,;,p
ils,ils,51
comblaient,combler,18
les,le,71
citernes,citerne,22
",",",",p
incendiaient,incendier,18
les,le,71
maisons,maison,22
/.,/.,P
les,le,71
flammèches,flammèche,22
",",",",p
emportées,emporté,31
par,par,81
le,le,71
vent,vent,21
",",",",p
s',se,51
éparpillaient,éparpiller,18
au,à,81
au,le,71
loin,loin,60
",",",",p
et,et,82
sur,sur,81
les,le,71
montagnes,montagne,22
des,de,81
des,le,71
forêts,forêt,22
entières,entier,30
brûlaient,brûler,18
;,;,p
elles,ils,51
bordaient,border,18
les,le,71
vallées,vallée,22
d',de,81
une,un,71
couronne,couronne,22
de,de,81
feux,feu,21
;,;,p
pour,pour,81
passer,passer,14
au-delà,au-delà,60
",",",",p
on,on,51
était,être,18
forcé,forcer,12
d',de,81
attendre,attendre,14
/.,/.,P
puis,puis,60
ils,ils,51
reprenaient,reprendre,18
leur,leur,73
marche,marche,22
",",",",p
en,en,81
plein,plein,30
soleil,soleil,21
",",",",p
sur,sur,81
des,de,81
des,le,71
cendres,cendre,22
chaudes,chaud,30
/.,/.,P
quelquefois,quelquefois,60
ils,ils,51
voyaient,voir,18
",",",",p
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
route,route,22
",",",",p
luire,luire,14
dans,dans,81
un,un,71
buisson,buisson,21
comme,comme,83
des,de,81
des,le,71
prunelles,prunelle,22
de,de,81
chat,chat,21
tigre,tigre,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
barbare,barbare,21
accroupi,accroupi,31
sur,sur,81
les,le,71
talons,talon,21
",",",",p
et,et,82
qui,qui,52
s',se,51
était,être,18
barbouillé,barbouiller,12
de,de,81
poussière,poussière,22
pour,pour,81
se,se,51
confondre,confondre,14
avec,avec,81
la,le,71
couleur,couleur,22
du,de,81
du,le,71
feuillage,feuillage,21
;,;,p
ou,ou,82
bien,bien,60
quand,quand,83
on,on,51
longeait,longer,18
une,un,71
ravine,ravine,22
",",",",p
ceux,celui,52
qui,qui,52
étaient,être,18
sur,sur,81
les,le,71
ailes,aile,22
entendaient,entendre,18
tout,tout,60
à,à,81
coup,coup,21
rouler,rouler,14
des,de,81
des,le,71
pierres,pierre,22
;,;,p
et,et,82
",",",",p
en,en,81
levant,lever,13
les,le,71
yeux,oeil,21
",",",",p
ils,ils,51
apercevaient,apercevoir,18
dans,dans,81
l',le,71
écartement,écartement,21
de,de,81
la,le,71
gorge,gorge,22
un,un,71
homme,homme,21
pieds,pied,21
nus,nu,30
qui,qui,52
bondissait,bondir,18
/.,/.,P
cependant,cependant,82
Utique,Utique,20
et,et,82
Hippo-Zaryte,Hippo-Zaryte,20
étaient,être,18
libres,libre,30
",",",",p
puisque,puisque,83
les,le,71
mercenaires,mercenaire,21
ne,ne,60
les,le,52
assiégeaient,assiéger,18
plus,plus,60
/.,/.,P
Hamilcar,Hamilcar,20
leur,leur,52
commanda,commander,19
de,de,81
venir,venir,14
à,à,81
son,son,73
aide,aide,21
/.,/.,P
mais,mais,82
",",",",p
n',ne,60
osant,oser,13
se,se,51
compromettre,compromettre,14
",",",",p
elles,ils,51
lui,lui,51
répondirent,répondre,19
par,par,81
des,de,81
des,le,71
mots,mot,21
vagues,vague,30
",",",",p
des,de,81
des,le,71
compliments,compliment,21
",",",",p
des,de,81
des,le,71
excuses,excuse,22
/.,/.,P
il,il,51
remonta,remonter,19
dans,dans,81
le,le,71
nord,nord,21
brusquement,brusquement,60
",",",",p
décidé,décidé,31
à,à,81
s',se,51
ouvrir,ouvrir,14
une,un,52
des,de,81
des,le,71
villes,ville,22
tyriennes,tyrien,30
",",",",p
dût,devoir,18
il,il,51
en,en,52
faire,faire,14
le,le,71
siège,siège,21
/.,/.,P
il,il,51
lui,lui,51
fallait,falloir,18
un,un,71
point,point,21
sur,sur,81
la,le,71
côte,côte,22
",",",",p
afin,afin,81
de,de,81
tirer,tirer,14
des,de,81
des,le,71
îles,île,22
ou,ou,82
de,de,81
Cyrène,Cyrène,20
des,de,81
des,le,71
approvisionnements,approvisionnement,21
et,et,82
des,de,81
des,le,71
soldats,soldat,21
",",",",p
et,et,82
il,il,51
convoitait,convoiter,18
le,le,71
port,port,21
d',de,81
Utique,Utique,20
comme,comme,83
étant,être,13
le,le,71
plus,plus,60
près,près,81
de,de,81
Carthage,Carthage,20
/.,/.,P
le,le,71
Suffète,Suffète,20
partit,partir,19
donc,donc,82
de,de,81
Zouitin,Zouitin,20
et,et,82
tourna,tourner,19
le,le,71
lac,lac,21
d',de,81
Hippo-Zaryte,Hippo-Zaryte,20
avec,avec,81
prudence,prudence,22
/.,/.,P
mais,mais,82
bientôt,bientôt,60
il,il,51
fut,être,19
contraint,contraindre,12
d',de,81
allonger,allonger,14
ses,son,73
régiments,régiment,21
en,en,81
colonne,colonne,22
pour,pour,81
gravir,gravir,14
la,le,71
montagne,montagne,22
qui,qui,52
sépare,séparer,17
les,le,71
deux,deux,72
vallées,vallée,22
/.,/.,P
au,à,81
au,le,71
coucher,coucher,21
du,de,81
du,le,71
soleil,soleil,21
ils,ils,51
descendaient,descendre,18
dans,dans,81
son,son,73
sommet,sommet,21
creusé,creusé,31
en,en,81
forme,forme,22
d',de,81
entonnoir,entonnoir,21
",",",",p
quand,quand,83
ils,ils,51
aperçurent,apercevoir,19
devant,devant,81
eux,ils,51
",",",",p
à,à,81
ras,ras,21
du,de,81
du,le,71
sol,sol,21
",",",",p
des,de,81
des,le,71
louves,louve,22
de,de,81
bronze,bronze,21
qui,qui,52
semblaient,sembler,18
courir,courir,14
sur,sur,81
l',le,71
herbe,herbe,22
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
de,de,81
grands,grand,30
panaches,panache,21
se,se,51
levèrent,lever,19
",",",",p
et,et,82
au,à,81
au,le,71
grand,grand,30
rythme,rythme,21
des,de,81
des,le,71
flûtes,flûte,22
un,un,71
chant,chant,21
formidable,formidable,30
éclata,éclater,19
/.,/.,P
c',ce,52
était,être,18
l',le,71
armée,armée,22
de,de,81
Spendius,Spendius,20
;,;,p
car,car,82
des,de,81
des,le,71
Campaniens,Campanien,20
et,et,82
des,de,81
des,le,71
Grecs,Grec,20
",",",",p
par,par,81
exécration,exécration,22
de,de,81
Carthage,Carthage,20
",",",",p
avaient,avoir,18
pris,prendre,12
les,le,71
enseignes,enseigne,21
de,de,81
Rome,Rome,20
/.,/.,P
en,en,81
même,même,75
temps,temps,21
",",",",p
sur,sur,81
la,le,71
gauche,gauche,22
",",",",p
apparurent,apparaître,19
de,de,81
longues,long,30
piques,pique,22
",",",",p
des,de,81
des,le,71
boucliers,bouclier,21
en,en,81
peau,peau,22
de,de,81
léopard,léopard,21
",",",",p
des,de,81
des,le,71
cuirasses,cuirasse,22
de,de,81
lin,lin,21
",",",",p
des,de,81
des,le,71
épaules,épaule,22
nues,nu,30
/.,/.,P
c',ce,52
étaient,être,18
les,le,71
Ibériens,Ibérien,20
de,de,81
Mâtho,Mâtho,20
",",",",p
les,le,71
Lusitaniens,Lusitanien,20
",",",",p
les,le,71
Baléares,Baléares,20
",",",",p
les,le,71
Gétules,Gétule,20
;,;,p
on,on,51
entendit,entendre,19
le,le,71
hennissement,hennissement,21
des,de,81
des,le,71
chevaux,cheval,21
de,de,81
Narr'Havas,Narr'Havas,20
;,;,p
ils,ils,51
se,se,51
répandirent,répandre,19
autour,autour,60
de,de,81
la,le,71
colline,colline,22
;,;,p
puis,puis,60
arriva,arriver,19
la,le,71
vague,vague,30
cohue,cohue,22
que,que,52
commandait,commander,18
Autharite,Autharite,20
;,;,p
les,le,71
Gaulois,Gaulois,20
",",",",p
les,le,71
Libyens,Libyen,20
",",",",p
les,le,71
nomades,nomade,21
;,;,p
et,et,82
l',l',94
on,on,51
reconnaissait,reconnaître,18
au,à,81
au,le,71
milieu,milieu,21
d',de,81
eux,ils,51
les,le,71
mangeurs,mangeur,21
de,de,81
choses,chose,22
immondes,immonde,30
aux,à,81
aux,le,71
arêtes,arête,22
de,de,81
poisson,poisson,21
qu',que,52
ils,ils,51
portaient,porter,18
dans,dans,81
la,le,71
chevelure,chevelure,22
/.,/.,P
ainsi,ainsi,60
les,le,71
barbares,barbare,21
",",",",p
combinant,combiner,13
exactement,exactement,60
leurs,leur,73
marches,marche,22
",",",",p
s',se,51
étaient,être,18
rejoints,rejoindre,12
/.,/.,P
mais,mais,82
",",",",p
surpris,surpris,31
eux-mêmes,eux-mêmes,51
",",",",p
ils,ils,51
restèrent,rester,19
quelques,quelque,75
minutes,minute,22
immobiles,immobile,30
et,et,82
se,se,51
consultant,consulter,13
/.,/.,P
le,le,71
Suffète,Suffète,20
avait,avoir,18
tassé,tasser,12
ses,son,73
hommes,homme,21
en,en,81
une,un,71
masse,masse,22
orbiculaire,orbiculaire,30
",",",",p
de,de,81
façon,façon,22
à,à,81
offrir,offrir,14
partout,partout,60
une,un,71
résistance,résistance,22
égale,égal,30
/.,/.,P
les,le,71
hauts,haut,30
boucliers,bouclier,21
pointus,pointu,30
",",",",p
fichés,fiché,31
dans,dans,81
le,le,71
gazon,gazon,21
les,le,71
uns,un,52
près,près,81
des,de,81
des,le,71
autres,autre,52
",",",",p
entouraient,entourer,18
l',le,71
infanterie,infanterie,22
/.,/.,P
les,le,71
Clinabares,Clinabare,20
se,se,51
tenaient,tenir,18
en,en,81
dehors,dehors,21
",",",",p
et,et,82
plus,plus,60
loin,loin,60
",",",",p
de,de,81
place,place,22
en,en,81
place,place,22
",",",",p
les,le,71
éléphants,éléphant,21
/.,/.,P
les,le,71
mercenaires,mercenaire,21
étaient,être,18
harassés,harasser,12
de,de,81
fatigue,fatigue,22
;,;,p
il,il,51
valait,valoir,18
mieux,mieux,60
attendre,attendre,14
jusqu',jusque,81
au,à,81
au,le,71
jour,jour,21
;,;,p
et,et,82
",",",",p
certains,certain,30
de,de,81
leur,leur,73
victoire,victoire,22
",",",",p
les,le,71
barbares,barbare,21
",",",",p
pendant,pendant,81
toute,tout,75
la,le,71
nuit,nuit,22
",",",",p
s',se,51
occupèrent,occuper,19
à,à,81
manger,manger,14
/.,/.,P
ils,ils,51
avaient,avoir,18
allumé,allumer,12
de,de,81
grands,grand,30
feux,feu,21
clairs,clair,30
qui,qui,52
",",",",p
en,en,81
les,le,52
éblouissant,éblouir,13
",",",",p
laissaient,laisser,18
dans,dans,81
l',le,71
ombre,ombre,22
l',le,71
armée,armée,22
punique,punique,30
au-dessous,au-dessous,60
d',de,81
eux,ils,51
/.,/.,P
Hamilcar,Hamilcar,20
fit,faire,19
creuser,creuser,14
autour,autour,60
de,de,81
son,son,73
camp,camp,21
",",",",p
comme,comme,83
les,le,71
Romains,Romain,20
",",",",p
un,un,71
fossé,fossé,21
large,large,30
de,de,81
quinze,quinze,72
pas,pas,21
",",",",p
profond,profond,30
de,de,81
six,six,72
coudées,coudée,22
;,;,p
avec,avec,81
la,le,71
terre,terre,22
exhausser,exhausser,14
à,à,81
l',le,71
intérieur,intérieur,21
un,un,71
parapet,parapet,21
sur,sur,81
lequel,lequel,52
on,on,51
planta,planter,19
des,de,81
des,le,71
pieux,pieux,30
aigus,aigu,30
qui,qui,52
s',se,51
entrelaçaient,entrelacer,18
",",",",p
et,et,82
",",",",p
au,à,81
au,le,71
soleil,soleil,21
levant,levant,30
",",",",p
les,le,71
mercenaires,mercenaire,21
furent,être,19
ébahis,ébahir,12
d',de,81
apercevoir,apercevoir,14
tous,tout,75
les,le,71
Carthaginois,Carthaginois,20
ainsi,ainsi,60
retranchés,retranché,31
comme,comme,83
dans,dans,81
une,un,71
forteresse,forteresse,22
/.,/.,P
ils,ils,51
reconnaissaient,reconnaître,18
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
tentes,tente,22
Hamilcar,Hamilcar,20
qui,qui,52
se,se,51
promenait,promener,18
en,en,81
distribuant,distribuer,13
des,de,81
des,le,71
ordres,ordre,21
/.,/.,P
il,il,51
avait,avoir,18
le,le,71
corps,corps,21
pris,pris,31
dans,dans,81
une,un,71
cuirasse,cuirasse,22
brune,brun,30
tailladée,tailladé,31
en,en,81
petites,petit,30
écailles,écaille,22
;,;,p
et,et,82
",",",",p
suivi,suivi,31
de,de,81
son,son,73
cheval,cheval,21
",",",",p
de,de,81
temps,temps,21
en,en,81
temps,temps,21
il,il,51
s',se,51
arrêtait,arrêter,18
pour,pour,81
désigner,désigner,14
quelque,quelque,75
chose,chose,22
de,de,81
son,son,73
bras,bras,21
droit,droit,30
étendu,étendu,31
/.,/.,P
alors,alors,60
plus,plus,60
d',de,81
un,un,52
se,se,51
rappela,rappeler,19
des,de,81
des,le,71
matinées,matinée,22
pareilles,pareil,30
",",",",p
quand,quand,83
",",",",p
au,à,81
au,le,71
fracas,fracas,21
des,de,81
des,le,71
clairons,clairon,21
",",",",p
il,il,51
passait,passer,18
devant,devant,81
eux,ils,51
lentement,lentement,60
",",",",p
et,et,82
que,que,83
ses,son,73
regards,regard,21
les,le,52
fortifiaient,fortifier,18
comme,comme,83
des,de,81
des,le,71
coupes,coupe,22
de,de,81
vin,vin,21
/.,/.,P
une,un,71
sorte,sorte,22
d',de,81
attendrissement,attendrissement,21
les,le,52
saisit,saisir,19
/.,/.,P
ceux,celui,52
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
qui,qui,52
ne,ne,60
connaissaient,connaître,18
pas,pas,60
Hamilcar,Hamilcar,20
",",",",p
dans,dans,81
leur,leur,73
joie,joie,22
de,de,81
le,le,52
tenir,tenir,14
",",",",p
déliraient,délirer,18
/.,/.,P
cependant,cependant,82
",",",",p
si,si,83
tous,tout,52
attaquaient,attaquer,18
à,à,81
la,le,71
fois,fois,22
",",",",p
on,on,51
se,se,51
nuirait,nuire,16
mutuellement,mutuellement,60
dans,dans,81
l',le,71
espace,espace,21
trop,trop,60
étroit,étroit,30
/.,/.,P
les,le,71
Numides,Numides,20
pouvaient,pouvoir,18
se,se,51
lancer,lancer,14
au,à,81
au,le,71
travers,travers,21
;,;,p
mais,mais,82
les,le,71
Clinabares,Clinabare,20
défendus,défendu,31
par,par,81
des,de,81
des,le,71
cuirasses,cuirasse,22
les,le,52
écraseraient,écraser,16
;,;,p
puis,puis,60
comment,comment,60
franchir,franchir,14
les,le,71
palissades,palissade,22
/?,/?,P
quant,quand,83
aux,à,81
aux,le,71
éléphants,éléphant,21
",",",",p
ils,ils,51
n',ne,60
étaient,être,18
pas,pas,60
suffisamment,suffisamment,60
instruits,instruire,12
/.,/.,P
-,-,p
“,“,p
vous,vous,51
êtes,être,17
tous,tout,52
des,de,81
des,le,71
lâches,lâche,21
!,!,p
s',se,51
écria,écrier,19
Mâtho,Mâtho,20
/.,/.,P
et,et,82
",",",",p
avec,avec,81
les,le,71
meilleurs,meilleur,30
",",",",p
il,il,51
se,se,51
précipita,précipiter,19
contre,contre,81
le,le,71
retranchement,retranchement,21
/.,/.,P
une,un,71
volée,volée,22
de,de,81
pierres,pierre,22
les,le,52
repoussa,repousser,19
;,;,p
car,car,82
le,le,71
Suffète,Suffète,20
avait,avoir,18
pris,prendre,12
sur,sur,81
le,le,71
pont,pont,21
leurs,leur,73
catapultes,catapulte,22
abandonnées,abandonné,31
/.,/.,P
cet,ce,74
insuccès,insuccès,21
fit,faire,19
tourner,tourner,14
brusquement,brusquement,60
l',le,71
esprit,esprit,21
mobile,mobile,30
des,de,81
des,le,71
barbares,barbare,21
/.,/.,P
l',le,71
excès,excès,21
de,de,81
leur,leur,73
bravoure,bravoure,22
disparut,disparaître,19
;,;,p
ils,ils,51
voulaient,vouloir,18
vaincre,vaincre,14
",",",",p
mais,mais,82
en,en,81
se,se,51
risquant,risquer,13
le,le,71
moins,moins,60
possible,possible,30
/.,/.,P
d',de,81
après,après,81
Spendius,Spendius,20
",",",",p
il,il,51
fallait,falloir,18
garder,garder,14
soigneusement,soigneusement,60
la,le,71
position,position,22
que,que,83
l',l',94
on,on,51
avait,avoir,18
et,et,82
affamer,affamer,14
l',le,71
armée,armée,22
punique,punique,30
/.,/.,P
mais,mais,82
les,le,71
Carthaginois,Carthaginois,20
se,se,51
mirent,mettre,19
à,à,81
creuser,creuser,14
des,de,81
des,le,71
puits,puits,21
",",",",p
et,et,82
des,de,81
des,le,71
montagnes,montagne,22
entourant,entourer,13
la,le,71
colline,colline,22
",",",",p
ils,ils,51
découvrirent,découvrir,19
de,de,81
l',le,71
eau,eau,22
/.,/.,P
du,de,81
du,le,71
sommet,sommet,21
de,de,81
leur,leur,73
palissade,palissade,22
ils,ils,51
lançaient,lancer,18
des,de,81
des,le,71
flèches,flèche,22
",",",",p
de,de,81
la,le,71
terre,terre,22
",",",",p
du,de,81
du,le,71
fumier,fumier,21
",",",",p
des,de,81
des,le,71
cailloux,caillou,21
qu',que,52
ils,ils,51
arrachaient,arracher,18
du,de,81
du,le,71
sol,sol,21
",",",",p
pendant,pendant,81
que,que,83
les,le,71
six,six,72
catapultes,catapulte,22
roulaient,rouler,18
incessamment,incessamment,60
sur,sur,81
la,le,71
longueur,longueur,22
de,de,81
la,le,71
terrasse,terrasse,22
/.,/.,P
mais,mais,82
les,le,71
sources,source,22
d',de,81
elles-mêmes,eux-mêmes,51
se,se,51
tariraient,tarir,16
;,;,p
on,on,51
épuiserait,épuiser,16
les,le,71
vivres,vivre,21
",",",",p
on,on,51
userait,user,16
les,le,71
catapultes,catapulte,22
;,;,p
les,le,71
mercenaires,mercenaire,21
",",",",p
dix,dix,72
fois,fois,22
plus,plus,60
nombreux,nombreux,30
",",",",p
finiraient,finir,16
par,par,81
triompher,triompher,14
/.,/.,P
le,le,71
Suffète,Suffète,20
imagina,imaginer,19
des,de,81
des,le,71
négociations,négociation,22
afin,afin,81
de,de,81
gagner,gagner,14
du,de,81
du,le,71
temps,temps,21
",",",",p
et,et,82
un,un,71
matin,matin,21
les,le,71
barbares,barbare,21
trouvèrent,trouver,19
dans,dans,81
leurs,leur,73
lignes,ligne,22
une,un,71
peau,peau,22
de,de,81
mouton,mouton,21
couverte,couvert,31
d',de,81
écritures,écriture,22
/.,/.,P
il,il,51
se,se,51
justifiait,justifier,18
de,de,81
sa,son,73
victoire,victoire,22
:,:,p
les,le,71
