11847
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-neuvième extrait>,<>,<>
/.,/.,P
les,le,71
Boche,Boche,20
",",",",p
qu',que,52
il,il,51
flattait,flatter,18
beaucoup,beaucoup,60
en,en,81
allant,aller,13
les,le,52
saluer,saluer,14
dans,dans,81
leur,leur,73
loge,loge,22
",",",",p
s',se,51
extasiaient,extasier,18
sur,sur,81
sa,son,73
politesse,politesse,22
/.,/.,P
quant,quand,83
aux,à,81
aux,le,71
Lorilleux,Lorilleux,20
",",",",p
lorsqu',lorsque,83
ils,ils,51
surent,savoir,19
quel,quel,52
était,être,18
ce,ce,74
monsieur,monsieur,21
",",",",p
arrivé,arrivé,31
au,à,81
au,le,71
dessert,dessert,21
",",",",p
le,le,71
jour,jour,21
de,de,81
la,le,71
fête,fête,22
",",",",p
ils,ils,51
vomirent,vomir,19
d'abord,d'abord,60
mille,mille,72
horreurs,horreur,22
contre,contre,81
Gervaise,Gervaise,20
",",",",p
qui,qui,52
osait,oser,18
introduire,introduire,14
ainsi,ainsi,60
son,son,73
ancien,ancien,30
individu,individu,21
dans,dans,81
son,son,73
ménage,ménage,21
/.,/.,P
mais,mais,82
",",",",p
un,un,71
jour,jour,21
",",",",p
Lantier,Lantier,20
monta,monter,19
chez,chez,81
eux,ils,51
",",",",p
se,se,51
présenta,présenter,19
si,si,60
bien,bien,60
en,en,81
leur,leur,52
commandant,commander,13
une,un,71
chaîne,chaîne,22
pour,pour,81
une,un,71
dame,dame,22
de,de,81
sa,son,73
connaissance,connaissance,22
",",",",p
qu',que,83
ils,ils,51
lui,lui,51
dirent,dire,19
de,de,81
s',se,51
asseoir,asseoir,14
et,et,82
le,le,52
gardèrent,garder,19
une,un,71
heure,heure,22
",",",",p
charmés,charmé,31
de,de,81
sa,son,73
conversation,conversation,22
;,;,p
même,même,60
",",",",p
ils,ils,51
se,se,51
demandaient,demander,18
comment,comment,60
un,un,71
homme,homme,21
si,si,60
distingué,distingué,31
avait,avoir,18
pu,pouvoir,12
vivre,vivre,14
avec,avec,81
la,le,71
Banban,Banban,20
/.,/.,P
enfin,enfin,60
",",",",p
les,le,71
visites,visite,22
du,de,81
du,le,71
chapelier,chapelier,21
chez,chez,81
les,le,71
Coupeau,Coupeau,20
n',ne,60
indignaient,indigner,18
plus,plus,60
personne,personne,52
et,et,82
semblaient,sembler,18
naturelles,naturel,30
",",",",p
tant,tant,60
il,il,51
avait,avoir,18
réussi,réussir,12
à,à,81
se,se,51
mettre,mettre,14
dans,dans,81
les,le,71
bonnes,bon,30
grâces,grâce,22
de,de,81
toute,tout,75
la,le,71
rue,rue,22
de,de,81
la,le,71
Goutte-d'Or,Goutte d'Or,20
/.,/.,P
Goujet,Goujet,20
seul,seul,30
restait,rester,18
sombre,sombre,30
/.,/.,P
s',si,83
il,il,51
se,se,51
trouvait,trouver,18
là,là,60
",",",",p
quand,quand,83
l',le,71
autre,autre,52
arrivait,arriver,18
",",",",p
il,il,51
prenait,prendre,18
la,le,71
porte,porte,22
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
être,être,14
obligé,obliger,12
de,de,81
lier,lier,14
connaissance,connaissance,22
avec,avec,81
ce,ce,74
particulier,particulier,21
/.,/.,P
cependant,cependant,82
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
cette,ce,74
coqueluche,coqueluche,22
de,de,81
tendresse,tendresse,22
pour,pour,81
Lantier,Lantier,20
",",",",p
Gervaise,Gervaise,20
",",",",p
les,le,71
premières,premier,72
semaines,semaine,22
",",",",p
vécut,vivre,19
dans,dans,81
un,un,71
grand,grand,30
trouble,trouble,21
/.,/.,P
elle,il,51
éprouvait,éprouver,18
au,à,81
au,le,71
creux,creux,21
de,de,81
l',le,71
estomac,estomac,21
cette,ce,74
chaleur,chaleur,22
dont,dont,52
elle,il,51
s',se,51
était,être,18
sentie,sentir,12
brûlée,brûlé,31
",",",",p
le,le,71
jour,jour,21
des,de,81
des,le,71
confidences,confidence,22
de,de,81
Virginie,Virginie,20
/.,/.,P
sa,son,73
grande,grand,30
peur,peur,22
venait,venir,18
de,de,81
ce,ce,52
qu',que,52
elle,il,51
redoutait,redouter,18
d',de,81
être,être,14
sans,sans,81
force,force,22
",",",",p
s',si,83
il,il,51
la,le,52
surprenait,surprendre,18
un,un,71
soir,soir,21
toute,tout,60
seule,seul,30
et,et,82
s',si,83
il,il,51
s',se,51
avisait,aviser,18
de,de,81
l',le,52
embrasser,embrasser,14
/.,/.,P
elle,il,51
pensait,penser,18
trop,trop,60
à,à,81
lui,lui,51
",",",",p
elle,il,51
restait,rester,18
trop,trop,60
pleine,plein,30
de,de,81
lui,lui,51
/.,/.,P
mais,mais,82
",",",",p
lentement,lentement,60
",",",",p
elle,il,51
se,se,51
calma,calmer,19
",",",",p
en,en,81
le,le,52
voyant,voir,13
si,si,60
convenable,convenable,30
",",",",p
ne,ne,60
la,le,52
regardant,regarder,13
pas,pas,60
en,en,81
face,face,22
",",",",p
ne,ne,60
la,le,52
touchant,toucher,13
pas,pas,60
du,de,81
du,le,71
bout,bout,21
des,de,81
des,le,71
doigts,doigt,21
",",",",p
quand,quand,83
les,le,71
autres,autre,52
avaient,avoir,18
le,le,71
dos,dos,21
tourné,tourné,31
/.,/.,P
puis,puis,60
",",",",p
Virginie,Virginie,20
",",",",p
qui,qui,52
semblait,sembler,18
lire,lire,14
en,en,81
elle,il,51
",",",",p
lui,lui,51
faisait,faire,18
honte,honte,22
de,de,81
ses,son,73
vilaines,vilain,30
pensées,pensée,22
/.,/.,P
pourquoi,pourquoi,60
tremblait,trembler,18
elle,il,51
/?,/?,P
on,on,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
rencontrer,rencontrer,14
un,un,71
homme,homme,21
plus,plus,60
gentil,gentil,30
/.,/.,P
bien,bien,60
sûr,sûr,30
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
plus,plus,60
rien,rien,52
à,à,81
craindre,craindre,14
/.,/.,P
et,et,82
la,le,71
grande,grand,30
brune,brune,22
manoeuvra,manoeuvrer,19
un,un,71
jour,jour,21
de,de,81
façon,façon,22
à,à,81
les,le,52
pousser,pousser,14
tous,tout,75
deux,deux,72
dans,dans,81
un,un,71
coin,coin,21
et,et,82
à,à,81
mettre,mettre,14
la,le,71
conversation,conversation,22
sur,sur,81
le,le,71
sentiment,sentiment,21
/.,/.,P
Lantier,Lantier,20
déclara,déclarer,19
d',de,81
une,un,71
voix,voix,22
grave,grave,30
",",",",p
en,en,81
choisissant,choisir,13
les,le,71
termes,terme,21
",",",",p
que,que,83
son,son,73
coeur,coeur,21
était,être,18
mort,mourir,12
",",",",p
qu',que,83
il,il,51
voulait,vouloir,18
désormais,désormais,60
se,se,51
consacrer,consacrer,14
uniquement,uniquement,60
au,à,81
au,le,71
bonheur,bonheur,21
de,de,81
son,son,73
fils,fils,21
/.,/.,P
il,il,51
ne,ne,60
parlait,parler,18
jamais,jamais,60
de,de,81
Claude,Claude,20
",",",",p
qui,qui,52
était,être,18
toujours,toujours,60
dans,dans,81
le,le,71
Midi,Midi,20
/.,/.,P
il,il,51
embrassait,embrasser,18
Etienne,Etienne,20
sur,sur,81
le,le,71
front,front,21
tous,tout,75
les,le,71
soirs,soir,21
",",",",p
ne,ne,60
savait,savoir,18
que,que,83
lui,lui,51
dire,dire,14
si,si,83
l',le,71
enfant,enfant,21
restait,rester,18
là,là,60
",",",",p
l',le,52
oubliait,oublier,18
pour,pour,81
entrer,entrer,14
en,en,81
compliments,compliment,21
avec,avec,81
Clémence,Clémence,20
/.,/.,P
alors,alors,60
",",",",p
Gervaise,Gervaise,20
",",",",p
tranquillisée,tranquillisé,31
",",",",p
sentit,sentir,19
mourir,mourir,14
en,en,81
elle,il,51
le,le,71
passé,passé,21
/.,/.,P
la,le,71
présence,présence,22
de,de,81
Lantier,Lantier,20
usait,user,18
ses,son,73
souvenirs,souvenir,21
de,de,81
Plassans,Plassans,20
et,et,82
de,de,81
l',le,71
hôtel,hôtel,21
Boncoeur,Boncoeur,20
/.,/.,P
à,à,81
le,le,52
voir,voir,14
sans,sans,81
cesse,cesse,22
",",",",p
elle,il,51
ne,ne,60
le,le,52
rêvait,rêver,18
plus,plus,60
/.,/.,P
même,même,60
elle,il,51
se,se,51
trouvait,trouver,18
prise,pris,31
d',de,81
une,un,71
répugnance,répugnance,22
à,à,81
la,le,71
pensée,pensée,22
de,de,81
leurs,leur,73
anciens,ancien,30
rapports,rapport,21
/.,/.,P
oh,oh,93
!,!,p
c',ce,52
était,être,18
fini,finir,12
",",",",p
bien,bien,60
fini,finir,12
/.,/.,P
s',si,83
il,il,51
osait,oser,18
un,un,71
jour,jour,21
lui,lui,51
demander,demander,14
ça,ça,52
",",",",p
elle,il,51
lui,lui,51
répondrait,répondre,16
par,par,81
une,un,71
paire,paire,22
de,de,81
claques,claque,22
",",",",p
elle,il,51
instruirait,instruire,16
plutôt,plutôt,60
son,son,73
mari,mari,21
/.,/.,P
et,et,82
",",",",p
de,de,81
nouveau,nouveau,21
",",",",p
elle,il,51
songeait,songer,18
sans,sans,81
remords,remords,21
",",",",p
avec,avec,81
une,un,71
douceur,douceur,22
extraordinaire,extraordinaire,30
",",",",p
à,à,81
la,le,71
bonne,bon,30
amitié,amitié,22
de,de,81
Goujet,Goujet,20
/.,/.,P
en,en,81
arrivant,arriver,13
un,un,71
matin,matin,21
à,à,81
l',le,71
atelier,atelier,21
",",",",p
Clémence,Clémence,20
raconta,raconter,19
qu',que,83
elle,il,51
avait,avoir,18
rencontré,rencontrer,12
la,le,71
veille,veille,22
",",",",p
vers,vers,81
onze,onze,72
heures,heure,22
",",",",p
monsieur,monsieur,21
Lantier,Lantier,20
donnant,donner,13
le,le,71
bras,bras,21
à,à,81
une,un,71
femme,femme,22
/.,/.,P
elle,il,51
disait,dire,18
cela,cela,52
en,en,81
mots,mot,21
très,très,60
sales,sale,30
",",",",p
avec,avec,81
de,de,81
la,le,71
méchanceté,méchanceté,22
par-dessous,par-dessous,60
",",",",p
pour,pour,81
voir,voir,14
la,le,71
tête,tête,22
de,de,81
la,le,71
patronne,patronne,22
/.,/.,P
oui,oui,60
",",",",p
monsieur,monsieur,21
Lantier,Lantier,20
grimpait,grimper,18
la,le,71
rue,rue,22
Notre-Dame de Lorette,Notre-Dame de Lorette,20
;,;,p
la,le,71
femme,femme,22
était,être,18
blonde,blond,30
",",",",p
un,un,52
de,de,81
ces,ce,74
chameaux,chameau,21
du,de,81
du,le,71
boulevard,boulevard,21
à,à,81
moitié,moitié,22
crevés,crevé,31
",",",",p
le,le,71
derrière,derrière,21
nu,nu,30
sous,sous,81
leur,leur,73
robe,robe,22
de,de,81
soie,soie,22
/.,/.,P
et,et,82
elle,il,51
les,le,52
avait,avoir,18
suivis,suivre,12
",",",",p
par,par,81
blague,blague,22
/.,/.,P
le,le,71
chameau,chameau,21
était,être,18
entré,entrer,12
chez,chez,81
un,un,71
charcutier,charcutier,21
acheter,acheter,14
des,de,81
des,le,71
crevettes,crevette,22
et,et,82
du,de,81
du,le,71
jambon,jambon,21
/.,/.,P
puis,puis,60
",",",",p
rue,rue,22
de,de,81
La Rochefoucauld,La Rochefoucauld,20
",",",",p
monsieur,monsieur,21
Lantier,Lantier,20
avait,avoir,18
posé,poser,12
sur,sur,81
le,le,71
trottoir,trottoir,21
",",",",p
devant,devant,81
la,le,71
maison,maison,22
",",",",p
le,le,71
nez,nez,21
en,en,81
l',le,71
air,air,21
",",",",p
en,en,81
attendant,attendre,13
que,que,83
la,le,71
petite,petite,22
",",",",p
montée,montée,22
toute,tout,60
seule,seul,30
",",",",p
lui,lui,51
eût,avoir,19
fait,faire,12
par,par,81
la,le,71
fenêtre,fenêtre,22
le,le,71
signe,signe,21
de,de,81
la,le,52
rejoindre,rejoindre,14
/.,/.,P
mais,mais,82
Clémence,Clémence,20
eût,avoir,19
beau,beau,60
ajouter,ajouter,14
des,de,81
des,le,71
commentaires,commentaire,21
dégoûtants,dégoûtant,30
",",",",p
Gervaise,Gervaise,20
continuait,continuer,18
à,à,81
repasser,repasser,14
tranquillement,tranquillement,60
une,un,71
robe,robe,22
blanche,blanc,30
/.,/.,P
par,par,81
moments,moment,21
",",",",p
l',le,71
histoire,histoire,22
lui,lui,51
mettait,mettre,18
aux,à,81
aux,le,71
lèvres,lèvre,22
un,un,71
petit,petit,30
sourire,sourire,21
/.,/.,P
ces,ce,74
Provençaux,Provençal,20
",",",",p
disait,dire,18
elle,il,51
",",",",p
étaient,être,18
tous,tout,52
enragés,enragé,31
après,après,81
les,le,71
femmes,femme,22
;,;,p
il,il,51
leur,leur,52
en,en,52
fallait,falloir,18
quand,quand,83
même,même,60
;,;,p
ils,ils,51
en,en,52
auraient,avoir,16
ramassé,ramasser,12
sur,sur,81
une,un,71
pelle,pelle,22
dans,dans,81
un,un,71
tas,tas,21
d',de,81
ordures,ordure,22
/.,/.,P
et,et,82
",",",",p
le,le,71
soir,soir,21
",",",",p
quand,quand,83
le,le,71
chapelier,chapelier,21
arriva,arriver,19
",",",",p
elle,il,51
s',se,51
amusa,amuser,19
des,de,81
des,le,71
taquineries,taquinerie,22
de,de,81
Clémence,Clémence,20
",",",",p
qui,qui,52
l',le,52
intriguait,intriguer,18
avec,avec,81
sa,son,73
blonde,blonde,22
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
il,il,51
semblait,sembler,18
flatté,flatté,31
d',de,81
avoir,avoir,14
été,être,12
aperçu,apercevoir,12
/.,/.,P
mon,mon,73
dieu,dieu,21
!,!,p
c',ce,52
était,être,18
une,un,71
ancienne,ancien,30
amie,ami,30
",",",",p
qu',que,52
il,il,51
voyait,voir,18
encore,encore,60
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
lorsque,lorsque,83
ça,ça,52
ne,ne,60
devait,devoir,18
déranger,déranger,14
personne,personne,52
;,;,p
une,un,71
fille,fille,22
très,très,60
chic,chic,30
",",",",p
meublée,meublé,31
en,en,81
palissandre,palissandre,21
;,;,p
et,et,82
il,il,51
citait,citer,18
d',de,81
anciens,ancien,30
amants,amant,21
à,à,81
elle,il,51
",",",",p
un,un,71
vicomte,vicomte,21
",",",",p
un,un,71
grand,grand,30
marchand,marchand,21
de,de,81
faïence,faïence,22
",",",",p
le,le,71
fils,fils,21
d',de,81
un,un,71
notaire,notaire,21
/.,/.,P
lui,lui,51
",",",",p
aimait,aimer,18
les,le,71
femmes,femme,22
qui,qui,52
embaument,embaumer,17
/.,/.,P
il,il,51
poussait,pousser,18
sous,sous,81
le,le,71
nez,nez,21
de,de,81
Clémence,Clémence,20
son,son,73
mouchoir,mouchoir,21
",",",",p
que,que,52
la,le,71
petite,petite,22
lui,lui,51
avait,avoir,18
parfumé,parfumer,12
",",",",p
lorsque,lorsque,83
Etienne,Etienne,20
rentra,rentrer,19
/.,/.,P
alors,alors,60
",",",",p
il,il,51
prit,prendre,19
son,son,73
air,air,21
grave,grave,30
",",",",p
il,il,51
baisa,baiser,19
l',le,71
enfant,enfant,21
",",",",p
en,en,81
ajoutant,ajouter,13
que,que,83
la,le,71
rigolade,rigolade,22
ne,ne,60
tirait,tirer,18
pas,pas,60
à,à,81
conséquence,conséquence,22
et,et,82
que,que,83
son,son,73
coeur,coeur,21
était,être,18
mort,mourir,12
/.,/.,P
Gervaise,Gervaise,20
",",",",p
penchée,penché,31
sur,sur,81
son,son,73
ouvrage,ouvrage,21
",",",",p
hocha,hocher,19
la,le,71
tête,tête,22
d',de,81
un,un,71
air,air,21
d',de,81
approbation,approbation,22
/.,/.,P
et,et,82
ce,ce,52
fut,être,19
encore,encore,60
Clémence,Clémence,20
qui,qui,52
porta,porter,19
la,le,71
peine,peine,22
de,de,81
sa,son,73
méchanceté,méchanceté,22
",",",",p
car,car,82
elle,il,51
avait,avoir,18
bien,bien,60
senti,sentir,12
Lantier,Lantier,20
la,le,52
pincer,pincer,14
déjà,déjà,60
deux,deux,72
ou,ou,82
trois,trois,72
fois,fois,22
",",",",p
sans,sans,81
avoir,avoir,14
l',le,71
air,air,21
",",",",p
et,et,82
elle,il,51
crevait,crever,18
de,de,81
jalousie,jalousie,22
de,de,81
ne,ne,60
pas,pas,60
puer,puer,14
le,le,71
musc,musc,21
comme,comme,83
le,le,71
chameau,chameau,21
du,de,81
du,le,71
boulevard,boulevard,21
/.,/.,P
quand,quand,83
le,le,71
printemps,printemps,21
revint,revenir,19
",",",",p
Lantier,Lantier,20
",",",",p
tout,tout,60
à,à,81
fait,fait,21
de,de,81
la,le,71
maison,maison,22
",",",",p
parla,parler,19
d',de,81
habiter,habiter,14
le,le,71
quartier,quartier,21
",",",",p
afin,afin,81
d',de,81
être,être,14
plus,plus,60
près,près,81
de,de,81
ses,son,73
amis,ami,21
/.,/.,P
il,il,51
voulait,vouloir,18
une,un,71
chambre,chambre,22
meublée,meublé,31
dans,dans,81
une,un,71
maison,maison,22
propre,propre,30
/.,/.,P
madame,madame,22
Boche,Boche,20
",",",",p
Gervaise,Gervaise,20
elle-même,lui-même,51
",",",",p
se,se,51
mirent,mettre,19
en,en,81
quatre,quatre,72
pour,pour,81
lui,lui,51
trouver,trouver,14
ça,ça,52
/.,/.,P
on,on,51
fouilla,fouiller,19
les,le,71
rues,rue,22
voisines,voisin,30
/.,/.,P
mais,mais,82
il,il,51
était,être,18
trop,trop,60
difficile,difficile,30
",",",",p
il,il,51
désirait,désirer,18
une,un,71
grande,grand,30
cour,cour,22
",",",",p
il,il,51
demandait,demander,18
un,un,71
rez-de-chaussée,rez-de-chaussée,21
",",",",p
enfin,enfin,60
toutes,tout,75
les,le,71
commodités,commodité,22
imaginables,imaginable,30
/.,/.,P
et,et,82
maintenant,maintenant,60
",",",",p
chaque,chaque,75
soir,soir,21
",",",",p
chez,chez,81
les,le,71
Coupeau,Coupeau,20
",",",",p
il,il,51
semblait,sembler,18
mesurer,mesurer,14
la,le,71
hauteur,hauteur,22
des,de,81
des,le,71
plafonds,plafond,21
",",",",p
étudier,étudier,14
la,le,71
distribution,distribution,22
des,de,81
des,le,71
pièces,pièce,22
",",",",p
convoiter,convoiter,14
un,un,71
logement,logement,21
pareil,pareil,30
/.,/.,P
oh,oh,93
!,!,p
il,il,51
n',ne,60
aurait,avoir,16
pas,pas,60
demandé,demander,12
autre,autre,75
chose,chose,22
",",",",p
il,il,51
se,se,51
serait,être,16
volontiers,volontiers,60
creusé,creuser,12
un,un,71
trou,trou,21
dans,dans,81
ce,ce,74
coin,coin,21
tranquille,tranquille,30
et,et,82
chaud,chaud,30
/.,/.,P
puis,puis,60
",",",",p
il,il,51
terminait,terminer,18
chaque,chaque,75
fois,fois,22
son,son,73
examen,examen,21
par,par,81
cette,ce,74
phrase,phrase,22
:,:,p
-,-,p
sapristi,sapristi,93
",",",",p
vous,vous,51
êtes,être,17
joliment,joliment,60
bien,bien,60
",",",",p
tout,tout,60
de,de,81
même,même,60
/!,/!,P
un,un,71
soir,soir,21
",",",",p
comme,comme,83
il,il,51
avait,avoir,18
dîné,dîner,12
là,là,60
et,et,82
qu',que,52
il,il,51
lâchait,lâcher,18
sa,son,73
phrase,phrase,22
au,à,81
au,le,71
dessert,dessert,21
",",",",p
Coupeau,Coupeau,20
",",",",p
qui,qui,52
s',se,51
était,être,18
mis,mettre,12
à,à,81
le,le,52
tutoyer,tutoyer,14
",",",",p
lui,lui,51
cria,crier,19
brusquement,brusquement,60
:,:,p
-,-,p
faut,falloir,17
rester,rester,14
ici,ici,60
",",",",p
ma,mon,73
vieille,vieille,22
",",",",p
si,si,83
le,le,71
coeur,coeur,21
t',tu,51
en,en,52
dit,dire,17
/…,/…,P
on,on,51
s',se,51
arrangera,arranger,15
/…,/…,P
et,et,82
il,il,51
expliqua,expliquer,19
que,que,83
la,le,71
chambre,chambre,22
au,à,81
au,le,71
linge,linge,21
sale,sale,30
",",",",p
nettoyée,nettoyé,31
",",",",p
ferait,faire,16
une,un,71
jolie,joli,30
pièce,pièce,22
/.,/.,P
Etienne,Etienne,20
coucherait,coucher,16
dans,dans,81
la,le,71
boutique,boutique,22
",",",",p
sur,sur,81
un,un,71
matelas,matelas,21
jeté,jeté,31
par,par,81
terre,terre,22
",",",",p
voilà,voilà,81
tout,tout,52
/.,/.,P
-,-,p
non,non,60
",",",",p
non,non,60
",",",",p
dit,dire,19
Lantier,Lantier,20
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
pas,pas,60
accepter,accepter,14
/.,/.,P
ça,ça,52
vous,vous,51
gênerait,gêner,16
trop,trop,60
/.,/.,P
je,je,51
sais,savoir,17
que,que,83
c',ce,52
est,être,17
de,de,81
bon,bon,30
coeur,coeur,21
",",",",p
mais,mais,82
on,on,51
aurait,avoir,16
trop,trop,60
chaud,chaud,21
les,le,71
uns,un,52
sur,sur,81
les,le,71
autres,autre,52
/…,/…,P
puis,puis,60
",",",",p
vous,vous,51
savez,savoir,17
",",",",p
chacun,chacun,52
sa,son,73
liberté,liberté,22
/.,/.,P
il,il,51
me,je,51
faudrait,falloir,16
traverser,traverser,14
votre,votre,73
chambre,chambre,22
",",",",p
et,et,82
ça,ça,52
ne,ne,60
serait,être,16
pas,pas,60
toujours,toujours,60
drôle,drôle,30
/.,/.,P
-,-,p
ah,ah,93
!,!,p
l',le,71
animal,animal,21
!,!,p
reprit,reprendre,19
le,le,71
zingueur,zingueur,21
étranglant,étrangler,13
de,de,81
rire,rire,14
",",",",p
tapant,taper,13
sur,sur,81
la,le,71
table,table,22
pour,pour,81
s',se,51
éclaircir,éclaicir,14
la,le,71
voix,voix,22
",",",",p
il,il,51
songe,songer,17
toujours,toujours,60
aux,à,81
aux,le,71
bêtises,bêtise,22
!,!,p
mais,mais,82
",",",",p
bougre,bougre,21
de,de,81
serin,serin,21
",",",",p
on,on,51
est,être,17
inventif,inventif,30
/!,/!,P
pas,pas,60
vrai,vrai,60
?,?,p
il,il,51
y,y,52
a,avoir,17
deux,deux,72
fenêtres,fenêtre,22
",",",",p
dans,dans,81
la,le,71
pièce,pièce,22
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
on,on,51
en,en,52
colle,coller,17
une,un,52
par,par,81
terre,terre,22
",",",",p
on,on,51
en,en,52
fait,faire,17
une,un,71
porte,porte,22
/.,/.,P
alors,alors,60
",",",",p
comprends,comprendre,17
tu,tu,51
",",",",p
tu,tu,51
entres,entrer,17
par,par,81
la,le,71
cour,cour,22
",",",",p
nous,nous,51
bouchons,boucher,17
même,même,60
cette,ce,74
porte,porte,22
de,de,81
communication,communication,22
",",",",p
si,si,83
ça,ça,52
nous,nous,51
plaît,plaire,17
/.,/.,P
ni,ni,82
vu,vu,81
ni,ni,82
connu,connu,31
",",",",p
tu,tu,51
es,être,17
chez,chez,81
toi,toi,51
",",",",p
nous,nous,51
sommes,être,17
chez,chez,81
nous,nous,51
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
un,un,71
silence,silence,21
/.,/.,P
le,le,71
chapelier,chapelier,21
murmurait,murmurer,18
:,:,p
-,-,p
ah,ah,93
!,!,p
oui,oui,60
",",",",p
de,de,81
cette,ce,74
façon,façon,22
",",",",p
je,je,51
ne,ne,60
dis,dire,17
pas,pas,60
/…,/…,P
et,et,82
encore,encore,60
non,non,60
",",",",p
je,je,51
serais,être,16
trop,trop,60
sur,sur,81
votre,votre,73
dos,dos,21
/.,/.,P
il,il,51
évitait,éviter,18
de,de,81
regarder,regarder,14
Gervaise,Gervaise,20
/.,/.,P
mais,mais,82
il,il,51
attendait,attendre,18
évidemment,évidemment,60
un,un,71
mot,mot,21
de,de,81
sa,son,73
part,part,22
pour,pour,81
accepter,accepter,14
/.,/.,P
celle-ci,celui-ci,52
était,être,18
très,très,60
contrariée,contrarier,12
de,de,81
l',le,71
idée,idée,22
de,de,81
son,son,73
mari,mari,21
;,;,p
non,non,60
pas,pas,60
que,que,83
la,le,71
pensée,pensée,22
de,de,81
voir,voir,14
Lantier,Lantier,20
demeurer,demeurer,14
chez,chez,81
eux,ils,51
la,le,52
blessât,blesser,18
ni,ni,82
l',le,52
inquiétât,inquiéter,18
beaucoup,beaucoup,60
;,;,p
mais,mais,82
elle,il,51
se,se,51
demandait,demander,18
où,où,60
elle,il,51
mettrait,mettre,16
son,son,73
linge,linge,21
sale,sale,30
/.,/.,P
cependant,cependant,82
",",",",p
le,le,71
zingueur,zingueur,21
faisait,faire,18
valoir,valoir,14
les,le,71
avantages,avantage,21
de,de,81
l',le,71
arrangement,arrangement,21
/.,/.,P
le,le,71
loyer,loyer,21
de,de,81
cinq,cinq,72
cents,cent,72
francs,franc,21
avait,avoir,18
toujours,toujours,60
été,être,12
un,un,71
peu,peu,60
fort,fort,30
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
le,le,71
camarade,camarade,21
leur,leur,52
paierait,payer,16
la,le,71
chambre,chambre,22
toute,tout,60
meublée,meublé,31
vingt,vingt,72
francs,franc,21
par,par,81
mois,mois,21
;,;,p
ce,ce,52
ne,ne,60
serait,être,16
pas,pas,60
cher,cher,30
pour,pour,81
lui,lui,51
",",",",p
et,et,82
ça,ça,52
les,le,52
aiderait,aider,16
au,à,81
au,le,71
moment,moment,21
du,de,81
du,le,71
terme,terme,21
/.,/.,P
il,il,51
ajouta,ajouter,19
qu',que,83
il,il,51
se,se,51
chargeait,charger,18
de,de,81
manigancer,manigancer,14
",",",",p
sous,sous,81
leur,leur,73
lit,lit,21
",",",",p
une,un,71
grande,grand,30
caisse,caisse,22
où,où,60
tout,tout,75
le,le,71
linge,linge,21
sale,sale,30
du,de,81
du,le,71
quartier,quartier,21
pourrait,pouvoir,16
tenir,tenir,14
/.,/.,P
alors,alors,60
",",",",p
Gervaise,Gervaise,20
hésita,hésiter,19
",",",",p
parut,paraître,19
consulter,consulter,14
du,de,81
du,le,71
regard,regard,21
maman,maman,22
Coupeau,Coupeau,20
",",",",p
que,que,52
Lantier,Lantier,20
avait,avoir,18
conquise,conquérir,12
depuis,depuis,81
des,de,81
des,le,71
mois,mois,21
",",",",p
en,en,81
lui,lui,51
apportant,apporter,13
des,de,81
des,le,71
boules,boule,22
de,de,81
gomme,gomme,22
pour,pour,81
son,son,73
catarrhe,catarrhe,22
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
nous,nous,51
gêneriez,gêner,16
pas,pas,60
",",",",p
bien,bien,60
sûr,sûr,30
",",",",p
finit,finir,19
elle,il,51
par,par,81
dire,dire,14
/.,/.,P
il,il,51
y,y,52
aurait,avoir,16
moyen,moyen,21
de,de,81
s',se,51
organiser,organiser,14
/…,/…,P
non,non,60
",",",",p
non,non,60
",",",",p
merci,merci,21
",",",",p
répéta,répéter,19
le,le,71
chapelier,chapelier,21
/.,/.,P
vous,vous,51
êtes,être,17
trop,trop,60
gentils,gentil,30
",",",",p
ce,ce,52
serait,être,16
abuser,abuser,14
/.,/.,P
Coupeau,Coupeau,20
",",",",p
cette,ce,74
fois,fois,22
",",",",p
éclata,éclater,19
/.,/.,P
est,être,17
ce,ce,52
qu',que,83
il,il,51
allait,aller,18
faire,faire,14
son,son,73
andouille,andouille,21
encore,encore,60
longtemps,longtemps,60
/?,/?,P
quand,quand,83
on,on,51
lui,lui,51
disait,dire,18
que,que,83
c',ce,52
était,être,18
de,de,81
bon,bon,30
coeur,coeur,21
/!,/!,P
il,il,51
leur,leur,52
rendrait,rendre,16
service,service,21
",",",",p
là,là,60
",",",",p
comprenait,comprendre,18
il,il,51
/!,/!,P
puis,puis,60
",",",",p
d',de,81
une,un,71
voix,voix,22
furibonde,furibond,30
",",",",p
il,il,51
gueula,gueuler,19
:,:,p
-,-,p
Etienne,Etienne,20
/!,/!,P
Etienne,Etienne,20
/!,/!,P
