12010
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-huitième extrait>,<>,<>
",",",",p
aucune,aucun,52
ne,ne,60
te,tu,51
plaît,plaire,17
/?,/?,P
il,il,51
y,y,52
en,en,52
a,avoir,17
de,de,81
plus,plus,60
belles,beau,30
;,;,p
mais,mais,82
",",",",p
moi,moi,51
",",",",p
je,je,51
sais,savoir,17
mieux,mieux,60
aimer,aimer,14
/!,/!,P
je,je,51
suis,être,17
ta,ton,73
servante,servante,22
et,et,82
ta,ton,73
concubine,concubine,22
/!,/!,P
tu,tu,51
es,être,17
mon,mon,73
roi,roi,21
",",",",p
mon,mon,73
idole,idole,22
!,!,p
tu,tu,51
es,être,17
bon,bon,30
!,!,p
tu,tu,51
es,être,17
beau,beau,30
!,!,p
tu,tu,51
es,être,17
intelligent,intelligent,30
!,!,p
tu,tu,51
es,être,17
fort,fort,30
/!,/!,P
il,il,51
s',se,51
était,être,18
tant,tant,60
de,de,81
fois,fois,22
entendu,entendre,12
dire,dire,14
ces,ce,74
choses,chose,22
",",",",p
qu',que,83
elles,ils,51
n',ne,60
avaient,avoir,18
pour,pour,81
lui,lui,51
rien,rien,52
d',de,81
original,original,30
/.,/.,P
Emma,Emma,20
ressemblait,ressembler,18
à,à,81
toutes,tout,75
les,le,71
maîtresses,maîtresse,22
;,;,p
et,et,82
le,le,71
charme,charme,21
de,de,81
la,le,71
nouveauté,nouveauté,22
",",",",p
peu,peu,60
à,à,81
peu,peu,60
tombant,tomber,13
comme,comme,83
un,un,71
vêtement,vêtement,21
",",",",p
laissait,laisser,18
voir,voir,14
à,à,81
nu,nu,21
l',le,71
éternelle,éternel,30
monotonie,monotonie,22
de,de,81
la,le,71
passion,passion,22
",",",",p
qui,qui,52
a,avoir,17
toujours,toujours,60
les,le,71
mêmes,même,75
formes,forme,22
et,et,82
le,le,71
même,même,75
langage,langage,21
/.,/.,P
il,il,51
ne,ne,60
distinguait,distinguer,18
pas,pas,60
",",",",p
cet,ce,74
homme,homme,21
si,si,60
plein,plein,30
de,de,81
pratique,pratique,30
",",",",p
la,le,71
dissemblance,dissemblance,22
des,de,81
des,le,71
sentiments,sentiment,21
sous,sous,81
la,le,71
parité,parité,22
des,de,81
des,le,71
expressions,expression,22
/.,/.,P
parce que,parce que,83
des,de,81
des,le,71
lèvres,lèvre,22
libertines,libertin,30
ou,ou,82
vénales,vénal,30
lui,lui,51
avaient,avoir,18
murmuré,murmurer,12
des,de,81
des,le,71
phrases,phrase,22
pareilles,pareil,30
",",",",p
il,il,51
ne,ne,60
croyait,croire,18
que,que,83
faiblement,faiblement,60
à,à,81
la,le,71
candeur,candeur,22
de,de,81
celles-là,celui-là,52
;,;,p
on,on,51
en,en,52
devait,devoir,18
rabattre,rabattre,14
",",",",p
pensait,penser,18
il,il,51
",",",",p
les,le,71
discours,discours,21
exagérés,exagéré,31
cachant,cacher,13
les,le,71
affections,affection,22
médiocres,médiocre,30
;,;,p
comme,comme,83
si,si,83
la,le,71
plénitude,plénitude,22
de,de,81
l',le,71
âme,âme,22
ne,ne,60
débordait,déborder,18
pas,pas,60
quelquefois,quelquefois,60
par,par,81
les,le,71
métaphores,métaphore,22
les,le,71
plus,plus,60
vides,vide,30
",",",",p
puisque,puisque,83
personne,personne,52
",",",",p
jamais,jamais,60
",",",",p
ne,ne,60
peut,pouvoir,17
donner,donner,14
l',le,71
exacte,exact,30
mesure,mesure,22
de,de,81
ses,son,73
besoins,besoin,21
",",",",p
ni,ni,82
de,de,81
ses,son,73
conceptions,conception,22
",",",",p
ni,ni,82
de,de,81
ses,son,73
douleurs,douleur,22
",",",",p
et,et,82
que,que,83
la,le,71
parole,parole,22
humaine,humain,30
est,être,17
comme,comme,83
un,un,71
chaudron,chaudron,21
fêlé,fêlé,31
où,où,60
nous,nous,51
battons,battre,17
des,de,81
des,le,71
mélodies,mélodie,22
à,à,81
faire,faire,14
danser,danser,14
les,le,71
ours,ours,21
",",",",p
quand,quand,83
on,on,51
voudrait,vouloir,16
attendrir,attendrir,14
les,le,71
étoiles,étoile,22
/.,/.,P
mais,mais,82
",",",",p
avec,avec,81
cette,ce,74
supériorité,supériorité,22
de,de,81
critique,critique,21
appartenant,appartenir,13
à,à,81
celui,celui,52
qui,qui,52
",",",",p
dans,dans,81
n',ne,60
importe,importer,17
quel,quel,75
engagement,engagement,21
",",",",p
se,se,51
tient,tenir,17
en,en,81
arrière,arrière,21
",",",",p
Rodolphe,Rodolphe,20
aperçut,apercevoir,19
en,en,81
cet,ce,74
amour,amour,21
d',de,81
autres,autre,75
jouissances,jouissance,22
à,à,81
exploiter,exploiter,14
/.,/.,P
il,il,51
jugea,juger,19
toute,tout,75
pudeur,pudeur,22
incommode,incommode,30
/.,/.,P
il,il,51
la,le,52
traita,traiter,19
sans,sans,81
façon,façon,22
/.,/.,P
il,il,51
en,en,52
fit,faire,19
quelque,quelque,75
chose,chose,22
de,de,81
souple,souple,30
et,et,82
de,de,81
corrompu,corrompu,31
/.,/.,P
c',ce,52
était,être,18
une,un,71
sorte,sorte,22
d',de,81
attachement,attachement,21
idiot,idiot,30
plein,plein,30
d',de,81
admiration,admiration,22
pour,pour,81
lui,lui,51
",",",",p
de,de,81
voluptés,volupté,22
pour,pour,81
elle,il,51
",",",",p
une,un,71
béatitude,béatitude,22
qui,qui,52
l',le,52
engourdissait,engourdir,18
;,;,p
et,et,82
son,son,73
âme,âme,22
s',se,51
enfonçait,enfoncer,18
en,en,81
cette,ce,74
ivresse,ivresse,22
et,et,82
s',se,51
y,y,52
noyait,noyer,18
",",",",p
ratatinée,ratatiné,31
",",",",p
comme,comme,83
le,le,71
duc,duc,21
de,de,81
Clarence,Clarence,20
dans,dans,81
son,son,73
tonneau,tonneau,21
de,de,81
malvoisie,malvoisie,22
/.,/.,P
par,par,81
l',le,71
effet,effet,21
seul,seul,30
de,de,81
ses,son,73
habitudes,habitude,22
amoureuses,amoureux,30
",",",",p
madame,madame,22
Bovary,Bovary,20
changea,changer,19
d',de,81
allures,allure,22
/.,/.,P
ses,son,73
regards,regard,21
devinrent,devenir,19
plus,plus,60
hardis,hardi,30
",",",",p
ses,son,73
discours,discours,21
plus,plus,60
libres,libre,30
;,;,p
elle,il,51
eut,avoir,19
même,même,60
l',le,71
inconvenance,inconvenance,22
de,de,81
se,se,51
promener,promener,14
avec,avec,81
monsieur,monsieur,21
Rodolphe,Rodolphe,20
",",",",p
une,un,71
cigarette,cigarette,22
à,à,81
la,le,71
bouche,bouche,22
",",",",p
comme,comme,83
pour,pour,81
narguer,narguer,14
le,le,71
monde,monde,21
;,;,p
enfin,enfin,60
",",",",p
ceux,celui,52
qui,qui,52
doutaient,douter,18
encore,encore,60
ne,ne,60
doutèrent,douter,19
plus,plus,60
quand,quand,83
on,on,51
la,le,52
vit,voir,19
",",",",p
un,un,71
jour,jour,21
",",",",p
descendre,descendre,14
de,de,81
l',le,71
hirondelle,hirondelle,22
",",",",p
la,le,71
taille,taille,22
serrée,serré,31
dans,dans,81
un,un,71
gilet,gilet,21
",",",",p
à,à,81
la,le,71
façon,façon,22
d',de,81
un,un,71
homme,homme,21
;,;,p
et,et,82
madame,madame,22
Bovary,Bovary,20
mère,mère,22
",",",",p
qui,qui,52
",",",",p
après,après,81
une,un,71
épouvantable,épouvantable,30
scène,scène,22
avec,avec,81
son,son,73
mari,mari,21
",",",",p
était,être,18
venue,venir,12
se,se,51
réfugier,réfugier,14
chez,chez,81
son,son,73
fils,fils,21
",",",",p
ne,ne,60
fut,être,19
pas,pas,60
la,le,71
bourgeoise,bourgeoise,22
la,le,71
moins,moins,60
scandalisée,scandalisé,31
/.,/.,P
bien,bien,60
d',de,81
autres,autre,75
choses,chose,22
lui,lui,51
déplurent,déplaire,19
:,:,p
d'abord,d'abord,60
Charles,Charles,20
n',ne,60
avait,avoir,18
point,point,60
écouté,écouter,12
ses,son,73
conseils,conseil,21
pour,pour,81
l',le,71
interdiction,interdiction,22
des,de,81
des,le,71
romans,roman,21
;,;,p
puis,puis,60
",",",",p
le,le,71
genre,genre,21
de,de,81
la,le,71
maison,maison,22
lui,lui,51
déplaisait,déplaire,18
;,;,p
elle,il,51
se,se,51
permit,permettre,19
des,de,81
des,le,71
observations,observation,22
",",",",p
et,et,82
l',l',94
on,on,51
se,se,51
fâcha,fâcher,19
",",",",p
une,un,71
fois,fois,22
surtout,surtout,60
",",",",p
à,à,81
propos,propos,21
de,de,81
Félicité,Félicité,20
/.,/.,P
madame,madame,22
Bovary,Bovary,20
mère,mère,22
",",",",p
la,le,71
veille,veille,22
au,à,81
au,le,71
soir,soir,21
",",",",p
en,en,81
traversant,traverser,13
le,le,71
corridor,corridor,21
",",",",p
l',le,52
avait,avoir,18
surprise,surprendre,12
dans,dans,81
la,le,71
compagnie,compagnie,22
d',de,81
un,un,71
homme,homme,21
",",",",p
un,un,71
homme,homme,21
à,à,81
collier,collier,21
brun,brun,30
",",",",p
d',de,81
environ,environ,60
quarante,quarante,72
ans,an,21
",",",",p
et,et,82
qui,qui,52
",",",",p
au,à,81
au,le,71
bruit,bruit,21
de,de,81
ses,son,73
pas,pas,21
",",",",p
s',se,51
était,être,18
vite,vite,60
échappé,échapper,12
de,de,81
la,le,71
cuisine,cuisine,22
/.,/.,P
alors,alors,60
Emma,Emma,20
se,se,51
prit,prendre,19
à,à,81
rire,rire,14
;,;,p
mais,mais,82
la,le,71
bonne,bon,30
dame,dame,22
s',se,51
emporta,emporter,19
",",",",p
déclarant,déclarer,13
qu',que,83
à,à,81
moins,moins,60
de,de,81
se,se,51
moquer,moquer,14
des,de,81
des,le,71
moeurs,moeurs,22
",",",",p
on,on,51
devait,devoir,18
surveiller,surveiller,14
celles,celui,52
des,de,81
des,le,71
domestiques,domestique,21
/.,/.,P
-,-,p
de,de,81
quel,quel,75
monde,monde,21
êtes,être,17
vous,vous,51
?,?,p
dit,dire,19
la,le,71
bru,bru,22
",",",",p
avec,avec,81
un,un,71
regard,regard,21
tellement,tellement,60
impertinent,impertinent,30
que,que,83
madame,madame,22
Bovary,Bovary,20
lui,lui,51
demanda,demander,19
si,si,83
elle,il,51
ne,ne,60
défendait,défendre,18
point,point,60
sa,son,73
propre,propre,30
cause,cause,22
/.,/.,P
-,-,p
sortez,sortir,17
!,!,p
fit,faire,19
la,le,71
jeune,jeune,30
femme,femme,22
se,se,51
levant,lever,13
d',de,81
un,un,71
bond,bond,21
/.,/.,P
-,-,p
Emma,Emma,20
!,!,p
…,…,p
maman,maman,22
!,!,p
…,…,p
s',se,51
écriait,écrier,18
Charles,Charles,20
pour,pour,81
les,le,52
rapatrier,rapatrier,14
/.,/.,P
mais,mais,82
elles,ils,51
s',se,51
étaient,être,18
enfuies,enfuir,12
toutes,tout,75
les,le,71
deux,deux,72
dans,dans,81
leur,leur,73
exaspération,exaspération,22
/.,/.,P
Emma,Emma,20
trépignait,trépigner,18
en,en,81
répétant,répéter,13
:,:,p
-,-,p
ah,ah,93
!,!,p
quel,quel,75
savoir-vivre,savoir-vivre,21
!,!,p
quelle,quel,75
paysanne,paysanne,22
/!,/!,P
il,il,51
courut,courir,19
à,à,81
sa,son,73
mère,mère,22
;,;,p
elle,il,51
était,être,18
hors,hors,81
des,de,81
des,le,71
gonds,gond,21
",",",",p
elle,il,51
balbutiait,balbutier,18
:,:,p
-,-,p
c',ce,52
est,être,17
une,un,71
insolente,insolent,30
!,!,p
une,un,71
évaporée,évaporé,31
!,!,p
pire,pire,30
",",",",p
peut-être,peut-être,60
/!,/!,P
et,et,82
elle,il,51
voulait,vouloir,18
partir,partir,14
immédiatement,immédiatement,60
",",",",p
si,si,83
l',le,71
autre,autre,52
ne,ne,60
venait,venir,18
lui,lui,51
faire,faire,14
des,de,81
des,le,71
excuses,excuse,22
/.,/.,P
Charles,Charles,20
retourna,retourner,19
donc,donc,82
vers,vers,81
sa,son,73
femme,femme,22
et,et,82
la,le,52
conjura,conjurer,19
de,de,81
céder,céder,14
;,;,p
il,il,51
se,se,51
mit,mettre,19
à,à,81
genoux,genou,21
;,;,p
elle,il,51
finit,finir,17
par,par,81
répondre,répondre,14
:,:,p
-,-,p
soit,soit,82
!,!,p
j',je,51
y,y,52
vais,aller,17
/.,/.,P
en,en,81
effet,effet,21
",",",",p
elle,il,51
tendit,tendre,19
la,le,71
main,main,22
à,à,81
sa,son,73
belle-mère,belle-mère,22
avec,avec,81
une,un,71
dignité,dignité,22
de,de,81
marquise,marquise,22
",",",",p
en,en,81
lui,lui,51
disant,dire,13
:,:,p
-,-,p
excusez,excuser,17
moi,moi,51
",",",",p
madame,madame,22
/.,/.,P
puis,puis,60
",",",",p
remontée,remonté,31
chez,chez,81
elle,il,51
",",",",p
Emma,Emma,20
se,se,51
jeta,jeter,19
tout,tout,52
à,à,81
plat,plat,30
ventre,ventre,21
sur,sur,81
son,son,73
lit,lit,21
",",",",p
et,et,82
elle,il,51
y,y,52
pleura,pleurer,19
comme,comme,83
un,un,71
enfant,enfant,21
",",",",p
la,le,71
tête,tête,22
enfoncée,enfoncé,31
dans,dans,81
l',le,71
oreiller,oreiller,21
/.,/.,P
ils,ils,51
étaient,être,18
convenus,convenir,12
",",",",p
elle,il,51
et,et,82
Rodolphe,Rodolphe,20
",",",",p
qu',que,83
en,en,81
cas,cas,21
d',de,81
événement,événement,21
extraordinaire,extraordinaire,30
",",",",p
elle,il,51
attacherait,attacher,16
à,à,81
la,le,71
persienne,persienne,22
un,un,71
petit,petit,30
chiffon,chiffon,21
de,de,81
papier,papier,21
blanc,blanc,30
",",",",p
afin,afin,81
que,que,83
",",",",p
si,si,83
par,par,81
hasard,hasard,21
il,il,51
se,se,51
trouvait,trouver,18
à,à,81
Yonville,Yonville,20
",",",",p
il,il,51
accourût,accourir,18
dans,dans,81
la,le,71
ruelle,ruelle,22
",",",",p
derrière,derrière,81
la,le,71
maison,maison,22
/.,/.,P
Emma,Emma,20
fit,faire,19
le,le,71
signal,signal,21
;,;,p
elle,il,51
attendait,attendre,18
depuis,depuis,81
trois,trois,72
quarts,quart,21
d',de,81
heure,heure,22
",",",",p
quand,quand,83
tout,tout,60
à,à,81
coup,coup,21
elle,il,51
aperçut,apercevoir,19
Rodolphe,Rodolphe,20
au,à,81
au,le,71
coin,coin,21
des,de,81
des,le,71
halles,halle,22
/.,/.,P
elle,il,51
fut,être,19
tentée,tenter,12
d',de,81
ouvrir,ouvrir,14
la,le,71
fenêtre,fenêtre,22
",",",",p
de,de,81
l',le,52
appeler,appeler,14
;,;,p
mais,mais,82
déjà,déjà,60
il,il,51
avait,avoir,18
disparu,disparaître,12
/.,/.,P
elle,il,51
retomba,retomber,19
désespérée,désespéré,31
/.,/.,P
bientôt,bientôt,60
pourtant,pourtant,60
il,il,51
lui,lui,51
sembla,sembler,19
que,que,83
l',l',94
on,on,51
marchait,marcher,18
sur,sur,81
le,le,71
trottoir,trottoir,21
/.,/.,P
c',ce,52
était,être,18
lui,lui,51
",",",",p
sans,sans,81
doute,doute,21
;,;,p
elle,il,51
descendit,descendre,19
l',le,71
escalier,escalier,21
",",",",p
traversa,traverser,19
la,le,71
cour,cour,22
/.,/.,P
il,il,51
était,être,18
là,là,60
",",",",p
dehors,dehors,60
/.,/.,P
elle,il,51
se,se,51
jeta,jeter,19
dans,dans,81
ses,son,73
bras,bras,21
/.,/.,P
-,-,p
prends,prendre,17
donc,donc,82
garde,garde,22
",",",",p
dit,dire,19
il,il,51
/.,/.,P
-,-,p
ah,ah,93
!,!,p
si,si,83
tu,tu,51
savais,savoir,18
!,!,p
reprit,reprendre,19
elle,il,51
/.,/.,P
et,et,82
elle,il,51
se,se,51
mit,mettre,19
à,à,81
lui,lui,51
raconter,raconter,14
tout,tout,52
",",",",p
à,à,81
la,le,71
hâte,hâte,22
",",",",p
sans,sans,81
suite,suite,22
",",",",p
exagérant,exagérer,13
les,le,71
faits,fait,21
",",",",p
en,en,81
inventant,inventer,13
plusieurs,plusieurs,75
",",",",p
et,et,82
prodiguant,prodiguer,13
les,le,71
parenthèses,parenthèse,22
si,si,60
abondamment,abondamment,60
qu',que,83
il,il,51
n',ne,60
y,y,52
comprenait,comprendre,18
rien,rien,52
/.,/.,P
-,-,p
allons,aller,17
",",",",p
mon,mon,73
pauvre,pauvre,30
ange,ange,21
",",",",p
du,de,81
du,le,71
courage,courage,21
",",",",p
console,consoler,17
toi,toi,51
",",",",p
patience,patience,22
/!,/!,P
-,-,p
mais,mais,82
voilà,voilà,81
quatre,quatre,72
ans,an,21
que,que,83
je,je,51
patiente,patienter,17
et,et,82
que,que,83
je,je,51
souffre,souffrir,17
!,!,p
/…,/…,P
un,un,71
amour,amour,21
comme,comme,83
le,le,71
nôtre,nôtre,52
devrait,devoir,16
s',se,51
avouer,avouer,14
à,à,81
la,le,71
face,face,22
du,de,81
du,le,71
ciel,ciel,21
/!,/!,P
ils,ils,51
sont,être,17
à,à,81
me,je,51
torturer,torturer,14
/.,/.,P
je,je,51
n',ne,60
y,y,52
tiens,tenir,17
plus,plus,60
/!,/!,P
sauve,sauver,17
moi,moi,51
/!,/!,P
elle,il,51
se,se,51
serrait,serrer,18
contre,contre,81
Rodolphe,Rodolphe,20
/.,/.,P
ses,son,73
yeux,oeil,21
",",",",p
pleins,plein,30
de,de,81
larmes,larme,22
",",",",p
étincelaient,étinceler,18
comme,comme,83
des,de,81
des,le,71
flammes,flamme,22
sous,sous,81
l',le,71
onde,onde,22
;,;,p
sa,son,73
gorge,gorge,22
haletait,haleter,18
à,à,81
coups,coup,21
rapides,rapide,30
;,;,p
jamais,jamais,60
il,il,51
ne,ne,60
l',le,52
avait,avoir,18
tant,tant,60
aimée,aimer,12
;,;,p
si,si,60
bien,bien,60
qu',que,83
il,il,51
en,en,52
perdit,perdre,19
la,le,71
tête,tête,22
et,et,82
qu',que,83
il,il,51
lui,lui,51
dit,dire,19
:,:,p
-,-,p
que,que,52
faut,falloir,17
il,il,51
faire,faire,14
?,?,p
que,que,52
veux,vouloir,17
tu,tu,51
/?,/?,P
-,-,p
emmène,emmener,17
moi,moi,51
!,!,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
/.,/.,P
enlève,enlever,17
moi,moi,51
!,!,p
/…,/…,P
oh,oh,93
!,!,p
je,je,51
t',tu,51
en,en,52
supplie,supplier,17
/!,/!,P
et,et,82
elle,il,51
se,se,51
précipita,précipiter,19
sur,sur,81
sa,son,73
bouche,bouche,22
",",",",p
comme,comme,83
pour,pour,81
y,y,52
saisir,saisir,14
le,le,71
consentement,consentement,21
inattendu,inattendu,30
qui,qui,52
s',se,51
en,en,52
exhalait,exhaler,18
dans,dans,81
un,un,71
baiser,baiser,21
/.,/.,P
-,-,p
mais,mais,82
…,…,p
reprit,reprendre,19
Rodolphe,Rodolphe,20
/.,/.,P
-,-,p
quoi,quoi,52
donc,donc,82
/?,/?,P
-,-,p
et,et,82
ta,ton,73
fille,fille,22
/?,/?,P
elle,il,51
réfléchit,réfléchir,17
quelques,quelque,75
minutes,minute,22
",",",",p
puis,puis,60
répondit,répondre,19
:,:,p
-,-,p
nous,nous,51
la,le,52
prendrons,prendre,15
",",",",p
tant,tant,60
pis,pis,60
/!,/!,P
-,-,p
quelle,quel,75
femme,femme,22
!,!,p
se,se,51
dit,dire,19
il,il,51
en,en,81
la,le,52
regardant,regarder,13
s',se,51
éloigner,éloigner,14
/.,/.,P
car,car,82
elle,il,51
venait,venir,18
de,de,81
s',se,51
échapper,échapper,14
dans,dans,81
le,le,71
jardin,jardin,21
/.,/.,P
on,on,51
l',le,52
appelait,appeler,18
/.,/.,P
la,le,71
mère,mère,22
Bovary,Bovary,20
",",",",p
les,le,71
jours,jour,21
suivants,suivant,30
",",",",p
fut,être,19
très,très,60
étonnée,étonner,12
de,de,81
la,le,71
métamorphose,métamorphose,22
de,de,81
sa,son,73
bru,bru,22
/.,/.,P
en,en,81
effet,effet,21
",",",",p
Emma,Emma,20
se,se,51
montra,montrer,19
plus,plus,60
docile,docile,30
",",",",p
et,et,82
même,même,60
poussa,pousser,19
la,le,71
déférence,déférence,22
jusqu',jusque,81
à,à,81
lui,lui,51
demander,demander,14
une,un,71
recette,recette,22
pour,pour,81
faire,faire,14
mariner,mariner,14
des,de,81
des,le,71
cornichons,cornichon,21
/.,/.,P
était,être,18
ce,ce,52
afin,afin,81
de,de,81
les,le,52
mieux,mieux,60
duper,duper,14
l',le,71
un,un,52
et,et,82
l',le,71
autre,autre,52
?,?,p
ou,ou,82
bien,bien,60
voulait,vouloir,18
elle,il,51
",",",",p
par,par,81
une,un,71
sorte,sorte,22
de,de,81
stoïcisme,stoïcisme,21
voluptueux,voluptueux,30
",",",",p
sentir,sentir,14
plus,plus,60
profondément,profondément,60
l',le,71
amertume,amertume,22
des,de,81
des,le,71
choses,chose,22
qu',que,52
elle,il,51
allait,aller,18
abandonner,abandonner,14
/?,/?,P
mais,mais,82
elle,il,51
n',ne,60
y,y,52
prenait,prendre,18
garde,garde,22
",",",",p
au,à,81
au,le,71
contraire,contraire,21
;,;,p
elle,il,51
vivait,vivre,18
comme,comme,83
perdue,perdu,31
dans,dans,81
la,le,71
dégustation,dégustation,22
anticipée,anticipé,31
de,de,81
son,son,73
bonheur,bonheur,21
prochain,prochain,30
/.,/.,P
c',ce,52
était,être,18
avec,avec,81
Rodolphe,Rodolphe,20
un,un,71
éternel,éternel,30
sujet,sujet,21
de,de,81
causeries,causerie,22
/.,/.,P
elle,il,51
s',se,51
appuyait,appuyer,18
sur,sur,81
son,son,73
épaule,épaule,22
",",",",p
elle,il,51
murmurait,murmurer,18
:,:,p
-,-,p
hein,hein,93
!,!,p
quand,quand,83
nous,nous,51
serons,être,15
dans,dans,81
la,le,71
malle-poste,malle-poste,22
!,!,p
/…,/…,P
y,y,52
songes,songer,17
tu,tu,51
/?,/?,P
est,être,17
ce,ce,52
possible,possible,30
/?,/?,P
il,il,51
me,je,51
semble,sembler,17
qu',que,83
au,à,81
au,le,71
moment,moment,21
où,où,60
je,je,51
sentirai,sentir,15
la,le,71
voiture,voiture,22
s',se,51
élancer,élancer,14
",",",",p
ce,ce,52
sera,être,15
comme,comme,83
si,si,83
nous,nous,51
montions,monter,18
en,en,81
ballon,ballon,21
",",",",p
comme,comme,83
si,si,83
nous,nous,51
partions,partir,18
vers,vers,81
les,le,71
nuages,nuage,21
/.,/.,P
sais,savoir,17
tu,tu,51
que,que,83
je,je,51
compte,compter,17
les,le,71
jours,jour,21
?,?,p
/…,/…,P
et,et,82
toi,toi,51
/?,/?,P
jamais,jamais,60
madame,madame,22
Bovary,Bovary,20
ne,ne,60
fut,être,19
aussi,aussi,60
belle,beau,30
qu',que,83
à,à,81
cette,ce,74
époque,époque,22
;,;,p
elle,il,51
avait,avoir,18
cette,ce,74
indéfinissable,indéfinissable,30
beauté,beauté,22
qui,qui,52
résulte,résulter,17
de,de,81
la,le,71
joie,joie,22
",",",",p
de,de,81
l',le,71
enthousiasme,enthousiasme,21
",",",",p
du,de,81
du,le,71
succès,succès,21
",",",",p
et,et,82
qui,qui,52
n',ne,60
est,être,17
que,que,83
l',le,71
harmonie,harmonie,22
du,de,81
du,le,71
tempérament,tempérament,21
avec,avec,81
les,le,71
circonstances,circonstance,22
/.,/.,P
ses,son,73
convoitises,convoitise,22
",",",",p
ses,son,73
chagrins,chagrin,21
",",",",p
l',le,71
expérience,expérience,22
du,de,81
du,le,71
plaisir,plaisir,21
et,et,82
ses,son,73
illusions,illusion,22
toujours,toujours,60
jeunes,jeune,30
",",",",p
comme,comme,83
font,faire,17
aux,à,81
aux,le,71
fleurs,fleur,22
le,le,71
fumier,fumier,21
",",",",p
la,le,71
pluie,pluie,22
",",",",p
les,le,71
vents,vent,21
et,et,82
le,le,71
soleil,soleil,21
",",",",p
l',le,52
avaient,avoir,18
par,par,81
gradations,gradation,22
développée,développer,12
",",",",p
et,et,82
elle,il,51
s',se,51
épanouissait,épanouir,18
enfin,enfin,60
dans,dans,81
la,le,71
plénitude,plénitude,22
de,de,81
sa,son,73
nature,nature,22
/.,/.,P
ses,son,73
paupières,paupière,22
semblaient,sembler,18
taillées,taillé,31
tout,tout,60
exprès,exprès,60
pour,pour,81
ses,son,73
longs,long,30
regards,regard,21
amoureux,amoureux,30
où,où,60
la,le,71
prunelle,prunelle,22
se,se,51
perdait,perdre,18
",",",",p
tandis qu',tandis que,83
un,un,71
souffle,souffle,21
fort,fort,30
écartait,écarter,18
ses,son,73
narines,narine,22
minces,mince,30
et,et,82
relevait,relever,18
le,le,71
coin,coin,21
charnu,charnu,30
de,de,81
ses,son,73
lèvres,lèvre,22
",",",",p
qu',que,52
ombrageait,ombrager,18
à,à,81
la,le,71
lumière,lumière,22
un,un,71
peu,peu,60
de,de,81
duvet,duvet,22
noir,noir,30
/.,/.,P
on,on,51
eût,avoir,19
dit,dire,12
qu',que,83
un,un,71
artiste,artiste,21
habile,habile,30
en,en,81
corruptions,corruption,22
avait,avoir,18
disposé,disposer,12
sur,sur,81
sa,son,73
nuque,nuque,22
la,le,71
torsade,torsade,22
de,de,81
ses,son,73
cheveux,cheveu,21
:,:,p
ils,ils,51
s',se,51
enroulaient,enrouler,18
en,en,81
une,un,71
masse,masse,22
lourde,lourd,30
",",",",p
négligemment,négligemment,60
",",",",p
et,et,82
selon,selon,81
les,le,71
hasards,hasard,21
de,de,81
l',le,71
adultère,adultère,21
",",",",p
qui,qui,52
les,le,52
dénouait,dénouer,18
tous,tout,75
les,le,71
jours,jour,21
/.,/.,P
sa,son,73
voix,voix,22
maintenant,maintenant,60
prenait,prendre,18
des,de,81
des,le,71
inflexions,inflexion,22
plus,plus,60
molles,mou,30
",",",",p
sa,son,73
taille,taille,22
aussi,aussi,60
;,;,p
quelque,quelque,75
chose,chose,22
de,de,81
subtil,subtil,30
qui,qui,52
vous,vous,51
pénétrait,pénétrer,18
se,se,51
dégageait,dégager,18
même,même,60
des,de,81
des,le,71
draperies,draperie,22
de,de,81
sa,son,73
robe,robe,22
et,et,82
de,de,81
la,le,71
cambrure,cambrure,22
de,de,81
son,son,73
pied,pied,21
/.,/.,P
Charles,Charles,20
",",",",p
comme,comme,83
aux,à,81
aux,le,71
premiers,premier,72
temps,temps,21
de,de,81
son,son,73
mariage,mariage,21
",",",",p
la,le,52
trouvait,trouver,18
délicieuse,délicieux,30
et,et,82
tout,tout,60
irrésistible,irrésistible,30
/.,/.,P
quand,quand,83
il,il,51
rentrait,rentrer,18
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
nuit,nuit,22
",",",",p
il,il,51
n',ne,60
osait,oser,18
pas,pas,60
la,le,52
réveiller,réveiller,14
/.,/.,P
la,le,71
veilleuse,veilleuse,22
de,de,81
porcelaine,porcelaine,22
arrondissait,arrondir,18
au,à,81
au,le,71
plafond,plafond,21
une,un,71
clarté,clarté,22
tremblante,tremblant,30
",",",",p
et,et,82
les,le,71
rideaux,rideau,21
fermés,fermé,31
du,de,81
du,le,71
petit,petit,30
berceau,berceau,21
faisaient,faire,18
comme,comme,83
une,un,71
hutte,hutte,22
blanche,blanc,30
qui,qui,52
se,se,51
bombait,bomber,18
dans,dans,81
l',le,71
ombre,ombre,22
",",",",p
au,à,81
au,le,71
bord,bord,21
du,de,81
du,le,71
lit,lit,21
/.,/.,P
Charles,Charles,20
les,le,52
regardait,regarder,18
/.,/.,P
il,il,51
croyait,croire,18
entendre,entendre,14
l',le,71
haleine,haleine,22
légère,léger,30
de,de,81
son,son,73
enfant,enfant,21
/.,/.,P
elle,il,51
allait,aller,18
grandir,grandir,14
maintenant,maintenant,60
;,;,p
chaque,chaque,75
saison,saison,22
",",",",p
vite,vite,60
",",",",p
amènerait,amener,16
un,un,71
progrès,progrès,21
