11375
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dixième extrait>,<>,<>
lui,lui,51
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
seulement,seulement,60
un,un,71
homme,homme,21
expérimenté,expérimenté,31
dans,dans,81
la,le,71
guerre,guerre,22
;,;,p
il,il,51
avait,avoir,18
encore,encore,60
une,un,71
connaissance,connaissance,22
si,si,60
vraie,vrai,30
des,de,81
des,le,71
plus,plus,60
grandes,grand,30
affaires,affaire,22
politiques,politique,30
de,de,81
l',le,71
Europe,Europe,20
sous,sous,81
l',le,71
Empire,empire,21
",",",",p
que,que,52
l',l',94
on,on,51
ne,ne,60
savait,savoir,18
comment,comment,60
se,se,51
l',le,52
expliquer,expliquer,14
",",",",p
et,et,82
tantôt,tantôt,60
on,on,51
l',le,52
attribuait,attribuer,18
à,à,81
de,de,81
profondes,profond,30
études,étude,22
",",",",p
tantôt,tantôt,60
à,à,81
de,de,81
hautes,haut,30
relations,relation,22
fort,fort,60
anciennes,ancien,30
",",",",p
et,et,82
que,que,52
sa,son,73
réserve,réserve,22
perpétuelle,perpétuel,30
empêchait,empêcher,18
de,de,81
connaître,connaître,14
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
le,le,71
caractère,caractère,21
dominant,dominant,30
des,de,81
des,le,71
hommes,homme,21
d',de,81
aujourd'hui,aujourd'hui,60
",",",",p
c',ce,52
est,être,17
cette,ce,74
réserve,réserve,22
même,même,30
",",",",p
et,et,82
celui-ci,celui-ci,52
ne,ne,60
faisait,faire,18
que,que,83
porter,porter,14
à,à,81
l',le,71
extrême,extrême,21
ce,ce,74
trait,trait,21
général,général,30
/.,/.,P
à,à,81
présent,présent,21
",",",",p
une,un,71
apparence,apparence,22
de,de,81
froide,froid,30
politesse,politesse,22
couvre,couvrir,17
à,à,81
la,le,71
fois,fois,22
caractère,caractère,21
et,et,82
actions,action,22
/.,/.,P
aussi,aussi,60
je,je,51
n',ne,60
estime,estimer,17
pas,pas,60
que,que,83
beaucoup,beaucoup,60
puissent,pouvoir,17
se,se,51
reconnaître,reconnaître,14
aux,à,81
aux,le,71
portraits,portrait,21
effarés,effaré,31
que,que,52
l',l',94
on,on,51
fait,faire,17
de,de,81
nous,nous,51
/.,/.,P
l',le,71
affectation,affectation,22
est,être,17
ridicule,ridicule,30
en,en,81
France,France,20
plus,plus,60
que,que,83
partout,partout,60
ailleurs,ailleurs,60
",",",",p
et,et,82
c',ce,52
est,être,17
pour,pour,81
cela,cela,52
",",",",p
sans,sans,81
doute,doute,21
",",",",p
que,que,83
",",",",p
loin,loin,60
d',de,81
étaler,étaler,14
sur,sur,81
ses,son,73
traits,trait,21
et,et,82
dans,dans,81
son,son,73
langage,langage,21
l',le,71
excès,excès,21
de,de,81
force,force,22
que,que,52
donnent,donner,17
les,le,71
passions,passion,22
",",",",p
chacun,chacun,52
s',se,51
étudie,étudier,17
à,à,81
renfermer,renfermer,14
en,en,81
soi,soi,51
les,le,71
émotions,émotion,22
violentes,violent,30
",",",",p
les,le,71
chagrins,chagrin,21
profonds,profond,30
ou,ou,82
les,le,71
élans,élan,21
involontaires,involontaire,30
/.,/.,P
je,je,51
ne,ne,60
pense,penser,17
point,point,60
que,que,83
la,le,71
civilisation,civilisation,22
ait,avoir,17
tout,tout,52
énervé,énerver,12
",",",",p
je,je,51
vois,voir,17
qu',que,83
elle,il,51
a,avoir,17
tout,tout,52
masqué,masquer,12
/.,/.,P
j',je,51
avoue,avouer,17
que,que,83
c',ce,52
est,être,17
un,un,71
bien,bien,21
",",",",p
et,et,82
j',je,51
aime,aimer,17
le,le,71
caractère,caractère,21
contenu,contenu,31
de,de,81
notre,notre,73
époque,époque,22
/.,/.,P
dans,dans,81
cette,ce,74
froideur,froideur,22
apparente,apparent,30
il,il,51
y,y,52
a,avoir,17
de,de,81
la,le,71
pudeur,pudeur,22
",",",",p
et,et,82
les,le,71
sentiments,sentiment,21
vrais,vrai,30
en,en,52
ont,avoir,17
besoin,besoin,21
/.,/.,P
il,il,51
y,y,52
entre,entrer,17
aussi,aussi,60
du,de,81
du,le,71
dédain,dédain,21
",",",",p
bonne,bon,30
monnaie,monnaie,22
pour,pour,81
payer,payer,14
les,le,71
choses,chose,22
humaines,humain,30
/.,/.,P
-,-,p
nous,nous,51
avons,avoir,17
déjà,déjà,60
perdu,perdre,12
beaucoup,beaucoup,60
d',de,81
amis,ami,21
dont,dont,52
la,le,71
mémoire,mémoire,22
vit,vivre,17
entre,entre,81
nous,nous,51
;,;,p
vous,vous,51
vous,vous,51
les,le,52
rappelez,rappeler,17
",",",",p
ô,oh,93
mes,mon,73
chers,cher,30
compagnons,compagnon,21
d',de,81
armes,arme,22
/!,/!,P
les,le,71
uns,un,52
sont,être,17
morts,mourir,12
par,par,81
la,le,71
guerre,guerre,22
",",",",p
les,le,71
autres,autre,52
par,par,81
le,le,71
duel,duel,21
",",",",p
d',de,81
autres,autre,52
par,par,81
le,le,71
suicide,suicide,21
;,;,p
tous,tout,75
hommes,homme,21
d',de,81
honneur,honneur,21
et,et,82
de,de,81
ferme,ferme,21
caractère,caractère,21
",",",",p
de,de,81
passions,passion,22
fortes,fort,30
",",",",p
et,et,82
cependant,cependant,82
d',de,81
apparence,apparence,22
simple,simple,30
",",",",p
froide,froid,30
et,et,82
réservée,réservé,31
/.,/.,P
l',le,71
ambition,ambition,22
",",",",p
l',le,71
amour,amour,21
",",",",p
le,le,71
jeu,jeu,21
",",",",p
la,le,71
haine,haine,22
",",",",p
la,le,71
jalousie,jalousie,22
",",",",p
les,le,52
travaillaient,travailler,18
sourdement,sourdement,60
;,;,p
mais,mais,82
ils,ils,51
ne,ne,60
parlaient,parler,18
qu',que,83
à,à,81
peine,peine,22
",",",",p
et,et,82
détournaient,détourner,18
tout,tout,75
propos,propos,21
trop,trop,60
direct,direct,30
et,et,82
prêt,prêt,30
à,à,81
toucher,toucher,14
le,le,71
point,point,21
saignant,saignant,30
de,de,81
leur,leur,73
coeur,coeur,21
/.,/.,P
on,on,51
ne,ne,60
les,le,52
voyait,voir,18
jamais,jamais,60
cherchant,chercher,13
à,à,81
se,se,51
faire,faire,14
remarquer,remarquer,14
dans,dans,81
les,le,71
salons,salon,21
par,par,81
une,un,71
tragique,tragique,30
attitude,attitude,22
;,;,p
et,et,82
si,si,83
quelque,quelque,75
jeune,jeune,30
femme,femme,22
",",",",p
au,à,81
au,le,71
sortir,sortir,21
d',de,81
une,un,71
lecture,lecture,22
de,de,81
roman,roman,21
",",",",p
les,le,52
eût,avoir,19
vus,voir,12
tout,tout,60
soumis,soumis,31
et,et,82
comme,comme,83
disciplinés,discipliné,31
aux,à,81
aux,le,71
saluts,salut,21
en,en,81
usage,usage,21
et,et,82
aux,à,81
aux,le,71
simples,simple,30
causeries,causerie,22
à,à,81
voix,voix,22
basse,bas,30
",",",",p
elle,il,51
les,le,52
eût,avoir,19
pris,prendre,12
en,en,81
mépris,mépris,21
;,;,p
et,et,82
pourtant,pourtant,60
ils,ils,51
ont,avoir,17
vécu,vivre,12
et,et,82
sont,être,17
morts,mourir,12
",",",",p
vous,vous,51
le,le,52
savez,savoir,17
",",",",p
en,en,81
hommes,homme,21
aussi,aussi,60
forts,fort,30
que,que,83
la,le,71
nature,nature,22
en,en,52
produisit,produire,19
jamais,jamais,60
/.,/.,P
les,le,71
Caton,Caton,20
et,et,82
les,le,71
Brutus,Brutus,20
ne,ne,60
s',se,51
en,en,52
tirèrent,tirer,19
pas,pas,60
mieux,mieux,60
",",",",p
tout,tout,60
porteurs,porteur,30
de,de,81
toges,toge,22
qu',que,83
ils,ils,51
étaient,être,18
/.,/.,P
nos,notre,73
passions,passion,22
ont,avoir,17
autant,autant,60
d',de,81
énergie,énergie,22
qu',que,83
en,en,81
aucun,aucun,75
temps,temps,21
;,;,p
mais,mais,82
ce,ce,52
n',ne,60
est,être,17
qu',que,83
à,à,81
la,le,71
trace,trace,22
de,de,81
leurs,leur,73
fatigues,fatigue,22
que,que,83
le,le,71
regard,regard,21
d',de,81
un,un,71
ami,ami,21
peut,pouvoir,17
les,le,52
reconnaître,reconnaître,14
/.,/.,P
les,le,71
dehors,dehors,21
",",",",p
les,le,71
propos,propos,21
",",",",p
les,le,71
manières,manière,22
ont,avoir,17
une,un,71
certaine,certain,75
mesure,mesure,22
de,de,81
dignité,dignité,22
froide,froid,30
qui,qui,52
est,être,17
commune,commun,30
à,à,81
tous,tout,52
",",",",p
et,et,82
dont,dont,52
ne,ne,60
s',se,51
affranchissent,affranchir,17
que,que,83
quelques,quelque,75
enfants,enfant,21
qui,qui,52
se,se,51
veulent,vouloir,17
grandir,grandir,14
et,et,82
faire,faire,14
valoir,valoir,14
à,à,81
toute,tout,75
force,force,22
/.,/.,P
à,à,81
présent,présent,21
",",",",p
la,le,71
loi,loi,22
suprême,suprême,30
des,de,81
des,le,71
moeurs,moeurs,22
c',ce,52
est,être,17
la,le,71
convenance,convenance,22
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
profession,profession,22
où,où,60
la,le,71
froideur,froideur,22
des,de,81
des,le,71
formes,forme,22
du,de,81
du,le,71
langage,langage,21
et,et,82
des,de,81
des,le,71
habitudes,habitude,22
contraste,contraster,17
plus,plus,60
vivement,vivement,60
avec,avec,81
l',le,71
activité,activité,22
de,de,81
la,le,71
vie,vie,22
que,que,83
la,le,71
profession,profession,22
des,de,81
des,le,71
armes,arme,22
/.,/.,P
on,on,51
y,y,52
pousse,pousser,17
loin,loin,60
la,le,71
haine,haine,22
de,de,81
l',le,71
exagération,exagération,22
",",",",p
et,et,82
l',l',94
on,on,51
dédaigne,dédaigner,17
le,le,71
langage,langage,21
d',de,81
un,un,71
homme,homme,21
qui,qui,52
cherche,chercher,17
à,à,81
outrer,outrer,14
ce,ce,52
qu',que,52
il,il,51
sent,sentir,17
ou,ou,82
à,à,81
attendrir,attendrir,14
sur,sur,81
ce,ce,52
qu',que,52
il,il,51
souffre,souffrir,17
/.,/.,P
je,je,51
le,le,52
savais,savoir,18
",",",",p
et,et,82
je,je,51
me,je,51
préparais,préparer,18
à,à,81
quitter,quitter,14
brusquement,brusquement,60
le,le,71
capitaine,capitaine,21
Renaud,Renaud,20
",",",",p
lorsqu',lorsque,83
il,il,51
me,je,51
prit,prendre,19
le,le,71
bras,bras,21
et,et,82
me,je,51
retint,retenir,19
/.,/.,P
-,-,p
“,“,p
avez,avoir,17
vous,vous,51
vu,voir,12
ce,ce,74
matin,matin,21
la,le,71
manoeuvre,manoeuvre,22
des,de,81
des,le,71
Suisses,Suisse,20
?,?,p
me,je,51
dit,dire,19
il,il,51
;,;,p
c',ce,52
était,être,18
assez,assez,60
curieux,curieux,30
/.,/.,P
ils,ils,51
ont,avoir,17
fait,faire,12
le,le,71
feu,feu,21
de,de,81
chaussée,chaussée,22
en,en,81
avançant,avancer,13
avec,avec,81
une,un,71
précision,précision,22
parfaite,parfait,31
/.,/.,P
depuis,depuis,81
que,que,83
je,je,51
sers,servir,17
",",",",p
je,je,51
n',ne,60
en,en,52
avais,avoir,18
pas,pas,60
vu,voir,12
faire,faire,14
l',le,71
application,application,22
:,:,p
c',ce,52
est,être,17
une,un,71
manoeuvre,manoeuvre,22
de,de,81
parade,parade,22
et,et,82
d',de,81
Opéra,Opéra,20
;,;,p
mais,mais,82
",",",",p
dans,dans,81
les,le,71
rues,rue,22
d',de,81
une,un,71
grande,grand,30
ville,ville,22
",",",",p
elle,il,51
peut,pouvoir,17
avoir,avoir,14
son,son,73
prix,prix,21
",",",",p
pourvu,pourvu,81
que,que,83
les,le,71
sections,section,22
de,de,81
droite,droite,22
et,et,82
de,de,81
gauche,gauche,22
se,se,51
forment,former,17
vite,vite,60
en,en,81
avant,avant,21
du,de,81
du,le,71
peloton,peloton,21
qui,qui,52
vient,venir,17
de,de,81
faire,faire,14
feu,feu,21
/.,/.,P
“,“,p
en,en,81
même,même,75
temps,temps,21
il,il,51
continuait,continuer,18
à,à,81
tracer,tracer,14
des,de,81
des,le,71
lignes,ligne,22
sur,sur,81
la,le,71
terre,terre,22
avec,avec,81
le,le,71
bout,bout,21
de,de,81
sa,son,73
canne,canne,22
;,;,p
ensuite,ensuite,60
il,il,51
se,se,51
leva,lever,19
lentement,lentement,60
;,;,p
et,et,82
comme,comme,83
il,il,51
marchait,marcher,18
le,le,71
long,long,21
du,de,81
du,le,71
boulevard,boulevard,21
",",",",p
avec,avec,81
l',le,71
intention,intention,22
de,de,81
s',se,51
éloigner,éloigner,14
du,de,81
du,le,71
groupe,groupe,21
des,de,81
des,le,71
officiers,officier,21
et,et,82
des,de,81
des,le,71
soldats,soldat,21
",",",",p
je,je,51
le,le,52
suivis,suivre,19
",",",",p
et,et,82
il,il,51
continua,continuer,19
de,de,81
me,je,51
parler,parler,14
avec,avec,81
une,un,71
sorte,sorte,22
d',de,81
exaltation,exaltation,22
nerveuse,nerveux,30
et,et,82
comme,comme,83
involontaire,involontaire,30
qui,qui,52
me,je,51
captiva,captiver,19
",",",",p
et,et,82
que,que,52
je,je,51
n',ne,60
aurais,avoir,16
jamais,jamais,60
attendue,attendre,12
de,de,81
lui,lui,51
",",",",p
qui,qui,52
était,être,18
ce,ce,52
qu',que,52
on,on,51
est,être,17
convenu,convenir,12
d',de,81
appeler,appeler,14
un,un,71
homme,homme,21
froid,froid,30
/.,/.,P
il,il,51
commença,commencer,19
par,par,81
une,un,71
très,très,60
simple,simple,30
demande,demande,22
en,en,81
prenant,prendre,13
un,un,71
bouton,bouton,21
de,de,81
mon,mon,73
habit,habit,21
:,:,p
“,“,p
me,je,51
pardonnerez,pardonner,15
vous,vous,51
",",",",p
me,je,51
dit,dire,19
il,il,51
",",",",p
de,de,81
vous,vous,51
prier,prier,14
de,de,81
m',je,51
envoyer,envoyer,14
votre,votre,73
hausse-col,hausse-col,21
de,de,81
la,le,71
garde,garde,22
royale,royal,30
",",",",p
si,si,83
vous,vous,51
l',le,52
avez,avoir,17
conservé,conserver,12
/?,/?,P
j',je,51
ai,avoir,17
laissé,laisser,12
le,le,71
mien,mien,52
chez,chez,81
moi,moi,51
",",",",p
et,et,82
je,je,51
ne,ne,60
puis,pouvoir,17
l',le,52
envoyer,envoyer,14
chercher,chercher,14
ni,ni,82
y,y,52
aller,aller,14
moi-même,moi-même,51
",",",",p
parce qu',parce que,83
on,on,51
nous,nous,51
tue,tuer,17
dans,dans,81
les,le,71
rues,rue,22
comme,comme,83
des,de,81
des,le,71
chiens,chien,21
enragés,enragé,31
;,;,p
mais,mais,82
depuis,depuis,81
trois,trois,72
ou,ou,82
quatre,quatre,72
ans,an,21
que,que,83
vous,vous,51
avez,avoir,17
quitté,quitter,12
l',le,71
armée,armée,22
",",",",p
peut-être,peut-être,60
ne,ne,60
l',le,52
avez,avoir,17
vous,vous,51
plus,plus,60
/.,/.,P
j',je,51
avais,avoir,18
aussi,aussi,60
donné,donner,12
ma,mon,73
démission,démission,22
il,il,51
y,y,52
a,avoir,17
quinze,quinze,72
jours,jour,21
",",",",p
car,car,82
j',je,51
ai,avoir,17
une,un,71
grande,grand,30
lassitude,lassitude,22
de,de,81
l',le,71
armée,armée,22
;,;,p
mais,mais,82
avant-hier,avant-hier,60
",",",",p
quand,quand,83
j',je,51
ai,avoir,17
vu,voir,12
les,le,71
ordonnances,ordonnance,22
",",",",p
j',je,51
ai,avoir,17
dit,dire,12
:,:,p
on,on,51
va,aller,17
prendre,prendre,14
les,le,71
armes,arme,22
/.,/.,P
j',je,51
ai,avoir,17
fait,faire,12
un,un,71
paquet,paquet,21
de,de,81
mon,mon,73
uniforme,uniforme,21
",",",",p
de,de,81
mes,mon,73
épaulettes,épaulette,22
et,et,82
de,de,81
mon,mon,73
bonnet,bonnet,21
à,à,81
poil,poil,21
",",",",p
et,et,82
j',je,51
ai,avoir,17
été,être,12
à,à,81
la,le,71
caserne,caserne,22
retrouver,retrouver,14
ces,ce,74
braves,brave,30
gens,gens,21
là,là,60
qu',que,52
on,on,51
va,aller,17
faire,faire,14
tuer,tuer,14
dans,dans,81
tous,tout,75
les,le,71
coins,coin,21
",",",",p
et,et,82
qui,qui,52
certainement,certainement,60
auraient,avoir,16
pensé,penser,12
",",",",p
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
",",",",p
que,que,83
je,je,51
les,le,52
quittais,quitter,18
mal,mal,60
et,et,82
dans,dans,81
un,un,71
moment,moment,21
de,de,81
crise,crise,22
;,;,p
c',ce,52
eût,avoir,19
été,être,12
contre,contre,81
l',le,71
honneur,honneur,21
",",",",p
n',ne,60
est,être,17
il,il,51
pas,pas,60
vrai,vrai,30
",",",",p
entièrement,entièrement,60
contre,contre,81
l',le,71
honneur,honneur,21
/?,/?,P
aviez,avoir,18
vous,vous,51
prévu,prévoir,12
les,le,71
ordonnances,ordonnance,22
",",",",p
dis,dire,19
je,je,51
",",",",p
lors,lors,60
de,de,81
votre,votre,73
démission,démission,22
/?,/?,P
ma,mon,73
foi,foi,22
",",",",p
non,non,60
!,!,p
je,je,51
ne,ne,60
les,le,52
ai,avoir,17
pas,pas,60
même,même,60
lues,lire,12
encore,encore,60
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
que,que,52
vous,vous,51
reprochiez,reprocher,18
vous,vous,51
/?,/?,P
rien,rien,52
que,que,83
l',le,71
apparence,apparence,22
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
voulu,vouloir,12
que,que,83
l',le,71
apparence,apparence,22
même,même,30
fût,être,19
contre,contre,81
moi,moi,51
/.,/.,P
-,-,p
voilà,voilà,81
",",",",p
dis,dire,17
je,je,51
",",",",p
qui,qui,52
est,être,17
admirable,admirable,30
/.,/.,P
-,-,p
admirable,admirable,30
!,!,p
admirable,admirable,30
!,!,p
dit,dire,19
le,le,71
capitaine,capitaine,21
Renaud,Renaud,20
en,en,81
marchant,marcher,13
plus,plus,60
vite,vite,60
",",",",p
c',ce,52
est,être,17
le,le,71
mot,mot,21
actuel,actuel,30
;,;,p
quel,quel,75
mot,mot,21
puéril,puéril,30
/!,/!,P
je,je,51
déteste,détester,17
l',le,71
admiration,admiration,22
;,;,p
c',ce,52
est,être,17
le,le,71
principe,principe,21
de,de,81
trop,trop,60
de,de,81
mauvaises,mauvais,30
actions,action,22
/.,/.,P
on,on,51
la,le,52
donne,donner,17
à,à,81
trop,trop,60
bon,bon,30
marché,marché,21
à,à,81
présent,présent,21
",",",",p
et,et,82
à,à,81
tout,tout,75
le,le,71
monde,monde,21
;,;,p
nous,nous,51
devons,devoir,17
bien,bien,60
nous,nous,51
garder,garder,14
d',de,81
admirer,admirer,14
légèrement,légèrement,60
/.,/.,P
l',le,71
admiration,admiration,22
est,être,17
corrompue,corrompre,12
et,et,82
corruptrice,corrupteur,30
/.,/.,P
on,on,51
doit,devoir,17
bien,bien,60
faire,faire,14
pour,pour,81
soi-même,soi-même,51
",",",",p
et,et,82
non,non,60
pour,pour,81
le,le,71
bruit,bruit,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
j',je,51
ai,avoir,17
là-dessus,là-dessus,60
mes,mon,73
idées,idée,22
",",",",p
finit,finir,19
il,il,51
brusquement,brusquement,60
;,;,p
et,et,82
il,il,51
allait,aller,18
me,je,51
quitter,quitter,14
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
quelque,quelque,75
chose,chose,22
d',de,81
aussi,aussi,60
beau,beau,30
qu',que,83
un,un,71
grand,grand,30
homme,homme,21
",",",",p
c',ce,52
est,être,17
un,un,71
homme,homme,21
d',de,81
honneur,honneur,21
",",",",p
“,“,p
lui,lui,51
dis,dire,17
je,je,51
/.,/.,P
il,il,51
me,je,51
prit,prendre,19
la,le,71
main,main,22
avec,avec,81
affection,affection,22
/.,/.,P
-,-,p
“,“,p
c',ce,52
est,être,17
une,un,71
opinion,opinion,22
qui,qui,52
nous,nous,51
est,être,17
commune,commun,30
",",",",p
me,je,51
dit,dire,19
il,il,51
vivement,vivement,60
;,;,p
je,je,51
l',le,52
ai,avoir,17
mise,mettre,12
en,en,81
action,action,22
toute,tout,75
ma,mon,73
vie,vie,22
",",",",p
mais,mais,82
il,il,51
m',je,51
en,en,52
a,avoir,17
coûté,coûter,12
cher,cher,30
/.,/.,P
cela,cela,52
n',ne,60
est,être,17
pas,pas,60
si,si,60
facile,facile,30
que,que,83
l',l',94
on,on,51
croit,croire,17
/.,/.,P
“,“,p
ici,ici,60
le,le,71
sous-lieutenant,sous-lieutenant,21
de,de,81
sa,son,73
compagnie,compagnie,22
vint,venir,19
lui,lui,51
demander,demander,14
un,un,71
cigare,cigare,21
/.,/.,P
il,il,51
en,en,52
tira,tirer,19
plusieurs,plusieurs,75
de,de,81
sa,son,73
poche,poche,22
",",",",p
et,et,82
les,le,52
lui,lui,51
donna,donner,19
sans,sans,81
parler,parler,14
:,:,p
les,le,71
officiers,officier,21
se,se,51
mirent,mettre,19
à,à,81
fumer,fumer,14
en,en,81
marchant,marcher,13
de,de,81
long,long,21
en,en,81
large,large,21
",",",",p
dans,dans,81
un,un,71
silence,silence,21
et,et,82
un,un,71
calme,calme,21
que,que,52
le,le,71
souvenir,souvenir,21
des,de,81
des,le,71
circonstances,circonstance,22
présentes,présent,30
n',ne,60
interrompait,interrompre,18
pas,pas,60
;,;,p
aucun,aucun,52
ne,ne,60
daignant,daigner,13
parler,parler,14
des,de,81
des,le,71
dangers,danger,21
du,de,81
du,le,71
jour,jour,21
",",",",p
ni,ni,82
de,de,81
son,son,73
devoir,devoir,21
",",",",p
et,et,82
connaissant,connaître,13
à,à,81
fond,fond,21
l',le,71
un,un,52
et,et,82
l',le,71
autre,autre,52
/.,/.,P
le,le,71
capitaine,capitaine,21
Renaud,Renaud,20
revint,revenir,19
à,à,81
moi,moi,51
/.,/.,P
-,-,p
“,“,p
il,il,51
fait,faire,17
beau,beau,60
",",",",p
me,je,51
dit,dire,19
il,il,51
en,en,81
me,je,51
montrant,montrer,13
le,le,71
ciel,ciel,21
avec,avec,81
sa,son,73
canne,canne,22
de,de,81
jonc,jonc,21
:,:,p
je,je,51
ne,ne,60
sais,savoir,17
quand,quand,83
je,je,51
cesserai,cesser,15
de,de,81
voir,voir,14
tous,tout,75
les,le,71
soirs,soir,21
les,le,71
mêmes,même,75
étoiles,étoile,22
;,;,p
il,il,51
m',je,51
est,être,17
arrivé,arriver,12
une,un,71
fois,fois,22
de,de,81
m',je,51
imaginer,imaginer,14
que,que,83
je,je,51
verrais,voir,16
celles,celui,52
de,de,81
la,le,71
mer,mer,22
du,de,81
du,le,71
sud,sud,21
",",",",p
mais,mais,82
j',je,51
étais,être,18
destiné,destiner,12
à,à,81
ne,ne,60
pas,pas,60
changer,changer,14
d',de,81
hémisphère,hémisphère,21
/.,/.,P
-,-,p
n',ne,60
importe,importer,17
!,!,p
le,le,71
temps,temps,21
est,être,17
superbe,superbe,30
:,:,p
les,le,71
Parisiens,Parisien,20
dorment,dormir,17
ou,ou,82
font,faire,17
semblant,semblant,21
/.,/.,P
aucun,aucun,52
de,de,81
nous,nous,51
n',ne,60
a,avoir,17
mangé,manger,12
ni,ni,82
bu,boire,12
depuis,depuis,81
vingt,vingt,72
quatre,quatre,72
heures,heure,22
;,;,p
cela,cela,52
rend,rendre,17
les,le,71
idées,idée,22
très,très,60
nettes,net,30
/.,/.,P
je,je,51
me,je,51
souviens,souvenir,17
qu',que,83
un,un,71
jour,jour,21
",",",",p
en,en,81
allant,aller,13
en,en,81
Espagne,Espagne,20
",",",",p
vous,vous,51
m',je,51
avez,avoir,17
demandé,demander,12
la,le,71
cause,cause,22
de,de,81
mon,mon,73
peu,peu,60
d',de,81
avancement,avancement,21
;,;,p
je,je,51
n',ne,60
eus,avoir,19
pas,pas,60
le,le,71
temps,temps,21
de,de,81
vous,vous,51
la,le,52
conter,conter,14
;,;,p
mais,mais,82
ce,ce,74
soir,soir,21
je,je,51
me,je,51
sens,sentir,17
la,le,71
tentation,tentation,22
de,de,81
revenir,revenir,14
sur,sur,81
ma,mon,73
vie,vie,22
que,que,52
je,je,51
repassais,repasser,18
dans,dans,81
ma,mon,73
mémoire,mémoire,22
/.,/.,P
vous,vous,51
aimez,aimer,17
les,le,71
récits,récit,21
",",",",p
je,je,51
me,je,51
le,le,52
rappelle,rappeler,17
",",",",p
et,et,82
",",",",p
dans,dans,81
votre,votre,73
vie,vie,22
retirée,retiré,31
",",",",p
vous,vous,51
aimerez,aimer,15
à,à,81
vous,vous,51
souvenir,souvenir,14
de,de,81
nous,nous,51
/.,/.,P
-,-,p
si,si,83
vous,vous,51
voulez,vouloir,17
vous,vous,51
asseoir,asseoir,14
sur,sur,81
ce,ce,74
parapet,parapet,21
du,de,81
du,le,71
boulevard,boulevard,21
avec,avec,81
moi,moi,51
",",",",p
nous,nous,51
y,y,52
causerons,causer,15
fort,fort,60
tranquillement,tranquillement,60
",",",",p
car,car,82
on,on,51
me,je,51
paraît,paraître,17
avoir,avoir,14
cessé,cesser,12
pour,pour,81
cette,ce,74
fois,fois,22
de,de,81
nous,nous,51
ajuster,ajuster,14
par,par,81
les,le,71
fenêtres,fenêtre,22
et,et,82
les,le,71
soupiraux,soupirail,21
de,de,81
cave,cave,22
/.,/.,P
-,-,p
je,je,51
ne,ne,60
vous,vous,51
dirai,dire,15
que,que,83
quelques,quelque,75
époques,époque,22
de,de,81
mon,mon,73
histoire,histoire,22
",",",",p
et,et,82
je,je,51
ne,ne,60
ferai,faire,15
que,que,83
suivre,suivre,14
mon,mon,73
caprice,caprice,21
/.,/.,P
j',je,51
ai,avoir,17
beaucoup,beaucoup,60
vu,voir,12
et,et,82
beaucoup,beaucoup,60
lu,lire,12
",",",",p
mais,mais,82
je,je,51
crois,croire,17
bien,bien,60
que,que,83
je,je,51
ne,ne,60
saurais,savoir,16
pas,pas,60
écrire,écrire,14
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
mon,mon,73
état,état,21
",",",",p
dieu,dieu,21
merci,merci,21
!,!,p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
essayé,essayer,12
/.,/.,P
-,-,p
mais,mais,82
",",",",p
par,par,81
exemple,exemple,21
",",",",p
je,je,51
sais,savoir,17
vivre,vivre,14
",",",",p
et,et,82
j',je,51
ai,avoir,17
vécu,vivre,12
comme,comme,83
j',je,51
en,en,52
avais,avoir,18
pris,prendre,12
la,le,71
résolution,résolution,22
(,(,p
dès,dès,81
que,que,83
j',je,51
ai,avoir,17
eu,avoir,12
le,le,71
courage,courage,21
de,de,81
la,le,52
prendre,prendre,14
),),p
",",",",p
et,et,82
",",",",p
en,en,81
vérité,vérité,22
",",",",p
c',ce,52
est,être,17
quelque,quelque,75
chose,chose,22
/.,/.,P
-,-,p
asseyons,asseoir,17
nous,nous,51
/.,/.,P
“,“,p
je,je,51
le,le,52
suivis,suivre,19
lentement,lentement,60
",",",",p
et,et,82
nous,nous,51
traversâmes,traverser,19
le,le,71
bataillon,bataillon,21
pour,pour,81
passer,passer,14
à,à,81
gauche,gauche,22
de,de,81
ses,son,73
beaux,beau,30
grenadiers,grenadier,21
/.,/.,P
ils,ils,51
étaient,être,18
debout,debout,60
",",",",p
gravement,gravement,60
",",",",p
le,le,71
menton,menton,21
appuyé,appuyé,31
sur,sur,81
le,le,71
canon,canon,21
de,de,81
leurs,leur,73
fusils,fusil,21
/.,/.,P
quelques,quelque,75
jeunes,jeune,30
gens,gens,21
s',se,51
étaient,être,18
assis,asseoir,12
sur,sur,81
leurs,leur,73
sacs,sac,21
",",",",p
plus,plus,60
fatigués,fatigué,31
