11655
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-troisième extrait>,<>,<>
la,le,71
hauteur,hauteur,22
",",",",p
donnaient,donner,18
de,de,81
loin,loin,60
un,un,71
aspect,aspect,21
fortifié,fortifié,31
/.,/.,P
de,de,81
près,près,81
",",",",p
c',ce,52
était,être,18
une,un,71
jolie,joli,30
et,et,82
vieille,vieux,30
cité,cité,22
normande,normand,30
",",",",p
aux,à,81
aux,le,71
petites,petit,30
demeures,demeure,22
régulières,régulier,30
et,et,82
presque,presque,60
pareilles,pareil,30
",",",",p
tassées,tassé,31
les,le,71
unes,un,52
contre,contre,81
les,le,71
autres,autre,52
",",",",p
avec,avec,81
un,un,71
air,air,21
de,de,81
fierté,fierté,22
ancienne,ancien,30
et,et,82
d',de,81
aisance,aisance,22
modeste,modeste,30
",",",",p
un,un,71
air,air,21
moyen,moyen,30
âge,âge,21
et,et,82
paysan,paysan,21
/.,/.,P
dès,dès,81
que,que,83
Mariolle,Mariolle,20
eut,avoir,19
jeté,jeter,12
sa,son,73
valise,valise,22
dans,dans,81
une,un,71
chambre,chambre,22
",",",",p
il,il,51
se,se,51
fit,faire,19
indiquer,indiquer,14
la,le,71
rue,rue,22
par,par,81
où,où,60
l',l',94
on,on,51
parvient,parvenir,17
au,à,81
au,le,71
jardin,jardin,21
botanique,botanique,30
",",",",p
et,et,82
il,il,51
s',se,51
en,en,52
alla,aller,19
à,à,81
grands,grand,30
pas,pas,21
",",",",p
bien,bien,60
qu',que,83
il,il,51
fût,être,19
en,en,81
avance,avance,22
",",",",p
mais,mais,82
espérant,espérer,13
qu',que,83
elle,il,51
aurait,avoir,16
peut-être,peut-être,60
aussi,aussi,60
devancé,devancer,12
l',le,71
heure,heure,22
/.,/.,P
en,en,81
arrivant,arriver,13
à,à,81
la,le,71
grille,grille,22
",",",",p
il,il,51
reconnut,reconnaître,19
d',de,81
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
qu',que,83
il,il,51
était,être,18
vide,vide,30
ou,ou,82
presque,presque,60
vide,vide,30
/.,/.,P
trois,trois,72
vieux,vieux,30
hommes,homme,21
seulement,seulement,60
s',se,51
y,y,52
promenaient,promener,18
",",",",p
bourgeois,bourgeois,21
indigènes,indigène,30
qui,qui,52
devaient,devoir,18
récréer,récréer,14
là,là,60
quotidiennement,quotidiennement,60
leurs,leur,73
derniers,dernier,30
loisirs,loisir,21
;,;,p
et,et,82
une,un,71
famille,famille,22
de,de,81
jeunes,jeune,21
Anglais,Anglais,20
",",",",p
filles,fille,22
et,et,82
garçons,garçon,21
",",",",p
aux,à,81
aux,le,71
jambes,jambe,22
sèches,sec,30
",",",",p
jouait,jouer,18
autour,autour,60
d',de,81
une,un,71
institutrice,institutrice,22
blonde,blond,30
dont,dont,52
le,le,71
regard,regard,21
distrait,distrait,31
semblait,sembler,18
rêver,rêver,14
/.,/.,P
Mariolle,Mariolle,20
",",",",p
le,le,71
coeur,coeur,21
battant,battre,13
",",",",p
marchait,marcher,18
devant,devant,81
lui,lui,51
",",",",p
scrutant,scruter,13
les,le,71
chemins,chemin,21
/.,/.,P
il,il,51
atteignit,atteindre,19
une,un,71
grande,grand,30
allée,allée,22
d',de,81
ormes,orme,21
d',de,81
un,un,71
vert,vert,21
puissant,puissant,30
qui,qui,52
coupait,couper,18
en,en,81
deux,deux,72
le,le,71
jardin,jardin,21
par,par,81
le,le,71
travers,travers,21
",",",",p
allongeant,allonger,13
au,à,81
au,le,71
milieu,milieu,21
une,un,71
voûte,voûte,22
épaisse,épais,30
de,de,81
feuillage,feuillage,21
;,;,p
puis,puis,60
il,il,51
passa,passer,19
outre,outre,81
",",",",p
et,et,82
soudain,soudain,60
",",",",p
en,en,81
approchant,approcher,13
d',de,81
une,un,71
terrasse,terrasse,22
dominant,dominer,13
l',le,71
horizon,horizon,21
",",",",p
il,il,51
fut,être,19
distrait,distraire,12
brusquement,brusquement,60
de,de,81
celle,celui,52
qui,qui,52
le,le,52
faisait,faire,18
venir,venir,14
en,en,81
ce,ce,74
lieu,lieu,21
/.,/.,P
du,de,81
du,le,71
pied,pied,21
de,de,81
la,le,71
côte,côte,22
sur,sur,81
laquelle,lequel,52
il,il,51
était,être,18
debout,debout,60
partait,partir,18
une,un,71
inimaginable,inimaginable,30
plaine,plaine,22
de,de,81
sable,sable,21
qui,qui,52
se,se,51
mêlait,mêler,18
au,à,81
au,le,71
loin,loin,60
avec,avec,81
la,le,71
mer,mer,22
et,et,82
le,le,71
firmament,firmament,21
/.,/.,P
une,un,71
rivière,rivière,22
y,y,52
promenait,promener,18
son,son,73
cours,cours,21
",",",",p
et,et,82
",",",",p
sous,sous,81
l',le,71
azur,azur,21
flambant,flambant,30
de,de,81
soleil,soleil,21
",",",",p
des,de,81
des,le,71
mares,mare,22
d',de,81
eau,eau,22
la,le,52
tachetaient,tacheter,18
de,de,81
plaques,plaque,22
lumineuses,lumineux,30
qui,qui,52
semblaient,sembler,18
des,de,81
des,le,71
trous,trou,21
ouverts,ouvert,31
sur,sur,81
un,un,71
autre,autre,75
ciel,ciel,21
intérieur,intérieur,30
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ce,ce,74
désert,désert,21
jaune,jaune,30
",",",",p
encore,encore,60
trempé,trempé,31
par,par,81
la,le,71
marée,marée,22
en,en,81
fuite,fuite,22
",",",",p
surgissait,surgir,18
",",",",p
à,à,81
douze,douze,72
ou,ou,82
quinze,quinze,72
kilomètres,kilomètre,21
du,de,81
du,le,71
rivage,rivage,21
",",",",p
un,un,71
monumental,monumental,30
profil,profil,21
de,de,81
rocher,rocher,21
pointu,pointu,30
",",",",p
fantastique,fantastique,30
pyramide,pyramide,22
coiffée,coiffé,31
d',de,81
une,un,71
cathédrale,cathédrale,22
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
pour,pour,81
voisin,voisin,21
",",",",p
dans,dans,81
ces,ce,74
dunes,dune,22
immenses,immense,30
",",",",p
qu',que,83
un,un,71
écueil,écueil,21
à,à,81
sec,sec,30
",",",",p
au,à,81
au,le,71
dos,dos,21
ronds,rond,30
",",",",p
accroupi,accroupi,31
sur,sur,81
les,le,71
vases,vase,22
mouvantes,mouvant,30
:,:,p
Tombelaine,Tombelaine,20
/.,/.,P
plus,plus,60
loin,loin,60
",",",",p
dans,dans,81
la,le,71
ligne,ligne,22
bleuâtre,bleuâtre,30
des,de,81
des,le,71
flots,flot,21
aperçus,aperçu,31
",",",",p
d',de,81
autres,autre,75
roches,roche,22
noyées,noyé,31
montraient,montrer,18
leurs,leur,73
crêtes,crête,22
brunes,brun,30
;,;,p
et,et,82
l',le,71
oeil,oeil,21
",",",",p
continuant,continuer,13
le,le,71
côté,côté,21
de,de,81
cette,ce,74
solitude,solitude,22
sablonneuse,sablonneux,30
la,le,71
vaste,vaste,30
étendue,étendue,22
verte,vert,30
du,de,81
du,le,71
pays,pays,21
normand,normand,30
",",",",p
si,si,60
couvert,couvert,31
d',de,81
arbres,arbre,21
qu',que,52
il,il,51
avait,avoir,18
l',le,71
air,air,21
d',de,81
un,un,71
bois,bois,21
illimité,illimité,30
/.,/.,P
c',ce,52
était,être,18
toute,tout,75
la,le,71
nature,nature,22
s',se,51
offrant,offrir,13
d',de,81
un,un,71
seul,seul,30
coup,coup,21
",",",",p
en,en,81
un,un,71
seul,seul,30
lieu,lieu,21
",",",",p
dans,dans,81
sa,son,73
grandeur,grandeur,22
",",",",p
dans,dans,81
sa,son,73
puissance,puissance,22
",",",",p
dans,dans,81
sa,son,73
fraîcheur,fraîcheur,22
et,et,82
dans,dans,81
sa,son,73
grâce,grâce,22
;,;,p
et,et,82
le,le,71
regard,regard,21
allait,aller,18
de,de,81
cette,ce,74
vision,vision,22
de,de,81
forêts,forêt,22
à,à,81
cette,ce,74
apparition,apparition,22
du,de,81
du,le,71
mont,mont,21
de,de,81
granit,granit,21
",",",",p
solitaire,solitaire,21
habitant,habiter,13
des,de,81
des,le,71
sables,sable,21
",",",",p
qui,qui,52
dressait,dresser,18
sur,sur,81
la,le,71
grève,grève,22
démesurée,démesuré,30
son,son,73
étrange,étrange,30
figure,figure,22
gothique,gothique,30
/.,/.,P
le,le,71
plaisir,plaisir,21
bizarre,bizarre,30
",",",",p
dont,dont,52
Mariolle,Mariolle,20
jadis,jadis,60
avait,avoir,18
souvent,souvent,60
tressailli,tressaillir,12
devant,devant,81
les,le,71
surprises,surprise,22
que,que,52
les,le,71
terres,terre,22
inconnues,inconnu,30
gardent,garder,17
aux,à,81
aux,le,71
yeux,oeil,21
des,de,81
des,le,71
voyageurs,voyageur,21
",",",",p
l',le,52
envahit,envahir,19
si,si,60
brusquement,brusquement,60
qu',que,83
il,il,51
demeura,demeurer,19
immobile,immobile,30
",",",",p
l',le,71
esprit,esprit,21
ému,ému,31
et,et,82
attendri,attendri,31
",",",",p
oubliant,oublier,13
son,son,73
coeur,coeur,21
garrotté,garrotté,31
/.,/.,P
mais,mais,82
",",",",p
un,un,71
son,son,21
de,de,81
cloche,cloche,22
ayant,avoir,13
vibré,vibrer,12
",",",",p
il,il,51
se,se,51
retourna,retourner,19
",",",",p
ressaisi,ressaisir,12
tout,tout,60
à,à,81
coup,coup,21
par,par,81
l',le,71
espérance,espérance,22
ardente,ardent,30
de,de,81
leur,leur,73
rencontre,rencontre,22
/.,/.,P
le,le,71
jardin,jardin,21
était,être,18
toujours,toujours,60
presque,presque,60
vide,vide,30
/.,/.,P
les,le,71
enfants,enfant,21
anglais,anglais,30
avaient,avoir,18
disparu,disparaître,12
/.,/.,P
seuls,seul,30
les,le,71
trois,trois,72
vieillards,vieillard,21
faisaient,faire,18
encore,encore,60
leur,leur,73
promenade,promenade,22
monotone,monotone,30
/.,/.,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
marcher,marcher,14
comme,comme,83
eux,ils,51
/.,/.,P
elle,il,51
allait,aller,18
venir,venir,14
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
dans,dans,81
un,un,71
instant,instant,21
/.,/.,P
il,il,51
la,le,52
verrait,voir,16
au,à,81
au,le,71
bout,bout,21
des,de,81
des,le,71
chemins,chemin,21
qui,qui,52
aboutissaient,aboutir,18
à,à,81
cette,ce,74
merveilleuse,merveilleux,30
terrasse,terrasse,22
/.,/.,P
il,il,51
reconnaîtrait,reconnaître,16
sa,son,73
taille,taille,22
",",",",p
sa,son,73
démarche,démarche,22
",",",",p
puis,puis,60
sa,son,73
figure,figure,22
et,et,82
son,son,73
sourire,sourire,21
",",",",p
et,et,82
il,il,51
entendrait,entendre,16
sa,son,73
voix,voix,22
/.,/.,P
quel,quel,75
bonheur,bonheur,21
!,!,p
quel,quel,75
bonheur,bonheur,21
/!,/!,P
il,il,51
la,le,52
sentait,sentir,18
proche,proche,30
",",",",p
quelque,quelque,75
part,part,22
",",",",p
introuvable,introuvable,30
",",",",p
invisible,invisible,30
encore,encore,60
",",",",p
mais,mais,82
pensant,penser,13
à,à,81
lui,lui,51
",",",",p
sachant,savoir,13
aussi,aussi,60
qu',que,83
elle,il,51
allait,aller,18
le,le,52
revoir,revoir,14
/.,/.,P
il,il,51
faillit,faillir,19
pousser,pousser,14
un,un,71
cri,cri,21
léger,léger,30
/.,/.,P
une,un,71
ombrelle,ombrelle,22
bleue,bleu,30
",",",",p
rien,rien,52
qu',que,83
un,un,71
dôme,dôme,21
d',de,81
ombrelle,ombrelle,22
",",",",p
glissait,glisser,18
là-bas,là-bas,60
au-dessus,au-dessus,60
d',de,81
un,un,71
massif,massif,21
/.,/.,P
c',ce,52
était,être,18
elle,il,51
sans,sans,81
aucun,aucun,75
doute,doute,21
/.,/.,P
un,un,71
petit,petit,30
garçon,garçon,21
apparut,apparaître,19
",",",",p
poussant,pousser,13
un,un,71
cerceau,cerceau,21
devant,devant,81
lui,lui,51
;,;,p
puis,puis,60
deux,deux,72
dames,dame,22
",",",",p
-,-,p
il,il,51
la,le,52
reconnut,reconnaître,19
",",",",p
-,-,p
puis,puis,60
deux,deux,72
hommes,homme,21
:,:,p
son,son,73
père,père,21
et,et,82
un,un,71
autre,autre,75
monsieur,monsieur,21
/.,/.,P
elle,il,51
était,être,18
tout,tout,52
en,en,81
bleu,bleu,21
",",",",p
comme,comme,83
un,un,71
ciel,ciel,21
de,de,81
printemps,printemps,21
/.,/.,P
ah,ah,93
!,!,p
oui,oui,60
!,!,p
il,il,51
la,le,52
reconnaissait,reconnaître,18
sans,sans,81
distinguer,distinguer,14
encore,encore,60
ses,son,73
traits,trait,21
;,;,p
mais,mais,82
il,il,51
n',ne,60
osait,oser,18
point,point,60
aller,aller,14
vers,vers,81
elle,il,51
",",",",p
sentant,sentir,13
qu',que,83
il,il,51
allait,aller,18
balbutier,balbutier,14
",",",",p
rougir,rougir,14
",",",",p
qu',que,83
il,il,51
ne,ne,60
saurait,savoir,16
expliquer,expliquer,14
ce,ce,74
hasard,hasard,21
sous,sous,81
l',le,71
oeil,oeil,21
soupçonneux,soupçonneux,30
de,de,81
monsieur,monsieur,21
de,de,81
Pradon,Pradon,20
/.,/.,P
il,il,51
marchait,marcher,18
cependant,cependant,82
à,à,81
leur,leur,73
rencontre,rencontre,22
",",",",p
sa,son,73
jumelle,jumelle,22
sans,sans,81
cesse,cesse,22
levée,levé,31
",",",",p
tout,tout,60
occupé,occupé,31
",",",",p
semblait,sembler,18
il,il,51
",",",",p
à,à,81
contempler,contempler,14
l',le,71
horizon,horizon,21
/.,/.,P
ce,ce,52
fut,être,19
elle,il,51
qui,qui,52
l',le,52
appela,appeler,19
",",",",p
sans,sans,81
même,même,60
prendre,prendre,14
la,le,71
peine,peine,22
de,de,81
jouer,jouer,14
la,le,71
surprise,surprise,22
/.,/.,P
-,-,p
bonjour,bonjour,21
",",",",p
monsieur,monsieur,21
Mariolle,Mariolle,20
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
c',ce,52
est,être,17
superbe,superbe,30
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
interdit,interdit,31
par,par,81
cet,ce,74
accueil,accueil,21
",",",",p
il,il,51
ne,ne,60
savait,savoir,18
sur,sur,81
quel,quel,75
ton,ton,21
répondre,répondre,14
et,et,82
balbutiait,balbutier,18
:,:,p
-,-,p
ah,ah,93
!,!,p
vous,vous,51
",",",",p
madame,madame,22
",",",",p
quelle,quel,75
chance,chance,22
de,de,81
vous,vous,51
rencontrer,rencontrer,14
/!,/!,P
j',je,51
ai,avoir,17
voulu,vouloir,12
connaître,connaître,14
ce,ce,74
délicieux,délicieux,30
pays,pays,21
/.,/.,P
elle,il,51
reprit,reprendre,19
en,en,81
souriant,sourire,13
:,:,p
-,-,p
et,et,82
vous,vous,51
avez,avoir,17
choisi,choisir,12
le,le,71
moment,moment,21
où,où,60
j',je,51
y,y,52
suis,être,17
/.,/.,P
c',ce,52
est,être,17
tout,tout,60
à,à,81
fait,fait,21
aimable,aimable,30
de,de,81
votre,votre,73
part,part,22
/.,/.,P
puis,puis,60
elle,il,51
présenta,présenter,19
:,:,p
-,-,p
un,un,52
de,de,81
mes,mon,73
meilleurs,meilleur,30
amis,ami,21
",",",",p
monsieur,monsieur,21
Mariolle,Mariolle,20
;,;,p
ma,mon,73
tante,tante,22
",",",",p
madame,madame,22
Valsaci,Valsaci,20
",",",",p
mon,mon,73
oncle,oncle,21
qui,qui,52
fait,faire,17
des,de,81
des,le,71
ponts,pont,21
/.,/.,P
après,après,81
les,le,71
saluts,salut,21
échangés,échangé,31
",",",",p
monsieur,monsieur,21
de,de,81
Pradon,Pradon,20
et,et,82
le,le,71
jeune,jeune,30
homme,homme,21
se,se,51
donnèrent,donner,19
une,un,71
froide,froid,30
poignée,poignée,22
de,de,81
main,main,22
",",",",p
et,et,82
on,on,51
continua,continuer,19
la,le,71
promenade,promenade,22
/.,/.,P
elle,il,51
l',le,52
avait,avoir,18
placé,placer,12
entre,entre,81
elle,il,51
et,et,82
sa,son,73
tante,tante,22
",",",",p
en,en,81
lui,lui,51
jetant,jeter,13
un,un,71
très,très,60
rapide,rapide,30
regard,regard,21
",",",",p
un,un,52
de,de,81
ces,ce,74
regards,regard,21
qui,qui,52
ont,avoir,17
l',le,71
air,air,21
d',de,81
une,un,71
défaillance,défaillance,22
/.,/.,P
elle,il,51
reprit,reprendre,19
:,:,p
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
pensez,penser,17
de,de,81
ce,ce,74
pays,pays,21
/?,/?,P
moi,moi,51
",",",",p
dit,dire,17
il,il,51
",",",",p
je,je,51
crois,croire,17
que,que,83
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
rien,rien,52
vu,voir,12
de,de,81
plus,plus,60
beau,beau,30
/.,/.,P
alors,alors,60
elle,il,51
:,:,p
-,-,p
ah,ah,93
!,!,p
si,si,83
vous,vous,51
y,y,52
aviez,avoir,18
passé,passer,12
quelques,quelque,75
jours,jour,21
comme,comme,83
je,je,51
viens,venir,17
de,de,81
le,le,52
faire,faire,14
",",",",p
vous,vous,51
sentiriez,sentir,16
comme,comme,83
il,il,51
vous,vous,51
pénètre,pénétrer,17
/.,/.,P
il,il,51
est,être,17
d',de,81
une,un,71
impression,impression,22
inexprimable,inexprimable,30
/.,/.,P
ces,ce,74
allées,allée,22
et,et,82
venues,venue,22
de,de,81
la,le,71
mer,mer,22
sur,sur,81
les,le,71
sables,sable,21
",",",",p
ce,ce,74
grand,grand,30
mouvement,mouvement,21
qui,qui,52
ne,ne,60
cesse,cesser,17
jamais,jamais,60
",",",",p
qui,qui,52
baigne,baigner,17
tout,tout,75
ça,ça,52
deux,deux,72
fois,fois,22
par,par,81
jour,jour,21
",",",",p
et,et,82
si,si,60
vite,vite,60
",",",",p
qu',que,52
un,un,71
cheval,cheval,21
au,à,81
au,le,71
galop,galop,21
ne,ne,60
pourrait,pouvoir,16
pas,pas,60
fuir,fuir,14
devant,devant,81
lui,lui,51
",",",",p
ce,ce,74
spectacle,spectacle,21
extraordinaire,extraordinaire,30
que,que,83
le,le,71
ciel,ciel,21
nous,nous,51
donne,donner,17
pour,pour,81
rien,rien,52
",",",",p
je,je,51
vous,vous,51
jure,jurer,17
que,que,83
ça,ça,52
me,je,51
met,mettre,17
hors,hors,81
de,de,81
moi,moi,51
/.,/.,P
je,je,51
ne,ne,60
me,je,51
reconnais,reconnaître,17
plus,plus,60
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
ma,mon,73
tante,tante,22
/?,/?,P
madame,madame,22
Valsaci,Valsaci,20
",",",",p
une,un,71
femme,femme,22
déjà,déjà,60
vieille,vieux,30
",",",",p
à,à,81
cheveux,cheveu,21
gris,gris,30
",",",",p
distinguée,distingué,31
dame,damer,17
de,de,81
province,province,22
",",",",p
épouse,épouse,22
estimée,estimé,31
d',de,81
ingénieur,ingénieur,21
en,en,81
chef,chef,21
",",",",p
hautain,hautain,30
fonctionnaire,fonctionnaire,21
impurifiable,impurifiable,30
de,de,81
la,le,71
morgue,morgue,22
de,de,81
l',le,71
école,école,22
",",",",p
avoua,avouer,19
que,que,83
jamais,jamais,60
elle,il,51
n',ne,60
avait,avoir,18
vu,voir,12
sa,son,73
nièce,nièce,22
dans,dans,81
cet,ce,74
état,état,21
d',de,81
enthousiasme,enthousiasme,21
/.,/.,P
puis,puis,60
elle,il,51
ajouta,ajouter,19
",",",",p
après,après,81
réflexion,réflexion,22
:,:,p
-,-,p
ça,ça,52
n',ne,60
est,être,17
pas,pas,60
étonnant,étonnant,30
d',de,81
ailleurs,ailleurs,60
quand,quand,83
on,on,51
n',ne,60
a,avoir,17
guère,guère,60
regardé,regarder,12
et,et,82
admiré,admirer,12
",",",",p
comme,comme,83
elle,il,51
",",",",p
que,que,83
des,de,81
des,le,71
décors,décor,21
de,de,81
théâtre,théâtre,21
/.,/.,P
-,-,p
mais,mais,82
je,je,51
vais,aller,17
à,à,81
Dieppe,Dieppe,20
et,et,82
à,à,81
Trouville,Trouville,20
presque,presque,60
tous,tout,75
les,le,71
ans,an,21
/.,/.,P
la,le,71
vieille,vieux,30
dame,dame,22
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
/.,/.,P
-,-,p
à,à,81
Dieppe,Dieppe,20
et,et,82
à,à,81
Trouville,Trouville,20
on,on,51
n',ne,60
y,y,52
va,aller,17
jamais,jamais,60
que,que,83
pour,pour,81
retrouver,retrouver,14
des,de,81
des,le,71
amis,ami,21
/.,/.,P
la,le,71
mer,mer,22
n',ne,60
est,être,17
là,là,60
que,que,83
pour,pour,81
baigner,baigner,14
des,de,81
des,le,71
rendez-vous,rendez-vous,21
/.,/.,P
ce,ce,52
fut,être,19
dit,dire,12
très,très,60
simplement,simplement,60
",",",",p
peut-être,peut-être,60
sans,sans,81
malice,malice,22
/.,/.,P
on,on,51
retournait,retourner,18
vers,vers,81
la,le,71
terrasse,terrasse,22
",",",",p
qui,qui,52
attirait,attirer,18
irrésistiblement,irrésistiblement,60
les,le,71
pieds,pied,21
/.,/.,P
ils,ils,51
y,y,52
venaient,venir,18
malgré,malgré,81
eux,ils,51
",",",",p
de,de,81
tous,tout,75
les,le,71
points,point,21
du,de,81
du,le,71
jardin,jardin,21
",",",",p
comme,comme,83
des,de,81
des,le,71
boules,boule,22
roulent,rouler,17
sur,sur,81
une,un,71
pente,pente,22
/.,/.,P
le,le,71
soleil,soleil,21
baissant,baisser,13
semblait,sembler,18
étendre,étendre,14
un,un,71
drap,drap,21
d',de,81
or,or,21
fin,fin,30
",",",",p
transparent,transparent,30
et,et,82
léger,léger,30
",",",",p
derrière,derrière,81
la,le,71
haute,haut,30
silhouette,silhouette,22
de,de,81
l',le,71
abbaye,abbaye,22
",",",",p
qui,qui,52
s',se,51
assombrissait,assombrir,18
de,de,81
plus,plus,60
en,en,81
plus,plus,60
",",",",p
pareille,pareil,30
à,à,81
une,un,71
châsse,châsse,22
gigantesque,gigantesque,30
sur,sur,81
un,un,71
voile,voile,21
éclatant,éclatant,30
/.,/.,P
mais,mais,82
Mariolle,Mariolle,20
ne,ne,60
regardait,regarder,18
plus,plus,60
que,que,83
l',le,71
adorée,adoré,31
figure,figurer,17
blonde,blonde,22
qui,qui,52
passait,passer,18
à,à,81
son,son,73
côté,côté,21
",",",",p
enveloppée,enveloppé,31
dans,dans,81
un,un,71
nuage,nuage,21
bleu,bleu,30
/.,/.,P
jamais,jamais,60
il,il,51
ne,ne,60
l',le,52
avait,avoir,18
vue,voir,12
si,si,60
délicieuse,délicieux,30
/.,/.,P
elle,il,51
lui,lui,51
semblait,sembler,18
changée,changé,31
sans,sans,81
qu',que,83
il,il,51
sût,savoir,18
en,en,81
quoi,quoi,52
",",",",p
fraîche,fraîche,22
d',de,81
une,un,71
fraîcheur,fraîcheur,22
imprévue,imprévu,30
répandue,répandu,31
sur,sur,81
sa,son,73
chair,chair,22
",",",",p
dans,dans,81
ses,son,73
yeux,oeil,21
",",",",p
sur,sur,81
ses,son,73
cheveux,cheveu,21
et,et,82
entrée,entrée,22
aussi,aussi,60
dans,dans,81
son,son,73
âme,âme,22
",",",",p
d',de,81
une,un,71
fraîcheur,fraîcheur,22
venue,venu,31
de,de,81
ce,ce,74
pays,pays,21
",",",",p
de,de,81
ce,ce,74
ciel,ciel,21
",",",",p
de,de,81
cette,ce,74
clarté,clarté,22
",",",",p
de,de,81
cette,ce,74
verdure,verdure,22
/.,/.,P
jamais,jamais,60
il,il,51
ne,ne,60
l',le,52
avait,avoir,18
connue,connaître,12
et,et,82
aimée,aimer,12
ainsi,ainsi,60
/.,/.,P
il,il,51
marchait,marcher,18
à,à,81
côté,côté,21
d',de,81
elle,il,51
",",",",p
sans,sans,81
trouver,trouver,14
rien,rien,52
à,à,81
lui,lui,51
dire,dire,14
;,;,p
et,et,82
le,le,71
frôlement,frôlement,21
de,de,81
sa,son,73
robe,robe,22
",",",",p
le,le,71
coudoiement,coudoiement,21
",",",",p
parfois,parfois,60
",",",",p
de,de,81
son,son,73
bras,bras,21
",",",",p
la,le,71
rencontre,rencontre,22
",",",",p
si,si,60
parlante,parlant,30
",",",",p
de,de,81
leurs,leur,73
regards,regard,21
",",",",p
l',le,52
anéantissaient,anéantir,18
complètement,complètement,60
",",",",p
comme,comme,83
s',si,83
ils,ils,51
eussent,avoir,18
tué,tuer,12
en,en,81
lui,lui,51
sa,son,73
personnalité,personnalité,22
d',de,81
homme,homme,21
/.,/.,P
il,il,51
se,se,51
sentait,sentir,18
soudain,soudain,60
détruit,détruit,31
par,par,81
le,le,71
contact,contact,21
de,de,81
cette,ce,74
femme,femme,22
",",",",p
absorbé,absorbé,31
par,par,81
elle,il,51
jusqu',jusque,81
à,à,81
n',ne,60
être,être,14
plus,plus,60
rien,rien,52
",",",",p
rien,rien,52
qu',que,83
un,un,71
désir,désir,21
",",",",p
rien,rien,52
qu',que,83
un,un,71
appel,appel,21
",",",",p
rien,rien,52
qu',que,83
une,un,71
adoration,adoration,22
/.,/.,P
elle,il,51
avait,avoir,18
supprimé,supprimer,12
tout,tout,75
son,son,73
être,être,21
ancien,ancien,30
comme,comme,83
on,on,51
flambe,flamber,17
une,un,71
lettre,lettre,22
/.,/.,P
elle,il,51
vit,vivre,17
bien,bien,60
",",",",p
elle,il,51
comprit,comprendre,19
cette,ce,74
absolue,absolu,30
victoire,victoire,22
",",",",p
et,et,82
vibrante,vibrant,30
",",",",p
et,et,82
touchée,touché,31
",",",",p
plus,plus,60
vivante,vivant,30
aussi,aussi,60
dans,dans,81
cet,ce,74
air,air,21
de,de,81
campagne,campagne,22
et,et,82
de,de,81
mer,mer,22
plein,plein,81
de,de,81
rayons,rayon,21
et,et,82
de,de,81
sève,sève,22
",",",",p
elle,il,51
lui,lui,51
dit,dire,19
",",",",p
en,en,81
ne,ne,60
le,le,52
regardant,regarder,13
point,point,60
:,:,p
-,-,p
je,je,51
suis,être,17
si,si,60
contente,content,30
de,de,81
vous,vous,51
voir,voir,14
/!,/!,P
tout,tout,60
de,de,81
suite,suite,22
elle,il,51
ajouta,ajouter,19
:,:,p
-,-,p
combien,combien,60
restez,rester,17
vous,vous,51
de,de,81
temps,temps,21
ici,ici,60
/?,/?,P
il,il,51
répondit,répondre,19
:,:,p
-,-,p
deux,deux,72
jours,jour,21
",",",",p
si,si,83
aujourd'hui,aujourd'hui,60
peut,pouvoir,17
compter,compter,14
pour,pour,81
un,un,71
jour,jour,21
/.,/.,P
puis,puis,60
",",",",p
se,se,51
tournant,tourner,13
vers,vers,81
la,le,71
tante,tante,22
:,:,p
-,-,p
est,être,17
ce,ce,52
que,que,83
madame,madame,22
Valsaci,Valsaci,20
consentirait,consentir,16
à,à,81
me,je,51
faire,faire,14
l',le,71
honneur,honneur,21
de,de,81
venir,venir,14
passer,passer,14
la,le,71
journée,journée,22
de,de,81
demain,demain,60
au,à,81
au,le,71
Mont Saint-Michel,Mont Saint-Michel,20
avec,avec,81
son,son,73
mari,mari,21
/?,/?,P
madame,madame,22
de,de,81
Burne,Burne,20
répondit,répondre,19
pour,pour,81
sa,son,73
parente,parente,22
:,:,p
-,-,p
je,je,51
ne,ne,60
lui,lui,51
permettrai,permettre,15
pas,pas,60
de,de,81
refuser,refuser,14
",",",",p
puisque,puisque,83
nous,nous,51
avons,avoir,17
la,le,71
chance,chance,22
de,de,81
vous,vous,51
rencontrer,rencontrer,14
ici,ici,60
/.,/.,P
la,le,71
femme,femme,22
de,de,81
l',le,71
ingénieur,ingénieur,21
ajouta,ajouter,19
:,:,p
-,-,p
oui,oui,60
",",",",p
monsieur,monsieur,21
",",",",p
j',je,51
y,y,52
consens,consentir,17
bien,bien,60
volontiers,volontiers,60
",",",",p
à,à,81
la,le,71
