12060
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-onzième extrait>,<>,<>
s',se,51
intéressa,intéresser,19
à,à,81
une,un,71
boîte,boîte,22
de,de,81
coquillages,coquillage,21
",",",",p
sur,sur,81
le,le,71
buffet,buffet,21
/.,/.,P
il,il,51
la,le,52
connaissait,connaître,18
bien,bien,60
",",",",p
cette,ce,74
boîte,boîte,22
",",",",p
un,un,71
cadeau,cadeau,21
de,de,81
Séverine,Séverine,20
à,à,81
la,le,71
mère,mère,22
Victoire,Victoire,20
",",",",p
sa,son,73
nourrice,nourrice,22
/.,/.,P
et,et,82
ce,ce,74
petit,petit,30
objet,objet,21
avait,avoir,18
suffi,suffire,12
",",",",p
toute,tout,75
l',le,71
histoire,histoire,22
de,de,81
son,son,73
mariage,mariage,21
se,se,51
déroulait,dérouler,18
/.,/.,P
déjà,déjà,60
trois,trois,72
ans,an,21
bientôt,bientôt,60
/.,/.,P
né,né,31
dans,dans,81
le,le,71
Midi,Midi,20
",",",",p
à,à,81
Plassans,Plassans,20
",",",",p
d',de,81
un,un,71
père,père,21
charretier,charretier,21
",",",",p
sorti,sorti,31
du,de,81
du,le,71
service,service,21
avec,avec,81
les,le,71
galons,galon,21
de,de,81
sergent-major,sergent-major,21
",",",",p
longtemps,longtemps,60
facteur,facteur,21
mixte,mixte,30
à,à,81
la,le,71
gare,gare,22
de,de,81
Mantes,Mantes,20
",",",",p
il,il,51
était,être,18
passé,passer,12
facteur,facteur,21
chef,chef,21
à,à,81
celle,celui,52
de,de,81
Barentin,Barentin,20
:,:,p
et,et,82
c',ce,52
était,être,18
là,là,60
qu',que,83
il,il,51
l',le,52
avait,avoir,18
connue,connaître,12
",",",",p
sa,son,73
chère,cher,30
femme,femme,22
",",",",p
lorsqu',lorsque,83
elle,il,51
venait,venir,18
de,de,81
Doinville,Doinville,20
",",",",p
prendre,prendre,14
le,le,71
train,train,21
",",",",p
en,en,81
compagnie,compagnie,22
de,de,81
mademoiselle,mademoiselle,22
Berthe,Berthe,20
",",",",p
la,le,71
fille,fille,22
du,de,81
du,le,71
président,président,21
Grandmorin,Grandmorin,20
/.,/.,P
Séverine,Séverine,20
Aubry,Aubry,20
n',ne,60
était,être,18
que,que,83
la,le,71
cadette,cadette,22
d',de,81
un,un,71
jardinier,jardinier,21
",",",",p
mort,mort,31
au,à,81
au,le,71
service,service,21
des,de,81
des,le,71
Grandmorin,Grandmorin,20
;,;,p
mais,mais,82
le,le,71
président,président,21
",",",",p
son,son,73
parrain,parrain,21
et,et,82
son,son,73
tuteur,tuteur,21
",",",",p
la,le,52
gâtait,gâter,18
tellement,tellement,60
",",",",p
faisant,faire,13
d',de,81
elle,il,51
la,le,71
compagne,compagne,22
de,de,81
sa,son,73
fille,fille,22
",",",",p
les,le,52
envoyant,envoyer,13
toutes,tout,75
deux,deux,72
au,à,81
au,le,71
même,même,75
pensionnat,pensionnat,21
de,de,81
Rouen,Rouen,20
",",",",p
et,et,82
elle-même,lui-même,51
avait,avoir,18
une,un,71
telle,tel,75
distinction,distinction,22
native,natif,30
",",",",p
que,que,83
longtemps,longtemps,60
Roubaud,Roubaud,20
s',se,51
était,être,18
contenté,contenter,12
de,de,81
la,le,52
désirer,désirer,14
de,de,81
loin,loin,60
",",",",p
avec,avec,81
la,le,71
passion,passion,22
d',de,81
un,un,71
ouvrier,ouvrier,21
dégrossi,dégrossi,31
pour,pour,81
un,un,71
bijou,bijou,21
délicat,délicat,30
",",",",p
qu',que,52
il,il,51
jugeait,juger,18
précieux,précieux,30
/.,/.,P
là,là,60
était,être,18
l',le,71
unique,unique,30
roman,roman,21
de,de,81
son,son,73
existence,existence,22
/.,/.,P
il,il,51
l',le,52
aurait,avoir,16
épousée,épouser,12
sans,sans,81
un,un,71
sou,sou,21
",",",",p
pour,pour,81
la,le,71
joie,joie,22
de,de,81
l',le,52
avoir,avoir,14
",",",",p
et,et,82
quand,quand,83
il,il,51
s',se,51
était,être,18
enhardi,enhardir,12
enfin,enfin,60
",",",",p
la,le,71
réalisation,réalisation,22
avait,avoir,18
dépassé,dépasser,12
le,le,71
rêve,rêve,21
:,:,p
outre,outre,81
Séverine,Séverine,20
et,et,82
une,un,71
dot,dot,22
de,de,81
dix,dix,72
mille,mille,72
francs,franc,21
",",",",p
le,le,71
président,président,21
",",",",p
aujourd'hui,aujourd'hui,60
en,en,81
retraite,retraite,22
",",",",p
membre,membre,21
du,de,81
du,le,71
conseil,conseil,21
d',de,81
administration,administration,22
de,de,81
la,le,71
Compagnie de l'Ouest,Compagnie de l'Ouest,20
",",",",p
lui,lui,51
avait,avoir,18
donné,donner,12
sa,son,73
protection,protection,22
/.,/.,P
dès,dès,81
le,le,71
lendemain,lendemain,21
du,de,81
du,le,71
mariage,mariage,21
",",",",p
il,il,51
était,être,18
passé,passer,12
sous-chef,sous-chef,21
à,à,81
la,le,71
gare,gare,22
du,de,81
du,le,71
Havre,Havre,20
/.,/.,P
il,il,51
avait,avoir,18
sans,sans,81
doute,doute,21
pour,pour,81
lui,lui,51
ses,son,73
notes,note,22
de,de,81
bon,bon,30
employé,employé,21
",",",",p
solide,solide,30
à,à,81
son,son,73
poste,poste,21
",",",",p
ponctuel,ponctuel,30
",",",",p
honnête,honnête,30
",",",",p
d',de,81
un,un,71
esprit,esprit,21
borné,borné,31
",",",",p
mais,mais,82
très,très,60
droit,droit,30
",",",",p
toutes,tout,75
sortes,sorte,22
de,de,81
qualités,qualité,22
excellentes,excellent,30
qui,qui,52
pouvaient,pouvoir,18
expliquer,expliquer,14
l',le,71
accueil,accueil,21
prompt,prompt,30
fait,fait,31
à,à,81
sa,son,73
demande,demande,22
et,et,82
la,le,71
rapidité,rapidité,22
de,de,81
son,son,73
avancement,avancement,21
/.,/.,P
il,il,51
préférait,préférer,18
croire,croire,14
qu',que,83
il,il,51
devait,devoir,18
tout,tout,52
à,à,81
sa,son,73
femme,femme,22
/.,/.,P
il,il,51
l',le,52
adorait,adorer,18
/.,/.,P
lorsqu',lorsque,83
il,il,51
eut,avoir,19
ouvert,ouvrir,12
la,le,71
boîte,boîte,22
de,de,81
sardines,sardine,22
",",",",p
Roubaud,Roubaud,20
perdit,perdre,19
décidément,décidément,60
patience,patience,22
/.,/.,P
le,le,71
rendez-vous,rendez-vous,21
était,être,18
pour,pour,81
trois,trois,72
heures,heure,22
/.,/.,P
où,où,60
pouvait,pouvoir,18
elle,il,51
être,être,14
/?,/?,P
elle,il,51
ne,ne,60
lui,lui,51
conterait,conter,16
pas,pas,60
que,que,83
l',le,71
achat,achat,21
d',de,81
une,un,71
paire,paire,22
de,de,81
bottines,bottine,22
et,et,82
de,de,81
six,six,72
chemises,chemise,22
demandait,demander,18
la,le,71
journée,journée,22
/.,/.,P
et,et,82
",",",",p
comme,comme,83
il,il,51
passait,passer,18
de,de,81
nouveau,nouveau,21
devant,devant,81
la,le,71
glace,glace,22
",",",",p
il,il,51
s',se,51
aperçut,apercevoir,19
",",",",p
les,le,71
sourcils,sourcil,21
hérissés,hérissé,31
",",",",p
le,le,71
front,front,21
coupé,coupé,31
d',de,81
une,un,71
ligne,ligne,22
dure,dur,30
/.,/.,P
jamais,jamais,60
au,à,81
au,le,71
Havre,Havre,20
il,il,51
ne,ne,60
la,le,52
soupçonnait,soupçonner,18
/.,/.,P
à,à,81
Paris,Paris,20
",",",",p
il,il,51
s',se,51
imaginait,imaginer,18
toutes,tout,75
sortes,sorte,22
de,de,81
dangers,danger,21
",",",",p
des,de,81
des,le,71
ruses,ruse,22
",",",",p
des,de,81
des,le,71
fautes,faute,22
/.,/.,P
un,un,71
flot,flot,21
de,de,81
sang,sang,21
montait,monter,18
à,à,81
son,son,73
crâne,crâne,21
",",",",p
ses,son,73
poings,poing,21
d',de,81
ancien,ancien,30
homme,homme,21
d',de,81
équipe,équipe,22
se,se,51
serraient,serrer,18
",",",",p
comme,comme,83
au,à,81
au,le,71
temps,temps,21
où,où,60
il,il,51
poussait,pousser,18
des,de,81
des,le,71
wagons,wagon,21
/.,/.,P
il,il,51
redevenait,redevenir,18
la,le,71
brute,brute,22
inconsciente,inconscient,30
de,de,81
sa,son,73
force,force,22
",",",",p
il,il,51
l',le,52
aurait,avoir,16
broyée,broyer,12
",",",",p
dans,dans,81
un,un,71
élan,élan,21
de,de,81
fureur,fureur,22
aveugle,aveugle,30
",",",",p
Séverine,Séverine,20
poussa,pousser,19
la,le,71
porte,porte,22
",",",",p
parut,paraître,19
toute,tout,60
fraîche,frais,30
",",",",p
toute,tout,60
joyeuse,joyeux,30
/.,/.,P
c',ce,52
est,être,17
moi,moi,51
/…,/…,P
hein,hein,93
?,?,p
tu,tu,51
as,avoir,17
dû,devoir,12
croire,croire,14
que,que,83
j',je,51
étais,être,18
perdue,perdre,12
/.,/.,P
dans,dans,81
l',le,71
éclat,éclat,21
de,de,81
ses,son,73
vingt,vingt,72
cinq,cinq,72
ans,an,21
",",",",p
elle,il,51
semblait,sembler,18
grande,grand,30
",",",",p
mince,mince,30
et,et,82
très,très,60
souple,souple,30
",",",",p
grasse,gras,30
pourtant,pourtant,60
avec,avec,81
de,de,81
petits,petit,30
os,os,21
/.,/.,P
elle,il,51
n',ne,60
était,être,18
point,point,60
jolie,joli,30
d'abord,d'abord,60
",",",",p
la,le,71
face,face,22
longue,long,30
",",",",p
la,le,71
bouche,bouche,22
forte,fort,30
",",",",p
éclairée,éclairé,31
de,de,81
dents,dent,22
admirables,admirable,30
/.,/.,P
mais,mais,82
",",",",p
à,à,81
la,le,52
regarder,regarder,14
",",",",p
elle,il,51
séduisait,séduire,18
par,par,81
le,le,71
charme,charme,21
",",",",p
l',le,71
étrangeté,étrangeté,22
de,de,81
ses,son,73
larges,large,30
yeux,oeil,21
bleus,bleu,30
",",",",p
sous,sous,81
son,son,73
épaisse,épais,30
chevelure,chevelure,22
noire,noir,30
/.,/.,P
et,et,82
",",",",p
comme,comme,83
son,son,73
mari,mari,21
",",",",p
sans,sans,81
répondre,répondre,14
",",",",p
continuait,continuer,18
à,à,81
l',le,52
examiner,examiner,14
",",",",p
du,de,81
du,le,71
regard,regard,21
trouble,trouble,30
et,et,82
vacillant,vacillant,30
qu',que,52
elle,il,51
connaissait,connaître,18
bien,bien,60
",",",",p
elle,il,51
ajouta,ajouter,19
:,:,p
ôh,oh,93
!,!,p
j',je,51
ai,avoir,17
couru,courir,12
/…,/…,P
imagine,imaginer,17
toi,toi,51
",",",",p
impossible,impossible,30
d',de,81
avoir,avoir,14
un,un,71
omnibus,omnibus,21
/.,/.,P
alors,alors,60
",",",",p
ne,ne,60
voulant,vouloir,13
pas,pas,60
dépenser,dépenser,14
l',le,71
argent,argent,21
d',de,81
une,un,71
voiture,voiture,22
",",",",p
j',je,51
ai,avoir,17
couru,courir,12
/…,/…,P
regarde,regarder,17
comme,comme,83
j',je,51
ai,avoir,17
chaud,chaud,21
/.,/.,P
-,-,p
voyons,voir,17
",",",",p
dit,dire,19
il,il,51
violemment,violemment,60
",",",",p
tu,tu,51
ne,ne,60
me,je,51
feras,faire,15
pas,pas,60
croire,croire,14
que,que,83
tu,tu,51
viens,venir,17
du,de,81
du,le,71
Bon Marché,Bon Marché,20
/.,/.,P
mais,mais,82
",",",",p
tout,tout,60
de,de,81
suite,suite,22
",",",",p
avec,avec,81
une,un,71
gentillesse,gentillesse,22
d',de,81
enfant,enfant,21
",",",",p
elle,il,51
se,se,51
jeta,jeter,19
à,à,81
son,son,73
cou,cou,21
",",",",p
en,en,81
lui,lui,51
posant,poser,13
",",",",p
sur,sur,81
la,le,71
bouche,bouche,22
",",",",p
sa,son,73
jolie,joli,30
petite,petit,30
main,main,22
potelée,potelé,30
:,:,p
vilain,vilain,30
",",",",p
vilain,vilain,30
",",",",p
tais,taire,17
toi,toi,51
/!,/!,P
tu,tu,51
sais,savoir,17
bien,bien,60
que,que,83
je,je,51
t',tu,51
aime,aimer,17
/.,/.,P
une,un,71
telle,tel,75
sincérité,sincérité,22
sortait,sortir,18
de,de,81
toute,tout,75
sa,son,73
personne,personne,22
",",",",p
il,il,51
la,le,52
sentait,sentir,18
restée,resté,31
si,si,60
candide,candide,30
",",",",p
si,si,60
droite,droit,30
",",",",p
qu',que,83
il,il,51
la,le,52
serra,serrer,19
éperdument,éperdument,60
dans,dans,81
ses,son,73
bras,bras,21
/.,/.,P
toujours,toujours,60
ses,son,73
soupçons,soupçon,21
finissaient,finir,18
ainsi,ainsi,60
/.,/.,P
elle,il,51
s',se,51
abandonnait,abandonner,18
",",",",p
aimant,aimer,13
à,à,81
se,se,51
faire,faire,14
cajoler,cajoler,14
/.,/.,P
il,il,51
la,le,52
couvrait,couvrir,18
de,de,81
baisers,baiser,21
",",",",p
qu',que,52
elle,il,51
ne,ne,60
rendait,rendre,18
pas,pas,60
;,;,p
et,et,82
c',ce,52
était,être,18
même,même,60
là,là,60
son,son,73
inquiétude,inquiétude,22
obscure,obscur,30
",",",",p
cette,ce,74
grande,grand,30
enfant,enfant,21
passive,passif,30
",",",",p
d',de,81
une,un,71
affection,affection,22
filiale,filial,30
",",",",p
où,où,60
l',le,71
amante,amante,22
ne,ne,60
s',se,51
éveillait,éveiller,18
point,point,60
/.,/.,P
alors,alors,60
",",",",p
tu,tu,51
as,avoir,17
dévalisé,dévaliser,12
le,le,71
Bon Marché,Bon Marché,20
/.,/.,P
-,-,p
ôh,oh,93
!,!,p
oui,oui,60
/.,/.,P
je,je,51
vais,aller,17
te,tu,51
conter,conter,14
/…,/…,P
mais,mais,82
",",",",p
auparavant,auparavant,60
",",",",p
mangeons,manger,17
/.,/.,P
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
faim,faim,22
/!,/!,P
ah,ah,93
/!,/!,P
écoute,écouter,17
",",",",p
j',je,51
ai,avoir,17
un,un,71
petit,petit,30
cadeau,cadeau,21
/.,/.,P
dis,dire,17
:,:,p
mon,mon,73
petit,petit,30
cadeau,cadeau,21
/.,/.,P
elle,il,51
lui,lui,51
riait,rire,18
dans,dans,81
le,le,71
visage,visage,21
",",",",p
de,de,81
tout,tout,52
près,près,81
/.,/.,P
elle,il,51
avait,avoir,18
fourré,fourrer,12
sa,son,73
main,main,22
droite,droit,30
dans,dans,81
sa,son,73
poche,poche,22
",",",",p
où,où,60
elle,il,51
tenait,tenir,18
un,un,71
objet,objet,21
",",",",p
qu',que,52
elle,il,51
ne,ne,60
sortait,sortir,18
pas,pas,60
/.,/.,P
dis,dire,17
vite,vite,60
:,:,p
mon,mon,73
petit,petit,30
cadeau,cadeau,21
/.,/.,P
lui,lui,51
riait,rire,18
aussi,aussi,60
",",",",p
en,en,81
bon,bon,30
homme,homme,21
/.,/.,P
il,il,51
se,se,51
décida,décider,19
/.,/.,P
mon,mon,73
petit,petit,30
cadeau,cadeau,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
couteau,couteau,21
qu',que,52
elle,il,51
venait,venir,18
de,de,81
lui,lui,51
acheter,acheter,14
",",",",p
pour,pour,81
en,en,52
remplacer,remplacer,14
un,un,52
qu',que,52
il,il,51
avait,avoir,18
perdu,perdre,12
et,et,82
qu',que,52
il,il,51
pleurait,pleurer,18
",",",",p
depuis,depuis,81
quinze,quinze,72
jours,jour,21
/.,/.,P
il,il,51
s',se,51
exclamait,exclamer,18
",",",",p
le,le,52
trouvait,trouver,18
superbe,superbe,30
",",",",p
ce,ce,74
beau,beau,30
couteau,couteau,21
neuf,neuf,72
",",",",p
avec,avec,81
son,son,73
manche,manche,21
en,en,81
ivoire,ivoire,21
et,et,82
sa,son,73
lame,lame,22
luisante,luisant,30
/.,/.,P
tout,tout,60
de,de,81
suite,suite,22
",",",",p
il,il,51
allait,aller,18
s',se,51
en,en,52
servir,servir,14
/.,/.,P
elle,il,51
était,être,18
ravie,ravir,12
de,de,81
sa,son,73
joie,joie,22
;,;,p
et,et,82
",",",",p
en,en,81
plaisantant,plaisanter,13
",",",",p
elle,il,51
se,se,51
fit,faire,19
donner,donner,14
un,un,71
sou,sou,21
",",",",p
pour,pour,81
que,que,83
leur,leur,73
amitié,amitié,22
ne,ne,60
fût,être,19
pas,pas,60
coupée,couper,12
/.,/.,P
mangeons,manger,17
",",",",p
mangeons,manger,17
",",",",p
répéta,répéter,19
t,t,94
elle,il,51
/.,/.,P
non,non,60
",",",",p
non,non,60
!,!,p
je,je,51
t',tu,51
en,en,52
prie,prier,17
",",",",p
ne,ne,60
ferme,fermer,17
pas,pas,60
encore,encore,60
/.,/.,P
j',je,51
ai,avoir,17
si,si,60
chaud,chaud,30
/!,/!,P
elle,il,51
l',le,52
avait,avoir,18
rejoint,rejoindre,12
à,à,81
la,le,71
fenêtre,fenêtre,22
",",",",p
elle,il,51
demeura,demeurer,19
là,là,60
quelques,quelque,75
secondes,seconde,22
",",",",p
appuyée,appuyé,31
à,à,81
son,son,73
épaule,épaule,22
",",",",p
regardant,regarder,13
le,le,71
vaste,vaste,30
champ,champ,21
de,de,81
la,le,71
gare,gare,22
/.,/.,P
pour,pour,81
le,le,71
moment,moment,21
",",",",p
les,le,71
fumées,fumée,22
s',se,51
en,en,52
étaient,être,18
allées,aller,12
",",",",p
le,le,71
disque,disque,21
cuivré,cuivré,31
du,de,81
du,le,71
soleil,soleil,21
descendait,descendre,18
dans,dans,81
la,le,71
brume,brume,22
",",",",p
derrière,derrière,81
les,le,71
maisons,maison,22
de,de,81
la,le,71
rue,rue,22
de,de,81
Rome,Rome,20
/.,/.,P
en,en,81
bas,bas,21
",",",",p
une,un,71
machine,machine,22
de,de,81
manoeuvre,manoeuvre,22
amenait,amener,18
",",",",p
tout,tout,60
formé,formé,31
",",",",p
le,le,71
train,train,21
de,de,81
Mantes,Mantes,20
",",",",p
qui,qui,52
devait,devoir,18
partir,partir,14
à,à,81
quatre,quatre,72
heures,heure,22
vingt,vingt,72
cinq,cinq,72
/.,/.,P
elle,il,51
le,le,52
refoula,refouler,19
le,le,71
long,long,21
du,de,81
du,le,71
quai,quai,21
",",",",p
sous,sous,81
la,le,71
marquise,marquise,22
",",",",p
fut,être,19
dételée,dételer,12
/.,/.,P
au,à,81
au,le,71
fond,fond,21
",",",",p
dans,dans,81
le,le,71
hangar,hangar,21
de,de,81
la,le,71
ceinture,ceinture,22
",",",",p
des,de,81
des,le,71
chocs,choc,21
de,de,81
tampons,tampon,21
annonçaient,annoncer,18
l',le,71
attelage,attelage,21
imprévu,imprévu,30
de,de,81
voitures,voiture,22
qu',que,52
on,on,51
ajoutait,ajouter,18
/.,/.,P
et,et,82
",",",",p
seule,seul,30
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
rails,rail,21
",",",",p
avec,avec,81
son,son,73
mécanicien,mécanicien,21
et,et,82
son,son,73
chauffeur,chauffeur,21
",",",",p
noirs,noir,30
de,de,81
la,le,71
poussière,poussière,22
du,de,81
du,le,71
voyage,voyage,21
",",",",p
une,un,71
lourde,lourd,30
machine,machine,22
de,de,81
train,train,21
omnibus,omnibus,21
restait,rester,18
immobile,immobile,30
",",",",p
comme,comme,83
lasse,las,30
et,et,82
essoufflée,essoufflé,31
",",",",p
sans,sans,81
autre,autre,75
vapeur,vapeur,22
qu',que,83
un,un,71
mince,mince,30
filet,filet,21
sortant,sortir,13
d',de,81
une,un,71
soupape,soupape,22
/.,/.,P
elle,il,51
attendait,attendre,18
qu',que,83
on,on,51
lui,lui,51
ouvrît,ouvrir,18
la,le,71
voie,voie,22
",",",",p
pour,pour,81
retourner,retourner,14
au,à,81
au,le,71
dépôt,dépôt,21
des,de,81
des,le,71
Batignolles,Batignolles,20
/.,/.,P
un,un,71
signal,signal,21
rouge,rouge,30
claqua,claquer,19
",",",",p
s',se,51
effaça,effacer,19
/.,/.,P
elle,il,51
partit,partir,19
/.,/.,P
sont,être,17
elles,ils,51
gaies,gai,30
",",",",p
ces,ce,74
petites,petit,30
Dauvergne,Dauvergne,20
!,!,p
dit,dire,19
Roubaud,Roubaud,20
en,en,81
quittant,quitter,13
la,le,71
fenêtre,fenêtre,22
/.,/.,P
les,le,52
entends,entendre,17
tu,tu,51
taper,taper,14
sur,sur,81
leur,leur,73
piano,piano,21
/?,/?,P
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
j',je,51
ai,avoir,17
vu,voir,12
Henri,Henri,20
",",",",p
qui,qui,52
m',je,51
a,avoir,17
dit,dire,12
de,de,81
te,tu,51
présenter,présenter,14
ses,son,73
hommages,hommage,21
/.,/.,P
-,-,p
à,à,81
table,table,22
",",",",p
à,à,81
table,table,22
!,!,p
cria,crier,19
Séverine,Séverine,20
/.,/.,P
et,et,82
elle,il,51
se,se,51
jeta,jeter,19
sur,sur,81
les,le,71
sardines,sardine,22
",",",",p
elle,il,51
dévora,dévorer,19
/.,/.,P
ah,ah,93
!,!,p
le,le,71
petit,petit,30
pain,pain,21
de,de,81
Mantes,Mantes,20
était,être,18
loin,loin,60
/!,/!,P
cela,cela,52
la,le,52
grisait,griser,18
",",",",p
quand,quand,83
elle,il,51
venait,venir,18
à,à,81
Paris,Paris,20
/.,/.,P
elle,il,51
était,être,18
toute,tout,60
vibrante,vibrant,30
du,de,81
du,le,71
bonheur,bonheur,21
d',de,81
avoir,avoir,14
couru,courir,12
les,le,71
trottoirs,trottoir,21
",",",",p
elle,il,51
gardait,garder,18
une,un,71
fièvre,fièvre,22
de,de,81
ses,son,73
achats,achat,21
au,à,81
au,le,71
Bon Marché,Bon Marché,20
/.,/.,P
en,en,81
un,un,71
coup,coup,21
",",",",p
chaque,chaque,75
printemps,printemps,21
",",",",p
elle,il,51
y,y,52
dépensait,dépenser,18
ses,son,73
économies,économie,22
de,de,81
l',le,71
hiver,hiver,21
",",",",p
préférant,préférer,13
tout,tout,52
y,y,52
acheter,acheter,14
",",",",p
disant,dire,13
qu',que,83
elle,il,51
y,y,52
économisait,économiser,18
son,son,73
voyage,voyage,21
/.,/.,P
aussi,aussi,60
",",",",p
sans,sans,81
perdre,perdre,14
une,un,71
bouchée,bouchée,22
",",",",p
ne,ne,60
tarissait,tarir,18
elle,il,51
pas,pas,60
/.,/.,P
un,un,71
peu,peu,60
confuse,confus,30
",",",",p
rougissante,rougissant,30
",",",",p
elle,il,51
finit,finir,19
par,par,81
lâcher,lâcher,14
le,le,71
total,total,21
de,de,81
la,le,71
somme,somme,22
qu',que,52
elle,il,51
avait,avoir,18
dépensée,dépenser,12
",",",",p
plus,plus,60
de,de,81
trois,trois,72
cents,cent,72
francs,franc,21
/.,/.,P
fichtre,fichtre,93
!,!,p
dit,dire,19
Roubaud,Roubaud,20
",",",",p
saisi,saisi,31
",",",",p
tu,tu,51
te,tu,51
mets,mettre,17
bien,bien,60
",",",",p
toi,toi,51
",",",",p
pour,pour,81
la,le,71
femme,femme,22
d',de,81
un,un,71
sous-chef,sous-chef,21
/!,/!,P
mais,mais,82
tu,tu,51
n',ne,60
avais,avoir,18
à,à,81
prendre,prendre,14
que,que,83
six,six,72
chemises,chemise,22
et,et,82
une,un,71
paire,paire,22
de,de,81
bottines,bottine,22
/?,/?,P
-,-,p
ôh,oh,93
!,!,p
mon,mon,73
ami,ami,21
",",",",p
des,de,81
des,le,71
occasions,occasion,22
uniques,unique,30
/!,/!,P
une,un,71
petite,petit,30
soie,soie,22
à,à,81
rayures,rayure,22
délicieuses,délicieux,30
!,!,p
un,un,71
chapeau,chapeau,21
d',de,81
un,un,71
goût,goût,21
",",",",p
un,un,71
rêve,rêve,21
!,!,p
des,de,81
des,le,71
jupons,jupon,21
tout,tout,52
faits,faire,12
",",",",p
avec,avec,81
des,de,81
des,le,71
volants,volant,21
brodés,brodé,31
/!,/!,P
et,et,82
tout,tout,75
ça,ça,52
pour,pour,81
rien,rien,52
",",",",p
j',je,51
aurais,avoir,16
payé,payer,12
le,le,71
double,double,21
au,à,81
au,le,71
Havre,Havre,20
/…,/…,P
on,on,51
va,aller,17
m',je,51
expédier,expédier,14
",",",",p
tu,tu,51
verras,voir,15
/!,/!,P
il,il,51
avait,avoir,18
pris,prendre,12
le,le,71
parti,parti,21
de,de,81
rire,rire,14
",",",",p
tant,tant,60
elle,il,51
était,être,18
jolie,joli,30
",",",",p
dans,dans,81
sa,son,73
joie,joie,22
",",",",p
avec,avec,81
son,son,73
air,air,21
de,de,81
confusion,confusion,22
suppliante,suppliant,30
/.,/.,P
et,et,82
puis,puis,60
",",",",p
c',ce,52
était,être,18
si,si,60
charmant,charmant,30
",",",",p
cette,ce,74
dînette,dînette,22
improvisée,improvisé,31
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
cette,ce,74
chambre,chambre,22
où,où,60
ils,ils,51
étaient,être,18
seuls,seul,30
",",",",p
bien,bien,60
mieux,mieux,60
qu',que,83
au,à,81
au,le,71
restaurant,restaurant,21
/.,/.,P
elle,il,51
",",",",p
qui,qui,52
d',de,81
ordinaire,ordinaire,21
buvait,boire,18
de,de,81
l',le,71
eau,eau,22
",",",",p
se,se,51
laissait,laisser,18
aller,aller,14
",",",",p
vidait,vider,18
son,son,73
verre,verre,21
de,de,81
vin,vin,21
blanc,blanc,30
",",",",p
sans,sans,81
savoir,savoir,14
/.,/.,P
la,le,71
boîte,boîte,22
de,de,81
sardines,sardine,22
était,être,18
finie,finir,12
",",",",p
ils,ils,51
entamèrent,entamer,19
le,le,71
pâté,pâté,21
avec,avec,81
le,le,71
beau,beau,30
couteau,couteau,21
neuf,neuf,72
/.,/.,P
ce,ce,52
fut,être,19
un,un,71
triomphe,triomphe,21
",",",",p
tellement,tellement,60
il,il,51
coupait,couper,18
bien,bien,60
/.,/.,P
et,et,82
toi,toi,51
",",",",p
voyons,voir,17
",",",",p
ton,ton,73
affaire,affaire,22
?,?,p
demanda,demander,19
t,t,94
elle,il,51
/.,/.,P
tu,tu,51
me,je,51
fais,faire,17
bavarder,bavarder,14
",",",",p
tu,tu,51
ne,ne,60
me,je,51
dis,dire,17
pas,pas,60
comment,comment,60
ça,ça,52
s',se,51
est,être,17
terminé,terminer,12
",",",",p
pour,pour,81
le,le,71
sous-préfet,sous-préfet,21
/.,/.,P
alors,alors,60
",",",",p
il,il,51
conta,conter,19
en,en,81
détail,détail,21
la,le,71
façon,façon,22
dont,dont,52
le,le,71
chef,chef,21
de,de,81
l',le,71
exploitation,exploitation,22
l',le,52
avait,avoir,18
reçu,recevoir,12
/.,/.,P
ôh,oh,93
!,!,p
un,un,71
lavage,lavage,21
de,de,81
tête,tête,22
en,en,81
règle,règle,22
/!,/!,P
il,il,51
s',se,51
était,être,18
défendu,défendre,12
",",",",p
avait,avoir,18
dit,dire,12
la,le,71
vraie,vrai,30
vérité,vérité,22
",",",",p
comment,comment,60
ce,ce,74
petit,petit,30
crevé,crevé,31
de,de,81
sous-préfet,sous-préfet,21
s',se,51
était,être,18
obstiné,obstiner,12
à,à,81
monter,monter,14
avec,avec,81
son,son,73
chien,chien,21
dans,dans,81
une,un,71
voiture,voiture,22
de,de,81
première,premier,72
",",",",p
lorsqu',lorsque,83
il,il,51
y,y,52
avait,avoir,18
une,un,71
voiture,voiture,22
de,de,81
seconde,seconde,22
",",",",p
réservée,réservé,31
pour,pour,81
les,le,71
chasseurs,chasseur,21
et,et,82
leurs,leur,73
bêtes,bête,22
",",",",p
et,et,82
la,le,71
querelle,querelle,22
qui,qui,52
s',se,51
en,en,52
était,être,18
suivie,suivre,12
",",",",p
et,et,82
les,le,71
mots,mot,21
qu',que,52
on,on,51
avait,avoir,18
échangés,échanger,12
/.,/.,P
en,en,81
somme,somme,22
",",",",p
le,le,71
chef,chef,21
lui,lui,51
donnait,donner,18
raison,raison,22
d',de,81
avoir,avoir,14
voulu,vouloir,12
faire,faire,14
respecter,respecter,14
la,le,71
consigne,consigne,22
