11956
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingtième extrait>,<>,<>
",",",",p
et,et,82
dans,dans,81
laquelle,lequel,52
passaient,passer,18
de,de,81
grandes,grand,30
fumées,fumée,22
noires,noir,30
",",",",p
venues,venu,31
on,on,51
ne,ne,60
savait,savoir,18
d',de,81
où,où,60
/.,/.,P
le,le,71
ciel,ciel,21
en,en,52
fut,être,19
obscurci,obscurcir,12
encore,encore,60
",",",",p
un,un,71
nuage,nuage,21
de,de,81
suie,suie,22
s',se,51
envolait,envoler,18
sur,sur,81
le,le,71
Paris,Paris,20
nocturne,nocturne,30
",",",",p
incendié,incendié,31
de,de,81
son,son,73
brasier,brasier,21
/.,/.,P
alors,alors,60
",",",",p
le,le,71
sous-chef,sous-chef,21
de,de,81
service,service,21
leva,lever,19
sa,son,73
lanterne,lanterne,22
",",",",p
pour,pour,81
que,que,83
le,le,71
mécanicien,mécanicien,21
demandât,demander,18
la,le,71
voie,voie,22
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
deux,deux,72
coups,coup,21
de,de,81
sifflet,sifflet,21
",",",",p
et,et,82
là-bas,là-bas,60
",",",",p
près,près,81
du,de,81
du,le,71
poste,poste,21
de,de,81
l',le,71
aiguilleur,aiguilleur,21
",",",",p
le,le,71
feu,feu,21
rouge,rouge,30
s',se,51
effaça,effacer,19
",",",",p
fut,être,19
remplacé,remplacer,12
par,par,81
un,un,71
feu,feu,21
blanc,blanc,30
/.,/.,P
debout,debout,60
à,à,81
la,le,71
porte,porte,22
du,de,81
du,le,71
fourgon,fourgon,21
",",",",p
le,le,71
conducteur,conducteur,21
chef,chef,21
attendait,attendre,18
l',le,71
ordre,ordre,21
du,de,81
du,le,71
départ,départ,21
",",",",p
qu',que,52
il,il,51
transmit,transmettre,19
/.,/.,P
le,le,71
mécanicien,mécanicien,21
siffla,siffler,19
encore,encore,60
",",",",p
longuement,longuement,60
",",",",p
ouvrit,ouvrir,19
son,son,73
régulateur,régulateur,21
",",",",p
démarrant,démarrer,13
la,le,71
machine,machine,22
/.,/.,P
on,on,51
partait,partir,18
/.,/.,P
d'abord,d'abord,60
",",",",p
le,le,71
mouvement,mouvement,21
fut,être,19
insensible,insensible,30
",",",",p
puis,puis,60
le,le,71
train,train,21
roula,rouler,19
/.,/.,P
il,il,51
fila,filer,19
sous,sous,81
le,le,71
pont,pont,21
de,de,81
l',le,71
Europe,Europe,20
",",",",p
s',se,51
enfonça,enfoncer,19
vers,vers,81
le,le,71
tunnel,tunnel,21
des,de,81
des,le,71
Batignolles,Batignolles,20
/.,/.,P
on,on,51
ne,ne,60
voyait,voir,18
de,de,81
lui,lui,51
",",",",p
saignant,saigner,13
comme,comme,83
des,de,81
des,le,71
blessures,blessure,22
ouvertes,ouvert,31
",",",",p
que,que,83
les,le,71
trois,trois,72
feux,feu,21
de,de,81
l',le,71
arrière,arrière,21
",",",",p
le,le,71
triangle,triangle,21
rouge,rouge,30
/.,/.,P
quelques,quelque,75
secondes,seconde,22
encore,encore,60
",",",",p
on,on,51
put,pouvoir,19
le,le,52
suivre,suivre,14
",",",",p
dans,dans,81
le,le,71
frisson,frisson,21
noir,noir,30
de,de,81
la,le,71
nuit,nuit,22
/.,/.,P
maintenant,maintenant,60
",",",",p
il,il,51
fuyait,fuir,18
",",",",p
et,et,82
rien,rien,52
ne,ne,60
devait,devoir,18
plus,plus,60
arrêter,arrêter,14
ce,ce,74
train,train,21
lancé,lancé,31
à,à,81
toute,tout,75
vapeur,vapeur,22
/.,/.,P
il,il,51
disparut,disparaître,19
/.,/.,P
<Chapitre II>,<>,<>
à,à,81
la,le,71
Croix-de-Maufras,Croix-de-Maufras,20
",",",",p
dans,dans,81
un,un,71
jardin,jardin,21
que,que,52
le,le,71
chemin,chemin,21
de,de,81
fer,fer,21
a,avoir,17
coupé,couper,12
",",",",p
la,le,71
maison,maison,22
est,être,17
posée,poser,12
de,de,81
biais,biais,21
",",",",p
si,si,83
près,près,81
de,de,81
la,le,71
voie,voie,22
",",",",p
que,que,83
tous,tout,75
les,le,71
trains,train,21
qui,qui,52
passent,passer,17
l',le,52
ébranlent,ébranler,17
;,;,p
et,et,82
un,un,71
voyage,voyage,21
suffit,suffire,17
pour,pour,81
l',le,52
emporter,emporter,14
dans,dans,81
sa,son,73
mémoire,mémoire,22
",",",",p
le,le,71
monde,monde,21
entier,entier,30
filant,filer,13
à,à,81
grande,grand,30
vitesse,vitesse,22
la,le,52
sait,savoir,17
à,à,81
cette,ce,74
place,place,22
",",",",p
sans,sans,81
rien,rien,52
connaître,connaître,14
d',de,81
elle,il,51
",",",",p
toujours,toujours,60
close,clos,31
",",",",p
laissée,laissé,31
comme,comme,83
en,en,81
détresse,détresse,22
",",",",p
avec,avec,81
ses,son,73
volets,volet,21
gris,gris,30
que,que,52
verdissent,verdir,17
les,le,71
coups,coup,21
de,de,81
pluie,pluie,22
de,de,81
l',le,71
ouest,ouest,21
/.,/.,P
c',ce,52
est,être,17
le,le,71
désert,désert,21
",",",",p
elle,il,51
semble,sembler,17
accroître,accroître,14
encore,encore,60
la,le,71
solitude,solitude,22
de,de,81
ce,ce,74
coin,coin,21
perdu,perdu,31
",",",",p
qu',que,52
une,un,71
lieue,lieue,22
à,à,81
la,le,71
ronde,ronde,22
sépare,séparer,17
de,de,81
toute,tout,75
âme,âme,22
/.,/.,P
seule,seul,30
",",",",p
la,le,71
maison,maison,22
du,de,81
du,le,71
garde-barrière,garde-barrière,21
est,être,17
là,là,60
",",",",p
au,à,81
au,le,71
coin,coin,21
de,de,81
la,le,71
route,route,22
qui,qui,52
traverse,traverser,17
la,le,71
ligne,ligne,22
et,et,82
qui,qui,52
se,se,51
rend,rendre,17
à,à,81
Doinville,Doinville,20
",",",",p
distant,distant,30
de,de,81
cinq,cinq,72
kilomètres,kilomètre,21
/.,/.,P
basse,bas,30
",",",",p
les,le,71
murs,mur,21
lézardés,lézardé,31
",",",",p
les,le,71
tuiles,tuile,22
de,de,81
la,le,71
toiture,toiture,22
mangées,mangé,31
de,de,81
mousse,mousse,22
",",",",p
elle,il,51
s',se,51
écrase,écraser,17
d',de,81
un,un,71
air,air,21
abandonné,abandonné,31
de,de,81
pauvre,pauvre,21
",",",",p
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
jardin,jardin,21
qui,qui,52
l',le,52
entoure,entourer,17
",",",",p
un,un,71
jardin,jardin,21
planté,planté,31
de,de,81
légumes,légume,21
",",",",p
fermé,fermé,31
d',de,81
une,un,71
haie,haie,22
vive,vif,30
",",",",p
et,et,82
dans,dans,81
lequel,lequel,52
se,se,51
dresse,dresser,17
un,un,71
grand,grand,30
puits,puits,21
",",",",p
aussi,aussi,60
haut,haut,30
que,que,83
la,le,71
maison,maison,22
/.,/.,P
le,le,71
passage,passage,21
à,à,81
niveau,niveau,21
se,se,51
trouve,trouver,17
entre,entre,81
les,le,71
stations,station,22
de,de,81
Malaunay,Malaunay,20
et,et,82
de,de,81
Barentin,Barentin,20
",",",",p
juste,juste,60
au,à,81
au,le,71
milieu,milieu,21
",",",",p
à,à,81
quatre,quatre,72
kilomètres,kilomètre,21
de,de,81
chacune,chacun,52
d',de,81
elles,ils,51
/.,/.,P
il,il,51
est,être,17
d',de,81
ailleurs,ailleurs,60
très,très,60
peu,peu,60
fréquenté,fréquenter,12
",",",",p
la,le,71
vieille,vieux,30
barrière,barrière,22
à,à,81
demi,demi,60
pourrie,pourri,31
ne,ne,60
roule,rouler,17
guère,guère,60
que,que,83
pour,pour,81
les,le,71
fardiers,fardier,21
des,de,81
des,le,71
carrières,carrière,22
de,de,81
Bécourt,Bécourt,20
",",",",p
dans,dans,81
la,le,71
forêt,forêt,22
",",",",p
à,à,81
une,un,71
demi-lieue,demi-lieue,22
/.,/.,P
on,on,51
ne,ne,60
saurait,savoir,16
imaginer,imaginer,14
un,un,71
trou,trou,21
plus,plus,60
reculé,reculé,31
",",",",p
plus,plus,60
séparé,séparé,31
des,de,81
des,le,71
vivants,vivant,21
",",",",p
car,car,82
le,le,71
long,long,30
tunnel,tunnel,21
",",",",p
du,de,81
du,le,71
côté,côté,21
de,de,81
Malaunay,Malaunay,20
",",",",p
coupe,couper,17
tout,tout,75
chemin,chemin,21
",",",",p
et,et,82
l',l',94
on,on,51
ne,ne,60
communique,communiquer,17
avec,avec,81
Barentin,Barentin,20
que,que,83
par,par,81
un,un,71
sentier,sentier,21
mal,mal,60
entretenu,entretenu,31
longeant,longer,13
la,le,71
ligne,ligne,22
/.,/.,P
aussi,aussi,60
les,le,71
visiteurs,visiteur,21
sont,être,17
ils,ils,51
rares,rare,30
/.,/.,P
ce,ce,74
soir,soir,21
là,là,60
",",",",p
à,à,81
la,le,71
tombée,tombée,22
du,de,81
du,le,71
jour,jour,21
par,par,81
un,un,71
temps,temps,21
gris,gris,30
très,très,60
doux,doux,30
",",",",p
un,un,71
voyageur,voyageur,21
",",",",p
qui,qui,52
venait,venir,18
de,de,81
quitter,quitter,14
à,à,81
Barentin,Barentin,20
un,un,71
train,train,21
du,de,81
du,le,71
Havre,Havre,20
",",",",p
suivait,suivre,18
d',de,81
un,un,71
pas,pas,21
allongé,allongé,31
le,le,71
sentier,sentier,21
de,de,81
la,le,71
Croix-de-Maufras,Croix-de-Maufras,20
/.,/.,P
le,le,71
pays,pays,21
n',ne,60
est,être,17
qu',que,83
une,un,71
suite,suite,22
ininterrompue,ininterrompu,30
de,de,81
vallons,vallon,21
et,et,82
de,de,81
côtes,côte,22
",",",",p
une,un,71
sorte,sorte,22
de,de,81
moutonnement,moutonnement,21
du,de,81
du,le,71
sol,sol,21
",",",",p
que,que,52
le,le,71
chemin,chemin,21
de,de,81
fer,fer,21
traverse,traverser,17
",",",",p
alternativement,alternativement,60
",",",",p
sur,sur,81
des,de,81
des,le,71
remblais,remblai,21
et,et,82
dans,dans,81
des,de,81
des,le,71
tranchées,tranchée,22
/.,/.,P
aux,à,81
aux,le,71
deux,deux,72
bords,bord,21
de,de,81
la,le,71
voie,voie,22
",",",",p
ces,ce,74
accidents,accident,21
de,de,81
terrain,terrain,21
continuels,continuel,30
",",",",p
les,le,71
montées,montée,22
et,et,82
les,le,71
descentes,descente,22
",",",",p
achèvent,achever,17
de,de,81
rendre,rendre,14
les,le,71
routes,route,22
difficiles,difficile,30
/.,/.,P
la,le,71
sensation,sensation,22
de,de,81
grande,grand,30
solitude,solitude,22
en,en,52
est,être,17
augmentée,augmenter,12
;,;,p
les,le,71
terrains,terrain,21
",",",",p
maigres,maigre,30
",",",",p
blanchâtres,blanchâtre,30
",",",",p
restent,rester,17
incultes,inculte,30
;,;,p
des,de,81
des,le,71
arbres,arbre,21
couronnent,couronner,17
les,le,71
mamelons,mamelon,21
de,de,81
petits,petit,30
bois,bois,21
",",",",p
tandis que,tandis que,83
",",",",p
le,le,71
long,long,21
des,de,81
des,le,71
vallées,vallée,22
étroites,étroit,30
",",",",p
coulent,couler,17
des,de,81
des,le,71
ruisseaux,ruisseau,21
",",",",p
ombragés,ombragé,31
de,de,81
saules,saule,21
/.,/.,P
d',de,81
autres,autre,75
bosses,bosse,22
crayeuses,crayeux,30
sont,être,17
absolument,absolument,60
nues,nu,30
",",",",p
les,le,71
coteaux,coteau,21
se,se,51
succèdent,succéder,17
",",",",p
stériles,stérile,30
",",",",p
dans,dans,81
un,un,71
silence,silence,21
et,et,82
un,un,71
abandon,abandon,21
de,de,81
mort,mort,22
/.,/.,P
et,et,82
le,le,71
voyageur,voyageur,21
",",",",p
jeune,jeune,30
",",",",p
vigoureux,vigoureux,30
",",",",p
hâtait,hâter,18
le,le,71
pas,pas,21
",",",",p
comme,comme,83
pour,pour,81
échapper,échapper,14
à,à,81
la,le,71
tristesse,tristesse,22
de,de,81
ce,ce,74
crépuscule,crépuscule,21
si,si,60
doux,doux,30
sur,sur,81
cette,ce,74
terre,terre,22
désolée,désolé,31
/.,/.,P
dans,dans,81
le,le,71
jardin,jardin,21
du,de,81
du,le,71
garde-barrière,garde-barrière,21
",",",",p
une,un,71
fille,fille,22
tirait,tirer,18
de,de,81
l',le,71
eau,eau,22
au,à,81
au,le,71
puits,puits,21
",",",",p
une,un,71
grande,grand,30
fille,fille,22
de,de,81
dix,dix,72
huit,huit,72
ans,an,21
",",",",p
blonde,blond,30
",",",",p
forte,fort,30
",",",",p
à,à,81
la,le,71
bouche,bouche,22
épaisse,épais,30
",",",",p
aux,à,81
aux,le,71
grands,grand,30
yeux,oeil,21
verdâtres,verdâtre,30
",",",",p
au,à,81
au,le,71
front,front,21
bas,bas,30
",",",",p
sous,sous,81
de,de,81
lourds,lourd,30
cheveux,cheveu,21
/.,/.,P
elle,il,51
n',ne,60
était,être,18
point,point,60
jolie,joli,30
",",",",p
elle,il,51
avait,avoir,18
les,le,71
hanches,hanche,22
solides,solide,30
et,et,82
les,le,71
bras,bras,21
durs,dur,30
d',de,81
un,un,71
garçon,garçon,21
/.,/.,P
dès,dès,81
qu',que,83
elle,il,51
aperçut,apercevoir,19
le,le,71
voyageur,voyageur,21
",",",",p
descendant,descendre,13
le,le,71
sentier,sentier,21
",",",",p
elle,il,51
lâcha,lâcher,19
le,le,71
seau,seau,21
",",",",p
elle,il,51
accourut,accourir,19
se,se,51
mettre,mettre,14
devant,devant,81
la,le,71
porte,porte,22
à,à,81
claire-voie,claire-voie,22
",",",",p
qui,qui,52
fermait,fermer,18
la,le,71
haie,haie,22
vive,vif,30
/.,/.,P
tiens,tenir,17
/!,/!,P
Jacques,Jacques,20
!,!,p
cria,crier,19
t,t,94
elle,il,51
/.,/.,P
lui,lui,51
",",",",p
avait,avoir,18
levé,lever,12
la,le,71
tête,tête,22
/.,/.,P
il,il,51
venait,venir,18
d',de,81
avoir,avoir,14
vingt,vingt,72
six,six,72
ans,an,21
",",",",p
également,également,60
de,de,81
grande,grand,30
taille,taille,22
",",",",p
très,très,60
brun,brun,30
",",",",p
beau,beau,30
garçon,garçon,21
au,à,81
au,le,71
visage,visage,21
rond,rond,30
et,et,82
régulier,régulier,30
",",",",p
mais,mais,82
que,que,52
gâtaient,gâter,18
des,de,81
des,le,71
mâchoires,mâchoire,22
trop,trop,60
fortes,fort,30
/.,/.,P
ses,son,73
cheveux,cheveu,21
",",",",p
plantés,planté,31
drus,dru,30
",",",",p
frisaient,friser,18
",",",",p
ainsi,ainsi,60
que,que,83
ses,son,73
moustaches,moustache,22
",",",",p
si,si,60
épaisses,épais,30
",",",",p
si,si,60
noires,noir,30
",",",",p
qu',que,83
elles,ils,51
augmentaient,augmenter,18
la,le,71
pâleur,pâleur,22
de,de,81
son,son,73
teint,teint,21
/.,/.,P
on,on,51
aurait,avoir,16
dit,dire,12
un,un,71
monsieur,monsieur,21
",",",",p
à,à,81
sa,son,73
peau,peau,22
fine,fin,30
",",",",p
bien,bien,60
rasée,rasé,31
sur,sur,81
les,le,71
joues,joue,22
",",",",p
si,si,83
l',l',94
on,on,51
n',ne,60
eût,avoir,19
pas,pas,60
trouvé,trouver,12
d',de,81
autre,autre,75
part,part,22
l',le,71
empreinte,empreinte,22
indélébile,indélébile,30
du,de,81
du,le,71
métier,métier,21
",",",",p
les,le,71
graisses,graisse,22
qui,qui,52
jaunissaient,jaunir,18
déjà,déjà,60
ses,son,73
mains,main,22
de,de,81
mécanicien,mécanicien,21
",",",",p
des,de,81
des,le,71
mains,main,22
pourtant,pourtant,60
restées,resté,31
petites,petit,30
et,et,82
souples,souple,30
/.,/.,P
bonsoir,bonsoir,21
",",",",p
Flore,Flore,20
",",",",p
dit,dire,19
il,il,51
simplement,simplement,60
/.,/.,P
mais,mais,82
ses,son,73
yeux,oeil,21
",",",",p
qu',que,52
il,il,51
avait,avoir,18
larges,large,30
et,et,82
noirs,noir,30
",",",",p
semés,semé,31
de,de,81
points,point,21
d',de,81
or,or,21
",",",",p
s',se,51
étaient,être,18
comme,comme,83
troublés,troubler,12
d',de,81
une,un,71
fumée,fumée,22
rousse,roux,30
",",",",p
qui,qui,52
les,le,52
pâlissait,pâlir,18
/.,/.,P
les,le,71
paupières,paupière,22
battirent,battre,19
",",",",p
les,le,71
yeux,oeil,21
se,se,51
détournèrent,détourner,19
",",",",p
dans,dans,81
une,un,71
gêne,gêne,22
subite,subit,30
",",",",p
un,un,71
malaise,malaise,21
allant,aller,13
jusqu',jusque,81
à,à,81
la,le,71
souffrance,souffrance,22
/.,/.,P
et,et,82
tout,tout,75
le,le,71
corps,corps,21
lui-même,lui-même,51
avait,avoir,18
eu,avoir,12
un,un,71
mouvement,mouvement,21
instinctif,instinctif,30
de,de,81
recul,recul,21
/.,/.,P
elle,il,51
",",",",p
immobile,immobile,30
",",",",p
les,le,71
regards,regard,21
posés,posé,31
droit,droit,60
sur,sur,81
lui,lui,51
",",",",p
s',se,51
était,être,18
aperçue,apercevoir,12
de,de,81
ce,ce,74
tressaillement,tressaillement,21
involontaire,involontaire,30
",",",",p
qu',que,52
il,il,51
tâchait,tâcher,18
de,de,81
maîtriser,maîtriser,14
",",",",p
chaque,chaque,75
fois,fois,22
qu',que,83
il,il,51
abordait,aborder,18
une,un,71
femme,femme,22
/.,/.,P
elle,il,51
semblait,sembler,18
en,en,52
rester,rester,14
toute,tout,52
sérieuse,sérieux,30
et,et,82
triste,triste,30
/.,/.,P
puis,puis,60
",",",",p
désireux,désireux,30
de,de,81
cacher,cacher,14
son,son,73
embarras,embarras,21
",",",",p
comme,comme,83
il,il,51
lui,lui,51
demandait,demander,18
si,si,83
sa,son,73
mère,mère,22
était,être,18
à,à,81
la,le,71
maison,maison,22
",",",",p
bien,bien,60
qu',que,83
il,il,51
sût,savoir,18
celle-ci,celui-ci,52
souffrante,souffrant,30
",",",",p
incapable,incapable,30
de,de,81
sortir,sortir,14
",",",",p
elle,il,51
ne,ne,60
répondit,répondre,19
que,que,83
d',de,81
un,un,71
signe,signe,21
de,de,81
tête,tête,22
",",",",p
elle,il,51
s',se,51
écarta,écarter,19
pour,pour,81
qu',que,83
il,il,51
pût,pouvoir,18
entrer,entrer,14
sans,sans,81
la,le,52
toucher,toucher,14
",",",",p
et,et,82
retourna,retourner,19
au,à,81
au,le,71
puits,puits,21
",",",",p
sans,sans,81
un,un,71
mot,mot,21
",",",",p
la,le,71
taille,taille,22
droite,droit,30
et,et,82
fière,fier,30
/.,/.,P
Jacques,Jacques,20
",",",",p
de,de,81
son,son,73
pas,pas,21
rapide,rapide,30
",",",",p
traversa,traverser,19
l',le,71
étroit,étroit,30
jardin,jardin,21
et,et,82
entra,entrer,19
dans,dans,81
la,le,71
maison,maison,22
/.,/.,P
là,là,60
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
première,premier,72
pièce,pièce,22
",",",",p
une,un,71
vaste,vaste,30
cuisine,cuisine,22
où,où,60
l',l',94
on,on,51
mangeait,manger,18
et,et,82
où,où,60
l',l',94
on,on,51
vivait,vivre,18
",",",",p
tante,tante,22
Phasie,Phasie,20
",",",",p
ainsi,ainsi,60
qu',que,83
il,il,51
la,le,52
nommait,nommer,18
depuis,depuis,81
l',le,71
enfance,enfance,22
",",",",p
était,être,18
seule,seul,30
",",",",p
assise,assis,31
près,près,81
de,de,81
la,le,71
table,table,22
",",",",p
sur,sur,81
une,un,71
chaise,chaise,22
de,de,81
paille,paille,22
",",",",p
les,le,71
jambes,jambe,22
enveloppées,enveloppé,31
d',de,81
un,un,71
vieux,vieux,30
châle,châle,21
/.,/.,P
c',ce,52
était,être,18
une,un,71
cousine,cousine,22
de,de,81
son,son,73
père,père,21
",",",",p
une,un,71
Lantier,Lantier,20
",",",",p
qui,qui,52
lui,lui,51
avait,avoir,18
servi,servir,12
de,de,81
marraine,marraine,22
",",",",p
et,et,82
qui,qui,52
",",",",p
à,à,81
l',le,71
âge,âge,21
de,de,81
six,six,72
ans,an,21
",",",",p
l',le,52
avait,avoir,18
pris,prendre,12
chez,chez,81
elle,il,51
",",",",p
quand,quand,83
",",",",p
son,son,73
père,père,21
et,et,82
sa,son,73
mère,mère,22
disparus,disparu,31
",",",",p
envolés,envolé,31
à,à,81
Paris,Paris,20
",",",",p
il,il,51
était,être,18
resté,rester,12
à,à,81
Plassans,Plassans,20
",",",",p
où,où,60
il,il,51
avait,avoir,18
suivi,suivre,12
plus,plus,60
tard,tard,60
les,le,71
cours,cours,21
de,de,81
l',le,71
école,école,22
des,de,81
des,le,71
arts,art,21
et,et,82
métiers,métier,21
/.,/.,P
il,il,51
lui,lui,51
en,en,52
gardait,garder,18
une,un,71
vive,vif,30
reconnaissance,reconnaissance,22
",",",",p
il,il,51
disait,dire,18
que,que,83
c',ce,52
était,être,18
à,à,81
elle,il,51
qu',que,83
il,il,51
le,le,52
devait,devoir,18
",",",",p
s',si,83
il,il,51
avait,avoir,18
fait,faire,12
son,son,73
chemin,chemin,21
/.,/.,P
lorsqu',lorsque,83
il,il,51
était,être,18
devenu,devenir,12
mécanicien,mécanicien,21
de,de,81
première,premier,72
classe,classe,22
à,à,81
la,le,71
Compagnie de l'Ouest,Compagnie de l'Ouest,20
",",",",p
après,après,81
deux,deux,72
années,année,22
passées,passé,31
au,à,81
au,le,71
chemin,chemin,21
de,de,81
fer,fer,21
d',de,81
Orléans,Orléans,20
",",",",p
il,il,51
y,y,52
avait,avoir,18
trouvé,trouver,12
sa,son,73
marraine,marraine,22
",",",",p
remariée,remarié,31
à,à,81
un,un,71
garde-barrière,garde-barrière,21
du,de,81
du,le,71
nom,nom,21
de,de,81
Misard,Misard,20
",",",",p
exilée,exilé,31
avec,avec,81
les,le,71
deux,deux,72
filles,fille,22
de,de,81
son,son,73
premier,premier,72
mariage,mariage,21
",",",",p
dans,dans,81
ce,ce,74
trou,trou,21
perdu,perdu,31
de,de,81
la,le,71
Croix-de-Maufras,Croix-de-Maufras,20
/.,/.,P
aujourd'hui,aujourd'hui,60
",",",",p
bien,bien,60
qu',que,83
âgée,âgé,30
de,de,81
quarante,quarante,72
cinq,cinq,72
ans,an,21
à,à,81
peine,peine,22
",",",",p
la,le,71
belle,beau,30
tante,tante,22
Phasie,Phasie,20
d',de,81
autrefois,autrefois,60
",",",",p
si,si,60
grande,grand,30
",",",",p
si,si,60
forte,fort,30
",",",",p
en,en,52
paraissait,paraître,18
soixante,soixante,72
",",",",p
amaigrie,amaigri,31
et,et,82
jaunie,jauni,31
",",",",p
secouée,secoué,31
de,de,81
continuels,continuel,30
frissons,frisson,21
/.,/.,P
elle,il,51
eut,avoir,19
un,un,71
cri,cri,21
de,de,81
joie,joie,22
/.,/.,P
comment,comment,60
",",",",p
c',ce,52
est,être,17
toi,toi,51
",",",",p
Jacques,Jacques,20
/!,/!,P
ah,ah,93
!,!,p
mon,mon,73
grand,grand,30
garçon,garçon,21
",",",",p
quelle,quel,75
surprise,surprise,22
/!,/!,P
il,il,51
la,le,52
baisa,baiser,19
sur,sur,81
les,le,71
joues,joue,22
",",",",p
il,il,51
lui,lui,51
expliqua,expliquer,19
qu',que,83
il,il,51
venait,venir,18
d',de,81
avoir,avoir,14
brusquement,brusquement,60
deux,deux,72
jours,jour,21
de,de,81
congé,congé,21
forcé,forcé,31
:,:,p
la,le,71
Lison,Lison,20
",",",",p
sa,son,73
machine,machine,22
",",",",p
en,en,81
arrivant,arriver,13
le,le,71
matin,matin,21
au,à,81
au,le,71
Havre,Havre,20
",",",",p
avait,avoir,18
eu,avoir,12
sa,son,73
bielle,bielle,22
rompue,rompu,31
",",",",p
et,et,82
comme,comme,83
la,le,71
réparation,réparation,22
ne,ne,60
pouvait,pouvoir,18
être,être,14
terminée,terminer,12
avant,avant,81
vingt,vingt,72
quatre,quatre,72
heures,heure,22
",",",",p
il,il,51
ne,ne,60
reprendrait,reprendre,16
son,son,73
service,service,21
que,que,83
le,le,71
lendemain,lendemain,21
soir,soir,21
",",",",p
pour,pour,81
l',le,71
express,express,21
de,de,81
six,six,72
heures,heure,22
quarante,quarante,72
/.,/.,P
alors,alors,60
",",",",p
il,il,51
avait,avoir,18
voulu,vouloir,12
l',le,52
embrasser,embrasser,14
/.,/.,P
il,il,51
coucherait,coucher,16
",",",",p
il,il,51
ne,ne,60
repartirait,repartir,16
de,de,81
Tarentin,Tarentin,20
que,que,83
par,par,81
le,le,71
train,train,21
de,de,81
sept,sept,72
heures,heure,22
vingt,vingt,72
six,six,72
du,de,81
du,le,71
matin,matin,21
/.,/.,P
et,et,82
il,il,51
gardait,garder,18
entre,entre,81
les,le,71
siennes,sien,52
ses,son,73
pauvres,pauvre,30
mains,main,22
fondues,fondu,31
",",",",p
il,il,51
lui,lui,51
disait,dire,18
combien,combien,60
sa,son,73
dernière,dernier,30
lettre,lettre,22
l',le,52
avait,avoir,18
inquiété,inquiéter,12
/.,/.,P
ah,ah,93
!,!,p
oui,oui,60
",",",",p
mon,mon,73
garçon,garçon,21
",",",",p
ça,ça,52
ne,ne,60
va,aller,17
plus,plus,60
",",",",p
ça,ça,52
ne,ne,60
va,aller,17
plus,plus,60
du,de,81
du,le,71
tout,tout,21
/…,/…,P
que,que,52
tu,tu,51
es,être,17
gentil,gentil,30
d',de,81
avoir,avoir,14
deviné,deviner,12
mon,mon,73
désir,désir,21
de,de,81
te,tu,51
voir,voir,14
!,!,p
/!,/!,P
mais,mais,82
je,je,51
sais,savoir,17
à,à,81
quel,quel,75
point,point,21
tu,tu,51
es,être,17
tenu,tenir,12
",",",",p
je,je,51
n',ne,60
osais,oser,18
pas,pas,60
te,tu,51
demander,demander,14
de,de,81
venir,venir,14
/.,/.,P
enfin,enfin,60
",",",",p
te,tu,51
voilà,voilà,81
",",",",p
et,et,82
j',je,51
en,en,52
ai,avoir,17
si,si,60
gros,gros,60
",",",",p
si,si,60
gros,gros,60
sur,sur,81
le,le,71
coeur,coeur,21
/!,/!,P
elle,il,51
s',se,51
interrompit,interrompre,19
",",",",p
pour,pour,81
jeter,jeter,14
craintivement,craintivement,60
un,un,71
regard,regard,21
par,par,81
la,le,71
fenêtre,fenêtre,22
/.,/.,P
sous,sous,81
le,le,71
jour,jour,21
finissant,finir,13
",",",",p
de,de,81
l',le,71
autre,autre,75
côté,côté,21
de,de,81
la,le,71
voie,voie,22
",",",",p
on,on,51
apercevait,apercevoir,18
son,son,73
mari,mari,21
",",",",p
Misard,Misard,20
",",",",p
dans,dans,81
un,un,71
poste,poste,21
de,de,81
cantonnement,cantonnement,21
",",",",p
une,un,52
de,de,81
ces,ce,74
cabanes,cabane,22
de,de,81
planches,planche,22
",",",",p
établies,établi,31
tous,tout,75
les,le,71
cinq,cinq,72
ou,ou,82
six,six,72
kilomètres,kilomètre,21
et,et,82
reliées,relié,31
par,par,81
des,de,81
des,le,71
appareils,appareil,21
télégraphiques,télégraphique,30
",",",",p
afin,afin,81
d',de,81
assurer,assurer,14
la,le,71
bonne,bon,30
circulation,circulation,22
des,de,81
des,le,71
trains,train,21
/.,/.,P
tandis que,tandis que,83
sa,son,73
femme,femme,22
",",",",p
et,et,82
plus,plus,60
tard,tard,60
Flore,Flore,20
",",",",p
était,être,18
chargée,charger,12
de,de,81
la,le,71
barrière,barrière,22
du,de,81
du,le,71
passage,passage,21
à,à,81
niveau,niveau,21
",",",",p
on,on,51
avait,avoir,18
fait,faire,12
de,de,81
Misard,Misard,20
un,un,71
stationnaire,stationnaire,30
/.,/.,P
comme,comme,83
s',si,83
il,il,51
avait,avoir,18
pu,pouvoir,12
l',le,52
entendre,entendre,14
",",",",p
elle,il,51
baissa,baisser,19
la,le,71
voix,voix,22
",",",",p
dans,dans,81
un,un,71
frisson,frisson,21
/.,/.,P
je,je,51
crois,croire,17
bien,bien,60
qu',que,83
il,il,51
m',je,51
empoisonne,empoisonner,17
/!,/!,P
Jacques,Jacques,20
