11714
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante et unième extrait>,<>,<>
pût,pouvoir,18
nous,nous,51
dire,dire,14
précisément,précisément,60
ce,ce,52
qui,qui,52
s',se,51
était,être,18
passé,passer,12
au,à,81
au,le,71
Louvre,Louvre,20
depuis,depuis,81
trois,trois,72
jours,jour,21
",",",",p
et,et,82
s',si,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
danger,danger,21
pour,pour,81
moi,moi,51
de,de,81
m',je,51
y,y,52
présenter,présenter,14
/.,/.,P
-,-,p
mais,mais,82
moi,moi,51
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
",",",",p
je,je,51
puis,pouvoir,17
aller,aller,14
prévenir,prévenir,14
monsieur,monsieur,21
de,de,81
La Porte,La Porte,20
/.,/.,P
-,-,p
sans,sans,81
doute,doute,21
;,;,p
seulement,seulement,60
il,il,51
n',ne,60
y,y,52
a,avoir,17
qu',que,83
un,un,71
malheur,malheur,21
:,:,p
c',ce,52
est,être,17
qu',que,83
on,on,51
connaît,connaître,17
monsieur,monsieur,21
Bonacieux,Bonacieux,20
au,à,81
au,le,71
Louvre,Louvre,20
et,et,82
qu',que,83
on,on,51
le,le,52
laisserait,laisser,16
passer,passer,14
",",",",p
lui,lui,51
",",",",p
tandis qu',tandis que,83
on,on,51
ne,ne,60
vous,vous,51
connaît,connaître,17
pas,pas,60
",",",",p
vous,vous,51
",",",",p
et,et,82
que,que,83
l',l',94
on,on,51
vous,vous,51
fermera,fermer,15
la,le,71
porte,porte,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
bah,bah,93
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
",",",",p
vous,vous,51
avez,avoir,17
bien,bien,60
à,à,81
quelque,quelque,75
guichet,guichet,21
du,de,81
du,le,71
Louvre,Louvre,20
un,un,71
concierge,concierge,21
qui,qui,52
vous,vous,51
est,être,17
dévoué,dévouer,12
",",",",p
et,et,82
qui,qui,52
grâce,grâce,22
à,à,81
un,un,71
mot,mot,21
d',de,81
ordre,ordre,21
/…,/…,P
madame,madame,22
Bonacieux,Bonacieux,20
regarda,regarder,19
fixement,fixement,60
le,le,71
jeune,jeune,30
homme,homme,21
/.,/.,P
“,“,p
et,et,82
si,si,83
je,je,51
vous,vous,51
donnais,donner,18
ce,ce,74
mot,mot,21
d',de,81
ordre,ordre,21
",",",",p
dit,dire,19
elle,il,51
",",",",p
l',le,52
oublieriez,oublier,16
vous,vous,51
aussitôt,aussitôt,60
que,que,83
vous,vous,51
vous,vous,51
en,en,52
seriez,être,16
servi,servir,12
/?,/?,P
parole,parole,22
d',de,81
honneur,honneur,21
",",",",p
foi,foi,22
de,de,81
gentilhomme,gentilhomme,21
!,!,p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
avec,avec,81
un,un,71
accent,accent,21
à,à,81
la,le,71
vérité,vérité,22
duquel,de,81
duquel,lequel,52
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
à,à,81
se,se,51
tromper,tromper,14
/.,/.,P
-,-,p
tenez,tenir,17
",",",",p
je,je,51
vous,vous,51
crois,croire,17
;,;,p
vous,vous,51
avez,avoir,17
l',le,71
air,air,21
d',de,81
un,un,71
brave,brave,30
jeune,jeune,30
homme,homme,21
",",",",p
d',de,81
ailleurs,ailleurs,60
votre,votre,73
fortune,fortune,22
est,être,17
peut-être,peut-être,60
au,à,81
au,le,71
bout,bout,21
de,de,81
votre,votre,73
dévouement,dévouement,21
/.,/.,P
-,-,p
je,je,51
ferai,faire,15
sans,sans,81
promesse,promesse,22
et,et,82
de,de,81
conscience,conscience,22
tout,tout,52
ce,ce,52
que,que,52
je,je,51
pourrai,pouvoir,15
pour,pour,81
servir,servir,14
le,le,71
roi,roi,21
et,et,82
être,être,14
agréable,agréable,30
à,à,81
la,le,71
reine,reine,22
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
;,;,p
disposez,disposer,17
donc,donc,82
de,de,81
moi,moi,51
comme,comme,83
d',de,81
un,un,71
ami,ami,21
/.,/.,P
-,-,p
mais,mais,82
moi,moi,51
",",",",p
où,où,60
me,je,51
mettrez,mettre,15
vous,vous,51
pendant,pendant,81
ce,ce,74
temps,temps,21
là,là,60
/?,/?,P
n',ne,60
avez,avoir,17
vous,vous,51
pas,pas,60
une,un,71
personne,personne,22
chez,chez,81
laquelle,lequel,52
monsieur,monsieur,21
de,de,81
La Porte,La Porte,20
puisse,pouvoir,17
revenir,revenir,14
vous,vous,51
prendre,prendre,14
/?,/?,P
non,non,60
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
me,je,51
fier,fier,14
à,à,81
personne,personne,52
/.,/.,P
-,-,p
attendez,attendre,17
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
;,;,p
nous,nous,51
sommes,être,17
à,à,81
la,le,71
porte,porte,22
d',de,81
Athos,Athos,20
/.,/.,P
oui,oui,60
",",",",p
c',ce,52
est,être,17
cela,cela,52
/.,/.,P
-,-,p
que,que,52
est,être,17
ce,ce,52
qu',que,52
Athos,Athos,20
/?,/?,P
un,un,52
de,de,81
mes,mon,73
amis,ami,21
/.,/.,P
-,-,p
mais,mais,82
s',si,83
il,il,51
est,être,17
chez,chez,81
lui,lui,51
et,et,82
qu',que,52
il,il,51
me,je,51
voie,voir,17
/?,/?,P
il,il,51
n',ne,60
y,y,52
est,être,17
pas,pas,60
",",",",p
et,et,82
j',je,51
emporterai,emporter,15
la,le,71
clef,clé,22
après,après,81
vous,vous,51
avoir,avoir,14
fait,faire,12
entrer,entrer,14
dans,dans,81
son,son,73
appartement,appartement,21
/.,/.,P
-,-,p
mais,mais,82
s',si,83
il,il,51
revient,revenir,17
/?,/?,P
il,il,51
ne,ne,60
reviendra,revenir,15
pas,pas,60
;,;,p
d',de,81
ailleurs,ailleurs,60
on,on,51
lui,lui,51
dirait,dire,16
que,que,83
j',je,51
ai,avoir,17
amené,amener,12
une,un,71
femme,femme,22
",",",",p
et,et,82
que,que,83
cette,ce,74
femme,femme,22
est,être,17
chez,chez,81
lui,lui,51
/.,/.,P
-,-,p
mais,mais,82
cela,cela,52
me,je,51
compromettra,compromettre,15
très,très,60
fort,fort,30
",",",",p
savez,savoir,17
vous,vous,51
/!,/!,P
que,que,52
vous,vous,51
importe,importer,17
!,!,p
on,on,51
ne,ne,60
vous,vous,51
connaît,connaître,17
pas,pas,60
;,;,p
d',de,81
ailleurs,ailleurs,60
nous,nous,51
sommes,être,17
dans,dans,81
une,un,71
situation,situation,22
à,à,81
passer,passer,14
par-dessus,par-dessus,60
quelques,quelque,75
convenances,convenance,22
/!,/!,P
allons,aller,17
donc,donc,82
chez,chez,81
votre,votre,73
ami,ami,21
/.,/.,P
où,où,60
demeure,demeurer,17
t,t,94
il,il,51
/?,/?,P
rue,rue,22
Férou,Férou,20
",",",",p
à,à,81
deux,deux,72
pas,pas,21
d',de,81
ici,ici,60
/.,/.,P
-,-,p
allons,aller,17
/.,/.,P
“,“,p
et,et,82
tous,tout,75
deux,deux,72
reprirent,reprendre,19
leur,leur,73
course,course,22
/.,/.,P
comme,comme,83
l',le,52
avait,avoir,18
prévu,prévoir,12
d',de,81
Artagnan,Artagnan,20
",",",",p
Athos,Athos,20
n',ne,60
était,être,18
pas,pas,60
chez,chez,81
lui,lui,51
:,:,p
il,il,51
prit,prendre,19
la,le,71
clef,clé,22
",",",",p
qu',que,52
on,on,51
avait,avoir,18
l',le,71
habitude,habitude,22
de,de,81
lui,lui,51
donner,donner,14
comme,comme,83
à,à,81
un,un,71
ami,ami,21
de,de,81
la,le,71
maison,maison,22
",",",",p
monta,monter,19
l',le,71
escalier,escalier,21
et,et,82
introduisit,introduire,19
madame,madame,22
Bonacieux,Bonacieux,20
dans,dans,81
le,le,71
petit,petit,30
appartement,appartement,21
dont,dont,52
nous,nous,51
avons,avoir,17
déjà,déjà,60
fait,faire,12
la,le,71
description,description,22
/.,/.,P
“,“,p
vous,vous,51
êtes,être,17
chez,chez,81
vous,vous,51
",",",",p
dit,dire,19
il,il,51
;,;,p
attendez,attendre,17
",",",",p
fermez,fermer,17
la,le,71
porte,porte,22
en,en,81
dedans,dedans,60
et,et,82
n',ne,60
ouvrez,ouvrir,17
à,à,81
personne,personne,52
",",",",p
à,à,81
moins,moins,60
que,que,83
vous,vous,51
n',ne,60
entendiez,entendre,17
frapper,frapper,14
trois,trois,72
coups,coup,21
ainsi,ainsi,60
:,:,p
tenez,tenir,17
;,;,p
et,et,82
il,il,51
frappa,frapper,19
trois,trois,72
fois,fois,22
:,:,p
deux,deux,72
coups,coup,21
rapprochés,rapproché,31
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
et,et,82
assez,assez,60
forts,fort,30
",",",",p
un,un,71
coup,coup,21
plus,plus,60
distant,distant,30
et,et,82
plus,plus,60
léger,léger,30
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
",",",",p
dit,dire,12
madame,madame,22
Bonacieux,Bonacieux,20
;,;,p
maintenant,maintenant,60
",",",",p
à,à,81
mon,mon,73
tour,tour,21
de,de,81
vous,vous,51
donner,donner,14
mes,mon,73
instructions,instruction,22
/.,/.,P
-,-,p
j',je,51
écoute,écouter,17
/.,/.,P
-,-,p
présentez,présenter,17
vous,vous,51
au,à,81
au,le,71
guichet,guichet,21
du,de,81
du,le,71
Louvre,Louvre,20
",",",",p
du,de,81
du,le,71
côté,côté,21
de,de,81
la,le,71
rue,rue,22
de,de,81
l',le,71
échelle,échelle,22
",",",",p
et,et,82
demandez,demander,17
Germain,Germain,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
/.,/.,P
après,après,81
/?,/?,P
il,il,51
vous,vous,51
demandera,demander,15
ce,ce,52
que,que,52
vous,vous,51
voulez,vouloir,17
",",",",p
et,et,82
alors,alors,60
vous,vous,51
lui,lui,51
répondrez,répondre,15
par,par,81
ces,ce,74
deux,deux,72
mots,mot,21
:,:,p
Tours,Tours,20
et,et,82
Bruxelles,Bruxelles,20
/.,/.,P
aussitôt,aussitôt,60
il,il,51
se,se,51
mettra,mettre,15
à,à,81
vos,votre,73
ordres,ordre,21
/.,/.,P
-,-,p
et,et,82
que,que,52
lui,lui,51
ordonnerai,ordonner,15
je,je,51
/?,/?,P
d',de,81
aller,aller,14
chercher,chercher,14
monsieur,monsieur,21
de,de,81
La Porte,La Porte,20
",",",",p
le,le,71
valet,valet,21
de,de,81
chambre,chambre,22
de,de,81
la,le,71
reine,reine,22
/.,/.,P
-,-,p
et,et,82
quand,quand,83
il,il,51
l',le,52
aura,avoir,15
été,être,12
chercher,chercher,14
et,et,82
que,que,83
monsieur,monsieur,21
de,de,81
La Porte,La Porte,20
sera,être,15
venu,venir,12
/?,/?,P
vous,vous,51
me,je,51
l',le,52
enverrez,envoyer,15
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
",",",",p
mais,mais,82
où,où,60
et,et,82
comment,comment,60
vous,vous,51
reverrai,revoir,15
je,je,51
/?,/?,P
y,y,52
tenez,tenir,17
vous,vous,51
beaucoup,beaucoup,60
à,à,81
me,je,51
revoir,revoir,14
/?,/?,P
certainement,certainement,60
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
reposez,reposer,17
vous,vous,51
sur,sur,81
moi,moi,51
de,de,81
ce,ce,74
soin,soin,21
",",",",p
et,et,82
soyez,être,17
tranquille,tranquille,30
/.,/.,P
-,-,p
je,je,51
compte,compter,17
sur,sur,81
votre,votre,73
parole,parole,22
/.,/.,P
-,-,p
comptez,compter,17
y,y,52
/.,/.,P
“,“,p
d',de,81
Artagnan,Artagnan,20
salua,saluer,19
madame,madame,22
Bonacieux,Bonacieux,20
en,en,81
lui,lui,51
lançant,lancer,13
le,le,71
coup,coup,21
d',de,81
oeil,oeil,21
le,le,71
plus,plus,60
amoureux,amoureux,30
qu',que,83
il,il,51
lui,lui,51
fût,être,19
possible,possible,30
de,de,81
concentrer,concentrer,14
sur,sur,81
sa,son,73
charmante,charmant,30
petite,petit,30
personne,personne,22
",",",",p
et,et,82
tandis qu',tandis que,83
il,il,51
descendait,descendre,18
l',le,71
escalier,escalier,21
",",",",p
il,il,51
entendit,entendre,19
la,le,71
porte,porte,22
se,se,51
fermer,fermer,14
derrière,derrière,81
lui,lui,51
à,à,81
double,double,30
tour,tour,21
/.,/.,P
en,en,81
deux,deux,72
bonds,bond,21
il,il,51
fut,être,19
au,à,81
au,le,71
Louvre,Louvre,20
:,:,p
comme,comme,83
il,il,51
entrait,entrer,18
au,à,81
au,le,71
guichet,guichet,21
de,de,81
l',le,71
échelle,échelle,22
",",",",p
dix,dix,72
heures,heure,22
sonnaient,sonner,18
/.,/.,P
tous,tout,75
les,le,71
événements,événement,21
que,que,52
nous,nous,51
venons,venir,17
de,de,81
raconter,raconter,14
s',se,51
étaient,être,18
succédé,succéder,12
en,en,81
une,un,71
demi-heure,demi-heure,22
/.,/.,P
tout,tout,52
s',se,51
exécuta,exécuter,19
comme,comme,83
l',le,52
avait,avoir,18
annoncé,annoncer,12
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
au,à,81
au,le,71
mot,mot,21
d',de,81
ordre,ordre,21
convenu,convenu,31
",",",",p
Germain,Germain,20
s',se,51
inclina,incliner,19
;,;,p
dix,dix,72
minutes,minute,22
après,après,81
",",",",p
La Porte,La Porte,20
était,être,18
dans,dans,81
la,le,71
loge,loge,22
;,;,p
en,en,81
deux,deux,72
mots,mot,21
",",",",p
d',de,81
Artagnan,Artagnan,20
le,le,52
mit,mettre,19
au,à,81
au,le,71
fait,fait,21
et,et,82
lui,lui,51
indiqua,indiquer,19
où,où,60
était,être,18
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
La Porte,La Porte,20
s',se,51
assura,assurer,19
par,par,81
deux,deux,72
fois,fois,22
de,de,81
l',le,71
exactitude,exactitude,22
de,de,81
l',le,71
adresse,adresse,22
",",",",p
et,et,82
partit,partir,19
en,en,81
courant,courir,13
/.,/.,P
cependant,cependant,82
",",",",p
à,à,81
peine,peine,22
eut,avoir,19
il,il,51
fait,faire,12
dix,dix,72
pas,pas,21
",",",",p
qu',que,83
il,il,51
revint,revenir,19
/.,/.,P
“,“,p
jeune,jeune,30
homme,homme,21
",",",",p
dit,dire,19
il,il,51
à,à,81
d',de,81
Artagnan,Artagnan,20
",",",",p
un,un,71
conseil,conseil,21
/.,/.,P
-,-,p
lequel,lequel,52
/?,/?,P
vous,vous,51
pourriez,pouvoir,16
être,être,14
inquiété,inquiéter,12
pour,pour,81
ce,ce,52
qui,qui,52
vient,venir,17
de,de,81
se,se,51
passer,passer,14
/.,/.,P
-,-,p
vous,vous,51
croyez,croire,17
/?,/?,P
oui,oui,60
/.,/.,P
avez,avoir,17
vous,vous,51
quelque,quelque,75
ami,ami,21
dont,dont,52
la,le,71
pendule,pendule,22
retarde,retarder,17
/?,/?,P
eh,eh,93
bien,bien,60
/?,/?,P
allez,aller,17
le,le,52
voir,voir,14
pour,pour,81
qu',que,83
il,il,51
puisse,pouvoir,17
témoigner,témoigner,14
que,que,83
vous,vous,51
étiez,être,18
chez,chez,81
lui,lui,51
à,à,81
neuf,neuf,72
heures,heure,22
et,et,82
demie,demi,30
/.,/.,P
en,en,81
justice,justice,22
",",",",p
cela,cela,52
s',se,51
appelle,appeler,17
un,un,71
alibi,alibi,21
/.,/.,P
“,“,p
d',de,81
Artagnan,Artagnan,20
trouva,trouver,19
le,le,71
conseil,conseil,21
prudent,prudent,30
;,;,p
il,il,51
prit,prendre,19
ses,son,73
jambes,jambe,22
à,à,81
son,son,73
cou,cou,21
",",",",p
il,il,51
arriva,arriver,19
chez,chez,81
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
mais,mais,82
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
passer,passer,14
au,à,81
au,le,71
salon,salon,21
avec,avec,81
tout,tout,75
le,le,71
monde,monde,21
",",",",p
il,il,51
demanda,demander,19
à,à,81
entrer,entrer,14
dans,dans,81
son,son,73
cabinet,cabinet,21
/.,/.,P
comme,comme,83
d',de,81
Artagnan,Artagnan,20
était,être,18
un,un,52
des,de,81
des,le,71
habitués,habitué,21
de,de,81
l',le,71
hôtel,hôtel,21
",",",",p
on,on,51
ne,ne,60
fit,faire,19
aucune,aucun,75
difficulté,difficulté,22
d',de,81
accéder,accéder,14
à,à,81
sa,son,73
demande,demande,22
;,;,p
et,et,82
l',l',94
on,on,51
alla,aller,19
prévenir,prévenir,14
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
que,que,83
son,son,73
jeune,jeune,30
compatriote,compatriote,21
",",",",p
ayant,avoir,13
quelque,quelque,75
chose,chose,22
d',de,81
important,important,30
à,à,81
lui,lui,51
dire,dire,14
",",",",p
sollicitait,solliciter,18
une,un,71
audience,audience,22
particulière,particulier,30
/.,/.,P
cinq,cinq,72
minutes,minute,22
après,après,81
",",",",p
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
demandait,demander,18
à,à,81
d',de,81
Artagnan,Artagnan,20
ce,ce,52
qu',que,52
il,il,51
pouvait,pouvoir,18
faire,faire,14
pour,pour,81
son,son,73
service,service,21
et,et,82
ce,ce,52
qui,qui,52
lui,lui,51
valait,valoir,18
sa,son,73
visite,visite,22
à,à,81
une,un,71
heure,heure,22
si,si,60
avancée,avancé,31
/.,/.,P
“,“,p
pardon,pardon,21
",",",",p
monsieur,monsieur,21
!,!,p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
",",",",p
qui,qui,52
avait,avoir,18
profité,profiter,12
du,de,81
du,le,71
moment,moment,21
où,où,60
il,il,51
était,être,18
resté,rester,12
seul,seul,30
pour,pour,81
retarder,retarder,14
l',le,71
horloge,horloge,22
de,de,81
trois,trois,72
quarts,quart,21
d',de,81
heure,heure,22
;,;,p
j',je,51
ai,avoir,17
pensé,penser,12
que,que,83
",",",",p
comme,comme,83
il,il,51
n',ne,60
était,être,18
que,que,83
neuf,neuf,72
heures,heure,22
vingt,vingt,72
cinq,cinq,72
minutes,minute,22
",",",",p
il,il,51
était,être,18
encore,encore,60
temps,temps,21
de,de,81
me,je,51
présenter,présenter,14
chez,chez,81
vous,vous,51
/.,/.,P
-,-,p
neuf,neuf,72
heures,heure,22
vingt,vingt,72
cinq,cinq,72
minutes,minute,22
!,!,p
s',se,51
écria,écrier,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
en,en,81
regardant,regarder,13
sa,son,73
pendule,pendule,22
;,;,p
mais,mais,82
c',ce,52
est,être,17
impossible,impossible,30
/!,/!,P
voyez,voir,17
plutôt,plutôt,60
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
",",",",p
voilà,voilà,81
qui,qui,52
fait,faire,17
foi,foi,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
juste,juste,30
",",",",p
dit,dire,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
j',je,51
aurais,avoir,16
cru,croire,12
qu',que,83
il,il,51
était,être,18
plus,plus,60
tard,tard,60
/.,/.,P
mais,mais,82
voyons,voir,17
",",",",p
que,que,52
me,je,51
voulez,vouloir,17
vous,vous,51
/?,/?,P
alors,alors,60
d',de,81
Artagnan,Artagnan,20
fit,faire,19
à,à,81
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
une,un,71
longue,long,30
histoire,histoire,22
sur,sur,81
la,le,71
reine,reine,22
/.,/.,P
il,il,51
lui,lui,51
exposa,exposer,19
les,le,71
craintes,crainte,22
qu',que,52
il,il,51
avait,avoir,18
conçues,concevoir,12
à,à,81
l',le,71
égard,égard,21
de,de,81
sa,son,73
majesté,majesté,22
;,;,p
il,il,51
lui,lui,51
raconta,raconter,19
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
entendu,entendre,12
dire,dire,14
des,de,81
des,le,71
projets,projet,21
du,de,81
du,le,71
cardinal,cardinal,21
à,à,81
l',le,71
endroit,endroit,21
de,de,81
Buckingham,Buckingham,20
",",",",p
et,et,82
tout,tout,75
cela,cela,52
avec,avec,81
une,un,71
tranquillité,tranquillité,22
et,et,82
un,un,71
aplomb,aplomb,21
dont,dont,52
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
fut,être,19
d'autant,d'autant,60
mieux,mieux,60
la,le,71
dupe,dupe,22
",",",",p
que,que,83
lui-même,lui-même,51
",",",",p
comme,comme,83
nous,nous,51
l',le,52
avons,avoir,17
dit,dire,12
",",",",p
avait,avoir,18
remarqué,remarquer,12
quelque,quelque,75
chose,chose,22
de,de,81
nouveau,nouveau,30
entre,entre,81
le,le,71
cardinal,cardinal,21
",",",",p
le,le,71
roi,roi,21
et,et,82
la,le,71
reine,reine,22
/.,/.,P
à,à,81
dix,dix,72
heures,heure,22
sonnant,sonner,13
",",",",p
d',de,81
Artagnan,Artagnan,20
quitta,quitter,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
qui,qui,52
le,le,52
remercia,remercier,19
de,de,81
ses,son,73
renseignements,renseignement,21
",",",",p
lui,lui,51
recommanda,recommander,19
d',de,81
avoir,avoir,14
toujours,toujours,60
à,à,81
coeur,coeur,21
le,le,71
service,service,21
du,de,81
du,le,71
roi,roi,21
et,et,82
de,de,81
la,le,71
reine,reine,22
",",",",p
et,et,82
qui,qui,52
rentra,rentrer,19
dans,dans,81
le,le,71
salon,salon,21
/.,/.,P
mais,mais,82
",",",",p
au,à,81
au,le,71
bas,bas,21
de,de,81
l',le,71
escalier,escalier,21
",",",",p
d',de,81
Artagnan,Artagnan,20
se,se,51
souvint,souvenir,19
qu',que,83
il,il,51
avait,avoir,18
oublié,oublier,12
sa,son,73
canne,canne,22
:,:,p
en,en,81
conséquence,conséquence,22
",",",",p
il,il,51
remonta,remonter,19
précipitamment,précipitamment,60
",",",",p
rentra,rentrer,19
dans,dans,81
le,le,71
cabinet,cabinet,21
",",",",p
d',de,81
un,un,71
tour,tour,21
de,de,81
doigt,doigt,21
remit,remettre,19
la,le,71
pendule,pendule,22
à,à,81
son,son,73
heure,heure,22
",",",",p
pour,pour,81
qu',que,83
on,on,51
ne,ne,60
pût,pouvoir,18
pas,pas,60
s',se,51
apercevoir,apercevoir,14
",",",",p
le,le,71
lendemain,lendemain,21
",",",",p
qu',que,83
elle,il,51
avait,avoir,18
été,être,12
dérangée,déranger,12
",",",",p
et,et,82
sûr,sûr,30
désormais,désormais,60
qu',que,52
il,il,51
y,y,52
avait,avoir,18
un,un,71
témoin,témoin,21
pour,pour,81
prouver,prouver,14
son,son,73
alibi,alibi,21
",",",",p
il,il,51
descendit,descendre,19
l',le,71
escalier,escalier,21
et,et,82
se,se,51
trouva,trouver,19
bientôt,bientôt,60
dans,dans,81
la,le,71
rue,rue,22
/.,/.,P
<Chapitre 11>,<>,<>
l',le,71
intrigue,intrigue,22
se,se,51
noue,nouer,17
/.,/.,P
sa,son,73
visite,visite,22
faite,fait,31
à,à,81
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
d',de,81
Artagnan,Artagnan,20
prit,prendre,19
",",",",p
tout,tout,60
pensif,pensif,30
",",",",p
le,le,71
plus,plus,60
long,long,30
pour,pour,81
rentrer,rentrer,14
chez,chez,81
lui,lui,51
/.,/.,P
à,à,81
quoi,quoi,52
pensait,penser,18
d',de,81
Artagnan,Artagnan,20
",",",",p
qu',que,52
il,il,51
s',se,51
écartait,écarter,18
ainsi,ainsi,60
de,de,81
sa,son,73
route,route,22
",",",",p
regardant,regarder,13
les,le,71
étoiles,étoile,22
du,de,81
du,le,71
ciel,ciel,21
",",",",p
et,et,82
tantôt,tantôt,60
soupirant,soupirer,13
tantôt,tantôt,60
souriant,sourire,13
/?,/?,P
il,il,51
pensait,penser,18
à,à,81
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
pour,pour,81
un,un,71
apprenti,apprenti,21
mousquetaire,mousquetaire,21
",",",",p
la,le,71
jeune,jeune,30
femme,femme,22
était,être,18
presque,presque,60
une,un,71
idéalité,idéalité,22
amoureuse,amoureux,30
/.,/.,P
jolie,joli,30
",",",",p
mystérieuse,mystérieux,30
",",",",p
initiée,initié,31
à,à,81
presque,presque,60
tous,tout,75
les,le,71
secrets,secret,21
de,de,81
cour,cour,22
",",",",p
qui,qui,52
reflétaient,refléter,18
tant,tant,60
de,de,81
charmante,charmant,30
gravité,gravité,22
sur,sur,81
ses,son,73
traits,trait,21
gracieux,gracieux,30
",",",",p
elle,il,51
était,être,18
soupçonnée,soupçonner,12
de,de,81
n',ne,60
être,être,14
pas,pas,60
insensible,insensible,30
",",",",p
ce,ce,52
qui,qui,52
est,être,17
un,un,71
attrait,attrait,21
irrésistible,irrésistible,30
pour,pour,81
les,le,71
amants,amant,21
novices,novice,30
;,;,p
de,de,81
plus,plus,60
",",",",p
d',de,81
Artagnan,Artagnan,20
l',le,52
avait,avoir,18
délivrée,délivrer,12
des,de,81
des,le,71
mains,main,22
de,de,81
ces,ce,74
démons,démon,21
qui,qui,52
voulaient,vouloir,18
la,le,52
fouiller,fouiller,14
et,et,82
la,le,52
maltraiter,maltraiter,14
",",",",p
et,et,82
cet,ce,74
important,important,30
service,service,21
avait,avoir,18
établi,établir,12
entre,entre,81
elle,il,51
et,et,82
lui,lui,51
un,un,52
de,de,81
ces,ce,74
sentiments,sentiment,21
de,de,81
reconnaissance,reconnaissance,22
qui,qui,52
prennent,prendre,17
si,si,60
facilement,facilement,60
un,un,71
plus,plus,60
tendre,tendre,30
caractère,caractère,21
/.,/.,P
d',de,81
Artagnan,Artagnan,20
se,se,51
voyait,voir,18
déjà,déjà,60
",",",",p
tant,tant,60
les,le,71
rêves,rêve,21
marchent,marcher,17
vite,vite,60
sur,sur,81
les,le,71
ailes,aile,22
de,de,81
l',le,71
imagination,imagination,22
",",",",p
accosté,accosté,31
par,par,81
un,un,71
messager,messager,21
de,de,81
la,le,71
jeune,jeune,30
femme,femme,22
qui,qui,52
lui,lui,51
remettait,remettre,18
quelque,quelque,75
billet,billet,21
de,de,81
rendez-vous,rendez-vous,21
",",",",p
une,un,71
chaîne,chaîne,22
d',de,81
or,or,21
ou,ou,82
un,un,71
diamant,diamant,21
/.,/.,P
nous,nous,51
avons,avoir,17
dit,dire,12
que,que,83
les,le,71
jeunes,jeune,30
cavaliers,cavalier,21
recevaient,recevoir,18
sans,sans,81
honte,honte,22
de,de,81
leur,leur,73
roi,roi,21
;,;,p
ajoutons,ajouter,17
qu',que,83
en,en,81
ce,ce,74
temps,temps,21
de,de,81
facile,facile,30
morale,morale,22
",",",",p
ils,ils,51
n',ne,60
avaient,avoir,18
pas,pas,60
plus,plus,60
de,de,81
vergogne,vergogne,22
à,à,81
l',le,71
endroit,endroit,21
de,de,81
leurs,leur,73
maîtresses,maîtresse,22
",",",",p
et,et,82
que,que,52
celles-ci,celui-ci,52
leur,leur,52
laissaient,laisser,18
presque,presque,60
toujours,toujours,60
de,de,81
précieux,précieux,30
et,et,82
durables,durable,30
souvenirs,souvenir,21
",",",",p
comme,comme,83
si,si,83
elles,ils,51
eussent,avoir,18
essayé,essayer,12
de,de,81
conquérir,conquérir,14
la,le,71
fragilité,fragilité,22
de,de,81
leurs,leur,73
sentiments,sentiment,21
par,par,81
la,le,71
solidité,solidité,22
de,de,81
leurs,leur,73
dons,don,21
/.,/.,P
on,on,51
faisait,faire,18
alors,alors,60
son,son,73
chemin,chemin,21
par,par,81
les,le,71
femmes,femme,22
",",",",p
sans,sans,81
en,en,52
rougir,rougir,14
/.,/.,P
celles,celui,52
qui,qui,52
n',ne,60
